   mahāyānasūtrālaṃkāraḥ	mahAyAna sUtra alaMkAraH
   saprayatnasya vā punarasau prayatnaḥ svayaṃbhūrvā bhavedākasmikaḥ |	sa prayatnasya vA punar asO prayatnaH svayaMBUH vA Bavet AkasmikaH |
   tatpratyayo [vā?]	tad pratyayaH [vA?]
   darśanādau ca tadyatnaḥ svayaṃbhūrna trayādapi |	darSana AdO ca tat yatnaH svayaMBUH na trayAt api |
   tasmādeva ca doṣatrayādvakṣyamāṇāt	tasmAt eva ca doza trayAt vakzyamANAt
   tadyatnapratyayatvaṃ ca	tad yatna pratyaya tvam ca
   neti vartate | niṣprayatnasya vā punaḥ sataḥ siddhaṃ bhavati |	na iti vartate | nizprayatnasya vA punar sataH sidDam Bavati |
   niryatnaṃ darśanādikam |	niryatnam darSana Adikam |
   ityasati vyāpāre pudgalasya darśanādau kathamasau draṣṭā bhavati |	iti asati vyApAre pudgalasya darSana AdO kaTam asO drazwA Bavati |
   yāvadvijñātā | doṣatrayādityuktaṃ katamasmāddoṣatrayāt |	yAvat vijQAtA | dozatrayAt iti uktam katamasmAt doza trayAt |
   akartṛtvādanityatvātsakṛnnityapravṛttitaḥ |	akartR tvAt anitya tvAt sakRt nitya pravRttitaH |
   darśanādiṣu yatnasya svayaṃbhūtvaṃ na yujyate ||	darSana Adizu yatnasya svayaMBU tvam na yujyate ||
   yadi darśanādiṣu prayatna ākasmiko yato darśanādīni | na tarhi teṣāṃ	yadi darSana Adizu prayatnaH AkasmikaH yatas darSana AdIni | na tarhi tezAm
   pudgalaḥ karteti kathamasau draṣṭā bhavati yāvadvijñātā sati vākasmikatve	pudgalaH kartA iti kaTam asO drazwA Bavati yAvat vijQAtA sati vAkasmika tve
   nirapekṣatvāt na kadācitprayatno na syādanityo na syāt | nitye ca prayatne	nirapekza tvAt na kadAcid prayatnaH na syAt anityaH na syAt | nitye ca prayatne
   darśanādīnāṃ yugapacca nityaṃ ca pravṛttiḥ syāditi doṣaḥ | tasmānna	darSana AdInAm yugapad ca nityam ca pravRttiH syAt iti dozaH | tasmAt na
   yujyate darśanādiṣu prayatnasya svayaṃbhūtvaṃ |	yujyate darSana Adizu prayatnasya svayaMBU tvam |
   tathā sthitasya naṣṭasya prāgabhāvādanityataḥ |	taTA sTitasya nazwasya prAc aBAvAt anityatas |
   tṛtīyapakṣābhāvācca pratyayatvaṃ na yujyate ||	tRtIya pakza aBAvAt ca pratyaya tvam na yujyate ||
   atha pudgalapratyayaḥ prayatnaḥ syāt | tasya tathā sthitasya pratyayatvaṃ	aTa pudgala pratyayaH prayatnaH syAt | tasya taTA sTitasya pratyaya tvam
   na yujyate | prāgabhāvāt | sati hi tatpratyayatve na kadācitpudgalo	na yujyate | prAc aBAvAt | sati hi tad pratyaya tve na kadAcid pudgalaH 
   nāstīti | kimarthaṃ prāk prayatno na syādyadā notpannaḥ | vinaṣṭasyāpi	na asti iti | kim arTam prAk prayatnaH na syAt yadA na utpannaH | vinazwasya api
   pratyayatvaṃ na yujyate pudgalasyānityatvaprasaṅgāt | (MSA_Bagchi 152)	pratyaya tvam na yujyate pudgalasya anitya tva prasaFgAt | (MSA_BagCi 152)
   tṛtīyaśca kaścitpakṣo nāsti yanna sthito na vinaṣṭaḥ syāditi | tatpratyayo	tRtIyaH ca kaScid pakzaH na asti yat na sTitaH na vinazwaH syAt iti | tat pratyayo
   'pi prayatno na yujyate | evaṃ tāvadyuktimāśritya dravyataḥ pudgalo	api prayatnaH na yujyate | evam tAvat yuktim ASritya dravyataH pudgalaH 
   nopalabhyate |	na upalaByate |
   sarve dharmā anātmānaḥ paramārthena śūnyatā |	sarve DarmAH anAtmAnaH parama arTena SUnyatA |
   ātmopalambhe doṣaśca deśito yata eva ca ||	Atma upalamBe dozaH ca deSitaH yatas eva ca ||
   dharmoddāneṣu hi bhagavatā sarve dharmā anātmāna iti deśitaṃ	Darma uddAnezu hi BagavatA sarve DarmAH anAtmAnaH iti deSitam
   paramārthaśūnyatāyāmasti karmāsti vipākaḥ kārakastu nopalabhyate ya	parama arTa SUnyatAyAm asti karma asti vipAkaH kArakaH tu na upalaByate ya
   imāṃśca skandhānnikṣipati anyāṃśca skandhānpratisaṃdadhāti | anyatra	imAn= ca skanDAn nikzipati anyAn= ca skanDAn pratisaMdaDAti | anyatra
   dharmasaṃketāditi deśitaṃ | pañcakeṣu pañcādīnavā ātmopalambha iti deśitā	Darma saMketAt iti deSitam | paQcakezu paQca AdInavAH Atma upalamBaH iti deSitA
   | ātmadṛṣṭirbhavati jīvadṛṣṭiḥ nirviśeṣo bhavati tīrthikaiḥ |	| Atma dRzwiH Bavati jIva dRzwiH nirviSezaH Bavati tIrTikEH |
   unmārgapratipanno bhavati | śūnyatāyāmasya cittaṃ na praskandati na	unmArga pratipannaH Bavati | SUnyatA AyAm asya cittam na praskandati na
   prasīdati na saṃtiṣṭhate nādhimucyate | āryadharmā asya na vyavadāyante |	prasIdati na saMtizWate na aDimucyate | Arya DarmAH asya na vyavadAyante |
   evamāgamato 'pi na yujyate | pudgalo 'pi hi bhagavatā tatra tatra deśitaḥ	evam AgamataH api na yujyate | pudgalaH api hi BagavatA tatra tatra deSitaH
   | parijñātāvī bhārahāraḥ śraddhānusāryādipudgalavyavasthānata ityasati	| parijQAtAvI BAra hAraH SradDA anusAryAdi pudgala vyavasTAnataH iti asati
   dravyato 'stitve kasmāddeśitaḥ |	dravyataH astitve kasmAt deSitaH |
   saṃkleśe vyavadāne ca avasthācchedabhinnake |	saMkleSe vyavadAne ca avasTA AcCeda Binnake |
   vṛttisaṃtānabhedo hi pudgalenopadarśitaḥ ||	vRtti saMtAna BedaH hi pudgalena upadarSitaH ||
   avasthābhinne hi saṃkleśavyavadāne chedabhinne ca |	avasTA Binne hi saMkleSa vyavadAne Ceda Binne ca |
   pudgalaprajñaptimantareṇa tadvṛttibhedaḥ saṃtānabhedaśca deśayituṃ na	pudgala prajQaptim antareNa tad vRtti BedaH saMtAna BedaH ca deSayitum na
   śakyaḥ | tatra parijñāsūtre parijñeyā dharmāḥ saṃkleśaḥ parijñā vyavadānaṃ	SakyaH | tatra parijQA sUtre parijQeyAH DarmAH saMkleSaH parijQA vyavadAnam
   | bhārahārasūtre | bhāro bhārādānaṃ ca saṃkleśaḥ | bhāranikṣepaṇaṃ	| BAra hAra sUtre | BAraH BAra AdAnam ca saMkleSaH | BAra nikzepaNam
   vyavadānaṃ | tayorvṛttibhedaḥ saṃtānabhedaścāntareṇa	vyavadAnam | tayoH vRtti BedaH saMtAna BedaH ca antareNa
   parijñātāvibhārahārapudgalaprajñaptiṃ na śakyeta deśayituṃ | bodhipakṣāśca	parijQAtA viBAra hAra pudgala prajQaptim na Sakyeta deSayitum | boDi pakzAH ca
   dharmā bahudhāvasthāḥ prayogadarśanabhāvanāniṣṭhāmārga viśeṣabhedataḥ |	DarmAH bahuDA avasTAH prayoga darSana BAvanA nizWA mArga viSeza BedataH |
   teṣāṃ vṛttibhedaḥ saṃtānabhedaścāntareṇa śraddhānusāryādipudgalaprajñaptiṃ	tezAm vRtti BedaH saMtAna BedaH ca antareNa SradDA anusAryAdi pudgala prajQaptim
   na śakyeta deśayituṃ | yenāsati dravyato 'stitve pudgalo deśita	na Sakyeta deSayitum | yena asati dravyataH astitve pudgalaH deSita
   ityayamatra nayo veditavyaḥ | itarathā hi pudgaladeśanā niṣprayojanā	iti ayam atra nayaH veditavyaH | itaraTA hi pudgala deSanA nizprayojanA
   prāpnoti | na hi tāvadasāvātmadṛṣṭyutpādanārthaṃ yujyate yasmāt	prApnoti | na hi tAvat asO= Atma dRzwi utpAdana arTam yujyate yasmAt 
   ātmadṛṣṭiranūtpādyā	Atma dRzwiH anu utpAdyA
   pūrvamevotpannatvāt | nāpi tadabhyāsārthaṃ yasmādātmadṛṣṭer	pUrvam eva utpanna tvAt | na api tad aByAsa arTam yasmAt Atma dRzweH 
   abhyāso 'nādikālikaḥ |	aByAsaH anAdi kAlikaH |
   yadi cātmadarśanena mokṣa ityasau deśyeta | evaṃ sati syāt	yadi ca Atma darSanena mokzaH iti asO deSyeta | evam sati syAt 
   ayatnamokṣaḥ sarveṣāṃ	ayatna mokzaH sarvezAm
   tathā hi sarveṣāṃ na dṛṣṭasatyānāmātmadarśanaṃ vidyate | naiva vā mokṣo	taTA hi sarvezAm na dRzwa satyAnAm Atma darSanam vidyate | na eva vA mokzaH 
   'stīti prāpnoti | na hi pūrvamātmānamanātmato gṛhītvā satyābhisamayakāle	asti iti prApnoti | na hi pUrvam AtmAnam anAtmataH gRhItvA satya aBisamaya kAle
   kaścidātmato gṛhṇāti | (MSA_Bagchi 153) yathā duḥkhaṃ duḥkhataḥ	kaScid AtmataH gRhNAti | (MSA_BagCi 153) yaTA duHKam duHKataH
   pūrvamagṛhītvā paścādgṛhṇātīti yathāpūrvaṃ tathā paścādapi mokṣo na syāt |	pUrvam agRhItvA paScAt gRhNAti iti yaTApUrvam taTA paScAt api mokzaH na syAt |
   sati cātmanyavaśyamahaṃkāramamakārābhyāmātmatṛṣṇayā cānyaiśca tannidānaiḥ	sati ca Atmani avaSyam ahaMkAra m amakArAByAm Atma tRzNayA ca anyEH ca tad nidAnEH
   kleśairbhavitavyamiti ato 'pi mokṣo na syāt | na vā pudgalo 'stīti	kleSEH Bavitavyam iti atas api mokzaH na syAt | na vA pudgalaH asti iti
   abhyupagantavyaṃ | tasminhi sati niyatamete doṣāḥ prasajyante |	aByupagantavyam | tasmin hi sati niyatam ete dozAH prasajyante |
   evamebhirguṇairnityaṃ bodhisattvāḥ samanvitāḥ |	evam eBiH guNEH nityam boDisattvAH samanvitAH |
   ātmārthaṃ ca na riñcanti parārthaṃ sādhayanti ca || Msa_18.104 ||	Atma arTam ca na riQcanti para arTam sADayanti ca || Msa_18.104 ||
   hīdhṛtiprabhṛtīnāṃ guṇānāṃ samāsena karma nirdiṣṭam |	hIDRti praBRtInAm guNAnAm samAsena karma nirdizwam |
   || mahāyānasūtrālaṃkāre bodhipakṣādhikāraḥ [aṣṭādaśaḥ] samāptaḥ ||	|| mahAyAna sUtra alaMkAre boDi pakza aDikAraH [azwAdaSaH] samAptaH ||
   (MSA_Bagchi 154)	(MSA_BagCi 154)
   ekonaviṃśatyadhikāraḥ	ekonaviMSati aDikAraH
   āścaryavibhāge trayaḥ ślokāḥ |	AScarya viBAge trayaH SlokAH |
   svadehasya parityāgaḥ saṃpatteścaiva saṃvṛttau |	sva dehasya parityAgaH saMpatteH ca eva saMvRttO |
   durbaleṣu kṣamā kāye jīvite nirapekṣiṇaḥ || Msa_19.1 ||	durbalezu kzamA kAye jIvite nirapekziNaH || Msa_19.1 ||
   vīryārambho hyanāsvādo dhyāneṣu sukha eva ca |	vIrya AramBaH hi anAsvAdaH DyAnezu suKaH eva ca |
   niṣkalpanā ca prajñāyāmāścaryaṃ dhīmatāṃ ga[ma]taṃ || Msa_19.2 ||	nizkalpanA ca prajQAyAm AScaryam DImatAm ga[ma]tam || Msa_19.2 ||
   tathāgatakule janmalābho vyākaraṇasya ca |	taTAgata kule janma lABaH vyAkaraNasya ca |
   abhiṣekasya ca prāptirbodheścāścaryamiṣyate || Msa_19.3 ||	aBizekasya ca prAptiH boDeH ca AScaryam izyate || Msa_19.3 ||
   atra dvābhyāṃ ślokābhyāṃ pratipattyāścaryamuktaṃ ṣaṭpāramitā ārabhya |	atra dvAByAm SlokAByAm pratipatti AScaryam uktam zaz pAramitA AraBya |
   dānena hi svadehaparityāga āścaryaṃ śīlasaṃvaranimittamudārasaṃpattityāgaḥ	dAnena hi sva deha parityAgaH AScaryam SIla saMvara nimittam udAra saMpatti tyAgaH
   | śeṣaṃ gatārthaṃ | tṛtīyena ślokena phalāścaryamuktaṃ catvāri	| Sezam gata arTam | tRtIyena Slokena Pala AScaryam uktam catvAri
   bodhisattvaphalānyārabhya prathamāyāmaṣṭamyāṃ daśamyāṃ trīṇi śaikṣāṇi	boDisattva PalAni AraBya praTamAyAm azwamyAm daSamyAm trINi SEkzANi
   phalāni | buddhabhūmau caturthamaśaikṣamatra phalaṃ |	PalAni | budDa BUmO caturTam aSEkzam atra Palam |
   anāścaryavibhāge ślokaḥ |	anAScarya viBAge SlokaH |
   vairāgyaṃ karuṇāṃ caitya bhāvanāṃ paramāmapi |	vErAgyam karuNAm ca etya BAvanAm paramAm api |
   tathaiva samacittatvaṃ nāścaryaṃ tāsu yuktatā || Msa_19.4 ||	taTA eva sama citta tvam na AScaryam tAsu yukta tA || Msa_19.4 ||
   tāsviti pāramitāsu | vairāgyamāgamya dāne prayogo nāścaryaṃ |	tAsu iti pAramitAsu | vErAgyam Agamya dAne prayogaH na AScaryam |
   karuṇāmāgamya śīle kṣāntau ca | paramāṃ bhāvanāmāgamyāṣṭamyāṃ bhūmau	karuNAm Agamya SIle kzAntO ca | paramAm BAva nAm AgamyA azwamyAm BUmO
   nirabhisaṃskāranirvikalpo vīryādiprayogo nāścaryam |	niraBisaMskAra nirvikalpaH vIrya Adi prayogaH na AScaryam |
   ātmaparasamacittatāmāgamya sarvāsveva pāramitāsu prayogo nāścaryamātmārtha	Atma para sama citta tAm Agamya sarvAsu eva pAramitAsu prayogaH na AScaryam Atma arTa
   iva parārthe khedābhāvāt |	iva para arTe Keda aBAvAt |
   samacittatāyāṃ trayaḥ ślokāḥ |	sama citta tAyAm trayaH SlokAH |
   na tathātmani dāreṣu sutamitreṣu bandhuṣu |	na taTA Atmani dArezu suta mitrezu banDuzu |
   sattvānāṃ pragataḥ sneho yathā sattveṣu dhīmatāṃ || Msa_19.5 ||	sattvAnAm pragataH snehaH yaTA sattvezu DImatAm || Msa_19.5 ||
   arthiṣvapakṣapātaśca śīlasyākhaṇḍanā dhruvaṃ |	arTizu apakzapAtaH ca SIlasya aKaNxanAH Druvam |
   kṣāntiḥ sarvatra sattvārthaṃ[sarvārthaṃ]vīryārambho mahānapi || Msa_19.6	kzAntiH sarvatra sattva arTaM[sarva arTaM]vIrya AramBaH mahAn api || Msa_19.6
   dhyānaṃ ca kuśalaṃ nityaṃ prajñā caivāvikalpikā |	DyAnam ca kuSalam nityam prajQA ca eva avikalpikA |
   vijñeyā bodhisattvānāṃ tāsveva samacittatā || Msa_19.7 ||	vijQeyAH boDisattvAnAm tAsu eva sama citta tA || Msa_19.7 ||
   (MSA_Bagchi 155)	(MSA_BagCi 155)
   ekaḥ ślokaḥ sattveṣu samacittatāyāṃ | dvau pāramitāsu | na hi	ekaH SlokaH sattvezu sama citta tAyAm | dvO pAramitAsu | na hi
   sattvānāmātmādiṣu snehaḥ samatayā anugato na cātyantaṃ | tathā	sattvAnAm Atma Adizu snehaH samatayA anugataH na ca atyantam | taTA
   hyātmānamapi kadācinmārayanti | bodhisattvānāṃ tu sarvasattveṣu	hi AtmAnam api kadAcid mArayanti | boDisattvAnAm tu sarva sattvezu
   samatayātyantaṃ ca pāramitāsu punardāne samacittatvamarthiṣvapakṣapātāt |	samataya atyantam ca pAramitAsu punar dAne sama citta tvam arTizu apakza pAtAt |
   śīle 'ṇumātrasyāpi nityamakhaṇḍanā | kṣāntiḥ sarvatreti deśakāle	SIle aNu mAtrasya api nityam aKaNxanA | kzAntiH sarvatra iti deSa kAle
   satveṣvabhedanā | vīrye sattvārthaṃ[sarvārthaṃ]vīryārambhātsvaparārthaṃ	satvezu aBedanA | vIrye sattva arTaM[sarva arTaM]vIrya AramBAt sva para arTam
   samaṃ prayogātsarvakuśalārthaṃ ca | śeṣaṃ gatārtham |	samam prayogAt sarva kuSala arTam ca | Sezam gata arTam |
   upakāritvavibhāge ṣoḍaśa ślokāḥ |	upakAri tva viBAge zoxaSa SlokAH |
   sthāpanā bhājanatve ca śīleṣveva ca ropaṇaṃ |	sTApanAH BAjana tve ca SIlezu eva ca ropaNam |
   marṣaṇā cāpakārasya arthe vyāpāragāmitā || Msa_19.8 ||	marzaNA ca apakArasya arTe vyApAra gAmitAH || Msa_19.8 ||
   āvarjanā śāsane 'smiṃśchedanā saṃśayasya ca |	AvarjanA SAsane asmin= CedanA saMSayasya ca |
   sattveṣu upakāritvaṃ dhīmatāmetadiṣyate || Msa_19.9 ||	sattvezu upakAri tvam DImatAm etat izyate || Msa_19.9 ||
   ābhyāṃ ślokābhyāṃ ṣaḍbhiḥ pāramitābhiryathopakāritvaṃ bodhisattvānāṃ	AByAm SlokAByAm zaxBiH pAramitABiH yaTA upakAri tvam boDisattvAnAm
   tatparidīpitaṃ | dānena hi sattvānāṃ bhājanatve sthāpayanti kuśalakriyāyāḥ	tad paridIpitam | dAnena hi sattvAnAm BAjana tve sTApayanti kuSala kriyAyAH
   | dhyānenāvarjayanti prabhāvaviśeṣayogāt | śeṣaṃ gatārthaṃ | śeṣaiḥ	| DyAnena Avarjayanti praBAva viSeza yogAt | Sezam gata arTam | SezEH
   ślokaiḥ mātrādisādharmyeṇopakāritvaṃ darśitam |	SlokEH mAtrA Adi sADarmyeNa upakAri tvam darSitam |
   samāśayena sattvānāṃ dhārayanti sadaiva ye |	samASayena sattvAnAm DArayanti sadA eva ye |
   janayantyāryabhūmau ca kuśalairvardhayanti ca || Msa_19.10 ||	janayanti Arya BUmO ca kuSalEH varDayanti ca || Msa_19.10 ||
   duṣkṛtātparirakṣanti śrutaṃ vyutpādayanti ca |	duzkRtAt parirakzanti Srutam vyutpAdayanti ca |
   pañcabhiḥ karmabhiḥ sattvamātṛkalpā jinātmajāḥ || Msa_19.11 ||	paQcaBiH karmaBiH sattva mAtR kalpAH jina AtmajAH || Msa_19.11 ||
   sattvānāṃ mātṛbhūtāḥ sattvamātṛkalpā | mātā hi putrasya	sattvAnAm mAtR BUtAH sattva mAtR kalpAH | mAtA hi putrasya
   pañcavidhamupakāraṃ karoti | garbheṇa dhārayati | janayati | āpāyayati	paQcaviDam upakAram karoti | garBeNa DArayati | janayati | ApAyayati
   poṣayati saṃvardhayati | apāyādrakṣate | abhilāpaṃ ca śikṣayati |	pozayati saMvarDayati | apAyAt rakzate | aBilApam ca Sikzayati |
   tatsādharmyeṇaitāni pañcabodhisattvakarmāṇi veditavyāni |	tad sADarmyeNa etAni paQca boDisattva karmANi veditavyAni |
   āryabhūmirāryadharmā veditavyāḥ |	Arya BUmiH Arya DarmAH veditavyAH |
   śraddhāyāḥ sarvasattveṣu sarvadā cāvaropaṇāt |	SradDAyAH sarva sattvezu sarvadA ca avaropaNAt |
   adhiśīladiśikṣāyāṃ vimuktau ca niyojanāt || Msa_19.12 ||	aDiSIla diSikzAyAm vimuktO ca niyojanAt || Msa_19.12 ||
   buddhādhyeṣaṇataścaiṣāmāvṛteśca vivarjanāt |	budDa aDyezaNataH ca ezAm AvRteH ca vivarjanAt |
   pañcabhiḥ karmabhiḥ sattvapitṛkalpā jinātmajāḥ || Msa_19.13 ||	paQcaBiH karmaBiH sattva pitR kalpAH jina AtmajAH || Msa_19.13 ||
   pitā hi putrāṇāṃ pañcavidhamupakāraṃ karoti | bījaṃ teṣāmavaropayati |	pitA hi putrANAm paQcaviDam upakAram karoti | bIjam tezAm avaropayati |
   śilpaṃ śikṣayati | pratirūpairdārairniyojayati | sanmitreṣupanikṣipati |	Silpam Sikzayati | pratirUpEH dArEH niyojayati | sat mitrezupanikzipati |
   anṛṇaṃ karoti yathā na (MSA_Bagchi 156) paitṛkamṛṇaṃ dāpyate |	anRNam karoti yaTA na (MSA_BagCi 156) pEtRkam RNam dApyate |
   tatsādharmyeṇa bodhisattvānāmetāni pañca karmāṇi veditavyāni | śraddhā hi	tat sADarmyeNa boDisattvAnAm etAni paQca karmANi veditavyAni | SradDA hi
   sattvānāmāryātmabhāvapratilambhasya bījaṃ | śaikṣāḥ śilpaṃ |	sattvAnAm AryAtma BAva pratilamBasya bIjam | SEkzAH Silpam |
   vimuktirbhāryā vimuktiprītisukhasaṃvedanā[t?]buddhāḥ kalyāṇamitrāṇi |	vimuktiH BAryAH vimukti prIti suKa saMvedana a[t?]budDAH kalyANa mitrANi |
   avaraṇamṛṇasthānam |	avaraNam RNa sTAnam |
   anarhadeśanāṃ ye ca sattvānāṃ gūhayanti hi |	anarha deSanAm ye ca sattvAnAm gUhayanti hi |
   śikṣāvipattiṃ nindanti śaṃsantyeva ca saṃpadam || Msa_19.14 ||	SikzA vipattim nindanti SaMsanti eva ca saMpadam || Msa_19.14 ||
   avavādaṃ ca yacchanti mārānāvedayanti hi |	avavAdam ca yacCanti mArAn Avedayanti hi |
   pañcabhiḥ karmabhiḥ sattvabandhukalpā jinātmajāḥ || Msa_19.15 ||	paQcaBiH karmaBiH sattva banDu kalpAH jina AtmajAH || Msa_19.15 ||
   bandhavo hi bandhūnāṃ pañcavidhamupakāraṃ kurvanti | guhyaṃ gūhayanti |	banDavaH hi banDUnAm paQcaviDam upakAram kurvanti | guhyam gUhayanti |
   kuceṣṭitaṃ vigarhanti | suceṣṭitaṃ praśaṃsanti | karaṇīyeṣu sāhāyyaṃ	ku cezwitam vigarhanti | su cezwitam praSaMsanti | karaNIyezu sAhAyyam
   gacchanti | vyasanasthānebhyaśca nivārayanti | tatsādharmyeṇaitāni	gacCanti | vyasana sTAneByaH ca nivArayanti | tad sADarmyeNa etAni
   bodhisattvānāṃ pañca karmāṇi veditavyāni | anarhebhyo	boDisattvAnAm paQca karmANi veditavyAni | anarheByaH 
   gambhīradharmedeśanāvinigūhanāt śikṣāvipattisaṃpattyoryathākramaṃ	gamBIra Darmeda ISanA vinigUhanAt SikzA vipatti saMpattyoH yaTAkramam
   nindanātpraśaṃsanācca | adhigamāyāvavādāt mārakarmavedanācca |	nindanAt praSaMsanAt ca | aDigama Aya a= avAdAt mAra karma vedanAt ca |
   saṃkleśe vyavadāne ca svayamaśrāntabuddhayaḥ |	saMkleSe vyavadAne ca svayam aSrAnta budDayaH |
   yacchanti laukikīṃ kṛtsnāṃ saṃpadaṃ cātilaukikīm || Msa_19.16 ||	yacCanti lOkikIm kRtsnAm saMpadam ca ati lOkikIm || Msa_19.16 ||
   sukhe hite cābhinnā[akheditvādabhinnā] ye sadā sukhahitaiṣiṇaḥ |	suKe hite ca aBinnA[a Kedi tvAt aBinnA] ye sadA suKa hita eziNaH |
   pañcabhiḥ karmabhiḥ sattvamitrakalpā jinātmajāḥ || Msa_19.17 ||	paQcaBiH karmaBiH sattva mitra kalpAH jina AtmajAH || Msa_19.17 ||
   taddhi mitraṃ yanmitrasya hite ca sukhe cāviparyastaṃ | sukhaṃ	tat hi mitram yat mitrasya hite ca suKe ca aviparyastam | suKam
   copasaṃharati hitaṃ cābhedyaṃ ca bhavati | hitasukhaiṣi ca nityaṃ | tathā	ca upasaMharati hitam ca aBedyam ca Bavati | hita suKa ezi ca nityam | taTA
   bodhisattvāḥ sattvānāṃ pañcabhiḥ karmabhirmitrakalpā beditavyāḥ | laukikī	boDisattvAH sattvAnAm paQcaBiH karmaBiH mitra kalpAH beditavyAH | lOkikI
   hi saṃpat sukhaṃ | tayā sukhānubhavāt | lokottarā hitaṃ |	hi saMpad suKam | tayA suKa anuBavAt | loka uttarA hitam |
   kleśavyādhipratipakṣatvāt |	kleSa vyADi pratipakza tvAt |
   sarvadodyamavanto ye sattvānāṃ paripācane |	sarvadA udyamavantaH ye sattvAnAm paripAcane |
   samyagniryāṇavaktāraḥ kṣamā vipratipattiṣu || Msa_19.18 ||	samyak niH yANa vaktAraH kzamA vipratipattizu || Msa_19.18 ||
   dvayasaṃpattidātārastadupāye ca kovidāḥ |	dvaya saMpatti dAtAraH tad upAye ca kovidAH |
   pañcabhiḥ karmabhiḥ sattvadāsakalpā jinātmajāḥ || Msa_19.19 ||	paQcaBiH karmaBiH sattva dAsa kalpAH jina AtmajAH || Msa_19.19 ||
   dāso hi pañcabhiḥ karmabhiḥ samyag vartate | utthānasaṃpanno bhavati |	dAsaH hi paQcaBiH karmaBiH samyak vartate | utTAna saMpannaH Bavati |
   kṛtyeṣu avisaṃvādako bhavati | kṣamo bhavati paribhāṣaṇatāḍanādīnāṃ |	kRtyezu avisaMvAdakaH Bavati | kzamaH Bavati pariBAzaNa tAxana AdInAm |
   nipuṇo bhavati sarvakāryakaraṇāt | (MSA_Bagchi 157) vicakṣaṇaśca bhavati	nipuNaH Bavati sarva kArya karaNAt | (MSA_BagCi 157) vicakzaNaH ca Bavati
   upāyajñaḥ | tatsādharmyeṇaitāni pañca karmāṇi bodhisattvānāṃ veditavyāni |	upAya jQaH | tad sADarmyeNa etAni paQca karmANi boDisattvAnAm veditavyAni |
   dvayasaṃpattirlaukikī lokottarā ca veditavyā |	dvaya saMpattiH lOkikI loka uttarA ca veditavyA |
   anutpattikadharmeṣu kṣāntiṃ prāptāśca ye matāḥ |	anutpattika Darmezu kzAntim prAptAH ca ye matAH |
   sarvayānāpadeṣṭāraḥ siddhayogāniyojakāḥ || Msa_19.20 ||	sarva yAna apadezwAraH sidDa yoga aniyojakAH || Msa_19.20 ||
   sumukhāḥ pratikāre ca vipāke cānapekṣiṇaḥ |	sumuKAH pratikAre ca vipAke ca anapekziNaH |
   pañcabhiḥ karmabhiḥ sattvācāryakalpā jinātmajāḥ || Msa_19.21 ||	paQcaBiH karmaBiH sattva AcArya kalpAH jina AtmajAH || Msa_19.21 ||
