   caturthaḥ paricchedaḥ	caturTaH paricCedaH
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ṭha) asundarasya bahūnyudāharaṇāni sambhavantīti	(vi, Wa) asundarasya bahUni-udAharaNAni samBavanti-iti
   darśayitumāha---kiñca yo dīpaketi /	darSayitum-Aha---kiQca yaH dIpaka-iti /
        bahūpamānānāmekadharmānvayo dīpakam /	bahu-upamAnAnAm-eka-Darma-anvayaH dIpakam /
        upameyopamānānāmekadharmmānvayastulyayogitā /	upameya-upamAnAnAm-eka-Darmma-anvayaH-tulyayogitAH /
        sarvatraiva vyañjanayā upamā pratīyate /	sarvatra-eva vyaQjanayA upamA pratIyate /
        asyāśca guṇībhūtatve hetumāha---kāvyasyeti /	asyAH-ca guNIBUta-tve hetum-Aha---kAvyasya-iti /
        alaṅkārāntarasyāpi pratītau satyāṃ yaccālaṅkārāntaraṃ bhasata	alaFkAra-antarasya-api pratItO satyAm yat-ca-alaFkAra-antaram Basata
   ityarthaḥ /	iti-arTaH /
        kāvyasya na tatparatvaṃ, camatkāranutkaṭatvena tattattātparyyakatvam	kAvyasya na tad-paratvaM, camatkAra-nud-kawa-tvena tat-tat-tAt-paryyaka-tvam
        ato bhāsamānālaṅkārarūposau na dhvanermārga ityarthaḥ /	atas BAsamAna-alaFkAra-rUpa-UsO na DvaneH-mArgaH iti-arTaH /
        yatreti pāṭhe tu yatra kāvye bhāsate ityalaṅkāra iti	yatra-iti pAWe tu yatra kAvye BAsate iti-alaFkAraH iti
   kartṛpadamadhyāhāryyam /	kartR-padam-aDyAhAryyam /
        Locanā:	LocanA:
        (lo, u) idānīmanyatrāpi vyaṅgyasya guṇībhāvasthale dhvanibhramaṃ	(lo, u) idAnIm-anyatra-api vyaFgyasya guNIBAva-sTale Dvani-Bramam
   nirasyan āha---kiñceti /	nirasyan Aha---kiQcA-iti /
        alaṅkārāntarasyāpīti /	alaFkAra-antarasya-api-iti /
        kāvyasya ca tatparatvaṃ na bhāsata iti sambandhaḥ /	kAvyasya ca tad-paratvam na BAsate iti sambanDaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   yatra ca śabdāntarādinā gopanakṛtacārutvasya viparyāsaḥ /	yatra ca Sabda-antara-AdinA gopana-kRta-cAru-tvasya viparyAsaH /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ḍa) anyamapi guṇībhūtavyaṅgyaprakāramāha	(vi, xa) anyam-api guNIBUta-vyaFgya-prakAram-Aha
   yatreti---vyaṅgyārthasya gopanakṛtacārutve hi dhvanitvaṃ tad viparyyāso	yatra-iti---vyaFgya-arTasya gopana-kRta-cAru-tve hi Dvani-tvam tat viparyyAsaH-
   vyaktīkāraṇaṃ yatra śabdāntarādinā kriyate so	vyaktIkAraNam yatra Sabda-antara-AdinA kriyate saH-
   'gūḍharūpaguṇībhūtavyaṅgyaprabheda ityarthaḥ /	agUXa-rUpa-guNIBUta-vyaFgya-praBedaH iti-arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   yathā---	yaTA---
   "dṛṣṭyā keśava ! goparāgahṛtayā kiṃcinna dṛṣṭaṃ mayā tenātra skhalitāsmi	"dRzwyA keSava ! gopa-rAga-hRtayA kiMcid-na dRzwam mayA tena-atra sKalitA-asmi
   nātha ! patitāṃ kiṃ nāma nālambase /	nATa ! patitAm kim nAma na-Alambase /
   ekastvaṃ viṣameṣu khinnamanasāṃ sarvābalānāṃ gatir- gopyevaṃ gaditaḥ	ekaH-tvam vizamezu Kinna-manasAm sarva-abalAnAm gatir gopI-evam gaditaH
   saleśamavatādroṣṭhe harirvaściram" //	sa-leSam-avatAdrozWe hariH-vaH-ciram" //
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ḍha) dṛṣṭyeti---keśavaṃ dṛṣṭvā madanāndhatayā goṣṭe patitāyā	(vi, Xa) dRzwyA-iti---keSavam dRzwvA madana-anDatayA gozwe patitAyAH-
   gopyāḥ saleśaṃ saśleṣaṃ gadito hariściramavatāt /	gopyAH sa-leSam sa-Slezam gaditaH hariH-ciram-avatAt /
        dṛṣṭyetyādi--saśleṣoktiḥ tatra vācyārtho yathā---he keśava gavāṃ	dRzwyA-ityAdi---sa-Sleza-uktiH tatra vAcya-arTaH yaTA---he keSava gavAm
   parāgeṇa rajasā hṛtayā naṣṭayā dṛṣṭyā mayā kiñcit na dṛṣṭam /	parAgeNa rajasA hRtayA nazwayA dRzwyA mayA kiQcid na dRzwam /
        tena hetunā atra skhalitā /	tena hetunA atra sKalitA /
        #āsmi patitāsmi /	#A-asmi patitA-asmi /
        he nātha ! patitāṃ māṃ kiṃ nālambase /	he nATa ! patitAm mAm kim na-Alambase /
        kathamālambiṣye ityatrāha---ekastvamiti---viṣameṣūñcanīceṣu vartmasu	kaTam-Alambizye iti-atra-aha---ekaH-tvam-iti---vizamezu-uQcanIcezu vartmasu
   khinnamanasāṃ patnena klāntahṛdayānāṃ sarvābalānāṃ sakalabalarahitānāṃ	Kinna-manasAm patnena klAnta-hRdayAnAm sarva-abalAnAm sakala-bala-rahitAnAm
   strīṇāṃ puṃsāṃ ca yatastvaṃ gatiriti /	strINAm puMsAm ca yatas-tvam gatiH-iti /
        vyaṅgyārtho yathā-he keśava gopa gopālaka /	vyaFgya-arTaH yaTA-he keSava gopa gopAlakaH /
        rāgeṇa tvayyanurāgeṇa hṛtayā dṛṣṭyā mayā kiñcinnijatiroṣādikaṃ na	rAgeNa tvayi-anurAgeNa hRtayA dRzwyA mayA kiQcid-nijati-roza-Adikam na
   dṛṣṭam /	dRzwam /
        tenātra goṣṭhe skhalitāsmi āgatāsmi /	tena-atra gozWe sKalitA-asmi AgatA-asmi /
        he nātha ! patitāṃ patibhāvaṃ bharttṛtvaṃ kiṃ nāma nālambase	he nATa ! patitAm pati-BAvam BarttR-tvam kim nAma na-Alambase
   nāśrayasi /	na-ASrayasi /
        yato viṣameṣuṇā pañceṣuṇā khinnamanasāṃ sarvāsām abalānāṃ tvameko	yatas vizama-izuNA paQca-izuNA Kinna-manasAm sarvAsAm abalAnAm tvam-eko
   gatiriti /	gatiH-iti /
        Locanā:	LocanA:
        (lo, ū) dṛṣṭyeti---gavāṃ parāgeṇa rajasā hṛtayā tiraskṛtayā /	(lo, U) dRzwyA-iti---gavAm parAgeNa rajasA hRtayA tiraskRtayA /
        gāḥ indriyāṇi sambhāgadānādinā pātīti gopaḥ tasmin gope tvayi, rāgeṇa	gAH indriyANi samBAga-dAna-AdinA pAti-iti gopaH tasmin gope tvayi, rAgeNa
   pramṇā hṛtayā vaśīkṛtayā skhalitā bhraṣṭapādā gatadhairyyā ca /	pramNA hRtayA vaSIkRtayA sKalitA Brazwa-pAdA gata-DEryyA ca /
        atha patitāṃ mārgapatitāṃ dhavatvaṃ ca nāvalambase na dhārayasi na	aTa patitAm mArga-patitAm Dava-tvam ca na-avalambase na DArayasi na
   parigṛhaṇāsi ca /	parigRhaNAsi ca /
        viṣameṣu uccanīcasthāneṣu, viṣameṣuḥ kāmaḥ tena ca khinnamanasām /	vizamezu ucca-nIca-sTAna-izu, vizama-izuH kAmaH tena ca Kinna-manasAm /
        abalānāṃ durbalānāṃ strīṇāṃ ca /	abalAnAm durbalAnAm strINAm ca /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   atra goparāgādiśabdānāṃ gope rāga ityādivyaṅgyārthānāṃ saleśamiti padena	atra goparAga-Adi-SabdAnAm gope rAgaH ityAdi-vyaFgya-arTAnAm sa-leSam-iti padena
   sphuṭatayāvabhāsaḥ /	sPuwatayA-avaBAsaH /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ṇa) sphuṭayeti---śleṣavaśādeva tatpratīteḥ saleśapadena tat	(vi, Na) sPuwayA-iti----Sleza-vaSAt-eva tad-pratIteH sa-leSa-padena tat-
   sphuṭīkaraṇam /	sPuwIkaraNam /
        rasābhāsa iti boddhṛṇāmalpasantoṣa ityarthaḥ /	rasa-ABAsaH iti bodDRNAm-alpa-santozaH iti-arTaH /
        na tvanaucityapravarttitarūparasābhāsaḥ tad gopane 'pi	na tu-anOcitya-pravarttita-rUpa-rasa-ABAsaH tat gopane api
   paranāyakaviṣayatvena tadavaśyaṃbhāvāt /	para-nAyaka-vizaya-tvena tad-avaSyaMBAvAt /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   saleśamiti padasya parityāge dhvanireva /	sa-leSam-iti padasya parityAge DvaniH-eva /
   kiñca /	kiQca /
   yatra vastvalaṅkārasādirūpavyaṅgyānāṃ rasābhyantare guṇībhāvastatra	yatra vastu-alaFkA-rasa-Adi-rUpa-vyaFgyAnAm rasa-aByantare guNIBAvaH-tatra
   pradhānakṛta eva kāvyavyavahāraḥ /	praDAna-kRtaH eva kAvya-vyavahAraH /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ta) kvacittu vyaṅgye guṇībhūte 'pi dhvanikāvyavyavahāra eva na	(vi, ta) kvacid-tu vyaFgye guNIBUte api DvanikA-avya-vyavahAraH eva na
   guṇībhūtavyavahāra ityāha---kiñcātra yatra vastviti /	guNIBUta-vyavahAraH iti-Aha---kiQcA-atra yatra vastu-iti /
        rasābhyāntare pradhānībhūtarasādau /	rasa-aBya-antare praDAnIBUta-rasa-AdO /
        tatra pradhānakṛta eveti vyavahāro dhvanivyavahāraḥ /	tatra praDAna-kRtaH eva-iti vyavahAraH Dvani-vyavahAraH /
        na cedaṃ kathamupapadyate īdṛśasthale	na ca-idam kaTam-upapadyate IdRSa-sTale
   'parāṅgākhyaguṇībhūtavyaṅgyasyaivoktatvāt iti vācyam, yatra	apara-aFga-AKya-guNIBUta-vyaFgyasya-eva-ukta-tvAt iti vAcyam, yatra
   guṇībhūtānāmalaṅkārasādīnāmaṅgijanakatvameva natvaṅgi prakarṣakatvaṃ	guNIBUtAnAm-alaFkArasa-AdInAm-aFgi-janaka-tvam-eva na-tu-aFgi prakarzaka-tvam
   tatraivāṅgino vyañjakaviśeṣaṇatvenāṅgina eṣa camatkāritvāt	tatra-eva-aFginaH vyaQjaka-viSezaNa-tvena-aFginaH eza camatkAri-tvAt
   dhvanivyavahārat /	Dvani-vyavahArat /
        yathā ca calāpāṅgāṃ dṛṣṭimityatra madhukarakāmukarūpālaṅkārasya	yaTA ca cala-apAFgAm dRzwim-iti-atra maDukara-kAmuka-rUpa-alaFkArasya
   vyaṅgyasya hatā iti vyañjakaviśeṣalabhyavyaṅgyavipralambhapratijanakatvāt	vyaFgyasya hatAH iti vyaQjaka-viSeza-laBya-vyaFgya-vipralamBa-pratijanaka-tvAt-
   nāparāṅgatvaṃ kintu vipralambhadhvanitvameva /	na-apara-aFga-tvam kintu vipralamBa-Dvani-tvam-eva /
        yathā--- "jāne kopaparāṅmukhī priyatamā svapne 'dya dṛṣṭā mayā mā māṃ	yaTA-- "jAne kopa-parAFmuKI priyatamA svapne adya dRzwAH mayA mA mAm
   saṃspṛśa pāṇineti rudatī gantuṃ pravṛttā tataḥ /	saMspRSa pANinA-iti rudatI gantum pravRttA tatas /
        no yāvat parirabhya cāṭukaśatairāśvāsayāmi priyāṃ bhratastāvadahaṃ	naH yAvat pariraBya cAwuka-SatEH-ASvAsayAmi priyAm BrataH-tAvat-aham
   śaṭhena vidhinā nidrāharidrīkṛtaḥ" //	SaWena viDinA nidrA-haridrIkRtaH" //
        ityatra vidhiṃ pratyasūyādhvanireva śaṭhapadena vyañjakaviśeṣeṇa	iti-atra viDim pratyasUyA-aDvanireva SaWa-padena vyaQjaka-viSezeNa
   vyaktaḥ /	vyaktaH /
        no yāvadāśvāsayāmi ityanena vyaṅgyasya vipralambhasya tu	naH yAvat-ASvAsayAmi iti-anena vyaFgyasya vipralamBasya tu
   asūyājanakatvameva nāsūyāprakarṣakatvamityato nāparāṅgatvamityādi	asUyA-janaka-tvam-eva na-asUyA-prakarzaka-tvam-iti-atas na-apara-aFga-tvam-ityAdi
   svayamūhyam /	svayam-Uhyam /
        Locanā:	LocanA:
        (lo, ṛ) kiñcātreti /	(lo, R) kiQca-atra-iti /
        pradhānena rasenaiva kāvyavyavahāro na tu guṇībhūtavyaṅgyena /	praDAnena rasena-eva kAvya-vyavahAraH na tu guNIBUta-vyaFgyena /
        tathā ca tatrottamakāvyatvameva ityarthaḥ yathā"ayaṃ sa	taTA ca tatra-uttama-kAvya-tvam-eva iti-arTaH yaTA"ayam sa
   rasanotkarṣo"tyādaveva hi tatra śṛṅgārasya guṇībhāve 'pi taṃ	rasanA-utkarza-u"tyAdaveva hi tatra SRFgArasya guNIBAve api tam
   bhāgamavalambya madhyamakāvyavyavahāro 'pi na karttavyaḥ /	BAgam-avalambya maDyama-kAvya-vyavahAraH api na karttavyaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   taduktaṃ tenaiva---	tat-uktam tena-eva---
   "prakāro 'yaṃ guṇībhūtavyahgyo 'pi dhvanirūpatām /	"prakAraH ayam guNIBUta-vyahgyaH api Dvani-rUpa-tAm /
   dhatte rasāditātparyaparyālocanayā punaḥ" //	Datte rasa-Adi-tAt-parya-paryAlocanayA punar-" //
   iti /	iti /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, tha) prakāro	(vi, Ta) prakAraH-
   'yamiti---rasāditātparyyaparyyālocanamaṅgībhūtarasāderaṅgādijanyatvādino	ayam-iti---rasa-Adi-tAt-paryya-paryya-Alocanam-aFgI-BUta-rasa-AdeH-aFga-Adi-janya-tva-AdinaH-
   tatraiva tātparyyaparyyālocanam /	tatra-eva tAtparyya-paryyA-locanam /
        kvacittu prakāraṇagmye vastuni tātparyyasattvena aṅgībhūtarasādau	kvacid-tu prakAraNagmye vastuni tAtparyya-sattvena aFgI-BUta-rasa-AdO
   tātparyyābhāve 'pi āpātataścamatkāribhistairaṅgabhūtai rasādyaireva	tAtparyya-aBAve api ApAtataH-camat-kAriBiH-tEH-aFga-BUtEH rasa-AdyEH-eva
   parāṅgavyavahāra ityāha /	para-aFga-vyavahAraH iti-Aha /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   yatra tu---"yatronmadānāṃ pramadājanānāmabhraṃlihaḥ śoṇamaṇīmayakhaḥ /	yatra tu---"yatra-unmadAnAm pramadA-janAnAm-aBraMlihaH SoNa-maNImaya-KaH /
   saṃdhyābhramaṃ prāpnutākāṇḍe 'pyanaṅgane pathyavidhiṃ vidhatte" //	saMDyA-Bramam prApnuta-akANxe api-anaFgane paTya-viDim viDatte" //
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, da) yatra tu yatronmadānāmiti---atra pure 'bhraṃlihaḥ	(vi, da) yatra tu yatra-unmadAnAm-iti---atra pure aBraMlihaH
   meghasparśo śoṇamaṇīmayūkhaḥ padmarāgamaṇīnāṃ raśmiḥ /	meGa-sparSaH SoNa-maNI-mayUKaH padmarAga-maNInAm raSmiH /
        sandhyābhramaṃ tādṛśaraśmisañcaraṇādeva sandhyākāle iti bhrāntiṃ	sanDyA-Bramam tAdRSa-raSmi-saQcaraNAt-eva sanDyA-kAle iti BrAntim
   prāpnuvatāmunmadānāṃ madanamattānāṃ pramadājanānāmanaṅganepathyavidhiṃ	prApnuvatAm-unmadAnAm madana-mattAnAm pramadA-janAnAm-anaFga-nepaTya-viDim
   kāmasambhogaveśaṃ vidhatta ityanvayaḥ /	kAma-samBoga-veSam viDattaH iti-anvayaH /
        sandhyākāle pramadānāmanaṅgakrīḍārthanepathyavidhānāt /	sanDyA-kAle pramadAnAm-anaFga-krIxA-arTa-nepaTya-viDAnAt /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   ityādau rasādīnāṃ nagarīvṛttāntādivastumātreṅgatvam, tatra	ityAdO rasa-AdInAm nagarI-vRttAnta-Adi-vastu-mAtra-iFga-tvam, tatra
   teṣāmatātparyaviṣayatve 'pi taireva guṇībhūtaiḥ kāvyavyavahāraḥ /	tezAm-atAtparya-vizaya-tve api tEH-eva guNIBUtEH kAvya-vyavahAraH /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, dha) atra hi prakaraṇāt purāprakarṣe tātparyyasattvena	(vi, Da) atra hi prakaraNAt purA-prakarze tAtparyya-sattvena
   anaṅganepathyavidhānavyaṅgyasya śṛṅgārasya tātparyyaviṣayatvābhāve 'pi	anaFganepaTya-viDAna-vyaFgyasya SRFgArasya tAtparyya-vizaya-tva-aBAve api
   āpātataścamatkāritvalābhenaivāparāṅgavyavahāraḥ /	ApAtatas-camatkAri-tva-lABena-eva-apara-aFga-vyavahAraH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   taduktamasmadgotrakavipaṇiḍatamukhyaśrīcaṇḍīdāsapādaiḥ-vākyā	tad-uktam-asmad-gotraka-vipaNi-xata-muKya-SrI-caNxI-dAsa-pAdEH-vAkyA
   (kāvyār)thasyākhaṇḍabuddhivedyatayā tanmayībhāvenāsvādadaśāyaṃ	(kAvya-ar)Tasya-aKaNxa-budDi-vedya-tayA tanmayIBAvena-AsvAda-daSAyam
   guṇapradhānabhāvāvabhāsastāvannānubhūyate, kālāntare tu	guNa-praDAna-BAva-avaBAsaH-tAvat-na-anuBUyate, kAla-antare tu
   prakaraṇādiparyālocanayā bhavannapyasau na kāvyavyavadeśaṃvyāhantumīśaḥ,	prakaraNa-Adi-paryAlocanayA Bavan=-api-asO na kAvya-vyavadeSaMvyAhantum-ISaH,
   tasyāsvādamātrayattatvāt" iti /	tasya-AsvAda-mAtra-yat-tatva-at" iti /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, na) kāvyārthasyākhaṇḍeti---prakṛte kāvyārthaḥ	(vi, na) kAvya-arTasya-aKaNxa-iti----prakRte kAvya-arTaH
   anaṅganepathyavyaṅgyaḥ śṛṅgāraḥ /	anaFga-nepaTya-vyaFgyaH SRFgAraH /
        tasya vibhāvādinānāpadārthaghaṭitatve 'pi	tasya viBAva-Adi-nAnApadArTa-Gawita-tve api
   prapānakarasanyāyenākhaṇḍabuddhivedyatvaṃ;	prapAnaka-rasa-nyAyena-aKaNxa-budDi-vedya-tvaM;
   boddhustanmayībhāvenā'svādadaśāyāṃ śṛṅgāro guṇaḥ /	bodDuH-tanmayIBAvenA-asvAda-daSAyAm SRFgAraH guNaH /
        purīprakarṣaḥ pradhānamityavabhāsastāvadāpātato nānubhūyata ityarthaḥ	purI-prakarzaH praDAnam-iti-avaBAsaH-tAvat-ApAtataH na-anuBUyate iti-arTaH
        tatra āpātatastadananubhave 'pi uttarakālaṃ prakaraṇādiparyyālocanayā	tatra ApAtataH-tad-ananuBave api uttara-kAlam prakaraNa-Adi-paryyAlocanayA
   purīprakarṣaprādhānyāvagamo bhavannapi kāvyasya guṇībhūtavyaṅgyavyapadeśaṃ	purI-prakarza-prADAnya-avagamaH Bavan=-api kAvyasya guNIBUta-vyaFgI-a-vyapadeSam
   vyāhantuṃ neśa ityarthaḥ /	vyAhantum na-ISaH iti-arTaH /
        atra hetumāha---tasyeti /	atra hetum-Aha---tasya-iti /
        asya kāvyavyavahārasya āsvādamātrāyattatvādityarthaḥ /	asya kAvya-vyavahArasya AsvAda-mAtra-Ayatta-tvAt-iti-arTaH /
        tathāca apradhānenāpi śṛṅgāreṇā'svādāt na guṇībhūtavyaṅgyavyapadeśa	taTA-ca apraDAnena-api SRFgAreNA-asvAdAt na guNIBUta-vyaFgI-a-vyapadeSa
   ityarthaḥ /	iti-arTaH /
        Locanā:	LocanA:
        (lo, ṝ) yatreti---asau guṇapradhānabhāvābhāsaḥ /	(lo, L) yatra-iti---asO guNa-praDAna-BAva-ABAsaH /
        kāvyavyapadeśaṃ prādhānyadarśanena mūḍhamatibhiḥ apekṣaṇīyam /	kAvya-vyapadeSam prADAnya-darSanena mUXa-matiBiH apekzaNIyam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   keciccitrākhyaṃ tṛtīyaṃ kāvyabhedamicchanti /	kecid-citra-AKyam tRtIyam kAvya-Bedam-icCanti /
   tadāhuḥ---	tat-AhuH---
   "śabdacitraṃ vācyacitramavyaṅgyaṃ tvavaraṃ smṛtam" /	"Sabda-citram vAcya-citram-avyaFgyam tu-avaram smRtam" /
   iti /	iti /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Locanā:	LocanA:
        (lo, ḷ) citramiti---guṇālaṅkārayuktam /	(lo, ?) citra-miti---guNa-alaFkAra-yuktam /
        avaraṃ madhyamam /	avaram maDyamam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   tanna, yadi hi avyaṅgyatvena vyaṅgyābhāvastadā tasya kāvyatvamapi nāstīti	tat-na, yadi hi avyaFgya-tvena vyaFgya-aBAvaH-tadA tasya kAvya-tvam-api na-asti-iti
   prāgevoktam /	prAk-eva-uktam /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, pa) kāvyaprakāśakṛtā citrākhyaṃ tṛtīyaṃ kāvyamucyate	(vi, pa) kAvya-prakASa-kRtA citra-AKyam tRtIyam kAvyam-ucyate
   taddūṣayitumāha---keciditi /	tad-dUzayitum-Aha---kecid-iti /
        taddūṣayituṃ vitarkayati /	tad-dUzayitum vitarkayati /
        tanna yadi hīti, kāvyatvamapi nāstīti /	tat-na yadi hi-iti, kAvya-tvam-api na-asti-iti /
        saguṇāviti taiḥ kāvyalakṣaṇe kṛte vyaṅgyarasadvāreṇaiva ca	sa-guNO=-iti tEH kAvya-lakzaNe kRte vyaFgya-rasa-dvAreNa-eva ca
   saguṇatvena vyaṅgyābhāve saguṇatvābhāvāt kāvyatvaṃ nāstītyarthaḥ /	sa-guNa-tvena vyaFgya-aBAve sa-guNa-tva-aBAvAt kAvya-tvam na-asti-iti-arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   īṣadvyaṅgyatvamiti cet , kiṃ nāmeṣadvyaṅgyatvam ? āsvādyavyaṅgyatvam,	Izat-vyaFgya-tvam-iti ced , kim na-ama-IzadvyaFgya-tvam ? AsvAdyavyaFgya-tvam,
   anāsvādyavyaṅgyatvaṃ vā ? ādye prācīnabhedayorevāntaḥ pātaḥ /	anAsvAdi-avyaFgya-tvam vA ? Adye prAcIna-BedayoH-eva-antar pAtaH /
   dvitīye tvakāvyatvam /	dvitIye tu-akAvya-tvam /
   yadi cāsvādyatvaṃ tadākṣudratvameva kṣudratāyāmanāsvādyatvāt /	yadi ca-AsvAdya-tvam tadA-akzudra-tvam-eva kzudra-tAyAm-anAsvAdya-tvAt /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, pha) ādye āsvādyatve prācīnabhedayoḥ dhvaniguṇībhūtavyaṅgyayoḥ /	(vi, Pa) Adye AsvAdya-tve prAcIna-BedayoH Dvani-guNIBUta-vyaFgyayoH /
        dvitīye tviti---anāsvādyavyaṅgyatve ityarthaḥ /	dvitIye tu-iti---anAsvAdI-avyaFgya-tve iti-arTaH /
        akāvyatvamiti /	akAvya-tvam-iti /
        āsvādyavyaṅgyatve eva kāvayatvāṅgīkārāt idaṃ ca svakapolakalpitaṃ	AsvAdya-vyaFgya-tve eva kAvayatva-aFgIkArAt idam ca sva-kapola-kalpitam
   dūṣaṇam /	dUzaNam /
        anāsvādyavyaṅgyatve 'pyāsvādyālaṅkāratvena taiḥ kāvyatvāṅgīkārāt /	anAsvAdi-avyaFgya-tve api-AsvAdya-alaFkAra-tvena tEH kAvya-tva-aFgIkArAt /
        nanu āsvādye eva tāratamyānna prācīnadvayāntarbhāva ityata āha---yadi	nanu AsvAdye eva tAratamyAt-na prAcIna-dvaya-antarBAvaH iti-atas Aha---yadi
   cāsvādyatvamiti---tadā kṣudratvameveti---prācīnabhedadvayāt	ca-AsvAdya-tvam-iti---tadA kzudra-tvam-eva-iti----prAcIna-Beda-dvayAt
   asyālpatvamevetyarthaḥ /	asya-alpa-tvam-eva-iti-arTaH /
        astu tāvat kṣudratvaṃ tu	astu tAvat kzudra-tvam tu
   kāvyatvāprayojakatvenānupādeyatvādanāsvādyatvameva	kAvya-tva-aprayojaka-tvena-anupAdeya-tvAt-anAsvAdya-tvam-eva
   ityāha---kṣudratāyāmiti---tathā ca dhvaniguṇībhūtavyaṅgyākhyaṃ dvayameva	iti-Aha----kzudra-tAyAm-iti----taTA ca Dvani-guNIBUta-vyaFgyA-AKyam dvayam-eva
   kāvyam /	kAvyam /
        citrākhyaṃ padyaṃ na tu kāvyamiti bhāvaḥ /	citra-AKyam padyam na tu kAvyam-iti BAvaH /
        Locanā:	LocanA:
        (lo, e) prācīnabhedayoḥ dhvaniguṇībhūtavyaṅgyayoreva /	(lo, e) prAcIna-BedayoH Dvani-guNIBUta-vyaFgyayoH-eva /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   taduktaṃ dhvanikṛtā---	tat-uktam Dvani-kRtA---
   "pradhānaguṇabhāvābhyāṃ vyaṅgyasyaivaṃ vyavasthite /	"praDAna-guNa-BAvAByAm vyaFgyasya-evam vyavasTite /
