   sāṃkhyasaptatiṭīkā jayamaṅgalā //	sAMKya-saptatiwIkA jaya-maFgalAH //
   kṣīrātmanā pariṇamati kṛtārthaṃ ca nivartata iti // 57 //	kzIra-AtmanA pariNamati kRtArTam ca nivartate iti // 57 //
   kārikā 58	kArikA 58
   yadi puruṣavimokṣārthaṃ pradhānasya pravṛttiḥ, pravṛtteḥ prāk puruṣasya	yadi puruza-vimokza-arTam praDAnasya pravRttiH, pravRtteH prAk puruzasya
   kaivalyaṃ sthitameva, tat kiṃ tena pravṛttena? tathā cāhuḥ -	kEvalyam sTitam-eva, tat kim tena pravRttena? taTA ca-AhuH -
   madhvarthaṃ prasthitaḥ kaścid grāmābhyāśe tu mākṣikam /	maDu-arTam prasTitaH kaScid grAma-aByASe tu mAkzikam /
   akke cenmadhu vindeta kimarthaṃ parvataṃ vrajet // iti //	akke ced-maDu vindeta kim-arTam parvatam vrajet // iti //
   atrāha-	atra-Aha-
   autsukyanivṛttyarthaṃ yathā kriyāsu pravartate lokaḥ /	Otsukya-nivRtti-arTam yaTA kriyAsu pravartate lokaH /
   puruṣasya vimokṣārthaṃ pravartate tadvadavyaktam // ISk_58 //	puruzasya vimokza-arTam pravartate tadvat-avyaktam // ISc-_58 //
   'autsukyam'; ityādi / yathautsukyanivṛttyarthamabhimatakriyāsu lokaḥ	aOtsukyam-a; ityAdi / yaTA-Otsukya-nivRtti-arTam-aBimata-kriyAsu lokaH
   pravartate, tadvat pralayāvasthāyāṃ puruṣo 'pi mokṣanimittaṃ yadautsukyaṃ	pravartate, tadvat pralaya-avasTAyAm puruzaH api mokza-nimittam yadA-Otsukyam
   tannivṛttaye pravartayetpradhānamiti // 58 //	tad-nivRttaye pravartayet-praDAnam-iti // 58 //
   kārikā 59	kArikA 59
   udāharaṇāntaramāha-	udAharaNa-antaram-Aha-
   raṅgasya darśayitvā nivartate narttakī yathā nṛttāt /	raFgasya darSayitvA nivartate narttakI yaTA nRttAt /
   puruṣasya tathā '; 'tmānaṃ prakāśya vinivartate prakṛtiḥ // ISk_59 //	puruzasya taTA a; atmAnam prakASya vinivartate prakRtiH // ISc-_59 //
   'raṅgasya'; ityādi / nṛtyatīti narttakī / sā tathā raṅgasya nṛttaṃ	araFgasya-a; ityAdi / nRtyati-iti narttakI / sA taTA raFgasya nRttam
   darśayitvā tasmānnṛttānnivartate viramati, dṛṣṭāhamaneneti kṛtaprayojanā	darSayitvA tasmAt-nRttAn-nivartate viramati, dRzwA-aham-anena-iti kRta-prayojanA
   satī, tathā puruṣasyātmānaṃ saṃprakāśya devādibhāvarūpaṃ gatā nivartate	satI, taTA puruzasya-AtmAnam saMprakASya deva-Adi-BAva-rUpam gatAH nivartate
   prakṛtiḥ pradhānamityarthaḥ // 59 //	prakRtiH praDAnam-iti-arTaH // 59 //
   kārikā 60	kArikA 60
   nanu ca naṭī raṅgāt svārthaṃ sādhayati, prakṛtestu puruṣārthaḥ svārtho	nanu ca nawI raFgAt sva-arTam sADayati, prakRteH-tu puruza-arTaH sva-arTaH-
   yenaivamācarayatītyāha-	yena-evam-Acarayati-iti-Aha-
   nānāvidhairupāyairupakāriṇyanupakāriṇaḥ puṃsaḥ /	nAnAviDEH-upAyEH-upakAriNI-anupakAriNaH puMsaH /
   guṇavatyaguṇasya satastasyārthamapārthakaṃ carati // ISk_60 //	guNavati-aguNasya sataH-tasya-arTam-apArTakam carati // ISc-_60 //
   'nānāvidhaiḥ'; ityādi / pūrvaṃ saptabhirdharmādibhirupāyaistriṣu	anAnAviDEH-a; ityAdi / pUrvam saptaBiH-Darma-AdiBiH-upAyEH-trizu
   viṣayeṣvātmanaṃ prakāśayatyupakāriṇī, tadanantaramekena jñānākhyena	vizayezu-Atmanam prakASayati-upakAriNI, tad-anantaram-ekena jQAna-AKyena
   kaivalyaṃ kurvāṇopakāriṇī bhavati //	kEvalyam kurvANa-upakAriNI Bavati //
   'anapakāriṇaḥ puṃsaḥ'; iti / na pumāṃstāṃ pratyupakaroti, ahamanayopakṛta	aanapakAriNaH puMsaH-a; iti / na pumAn=-tAm pratyupakaroti, aham-anayA-upakRta
   iti / punassā tamupakaroti //	iti / punar-sA tam-upakaroti //
   nāsau tāmityāha - '; guṇavatyaguṇasya sataḥ'; iti / guṇasattvātprakṛtiḥ	na-asO tAm-iti-Aha  a; guNavati-aguNasya sataH-a; iti / guNa-sattvAt-prakRtiH
   sakriyā, nirguṇatvāt puruṣo niṣkriya iti / tasyārthamapārthakaṃ carati /	sa-kriyA, nirguNa-tvAt puruzaH nizkriyaH iti / tasya-arTam-apArTakam carati /
   tasya puṃso 'rtho dvividhaḥ- viṣayopabhogaḥ kaivalyaṃ ca / tannirarthakaṃ	tasya puMsaH arTaH dviviDaH vizaya-upaBogaH kEvalyam ca / tad-nirarTakam
   karoti, yatastasyāḥ prayojanābhāvaḥ / vyaktātmanā '; 'tmānaṃ darśayati	karoti, yatas-tasyAH prayojana-aBAvaH / vyakta-AtmanA a; atmAnam darSayati
   natvavyaktātmanā // 60 //	na-tu-avyakta-AtmanA // 60 //
   kārikā 61	kArikA 61
   tathāhi - guṇānāṃ sāmyāvasthā prakṛtiḥ / kutaśca sā na sarvātmanā ';	taTA-hi  guNAnAm sAmya-avasTA prakRtiH / kutas-ca sA na sarva-AtmanA a;
   'tmānaṃ prakāśayati, pumānapi na sarvathā paśyati ? tathā cāhuḥ-	atmAnam prakASayati, pumAn-api na sarvaTA paSyati ? taTA ca-AhuH-
   guṇānāṃ paramaṃ rūpaṃ na dṛṣṭipathamṛcchati /	guNAnAm paramam rUpam na dRzwi-paTam-RcCati /
   yattu dṛṣṭipathaṃ prāptaṃ tanmāyāvastu tucchakam // iti / atrāha -	yat-tu dRzwi-paTam prAptam tat-mAyA-vastu tucCakam // iti / atra-Aha -
   prakṛteḥ sukumārataraṃ na kiñcidastīti me matirbhavati /	prakRteH sukumArataram na kiQcid-asti-iti me matiH-Bavati /
   yā dṛṣṭāsmīti punarna darśanamupaiti puruṣasya // ISk_61 //	yA dRzwA-asmi-iti punar-na darSanam-upEti puruzasya // ISc-_61 //
   'prakṛteḥ'; ityādi / sukumārataramiti sūkṣmataramitarat / etaduktaṃ	aprakRteH-a; ityAdi / sukumArataram-iti sUkzmataram-itarat / etat-uktam
   bhavati- prāgvyaktātmanā prakāśayati na tvavyaktātmanāpi, yena	Bavati prAk-vyakta-AtmanA prakASayati na tu-avyakta-AtmanA-api, yena
   jñānāvasthāyāṃ prakṛtermatirbhavati mama sūkṣmataraṃ na kiñcidaparamasti	jQAna-avasTAyAm prakRteH-matiH-Bavati mama sUkzmataram na kiQcid-aparamasti
   yaddraṣṭavyaṃ puruṣeṇa //	yat-drazwavyam puruzeNa //
   ('yā dṛṣṭā 'smi'; iti / sā prakṛtirvyaktātmanā ca) dṛṣṭāhamaneneti na	(-ayA dRzwA asmia; iti / sA prakRtiH-vyakta-AtmanA ca) dRzwA-aham-anena-iti na
   punardarśanamupaiti puruṣasya, draṣṭavyābhāvāt / tataścaivaṃ sarvathā	punar-darSanam-upEti puruzasya, drazwavya-aBAvAt / tatas-ca-evam sarvaTA
   prakṛtirātmānaṃ prakāśayati, puruṣaścaitāṃ sarvathā paśyati // 61 //	prakRtiH-AtmAnam prakASayati, puruzaH-ca-etAm sarvaTA paSyati // 61 //
   kārikā 62	kArikA 62
   tasmānna puruṣasya bandho nāpi saṃsaraṇaṃ mokṣo vetyāha-	tasmAt-na puruzasya banDaH na-api saMsaraNam mokzaH vA-iti-Aha-
   tasmānna badhyate 'ddhā na mucyate nāpi saṃsarati kaścit /	tasmAt-na baDyate adDA na mucyate na-api saMsarati kaScid /
   saṃsarati badhyate mucyate ca nānāśrayā prakṛtiḥ // ISk_62 //	saMsarati baDyate mucyate ca nAnA-ASrayA prakRtiH // ISc-_62 //
   'tasmānna badhyate'; ityādi / bandhābhāvānna badhyate / puruṣasyāpi	atasmAt-na baDyate-a; ityAdi / banDa-aBAvAt-na baDyate / puruzasya-api
   kāryatvādbandho nāsti / na vimucyate tasyā bandhanāt / nāpi saṃsarati	kAryatvAt-banDaH na-asti / na vimucyate tasyAH banDanAt / na-api saMsarati
   niṣkriyatvāt / kaściditi puruṣa ityarthaḥ //	nizkriya-tvAt / kaScid-iti puruzaH iti-arTaH //
   kasya tarhi bandhādaya ityāha- saṃsarati badhyate mucyate ca prakṛtiriti /	kasya tarhi banDa-AdayaH iti-Aha saMsarati baDyate mucyate ca prakRtiH-iti /
   nanu ca tasyāḥ sukumāratvādbandhādayo na sambhavantyevetyatrāha-	nanu ca tasyAH sukumAra-tvAt-banDa-AdayaH na samBavanti-eva-iti-atra-Aha-
   nānāśrayeṣurabhivajyate (?) / tatrāśrayāḥ bhāvaliṅgabhūtāssargāḥ / te	nAnA-ASrayezuH-aBivajyate (?) / tatra-ASrayAH BAva-liFga-BUta-assargAH / te
   prakṛtipuruṣavannānāvidhāḥ // 62 //	prakRti-puruza-vat-nAnAviDAH // 62 //
   kārikā 63	kArikA 63
   tataśca nānāśrayatvādeva darśayannāha-	tatas-ca nAnA-ASraya-tvAt-eva darSayan=-Aha-
   rūpaiḥ saptabhireva tu badhnātyātmānamātmanā prakṛtiḥ /	rUpEH saptaBiH-eva tu baDnAti-AtmAnam-AtmanA prakRtiH /
   saiva ca puruṣārthamprati vimocayatyekarūpeṇa // ISk_63 //	sA-eva ca puruza-arTam-prati vimocayati-eka-rUpeNa // ISc-_63 //
   'rūpaiḥ'; ityādi / dharmādayo buddhe rūpānyuktāni / 'saptabhiḥ'; / jñānaṃ	arUpEH-a; ityAdi / Darma-AdayaH budDe rUpAni-uktAni / asaptaBiH-a; / jQAnam
   tyaktvā te ca prakṛterātmabhūtāḥ / saivātmanaiva puruṣārthaṃ pratyātmānaṃ	tyaktvA te ca prakRteH-Atma-BUtAH / sA-eva-AtmanA-eva puruza-arTam pratyAtmAnam
   mahadādisūkṣmaparyantaṃ liṅgaṃ badhnāti / bandhaśca trividhaḥ / tacca	mahat-Adi-sUkzma-paryantam liFgam baDnAti / banDaH-ca triviDaH / tat-ca
   liṅgaṃ bhāvādibhiradhivāsitamarthameva / saṃsaratīti / prakṛtireva	liFgam BAva-AdiBiH-aDivAsitam-arTam-eva / saMsarati-iti / prakRtiH-eva
   saṃsarati //	saMsarati //
   'saiva ca'; iti / prakṛtiḥ puruṣārthaṃ prati kaivalyārthaṃ	asA-eva ca-a; iti / prakRtiH puruza-arTam prati kEvalya-arTam
   vimocayatyātmānam //	vimocayati-AtmAnam //
   'ekarūpeṇa'; iti / ekaṃ ca tadrūpaṃ ceti / jñānākhyena rūpeṇetyarthaḥ /	aeka-rUpeNa-a; iti / ekam ca tad-rUpam ca-iti / jQAna-AKyena rUpeNa-iti-arTaH /
   yaṃ puruṣamapekṣya jñānamutpādayati taṃ pratyavyaktamātmānaṃ	yam puruzam-apekzya jQAnam-utpAdayati tam pratyavyaktam-AtmAnam
   saṃharatītyarthaḥ / nahi dharmādayaḥ puruṣadharmā yastairbadhyate / nāpi	saMharati-iti-arTaH / na-hi Darma-AdayaH puruza-DarmA yaH-tEH-baDyate / na-api
   saṃsarati, aliṅgabhāvatvāt / nāpi mucyate, tasya bandhanatvāt // 63 //	saMsarati, aliFga-BAva-tvAt / na-api mucyate, tasya banDana-tvAt // 63 //
   kārikā 64	kArikA 64
   tadevaṃ jñānaṃ kathamutpadyate yena mocayatītyāha-	tat-evam jQAnam kaTam-utpadyate yena mocayati-iti-Aha-
   evaṃ tattvābhyāsānnāsmi na me nāhamityapariśeṣam /	evam tattva-aByAsAt-na-asmi na me na-aham-iti-apariSezam /
   aviparyayādviśuddhaṃ kevalamutpadyate jñānam // ISk_64 //	aviparyayAt-viSudDam kevalam-utpadyate jQAnam // ISc-_64 //
   'evaṃ tattvābhyāsāt'; ityādi / evamiti vakṣyamāṇe yojyam / tattvāni	aevam tattva-aByAsAt-a; ityAdi / evam-iti vakzyamANe yojyam / tattvAni
   pañcaviṃśatiḥ / teṣāṃ punaḥ punaḥ svarūpeṇābhyasanamabhyāsaḥ / yadetat	paQcaviMSatiH / tezAm punar punar sva-rUpeNa-aByasanam-aByAsaH / yat-etat-
   sūkṣmaśarīraṃ bhautikaṃ ca tasminna bhavāmi, api tu prakṛtiḥ //	sUkzmaSarIram BOtikam ca tasmin-na BavAmi, api tu prakRtiH //
   'na me'; ityādi / na mamedamapi tu prakṛteḥ //	ana me-a; ityAdi / na mama-idam-api tu prakRteH //
   nāhamiti / nāpyahaṃ prakṛtirityevaṃ tattvābhyāsāt / kiṃviśiṣṭāt -	na-aham-iti / na-api-aham prakRtiH-iti-evam tattva-aByAsAt / kiMviSizwAt -
   aviparyayādahamityamānasaṃśayāt jñānamutpadyate //	aviparyayAt-aham-ityamAna-saMSayAt jQAnam-utpadyate //
   īdṛśamityāha- 'apariśeṣam'; iti / paripūrṇaṃ viśuddham saṃsāramalāpagamāt	IdRSam-iti-Aha aapariSezam-a; iti / paripUrNam viSudDam saMsAra-mala-apagamAt
   kevalamekamityarthaḥ // 64 //	kevalam-ekam-iti-arTaH // 64 //
   kārikā 65	kArikA 65
   nanu jñānena puruṣaḥ kiṃ paśyatītyāha-	nanu jQAnena puruzaH kim paSyati-iti-Aha-
   tena nivṛttaprasavāmarthavaśāt saptarūpavinivṛttām /	tena nivRtta-prasavAm-arTa-vaSAt sapta-rUpa-vinivRttAm /
   prakṛtiṃ paśyati puruṣaḥ prekṣakavadavasthitaḥ svasthaḥ // ISk_65 //	prakRtim paSyati puruzaH prekzaka-vat-avasTitaH svasTaH // ISc-_65 //
   'tena'; ityādi / yat prakṛtijñānamutpadyate taṃ prati nivṛtaḥ prasavo	atena-a; ityAdi / yat prakRti-jQAnam-utpadyate tam prati nivRtaH prasavaH-
   liṅgabhūtasargākhyo yasyāḥ prakṛteḥ sa tathoktā / prasavanivṛttyā vā yo	liFga-BUta-sarga-AKyaH yasyAH prakRteH sa taTA-uktAH / prasava-nivRttyA vA yaH-
   viṣayo viṣayebhyo nivartate tadvaśāt, saptabhyo rūpebhyo dharmādibhyo	vizayaH vizayeByaH nivartate tad-vaSAt, saptaByaH rUpeByaH Darma-AdiByaH-
   nivṛttā prakṛtirbhavati / bhāvasaṃsargo 'pi yasyā nivartata ityarthaḥ /	nivRttA prakRtiH-Bavati / BAva-saMsargaH api yasyAH nivartate iti-arTaH /
   tāmevaṃvidhāmavyaktarūpāṃ paśyati puruṣaḥ //	tAm-evaMviDAm-avyakta-rUpAm paSyati puruzaH //
   'prekṣakavadavasthitaḥ'; iti / yathā prekṣakaḥ	aprekzaka-vat-avasTitaH-a; iti / yaTA prekzakaH
   pravarttitanṛttamupasaṃhṛtanṛttāṃ ca narttakīṃ paśyati, tathā puruṣo 'pi	pravarttita-nRttam-upasaMhRta-nRttAm ca narttakIm paSyati, taTA puruzaH api
   pravartitasargāmupasaṃhṛtasargāṃ ceti //	pravartita-sargAm-upasaMhRta-sargAm ca-iti //
   'svasthaḥ'; iti / ātmani sthito na prakṛtisthaḥ, tataḥ prakṛternivṛttatvāt	asvasTaH-a; iti / Atmani sTitaH na prakRti-sTaH, tatas prakRteH-nivRtta-tvAt-
   kārikā 66	kArikA 66
   nanu ca yadi prakṛtirgarbhabhūḥpuruṣaṃ prati nivṛttaprasavā, tasyāśca	nanu ca yadi prakRtiH-garBa-BUH-puruzam prati nivRtta-prasavA, tasyAH-ca
   prakṛtestadānīṃ sarvagatatvādastyeva saṃyogastatkimiti punaḥ	prakRteH-tadAnIm sarva-gata-tvAt-asti-eva saMyogaH-tat-kim-iti punar-
   śarīrotpattirna bhavatītyāha -	SarIra-utpattiH-na Bavati-iti-Aha -
   dṛṣṭā mayetyupekṣaka eko dṛṣṭā 'hamityuparamatyanyā /	dRzwA mayA-iti-upekzakaH ekaH dRzwA aham-iti-uparamati-anyA /
   sati saṃyoge 'pi tayoḥ prayojanaṃ nāsti sargasya // ISk_66 //	sati saMyoge api tayoH prayojanam na-asti sargasya // ISc-_66 //
   'dṛṣṭā mayā'; ityādi / tayordvayorekaḥ puruṣa upekṣakaḥ, sarvathā...tvāt /	adRzwAH mayA-a; ityAdi / tayoH-dvayoH-ekaH puruzaH upekzakaH, sarvaTA...tvAt /
   yathā prekṣako naṭīmupekṣate nivṛttābhilāṣatvāt //	yaTA prekzakaH nawIm-upekzate nivRtta-aBilAza-tvAt //
   'dṛṣṭā 'hamityuparatā 'nyā'; iti / aparā prakṛtiruparatā nivṛttaprasavā /	adRzwA aham-iti-uparatA anyA-a; iti / aparA prakRtiH-uparatA nivRtta-prasavAH /
   sarvathā 'hamanena dṛṣṭeti //	sarvaTA aham-anena dRzwA-iti //
   tataśca saṃyoge 'pi tayoḥ prayojanaṃ nāsti sargasya / viṣayopabhogārthaḥ	tatas-ca saMyoge api tayoH prayojanam na-asti sargasya / vizaya-upaBoga-arTaH
   sargaḥ / tasminneva caritārthatvāt na punaḥ sargamārabhate / nahi naṭī	sargaH / tasmin=-eva caritArTa-tvAt na punar sargam-AraBate / nahi nawI
   raṅge prekṣakairnirākāṃkṣitaṃ punarnṛttamārabhate // 66 //	raFge prekzakEH-nirAkAMkzitam punar-nRttam-AraBate // 66 //
   kārikā 67	kArikA 67
   yadyātmajñānāt kaivalyaprāptiḥ, tadanantarameva śarīraṃ kasmānna nivartata	yadi-Atma-jQAnAt kEvalya-prAptiH, tad-anantaram-eva SarIram kasmAt-na nivartata
   ityāha-	iti-Aha-
   samyagjñānādhigamāt dharmādīnāmakāraṇaprāptau /	samyak-jQAna-aDigamAt Darma-AdInAm-akAraNa-prAptO /
   tiṣṭhati saṃskāravaśāt, cakrabhramavaddhṛtaśarīraḥ // ISk_67 //	tizWati saMskAra-vaSAt, cakra-Brama-vat-DRta-SarIraH // ISc-_67 //
   'samyak jñānādhigamāt'; ityādi / samyak jñānamātmajñānam /	asamyak jQAna-aDigamAt-a; ityAdi / samyak jQAnam-Atma-jQAnam /
   tasyādhigamādātmajñānaprāpterityarthaḥ //	tasya-aDigamAt-Atma-jQAna-prApteH-iti-arTaH //
   'dharmādīnāmakāraṇaprāptau'; iti / na kāraṇamakāraṇam,	aDarma-AdInAm-akAraNa-prAptO-a; iti / na kAraNam-akAraNam,
   tasyāmakāraṇaprāptāveva taduktaṃ bhavati / samyak jñānādhigamātteṣāṃ	tasya-AmakAraNa-prAptO=-eva tat-uktam Bavati / samyak jQAna-aDigamAt-tezAm
   dharmādīnāmagnidagdhabījavadaśaktatvāt //	Darma-AdInAm-agni-dagDa-bIja-vat-aSakta-tvAt //
   janmāntarasaṃskāravaśāddhṛtaśarīraḥ pumāṃstiṣṭhati / katham-	janma-antara-saMskAra-vaSAt-DRta-SarIraH pumAn=-tizWati / kaTam-
   cakrabhramavat / yathā kulālavyāpāre nivṛtte 'pi vegavaśāt kiyantamapi	cakra-Brama-vat / yaTA kulAla-vyApAre nivRtte api vega-vaSAt kiyantam-api
   kālaṃ cakrabhramastiṣṭhati tathā śarīramapītyarthaḥ // 67 //	kAlam cakra-BramaH-tizWati taTA SarIram-api-iti-arTaH // 67 //
   kārikā 68	kArikA 68
   kadā sa mokṣo bhavatītyatra-	kadA sa mokzaH Bavati-iti-atra-
   prāpte śarīrabhede caritārthatvāt pradhānavinivṛttau /	prApte SarIra-Bede caritArTa-tvAt praDAna-vinivRttO /
   aikāntikamātyantikamubhayaṃ kaivalyamāpnoti // ISk_68 //	EkAntikam-Atyantikam-uBayam kEvalyam-Apnoti // ISc-_68 //
   'prāpte śarīrabhede'; ityādi / liṅgabhautikaśarīre pṛthagbhūte yathā	aprApte SarIra-Bede-a; ityAdi / liFga-BOtika-SarIre pRTak-BUte yaTA
   saṃbhūte layaṃ gati teṣvityarthaḥ (?) //	saMBUte layam gati tezu-iti-arTaH (?) //
   'caritārthatvāt pradhānavinivṛttau'; iti / pradhānaṃ liṅgātmanā pariṇataṃ	acarita-arTa-tvAt praDAna-vinivRttO-a; iti / praDAnam liFga-AtmanA pariNatam
   nivartate / nivṛttāvubhayaṃ kaivalyamāpnoti //	nivartate / nivRttO=-uBayam kEvalyam-Apnoti //
   'aikāntikamātyantikaṃ ca'; iti / tatrātmajñānotpādādavaśyaṃbhāvi	aEkAntikam-Atyantikam ca-a; iti / tatra-Atma-jQAna-utpAdAt-avaSyaMBAvi
   kaivalyamityaikāntikam / satyapi tayoḥ saṃyoge prayojanābhāvānna punaḥ	kEvalyam-iti-EkAntikam / sati-api tayoH saMyoge prayojana-aBAvAt-na punar-
   sarga ityātyantikamiti // 68 //	sargaH iti-Atyantikam-iti // 68 //
   kārikā 69	kArikA 69
   saptatyāṃ viśuddhiṃ darśayannāha-	saptatyAm viSudDim darSayan=-Aha-
   puruṣārthajñānamidaṃ guhyaṃ paramarṣiṇā samākhyātam /	puruza-arTa-jQAnam-idam guhyam parama-RziNA samAKyAtam /
   sthityutpattipralayāścintyante yatra bhūtānām // ISk_69 //	sTiti-utpatti-pralayAH-cintyante yatra BUtAnAm // ISc-_69 //
   'puruṣārthajñānam'; ityādi / puruṣārthaṃ jñānaṃ ceti puruṣārthajñānam /	apuruza-arTa-jQAnam-a; ityAdi / puruza-arTam jQAnam ca-iti puruza-arTa-jQAnam /
   yadidaṃ pañcaviṃśatitattvajñānaṃ tatpradhānam, puruṣārthamokṣo 'nena	yat-idam paQcaviMSati-tattva-jQAnam tad-praDAnam, puruza-arTa-mokzaH anena
   prāpyata iti kṛtvā / guhyamidamaprakāśyam / sādhujanādanyasmai na	prApyate iti kRtvA / guhyam-idam-aprakASyam / sADu-janAt-anyasmE na
   deyamityarthaḥ //	deyam-iti-arTaH //
   'paramarṣiṇā samākhyātam'; iti / kapilamuninā prakāśitam //	aparama-RziNA samAKyAtam-a; iti / kapila-muninA prakASitam //
   'sthityutpattipralayāścintyante yatra bhūtānām'; iti / yatra jñāne	asTiti-utpatti-pralayAH-cintyante yatra BUtAnAm-a; iti / yatra jQAne
   bhūtānāṃ brahmādistambaparyantānāṃ sthityādayo vyavasthāpyante /	BUtAnAm brahma-Adi-stamba-paryantAnAm sTiti-AdayaH vyavasTApyante /
   tatrotpannānāṃ prabandhenāvasthānaṃ sthitiḥ / sā ca triṣu sthāneṣu	tatra-utpannAnAm prabanDena-avasTAnam sTitiH / sA ca trizu sTAnezu
   daivamānuṣatairyagyoneṣu utpattiḥ sṛṣṭapradhānāt yāvat tanmātrebhyaḥ	dEva-mAnuza-tEryagyonezu utpattiH sRzwa-praDAnAt yAvat tanmAtreByaH
   pañcamahābhūtāni / sṛṣṭyupasaṃhāre mahāpralayaḥ, sarvo 'pyutkrameṇa /	paQca-mahABUtAni / sRzwi-upasaMhAre mahApralayaH, sarvaH api-utkrameNa /
   tadyathā pṛthivyādayastanmātrādiṣu līyante yāvatpradhānamiti / tena	tat-yaTA pRTivI-AdayaH-tanmAtra-Adizu lIyante yAvat-praDAnam-iti / tena
   pañcaviṃśatitattvavyatiriktaṃ nāstītyetaduktam // 69 //	paQcaviMSati-tattva-vyatiriktam na-asti-iti-etat-uktam // 69 //
   kārikā 70	kArikA 70
   muninā samākhyātamiti kuto jñāyata ityāha-	muninA samAKyAtam-iti kutas jQAyate iti-Aha-
   etat pavitramagryaṃ munirāsuraye 'nukampayā pradadau /	etat pavitram-agryam muniH-Asuraye anukampayA pradadO /
   āsurirapi pañcaśikhāya, tena ca bahudhā kṛtaṃ tantram // ISk_70 //	AsuriH-api paQcaSiKAya, tena ca bahuDA kRtam tantram // ISc-_70 //
   'etat'; ityādi / 'pavitram'; iti / duḥkhatrayametat punātīti kṛtvā /	aetat-a; ityAdi / apavitram-a; iti / duHKa-trayam-etat punAti-iti kRtvA /
   sarvabhedānāmagrebhavatvādagryam //	sarva-BedAnAm-agreBava-tvAt-agryam //
   'munirāsuraye 'nukampayā pradadau'; iti / kapilasya mahāmuneḥ	amuniH-Asuraye anukampayA pradadO-a; iti / kapilasya mahA-muneH
   sahotpannāścatvāro dharmādayaḥ / tatra jñānākhyena bhāvenāndhe tamasi	saha-utpannAH-catvAraH Darma-AdayaH / tatra jQAna-AKyena BAvena-anDe tamasi
   vartamānaṃ jagat dṛṣṭavato muneḥ karuṇotpannā / tayā ca preryamāṇa āsuriṃ	vartamAnam jagat dRzwavataH muneH karuNA-utpannA / tayA ca preryamANaH Asurim
   sagotrabrāhmaṇaṃ varṣasahasrayātinamāgatyovāca / 'āsure ramase tvaṃ	sagotra-brAhmaNam varza-sahasra-yAtinam-Agatya-uvAca / aAsure ramase tvam
   gṛhasthadharmeṇa'; iti / sa tamāha- 'bhagavan na rame 'ham'; iti /	gRhasTa-DarmeNa-a; iti / sa tam-Aha aBagavat na rame aham-a; iti /
   punarvarṣasahasre pūrṇe taṃ gatvā tathovāca / so 'pi 'bhagavan na rame	punar-varza-sahasre pUrNe tam gatvA taTA-uvAca / saH api aBagavat na rame
   'ham'; ityuvāca / tato muninā 'yadi viraktastvam, ehi brahmacaryaṃ cara';	aham-a; iti-uvAca / tatas muninA ayadi viraktaH-tvam, ehi brahmacaryam cara-a;
   ityasāvuktaḥ / sa tu pradipadya gṛhasthadharmaṃ tyaktvā pravrajitaḥ /	iti-asO=-uktaH / sa tu pradipadya gRhasTa-Darmam tyaktvA pravrajitaH /
   tasmai śiṣyāyānukampayā saṃkṣipya dattavān / 'tama eva khalvidamāsīt'; /	tasmE SizyAya-anukampayA saMkzipya dattavAn / atamaH eva Kalu-idam-AsIt-a; /
   tasmiṃstamasi kṣetrajña eva prathamaḥ / tamaḥ pradhānam, kṣetrajñaḥ puruṣa	tasmin=-tamasi kzetrajQaH eva praTamaH / tamaH praDAnam, kzetrajQaH puruza
   ucyate / āsurirapi tadeva saṃkṣiptaṃ pañcaśikhāya svaśiṣyāyānukampayā	ucyate / AsuriH-api tat-eva saMkziptam paQcaSiKAya sva-SizyAya-anukampayA
   pradadau //	pradadO //
   'tena'; iti / pañcaśikhena muninā bahudhā kṛtaṃ tantram / ṣaṣṭitantrākhyaṃ	atena-a; iti / paQcaSiKena muninA bahuDA kRtam tantram / zazwitantra-AKyam
   ṣaṣṭikhaṇḍaṃ kṛtamiti / tatraiva hi ṣaṣṭirarthā vyākhyātāḥ // 70 //	zazwi-KaNxam kRtam-iti / tatra-eva hi zazwiH-arTAH vyAKyAtAH // 70 //
   kārikā 71	kArikA 71
   nanu ca ṣaṣṭitantramevāstu kiṃ saptatyeti svaśāstrakaraṇaprayojanamāha-	nanu ca zazwitantram-eva-astu kim saptatyA-iti sva-SAstra-karaNa-prayojanam-Aha-
   śiṣyaparamparayā '; 'gatamīśvarakṛṣṇena caitadāryābhiḥ /	Sizya-paramparayA a; agatam-ISvara-kRzNena ca-etat-AryABiH /
   saṃkṣipyāryamatinā samyagvijñāya siddhāntam // ISk_71 //	saMkzipya-Arya-matinA samyak-vijQAya sidDAntam // ISc-_71 //
   'śiṣyaparamparayā'; ityādi / munerāsureḥ pañcaśikhastathā	aSizya-paramparayA-a; ityAdi / muneH-AsureH paQcaSiKaH-taTA
   gargagautamaprabhṛtirṇarāmataṃgramyā (?) īśvarakṛṣṇanāmānaṃ	garga-gOtama-praBRtiRNa-rAma-taMgramyA (?) ISvara-kRzNa-nAmAnam
   parivrājakamityanayā śiṣyaparamparayā / iti jñānamayarūpeṇāgataṃ	parivrAjakam-iti-anayA Sizya-paramparayA / iti jQAna-maya-rUpeNa-Agatam
   siddhāntaṃ ṣaṣṭitantram / samyagvijñāya saṃkṣiptaṃ ṣaṣṭitantram,	sidDAntam zazwitantram / samyak-vijQAya saMkziptam zazwitantram,
