   caturtha uddyotaḥ	caturTaH uddyotaH
   sphuṭīkṛtārthavaicitryabahiḥprasaradāyinīm // //	sPuwIkRta-arTa-vEcitrya-bahis-prasara-dAyinIm // //
   turyāṃ śaktimahaṃ vande pratyakṣārthanidarśinīm //	turyAm Saktim-aham vande pratyakza-arTa-nidarSinIm //
   ānandavardhanavivekavikāsikāvyālokārthatattvaghaṭanādanumeyasāram /	Ananda-varDana-viveka-vikAsi-kA-vyAloka-arTa-tattva-GawanAt-anumeya-sAram /
   yatpronmiṣatsakalasadviṣayaprakāśi vyāpāryatābhinavaguptavilocanaṃ tat //	yat-pronmizat-sakala-sat-vizaya-prakASi vyApAryata-aBinavagupta-vilocanam tat //
   bālapriyā taditi /	bAla-priyA tat-iti /
   tasmādityarthaḥ /	tasmAt-iti-arTaH /
   etadeva prathitamiti /	etat-eva praTitam-iti /
   uktameva prakāśitamityarthaḥ /	uktam-eva prakASitam-iti-arTaH /
   tadeva nāmaśravaṇamiti /	tat-eva nAma-SravaNam-iti /
   yadeva nāmaśravaṇaṃ bahūnāṃ pravṛttiṃ karoti, tadeva nāmaśravaṇamityarthaḥ	yat-eva nAma-SravaNam bahUnAm pravRttim karoti, tat-eva nAma-SravaNam-iti-arTaH
   karoti utpādayati /	karoti utpAdayati /
   niḥśreyaseti /	niHSreyasa-iti /
   niśreyasaṃ prayojanaṃ yasya tasmādityarthaḥ /	niSreyasam prayojanam yasya tasmAt-iti-arTaH /
   śrutāditi /	SrutAt-iti /
   śrutipratipāditāttatvājjñānādita ityarthaḥ /	Sruti-pratipAdita-At-tatvAt-jQAna-Aditas iti-arTaH /
   etāvateti /	etAvatA-iti /
   rāgāndhanivṛttimātreṇetyarthaḥ /	rAga-anDa-ni-vRtti-mAtreNa-iti-arTaH /
   prayojanamiti /	prayojanam-iti /
   vastutaḥ prayojanamityarthaḥ /	vastutas prayojanam-iti-arTaH /
   aprayojanaṃ prayojanabhinnam /	aprayojanam prayojana-Binnam /
   vaktavyameva syātkamiti sambandhaḥ /	vaktavyam-eva syAt-kam-iti sambanDaH /
   na vaktavyamiti bhāvaḥ /	na vaktavyam-iti BAvaH /
   prathitaṃ nāmapravṛttyaṅgamiti sambandhaḥ /	praTitam nAma-pravRtti-aFgam-iti sambanDaH /
   prathamodyotānte parāyā dvitīyodyotānte paśyantyāstṛtīyodyotānte	praTama-udyota-ante parAyAH dvitIya-udyota-ante paSyantyAH-tRtIya-udyota-ante
   madhyamāyāśca vandanaṃ kṛtavān granthakāraḥ, caturthodyotānte vaikharyā	maDyamAyAH-ca vandanam kRtavAn granTakAraH, caturTa-udyota-ante vEKaryA
   vandanamanutiṣṭhati--sphuṭītyādi /	vandanam-anutizWati---sPuwI-ityAdi /
   sphuṭīkṛtāni vaktrā manasi spaṣṭīkṛtāni yāni arthavaicitryāṇi vicitrārthāḥ	sPuwIkRtAni vaktrA manasi spazwIkRtAni yAni arTa-vEcitryANi vicitra-arTAH
   teṣāṃ yaḥbahiḥprasaraḥ śrotṛjaneṣu prakāśaḥ taddāyinīm /	tezAm yaH-bahis-prasaraH SrotR-janezu prakASaH tad-dAyinIm /
   pratyakṣeti /	pratyakzA-iti /
   pratyakṣaṃ yathā tathā arthanidarśinīmarthānnidarśayantīm /	pratyakzam yaTA taTA arTa-nidarSinIm-arTAn-nidarSayantIm /
   apratyakṣānapyarthān pratyakṣāniva pradarśayantīmiti yāvat /	apratyakzAn-api-arTAn pratyakzAn-iva pradarSayantIm-iti yAvat /
   turyī śaktiṃ vaikharīrūpāṃ śaktim /	turyI Saktim vEKarI-rUpAm Saktim /
   ahaṃ vande ityarthaḥ /	aham vande iti-arTaH /
   ānandeta /	Anandeta /
   ānandavardhanasya yo vivekaḥ vivicyatattadarthāvabodhaḥ tena vikāsī	Ananda-varDanasya yaH vivekaH vivicya-tat-tad-arTa-avaboDaH tena vikAsI
   prakāśamāno yaḥ kāvyalokastasya yānyarthatatvāni sārārthāḥ teṣāṃ	prakASamAnaH yaH kAvya-lokaH-tasya yAni-arTa-tatvAni sAra-arTAH tezAm
   ghaṭanātsaṃyojanāddhetoḥ /	GawanAt-saMyojanAt-hetoH /
   anumeyassāra utkarṣo yasya tat, kiñca yat pronmiṣat sahṛdayeṣu	anumeya-ssAraH utkarzaH yasya tat, kiQca yat pronmizat sahRdayezu
   prakāśamānamatha ca prakarṣeṇa unmiṣat sat sakalānāṃ sarveṣāṃ sarveṣāṃ	prakASamAnam-aTa ca prakarzeNa unmizat sat sakalAnAm sarvezAm sarvezAm
   kāvyādīnāṃ sadviṣayān sārārthān sakalān sadviṣayānvā atha ca sakalānāṃ	kAvya-AdInAm sat-vizayAn sAra-arTAn sakalAn sat-vizayAn-vA aTa ca sakalAnAm
   sarveṣāṃ kāvyādīnāṃ sadbiṣayān sārārthān sakalān sadviṣayān vā atha ca	sarvezAm kAvya-AdInAm sat-bizayAn sAra-arTAn sakalAn sat-vizayAn vA aTa ca
   sakalān sadviṣayān vidyamānān padārthān prakāśayatīti tathā bhavati tat	sakalAn sat-vizayAn vidyamAnAn padArTAn prakASayati-iti taTA Bavati tat-
   tathāvidham /	taTAviDam /
   abhinavaguptasya tannāmnaḥ svasya, atha ca abhinavaṃ navīnāṃ	aBinavaguptasya tad-nAmnaH svasya, aTa ca aBinavam navInAm
   guptamanyeṣāmaviditaṃ ca locanamālocanaṃ jñānaṃ netraṃ ca vyāpāryata	guptam-anyezAm-aviditam ca locanam-Alocanam jQAnam netram ca vyApAryata
   ātmanā vyāpāritam /	AtmanA vyApAritam /
   ṇijantātkarmaṇi laṅ /	NijantAt-karmaNi laF /
   atra jñāne netrasāmyaṃ gamyate /	atra jQAne netra-sAmyam gamyate /
   śrīsiddhīti /	SrI-sidDi-iti /
   śrīmataḥ siddhicelasya tannāmnaḥ guroḥ caraṇābjaparāgaiḥ pūto yo locanam	SrImataH sidDicelasya tad-nAmnaH guroH caraNa-abja-parAgEH pUtaH yaH locanam
   śrīsiddhicelacaraṇābjaparāgapūtabhaṭṭendurājamatisaṃskṛtabuddhileśaḥ /	SrI-sidDi-cela-caraNa-abja-parAga-pUta-Bawwa-indu-rAjam-ati-saMskRta-budDi-leSaH /
   vākyapramāṇapadavediguruḥ prabandhasevāraso vyaracayadadhvani vastuvṛttim	vAkya-pramANa-pada-vedi-guruH prabanDa-sevA-rasaH vyaracayat-aDvani vastu-vRttim
   sajjanān kavirasau na yācate hlādanāya śaśamṛtkimarthitaḥ /	sat-janAn kavi-H-asO na yAcate hlAdanAya SaSamRtkim-arTitaH /
   naiva nindati khalānmuhurmuhuḥ dhikkṛto 'pi na hi śītalo 'nalaḥ // //	na-eva nindati KalAt-muhur-muhur DikkRtaH api na hi SItalaH analaH // //
   vastutaśśivamaye hṛdi sphuṭaṃ sarvataśśivamayaṃ virājate /	vastutas-Siva-maye hRdi sPuwam sarvatas-Siva-mayam virAjate /
   nāśivaṃ kvacana kasyacidvacaḥ tena vaśśivamayī daśā bhavet //	na-aSivam kvacana kasyacid-vacaH tena vaSSiva-mayI daSA Bavet //
   iti mahāmāheśvarābhinavaguptaviracite kāvyālokalocane caturtha udyotaḥ	iti mahA-mAheSvara-aBinava-gupta-viracite kAvya-Aloka-locane caturTaH udyotaH
   samāptaścāvaṃ granthaḥ //	samAptaH-cAvam granTaH //
   bālapriyā bhaṭṭendurājaḥ tasya matyā jñānena saṃskṛto buddhileśo yasya saḥ	bAla-priyA Bawwa-indu-rAjaH tasya matyA jQAnena saMskRtaH budDi-leSaH yasya saH
   vākyeti /	vAkya-iti /
   vākyaṃ mīmāṃsāśāstraṃ, pramāṇaṃ nyāyaśāstraṃ, padaṃ vyākaraṇaśāstraṃ,	vAkyam mImAMsA-SAstraM, pramANam nyAya-SAstraM, padam vyAkaraNa-SAstraM,
   tadvedināṃ gururityarthaḥ /	tad-vedinAm guruH-iti-arTaH /
   prabandhasevāyāṃ raso yasya saḥ /	prabanDa-sevAyAm rasaH yasya saH /
   abhinavagupta iti śeṣaḥ /	aBinavaguptaH iti SezaH /
   dhvanivastuvṛrtti dhvanigranthavivṛtim /	Dvani-vastu-vRrtti Dvani-granTa-vivRtim /
   vyaracayat kṛtavān /	vyaracayat kRtavAn /
   sajjanāniti /	sat-janAn-iti /
   asau kavirityātmānaṃ nirdiśyoktiḥ /	asO kaviH-iti-AtmAnam nirdiSya-uktiH /
   hlādanāya svagranthādaraṇeva svaprīṇanāya sajjanānna yācate /	hlAdanAya sva-granTa-AdaraNA-iva sva-prINanAya sat-janAt-na yAcate /
   kuto na yācata ityāśaṅkāṃ dṛṣṭāntapradarśanena	kutas na yAcate iti-ASaFkAm dRzwAnta-pradarSanena
   parihariti---śaśabhṛtkimarthita iti /	parihariti----Sa-SaBRt-kim-arTitaH iti /
   hlādanāyetyanuṣaṅgaḥ /	hlAdanAya-iti-anuzaFgaH /
   kimirthitaḥ janairarthitaḥ /	kimirTitaH janEH-arTitaH /
   kiṃ naivetyarthaḥ /	kim na-eva-iti-arTaH /
   candra iva sajjanaḥ svayameva parānāhlādayatīti candrasyeva parāhlādanaṃ	candraH iva sat-janaH svayam-eva parAn-AhlAdayati-iti candrasya-iva parAhlAdanam
   sajjanasya svabhāva ityarthaḥ /	sat-janasya svaBAvaH iti-arTaH /
   naiveti /	na-eva-iti /
   muhurmuhuḥ dhikkṛto 'pi khalaiḥ punaḥ punaradhikṣipto 'pi /	muhur-muhur DikkRtaH api KalEH punar punar-aDikziptaH api /
   asau kavirityanuṣaṅgaḥ /	asO kaviH-iti-anuzaFgaH /
   khalānnaiva nindati kuta ityata āha---na hītyādi /	KalAt-na-eva nindati kutas iti-atas Aha---na hi-ityAdi /
   analaḥ agniḥ, śītalaḥ anuṣṇaḥ /	analaH agniH, SItalaH anuzNaH /
   na hi yathā agniḥ sarvadā uṣṇasvabhāva eva tathā khalajanaḥ	na hi yaTA agniH sarvadA uzNa-svaBAvaH eva taTA Kala-janaH
   paradūṣaṇasvabhāva eva, svabhāvaścāparihārya ityarthaḥ /	para-dUzaNa-svaBAvaH eva, svaBAvaH-ca-aparihAryaH iti-arTaH /
   ata ityubhayatra pūrveṇa sambandhaḥ /	atas iti-uBayatra pUrveNa sambanDaH /
   atha paramamāheśvaro granthakāro granthānte paramaśivānusandhānātmakaṃ	aTa parama-mAheSvaraH granTakAraH granTa-ante parama-Siva-anusanDAna-Atmakam
   paramamaṅgalamanutiṣṭhannāha---vastuta ityādi /	parama-maFgalam-anutizWat-=-Aha----vastutas ityAdi /
   janasya hṛdi hṛdaye vastutaḥ śivamaye sati śivamaye hṛdīti vā yojanā,	janasya hRdi hRdaye vastutas Siva-maye sati Siva-maye hRdi-iti vA yojanA,
   sarvataḥ sarvaṃ vastu sphuṭaṃ śivamayaṃ virājate bhāti /	sarvatas sarvam vastu sPuwam Siva-mayam virAjate BAti /
   nāśivamityādi /	na-aSivam-ityAdi /
   kvacana kvacidapi kasyacidvacaḥ aśivaṃ na bhavati, kintu sarvatra śivameva	kvacana kvacid-api kasyacid-vacaH aSivam na Bavati, kintu sarvatra Sivam-eva
   bhavatītyarthaḥ /	Bavati-iti-arTaH /
   anena vastutaḥ śivamaye svasya hṛdaye sarvaṃ śivamayaṃ bhāti /	anena vastutas Siva-maye svasya hRdaye sarvam Siva-mayam BAti /
   atassarvatrāpi viṣaye svavacaḥ śivamevetyarthaḥ pradarśitaḥ /	atassarvatra-api vizaye sva-vacaH Sivam-eva-iti-arTaH pradarSitaH /
   teneti /	tena-iti /
   svavacanenetyarthaḥ /	sva-vacanena-iti-arTaH /
   va iti śrotṝnuddiśyoktiḥ /	vaH iti SrotLn-uddiSya-uktiH /
   śivamayī maṅgalamayī daśā bhavet bhavatviti sarvaṃ śivam /	Siva-mayI maFgala-mayI daSA Bavet Bavatu-iti sarvam Sivam /
   devī vijayatāṃ vāṇī samaṃ satkavisūribhiḥ /	devI vijayatAm vANI samam satkavisUriBiH /
   hṛdyassacetasāṃ kāvyālokaśca sahalocanaḥ // //	hRd-yassa-cetasAm kAvya-AlokaH-ca sahalocanaH // //
   sarvavidyābdhirājarṣimahāgośrībhṛdāditaḥ /	sarva-vidyA-abDi-rAja-rzi-mahA-go-SrI-BRdAditaH /
   virudaṃ yassahṛdayatilakādyamavāptavān // //	virudam yassahRdaya-tilaka-Adyam-avAptavAn // //
   sammānitaścāṅgalaśrīcakravartisute nayaḥ /	sammAnitaH-cAFgala-SrI-cakravarti-sute nayaH /
   śākuntalādi yo vyākhyādgośrīśādiguruśca yaḥ // //	SAkuntala-Adi yaH vyAKyAt-goSrISa-Adi-guruH-ca yaH // //
   śāstrasāhityavinmauliḥ parīkṣidupanāmakaḥ /	SAstra-sAhitya-vid-mOliH parIkzit-upanAmakaH /
   suhṛtsatīrthyo gośrīśo yasyālambo 'sti sarvataḥ // //	suhRd-satIrTyaH goSrISaH yasya-AlambaH asti sarvatas // //
   rāmākhyaṣṣārakasso 'hamakārṣaṃ ṭippaṇīmimām /	rAma-AKyazzArakassaH aham-akArzam wippaNIm-imAm /
   iṣvagnikheṣu kalyabde bālānāmastviyaṃ priyā // //	izu-agni-Kezu kali-abde bAlAnAm-astu-iyam priyA // //
   prauḍhaṃ kva locanaṃ kvāhaṃ mandadhīrbahudhātra tat /	prOXam kva locanam kva-aham manda-DIH-bahuDA-atra tat /
   ṭippaṇyāṃ skhalitāni syustadiyaṃ śodhyatāṃ budhaiḥ //	wippaNyAm sKalitAni syuH-tat-iyam SoDyatAm buDEH //
   iti śrīsahṛdayatilaka paṇḍitarāja birudadvayaśālinā rāmanāmnā śārakeṇa	iti SrI-sahRdaya-tilaka paNxita-rAja biruda-dvaya-SAlinA rAma-nAmnA SArakeNa
   viracitāyāṃ kāvyālokalocanaṭippaṇyāṃ bālapriyākhyāyāṃ caturtha udyotaḥ	viracitAyAm kAvya-Aloka-locana-wippaNyAm bAla-priya-AKyAyAm caturTaH udyotaH
   samāpto 'yaṃ granthaḥ //	samAptaH ayam granTaH //
