   prastāvanā /	prastAvanA /
   atra abhayenotkṛṣṭena nikṛṣṭasya kharvatvasya hrasvatvasya parivartanaṃ	atra aBayena-utkRzwena nikRzwasya Karva-tvasya hrasva-tvasya parivartanam
   abhidheyāpekṣayā	aBiDeya-apekzayA
   pūrvatarodāharaṇavatpratibhāti /	pUrvatara-udAharaNa-vat-pratiBAti /
   tātparyārthāpekṣayā tu neyaṃ parivṛttiḥ /	tAtparya-arTa-apekzayA tu na-iyam parivRttiH /
   cattaddevebhyaḥ abhayaṃ pratijñātaṃ tadupāyabhūtāyā vāmanaveṣeṇa	cattad-deveByaH aBayam pratijQAtam tad-upAya-BUtAyAH vAmana-vezeNa
   svarvatāyāḥ parigṛhītatvāt /	svarvatAyAH parigRhIta-tvAt /
   iti	iti
   māhaśrīpratīhārendurājaviracitāyāmudbhaṭālaṅkārasārasaṃgrahaladhuvṛttau	mAhaSrI-pratIhAra-indu-rAja-viracitAyAm-udBawa-alaFkAra-sAra-saMgraha-laDu-vRttO
   pañcamo vargaḥ //	paQcamaH vargaH //
   atha ṣaṣṭho vargaḥ /	aTa zazWaH vargaH /
   ananvayaṃ sasaṃdehaṃ saṃsṛṣṭiṃ bhāvikaṃ tathā /	ananvayam sa-saMdeham saMsRzwim BAvikam taTA /
   kāvyadṛṣṭāntahetū cetyalaṅkārānpare viduḥ // UKss_6.1 //	kAvya-dRzwAnta-hetU ca-iti-alaFkArAn-pare viduH // UKsH-_6.1 //
   atra itiśabdasya vakṣyamāṇaṃ yadananvayādilakṣaṇaṃ tadupakṣepārthatvena	atra iti-Sabdasya vakzyamANam yat-ananvaya-Adi-lakzaNam tad-upakzepa-arTa-tvena
   prayogānnānanvayādisvarūpaparāmarśārthatvam /	prayogAt-na-ananvaya-Adi-svarUpa-parAmarSa-arTa-tvam /
   ityevaṃ vakṣyamāṇalakṣaṇakatvenānanvayādīnalaṅkārānvidurityarthaḥ /	iti-evam vakzyamANa-lakzaNaka-tvena-ananvaya-AdIn-alaFkArAn-viduH-iti-arTaH /
   ityevaṃ vakṣyamāṇalakṣaṇakatvenānanvayādīnalaṅkārānvidurityarthaḥ /	iti-evam vakzyamANa-lakzaNaka-tvena-ananvaya-AdIn-alaFkArAn-viduH-iti-arTaH /
   ato vedanakriyākarmatvādananvayamityādau dvitīyā /	atas vedana-kriyA-karma-tvAt-ananvayam-ityAdO dvitIyA /
   kāvyadṛṣṭāntahetū cetyatra dṛṣṭāntahetuśabdābhyāṃ kāvyaśabdaḥ	kAvya-dRzwAnta-hetU ca-iti-atra dRzwAnta-hetu-SabdAByAm kAvya-SabdaH
   pratyekamabhisaṃbadhyate /	pratyekam-aBisaMbaDyate /
   dṛṣṭāntaśabdasya cātra pūrvanipāto 'bhyarhitatvāt /	dRzwAnta-Sabdasya ca-atra pUrva-nipAtaH aByarhita-tvAt /
   abhyarhitatvaṃ dṛṣṭāntasya dṛṣṭāntapratibimbitavyāptimukhena hetoḥ prāyeṇa	aByarhita-tvam dRzwAntasya dRzwAnta-pratibimbita-vyApti-muKena hetoH prAyeNa
   gamakatā saṃpratyayāt /	gamaka-tA saMpratyayAt /
   sasaṃdehaḥ---	sa-saMdehaH---
   upamānena tattvaṃ ca bhedaṃ ca vadataḥ punaḥ /	upamAnena tattvam ca Bedam ca vadataH punar /
   sasaṃdehaṃ vacaḥ stutyai sasaṃdehaṃ vadurbudhāḥ // UKss_6.2 //	sa-saMdeham vacaH stutyE sa-saMdeham vaduH-buDAH // UKsH-_6.2 //
   upamānabhedapūrvaṃ bhedamabhidadhataḥ kaveḥ kavinibaddhasya vā vakturvaca	upamAna-Beda-pUrvam Bedam-aBidaDataH kaveH kavi-nibadDasya vA vaktuH-vaca
   iti saṃbandhaḥ /	iti saMbanDaH /
   saṃdehopetavacanavyājena upamānena tattvaṃ	saMdeha-upeta-vacana-vyAjena upamAnena tattvam
   tadbhāvamabhedamupameyasyābhidhāyottarakālaṃ yadā	tad-BAvam-aBedam-upameyasya-aBiDAya-uttara-kAlam yadA
   tasmādupamānāttasyopameyasya bhedo 'bhidhīyate tadā sasaṃdeho 'laṅkāraḥ /	tasmAt-upamAnAt-tasya-upameyasya BedaH aBiDIyate tadA sa-saMdehaH alaFkAraH /
   nanu upamānena saha pūrvamabhede 'bhihite sati punaryadi	nanu upamAnena saha pUrvam-aBede aBihite sati punar-yadi
   tasmāddhedasyābhidhānaṃ kriyate /	tasmAt-hedasya-aBiDAnam kriyate /
   evaṃ sati gajasnānaṃ prāpnotītyāśaṅkyoktam----stutyai iti /	evam sati gaja-snAnam prApnoti-iti-ASaFkya-uktam----stutyE iti /
   stutyarthatvena evaṃvidhā abhidhā samāśrīyata ityarthaḥ /	stuti-arTa-tvena evaMviDA aBiDA samASrIyate iti-arTaH /
   tasyodāharaṇam----	tasya-udAharaNam-----
   haste kimasya niḥśeṣadetyahṛddalanodbhavam /	haste kim-asya niHSeza-detya-hRd-dalana-udBavam /
   yaśaḥsaṃcaya eṣa syātpiṇḍībhāvo 'sya kiṃkṛtaḥ // UKss_6.*1 //	yaSaH-saMcayaH eza syAt-piNxIBAvaH asya kiMkRtaH // UKsH-_6.*1 //
   nābhipadmaspṛhāyātaḥ kiṃ haṃso naiṣa cañcalaḥ /	nABi-padma-spRhA-AyAtaH kim haMsaH na-eza caQcalaH /
   iti yasyābhitaḥ śaṅkhamaśaṅkiṣṭārjavo janaḥ // UKss_6.*2 //	iti yasya-aBitas SaFKam-aSaFkizwa-ArjavaH janaH // UKsH-_6.*2 //
   ārjavo mūrkhaḥ /	ArjavaH mUrKaH /
   ṛjutvayogāt /	Rju-tva-yogAt /
   atra śaṅkha upameyaḥ /	atra SaFKaH upameyaH /
   yaśaḥsaṃcayo haṃsaścopamānam /	yaSaH-saMcayaH haMsaH-ca-upamAnam /
   tayośca pūrvamabhedasaṃdehavyājenābhihitaḥ kimeṣa yaśaḥsaṃcayaḥ syāditi,	tayoH-ca pUrvam-aBeda-saMdeha-vyAjena-aBihitaH kim-eza yaSaH-saMcayaH syAt-iti,
   tathā kiṃ haṃsa iti punaścātropamānādupameyasya bhedo varṇitaḥ /	taTA kim haMsaH iti punar-ca-atra-upamAnAt-upameyasya BedaH varNitaH /
   yaśaḥsaṃcayāttāvadbhedopavarṇanaṃ piṇḍībhāvo 'sya kiṃkṛta ita /	yaSaH-saMcayAt-tAvat-Beda-upavarNanam piNxIBAvaH asya kiMkRtaH itas /
   yaśaḥsaṃcayaḥ khalu prasaraṇaśīlaḥ /	yaSaH-saMcayaH Kalu prasaraNa-SIlaH /
   asya tu tadviruddhaḥ piṇḍībhāvo dṛśyate /	asya tu tad-virudDaH piNxIBAvaH dRSyate /
   tena nāyaṃ yaśaḥsaṃcaya iti /	tena na-ayam yaSaH-saMcayaH iti /
   haṃsāttu bhedābhidhānaṃ naiva cañcala iti /	haMsAt-tu Beda-aBiDAnam na-eva caQcalaH iti /
   haṃsasya ha cañcalatvaṃ nāma dharmaḥ /	haMsasya ha caQcala-tvam nAma DarmaH /
   ihaca tannopalabhyate, tasmānnaiva haṃsa iti /	ihaca tat-na-upalaByate, tasmAt-na-eva haMsaH iti /
   evaṃ vidhasya cātrābhidhānasya phalaṃ stutiḥ, yaśaḥsaṃcayo bhagavatā	evam viDasya ca-atra-aBiDAnasya Palam stutiH, yaSaH-saMcayaH BagavatA
   svahastavartī kṛta iti, tathāsaṃbhāvyamānahaṃsāgamanaṃ	sva-hasta-vartI kRtaH iti, taTA-asaMBAvya-mAna-haMsa-Agamanam
   tribhuvanotpattinibandhanaṃ yattannābhinalinaṃ tadvān bhagavāniti //	triBuvana-utpatti-nibanDanam yat-tat-nABi-nalinam tadvAn BagavAn-iti //
   sasaṃdehasya bhedāntaramāha----	sa-saMdehasya Beda-antaram-Aha----
   alaṅkārāntaracchāyāṃ yatkṛtvā dhīṣu bandhanam /	alaFkAra-antara=-CAyAm yat-kRtvA DIzu banDanam /
   asaṃdehe 'pi saṃdeharūpaṃ saṃdehanāma tat // UKss_6.3 //	asaMdehe api saMdeha-rUpam saMdeha-nAma tat // UKsH-_6.3 //
   chāyā śobhā /	CAyA SoBA /
   yatra saṃdehābhāve 'pi saṃdehasyopanibandhe sati na	yatra saMdeha-aBAve api saMdehasya-upanibanDe sati na
   pūrvavadupamānādupameyasya bheda upanibadhyate kiṃtarhyabheda eva	pUrvavat-upamAnAt-upameyasya BedaH upanibaDyate kiMtarhi-aBedaH eva
   saṃśayacchāyayā /	saMSaya=-CAyayA /
   tathāvidhasya copanibandhasya phalamalaṅkārāntaropajanitā	taTAviDasya ca-upanibanDasya Palam-alaFkAra-antara-upajanitA
   saundaryapratipattiḥ /	sOndarya-pratipattiH /
   yadāha---dhīṣvalaṅkārāntaracchāyāṃ kṛtvā iti /	yadAha---DIzu-alaFkAra-antara=-CAyAm kRtvA iti /
   tatrāpi saṃdehālaṅkāraḥ /	tatra-api saMdeha-alaFkAraH /
   tasyodāharaṇam----	tasya-udAharaNam-----
   nīlābdaḥ kimayaṃ merau dhūmo 'tha pralayānale /	nIla-abdaH kim-ayam merO DUmaH aTa pralaya-anale /
   iti yaḥ śaṅkyate śyāmaḥ pakṣīndrerkatviṣi sthitaḥ // UKss_6.*3 //	iti yaH SaFkyate SyAmaH pakzi-indrerka-tvizi sTitaH // UKsH-_6.*3 //
   atra meroruparivartī nīlo balāhakaḥ kalpāntavahnyāścayaśca dhūmaḥ	atra meroH-uparivartI nIlaH balAhakaH kalpa-anta-vahnyAH-cayaH-ca DUmaH
   ityetadubhayamupamānam /	iti-etat-uBayam-upamAnam /
   garuḍārūḍhastu bhagavān kṛṣṇavapurupameyaḥ /	garuxa-ArUXaH-tu BagavAn kRzNa-vapuH-upameyaH /
   tena ca upamānadvayena saṃdehavyājena bhagavānāpāditābheda upanibaddhaḥ	tena ca upamAna-dvayena saMdeha-vyAjena BagavAn-ApAditA-BedaH upanibadDaH
   kimayamevaṃvidhaḥ athaivaṃvidhaḥ iti /	kim-ayam-evaMviDaH aTa-evaMviDaH iti /
   tābhyāṃ copamānābhyāmupameyasya pūrvavadbhedanibandhanaṃ nātra	tAByAm ca-upamAnAByAm-upameyasya pUrvavat-Beda-nibanDanam na-atra
   kiṃcidabhihitam /	kiMcid-aBihitam /
   phalaṃ caivamabhidhānasyopamālaṅkāradhvananam /	Palam ca-evam-aBiDAnasya-upama-alaFkAra-Dvananam /
   evaṃvidhopamānadvitayasadṛśo bhagavānvainateyārūḍha iti /	evaMviDa-upamAna-dvitaya-sadRSaH BagavAn-vEnateya-ArUXaH iti /
   ananvayaḥ---	ananvayaH---
   yatra tanaiva tasya syādupamānopameyatā /	yatra tanA-eva tasya syAt-upamAna-upameya-tA /
   asādṛśyavivakṣātastamityāhurananvayam // UKss_6.4 //	asAdRSya-vivakzAtaH-tam-iti-AhuH-ananvayam // UKsH-_6.4 //
   yatra tenaiva na tu vastvantareṇa tasyaiva vastvantarasyopamānopameyabhāvo	yatra tena-eva na tu vastu-antareNa tasya-eva vastu-antarasya-upamAna-upameya-BAvaH-
   bhavettatra vastvantarānugamābhāvādananvayākhyo 'laṅkāraḥ /	Bavet-tatra vastu-antara-anugama-aBAvAt-ananvaya-AKyaH alaFkAraH /
   nanu ca sādṛśyasaṃbandhe sati prākaraṇikamupameyamaprākaraṇikaṃ	nanu ca sAdRSya-saMbanDe sati prAkaraNikam-upameyam-aprAkaraNikam
   tūpamānamityupamānopameyayorlakṣitatvātkathamekasyaivopamitikriyāyāṃ	tu-upamAnam-iti-upamAna-upameyayoH-lakzita-tvAt-kaTam-ekasya-eva-upamiti-kriyAyAm
   karmatvaṃ karaṇatvaṃ ca saṃbhavatītyāśaṅkyoktam---asādṛśyavivakṣāta iti /	karma-tvam karaNa-tvam ca saMBavati-iti-ASaFkya-uktam----asAdRSya-vivakzAtaH iti /
   nātromapānopameyabhāve tātparyaṃ	na-atroma-pAna-upameya-BAve tAtparyam
   kintūpameyopamāvadupamānāntaravyāvṛttāvityarthaḥ /	kintu-upameya-upamAvat-upamAna-antara-vyAvRttO=-iti-arTaH /
   itiśabde 'tra vakṣyamāṇodāharaṇopakṣepārthatvādananvayaśabdena	iti-Sabde atra vakzyamANa-udAharaNa-upakzepa-arTa-tvAt-ananvaya-Sabdena
   nābhisaṃbadhyate /	na-aBisaMbaDyate /
   tena ananvayamiti dvitīyā /	tena ananvayam-iti dvitIyA /
   tasyodāharaṇam----	tasya-udAharaNam-----
   yasya vāṇī svavāṇīva svakriyeva kriyāmalā /	yasya vANI svavANI-iva sva-kriyA-iva kriyA-amalAH /
   rūpaṃ svamiva rūpaṃ ca lokalocanalobhanam // UKss_6.*4 //	rUpam svam-iva rUpam ca loka-locana-loBanam // UKsH-_6.*4 //
   atra vāṇīkriyārūpāṇāṃ trayāṇāmanupamatayā lokottaratvaṃ	atra vANIkriyA-rUpANAm trayANAm-anupama-tayA loka-uttara-tvam
   pratipādayitumātmanaivopamānopameyabhāvo nibaddhaḥ /	pratipAdayitum-AtmanA-eva-upamAna-upameya-BAvaH nibadDaH /
   saṃsṛṣṭiḥ----	saMsRzwiH----
   alaṅkṛtīnāṃ bahvīnāṃ dvayorvāpi samāśrayaḥ /	alaFkRtInAm bahvInAm dvayoH-vA-api samASrayaH /
   ekatra nirapekṣāṇāṃ mithaḥ saṃsṛṣṭirucyate // UKss_6.5 //	ekatra nirapekzANAm miTas saMsRzwiH-ucyate // UKsH-_6.5 //
   bahūnāmalaṅkārāṇāṃ parasparanirapekṣāṇāṃ dvayorvā tathāvidhayorekatra	bahUnAm-alaFkArANAm paraspara-nirapekzANAm dvayoH-vA taTAviDayoH-ekatra
   śabda eva artha eva vā upanibandhe sati saṃsṛṣṭiralaṅkāraḥ /	SabdaH eva arTaH eva vA upanibanDe sati saMsRzwiH-alaFkAraH /
   yatra tu parasparasāpekṣatvaṃ tatra	yatra tu paraspara-sApekza-tvam tatra
   sandehaikaśabdābhidhānānugrāhyānugrāhakasaṅkarāstrayaḥ pūrvamabhihitāḥ /	sandeha-eka-Sabda-aBiDAna-anugrAhya-anugrAhaka-saFkarAH-trayaH pUrvam-aBihitAH /
   yatra ca śabdārthalakṣaṇāśrayadvitayaniṣṭhatayā	yatra ca Sabda-arTa-lakzaNa-ASraya-dvitaya-nizWatayA
   anekālaṅkāropanibandhastatrāpi śabdārthavartyanekālaṅkārasaṃkara uktaḥ /	aneka-alaFkAropanibanDaH-tatra-api Sabda-arTa-varti-aneka-alaFkAra-saMkaraH uktaH /
   etadvailakṣaṇyena tu saṃsṛṣṭiḥ /	etat-vElakzaNyena tu saMsRzwiH /
   tasyā udāharaṇam-----	tasyAH udAharaNam------
   tvatkṛte so 'pa vaikuṇṭhaḥ śaśīvoṣasi candrakām /	tvad-kRte saH apaH vEkuNWaH SaSIva-uzasi candrakAm /
   apyadhārāṃ sudhāvṛrṣṭi manye tyajati tāṃ śriyam // UKss_6.*5 //	api-aDArAm suDA-vRrzwi manye tyajati tAm Sriyam // UKsH-_6.*5 //
   taduttiṣṭhātidhanyena kenāpi kamalekṣaṇe /	tad-uttizWa-ati-Danyena kena-api kamala-IkzaNe /
   vareṇa saha tāruṇyaṃ nirviśantī gṛhe vasa // UKss_6.*6 //	vareNa saha tAruNyam nirviSantI gRhe vasaH // UKsH-_6.*6 //
   nirviśantī upabhuñjānā /	nirviSantI upaBuQjAnAH /
   atra śaśī uṣasi candrikāmiva vaikuṇṭhaḥ tvatkṛte śriyaṃ tyajati ityupamā /	atra SaSI uzasi candrikAm-iva vEkuNWaH tvad-kRte Sriyam tyajati iti-upamA /
   adhārāṃ sudhāvṛṣṭimiti rūpakam /	aDArAm suDA-vRzwim-iti rUpakam /
   tathā hyatra lakṣmyāḥ sarve pīyūṣavṛṣṭeḥ saṃbandhino dharmā vidyante	taTA hi-atra lakzmyAH sarve pIyUza-vRzweH saMbanDinaH DarmAH vidyante
   kevalaṃ dhārāsaṃbandho nāstītyupamānagataikaguṇanivṛttidvārikā	kevalam DArA-saMbanDaH na-asti-iti-upamAna-gata-eka-guNa-nivRtti-dvArikA
   śiṣṭopamānagatasakalaguṇābhyanujñārūpāropaṇāvagamyate, yathā ayaṃ puruṣaḥ	Sizwa-upamAna-gata-sakala-guNa-aByanujQA-rUpAropaNa-avagamyate, yaTA ayam puruzaH
   akaro hastīti /	akaraH hastI-iti /
   tadetasmin śloke upamāyā rūpakasya ca dvayoralaṅkārayoḥ saṃsṛṣṭiḥ /	tat-etasmin Sloke upamAyAH rUpakasya ca dvayoH-alaFkArayoH saMsRzwiH /
   tayoḥ kevalābhidheyāśrayatvātparasparanirapekṣatvācca /	tayoH kevala-aBiDeya-ASraya-tvAt-paraspara-nirapekza-tvAt-ca /
   'taduttiṣṭha'ityetacchlokāpekṣayā tu 'kamalekṣaṇe'iti	atat-uttizWa-aiti-etat-Sloka-apekzayA tu akamala-IkzaNe-aiti
   samāsopamātmakamupamābhedamāśritya pūrvoktālaṅkāradvayasaṃkalanayā bahūnā	samAsa-upama-Atmakam-upamA-Bedam-ASritya pUrva-ukta-alaFkAra-dvaya-saMkalanayA bahUnA
   malaṅkārāṇāṃ saṃsṛṣṭyudāharaṇadikpradarśanaṃ draṣṭavyam //	malaFkArANAm saMsRzwi-udAharaNa-diS-pradarSanam drazwavyam //
   bhāvikam-----	BAvikam------
   pratyakṣā iva yatrārthā dṛśyante bhūtabhāvinaḥ /	pratyakzAH iva yatra-arTAH dRSyante BUta-BAvinaH /
   atyadbhutāḥ syāttadvācāmanākulyena bhāvikam // UKss_6.6 //	ati-adButAH syAt-tat-vAcAm-anAkulyena BAvikam // UKsH-_6.6 //
   sāṃpratikena pradhvaṃsābhāvenopalakṣyamāṇāḥ padārthāḥ bhūtāḥ, yathā idānīṃ	sAMpratikena praDvaMsa-aBAvena-upalakzyamANAH padArTAH BUtAH, yaTA idAnIm
   yudhiṣṭhirādayaḥ /	yuDizWira-AdayaH /
   ye tu sāpratikena prāgabhāvena upalakṣyante te bhāvinaḥ, yathā idānīṃ	ye tu sApratikena prAc-aBAvena upalakzyante te BAvinaH, yaTA idAnIm
   bhagavadavatāraḥ kalkī bhaviṣṇuyaśāḥ /	Bagavat-avatAraH kalkI BavizNuyaSAH /
   evamanantaropalakṣitāḥ bhūtā bhāvinaśca yer'thāste	evam-anantara-upalakzitAH BUtAH BAvinaH-ca yer-aTa-Aste
   sāṃpratikapradhvaṃsābhāvaprāgabhāvaviviktatayā vartamānāyamānāḥ pratyakṣā	sAMpratika-praDvaMsa-aBAva-prAc-aBAva-vivikta-tayA vartam-AnAyamAnAH pratyakzA
   iva yatra dṛśyante tadbhāvikaṃ nāmālaṅkāro bhavet /	iva yatra dRSyante tad-BAvikam nAma-alaFkAraH Bavet /
   atra heturvācāmanākulatā arthānāṃ cātyadbhutatvam /	atra hetuH-vAcAmana-Akula-tA arTAnAm ca-ati-adButa-tvam /
   taduktam---vācāmanākulyeneti /	tat-uktam----vAcAm-anAkulyena-iti /
   atyadbhutā iti ca /	ati-adButAH iti ca /
   tatra vācāmanākulatā	tatra vAcAm-anAkula-tA
   vyastasaṃbandharahitalokaprasiddhaśabdopanibandhājjhagityarthapratītikāritā	vyasta-saMbanDa-rahita-loka-prasidDa-Sabda-upanibanDAt-Jagiti-arTa-pratIti-kAri-tA
   tasyāṃ hi satyāṃ kaveḥ saṃbandhī yo bhāvaḥ	tasyAm hi satyAm kaveH saMbanDI yaH BAvaH
   āśrayaḥ śṛṅgārādirasasaṃvalitacaturvargopāyabhūtaviśiṣṭārthollekhī sa	ASrayaH SRFgAra-Adi-rasa-saMvalita-catur-varga-upAya-BUta-viSizwa-arTa-ulleKI sa
   kavinaiva sahṛdayaiḥ śrotṛbhiḥ svābhiprāye 'bhedena	kavinA-eva sahRdayEH SrotRBiH sva-aBiprAye aBedena
   tattatkāvyapratibimbitarūpatayā sākṣātkriyate /	tad-tad-kAvya-pratibimbita-rUpa-tayA sAkzAtkriyate /
   śrotṛṇāmapi hi tathāvidhasvacchaśabdānubhavadrāvitāntarātmanāṃ sahṛdayānāṃ	SrotRNAm-api hi taTAviDa-svacCa-Sabda-anuBava-drAvita-antarAtmanAm sahRdayAnAm
   svābhiprāyapratimudrā tatra saṃkrāmati /	sva-aBiprAya-pratimudrA tatra saMkrAmati /
   ataḥ kaveryo 'sāvabhiprāyastadgocarīkṛtā bhūtā bhāvino 'pi padārthastatra	atas kaveryaH asO=-aBiprAyaH-tad-gocarIkRtA BUtAH BAvinaH api padArTaH-tatra
   sahṛdayaiḥ śrotṛbhiḥ svābhiprāyābhedena pratyakṣā iva dṛśyante /	sahRdayEH SrotRBiH sva-aBiprAya-aBedena pratyakzAH iva dRSyante /
   yathā cātra śabdagatamanākulatvamanantaroktena prakāreṇa	yaTA ca-atra Sabda-gatam-anAkula-tvam-anantara-uktena prakAreNa
   hetustathārthagatamapi citrodāttārthopanibandhahetukamatyadbhutatvaṃ	hetuH-taTA-arTa-gatam-api citra-udAtta-arTa-upanibanDa-hetukam-ati-adButa-tvam
   draṣṭavyam /	drazwavyam /
   taduktaṃ bhāvikamupakramya bhāmahena---"citrodāttādbhutārthatvaṃ kathāyāṃ	tat-uktam BAvikam-upakramya BAmahena---"citra-udAtta-adButa-arTa-tvam kaTAyAm
   svabhinītatā /	svaBinIta-tA /
   śabdānākulatā ceti tasya hetūn pracakṣate"iti //	Sabda-anAkulatA ca-iti tasya hetUn pracakzate"iti //
   svabhinītatetyabhinayādidvāreṇa śṛṅgārādirasasaṃvalitatvaṃ	svaBinIta-tA-iti-aBinaya-Adi-dvAreNa SRFgAra-Adi-rasa-saMvalita-tvam
   caturvargopāyasyoktam /	catur-varga-upAyasya-uktam /
   tadevamevaṃvidhahetunibandhanaṃ kaviśrotṛbhāvadvitayasaṃmīlanātmakaṃ	tat-evam-evaMviDa-hetu-nibanDanam kavi-SrotR-BAva-dvitaya-saMmIlana-Atmakam
   bhāvikaṃ draṣṭavyam /	BAvikam drazwavyam /
   ata eva cātra kavisaṃbandhino bhāvasya śrotṛbhāvābhedādhyavasitasya	atas eva ca-atra kavi-saMbanDinaH BAvasya SrotR-BAva-aBeda-aDyavasitasya
   puraḥ--sphuradrūpasya vidyamānatvādbhāvikavyapadeśaḥ bhāvo 'smin vidyate	puraH---sPurat-rUpasya vidyamAna-tvAt-BAvika-vyapadeSaH BAvaH asmin vidyate
   iti bhāvikam /	iti BAvikam /
   tadāhuḥ---"rasollāsī kaverātmā svacche śabdārthadarpaṇo /	tat-AhuH---"rasa-ullAsI kavera-AtmA svacCe Sabda-arTa-darpaNaH /
   mādhuryaujoyutaprauḍhe prativindya prakāśate /	mADurya-ojaH-yuta-prOXe prativindya prakASate /
   saṃpītasvacchaśabdārthadrāvitābhyantarastataḥ /	saMpIta-svacCa-Sabda-arTa-drAvita-aByantaraH-tatas /
   śrotā tatsāmyataḥ puṣṭiṃ caturvarge parāṃ vrajet"iti /	SrotA tad-sAmyataH puzwim caturvarge parAm vrajet-"iti /
   svaccha iti prasādaguṇo 'bhihitaḥ /	svacCaH iti prasAda-guNaH aBihitaH /
   prauḍha caturvarge parāṃ vrajet"iti /	prOXa caturvarge parAm vrajet-"iti /
   svaccha iti prasādaguṇo 'bhihitaḥ /	svacCaH iti prasAda-guNaH aBihitaH /
   prauḍha iti tu sālaṅkāratā /	prOXaH iti tu sa-alaFkAra-tA /
   saṃpītau samyagāsvāditau /	saMpItO samyak-AsvAditO /
   tatsāmyata iti svabhiprāyābhedena	tat-sAmyate iti su-aBiprAya-aBedena
   kavigatasyābhiprāyasyādhyavasānādityarthaḥ /	kavi-gatasya-aBiprAyasya-aDyavasAnAt-iti-arTaH /
   tasyodāharaṇam----	tasya-udAharaNam-----
   karoṣi pīḍāṃ prītiṃ ca nirañjanavilocanā /	karozi pIxAm prItim ca niraQjana-vilocanA /
   mūrtyānayā samudvīkṣya nānābharaṇaśobhayā // UKss_6.*7 //	mUrtyA-anayA samudvIkzya nAnA-ABaraNa-SoBayA // UKsH-_6.*7 //
   atrābharaṇocitamūrtitve 'pi	atra-ABaraNa-ucita-mUrti-tve api
   nirañjanavilocanatvopalakṣitādābharaṇatyāgātpīḍā /	niraQjana-vilocana-tva-upalakzitAt-ABaraNa-tyAgAt-pIxA /
   sahajasaundaryanirbharatvena tu ābharaṇasaṃpādyāyāḥ śobhāyāḥ	sahaja-sOndarya-nirBara-tvena tu ABaraNa-saMpAdyAyAH SoBAyAH
   paridṛśyamānatvātprītiḥ /	paridRSyamAna-tvAt-prItiH /
   tenātra sāṃpratikapradhvaṃsābhāvopalakṣitatvādbhūṣaṇasaṃbandho vyatito	tena-atra sAMpratika-praDvaMsa-aBAva-upalakzita-tvAt-BUzaNa-saMbanDaH vyatito
   'pyadbhuto yo 'sau vapuḥprakarṣastadvaśena pratyatra iva kavinopanibaddhaḥ	api-adButaH yaH asO vapuH-prakarzaH-tad-vaSena pratyatra iva kavinA-upanibadDaH
   tathaiva cāsau sahṛdayānāṃ camatkāramāvahati /	taTA-eva ca-asO sahRdayAnAm camatkAram-Avahati /
   saṃtatamutkṛṣṭatayā vaicitryeṇa īkṣaṇīyā ābharaṇaśobhā yasyāmiti	saMtatam-utkRzwa-tayA vEcitryeNa IkzaNIyAH ABaraNa-SoBA yasyAm-iti
   bahuvrīhiḥ /	bahuvrIhiH /
   kāvyehetuḥ----	kAvyehetuH----
   śrutamekaṃ yadanyatra smṛteranubhavasya vā /	Srutam-ekam yat-anyatra smRteH-anuBavasya vA /
   hetutāṃ pratipadye kāvyaliṅgaṃ taducyate // UKss_6.7 //	hetu-tAm pratipadye kAvya-liFgam tat-ucyate // UKsH-_6.7 //
   yatra ekaṃ vastu śrutaṃ sadvastvantaraṃ smārayati anubhāvayati vā tatra	yatra ekam vastu Srutam sa-dvastu-antaram smArayati anuBAvayati vA tatra
   kāvyaliṅgaṃ nāmālaṅkāraḥ /	kAvya-liFgam nAma-alaFkAraH /
   pakṣadharmatvānvayavyatirekānusaraṇagarbhatayā yathā tārkikaprasiddhā	pakza-Darma-tva-anvaya-vyatireka-anusaraNa-garBa-tayA yaTA tArkika-prasidDA
   hetavo lokaprasiddhavastuviṣayatvenopanibadhyamānā vairasyamāvahanti na	hetavaH loka-prasidDa-vastu-vizaya-tvena-upanibaDyamAnAH vErasyam-Avahanti na
   tathā kāvyehetuḥ atiśayena sarveṣāṃ janānāṃ yosau hṛdayasaṃvādīsarasaḥ	taTA kAvyehetuH atiSayena sarvezAm janAnAm yosO hRdaya-saMvAdI-sarasaH
   padārthastanniṣṭhatayā upanibadhyamānatvāt /	padArTaH-tad-nizWa-tayA upanibaDyamAna-tvAt /
   ataḥ kāvyaliṅgamiti kāvyagrahaṇamupāttam /	atas kAvya-liFgam-iti kAvya-grahaNam-upAttam /
   na khalu tacchāstraliṅgaṃ kiṃ tarhi kāvyaliṅgamiti kāvyagrahaṇena	na Kalu tad-SAstra-liFgam kim tarhi kAvya-liFgam-iti kAvya-grahaNena
   pratipādyate /	pratipAdyate /
   nanu kāvyagrahaṇena kathaṃ kāvyasya sarasapadārthaniṣṭhatopadarśyate /	nanu kAvya-grahaNena kaTam kAvyasya sarasa-padArTa-nizWata-upadarSyate /
   kāvyasya sarasatvāt /	kAvyasya sarasa-tvAt /
   kāvyaṃ khalu guṇasaṃskṛtaśabdārthaśarīratvāt sarasameva bhavati, na tu	kAvyam Kalu guNa-saMskRta-Sabda-arTa-SarIra-tvAt sarasam-eva Bavati, na tu
   nīrasam /	nIrasam /
   tathāhi---guṇāḥ kāvyasya mādhuryaujaḥprasādalakṣaṇāḥ /	taTA-hi----guNAH kAvyasya mADurya-ojaH-prasAda-lakzaNAH /
