   akrodhādyāś ca niyamāḥ SUp_7.101c	akroDa-AdyAH ca niyamAH SUp_7.101c
   śivāya gurave 'pi vā SUp_6.28d	SivAya gurave api vA SUp_6.28d
   śivāya gurave vāpi SUp_6.8c	SivAya gurave vA-api SUp_6.8c
   śivāya gurave vāpi SUp_6.19c	SivAya gurave vA-api SUp_6.19c
   śivāya gurave vāpi SUp_6.63a	SivAya gurave vA-api SUp_6.63a
   śivāyagurave vāpi SUp_6.67a	SivAya-gurave vA-api SUp_6.67a
   śivāya gurave vāpi SUp_6.81c	SivAya gurave vA-api SUp_6.81c
   śivāya gurave vāpi SUp_6.245c	SivAya gurave vA-api SUp_6.245c
   śivāyatanapuṇyasya SUp_6.110c	Siva-Ayatana-puNyasya SUp_6.110c
   śivāyatanavittānāṃ SUp_6.243a	Siva-Ayatana-vittAnAm SUp_6.243a
   śivāya tasya saṃruddhaṃ SUp_6.282c	SivAya tasya saMrudDam SUp_6.282c
   śivāya vinivedayet SUp_6.15b	SivAya vinivedayet SUp_6.15b
   śivāya vinivedayet SUp_6.25d	SivAya vinivedayet SUp_6.25d
   śivāya vinivedayet SUp_6.29d	SivAya vinivedayet SUp_6.29d
   śivāya vinivedayet SUp_6.76d	SivAya vinivedayet SUp_6.76d
   śivāya vinivedayet SUp_6.85d	SivAya vinivedayet SUp_6.85d
   śivāya sa śive loke SUp_6.2c	SivAya sa Sive loke SUp_6.2c
   śivāya sa śive loke SUp_6.97c	SivAya sa Sive loke SUp_6.97c
   śivāyādyaḥ śive loke SUp_6.101c	SivAya-AdyaH Sive loke SUp_6.101c
   śivāyeti namaskṛtvā SUp_7.89c	SivAya-iti namaskRtvA SUp_7.89c
   śivālokanasaṃmukham SUp_4.17d	Siva-Alokana-saMmuKam SUp_4.17d
   śivāśramopabhogāya SUp_6.241a	Siva-ASrama-upaBogAya SUp_6.241a
   śivāsannā gaṇeśvarāḥ SUp_6.187b	Siva-AsannAH gaNeSvarAH SUp_6.187b
   śivena śivabhāvitaḥ SUp_4.52b	Sivena Siva-BAvitaH SUp_4.52b
   śivaikādaśikājaptaṃ SUp_5.10c	Siva-ekAdaSikA-japtam SUp_5.10c
   śivaikādaśikāṃ japet SUp_5.33b	Siva-ekAdaSikAm japet SUp_5.33b
   śivopaniṣadaṃ param SUp_1.8b	Siva-upanizadam param SUp_1.8b
   śivopaniṣadaṃ hy etad SUp_7.140a	Siva-upanizadam hi etat SUp_7.140a
   śivopaniṣadi smṛtaḥ SUp_1.19b	Siva-upanizadi smRtaH SUp_1.19b
   śivomātīrthasaṃyogāt SUp_5.48c	Siva-umA-tIrTa-saMyogAt SUp_5.48c
   śivomāskandanāmabhiḥ SUp_4.39b	Siva-umA-skanda-nAmaBiH SUp_4.39b
   śivomāṃ ca prayatnena SUp_6.224a	Siva-umAm ca prayatnena SUp_6.224a
   śivo 'yam iti saṃkalpya SUp_7.72c	SivaH ayam iti saMkalpya SUp_7.72c
   śukanāsaṃ prakalpayet SUp_2.10b	Suka-nAsam prakalpayet SUp_2.10b
   śukanāsaṃ prakalpayet SUp_2.11b	Suka-nAsam prakalpayet SUp_2.11b
   śuktimātrarasasya tu SUp_6.27d	Sukti-mAtra-rasasya tu SUp_6.27d
   śuktyādīni ca pātrāṇi SUp_6.262c	Sukti-AdIni ca pAtrANi SUp_6.262c
   śukrabindur acetanaḥ SUp_7.106b	Sukra-binduH acetanaH SUp_7.106b
   śuklavastropavītavān SUp_7.43b	Sukla-vastra-upavItavAn SUp_7.43b
   śuddhabhāvaḥ śivaṃ vrajet SUp_5.43b	SudDa-BAvaH Sivam vrajet SUp_5.43b
   śuddhaṃ godhūmamātrakam SUp_6.97b	SudDam goDUma-mAtrakam SUp_6.97b
   śuddhaḥ śivapuraṃ gataḥ SUp_6.182b	SudDaH Siva-puram gataH SUp_6.182b
   śubhaṃ bhraṣṭaṃ nivedayet SUp_6.24d	SuBam Brazwam nivedayet SUp_6.24d
   śuṣkasnigdhānnabhojanāḥ SUp_7.122d	Suzka-snigDa-anna-BojanAH SUp_7.122d
   śuṣkair navaiḥ praśastaiś ca SUp_4.49c	SuzkEH navEH praSastEH ca SUp_4.49c
   śūdraḥ śivagṛhāśramī SUp_5.21d	SUdraH Siva-gRha-ASramI SUp_5.21d
   śṛṅgadantaśalākayā SUp_7.56b	SRFga-danta-SalAkayA SUp_7.56b
   śṛṇu yat phalam āpnuyāt SUp_4.40d	SRNu yat Palam ApnuyAt SUp_4.40d
   śṛṇu yat phalam āpnuyāt SUp_6.22b	SRNu yat Palam ApnuyAt SUp_6.22b
   śṛṇu yat phalam āpnuyāt SUp_6.33b	SRNu yat Palam ApnuyAt SUp_6.33b
   śṛṇu yat phalam āpnuyāt SUp_6.46b	SRNu yat Palam ApnuyAt SUp_6.46b
   śeṣaś ca gṛham ādiśet SUp_4.23d	SezaH ca gRham AdiSet SUp_4.23d
   śeṣāḥ syur bījajātayaḥ SUp_4.46d	SezAH syuH bIja-jAtayaH SUp_4.46d
   śailajānāṃ tadardhena SUp_6.264a	SElajAnAm tad-arDena SUp_6.264a
   śaivaliṅgena kāryaṃ syāt SUp_3.8a	SEva-liFgena kAryam syAt SUp_3.8a
   śobhanaṃ ca yathā yathā SUp_6.104b	SoBanam ca yaTA yaTA SUp_6.104b
   śobhanaṃ ca yathā yathā SUp_6.278d	SoBanam ca yaTA yaTA SUp_6.278d
   śobhanaṃ parikīrtitam SUp_6.9b	SoBanam parikIrtitam SUp_6.9b
   śobhanāny amalāni ca SUp_6.262d	SoBanAni amalAni ca SUp_6.262d
   śobhayā rājamārgeṇa SUp_6.174c	SoBayA rAjamArgeNa SUp_6.174c
   śobhayed bhūtanāthaṃ vā SUp_6.115a	SoBayet BUtanATam vA SUp_6.115a
   śovhanāny amalāni ca SUp_6.266d	SovhanAni amalAni ca SUp_6.266d
   śaucam aṣṭavidhaṃ śrutam SUp_5.44d	SOcam azwaviDam Srutam SUp_5.44d
   śaucayet tṛṇagarbhāyāṃ SUp_7.49c	SOcayet tRNagarBAyAm SUp_7.49c
   śaucaṃ saṃtoṣam ārjavam SUp_7.100d	SOcam saMtozam Arjavam SUp_7.100d
   śrīparvataṃ ca vijñeyam SUp_6.192c	SrIparvatam ca vijQeyam SUp_6.192c
   śrīparvataṃ mahāpuṇyaṃ SUp_6.193c	SrIparvatam mahA-puNyam SUp_6.193c
   śrīparvate mahākāle SUp_6.189a	SrIparvate mahAkAle SUp_6.189a
   śrīmacchivapuraṃ vrajet SUp_7.97d	SrImat-Siva-puram vrajet SUp_7.97d
   śrīmadāyatanaṃ śambhor SUp_2.20a	SrImat-Ayatanam SamBoH SUp_2.20a
   śrīmad gopurabhūṣitam SUp_4.19b	SrImat gopura-BUzitam SUp_4.19b
   śrīmadbhiḥ sa mahāyānair SUp_6.4a	SrImadBiH sa mahAyAnEH SUp_6.4a
   śrīmad vāhanamaṇṭapam SUp_4.4d	SrImat vAhana-maNwapam SUp_4.4d
   śrīmadvyākhyānamaṇḍape SUp_7.34d	SrImat-vyAKyAna-maNxape SUp_7.34d
   śrutvā karṇau pidhāpayet SUp_7.36b	SrutvA karNO piDApayet SUp_7.36b
   śrotraśiśnagudodaraiḥ SUp_7.58b	Srotra-SiSna-guda-udarEH SUp_7.58b
   ślakṣṇavastrāṇi śuklāni SUp_6.258c	SlakzNa-vastrANi SuklAni SUp_6.258c
   ṣaḍḍhastaś cāpi madhyamaḥ SUp_2.7b	zaz-hastaH ca-api maDyamaH SUp_2.7b
   ṣaḍviṃśakaś ca puruṣaḥ SUp_1.14a	zaxviMSakaH ca puruzaH SUp_1.14a
   ṣoḍaśāṅgulam ucchritām SUp_3.6b	zoxaSa-aFgulam ucCritAm SUp_3.6b
   ṣoḍaśāṅgulam utsedhāṃ SUp_3.9a	zoxaSa-aFgulam utseDAm SUp_3.9a
   sakṛt kṛtvā prayatnataḥ SUp_7.99b	sakRt kRtvA prayatnataH SUp_7.99b
   sakṛd uccāritaṃ yena SUp_1.18a	sakRt uccAritam yena SUp_1.18a
   sagaṇaṃ savṛṣaṃ śivam SUp_6.151d	sa-gaNam sa-vRzam Sivam SUp_6.151d
   sa gotrabhṛtyasaṃyukto SUp_6.64a	sa gotra-BRtya-saMyuktaH SUp_6.64a
   sa godānasamaṃ puṇyaṃ SUp_6.280a	sa go-dAna-samam puNyam SUp_6.280a
   sa tatraiva prajāyate SUp_7.110b	sa tatra-eva prajAyate SUp_7.110b
   sa tena śivakarmaṇā SUp_1.29d	sa tena Siva-karmaNA SUp_1.29d
   satkavāṭadvayopetaṃ SUp_4.4c	sat-kavAwa-dvaya-upetam SUp_4.4c
   satkavāṭaṃ śivālaye SUp_4.3d	sat-kavAwam Siva-Alaye SUp_4.3d
   satkṛtvā śivayogine SUp_6.269d	satkRtvA Siva-yogine SUp_6.269d
   satpūjāṃ parikalpitām SUp_7.78d	sat-pUjAm parikalpitAm SUp_7.78d
   satyajñāne nibadhyante SUp_1.13a	satya-jQAne nibaDyante SUp_1.13a
   satyam indriyasaṃyamaḥ SUp_5.44b	satyam indriya-saMyamaH SUp_5.44b
   satyaṃ saṃmārjanaṃ smṛtam SUp_1.25b	satyam saMmArjanam smRtam SUp_1.25b
   sadāyāme ghaṭīṃ nṛpaḥ SUp_6.131d	sadA-AyAme GawIm nRpaH SUp_6.131d
   sadāsīparicārikaḥ SUp_6.161b	sadAsI-paricArikaH SUp_6.161b
   sa dehānte vimucyate SUp_1.23d	sa dehAnte vimucyate SUp_1.23d
   sadgandhaguṭikām ekāṃ SUp_4.33a	sat-ganDa-guwikAm ekAm SUp_4.33a
   sa pāpamalanirmuktaḥ SUp_6.256a	sa pApa-mala-nirmuktaH SUp_6.256a
   sa pitrā kena yatnena SUp_7.106c	sa pitrA kena yatnena SUp_7.106c
   sapuṣpākṣatatoyena SUp_6.76c	sa-puzpa-akzata-toyena SUp_6.76c
   sapta janmāni jāyate SUp_4.30b	sapta janmAni jAyate SUp_4.30b
   saptadvīpasamudrāyāḥ SUp_6.94c	sapta-dvIpa-samudrAyAH SUp_6.94c
   saptamāj janmanaś cānte SUp_4.31a	saptamAt janmanaH ca-ante SUp_4.31a
   saptaviṃśa iti proktaḥ SUp_1.14c	saptaviMSaH iti proktaH SUp_1.14c
   saptasaṃkhyaṃ ca kalpayet SUp_4.10b	sapta-saMKyam ca kalpayet SUp_4.10b
   sabhṛtyaparicārakaḥ SUp_6.175d	sa-BRtya-paricArakaH SUp_6.175d
   sa bhṛtyaiḥ parivāritaḥ SUp_4.25b	sa BRtyEH parivAritaH SUp_4.25b
   sa bhṛtyaiḥ parivāritaḥ SUp_4.53b	sa BRtyEH parivAritaH SUp_4.53b
   sa bhogaḥ śivavidyārthaṃ SUp_1.33a	sa BogaH Siva-vidyA-arTam SUp_1.33a
   samagraṃ phalam āpnuyāt SUp_6.71d	samagram Palam ApnuyAt SUp_6.71d
   samantāt phalaparvatam SUp_6.81b	samantAt Pala-parvatam SUp_6.81b
   samantāt saindhavaṃ nyaset SUp_6.76b	samantAt sEnDavam nyaset SUp_6.76b
   samantād bhūṣayet kaṭam SUp_6.152b	samantAt BUzayet kawam SUp_6.152b
   samastakulajaiḥ sārdhaṃ SUp_6.69c	samasta-kula-jEH sArDam SUp_6.69c
   samastakulasaṃyutaḥ SUp_6.175b	samasta-kula-saMyutaH SUp_6.175b
   samastapāpanirmuktaḥ SUp_6.168c	samasta-pApa-nirmuktaH SUp_6.168c
   samastapāpanirmuktaḥ SUp_6.175a	samasta-pApa-nirmuktaH SUp_6.175a
   samastabhṛtyasaṃyuktaḥ SUp_6.92c	samasta-BRtya-saMyuktaH SUp_6.92c
   samastaiḥ parivāritaḥ SUp_5.25d	samastEH parivAritaH SUp_5.25d
   sa mahāpralayaṃ yāvat SUp_7.98c	sa mahApralayam yAvat SUp_7.98c
   samādhisthaṃ vrajantaṃ ca SUp_7.6c	samADi-sTam vrajantam ca SUp_7.6c
   samānasaṃjñam anyaṃ vā SUp_7.22c	samAna-saMjQam anyam vA SUp_7.22c
   samidhaḥ kṣīravṛkṣajāḥ SUp_4.43d	samiDaH kzIravRkza-jAH SUp_4.43d
   samidhaḥ saṃprakīrtitāḥ SUp_4.60d	samiDaH saMprakIrtitAH SUp_4.60d
   samutthāya sadā drutam SUp_7.72b	samutTAya sadA drutam SUp_7.72b
   sa mṛtas tapyate ciram SUp_7.120d	sa mRtaH tapyate ciram SUp_7.120d
   sa mṛtaḥ pṛthivīṃ kṛtsnām SUp_6.216c	sa mRtaH pRTivIm kRtsnAm SUp_6.216c
   same jantuvivarjite SUp_5.18b	same jantu-vivarjite SUp_5.18b
   sametāḥ paramāṇavaḥ SUp_2.20d	sametAH paramANavaH SUp_2.20d
   sametāḥ paramāṇavaḥ SUp_5.24b	sametAH paramANavaH SUp_5.24b
   sa mohakañcukaṃ tyaktvā SUp_4.66c	sa moha-kaQcukam tyaktvA SUp_4.66c
   samyakprakaraṇāntaraiḥ SUp_1.7d	samyak-prakaraNa-antarEH SUp_1.7d
   sa yāti paramaṃ padam SUp_1.21d	sa yAti paramam padam SUp_1.21d
   sarāṃsy āyatanāni ca SUp_5.37b	sarAMsi AyatanAni ca SUp_5.37b
   sarva eva vimucyante SUp_1.32c	sarve eva vimucyante SUp_1.32c
   sarva eva viśīryante SUp_7.122c	sarve eva viSIryante SUp_7.122c
   sarvakāmam avāpnoti SUp_4.52c	sarva-kAmam avApnoti SUp_4.52c
   sarvakāmayutena ca SUp_6.128b	sarva-kAma-yutena ca SUp_6.128b
   sarvakāmayutena ca SUp_6.207b	sarva-kAma-yutena ca SUp_6.207b
   sarvakāmayutair divyaiḥ SUp_6.179a	sarva-kAma-yutEH divyEH SUp_6.179a
   sarvakāmasamanvitam SUp_6.261d	sarva-kAma-samanvitam SUp_6.261d
   sarvakāmasamanvitaiḥ SUp_6.64d	sarva-kAma-samanvitEH SUp_6.64d
   sarvakāryārthakartṛkām SUp_6.239b	sarva-kArya-arTa-kartRkAm SUp_6.239b
   sarvakāryeṣu sarvathā SUp_7.30d	sarva-kAryezu sarvaTA SUp_7.30d
   sarvakleśavinirmuktaḥ SUp_6.231c	sarva-kleSa-vinirmuktaH SUp_6.231c
   sarvajñaḥ paripūrṇaś ca SUp_6.113c	sarvajQaH paripUrNaH ca SUp_6.113c
   sarvajñaḥ sarvagaḥ prabhuḥ SUp_1.15b	sarvajQaH sarvagaH praBuH SUp_1.15b
   sarvajñaḥ sa sukhī bhavet SUp_6.132d	sarvajQaH sa suKI Bavet SUp_6.132d
   sarvatīrthāni saṃsmaret SUp_5.36b	sarva-tIrTAni saMsmaret SUp_5.36b
   sarvatra carmaṇā baddhaṃ SUp_6.146a	sarvatra carmaNA badDam SUp_6.146a
   sarvatra vidyate bhasma SUp_5.8a	sarvatra vidyate Basma SUp_5.8a
   sarvadaiva muniḥ śuciḥ SUp_5.41b	sarvadA-eva muniH SuciH SUp_5.41b
   sarvadoṣavinirmuktam SUp_3.11a	sarva-doza-vinirmuktam SUp_3.11a
   sarvaparvasu yatnena hy SUp_7.75a	sarva-parvasu yatnena hi SUp_7.75a
   sarvapāpavinirmuktaḥ SUp_7.42c	sarva-pApa-vinirmuktaH SUp_7.42c
   sarvapāpaharaṃ divyaṃ SUp_5.1c	sarva-pApa-haram divyam SUp_5.1c
   sarvapāpaiḥ pramucyate SUp_6.194b	sarva-pApEH pramucyate SUp_6.194b
   sarvabhakṣyānnapānādyair SUp_2.28c	sarva-Bakzya-anna-pAna-AdyEH SUp_2.28c
   sarvabhūtahitārthāya SUp_1.2c	sarva-BUta-hita-arTAya SUp_1.2c
   sarvabhṛtyasamanvitaḥ SUp_6.111b	sarva-BRtya-samanvitaH SUp_6.111b
   sarvabhṛtyasamanvitaḥ SUp_6.178b	sarva-BRtya-samanvitaH SUp_6.178b
   sarvam ātmani dīyate SUp_6.40b	sarvam Atmani dIyate SUp_6.40b
   sarvam ekatra parvate SUp_6.77b	sarvam ekatra parvate SUp_6.77b
   sarvaratnopaśobhitam SUp_6.107b	sarva-ratna-upaSoBitam SUp_6.107b
   sarvalakṣaṇasaṃyutām SUp_6.116b	sarva-lakzaNa-saMyutAm SUp_6.116b
   sarvalokahitārthāya SUp_6.133c	sarva-loka-hita-arTAya SUp_6.133c
   sarvalokopakārāya SUp_2.19c	sarva-loka-upakArAya SUp_2.19c
   sarvalokopakārāya SUp_6.130c	sarva-loka-upakArAya SUp_6.130c
   sarvalokopakārārthaṃ SUp_7.136c	sarva-loka-upakAra-arTam SUp_7.136c
   sarvaśākāni tadbahiḥ SUp_6.85b	sarva-SAkAni tad-bahis SUp_6.85b
   sarvaśokasya śāntaye SUp_6.170d	sarva-Sokasya SAntaye SUp_6.170d
   sarvaśobhāsamanvitam SUp_6.138d	sarva-SoBA-samanvitam SUp_6.138d
   sarvaśobhāsamanvite SUp_7.76b	sarva-SoBA-samanvite SUp_7.76b
   sarvasaṅgavivarjitaḥ SUp_1.28d	sarva-saFga-vivarjitaH SUp_1.28d
   sarvasvajanasaṃyutaḥ SUp_6.111d	sarva-sva-jana-saMyutaH SUp_6.111d
   sarvāgnīnām asaṃbhave SUp_4.65b	sarva-agnInAm asaMBave SUp_4.65b
   sarvāgrapākasaṃyuktaṃ SUp_4.16c	sarva-agra-pAka-saMyuktam SUp_4.16c
   sarvāsām upakalpayet SUp_2.28b	sarvAsAm upakalpayet SUp_2.28b
   sarve kurvanti karmāṇi SUp_7.125c	sarve kurvanti karmANi SUp_7.125c
   sarveṣām eva varṇānāṃ SUp_3.10c	sarvezAm eva varNAnAm SUp_3.10c
   sarveṣāṃ ca vimuktidam SUp_7.134d	sarvezAm ca vimukti-dam SUp_7.134d
   sarveṣāṃ śivabhaktānāṃ SUp_6.284c	sarvezAm Siva-BaktAnAm SUp_6.284c
   sarveṣāṃ śivabhaktānāṃ SUp_7.1c	sarvezAm Siva-BaktAnAm SUp_7.1c
   sarvaiśvaryasamanvitam SUp_6.218d	sarva-ESvarya-samanvitam SUp_6.218d
   sarvopakaraṇānvitam SUp_2.15d	sarva-upakaraNa-anvitam SUp_2.15d
   sarṣapeṅguḍikāśāmra- SUp_4.59a	sarzapa-iFguxikA-SAmra SUp_4.59a
   sa viśuddhaḥ svabhāvataḥ SUp_1.15d	sa viSudDaH svaBAvataH SUp_1.15d
   sa vaiḍūryapradānataḥ SUp_6.98b	sa vExUrya-pradAnataH SUp_6.98b
   savyaskandhe yadā sūtram SUp_5.51a	savya-skanDe yadA sUtram SUp_5.51a
   savyahastākṣamālāṃ ca SUp_6.117c	savya-hasta-akza-mAlAm ca SUp_6.117c
   saśailavanakānanām SUp_7.29b	sa-SEla-vana-kAnanAm SUp_7.29b
   sa sarvārtham avāpnuyāt SUp_7.58d	sa sarva-arTam avApnuyAt SUp_7.58d
   sasyasaṃpattir uttamā SUp_6.158b	sasya-saMpattiH uttamA SUp_6.158b
   sahajaṃ sarvadehinām SUp_1.12b	sahajam sarva-dehinAm SUp_1.12b
   sahitaḥ sarvabāndhavaiḥ SUp_2.31b	sahitaH sarva-bAnDavEH SUp_2.31b
   saṃkṣepād granthakoṭibhiḥ SUp_1.5d	saMkzepAt granTa-kowiBiH SUp_1.5d
   saṃkṣepeṇa pṛthak pṛthak SUp_6.126b	saMkzepeNa pRTak pRTak SUp_6.126b
   saṃkhyā yāvad vidhīyate SUp_6.274d	saMKyA yAvat viDIyate SUp_6.274d
   saṃgatiṃ sopakaraṇaṃ SUp_6.204c	saMgatim sa-upakaraNam SUp_6.204c
   saṃtarpayitvā yatnena SUp_6.197a	saMtarpayitvA yatnena SUp_6.197a
   saṃtoṣaiḥ kusumaiḥ sitaiḥ SUp_1.26d	saMtozEH kusumEH sitEH SUp_1.26d
   saṃtyajyātmahitārthāya SUp_7.127c	saMtyajya-Atma-hita-arTAya SUp_7.127c
   saṃdaṃśaṃ śivayogine SUp_6.232b	saMdaMSam Siva-yogine SUp_6.232b
   saṃdhyātraye 'rdharātre ca SUp_5.17a	saMDyA-traye arDarAtre ca SUp_5.17a
   saṃdhyām upāsya kurvīta SUp_7.92a	saMDyAm upAsya kurvIta SUp_7.92a
   saṃdhyāṃ ca parivarjayet SUp_7.59d	saMDyAm ca parivarjayet SUp_7.59d
   saṃpadyante na saṃśayaḥ SUp_7.40d	saMpadyante na saMSayaH SUp_7.40d
   saṃparkāt kautukāl lābhāc SUp_6.184c	saMparkAt kOtukAt lABAt SUp_6.184c
   saṃparkād udare nyastaḥ SUp_7.106a	saMparkAt udare nyastaH SUp_7.106a
   saṃpūjya paramaṃ śivam SUp_1.28b	saMpUjya paramam Sivam SUp_1.28b
   saṃpūjya vidhivad bhaktyā SUp_1.2a	saMpUjya viDivat BaktyA SUp_1.2a
   saṃpūrṇaṃ phalam āpnuyāt SUp_6.224d	saMpUrNam Palam ApnuyAt SUp_6.224d
   saṃpraśne snānabhojane SUp_7.7b	saMpraSne snAna-Bojane SUp_7.7b
   saṃprāpya jñānam uttamam SUp_4.54b	saMprApya jQAnam uttamam SUp_4.54b
   saṃbhāsyed guruṇā saha SUp_7.16d	saMBAsyet guruNA saha SUp_7.16d
   saṃvatsaraṃ tadardhaṃ vā SUp_5.23a	saMvatsaram tad-arDam vA SUp_5.23a
   saṃviśec cānupṛṣṭhataḥ SUp_7.17d	saMviSet ca-anupRzWataH SUp_7.17d
   saṃśrayaṃ yaḥ pradadyāc ca SUp_6.273c	saMSrayam yaH pradadyAt ca SUp_6.273c
   saṃsārād avamucyate SUp_6.180d	saMsArAt avamucyate SUp_6.180d
   saṃsthāpya pratipūjayet SUp_6.141b	saMsTApya pratipUjayet SUp_6.141b
   saṃsthāpya maṇijaṃ liṅgaṃ SUp_7.76c	saMsTApya maNijam liFgam SUp_7.76c
   saṃhṛtyāṅgāni kūrmavat SUp_7.67b	saMhRtya-aFgAni kUrma-vat SUp_7.67b
   sākaṃ śivapure bhogaiḥ SUp_6.27a	sAkam Siva-pure BogEH SUp_6.27a
   sākṣād brūyāt tu maṅgalam SUp_7.80d	sAkzAt brUyAt tu maFgalam SUp_7.80d
   sānugaḥ krīḍate bhogaiḥ SUp_6.203c	sa-anugaH krIxate BogEH SUp_6.203c
   sāntaḥpuraparicchadaḥ SUp_6.92b	sa-antaHpura-paricCadaH SUp_6.92b
   sā pūrṇāhutir ucyate SUp_4.51d	sA pUrNAhutiH ucyate SUp_4.51d
   sāramādāya nirdiṣṭāḥ SUp_1.7c	sAram-AdAya nirdizwAH SUp_1.7c
   sārāṇāṃ vā phalārdhakam SUp_6.266b	sArANAm vA Pala-arDakam SUp_6.266b
   sārād api mahāsāraṃ SUp_1.8a	sArAt api mahA-sAram SUp_1.8a
   sārvāṅgikapraṇāmaṃ ca SUp_7.8c	sArvAFgika-praNAmam ca SUp_7.8c
   sāṃnidhyaṃ kalpayec chivaḥ SUp_7.3b	sAMniDyam kalpayet SivaH SUp_7.3b
   sāṃnidhyaṃ na prakalpayet SUp_7.3d	sAMniDyam na prakalpayet SUp_7.3d
   siddhaṃ caiva susaṃskṛtam SUp_6.32d	sidDam ca-eva susaMskRtam SUp_6.32d
   siddhimad brūhi gacchantaṃ SUp_7.84c	sidDimat brUhi gacCantam SUp_7.84c
   siddhivṛddhikarāḥ smṛtāḥ SUp_7.101d	sidDi-vRdDi-karAH smRtAH SUp_7.101d
   sukṛtaṃ karṣaṇaṃ yathā SUp_7.113d	sukRtam karzaNam yaTA SUp_7.113d
   sukṛtaṃ bālapiṇḍakam SUp_6.225b	sukRtam bAla-piNxakam SUp_6.225b
   sukṛtaṃ saktubharjitam SUp_6.23d	sukRtam saktu-Barjitam SUp_6.23d
   sukṛtāṃ patravedhanīm SUp_6.238b	sukRtAm patra-veDanIm SUp_6.238b
   sukṣetreṣu yathā bījam SUp_6.41c	su-kzetrezu yaTA bIjam SUp_6.41c
   sukham ānantyam uttamam SUp_7.118d	suKam Anantyam uttamam SUp_7.118d
   sukhāya śivabhaktebhyas SUp_6.37a	suKAya Siva-BakteByaH SUp_6.37a
   sujalāni śivāni tu SUp_7.129b	su-jalAni SivAni tu SUp_7.129b
   sudhāpraliptaṃ kartavyaṃ SUp_4.12a	suDA-praliptam kartavyam SUp_4.12a
   sundaryaḥ priyadarśanāḥ SUp_4.26d	sundaryaH priya-darSanAH SUp_4.26d
   suptaṃ brūyāt pravardhitam SUp_7.84d	suptam brUyAt pravarDitam SUp_7.84d
   subhikṣāt kṣemam āpnoti SUp_6.158c	su-BikzAt kzemam Apnoti SUp_6.158c
   sumukhaṃ paścime nyaset SUp_6.84b	sumuKam paScime nyaset SUp_6.84b
   suraloke mahīyate SUp_6.45b	sura-loke mahIyate SUp_6.45b
   suhṛdbhiḥ svajanaiḥ saha SUp_6.178d	suhRdBiH sva-janEH saha SUp_6.178d
   sūcikaṃ sūtrasaṃyutam SUp_6.237b	sUcikam sUtra-saMyutam SUp_6.237b
   sūcīṃ kaupīnaśodhanīm SUp_6.236b	sUcIm kOpIna-SoDanIm SUp_6.236b
   sūtikānāṃ gṛheṣu ca SUp_5.3d	sUtikAnAm gRhezu ca SUp_5.3d
   sūtravalkalavālair vā SUp_6.275c	sUtra-valkala-vAlEH vA SUp_6.275c
   sūryāyārghyaṃ prakalpayet SUp_5.52b	sUryAya-arGyam prakalpayet SUp_5.52b
   sūryāyutaprabhādīptair SUp_6.214a	sUrya-ayuta-praBA-dIptEH SUp_6.214a
   sevāyāṃ pāśupālye ca SUp_7.119a	sevAyAm pASupAlye ca SUp_7.119a
   so 'nantaphalam āpnuyāt SUp_6.109d	saH ananta-Palam ApnuyAt SUp_6.109d
   sopānatkaḥ prakurvīta SUp_7.87c	sa-upAnatkaH prakurvIta SUp_7.87c
   so 'pi pāpari naraḥ sarvair SUp_4.55c	saH api pApari naraH sarvEH SUp_4.55c
   so 'pi yāti śivaṃ puram SUp_6.193d	saH api yAti Sivam puram SUp_6.193d
   soṣṇīṣāṃ devaputrakaḥ SUp_6.162b	sa-uzNIzAm deva-putrakaH SUp_6.162b
   saubhāgyaṃ paramaṃ labhet SUp_6.88d	sOBAgyam paramam laBet SUp_6.88d
   saumyabhairavarūpāṇi SUp_6.124c	sOmyaBErava-rUpANi SUp_6.124c
   saumyavaktrāṃ karālāṃ vā SUp_6.119a	sOmya-vaktrAm karAlAm vA SUp_6.119a
   sauvarṇyaraupyatāmraiś ca SUp_7.56a	sOvarNya-rOpya-tAmrEH ca SUp_7.56a
   sthaṇḍilārdhe ca kurvanti SUp_3.8c	sTaNxila-arDe ca kurvanti SUp_3.8c
   sthānaduṣṭaṃ ca pañcamam SUp_5.11b	sTAna-duzwam ca paQcamam SUp_5.11b
   sthānaṃ kṛtvā śivasthāne SUp_7.128c	sTAnam kRtvA Siva-sTAne SUp_7.128c
   sthānaṃ caṇḍeśam aiśānyāṃ SUp_2.18a	sTAnam caNxeSam ESAnyAm SUp_2.18a
   sthānād daśasamāyuktaṃ SUp_2.17a	sTAnAt daSa-samAyuktam SUp_2.17a
   sthāne kuryāj jagaddhitam SUp_7.76d	sTAne kuryAt jagat-hitam SUp_7.76d
   sthāne na dīpayed agniṃ SUp_7.70c	sTAne na dIpayet agnim SUp_7.70c
   sthāpayet tac ca susthitam SUp_7.21d	sTApayet tat ca susTitam SUp_7.21d
   sthāpayet tatsamīpataḥ SUp_6.154d	sTApayet tad-samIpatas SUp_6.154d
   sthāpayed gaṇasaṃyutam SUp_6.139b	sTApayet gaNa-saMyutam SUp_6.139b
   sthāpya chidramayaṃ śubhaiḥ SUp_6.150b	sTApya Cidra-mayam SuBEH SUp_6.150b
   sthāpya paṭṭadvayaṃ dṛḍham SUp_6.149b	sTApya pawwa-dvayam dRXam SUp_6.149b
