   śrīgaruḍamahāpurāṇam	SrI garuxa mahApurANam
   raibhyo marīciścyavanaśca dakṣaḥ kurvantu sarve mama suprabhātam //	rEByaH marIciH cyavanaH ca dakzaH kurvantu sarve mama su praBAtam //
   GarP_3,25.56 //	GarP_3,25.56 //
   saptārṇavāḥ sapta kulācalāśca dvīpāśca saptopavanāni sapta /	sapta arNavAH sapta kula acalAH ca dvIpAH ca sapta upavanAni sapta /
   bhūrādikāni bhuvanāni sapta kurvantu sa dṛ // GarP_3,25.57 //	BUH AdikAni BuvanAni sapta kurvantu sa dR // GarP_3,25.57 //
   māndhātrā nahuṣoṃbarīṣasagarau rājā nalo dharmarāṭ prahlādaḥ kraturāḍ	mAnDAtrA nahuzoMbarIza sagarO rAjA nalaH DarmarAj prahlAdaH kratu rAj 
   vibhīṣaṇagayau vyāso hanūmānapi /	viBIzaNa gayO vyAsaH hanUmAn api /
   aśvatthāma kṛpāvumā drupadajā śrījānakī tārakā mandodaryakhilāḥ	aSvatTAma kRpO= umA drupada jA SrI jAnakI tArakAH manda udarI aKilAH
   prabhātasumahaṃ kurvantu nityaṃ hare // GarP_3,25.58 //	praBAta su m aham kurvantu nityam hare // GarP_3,25.58 //
   aśvatthasya vanāni kiṃ ca tulasīdhātrīvanāni prabho punnāgasya vanāni	aSvatTasya vanAni kim ca tulasI DAtrI vanAni praBo punnAgasya vanAni
   caṃpakavanānyanyāni puṣpāṇi ca /	caMpaka vanAni anyAni puzpANi ca /
   mandārasya vanāni yāni ca hareḥ saugandhikānyapyaho nityaṃ tāni diśantu	mandArasya vanAni yAni ca hareH sOganDikAni api aho nityam tAni diSantu
   matpramuditaṃ śrīveṅkaṭeśa prabho // GarP_3,25.59 //	mad pramuditam SrIveFkaweSa praBo // GarP_3,25.59 //
   evaṃ smṛtvā śrīnivāsasya devī kṛtvā śaucaṃ jaigiṣavyeṇa sākam /	evam smRtvA SrInivAsasya devI kRtvA SOcam jEgizavyeNa sAkam /
   snātuṃ yayau puṣkariṇīṃ hareśca snānaṃ samyak tatra cakāra deśe /	snAtum yayO puzkariNIm hareH ca snAnam samyak tatra cakAra deSe /
   samyag japtvā vyaṅkaṭeśasya mantramuvāca sā jaigiṣavyaṃ guruṃ ca //	samyak japtvA vyaFkawa ISasya mantram uvAca sA jEgizavyam gurum ca //
   GarP_3,25.60 //	GarP_3,25.60 //
   iti śrīgāruḍe mahāpurāṇe uttarakhaṇḍe tṛtīyāṃśe brahmakāṇḍe devī	iti SrI gAruxe mahApurANe uttara KaNxe tRtIya aMSe brahma kANxe devI
   kṛtaveṅkaṭeśadarśanatatstutyādivarṇanaṃ nāma pañcaviṃśodhyāyaḥ	kRtaveFkaweSadarSanatatstutyAdivarNanam nAma paQcaviMSaH DyAyaH
   śrīgaruḍamahāpurāṇam  26	SrI garuxa mahApurANam 26
   kanyovāca /	kanyA uvAca /
   śrīnivāsaḥ kimarthaṃ vai āgatotra vadasva me /	SrInivAsaH kim arTam vE Agatotra vadasva me /
   śeṣācalopi kutrā bhūtkadāyātaśca pāpahā /	SezAcalopi kutrA BUt kadA AyAtaH ca pApa hA /
   svāmipuṣkariṇī cātra kimarthaṃ hyagatā vada // GarP_3,26.1 //	svAmi puzkariNI ca atra kim arTam hi agatAH vada // GarP_3,26.1 //
   jaigīṣavya uvāca śṛṇu bhadre mahābhāge vyaṅkaṭeśasya cāgamam /	jEgIzavyaH uvAca SRNu Badre mahABAge vyaFkawa ISasya ca Agamam /
   āvayordevi pāpāni viṣamaṃ yānti bhāmini // GarP_3,26.2 //	AvayoH devi pApAni vizamam yAnti BAmini // GarP_3,26.2 //
   āsītpurā hiraṇyākṣaḥ kāśyapo ditinandanaḥ /	AsIt purA hiraNyAkzaH kASyapaH diti nandanaH /
   sanakādeśca vāgdaṇḍāddvitīyadvārapālakaḥ // GarP_3,26.3 //	sanaka AdeH ca vAgdaNxAt dvitIya dvAra pAlakaH // GarP_3,26.3 //
   babhūva daityayonau ca devānāṃ kaṇṭako balī /	baBUva dEtya yonO ca devAnAm kaNwakaH balI /
   saṃjīvo vijayaḥ prokto haribhakto mahāprabhuḥ // GarP_3,26.4 //	saMjIvaH vijayaH proktaH hari BaktaH mahA praBuH // GarP_3,26.4 //
   hariṇyākṣaḥ svayaṃ daityo haribhaktavidūṣakaḥ /	hariNyAkzaH svayam dEtyaH hari Bakta vidUzakaH /
   etādṛśo hiraṇyākṣastapastaptuṃ samudyataḥ // GarP_3,26.5 //	etAdRSaH hiraNyAkzaH tapaH taptum samudyataH // GarP_3,26.5 //
   tadā mātā ditirdevī hiraṇyākṣamuvāca sā /	tadA mAtA ditiH devI hiraNyAkzam uvAca sA /
   ditiruvāca /	ditiH uvAca /
   vatsalastvaṃ mahābhāgamā tapasvāṣṭahāyanaḥ // GarP_3,26.6 //	vatsalaH tvam mahABAgamA tapasva azwa hAyanaH // GarP_3,26.6 //
   tvaṃ mā dadasva duḥ khaṃ me pālayiṣyati kovidaḥ /	tvam mA dadasva duH Kam me pAlayizyati kovidaH /
   kṣaṇamātraṃ na jīvāmi tvāṃ vinā jīvanaṃ na hi // GarP_3,26.7 //	kzaNa mAtram na jIvAmi tvAm vinA jIvanam na hi // GarP_3,26.7 //
   mā tapa tvaṃ mahābhāga mama jīvanahetave /	mA tapa tvam mahABAga mama jIvana hetave /
   evamuktastu mātrā sa vijayovaśatobravīt // GarP_3,26.8 //	evam uktaH tu mAtrA sa vijayovaSatA ubravIt // GarP_3,26.8 //
   hiraṇyākṣo mātaraṃ prāha jālaṃ hitvā viṣṇorbhajane 'laṃ kuruṣva /	hiraNyAkzaH mAtaram prAha jAlam hitvA vizNoH Bajane alam kuruzva /
   mayisnehaṃ putrahetorvirūḍhaṃ sukhaduḥ khe ceha loke paratra //	mayi sneham putra hetoH virUXam suKa duH Ke ca iha loke paratra //
   GarP_3,26.9 //	GarP_3,26.9 //
   yāvatsnehaṃ mayi mātaḥ karoṣi tāvatkleśaṃ śāśvataṃ yāsyasi tvam /	yAvat sneham mayi mAtar karozi tAvat kleSam SASvatam yAsyasi tvam /
   mātaśca te mayi putratvabuddhistvayyapyeṣā mātṛbuddhirmamāpi //	mAtar ca te mayi putra tva budDiH tvayi api ezA mAtR budDiH mama api //
   GarP_3,26.10 //	GarP_3,26.10 //
   tāte pūjye pitṛbuddhirmamāsti tasmiṃstute bhartṛbuddhirhi mithyā /	tAte pUjye pitR budDiH mama asti tasmin= tute BartR budDiH hi miTyA /
   nirmāti yasmāddharireva sarvaṃ samyak pātā niyato 'sau murāriḥ //	nirmAti yasmAt hariH eva sarvam samyak pAtA niyataH asO murAriH //
   GarP_3,26.11 //	GarP_3,26.11 //
   ato hi mātā harireva sarvadā tvanyāsāṃ vai mātṛtā copacārāt /	atas hi mAtA hariH eva sarvadA tu anyAsAm vE mAtR tA ca upacArAt /
   nirmātṛtvaṃ yadi mukhyaṃ tvayi syāddroṇādīnāṃ jananī kā vadasva //	nirmAtR tvam yadi muKyam tvayi syAt droNa AdInAm jananI kA vadasva //
   GarP_3,26.12 //	GarP_3,26.12 //
   mātṛtvaṃ vai yadi mukhyaṃ tvayi syāddhātrādīnāṃ jananī kā vadasva /	mAtR tvam vE yadi muKyam tvayi syAt DAtrA AdInAm jananI kA vadasva /
   yataḥ sadā yāti jagattatto hariḥ sadā pitā viṣṇurajaḥ purāṇaḥ //	yatas sadA yAti jagat tattaH hariH sadA pitA vizNu H ajaH purANaH //
   GarP_3,26.13 //	GarP_3,26.13 //
   sadā pitā mukhyapitā yadi syādgarbhasthabāle pālakaḥ ko vadasva /	sadA pitA muKya pitA yadi syAt garBa sTa bAle pAlakaH kaH vadasva /
   mātāpitroḥ pālakatvaṃ yadi syātkūrmādīnāṃ pālakau kau vadasva //	mAtA pitroH pAlaka tvam yadi syAt kUrma AdInAm pAlakO kO vadasva //
   GarP_3,26.14 //	GarP_3,26.14 //
   mātāpitroḥ pālakatvaṃ yadi syātkṛpādīnāṃ rakṣakau kau vadasva /	mAtA pitroH pAlaka tvam yadi syAt kRpA AdInAm rakzakO kO vadasva /
   punnāmakānnārakāddeha bhajāntasmāttrātāputraviṣṇuḥ purāṇaḥ // GarP_3,26.15	put nAmakAt nArakAt deha BajAn tasmAt trAtA putra vizNuH purANaH // GarP_3,26.15
   na tārakohaṃ narakācca subhrūrna vai bhartā nāpi pitrādayaśca /	na tAra koham narakAt ca suBrUH na vE BartA na api pitR AdayaH ca /
   na vai mātā nānujādiśca sarvaḥ sarvatrātā viṣṇurato na cānyaḥ //	na vE mAtA na anuja AdiH ca sarvaH sarva trAtA vizNuH atas na ca anyaH //
   GarP_3,26.16 //	GarP_3,26.16 //
   māyāṃ madīyāṃ jñānaśastreṇa cchitvā bhaktyā hareḥ smaraṇaṃ tvaṃ kuruṣva /	mAyAm madIyAm jQAna SastreNa cCitvA BaktyA hareH smaraNam tvam kuruzva /
   yadbhaktirūpūrvaṃ smaraṇaṃ nāma viṣṇostatsarvathā pāpaharaṃ ca mātaḥ //	yat BaktirUpUrvam smaraNam nAma vizNoH tad sarvaTA pApa haram ca mAtar //
   GarP_3,26.17 //	GarP_3,26.17 //
   yo vā bhaktyā smaraṇaṃ nāma viṣṇoḥ karotyasau pāpaharo bhaviṣyati /	yaH vA BaktyA smaraNam nAma vizNoH karoti asO pApa haraH Bavizyati /
   ayaṃ deho durllabhaḥ karmabhūmau tatrāpi madhye bhajanaṃ viṣṇumūrteḥ //	ayam dehaH durllaBaH karma BUmO tatra api maDye Bajanam vizNu mUrteH //
   GarP_3,26.18 //	GarP_3,26.18 //
   āyurgataṃ vyarthameva tvadīyaṃ śīghraṃ bhajeḥ śrīnivāsasya pādam /	AyuH gatam vyarTam eva tvadIyam SIGram BajeH SrInivAsasya pAdam /
   upadiśyaivaṃ mātaraṃ putravaryo daityāveśātsobhavadvai tapasvī //	upadiSya evam mAtaram putra varyaH dEtya AveSAt soBavat vE tapasvI //
   GarP_3,26.19 //	GarP_3,26.19 //
   caturmukhaṃ prīṇayitvaiva bhaktyā hyavadhyatvaṃ prāpa tasmānmahātmā /	caturmuKam prINayitvA eva BaktyA hi avaDya tvam prApa tasmAt mahAtmA /
   tato bhūmiṃ karavadveṣṭayitvā ninye tadā daityavaryo mahātmā //	tatas BUmim karavat vezwayitvA ninye tadA dEtya varyaH mahAtmA //
   GarP_3,26.20 //	GarP_3,26.20 //
   śrīmuṣṭadeśe prādurāsīddharistu vārāhaviṣṇustvajanaḥ purāṇaḥ /	SrI muzwa deSe prAdurAsIt hariH tu vArAha vizNuH tu ajanaH purANaH /
   bhittvācābdhiṃ viviśe taṃ mahātmā rasātale saṃsthitaṃ bhūtalaṃ ca //	BittvAca abDim viviSe tam mahAtmA rasAtale saMsTitam BU talam ca //
   GarP_3,26.21 //	GarP_3,26.21 //
   svadaṃṣṭrāgre sthāpayitvā'jagāma tadāgamādāgato daityavaryaḥ /	sva daMzwrA agre sTApayitvA ajagAma tad AgamAt AgataH dEtya varyaH /
   taṃ karṇamūle tāḍayitvā jaghāna prasādayāmāsa ca pūrvavadbhuvam //	tam karNa mUle tAxayitvA jaGAna prasAdayAmAsa ca pUrvavat Buvam //
   GarP_3,26.22 //	GarP_3,26.22 //
   sudiggajānsthāpayitvā ca viṣṇuḥ śrīmuṣṭe vai saṃsthitaḥ śrīvarāhaḥ /	su diggajAn sTApayitvA ca vizNuH SrI muzwe vE saMsTitaH SrI varAhaH /
   tadā hariścintayāmāsa viṣṇurbhaktyā madīyaṃ mānuṣaṃ dehamadya //	tadA hariH cintayAmAsa vizNuH BaktyA madIyam mAnuzam deham adya //
   GarP_3,26.23 //	GarP_3,26.23 //
   ārādhayiṣyanti ca māṃ kva ete teṣāṃ dayāṃ kutra vāhaṃ kariṣye /	ArADayizyanti ca mAm kva ete tezAm dayAm kutra vA aham karizye /
   evaṃ hariścintayitvā sukanye vaikuṇṭhalokādacalaṃ śeṣa saṃjñam /	evam hariH cintayitvA sukanye vEkuNWa lokAt acalam Seza saMjQam /
   vīndraskandhe sthāpayitvā svayaṃ ca samāgatobhūdbhūtalaṃ bhūtaleśaḥ //	vIndra skanDe sTApayitvA svayam ca samAgata uBUt BU talam BUta leSaH //
   GarP_3,26.24 //	GarP_3,26.24 //
   suvarṇamukharītīramārabhya garuḍadhvajaḥ /	suvarNa muKarI tIram AraBya garuxaDvajaH /
   śrīkṛṣṇaveṇīparyantaṃ sthāpayā māsa taṃ girim // GarP_3,26.25 //	SrI kRzNa veNI paryantam sTApayA mAsa tam girim // GarP_3,26.25 //
   gireḥ pucche tu śrīśailaṃ madhyame 'hobalaṃ smṛtam /	gireH pucCe tu SrISElam maDyame ahobalam smRtam /
   mukhaṃ ca śrīnivāsasya kṣetraṃ ca samudāhṛtam // GarP_3,26.26 //	muKam ca SrInivAsasya kzetram ca samudAhRtam // GarP_3,26.26 //
   alpena tapasābhīṣṭaṃ sidhyatyasminnahobale /	alpena tapasA aBIzwam siDyati asmin= ahaH bale /
   gaṅgādisarvatīrthāni puṇyāni hyatra saṃti vai // GarP_3,26.27 //	gaFgA Adi sarva tIrTAni puNyAni hi atra saMti vE // GarP_3,26.27 //
   ya enaṃ sevate nityaṃ śraddhābhaktisamanvitaḥ /	yaH enam sevate nityam SradDA Bakti samanvitaH /
   jñānārthī jñānamāpnoti dravyārthī dravyamāpruyāt // GarP_3,26.28 //	jQAna arTI jQAnam Apnoti dravya arTI dravyam ApruyAt // GarP_3,26.28 //
   putrārthī putramāpnoti nṛpo rājyaṃ ca vindati /	putra arTI putram Apnoti nRpaH rAjyam ca vindati /
   yaṃyaṃ kāmayate martyastantamāpnoti sarvathā // GarP_3,26.29 //	yaMyam kAmayate martyaH tantam Apnoti sarvaTA // GarP_3,26.29 //
   cintitaṃ sādhyate yasmāttasmāccintāmaṇiṃ viduḥ /	cintitam sADyate yasmAt tasmAt cintAmaNim viduH /
   puṣkariṇyāśca bāhulyādgirāvasminsaraḥ su ca /	puzkariNyAH ca bAhulyAt girO= asmin saraH su ca /
   puṣkarādririti prāhurevaṃ tattvārthavedinaḥ // GarP_3,26.30 //	puzkarAdriH iti prAhuH evam tattva arTa vedinaH // GarP_3,26.30 //
   śātakuṃbhasvarūpatvātkanakādriṃ ca taṃ viduḥ /	SAtakuMBa sva rUpa tvAt kanakAdrim ca tam viduH /
   vaikuṇṭhādāgatenaiva vaikuṇṭhādririti smṛtaḥ // GarP_3,26.31 //	vEkuNWAt Agatena eva vEkuNWAdriH iti smRtaH // GarP_3,26.31 //
   amṛtaiśvaryasaṃyukto vyaṅkaṭādririti smṛtaḥ /	amRta ESvarya saMyuktaH vyaFkawAdriH iti smRtaH /
   vyaṅkaṭeśasya śailasya māhātmyaṃ yāvadasti hi // GarP_3,26.32 //	vyaFkawa ISasya SElasya mAhAtmyam yAvat asti hi // GarP_3,26.32 //
   tāvadvaktuṃ samagreṇa na samarthaścaturmukhaḥ /	tAvat vaktum samagreNa na samarTaH caturmuKaH /
   vyaṅkaṭādrau parāṃ bhaktiṃ ye kurvanti dinedine /	vyaFkawa adrO parAm Baktim ye kurvanti dinedine /
   paṅgarjaṅghāla eva syādacakṣuḥ padmalocanaḥ // GarP_3,26.33 //	paFgarjaFGAlaH eva syAt acakzuH padma locanaH // GarP_3,26.33 //
   mūko vāgmī bhavedeva badhiraḥ śrāvako bhavet /	mUkaH vAgmI Bavet eva baDiraH SrAvakaH Bavet /
   vandhyā syādbahuputrā ca nirdhanaḥ sadhano bhavet // GarP_3,26.34 //	vanDyA syAt bahu putrA ca nirDanaH sa DanaH Bavet // GarP_3,26.34 //
   etatsarvaṃ girau bhaktimātreṇaiva bhaveddhruvam /	etat sarvam girO Bakti mAtreNa eva Bavet Druvam /
   tattvato vyaṅkaṭādrestu svarūpaṃ vetti ko bhuvi // GarP_3,26.35 //	tattvataH vyaFkawa adreH tu svarUpam vetti kaH Buvi // GarP_3,26.35 //
   yasmādasya gireḥ puṇyaṃ māhātmyaṃ vetti yaḥ pumān /	yasmAt asya gireH puNyam mAhAtmyam vetti yaH pumAn /
   māyāvī paramānandaṃ tyaktvā vaikuṇṭhamuttamam /	mAyAvI parama Anandam tyaktvA vEkuNWam uttamam /
   svāmipuṣkariṇītīre ramayā sahamodate // GarP_3,26.36 //	svAmi puzkariNI tIre ramayA sahamodate // GarP_3,26.36 //
   kalyāṇādbhutagātrāya kāmitārthapdāyine /	kalyANa adButa gAtrAya kAmita arTapdAyine /
   śrīmadvyaṅkaṭanāthāya śrīnivāsāya te namaḥ // GarP_3,26.37 //	SrImat vyaFkawa nATAya SrInivAsAya te namaH // GarP_3,26.37 //
   śrīsvāmipuṣkariṇyāśca māhātmyaṃ śṛṇu kanyake /	SrI svAmi puzkariNyAH ca mAhAtmyam SRNu kanyake /
   svāmipuṣkariṇīmadhye śrīnivāsosti sarvadā // GarP_3,26.38 //	svAmi puzkariNI maDye SrInivAsosti sarvadA // GarP_3,26.38 //
   snānaṃ kurvanti ye tatra teṣāṃ muktiḥ kare sthitā /	snAnam kurvanti ye tatra tezAm muktiH kare sTitA /
   tisraḥ koṭyordhakoṭiśca tīrthāni bhuvanatraye /	tisraH kowyorDa kowiH ca tIrTAni Buvanatraye /
   tāni sarvāṇi tatraiva saṃti tīrthe hareḥ sadā // GarP_3,26.39 //	tAni sarvANi tatra eva saMti tIrTe hareH sadA // GarP_3,26.39 //
   tattīrthaṃ śrīnivāsākhyaṃ sarvadevanamaskṛtam /	tat tIrTam SrInivAsa AKyam sarva deva namaskRtam /
   tadeva śrīnivāsasya mandiraṃ parikīrtitam // GarP_3,26.40 //	tat eva SrInivAsasya mandiram parikIrtitam // GarP_3,26.40 //
   taddarśanādeva kanye yānti pāpāni bhasmasāt /	tad darSanAt eva kanye yAnti pApAni BasmasAt /
   ekaikasnānamātreṇa satsaṃgo bhavati dhruvam // GarP_3,26.41 //	eka eka snAna mAtreNa sat saMgaH Bavati Druvam // GarP_3,26.41 //
   satsaṃgājjñānamāsādya jñānānmokṣaṃ ca vindati /	sat saMgAt jQAnam AsAdya jQAnAt mokzam ca vindati /
   adhikāriṇāṃ bhavedevaṃ viparītamayoginām // GarP_3,26.42 //	aDikAriNAm Bavet evam viparItam ayoginAm // GarP_3,26.42 //
   tīrthānāṃ snānamātreṇa mokṣaṃ yāntīti ye viduḥ /	tIrTAnAm snAna mAtreNa mokzam yAnti iti ye viduH /
   te sarve asurā jñeyāste yānti hyadhamāṃ gatim // GarP_3,26.43 //	te sarve asurAH jQeyAH te yAnti hi aDamAm gatim // GarP_3,26.43 //
   śrīnivāsasya tīrthesminvāyukoṇe ca kanyake /	SrI nivAsasya tIrTesmin vAyu koNe ca kanyake /
   āste vāyuḥ sadā viṣṇoḥ pūjāṃ kartumanuttamām // GarP_3,26.44 //	Aste vAyuH sadA vizNoH pUjAm kartum anuttamAm // GarP_3,26.44 //
   vāyutīrthaṃ ca tatproktaṃ hastadvādaśakāntaram /	vAyutIrTam ca tat proktam hasta dvAdaSaka antaram /
   hastaṣaṭkapramāṇaṃ ca paścime samudāhṛtam /	hasta zawka pramANam ca paScime samudAhRtam /
   uttare hastaṣaṭkaṃ tu vāyutīrthamudāhṛtam // GarP_3,26.45 //	uttare hasta zawkam tu vAyutIrTam udAhRtam // GarP_3,26.45 //
   ye veṣṇavā vaiṣṇavadāsavaryāḥ snānaṃ suryustatra pūrvaṃ sukanye /	ye vezNavAH vEzNava dAsa varyAH snAnam suryuH tatra pUrvam sukanye /
   madhvāntasthāḥ śrīnivāsastu nityamatra snānātprīyatāṃ me dayāluḥ //	maDva anta sTAH SrInivAsaH tu nityam atra snAnAt prIyatAm me dayAluH //
   GarP_3,26.46 //	GarP_3,26.46 //
   ye madhvatīrthe snātumicchanti devi rudrādayo vāyubhaktā mahāntaḥ /	ye maDvatIrTe snAtum icCanti devi rudra AdayaH vAyu BaktAH mahAntaH /
   sadā snānaṃ tatra kurvanti devi prātaḥ kāle codayātpūrvameva //	sadA snAnam tatra kurvanti devi prAtar kAle codayAt pUrvam eva //
   GarP_3,26.47 //	GarP_3,26.47 //
   ye vāyutīrthe visṛjanti dehajaṃ malaṃ mūtraṃ vamanaṃ śleṣmakaṃ ca /	ye vAyutIrTe visRjanti deha jam malam mUtram vamanam Slezmakam ca /
   ye 'pānaśuddhiṃ liṅgaśuddhiṃ ca kanye kurvanti te hyasurā rākṣasāśca //	ye apAna SudDim liFga SudDim ca kanye kurvanti te hi asurAH rAkzasAH ca //
   GarP_3,26.48 //	GarP_3,26.48 //
   śṛṇvanti ye bhāgavataṃ purāṇaṃ kiṃ varṇaye tasya puṇyaṃ tu devi /	SRNvanti ye BAgavatam purANam kim varNaye tasya puNyam tu devi /
   ye kṛṣṇamantraṃ tu japanti devi hyaṣṭā kṣaraṃ mantravaraṃ sugopyam //	ye kRzNa mantram tu japanti devi hi azwA kzaram mantra varam su gopyam //
   GarP_3,26.49 //	GarP_3,26.49 //
   teṣāṃ hariḥ prīyate keśavolaṃ madhvāntastho nātra vicāryamasti /	tezAm hariH prIyate keSavolam maDva anta sTaH na atra vicAryam asti /
   evaṃ dānaṃ tatra kurvanti ye vai dvijāgryāṇāṃ vaiṣṇavānāṃ vidāṃ ca //	evam dAnam tatra kurvanti ye vE dvijAgryANAm vEzNavAnAm vidAm ca //
   GarP_3,26.50 //	GarP_3,26.50 //
   teṣāṃ puṇyaṃ naiva jānanti devā jānātyevaṃ śrīnivāso haristu /	tezAm puNyam na eva jAnanti devAH jAnAti evam SrInivAsaH hariH tu /
   śālagrāmaṃ vāyutīrthe dadante teṣāṃ puṇyaṃ vetti sa vyaṅkaṭeśaḥ //	SAlagrAmam vAyutIrTe dadante tezAm puNyam vetti sa vyaFkawa ISaH //
   GarP_3,26.51 //	GarP_3,26.51 //
   sudurlabho vāyutīrthe 'bhiṣeko niṣkāmabuddhyā vaiṣṇavānāṃ ca devi /	su durlaBaH vAyutIrTe aBizekaH nizkAma budDyA vEzNavAnAm ca devi /
   tatrāpi tīrthe labhyate bhāgyayogādbhāgavatasya śravaṇaṃ viṣṇudāsaiḥ //	tatra api tIrTe laByate BAgya yogAt BAgavatasya SravaNam vizNu dAsEH //
   GarP_3,26.52 //	GarP_3,26.52 //
   tathaiva tīrthe durlabhaṃ tatra devi śālagrāmasya dvijavarye ca dānam /	taTA eva tIrTe durlaBam tatra devi SAlagrAmasya dvija varye ca dAnam /
   jaṃbūphalākārasunīlavarṇaṃ mukhadvayaṃ cakracatuṣṭayānvitam //	jaMbU Pala AkAra su nIla varNam muKa dvayam cakra catuzwaya anvitam //
   GarP_3,26.53 //	GarP_3,26.53 //
   sukesaraiḥ saṃyutaṃ svarṇacihnadhvajāṃ kuśairvajracihnairyavaiśca /	su kesarEH saMyutam svarNa cihna DvajAm kuSEH vajra cihnEH yavEH ca /
   jānārdanīṃ mūrtimāhurmahānto dānaṃ tasyā durlabhaṃ tatra tīrthe //	jAnArdanIm mUrtim AhuH mahA antaH dAnam tasyAH durlaBam tatra tIrTe //
   GarP_3,26.54 //	GarP_3,26.54 //
   atyuttamaṃ mūrtidānaṃ tu bhadre sudurllabhaṃ paramaṃ nātra lobhaḥ /	ati uttamam mUrti dAnam tu Badre su durllaBam paramam na atra loBaH /
   sudurlabhaṃ bahudogdhyāśca gṛṣṭerdānaṃ tathā vastraratnādikānām //	su durlaBam bahu dogDyAH ca gRzweH dAnam taTA vastra ratna AdikAnAm //
   GarP_3,26.55 //	GarP_3,26.55 //
   atyuttamaṃ dravyadānaṃ ca devi svāpekṣitaṃ dānamāhurmahāntaḥ /	ati uttamam dravya dAnam ca devi svApekzitam dAnam AhuH mahAntaH /
   svasyānapekṣaṃ phaladānaṃ ca vastrādānaṃ tasya vyarthamāhurmahāntaḥ //	svasya anapekzam Pala dAnam ca vastra AdAnam tasya vyarTam AhuH mahAntaH //
   GarP_3,26.56 //	GarP_3,26.56 //
   atyuttamaṃ gṛṣṭidānaṃ ca puṇyaṃ naivāpyate dugdhadohāśca gāvaḥ /	ati uttamam gRzwi dAnam ca puNyam na eva Apyate dugDa dohAH ca gAvaH /
   atyuttame vastradāne subuddhiḥ sudurghaṭā paramā vai janānām //	ati uttame vastra dAne su budDiH su durGawA paramA vE janAnAm //
   GarP_3,26.57 //	GarP_3,26.57 //
   atyuttamaṃ bhāgavatasya pustakaṃ sudurghaṭaṃ vāyutīrthaṃ ca kanye /	ati uttamam BAgavatasya pustakam su durGawam vAyutIrTam ca kanye /
   atyuttamaṃ dravyadānaṃ ca devi sudurghaṭaṃ vāyutīrthaṃ nṛṇāṃ hi /	ati uttamam dravya dAnam ca devi su durGawam vAyutIrTam nRNAm hi /
   sudurlabho vaiṣṇavaistattvavidbhirharervicāro vāyutīrthe ca kanye //	su durlaBaH vEzNavEH tattva vidBiH hareH vicAraH vAyutIrTe ca kanye //
   GarP_3,26.58 //	GarP_3,26.58 //
   śrīnivāsasya tīrthasya uttarasyāṃ diśi sthitam /	SrI nivAsasya tIrTasya uttarasyAm diSi sTitam /
   candratīrtha miti proktaṃ tatrāste candramāḥ sadā // GarP_3,26.59 //	candratIrTa miti proktam tatra Aste candramAH sadA // GarP_3,26.59 //
   śrīnivāsasya pūjāṃ ca tatra sthitvā karotyayam /	SrI nivAsasya pUjAm ca tatra sTitvA karoti ayam /
   tatra snānaṃ prakurvanti puṇyadeśe ca kanyake // GarP_3,26.60 //	tatra snAnam prakurvanti puNya deSe ca kanyake // GarP_3,26.60 //
   gurutalpādipāpebhyo mucyante nātra saṃśayaḥ /	guru talpa Adi pApeByaH mucyante na atra saMSayaH /
   tatra snātvā pūrvabhāge śālagrāmaṃ dadāti yaḥ // GarP_3,26.61 //	tatra snAtvA pUrva BAge SAlagrAmam dadAti yaH // GarP_3,26.61 //
   jñānadvārā mokṣameti nātra kāryā vicāraṇā /	jQAna dvArA mokzam eti na atra kAryA vicAraNA /
   dadhivāmanamūrteśca dānaṃ tatra sudurlabham // GarP_3,26.62 //	daDi vAmana mUrteH ca dAnam tatra su durlaBam // GarP_3,26.62 //
   badarīphalamātraṃ tu vatulaṃ nīlavarṇakam /	badarI Pala mAtram tu vatulam nIla varNakam /
