   akarod dharmato rājyaṃ NsP_52.124e	akarot DarmataH rAjyam NsP_52.124e
   sugrīvo jāmbavāṃś cātha NsP_52.2c	sugrIvaH jAmbavAn ca aTa NsP_52.2c
   sugrīvo jāmbavāṃś caiva NsP_52.51c	sugrIvaH jAmbavAn ca eva NsP_52.51c
   sugrīvo dṛṣṭavān dūrād NsP_50.1c	sugrIvaH dRzwavAn dUrAt NsP_50.1c
   sugrīvo 'nṛtabhāṣakaḥ NsP_50.39d	sugrIvaH anRta BAzakaH NsP_50.39d
   sugrīvo 'pi ca tāñ chrutvā NsP_50.121c	sugrIvaH api ca tAn SrutvA NsP_50.121c
   sugrīvo yatra tiṣṭhati NsP_50.41d	sugrIvaH yatra tizWati NsP_50.41d
   sugrīvo raviputro 'yaṃ NsP_52.112c	sugrIvaH ravi putraH ayam NsP_52.112c
   sugrīvo rāmam abravīt NsP_50.68d	sugrIvaH rAmam abravIt NsP_50.68d
   sugrīvo vānarendras tu NsP_50.17c	sugrIvaH vAnara indraH tu NsP_50.17c
   sugrīvo vāliputraṃ tam NsP_50.82c	sugrIvaH vAli putram tam NsP_50.82c
   suciraṃ kālam acyuta NsP_11.41b	su ciram kAlam acyuta NsP_11.41b
   sujaṭharāṃ samāṃ śubhām NsP_56.16d	su jaWarAm samAm SuBAm NsP_56.16d
   sutaṃ pradhyāyatas tataḥ NsP_5.4b	sutam praDyAyataH tatas NsP_5.4b
   sutṛptāḥ pitaro yānti NsP_66.30c	su tRptAH pitaraH yAnti NsP_66.30c
   sudīpitāśeṣadiśaṃ nijatviṣā NsP_53.15b	su dIpita aSeza diSam nija tvizA NsP_53.15b
   sudīrghabāhuṃ yamunāsavarṇam NsP_43.62d	su dIrGa bAhum yamunA savarNam NsP_43.62d
   sudhāpūrṇaghaṭaṃ te tu NsP_38.40a	suDA pUrNa Gawam te tu NsP_38.40a
   sudhāṃ pibāmo durlabhyāṃ NsP_41.3aba	suDAm pibAmaH durlaByAm NsP_41.3aba
   sudhīr me tvā praśaṃsati NsP_41.37d	suDIH me tvA praSaMsati NsP_41.37d
   sudhīḥ snānārtham ādāya NsP_58.63c	suDIH snAna arTam AdAya NsP_58.63c
   sunakhāya suśāntāya NsP_47.21c	su naKAya su SAntAya NsP_47.21c
   sunābhasaṃjño balavīryayukto NsP_53.52c	sunABa saMjQaH bala vIrya yuktaH NsP_53.52c
   sunābhivalibhaṅgikām NsP_56.17d	su nABi valiBaFgikAm NsP_56.17d
   sunāsāṃ ca sulocanām NsP_56.11d	sunAsAm ca su locanAm NsP_56.11d
   sunirṇīto mahān praśnas NsP_1.28a	sunirNItaH mahAn praSnaH NsP_1.28a
   sunītir nītinilayam NsP_31.14c	sunItiH nIti nilayam NsP_31.14c
   sunītir nītimacchiśoḥ NsP_31.22d	sunItiH nItimat SiSoH NsP_31.22d
   sunītyā parigumphya ca NsP_31.39b	sunItyA parigumPya ca NsP_31.39b
   sunītyā rājasevāyai NsP_31.4a	sunItyAH rAja sevAyE NsP_31.4a
   sunītyāṃ tu dhruvo 'paraḥ NsP_31.3b	sunItyAm tu DruvaH aparaH NsP_31.3b
   sunītyudarasaṃbhavam NsP_31.49b	sunIti udara saMBavam NsP_31.49b
   supadī vinayānvitā NsP_6.30b	supadI vinaya anvitA NsP_6.30b
   supūjyo 'haṃ surair api NsP_64.47cdb	su pUjyaH aham surEH api NsP_64.47cdb
   suptās te muniśārdūla NsP_35.1c	suptAH te muni SArdUla NsP_35.1c
   supte tvayi mahāmate NsP_49.7d	supte tvayi mahAmate NsP_49.7d
   supte tvayi mahāvrata NsP_51.56b	supte tvayi mahAvrata NsP_51.56b
   supte rāme gataṃ tatra NsP_52.11a	supte rAme gatam tatra NsP_52.11a
   supradīpo manojavaḥ NsP_19.7b	su pradIpaH manojavaH NsP_19.7b
   suprītaḥ punar abravīt NsP_64.115b	su prItaH punar abravIt NsP_64.115b
   subāhuṃ dharaṇītale NsP_47.91b	subAhum DaraNI tale NsP_47.91b
   subhage balibandhanaḥ NsP_45.6b	suBage balibanDanaH NsP_45.6b
   subhage vacanaṃ tava NsP_12.25b	suBage vacanam tava NsP_12.25b
   subhadrāṃ cārusarvāṅgīṃ NsP_12.32c	suBadrAm cAru sarva aFgIm NsP_12.32c
   subhāginyāḥ prayacchataḥ NsP_47.38d	su BAginyAH prayacCataH NsP_47.38d
   subhārānveṣaṇāya vai NsP_50.81d	su BAra anvezaNAya vE NsP_50.81d
   subhāṣitena manasā NsP_7.62c	su BAzitena manasA NsP_7.62c
   subhruvaṃ sulalātāṃ ca NsP_56.13a	suBruvam su lalAtAm ca NsP_56.13a
   subhruve cārudehāya NsP_47.20c	suBruve cAru dehAya NsP_47.20c
   subhrūlalāṭamukuṭaṃ NsP_11.30c	suBrU lalAwa mukuwam NsP_11.30c
   subhrūḥ sunāsā sumukhī NsP_6.28c	suBrUH su nAsA sumuKI NsP_6.28c
   sumadhyā cāruhāsinī NsP_6.29d	sumaDyA cAru hAsinI NsP_6.29d
   sumanāś ca tato gacchen NsP_58.64a	sumanAH ca tatas gacCet NsP_58.64a
   sumanobhiḥ prapūjitau NsP_53.45b	sumanoBiH prapUjitO NsP_53.45b
   sumanobhiḥ subhūṣaṇaih NsP_38.34d	sumanoBiH su BUzaNEH NsP_38.34d
   sumitrā nāgaro janaḥ NsP_48.15d	sumitrA nAgaraH janaH NsP_48.15d
   sumitrā nāma vai patnī NsP_7.10c	sumitrA nAma vE patnI NsP_7.10c
   sumitrāyā gṛhe cāpi NsP_48.83a	sumitrAyAH gRhe ca api NsP_48.83a
   sumitrāyā mahāmate NsP_47.38b	sumitrAyAH mahAmate NsP_47.38b
   sumitrāṃ gantum udyataḥ NsP_48.60d	sumitrAm gantum udyataH NsP_48.60d
   suraktakusumair hṛdyair NsP_25.3a	su rakta kusumEH hRdyEH NsP_25.3a
   suragurusudṛḍhaprasādadau tau NsP_9.6c	sura guru su dRXa prasAda dO tO NsP_9.6c
   suratārthād dvijottama NsP_33.68b	surata arTAt dvijottama NsP_33.68b
   surabhir vinatā caiva NsP_5.49a	suraBiH vinatA ca eva NsP_5.49a
   surabhiṃ hartum ārabhat NsP_46.24d	suraBim hartum AraBat NsP_46.24d
   surabhyā vā mahābhāga NsP_46.17c	suraByAH vA mahABAga NsP_46.17c
   surabhyāṃ kaśyapo muniḥ NsP_5.55d	suraByAm kaSyapaH muniH NsP_5.55d
   surasāyām athotpannā NsP_5.55a	surasAyAm aTa utpannA NsP_5.55a
   surāṇāṃ bhūtir uttamā NsP_45.18b	surANAm BUtiH uttamA NsP_45.18b
   surādhipaṃ sūrijanair abhiṣṭutam NsP_53.13b	surADipam sUri janEH aBizwutam NsP_53.13b
   surādhipo vākyam idaṃ jagāda NsP_63.33b	surADipaH vAkyam idam jagAda NsP_63.33b
   surāpā brahmavādinaḥ NsP_54.23b	surApAH brahma vAdinaH NsP_54.23b
   surārir bhartsayan sutam NsP_41.47b	surAriH Bartsayan sutam NsP_41.47b
   surāsurair arcitapādapaṅkajam NsP_32.21b	sura asurEH arcita pAda paFkajam NsP_32.21b
   surāsurair bhaktimadbhiḥ NsP_55.7a	sura asurEH BaktimadBiH NsP_55.7a
   surucir dhruvam abravīt NsP_31.6d	suruciH Druvam abravIt NsP_31.6d
   surucyām uttamo jyeṣṭhaḥ NsP_31.3a	surucyAm uttamaH jyezWaH NsP_31.3a
   sureśakaṇṭhagrahaṇaṃ cakāra NsP_63.37d	sureSa kaNWa grahaNam cakAra NsP_63.37d
   sureśvaraṃ sundaram indirāpatim NsP_11.50d	sureSvaram sundaram indirApatim NsP_11.50d
   surair adṛśyarūpeṇa NsP_38.23c	surEH adRSya rUpeNa NsP_38.23c
   suro murārir madhukaiṭabhāntakṛt NsP_10.13b	suraH murAriH maDu kEwaBa anta kRt NsP_10.13b
   sulalāṭā manasvinī NsP_6.28d	sulalAwA manasvinI NsP_6.28d
   sulalāṭāya cakriṇe NsP_47.19b	su lalAwAya cakriNe NsP_47.19b
   suvaktrāya sukarṇāya NsP_47.19c	su vaktrAya sukarNAya NsP_47.19c
   suvakṣase sunābhāya NsP_47.20a	su vakzase sunABAya NsP_47.20a
   suvarṇadāyī saubhāgyaṃ NsP_30.32c	suvarNa dAyI sOBAgyam NsP_30.32c
   suvarṇapuṅkhair daśabhiḥ NsP_52.56c	suvarNa puFKEH daSaBiH NsP_52.56c
   suvarṇavastradānena NsP_56.19a	suvarNa vastra dAnena NsP_56.19a
   suvarṇābharaṇair divyair NsP_34.40a	suvarNa ABaraNEH divyEH NsP_34.40a
   suvāsinīḥ kumārīś ca NsP_58.102a	suvAsinIH kumArIH ca NsP_58.102a
   suvidyāya gadābhṛte NsP_47.21d	su vidyAya gadABRte NsP_47.21d
   suvibhaktacatuṣpathā NsP_24.5d	suviBakta catuzpaTAH NsP_24.5d
   suvelaṃ punar āgataḥ NsP_52.21b	suvelam punar AgataH NsP_52.21b
   suvelākhyaṃ giriṃ prāptaḥ NsP_52.18c	suvela AKyam girim prAptaH NsP_52.18c
   suṣvāpa bhogiparyaṅke NsP_57.13c	suzvApa Bogi paryaFke NsP_57.13c
   suṣvāpa sa muhūrtaṃ tu NsP_49.3c	suzvApa sa muhUrtam tu NsP_49.3c
   susaṃgītavidaiś caiva NsP_34.37a	su saMgIta vidEH ca eva NsP_34.37a
   susaṃskṛtāṃ samāṃ snigdhāṃ NsP_35.8a	susaMskRtAm samAm snigDAm NsP_35.8a
   susūkṣmavastrāntaradṛśyagātrāṃ NsP_63.19c	su sUkzma vastra antara dRSya gAtrAm NsP_63.19c
   sustanīṃ cāruhṛdayāṃ NsP_56.16c	sustanIm cAru hRdayAm NsP_56.16c
   susvareṇa hi gītena NsP_6.33a	su svareNa hi gItena NsP_6.33a
   sūktayaḥ śrotrayoḥ satyaṃ NsP_42.11a	sUktayaH SrotrayoH satyam NsP_42.11a
   sūkṣmaṃ ceto na vindati NsP_42.25b	sUkzmam cetaH na vindati NsP_42.25b
   sūkṣmo 'vyaktaḥ sanātanaḥ NsP_64.69d	sUkzmaH avyaktaH sanAtanaH NsP_64.69d
   sūta jīva samāḥ śatam NsP_31.1d	sUta jIva samAH Satam NsP_31.1d
   sūtam abhyarcya tatraiva NsP_67.25a	sUtam aByarcya tatra eva NsP_67.25a
   sūtaṃ hṛṣṭāḥ prapūjyātha NsP_68.11a	sUtam hRzwAH prapUjya aTa NsP_68.11a
   sūryakoṭipratīkāśaṃ NsP_25.10a	sUrya kowi pratIkASam NsP_25.10a
   sūryabimbaṃ pramāṇataḥ NsP_30.50b	sUrya bimbam pramANataH NsP_30.50b
   sūryamaṇḍalamānāt tu NsP_31.101a	sUrya maNxala mAnAt tu NsP_31.101a
   sūryavaṃśabhavās te prādhānyena prakīrtitāḥ NsP_21.16/a	sUrya vaMSa BavAH te prADAnyena prakIrtitAH NsP_21.16/a
   sūryavaṃśodbhavaḥ śrīmān NsP_47.31a	sUrya vaMSa udBavaH SrImAn NsP_47.31a
   sūryavaṃśodbhavo yo vai NsP_24.2a	sUrya vaMSa udBavaH yaH vE NsP_24.2a
   sūryasomanṛpātmakam NsP_24.1d	sUrya soma nRpa Atmakam NsP_24.1d
   sūryas tava pitāmahaḥ NsP_25.32efb	sUryaH tava pitAmahaH NsP_25.32efb
   sūryasya vaṃśaḥ kathito mayā mune NsP_21.17a	sUryasya vaMSaH kaTitaH mayA mune NsP_21.17a
   sūryādidaivatebhyo hi NsP_60.14a	sUrya Adi dEvateByaH hi NsP_60.14a
   sūryādhāro 'bhavat katham NsP_31.1b	sUrya ADAraH aBavat kaTam NsP_31.1b
   sṛjato jagatīṃ tasya NsP_3.9e	sRjataH jagatIm tasya NsP_3.9e
   sṛjato brahmaṇaḥ sṛṣṭim NsP_3.28c	sRjataH brahmaNaH sRzwim NsP_3.28c
   sṛṣṭavān lokabhūtānāṃ NsP_25.52a	sRzwavAn loka BUtAnAm NsP_25.52a
   sṛṣṭavān skandam eva ca NsP_5.15b	sRzwavAn skandam eva ca NsP_5.15b
   sṛṣṭaṃ ca pāty anuyugaṃ NsP_1.66a	sRzwam ca pAti anuyugam NsP_1.66a
   sṛṣṭaṃ duṣṭavadhāt punaḥ NsP_55.10b	sRzwam duzwa vaDAt punar NsP_55.10b
   sṛṣṭikāle mahābhāgau NsP_5.20a	sRzwi kAle mahABAgO NsP_5.20a
   sṛṣṭim etāṃ śṛṇuṣva me NsP_18.6d	sRzwim etAm SRNuzva me NsP_18.6d
   sṛṣṭir ādau kathaṃ bhavet NsP_1.23d	sRzwiH AdO kaTam Bavet NsP_1.23d
   sṛṣṭir uktā suvistarāt NsP_18.6b	sRzwiH uktA su vistarAt NsP_18.6b
   sṛṣṭis te kathitā viṣṇor NsP_6.1a	sRzwiH te kaTitAH vizNoH NsP_6.1a
   sṛṣṭihetoḥ prajāpatiḥ NsP_5.38d	sRzwi hetoH prajApatiH NsP_5.38d
   sṛṣṭiṃ kuru tadājñapto NsP_25.49a	sRzwim kuru tad AjQaptaH NsP_25.49a
   sṛṣṭiṃ ca puruṣottamaḥ NsP_23.41d	sRzwim ca puruzottamaH NsP_23.41d
   sṛṣṭiṃ cintayatas tasya NsP_3.15a	sRzwim cintayataH tasya NsP_3.15a
   sṛṣṭiṃ sṛṣṭvā sthitasya ca NsP_25.52b	sRzwim sRzwvA sTitasya ca NsP_25.52b
   sṛṣṭvā jagad vyomacarāprameyaḥ NsP_2.28a	sRzwvA jagat vyoma cara aprameyaH NsP_2.28a
   sṛṣṭvā devāṃs tathā pitṛn NsP_2.22d	sRzwvA devAn taTA pitRn NsP_2.22d
   setubandhanam uttamam NsP_52.17b	setu banDanam uttamam NsP_52.17b
   setumadhye sa rāghavaḥ NsP_52.121d	setu maDye sa rAGavaH NsP_52.121d
   setuṃ mahāntaṃ jaladhau babandha yaḥ NsP_53.23a	setum mahAntam jalaDO babanDa yaH NsP_53.23a
   senayā saha durmate NsP_48.134b	senayA saha durmate NsP_48.134b
   senā cāhūyatāṃ vīra NsP_50.61c	senA ca AhUyatAm vIra NsP_50.61c
   senābhaṭair jhaṭiti rākṣasarājadhānī NsP_52.23b	senA BawEH Jawiti rAkzasa rAjaDAnI NsP_52.23b
   senāḥ senāpatīṃś ca saḥ NsP_51.44b	senAH senApatIn ca saH NsP_51.44b
   sendrā devā jitāstena NsP_47.4a	sa indrAH devAH jitAH tena NsP_47.4a
   sendrāḥ parājitās tena NsP_47.27c	sa indrAH parAjitAH tena NsP_47.27c
   seyaṃ sīteti saṃsmaran NsP_51.20d	sA iyam sItA iti saMsmaran NsP_51.20d
   sevite mandavāyunā NsP_11.37d	sevite manda vAyunA NsP_11.37d
   sevyamāno 'psarogaṇaiḥ NsP_34.37b	sevyamAnaH apsaraH gaNEH NsP_34.37b
   sevyamāno 'psarogaṇaiḥ NsP_34.39d	sevyamAnaH apsaraH gaNEH NsP_34.39d
   sevyamāno 'psarogaṇaiḥ NsP_49.125d	sevyamAnaH apsaraH gaNEH NsP_49.125d
   sevyaḥ kathaṃ daityasutāḥ prabuddhaiḥ NsP_43.7d	sevyaH kaTam dEtya sutAH prabudDEH NsP_43.7d
   seṣudhiś ca mahābalaḥ NsP_49.18b	sa izuDiH ca mahA balaH NsP_49.18b
   saivam ākarṇya kaikeyī NsP_48.22c	sA evam AkarNya kEkeyI NsP_48.22c
   so 'gastyaḥ prīyatāṃ mama NsP_67.15d	saH agastyaH prIyatAm mama NsP_67.15d
   soḍhuṃ śakyo 'gnisaṃbandhaḥ NsP_40.25c	soXum SakyaH agni saMbanDaH NsP_40.25c
   soḍhuṃ samartho 'tha paro 'pi loke NsP_63.29c	soXum samarTaH aTa paraH api loke NsP_63.29c
   sopanīto yathānyāyaṃ NsP_13.15a	sa upanItaH yaTAnyAyam NsP_13.15a
   so 'pi krodhaparītāṅgo NsP_41.19a	saH api kroDa parIta aFgaH NsP_41.19a
   so 'pi tasmin mudāyukto NsP_33.11a	saH api tasmin mudA yuktaH NsP_33.11a
   so 'pi tām āha bhūyo 'pi NsP_13.51a	saH api tAm Aha BUyas api NsP_13.51a
   so 'pi tīrthe viśuddhātmā NsP_64.30a	saH api tIrTe viSudDa AtmA NsP_64.30a
   so 'pi nirgatya senānīm NsP_50.63c	saH api nirgatya senAnIm NsP_50.63c
   so 'pi rūpaṃ nijaṃ prāpya NsP_33.40a	saH api rUpam nijam prApya NsP_33.40a
   so 'pi labdhavaro daityo NsP_40.14c	saH api labDa varaH dEtyaH NsP_40.14c
   so 'py adhāvad bhayānvitaḥ NsP_49.9b	saH api aDAvat Baya anvitaH NsP_49.9b
   so 'py āgatya yathāpūrvaṃ NsP_28.24c	saH api Agatya yaTApUrvam NsP_28.24c
   so 'py āśu nīto guruveśma daityair NsP_42.1a	saH api ASu nItaH guru veSma dEtyEH NsP_42.1a
   so 'bhayaṃ vindate padam NsP_41.44d	saH aBayam vindate padam NsP_41.44d
   somapatnyo 'tha savratāḥ NsP_5.60d	soma patnyaH aTa sa vratAH NsP_5.60d
   somapuryāṃ vibhāvaryāṃ NsP_30.50c	soma puryAm viBAvaryAm NsP_30.50c
   somaloke ramitvā ca NsP_34.17a	soma loke ramitvA ca NsP_34.17a
   somavaṃśasamudbhavaḥ NsP_33.53b	soma vaMSa samudBavaH NsP_33.53b
   somavaṃśasamudbhavaḥ NsP_33.73b	soma vaMSa samudBavaH NsP_33.73b
   somavaṃśaṃ śṛṇuṣvātha NsP_22.1a	soma vaMSam SRNuzva aTa NsP_22.1a
   somaṃ durvāsasaṃ caiva NsP_5.31c	somam durvAsasam ca eva NsP_5.31c
   so 'vardhatāsurakule NsP_41.31a	saH avarData asura kule NsP_41.31a
   so 'ham arjuna bhūpāla NsP_33.78c	saH aham arjuna BUpAla NsP_33.78c
   so 'ham asmīti cintayet NsP_61.7d	saH aham asmi iti cintayet NsP_61.7d
   saunīteyo dhruvo vācam NsP_31.29c	sOnIteyaH DruvaH vAcam NsP_31.29c
   saubhāgyaś cātinirmalaḥ NsP_30.27d	sOBAgyaH ca ati nirmalaH NsP_30.27d
   saumitriṃ prāha lakṣmaṇam NsP_50.34d	sOmitrim prAha lakzmaNam NsP_50.34d
   saumyānanāṃ suśravanāṃ NsP_56.11c	sOmya AnanAm suSravanAm NsP_56.11c
   sauranaktaṃ vijānīyān NsP_67.9c	sOra naktam vijAnIyAn NsP_67.9c
   sauranaktaṃ samācaret NsP_67.8b	sOra naktam samAcaret NsP_67.8b
   saurir bṛhaspateś cordhvaṃ NsP_31.104a	sOriH bRhaspateH ca UrDvam NsP_31.104a
   sauvarṇapuṅkhais tīkṣṇais tu NsP_52.100c	sOvarNa puFKEH tIkzNEH tu NsP_52.100c
   sauvarṇamṛgarūpaṃ tvam NsP_49.61c	sOvarNa mRga rUpam tvam NsP_49.61c
   sauvarṇaṃ tvayi mātula NsP_49.62d	sOvarNam tvayi mAtula NsP_49.62d
   sauvarṇaṃ mṛgapotaṃ tu NsP_49.71a	sOvarNam mRgapotam tu NsP_49.71a
   skandatus tāv ubhāv api NsP_6.33d	skandatuH tO uBO api NsP_6.33d
   stanakṣīrārdradehayā NsP_48.68d	stana kzIra Ardra dehayA NsP_48.68d
   stāvakān stauti nīcavat NsP_41.61b	stAvakAn stOti nIca vat NsP_41.61b
   stutavān asmi sāṃpratam NsP_55.15d	stutavAn asmi sAMpratam NsP_55.15d
   stutas tena mahātmanā NsP_19.15b	stutaH tena mahAtmanA NsP_19.15b
   stutaḥ kṣīrodadhau nṛpa NsP_46.2b	stutaH kzIrodaDO nRpa NsP_46.2b
   stutaḥ surāsurair īśaḥ NsP_40.51a	stutaH sura asurEH ISaH NsP_40.51a
   stutir eṣā viḍambanā NsP_41.62b	stutiH ezA vixambanA NsP_41.62b
   stuto 'tha yas taṃ smara bhūmipāla NsP_37.36d	stutaH aTa yaH tam smara BUmipAla NsP_37.36d
   stuto nārāyaṇaḥ sadā NsP_55.7b	stutaH nArAyaNaH sadA NsP_55.7b
   stuto 'haṃ tad bravīhi me NsP_55.14d	stutaH aham tat bravIhi me NsP_55.14d
   stuto 'haṃ śaṃkareṇa tu NsP_40.57b	stutaH aham SaMkareNa tu NsP_40.57b
   stutyā ca paryatoṣayat NsP_25.30d	stutyA ca paryatozayat NsP_25.30d
   stutyā ca bhṛgunandana NsP_11.55b	stutyA ca BRgunandana NsP_11.55b
   stutyānayāhaṃ saṃtuṣṭaḥ NsP_53.26c	stutyAnayA aham saMtuzwaH NsP_53.26c
   stutvā gaṇeśaṃ sumanobhir arcya NsP_24.45c	stutvA gaNeSam sumanoBiH arcya NsP_24.45c
   stutvā tallabdhavān katham NsP_55.1d	stutvA tat labDavAn kaTam NsP_55.1d
   stutvā devaṃ vināyakam NsP_25.19d	stutvA devam vinAyakam NsP_25.19d
   stutvārādhya gaṇādhyakṣam NsP_24.39a	stutvA ArADya gaNADyakzam NsP_24.39a
   stutvā rāmam avocata NsP_52.114d	stutvA rAmam avocata NsP_52.114d
   stuhi taṃ bhaktavatsalam NsP_43.55b	stuhi tam Bakta vatsalam NsP_43.55b
   stuhi nārāyaṇaṃ prabhum NsP_10.19b	stuhi nArAyaNam praBum NsP_10.19b
   stūyamānā prasīdati NsP_58.83b	stUyamAnA prasIdati NsP_58.83b
   stūyamāno 'maragaṇaiḥ NsP_39.17a	stUyamAnaH amara gaNEH NsP_39.17a
   stūyamāno maharṣibhiḥ NsP_2.27f	stUyamAnaH mahA RziBiH NsP_2.27f
   stūyamāno mahāmate NsP_25.39d	stUyamAnaH mahAmate NsP_25.39d
   stotraṃ karṇe mahātmanaḥ NsP_7.62b	stotram karNe mahAtmanaH NsP_7.62b
   stotraṃ tasya mahātmanaḥ NsP_7.71b	stotram tasya mahAtmanaH NsP_7.71b
   stotraṃ tīrthaphalapradam NsP_10.20b	stotram tIrTa Pala pradam NsP_10.20b
   stotraṃ brahmamukheritam NsP_53.9b	stotram brahma muKa Iritam NsP_53.9b
   stotreṇa tuṣṭuvuḥ sarve NsP_38.2a	stotreNa tuzwuvuH sarve NsP_38.2a
   stotreṇānena te mune NsP_55.16d	stotreNa anena te mune NsP_55.16d
   stotreṇānena deveśa NsP_11.57a	stotreNa anena deveSa NsP_11.57a
   stotreṇānena viprendra NsP_10.19a	stotreNa anena vipra indra NsP_10.19a
   stotrair api mahābuddhe NsP_10.42c	stotrEH api mahAbudDe NsP_10.42c
   stotrair japaiś ca devāgre NsP_34.34c	stotrEH japEH ca deva agre NsP_34.34c
   stoṣye 'ham taṃ vināyakam NsP_25.5cdb	stozye aham tam vinAyakam NsP_25.5cdb
   striyaś caiva surūpiṇyo NsP_47.5a	striyaH ca eva surUpiNyaH NsP_47.5a
   strīṇāṃ ca prekṣaṇālambham NsP_58.29a	strINAm ca prekzaNa AlamBam NsP_58.29a
   strīṇāṃ tu patiśuśrūṣā NsP_13.36c	strINAm tu pati SuSrUzA NsP_13.36c
   strītvaṃ caiva tathā rudro NsP_5.11a	strI tvam ca eva taTA rudraH NsP_5.11a
   strītvaṃ prāpto 'padharmataḥ NsP_63.10b	strI tvam prAptaH apaDarmataH NsP_63.10b
   strītvaṃ strīvadhakāraṇāt NsP_63.103b	strI tvam strI vaDa kAraNAt NsP_63.103b
   strītvād yena ca mucyate NsP_63.116d	strI tvAt yena ca mucyate NsP_63.116d
   strībhāvaṃ puruṣatvaṃ ca NsP_5.7c	strI BAvam puruza tvam ca NsP_5.7c
   strībhāvaṃ vāsavo gataḥ NsP_63.105d	strI BAvam vAsavaH gataH NsP_63.105d
   strībhāvāc ca vinirmuktas NsP_63.118e	strI BAvAt ca vinirmuktaH NsP_63.118e
   strībhāvān mucyase hare NsP_63.118b	strI BAvAt mucyase hare NsP_63.118b
   strībhiḥ parivṛtas tatra NsP_51.21c	strIBiH parivRtaH tatra NsP_51.21c
   strīrūpeṇāsurān prati NsP_38.39b	strI rUpeNa asurAn prati NsP_38.39b
   strīvadhe tu mahāpāpaṃ NsP_47.79c	strI vaDe tu mahA pApam NsP_47.79c
   strīsahasrais tu dṛṣṭvā taṃ NsP_51.16a	strI sahasrEH tu dRzwvA tam NsP_51.16a
   sthaṇḍile pratimāsu ca NsP_62.6b	sTaNxile pratimAsu ca NsP_62.6b
   sthaṇḍile pratimāsu ca NsP_62.7b	sTaNxile pratimAsu ca NsP_62.7b
   sthale tv agastyaḥ saṃbhūto NsP_6.35e	sTale tu agastyaH saMBUtaH NsP_6.35e
   sthānato rūpataś caiva NsP_50.85c	sTAnataH rUpataH ca eva NsP_50.85c
   sthānatrayātigaṃ viṣṇuṃ NsP_16.29c	sTAna traya atigam vizNum NsP_16.29c
   sthānatraye tat patitaṃ samānaṃ NsP_6.36c	sTAna traye tat patitam samAnam NsP_6.36c
   sthānam asmāt tu pāvanam NsP_24.37b	sTAnam asmAt tu pAvanam NsP_24.37b
   sthānam aindram avāpnoti NsP_58.15c	sTAnam Endram avApnoti NsP_58.15c
   sthānaṃ nakṣatramaṇḍalāt NsP_31.102b	sTAnam nakzatra maNxalAt NsP_31.102b
   sthānaṃ nirāmayāḥ sarve NsP_53.31c	sTAnam nirAmayAH sarve NsP_53.31c
   sthānaṃ paraṃ prāpnuhi yan mataṃ te NsP_31.95c	sTAnam param prApnuhi yat matam te NsP_31.95c
   sthānābhikāmī tapasi sthito 'ham NsP_31.90a	sTAna aBikAmI tapasi sTitaH aham NsP_31.90a
   sthāpayām_asa tad dhanuḥ NsP_47.103d	sTApayAm_asa tat DanuH NsP_47.103d
   sthāpayām_asa pūrvavat NsP_39.17b	sTApayAm_asa pUrvavat NsP_39.17b
   sthāpayām_asa pūrvavat NsP_47.116d	sTApayAm_asa pUrvavat NsP_47.116d
   sthāpayitvā sa maithilīm NsP_49.104d	sTApayitvA sa mETilIm NsP_49.104d
   sthāpayet kuśamṛttikām NsP_58.65b	sTApayet kuSa mRttikAm NsP_58.65b
   sthāpiteyaṃ durātmanā NsP_49.106d	sTApitA iyam durAtmanA NsP_49.106d
   sthāpya rāmaṃ tu maṇḍale NsP_48.28b	sTApya rAmam tu maNxale NsP_48.28b
   sthāpyālaṃkṛtya pūrvavat NsP_56.27b	sTApya alaMkRtya pUrvavat NsP_56.27b
   sthāsye 'haṃ rāmasaṃnidhau NsP_50.124b	sTAsye aham rAma saMniDO NsP_50.124b
   sthitavān gṛdhranāyakaḥ NsP_49.29d	sTitavAn gRDra nAyakaH NsP_49.29d
   sthitavān munayo gatāḥ NsP_67.25b	sTitavAn munayaH gatAH NsP_67.25b
   sthitavāṃs tatra kānane NsP_49.83b	sTitavAn tatra kAnane NsP_49.83b
   sthitas tvaṃ māṃ smariṣyasi NsP_11.62b	sTitaH tvam mAm smarizyasi NsP_11.62b
   sthitaṃ samāliṅgya vibhuṃ sa dṛṣṭvā NsP_43.63c	sTitam samAliFgya viBum sa dRzwvA NsP_43.63c
   sthitaḥ paramapuruṣaḥ NsP_31.118b	sTitaH parama puruzaH NsP_31.118b
   sthitā draṣṭuṃ vane nṛpa NsP_50.133d	sTitAH drazwum vane nRpa NsP_50.133d
   sthitā prāyeṇa te devī NsP_50.95a	sTitA prAyeNa te devI NsP_50.95a
   sthitā vakṣyanti nityaśaḥ NsP_40.27b	sTitAH vakzyanti nityaSas NsP_40.27b
   sthiteti kathitaṃ tena NsP_50.155c	sTitA iti kaTitam tena NsP_50.155c
   sthito devapurohitaḥ NsP_31.103d	sTitaH deva purohitaH NsP_31.103d
   sthito nṛpas tatra mahānubhāvaḥ NsP_46.7b	sTitaH nRpaH tatra mahA anuBAvaH NsP_46.7b
   sthito bhaktahitārthāya NsP_44.39c	sTitaH Bakta hita arTAya NsP_44.39c
   sthito vividhabhojanaiḥ NsP_47.133b	sTitaH viviDa BojanEH NsP_47.133b
