   // Saddharmalaṅkāvatārasūtram //	// Sat Darma laFkA avatAra sUtram //
   nirābhāsasthito yogī mahāyānaṃ sa paśyati // Lank_10.257 //	nirABAsa sTitaH yogI mahAyAnam sa paSyati // Lank _10.257 //
   anābhogagatiḥ śāntā praṇidhānairviśodhitā /	anABoga gatiH SAntA praNiDAnEH viSoDitA /
   jñānamanātmakaṃ śreṣṭhaṃ nirābhāse na paśyati // Lank_10.258 //	jQAnam anAtmakam SrezWam nirABAse na paSyati // Lank _10.258 //
   cittasya gocaraṃ paśyetpaśyejjñānasya gocaram /	cittasya gocaram paSyet paSyet jQAnasya gocaram /
   prajñāyā gocaraṃ paśyellakṣaṇe na pramuhyate // Lank_10.259 //	prajQAyAH gocaram paSyet lakzaNe na pramuhyate // Lank _10.259 //
   cittasya duḥkhasatyaṃ samudayo jñānagocaraḥ /	cittasya duHKa satyam samudayaH jQAna gocaraH /
   dve satye buddhabhūmiśca prajñā yatra pravartate // Lank_10.260 //	dve satye budDa BUmiH ca prajQA yatra pravartate // Lank _10.260 //
   phalaprāptiśca nirvāṇaṃ mārgamaṣṭāṅgikaṃ tathā /	Pala prAptiH ca nirvANam mArgam azwa AFgikam taTA /
   sarvadharmāvabodhena buddhajñānaṃ viśudhyate // Lank_10.261 //	sarva Darma avaboDena budDa jQAnam viSuDyate // Lank _10.261 //
   cakṣuśca rūpamāloka ākāśaśca manastathā /	cakzuH ca rUpam AlokaH AkASaH ca manaH taTA /
   ebhirutpadyate nṝṇāṃ vijñānaṃ hyālayodbhavam // Lank_10.262 //	eBiH utpadyate nLNAm vijQAnam hi Alaya udBavam // Lank _10.262 //
   grāhyaṃ grāho grahītā ca nāsti nāma hyavastukam /	grAhyam grAhaH grahItA ca na asti nAma hi avastukam /
   nirhetukaṃ vikalpaṃ ye manyanti hi na te budhāḥ // Lank_10.263 //	nirhetukam vikalpam ye manyanti hi na te buDAH // Lank _10.263 //
   arthe nāma hyasaṃbhūtamartho nāmni tathaiva ca /	arTe nAma hi asaMBUtam arTaH nAmni taTA eva ca /
   hetvahetusamutpannaṃ vikalpaṃ na vikalpayet // Lank_10.264 //	hetu ahetu samutpannam vikalpam na vikalpayet // Lank _10.264 //
   sarvabhāvasvabhāvo 'san vacanaṃ hi tathāpyasat /	sarva BAva svaBAvaH asan vacanam hi taTA api asat /
   śūnyatāṃ śūnyatārthaṃ vā bālo 'paśyan vidhāvati // Lank_10.265 //	SUnyatAm SUnyatA arTam vA bAlaH apaSyan viDAvati // Lank _10.265 //
   (Vaidya 125)	(VEdyaH 125)
   satyasthitiṃ manyanayā dṛṣṭvā prajñaptideśanā /	satya sTitim manyanayA dRzwvA prajQapti deSanA /
   ekatvaṃ pañcadhāsiddhamidaṃ satyaṃ prahīyate // Lank_10.266 //	eka tvam paQcaDA sidDam idam satyam prahIyate // Lank _10.266 //
   prapañcamārabhedyaśca astināsti vyatikramet /	prapaQcamAraBedyaH ca astinA asti vyatikramet /
   nāsticchando bhave mithyāsaṃjñā nairātmyadarśanāt // Lank_10.267 //	na asticCandaH Bave miTyA saMjQA nErAtmya darSanAt // Lank _10.267 //
   śāśvataṃ hi sakartṛtvaṃ vādamātrapravartitam /	SASvatam hi sa kartR tvam vAda mAtra pravartitam /
   satyaṃ paraṃ hyavaktavyaṃ nirodhe dharmadarśanam // Lank_10.268 //	satyam param hi avaktavyam niroDe Darma darSanam // Lank _10.268 //
   ālayaṃ hi samāśritya mano vai saṃpravartate /	Alayam hi samASritya manaH vE saMpravartate /
   cittaṃ manaśca saṃśritya vijñānaṃ saṃpravartate // Lank_10.269 //	cittam manaH ca saMSritya vijQAnam saMpravartate // Lank _10.269 //
   samāropaṃ samāropya tathatā cittadharmatā /	samAropam samAropya taTatA citta DarmatA /
   etadvibhāvayan yogī cittamātrajñatāṃ labhet // Lank_10.270 //	etat viBAvayan yogI cittamAtra jQa tAm laBet // Lank _10.270 //
   manaśca lakṣaṇaṃ vastu nityānitye na manyate /	manaH ca lakzaNam vastu nitya anitye na manyate /
   utpādaṃ cāpyanutpādaṃ yogī yoge na manyate // Lank_10.271 //	utpAdam ca api anutpAdam yogI yoge na manyate // Lank _10.271 //
   arthadvayaṃ na kalpenti vijñānaṃ hyālayodbhavam /	arTa dvayam na kalpenti vijQAnam hi Alaya udBavam /
   ekamarthaṃ dvicittena na jānīte tadudbhavam // Lank_10.272 //	ekam arTam dvi cittena na jAnIte tad udBavam // Lank _10.272 //
   na vaktā na ca vācyo 'sti na śūnyaṃ cittadarśanāt /	na vaktA na ca vAcyaH asti na SUnyam citta darSanAt /
   adarśanātsvacittasya dṛṣṭijālaṃ pravartate // Lank_10.273 //	adarSanAt sva cittasya dRzwi jAlam pravartate // Lank _10.273 //
   pratyayāgamanaṃ nāsti indriyāṇi na kecana /	pratyaya Agamanam na asti indriyANi na kecana /
   na dhātavo na ca skandhā na rāgo na ca saṃskṛtam // Lank_10.274 //	na DAtavaH na ca skanDAH na rAgaH na ca saMskRtam // Lank _10.274 //
   karmaṇo 'gniṃ na vai pūrvaṃ na kṛtaṃ na ca saṃskṛtam /	karmaNaH agnim na vE pUrvam na kRtam na ca saMskRtam /
   na koṭi na ca vai śaktirna mokṣo na ca bandhanam // Lank_10.275 //	na kowi na ca vE SaktiH na mokzaH na ca banDanam // Lank _10.275 //
   avyākṛto na bhāvo 'sti dharmādharmaṃ na caiva hi /	avyAkRtaH na BAvaH asti Darma aDarmam na ca eva hi /
   na kālaṃ na ca nirvāṇaṃ dharmatāpi na vidyate // Lank_10.276 //	na kAlam na ca nirvANam Darma tA api na vidyate // Lank _10.276 //
   na ca buddho na satyāni na phalaṃ na ca hetavaḥ /	na ca budDaH na satyAni na Palam na ca hetavaH /
   viparyayo na nirvāṇaṃ vibhavo nāsti saṃbhavaḥ // Lank_10.277 //	viparyayaH na nirvANam viBavaH na asti saMBavaH // Lank _10.277 //
   dvādaśāṅgaṃ na caivāsti antānantaṃ na caiva hi /	dvAdaSa aFgam na ca eva asti anta anantam na ca eva hi /
   sarvadṛṣṭiprahāṇāya cittamātraṃ vadāmyaham // Lank_10.278 //	sarva dRzwi prahANAya cittamAtram vadAmi aham // Lank _10.278 //
   kleśāḥ karmapathā dehaḥ kartāraśca phalaṃ ca vai /	kleSAH karma paTAH dehaH kartAraH ca Palam ca vE /
   marīcisvapnasaṃkāśā gandharvanagaropamāḥ // Lank_10.279 //	marIci svapna saMkASAH ganDarvanagara upamAH // Lank _10.279 //
   cittamātravyavasthānādvayāvṛttaṃ bhāvalakṣaṇam /	cittamAtra vyavasTAna advaya avRttam BAva lakzaNam /
   cittamātrapratiṣṭhānācchāśvatocchedadarśanam // Lank_10.280 //	citta mAtra pratizWAnAt SASvata ucCeda darSanam // Lank _10.280 //
   (Vaidya 126)	(VEdyaH 126)
   skandhā na santi nirvāṇe na caivātmā na lakṣaṇam /	skanDAH na santi nirvANe na ca eva AtmA na lakzaNam /
   cittamātrāvatāreṇa mokṣagrāhānnivartate // Lank_10.281 //	citta mAtra avatAreNa mokza grAhAt nivartate // Lank _10.281 //
   bhūdṛśyahetuko doṣo bahirdhā khyāyate nṛṇām /	BUdRSya hetukaH dozaH bahirDA KyAyate nRNAm /
   cittaṃ hyadṛśyasaṃbhūtaṃ tena cittaṃ na dṛśyate // Lank_10.282 //	cittam hi adRSya saMBUtam tena cittam na dRSyate // Lank _10.282 //
   dehabhogapratiṣṭhānā khyāyate vāsanā nṛṇām /	deha Boga pratizWAnA KyAyate vAsanA nRNAm /
   cittaṃ na bhāvo nābhāvo vāsane na virājate // Lank_10.283 //	cittam na BAvaH na aBAvaH vAsane na virAjate // Lank _10.283 //
   malo vai khyāyate śukle na śukle khyāyate malaḥ /	malaH vE KyAyate Sukle na Sukle KyAyate malaH /
   ghane hi gaganaṃ yadvattathā cittaṃ na dṛśyate // Lank_10.284 //	Gane hi gaganam yadvat taTA cittam na dRSyate // Lank _10.284 //
   cittena cīyate karma jñānena ca vicīyate /	cittena cIyate karma jQAnena ca vicIyate /
   prajñayā ca nirābhāsaṃ prabhāvaṃ cādhigacchati // Lank_10.285 //	prajQayA ca nirABAsam praBAvam ca aDigacCati // Lank _10.285 //
   cittaṃ viṣayasaṃbaddhaṃ jñānaṃ tarke pravartate /	cittam vizaya saMbadDam jQAnam tarke pravartate /
   nirābhāse viśeṣe ca jñānaṃ vai saṃpravartate // Lank_10.286 //	nirABAse viSeze ca jQAnam vE saMpravartate // Lank _10.286 //
   cittaṃ manaśca vijñānaṃ saṃjñā vai kalpavarjitā /	cittam manaH ca vijQAnam saMjQA vE kalpa varjitAH /
   avikalpadharmatāṃ prāptāḥ śrāvakā na jinātmajāḥ // Lank_10.287 //	avikalpa Darma tAm prAptAH SrAvakAH na jina AtmajAH // Lank _10.287 //
   kṣānte kṣānte viśeṣe vai jñānaṃ tāthāgataṃ śubham /	kzAnte kzAnte viSeze vE jQAnam tATAgatam SuBam /
   saṃjāyate viśeṣārthaṃ samudācāravarjitam // Lank_10.288 //	saMjAyate viSeza arTam samudAcAra varjitam // Lank _10.288 //
   parikalpitasvabhāvo 'sti paratantro na vidyate /	parikalpita svaBAvaH asti paratantraH na vidyate /
   kalpitaṃ gṛhyate bhrāntyā paratantraṃ na kalpyate // Lank_10.289 //	kalpitam gRhyate BrAntyA paratantram na kalpyate // Lank _10.289 //
   cittaṃ hyabhūtasaṃbhūtaṃ na cittaṃ dṛśyate kvacit /	cittam hi aBUtasaMBUtam na cittam dRSyate kvacid /
   dehabhogapratiṣṭhānaṃ khyāyate vāsanā nṛṇām // Lank_10.290 //	deha Boga pratizWAnam KyAyate vAsanA nRNAm // Lank _10.290 //
   na sarvabhautikaṃ rūpamasti rūpamabhautikam /	na sarva BOtikam rUpam asti rUpam aBOtikam /
   gandharvasvapnamāyā yā mṛgatṛṣṇā hyabhautikā // Lank_10.291 //	ganDarva svapna mAyA yA mRgatRzNA hi aBOtikAH // Lank _10.291 //
   prajñā hi trividhā mahyamāryaṃ yena prabhāvitam /	prajQA hi triviDA mahyam Aryam yena praBAvitam /
   cittaṃ hyadṛśyasaṃbhūtaṃ tena cittaṃ na dṛśyate // Lank_10.292 //	cittam hi adRSya saMBUtam tena cittam na dRSyate // Lank _10.292 //
   dehabhogapratiṣṭhānā khyāyate vāsanā nṛṇām /	deha Boga pratizWAnA KyAyate vAsanA nRNAm /
   lakṣaṇaṃ kalpate yena yaḥ svabhāvān vṛṇoti ca // Lank_10.293 //	lakzaNam kalpate yena yaH svaBAvAn vRNoti ca // Lank _10.293 //
   yānadvayavisaṃyuktā prajñā hyābhāsavarjitā /	yAna dvaya visaMyuktA prajQA hi ABAsa varjitAH /
   saṃbhavābhiniveśena śrāvakāṇāṃ pravartate /	saMBava aBiniveSena SrAvakANAm pravartate /
   cittamātrāvatāreṇa prajñā tāthāgatī 'malā // Lank_10.294 //	citta mAtra avatAreNa prajQA tATAgatI amalA // Lank _10.294 //
   sato hi asataścāpi pratyayairyadi jāyate /	sataH hi asataH ca api pratyayEH yadi jAyate /
   ekatvānyatvadṛṣṭiśca avaśyaṃ taiḥ samāśritā // Lank_10.295 //	ekatva anyatva dRzwiH ca avaSyam tEH samASritAH // Lank _10.295 //
   (Vaidya 127)	(VEdyaH 127)
   vividhāgatirhi nirvṛttā yathā māyā na sidhyati /	viviDa AgatiH hi nirvRttAH yaTA mAyA na siDyati /
   nimittaṃ hi tathā citraṃ kalpyamānaṃ na sidhyati // Lank_10.296 //	nimittam hi taTA citram kalpyamAnam na siDyati // Lank _10.296 //
   nimittadauṣṭhulyamayaṃ bandhanaṃ cittasaṃbhavam /	nimitta dOzWulya mayam banDanam citta saMBavam /
   parikalpitaṃ hyajānānaiḥ paratantraṃ vikalpyate // Lank_10.297 //	parikalpitam hi ajAnAnEH paratantram vikalpyate // Lank _10.297 //
   ya eva kalpito bhāvaḥ paratantraṃ tadeva hi /	yaH eva kalpitaH BAvaH paratantram tat eva hi /
   kalpitaṃ hi vicitrābhaṃ paratantraṃ vikalpyate // Lank_10.298 //	kalpitam hi vicitra ABam paratantram vikalpyate // Lank _10.298 //
   saṃvṛtiḥ paramārthaśca tṛtīyaṃ nāsti hetukam /	saMvRtiH parama arTaH ca tRtIyam na asti hetukam /
   kalpitaṃ saṃvṛtirhyuktā tacchedādāryagocaraḥ // Lank_10.299 //	kalpitam saMvRtiH hi uktA tad CedAt Arya gocaraH // Lank _10.299 //
   yathā hi yogināṃ vastu citramekaṃ virājate /	yaTA hi yoginAm vastu citram ekam virAjate /
   na hyasti citratā tatra tathā kalpitalakṣaṇam // Lank_10.300 //	na hi asti citra tA tatra taTA kalpita lakzaNam // Lank _10.300 //
   yathā hi taimiraiścitraṃ kalpyate rūpadarśanam /	yaTA hi tEmirEH citram kalpyate rUpa darSanam /
   timiraṃ na rūpaṃ nārūpaṃ paratantraṃ tathā budhaiḥ // Lank_10.301 //	timiram na rUpam na arUpam paratantram taTA buDEH // Lank _10.301 //
   hemaṃ syāttu yathā śuddhaṃ jalaṃ kaluṣavarjitam /	hemam syAt tu yaTA SudDam jalam kaluza varjitam /
   gaganaṃ hi ghanābhāvāttathā śuddhaṃ vikalpitam // Lank_10.302 //	gaganam hi Gana aBAvAt taTA SudDam vikalpitam // Lank _10.302 //
   śrāvakastrividho mahyaṃ nirmitaḥ praṇidhānajaḥ /	SrAvakaH triviDaH mahyam nirmitaH praNiDAna jaH /
   rāgadveṣavisaṃyuktaḥ śrāvako dharmasaṃbhavaḥ // Lank_10.303 //	rAga dveza visaMyuktaH SrAvakaH Darma saMBavaH // Lank _10.303 //
   bodhisattvo 'pi trividho buddhānāṃ nāsti lakṣaṇam /	boDisattvaH api triviDaH budDAnAm na asti lakzaNam /
   citte citte tu sattvānāṃ buddhabimbaṃ vidṛśyate // Lank_10.304 //	citte citte tu sattvAnAm budDa bimbam vidRSyate // Lank _10.304 //
   nāsti vai kalpito bhāvaḥ paratantraṃ ca vidyate /	na asti vE kalpitaH BAvaH paratantram ca vidyate /
   samāropāpavādaṃ ca vikalpaṃ no vinaśyati // Lank_10.305 //	samAropa apavAdam ca vikalpam naH vinaSyati // Lank _10.305 //
   kalpitaṃ yadyabhāvaḥ syātparatantrasvabhāvataḥ /	kalpitam yadi aBAvaH syAt paratantra svaBAvataH /
   vinābhāvena vai bhāvaṃ bhāvaścābhāvasaṃbhavaḥ // Lank_10.306 //	vinA aBAvena vE BAvam BAvaH ca aBAva saMBavaH // Lank _10.306 //
   parikalpitaṃ samāśritya paratantraṃ pralabhyate /	parikalpitam samASritya paratantram pralaByate /
   nimittanāmasaṃbandhājjāyate parikalpitam // Lank_10.307 //	nimitta nAma saMbanDAt jAyate parikalpitam // Lank _10.307 //
   atyantaṃ cāpyaniṣpannaṃ kalpitena parodbhavam /	atyantam ca api anizpannam kalpitena para udBavam /
   tadā prajñāyate śuddhaḥ svabhāavaḥ pāramārthikaḥ // Lank_10.308 //	tadA prajQAyate SudDaH svaBAavaH pAramArTikaH // Lank _10.308 //
   parikalpitaṃ daśavidhaṃ paratantraṃ ca ṣaḍvidham /	parikalpitam daSaviDam paratantram ca zaxviDam /
   tathatā ca pratyātmagatimato nāsti viśeṣaṇam // Lank_10.309 //	taTatA ca pratyAtma gatimataH na asti viSezaNam // Lank _10.309 //
   pañca dharmā bhavettatvaṃ svabhāvā hi trayastathā /	paQca DarmAH Bavet tatvam svaBAvAH hi trayaH taTA /
   etadvibhāvayan yogī tathatāṃ nātivartate // Lank_10.310 //	etat viBAvayan yogI taTatAm na ativartate // Lank _10.310 //
   nakṣatrameghasaṃsthānaṃ somabhāskarasaṃnibham /	nakzatra meGa saMsTAnam soma BAskara saMniBam /
   cittaṃ saṃdṛśyate nṝṇāṃ dṛśyābhaṃ vāsanoditam // Lank_10.311 //	cittam saMdRSyate nLNAm dRSya ABam vAsanA uditam // Lank _10.311 //
   (Vaidya 128)	(VEdyaH 128)
   bhūtālabdhātmakā hyete na lakṣyaṃ na ca lakṣaṇam /	BUta alabDa AtmakAH hi ete na lakzyam na ca lakzaNam /
   sarve bhūtamayā bhūtā yadi rūpaṃ hi bhautikam // Lank_10.312 //	sarve BUta mayA BUtAH yadi rUpam hi BOtikam // Lank _10.312 //
   asaṃbhūtā mahābhūtā nāsti bhūteṣu bhautikam /	asaMBUtA mahABUtAH na asti BUtezu BOtikam /
   kāraṇaṃ hi mahābhūtāḥ kāryaṃ bhūsalilādayaḥ // Lank_10.313 //	kAraNam hi mahABUtAH kAryam BU salila AdayaH // Lank _10.313 //
   dravyaprajñaptirūpaṃ ca māyājātikṛtaṃ tathā /	dravya prajQapti rUpam ca mAyA jAti kRtam taTA /
   svapnagandharvarūpaṃ ca mṛgatṛṣṇā ca pañcamam // Lank_10.314 //	svapna ganDarva rUpam ca mRgatRzNA ca paQcamam // Lank _10.314 //
   icchantikaṃ pañcavidhaṃ gotrāḥ pañca tathā bhavet /	icCantikam paQcaviDam gotrAH paQca taTA Bavet /
   pañca yānānyayānaṃ ca nirvāṇaṃ ṣaḍvidhaṃ bhavet // Lank_10.315 //	paQca yAnAni ayAnam ca nirvANam zaxviDam Bavet // Lank _10.315 //
   skandhabhedāścaturviśadrūpaṃ cāṣṭavidhaṃ bhavet /	skanDa BedAH catur viSat rUpam ca azwaviDam Bavet /
   buddhā bhaveccaturviṃśaddvividhāśca jinaurasāḥ // Lank_10.316 //	budDAH Bavet caturviMSat dviviDAH ca jinOrasAH // Lank _10.316 //
   aṣṭottaraṃ nayaśataṃ śrāvakāśca trayastathā /	azwa uttaram naya Satam SrAvakAH ca trayaH taTA /
   kṣetramekaṃ hi buddhānāṃ buddhaścaikastathā bhavet // Lank_10.317 //	kzetram ekam hi budDAnAm budDaH ca ekaH taTA Bavet // Lank _10.317 //
   vimuktayastathā tisraścittadhārā caturvidhā /	vimuktayaH taTA tisraH citta DArA caturviDAH /
   nairātmyaṃ ṣaḍvidhaṃ mahyaṃ jñeyaṃ cāpi caturvidham // Lank_10.318 //	nErAtmyam zaxviDam mahyam jQeyam ca api caturviDam // Lank _10.318 //
   kāraṇaiśca visaṃyuktaṃ dṛṣṭidoṣavivarjitam /	kAraNEH ca visaMyuktam dRzwi doza vivarjitam /
   pratyātmavedyamacalaṃ mahāyānamanuttaram // Lank_10.319 //	pratyAtma vedyam acalam mahAyAnam anuttaram // Lank _10.319 //
   utpādaṃ cāpyanutpādamaṣṭadhā navadhā bhavet /	utpAdam ca api anutpAdam azwaDA navaDA Bavet /
   ekānupūrvasamayaṃ siddhāntamekameva ca // Lank_10.320 //	eka anupUrva samayam sidDAntam ekam eva ca // Lank _10.320 //
   ārūpyadhātvaṣṭavidhaṃ dhyānabhedaśca ṣaḍvidhaḥ /	ArUpya DAtu azwaviDam DyAna BedaH ca zaxviDaH /
   pratyekajinaputrāṇāṃ niryāṇaṃ saptadhā bhavet // Lank_10.321 //	pratyeka jina putrANAm niryANam saptaDA Bavet // Lank _10.321 //
   adhvatrayaṃ na caivāsti nityānityaṃ ca nāsti vai /	aDva trayam na ca eva asti nitya anityam ca na asti vE /
   kriyā karma phalaṃ caiva svapnakāryaṃ tathā bhavet // Lank_10.322 //	kriyA karma Palam ca eva svapna kAryam taTA Bavet // Lank _10.322 //
   antādyāsaṃbhavā buddhāḥ śrāvakāśca jinaurasāḥ /	antAdya asaMBavAH budDAH SrAvakAH ca jinOrasAH /
   cittaṃ dṛśyavisaṃyuktaṃ māyādharmopamaṃ sadā // Lank_10.323 //	cittam dRSya visaMyuktam mAyA Darma upamam sadA // Lank _10.323 //
   garbhaścakraṃ tathā jātirnaiṣkramyaṃ tuṣitālayam /	garBaH cakram taTA jAtiH nEzkramyam tuzita Alayam /
   sarvakṣetragatāścāpi dṛśyante na ca yonijāḥ // Lank_10.324 //	sarva kzetra gatAH ca api dRSyante na ca yoni jAH // Lank _10.324 //
   saṃkrāntiṃ saṃcaraṃ sattvaṃ deśanā nirvṛtistathā /	saMkrAntim saMcaram sattvam deSanA nirvRtiH taTA /
   satyaṃ kṣetrāvabodhiśca pratyayaprerito bhavet // Lank_10.325 //	satyam kzetra avaboDiH ca pratyaya preritaH Bavet // Lank _10.325 //
   lokā vanaspatirdvīpo nairātmyatīrthasaṃcaram /	lokAH vanaspatiH dvIpaH nErAtmya tIrTa saMcaram /
   dhyānaṃ yānālayaprāptiracintyaphalagocaram // Lank_10.326 //	DyAnam yAna Alaya prAptiH acintya Pala gocaram // Lank _10.326 //
   candranakṣatragotrāṇi nṛpagotrā surālayam /	candra nakzatra gotrANi nRpa gotrA surAlayam /
   yakṣagandharvagotrāṇi karmajā tṛṣṇasaṃbhavā // Lank_10.327 //	yakza ganDarva gotrANi karma jA tRzNa saMBavAH // Lank _10.327 //
   (Vaidya 129)	(VEdyaH 129)
   acintyapariṇāmī ca cyutirvāsanasaṃyutā /	acintya pariNAmI ca cyutiH vAsana saMyutAH /
   vyucchinnacyutyabhāvena kleśajālaṃ nirudhyate // Lank_10.328 //	vyucCinna cyuti aBAvena kleSa jAlam niruDyate // Lank _10.328 //
   dhanadhānyaṃ suvarṇaṃ ca kṣetravastu vikalpyate /	Dana DAnyam suvarNam ca kzetravastu vikalpyate /
   gavaiḍakāśca dāsā vai tathā hayagajādayaḥ // Lank_10.329 //	gava exakAH ca dAsAH vE taTA haya gaja AdayaH // Lank _10.329 //
   talpaviddhe na svaptavyaṃ bhūmiścāpi na lepayet /	talpa vidDe na svaptavyam BUmiH ca api na lepayet /
   sauvarṇarājataṃ pātraṃ kāṃsaṃ tāmraṃ na kārayet // Lank_10.330 //	sOvarNa rAjatam pAtram kAMsam tAmram na kArayet // Lank _10.330 //
   kambalā nīlaraktāśca kāṣāyo gomayena ca /	kambalAH nIla raktAH ca kAzAyaH gomayena ca /
   kardamaiḥ phalapatraiśca śuklān yogī rajetsadā // Lank_10.331 //	kardamEH Pala patrEH ca SuklAn yogI rajet sadA // Lank _10.331 //
   śailīkaṃ mṛnmayaṃ lohaṃ śāṅkhaṃ vai sphaṭikamayam /	SElIkam mRd mayam loham SAFKam vE sPawika mayam /
   pātrārthaṃ dhārayedyogī paripūrṇaṃ ca māgadham // Lank_10.332 //	pAtra arTam DArayet yogI paripUrNam ca mAgaDam // Lank _10.332 //
   caturaṅgulaṃ bhavecchastraṃ kubjaṃ vai vastucchedanaḥ /	catur aFgulam Bavet Sastram kubjam vE vastu= CedanaH /
   śilpavidyāṃ na śikṣeta yogī yogaparāyaṇaḥ // Lank_10.333 //	Silpa vidyAm na Sikzeta yogI yoga parAyaNaH // Lank _10.333 //
   krayavikrayo na kartavyo yoginā yogivāhinā /	kraya vikrayaH na kartavyaH yoginA yogi vAhinA /
   ārāmikaiśca kartavyametaddharmaṃ vadāmyaham // Lank_10.334 //	ArAmikEH ca kartavyam etat Darmam vadAmi aham // Lank _10.334 //
   guptendriyaṃ tathārthajñaṃ sūtrānte vinaye tathā /	gupta indriyam taTA arTa jQam sUtrAnte vinaye taTA /
   gṛhasthairna ca saṃsṛṣṭaṃ yoginaṃ taṃ vadāmyaham // Lank_10.335 //	gRhasTEH na ca saMsRzwam yoginam tam vadAmi aham // Lank _10.335 //
   śūnyāgāre śmaśāne vā vṛkṣamūle guhāsu vā /	SUnya AgAre SmaSAne vA vRkza mUle guhAsu vA /
   palāle 'bhyavakāśe ca yogī vāsaṃ prakalpayet // Lank_10.336 //	palAle aByavakASe ca yogI vAsam prakalpayet // Lank _10.336 //
   trivastraprāvṛto nityaṃ śmaśānādyatrakutracit /	tri vastra prAvRtaH nityam SmaSAnAt yatra kutracid /
   vastrārthaṃ saṃvidhātavyaṃ yaśca dadyātsukhāgatam // Lank_10.337 //	vastra arTam saMviDAtavyam yaH ca dadyAt suKa Agatam // Lank _10.337 //
   yugamātrānusārī syātpiṇḍabhakṣaparāyaṇaḥ /	yuga mAtra anusArI syAt piNxa Bakza parAyaNaH /
   kusumebhyo yathā bhramarāstathā piṇḍaṃ samācaret // Lank_10.338 //	kusumeByaH yaTA BramarAH taTA piNxam samAcaret // Lank _10.338 //
   gaṇe ca gaṇasaṃsṛṣṭe bhikṣuṇīṣu ca yadbhavet /	gaNe ca gaNa saMsRzwe BikzuNIzu ca yat Bavet /
   taddhi ājīvasaṃsṛṣṭaṃ na tatkalpati yoginām // Lank_10.339 //	tat hi AjIva saMsRzwam na tat kalpati yoginAm // Lank _10.339 //
