   ātmasiddhiḥ /	Atma sidDiH /
   kimidaṃ dhīriti ? utprekṣābhiprāyaṃ tat, na jñaptiviṣayam / tasyāḥ	kim idam DIH iti ? utprekzA aBiprAyam tat, na jQapti vizayam / tasyAH
   svābhāvikatvasya tasyāmeva śrutau śrūyamāṇatvāt / śrūyate hi "na	svABAvika tvasya tasyAm eva SrutO SrUyamANa tvAt / SrUyate hi "na
   vijñāturvijñātorviparilopo vidyate" iti, "na hi draṣṭurddaṣṭerviparilopo	vijQAtuH vijQAtoH viparilopaH vidyate" iti, "na hi drazwuH ddazweH viparilopaH 
   vidyate avināśitvā"diti ca / jñāturavināśitvādeva	vidyate avinASi tvA"t iti ca / jQa AturavinASi tvAt eva
   jñānasyāvināśamupapādayantīyaṃ śrutirjñātuḥ svarūpaprayuktaṃ jñānamiti	jQAnasya avinASam upapAdayantIyam SrutiH jQAtuH sva rUpa prayuktam jQAnam iti
   darśayati / na ca dṛṣṭiviśeṣaṇatayā draṣṭurupādānamiti sāmpratam,	darSayati / na ca dRzwi viSezaNa tayA drazwuH upAdAnam iti sAmpratam,
   puṃlliṅganirdeśavirodhāt; hetośca sādhyasamatvāpatteḥ / draṣṭuḥ	puMlliFga nirdeSa viroDAt; hetoH ca sADya sama tva ApatteH / drazwuH
   svarūpanirdeśaparatve 'pi	svarUpa nirdeSa paratve api
   dṛṣṭipadasyāsamādheyamahetutvam, svapakṣahāniśca / ātmanastu	dRzwi padasya asamADeyam ahetu tvam, sva pakza hAniH ca / AtmanaH tu
   nityatvamapracālyamanekanyāyāgamasiddhaṃ yuktaṃ hetutayā vyapadeṣṭum / na	nitya tvam apracAlyam aneka nyAya Agama sidDam yuktam hetu tayA vyapadezwum / na
   hi sati padārthe tatsvarūpopādhayo na bhavitumarhanti, sati kanaka iva	hi sati padArTe tad svarUpa upADayaH na Bavitum arhanti, sati kanakaH iva
   paiṅgalyam, prabheva ca pradīpe /	pEFgalyam, praBA iva ca pradIpe /
   tenāyamarthaḥ ātmasvabhāvabhūtāyāściterbāhyābhyantaraviṣayaviśeṣasaṃbandhaprakāraprāptadṛṣṭighrātirasayativaktiśrutimatispṛṣṭivijñātivyapadeśabhedāyāḥ	tena ayam arTaH Atma svaBAva BUtAyAH citeH bAhya aByantara vizaya viSeza saMbanDa prakAra prApta dRzwi GrAti rasa yati vakti Sruti mati spRzwi vijQAti
   svātmāvabhāsinyāḥ saṃsārāpavargāvasthayorna jātucidviparilopo vidyata iti	sva Atma avaBAsinyAH saMsAra apavarga avasTayoH na jAtucit viparilopaH vidyate iti
   / 'sa yathā saindhavaghano 'nantaro 'bāhyaḥ kṛtsno rasaghana eva, evaṃ vā	/ asa yaTA sEnDava GanaH anantaraH abAhyaH kRtsnaH rasa GanaH eva, evam vA
   are ayamātmā anantaro 'bāhyaḥ kṛtsnaḥ prajñānaghanaḥ' tathā, 'svena bhāsā	are ayam AtmA anantaraH abAhyaH kRtsnaH prajQAna GanaH a taTA, asvena BAsA
   svena jyotiṣā' 'ātmajyotiḥ samrāḍiti hovāca' iti /	svena jyotizAa aAtma jyotiH samrAj iti ha uvAca a iti /
   tathāpavargadaśāyāmevacchandogāḥ ' na paśyo mṛtyuṃ paśyati na rogaṃ nota	taTA apavarga daSAyAm eva= CandogAH a na paSyaH mRtyum paSyati na rogam na uta
   duḥkhatām / sarvaṃ ha paśyaḥ paśyati' 'nopajanaṃ smaran' iti, 'sa vā eṣa	duHKa tAm / sarvam ha paSyaH paSyati a anopajanam smarana iti, asa vE eza
   etena daivena cakṣuṣā manasaitān kāmān paśyan ramate' iti ca / anyāśca	etena dEvena cakzuzA manasA etAn kAmAn paSyan ramate a iti ca / anyAH ca
   'jānātyevāyaṃ puruṣaḥ, jñātavyaṃ tu na veda' ityādyāḥ	ajAnAti eva ayam puruzaH, jQAtavyam tu na vedaH a ityAdyAH
   sakalakaraṇoparamadaśāyāmapyātmanaḥ prabodhamabhidadhānāḥ śrutayo	sakala karaNa uparama daSAyAm api AtmanaH praboDam aBidaDAnAH Srutayo
   bodhasvabhāvatāmasya draḍhayanti / 'nirvāṇamaya evāyamātmā jñānamayo	boDa svaBAva tAm asya draXayanti / anirvANa mayaH eva ayam AtmA jQAnam ayaH 
   'mala' ityādi ca purāṇe / 'jyotiṣāmapi tajjyoti'rityādi itihāse / bhagavān	amala a ityAdi ca purANe / ajyotizAm api tad jyoti arityAdi itihAse / BagavAn
   śaunakaśca 	SOnakaH ca 
   "yathā na kriyate jyotsnā malaprakṣālanānmaṇoḥ /	"yaTA na kriyate jyotsnA mala prakzAlanAt maNoH /
   doṣaprahāṇānna jñānamātmanaḥ kriyate tathā //	doza prahANAt na jQAnam AtmanaH kriyate taTA //
   yathodapānakaraṇāt kriyate na jalāmbaram /	yaTA udapAna karaNAt kriyate na jala ambaram /
   sadeva nīyate vyaktimasataḥ sambhavaḥ kutaḥ //	sat eva nIyate vyaktim asataH samBavaH kutas //
   tathā heyaguṇadhvaṃsādavabodhādayo guṇāḥ /	taTA heya guNa DvaMsAt avaboDa AdayaH guNAH /
   prakāśyante na janyante nityā evātmano hi te //"iti /	prakASyante na janyante nityAH eva AtmanaH hi te //"iti /
   ata eva hi sūtrakāraśca 'jño 'ta eva' iti /	atas eva hi sUtrakAraH ca ajQaH atas eva a iti /
   ( iti dharmabhūtajñānanityatvasya śrutyādibhiḥ pratiṣṭhāpanam)	( iti Darma BUta jQAna nitya tvasya Sruti AdiBiH pratizWApanam)
   tadevamātmasvabhāvabhūtasya caitanyasya caitanyasya viṣayasaṃśleṣaviśeṣeṣu	tat evam Atma svaBAva BUtasya cEtanyasya cEtanyasya vizaya saMSleza viSezezu
   niścayasaṃśayādivyavahārabhedaḥ, tattadviśeṣabhāji caitanye vā /	niScaya saMSaya Adi vyavahAra BedaH, tad tad viSeza BAji cEtanye vA /
   caitanyasya viṣayeṇa dṛḍhasaṃyogo hi niścayaḥ; tasyaiva	cEtanyasya vizayeNa dRXa saMyogaH hi niScayaH; tasya eva
   bahubhiryugapadadṛḍhasaṃyogaḥ saṃśayaḥ; jñānavāsanānusāreṇa saṃśleṣaḥ	bahuBiH yuga pada dRXa saMyogaH saMSayaH; jQAna vAsanA anusAreNa saMSlezaH
   smaraṇamityādiḥ / uktaṃ ca 'ātmadharmasya caitanyasya viṣayeṇa saṃyogo	smaraNam ityAdiH / uktam ca aAtma Darmasya cEtanyasya vizayeNa saMyogaH 
   jñānamityucyate' iti / nacaivaṃ saṃyogasyobhayāśritatvena viṣayasyāpi	jQAnam iti ucyate a iti / na ca evam saMyogasya uBaya ASrita tvena vizayasya api
   jñātṛtvaprasaṅgaḥ / viṣayeṇa saṃyogābhāvāt /	jQAtR tva prasaFgaH / vizayeNa saMyoga aBAvAt /
   caitanyena hi tasya saṃyogaḥ, bāhyaprakāśavat / yathā khalu ālokasaṃbandhe	cEtanyena hi tasya saMyogaH, bAhya prakASa vat / yaTA Kalu Aloka saMbanDe
   'pi prakāśe sūryādereva prakāśakatvaṃ na ghaṭādeḥ / atha	api prakASe sUrya AdeH eva prakASaka tvam na Gawa AdeH / aTa
   sūryāditantratvādālokasya sa eva taddharmā tatsaṃbandhenārthāntarasya	sUrya Adi tantra tvAt Alokasya saH eva tat DarmA tad saMbanDena arTa antarasya
   prakāśa (ka) ityucyate, ihāpi tarhi caitanyasyātmadharmatvāttenārthāntaraṃ	prakASa (ka) iti ucyate, iha api tarhi cEtanyasya Atma Darma tvAt tena arTa antaram
   spṛśan sa eva jānātītyupapadyate / tatsiddhaṃ caitanyasvabhāva evāyamātmā	spRSan saH eva jAnAti iti upapadyate / tad sidDam cEtanya svaBAvaH eva ayam AtmA
   ātmānaṃ vidannevāste; anyattu nimittabhedānusāreṇa jānāti na jānāti ceti /	AtmAnam vidan= eva Aste; anyat tu nimitta Beda anusAreNa jAnAti na jAnAti ca iti /
   (iti dharmabhūtajñānasya saṃśayādyavāntarabhedopapādanam)	(iti Darma BUta jQAnasya saMSayAt yavAntara Beda upapAdanam)
   tadevaṃ caitanyasvabhāvaḥ parisphurannapyayamātmā	tat evam cEtanya svaBAvaH parisPuran= api ayam AtmA
   gambhīrajalāśayacaramīnavat jalasaṃsṛṣṭakṣīravacca na vivicya sphuṭaṃ	gamBIra jalASaya cara mIna vat jala saMsRzwa kzIra vat ca na vivicya sPuwam
   cakāstīti tadupapādananyāyānugatāḥ pūrvānumānabhedāḥ vacanāni cādriyante /	cakAsti iti tad upapAdana nyAya anugatAH pUrva anumAna BedAH vacanAni ca Adriyante /
   tairapyaparituṣyanto yamaniyamādiyogā	tEH api aparituzyantaH yama niyama Adi yogA
   ṅgānuṣṭhānakṣapitāśuddhyāvaraṇamalāḥnirodhābhyāsapuṭapākanirdhūtarajastamaḥkalaṅkasattvodrekasamutthasvetarasakalaviṣayavailakṣaṇyāparokṣajñānāya	Fga anuzWAna kzapita aSudDi AvaraNa malAH niroDa aByAsa puwapAka nirDUta rajaH tamaH kalaFka sattva udreka samutTa sva itara sakala vizaya vElakzaNya apar
   prayatante / bhāvanāprakarṣaparyante cāparokṣajñānamudayata iti	prayatante / BAvanA prakarza paryante ca aparokza jQAnam udayate iti
   sarvavādinirvivādamiti na tadupapādanāyādya prayatyate /	sarva vAdi nirvivAdam iti na tad upapAdanAya adya prayatyate /
   atha yadbodhasya svābhāvikatvapratipakṣatayā'gantukatvamuktam, tadanūdya	aTa yat boDasya svABAvika tva pratipakza tayA agantuka tvam uktam, tad anUdya
   pratikṣipati yattu sukhādīti / tadapīti / guṇavṛttaṃ guṇasvabhāvaḥ / sa ca	pratikzipati yat tu suKa Adi iti / tat api iti / guNa vRttaM  guNa svaBAvaH / sa ca
   kaḥ? / tatrāha svarūpopādhaya iti / svarūpopādhitvaṃ svarūpanirūpakatvam /	kaH? / tatra Aha svarUpa upADayaH iti / svarUpa upADi tvam svarUpa nirUpaka tvam /
   tathābhūtānāṃ dharmāṇāṃ yāvadāśrayabhāvitvaṃ svabhāvaḥ / anyeṣāṃ	taTABUtAnAm DarmANAm yAvat ASraya BAvi tvam svaBAvaH / anyezAm
   tvāgantukatvamiti guṇavṛttam / astvevam, tataḥ kim? tatrāha naivamiti /	tu Agantuka tvam iti guNa vRttam / astu evam, tatas kim? tatra Aha na evam iti /
   vaiṣayikasya sukhāderāgantukatvaṃ syādeva / bodhasya	vEzayikasya suKa AdeH Agantuka tvam syAt eva / boDasya
   tvātmasvarūpanirūpakatvādātmanaśca nityatvasya	tu Atma svarUpa nirUpaka tvAt AtmanaH ca nitya tvasya
   sthāpayiṣyamāṇatvānnāgantukatvaṃ sādhayituṃ śakyata iti bāvaḥ //42//	sTApayizyamANa tvAt na Agantuka tvam sADayitum Sakyate iti bAvaH //42//
   yathā ceti / bodhopādhiriti bahuvrīhiḥ /	yaTA ca iti / boDa upADiH iti bahuvrIhiH /
   jñānābhinnasvarūpanirūpakadharmaka ātmapadārtha ityarthaḥ /	jQAna aBinna svarUpa nirUpaka DarmakaH Atma padArTaH iti arTaH /
   jñānavattvenaivopalabhyamānatvayuktayā bodhopādhitvamātmanaḥ samarthitam /	jQAnavat tvena eva upalaByamAna tva yuktayA boDa upADi tvam AtmanaH samarTitam /
   viṣayasaṃbandhakādācitkatvādviṣayoparaktajñānasya kādācitkatvapratītāvapi	vizaya saMbanDaka AdAcitka tvAt vizaya uparakta jQAnasya kAdAcid katva pratItO= api
   jñānasvarūpaṃ nityameveti bhāvaḥ / yadyapi jñānasyātmasvabhāvatve nityatve	jQAna svarUpam nityam eva iti BAvaH / yadi api jQAnasya Atma svaBAva tve nitya tve
   ca śāstramagre pramāṇīkariṣyate / athāpi yuktipradhānatvātprakaraṇasyāsya	ca SAstram agre pramANIkarizyate / aTa api yukti praDAna tvAt prakaraNasya asya
   yuktireva puraskṛteti bodhyam / anena jñānasyāgantukatvānumāne	yuktiH eva puraskRtA iti boDyam / anena jQAnasya Agantuka tva anumAne
   svūrūpanirūpakadharmabhinnatvamupādhirityuktaṃ bhavati / atha tatra	svU rUpa nirUpaka Darma Binna tvam upADiH iti uktam Bavati / aTa tatra
   nidarśane hetvāsiddhimapyāha sukheti / anukūlapratikūlajñānānyeva	nidarSane hetvAsidDim api Aha suKa iti / anukUla pratikUla jQAnAni eva
   rāddhānte	rAdDa ante
   sukhaduḥkharūpāṇi/ teṣāṃ ca pakṣāntarbhāvānna nidarśanatā /	suKa duHKa rUpANi/ tezAm ca pakza antarBAvAt na nidarSana tA /
   jñānaviśeṣātirikte ca sukhaduḥkhe karaṇapāṭavāpāṭavalakṣaṇe / tayośca	jQAna viSeza atirikte ca suKa duHKe karaNa pAwavA pAwava lakzaNe / tayoH ca
   nātmaguṇatvamiti hetvāsiddhirdṛṣṭānta iti bhāvaḥ / antimeti /	na Atma guNa tvam iti hetvA sidDiH dRzwAntaH iti BAvaH / antimeti /
   svataḥsukhītyetadaṃśasamarthanāvasara ityarthaḥ / nanvevamapi	svatas suKI iti etad aMSa samarTana avasaraH iti arTaH / nanu evam api
   rāgāderdṛṣṭāntatā syāt, ātmaviśeṣaguṇatvādāgantukatvāccetyatrāha rāgeti /	rAga AdeH dRzwAnta tA syAt, Atma viSeza guNa tvAt Agantuka tvAt ca iti atra Aha rAga iti /
   manovṛttibhedā rāgādayo nātmadharmāḥ /	manaH vRtti BedAH rAga AdayaH na Atma DarmAH /
   kintvagnidharmasyauṣṇyādestatsaṃsṛṣṭasthālyāmiva manodharmāṇāmātmani	kintu agni Darmasya OzNya AdeH tad saMsRzwa sTAlyAm iva manaH DarmANAm Atmani
   kevalaṃ pratītiḥ / tathā coktaṃ "nirvāṇamaya evāyamātmā jñānamayo 'malaḥ /	kevalam pratItiH / taTA ca uktam "nirvANa mayaH eva ayam AtmA jQAna mayaH amalaH /
   duḥkhājñānamalā dharmāḥ prakṛteste na cātmanaḥ//" iti bhāvaḥ /	duHKa ajQAna malAH DarmAH prakRteH te na ca AtmanaH//" iti BAvaH /
   rāgāderantaḥkaraṇadharmatvaṃ śrutyāmapi pratīyata ityāha vijñāyata iti /	rAga AdeH antaHkaraNa Darma tvam SrutyAm api pratIyate iti Aha vijQAyate iti /
   asminnarthe bhagavadvacanamapi saṃvādayati gīyate ceti /	asmin= arTe Bagavat vacanam api saMvAdayati gIyate ca iti /
   kṣetrāśritatvādantaḥkaraṇasya taddharmā rāgadayaḥ kṣetradharmatvenoktāḥ /	kzetra ASrita tvAt antaHkaraNasya tad DarmAH rAga dayaH kzetra Darma tvena uktAH /
   nanvatra cetanādhṛtirityapi / paṭhyate / ato bodhasyāpi	nanu atra cetanA DRtiH iti api / paWyate / atas boDasya api
   nātmadharmatvamityatrāha cetanādhṛtiriti / cetaneti dhṛtiriti ca na	na Atma Darma tvam iti atra Aha cetanA DRtiH iti / cetanA iti DRtiH iti ca na
   padadvayam / kintu cetanādhṛtiriti samastam / cetanena,cetanayā vā	pada dvayam / kintu cetanA DRtiH iti samastam / cetanena, cetanayA vA
   ādhṛtiryasyeti cetanādhāryaṃ niyamataḥ śarīramiti śarīralakṣmocyate 'treti	ADRtiH yasya iti cetanA DAryam niyamataH SarIram iti SarIra lakzmA ucyate atra iti
   bhāvaḥ / tadāha svavṛttīti / vṛttiḥ sattā, pravṛttirvā /	BAvaH / tat Aha sva vRtti iti / vRttiH sattA, pravRttiH vA /
   pravartamānam prakarṣeṇa vartamānaṃ labdhasthitikam; pravṛttimadvā /	pravartamAnam  prakarzeNa vartamAnam labDa sTiti kam; pravRttimat vA /
   ātmacaitanyasambandhādhīnasvasattāpravṛttisāmānyakaṃ śarīramiti	Atma cEtanya sambanDa aDIna sva sattA pravRtti sAmAnyakam SarIram iti
   phalitor'thaḥ / idameva śarīralakṣma sādhu /	Palitor aTaH / idam eva SarIra lakzma sADu /
   karacaraṇādimattvādilakṣaṇānāmavyāptyādidoṣāditi hṛdaye nidhāya	kara caraNa Adi mattva Adi lakzaNAnAm avyApti Adi dozAt iti hRdaye niDAya
   pṛthivyādīnāṃ paramātmaśarīratvaparaśrautavacanānyupādatte ata eveti /	pRTivI AdInAm paramAtma SarIra tva para SrOta vacanAni upAdatte atas eva iti /
   bhagavatsaṅkalpātmakajñānenaiva labdhasvarūpasthitipravṛttikatvātsarvasya	Bagavat saFkalpa Atmaka jQAnena eva labDa svarUpa sTiti pravRttika tvAt sarvasya
   taccharīratvaṃ śośruyate mukhyameveti bhāvaḥ /	tat SarIra tvam SoSruyate muKyam eva iti BAvaH /
   kimiti / nanvantaḥkaraṇadharmeṣu dhīrapi paṭhyate / tanna	kim iti / nanu antaHkaraNa Darmezu DIH api paWyate / tat na
   bodhasyātmasvabhāvatvamiti garbhitaṃ codyamatra / pariharati utprekṣeti /	boDasi a Atma svaBAva tvam iti garBitam ca udyam atra / pariharati utprekza iti /
   cittavṛttiviśeṣeṣu utprekṣā dhīrityucyata ityarthaḥ / yadyapi	citta vRtti viSezezu utprekzA DIH iti ucyate iti arTaH / yadi api
   kāmādikānāmapi matamātmadharmatvam / paraṃ naite svābhāvikā ātmanaḥ, kintu	kAma AdikAnAm api matam Atma Darma tvam / param na ete svABAvikAH AtmanaH, kintu
   karmādyupādhinibandhanāḥ / kāmāditattadbuddhivṛttihetuvyāpāravattayā ca	karma Adi upADi nibanDanAH / kAma Adi tad tad budDi vRtti hetu vyApAravat tayA ca
   manasastattadabhedanirdeśa aupacārikaḥ śrutau kṛta iti siddhāntaḥ /	manasaH tad tad aBeda nirdeSaH OpacArikaH SrutO kRtaH iti sidDAntaH /
   athāpyavasthāviśeṣaviśiṣṭasya jñānasyaiva rāgādirūpatayā	aTa api avasTA viSeza viSizwasya jQAnasya eva rAga Adi rUpa tayA
   jñānakādācitkatvānumāne	jQAna kAdAcit katva anumAne
   na rāgāderdṛṣṭantatā saṃbhavati / naca viśiṣṭanidarśanena	na rAga AdeH dRzwanta tA saMBavati / na ca viSizwa nidarSanena
   jñānamātrasyāgantukatvaṃ sādhyamiti vācyam /	jQAna mAtrasya Agantuka tvam sADyam iti vAcyam /
   avasthāviśiṣṭasyaivopalabhyamānatayāviśiṣṭejñānamātre	avasTA viSizwasya eva upalaByamAna tayA viSizwa ijQAna mAtre
   āgantukatvasādhanāyogāt / tasya śrutisiddhatve ca tannityatvamapi	Agantuka tva sADana ayogAt / tasya Sruti sidDa tve ca tat nitya tvam api
   śrutisiddhameveti dharmigrāhakamānabādhaḥ /	Sruti sidDam eva iti Darmi grAhaka mAna bADaH /
   asato 'vasthāyogena ca jñānanityatvameva yuktimaditi hārdam / yathāśrutaṃ	asataH avasTA yogena ca jQAna nitya tvam eva yuktimat iti hArdam / yaTASrutam
   tvabhyupagamavādena / jñānanityatve śrutimudāharati śrūyate hīti /	tu aByupagama vAdena / jQAna nitya tve Srutim udAharati SrUyate hi iti /
   vijñātitvadṛṣṭitvādyavasthābhājo jñānasvarūpasya nityatvamatra vivakṣitam	vijQAti tva dRzwi tva Adi avasTA BAjaH jQAna svarUpasya nitya tvam atra vivakzitam
   / viparilopaḥ vināśaḥ / nanvatrāvināśitvamevoktam, nānādyanantatvaṃ	/ viparilopaH  vinASaH / nanu atra avinASi tvam eva uktam, nAnA Adi ananta tvam
   jñānasyetyatrāha jñāturiti / svarūpanirūpakatvena	jQAnasya iti atra Aha jQAtuH iti / svarUpa nirUpaka tvena
   nityātmasvarūpaprayuktasya jñānasya purātanatvamapi phalatīti bhāvaḥ / na	nitya Atma svarUpa prayuktasya jQAnasya purAtana tvam api Palati iti BAvaH / na
   ceti / abhedena dṛṣṭiviśeṣaṇatvaṃ draṣṭṛpadasya na yuktaṃ, tathāsati	ca iti / aBedena dRzwi viSezaNa tvam drazwR padasya na yuktaM, taTA asati
   draṣṭhyā iti strīliṅganirdeśena hi bhāvyamiti bhāvaḥ /	drazWyAH iti strI liFga nirdeSena hi BAvyam iti BAvaH /
   śabdavirodhamuktvārthavirodhamāha hetośceti / sādhyasamatvam asiddhatvam /	Sabda viroDa muktvA arTa viroDam Aha hetoH ca iti / sADya sama tvam  a sidDa tvam /
   sarvakālavartamānatālakṣaṇanityatvarūpasādhyasyevāvināśitvarūpahetorapyasiddhirityarthaḥ	sarva kAla vartam Ana tA lakzaNa nitya tva rUpa sADyasya iva avinASi tva rUpa hetoH api asidDiH iti arTaH
   / avināśitvasyaiva sādhyatayā tasyaiva hetutvāyoga iti vā /	/ avinASi tvasya eva sADya tayA tasya eva hetu tva ayogaH iti vA /
   arthāntaraparatvamāśaṅkya pariharati draṣṭuriti / atra yojanāyāṃ	arTa antara para tvam ASaFkya pariharati drazwuH iti / atra yojanAyAm
   dṛṣṭipadaṃ bhāvapradhānam / jñānatvāyogavyavacchedo draṣṭuḥ sādhyaḥ / atra	dRzwi padam BAva praDAnam / jQAna tva ayoga vyavacCedaH drazwuH sADyaH / atra
   cāprayojakatvena hetorahetutvam asādhakatvaṃ duṣpariharamiti bāvaḥ /	ca aprayojaka tvena hetoH ahetu tvam  a sADaka tvam duzpariharam iti bAvaH /
   svapakṣeti / ātmano jñānarūpatvopagama āgantukajñānavādino	svapakza iti / AtmanaH jQAna rUpa tva upagamaH Agantuka jQAna vAdinaH 
   'pasiddhāntaścetyarthaḥ / advaityabhimate ca niruktaśrutyarthe	apasidDAntaH ca iti arTaH / advEti aBimate ca nirukta Sruti arTe
   dūṣaṇamatrābhimatam / yathā jñāturjñānasvarūpānatireke sādhye	dUzaNam atra aBimatam / yaTA jQAtuH jQAna svarUpa anatiH eke sADye
   vyadhikaraṇāsiddhatvenātmanityatvasyāhetutvam / jñāturahamartha	vyaDikaraNa asidDa tvena Atma nitya tvasya ahetu tvam / jQAtuH aham arTa
   syātmatvāvināśitvopagame cāpasiddhinta iti / niruktaśruterabhimatamarthaṃ	sya Atma tva avinASi tva upagame cApa sidDinte iti / nirukta SruteH aBimatam arTam
   vaktuṃ viṣayaṃ viśodhayati vākyadvayena ātmanastviti, nahi satīti ca /	vaktum vizayam viSoDayati vAkya dvayena AtmanaH tu iti, nahi sati iti ca /
   nityātmasvarūpanirūpakadharmatvaṃ jñānasya nityatve heturvākyadvayena	nitya Atma svarUpa nirUpaka Darma tvam jQAnasya nitya tve hetuH vAkya dvayena
   samasūci / atha śrutivākyārthamāha teneti / draṣṭuriti	sama sUci / aTa Sruti vAkya arTam Aha tena iti / drazwuH iti
   vyadhikaraṇaviśeṣaṇaṃ dṛṣṭerjñānasya dharmabhūtasya / ātmano nityatva	vyaDikaraNa viSezaNam dRzweH jQAnasya Darma BUtasya / AtmanaH nitya tva
   mavināśitvādātmana ityuktam / draṣṭuriti	mavinASi tvAt AtmanaH iti uktam / drazwuH iti
   dharminirdeśāccātmasvarūpanirūpakadharmatvaṃ jñānasya siddham / tathā ca	Darmi nirdeSAt ca Atma svarUpa nirUpaka Darma tvam jQAnasya sidDam / taTA ca
   phalitaṃ hetumāha ātmasvabhāvabhūtāyā iti / nityātmasvabhāvatvaṃ hetuḥ /	Palitam hetum Aha Atma svaBAva BUtAyAH iti / nitya Atma svaBAva tvam hetuH /
   etena vyadhikaraṇāsiddhiśaṅkā nirastā / viṣayaviśeṣa	etena vyaDikaraNa asidDi SaFkA nirastA / vizaya viSeza
   saṃbandhaprakāraḥ indriyādidvārakaprasṛtibhedādhīnacaitanyārthasaṃbandhav	saMbanDa prakAraH indriya Adi dvAraka prasRti Beda aDIna cEtanya arTa saMbanDav
   iśeṣalakṣaṇaḥ, tena prāpto dṛṣṭyādivyapadeśo yayeti samāsaḥ /	iSeza lakzaNaH, tena prAptaH dRzwi Adi vyapadeSaH yayA iti samAsaH /
   dṛṣṭiścākṣuṣamadhyakṣam / ghrātirghrāṇajam / rasayatiḥ rāsanam /	dRzwiH cAkzuzam aDyakzam / GrAtiH GrANa jam / rasayatiH rAsanam /
   vaktiḥ śābdaṃ jñānam / śrutiḥ śrāvaṇamadhyakṣam / matiranumānam /	vaktiH Sa abdam jQAnam / SrutiH SrAvaNam aDyakzam / matiH anumAnam /
   spṛṣṭiḥ spārśanamadhyakṣam / vijñātirupāsanam, yogajaḥ sākṣātkāro vā /	spRzwiH spArSanam aDyakzam / vijQAtiH upAsanam, yoga jaH sAkzAtkAraH vA /
   svātmāvabhāsinyāḥ svaprakāśāyāḥ / jñānasyātmasvabhāvatve nityatve cānyā	sva Atma avaBAsinyAH sva prakASAyAH / jQAnasya Atma svaBAva tve nitya tve ca anyA
