   śrīmadarcaṭaviracitā	SrImat arcawa viracitA
   iti hetvabhāvo [S. 203b.] vā ity asya samarthanam | tataś ca hetvābhāsās	iti hetu aBAvaH [S. 203b.] vA iti asya samarTanam | tatas ca hetvABAsAH 
   tato 'pi ity atrāpi yojitam iti |	tatas api iti atra api yojitam iti |
       syān matam    yasya pratiyogī dṛśyate tasyaiva pratihetubhāvāt	syAt matam   yasya pratiyogI dRSyate tasya eva pratihetu BAvAt 
   ahetutvaṃ bhavatu, yasya tu pratiyogī hetur na dṛśyate sa vastuta	ahetu tvam Bavatu, yasya tu pratiyogI hetuH na dRSyate sa vastuta
   evāsambhavat pratihetuḥ | na hi tatra vastutaḥ pratihetusambhavaḥ	eva asamBavat pratihetuH | na hi tatra vastutas pratihetusamBavaH
   śaṅkyate, bādhakapratyayam antareṇa bādhāśaṅkāyā ayogāt | tad uktam   	SaFkyate, bADaka pratyayam antareNa bADA SaFkAyAH ayogAt | tat uktam   
       bādhājñāne tv anutpanne nāśaṅkāniṣpramāṇikā iti |	bADA jQAne tu anutpanne na ASaFkA nizpramANikAH iti |
   {p. 215.1} ata āha    tulye lakṣaṇe hi ityādi | śaṅyamānapratihetunā	{p. 215.1} atas Aha   tulye lakzaNe hi ityAdi | SaFyamAna pratihetunA
   tulyaṃ lakṣaṇaṃ darśanādarśanamātranimittāvinābhāvarūpaṃ yasya tasmin	tulyam lakzaNam darSana adarSana mAtra nimitta avinA BAva rUpam yasya tasmin
   dṛṣṭaḥ pratiyoginaḥ [T. 363b.] pratihetor bbādhakasya sambhava sa yeśām	dRzwaH pratiyoginaH [T. 363b.] pratihetoH bbADakasya samBava sa yeSAm
   api tattulyalakṣaṇānāṃ pratiyogī na dṛśyate teṣv api śaṅkāṃ	api tad tulya lakzaNAnAm pratiyogI na dRSyate tezu api SaFkAm
   pratihetusambhavaviṣayām utpādayati | kiṃ kāraṇam? | adṛṣṭapratiyogino	pratihetu samBava vizayAm utpAdayati | kim kAraNam? | adRzwa pratiyoginaH 
   dṛṣṭapratiyogino viśeṣābhāvāt | na hi tasyetareṇa kaścidviśeṣo 'sti, yatas	dRzwa pratiyoginaH viSeza aBAvAt | na hi tasya itareNa kaScid viSezaH asti, yatas 
   tatsambhavo na śaṅkyeta | puruṣaśaktivaikalyādinā tu	tad samBavaH na SaFkyeta | puruza Sakti vEkalya AdinA tu
   tadadarśanaṃ[744]sambhāvyeteti kim ucyate `nāśaṅkā niḥpra(ṣpra)māṇikā` iti	tad adarSanaM[744] samBA vi eta iti kim ucyate `nASaFkA niHpra(zpra)mANikA` iti
   | atha viśeṣaḥ pratibandhalakṣaṇo 'vinābhāvaniścāyako dṛṣṭapratihetor	| aTa viSezaH pratibanDa lakzaNaH avinA aBAva niScAyakaH dRzwa pratihetor
   adṛṣṭapratiyogina iṣyate yataḥ pratiyogisambhavāśaṅkā 'stam upaiti | [S.	adRzwa pratiyoginaH izyate yatas pratiyogi samBava ASaFkA astam upEti | [S.
   204a.] tadā sati vā viśeṣe sa viśeṣo hetor lakṣaṇam | kiṃ kāraṇam? | yatas	204a.] tadA sati vA viSeze sa viSezaH hetoH lakzaNam | kim kAraNam? | yatas 
   tato viśeṣād dhetur ekāntena niścayena nirastapratipakṣas tathāvidhe	tatas viSezAt DetuH ekAntena niScayena nirasta pratipakzaH taTAviDe
   dharmiṇi pratihetvasambhavāt svasādhyaṃ niścāyayatīti | yas tathāvidho na	DarmiNi pratihetu asamBavAt sva sADyam niScAyayati iti | yaH taTAviDaH na
   bhavati tadviśeṣavirahāt dṛṣṭapratihetuḥ so 'tallakṣaṇo na hetuḥ syāt |	Bavati tad viSeza virahAt dRzwa pratihetuH saH atad lakzaNaH na hetuH syAt |
   tathā ca yadi nāmā 'hetau pratihetur dṛṣṭo, hetoḥ kim āyātam, yena	taTA ca yadi nAmA ahetO pratihetuH dRzwaH , hetoH kim AyAtam, yena
   tannivṛttaye tatraikasaṃkhyāvivakśā kriyate, yathoktāvinābhāvavacanenaiva	tad nivRttaye tatra eka saMKyA vivakSA kriyate, yaTA ukta AvinA BAva vacanena eva
   tannivṛtter ity āha    tathāca hetau tadviśeṣayogini pratihetvasambhave	tad nivRtteH iti Aha   taTA ca hetO tad viSeza yogini pratihetu asamBave
   sati vyarthā niṣprayojanam ekasaṃkhyāvivakṣeti | [T. 364a.]	sati vyarTAH nizprayojanam eka saMKyA vivakzA iti | [T. 364a.]
   yathoktaviśeṣāṅgīkaraṇe tallakṣaṇasya pratihetor asambhavāt	yaTA ukta viSeza aFgIkaraNe tad lakzaNasya pratihetoH asamBavAt 
   kasyaikasaṃkhyāvivakṣayā vyavacchedaḥ kriyate? yato 'sya kāryakatvaṃ syād	kasya eka saMKyA vivakzayA vyavacCedaH kriyate? yatas asya kAryaka tvam syAt 
   iti |	iti |
       viruddhāvyabhicāriṇaś ca hetvābhāsasya vyavacchedārtham	virudDa avyaBicAriNaH ca hetvABAsasya vyavacCeda arTam
   ekasaṃkhyāvivakṣā hetulakṣaṇe kriyate | vastuto 'sambhavat	eka saMKyA vivakzA hetu lakzaNe kriyate | vastutas asamBavat 
   pratihetutvasiddhye ca pratibandhalakṣaṇe viśeṣe hetāv iṣyamāṇe	pratihetu tva sidDye ca pratibanDa lakzaNe viSeze hetO izyamANe
   viruddhāvyabhicāry api hetvābhāso na [S. 204b.] bhavati | tato	virudDa avyaBicArI api hetvABAsaH na [S. 204b.] Bavati | tatas 
   vyavacchedyābhāvāt kim ekasaṃkhyāvivakṣayā? iti darśayann āha    ataḥ	vyavacCedya aBAvAt kim eka saMKyO= ivakzayA? iti darSayan Aha   atas 
   pratibandhalakṣaṇaviśeṣopagamāt viruddhāvyabhicāriṇo hetvābhāsasya	pratibanDa lakzaNa viSeza upagamAt virudDa avyaBicAriNaH hetvABAsasya
   yallakṣaṇaṃtad dhīyeta na sambhavet | kiṃ punas tadviruddhāvyabhicāriṇo	yat lakzaNaMtat DIyeta na samBavet | kim punar tad virudDa avyaBicAriNaH 
   lakṣaṇam? ity āha    svalakṣaṇa ityādi | hetor yadātmīyaṃ lakṣaṇaṃ	lakzaNam? iti Aha   sva lakzaNaH ityAdi | hetoH yat A AtmIyam lakzaNam
   tadyuktayor hetvor {p. 216.1}ekatra dharmiṇi virodhena	tad yuktayoH hetvoH {p. 216.1}ekatra DarmiNi viroDena
   parasparaviruddhasādhyasādhakatvenopanipāte sati viruddhāvyabhicārīti	paraspara virudDa sADya sADaka tvena upanipAte sati virudDa avyaBicAri iti
   viruddhāvyabhicāriṇo lakṣaṇam | na ca tat pratibandhāṅgīkaraṇe sati	virudDa avyaBicAriNaH lakzaNam | na ca tat pratibanDa aFgIkaraNe sati
   sambhavati | na hi tādātmyatadutpattibhyāṃ svasādhyapratibandhavaty ekatra	samBavati | na hi tAdAtmya tad utpattiByAm svasADya pratibanDavatI ekatra
   hetau kvaciddharmiṇi saṃbhavati dvitīyas tallakṣaṇas tatraiva hetuḥ	hetO kvacid DarmiNi saMBavati dvitIyaH tad lakzaNaH tatra eva hetuH
   sambhavet, [T. 364b.] bhāvānāṃ viruddhasvabhāvadvayāsambhavāt,	samBavet, [T. 364b.] BAvAnAm virudDa svaBAva dvaya asamBavAt,
   viruddhadharmādhyāsasya bhedalakṣaṇatvāt | tadavyabhicāriṇo hetor	virudDa Darma aDyAsasya Beda lakzaNa tvAt | tat avyaBicAriNaH hetoH 
   dvitīyasya tatra kutaḥ sambhavāvakāśa iti |	dvitIyasya tatra kutas samBava avakASaH iti |
       nanu yadi tathāvidhaviśeṣasambhave [S. 205a.] sati	nanu yadi taTAviDa viSeza samBave [S. 205a.] sati
   viruddhāvyabhicārilakṣaṇaṃ hīyate, ekasaṃkhyāvivakṣā vā vyārthā, tathāpi	virudDa avi aBicAri lakzaNam hIyate, eka saMKyA vivakzA vA vyArTA, taTA api
   naiva hetvabhāvaprasaṅgaḥ, tat kim uktaṃ hetvabhāvo vety ata āha    na ca	na eva hetu aBAva prasaFgaH, tat kim uktam hetu aBAvaH vA iti atas Aha   na ca
   naiva tasya viśeṣasya pratibandhalakṣaṇasya, yato vastuto 'sambhavat	na eva tasya viSezasya pratibanDa lakzaNasya, yatas vastutas asamBavat 
   pratihetutvaṃ niścīyate | svarūpaṃ tādātmyatadutpattilakṣaṇaṃ nirddeśyate	pratihetu tvam niScIyate | svarUpam tAdAtmya tad utpatti lakzaNam nirddeSyate
   bhavadbhiḥ yathā 'smābhir nirdiṣṭaṃ ydrūpaṃ pratītya pratipadya	BavadBiH yaTA asmABiH nirdizwam ydrUpam pratItya pratipadya
   pratiyoginaḥ sambhavāsambhavāu utpaśyāmaḥ | yatra sa viśeṣo nāsti tatra	pratiyoginaH samBava asamBavAu utpaSyAmaH | yatra sa viSezaH na asti tatra
   pratiyoginaḥ sambhavaḥ kalpita āgamāśraye 'numāne | yatra tv asti sa	pratiyoginaH samBavaH kalpitaH Agama ASraye anumAne | yatra tu asti sa
   viśeṣo vastubalapravṛtte 'numāne tatra pratiyogino 'sambhava iti yata evaṃ	viSezaH vastu bala pravRtte anumAne tatra pratiyoginaH asamBavaH iti yatas evam
   tasmān nāsty eva bhavatāṃ sa viśeṣaḥ    bhavadbhir na jñāyata eva sa	tasmAt na asti eva BavatAm sa viSezaH   BavadBiH na jQAyate eva sa
   viśeṣa ^1iti    tasmāt[745]sarvatra yatrāpi pratiyogī na dṛśyate tatrāpi	viSeza ^1iti   tasmAt [745]sarvatra yatra api pratiyogI na dRSyate tatra api
   ṣāṅkyā pratiyogiviṣayayā bhavitavyam | tām eva śaṅkhāṃ draḍhyann āha   	zAFkyA pratiyogi vizayayA Bavitavyam | tAm eva SaFKAm draXyan Aha   
   dṛṣṭapratihetor api ityādi | yasyāpi [S. 205b.] hi pratihetur dṛṣṭas	dRzwa pratihetoH api ityAdi | yasya api [S. 205b.] hi pratihetuH dRzwa s
   tasyāpi prāk pratiyogidarśanād itareṇa sarvakālam adṛṣṭapratiyoginā kaścid	tasya api prAk pratiyogi darSanAt itareNa sarvakAlam adRzwa pratiyoginA kaScid 
   viśeṣo lakṣyate [T. 365a.] yaddarśanāj jñāyeta `atra pratiyogī sambhavati	viSezaH lakzyate [T. 365a.] yad darSanAt jQAyeta `atra pratiyogI samBavati
   nyānyatra` iti darśanādarśanamātranibandhanayor anvayavyatirekayoḥ	nyAnyatra` iti darSana adarSana mAtra nibanDanayoH anvaya vyatirekayoH
   sarvatra samānatvāt | tathāpi paścāt tatra pratiyogī dṛṣṭa iti sarvatra	sarvatra samAna tvAt | taTA api paScAt tatra pratiyogI dRzwaH iti sarvatra
   tattulyalakṣaṇe pratiyogisadbhāvaśaṅkā na vivarttata iti |	tad tulya lakzaNe pratiyogi sadBAva SaFkA na vivarttate iti |
       syān matam    yeṣu pratiyogī sambhavati teṣvaśyam eva kadācid asāv	syAt matam   yezu pratiyogI samBavati tezu aSyam eva kadAcid asO= 
   upalabhyate | yeṣu tu puruṣāyuṣeṇāpi nopalabhyate trṣv asau {p. 217.1}	upalaByate | yezu tu puruza AyuzeNa api na upalaByate trzu asO {p. 217.1}
   nāsty eva | tataḥ sa tathāvidho hetur bhaviṣyati, tat kathaṃ hetvabhāvo	na asti eva | tatas sa taTAviDaH hetuH Bavizyati, tat kaTam hetu aBAvaH 
   'smākam? ity ata āha    na ca ityādi | yeṣām api hi pratihetuḥ sambhavati	asmAkam? iti atas Aha   na ca ityAdi | yezAm api hi pratihetuH samBavati
   teṣām api naiva sarvadā tasya pratihetor upalabdhiḥ pratipattṛṛṇām | na hy	tezAm api na eva sarvadA tasya pratihetoH upalabDiH pratipad tRRNAm | na hi 
   asarvadarśinām upalabdhiḥ sarvabhāvasattāṃ vyāpnoti,	asarva darSinAm upalabDiH sarva BAva sattAm vyApnoti,
   pratibandhavaikalyasadbhāvāt | nanu ca yatra sarvadaiva pratipatrā(ttrā)	pratibanDa vEkalya sadBAvAt | nanu ca yatra sarvadA eva pratipatra A(ttrA)
   pratiyogī na dṛśyate tatra tadāśaṅkā [S. 206a.] kathaṃ kriyate? | tathā	pratiyogI na dRSyate tatra tad ASaFkA [S. 206a.] kaTam kriyate? | taTA
   cāha   	ca Aha   
                bādha(dhā)jñāne tv anutpanne nāśaṅkāniṣpramāṇikā iti |	bADa( DA)jQAne tu anutpanne na ASaFkA nizpramANikAH iti |
   tathā 'param   	taTA aparam   
   śiṣyaparamparayākumārilotpādāt prāgdṛṣṭapratiyogiṣūpanyasteṣu, tenaiva	Sizya paramparayA kumArila utpAdAt prAk dRzwa pratiyogizu upanyasta izu, tena eva
   prajñātiśayaśāktinā pratihetava utprekṣitāḥ tatas taddarśanāt yāvaj jīvaṃ	prajQA atiSaya SAktinA pratihetavaH utprekzitAH tatas tad darSanAt yAvat jIvam
   adṛṣṭapratihetuṣv api tadāśaṅkā nivarttate |tataḥ katham āśaṅkā	adRzwa pratihetuzu api tad ASaFkA nivarttate |tatas kaTam ASaFkA
   niṣpramāṇikocyate? | tulyalakṣaṇe hi ityādikam api	nizpramANikA ucyate? | tulya lakzaNe hi iti Adikam api
   pratiyogisambhavāśaṅkākāraṇam uktam eva | na ca pratiyogisambhavam	pratiyogi samBava ASaFkA kAraNam uktam eva | na ca pratiyogi samBavam
   āśaṅkamānas tannimittasaṃbhavāt `utprekṣeta hi` ityādyākrośamātrea	ASaFkamAnaH tad nimitta saMBavAt `utprekzeta hi` iti Adi AkroSa mAtrea
   nivarttayituṃ śakyate | tenāsya[747]pratiyogyāśaṅkāpanodakṣaṃ kiñcit	nivarttayitum Sakyate | tena Asya [747] pratiyogyASaFkA apanodakzam kiQcid 
   kāraṇam abhidhānīyam yathā 'smābhir abhihitaṃ `svabhāvahetor viparyaye	kAraNam aBiDAnIyam yaTA asmABiH aBihitam `svaBAva hetoH viparyaye
   bādhakapramāṇavaśād ātmyaniścaye saty anvayavyatirekayos tatra nirṇaya;	bADaka pramANa vaSAt Atmya niScaye sati anvaya vyatirekayoH tatra nirNaya;
   [S. 206b.] kāryahetau ca yathoktapratyakṣānupalambhataḥ kāryakāraṇasiddhes	[S. 206b.] kArya hetO ca yaTA ukta pratyakza anupalamBataH kArya kAraNa sidDeH 
   tanniścaya` iti | yata evaṃ sarvatra pratiyogyāśaṅkā na nivarttate bhavad	tat niScaya` iti | yatas evam sarvatra pratiyogi ASaFkA na nivarttate Bavat 
   darśane tena kāraṇāniścayaḥ pratiyoginaḥ sambhavayoḥ `iha pratiyogī	darSane tena kAraNA niScayaH pratiyoginaH samBavayoH `iha pratiyogI
   sambhavati iha tu na sambhavati` ity evaṃrūpa ^4iti    tasmād[748]vastuto	samBavati iha tu na samBavati` iti evaMrUpa ^4iti   tasmAt [748]vastuto
   'sambhavat pratihetutvaṃ {p. 218.1} yallakṣaṇam hetoḥ [T. 366a.]	asamBavat pratihetu tvam {p. 218.1} yat lakzaNam hetoH [T. 366a.]
   tasyāniścitatvād ekasaṃkhyāvivakśāv ādināṃ na kaściddhetuḥ syāt | na hy	tasya aniScita tvAt eka saMKyA vivakSO AdinAm na kaScid hetuH syAt | na hi 
   aniścitalakṣaṇo hetur bhavatīty upasaṃhāra iti |	aniScita lakzaNaH hetuH Bavati iti upasaMhAraH iti |
       tad evaṃ `kiṃ yo vastuto 'sambhavatpratihetuḥ sa	tat evam `kim yaH vastutas asamBavat pratihetuH sa
   samyagjñānaviparyayahetur iṣṭaḥ` iti amuṃ vikalpaṃ nirākṛtya dvitīyaṃ	samyak jQAna viparyaya hetuH izwaH` iti amum vikalpam nirAkRtya dvitIyam
   vikalpaṃ nirācikīrṣur āha    athāpradarśitapratihetuḥ	vikalpam nirAcikIrzuH Aha   aTa apradarSita pratihetuH
   samyagjñānaviviparyayahetur iṣṭa iti sambandhaḥ | ayaṃ ca pakṣaḥ	samyak jQAna viviparyaya hetuH izwaH iti sambanDaH | ayam ca pakzaH
   kiladiṅnāgācāryasyāpy abhimata iti para upadarśayann āha    yathāha	kila diFnAga AcAryasya api aBimataH iti paraH upadarSayan Aha   yaTA Aha
   diṅnāgācāryaḥ | kim āha? yadātarhi ityādi | śrāvaṇatvasya hi na	diS nAga AcAryaH | kim Aha? yadAtarhi ityAdi | SrAvaNa tvasya hi na
   kathañcidvyavacchedahetutvam iti diṅnāgācāryeṇokte pareṇābhihitam   	kaTaQcid vyavacCeda hetutvam iti diS nAga AcAryeNa ukte pareNa aBihitam   
   yadātarhivaiyākāraṇaḥśabdatvaṃsāmānyaviśeṣaṃnityam abhyupagacchati	yadAtarhi vEya akAraNaH Sabda tvaMsAmAnya viSezaMnityam aByupagacCati
   tadā'yaṃśrāvaṇatvalakṣaṇaḥpakṣadharmaḥhetur eva syāt |	tadA ayaMSrAvaNa tva lakzaNaH pakza DarmaH hetuH eva syAt |
   nityaḥśabdaḥśrāvaṇatvātśabdatvavat ity evaṃ pareṇokte satyācāryeṇoktam   	nityaH SabdaH SrAvaNa tvAt Sabda tva vat iti evam pareNa ukte satya AcAryeNa uktam   
   yady atraśabdākhye dharmiṇy	yadi atra Sabda AKye DarmiNy
   anityatvahetuṃkṛtakatvaprayatnānantarīyakatvādilakṣaṇaṃ kaścidvaiśeṣikādir	anitya tva hetuMkRtaka tva prayatna AnantarIyaka tva Adi lakzaNam kaScid vESezika AdiH 
   na darśayet[749] tadā'yam pradarśitapratihetur hetur eva bhavet iti |	na darSayet[749] tadA ayam pradarSita pratihetuH hetuH eva Bavet iti |
       tad evamācāryāpadaiḥ[750]sākṣitve datte mujam utkṣipya śāstrakāraḥ	tat evam AcArya ApadEH [750]sa akzi tve datte mujam utkzipya SAstra kAraH
   pūtkurvann[751]āha    ^4idam idānīm[752]ityādi | ^5yadā	pUtkurvan= [751]Aha   ^4idam idAnIm[752]ityAdi | ^5yadA
   hyācāryasyāpy[753]etad abhimatam iti [T. 366b.] kaiścidvyākhyāyate	hi AcAryasya api [753]etat aBimatam iti [T. 366b.] kEScid vyAKyAyate
   tadidaṃ[754]sumahadvyasanam āyatam    gurubhir abhihitatvād aprakāśyam, na	tat idaM[754]su mahat vyasanam Ayatam   guruBiH aBihita tvAt aprakASyam, na
   hi gurūṇāṃ doṣaḥ prakāśayituṃ yuktaḥ, nyāyam anupālayadbhiḥ asaṃvaraṇīyam	hi gurUNAm dozaH prakASayitum yuktaH, nyAyam anupAlayadBiH asaMvaraNIyam
   apracchādanīyam | tat kiṃ gurūn[755]dūṣayāma uta ^8nyāyam apy	apracCAdanIyam | tat kim gurUn [755]dUzayAmaH uta ^8nyAyam api 
   upekṣāmahe[756]ity ^9ubhayam apy aśakyam[757]iti kaṣṭataraṃvyasanaṃkatham	upekzAm ahe[756]iti ^9u Bayam api aSakyam[757]iti kazwa taraMvyasanaMkaTam
   nirvoḍhuṃśakyeta? | na kathaṃcid iti | kaḥ punar atra doṣo yenedaṃ	nirvoXuMSakyeta? | na kaTaMcid iti | kaH punar atra dozaH yena idam
   kaṣṭataram ity āha    sa tāvad ayaṃ śrāvaṇatvalakṣaṇo hetur vastuni	kazwataram iti Aha   sa tAvat ayam SrAvaNa tva lakzaNaH hetuH vastuni
   śabdādīni ^10svasādhyaṃ tattvam[758]nityatvaṃ tatprakṛtīni tadātmakāni	Sabda AdIni ^10su a sADyam tattvam [758]nitya tvam tad prakRtIni tad AtmakAni
   kṛtvā [S. 207b.] tacchrāvaṇatvaṃ pramāṇaṃ yeṣāṃ	kRtvA [S. 207b.] tad SrAvaNa tvam pramANam yezAm
   puruṣāṇāṃmīmāṃsakavaiyākaraṇadīnāṃ tān {p. 219.1} abhyudayena svarggeṇa	puruzANAMmI mAMsaka vEyAkaraNa dInAm tAn {p. 219.1} aByudayena svarggeNa
   niḥśreyasena cāpavarggeṇa yojayitvā | tathā hi    vastutattvaṃ yāvan	niHSreyasena ca apa varggeNa yojayitvA | taTA hi   vastu tattvam yAvat 
   kleśān na prajahāti tāvat svargamāsādayati, kleśāṃs tu prajahan	kleSAt na prajahAti tAvat svargam AsAt ayati, kleSAn tu prajahan
   nirvāṇaparāyaṇo bhavati | athavā śabdanityatvapratītau vedaprāmāṇyāt	nirvANa parAyaNaH Bavati | aTavA Sabda nitya tva pratItO veda prAmANyAt 
   tadvahitāgnihotrānuṣṭhānāt[759]svarggo vedāntaniṣevaṇād apavarggaḥ | punar	tad vahita agnihotra anuzWAnAt[759]svarggaH vedAnta nizevaNAt apavarggaH | punar 
   uttarakālaṃ pratibhāvatā[760]  prajñājātīyenavaiśeṣikādinā puruṣeṇa	uttara kAlam pratiBAvatA[760]  prajQA jAtIyena vESezika AdinA puruzeNa
   hetvantarasya[761]  [T. 367a.] pratihetoḥ nidarśanena yad asya	hetu antarasya[761]  [T. 367a.] pratihetoH nidarSanena yat asya
   nityatvasādhanasāmarthya pratihetvanupadarśane[762]satyāsīt ^15tat	nitya tva sADana sAmarTya pratihetu anupadarSane[762]satyAsIt ^15tat 
   tadupadarśanena[763]utkīlitam apanītam iti | tāni vastūni nityatvasampadaḥ	tad upadarSanena[763]utkIlitam apanItam iti | tAni vastUni nitya tva sampadaH
   pracyāvya, tāṃś ca tatpramāṇakān[764]puruṣān svarggāpavarggasampadaḥ	pracyAvya, tAn ca tad pramANakAn [764]puruzAn svargga apavargga sampadaH
   pracyāvya śrāvaṇatvalakṣaṇo hetuḥ śaktivaikalyāt paritrātum aśakto	pracyAvya SrAvaNa tva lakzaNaH hetuH Sakti vEkalyAt paritrAtum aSaktaH 
   bhraṣṭarājya iva rājā tapovanaṃ gacchati svair eva duścaritair[765]iti kim	Brazwa rAjyaH iva rAjA tapaH vanam gacCati svEH eva duScaritEH [765]iti kim
   atra vayaṃ brūmaḥ? |	atra vayam brUmaH? |
       tad evam upahasyaitasmin pakṣe [S. 208a.] doṣam upadarśayann āha   	tat evam upahasya etasmin pakze [S. 208a.] dozam upadarSayan Aha   
   puruṣapratibhā ityādi | yadā hy apradarśitapratihetur hetur iṣyate tadā	puruza pratiBA ityAdi | yadA hi apradarSita pratihetuH hetuH izyate tadA
   puruṣapratibhākṛtaṃ sādhanatvam abhyupagataṃ bhavati | tataś ca vastuto na	puruza pratiBA akRtam sADana tvam aByupagatam Bavati | tatas ca vastutas na
   kiñcit sādhanam asādhanaṃ vā prāptam | tathā hi    yadā pratihetur	kiQcid sADanam asADanam vA prAptam | taTA hi   yadA pratihetuH 
   nopadarśyate tadā sādhanam, yadā tūpadarśyate tadā na sādhanam iti	na upadarSyate tadA sADanam, yadA tu upadarSyate tadA na sADanam iti
   puruṣapratibhākṛtaṃ sādhanatvam āyātam iti |	puruza pratiBA akRtam sADana tvam AyAtam iti |
       api ca    apradarśitapratihetor hetor hetutve 'ṅgīkriyamāṇe	api ca   apradarSita pratihetoH hetoH hetu tve aFgIkriyamANe
   vikalpadvayam    kiṃ paramārthato hetus taddharmabhāvī, utā	vikalpa dvayam   kim paramArTataH hetuH tad Darma BAvI, utA
   'taddharmabhāvīti? | tatrādyaṃ vikalpam adhikṛtyāha    sa ca hetur yo 'sau	atad Darma BAvi iti? | tatra Adyam vikalpam aDikRtya Aha   sa ca hetuH yaH asO
   prathamaṃ upādīyate | sa yadi svabhāvataḥ eva tasmin sādhyadharme satyeva	praTamam upAdIyate | sa yadi svaBAvataH eva tasmin sADya Darme sati eva
   bhavati ity evaṃśīlo 'smad upavarṇitapratibandhopagamāt [T. 367b.]	Bavati iti evaMSIlaH asmat upavarNita pratibanDa upagamAt [T. 367b.]
   yadīṣyate tadākatham anyathākriyeta hetvantareṇātaddharmabhāvī kathaṃ	yadi izyate tadA akaTam anyaTAkriyeta hetu antareNa Atad Darma BAvI kaTam
   kriyate? | na kathañcit | kiṃ kāraṇam? | vastūnāṃ [S. 208b.]	kriyate? | na kaTaQcid | kim kAraNam? | vastUnAm [S. 208b.]
   hetulakṣaṇānāṃ yaḥ svabhāvaḥ    `saty eva sādhyadharme bhavanātmakaḥ`   	hetu lakzaNAnAm yaH svaBAvaH   `sati eva sADya Darme Bavana AtmakaH`   
   tadanyathābhāvasya tadviparyayasya abhāvād ubhayoś ca	tad anyaTA BAvasya tad viparyayasya aBAvAt uBayoH ca
