   Bhartrhari: Vakyapadiya	BhartH-hari: Vakya-pad-iya
   sakṛc chrutā saptadaśasv Vp_2.456a	sakRt SrutA saptadaSasu Vp_2.456a
   sakṛtpravṛttāv ekatvam Vp_3,1.100a	sakRt-pravRttO eka-tvam Vp_3,1.100a
   sakriyasya prayogas tu Vp_3,7.126c	sa-kriyasya prayogaH tu Vp_3,7.126c
   sakriyaḥ san prayujyate Vp_3,7.76b	sa-kriyaH san prayujyate Vp_3,7.76b
   saṅghaś cvyantasya kathyate Vp_3,7.116b	saFGaH cvyantasya kaTyate Vp_3,7.116b
   saṅghasyaiva vidheyatvāt Vp_2.383a	saFGasya-eva viDeya-tvAt Vp_2.383a
   saṅghe saṅghiṣu cārthātmā Vp_2.398c	saFGe saFGizu ca-arTa-AtmA Vp_2.398c
   saṅghaikadeśe prakrāntān Vp_2.225a	saFGa-eka-deSe prakrAntAn Vp_2.225a
   saṅghaikaśeṣadvandveṣu Vp_2.375a	saFGa-ekaSeza-dvandvezu Vp_2.375a
   sa copajātaḥ saṃbandho Vp_2.199a	sa ca-upajAtaH saMbanDaH Vp_2.199a
   sa cchandasyaḥ prajāpatiḥ Vp_1.125b	sa cCandasyaH prajApatiH Vp_1.125b
   sa ṇyantaḥ pacater arthe Vp_3,7.61c	sa NI-antaH pacateH arTe Vp_3,7.61c
   sa tathaiva vyavasthitaḥ Vp_2.434d	sa taTA-eva vyavasTitaH Vp_2.434d
   sa tasmin vācake śabde Vp_2.215a	sa tasmin vAcake Sabde Vp_2.215a
   satām eke pracakṣate Vp_3,7.107d	satAm eke pracakzate Vp_3,7.107d
   satā labhyaṃ ca labhyate Vp_3,3.43b	satA laByam ca laByate Vp_3,3.43b
   satāṃ śabdo 'bhidhāyakaḥ Vp_2.68d	satAm SabdaH aBiDAyakaH Vp_2.68d
   sati gamye pravartate Vp_3,3.44b	sati gamye pravartate Vp_3,3.44b
   sati caiṣāṃ prakāśane Vp_2.303b	sati ca-ezAm prakASane Vp_2.303b
   sati pratyayahetutvaṃ Vp_3,3.37a	sati pratyaya-hetu-tvam Vp_3,3.37a
   satī vāvidyamānā vā Vp_3,7.47a	satI vA-avidyamAnAH vA Vp_3,7.47a
   sa tu tatra vyavasthitaḥ Vp_2.410d	sa tu tatra vyavasTitaH Vp_2.410d
   sa tebhyo vyatirikto vā Vp_3,7.15a	sa teByaH vyatiriktaH vA Vp_3,7.15a
   sato 'vivakṣā pārārthyaṃ Vp_1.152a	sataH avivakzA pArArTyam Vp_1.152a
   sato hi gantur gamanaṃ Vp_3,3.44a	sataH hi gantuH gamanam Vp_3,3.44a
   sattvabhūto 'rtha ucyate Vp_3,1.51b	sattva-BUtaH arTaH ucyate Vp_3,1.51b
   satyato na parāmṛśet Vp_3,6.24d	satyataH na parAmRSet Vp_3,6.24d
   saty api pratyaye 'tyantaṃ Vp_2.216c	sati api pratyaye atyantam Vp_2.216c
   sat yam ākṛtisaṃhāre Vp_3,2.11a	sat yam AkRti-saMhAre Vp_3,2.11a
   satyam evābhidhīyate Vp_3,2.2d	satyam eva-aBiDIyate Vp_3,2.2d
   satyaṃ yat tatra sā jātir Vp_3,1.32c	satyam yat tatra sA jAtiH Vp_3,1.32c
   satyaṃ vastu tadākārair Vp_3,2.2a	satyam vastu tad-AkArEH Vp_3,2.2a
   satyā viśuddhis tatroktā Vp_1.9a	satyA viSudDiH tatra-uktA Vp_1.9a
   satyāsatyau tu yau bhāgau Vp_3,1.32a	satya-asatyO tu yO BAgO Vp_3,1.32a
   satyo vā viparīto vā Vp_2.428c	satyaH vA viparItaH vA Vp_2.428c
   sa tv anekapadastho 'pi Vp_2.43a	sa tu aneka-pada-sTaH api Vp_2.43a
   sa daṇḍīti pratīyate Vp_3,1.93d	sa daNxI-iti pratIyate Vp_3,1.93d
   sad ity etat tu yad vākyaṃ Vp_2.429a	sat iti etat tu yat vAkyam Vp_2.429a
   sadṛśagrahaṇānāṃ ca Vp_1.101a	sadRSa-grahaNAnAm ca Vp_1.101a
   sadṛśasyaiva saṃjñānam Vp_2.92c	sadRSasya-eva saMjQAnam Vp_2.92c
   sadṛśaṃ pratipadyate Vp_2.90d	sadRSam pratipadyate Vp_2.90d
   sadṛśādiṣu yat karma- Vp_3,7.64a	sadRSa-Adizu yat karma Vp_3,7.64a
   sadṛśau bālapaṇḍitau Vp_3,3.55d	sadRSO bAla-paNxitO Vp_3,3.55d
   sa dvandvāvayave kramaḥ Vp_2.225d	sa dvandva-avayave kramaH Vp_2.225d
   sa dharma upalakṣyate Vp_2.384d	sa DarmaH upalakzyate Vp_2.384d
   sa dharmaḥ sphoṭanādayoḥ Vp_1.50d	sa DarmaH sPowa-nAdayoH Vp_1.50d
   sa dharmonābhidhīyate Vp_3,7.13b	sa Darma-UnA-aBiDIyate Vp_3,7.13b
   sa nīto bahuśākhatvaṃ Vp_2.486c	sa nItaH bahu-SAKa-tvam Vp_2.486c
   santa eva viśeṣā ye Vp_2.49a	santaH eva viSezAH ye Vp_2.49a
   sann asan vāpi tattvataḥ Vp_3,3.68b	san asan vA-api tattvataH Vp_3,3.68b
   sann asan vāpi yuktitaḥ Vp_3,3.67b	san asan vA-api yuktitaH Vp_3,3.67b
   sann asan vārtharūpeṣu Vp_3,7.3c	san asan vA-arTa-rUpezu Vp_3,7.3c
   sann asan vā vibhajyate Vp_2.445b	san asan vA viBajyate Vp_2.445b
   saptādyā bhedayonayaḥ Vp_3,7.44b	sapta-AdyAH Beda-yonayaH Vp_3,7.44b
   sa prerayati mārutam] Vp_1.119d	sa prerayati mArutam] Vp_1.119d
   sa bāhyaṃ vastv iti jñātaḥ Vp_2.132c	sa bAhyam vastu iti jQAtaH Vp_2.132c
   sa manobhāvam āpadya Vp_1.116a	sa manoBAvam Apadya Vp_1.116a
   samanvita ivārthātmā Vp_2.217a	samanvitaH iva-arTa-AtmA Vp_2.217a
   samam āhur gavādiṣu Vp_2.119d	samam AhuH gavA-Adizu Vp_2.119d
   samayaḥ kaiś cid iṣyate Vp_2.118b	samayaH kEH cit izyate Vp_2.118b
   samavāyasya saṃbandho Vp_3,3.16c	samavAyasya saMbanDaH Vp_3,3.16c
   samavāyāt sva ādhāraḥ Vp_3,3.13a	samavAyAt sve ADAraH Vp_3,3.13a
   samavāyiṣu bhedasya Vp_3,1.17c	samavAyizu Bedasya Vp_3,1.17c
   samavetas tathādhruve Vp_3,7.137d	samavetaH taTA-aDruve Vp_3,7.137d
   samavetās tathāpare Vp_3,3.15d	samavetAH taTA-apare Vp_3,3.15d
   samākhyāmātram anyathā Vp_3,6.7d	samAKyA-mAtram anyaTA Vp_3,6.7d
   samādhānāñjanādibhiḥ Vp_1.81b	samADAna-aQjana-AdiBiH Vp_1.81b
   samāne 'pi tu śabdatve Vp_2.53a	samAne api tu Sabda-tve Vp_2.53a
   samāptārthaṃ tad ucyate Vp_2.450d	samApta-arTam tat ucyate Vp_2.450d
   samāptiḥ kaiś cid iṣyate Vp_2.393b	samAptiH kEH cit izyate Vp_2.393b
   samāpto naiva vā kva cit Vp_2.442b	samAptaH na-eva vA kva cit Vp_2.442b
   samāmnātaḥ pṛthak pṛthak Vp_1.5d	samAmnAtaH pRTak pRTak Vp_1.5d
   samārambhāc ca bhāvānām Vp_2.237c	samAramBAt ca BAvAnAm Vp_2.237c
   samārambhāḥ pratāyante Vp_2.147c	samAramBAH pratAyante Vp_2.147c
   samāropyābhidhātṛbhiḥ Vp_3,7.6b	samAropya-aBiDAtRBiH Vp_3,7.6b
   samāsapratyayavidhau Vp_3,1.87a	samAsa-pratyaya-viDO Vp_3,1.87a
   samāsastatra neṣyate Vp_3,7.160d	samAsaH-tatra na-izyate Vp_3,7.160d
   samāsasya nivṛttaye Vp_2.198b	samAsasya nivRttaye Vp_2.198b
   samāsasya nivṛttaye Vp_3,7.159d	samAsasya nivRttaye Vp_3,7.159d
   samāsasyāpi vā vidhau Vp_3,1.91b	samAsasya-api vA viDO Vp_3,1.91b
   samāsasvārthikādiṣu Vp_2.208d	samAsa-sva-arTika-Adizu Vp_2.208d
   samāsābhyastasaṃjñayoḥ Vp_2.383d	samAsa-aByasta-saMjQayoH Vp_2.383d
   samāhāram acos tathā Vp_2.102b	samAhAram acoH taTA Vp_2.102b
   samīhayati dehinaḥ Vp_1.135b	samIhayati dehinaH Vp_1.135b
   sa mukhya iti vijñeyo Vp_2.265c	sa muKyaH iti vijQeyaH Vp_2.265c
   samuccitābhidhāne tu Vp_2.195a	samuccita-aBiDAne tu Vp_2.195a
   samuccitābhidhāne 'pi Vp_2.196a	samuccita-aBiDAne api Vp_2.196a
   samudāyasya vācakaḥ Vp_3,1.90d	samudAyasya vAcakaH Vp_3,1.90d
   samudāyāvayavayor Vp_2.218a	samudAya-avayavayoH Vp_2.218a
   samudāyāśrayā bhavet Vp_2.379d	samudAya-ASrayA Bavet Vp_2.379d
   samudāye na gamyate Vp_2.216d	samudAye na gamyate Vp_2.216d
   samudāye na caikatvaṃ Vp_2.400c	samudAye na ca-eka-tvam Vp_2.400c
   samudāyo 'nugṛhyate Vp_2.470d	samudAyaH anugRhyate Vp_2.470d
   samudāyo 'bhidhāyakaḥ Vp_2.164d	samudAyaH aBiDAyakaH Vp_2.164d
   samudāyo 'bhidhīyate Vp_3,1.98d	samudAyaH aBiDIyate Vp_3,1.98d
   samudāyo 'bhidheyo vāpy Vp_2.126a	samudAyaH aBiDeyaH vA-api Vp_2.126a
   samūhāvagrahā buddhir Vp_3,1.97c	samUha-avagrahA budDiH Vp_3,1.97c
   sa yatnaprāpito vākye Vp_2.74c	sa yatna-prApitaH vAkye Vp_2.74c
   saraṇe devadattasya Vp_3,7.139a	saraNe devadattasya Vp_3,7.139a
   sarūpasamudāyāt tu Vp_3,1.89c	sarUpa-samudAyAt tu Vp_3,1.89c
   sarūpaṃ parvatādibhiḥ Vp_2.290b	sarUpam parvata-AdiBiH Vp_2.290b
   sarūpāṇāṃ ca vākyānāṃ Vp_2.110a	sarUpANAm ca vAkyAnAm Vp_2.110a
   sarūpāṇāṃ ca sarveṣāṃ Vp_3,1.102a	sarUpANAm ca sarvezAm Vp_3,1.102a
   sarūpāvayavevānyā Vp_3,1.48c	sarUpa-avayava-iva-anyA Vp_3,1.48c
   sarūpeva pratīyate Vp_2.21d	sarUpA-iva pratIyate Vp_2.21d
   sarpeṣu saṃvidhāyāpi Vp_2.323a	sarpezu saMviDAya-api Vp_2.323a
   sarva eva svabhūtaye Vp_3,7.124b	sarve eva sva-BUtaye Vp_3,7.124b
   sarvataḥ saṃhṛtakramā Vp_1.167b	sarvatas saMhRta-kramA Vp_1.167b
   sarvatra tasya kāryasya Vp_3,6.17a	sarvatra tasya kAryasya Vp_3,6.17a
   sarvatra pratipadyate Vp_2.91d	sarvatra pratipadyate Vp_2.91d
   sarvatra sahajā śaktir Vp_3,7.28a	sarvatra sahajA SaktiH Vp_3,7.28a
   sarvatrābhyupagamyate Vp_3,3.12b	sarvatra-aByupagamyate Vp_3,3.12b
   sarvatraivāsti kārake Vp_3,7.18b	sarvatra-eva-asti kArake Vp_3,7.18b
   sarvathānugraho guṇe Vp_3,1.91d	sarvaTA-anugrahaH guNe Vp_3,1.91d
   sarvathā saptaparṇavat Vp_2.309d	sarvaTA saptaparNa-vat Vp_2.309d
   sarvadā sa tu san dharmaḥ Vp_3,7.29c	sarvadA sa tu san DarmaH Vp_3,7.29c
   sarvadā sarvathā bhāvāt Vp_3,7.2c	sarvadA sarvaTA BAvAt Vp_3,7.2c
   sarvanāma prayujyate Vp_3,4.3b	sarvanAma prayujyate Vp_3,4.3b
   sarvanāmasarūpatā Vp_2.223d	sarvanAma-sarUpa-tA Vp_2.223d
   sarvaprāṇiṣv avasthitāḥ Vp_3,1.44b	sarva-prANizu avasTitAH Vp_3,1.44b
   sarvabhedānuguṇyaṃ tu Vp_2.44a	sarva-Beda-anuguNyam tu Vp_2.44a
   sarvam etad virudhyate Vp_2.343d	sarvam etat viruDyate Vp_2.343d
   sarvavādāvirodhinā Vp_1.9d	sarva-vAda-aviroDinA Vp_1.9d
   sarvaśaktes tu tasyaiva Vp_2.253a	sarva-SakteH tu tasya-eva Vp_2.253a
   sarvaśaktyātmabhūtatvam Vp_3,1.22a	sarva-Sakti-Atma-BUta-tvam Vp_3,1.22a
   sarvasaṃyogināṃ matā Vp_3,7.151d	sarva-saMyoginAm matA Vp_3,7.151d
   sarvasya vānyathābhāvas Vp_3,7.167c	sarvasya vA-anyaTA-BAvaH Vp_3,7.167c
   sarvasyānte yatas tasmād Vp_3,1.95c	sarvasya-ante yatas tasmAt Vp_3,1.95c
   sarvasyeti vyavasthitāḥ Vp_3,1.42d	sarvasya-iti vyavasTitAH Vp_3,1.42d
   sarvasyaiva pradhānasya Vp_3,5.3a	sarvasya-eva praDAnasya Vp_3,5.3a
   sarvasyocchvāsam āsādya Vp_1.163c	sarvasya-ucCvAsam AsAdya Vp_1.163c
   sarvasvarūpair yugapat Vp_2.358a	sarva-svarUpEH yugapad Vp_2.358a
   sarvaṃ ca sarvato 'vaśyaṃ Vp_3,5.6a	sarvam ca sarvatas avaSyam Vp_3,5.6a
   sarvaṃ cākathitaṃ karma Vp_3,7.70a	sarvam ca-akaTitam karma Vp_3,7.70a
   sarvaṃ mithyā bravīmīti Vp_3,3.25a	sarvam miTyA bravImi-iti Vp_3,3.25a
   sarvaṃ vastu vibhajyate Vp_1.133d	sarvam vastu viBajyate Vp_1.133d
   sarvaṃ śabdena bhāsate Vp_1.131d	sarvam Sabdena BAsate Vp_1.131d
   sarvaṃ sattvapadaṃ śuddhaṃ Vp_2.342a	sarvam sattva-padam SudDam Vp_2.342a
   sarvaḥ śabdo 'paraiḥ smṛtaḥ Vp_2.117b	sarvaH SabdaH aparEH smRtaH Vp_2.117b
   sarvaḥ samanugacchati Vp_2.147b	sarvaH samanugacCati Vp_2.147b
   sarvātmakatvād arthasya Vp_2.437a	sarva-Atmaka-tvAt arTasya Vp_2.437a
   sarvārthatyāgam icchatā Vp_2.228b	sarva-arTa-tyAgam icCatA Vp_2.228b
   sarvārtharūpatā śuddhir Vp_3,3.56a	sarva-arTa-rUpa-tA SudDiH Vp_3,3.56a
   sarvārtheṣv anuṣajyate Vp_2.256b	sarva-arTezu anuzajyate Vp_2.256b
   sarvāvayavadarśanam Vp_2.156b	sarva-avayava-darSanam Vp_2.156b
   sarvāvasthāsu sarveṣām Vp_3,3.39c	sarva-avasTAsu sarvezAm Vp_3,3.39c
   sarvā śabdavyapāśrayā Vp_1.129b	sarvA Sabda-vyapASrayA Vp_1.129b
   sarvāṃ jātiṃ pracakṣate Vp_3,1.42b	sarvAm jAtim pracakzate Vp_3,1.42b
   sarve jātyabhidhāyinaḥ Vp_3,1.11b	sarve jAti-aBiDAyinaH Vp_3,1.11b
   sarve tṛptiphalāṃ bhujim Vp_2.377b	sarve tRpti-PalAm Bujim Vp_2.377b
   sarve dharmā balāhake Vp_3,7.144d	sarve DarmAH balAhake Vp_3,7.144d
   sarve śabdā vyavasthitāḥ Vp_3,1.33d	sarve SabdAH vyavasTitAH Vp_3,1.33d
   sarveśvaraḥ sarvamayaḥ Vp_1.140c	sarva-ISvaraH sarva-mayaH Vp_1.140c
   sarveṣām āśrayas tataḥ Vp_3,1.61d	sarvezAm ASrayaH tatas Vp_3,1.61d
   sarveṣāṃ nyāyabījānāṃ Vp_2.482c	sarvezAm nyAya-bIjAnAm Vp_2.482c
   sarveṣu pratyayas tathā Vp_2.36d	sarvezu pratyayaH taTA Vp_2.36d
   sarveṣv ekārthakāriṭu Vp_2.406b	sarvezu eka-arTa-kAriwu VB-_2.406b
   sarveṣv ekārthakāriṣu Vp_3,7.23b	sarvezu eka-arTa-kArizu Vp_3,7.23b
   sarve saṃsargavādinām Vp_3,7.9b	sarve saMsarga-vAdinAm Vp_3,7.9b
   sarve sādhāraṇaṃ dhanam Vp_2.401b	sarve sADAraNam Danam Vp_2.401b
   sarvair akarmakair yoge Vp_3,7.67c	sarvEH akarmakEH yoge Vp_3,7.67c
   sarvair avayavais tulyaṃ Vp_2.356a	sarvEH avayavEH tulyam Vp_2.356a
   sarvair evābhidhīyate Vp_3,1.6b	sarvEH eva-aBiDIyate Vp_3,1.6b
   sarvo 'dṛṣṭaphalān arthān Vp_1.157a	sarvaH adRzwa-PalAn arTAn Vp_1.157a
   sarvo bhāvena laukikaḥ Vp_3,3.82b	sarvaH BAvena lOkikaH Vp_3,3.82b
   sa vācako viśeṣāṇāṃ Vp_2.188a	sa vAcakaH viSezANAm Vp_2.188a
   sa vidhiḥ prathamaṃ paśoḥ Vp_3,1.57b	sa viDiH praTamam paSoH Vp_3,1.57b
   sa vinā devadattādeḥ Vp_3,7.62c	sa vinA devadatta-AdeH Vp_3,7.62c
   sa viśeṣo 'varudhyate Vp_3,7.158d	sa viSezaH avaruDyate Vp_3,7.158d
   sa vyaktaḥ kramavāñ śabda Vp_2.19a	sa vyaktaH kramavAn SabdaH Vp_2.19a
   savyāpārataraḥ kaś cit Vp_3,7.119a	sa-vyApArataraH kaH cit Vp_3,7.119a
   savyāpāraṃ pratīyate Vp_3,5.1b	sa-vyApAram pratIyate Vp_3,5.1b
   savyāpāraṃ pratīyate Vp_3,7.120d	sa-vyApAram pratIyate Vp_3,7.120d
   savyāpāro guṇas tasmāt Vp_3,5.8a	sa-vyApAraH guNaH tasmAt Vp_3,5.8a
   sa śabdānugato nyāyo Vp_1.153c	sa Sabda-anugataH nyAyaH Vp_1.153c
   sa śāstreṇānugamyate Vp_3,7.38d	sa SAstreNa-anugamyate Vp_3,7.38d
   sa śrutiprāpitas tayoḥ Vp_3,1.75b	sa Sruti-prApitaH tayoH Vp_3,1.75b
   sa saṃnidhānamātreṇa Vp_2.47c	sa saMniDAna-mAtreNa Vp_2.47c
   sa sphoṭaḥ śabdajāḥ śabdā Vp_1.105c	sa sPowaH Sabda-jAH SabdAH Vp_1.105c
   sahakārī prayujyate Vp_2.188d	sahakArI prayujyate Vp_2.188d
   saha tābhyām anarthakaḥ Vp_2.190d	saha tAByAm anarTakaH Vp_2.190d
   sahabhūteṣu vartate Vp_2.115d	saha-BUtezu vartate Vp_2.115d
   sahayoge svayoge 'taḥ Vp_3,7.162c	saha-yoge sva-yoge atas Vp_3,7.162c
   sahasthitau virodhitvaṃ Vp_2.397a	saha-sTitO viroDi-tvam Vp_2.397a
   sa hi tenopajanyate Vp_3,3.32b	sa hi tena-upajanyate Vp_3,3.32b
   sa hi yatnāntarāśrayaḥ Vp_2.120d	sa hi yatna-antara-ASrayaH Vp_2.120d
   sahaikatvena gamyate Vp_3,1.71d	saha-ekatvena gamyate Vp_3,1.71d
   sa hy apūrvāparo bhāvaḥ Vp_3,7.42c	sa hi apUrvA-aparaH BAvaH Vp_3,7.42c
   saṃkaro vyavahārāṇāṃ Vp_3,6.19a	saMkaraH vyavahArANAm Vp_3,6.19a
   saṃkīrṇā iva śaktayaḥ Vp_1.91d	saMkIrNAH iva SaktayaH Vp_1.91d
   saṃketopanibandhanāḥ Vp_3,6.25b	saMketa-upanibanDanAH Vp_3,6.25b
   saṃkṣepeṇa yathāgamam Vp_3,4.2d	saMkzepeNa yaTAgamam Vp_3,4.2d
   saṃkhyā kartā tathā karmaṇy Vp_3,1.88c	saMKyA kartA taTA karmaNi Vp_3,1.88c
   saṃkhyākarmādiśaktīnāṃ Vp_3,1.50c	saMKyA-karma-Adi-SaktInAm Vp_3,1.50c
   saṃkhyāṅgatvena gṛhyate Vp_3,1.65d	saMKyA-aFga-tvena gRhyate Vp_3,1.65d
   saṃkhyājātir viśeṣikā Vp_3,1.28d	saMKyA-jAtiH viSezikAH Vp_3,1.28d
   saṃkhyā tatrāvivakṣitā Vp_3,1.90b	saMKyA tatra-avivakzitA Vp_3,1.90b
   saṃkhyāntarāṇāṃ bhede 'pi Vp_1.90c	saMKyA-antarANAm Bede api Vp_1.90c
   saṃkhyāpramāṇasaṃsthāna- Vp_2.158a	saMKyA-pramANa-saMsTAna Vp_2.158a
   saṃkhyābhedasamanvitān Vp_2.165b	saMKyA-Beda-samanvitAn Vp_2.165b
   saṃkhyābhyupagame sati Vp_3,1.67b	saMKyA-aByupagame sati Vp_3,1.67b
   saṃkhyāyām ekaviṣayaṃ Vp_2.373c	saMKyAyAm eka-vizayam Vp_2.373c
   saṃkhyāyāḥ khanati dvābhyām Vp_3,1.54c	saMKyAyAH Kanati dvAByAm Vp_3,1.54c
   saṃkhyāvat kalpyate 'paraiḥ Vp_2.43d	saMKyA-vat kalpyate aparEH Vp_2.43d
   saṃkhyāviśeṣagrahaṇaṃ Vp_3,1.85c	saMKyA-viSeza-grahaNam Vp_3,1.85c
   saṃkhyāviśeṣam utsṛjya Vp_3,1.81c	saMKyA-viSezam utsRjya Vp_3,1.81c
   saṃkhyāvyāpāradharmo 'tas Vp_3,1.68c	saMKyA-vyApAra-DarmaH atas Vp_3,1.68c
   saṃkhyā saṃkhyātvam eva vā Vp_3,1.49b	saMKyA saMKyA-tvam eva vA Vp_3,1.49b
   saṃkhyā syād avivakṣitā Vp_3,1.51d	saMKyA syAt avivakzitAH Vp_3,1.51d
   saṃkhyeyo 'rtho na bhidyate Vp_2.382d	saMKyeyaH arTaH na Bidyate Vp_2.382d
   saṃgrahapratikañcuke Vp_2.484d	saMgraha-pratikaQcuke Vp_2.484d
   saṃgrahe 'stam upāgate Vp_2.481d	saMgrahe astam upAgate Vp_2.481d
   saṃghāta upajāyate Vp_2.208b	saMGAtaH upajAyate Vp_2.208b
   saṃghātasyaiva gamyate Vp_2.169d	saMGAtasya-eva gamyate Vp_2.169d
   saṃghātāntaravṛttayaḥ Vp_2.191b	saMGAta-antara-vRttayaH Vp_2.191b
   saṃghātārthaḥ pratīyate Vp_2.359d	saMGAta-arTaH pratIyate Vp_2.359d
   saṃghāte niyatā katham Vp_2.360b	saMGAte niyatA kaTam Vp_2.360b
   saṃghāto bhidyate punaḥ Vp_2.206b	saMGAtaH Bidyate punar Vp_2.206b
   saṃghāto yo 'bhidhāyakaḥ Vp_2.214b	saMGAtaH yaH aBiDAyakaH VB-_2.214b
   saṃjñānāṃ saṃjñini kva cit Vp_2.366b	saMjQAnAm saMjQini kva cit Vp_2.366b
   saṃjñānāṃ saṃjñibhir bhavet Vp_2.357b	saMjQAnAm saMjQiBiH Bavet Vp_2.357b
   saṃjñāntarāc ca dattāder Vp_2.355a	saMjQA-antarAt ca datta-AdeH Vp_2.355a
   saṃjñāntarair anākhyātaṃ Vp_3,7.46c	saMjQA-antarEH anAKyAtam Vp_3,7.46c
   saṃjñāyāṃ sā hi puruṣair Vp_2.367c	saMjQAyAm sA hi puruzEH Vp_2.367c
   saṃjñā rūpapadārthikā Vp_1.67b	saMjQA rUpa-padArTikA Vp_1.67b
   saṃjñāśaktisamanvayāt Vp_2.365b	saMjQA-Sakti-samanvayAt Vp_2.365b
   saṃjñāśabdād vidhīyate Vp_1.68b	saMjQA-SabdAt viDIyate Vp_1.68b
   saṃjñāśabdaikadeśo yas Vp_2.354a	saMjQA-Sabda-eka-deSaH yaH Vp_2.354a
   saṃjñāsu samavasthitāḥ Vp_2.361d	saMjQAsu samavasTitAH Vp_2.361d
   saṃjñā svarūpam āśritya Vp_2.370a	saMjQA sva-rUpam ASritya Vp_2.370a
   saṃjñāsv eṣaiva kalpanā Vp_2.368d	saMjQAsu ezA-eva kalpanA Vp_2.368d
   saṃjñāḥ kriyante sarvāsu Vp_2.368c	saMjQAH kriyante sarvAsu Vp_2.368c
   saṃjñinaṃ devadattākhyaṃ Vp_2.355c	saMjQinam devadatta-AKyam Vp_2.355c
   saṃjñinām abhidhāyakam Vp_2.100b	saMjQinAm aBiDAyakam Vp_2.100b
   saṃjñinīṃ vyaktim icchanti Vp_1.70a	saMjQinIm vyaktim icCanti Vp_1.70a
   saṃjñibhiḥ saṃprayujyante Vp_2.281c	saMjQiBiH saMprayujyante Vp_2.281c
   saṃjñe syātām ubhe yadi Vp_3,7.134b	saMjQe syAtAm uBe yadi Vp_3,7.134b
   saṃdarśanaṃ prārthanāyāṃ Vp_3,7.16a	saMdarSanam prArTanAyAm Vp_3,7.16a
   saṃdarśane tu caitanyaṃ Vp_3,7.17c	saMdarSane tu cEtanyam Vp_3,7.17c
   saṃnidhānanideśakaḥ Vp_2.398d	saMniDAna-nideSakaH Vp_2.398d
   saṃnidhānam akāraṇam Vp_2.307b	saMniDAnam akAraNam Vp_2.307b
   saṃnidhānena gamyate Vp_2.74b	saMniDAnena gamyate Vp_2.74b
   saṃnidhāne pratīyate Vp_2.371d	saMniDAne pratIyate Vp_2.371d
   saṃnidhāne vyajyante Vp_2.51c	saMniDAne vyajyante Vp_2.51c
   saṃnipātād vibhajyante Vp_1.112c	saMnipAtAt viBajyante Vp_1.112c
   saṃpratyayapramāṇatvāt Vp_2.34a	saMpratyaya-pramANa-tvAt Vp_2.34a
   saṃpratyayārthād bāhyo 'rthaḥ Vp_2.445a	saMpratyaya-arTAt bAhyaH arTaH Vp_2.445a
   saṃpradānākhyam ucyate Vp_3,7.130d	saMpradAna-AKyam ucyate Vp_3,7.130d
   saṃprasāraṇasaṃjñāyāṃ Vp_2.479a	saMprasAraNa-saMjQAyAm Vp_2.479a
   saṃprāpya vaiyākaraṇān Vp_2.481c	saMprApya vEyAkaraNAn Vp_2.481c
   saṃbaddho 'vayavaḥ saṃjñā- Vp_2.357c	saMbadDaH avayavaH saMjQA Vp_2.357c
   saṃbaddho vācakas tathā Vp_2.62d	saMbadDaH vAcakaH taTA Vp_2.62d
   saṃbandha upapadyate Vp_3,3.37b	saMbanDaH upapadyate Vp_3,3.37b
   saṃbandhavigamena ca Vp_2.206d	saMbanDa-vigamena ca Vp_2.206d
   saṃbandhaśabde saṃbandho Vp_3,3.31a	saMbanDa-Sabde saMbanDaH Vp_3,3.31a
   saṃbandhas tena śabdārthaḥ Vp_3,3.12c	saMbanDaH tena Sabda-arTaH Vp_3,3.12c
   saṃbandhasya tu bhedakaḥ Vp_2.204d	saMbanDasya tu BedakaH Vp_2.204d
   saṃbandhasya na gṛhyate Vp_3,7.158b	saMbanDasya na gRhyate Vp_3,7.158b
   saṃbandhasyāviśiṣṭatvān Vp_3,3.17a	saMbanDasya-aviSizwa-tvAn Vp_3,3.17a
   saṃbandhasyāsti vācakam Vp_3,3.4b	saMbanDasya-asti vAcakam Vp_3,3.4b
   saṃbandhasyopapadyate Vp_2.367b	saMbanDasya-upapadyate Vp_2.367b
   saṃbandhaṃ nādhigacchataḥ Vp_2.207b	saMbanDam na-aDigacCataH Vp_2.207b
   saṃbandhaṃ yānti saṃjñibhiḥ Vp_1.60d	saMbanDam yAnti saMjQiBiH Vp_1.60d
   saṃbandhaṃ vinivartate Vp_2.197b	saMbanDam vinivartate Vp_2.197b
   saṃbandhaṃ samudāyavat Vp_2.356b	saMbanDam samudAya-vat Vp_2.356b
   saṃbandhaḥ kārakebhyo 'nyaḥ Vp_3,7.156a	saMbanDaH kArakeByaH anyaH Vp_3,7.156a
   saṃbandhaḥ parikalpyate Vp_1.63d	saMbanDaH parikalpyate Vp_1.63d
   saṃbandhaḥ parikalpyate Vp_3,3.17d	saMbanDaH parikalpyate Vp_3,3.17d
   saṃbandhaḥ samavasthitaḥ Vp_3,3.1d	saMbanDaH samavasTitaH Vp_3,3.1d
   saṃbandhaḥ samavāyas tu Vp_2.439c	saMbanDaH samavAyaH tu Vp_2.439c
   saṃbandhaḥ sādhanaṃ kva cit Vp_3,7.12b	saMbanDaH sADanam kva cit Vp_3,7.12b
   saṃbandhāj jñānabhedo 'yaṃ Vp_2.83c	saMbanDAt jQAna-BedaH ayam Vp_2.83c
