   ADHYAYA 1	ADHYAYAH 1
   janmata eva kauśalaṃ kāsucidatyantasaukaryayuktāsvapyakauśalaṃ koṣāñcit /	janmataH eva kOSalam kAsucid atyanta sOkarya yuktAsu api akOSalam kozAQcid /
   tathā pūrvaprajñayā vinā karmaṇi vā phalopabhoge vā na	taTA pUrva prajQayA vinA karmaNi vA Pala upaBoge vA na
   kasyacitpravṛttirupapadyate /	kasyacid pravRttiH upapadyate /
   tasmādetattrayaṃ śākaṭikasambhārasthānīyaṃ paralokapathyadana	tasmAt etat trayam SAkawika samBAra sTAnIyam para loka paTya dana
   vidyākarmapūrvaprajñākhyam /	vidyA karma pUrva prajQA AKyam /
   yasmādvidyākramaṇī pūrvapjñā ca dehāntarapratipatyupabhogasādhanaṃ	yasmAt vidyA kramaNI pUrvapjQA ca deha antara pratipati upaBoga sADanam
   tasmadvidyākarmādi śubhameva samātaredyatheṣṭadehasambhogopabhogau	tasmat vidyA karma Adi SuBam eva samAtaret yaTA izwa deha samBoga upaBogO
   syātāmiti prakaraṇārthaḥ //4,4.2//	syAtAm iti prakaraNa arTaH //4,4.2//
   START BrhUp 4,4.3	START BrhUp 4,4.3
   tad yathā tṛṇajalāyukā tṛṇasyāntaṃ gatvānyam ākramam ākramyātmānam	tat yaTA tRNajalAyukA tRNasya antam gatvA anyam Akramam Akramya AtmAnam
   upasaṃharati |	upasaMharati |
   evam evāyam ātmedaṃ śarīraṃ nihatyāvidyāṃ gamayitvānyam ākramam	evam eva ayam AtmA idam SarIram nihatya avidyAm gamayitvA anyam Akramam
   ākramyātmānam upasaṃharati || BrhUp_4,4.3 ||	Akramya AtmAnam upasaMharati || BrhUp_4,4.3 ||
   BrhUpBh_4,4.3 evaṃ vidyādisambārasamphṛto dehāntaraṃ pratipadyamāno muktvā	Brhu upBh_4,4.3 evam vidyA Adi sambAra samPRtaH deha antaram pratipadyamAnaH muktvA
   pūrvaṃ dehaṃ pakṣīva vṛkṣāntaraṃ dehāntaraṃ pratipadyate /	pUrvam deham pakzI iva vRkza antaram deha antaram pratipadyate /
   athavā'tivāhikena śarīrāntareṇa karmaphalajanmadeśaṃ nīyate /	aTavA ativAhikena SarIra antareNa karma Pala janma deSam nIyate /
   kiñcātrasthasyaiva sarvagatānāṃ karaṇānāṃ vṛttilābho	kiQca atrasTasya eva sarva gatAnAm karaNAnAm vRtti lABaH 
   bhavatyāhosviccharīraḥsya saṃkucitāni karaṇāni mṛtasya	Bavati Ahosvit SarIraHsya saMkucitAni karaNAni mRtasya
   bhinnaghaṭapradīpaprakāśavatsarvato vyapya punardehāntarārambhe	Binna Gawa pradIpa prakASa vat sarvatas vyapya punar deha antara AramBe
   saṅkocamupagacchanti /	saFkocam upagacCanti /
   kiñca manomātraṃ vaiśeṣikasamaya iva dehāntarārambhadeśaṃ prati gacchati	kiQca manaH mAtram vESezika samayaH iva deha antara AramBa deSam prati gacCati
   kiṃvā kalpanānāntarameva vedāntasamaya iti /	kiMvA kalpanAnA antaram eva vedAnta samayaH iti /
   ucyate "ta ete sarva eva samāḥ sarve 'nantāḥ"iti śruteḥ sarvātmakāni	ucyate "te ete sarve eva samAH sarve anantAH" iti SruteH sarva AtmakAni
   tāvatkaraṇāni /	tAvat karaNAni /
   sarvātmakaprāṇasaṃśrayācca /	sarva Atmaka prANa saMSrayAt ca /
   teṣāmādhyāmikādhibhautikaparicchedaḥ prāṇikarmajñānabhāvanānimittaḥ /	tezAm ADyAmika ADiBOtika paricCedaH prANi karma jQAna BAvanA nimittaH /
   atastadvaśātsvabhāvataḥ sargatānāmanantānāmapi prāṇānāṃ	atas tad vaSAt svaBAvataH sargatAnAm anantAnAm api prANAnAm
   karjñānavāsanānurūpeṇaiva dehānnarārambhavaśātprāṇānāṃ vṛttiḥ saṃkucati	karjQAna vAsanA anurUpeNa eva dehAn nara AramBa vaSAt prANAnAm vRttiH saMkucati
   vikasati ca /	vikasati ca /
   tathā coktam "samaḥ pluṣiṇā samo maśakena samo nāgena sama	taTA ca uktam "samaH pluziNA samaH maSakena samaH nAgena sama
   ebhistribhirlokaiḥ samo 'nena sarveṇa"iti /	eBiH triBiH lokEH samaH anena sarveNa" iti /
   tathā cedaṃ vacanamanukūlam ",sa yo haitānanantānupāste"ityādi /	taTA ca idam vacanam anukUlam ", sa yaH ha etAn anantAn upAste" ityAdi /
   "taṃ yathā yathopāsate"iti ca /	"tam yaTA yaTA upAsate"iti ca /
   tatra vāsanā pūrvaprajñākhyā vidyākarmatantrā jalūkavatsaṃtataiva	tatra vAsanA pUrva prajQA AKyA vidyA karma tantrA jalUka vat saMtatA eva
   svapnakāla iva karmakṛtaṃ dehāddehāntaramārabhate hṛdayasyaiva	svapna kAle iva karma kRtam dehAt deha antaram AraBate hRdayasya eva
   punardehāntarārambhe dehāntaraṃ pūrvāśrayaṃ vimuñcatītyetasminnarthe	punar deha antara AramBe deha antaram pUrva ASrayam vimuQcati iti etasmin= arTe
   dṛṣṭānta upādīyate tattatra dehāntarasañcāra idaṃ nidarśanam /	dRzwAnte upAdIyate  tat tatra deha antara saQcAraH idam nidarSanam /
   yathā yena prakāreṇa tṛṇajalāyukā tṛṇajalūkā tṛṇasyāntamavasānaṃ gatvā	yaTA yena prakAreNa tRNajalAyukA tRNajalUkA tRNasya antam avasAnam gatvA
   prāpyānyaṃ tṛṇāntaramākramamākramyata	prApya anyam tRNa antaram Akramam Akramyata
   ityākramastamākramamākramyā'ścityā'tmānamātmanaḥ	iti AkramaH tamAkramam AkramyA aScityA atmAnam AtmanaH
   pūrvavayavamupasaṃharatyantyāvayavasthāne /	pUrvavayavam upasaMharati antya avayava sTAne /
   evamevāyamātmā yaḥ prakṛtaḥ saṃsārīdaṃ śarīraṃ pūrvopāttaṃ nihatya svapnaṃ	evam eva ayam AtmA yaH prakRtaH saMsAri idam SarIram pUrva upAttam nihatya svapnam
   pratipitsuriva pātayitvāvidyāṃ gamayitvācetanaṃ kṛtvā	pratipitsuH iva pAtayitvA avidyAm gamayitvA acetanam kRtvA
   svātmosaṃhāreṇānyamākramaṃ tṛṇāntaramiva tṛṇajalūkā śarīrāntaraṃ gṛhītvā	sva AtmaH saMhAreNa anyam Akramam tRNa antaram iva tRNajalUkA SarIra antaram gRhItvA
   prasārityā vāsanayā'mānamupasaṃharati /	prasArityA vAsanayA amAnam upasaMharati /
   tatrā'tmabhāvamārabhate yathā svapne dehāntaramārabhate svapnadehāntarasya	tatrA atma BAvam AraBate yaTA svapne deha antaram AraBate svapna deha antarasya
   śarīrāmbhadeśa ārabhyamāṇe dehe jaṅgame sthāvare vā /	SarIra amBa deSaH AraByamANe dehe jaFgame sTAvare vA /
   tatra ca karmavaśātkaraṇāni labdhavṛttīni saṃhanyante /	tatra ca karma vaSAt karaNAni labDa vRttIni saMhanyante /
   bāhyaṃ ca kuśamṛttikāsthānīyaṃ śarīramārabhyate /	bAhyam ca kuSa mRttikA sTAnIyam SarIram AraByate /
   tatra ca karaṇavyūhamapekṣya vāgādyanugrahāyāgnyādidevatāḥ saṃścayante /	tatra ca karaNa vyUham apekzya vAc Adi anugrahAya agni Adi devatAH saMScayante /
   eṣa dehāntarārambhavidhiḥ //4,4.3//	eza deha antara AramBa viDiH //4,4.3//
   START BrhUp 4,4.4	START BrhUp 4,4.4
   tad yathā peśaskārī peśaso mātrām apādāyānyan navataraṃ kalyāṇataraṃ rūpaṃ	tat yaTA peSaskArI peSasaH mAtrAm apAdAya anyat navataram kalyANataram rUpam
   tanute |	tanute |
   evam evāyam ātmedaṃ śarīraṃ nihatyāvidyāṃ gamayitvānyan navataraṃ	evam eva ayam AtmA idam SarIram nihatya avidyAm gamayitvA anyat navataram
   kalyāṇataraṃ rūpaṃ kurute |	kalyANataram rUpam kurute |
   pitryaṃ vā gāndharvaṃ vā daivaṃ vā prājāpatyaṃ vā brāhmaṃ vānyeṣāṃ vā	pitryam vA gAnDarvam vA dEvam vA prAjApatyam vA brAhmam vA anyezAm vA
   bhūtānām || BrhUp_4,4.4 ||	BUtAnAm || BrhUp_4,4.4 ||
   BrhUpBh_4,4.4 tatra dehāntarārambhe nitthopāttamevopādānamupamṛdyopamṛdya	Brhu upBh_4,4.4 tatra deha antara AramBe nitTa upAttam eva upAdAnam upamRdya upamRdya
   dehāntaramārabhata āhostidapūrvameva punaḥ punarādatta iti /	deha antaram AraBataH Ahosti dapUrvam eva punar punar AdattaH iti /
   atrocyate dṛṣṭāntaḥ tattatretasminnarthe  yathā peśaskārī peśaḥ suvarṇa	atra ucyate dRzwAntaH  tat tatretasmin= arTe  yaTA peSaskArI peSaH suvarNa
   tat karotīti peśaskārī suvarṇakāraḥ, peśasaḥ suvarṇasya	tat karoti iti peSaskArI suvarNakAraH, peSasaH suvarNasya
   mātrāmapādāyāpicchidya gṛhītvā anyat pūrvasmād	mAtrAm apAdAya apicCidya gRhItvA anyat pUrvasmAt 
   racanāviśeṣānnavataramabhinavataraṃ kalyāṇāt kalyāṇataraṃ rūpaṃ tanute	racanA viSezAt navataram aBinavataram kalyANAt kalyANataram rUpam tanute
   nirminoti /	nirminoti /
   evamevāyamātmetyādi pūrvavat /	evam eva ayam AtmA ityAdi pUrvavat /
   nityopāttānyeva pṛthivyādīnyākāśāntāni pañca bhūtāni yāni 'dve vāva	nitya upAttAni eva pRTivI AdIni AkASa antAni paQca BUtAni yAni adve vAva
   brahmaṇo rūpe' iti caturthe vyākhyātāni	brahmaNaH rUpe a iti caturTe vyAKyAtAni
   peśaḥsthānāyāni,tānyevopamṛdyopamṛdya, anyadanyacca dehāntaraṃ navataraṃ	peSaH sTAnAya ani,tAni eva upamRdya upamRdya, anyat anyat ca deha antaram navataram
   kalyāṇataraṃ rūpaṃ saṃsthānaveśeṣaṃ vā pitṛbhyo hitaṃ	kalyANataram rUpam saMsTAna veSezam vA pitRByaH hitam
   pitṛlokopabhogayogyamityarthaḥ, gāndharvaṃ gandharvāṇāmupabhogayogyam,	pitR loka upaBoga yogyam iti arTaH, gAnDarvam ganDarvANAm upaBoga yogyam,
   tathā devānāṃ daivam, prajāpateḥ prajāpatyam, brahmaṇa idaṃ brāhmaṃ vā;	taTA devAnAm dEvam, prajApateH prajApatyam, brahmaNaH idam brAhmam vA;
   yathākarma yathāśrutamanyeṣāṃvā bhūtānāṃ sambandhi śarīrāntaraṃ kuruta	yaTA akarma yaTASrutam anyezAMvA BUtAnAm sambanDi SarIra antaram kuruta
   ityabhisambanyate //4,4.4//	iti aBisambanyate //4,4.4//
   START BrhUp 4,4.5	START BrhUp 4,4.5
   sa vā ayam ātmā brahma vijñānamayo manomayo prāṇamayaś cakṣurmayaḥ	sa vE ayam AtmA brahma vijQAna mayaH manaH mayaH prANa mayaH cakzuH mayaH
   śrotramayaḥ pṛthivīmaya āpomayo vāyumaya ākāśamayas tejomayo 'tejomayaḥ	Srotra mayaH pRTivI mayaH ApaH mayaH vAyu mayaH AkASa mayaH tejaH mayaH atejaH mayaH
   kāmamayo 'kāmamayaḥ krodhamayo 'krodhamayo dharmamayo 'dharmamayaḥ	kAma mayaH akAma mayaH kroDa mayaH akroDa mayaH Darma mayaH aDarma mayaH
   sarvamayaḥ |	sarva mayaH |
   tad yad etad idaṃmayo 'domaya iti |	tat yat etat idaMmayaH adomayaH iti |
   yathākārī yathācārī tathā bhavati |	yaTAkArI yaTA AcArI taTA Bavati |
   sādhukārī sādhur bhavati |	sADu kArI sADuH Bavati |
   pāpakārī pāpo bhavati |	pApa kArI pApaH Bavati |
   puṇyaḥ puṇyena karmaṇā pāpaḥ pāpena |	puNyaH puNyena karmaNA pApaH pApena |
   atho khalv āhuḥ |	aTo Kalu AhuH |
   kāmamaya evāyaṃ puruṣa iti |	kAma mayaH eva ayam puruzaH iti |
   sa yathākāmo bhavati tatkratur bhavati |	sa yaTAkAmaH Bavati tad kratuH Bavati |
   yatkratur bhavati tat karma kurute |	yat kratuH Bavati tat karma kurute |
   yat karma kurute tad abhisaṃpadyate || BrhUp_4,4.5 ||	yat karma kurute tat aBisaMpadyate || BrhUp_4,4.5 ||
   BrhUpBh_4,4.5 yo 'sya bandhanasaṃjñakā upādhibhūtāḥ, yaiḥ	Brhu upBh_4,4.5 yaH asya banDana saMjQakAH upADiBUtAH, yEH
   saṃyuttkastanmaye 'yamiti vibhāvyate, te padārthāḥ puñjīkṛtyehaikatra	saMyuttkaH tad maye ayam iti viBAvyate, te padArTAH puQjIkRtya iha ekatra
   pratinirdiśyante sa vā ayaṃ ya evaṃ saṃsaratyātmā brahmaiva para eva yo	pratinirdiSyante  sa vE ayam yaH evam saMsarati AtmA brahma eva paraH eva yaH 
   'śanāyādyatīto, vijñānamayo vijñānaṃ budvistenopalaṅyamāṇastanmayaḥ /	aSanAyAt yatIto, vijQAna mayaH vijQAnam budviH tena upalaFyamANaH tad mayaH /
   katama ātmeti yo 'yaṃ vijñānamayaḥ prāṇeṣviti hayuktam /	katamaH AtmA iti yaH ayam vijQAna mayaH prANezu iti ha yuktam /
   vijñānamayo vījñānaprāyo yasmāttadvarmatvamasya vibhāvyate dhyāyatīva	vijQAna mayaH vIjQAna prAyaH yasmAt tat varma tvam asya viBAvyate DyAyati iva
   lelāyatīveti /	lelAyati iva iti /
   tathā manomayo manaḥ saṃnikarṣānmanomayaḥ /	taTA manaH mayaH manaH saMnikarzAt manaH mayaH /
   tathā prāṇamayaḥ prāṇaḥ pañcavṛttistanmayo yena cetanaścalatīva lakṣyate /	taTA prANa mayaH prANaH paQca vRttiH tad mayaH yena cetanaH calati iva lakzyate /
   tathā cakṣurmayo rūpadarśanakāle /	taTA cakzuH mayaH rUpa darSana kAle /
   evaṃ śrotramayaḥ śabdaśravaṇakāle /	evam Srotra mayaH Sabda SravaNa kAle /
   evaṃ tasya tasyendriyasya vyāpārodbhave tattanmayo bhavati /	evam tasya tasya indriyasya vyApAra udBave tad tad mayaH Bavati /
   evaṃ budviprāṇadvāreṇa cakṣurādikaraṇamayaḥ	evam budvi prANa dvAreNa cakzuH Adi karaNa mayaH
   sañśarīrārambhakapṛthivyādibhūtamayo bhavati /	san SarIra AramBaka pRTivI Adi BUta mayaH Bavati /
   tatra pārthivaśarīrārambhe pṛthivīmayo bhavati /	tatra pArTiva SarIra AramBe pRTivI mayaH Bavati /
   tathā varuṇādilokeṣvāpyaśarīrārambha āpomayo bhavati /	taTA varuNa Adi lokezu Api aSarIra AramBaH ApaH mayaH Bavati /
   tathā vāyavyaśarīrārambhe vāyumayo bhavati /	taTA vAyavya SarIra AramBe vAyu mayaH Bavati /
   tathā'kāśaśarīrārambha ākāśamayo bhavati /	taTA akASa SarIra AramBaH AkASa mayaH Bavati /
   evametāni taijasāni devaśarīrāṇi /	evam etAni tEjasAni deva SarIrANi /
   teṣvārabhyamāṇeṣu tanmayastejomayo bhavati /	tezu AraByamANezu tad mayaH tejaH mayaH Bavati /
   ato vyatiriktāni paśvādiśarīrāṇi narakapretādiśarīrāṇi cātejomayāni	atas vyatiriktAni paSu Adi SarIrANi naraka preta Adi SarIrANi ca atejaH mayAni
   tānyapekṣyā'hātejomaya iti /	tAni apekzyA aha atejaH mayaH iti /
   evaṃ kāryakaraṇasaṃghātamayaḥ sannātmā prāptavyaṃ vastvantaraṃ paśyannidaṃ	evam kArya karaNa saMGAta mayaH san= a AtmA prAptavyam vastu antaram paSyan= idam
   mayā prāptamado mayā prāptavyamityevaṃ viparītapratyayastadabhilāṣaḥ	mayA prApta madaH mayA prAptavyam iti evam viparIta pratyayaH tad aBilAzaH
   kāmamayo bhavati /	kAma mayaH Bavati /
   tasminkāme doṣaṃ paśyatastadviṣayābhilāṣapraśāme citaṃ prasannamakaluṣaṃ	tasmin kAme dozam paSyataH tad vizaya aBilAza praSAme citam prasannam akaluzam
   śāntaṃ bhavati /	SAntam Bavati /
   tanmayo 'kāmamayaḥ /	tad mayaH akAma mayaH /
   evaṃ tasminvihate kāmekenācitsa kāmaḥ krodhatvena pariṇamate tena tanmayo	evam tasmin vihate kAm ekena acid sa kAmaH kroDa tvena pariNamate tena tat mayaH 
   bhavankrodhamayaḥ /	Bavan kroDa mayaH /
   sa krodhaḥ kenacidupāyena nivartito yadā bhavati tadā prasannamanākulaṃ	sa kroDaH kenacid upAyena nivartitaH yadA Bavati tadA prasannam anAkulam
   citaṃ sadakrodha ucyate tena tanmayaḥ /	citam sat akroDaH ucyate tena tad mayaH /
   evaṃ kāmakrodhābhyāmakāmākrodhābhyāṃ ca tanmayo bhūtvā dharmamayo	evam kAma kroDa aByAma kAma akroDAByAm ca tad mayaH BUtvA Darmam ayaH 
   'dharmamayaśca bhavati /	aDarma mayaH ca Bavati /
   na hi kāmakrodhādibhirvinā dharmādipravṛttirūpapadyate /	na hi kAma kroDa AdiBiH vinA Darma Adi pravRtti rUpapadyate /
   "yadyadvi kurute karma tattatkāmasya ceṣṭitam" /	"yat yat vi kurute karma tat tad kAmasya cezwitam" /
   iti smaraṇāt /	iti smaraNAt /
   dharmamayo 'dharmayaśca bhūtvā sarvamayo bhavati /	Darma mayaH aDarmayaH ca BUtvA sarva mayaH Bavati /
   samastaṃ dharmādharmayoḥ kāryaṃ yāvartkicidvyākṛtaṃ tatsarvaṃ	samastam Darma aDarmayoH kAryam yAvartki cit vyAkRtam tat sarvam
   dharmādharmayoḥ phalaṃ tatpratipadyāmānastanmayo bhavati /	Darma aDarmayoH Palam tat pratipadyAmAnaH tad mayaH Bavati /
   kiṃ bahunā tadetatsidvamasya yadayamidaṃmayo	kim bahunA tat etat sidvam asya yat ayam idaMmayaH 
   gṛhyamāṇaviṣayādidaṃmayastasmādayamadomayaḥ /	gRhyamANa vizayAdi daMmayaH tasmAt ayam adaH mayaH /
   ada iti parokṣaṃ kāryeṇa gṛhyamāṇena nirdiśyate /	adaH iti parokzam kAryeNa gRhyamANena nirdiSyate /
   anantā hyantaḥkaraṇe bhāvanāviśeṣāḥ /	anantAH hi antaHkaraNe BAvanA viSezAH /
   naiva te viśeṣato nirdeṣṭuṃ śakyante /	na eva te viSezataH nirdezwum Sakyante /
   tasmistasminkṣaṇe kāryato 'vagamyanta idamasya hradi vartate 'dosyate tena	tasmiH tasmin kzaNe kAryataH avagamyante idam asya hradi vartate adosyate tena
   gṛhyamāṇakāryeṇedaṃmayatayā nirdiśyate parokṣo 'ntaḥstho vyavahāro	gRhyamANa kAryeNa idaMmaya tayA nirdiSyate parokzaH antaHsTaH vyavahAraH 
   'yamidānīmadomaya iti /	ayam idAnI m adaH mayaH iti /
   saṃkṣepatastu yathā kartuṃ yathā vā carituṃ śīlamasya so 'yaṃ yathākārī	saMkzepataH tu yaTA kartum yaTA vA caritum SIlam asya saH ayam yaTAkArI
   yathā cārī sa tathā bhavati /	yaTA cArI sa taTA Bavati /
   karaṇaṃ nāma niyatā kriyā vidhipratiṣedhādigamyā caraṇaṃ nāmāniyatamiti	karaNam nAma niyatA kriyA viDi pratizeDa Adi gamyA caraNam nAma aniyatam iti
   viśeṣaḥ /	viSezaH /
   sādhukārī sādhurbhavatīti yathākārītyasya viśeṣaṇaṃ pāpakārī pāpo	sADu kArI sADuH Bavati iti yaTAkArIti asya viSezaNam pApa kArI pApaH 
   bhavatīti ca yathācārītyasya /	Bavati iti ca yaTAcArI iti asya /
   tācchīlyapratyayopādānādatyantatātparyataiva tanmayatvaṃ na tu	tAt SIlya pratyaya upAdAnAt atyanta tAtparyatA eva tad maya tvam na tu
   tatkarmamātreṇotyāśaṅkayā'ha puṇyaḥ puṇyena karmaṇā bhavati pāpaḥ pāpeneti	tad karma mAtreNa uti ASaFkayA aha  puNyaH puNyena karmaNA Bavati pApaH pApena iti
   puṇyapāpakarmamātreṇaiva tanmayatā syānna tu tācchīlyamapekṣate /	puNya pApa karma mAtreNa eva tad maya tA syAt na tu tAt SIlyam apekzate /
   tācchīlye tu tanmayatvātiśaya ityayaṃ viśeṣaḥ /	tAt SIlye tu tad maya tva atiSayaH iti ayam viSezaH /
   tatra kāmakrodhādipūrvakapuṇyakāritā sarvamayatve hetuḥ saṃsārasya kāraṇaṃ	tatra kAma kroDa Adi pUrvaka puNya kAritA sarva maya tve hetuH saMsArasya kAraNam
   dehāddehāntarasaṃcārasya ca /	dehAt deha antara saMcArasya ca /
   etatprayukto hyanyadanyaddehāntaramupādatte /	etad prayuktaH hi anyat anyat deha antaram upAdatte /
   tasmātpuṇyāpuṇye saṃsārasya kāraṇam /	tasmAt puNya apuNye saMsArasya kAraNam /
   etadviṣayau hi vidhipratiṣedhau /	etad vizayO hi viDi pratizeDO /
   atra śāstrasya sāphalyamiti /	atra SAstrasya sAPalyam iti /
   atho apyanye bandhamokṣakuśalāḥ khalvāhuḥ satyaṃ kāmādipūrvake puṇyāpuṇye	aTo api anye banDa mokza kuSalAH Kalu AhuH  satyam kAma Adi pUrvake puNya apuNye
   śarīragrahaṇakāraṇaṃ tathāpi kāmaprayukto hi puruṣaḥ puṇyapuṇye karmaṇī	SarIra grahaNa kAraNam taTA api kAma prayuktaH hi puruzaH puNya puNye karmaNI
   upacinoti kāmaprahāṇe tu karma vidyāmānamapi puṇyapuṇyepacayakaraṃ na	upacinoti kAma prahANe tu karma vidyA mAnam api puNya puNyepa caya karam na
   bhavati /	Bavati /
   upacite api puṇyapuṇye karmaṇī kāmaśūnye phalārambhake na bhavataḥ /	upacite api puNya puNye karmaNI kAma SUnye Pala AramBake na BavataH /
   tasmātkāma eva saṃsārasya mūlam /	tasmAt kAmaH eva saMsArasya mUlam /
   tathā cektamātharvaṇe kāmānyaḥ kāmayate manyamānaḥ sa kāmabhirjāyate tatra	taTA cektam ATarvaNe  kAmAnyaH kAmayate manyamAnaH sa kAmaBiH jAyate tatra
   tatra iti /	tatra iti /
   tasmātkāmamaya evāyaṃ puruṣo yadanyamayatvaṃ tadakāraṇaṃ vidyānamapītyapto	tasmAt kAma mayaH eva ayam puruzaH yat anya maya tvam tat akAraNam vidyAnam api iti aptaH 
   'vadhārayati kāmamaya eveti /	avaDArayati kAma mayaH eva iti /
   yasmātsa ca kāmamayaḥ sanyādṛśena kāmena yathākāmo bhavati tatkraturbavati	yasmAt sa ca kAma mayaH sanyAdRSena kAmena yaTAkAmaH Bavati tat kratuH bavati
   sa kāma īṣadabhilāṣamātreṇābhivyakto yasminviṣaye bhavati so 'vihanyamānaḥ	sa kAmaH Izat aBilAza mAtreNa aBivyaktaH yasmin vizaye Bavati saH avihanyamAnaH
   sphuṭībhavankratutvāmāpadyate /	sPuwIBavan kratu tvAm Apadyate /
   kraturnādhyavasāyo niścayo yadanantarā kriyā pravartate /	kratuH na aDyavasAyaH niScayaH yat anantarA kriyA pravartate /
   yatkraturbhavati yādṛkkāmakāryeṇa kratunā yathārūpaḥ kraturasya so 'yaṃ	yat kratuH Bavati yAdRS kAma kAryeNa kratunA yaTArUpaH kratuH asya saH ayam
   yatkraturbhavati tatkarma kuruteyadviṣayaḥ kratustatphalanirvṛttaye	yat kratuH Bavati tat karma kuruteyat vizayaH kratuH tad Pala nirvRttaye
   yadyogyaṃ karma tatkurute nirvartayati /	yat yogyam karma tat kurute nirvartayati /
   yatkarma kurute tadabhisaṃpadyate, tadīyaṃ phalamabhisaṃpadyate /	yat karma kurute tad aBisaMpadyate, tadIyam Palam aBisaMpadyate /
   tasmātsarvamayatve 'sya saṃsāritve ca kāma heturiti //4,4.5//	tasmAt sarva maya tve asya saMsAri tve ca kAma hetuH iti //4,4.5//
   START BrhUp 4,4.6	START BrhUp 4,4.6
   tad eṣa śloko bhavati   	tat eza SlokaH Bavati   
   tad eva saktaḥ saha karmaṇaiti liṅgaṃ mano yatra niṣaktam asya |	tat eva saktaH saha karmaNA eti liFgam manaH yatra nizaktam asya |
   prāpyāntaṃ karmaṇas tasya yat kiñceha karoty ayam |	prApya antam karmaNaH tasya yat kiQca iha karoti ayam |
   tasmāl lokāt punar aity asmai lokāya karmaṇe |	tasmAt lokAt punar Eti asmE lokAya karmaNe |
   iti nu kāmayamānaḥ |	iti nu kAmayamAnaH |
   athākāmayamāno yo 'kāmo niṣkāma āptakāma ātmakāmo na tasya prāṇā	aTa akAmayamAnaH yaH akAmaH nizkAmaH Apta kAmaH Atma kAmaH na tasya prANA
   utkrāmanti |	utkrAmanti |
   brahmaiva san brahmāpyeti || BrhUp_4,4.6 ||	brahmA eva san brahma apyeti || BrhUp_4,4.6 ||
   BrhUpBh_4,4.6 tattasminnartha eṣa śloko mantropi bhavati /	Brhu upBh_4,4.6 tat tasmin= arTaH eza SlokaH mantropi Bavati /
   tadevaiti tadeva gacchati sakta āsaktastatrodbhūtābhilāṣaḥ sannityarthaḥ /	tat eva eti tat eva gacCati saktaH AsaktaH tatra udBUta aBilAzaH san= iti arTaH /
   kathameti /	kaTam eti /
   saha karmaṇā yatkarmaphalāsaktaḥ sannakarottena karmaṇā sahaiva tadeti	saha karmaNA yat karma Pala AsaktaH sannakara uttena karmaNA saha eva tadA iti
