   śrīgaruḍamahāpurāṇam	SrI garuxa mahApurANam
   vaiśyaḥ svakarmāṇi viśocate tadā gṛhītapāśo na mayāpi sañcitam /	vESyaH sva karmANi viSocate tadA gRhIta pASaH na mayA api saQcitam /
   satyaṃ na coktaṃ kraya vikrayeṇa mohādvimūḍhena kuṭumbahetave //	satyam na ca uktam kraya vikrayeNa mohAt vimUXena kuwumba hetave //
   GarP_2,48.14 //	GarP_2,48.14 //
   śūdraṃ vapuḥ prāpya yaśaskaraṃ sadā dānaṃ dvijebhyo na kṛtaṃ dvijārcanam /	SUdram vapuH prApya yaSaskaram sadA dAnam dvijeByaH na kRtam dvija arcanam /
   cdṛdadyatdadvaḍḍha ḍhaddhadṛthr dadṛdhḍḍhathrḍaḍḍhaddha	cdRdadyatdat vaxXa XadDa dRTH dadRDxXaTrxaxXadDa
   jalāśayo naiva kṛto dharātale asaṃskṛto vipravaro na saṃskṛtaḥ //	jalASayaH na eva kRtaH DarA tale asaMskRtaH vipra varaH na saMskRtaH //
   GarP_2,48.15 //	GarP_2,48.15 //
   tyaktvā svakarmāṇi madena susthitaṃ mayā sutīrthe svavapurna cojjhitam /	tyaktvA sva karmANi madena susTitam mayA sutIrTe sva vapuH na ca ujJitam /
   dharmorjito naiva na devapūjanaṃ kṛtaṃ mayā caiva vimuktihetave //	Darma UrjitaH na eva na deva pUjanam kRtam mayA ca eva vimukti hetave //
   GarP_2,48.16 //	GarP_2,48.16 //
   dehaṃ samāsādya tathaiva piṇḍajaṃ varṇāṃstathaivāntyajamlecchasaṃjñitān /	deham samAsAdya taTA eva piNxa jam varNAn= taTA eva antyajamlecCa saMjQitAn /
   marunmayaṃ dehamime viśanti naivehamānāḥ pathi dharmasaṃkule //	marut mayam deham ime viSanti nEva IhamAnAH paTi Darma saMkule //
   GarP_2,48.17 //	GarP_2,48.17 //
   parasparaṃ dharmakṛntaṃ svakīyaṃ sampādya lakṣyaṃ pathi sañcarantsvam /	parasparam Darma kRntam svakIyam sampAdya lakzyam paTi saQcarantsvam /
   pakṣīndra vākyāni śṛṇuṣva tāni manoramāṇi pravadanti yāni // GarP_2,48.18	pakzi indra vAkyAni SRNuzva tAni manoramANi pravadanti yAni // GarP_2,48.18
   sārā hi lokeṣu bhavettrilokī dvīpeṣu sarveṣu ca jambukākhyam /	sArA hi lokezu Bavet tri lokI dvIpezu sarvezu ca jambuka AKyam /
   deśeṣu sarveṣvapi devadeśaḥ jīveṣu sarveṣu manuṣya eva // GarP_2,48.19 //	deSezu sarvezu api deva deSaH jIvezu sarvezu manuzyaH eva // GarP_2,48.19 //
   varṇāśca catvāra iha praśastāḥ varṇeṣu dharmiṣṭhanarāḥ praśastāḥ /	varNAH ca catvAraH iha praSastAH varNezu DarmizWa narAH praSastAH /
   dharmeṇa saukhyaṃ samupaiti sarvaṃ jñānaṃ samāpnoti mahāpathe sthitaḥ //	DarmeNa sOKyam samupEti sarvam jQAnam samApnoti mahApaTe sTitaH //
   GarP_2,48.20 //	GarP_2,48.20 //
   dehaṃ parityajya yadā gatāyuḥ pakṣin sthito 'haṃ kṛmikīṭasaṃsthitaḥ /	deham parityajya yadA gata AyuH pakzin sTitaH aham kRmi kIwa saMsTitaH /
   sarīsṛpo 'haṃ maśako vinirmitaścatuṣpado 'haṃ vanasūkaro 'ham //	sarIsRpaH aham maSakaH vinirmitaH catuzpadaH aham vana sUkaraH aham //
   GarP_2,48.21 //	GarP_2,48.21 //
   sarvaṃ vijānāti hi garbhasaṃsthito jātaśca sadyastadidañca vismaret /	sarvam vijAnAti hi garBa saMsTitaH jAtaH ca sadyas tat idaQca vismaret /
   yaccintitaṃ garbhasamāgatena vai bālo yuvā vṛddhavayā babhūva //	yat cintitam garBa samAgatena vE bAlaH yuvA vRdDavayAH baBUva //
   GarP_2,48.22 //	GarP_2,48.22 //
   mohādvināṣṭaṃ yadi garbhacintitaṃ smṛtaṃ punarmṛtyugate cadehe /	mohAt vinAzwam yadi garBa cintitam smRtam punar mRtyu gate ca dehe /
   tasminpranaṣṭe hṛdi cintitaṃ gataṃ smṛtaṃ punargarbhagate ca dehe //	tasmin pranazwe hRdi cintitam gatam smRtam punar garBa gate ca dehe //
   GarP_2,48.23 //	GarP_2,48.23 //
   tasminpranaṣṭe hṛdi cintitaṃ punarmayā svakośe paravañcanaṃ kṛtam /	tasmin pranazwe hRdi cintitam punar mayA sva koSe para vaQcanam kRtam /
   dyūtaiśchalenāpi ca cauryavṛttyā dharmaṃ vyatikramya śarīrarakṣaṇe //	dyUtEH Calena api ca cOrya vRttyA Darmam vyatikramya SarIra rakzaNe //
   GarP_2,48.24 //	GarP_2,48.24 //
   kṛcchreṇa lakṣmīḥ samupārjitā svayaṃ mayā na bhuktaṃ manasepsitaṃ dhanam /	kRcCreNa lakzmIH samupArjitA svayam mayA na Buktam manasA Ipsitam Danam /
   tāmbūlamannaṃ madhuraṃ sagorasaṃ dattvāgnidevātithibandhuvarge //	tAmbUlam annam maDuram sa gorasam dattvA agni deva atiTi banDu varge //
   GarP_2,48.25 //	GarP_2,48.25 //
   somagrahe sūryasamāgamepi vā na sevitaṃ tīrthavariṣṭhamuttamam /	soma grahe sUrya samAgamepi vA na sevitam tIrTa varizWam uttamam /
   kośaṃ svakīyaṃ malamūtrapūritaṃ dehinkvacinnistara yattvayā kṛtam //	koSam svakIyam mala mUtra pUritam dehin kvacid nistara yat tvayA kRtam //
   GarP_2,48.26 //	GarP_2,48.26 //
   mayā na dṛṣṭā na natā na pūjitā traivikramī mūrtiriha sthitā bhuvi /	mayA na dRzwA na natA na pUjitA trEvikramI mUrtiH iha sTitAH Buvi /
   prabhāsanātho na ca bhaktisaṃstuto dehinkvacinnistara yattvayā kṛtam //	praBAsanATaH na ca Bakti saMstutaH dehin kvacid nistara yat tvayA kRtam //
   GarP_2,48.27 //	GarP_2,48.27 //
   gatvā variṣṭhe bhuvi tīrthasannidhau dhanaṃ na dattaṃ viduṣāṃ kare mayā /	gatvA varizWe Buvi tIrTa sanniDO Danam na dattam viduzAm kare mayA /
   āplutya dehaṃ vidhinā dvije gurau dihinkvacinnistara yattvayā kṛtam //	Aplutya deham viDinA dvije gurO dihin kvacit nistara yat tvayA kRtam //
   GarP_2,48.28 //	GarP_2,48.28 //
   na mātṛpūjā na ca viṣṇuśaṅkarau gaṇeśacaṇaḍyau na ca bhāskaro 'pi vā /	na mAtR pUjA na ca vizNu SaFkarO gaNeSa caNaxyO na ca BAskaraH api vA /
   yañcopacārairbaliyuktacandanairdehinkvacinnistara yattvayā kṛtam //	yaQca upacArEH bali yukta candanEH dehin kvacid nistara yat tvayA kRtam //
   GarP_2,48.29 //	GarP_2,48.29 //
   labdhā mayā mānavadevatopamā mohādgatā sarvamidañca pārthiva /	labDA mayA mAnava devatA upamA mohAt gatA sarvam idaQca pArTiva /
   gatiṃ na vīkṣeta sa vai vimūḍhadhīrdehinkvacinnistara yattvayā kṛtam //	gatim na vIkzeta sa vE vimUXa DIH dehin kvacid nistara yat tvayA kRtam //
   GarP_2,48.30 //	GarP_2,48.30 //
   etāni pakṣinmanasā vicintya vākyāni dharmārthayaśaskarāṇi /	etAni pakzin manasA vicintya vAkyAni Darma arTa yaSaskarANi /
   muktiṃ samāyānti manuṣyaloke vasanti ye dharmaratāḥ sudeśe // GarP_2,48.31	muktim samAyAnti manuzya loke vasanti ye Darma ratAH su deSe // GarP_2,48.31
   iti bruvāṇairyamadhūtavargairvihanyate kālamayaiśca mudgaraiḥ /	iti bruvANEH yama DUta vargEH vihanyate kAla mayEH ca mudgarEH /
   hā daiva hā daiva iti smaran vai dhanaṃ na dattaṃ svayamarjitaṃ yat //	hA dEva hA dEvaH iti smaran vE Danam na dattam svayam arjitam yat //
   GarP_2,48.32 //	GarP_2,48.32 //
   na bhūmidānaṃ na ca gopradānaṃ na vāridānaṃ na ca vastradānam /	na BUmi dAnam na ca go pradAnam na vAri dAnam na ca vastra dAnam /
   phalaṃ satāmbūlavilepanaṃ vā tvayā na dattaṃ bhuvi śocase katham //	Palam sa tAmbUla vilepanam vA tvayA na dattam Buvi Socase kaTam //
   GarP_2,48.33 //	GarP_2,48.33 //
   pitā mṛtaste ca pitāmahaḥ sā yayā dhṛto vāpyudare svakīye /	pitA mRtaH te ca pitAmahaH sA yayA DRtaH vA api udare svakIye /
   mṛto 'pyasau bandhujanaḥ samasto dṛṣṭaṃ tvayā sarvamidaṃ gatāyaḥ //	mRtaH api asO banDu janaH samastaH dRzwam tvayA sarvam idam gatAyaH //
   GarP_2,48.34 //	GarP_2,48.34 //
   kośaṃ tvadīyaṃ jvalitañca vahninā puttrairgṛhīto dhanadhānya sañcayaḥ /	koSam tvadIyam jvalitaQca vahninA puttrEH gRhItaH Dana DAnya saQcayaH /
   subhāṣitaṃ dharmacayaṃ kṛtañca yattadeva gacchettava pṛṣṭhasaṃstham //	suBAzitam Darma cayam kRtaQca yat tat eva gacCet tava pRzWa saMsTam //
   GarP_2,48.35 //	GarP_2,48.35 //
   na dṛśyate ko 'pi mṛtaḥ samāgato rājā yatirvā dvijapuṅgavo 'pi vā /	na dRSyate kaH api mRtaH samAgataH rAjA yatiH vA dvija puFgavaH api vA /
   yo vai mṛtaḥ sāhasikaḥ sa martyako nāśaṃ yo 'pi dharātale sthitaḥ //	yaH vE mRtaH sAhasikaH sa martyakaH nASam yaH api DarA tale sTitaH //
   GarP_2,48.36 //	GarP_2,48.36 //
   evaṃ gaṇāste bruvate sakinnarā dhairyaṃ samālambya vipādapūritaḥ /	evam gaNAH te bruvate sa kinnarAH DEryam samAlambya vipAda pUritaH /
   śrutvā gaṇānāṃ vacanaṃ mahādbhutaṃ bravīti pakṣīndra manuṣyatāṃ gataḥ //	SrutvA gaNAnAm vacanam mahA adButam bravIti pakzi indra manuzya tAm gataH //
   GarP_2,48.37 //	GarP_2,48.37 //
   dānaprabhāveṇa vimānasaṃsthito dharmaḥ pitā mātṛdayānurūpiṇī /	dAna praBAveNa vimAna saMsTitaH DarmaH pitA mAtR daya anurUpiNI /
   vāṇī kalatraṃ madhurārthabhāṣiṇī snānaṃ sutīrthe ca subandhavargaḥ //	vANI kalatram maDura arTa BAziNI snAnam sutIrTe ca subanDa vargaH //
   GarP_2,48.38 //	GarP_2,48.38 //
   karārpitaṃ yatsukṛtaṃ samastaṃ svargastadā syāttava kiṅkaropamaḥ /	kara arpitam yat sukRtam samastam svargaH tadA syAt tava kiFkara upamaH /
   yo dharmavān prāpsyati so 'tisaukhyaṃ pāpī samastaṃ vividhañca duḥkham //	yaH DarmavAn prApsyati saH ati sOKyam pApI samastam viviDaQca duHKam //
   GarP_2,48.39 //	GarP_2,48.39 //
   yo dharmaśīlo jitamānaroṣo vidyāvinīto na paropatāpī /	yaH Darma SIlaH jita mAna rozaH vidyA vinItaH na para upatApI /
   svadāratuṣṭaḥ paradāradūraḥsa vai naro no bhuvi vandanīyaḥ // GarP_2,48.40	sva dAra tuzwaH para dAradUraH sa vE naraH naH Buvi vandanIyaH // GarP_2,48.40
   miṣṭānnadātā caritāgnihotro vedāntaviccandrasahasrajīvī /	mizwa anna dAtA carita agnihotraH vedAnta vid candra sahasra jIvI /
   māsopavāsī ca pativratā caṣaḍ jīvaloke mama vandanīyāḥ // GarP_2,48.41 //	mAsa upavAsI ca pativratA cazaw jIva loke mama vandanIyAH // GarP_2,48.41 //
   evaṃ samācārayuto naro 'pi vāpīṃ sakūpāṃ sajalaṃ taḍāgam /	evam samAcAra yutaH naraH api vApIm sa kUpAm sa jalam taxAgam /
   prapāśubhaṃ hṛdgṛhadevamandiraṃ kṛtaṃ nareṇaiva sa dharmauttamaḥ //	prapA aSuBam hRd gRha deva mandiram kRtam nareNa eva sa Darma OttamaH //
   GarP_2,48.42 //	GarP_2,48.42 //
   varṣāśanaṃ vedavide ca dattaṃ kanyāvivāhastvṛṇamocanaṃ dvije /	varza aSanam veda vide ca dattam kanyA vivAhaH tu RNamocanam dvije /
   bhūmiḥ sukṛṣṭāpi tṛṣārtihetostadevametaṃ sukṛtat samastam // GarP_2,48.43	BUmiH su kRzwA api tRzA Arti hetoH tat evam etam sukRtat samastam // GarP_2,48.43
   adhyāyamenaṃ sukṛtasya sāraṃ śṛṇoti gāyatyapi bhāvaśuddhyā /	aDyAyam enam sukRtasya sAram SRNoti gAyati api BAva SudDyA /
   sa vai kulīnaḥ sa ca dharmayukto viśvālayaṃ yāti paraṃ sa nūnam //	sa vE kulInaH sa ca Darma yuktaH viSva Alayam yAti param sa nUnam //
   GarP_2,48.44 //	GarP_2,48.44 //
   iti śrīgāruḍe mahāpurāṇe uttarakhaṇḍe dvitīyāṃśe dharmakāṇḍe pretakalpe	iti SrI gAruxe mahApurANe uttara KaNxe dvitIya aMSe Darma kANxe preta kalpe
   śrīkṛṣṇagaruḍasaṃvāde manuṣyasya sukhaduḥ khaprāpakadharmādharmanirūpaṇaṃ	SrI kRzNa garuxa saMvAde manuzyasya suKa duH Ka prApaka Darma aDarma nirUpaNam
   nāmāṣṭacatvāriṃśattamo 'dhyāyaḥ	nAma azwacatvAriMSattamaH aDyAyaH
   śrīgaruḍamahāpurāṇam  49	SrI garuxa mahApurANam 49
   garuḍa uvāca /	garuxaH uvAca /
   śrutā mayā dayāsindho hyajñānājjīvasaṃsṛtiḥ /	SrutA mayA dayA sinDaH hi ajQAnAt jIva saMsRtiH /
   adhunā śrotumicchāmi mokṣopāyaṃ sanātanam // GarP_2,49.1 //	aDunA Srotum icCAmi mokza upAyam sanAtanam // GarP_2,49.1 //
   bhagavandevadeveśa śaraṇāgatavatsala /	Bagavan devadeveSa SaraNa Agata vatsala /
   asāre ghorasaṃsāre sarvaduḥ khamalīmase // GarP_2,49.2 //	asAre Gora saMsAre sarvaduH KamalImase // GarP_2,49.2 //
   nānāvidhaśarīrasthā anantā jīvarāśayaḥ /	nAnAviDa SarIra sTAH anantA jIvara ASayaH /
   jāyante ca mriyante ca teṣāmanto na vidyate // GarP_2,49.3 //	jAyante ca mriyante ca tezAm antaH na vidyate // GarP_2,49.3 //
   sadā duḥ khāturā eva na sakhī vidyate kkacit /	sadA duH Ka AturAH eva na saKI vidyate kkacid /
   kenopāyena mokṣeśa mucyante vada me prabho // GarP_2,49.4 //	kena upAyena mokza ISa mucyante vada me praBo // GarP_2,49.4 //
   śrībhagavānubāca /	SrI Bagava anubAca /
   śṛṇu tārkṣya pravakṣyāmi yanmāṃ tvaṃ paripṛcchasi /	SRNu tArkzya pravakzyAmi yat mAm tvam paripRcCasi /
   yasya śravaṇamātreṇa saṃsārānmucyate naraḥ // GarP_2,49.5 //	yasya SravaNa mAtreNa saMsArAt mucyate naraH // GarP_2,49.5 //
   asti devaḥ parabrahmasvarūpo niṣkalaḥ śivaḥ /	asti devaH para brahma svarUpaH nizkalaH SivaH /
   sarvajñaḥ sarvakartā ca sarveśo nirmalo 'dvayaḥ // GarP_2,49.6 //	sarvajQaH sarva kartA ca sarva ISaH nirmalaH advayaH // GarP_2,49.6 //
   svayañjyotiranādyanto nirvikāraḥ parātparaḥ /	svayan jyotiH anAdyantaH nirvikAraH parAtparaH /
   nirguṇaḥ saccidānandastadaṃśā jīvasaṃjñakāḥ // GarP_2,49.7 //	nirguNaH saccidAnandaH tad aMSAH jIva saMjQakAH // GarP_2,49.7 //
   anādyavidyopahatā yathāgnau visphuliṅgakāḥ /	anAdya vidyA upahatAH yaTA agnO visPuliFgakAH /
   dehādyupādhisambhinnāste karmabhiranādibhiḥ // GarP_2,49.8 //	deha Adi upADi samBinnAste karmaBiH anAdiBiH // GarP_2,49.8 //
   sukhaduḥ khapradaiḥ puṇyapārūpairniyantritāḥ /	suKa duH Ka pradEH puNya pArUpEH niyantritAH /
   tattajjātiyutaṃ dehamāyurbhogañca karmajam // GarP_2,49.9 //	tad tat jAti yutam deham AyuH BogaQca karma jam // GarP_2,49.9 //
   pratijanma prapadyante teṣāmapi paraṃ punaḥ /	pratijanma prapadyante tezAm api param punar /
   sasūkṣmaliṅgaśarīramāmokṣādakṣaraṃ khaga // GarP_2,49.10 //	sa sUkzma liFga SarIram AmokzAt akzaram Kaga // GarP_2,49.10 //
   sthāvarāḥ kṛmayaścājāḥ pakṣiṇaḥ paśavo nagaḥ /	sTAvarAH kRmayaH ca AjAH pakziNaH paSavaH nagaH /
   dhārmikāstridaśāstadvanmokṣiṇaśca yathākramam // GarP_2,49.11 //	DArmikAH tridaSAH tadvat mokziNaH ca yaTAkramam // GarP_2,49.11 //
   caturvidhaśarīrāṇi dhṛtvā muktvā sahasraśaḥ /	caturviDa SarIrANi DRtvA muktvA sahasraSas /
   sukṛtānmā navo bhūtvā jñānī cenmokṣamāpnuyāt // GarP_2,49.12 //	sukRtAn mA navaH BUtvA jQAnI ced mokzam ApnuyAt // GarP_2,49.12 //
   caturaśītilakṣeṣu śarīreṣu śarīriṇām /	caturaSIti lakzezu SarIrezu SarIriNAm /
   na mānuṣaṃ vinānyatra tattvajñānantu labhyate // GarP_2,49.13 //	na mAnuzam vinA anyatra tattva jQAnantu laByate // GarP_2,49.13 //
   atra janmasahasrāṇāṃ sahasrairapi koṭibhiḥ /	atra janma sahasrANAm sahasrEH api kowiBiH /
   kadācillabhate janturmānuṣyaṃ puṇyasañcayāt // GarP_2,49.14 //	kadAcid laBate jantuH mAnuzyam puNya saQcayAt // GarP_2,49.14 //
   sopānabhūtaṃ mokṣasya mānuṣyaṃ prāpya durlabham /	sopAna BUtam mokzasya mAnuzyam prApya durlaBam /
   yastāra yati nātmānaṃ tasmātpāpataro 'tra kaḥ // GarP_2,49.15 //	yaH tAra yati na AtmAnam tasmAt pApataraH atra kaH // GarP_2,49.15 //
   naraḥ prāpyetarajjanma labdhvā cendriyasauṣṭhavam /	naraH prApya itarat janma labDvA ca indriya sOzWavam /
   na vettyātmahitaṃ yastu sa bhavedbrahmaghātakaḥ // GarP_2,49.16 //	na vetti Atma hitam yaH tu sa Bavet brahma GAtakaH // GarP_2,49.16 //
   vinā dehena kasyāpi puruṣārtho na vidyate /	vinA dehena kasya api puruza arTaH na vidyate /
   tasmāddehaṃ dhanaṃ rakṣetpuṇyakarmāṇi sādhayet // GarP_2,49.17 //	tasmAt deham Danam rakzet puNya karmANi sADayet // GarP_2,49.17 //
   rakṣeccasarvadātmānamātmā sarbvasya bhājanam /	rakzet ca sarvadAtmAnam AtmA sarbvasya BAjanam /
   rakṣaṇe yatnamātiṣṭhejjīvan bhadrāṇi paśyati // GarP_2,49.18 //	rakzaNe yatnam AtizWet jIvan BadrANi paSyati // GarP_2,49.18 //
   punargrāmaḥ punaḥ kṣetra punarvittaṃ punargṛham /	punar grAmaH punar kzetra punar vittam punar gRham /
   punaḥ śubhāśubhaṃ karma na śarīraṃ punaḥ punaḥ // GarP_2,49.19 //	punar SuBa aSuBam karma na SarIram punar punar // GarP_2,49.19 //
   śarīrarakṣaṇopāyāḥ kri yante sarvadā budhaiḥ /	SarIra rakzaNa upAyAH kri yante sarvadA buDEH /
   necchanti ca punastyāgamapi kuṣṭhādirogiṇaḥ // GarP_2,49.20 //	na icCanti ca punar tyAgam api kuzWa Adi rogiNaH // GarP_2,49.20 //
   tadgopitaṃ syāddharmārthaṃ dharmo jñānārthameva ca /	tad gopitam syAt Darma arTam DarmaH jQAna arTam eva ca /
   jñānaṃ tu dhyānayogārthamacirātpravimucyate // GarP_2,49.21 //	jQAnam tu DyAna yoga arTam acirAt pravimucyate // GarP_2,49.21 //
   ātmaiva yadi nātmānamahītebhyo nivārayet /	AtmA eva yadi na AtmAna mahIteByaH nivArayet /
   ko 'nyo hitakarastasmādātmānaṃ sukhayiṣyati // GarP_2,49.22 //	kaH anyaH hita karaH tasmAt AtmAnam suKayizyati // GarP_2,49.22 //
   ihaiva narakavyādheścikitsāṃ na karoti yaḥ /	iha eva naraka vyADeH cikitsAm na karoti yaH /
   gatvā nirauṣadhaṃ deśaṃ vyādhimthaḥ kiṃ kariṣyati // GarP_2,49.23 //	gatvA nirOzaDam deSam vyADimTaH kim karizyati // GarP_2,49.23 //
   vyāghrīvāste jarā cāyuryāti bhinnaghaṭāmbuvat /	vyAGrI iva Aste jarA ca AyuH yAti Binna Gawa ambu vat /
   nighnanti ripuvadrogāstasmācchreyaḥ samabhyaseta // GarP_2,49.24 //	niGnanti ripu vat rogAH tasmAt SreyaH samaByaseta // GarP_2,49.24 //
   yāvannāśrayate duḥ khaṃ yāvannāyānti cāpadaḥ /	yAvat na ASrayate duH Kam yAvat na AyAnti ca ApadaH /
   yāvannendriyavaikalyaṃ tāvacchreyaḥ samabhyaset // GarP_2,49.25 //	yAvat na indriya vEkalyam tAvat SreyaH samaByaset // GarP_2,49.25 //
   yāvattiṣṭhati deho 'yaṃ tāvattattvaṃ samabhyaset /	yAvat tizWati dehaH ayam tAvat tattvam samaByaset /
   sandīptakośabhavane kūpaṃ khanati durmatiḥ // GarP_2,49.26 //	sandIpta koSa Bavane kUpam Kanati durmatiH // GarP_2,49.26 //
   kālo na jñāyate nānākāryaiḥ saṃsārasambhavaiḥ /	kAlaH na jQAyate nAnA kAryEH saMsAra samBavEH /
   sukhaṃ duḥkhaṃ jano hanta na vetti hitamātmanaḥ // GarP_2,49.27 //	suKam duHKam janaH hanta na vetti hitam AtmanaH // GarP_2,49.27 //
   jātānārtānmṛtānāpadbhaṣṭāndṛṣṭvā ca duḥ khitān /	jAta anArtAn mRtAn ApadBazwAn dRzwvA ca duH KitAn /
   loko mohasurāṃ pītvā na bibheti kadācana // GarP_2,49.28 //	lokaH moha surAm pItvA na biBeti kadAcana // GarP_2,49.28 //
   sampadaḥ svapnasaṃkāśā yauvanaṃ kusumopamam /	sampadaH svapna saMkASAH yOvanam kusuma upamam /
   taḍiccapalamāyuṣyaṃ kasya syājjānato dhṛtiḥ // GarP_2,49.29 //	taxit ca palam Ayuzyam kasya syAt jAnataH DRtiH // GarP_2,49.29 //
   śataṃ jīvitamatyalpaṃ nidrālasyaistadardhakam /	Satam jIvitam ati alpam nidrA AlasyEH tad arDakam /
   bālyarogajarāduḥ khairalpaṃ tadapi niṣphalam // GarP_2,49.30 //	bAlya roga jarAduH KEH alpam tat api nizPalam // GarP_2,49.30 //
   prārabdhavye nirudyogī jāgartavye prasuptakaḥ /	prArabDavye nirudyogI jAgartavye prasuptakaH /
   viśvastaśca bhayasthāne hā naraḥ ko na hanyate // GarP_2,49.31 //	viSvastaH ca Baya sTAne hA naraH kaH na hanyate // GarP_2,49.31 //
   toyaphenasame dehe jīvenākramya saṃsthite /	toya Pena same dehe jIvena Akramya saMsTite /
   anityāprayasavāse katha tiṣṭhati nirbhayaḥ // GarP_2,49.32 //	anitya aprayasa vAse kaTa tizWati nirBayaH // GarP_2,49.32 //
   ahite hitasaṃjñaḥ syādadhruve dhruvasaṃjñakaḥ /	ahite hita saMjQaH syAt aDruve Druva saMjQakaH /
   anarthe cārthavijñānaḥ svamarthaṃ yo na vetti saḥ // GarP_2,49.33 //	anarTe ca arTa vijQAnaH svam arTam yaH na vetti saH // GarP_2,49.33 //
   paśyannapi praskhalati śṛṇvannapi na budhyati /	paSyan= api prasKalati SRNvan= api na buDyati /
   paṭhannapi na jānāti devamāyāvimohitaḥ // GarP_2,49.34 //	paWan= api na jAnAti deva mAyA vimohitaH // GarP_2,49.34 //
   tannimajjajjagadidaṃ gambhīre kālasāgare /	tat nimajjat jagat idam gamBIre kAla sAgare /
   mṛtyurogajarāgrāhairna kaścidapi budhyate // GarP_2,49.35 //	mRtyu roga jarA grAhEH na kaScid api buDyate // GarP_2,49.35 //
   pratikṣaṇabhayaṃ kālaḥ kṣīyamāṇo na lakṣyate /	pratikzaNa Bayam kAlaH kzIyamANaH na lakzyate /
   āmakuṃbha ivāṃbhaḥ stho viśīrṇo na vibhāvyate // GarP_2,49.36 //	Ama kuMBaH iva aMBaH sTaH viSIrNaH na viBAvyate // GarP_2,49.36 //
   yujyate veṣṭanaṃ vāyorākāśasya ca khaṇḍanam /	yujyate vezwanam vAyoH AkASasya ca KaNxanam /
   grathanañca taraṅgāṇāmāsthā nāyuṣi yujyate // GarP_2,49.37 //	graTanaQca taraFgANAm AsTA na Ayuzi yujyate // GarP_2,49.37 //
   pṛthivī dahyate yena meruścāpi viśīryate /	pRTivI dahyate yena meruH ca api viSIryate /
   śuṣyate sāgarajalaṃ śarīrasya ca kā kathā // GarP_2,49.38 //	Suzyate sAgara jalam SarIrasya ca kA kaTAH // GarP_2,49.38 //
   apatyaṃ me kalatraṃ me dhanaṃ me bāndhavāśca me /	apatyam me kalatram me Danam me bAnDavAH ca me /
   jalpantamiti martyājaṃ hanti kālavṛko balāt // GarP_2,49.39 //	jalpantam iti martya Ajam hanti kAlavRkaH balAt // GarP_2,49.39 //
   idaṃ kṛtamidaṃ kāryamidamanyatkṛtākṛtam /	idam kRtam idam kAryam idam anyat kRta akRtam /
   evamīhāsamāyuktaṃ kṛtāntaḥ kurute vaśam // GarP_2,49.40 //	evam IhA samAyuktam kRtAntaH kurute vaSam // GarP_2,49.40 //
   śvaḥ kāryamadya kurvīta pūrvāhne cāparāhnikam /	Svas kAryam adya kurvIta pUrvAhne ca aparAhnikam /
   na hi mṛtyuḥ pratīkṣeta kṛtaṃ vāpyatha vākṛtam // GarP_2,49.41 //	na hi mRtyuH pratIkzeta kRtam vA api aTa vA akRtam // GarP_2,49.41 //
   jarādarśitapanthānaṃ pracaṇḍavyādhisainikam /	jarA darSita panTAnam pracaNxa vyADi sEnikam /
   adhiṣṭhito mṛtyuśatruṃ trātāraṃ kiṃ na paśyati // GarP_2,49.42 //	aDizWitaH mRtyu Satrum trAtAram kim na paSyati // GarP_2,49.42 //
   tṛṣṇāsūcīvinirbhinnaṃ siktaṃ viṣayasarpiṣā /	tRzNA sUcI vinirBinnam siktam vizaya sarpizA /
