   darpadalanam	darpa-dalanam
   bṛsīṃ samutkṣipya sakampabāhuś cikṣepa kaścitkṣamayā vihīnaḥ /	bRsIm samutkzipya sa-kampa-bAhuH cikzepa kaScid-kzamayA vihInaH /
   yenāsanātkṣmāvirahādivāśu mohe nirālambatanuḥ papāta // KDarp_7.56 //	yena-AsanAt-kzmA-virahAt-iva-ASu mohe nirAlamba-tanuH papAta // KDarp_7.56 //
   kamaṇḍaluṃ kaścidakāṇḍacaṇḍa- saṃrambhapiṇḍīkṛtakopatulyam /	kamaNxalum kaScid-akANxa-caNxa saMramBa-piNxIkRta-kopa-tulyam /
   ādāya mohena pinākapāṇeḥ puraḥ prahārābhimukho babhūva // KDarp_7.57 //	AdAya mohena pinAkapANeH puras prahAra-aBimuKaH baBUva // KDarp_7.57 //
   teṣāmamarṣādbhṛśamakṣamāṇāṃ soḍhuṃ nikāraṃ kṣaṇamakṣamāṇām /	tezAm-amarzAt-BRSam-akzamANAm soXum nikAram kzaNam-akzamANAm /
   prāpuḥ prayātāḥ kṣitimakṣamālā bhrūbhaṅgatāṃ tasya tapovanasya //	prApuH prayAtAH kzitim-akza-mAlA BrU-BaFga-tAm tasya tapaH-vanasya //
   KDarp_7.58 //	KDarp_7.58 //
   tatsaṃbhramādāśramamañjarīṇāṃ kampākulānāṃ kusumāntarotthaiḥ /	tad-saMBramAt-ASrama-maQjarINAm kampa-AkulAnAm kusuma-antara-utTEH /
   āsītpramohapratimo 'ndhakāraḥ śāpākṣarāmairbhramarairbhramadbhiḥ //	AsIt-pramoha-pratimaH anDakAraH SApa-akza-rAmEH-BramarEH-BramadBiH //
   KDarp_7.59 //	KDarp_7.59 //
   te prāpurīrṣyāpadamandhakāri vaktraṃ śaśāṅkopamamīkṣamāṇāḥ /	te prApuH-IrzyA-padam-anDakAri vaktram SaSAFka-upamam-IkzamANAH /
   kaṇṭhasthalālokanakālakūṭa- saṃpūritākṣā iva mohamūrcchām // KDarp_7.60 //	kaNWa-sTala-Alokana-kAlakUwa saMpUrita-akzAH iva moha-mUrcCAm // KDarp_7.60 //
   te taṃ smitaprasphuritādharāgram udagralāvaṇyaviśeṣatarṣāḥ /	te tam smita-prasPurita-aDara-agram udagra-lAvaNya-viSeza-tarzAH /
   patnīvikārogranikāramūcuḥ kaṇṭhāntaraśvāsavikīrṇavarṇāḥ // KDarp_7.61 //	patnI-vikAra-ugra-nikAram-UcuH kaNWa-antara-SvAsa-vikIrNa-varNAH // KDarp_7.61 //
   ko 'yaṃ vijātirviguṇaḥ kalāvān nagno vṛṣāṅkaḥ praviśatyalajjaḥ /	kaH ayam vijAtiH-viguNaH kalAvAn nagnaH vRzAFkaH praviSati-alajjaH /
   pradūṣitā yena maharṣijuṣṭā gaṅgeva śuddhā lalanāvalīyam // KDarp_7.62 //	pradUzitAH yena mahA-Rzi-juzwA gaFgA-iva SudDA lalanAvalIyam // KDarp_7.62 //
   anena saṃsūcayatā nigūḍha- rūpeṇa darpādakulīnabhāvam /	anena saMsUcayatA nigUXa rUpeNa darpAt-akulIna-BAvam /
   nītā pavitratvamiyaṃ munīnāṃ kāpālikeneva vanāntabhūmiḥ // KDarp_7.63 //	nItA pavitra-tvam-iyam munInAm kApAlikena-iva vanAnta-BUmiH // KDarp_7.63 //
   aho batāsya pratibhā prasahya satīsamāliṅganasaspṛhasya /	aho bata-asya pratiBA prasahya satI-samAliFganasa-spRhasya /
   kenāpi kāmatkuhakakrameṇa kāntaṃ kṛtaṃ rūpamanena nūnam // KDarp_7.64 //	kena-api kAmat-kuhaka-krameNa kAntam kRtam rUpam-anena nUnam // KDarp_7.64 //
   uktveti tasmai sasṛjuḥ sakopās te daṇḍapāṣāṇabṛsīśatāni /	uktvA-iti tasmE sasRjuH sa-kopAH te daNxa-pAzANa-bRsI-SatAni /
   dveṣāvṛtākṣṇāmavivekajanmā mohaḥ pramāde gurutāmupaiti // KDarp_7.65 //	dveza-AvRta-akzNAma-viveka-janmA mohaH pramAde guru-tAm-upEti // KDarp_7.65 //
   dūre bhavatyatha śanaiḥ śiśirāṃśumaulau teṣaṃ prakopavipulānalatāpitānām /	dUre Bavati-aTa SanEs SiSirAMSu-mOlO tezam prakopa-vipula-anala-tApitAnAm /
   taddarśanānusaraṇaprasṛtasya yatnaḥ patnījanasya sutarāṃ vinivartane 'bhūt	tad-darSana-anusaraNa-prasRtasya yatnaH patnI-janasya sutarAm vinivartane aBUt-
   // KDarp_7.66 //	// KDarp_7.66 //
   atha sa bhagavānbhargaḥ svargāpagāpṛthunirjhara-	aTa sa BagavAn-BargaH svarga-ApagA-pRTu-nirJara-
   prasṛtahasitastasmādeśātkrameṇa tirohitaḥ /	prasRta-hasitaH-tasmAt-eSAt-krameNa tirohitaH /
   praśamavimalaṃ vyoma vyāpya priyāmavadatsmaya- smitasitamukhīṃ dṛṣṭaṃ devi	praSama-vimalam vyoma vyApya priyAm-avadat-smaya smita-sita-muKIm dRzwam devi
   tvayā municeṣṭitam // KDarp_7.67 //	tvayA muni-cezwitam // KDarp_7.67 //
   bhasmasmeraśarīratā pṛthujaṭābandhaḥ śiromuṇḍanaṃ kuṇḍī	Basma-smera-SarIra-tA pRTu-jawA-banDaH SiromuNxanam kuNxI
   daṇḍakamaṇḍalupraṇayitā carmākṣasūtragrahaḥ /	daNxaka-maNxalu-praNayitA carma-akza-sUtra-grahaH /
   kāṣāyavyasanaṃ nirambararuciḥ kaṅkālamālādhṛtiḥ	kAzAya-vyasanam nirambara-ruciH kaFkAla-mAlA-DRtiH
   kāmakrodhavaśādviśeṣaruciraṃ sarvaṃ vṛthaiva vratam // KDarp_7.68 //	kAma-kroDa-vaSAt-viSeza-ruciram sarvam vRTA-eva vratam // KDarp_7.68 //
   darpotkopātparaṇitajaṭāsūtrabandhacca mohād	darpa-utkopAt-paraNita-jawA-sUtra-banDat-ca mohAt-
   antaḥsīdatsarasaviṣayāsvādasaṃvādasaṅgāt /	antar-sIdat-sarasa-vizaya-AsvAda-saMvAda-saFgAt /
   āśāpāśavyasananicayādvāsanālīnadoṣān naiṣāṃ muktirbhavati tapasā	ASA-pASa-vyasana-nicayAt-vAsanA-lIna-dozAt na-ezAm muktiH-Bavati tapasA
   kāyasaṃśoṣaṇena // KDarp_7.69 //	kAya-saMSozaNena // KDarp_7.69 //
   ityuktaṃ tripurāriṇā girisutā śrutvā yathārthaṃ vaco niścitya	iti-uktam tripurAriNA girisutA SrutvA yaTArTam vacaH niScitya
   vratamapraśāntamanasāṃ mithyaiva kāyakṣayam /	vratam-apraSAnta-manasAm miTyA-eva kAya-kzayam /
   saṃsāroparamāya moharajasaḥ śāntyai munīnāṃ paraṃ rāgadveṣavimuktaye ca	saMsAra-uparamAya moha-rajasaH SAntyE munInAm param rAga-dveza-vimuktaye ca
   dayayā cakre harasyārthanām // KDarp_7.70 //	dayayA cakre harasya-arTanAm // KDarp_7.70 //
   devyārthito 'tha bhagavānkṛpayā smarāris teṣāmanugrahamayena vilokanena /	devyA-arTitaH aTa BagavAn-kRpayA smarAriH tezAm-anugraha-mayena vilokanena /
   cakre smitasnapitadigvadano munīnāṃ līnasya moharajasaḥ sahasaiva śāntim	cakre smita-snapita-diS-vadanaH munInAm lInasya moha-rajasaH sahasA-eva SAntim
   // KDarp_7.71 //	// KDarp_7.71 //
   tapoviśeṣairniśitaprayatnais tasmānna kāryaḥ pṛthumohadarpaḥ /	tapaH-viSezEH-niSita-prayatnEH tasmAt-na kAryaH pRTu-moha-darpaH /
   dveṣeṇa rāgeṇa mohadayena tapaḥ kṣayaṃ yāti saha smayena // KDarp_7.72 //	dvezeNa rAgeNa moha-dayena tapaH kzayam yAti saha smayena // KDarp_7.72 //
   praśānto 'ntastṛṣṇāviṣamaparitāpaḥ śamajalair aśeṣaḥ	praSAntaH antar-tRzNA-vizama-paritApaH Sama-jalEH aSezaH
   saṃtoṣāmṛtavisarapānena vapuṣaḥ /	saMtoza-amRta-visara-pAnena vapuzaH /
   asaṅgaḥ saṃbhogaḥ kamaladalakīlālatulyā bhavāraṇye puṃsāṃ parahitamudāraṃ	asaFgaH saMBogaH kamala-dala-kIlAla-tulyAH Bava-araNye puMsAm para-hitam-udAram
   khalu tapaḥ // KDarp_7.73 //	Kalu tapaH // KDarp_7.73 //
