   sāṅkhyakārikā gauḍapādabhāṣya	sAFKya-kArikAH gOxa-pAda-BAzya
   'yamātmā naḥ sukhaduḥkhayorīśvaraprerito gacchet svargaṃ narakameva vā //"	ayam-AtmA naH suKa-duHKayoH-ISvara-preritaH gacCet svargam narakam-eva vA //"
   apare svabhāvakāraṇikāṃ bruvate / kena śuklīkṛtā haṃsā mayūrāḥ kena	apare svaBAva-kAraNikAm bruvate / kena SuklIkRtAH haMsAH mayUrAH kena
   citritāḥ / svabhāvenaiveti / atra sāṃkhyācāryā āhuḥ nirguṇatvādīśvarasya	citritAH / svaBAvena-eva-iti / atra sAMKya-AcAryAH AhuH nirguNa-tvAt-ISvarasya
   kathaṃ saguṇataḥ prajā jāyeran kathaṃ vā puruṣānnirguṇādeva tasmāt	kaTam sa-guNataH prajAH jAyeran kaTam vA puruzAt-nirguNAt-eva tasmAt-
   prakṛteryujyate yathā śuklebhyastantubhyaḥ śukla eva paṭo bhavati	prakRteH-yujyate yaTA SukleByaH-tantuByaH SuklaH eva pawaH Bavati
   kṛṣṇebhyaḥ kṛṣṇa eveti / evaṃ triguṇāt pradhānāt trayo lokāstriguṇāḥ	kRzNeByaH kRzNaH eva-iti / evam triguNAt praDAnAt trayaH lokAH-triguNAH
   samutpannā iti gamyate / nirguṇa īśvaraḥ saguṇānāṃ lokānāṃ	samutpannAH iti gamyate / nirguNaH ISvaraH sa-guNAnAm lokAnAm
   tasmādutpattirayukteti / anena puruṣo vyākhyātaḥ / tathā keṣāṃcit kālaḥ	tasmAt-utpattiH-ayuktA-iti / anena puruzaH vyAKyAtaH / taTA kezAMcid kAlaH
   kāraṇamityuktaṃ ca / "kālaḥ pañcāsti bhūtāni kālaḥ saṃharate jagat / kālaḥ	kAraNam-iti-uktam ca / "kAlaH paQca-asti BUtAni kAlaH saMharate jagat / kAlaH
   supteṣu jāgartti kālo hi duratikramaḥ //" vyaktamavyaktapuruṣāstrayaḥ	suptezu jAgartti kAlaH hi duratikramaH //" vyaktam-avyakta-puruzAH-trayaH
   padārthāstena kālo 'ntarbhūto 'sti sa vyaktaḥ sarvakartṛtvāt kālasyāpi	padArTAH-tena kAlaH antarBUtaH asti sa vyaktaH sarva-kartR-tvAt kAlasya-api
   pradhānameva kāraṇaṃ svabhāvo 'pyatraiva līnaḥ tasmāt kālo na kāraṇam /	praDAnam-eva kAraNam svaBAvaH api-atra-eva lInaH tasmAt kAlaH na kAraNam /
   nāpi svabhāva iti / tasmāt prakṛtireva kāraṇaṃ na prakṛteḥ	na-api svaBAvaH iti / tasmAt prakRtiH-eva kAraNam na prakRteH
   kāraṇāntaramastīti / na punardarśanamupayāti puruṣasya / ataḥ prakṛteḥ	kAraNa-antaram-asti-iti / na punar-darSanam-upayAti puruzasya / atas prakRteH
   sukumārataraṃ subhogyataraṃ na kiñcidīśvarādikāraṇamastīti me matirbhavati	sukumArataram suBogyataram na kiQcid-ISvara-Adi-kAraNam-asti-iti me matiH-Bavati
   tathā ca śloke rūḍham / puruṣo muktaḥ puruṣaḥ saṃsārīti coditetyāha /	taTA ca Sloke rUXam / puruzaH muktaH puruzaH saMsArI-iti coditA-iti-Aha /
   tasmānna badhyate nāpi mucyate nāpi saṃsarati kaścit /	tasmAt-na baDyate na-api mucyate na-api saMsarati kaScid /
   saṃsarati badhyate mucyate ca nānāśrayā prakṛtiḥ // ISk_62 //	saMsarati baDyate mucyate ca nAnA-ASrayA prakRtiH // ISc-_62 //
   tasmāt kāraṇāt puruṣo na badhyate nāpi mucyate nāpi saṃsarati yasmāt	tasmAt kAraNAt puruzaH na baDyate na-api mucyate na-api saMsarati yasmAt-
   kāraṇāt prakṛtireva nānāśrayā daivamānuṣatiryagyonyāśrayā	kAraNAt prakRtiH-eva nAnA-ASrayA dEva-mAnuza-tiryagyoni-ASrayA
   buddhyahaṃkāratanmātrendriyabhūtasvarūpeṇa badhyate mucyate saṃsarati ceti	budDi-ahaMkAra-tanmAtra-indriya-BUta-svarUpeNa baDyate mucyate saMsarati ca-iti
   / atha mukta eva svabhāvāt sa sarvagataśca kathaṃ	/ aTa muktaH eva svaBAvAt sa sarva-gataH-ca kaTam
   saṃsaratyaprāptaprāpaṇārthaṃ saṃsaraṇamiti tena puruṣo badhyate puruṣo	saMsarati-aprApta-prApaNa-arTam saMsaraNam-iti tena puruzaH baDyate puruzaH-
   mucyate saṃsarati vyapadiśyate yena saṃsāritvaṃ na vidyate	mucyate saMsarati vyapadiSyate yena saMsAri-tvam na vidyate
   sattvapuruṣāntajñānāt tattvaṃ puruṣasyābhivyajyate / tadabhivyakto kevalaḥ	sattva-puruza-anta-jQAnAt tattvam puruzasya-aBivyajyate / tad-aBivyaktaH kevalaH
   śuddho muktaḥ svarūpapratiṣṭhaḥ puruṣa iti / atra yadi puruṣasya bandho	SudDaH muktaH svarUpa-pratizWaH puruzaH iti / atra yadi puruzasya banDo
   nasti tato mokṣo 'pi nāsti / atrocyate prakṛtirevātmānaṃ badhnāti mocayati	nasti tatas mokzaH api na-asti / atra-ucyate prakRtiH-eva-AtmAnam baDnAti mocayati
   ca yatra sūkṣmaśarīraṃ tanmātrakaṃ trividhakaraṇopetaṃ tat trividhena	ca yatra sUkzmaSarIram tanmAtrakam triviDa-karaNa-upetam tat triviDena
   bandhena badhyate / uktaṃ ca prākṛtena ca bandhena tathā vaikārikeṇa ca /	banDena baDyate / uktam ca prAkRtena ca banDena taTA vEkArikeNa ca /
   dākṣiṇena tṛtīyena baddho nānyena mucyate / tat sūkṣmaṃ śarīraṃ	dAkziNena tRtIyena badDaH na-anyena mucyate / tat sUkzmam SarIram
   dharmādharmaṃ saṃyuktam // 62 //	Darma-aDarmam saMyuktam // 62 //
   prakṛtiśca badhyate prakṛtiśca mucyate saṃsaratīti kathaṃ taducyate /	prakRtiH-ca baDyate prakRtiH-ca mucyate saMsarati-iti kaTam tat-ucyate /
   rūpaiḥ saptabhirevaṃ badhnātyātmānamātmanā prakṛtiḥ /	rUpEH saptaBiH-evam baDnAti-AtmAnam-AtmanA prakRtiH /
   saiva ca puruṣasyārthaṃ prati vimocayatyekarūpeṇa // ISk_63 //	sA-eva ca puruzasya-arTam prati vimocayati-eka-rUpeNa // ISc-_63 //
   rūpaiḥ saptabhirevaitāni sapta procyante dharmo vairāgyamaiśvaryamadharmo	rUpEH saptaBiH-eva-etAni sapta procyante DarmaH vErAgyam-ESvaryam-aDarmaH-
   'jñānamavairāgyamanaiśvaryyametāni prakṛteḥ saptarūpāṇi tairātmānaṃ svaṃ	ajQAnam-avErAgyam-anESvaryyam-etAni prakRteH sapta-rUpANi tEH-AtmAnam svam
   badhnāti prakṛtirātmānaṃ svameva saiva prakṛtiḥ puruṣasyārthaḥ puruṣārthaḥ	baDnAti prakRtiH-AtmAnam svam-eva sA-eva prakRtiH puruzasya-arTaH puruza-arTaH
   karttavya iti vimocayatyātmānamekarūpeṇa jñānena // 63 //	karttavyaH iti vimocayati-AtmAnam-eka-rUpeNa jQAnena // 63 //
   kathaṃ tajjñānamutpadyate /	kaTam tat-jQAnam-utpadyate /
   evaṃ tattvābhyāsānnāsmi na me nāhamityapariśeṣam /	evam tattva-aByAsAt-na-asmi na me na-aham-iti-apariSezam /
   aviparyayādviśuddhaṃ kevalamutpadyate jñānam // ISk_64 //	aviparyayAt-viSudDam kevalam-utpadyate jQAnam // ISc-_64 //
   evamuktena kramena pañcaviṃśatitattvālocanābhyāsādiyaṃ prakṛtirayaṃ puruṣa	evam-uktena kramena paQcaviMSati-tattva-Alocana-aByAsAt-iyam prakRtiH-ayam puruza
   etāni pañcatanmātrendriyamahābhūtānīti puruṣasya jñānamutpadyate nāsti	etAni paQca-tanmAtra-indriya-mahABUtAni-iti puruzasya jQAnam-utpadyate na-asti
   nāhameva bhavāmi na me mama śarīraṃ tadyato 'hamanyaḥ	na-aham-eva BavAmi na me mama SarIram tat-yatas aham-anyaH
   śarīramanyannāhamityapariśeṣamahaṃkārarahitamapariśeṣamaviparyayādviśuddhaṃ	SarIram-anyat-na-aham-iti-apariSezam-ahaMkAra-rahitam-apariSezam-aviparyayAt-viSudDam
   viparyayaḥ saṃśayo 'viparyayādasaṃśayādviśuddhaṃ kevalaṃ tadeva	viparyayaH saMSayaH aviparyayAt-asaMSayAt-viSudDam kevalam tat-eva
   nānyadastīti mokṣakāraṇamutpadyate 'bhivyajyate jñānaṃ	na-anyat-asti-iti mokza-kAraNam-utpadyate aBivyajyate jQAnam
   pañcaviṃśatitattvajñānaṃ puruṣasyeti // 64 //	paQcaviMSati-tattva-jQAnam puruzasya-iti // 64 //
   jñāne puruṣaḥ kiṃ karoti /	jQAne puruzaH kim karoti /
   tena nivṛttaprasavāmarthavaśātsaptarūpavinivṛttām /	tena nivRtta-prasavAm-arTa-vaSAt-sapta-rUpa-vinivRttAm /
   prakṛtiṃ paśyati puruṣaḥ prekṣakavadavasthitaḥ svasthaḥ // ISk_65 //	prakRtim paSyati puruzaH prekzaka-vat-avasTitaH svasTaH // ISc-_65 //
   tena viśuddhena kevalajñānena puruṣaḥ prakṛtiṃ paśyati prekṣakavat	tena viSudDena kevala-jQAnena puruzaH prakRtim paSyati prekzaka-vat-
   prekṣakeṇa tulyamavasthitaḥ svastho yathā raṃgaprekṣako 'vasthito	prekzakeNa tulyam-avasTitaH svasTaH yaTA raMga-prekzakaH avasTitaH-
   narttakīṃ paśyatiḥ svasthaḥ svasmiṃstiṣṭhati svasthaḥ svasthānasthitaḥ /	narttakIm paSyatiH svasTaH svasmin=-tizWati svasTaH sva-sTAna-sTitaH /
   kathaṃbhūtāṃ prakṛtiṃ nivṛttaprasavāṃ nivṛttaḥ	kaTaMBUtAm prakRtim nivRtta-prasavAm nivRttaH
   buddhyahaṃkārakāryyānarthavaśāt saptarūpavinivṛttāṃ	budDi-ahaMkAra-kAryya-an-arTa-vaSAt sapta-rUpa-vinivRttAm
   nivarttitobhayapuruṣaprayojanavaśādyaiḥ saptabhī rūpairdharmādibhirātmānaṃ	nivarttita-uBaya-puruza-prayojana-vaSa-AdyEH saptaBiH rUpEH-Darma-AdiBiH-AtmAnam
   badhnāti tebhyaḥ saptabhyo rūpebhyo vinivṛttiṃ prakṛtiṃ paśyati // 65 //	baDnAti teByaH saptaByaH rUpeByaH vinivRttim prakRtim paSyati // 65 //
   kiṃ ca /	kim ca /
   dṛṣṭā mayetyupekṣaka eko dṛṣṭāhamityuparamatyanyā /	dRzwA mayA-iti-upekzakaH ekaH dRzwA-aham-iti-uparamati-anyA /
   sati saṃyoge 'pi tayoḥ prayojanaṃ nāsti sargasya // ISk_66 //	sati saMyoge api tayoH prayojanam na-asti sargasya // ISc-_66 //
   raṃgastha iti yathā raṃgastha ityevamupekṣaka ekaḥ kevalaḥ śuddhaḥ	raMga-sTaH iti yaTA raMga-sTaH iti-evam-upekzakaH ekaH kevalaH SudDaH
   puruṣastenāhaṃ dṛṣṭeti kṛtvā uparatā nivṛtā ekā ekaiva prakṛtiḥ	puruzaH-tena-aham dRzwA-iti kRtvA uparatA nivRtA ekA ekA-eva prakRtiH
   trailokyasyāpi pradhānakāraṇabhūtā na dvitīyā prakṛtirasti mūrttibhede	trElokyasya-api praDAna-kAraNa-BUtA na dvitIyA prakRtiH-asti mUrtti-Bede
   jātibhedādevaṃ prakṛtipuruṣayornirvṛttāvapi vyāpakatvāt saṃyogo 'sti na tu	jAti-BedAt-evam prakRti-puruzayoH-nirvRttO=-api vyApaka-tvAt saMyogaH asti na tu
   saṃyogāt kutaḥ sargo bhavati / sati saṃyoge 'pi tayoḥ prakṛtipuruṣayoḥ	saMyogAt kutas sargaH Bavati / sati saMyoge api tayoH prakRti-puruzayoH
   sarvagatatvāt satyapi saṃyoge prayojanaṃ nāsti sargasya	sarva-gata-tvAt sati-api saMyoge prayojanam na-asti sargasya
   sṛṣṭeścaritārthatvāt prakṛterdvividhaṃ prayojanaṃ	sRzweH-caritArTa-tvAt prakRteH-dviviDam prayojanam
   śabdaviṣayopalabdhirguṇapuruṣāntaropalabdhiśca / ubhayatrāpi	Sabda-vizaya-upalabDiH-guNa-puruza-antara-upalabDiH-ca / uBayatra-api
   caritārthatvāt sargasya nāsti prayojanaṃ yaḥ punaḥ sarga iti / yathā	caritArTa-tvAt sargasya na-asti prayojanam yaH punar sargaH iti / yaTA
   dānagrahaṇanimitta uttamarṇādhamarṇayordravyaviśuddhau satyapi saṃyoge na	dAna-grahaNa-nimittaH uttamarNa-aDamarNayoH-dravya-viSudDO sati-api saMyoge na
   kaścidarthasambandho bhavati / evaṃ prakṛtipuruṣayorapi nāsti	kaScid-arTa-sambanDaH Bavati / evam prakRti-puruzayoH-api na-asti
   prayojanamiti // 66 //	prayojanam-iti // 66 //
   yadi puruṣasyotpanne jñāne mokṣo bhāti tato mama kasmānna bhavatīti / ata	yadi puruzasya-utpanne jQAne mokzaH BAti tatas mama kasmAt-na Bavati-iti / ata
   ucyate /	ucyate /
   samyagjñānādhigamāddharmādīnāmakāraṇaprāptau /	samyak-jQAna-aDigamAt-Darma-AdInAm-akAraNa-prAptO /
   tiṣṭhati saṃskāravaśāccakrabhramavaddhṛtaśarīraḥ // ISk_67 //	tizWati saMskAra-vaSAt-cakra-Brama-vat-DRta-SarIraH // ISc-_67 //
   yadyapi pañcaviṃśatitattvajñānaṃ samyak jñānaṃ bhavati tathāpi	yadi-api paQcaviMSati-tattva-jQAnam samyak jQAnam Bavati taTA-api
   saṃskāravaśāddhṛtaśarīro yogī tiṣṭhati kathaṃ cakrabhramavaccakrabhrameṇa	saMskAra-vaSAt-DRta-SarIraH yogI tizWati kaTam cakra-Brama-vat-cakra-BrameNa
   tulyaṃ yathā kulālaścakraṃ bhramayitvā ghaṭaṃ karoti mṛtpiṇḍaṃ	tulyam yaTA kulAlaH-cakram BramayitvA Gawam karoti mRd-piNxam
   cakramāropya punaḥ kṛtvā ghaṭaṃ paryāmuñcati cakraṃ bhramatyeva	cakram-Aropya punar kRtvA Gawam paryAmuQcati cakram Bramati-eva
   saṃskāravaśādevaṃ samyagjñānādhigamādutpannasamyagjñānasya	saMskAra-vaSAt-evam samyak-jQAna-aDigamAt-utpanna-samyak-jQAnasya
   dharmādīnāmakāraṇaprāptau etāni sapta rūpāṇi bandhanabhūtāni samyagjñānena	Darma-AdInAm-akAraNa-prAptO etAni sapta rUpANi banDana-BUtAni samyak-jQAnena
   dagdhāni yathā nāgninā dagdhāni bījāni prarohaṇasamarthānyevametāni	dagDAni yaTA na-agninA dagDAni bIjAni prarohaNa-samarTAni-evam-etAni
   dharmādīni bandhanāni na samarthāni / dharmādīnāmakāraṇaprāptau	Darma-AdIni banDanAni na samarTAni / Darma-AdInAm-akAraNa-prAptO
   saṃskāravaśāddhṛtaśarīrāstiṣṭhati jñānādvarttamānadharmādharmakṣayaḥ	saMskAra-vaSAt-DRta-SarIrAH-tizWati jQAnAt-varttamAna-Darma-aDarma-kzayaH
   kasmānna bhavati varttamānatvādeva kṣaṇāntare kṣayamapyeti jñānaṃ	kasmAt-na Bavati varttamAna-tvAt-eva kzaNa-antare kzayam-apyeti jQAnam
   tvanāgatakarma dahati varttamānaśarīreṇa ca yat karoti tadapīti	tu-anAgata-karma dahati varttamAna-SarIreNa ca yat karoti tat-api-iti
   vihitānuṣṭhānakaraṇāditi saṃskārakṣayāccharīrapāte mokṣaḥ // 67 //	vihita-anuzWAna-karaNAt-iti saMskAra-kzayAt-SarIra-pAte mokzaH // 67 //
   sa kiṃviśiṣṭo bhavatītyucyate /	sa kiMviSizwaH Bavati-iti-ucyate /
   prāpte śarīrabhede caritārthatvātpradhānavinivṛttau /	prApte SarIra-Bede caritArTa-tvAt-praDAna-vinivRttO /
   aikāntikamātyantikamubhayaṃ kaivalyamāpnoti // ISk_68 //	EkAntikam-Atyantikam-uBayam kEvalyam-Apnoti // ISc-_68 //
   dharmādharmajanitasaṃskārakṣayāt prāpte śarīrabhede caritārthatvāt	Darma-aDarma-janita-saMskAra-kzayAt prApte SarIra-Bede caritArTa-tvAt
   pradhānasya nivṛttau aikāntikamavaśyamātyantikamanantarhitaṃ kaivalyaṃ	praDAnasya nivRttO EkAntikam-avaSyam-Atyantikam-anantarhitam kEvalyam
   kevalabhāvānmokṣa ubhayamaikāntikātyantikamityeva viśiṣṭakaivalyamāpnoti	kevala-BAvAt-mokzaH uBayam-EkAntika-Atyantikam-iti-eva viSizwa-kEvalyam-Apnoti
   puruṣārthajñānamidaṃ guhyaṃ paramarṣiṇā samākhyātam /	puruza-arTa-jQAnam-idam guhyam parama-RziNA samAKyAtam /
   sthityutpattipralayāścintyante yatra bhūtānām // ISk_69 //	sTiti-utpatti-pralayAH-cintyante yatra BUtAnAm // ISc-_69 //
   puruṣārtho mokṣastadarthaṃ jñānamidaṃ guhyaṃ rahasyaṃ paramarṣiṇā	puruza-arTaH mokzaH-tad-arTam jQAnam-idam guhyam rahasyam parama-RziNA
   śrīkapilarṣiṇā samākhyātaṃ samyaguktaṃ yatra jñāne bhūtānāṃ vaikārikāṇāṃ	SrI-kapila-RziNA samAKyAtam samyak-uktam yatra jQAne BUtAnAm vEkArikANAm
   sthityutpattipralayā avasthānāvirbhāvatirobhāvāścintyante vicāryante yeṣāṃ	sTiti-utpatti-pralayAH avasTAna-AvirBAva-tiroBAvAH-cintyante vicAryante yezAm
   vicārāt samyak pañcaviṃśatitattvavivecanātmikā sampadyate saṃvittiriti //	vicArAt samyak paQcaviMSati-tattva-vivecana-AtmikA sampadyate saMvittiH-iti //
   sāṃkhyaṃ kapilamuninā proktaṃ saṃsāravimuktikāraṇaṃ hi /	sAMKyam kapila-muninA proktam saMsAra-vimukti-kAraNam hi /
   yatraitāḥ saptatirāryā bhāṣyaṃ cātra gauḍapādakṛtam //	yatra-etAH saptatiH-AryA BAzyam ca-atra gOxa-pAda-kRtam //
   [Uncommented kārikās:]	[Un-commentet kArikAs:]
   etatpavitryamagryaṃ munirāsuraye 'nukampayā pradadau /	etat-pavitryam-agryam muniH-Asuraye anukampayA pradadO /
   āsurirapi pañcaśikhāya tena ca bahulīkṛtaṃ tantram // ISk_70 //	AsuriH-api paQcaSiKAya tena ca bahulIkRtam tantram // ISc-_70 //
   śiṣyaparamparayāgatamīśvarakṛṣṇena caitadāryābhiḥ /	Sizya-paramparayA-Agatam-ISvara-kRzNena ca-etat-AryABiH /
   saṅkṣiptamāryamatinā samyagvijñāya siddhāntam // ISk_71 //	saFkziptam-Arya-matinA samyak-vijQAya sidDAntam // ISc-_71 //
   saptatyāṃ kila yo 'rthāste 'rthāḥ kṛtsnasya ṣaṣṭitantrasya /	saptatyAm kila yaH arTAH-te arTAH kRtsnasya zazwitantrasya /
   ākhyāyikāvirahitāḥ paravādavivarjitāśceti // ISk_72 //	AKyAyikA-virahitAH para-vAda-vivarjitAH-ca-iti // ISc-_72 //
