   brahmasūtraśāṅkarabhāṣyam	brahmasUtra SAFkara BAzyam
   grahaṇāyogyatvādagrāhya ityarthaḥ //22//	grahaNa ayogya tvAt agrAhyaH iti arTaH //22//
   END BsRp_1,3.6.22	END BsRp _1,3.6.22
   START BsRp_1,3.6.23	START BsRp _1,3.6.23
   api ca smaryate | BBs_1,3.23 |	api ca smaryate | BBH _1,3.23 |
   ṇijadhyāhārapakṣe smṛtibalamapyastītyāha apiceti /	Nija DyA AhAra pakze smRti balam api asti iti Aha a picA iti /
   sūtraṃ vyācaṣṭe apiceti /	sUtram vyAcazwe apicA iti /
   abhāsyatve sarvabhāsakatve ca ślokadvayaṃ draṣṭavyam /	aBAsya tve sarva BAsaka tve ca Sloka dvayam drazwavyam /
   tasmādanubhānamantro brahmaṇi samanvita iti siddham //23//	tasmAt anuBAna mantraH brahmaNi samanvitaH iti sidDam //23//
   END BsRp_1,3.6.23	END BsRp _1,3.6.23
   START BsRp_1,3.7.24	START BsRp _1,3.7.24
   śabdād eva pramitaḥ | BBs_1,3.24 |	SabdAt eva pramitaH | BBH _1,3.24 |
   śabdādeva pramitaḥ /	SabdAt eva pramitaH /
   kāṭhakavākyaṃ paṭhati aṅguṣṭheti /	kAWaka vAkyam paWati  aFguzWa iti /
   puruṣaḥ pūrṇo 'pyātmani dehamadhye aṅguṣṭhamātre hṛdaye	puruzaH pUrNaH api Atmani deha maDye aFguzWa mAtre hRdaye
   tiṣṭhatītyaṅguṣṭhamātra ityucyate, tasyaiva	tizWati iti aFguzWa mAtraH iti ucyate, tasya eva
   paramātmatvavādivākyāntaramāha tatheti /	paramAtma tva vAdi vAkya antaram Aha  taTA iti /
   adhūmakamiti paṭhanīyam /	aDUmakam iti paWanIyam /
   yo 'ṅguṣṭhamātro jīvaḥ sa vastuto nirdhūmajyotirvannirmalaprakāśarūpa iti	yaH aFguzWa mAtraH jIvaH sa vastutas nirDUma jyotiH vat nirmala prakASa rUpaH iti
   tamarthaṃ saṃśodhya tasya brahmatvamāha īśāna iti /	tam arTam saMSoDya tasya brahma tvam Aha ISAnaH iti /
   tasyādvitīyatvamāha sa eveti /	tasya advitIya tvam Aha saH eva iti /
   kālatraye 'pi sa evāsti nānyatkiñcit /	kAla traye api saH eva asti na anyat kiQcid /
   yannaciketasā pṛṣṭaṃ brahma tadetadevetyarthaḥ /	yat na ciketasA pRzwam brahma tat etat eva iti arTaH /
   parimāṇeśānaśabdābhyāṃ saṃśayamāha tatreti /	parimANa ISAna SabdAByAm saMSayam Aha tatra iti /
   yathānubhānādiliṅgāt ṇijadhyāhareṇa sūryādyagocaro brahmetyuktaṃ tathā	yaTA anuBAna Adi liFgAt Nija DyA hareNa sUrya Adi agocaraH brahma iti uktam taTA
   prathamaśrutaparimāṇaliṅgājjīvapratītāvīśāno 'smīti dhyāyediti	praTama Sruta parimANa liFgAt jIva pratItO= ISAnaH asmi iti DyAyet iti
   vidhyadhyāhareṇa dhyānaparaṃ vākyamiti pūrvapakṣayati tatra parimāṇeti /	viDi aDyAhareNa DyAna param vAkyam iti pUrva pakza yati  tatra parimANa iti /
   pūrvapakṣe brahmadṛṣṭyā jīvopāstiḥ, siddhānte tu pratyagbrahmaikyajñānaṃ	pUrva pakze brahma dRzwyA jIva upAstiH, sidDAnte tu pratyak brahma Ekya jQAnam
   phalamiti mantavyam /	Palam iti mantavyam /
   āyāmo daidhyaṃ, vistāro mahattvamiti bhedaḥ /	AyAmaH dEDyaM, vistAraH mahat tvam iti BedaH /
   kayāciditi /	kayAcid iti /
   aṅguṣṭhamātrahṛdayasya vijñānaśabditabudyabhedādhyāsakalpanayetyarthaḥ /	aFguzWa mAtra hRdayasya vijQAna Sabdita budya Beda aDyAsa kalpanayA iti arTaH /
   smṛtisaṃvādādapyaṅguṣṭhamātro jīvaityāha smṛteśceti /	smRti saMvAdAt api aFguzWa mAtraH jIva eti Aha  smRteH ca iti /
   atha maraṇānantaraṃ yamapāśaurbaddhaṃ karmavaśaṃ prāptamityarthaḥ /	aTa maraNa anantaram yama pASOH badDam karma vaSam prAptam iti arTaH /
   tatrāpīśvaraḥ kiṃ na syādityata āha  nahīti /	tatra api ISvaraH kim na syAt iti atas Aha  nahi iti /
   'prabhavati saṃyamane mamāpi viṣṇuḥ'iti yamasyeśvaraniyamyatvasmaraṇāditi	apraBavati saMyamane mama api vizNuH aiti yamasya ISvara niyamya tva smaraNAt iti
   bhāvaḥ /	BAvaH /
   bhūtabhavyasvetyupapadādbādhakābhāvācca īśāna	BUta Bavyasva iti upapadAt bADaka aBAvAt ca ISAna
   itīśatvaśabdānniraṅkuśamīśitā bhātīti śrutyā liṅgaṃ bādhyāmiti	iti ISatva SabdAt niraFkuSam ISitA BAti iti SrutyA liFgam bADyAm iti
   siddhāntayati paramātmaiveti /	sidDAntayati param AtmA eva iti /
   prakaraṇācca brahmaparamidaṃ vākyamityāha etaditi /	prakaraNAt ca brahma param idam vAkyam iti Aha  etat iti /
   śabdo vākyaṃ liṅgāddurbalamityāśaṅkyāha śabdāditi //24//	SabdaH vAkyam liFgAt durbalam iti ASaFkya aha  SabdAt iti //24//
   END BsRp_1,3.7.24	END BsRp _1,3.7.24
   START BsRp_1,3.7.25	START BsRp _1,3.7.25
   hṛdyapekṣayā tu manuṣyādhikāratvāt | BBs_1,3.25 |	hRdi apekzayA tu manuzya aDikAra tvAt | BBH _1,3.25 |
   karaḥ sakaniṣṭho 'ratriḥ /	karaH sa kanizWaH aratriH /
   mukhyāṅguṣṭhamātro jīvo gṛhyatāṃ kiṃ gauṇagrahaṇenetyata āha na cānya iti	muKya aFguzWa mAtraH jIvaH gRhyatAm kim gONa grahaNena iti atas Aha na ca anyaH iti
   sati saṃbhave mukhyagraho nyāyyaḥ /	sati saMBave muKya grahaH nyAyyaH /
   atra tu śrutivirodhādasaṃbhava iti gauṇagraha ityartha /	atra tu Sruti viroDAt asaMBavaH iti gONa grahaH iti arTa /
   manuṣyāneveti /	manuzyAn eva iti /
   traivarṇikānevetyarthaḥ /	trEvarNikAneva iti arTaH /
   śaktatvādityanena paścādīnāṃ devānāmṛṣīṇāṃ cādhikāro vāritaḥ /	Sakta tvAt iti anena paSca AdInAm devAnAm RzINAm ca aDikAraH vAritaH /
   tatra paśvādīnāṃ śāstrārthajñānādisāmagryabhāvātkarmaṇyaśaktiḥ /	tatra paSu AdInAm SAstra arTa jQAna Adi sAmagrya BAvAt karmaNi aSaktiH /
   indrādeḥ svadevatāke karmaṇi svoddeśena dravyatyāgāyogādaśaktiḥ /	indra AdeH sva devatAke karmaNi sva uddeSena dravya tyAga ayogAt aSaktiH /
   ṛṣīṇāmārṣeyavaraṇe ṛṣyantarābhāvādaśaktiḥ /	RzINAm Arzeya varaNe Rzi antara aBAvAt aSaktiH /
   arthitvādityanena niṣkāmānāṃ mumukṣūṇāṃ sthāvarāṇāṃ cādhikāro vāritaḥ /	arTi tvAt iti anena nizkAmAnAm mumukzUNAm sTAvarANAm ca aDikAraH vAritaH /
   tatra mumukṣūṇāṃ śudyarthitve nityādiṣvadhikāro na kāmyeṣu /	tatra mumukzUNAm Sudi arTi tve nitya Adizu aDikAraH na kAmyezu /
   śuddhacittānāṃ mokṣārthitve śravaṇādiṣu vyañjakeṣvadhikāro na karmasviti	SudDa cittAnAm mokza arTi tve SravaNa Adizu vyaQjakezu aDikAraH na karmasu iti
   mantavyam /	mantavyam /
   śūdrasyādhikāraṃ nirasyati aparyudastatvāditi /	SUdrasya aDikAram nirasyati a paryudasta tvAt iti /
   śūdro 'yajñe 'vanakḷptaḥ'iti paryudāsāt, upanayīta tamadhyāpayīta iti	SUdraH ayajQe avanak?ptaH aiti paryudAsAt, upanayIta tam aDyApayItaH iti
   śāstrācca na śūdrasya vaidike karmaṇyadhikāraḥ /	SAstrAt ca na SUdrasya vEdike karmaNi aDikAraH /
   tasyaikajātitvasmṛterūpanayanaprayuktadvijātitvābhāvena vedādhyayanābhāvāt	tasya eka jAti tva smRterUpa nayana prayukta dvijAti tva aBAvena veda aDyayana aBAvAt
   atrāpekṣito nyāyaḥ ṣaṣṭhādhyāye varṇita ityāha varṇitamiti /	atra apekzitaH nyAyaH zazWa aDyAye varNitaH iti Aha varNitam iti /
   'svargakāmo yajeta'ityādiśāstrasyāviśeṣaṇa sarvānphalārthinaḥ prati	asvarga kAmaH yajeta aitya Adi SAstrasya aviSezaNa sarvAn Pala arTinaH prati
   pravṛttatvāt, prāṇimātrasya sukhārthitvācca phalārthe karmaṇi	pravRtta tva at, prANi mAtrasya suKa arTi tvAt ca Pala arTe karmaNi
   paśvādīnāmapyadhikāra ityāśaṅkyoktarityāteṣāṃ	paSu AdInAm api aDikAraH iti ASaFkya uktariti AtezAm
   śaktatvādyabhāvātsvargakāmapadaṃ manuṣyaparatayā saṃkocya	Sakta tva Adi aBAvAt svarga kAma padam manuzya para tayA saMkocya
   manuṣyādhikāratve sthāpite caturvarṇyādhikāritvamāśaṅkya 'vasante brāhmaṇo	manuzya aDikAra tve sTApite catur varNya aDikAri tvam ASaFkya avasante brAhmaNaH 
   'gnīnādadhīta grīṣme rājanyaḥ śaradi vaiśyaḥ'iti	agnInAt aDIta grIzme rAjanyaH Saradi vESyaH aiti
   trayāṇāmevāgnisaṃbandhaścavaṇātteṣāmevādhikāra iti varṇitamityarthaḥ /	trayANAm eva agni saMbanDaH cavaNAt tezAm eva aDikAraH iti varNitam iti arTaH /
   astu, prastute kimāyātaṃ, tatrāha manuṣyāṇāṃ ceti /	astu, prastute kim AyAtaM, tatra aha  manuzyANAm ca iti /
   prāyeṇa saptavitastiparimito manuṣyadehaityarthaḥ /	prAyeNa sapta vitasti parimitaH manuzya deha eti arTaH /
   evamaṅguṣṭhaśabdo hṛtparimāṇavācakastatrasthaṃ brahma lakṣayatītyuktam /	evam aFguzWa SabdaH hRd parimANa vAcakaH tatrasTam brahma lakzayati iti uktam /
   saṃprati tacchabdenāṅguṣṭhamātraṃ jīvamanūdyāyamīśāna iti brahmābhedo	saMprati tad Sabdena aFguzWa mAtram jIvamanUdya ayam ISAnaH iti brahmABedaH 
   bodhya iti vaktumanuvadati yadapīti /	boDyaH iti vaktum anuvat ati yat api iti /
   pratipādyābhedavirodhādanuvādyāṅguṣṭhamātratvaṃ bādhyaṃ, tātparyārthasya	pratipAdya aBeda viroDAt anuvAdya aFguzWa mAtra tvam bADyan, tAtparya arTasya
   balavattvādityāha tadīti /	balavat tvAt iti Aha  tadi iti /
   kvacit'asthūlam'ityādau /	kvacid aasTUlam aitya AdO /
   kvacit'tattvamasi'ityādau /	kvacit atattvam asi aityAdO /
   [nanu paramātmano 'ṅguṣṭhaparimāṇatvaṃ na saṃbhavatīti sūtrakāreṇa	[nanu paramAtmanaH aFguzWa parimANa tvam na saMBavati iti sUtrakAreNa
   hṛdayāpekṣamaṅguṣṭhamātratvamuktaṃ,	hRdaya apekzam aFguzWa mAtra tvam uktaM,
   dvividhetyādibhāṣyāttu jīvamuddiśya brahmatvabodhanamiti pratīyata iti	dviviDA ityAdi BAzyAt tu jIvam uddiSya brahmatva boDanam iti pratIyate iti
   sūtrārthāsparśitvādbhāṣyamanupapannamiti cet, na,	sUtra arTa asparSi tvAt BAzyam anupapannam iti cet, na,
   bhāṣyatātparyānabhijñānāt /	BAzya tAtparya anaBijQAnAt /
   kaṭhavallīvākyasyāvāntaratātparyamekaṃ mahātātparyaṃ caikam /	kaWavallI vAkyasya avAntara tAtparyam ekam mahAtAtparyam ca ekam /
   tatrāvāntaratātparyamupāsye brahmaṇi, mahātātparyaṃ ca jñeye brahmaṇi /	tatra avAntara tAtparyam upAsye brahmaNi, mahAtAtparyam ca jQeye brahmaNi /
   ata eva bhāṣyakārairvākyadvayopanyāsaḥkṛtaḥ /	atas eva BAzya kArEH vAkya dvaya upanyAsaH kRtaH /
   ata evopāsanāphalaṃ kaṭhavallyāmeva 'śataṃ caikā ca hṛdayasya	atas eva upAsanA Palam kaWavallyAm eva  aSatam ca ekA ca hRdayasya
   nāḍyaḥ'ityādinā bodhitam /	nAxyaH aityAdinA boDitam /
   ata eva caturthādhyāye dvitīyacaraṇe 'tadokaḥ'iti sūtre hārdavidyāṃ	atas eva caturTa aDyAye dvitIya caraNe atadokaH aiti sUtre hArdavidyAm
   prakṛtya samāmananti iti bhāṣyakāraiḥ prathamavākyasya upāsye brahmaṇi	prakRtya samAmananti iti BAzya kArEH praTama vAkyasya upAsye brahmaNi
   tātparyamiti prakaṭīkṛtam /	tAtparyam iti prakawIkRtam /
   itthaṃ cātratyabhāṣyaṃ mahātātparyābhiprāyakamiti draṣṭavyam /	itTam ca atratyaBAzyam mahAtAtparya aBiprAyakam iti drazwavyam /
   rāmānujabhāṣyakṛtā tu pūrvapakṣo 'smadbhāṣyatātparyājñānenaiva kṛta	rAma anuja BAzya kRtA tu pUrva pakzaH asmad BAzya tAtparyAjQAnena eva kRta
   ityavadheyam /	iti avaDeyam /
   ekatvārthe vākyaśeṣamanukūlayati etamiti /	ekatva arTe vAkya Sezam anukUla yati  etam iti /
   śrutiryamo vā draṣṭavyaḥ /	SrutiH yamaH vA drazwavyaH /
   taṃ jīvaṃ pravṛhetpṛthakkuryāt, dhairyeṇa balavadindriyanigrahādinā, taṃ	tam jIvam pravRhet pRTak kuryAt, DEryeNa balavat indriya nigraha AdinA, tam
   viviktamātmānaṃ śuklaṃ svaprakāśamamṛtaṃ kūṭasthaṃ brahma jānīyādityarthaḥ	viviktam AtmAnam Suklam sva prakASam amRtam kUwasTam brahma jAnIyAt iti arTaH
   tasmātkaṭhavākyaṃ pratyagbrahmaṇi jñeye samanvitamiti siddham //25//	tasmAt kaWa vAkyam pratyak brahmaNi jQeye samanvitam iti sidDam //25//
   END BsRp_1,3.7.25	END BsRp _1,3.7.25
   START BsRp_1,3.8.26	START BsRp _1,3.8.26
   tadupary api bādarāyaṇaḥ saṃbhavāt | BBs_1,3.26 |	tad upari api bAdarAyaNaH saMBavAt | BBH _1,3.26 |
   śāstrasya manuṣyādhikāratve devādīnāṃ brahmavidyāyamāpyanadhikāraḥ	SAstrasya manuzya aDikAra tve deva AdInAm brahma vidyA yamA api anaDikAraH
   syādityāśaṅkyāha taduparyapi bādarāyaṇaḥ saṃbhavāt /	syAt iti ASaFkya Aha tad upari api bAdarAyaNaH saMBavAt /
   nanu samanvayādhyāye 'dhikāracintā na saṃgatetyata āha uṅguṣṭheti /	nanu samanvaya aDyAye aDikAra cintA na saMgata iti atas Aha uFguzWa iti /
   smṛtasyopekṣānarhatvaṃ prasaṅgaḥ /	smRtasya upekza anarha tvam prasaFgaH /
   atra manuṣyādhikāratvoktyā smṛtānāṃ devādināṃ vedāntaśravaṇādāvadhikāro	atra manuzya aDikAra tva uktyA smRtAnAm deva AdinAm vedAnta SravaNa AdO= aDikAraH 
   'sti na veti saṃdehe bhogāsaktānāṃ vairāgyādyasaṃbhavānneti prāpte	asti na vA iti saMdehe Boga AsaktAnAm vErAgya Adi asaMBavAt na iti prApte
   siddhāntamāha bāḍhamiti /	sidDAntam Aha bAXam iti /
   evamadhikāravicārātmakādhikaraṇadvayasya prasaṅgikī saṃgatiḥ /	evam aDikAra vicAra Atmaka aDikaraNa dvayasya prasaFgikI saMgatiH /
   atra pūrvapakṣe devādināṃ jñānānadhikārāddevatvaprāptidvārā	atra pUrva pakze deva AdinAm jQAna an aDikArAt deva tva prApti dvArA
   kramamuktiphalāsu daharādyupāsanāsu kramamuktyarthināṃ	krama mukti PalAsu dahara Adi upAsanAsu krama mukti arTinAm
   manuṣyāṇāmapravṛttiḥ phalaṃ, siddhānte tu pravṛttiḥ /	manuzyANAm apravRttiH PalaM, sidDAnte tu pravRttiH /
   upāsanābhirdevatvaṃ prāptānāṃ śravaṇādinā jñānānmuktisaṃbhavāditi saphalo	upAsanABiH deva tvam prAptAnAm SravaNa AdinA jQAnAt mukti saMBavAt iti sa PalaH 
   'yaṃ vicāraḥ nanu bhogāsaktānāṃ teṣāṃ mokṣārthitvābhāvānnādhikāra ityata	ayam vicAraH nanu Boga AsaktAnAm tezAm mokza arTitva aBAvAt na aDikAraH iti ata
   āha arthitvaṃ tāvaditi /	Aha arTi tvam tAvat iti /
   vikāratvenānṛtaviṣayasukhasya kṣayāsūyādidoṣaddaṣṭyā	vikAra tvena anRta vizaya suKasya kzaya AsUya Adi dozaddazwyA
   niratiśayasukhamokṣārthitvaṃ sattvaprakṛtīnāṃ devānāṃ saṃbhavatītyarthaḥ /	niratiSaya suKa mokza arTi tvam sattva prakRtInAm devAnAm saMBavati iti arTaH /
   nanvindrāya svāhetyādau caturthyantaśabdātiriktā vigrahavatī devatā nāsti,	nanu indrAya svAhA ityAdO caturTI anta Sabda atiriktA vigrahavatI devatAH nAsti,
   śabdasya cāsāmarthyānnādhikāra ityata āha  tatheti /	Sabdasya ca asAmarTyAn na aDikAraH iti atas Aha  taTA iti /
   arthitvavadityarthaḥ /	arTi tva vat iti arTaH /
   aparyudastatvamāha nacateṣāmiti /	aparyudasta tvam Aha nacatezAm iti /
   'śūdro yajñe 'navalkṛptaḥ'itivaddevādīnāṃ vidyādhikāraniṣedho	aSUdraH yajQe anavalkRptaH aiti vat deva AdInAm vidyA aDikAra nizeDaH 
   nāstītyarthaḥ /	na asti iti arTaH /
   nanu vigrahavattvena dṛṣṭasāmarthye satyapyupanayanābhāvācchāstrīyaṃ	nanu vigrahavat tvena dRzwa sAmarTye sati api upanayana aBAvAt SAstrI iyam
   sāmarthyaṃ nāstītyata āha na ceti /	sAmarTyam na asti iti atas Aha na ca iti /
   janmāntarādhyayanabalātsvayameva pratibhātāḥ smṛtā vedā yeṣāṃ te tathā	janma antara aDyayana balAt svayam eva pratiBAtAH smRtAH vedAH yezAm te taTA
   tadbhāvādityarthaḥ /	tad BAvAt iti arTaH /
   bālādiṣu praviṣṭapiśācādīnāṃ vedodghoṣadarśanāddevayonīnāṃ	bAla Adizu pravizwa piSAca AdInAm veda udGoza darSanAt devayonInAm
   janmāntarasmaraṇamastīti smṛtavedāntānāmarthavicāro yukta ityarthaḥ /	janma antara smaraNam asti iti smRta vedAntAnAm arTa vicAraH yuktaH iti arTaH /
   devānāmṛṣīṇāṃ ca vidyādhikāre kāraṇamarthitvādikamuktvā śrautaṃ	devAnAm RzINAm ca vidyA aDikAre kAraNam arTi tva Adikam uktvA SrOtam
   gurukulavāsādiliṅgamāha apiceti /	guru kula vAsa Adi liFgam Aha apicA iti /
   nanu brahmavidyā devādīnnādhikaroti, vedārthatvāt, agnihotravadityata	nanu brahma vidyA deva AdIn na aDika roti, veda arTa tva at, agnihotra vat iti ata
   āha yadapīti /	Aha yat api iti /
   devānāṃ karmasu nādhikāraḥ,	devAnAm karmasu na aDikAraH,
   devatāntarāṇāmuddeśyānāmabhāvāditi prathamasūtrārthaḥ /	devatA antarANAm uddeSyAnAm aBAvAt iti praTama sUtra arTaH /
   ṛṣīṇāmanadhikāraḥ, ṛṣyantarābhāvādṛṣiyukte karmaṇyaśakteriti	RzINAm anaDikAraH, Rzi antara aBAvAt Rzi yukte karmaNi aSakteH iti
   dvitīyasūtrārthaḥ /	dvitIya sUtra arTaH /
   asāmarthyamupādhiriti pariharati na taditi /	asAmarTyam upADiH iti pariharati na tat iti /
   asāmarthyarūpaṃ kāraṇamityarthaḥ /	asAmarTya rUpam kAraNam iti arTaH /
   na hyasti yenāsāmarthyaṃ syāditi śeṣaḥ /	na hi asti yena asAmarTyam syAt iti SezaH /
   'tadyo yo devānāṃ pratyabudhyata sa eva	atadyaH yaH devAnAm pratyabuDyata saH eva
   tadabhavattatharṣīṇām'itivākyabādho 'pyanumānasya draṣṭavyaḥ /	tat aBavat taTA RzINAm aiti vAkya bADaH api anumAnasya drazwavyaH /
   nanu devādīnpratyaṅkuṣṭhamātraśrutiḥ kathaṃ,	nanu deva AdIn pratyaFkuzWa mAtra SrutiH kaTaM,
   teṣāṃ mahādehatvena hṛdayasyāsmadaṅguṣṭhamātratvābhāvāt /	tezAm mahA deha tvena hRdayasya asmad aFguzWa mAtra tva aBAvAt /
   ataḥ śrutiṣu teṣāṃ nādhikāra ityata āha devādyadhikāre 'pīti //26//	atas Srutizu tezAm na aDikAraH iti atas Aha deva Adi aDikAre api iti //26//
   END BsRp_1,3.8.26	END BsRp _1,3.8.26
   START BsRp_1,3.8.27	START BsRp _1,3.8.27
   virodhaḥ karmaṇīti cen nānekapratipatter darśanāt | BBs_1,3.27 |	viroDaH karmaNi iti ced na aneka pratipatteH darSanAt | BBH _1,3.27 |
   nanu mantrādīnāṃ pratīyamānavigrahavattve tātparyaṃ kalpayitvā	nanu mantra AdInAm pratIyamAna vigrahavat tve tAtparyam kalpayitvA
   devādīnāmadhikāra uktaḥ, sa cāyuktaḥ, anyaparāṇāṃ teṣāṃ	deva AdInAm aDikAraH uktaH, sa ca ayuktaH, anya parANAm tezAm
   pratyakṣādivirodhena svārthe tātparyakalpanānupapatterityākṣipya	pratyakza Adi viroDena sva arTe tAtparya kalpanA anupapatteH iti Akzipya
   sūtracatuṣṭayena pariharati virodhaḥkarmaṇītyādinā /	sUtra catuzwayena pariharati viroDaH karmaNi ityAdinA /
   varṇyeta, tarhīti śeṣaḥ /	varNyeta, tarhi iti SezaH /
   svarūpaṃ vigrahaḥ /	svarUpam vigrahaH /
   abhyupagame pratyakṣeṇa devatā dṛśyeta, naca dṛśyate, ato yogyānupalabdhyā	aByupagame pratyakzeNa devatA dRSyeta, na ca dRSyate, atas yogyA anupalabDyA
   devatāyā vigrahavatyā abhāvātsaṃpradānakārakābhāvena karmaniṣpattirna	devatAyAH vigrahavatyA aBAvAt saMpradAna kAraka aBAvena karma nizpattiH na
   syādityāha tadā ceti /	syAt iti Aha tadA ca iti /
   vigrahasyāṅgatvamupalabdhibādhitaṃ yuktyā ca na saṃbhavatītyāha na ceti /	vigrahasya aFga tvam upalabDi bADitam yuktyA ca na saMBavati iti Aha na ca iti /
   tasmādarthopahitaśabda eva devatā, tasyā acetanatvānna vidyādhikāra iti	tasmAt arTa upahita SabdaH eva devatA, tasyAH acetana tvAt na vidyA aDikAraH iti
   śaṅkārthaḥ /	SaFkA arTaH /
   pariharati nāyamiti /	pariharati na ayam iti /
   ekasyāpi devasya yogabalādanekadehaprāptiḥ śrutismṛtidarśanātsaṃbhavati /	ekasya api devasya yoga balAt aneka deha prAptiH Sruti smRti darSanAt saMBavati /
   ato na karmaṇi virodha iti vyācaṣṭe kasmādityādinā /	atas na karmaNi viroDaH iti vyAcazwe  kasmAt ityAdinA /
   vaiśvadevaśastre śasyamānadevāḥ katīti śākalyena pṛṣṭo yājñavalkyo nividā	vESvadeva Sastre SasyamAna devAH kati iti SAkalyena pRzwaH yAjQavalkyaH nividA
   'trayaśca'ityādirūpayottaraṃ dadau /	atrayaH ca aityAdi rUpayA uttaram dadO /
   nivinnāma śasyamānadevasaṃkhyāvācakaḥ śabdaḥ /	nivid nAma SasyamAna deva saMKyA vAcakaH SabdaH /
   ṣaḍadhikāni trīṇi śatāni trīṇi sahasrāṇīti saṃkhyoktau	zaz aDikAni trINi SatAni trINi sahasrANi iti saMKyA uktO
   saṃkhyeyasvarūpapraśne, mahimāno vibhūtayaḥ sarve devā eṣāṃ	saMKyeya svarUpa praSne, mahimAnaH viBUtayaH sarve devAH ezAm
   trayastriṃśaddevānāmato 'ṣṭau vasava ekādaśa rudrā dvādaśādityā indraḥ	trayastriMSat devAnAm atas azwO vasavaH ekAdaSa rudrAH dvAdaSa AdityAH indraH
   prajāpatiśceti trayastriṃśadevāste 'pi	prajApatiH ca iti trayastriMSat eva AH te api
   ṣaṇṇāmagnipṛthivīvāyvantarikṣādityadivāṃ mahimānaste 'pi ṣaṭsu	zaNNAm agni pRTivI vAyu antarikza Aditya divAm mahimAnaH te api zawsu
   deveṣvantarbhavanti /	devezu antarBavanti /
   ṣaṭ devāstriṣu lokeṣu trayaśca dvayorannaprāṇayordvai ca ekasminprāṇe	zaw devAH trizu lokezu trayaH ca dvayoH anna prANayoH dvE ca ekasmin prANe
   hiraṇyagarbhe 'ntarbhavata iti darśitamityarthaḥ /	hiraNyagarBe antarBavataH iti darSitam iti arTaH /
   trayastriṃśato 'pi devānāmiti saṃbandhaḥ /	trayastriMSataH api devAnAm iti saMbanDaH /
   darśanaṃ śrautaṃ vyākhyāya smārtaṃ vyācaṣṭe tathā smṛtiriti /	darSanam SrOtam vyAKyAya smArtam vyAcazwe  taTA smRtiH iti /
   balaṃ yogasiddhim /	balam yoga sidDim /
   'aṇimā mahimā caiva laghimā prāptirīśitā /	aaNimA mahimA ca eva laGimA prAptiH ISitAH /
   prākāmyaṃ ca vaśitvaṃ ca yatrakāmāvasāyitā //	prAkAmyam ca vaSitvam ca yatra kAma avasAyitAH //
   'ityaṣṭaiśvaryāṇi /	aiti azwa ESvaryANi /
   kṣaṇena aṇurmahān laghurguruśca bhavati yogī /	kzaNena aNuH mahAn laGuH guruH ca Bavati yogI /
   aṅgulyā candrasparśaḥ prāptiḥ /	aFgulyA candra sparSaH prAptiH /
   īśitā sṛṣṭiśaktiḥ /	ISitA sRzwi SaktiH /
