   (Hbṭ 1)	(Hbj 1)
   nityatvasampadaḥ pracyāvya, tāṃśca tatpramāṇakān puruṣān	nitya tva sampadaH pracyAvya, tAn= ca tad pramANakAn puruzAn
   svargāpavargasampadaḥ pracyāvya śrāvaṇatvalakṣaṇo hetuḥ śaktivaikalyāt	svarga apavarga sampadaH pracyAvya SrAvaNa tva lakzaNaH hetuH Sakti vEkalyAt 
   paritrātumaśakto bhraṣṭarājya ieva rājā tapovanaṃ gacchati svaireva	paritrAtum aSaktaH Brazwa rAjyaH iA iva rAjA tapaH vanam gacCati svEH eva
   duścaritairiti kimatra vayaṃ brūmaḥ? |	duScaritEH iti kim atra vayam brUmaH? |
   tadevamupahasyaitasmin pakṣe doṣamupadarśayannāha  "puruṣapratibhā" ityādi	tat evam upahasya etasmin pakze dozam upadarSayan= Aha "puruza pratiBA" ityAdi
   | yada hyapradarśitapratiheturheturheturiṣyate tadā puruṣapratibhākṛtaṃ	| yada hi apradarSita pratihetuH hetuH hetuH izyate tadA puruza pratiBAkRtam
   sādhanatvamabhyupagataṃ bhavati | tataśca vastuto na kiñcit	sADana tvam aByupagatam Bavati | tatas ca vastutas na kiQcid 
   sādhanamasādhanaṃ vā prāptam | tathā hi  yadā pratiheturnopadarśyate tadā	sADanam asADanam vA prAptam | taTA hi yadA pratihetuH na upadarSyate tadA
   sādhanam, yadā tūpadarśyate tadā na sādhanamiti puruṣapratibhākṛtaṃ	sADanam, yadA tu upadarSyate tadA na sADanam iti puruza pratiBAkRtam
   sādhanatvamāyātamiti |	sADana tvam AyAtam iti |
   api ca  apradarśitapratihetorhetorhetutve 'ṅgikriyamāṇe vikalpadvayam  kiṃ	api ca apradarSita pratihetoH hetoH hetu tve aFgi kriyamANe vikalpa dvayam kim
   paramārthato hetustaddharmabhāvī, utātaddharmabhāvīti? | tatrādyaṃ	paramArTataH hetuH tad Darma BAvI, uta atat Darma BAvi iti? | tatra Adyam
   vikalpamadhikṛtyāha  "sa ca" heturyo 'sau prathamaṃ upādīyate | sa "yadi	vikalpam aDikRtya aha "sa ca" hetuH yaH asO praTamam upAdIyate | saH "yadi
   svabhāvata" eva "tasmin" sādhyadharme "satyeva bhavati" ityevaṃśīlo	svaBAvata" eva "tasmin" sADya Darme "sati eva Bavati" iti evaMSIlaH 
   'smadupavarṇitapratibandhopagamāt yadīṣyate "tadā kathamanyathā kriyeta"	asmad upavarNita pratibanDa upagamAt yadi izyate "tadA kaTam anyaTA kriyeta"
   hetvantareṇātaddharmabhāvī kathaṃ kriyeta? | na kathañcit | kiṃ kāraṇam? |	hetu antareNa Atad Darma BAvI kaTam kriyeta? | na kaTaQcid | kim kAraNam? |
   vastūnāṃ hetulakṣaṇānāṃ yaḥsvabhāvaḥ  ‘satyameva sādhyadharme	vastUnAm hetu lakzaNAnAm yaH svaBAvaH ‘satyam eva sADya Darme
   bhavanātmakaḥ'  "tadanyathābhāvasya" tadviparyayasya "abhāvād" ubhayośca	Bavana AtmakaH a "tadanI aTA BAvasya" tad viparyayasya "aBAvAd" uBayoH ca
   svasādhyadharmāvinābhāvitve (Hbṭ 220) svabhāvata eva dharmiṇyekatra	sva sADya Darma avinABAvi tve (H bj 220) svaBAvataH eva DarmiNI ekatra
   tayorbhāve viruddhāvubhau svabhāvāvekasya syātām | na caikasya viruddhau	tayoH BAve virudDO= uBO svaBAvO= ekasya syAtAm | na ca ekasya virudDO
   svabhāvau sambhavataḥ, viruddhadharmādhyāsena tasyaikatvahāniprasaṅgāt |	svaBAvO samBavataH, virudDa Darma aDyAsena tasya ekatva hAni prasaFgAt |
   atha dvitīyo vikalpastadā "ataddharmabhāvī ca" asatyapi sādhyadharme	aTa dvitIyaH vikalpaH tadA "atad Darma BAvI ca" asati api sADya Darme
   bhavanaśīlaḥ pratibandhānabhyupagamāt "kathamanyadāpi"	Bavana SIlaH pratibanDa anaByupagamAt "kaTam anyadA api"
   apradarśitapratihetvavasthāyāmapi "sādhanaṃ" kasyacit? | naiva tadāpi	apradarSita pratihetu avasTAyAm api "sADanaM" kasyacit? | na eva tadA api
   sādhanam, na kevalaṃ pradarśitapratihetvavasthāyāmiti |	sADanam, na kevalam pradarSita pratihetu avasTAyAm iti |
   upasaṃharannāha  "tasmāt svabhāvataḥ" ityādi | yata evaṃ bhāvānāṃ svabhāvo	upasaMharat nAha "tasmAt svaBAvataH" ityAdi | yatas evam BAvAnAm svaBAvaH 
   'nyathā kartuṃ na śakyate, viruddhobhayasvabhāvaścaiko na sambhavati	anyaTA kartum na Sakyate, virudDa uBaya svaBAvaH ca ekaH na samBavati
   tasmāt paramārthataḥ svena svena sādhyenāvinābhāvinoryathoktalakṣaṇayoḥ	tasmAt paramArTataH svena svena sADyena avinABA vinoH yaTA ukta lakzaNayoH
   kāryasvabhāvahetvoḥ tallakṣaṇasya kāryasvabhāvalakṣaṇasya	kArya svaBAva hetvoH tad lakzaNasya kArya svaBAva lakzaNasya
   pratihetorasambhavād "alakṣaṇamekasaṃkhyāvivakṣā" vivakṣitaikasaṃkhyatvaṃ	pratihetoH asamBavAt "a lakzaNam eka saMKyA vivakzA" vivakzita eka saMKya tvam
   lakṣaṇaṃ na bhavati | kiṃ kāraṇam? ityāha  "vyavacchedyābhāvāditi" |	lakzaNam na Bavati | kim kAraNam? iti Aha "vyavacCedya aBAvAditi" |
   pratiheturhi vivakṣitaikasaṃkhyatvasya vyavacchedyo varṇyate | sa ca	pratihetuH hi vivakzita eka saMKya tvasya vyavacCedyaH varNyate | sa ca
   pratihetuḥ svalakṣaṇayuktayoḥ kāryasvabhāvayorna bhavatyeveti kathaṃ	pratihetuH sva lakzaNa yuktayoH kArya svaBAvayoH na Bavati eva iti kaTam
   taddhetulakṣaṇaṃ syāditi | tadevamanayordvayo rūpayoryaḥ sambhavo	tad hetu lakzaNam syAt iti | tat evam anayoH dvayaH rUpayoH yaH samBavaH 
   yathoktāvinābhāvāsambhave satīti rūpāntaropagame 'pi hetvābhāsataiveti	yaTA ukta A= inA aBAva asamBave satI iti rUpa antara upagame api hetvABAsa tA eva iti
   "hetvābhāsāstato 'pare iti" ityasyārtho vivṛta iti |	"hetvABAsAH tatas apare iti" iti asya arTaH vivRtaH iti |
   jñātatvanirākaraṇāyāha  "jñānaṃ punaḥ" ityādi | avādhitaviṣayatvaṃ	jQAta tva nirAkaraNAya aha "jQAnam punar " ityAdi | avADita vizaya tvam
   vivakṣitaikasaṃkhyatvaṃ ca kārya  svabhāvahetvorevāvinābhāve sati	vivakzita eka saMKya tvam ca kArya svaBAva hetvoH evA vina aBAve sati
   bādhāpratihetvorasambhavāt vyavacchedyābhāvatvena satyapi liṅgadharmatve	bADA pratihetvoH a samBavAt vyavacCedya aBAva tvena sati api liFga Darma tve
   tallakṣaṇaṃ na bhavatītyuktam | jñānaṃ tu jñātatvam, tasyaiva	tad lakzaNam na Bavati iti uktam | jQAnam tu jQAta tvam, tasya eva
   bhāvapratyayenābhidhānāt | tathā hi  jñānaśabdapravṛttinimittaṃ	BAva pratyayena aBiDAnAt | taTA hi jQAna Sabda pravRtti nimittam
   jñātatvamucyate, tacca jñānameva, tadutpāde sati jñāta iti vyavahārāt | na	jQAta tvam ucyate, tat ca jQAnam eva, tad utpAde sati jQAtaH iti vyavahArAt | na
   ca tat liṅgasyātmarūpamiti kathaṃ liṅgalakṣaṇaṃ bhaviṣyati? | yadyapi	ca tat liFgasya Atma rUpam iti kaTam liFga lakzaNam Bavizyati? | yadi api
   vikalpapratibhāsī sāmānyākāro liṅgatayāvasthāpyate tathāpi na jñānasya	vikalpa pratiBAsI sAmAnya AkAraH liFga tayA avasTApyate taTA api na jQAnasya
   liṅgadharmatā | na hyasau svatantra eva liṅgam | yadāha  "vikalpabhedāna	liFga DarmatA | na hi asO svatantraH eva liFgam | yadA aha "vikalpa BedAna
   svatantrāṇāmanvarthāśrayaṇāt (Hbṭ 221)	sva tantrANAm anvarTa ASrayaNAt (H bj 221)
   tatkalpitaviṣayāda'rthapratipattāvanarthapratilambha eva syāt" iti |	tad kalpita vizayAda arTa pratipattO= anarTa pratilamBaH eva syAt" iti |
   tasmād vāhyavastūpādānasyaivāsya liṅgatāvasthāpyate |	tasmAt vAhya vastu upAdAnasya eva asya liFgatA avasTApyate |
   sādhyasādhanasaṃkalpe vastudarśanahāneḥ svalakṣaṇasya kvacidananvayācca	sADya sADana saMkalpe vastu darSana hAneH sva lakzaNasya kvacid ananvayAt ca
   taddharmatāmeva tvanusmaranto vikalpā nānaikavyatirekān saṃdarśayanto	tad DarmatAm eva tu anusmarantaH vikalpAH nAnA eka vyatirekAn saMdarSayantaH 
   vastuni paramparayā pratibandhādavisaṃvādakāḥ	vastuni paramparayA pratibanDAt avisaMvAdakAH
   kāryādiliṅgavyapadeśanibandhanaṃ cetyuktaprāyam |	kArya Adi liFga vyapadeSa nibanDanam ca iti ukta prAyam |
   na ca tasya kāryāderātmarūpaṃ jñānam | vikalpāvabhāsī ca sāmānyākāro naiva	na ca tasya kArya AdeH Atma rUpam jQAnam | vikalpa avaBAsI ca sAmAnya AkAraH na eva
   vikalpasyātmabhūtaḥ, tasya nīrūpasya vasturūpavirodhāt | tadrūpasya ca	vikalpasya Atma BUtaH, tasya nIrUpasya vastu rUpa viroDAt | tad rUpasya ca
   vikalpapratibimbacakrasya sāmānyātmatāvirahāt | yasmādabādhyasyāpi	vikalpa pratibimba cakrasya sAmAnya Atma tA virahAt | yasmAt abADyasya api
   bāhyatayā vyavasitasyānanuyāyino 'pyanuyāyitayā sāmānyātmakatvaṃ tathātve	bAhya tayA vyavasitasya ananuyAyinaH api anuyAyitayA sAmAnya Atmaka tvam taTA tve
   cāsya vikalparūpatā kutaḥ? yadāha 	ca asya vikalpa rUpa tA kutas ? yat A aha 
   "jñānādavyatiriktaṃ ca kathamarthāntaraṃ vrajet? ||	"jQAnAt avyatiriktam ca kaTam arTa antaram vrajet? ||
   tasmānmithyāvabhāso 'yamartheṣvekātmatāgrahaḥ |" iti |	tasmAt miTyA avaBAsaH ayam arTezu eka Atma tA grahaH |" iti |
   na jñānasya liṅgadharmatā | etadeva sādhayannāha  "kiṃrūpād" ityādi |	na jQAnasya liFga DarmatA | etat eva sADayat nAha "kiMrUpAd" ityAdi |
   kimātmakāt "hetoranumeyo 'rtho jñātavyaḥ iti cintāyāṃ" prakṛtāyāṃ	kimAtmakAt "hetoH anumeyaH arTaH jQAtavyaH iti cintAyAn" prakRtAyAm
   "pratipattuḥ" puṃso yadavisaṃvādakaṃ liṅgaṃ tasya svarūpamabhidhīyate	"pratipattuH" puMsaH yat avisaMvAdakam liFgam tasya svarUpam aBiDIyate
   śāstrakāraiḥ yasya rūpasya darśanādayaṃ pratipattā ‘yatra tadrūpasambhavaḥ	SAstra kArEH yasya rUpasya darSanAt ayam pratipattA ‘yatra tad rUpa samBavaH
   tat sādhanam tadrūpavikalamasādhanam'; iti pravibhāgena vyavasthāpya	tat sADanam tad rUpa vikalam asADanam a; iti praviBAgena vyavasTApya
   yattatra sādhanatvena vyavasthāpitaṃ tasyeṣṭārthasannidhānasampratyayāt	yat tatra sADana tvena vyavasTApitam tasya izwa arTa sanniDAna sampratyayAt
   pravṛttimavalambate | tathā, etasmiṃśca nyāye vyavasthite yadasya	pravRttim avalambate | taTA, etasmin= ca nyAye vyavasTite yat asya
   liṅgasyātmarūpaṃ tallakṣaṇaṃ bhavitumarhati pakṣadharmādivat na tu yat	liFgasya Atma rUpam tad lakzaNam Bavitum arhati pakza Darma Adi vat na tu yat 
   pararūpam |	para rUpam |
   syādetat  jñātasya liṅgasya sādhakatvād yuktaiva sādhyasiddhyupayogino	syAt etat jQAtasya liFgasya sADaka tvAt yuktA eva sADya sidDi upayoginaH 
   jñānasya liṅgalakṣaṇatetyata āha  "pratipattijanmani" ityādi |	jQAnasya liFga lakzaNa tA iti atas Aha "pratipatti janma ni" ityAdi |
   yadyanumeyapratītijanmanyupayujyate jñānamiti tanmātreṇa liṅgasya	yadi anumeya pratIti janmani upayujyate jQAnam iti tanmAtreNa liFgasya
   lakṣaṇamiṣyate tadātiprasaṅgaḥ prāpnoti | tamevāha  "evaṃ	lakzaNam izyate tadA atiprasaFgaH prApnoti | tam eva aha "evam
   pratipattijanmanyupayogamātrālliṅgalakṣaṇatve prameyasya" arthasya	pratipatti janmani upayoga mAtrAt liFga lakzaNa tve prameyasya" arTasya
   "puruṣasya" pramātuḥ (Hbṭ 222) "ādi" śabdāt	"puruzasya" pramAtuH (Hbj 222) "Adi" SabdAt 
   saṃyogasamavāyādīnāmālokamanaskārādīnāṃ liṅgalakṣaṇatvaṃ bhavet | atra	saMyoga samavAya AdInAm Aloka manaskAra AdInAm liFga lakzaNa tvam Bavet | atra
   kāraṇamāha  "nahi teṣvapi" prameyādiṣu asatsu liṅgini jñānaṃ bhavatīti	kAraNam Aha "nahi tezu api" prameya Adizu asatsu liFgini jQAnam Bavati iti
   kṛtvā | atra paro 'niṣṭamāpādayannāha  "niścitagrahaṇaṃ tarhi" ityādi |	kRtvA | atra paraH anizwam ApAdayat = Aha "niScita grahaNam tarhi" ityAdi |
   yadi pararūpatvājjñānaṃ liṅgalakṣaṇaṃ na bhavati tadā ca yadetadācāryeṇa 	yadi para rUpa tvAt jQAnam liFga lakzaNam na Bavati tadA ca yat etat AcAryeNa 
   "anumeye 'tha tattulye sadbhāvo nāstitāsati |	"anumeye aTa tad tulye sadBAvaH na astitA asati |
   niścite" ti 	niScite" ti 
   niścitagrahaṇaṃ kṛtaṃ bhavataścābhimataṃ tanna kartavyayam | tathā hi 	niScita grahaNam kRtam BavataH ca aBimatam tat na kartavyayam | taTA hi 
   niścayo hi liṅgasya pararūpameva | sa cet tallakṣaṇam, jñānaṃ kimiti	niScayaH hi liFgasya para rUpam eva | sa ced tad lakzaNam, jQAnam kim iti
   neṣyate yato niścayo vijñānameva tadviśeṣatvādasyeti |	na izyate yatas niScayaH vijQAnam eva tad viSeza tvAt asya iti |
   siddhāntavādyāha  "na na kartavyaṃ" kintu kartavyameva tasya	sidDAntavAdya aha "na na kartavyan" kintu kartavyam eva tasya
   niścitagrahaṇasya liṅgarūpapratipādanyārthatvāt | tāmevānyārthatāṃ	niScita grahaNasya liFga rUpa pratipAdanya arTa tvAt | tAm eva anya arTa tAm
   darśayannāha  "sapakṣavipakṣayoḥ" ityādi | pare hi sapakṣe	darSayat = Aha "sapakza vipakzayoH" ityAdi | pare hi sa pakze
   darśanamātreṇāsapakṣe cādarśanamātrato gamakaṃ hetumicchanti | teṣāṃ naiva	darSana mAtreNa Asapakze ca adarSana mAtrataH gamakam hetum icCanti | tezAm na eva
   darśanamātreṇa sādhyasiddhau samartho heturbhavatīti jñāpanārthaṃ	darSana mAtreNa sADya sidDO samarTaH hetuH Bavati iti jQApana arTam
   niścitagrahaṇaṃ kṛtam | yataḥ satorvidyamānayorapi	niScita grahaNam kRtam | yatas satoH vidyamAnayoH api
   darśanādarśanayoragamakatvaṃ hetordṛśyate ‘sa śyāmaḥ, tatputratvāt';	darSana adarSanayoH agamaka tvam hetoH dRSyate ‘sa SyAmaH, tad putra tvAt a;
   ityādau | yata evaṃ tena kāraṇena sapakṣe bhāvena vipakṣe	ityAdO | yatas evam tena kAraNena sa pakze BAvena vipakze
   sarvatrābhāvaviśiṣṭenāsapakṣe ca sarvatrābhāvena sapakṣe	sarvatra aBAva viSizwena Asapakze ca sarvatra aBAvena sa pakze
   tādātmyatadutpattilakṣaṇabhāvaviśiṣṭena gamako heturityasyārthasya	tAdAtmya tad utpatti lakzaNa BAva viSizwena gamakaH hetuH iti asya arTasya
   jñāpanārthaṃ lakṣaṇavākye niścitagrahaṇaṃ kṛtaṃ boddhavyam | etaduktaṃ	jQApana arTam lakzaNa vAkye niScita grahaNam kRtam bodDavyam | etat uktam
   bhavati  yāveva sapakṣavipakṣayoḥ bhāvābhāvau	Bavati yO= eva sa pakza vipakzayoH BAva aBAvO
   pratibandhasādhakapramāṇavṛttyā niścitau tābhyāmeva heturgamako bhavati,	pratibanDa sADaka pramANa vRttyA niScitO tAByAm eva hetuH gamakaH Bavati,
   na tu yathākathañciddarśanamātreṇetyasyārthasya jñāpanāya niścitagrahaṇaṃ	na tu yaTA kaTaQcit darSana mAtreNa iti asya arTasya jQApanAya niScita grahaNam
   kṛtamiti |	kRtam iti |
   prakṛtamupasaṃharannāha  "tena" ityādi | yena viśiṣṭayorbhāvābhāvayoreva	prakRtam upasaMharat nAha "tena" ityAdi | yena viSizwayoH BAva aBAvayoH eva
   khyāpanāya niścitagrahaṇaṃ kṛtam, na rūpāntarābhidhānāya, anātmarūpasya ca	KyApanAya niScita grahaNam kRtam, na rUpa antara aBiDAna aya, anAtma rUpasya ca
   lakṣaṇatā na yujyate, tena pararūpaṃ liṅgasya lakṣaṇaṃ na bhavati | yataḥ	lakzaNa tA na yujyate, tena para rUpam liFgasya lakzaNam na Bavati | yatas 
   tena jñānādinā pararūpeṇa liṅgasya na kaścid rūpaviśeṣo 'bhidhīyata iti |	tena jQAna AdinA para rUpeNa liFgasya na kaScid rUpa viSezaH aBiDIyate iti |
   (Hbṭ 223)	(H bj 223)
   nanu ca pare 'pi sapakṣavipakṣayorbhāvābhāvābhyāṃ gamakaṃ hetumicchanti,	nanu ca pare api sa pakza vipakzayoH BAva aBAvAByAm gamakam hetum icCanti,
   darśanādarśane tu tayoreva sādhake, tat kimarthaṃ niścitagrahaṇam? iti,	darSana adarSane tu tayoH eva sADake, tat kim arTam niScita grahaNam? iti,
   ata āha  "tau hi" ityādi | yadyapi pare bhāvābhāvābhyāmeva gamakaṃ	atas Aha "tO hi" ityAdi | yadi api pare BAva aBAvAByAm eva gamakam
   hetumicchanti tathāpi sapakṣa eva bhāvo 'sapakṣe cābhāva eveti bhāvābhāvau	hetum icCanti taTA api sa pakzaH eva BAvaH asapakze ca aBAvaH eva iti BAva aBAvO
   darśanādarśanamātrato vyavasthāpayanti | na ca tatastau tathāvidhau	darSana adarSana mAtrataH vyavasTApayanti | na ca tatas tO taTAviDO
   sidhyataḥ, pratibandhavikalānāmapyarthānāṃ kvacid bhāvābhāvayoḥ	siDyataH, pratibanDa vikalAnAm api arTAnAm kvacid BAva aBAvayoH
   kathañciddarśanādarśanasambhavāt | tasmād yau ‘hetoḥ sapakṣe eva bhāvo	kaTaQcid darSana adarSana samBavAt | tasmAt yO ‘hetoH sa pakze eva BAvaH 
   'sapakṣe cābhāva eva'; ityevamātmakau bhāvābhāvau tau tadbhāvasya sādhakaṃ	asapakze ca aBAvaH eva a; iti evam AtmakO BAva aBAvO tO tad BAvasya sADakam
   yat pramāṇaṃ tādātmyatadutpattisādhanaviṣayaṃ taddhṛttyā voddhavyau |	yat pramANam tAdAtmya tad utpatti sADana vizayam tat DRttyA vA udDavyO |
   kutaḥ? upāyāntarasyābhāvāt | tadanabhyupagame hi hetoḥ sapakṣa eva bhāvaḥ	kutas ? upAya antarasya aBAvAt | tad anaByupagame hi hetoH sa pakzaH eva BAvaH
   sarveṣāṃ hetumatāṃ bhāvānāṃ sādhyenānugamadarśane sati vipakṣe cābhāva eva	sarvezAm hetumatAm BAvAnAm sADyena anugama darSane sati vipakze ca aBAvaH eva
   sādhyavikalānāṃ sarvārthānāṃ hetuviviktānāṃ upalambhe sati syāt | na	sADya vikalAnAm sarva arTAnAm hetu viviktAnAm upalamBe sati syAt | na
   caitadasarvadarśinaḥ sambhavatīti | yata upāyāntaraṃ nāsti tena kāraṇena	ca etat asarva darSinaH samBavati iti | yatas upAya antaram na asti tena kAraNena
   tayorviśiṣṭayorbhāvābhāvayoḥ pratipādanāya niścitaśabdaḥ prayukto lakṣaṇe	tayoH viSizwayoH BAva aBAvayoH pratipAdanAya niScita SabdaH prayuktaH lakzaNe
   lakṣaṇakāreṇeti |	lakzaNa kAreNa iti |
   nanu ca bhāvābhāvavacanamātrādeva pramāṇato niścayo labhyate anyathā	nanu ca BAva aBAva vacana mAtrAt eva pramANataH niScayaH laByate anyaTA
   tayoreva sattā na prasidhyediti, ata āha  "yadyapi" ityādi |	tayoH eva sattA na prasiDyet iti, atas Aha "yadi api" ityAdi |
   "anumeye 'tha tattulye sadbhāvo nāstitāsati |"	"anumeye aTa tad tulye sadBAvaH na astitA asati |"
   ityanenaiva sapakṣāsapakṣayoḥ bhāvābhāvavacanamātreṇā	iti anena eva sa pakzAsa pakzayoH BAva aBAva vacana mAtreNa a
   niścitagrahaṇanirapekṣeṇa tayorbhāvābhāvayoryat sādhanaṃ pramāṇaṃ tasya	niScita grahaNa nirapekzeNa tayoH BAva aBAvayoH yat sADanam pramANam tasya
   vṛttiryadyapyākṣipyate | kathaṃ punarniścitagrahaṇamantareṇa	vRttiH yadi api Akzipyate | kaTam punar niScita grahaNam antareNa
   bhāvābhāvavacanamātratastaddhṛtteḥ ākṣepaḥ? ityāha  "anyathā" yadi	BAva aBAva vacana mAtrataH tad DRtteH AkzepaH? iti Aha "anyaTA" yadi
   tatsādhanapramāṇavṛttirnākṣipyeta, tadā "tayoreva" sapakṣavipakṣayoreva	tad sADana pramANa vRttiH na akzipyeta, tadA "tayoH eva" sa pakza vipakzayoH eva
   bhāvābhāvayoryā sattā svarūpavyavasthā tasyā "aprasiddheḥ" |	BAva aBAvayoH yA sattA sva rUpa vyavasTA tasyAH "a prasidDeH" |
   kasmādaprasiddhiḥ? ityāha  "jñānasya" upalabdheryā sattā utpattiḥ	kasmAt aprasidDiH? iti Aha "jQAnasya" upalabDeH yA sattA utpattiH
   tannibandhanatvājjñeyasya bhāvābhāvalakṣaṇasya sattāvyavasthāyāḥ	tad nibanDana tvAt jQeyasya BAva aBAva lakzaNasya sattA vyavasTAyAH
   svarūpavyavasthiteḥ | na hyupalambhamantareṇa svata evārthāḥ (Hbṭ 224)	svarUpa vyavasTiteH | na hi upalamBam antareNa svatas eva arTAH (Hbj 224)
   sidhyanti, sarvasya sarvasiddhiprasaṅgāt | tasmādidamevaṃrūpaṃ	siDyanti, sarvasya sarva sidDi prasaFgAt | tasmAt idam evaMrUpam
   naivaṃrūpamiti tadākārajñānodayādeva vyavasthāpyate | yata evaṃ tasmāt	na evaMrUpam iti tad AkAra jQAna udayAt eva vyavasTApyate | yatas evam tasmAt 
   sarvatra śāstre loke vā jñeyasattāvyavasthaiva niścitagrahaṇaṃ vināpi	sarvatra SAstre loke vA jQeya sattA vyavasTA eva niScita grahaNam vinA api
   "tatsādhanaṃ" tatsattāsādhanaṃ pramāṇam "ākarṣati" ākṣipatīti | kiñca,	"tad sADanan" tad sattA sADanam pramANam "Akarzati" Akzipati iti | kiQca,
   parārthatvācca śāstrapraṇayanasya tatsādhanapramāṇavṛttirākṣipyate iti	para arTa tvAt ca SAstra praNayanasya tad sADana pramANa vRttiH Akzipyate iti
   sambandhaḥ | kīdṛśaṃ punastacchāstrapraṇayanaṃ yat parārtharūpatayā	sambanDaH | kIdRSam punar tad SAstra praNayanam yat para arTa rUpa tayA
   svavyavasthāpitajñeyasattāsādhanaṃ pramāṇamākṣipati? ityāha  " trirūpaṃ	sva vyavasTApita jQeya sattA sADanam pramANam Akzipati? iti Aha " trirUpam
   liṅgaṃ vaḥ saṃvādakaṃ prāpakaṃ" vāñchitasyārthasyeti | yadi nāmaivaṃrūpaṃ	liFgam vaH saMvAdakam prApakaM" vAQCitasya arTasya iti | yadi nAma evaMrUpam
   parārthaṃ śāstrapraṇayanaṃ tathāpi kathaṃ tat	para arTam SAstra praNayanam taTA api kaTam tat 
   sādhanapramāṇavṛttimākṣipatītyāha  "tadrūpaṃ" tasya liṅgasya trirūpasya	sADana pramANa vRttim Akzipati iti Aha "tad rUpaM" tasya liFgasya trirUpasya
   rūpaṃ svabhāvaṃ śāstroktaṃ ye pratipattāro na vidanti, na teṣāṃ	rUpam svaBAvam SAstra uktam ye pratipattAraH na vidanti, na tezAm
   tatastrirūpālliṅgācchāstroktād vāñchite 'rthe pravṛttirbhavati,	tatas tri rUpAt liFgAt SAstra uktAt vAQCite arTe pravRttiH Bavati,
   ajñātasyārthasya jñāpakasya svasattāmātreṇa pravartakatvābhāvāt | yata	ajQAtasya arTasya jQApakasya sva sattA mAtreNa pravartaka tva aBAvAt | yata
   evam "iti" tasmāt paropalakṣaṇatvādeva pareṣāṃ jñāpakatvādeva pravartake	evam "iti" tasmAt para upalakzaNa tvAt eva parezAm jQApaka tvAt eva pravartake
   trirūpaliṅge jñānaṃ siddhamiti yadyapi niścitagrahaṇamatiricyate tathāpi	trirUpa liFge jQAnam sidDam iti yadi api niScita grahaNam atiricyate taTA api
   tāveva liṅgasya sapakṣāsapakṣayorbhāvābhāvau viśiṣṭau śāstroktau ‘sapakṣa	tO= eva liFgasya sa pakza Asa pakzayoH BAva aBAvO viSizwO SAstra uktO ‘sapakza
