   The Adhikaraṇavastu	The ADikaraNa-vastu
   tatsvabhāvaiṣīyaṃ dātuṃ te tūṣṇīm; na kṣamate bhāṣantām; iyaṃ prathamā	tad-svaBAvEzIyam dAtum te tUzNIm; na kzamate BAzantAm; iyam praTamA
   karmavācanā; ḥevaṃḥ dvitīyā ḥtīrīyāḥ karmavācanā ḥkartavyāḥ; dattaḥ	karma-vAcanA; HevanH dvitIyAH HtIrIyAH karma-vAcanAH HkartavyAH; dattaH
   saṃghena hastakasya bhikṣos tatsvabhāvaiṣīyaḥ; kṣāntam anujñātam saṃghena	saMGena hastakasya BikzoH tad-svaBAva-ezIyaH; kzAntam anujQAtam saMGena
   yasmāt tūṣṇīm; evam etad dhārayāmi	yasmAt tUzNIm; evam etat DArayAmi
        tatsvabhāvaiṣīyadattakasyāhaṃ bhikṣor āsamudācārikān dharmān	tad-svaBAva-ezIyadattakasya-aham BikzoH AsamudAcArikAn DarmAn
   prajñāpayāmi; tatsvabhāvaiṣīyadattakena bhikṣuṇā na pravrājayitavyaṃ	prajQApayAmi; tad-svaBAvEzIyadattakena BikzuNA na pravrAjayitavyam
   nopasaṃpādayitavyaṃ na niśrayo deyo na śramaṇoddeśa upasthāpayitavyaḥ	na-upasaMpAdayitavyam na niSrayaH deyaH na SramaNa-uddeSaH upasTApayitavyaH
   nānena karma kartavyam, na karmakārakaḥ saṃmantavyaḥ, nānena bhikṣuṇyo	na-anena karma kartavyam, na karma-kArakaH saMmantavyaH, na-anena BikzuNyaH-
   'vavaditavyāḥ; na bhikṣuṇyā ḥaḥvavādakaḥ saṃmantavyaḥ; na pūrvasaṃmatena	avavaditavyAH; na BikzuNyA HaHvavAdakaH saMmantavyaH; na pUrva-saMmatena
   bhikṣuṇyo 'vavaditavyāḥ; nānena bhikṣuś codayitavyaḥ smārayitavyaḥ	BikzuNyaH avavaditavyAH; na-anena BikzuH codayitavyaH smArayitavyaH
   śīlavipattyā dṛṣṭivipattyā ācāravipattyā ājīvavipattyā; nānenāvavādaḥ	SIla-vipattyA dRzwi-vipattyA AcAra-vipattyA AjIva-vipattyA; na-anena-avavAdaH
   sthāpayitavyaḥ, na poṣadhe, na pravāraṇe, na jñaptidvitīye na	sTApayitavyaH, na pozaDe, na pravAraNe, na jQapti-dvitIye na
   jñapticaturthe karmaṇi; nāpi saṃghamadhye vinayo moktavyaḥ satsv anyeṣu	jQapti-caturTe karmaNi; na-api saMGa-maDye vinayaH moktavyaH satsu anyezu
   vinayadhareṣu pudgaleṣu; tatsvabhāvaiṣīyadattako bhikṣur yathāprajñaptān	vinaya-Darezu pudgalezu; tad-svaBAvEzIyadattakaH BikzuH yaTAprajQaptAn
   āsamudācārikān dharmān asamādāya vartate, sātisāro bhavati	AsamudAcArikAn DarmAn asamAdAya vartate, sa-atisAraH Bavati
        ekam adhārmikaṃ tatsvabhāvaiṣīyaṃ dānaṃ, ekaṃ dhārmikam; ekam	ekam aDArmikam tat-svaBAvEzIyam dAnan, ekam DArmikam; ekam
   adhārmikam katamat? yathāpitat hastako bhikṣuḥ saṃghamadhye āpattiṃ	aDArmikam katamat? yaTApitat hastakaH BikzuH saMGa-maDye Apattim
   pratijānāti pratijñāya avajānāti avajñāya punar api pratijānāti, tasya	pratijAnAti pratijQAya avajAnAti avajQAya punar api pratijAnAti, tasya
   saṃghaḥ svabhāvaiṣīyaṃ dadāti adhārmikaṃ tatsvabhāvaiṣīyadānam; idam ekam	saMGaH svaBAvEzIyam dadAti aDArmikam tad-svaBAva-ezIya-dAnam; idam ekam
   adhārmikam; ekaṃ dhārmikam katamat? yathāpitat hastako bhikṣuḥ	aDArmikam; ekam DArmikam katamat? yaTApitat hastakaH BikzuH
   saṃghamadhye āpattim avajānāti avajñāya pratijānāti pratijñāya punar apy	saMGa-maDye Apattim avajAnAti avajQAya pratijAnAti pratijQAya punar api-
   avajānāti tasya saṃghas (Adhik-v 108) tatsvabhāvaiṣīyaṃ dadāti, dhārmikaṃ	avajAnAti tasya saMGaH (a-aDik-u 108) tad-svaBAvEzIyam dadAti, DArmikam
   tasvabhāvaiṣīyadānam; idam ekaṃ dhārmikam	tasvaBAva-ezIya-dAnam; idam ekam DArmikam
        evaṃ hi bhikṣavaḥ tatsvabhāvaiṣīya adhikaraṇaśamatho bhavati; evaṃ ca	evam hi BikzavaH tad-svaBAvEzIya aDikaraNa-SamaTaH Bavati; evam ca
   punar ihaikekeṣām adhikaraṇānāṃ damaś ca bhavati śamaś ca vyupaśamaś ca	punar iha-ekekezAm aDikaraNAnAm damaH ca Bavati SamaH ca vyupaSamaH ca
   yaduta tatsvabhāvaiṣīyenādhikaraṇaśamathena	yat-uta tad-svaBAvEzIyena-aDikaraNa-SamaTena
   The settling of legal questions by the trṇaprastāraka method	The set-tlinc of legat questionH bi Te trNa-prastAraka meTa-ud
        kathaṃ ca bhikṣavaḥ tṛṇaprastāraka adhikaraṇaśamatho bhavati? kathaṃ	kaTam ca BikzavaH tRNaprastAraka aDikaraNa-SamaTaH Bavati? kaTam
   ca punar ihaikeṣām adhikaraṇānāṃ damaś ca bhavati śamaś ca ḥvyupaśamaśḥ	ca punar iha-ekezAm aDikaraNAnAm damaH ca Bavati SamaH ca HvyupaSamaSH
   yaduta tṛṇaprastārakeṇādhikaraṇaśamathena? yathāpitad bhikṣūṇāṃ	yat-uta tRNa-prastArakeNa-aDikaraNa-SamaTena? yaTApitat BikzUNAm
   kalahajātānāṃ viharatāṃ bhaṇḍanajātānāṃ vigṛhītānāṃ vivādam āpannānāṃ	kalaha-jAtAnAm viharatAm BaNxana-jAtAnAm vigRhItAnAm vivAdam ApannAnAm
   pakṣāparapakṣavyavasthitānām; ekasmin pakṣe yo bhikṣuḥ (A 349b) sthaviraḥ	pakza-apara-pakza-vyavasTitAnAm; ekasmin pakze yaH BikzuH (A 349b) sTaviraH
   sthavirānyatamaḥ jñāto jñātānyatamaḥ pramukaḥ pramukhānyatamaḥ tena	sTavirA-anyatamaH jQAtaH jQAtA-anyatamaH pramukaH pramuKAni-atamaH tena
   svapakṣe upasaṃkramya idaṃ syād vacanīyam: teṣām asmākam āyuṣmantaḥ alābhā	sva-pakze upasaMkramya idam syAt vacanIyam: tezAm asmAkam AyuzmantaH alABA
   na lābhāḥ durlabdhā na sulabdhāḥ, ye vayaṃ svākhyāte dharmavinaye	na lABAH durlabDAH na su-labDAH, ye vayam su-AKyAte Darma-vinaye
   pravrajya kalahajātā viharāmo bhaṇḍanajātā vigṛhītā vivādam āpannāḥ; yāṃ	pravrajya kalaha-jAtAH viharAmaH BaNxana-jAtAH vigRhItAH vivAdam ApannAH; yAm
   cāham āyuṣmanto 'smin vastuni āpattim āpanno yāṃ ca yūyam, sthāpayitvā	ca-aham AyuzmantaH asmin vastuni Apattim ApannaH yAm ca yUyam, sTApayitvA
   sthūlāvadyaṃ vā gṛhasthapratiśaraṇaṃ vā, utsahe 'ham ātmanaḥ karaṇīyena	sTUlAvadyam vA gRhasTa-pratiSaraNam vA, utsahe aham AtmanaH karaNIyena
   yuṣmākāṃ ca teṣām āyuṣmatām antike deśayitum āviṣkartuṃ na	yuzmAkAm ca tezAm AyuzmatAm antike deSayitum Avizkartum na
   praticchādayitum iti; sacet tasya bhikṣoḥ svapakṣād ekabhikṣur api	praticCAdayitum iti; saced tasya BikzoH sva-pakzAt eka-BikzuH api
   bhāṣitaṃ na prativahati na pratikrośati, tatas tena bhikṣuṇā dvitīyaṃ	BAzitam na prativahati na pratikroSati, tatas tena BikzuNA dvitIyam
   pakṣam upasaṃkramyaikāṃśam uttarāsaṅgam kṛtvā yathāvṛddhikayā sāmīcīṃ	pakzam upasaMkramya-eka-aMSam uttarAsaFgam kRtvA yaTAvRdDikayA sAmIcIm
   kṛtvā utkuṭukena sthitvā idaṃ syād vacanīyam: teṣām asmākam āyuṣmanta	kRtvA utkuwukena sTitvA idam syAt vacanIyam: tezAm asmAkam Ayuzmanta
   alābhā na lābhāḥ durlabdhā na sulabdhāḥ, ye vayam svākhyāte dharmavinaye	alABAH na lABAH durlabDAH na su-labDAH, ye vayam su-AKyAte Darma-vinaye
   pravrajya kalahajātā viharāmo bhaṇḍanajātā vigṛhītā vivādam āpannāḥ; yāṃ	pravrajya kalaha-jAtAH viharAmaH BaNxana-jAtAH vigRhItAH vivAdam ApannAH; yAm
   cāham asmin vastuny āpattim āpanno yāṃ ca te āyuṣmantaḥ, sthāpayitvā	ca-aham asmin vastuni Apattim ApannaH yAm ca te AyuzmantaH, sTApayitvA
   sthūlāvadyaṃ vā gṛhapatipratiśaraṇaṃ (Adhik-v 109) vā, utsahe 'ham ātmanaḥ	sTUlAvadyam vA gRhapati-pratiSaraNam (a-aDik-u 109) vA, utsahe aham AtmanaH
   karaṇīyena teṣām āyuṣmatāṃ ḥcaḥ yuṣmākam antike deśayitum āviṣkartuṃ na	karaNIyena tezAm AyuzmatAm HcaH yuzmAkam antike deSayitum Avizkartum na
   praticchādayitum iti; dvitīye pakṣe ḥyoḥ bhikṣuḥ sthaviraḥ	praticCAdayitum iti; dvitIye pakze HyoH BikzuH sTaviraH
   sthavirānyatamaḥ jñāto jñātānyatamaḥ pramukhaḥ pramukhānyatamaḥ tenāpi	sTavirA-anyatamaH jQAtaH jQAtA-ani-atamaH pramuKaH pramuKAni-atamaH tena-api
   svapakṣa upasaṃkramya idaṃ syād vacanīyam: asmākam āyuṣmantaḥ teṣāṃ ca	sva-pakze upasaMkramya idam syAt vacanIyam: asmAkam AyuzmantaH tezAm ca
   alābhā na lābhā durlabdhā na sulabdhāḥ, ye vayaṃ svākhyāte dharmavinaye	alABAH na lABAH durlabDAH na su-labDAH, ye vayam su-AKyAte Darma-vinaye
   pravrajya kalahajātā viharāmo bhaṇḍanajātā vigṛhītā vivādam āpannaḥ; yāṃ	pravrajya kalaha-jAtA viharAmaH BaNxana-jAtA vigRhItAH vivAdam ApannaH; yAm
   cāham āyuṣmanto 'smin vastuny āpattim āpanno yāṃ ca yūyam, sthāpayitvā	ca-aham AyuzmantaH asmin vastuni Apattim ApannaH yAm ca yUyam, sTApayitvA
   sthūlāvadyaṃ gṛhasthapratiśarāṇaṃ vā, utsahe 'ham ātmanaḥ karaṇīyena	sTUla-avadyam gRhasTa-pratiSarANam vA, utsahe aham AtmanaH karaNIyena
   yuṣmākaṃ ca teṣām ḥāyuṣmatāmḥ antike deśayitum āviṣkartuṃ na	yuzmAkam ca tezAm HAyuzmatAmH antike deSayitum Avizkartum na
   praticchādayitum iti; sacet tasya bhikṣor ḥsvapakṣād ekabhikṣurḥ api	praticCAdayitum iti; saced tasya BikzoH Hsva-pakzAt eka-BikzurH api
   bhāṣitaṃ na prativahati na pratikrośati tatas tena bhikṣuṇā dvitīyaṃ	BAzitam na prativahati na pratikroSati tatas tena BikzuNA dvitIyam
   pakṣam upasaṃkramyaikāṃśam uttarāsaṅgam kṛtvā yathāvṛddhikayā sāmīcīṃ	pakzam upasaMkramya-eka-aMSam uttarAsaFgam kRtvA yaTAvRdDikayA sAmIcIm
   kṛtvā utkuṭukena sthitvā idaṃ syād vacanīyam: teṣām asmākam āyuṣmanta	kRtvA utkuwukena sTitvA idam syAt vacanIyam: tezAm asmAkam Ayuzmanta
   alābhā na lābhā durlabdhā na sulabdhāḥ, ye vayaṃ svākhyāte dharmavinaye	alABAH na lABAH durlabDAH na su-labDAH, ye vayam su-AKyAte Darma-vinaye
   pravrajya kalahajātā viharāmo bhaṇḍanajātā vigṛhītā vivādam āpannāḥ; yāṃ	pravrajya kalaha-jAtAH viharAmaH BaNxana-jAtAH vigRhItAH vivAdam ApannAH; yAm
   cāham asmin vastuny āpattim apanno yāṃ ca te āyuṣmantaḥ, sthāpayitvā	ca-aham asmin vastuni Apattim apannaH yAm ca te AyuzmantaH, sTApayitvA
   sthūlāvadyam vā gṛhasthapratiśaraṇam vā, utsahe 'ham ātmanaḥ karaṇīyena	sTUlAvadyam vA gRhasTa-pratiSaraNam vA, utsahe aham AtmanaH karaNIyena
   teṣāṃ cāyuṣmatāṃ yuṣmākam antike deśayitum āviṣkartuṃ na praticchādayitum	tezAm ca-AyuzmatAm yuzmAkam antike deSayitum Avizkartum na praticCAdayitum
   iti; yadā ekapakṣo ḥdvitīyeḥ romaṃ pātayati niḥsaraṇaṃ pravartayati	iti; yadA eka-pakzaH HdvitIyeH romam pAtayati niHsaraNam pravartayati
   sāmicīṃ pravartayati dvitīyo vā dvitīye, na cānyonyam āpattiparikīrtanena	sAmicIm pravartayati dvitIyaH vA dvitIye, na ca-anyonyam Apatti-parikIrtanena
   pravartayanti, evaṃ tadadhikaraṇaṃ (A 350a) vyupaśāntaṃ yaduta	pravartayanti, evam tad-aDikaraNam (A 350a) vyupaSAntam yat-uta
   tṛṇaprastārakeṇādhikaraṇaśamathena; evaṃ hi bhikṣavaḥ tṛṇaprastāraka	tRNa-prastArakeNa-aDikaraNa-SamaTena; evam hi BikzavaH tRNaprastAraka
   adhikaraṇaśamatho (Adhik-v 110) bhavati; evaṃ ca punar ihaikeṣām	aDikaraNa-SamaTaH (a-aDik-u 110) Bavati; evam ca punar iha-ekezAm
   adhikaraṇānāṃ damaś ca bhavati śamāś ca vyupaśamaś ca yaduta	aDikaraNAnAm damaH ca Bavati SamAH ca vyupaSamaH ca yat-uta
   tṛṇaprastārakeṇa ḥadhikaraṇaḥśamathena	tRNa-prastArakeNa HaDikaraNaH-SamaTena
        āpattyādhikaraṇaṃ bhikṣavaḥ ebhiś caturbhir adhikaraṇaśamathair	Apattya-aDikaraNam BikzavaH eBiH caturBiH aDikaraNa-SamaTEH-
   dharmair damayitavyaṃ śamayitavyaṃ vyupaśamayitavyam, yaduta	DarmEH damayitavyam Samayitavyam vyupaSamayitavyam, yat-uta
   pratijñākārakeṇa saṃmukhavinayena tatsvabhāvaiṣīyena tṛṇaprastārakeṇa;	pratijQA-kArakeNa saMmuKa-vinayena tad-svaBAva-ezIyena tRNa-prastArakeNa;
   kṛtyādhikaraṇaṃ tu bhikṣavaḥ samagreṇa saṃghena vyupaśamayitavyam	kRtya-aDikaraNam tu BikzavaH samagreNa saMGena vyupaSamayitavyam
        yasmin bhikṣavaḥ āvāse eko bihikṣuḥ prativasati tatra na kalaho	yasmin BikzavaH AvAse ekaH bihikzuH prativasati tatra na kalahaH-
   bhaṇḍanaṃ vigraho vivādaḥ; yasmin dvau tatrāpi na kalaho bhaṇḍanaṃ	BaNxanam vigrahaH vivAdaH; yasmin dvO tatra-api na kalahaH BaNxanam
   ḥvigrahoḥ vivādaḥ; ḥyasmin trayaḥ tatrāpi na kalaho bhaṇḍanaṃ vigraho	HvigrahoH vivAdaH; Hyasmin trayaH tatra-api na kalahaH BaNxanam vigrahaH-
   vivādaḥ;ḥ yasmin tu catvāro bhikṣavaḥ prativasanti uttare vā tatra kalaho	vivAdaH;H yasmin tu catvAraH BikzavaH prativasanti uttare vA tatra kalahaH-
   bhaṇḍanaṃ vigraho vivādaś ca; yathāpi bhikṣavaḥ	BaNxanam vigrahaH vivAdaH ca; yaTA-api BikzavaH
        ekas tathā yathā brahmā yathā śakras tathā dvayam /	ekaH taTA yaTA brahmA yaTA SakraH taTA dvayam /
        yathā trayaṃ tathā rājā kolāhalam ataḥ param //	yaTA trayam taTA rAjA kolAhalam atas param //
   tasmāt tarhi bhikṣavo 'nujānāmi, ya ekām api catuṣpadikāṃ gāthāṃ dhārayati	tasmAt tarhi BikzavaH anujAnAmi, yaH ekAm api catuzpadikAm gATAm DArayati
   tasya dharmasantako lābho deyaḥ, tenāpi paribhoktavyaḥ; nātra kaukṛtyaṃ	tasya Darma-santakaH lABaH deyaH, tena-api pariBoktavyaH; na-atra kOkRtyam
   karaṇīyam	karaNIyam
        śrīḥ	SrIH
        adhikaraṇavastu samāptam	aDikaraNa-vastu samAptam
   p.111f.: Appendix: This is a fragmentary leaf from the Bhaiṣajyavastu,	p.111f.: Appendix: ThiH iH aH fragmentari leaf from Te BhEzajya-vastu,
   corresponding, withsome variants, to the text edited by prof. N. Dutt,	correspa-unding, wiTsome variants, taH Te text editet bi prof. N. Dutt,
   III, 1, pp. 241-43.	III, 1, pp. 241-43.
   new edition see:	new edition see:
   K. Wille: Die handschriftliche Überlieferung des Vinayavastu der	K. Wille: Die handsCriftliCe ÜberliefeH-ung deH VinayavaH-tu der
   Mūlasarvāstivādin, Stuttgart 1990 (Verzeichnis der orientalischen	MUla-sarva-astivAdin, Stuttgart 1990 (VeH-zeiCniH deH orientalisCen
   Handschriften in Deutschland, Suppl.-Bd. 30) [= Diss., 1987], pp. 111ff.	HandsSriften id Deut-sCland, Suppl.-Bd. 30) [ Dis-s., 1987], pp. 111ff.
        Bhaiṣajyavastu Fragment	BhEzajya-vastu Fragment
        1------kariṇyā chorayitvā āgacchati/ sa pavanabalavegavāhinā javena	1------kariNyA CorayitvA AgacCati/ sa pavana-bala-vega-vAhinA javena
   śrāvastīm āgamya jeta------	SrAvastIm Agamya jeta------
        2.....dā muktaḥ tataḥ sā hastinī santrastā mūtrapurīṣam utsṛjantī	2.....dA muktaH tatas sA hastinI santrastA mUtra-purIzam utsRjantI
   kalabhaṃ chorayitvā pra.....	kalaBam CorayitvA pra.....
        3.....ka iti saṃjñā/apare paṭhanti rājñā prasenajitā rājñā	3.....kaH iti saMjQA/-apare paWanti rAjQA prasenajitA rAjQA
   prasenajitā rājño bimbisVara.....	prasenajitA rAjQaH bimbi-sVara-.....
        4.....putre aparāṇi saṅghe caritāni / tathā avaśiṣṭam ta.....	4.....putre aparANi saFGe caritAni / taTA avaSizwam ta.....
   5.....bhavanto mānuṣāṇāṃ divyāni visāni tasmād anujāmi durlabhāni divyāni	5.....BavantaH mAnuzANAm divyAni visAni tasmAt anujAmi durlaBAni divyAni
   visānīti.....	visAnIti.....
   6.....ko gṛhapatiḥ miṇḍakapatnī miṇḍakaputraḥ miṇḍakasnuṣā miṇḍakadāso	6.....kaH gRhapatiH miNxaka-patnI miNxaka-putraH miNxaka-snuzA miNxaka-dAsaH-
   miṇḍakapatnī.....	miNxaka-patnI.....
   7 ..... ḥ kthaṃ miṇdakpatnī sā ekasyārthāya sthālīṃ sādhayati ṣatāni	7 ..... H kTam miNdakpatnI sA ekasya-arTAya sTAlIm sADayati zatAni
   sahasrāṇi ca paribhuñjate evaṃ miṇḍaka .....	sahasrANi ca pariBuQjate evam miNxakaH .....
   8.....evaṃ miṇḍakaputraḥ miṇḍakasnuṣā ekasyārthāya gatvā saṃpādayati	8.....evam miNxaka-putraH miNxaka-snuzA ekasya-arTAya gatvA saMpAdayati
   śatasya sahasrasya ca paryāptaṃ bhavati .....	Satasya sahasrasya ca paryAptam Bavati .....
   9 .....yadā ekāṃ mātrāṃ pratijāgarti tadā sapta mātrās sampadyante/ evaṃ	9 .....yadAH ekAm mAtrAm pratijAgarti tadA sapta mAtrAH sampadyante/ evam
   miṇḍakadāsī mahāpuṇyā/bha.....	miNxaka-dAsI mahA-puNyA/Ba.....
   10 .....yuṣmākam utsahate tathāgatena sārdhaṃ janapadacārikayā bhadrakaṃ	10 .....yuzmAkam utsahate taTAgatena sArDam janapada-cArikayA Badrakam
   nagaraṃ gantuṃ sa cī .....	nagaram gantum sa cI .....
   1 .....yuṣmākam utsahate bhagavatā sārdham janapadacārikayā bhadrakaṃ	1 .....yuzmAkam utsahate BagavatA sArDam janapada-cArikayA Badrakam
   nagaraṃ gantuṃ sa cīvara .....	nagaram gantum sa cIvaraH .....
   2 .....napadacārikāṃ caraṃ bhadraṃ nagaraṃ samprasthitaḥ yadā bhagavatā	2 .....napada-cArikAm caram Badram nagaram samprasTitaH yadA BagavatA
   śrāvastyāṃ mahāpratihāryaṃ vi.....	SrAvastyAm mahA-pratihAryam vi.....
   3.....maṇena gautamena madhyadeśān nirvāsitāḥ sa yadīhāgamiṣyati	3.....maNena gOtamena maDyadeSAn nirvAsitAH sa yadi-iha-Agamizyati
   niścayenāsmān ito'pi nirvā .....	niScayena-asmAn itas-api nirvA .....
   4 ..... ḥ gamiṣyāmaḥ kasyārthāya/ dṛśṭsmābhir yuṣmākaṃ saṃpattir yāvad	4 ..... H gamizyAmaH kasya-arTAya/ dRSwsmABiH yuzmAkam saMpattiH yAvat-
   vipattin na paśyāmas tāvad gacchāmaḥ ārya .....	vipattin na paSyAmaH tAvat gacCAmaH AryaH .....
   5.....tavyaṃ tasmin eva kāle smākaṃ parityāgaḥ kriyate/ tiṣṭhadha na	5.....tavyam tasmin eva kAle smAkam parityAgaH kriyate/ tizWaDa na
   gantavyam iti/ te kathayanti /kiṃ .....	gantavyam iti/ te kaTayanti /kim .....
   6 .....raṃ nagaraṃ praveśayataḥ śādvalāni kṛṣataḥ sthaṇḍilāni pātayataḥ	6 .....ram nagaram praveSayataH SAdvalAni kRzataH sTaNxilAni pAtayataH
   puṣpaphalavṛkṣāṃs che.....	puzpa-Pala-vRkzAn Ce.....
   7 .....praveśitaḥ śādvalāni kṛṣṭāni sthaṇḍilāni pātitāni puṣpavṛkāś	7 .....praveSitaH SAdvalAni kRzwAni sTaNxilAni pAtitAni puzpavRkAS
   chinnāḥ pānīyāni vi .....	CinnAH pAnIyAni vi .....
   8 ..... ś ca duṣkaraśatasahasraḥ ṣaṭpāramitvāḥ paripūryānuttaraṃ jñānam	8 ..... S ca duzkara-Sata-sahasraH zaz-pAramitvAH paripUrya-anuttaram jQAnam
   ājñā dattā / gacchata viṣapānīyāni śoṣayateti/ varṣabala .....	AjQA dattA / gacCata viza-pAnIyAni SozayatA-iti/ varza-balaH .....
   9 ..... putrāṇam ājñā dattā / gacchata viṣadūsṣitāni śoṣayaeti / varṣabala	9 ..... putrANam AjQA dattA / gacCata viza-dUszitAni Sozayaa-iti / varza-bala
   10.....to vātabalāhakair devaputrair viṣadūṣitāni pānīyāni śoṣitāni varṣa	10.....taH vAta-balAhakEH deva-putrEH viza-dUzitAni pAnIyAni SozitAni varza
   Index of the English titles in the Adhikaraṇavastu:	Indej of Te English titleH id Te ADikaraNa-vastu:
   The Buddha at Kapilavastu. King śuddhodana listens to Buddha's sermons	The BudDa at Kapila-vastu. King SudDodana liH-tens taH BudDa-as serma-uns
   Buddha's doctrine is addressed also to women. The queen Mahāprajāvatī asks	BudDa-as da-uctrine iH addra-IH-set alsaH taH women. The queet Maha-aprajAvatI asc-s
   to king śuddhodana to permit to śākya women to listen to the doctrine	taH king SudDodana taH permit taH SAkya womet taH liH-tet taH Te doctrine
   Instances of female vanity and the story of the Maid-servant Rohikā	InH-tanceH of female vaniti and Te storI of Te MEd-servant RohikA
   The story of Muktikā ,the daughter of the King of Siṃhala, and the	The storI of MuktikA ,Te dOGteH of Te Kinc of SiMhala, and Te
   portrait of the Buddha	portrEt of Te BudDa
   The story fo the wife of the guild-leader(concerning a previous life of	The storI faH Te wife of Te guild-lea-deH-(ca-unceH-ninc a previouH life of
   Muktikā)	MuktikA)
   The four of classes of disputes	The fouH of classeH of disputeH-
   The vivādhādhikaraṇam	The vivADa-aDikaraNam
   The anavavādādhikaraṇam	The anavavAda-aDikaraNam
   The āpattyadhikaraṇam	The Apatti-aDikaraNam
   The kṛtyādhikaraṇam	The kRtya-aDikaraNam
   The three kinds of vivādādhikaraṇam	The Tree kindH of vivAda-aDikaraNam
   The two kinds of āpattyadhikaraṇam	The twaH kindH of Apatti-aDikaraNam
   The three kinds of kṛtyādhikaraṇam	The Tree kindH of kRtya-aDikaraNam
   Not all kinds of vivāda, etc., are a source of adhikaraṇam	Not all kindH of vivAda, et-c., are a source of aDikaraNam
   The settlement of disputes. śāriputra and Maudgalyāyana settle a dispute	The set-tlement of disputes. SAriputra and MOdgalyAyana set-tle a dispute
   The sthalastha monks	The sTala-sTa mA-unks
   Two presences: pudgala and dharma	TwaH preset-ca-Is: pudgala and Darma
   Three presences: saṅgha, pudgala and dharma	Three preset-ca-Is: saFGa, pudgala and Darma
   Two presences: pudgala and dharma	TwaH preset-ca-Is: pudgala and Darma
   Three presences: saṅgha, pudgala and dharma	Three preset-ca-Is: saFGa, pudgala and Darma
   Two presences: pudgala and dharma	TwaH preset-ca-Is: pudgala and Darma
   The settlement of legal questions by the vote of the majority	The set-tlement of legat questionH bi Te vote of Te majoH-iti-
   The four methods of votation	The fouH meTA-udH of vA-utation
   The ten distributions of voting tickets that are not legally valid	The tet diH-tri-butia-unH of voting ticketH Tat are na-ut legallI valid
   The ten distributions of voting tickets that are legally valid	The tet diH-tri-butia-unH of voting ticketH Tat are legallI valid
   Methods of votation	MeTa-udH of vA-utation
   The legal questions arising from vivāda and anavavāda can be settled in	The legat questionH ari-sinc from vivAda and anavavAda can be set-tlet in
   two and three ways respectively. The smṛtivinaya	twaH and Tree wayH respet-ti-vely. The smRti-vinaya
   Three forms of smṛtivinaya legally valid	Three fA-Urms of smRti-vinaya legallI valid
   The amūḍhavinaya	The amUXa-vinaya
   Two forms of amūḍhavinaya respectively not legally valid and legally valid	TwaH fa-Urms of amUXa-vinaya respet-tivelI na-ut legallI valit and legallI valid
   The legal questions arising from āpatti can be settled in four ways. The	The legat questionH ari-sinc from Apatti can be set-tlet id fouH ways. The
   pratijñākāraka	pratijQAkAraka
   Ten and ten ways of applying pratijñākāraka respectively not legally valid	Tet and tet wayH of applying pratijQAkAraka respet-tivelI na-ut legallI valid
   and legally valid	and legallI valid
   The Buddha absolves the monk Kālo Mṛgāraputra from a false accusation	The BudDa ap-solveH Te monc KAlaH MRgAra-putra from aH false accu-sation
