   āryaśālistambakamahāyānasūtraṭīkā	Arya-SAli-stambaka-mahAyAna-sUtrawIkA
   śivamabhayamavyupaśamasvabhāvaṃ paśyati | asataḥ tucchataḥ, riktataḥ,	Sivam-aBayam-avyupaSama-svaBAvam paSyati | asataH tucCataH, riktataH,
   asārataḥ rogataḥ, gaṇḍataḥ, aghataḥ, anityataḥ, duḥkhataḥ, śūnyataḥ,	asArataH rogataH, gaNxataH, aGataH, anityataH, duHKataH, SUnyataH,
   anātmataḥ | iti |	anAtmataH | iti |
   ya imaṃ pratītyasamutpādamiti ādhyātmikapratītyasamutpādam | yadimaṃ	yaH imam pratItyasamutpAdam-iti ADyAtmika-pratItya-samutpAdam | yat-imam
   samyag iti aviparītam | prajñayā iti lokottaraprajñayā | yathābhūtamiti tu	samyak iti aviparItam | prajQayA iti lokottara-prajQayA | yaTABUtam-iti tu
   tathatāyathāvat | satatasamitamiti sarvakālamavicchinnam | ajīvam iti	taTatAyaTAvat | satata-samitam-iti sarvakAlam-avicCinnam | ajIvam iti
   prāṇa-kartrādi-viyukta-tvādajīvam | ajātamiti jātirahitatvāt | abhūtamiti	prANa-kartR-Adi--viyukta-tvAt-ajIvam | ajAtam-iti jAti-rahita-tvAt | aBUtam-iti
   sthiti-rahitatvāt | akṛtamiti karturabhāvāt | asaṃskṛtamiti	sTiti--rahita-tvAt | akRtam-iti kartuH-aBAvAt | asaMskRtam-iti
   saṃskṛta-lakṣaṇa-rahitatvāt | apratighamiti āvaraṇa-rahitatvāt |	saMskRta--lakzaNa--rahita-tvAt | apratiGam-iti AvaraNa--rahita-tvAt |
   anālambanamiti ālambyālambaka-rahitatvāt | śivamiti śāntatvāt | abhayamiti	anAlambanam-iti Alambya-Alambaka--rahita-tvAt | Sivam-iti SAnta-tvAt | aBayam-iti
   tu utpādādi-bhayarahitatvāt | anāhāryamiti kleśa-pāratantrya-rahitatvāt |	tu utpAda-Adi--Baya-rahita-tvAt | anAhAryam-iti kleSa--pAratantrya--rahita-tvAt |
   avyayamiti satataṃ vyavasthitatvāt | avyupaśamamiti	avyayam-iti satatam vyavasTita-tvAt | avyupaSamam-iti
   ekāntaśamagatirahitatvāt | 'asataḥ' skandhāt pṛthaganyābhāvāt | tucchata	ekAnta-Sama-gati-rahita-tvAt | aasataH-a skanDAt pRTak-anya-aBAvAt | tucCata
   iti muktātmano hrasvalohavad ekāntasya abhāvāt | riktata iti	iti mukta-AtmanaH hrasva-loha-vat ekAntasya aBAvAt | riktataH iti
   antasthita-svarūpātmadravyābhāvāt | asārata iti spharaṇātmakatābhāvāt |	anta-sTita--svarUpa-Atma-dravya-aBAvAt | asArate iti sParaNa-Atmaka-tA-BAvAt |
   rogata iti rogātmaka-skandhāt pṛthaktvābhāvat | gaṇḍata iti	rogataH iti roga-Atmaka-skanDAt pRTaktva-aBAvat | gaNxataH iti
   skandhānatiriktabādhakāntarā-bhāvāt | apratighata iti	skanDa-anatirikta-bADaka-antarA--BAvAt | apratiGate iti
   karmakleśātirikta-bādhakasvarūpāntarābhāvāt | anityata iti	karma-kleSa-atirikta--bADaka-svarUpa-antara-aBAvAt | anityate iti
   sahopapādavināśaḥ skandhāt pṛthaganyana svabhāvāt | duḥkhata iti	saha-upapAda-vinASaH skanDAt pRTak-anyana svaBAvAt | duHKataH iti
   saṃskāravipariṇāmaduḥkhābhyāṃ pārthakyābhāvāt | śūnyata iti kalpanā	saMskAra-vipariNAma-duHKAByAm pArTakya-aBAvAt | SUnyate iti kalpanA
   svabhāvatayā abhūta-parikalpanāyāḥ pṛthakatvābhāvāt | anātmata iti	svaBAvatayA aBUta--parikalpanAyAH pRTaka-tva-aBAvAt | anAtmataH iti
   skandhānatiriktamātmadravyābhāvāt |	skanDAn-atiriktam-Atma-dravya-aBAvAt |
   kartrādirahitastathā |	kartR-Adi-rahitaH-taTA |
   tucchaśūnyādiniḥsāraḥ prajñayaivaṃ ya īkṣitaḥ |	tucCa-SUnya-Adi-niHsAraH prajQayA-evam ye IkzitaH |
   kiṃ kathaṃ vā kutaḥ kena kalpavādādi hānitaḥ|	kim kaTam vA kutas kena kalpavAda-Adi hAnitaH|
   anantācintya guṇyakam | śāntaṃ dharmātmakaṃ kāyam |	ananta-acintya guNyakam | SAntam Darma-Atmakam kAyam |
   tathatārthaṃ sa eva pūrvāntaṃ na pratisarati ityuktam | kiṃ	taTatA-arTam saH eva pUrva-antam na pratisarati iti-uktam | kim
   nvahamabhūvamatīta iti nāyaṃ mohotpādaḥ | asaṃmohe jñānotpādatvād	nu-aham-aBUvam-atItaH iti na-ayam moha-utpAdaH | asaMmohe jQAna-utpAda-tvAt-
   ahamatīta etannara-sadṛśo 'bhūvamityādi ca | ahaṃ devo vā gandharvo vā kiṃ	aham-atItaH etat-nara--sadRSaH aBUvam-ityAdi ca | aham devaH vA ganDarvaH vA kim
   sukhavihāro duḥkhavihāro 'bhūvamityayaṃ moho'bhāva eva | ahaṃ sugatau	suKa-vihAraH duHKa-vihAraH aBUvam-iti-ayam mohaH-aBAvaH eva | aham sugatO
   durgatau vā, ciram, aciram vā kathamabhūvamiti moho 'pyabhāva eva |	durgatO vA, ciram, aciram vA kaTam-aBUvam-iti mohaH api-aBAvaH eva |
   anāgatānte na pratisarati | kiṃ nvahaṃ bhaviṣyāmyanāgate 'dhvani iti ca	anAgata-ante na pratisarati | kim nu-aham BavizyAmi-anAgate aDvani iti ca
   āhosvinna bhaviṣyāmi iti moho 'pyatra nāstyeva | kiṃ nvahaṃ	Ahosvit-na BavizyAmi iti mohaH api-atra na-asti-eva | kim nu-aham
   bhaviṣyāmyanāgate 'dhvani iti anāgate 'dhvani devo vā piśāco vā naro vā	BavizyAmi-anAgate aDvani iti anAgate aDvani devaH vA piSAcaH vA naraH vA
   kiṃ vā bhaviṣyāmīti atra mohasyāpyanudbhava eva | sukhī vā duḥkhī vā	kim vA BavizyAmi-iti atra mohasya-api-anudBavaH eva | suKI vA duHKI vA
   surūpo vā kurūpo vā kathaṃ bhaviṣyāmi iti moho 'pyatra nāsti | antarapi na	surUpaH vA ku-rUpaH vA kaTam BavizyAmi iti mohaH api-atra na-asti | antar-api na
   pratisarati iti antarna muhyati | kiṃ nvidamiti ātmā nirātmā vā iti |	pratisarati iti antar-na muhyati | kim nu-idam-iti AtmA nirAtmA vA iti |
   kathaṃ nvidamiti kiṃ sarūpo 'thavā virūpo veti moho 'tra nodbhavati | ke	kaTam nu-idam-iti kim sarUpaH aTavA virUpaH vA-iti mohaH atra na-udBavati | ke
   santa iti sukṛta-karmakāriṇaḥ duṣkṛta-karmakāriṇo veti na mohotpādaḥ |	santaH iti sukRta-karma-kAriNaH duzkRta-karma-kAriNaH vA-iti na moha-utpAdaH |
   ayaṃ sattvo devagaternaragatervā kuta āgata itaścyuto deveṣu manuṣyeṣu	ayam sattvaH deva-gateH-nara-gateH-vA kutas AgataH itas-cyutaH devezu manuzyezu
   narake prete tiryañci vā kutra gamiṣyatīti moho 'tra na sambhavati |	narake prete tiryaQci vA kutra gamizyati-iti mohaH atra na samBavati |
   śramaṇa-brāhmaṇānāṃ pṛthagloke dṛṣṭigatāni bhaviṣyanti ityādi |	SramaNa--brAhmaNAnAm pRTak-loke dRzwi-gatAni Bavizyanti ityAdi |
   dṛṣṭigatāni iti dṛṣṭisthāni | pṛthagiti bhinnameva | tadyatheti tu	dRzwi-gatAni iti dRzwi-sTAni | pRTak-iti Binnam-eva | tat-yaTA-iti tu
   nidarśanārtham | ātmavāda-pratisaṃyuktānīti skandha-vyatirikta-ātmabhāvaḥ	nidarSana-arTam | Atma-vAda--pratisaMyuktAni-iti skanDa--vyatirikta--Atma-BAvaH
   | avicārata ātmātmīyeti svabhāvātmagraha-saṃyuktatvād	| avicArataH AtmA-AtmIya-iti svaBAva-Atma-graha--saMyukta-tvAt-
   ātmavādaprati-saṃyuktānītyuktam | viparītadhāraṇā-samutthānārthaṃ	Atma-vAda-prati--saMyuktAni-iti-uktam | viparIta-DAraNA--samutTAna-arTam
   pudgalavāda-pratisaṃyuktānītyādi tu punargamanatvāt pudgala iti	pudgala-vAda--pratisaMyuktAni-ityAdi tu punar-gamana-tvAt pudgalaH iti
   skandha-vyatiriktaḥ | yasyāmuṃ lokaṃ tyaktvā paraloka-gamanasya paralokaṃ	skanDa--vyatiriktaH | yasya-amum lokam tyaktvA para-loka--gamanasya para-lokam
   vihāya amuṃ etallokagamanasya cābhāvāt grahaṇa-durviparītagrahaṇamityuktam	vihAya amum etat-loka-gamanasya ca-aBAvAt grahaNa-durviparIta-grahaNam-iti-uktam
   | kautuka-maṅgalavāda-pratisaṃyuktānīti | kautukastu lokaśilpasthānaṃ,	| kOtuka-maFgala-vAda--pratisaMyuktAni-iti | kOtukaH-tu loka-Silpa-sTAnaM,
   yacca vividhavidyāsthāne utsava-āvāha-vivāha-kalaha-yuddhaiḥ,	yat-ca viviDa-vidyA-sTAne utsava--AvAha--vivAha--kalaha--yudDEH,
   udyāna-nadī-sāgara-parvata-vaneṣu tattad-bhinneṣu ca āryasya	udyAna--nadI--sAgara--parvata-vanezu tad-tad--Binnezu ca Aryasya
   gamana-darśana-saṃkramaṇa-pravṛtti-āvāsānuramaṇakrīḍā-sukhā-svāda-nṛtya-gīta-padālāpa-dhāvana-laṃghanaiḥ,	gamana-darSana--saMkramaNa--pravRtti-AvAsa-anuramaNa-krIxA--suKA--svAda--nRtya-gIta--pada-AlApa-DAvana--laMGanEH,
   adbhuta-puruṣa-strī-dāraka-dārikā-vigrahakathā-vāda-prahelikoktibhiḥ,	adButa-puruza--strI--dAraka-dArikA--vigraha-kaTA-vAda--prahelikA-uktiBiH,
   gajāśvādi-yodhanaiḥ,	gaja-aSva-Adi--yoDanEH,
   dūrvā-dadhi-gorocanā-kṣetrahala-mudgara-puṣpa-phala-kalaśa-śaṅkha-matsyā-dibhiḥ,	dUrvA-daDi--gorocanA-kzetrahala--mudgara--puzpa--Pala--kalaSa--SaFKa--matsya-A-diBiH,
   brāhmaṇa-ṛṣabha-candra-sūrya-graha-nakṣatra-tārā-kṣaṇa-yoga-karaṇādinaimittikā-dibhiḥ	brAhmaNa--RzaBa--candra--sUrya--graha--nakzatra--tArA--kzaNa--yoga-karaNa-Adi-nEmittika-A-diBiH
   ātmaśuddhayanveṣaṇam | viparītānekākāra-pralamba-rajjulambye 'mārge	Atma-SudDayan-vezaNam | viparIta-aneka-AkAra--pralamba--rajju-lambye amArge
   mārgasaṃjñā, aśucau śucisaṃjñā, amunau munisaṃjñayā	mArga-saMjQA, aSucO Suci-saMjQA, amunO muni-saMjQayA
   ṣaḍjagaccakra-praviṣṭa-buddhimato gamanaṃ gamyaṃ ca saṃsāramevānusaranti	zaz-jagat-cakra--pravizwa--budDimataH gamanam gamyam ca saMsAram-eva-anusaranti
   na tu nirvāṇamiti | teṣāṃ samyak prajñayā darśane	na tu nirvANam-iti | tezAm samyak prajQayA darSane
   caturvidhaviparyaya-rahitatvāt samucchinnamūlāni	caturviDa-viparyaya--rahita-tvAt samucCinna-mUlAni
   tālavṛkṣamastakavadanābhāsagatāni āyatyāmanutpāda-nirodhadharmāṇi iti |	tAlavRkza-mastaka-vadana-ABAsa-gatAni AyatyAm-anutpAda--niroDa-DarmANi iti |
   tasmādevoktam |	tasmAt-eva-uktam |
   tathā kaścicca na cyutaḥ | janmābhāso 'pyasaṃlloke	taTA kaScid-ca na cyutaH | janma-ABAsaH api-asan=-loke
   tasmād udāharaṇam-	tasmAt udAharaNam-
   yathāpādapasaṅgataḥ |	yaTA-pAdapa-saFgataH |
   vahnistrotapravṛttiḥ syāt hetuvaikalyatastathā |	vahniH-trota-pravRttiH syAt hetu-vEkalyataH-taTA |
   nānupravartate hyagniḥ	na-anupravartate hi-agniH
   tathā iti yathā candrasya rūpe dūrasthite 'pi parīttajalabhājaneṣu jale	taTA iti yaTA candrasya rUpe dUra-sTite api parItta-jala-BAjanezu jale
   vipulatailapātreṣu vā avabhāsate | candrarūpasaṃkrāntiranekatvaṃ vāpi	vipula-tEla-pAtrezu vA avaBAsate | candra-rUpa-saMkrAntiH-aneka-tvam vA-api
   nāsti, tathāpi anekajalapātreṣu dṛśyate | evam asmānna kaściccyuto na gato	nAsti, taTA-api aneka-jala-pAtrezu dRSyate | evam asmAn-na kaScid-cyutaH na gataH-
   nāgato, hetupratyayavaikalyāt cyuti-gamanāgamanāvabhāsāḥ |	nAgato, hetu-pratyaya-vEkalyAt cyuti--gamana-Agamana-avaBAsAH |
   tadvajjalabhājanavat sattvasantānasya jagataḥ sthānāntareṣu bahurūpeṇa	tadvat-jala-BAjana-vat sattva-santAnasya jagataH sTAna-antarezu bahu-rUpeNa
   cittacandrabimbotpādaḥ, hetupratyayāvaikalyāt |	citta-candra-bimba-utpAdaH, hetu-pratyaya-avEkalyAt |
   kuśalākuśalāneñjyādi-hetoryathākṣepā tatrāvabhāsākārā vijñaptirudbhavati |	kuSala-akuSalAneQjya-Adi-hetoH-yaTA-AkzepA tatra-avaBAsa-AkArA vijQaptiH-udBavati |
   ātmātmīyaviyuktaḥ sarvabhāveṣu pratītyasamutpādakramo 'vagantavyaḥ |	Atma-AtmIya-viyuktaH sarva-BAvezu pratItyasamutpAda-kramaH avagantavyaH |
   avicchedo - dāharaṇam- yathāpādapasaṅgataḥ | vahnistrotaḥ pravṛttiḥ syāt |	avicCedaH  dAha-raNam yaTA-pAdapa-saFgataH | vahniH-trotaH pravRttiH syAt |
   karmakleśa-lipta-cittasantānaṃ vahnistrotonibaddhamindhanaṃ tu	karma-kleSa-lipta--citta-santAnam vahniH-trotaH-nibadDam-inDanam tu
   karmakleśata eva syāditi parīkṣyate | yathā - agnīndhanahetukaṃ jvalanam	karma-kleSataH eva syAt-iti parIkzyate | yaTA  agni-inDana-hetukam jvalanam
   avicchinnam | indhanābhāve vicchinnam, tadvad atrāpi	avicCinnam | inDana-aBAve vicCinnam, tadvat atra-api
   karmakleśendhanamucchidya saṃkleśālaya-vijñānabījao-santāne	karma-kleSa-inDanam-ucCidya saMkleSa-Alaya--vijQAna-bIjao--santAne
   jñānāgni-saṃyogād dagdhe sati hetu-nirodhān na phalodbhavaḥ |	jQAna-agni--saMyogAt dagDe sati hetu--niroDAt na Pala-udBavaH |
   tasmādevoktam - yānyekeṣāṃ śramaṇa-brāhmāṇānāṃ tadyathā iti ito bāhyānām	tasmAt-eva-uktam  yAni-ekezAm SramaNa--brAhmANAnAm tat-yaTA iti itas bAhyAnAm
   lokastu lokaḥ |	lokaH-tu lokaH |
   naśyan-naśyan gatyarthaḥ, lujyatatvāllokaḥ | viśīryamāṇa ityadhivacanam |	naSyan-naSyan gati-arTaH, lujyata-tvAt-lokaH | viSIryamANaH iti-aDivacanam |
   dṛṣṭigatānīti dṛgdarśanam	dRzwi-gatAni-iti dRS-darSanam
   viparīta-śāstraśravaṇacintanādimithyā-jñānodbhavaṃ mithyā-jñānaṃ tu	viparIta-SAstra-SravaNa-cintana-Adi-miTyA-jQAna-udBavam miTyA-jQAnam tu
   dṛṣṭirityucyate | pṛthak tu bhinnam | tadyathā -	dRzwiH-iti-ucyate | pRTak tu Binnam | tat-yaTA -
   ātmavāda-pratisaṃyuktānītyādi tu pañcopādāna-skandheṣu	Atma-vAda--pratisaMyuktAni-ityAdi tu paQca-upAdAna--skanDezu
   rūpa-vedanā-saṃjñā-saṃskāra-vijñārnoṣvati ātmātmīya-rahiteṣu, ātmatvena	rUpa--vedanA--saMjQA--saMskAra-vijQArnozu-ati Atma-AtmIya--rahita-izu, Atma-tvena
   samyagdṛṣṭiryā kliṣṭaprajñā sā dṛṣṭiḥ |	samyak-dRzwiH-yA klizwa-prajQA sA dRzwiH |
   satkāyāntadṛṣṭi-śīla-vrata-mithyādṛṣṭipūrvakaṃ	satkAya-anta-dRzwi--SIla-vrata-miTyA-dRzwi-pUrvakam
   kuprajñāvidyāsaṃprayuktatvād dṛṣṭiriti | tadavidyāpūrvakaṃ	kuprajQA-vidyA-saMprayukta-tvAt dRzwiH-iti | tad-avidyA-pUrvakam
   rāgapratighākārāvidyādṛṣṭi-vicikitsopakleśa-saṃprayukto	rAga-pratiGa-AkAra-avidyA-dRzwi--vicikitsA-upakleSa--saMprayuktaH-
   dṛṣṭi-lakṣaṇa-dhātvākārabhedam anadhigamya	dRzwi--lakzaNa--DAtu-AkAra-Bedam anaDigamya
   saṃkliṣṭālaya-vijñāna-vāsanāvasthita-tadākāra-vijñānāvabhāsapoṣaṇāt	saMklizwa-Alaya--vijQAna--vAsanA-avasTita--tad-AkAra--vijQAna-avaBAsa-pozaNAt
   prāgeva lokottara-mārgāśritacaturāryasatyabhāvanā-bhyāsakrameṇa	prAk-eva loka-uttara--mArga-ASrita-catur-Arya-satyaBAvanA-ByAsa-krameNa
   duḥkha-samudaya-nirodha-mārga-darśana-bhāvanā-vimukti-viśeṣānantareṇa	duHKa--samudaya--niroDa--mArga--darSana--BAvanA--vimukti--viSeza-anantareNa
   prahāṇa-sākṣātkāraḥ | yaścāpi	prahANa--sAkzAtkAraH | yaH-ca-api
   saptatriṃśadbodhipakṣadharmasmṛtyupasthāna-samyakprahāṇa-ṛddhipāda-indriya-bala-bodhyaṅga-mārga-pratītyasamutpāda-dhyāna-arūpi-apramāṇa-ṣaḍanusmṛtyādiyadharmapudgalanairātmya-bodhicittabhāvanā-samādhi-dhāraṇā-śraddhā-vīrya-samādhi-prajñā-bhūmi-vaśīkārā-bhijñāna-jñāna-pāramitā-vimuktidvāra-kṣānti-bhāvanādi-krameṇa	saptatriMSat-boDi-pakza-Darma-smRti-upasTAna--samyak-prahANa--RdDi-pAda--indriya-bala--boDi-aFga--mArga--pratItyasamutpAda--DyAna-a-rUpi-a-pramA
   lokottaramārgānugata-tvād adhimukticaryāyāṃ pratisthāpya	loka-uttara-mArga-anugata-tvAt aDimukti-caryAyAm pratisTApya
   niryāṇa-prayoga-sākṣātkārād	niryANa--prayoga--sAkzAtkArAt-
   indriya-bala-abhayao-asaṃsṛṣṭa-pratisaṃvid-vyañjana-mahāpuruṣa-lakṣaṇa-ṛddhipādādi	indriya-bala--aBayao-a-saMsRzwa--pratisaMvid---vyaQjana--mahApuruza--lakzaNa--RdDi-pAda-Adi
   bhāvanāṃ paripūrya anuttarasamyak-samavabodhāvabodhāt	BAvanAm paripUrya anuttara-samyak--samavaboDa-avaboDAt
   śamatha-vipaśyanānukūla-samabhāvo bhāvane 'nantā-cintyaguṇyaṃ	SamaTa--vipaSyana-anukUla--sama-BAvaH BAvane anantA--cintya-guNyam
   śāntasvabhāvakāyaṃ, ādimadhyāntavarjitaṃ, jñātvā prāpnoti buddhatvam	SAnta-svaBAva-kAyan, Adi-maDya-anta-varjitaM, jQAtvA prApnoti budDa-tvam
   ityuktam | tatra rūpaskandhastu	iti-uktam | tatra rUpa-skanDaH-tu
   rūpāvabhāsākāra-vijñaptyavabhāsa-vikalpodbhūto 'neka-dravyātmako	rUpa-avaBAsa-AkAra--vijQapti-avaBAsa--vikalpa-udBUtaH aneka--dravya-AtmakaH-
   bhūtabhautika-rūpa-lakṣaṇa	BUta-BOtika-rUpa-lakzaNa
   ekādaśao-sāmānyātmaka-pañcadravyākārāropa-saṃghaṭṭitaḥ	ekAdaSao--sAmAni-Atmaka-paQca-dravya-AkAra-Aropa--saMGawwitaH
   cakṣuḥ-śrotrādirūpa-śabdādikāma-rūpa-arūpa-pratisaṃyuktābhūtaparikalpanā-lakṣaṇaḥ	cakzuH-Srotra-Adi-rUpa--Sabda-Adi-kAma--rUpa-a-rUpa--pratisaMyuktA-BUta-parikalpanA--lakzaNaH
   skandho dhātvāyatana-indriya-vijñāna-viṣayātmako 'tha ca	skanDaH DAtu-Ayatana-indriya-vijQAna--vizaya-AtmakaH aTa ca
   tādṛganyatādṛgrūpa-lakṣaṇo dharmastu rūpaskandha iti |	tAdRS-anyatA-adRS-rUpa-lakzaNaH DarmaH-tu rUpa-skanDaH iti |
   tatra vedanāskandha iti sukha-duḥkhobhayākāreṇa	tatra vedanA-skanDaH iti suKa--duHKa-uBaya-AkAreNa
   āsvādākāra-vijñaptyavabhāsaḥ | viṣayendriyavijñānabhedena vedanā ṣaṭkāyā |	AsvAda-AkAra--vijQapti-avaBAsaH | vizaya-indriya-vijQAna-Bedena vedanA zawkAyAH |
   dhātvākāraviśeṣabhedena kleśopa-kleśasaṃprayuktatvād anantāḥ prabhedāḥ	DAtu-AkAra-viSeza-Bedena kleSa-upa-kleSa-saMprayukta-tvAt anantAH praBedAH
   syuḥ | sukha-duḥkha-saumanasya-daurmanasyo-pekṣānvitatvāt	syuH | suKa--duHKa--sOmanasya--dOrmanasya-u-pekza-anvita-tvAt
   ṣaḍākāramātmadravyameva	zaz-AkAram-Atma-dravyam-eva
   abhūtasaṃkalpa-vikalpālaya-vijñānavāsanopa-nibaddhatvād	aBUta-saMkalpa--vikalpa-Alaya--vijQAna-vAsanA-upa-nibadDa-tvAt-
   rāga-dveṣa-mohāditridhātu-vikalpavaśodbhūta-dravya-saṃgṛhītatvād	rAga--dveza--moha-Adi-triDAtu--vikalpa-vaSa-udBUta-dravya--saMgRhIta-tvAt-
   vedanā-skandha iti | saṃjñā	vedanA--skanDaH iti | saMjQA
   sūkṣma-sthūla-mahāṅgatādi-citrīkārāva-bhāsākāra-vijñapti-rvikalpanāvaśodbhūta-pūrvahasana-nandana-krīḍanādi-kānanusmṛtya	sUkzma--sTUla--mahA-aFgatA-Adi--citrI-kAra-ava-BAsa-AkAra--vijQapti-rvikalpanA-vaSa-udBUta--pUrva-hasana--nandana--krIxana-Adi-kAn-anusmRtya
   strī-puruṣādi-nimittaviśeṣagrahaṇātmikā viṣayendriya-vijñānabhedena	strI--puruza-Adi-nimitta-viSeza-grahaNa-AtmikAH vizaya-indriya-vijQAna-Bedena
   ṣaṭkāyā saṃjñā | rāga-dveṣa-moha-nibandhanatvād dhātvākāra-viśeṣabhedena	zawkAyA saMjQA | rAga--dveza--moha--nibanDana-tvAt DAtu-AkAra--viSeza-Bedena
   tu anantaprasarā | saṃkliṣṭasyālayavijñāna-vāsanā-sambandhatvād	tu ananta-prasarAH | saMklizwasya-Alaya-vijQAna--vAsanA--sambanDa-tvAt-
   ātmamohādi-saṃyuktātmatā tu saṃjñeti | saṃskārastu	Atma-moha-Adi--saMyukta-Atma-tA tu saMjQA-iti | saMskAraH-tu
   saṃprayuktā-prayukta-prajñapti-saṃskṛtā-saṃskṛtāvabhāsāṃkāra-vijñaptiḥ-vikalpanāvaśenodbhūtaḥ	saMprayuktA--prayukta--prajQapti-saMskRtA--saMskRta-avaBAsAMkAra--vijQaptiH-vikalpanA-vaSena-udBUtaH
   | pūrvākṣiptālaya-vijñānād astitva-vāsanā-bhedena tu dhātoḥ	| pUrva-Akzipta-Alaya--vijQAnAt astitva--vAsanA--Bedena tu DAtoH
   ākāra-viśeṣānanta-prasarānvitasya saṃskāra-skandha-saṃgṛhītatvāt	AkAra--viSeza-ananta--prasara-anvitasya saMskAra-skanDa--saMgRhIta-tvAt
   saṃskāraskandha iti | tatra vijñāna-skandhastvaṣṭavidhaḥ |	saMskAra-skanDaH iti | tatra vijQAna--skanDaH-tu-azwaviDaH |
   viṣayendriya-vijñānānāṃ viśiṣṭāvabhāsākāra-vijñaptiḥ |	vizaya-indriya-vijQAnAnAm viSizwa-avaBAsa-AkAra--vijQaptiH |
   vikalpanāvaśodbhūtālaya-vijñānasya vāsanopanibaddhatvād	vikalpanA-vaSa-udBUta-Alaya--vijQAnasya vAsanA-upanibadDa-tvAt-
   dhātorākāra-viśeṣa-bhedenānantaprasaro hi vijñānaskandha iti |	DAtoH-AkAra--viSeza--Bedena-ananta-prasaraH hi vijQAna-skanDaH iti |
   teṣāmapyevaṃ dhātvāyatana-sāsrava-saṃskṛta-saṃkleśādi-paryāyabhedena	tezAm-api-evam DAtu-Ayatana-sa-Asrava--saMskRta--saMkleSa-Adi--paryAya-Bedena
   sva-lakṣaṇasambandhena saṃkṣipya skandho dhāturāyatanamiti | evaṃ	sva--lakzaNa-sambanDena saMkzipya skanDaH DAtuH-Ayatanam-iti | evam
   saṃkliṣṭālayavijñāna-bījānvitā abhūtasaṃkalpasamuttthatraidhātukodgatāste	saMklizwa-Alaya-vijQAna--bIja-anvitAH aBUta-saMkalpa-samuttTa-trEDAtuka-udgatAH-te
   cittacaitasikādayastu saṃsāra iti | tathāpi tatra ādāveva kartrādirahito	citta-cEtasikA-AdayaH-tu saMsAraH iti | taTA-api tatra AdO=-eva kartR-Adi-rahitaH-
   riktastuccho 'sāra iti viditvā caturāryasatya-bhāvanānulomapravṛttyā	riktaH-tucCaH asAraH iti viditvA catur-Arya-satya--BAvanA-anuloma-pravRttyA
   nirṇīto lokottara-jñānāgni-samudbhūto-'vidyāndhakārādi-rahito	nirNItaH loka-uttara--jQAna-agni--samudBUtaH---avidyA-anDakAra-Adi-rahitaH-
   hetupratyayārthatathatāparijñānāt śānto dharmakāyo 'vagamyate |	hetu-pratyaya-arTa-taTatA-parijQAnAt SAntaH Darma-kAyaH avagamyate |
   tasmād duḥkha-samudaya-nirodha-mārga-darśana-bhāvanāmārgakramaḥ| tatra	tasmAt duHKa--samudaya--niroDa--mArga--darSana-BAvanA-mArga-kramaH| tatra
   duḥkha-satyam-anityatā-duḥkhatā-śūnyatā-nairātmya-samyaganudarśanajñānena	duHKa--satyam--anitya-tA--duHKa-tA--SUnya-tA--nErAtmya--samyak-anudarSana-jQAnena
   kṣānti-mukti-prahāṇa-viśeṣānāntaryajñānena ca tad-duḥkhamavagamya	kzAnti-mukti--prahANa--viSezAnAntaryajQAnena ca tad--duHKam-avagamya
   kleśālayavijñānavāsanāṃ saṃnihatya pudgaladharmanairātmyam avabudhya,	kleSa-Alaya-vijQAna-vAsanAm saMnihatya pudgala-Darma-nErAtmyam avabuDya,
   traidhātukāvabhāsitābhūtasaṃkalpodbhūtaṃ asmin cittamātre	trEDAtuka-avaBAsitA-BUta-saMkalpa-udBUtam asmin citta-mAtre
   māyā-marīci-gandharvanagara-alātacakra-pratiśrutka-udakacandra-pratibimbavad	mAyA-marIci--ganDarvanagara--alAta-cakra--pratiSrutka-udaka-candra--pratibimba-vat-
   vibhāvane, skandhādau dhātau āyatane ca grāhya-grāhakatāṃ vihāya	viBAvane, skanDa-AdO DAtO Ayatane ca grAhya--grAhaka-tAm vihAya
   dharmanairātmyasamatāyāṃ praviśe, svacittameva ādyamanutpannamiti	Darma-nErAtmya-sama-tAyAm praviSe, sva-cittam-eva Adyam-anutpannam-iti
   śūnyajñānapraveśe, sarvadharmaniḥsvabhāvatājñānasya	SUnya-jQAna-praveSe, sarva-Darma-niHsvaBAva-tA-jQAnasya
   karuṇāmūlaka-bodhicittasya hetūbhūta-vividhopāya-puṇyajñānasambhārasaṃcaye	karuNA-mUlaka-boDi-cittasya hetU-BUta--viviDa-upAya--puNya-jQAna-samBAra-saMcaye
   daśapāramitāhetubhiḥ daśabhūmyādhāra daśajñānālambana-daśavaśitāphalānvite	daSa-pAramitA-hetuBiH daSa-BUmi-ADAra daSa-jQAna-Alamba-na-daSa-vaSitA-Pala-anvite
   'nantācintya-guṇākāraḥ śāntadharmakāyo 'vabudhyate | evaṃ	ananta-acintya--guNa-AkAraH SAnta-Darma-kAyaH avabuDyate | evam
   samudaya-satya-samudaya-hetu-prabhava-pratyaya-ānantarya-vimukti-prahāṇa-viśeṣa-darśana-anuloma-pratiloma-bhāvanākāreṇa	samudaya--satya--samudaya--hetu--praBava--pratyaya--Anantarya--vimukti--prahANa--viSeza--darSana--anuloma--pratiloma--BAvanA-AkAreNa
