   Mahāyānasūtrālaṃkāraḥ	MahAyAna sUtra alaMkAraH
   vīryārambho mahāyāne antyā sakaruṇā sthitiḥ /	vIrya AramBaH mahAyAne antyA sa karuNA sTitiH /
   prajñā pāramitānāṃ ca pradhānaṃ dhīmatāṃ matam // MSA_19.42 //	prajQA pAramitAnAm ca praDAnam DImatAm matam // MSAH _19.42 //
   vidyāsthānavyavasthānaṃ sūtrādyākārabhedataḥ /	vidyA sTAna vyavasTAnam sUtra Adi AkAra BedataH /
   jñeyaṃ dharmavyavasthānaṃ dhīmatāṃ sarvabhūmiṣu // MSA_19.43 //	jQeyam Darma vyavasTAnam DImatAm sarva BUmizu // MSAH _19.43 //
   punaḥ satvavyavasthānaṃ saptadhā tathatāśrayāt /	punar satva vyavasTAnam saptaDA taTatA ASrayAt /
   caturdhā ca tridhā caiva yuktiyānavyavasthitiḥ // MSA_19.44 //	caturDA ca triDA ca eva yukti yAna vyavasTitiH // MSAH _19.44 //
   yoniśaśca manaskāraḥ samyagdṛṣṭiḥ phalānvitā /	yoniSas ca manaskAraH samyak dRzwiH Pala anvitA /
   pramāṇairvicayo 'cintyaṃ jñeyaṃ yukticatuṣṭayam // MSA_19.45 //	pramANEH vicayaH acintyam jQeyam yukti catuzwayam // MSAH _19.45 //
   āśayāddeśanāccaiva prayogātsaṃbhṛterapi /	ASayAt deSanAt ca eva prayogAt saMBRteH api /
   samudāgamabhedācca trividhaṃ yānamiṣyate // MSA_19.46 //	samudAgama BedAt ca triviDam yAnam izyate // MSAH _19.46 //
   āgantukatvaparyeṣā anyonyaṃ nāmavastunoḥ /	Agantuka tva paryezAH anyonyam nAma vastunoH /
   prajñapterdvividhasyātra tanmātratvasya vaiṣaṇā // MSA_19.47 //	prajQapteH dviviDasya atra tanmAtra tvasya vEzaNAH // MSAH _19.47 //
   sarvasyānupalambhācca bhūtajñānaṃ caturvidhaṃ /	sarvasya anupalamBAt ca BUta jQAnam caturviDam /
   sarvārthasiddhyai dhīrāṇāṃ sarvabhūmiṣu jāyate // MSA_19.48 //	sarva arTa sidDyE DIrANAm sarva BUmizu jAyate // MSAH _19.48 //
   pratiṣṭhābhogabījaṃ hi nimittaṃ bandhanasya hi /	pratizWA Boga bIjam hi nimittam banDanasya hi /
   sāśrayāścittacaittāstu badhyante 'tra sabījakāḥ // MSA_19.49 //	sa ASrayAH citta cEttAH tu baDyante atra sa bIjakAH // MSAH _19.49 //
   purataḥ sthāpitaṃ yacca nimittaṃ yatsthitaṃ svayaṃ /	puratas sTApitam yat ca nimittam yat sTitam svayam /
   sarvaṃ vibhāvayandhīmān labhate bodhimuttamām // MSA_19.50 //	sarvam viBAvayan DImAn laBate boDim uttamAm // MSAH _19.50 //
   tathatālambanaṃ jñānaṃ dvayagrāhavivarjitaṃ /	taTatA Alambanam jQAnam dvaya grAha vivarjitam /
   dauṣṭhulyakāyapratyakṣaṃ tatkṣaye dhīmatāṃ matam // MSA_19.51 //	dOzWulya kAya pratyakzam tad kzaye DImatAm matam // MSAH _19.51 //
   tathatālambanaṃ jñānamanānākārabhāvitaṃ /	taTatA Alambanam jQAna manAn AkAra BAvitam /
   sadasattārthe pratyakṣaṃ vikalpavibhu cocyate // MSA_19.52 //	sat asat ta arTe pratyakzam vikalpa viBu ca ucyate // MSAH _19.52 //
   tattvaṃ saṃcchādya bālānāmatattvaṃ khyāti sarvataḥ /	tattvam saMcCAdya bAlAnAm atattvam KyAti sarvatas /
   tattvaṃ tu bodhisatvānāṃ sarvataḥ khyātyapāsya tat // MSA_19.53 //	tattvam tu boDisatvAnAm sarvatas KyAti apAsya tat // MSAH _19.53 //
   akhyānakhyānatā jñeyā asadarthasadarthayoḥ /	aKyAna KyAna tA jQeyAH asat arTa sadarTayoH /
   āśrayasya parāvṛttirmokṣo 'sau kāmacārataḥ // MSA_19.54 //	ASrayasya parAvRttiH mokzaH asO kAma cArataH // MSAH _19.54 //
   anyonyaṃ tulyajātīyaḥ khyātyarthaḥ sarvato mahān /	anyonyam tulya jAtIyaH KyAti arTaH sarvatas mahAn /
   antarāyakarastasmātparijñāyainamutsṛjet // MSA_19.55 //	antarAya karaH tasmAt parijQAya enam utsRjet // MSAH _19.55 //
   paripācyaṃ viśodhyaṃ ca prāpyaṃ yogyaṃ ca pācane /	paripAcyam viSoDyam ca prApyam yogyam ca pAcane /
   samyaktvadeśanāvastu aprameyaṃ hi dhīmatām // MSA_19.56 //	samyaktva deSanA vastu aprameyam hi DImatAm // MSAH _19.56 //
   bodhisatva[citta]sya cotpādo notpādakṣāntireva ca /	boDisatva[ citta]sya ca utpAdaH na utpAdakzAntiH eva ca /
   cakṣuśca nirmalaṃ hīnamāśravakṣaya eva ca // MSA_19.57 //	cakzuH ca nirmalam hInam ASrava kzayaH eva ca // MSAH _19.57 //
   saddharmasya sthitirdīrghā vyutpatticchittibhogatā /	sadDarmasya sTitiH dIrGA vyutpatti= Citti Boga tA /
   deśanāyāḥ phalaṃ jñeyaṃ tatprayuktasya dhīmataḥ // MSA_19.58 //	deSanAyAH Palam jQeyam tad prayuktasya DImataH // MSAH _19.58 //
   ālambanamahatvaṃ ca pratipatterdvayostathā /	Alambana mahatvam ca pratipatteH dvayoH taTA /
   jñānasya vīryārambhasya upāye kauśalasya ca // MSA_19.59 //	jQAnasya vIrya AramBasya upAye kOSalasya ca // MSAH _19.59 //
   udāgamamahatvaṃ ca mahatvaṃ buddhakarmaṇaḥ /	udAgama maha tvam ca mahatvam budDa karmaNaH /
   etanmahatvayogāddhi mahāyānaṃ nirucyate // MSA_19.60 //	etat mahatva yogAt hi mahAyAnam nirucyate // MSAH _19.60 //
   gotraṃ dharmādhimuktiśca cittasyotpādanā tathā /	gotram Darma aDimuktiH ca cittasya utpAdanA taTA /
   dānādipratipattiśca nyāyā[mā]vakrāntireva ca // MSA_19.61 //	dAna Adi pratipattiH ca nyAya a[mA a]vakrAntiH eva ca // MSAH _19.61 //
   satvānāṃ paripākaśca kṣetrasya ca viśodhanā /	satvAnAm paripAkaH ca kzetrasya ca viSoDanAH /
   apratiṣṭhitanirvāṇaṃ bodhiḥ śreṣṭhā ca darśanāt[darśanā] // MSA_19.62 //	apratizWita nirvANam boDiH SrezWA ca darSanAt[darSanA] // MSAH _19.62 //
   ādhimokṣika ekaśca śuddhādhyāśayiko 'paraḥ /	ADimokzikaH ekaH ca SudDADyASayikaH aparaH /
   nimitte cānimitte ca cāryapyanabhisaṃskṛte /	nimitte ca animitte ca cAri api anaBisaMskRte /
   bodhisatvā hi vijñeyāḥ pañcaite sarvabhūmiṣu // MSA_19.63 //	boDisatvAH hi vijQeyAH paQca ete sarva BUmizu // MSAH _19.63 //
   kāmeṣvasaktasstriviśuddhakarmā krodhābhibhūmyaṃ guṇatatparaśca /	kAmezu asaktaH H tri viSudDa karmA kroDa aBiBUmyam guNa tatparaH ca /
   dharme 'calastatvagabhīradṛṣṭirbodhau spṛhāvān khalu bodhisattvaḥ //	Darme acalasta tvagaBIra dRzwiH boDO spRhAvAn Kalu boDisattvaH //
   MSA_19.64 //	MSAH _19.64 //
   anugraheccho 'nupaghātadṛṣṭiḥ paropaghāteṣvadhivāsakaśca /	anugraha icCaH anupaGAta dRzwiH para upaGAtezu aDivAsakaH ca /
   dhīro 'pramattaśca bahuśrutaśca parārthayuktaḥ khalu bodhisattvaḥ //	DIraH apramattaH ca bahu SrutaH ca para arTa yuktaH Kalu boDisattvaH //
   MSA_19.65 //	MSAH _19.65 //
   ādīnavajñaḥ svaparigraheṣu bhogeṣvasakto hyanigūḍhavairaḥ /	AdInavajQaH sva parigrahezu Bogezu asaktaH hi anigUXa vEraH /
   yogī nimitte kuśalo 'kudṛṣṭiradhyātmasaṃsthaḥ khalu bodhisattvaḥ //	yogI nimitte kuSalaH akudRzwiH aDyAtma saMsTaH Kalu boDisattvaH //
   MSA_19.66 //	MSAH _19.66 //
   dayānvito hrīguṇasaṃniviṣṭo duḥkhādhivāsātsvasukheṣvasaktaḥ /	dayA anvitaH hrI guNa saMnivizwaH duHKa aDivAsAt sva suKezu asaktaH /
   smṛtipradhānaḥ susamāhitātmā yānāvikāryaḥ khalu bodhisattvaḥ // MSA_19.67	smRti praDAnaH su samAhita AtmA yAna avikAryaH Kalu boDisattvaH // MSAH _19.67
   duḥkhāpaho duḥkhakaro na caiva duḥkhādhivāso na ca duḥkhabhītaḥ /	duHKa apahaH duHKa karaH na ca eva duHKa aDivAsaH na ca duHKa BItaH /
   duḥkhādvimukto na ca duḥkhakalpo duḥkhābhyupetaḥ khalu bodhisattvaḥ //	duHKAt vimuktaH na ca duHKa kalpaH duHKa aByupetaH Kalu boDisattvaH //
   MSA_19.68 //	MSAH _19.68 //
   dharmerato 'dharmarataḥ [dharme 'rato 'dharmarataḥ] prakṛtyā dharme	DarmeH atas aDarma rataH [Darme arataH aDarma rataH] prakRtyA Darme
   jugupsī dharamābhiyuktaḥ /	jugupsI Darama aBiyuktaH /
   dharme vaśī dharmanirandhakāro dharmapradhānaḥ khalu bodhisattvaḥ //	Darme vaSI Darma niranDakAraH Darma praDAnaH Kalu boDisattvaH //
   MSA_19.69 //	MSAH _19.69 //
   bhogāpramatto niyamāpramatto rakṣāpramattaḥ kuśalāpramattaḥ /	Boga apramattaH niyama apramattaH rakzA apramattaH kuSala apramattaH /
   sukhāpramatto dharamāpramatto yānāpramatto khalu bodhisattvaḥ // MSA_19.70	suKa apramattaH Darama apramattaH yAna apramattaH Kalu boDisattvaH // MSAH _19.70
   vimānalajjāstanudoṣalajja amarṣalajjaḥ parihāṇilajjaḥ /	vimAna lajjAH tanu doza lajja amarza lajjaH parihANi lajjaH /
   viśāla[visāra]lajjastanudṛṣṭilajjaḥ yānānyalajjaḥ khalu bodhisattvaḥ //	viSAla[ visAra ]lajjaH tanu dRzwi lajjaH yAnAni alajjaH Kalu boDisattvaH //
   MSA_19.71 //	MSAH _19.71 //
   ihāpi cāmutra upekṣaṇena saṃskārayogena vibhutvalābhaiḥ /	iha api ca amutra upekzaNena saMskAra yogena viBu tva lABEH /
   śamopa[samaupa]deśena mahāphalena anugrahe vartati bodhisattvaḥ //	Sama upa[samOpa]deSena mahA Palena anugrahe vartati boDisattvaH //
   MSA_19.72 //	MSAH _19.72 //
   bodhisatvo mahāsatvo dhīmāṃścaivottamadyutiḥ /	boDisatvaH mahAsatvaH DImAn= ca eva uttama dyutiH /
   jinaputro jinādhāro vijetātha jināṅkuraḥ // MSA_19.73 //	jinaputraH jina ADAraH vijetA aTa jinAFkuraH // MSAH _19.73 //
   vikrāntaḥ paramāścaryaḥ sārthavāho mahāyaśāḥ /	vikrAntaH parama AScaryaH sArTavAhaH mahA yaSAH /
   kṛpāluśca mahāpuṇya īśvaro dhārmikastathā // MSA_19.74 //	kRpAluH ca mahA puNyaH ISvaraH DArmikaH taTA // MSAH _19.74 //
   sutatvabodhaiḥ sumahārthabodhaiḥ sarvāva[rtha]bodhairapi nityabodhaiḥ /	suta tva boDEH su mahA arTa boDEH sarva ava[rTa] boDEH api nitya boDEH /
   upāyabodhaiśca viśeṣaṇena tenocyate hetuna bodhisatvaḥ // MSA_19.75 //	upAya boDEH ca viSezaNena tena ucyate hetuna boDisatvaH // MSAH _19.75 //
   ātmānubodhāttanudṛṣṭibodhādvicitravijñaptivibodhataśca /	Atma anuboDAt tanu dRzwi boDAt vicitra vijQapti viboDataH ca /
   sarvasya cābhūtavikalpabodhāttenocyate hetuna bodhisatvaḥ // MSA_19.76 //	sarvasya ca aBUta vikalpa boDAt tena ucyate hetuna boDisatvaH // MSAH _19.76 //
   abodhabodhādanubodhabodhādabhāvabodhātprabhavānubodhāt /	aboDa boDAt anuboDa boDAt aBAva boDAt praBava anuboDAt /
   abodhabodhapratibodhataśca tenocyate hetuna bodhisattvaḥ // MSA_19.77 //	aboDa boDa pratiboDataH ca tena ucyate hetuna boDisattvaH // MSAH _19.77 //
   anarthabodhātparamārthabodhātsarvāva[rtha]bodhātsakalārthabodhāt /	anarTa boDAt parama arTa boDAt sarva ava[rTa] boDAt sakala arTa boDAt /
   boddhavyabodhāśrayabodhabodhāttenocyate hetuna bodhisattvaḥ // MSA_19.78	bodDavya boDa ASraya boDa boDAt tena ucyate hetuna boDisattvaH // MSAH _19.78
   niṣpannabodhātpadabodhataśca garbhānubodhāt kramadarśanasya /	nizpanna boDAt pada boDataH ca garBa anuboDAt krama darSanasya /
   bodhādbhṛśaṃ saṃśayahānibodhāt tenocyate hetuna bodhisattvaḥ // MSA_19.79	boDAt BRSam saMSaya hAni boDAt tena ucyate hetuna boDisattvaH // MSAH _19.79
   lābhī hyalābhī dhīsaṃsthitaśca boddhānuboddhā pratideśakaśca /	lABI hi alABI DI saMsTitaH ca bodDa anubodDA pratideSakaH ca /
   nirjalpabuddhirhatamānamānī hyapakkasaṃpakkamatiśca dhīmān // MSA_19.80 //	nirjalpa budDiH hata mAna mAnI hi apakka saMpakka matiH ca DImAn // MSAH _19.80 //
   mahāyānasūtrālaṃkāre guṇādhikāraḥ [ekonaviṃśatitamaḥ?] samāptaḥ	mahAyAna sUtra alaMkAre guNa aDikAraH [ekonaviMSati tamaH?] samAptaH
   viṃśatitamaḥekaviṃśatitamaścādhikāraḥ	viMSatitamaH ekaviMSatitamaH ca aDikAraH
   liṅgavibhāge dvau ślokau	liFga viBAge dvO SlokO
   anukampā priyākhyānaṃ dhīratā muktahastatā /	anukampA priya AKyAnam DIra tA mukta hasta tA /
   gambhīrasaṃdhinirmokṣo liṅgānyetāni dhīmatāṃ // MSA_20.1 //	gamBIra saMDi nirmokzaH liFgAni etAni DImatAm // MSAH _20.1 //
   parigrahe 'dhimuktyāptāvakhede dvayasaṃgrahe /	parigrahe aDi mukti AptAvaKede dvaya saMgrahe /
   āśayācca prayogācca vijñeyaṃ liṅgapañcakaṃ // MSA_20.2 //	ASayAt ca prayogAt ca vijQeyam liFga paQcakam // MSAH _20.2 //
   bodhisatvā hi satataṃ bhavantaścakravartinaḥ /	boDisatvAH hi satatam BavantaH cakravartinaH /
   prakurvanti hi satvārthaṃ gṛhiṇaḥ sarvajanmasu // MSA_20.3 //	prakurvanti hi satva arTam gRhiNaH sarva janmasu // MSAH _20.3 //
   ādānalabdhā pravrajyā dharmatopagatā parā /	AdAna labDA pravrajyA DarmatA upagatA parA /
   nidarśikā ca pravrajayā dhīmatāṃ sarvabhūmiṣu // MSA_20.4 //	nidarSikA ca pravrajayA DImatAm sarva BUmizu // MSAH _20.4 //
   aprameyairguṇairyuktaḥ pakṣaḥ pravrajitasya tu /	aprameyEH guNEH yuktaH pakzaH pravrajitasya tu /
   gṛhiṇo bodhisatvāddhi yatistasmādviśiṣyate // MSA_20.5 //	gRhiNaH boDisatvAt hi yatiH tasmAt viSizyate // MSAH _20.5 //
   paratreṣṭaphalecchā ca śubhavṛttāvihaiva ca /	paratra izwaPala icCA ca SuBa vRttO= iha eva ca /
   nirvāṇecchā ca dhīrāṇāṃ satveṣvāśaya iṣyate /	nirvANa icCA ca DIrANAm satvezu ASayaH izyate /
   aśuddhaśca viśuddhaśca suviśuddhaḥ sarvabhūmiṣu // MSA_20.6 //	aSudDaH ca viSudDaH ca su viSudDaH sarva BUmizu // MSAH _20.6 //
   praṇidhānātsamāccittādādhipatyātparigrahaḥ /	praNiDAnAt samAt cittAt ADipatyAt parigrahaH /
   gaṇasya karṣaṇatvācca dhīmatāṃ sarvabhūmiṣu // MSA_20.7 //	gaNasya karzaNa tvAt ca DImatAm sarva BUmizu // MSAH _20.7 //
   karmaṇaścādhipatyena praṇidhānasya cāparā /	karmaNaH ca ADipatyena praNiDAnasya ca aparA /
   samādheśca vibhutvasya cotpattirdhīmatāṃ matā // MSA_20.8 //	samADeH ca viBu tvasya ca utpattiH DImatAm matA // MSAH _20.8 //
   lakṣaṇātpudgagalācchikṣāskandhaniṣpattiliṅgataḥ /	lakzaNAt pudga galAt SikzA skanDa nizpatti liFgataH /
   nirukteḥ prāptitaścaiva vihāro bhūmireva ca // MSA_20.9 //	nirukteH prAptitaH ca eva vihAraH BUmiH eva ca // MSAH _20.9 //
   śūnyatā paramātmasya karmānāśe vyavasthitiḥ /	SUnyatA paramAtmasya karma anASe vyavasTitiH /
   vihṛtya sasukhairdhyānairjanma kāme tataḥ param // MSA_20.10 //	vihRtya sa suKEH DyAnEH janma kAme tatas param // MSAH _20.10 //
   tataśca bodhipakṣāṇāṃ saṃsāre pariṇāmanā /	tatas ca boDi pakzANAm saMsAre pariNAmanAH /
   vinā ca cittasaṃkleśaṃ satvānāṃ paripācanā // MSA_20.11 //	vinA ca citta saMkleSam satvAnAm paripAcanAH // MSAH _20.11 //
   upapattau ca saṃcitya saṃkleśasyānurakṣaṇā /	upapattO ca saMcitya saMkleSasya anurakzaNAH /
   ekāyanapathaśliṣṭā 'nimittaikāntikaḥ pathaḥ // MSA_20.12 //	ekAyana paTa SlizwA animitta EkAntikaH paTaH // MSAH _20.12 //
   animitte 'pyanābhogaḥ kṣetrasya ca viśodhanā /	animitte api anABogaH kzetrasya ca viSoDanAH /
   satvapākasya niṣpattirjāyate ca tataḥ param // MSA_20.13 //	satva pAkasya nizpattiH jAyate ca tatas param // MSAH _20.13 //
   samādhidhāraṇīnāṃ ca bodheścaiva viśuddhatā /	samADi DAraNInAm ca boDeH ca eva viSudDa tA /
   etasmācca vyavasthānādvijñeyaṃ bhūmilakṣaṇam // MSA_20.14 //	etasmAt ca vyavasTAnAt vijQeyam BUmi lakzaNam // MSAH _20.14 //
   viśuddhadṛṣṭiḥ suviśuddhaśīlaḥ samāhito dharmavibhūtamānaḥ /	viSudDa dRzwiH su viSudDa SIlaH samAhitaH Darma viBUta mAnaH /
   saṃtānasaṃkleśaviśuddhibhede nirmāṇa ekakṣaṇalabdhabuddhiḥ // MSA_20.15 //	saMtAna saMkleSa viSudDi Bede nirmANaH eka kzaNa labDa budDiH // MSAH _20.15 //
   upekṣakaḥ kṣetraviśodhakaśca syātsatvapāke kuśalo maharddhiḥ /	upekzakaH kzetra viSoDakaH ca syAt satva pAke kuSalaH mahA RdDiH /
   saṃpūrṇakāyaśca nidarśane ca śakto 'bhiṣiktaḥ khalu bodhisatvaḥ //	saMpUrNa kAyaH ca nidarSane ca SaktaH aBiziktaH Kalu boDisatvaH //
   MSA_20.16 //	MSAH _20.16 //
   dharmatāṃ pratividhyeha adhiśīle 'nuśikṣaṇe /	Darma tAm prativiDya iha aDiSIle anuSikzaNe /
   adhicitte 'pyadhiprajñe prajñā tu dvayagocarā // MSA_20.17 //	aDicitte api aDiprajQe prajQA tu dvaya gocarAH // MSAH _20.17 //
   dharmatatvaṃ tadajñānajñānādyā vṛttireva ca /	Darmatatvam tad ajQAna jQAna AdyAH vRttiH eva ca /
   prajñāyā gocarastasmād dvibhūmau tadvyavasthitiḥ // MSA_20.18 //	prajQAyAH gocaraH tasmAt dvi BUmO tad vyavasTitiH // MSAH _20.18 //
   śikṣāṇāṃ bhāvanāyāśca phalamanyaccaturvidham /	SikzANAm BAvanAyAH ca Palam anyat caturviDam /
   animittasasaṃskāro vihāraḥ prathamaṃ phalam // MSA_20.19 //	animitta sasaMskAraH vihAraH praTamam Palam // MSAH _20.19 //
   sa evānabhisaṃskāro dvitīyaṃ phalamiṣyate /	saH eva anaBisaMskAraH dvitIyam Palam izyate /
   kṣetraśuddhiśca satvānāṃ pākaniṣpattireva ca // MSA_20.20 //	kzetra SudDiH ca satvAnAm pAka nizpattiH eva ca // MSAH _20.20 //
   samādhidhāraṇīnāṃ ca niṣpattiḥ paramaṃ phalaṃ /	samADi DAraNInAm ca nizpattiH paramam Palam /
   caturvidhaṃ phalaṃ hyetat caturbhūmisamāśritam // MSA_20.21 //	caturviDam Palam hi etat catur BUmi samASritam // MSAH _20.21 //
   dharmatāṃ pratividhyeha śīlaskandhasya śodhanā /	Darma tAm prativiDya iha SIla skanDasya SoDanAH /
   samādhiprajñāskandhasya tata ūrdhvaṃ viśodhanā // MSA_20.22 //	samADi prajQA skanDasya tatas UrDvam viSoDanAH // MSAH _20.22 //
   vimuktimuktijñānasya tadanyāsu viśodhanā /	vimukti mukti jQAnasya tad anyAsu viSoDanAH /
   caturvidhādāvaraṇāt pratighātāvṛterapi // MSA_20.23 //	caturviDAt AvaraNAt pratiGAta A= RteH api // MSAH _20.23 //
   aniṣpannāśca niṣpannā vijñeyāḥ sarvabhūmayaḥ /	anizpannAH ca nizpannAH vijQeyAH sarva BUmayaH /
   niṣpannā apyaniṣpannā niṣpannāśca punarmatāḥ // MSA_20.24 //	nizpannAH api anizpannAH nizpannAH ca punar matAH // MSAH _20.24 //
   niṣpattirvijñeyā yathāvyavasthānamanasikāreṇa /	nizpattiH vijQeyAH yaTA vyavasTAna manasikAreNa /
   tatkalpanatājñānādavikalpanayā ca tasyaiva // MSA_20.25 //	tad kalpa natA jQAnAt avikalpanayA ca tasya eva // MSAH _20.25 //
   bhāvanā api niṣpattiracintyaṃ sarvabhūmiṣu /	BAvanA api nizpattiH acintyam sarva BUmizu /
   pratyātmavedanīyatvāt buddhānāṃ viṣayādapi // MSA_20.26 //	pratyAtma vedanIya tvAt budDAnAm vizayAt api // MSAH _20.26 //
   adhimuktirhi sarvatra sālokā liṅgamiṣyate /	aDimuktiH hi sarvatra sa AlokA liFgam izyate /
   alīnatvamadīnatvamaparapratyayātmatā // MSA_20.27 //	alIna tvam adIna tvam apara pratyaya Atma tA // MSAH _20.27 //
   prativedhaśca sarvatra sarvatra samacittatā /	prativeDaH ca sarvatra sarvatra sama citta tA /
   aneyānunayopāyajñānaṃ maṇḍalajanma ca // MSA_20.28 //	aneya anunaya upAya jQAnam maNxala janma ca // MSAH _20.28 //
   nācchando na ca lubdhahrasvahṛdayo na krodhano nālaso nāmaitrīkarūṇāśayo	na acCandaH na ca lubDa hrasva hRdayaH na kroDanaH na alasaH nA mEtrI karUNa ASayaH 
   na kumatiḥ kalpairvikalpairhataḥ /	na kumatiH kalpEH vikalpEH hataH /
   no vikṣiptamatiḥ sukhairna ca hato duḥkhairna vā [vyā]vartate satyaṃ	no vikzipta matiH suKEH na ca hataH duHKEH na vA [vyA]vartate satyam
   mitramupāśritaḥ śrutaparaḥ pūjāparaḥ śāstari // MSA_20.29 //	mitram upASritaH Sruta paraH pUjA paraH SAstari // MSAH _20.29 //
   sarvaṃ puṇyasamuccayaṃ suvipulaṃ kṛtvānyasādhāraṇaṃ saṃbodhau	sarvam puNyasamuccayam su vipulam kRtvA anya sADAraNam saMboDO
   pariṇāmayatyaharaharyo hyuttamopāyavit /	pariNAmayati aharahar yaH hi uttama upAya vid /
   jātaḥ svāyatane sadā śubhakaraḥ krīḍatyabhijñāguṇaiḥ sarveṣāmuparisthito	jAtaH su a Ayatane sadA SuBa karaH krIxati aBijQA guNEH sarvezAm upari sTitaH 
   guṇanidhirjñeyaḥ sa buddhātmanaḥ // MSA_20.30 //	guNa niDiH jQeyaH sa budDa AtmanaH // MSAH _20.30 //
   śamathe vipaśyanāyāṃ ca dvayapañcātmako mataḥ /	SamaTe vipaSyanAyAm ca dvaya paQca AtmakaH mataH /
   dhīmatāmanuśaṃso hi sarvathā sarvabhūmiṣu // MSA_20.31 //	DImatAm anuSaMsaH hi sarvaTA sarva BUmizu // MSAH _20.31 //
   paśyatāṃ bodhimāsannāṃ satvārthasya ca sādhanaṃ /	paSyatAm boDim AsannAm satva arTasya ca sADanam /
   tīvra utpadyate modo muditā tena kathyate // MSA_20.32 //	tIvraH utpadyate modaH muditA tena kaTyate // MSAH _20.32 //
   dauḥ śīlyābhogavaimalyādvimalā bhūmirucyate /	dOH SIlya ABoga vEmalyAt vimalA BUmiH ucyate /
   mahādharmāvabhāsasya karaṇācca prabhākarī // MSA_20.33 //	mahA Darma avaBAsasya karaNAt ca praBAkarI // MSAH _20.33 //
   arcirbhūtā yato dharmā bodhipakṣāḥ pradāhakāḥ /	arciH BUtAH yatas DarmAH boDi pakzAH pradAhakAH /
   arciṣmatīti tadyogātsā bhūmirdvayadāhataḥ // MSA_20.34 //	arcizmatI iti tad yogAt sA BUmiH dvaya dAhataH // MSAH _20.34 //
   satvānāṃ paripākaśca svacittasya ca rakṣaṇā /	satvAnAm paripAkaH ca sva cittasya ca rakzaNA /
   dhīmadbhirjīyate duḥkhaṃ durjayā tena kathyate // MSA_20.35 //	DImadBiH jIyate duHKam durjayA tena kaTyate // MSAH _20.35 //
   ābhimukhyād dvyasyeha saṃsārasyāpi nirvṛteḥ /	ABimuKyAt dvi asya iha saMsArasya api nirvRteH /
   uktā hyabhimukhī bhūmiḥ prajñāpāramitāśrayāt // MSA_20.36 //	uktA hi aBimuKI BUmiH prajQApAramitA ASrayAt // MSAH _20.36 //
   ekāyanapathaśleṣādbhūmirdūraṃgamā matā /	ekAyana paTa SlezAt BUmiH dUraMgamA matA /
   dvyasaṃjñāvicalanādacalā ca nirucyate // MSA_20.37 //	dvya saMjQA vicalanAt acalA ca nirucyate // MSAH _20.37 //
   pratisaṃvinmatisādhutvādbhūmiḥ sādhumati matā /	pratisaMvid mati sADu tvAt BUmiH sADumati matA /
   dharmameghā dvayavyāpterdharmākāśasya meghavat // MSA_20.38 //	Darma meGAH dvaya vyApteH Darma AkASasya meGa vat // MSAH _20.38 //
   vividhe śubhanirhāre ratyā viharaṇātsadā /	viviDe SuBa nirhAre ratyA viharaNAt sadA /
   sarvatra bodhisatvānāṃ vihārabhūmayo matāḥ // MSA_20.39 //	sarvatra boDisatvAnAm vihAra BUmayaH matAH // MSAH _20.39 //
   bhūyo bhūyo 'mitāsvāsu ūrdhvaṃgamanayogataḥ /	BUyas BUyas amitAsvAsu UrDvaMgamana yogataH /
   bhūtāmitābhayārthāya ta eveṣṭā hi bhūmayaḥ // MSA_20.40 //	BUta amita aBaya arTAya te eva izwA hi BUmayaH // MSAH _20.40 //
   bhūmilābhe[bho]'dhimukteśca cariteṣu ca vartanāt /	BUmi lABe[Bo] aDimukteH ca caritezu ca vartanAt /
   prativedhācca bhūmīnāṃ niṣpatteśca caturvidhaḥ // MSA_20.41 //	prativeDAt ca BUmInAm nizpatteH ca caturviDaH // MSAH _20.41 //
