   śrīśivamahāpurāṇam	SrI-Siva-mahApurANam
   mahāpātakayuktānāṃ jaṃtūnāṃśarvavidviṣām // ŚivP_1,24.18ab/	mahApAtaka-yuktAnAm jaMtUnA-aMSarva-vidvizAm // ŚivS-_1,24.18ab/
   tripuṃḍroddhūlanadveṣojāyatesudṛḍhaṃ mune // ŚivP_1,24.18cd/	tripuMxra-udDUlana-dvezaH-jAyatesu-dRXam mune // Śivj-_1,24.18cd/
   śivāgnikāryaṃ yaḥ kṛtvākuryāttriyāyuṣātmavit // ŚivP_1,24.19ab/	Siva-agni-kAryam yaH kRtvA-akuryAt-triyAyuza-Atma-vid // ŚivS-_1,24.19ab/
   mucyatesarvapāpaistuspṛṣṭenabhasmanānaraḥ // ŚivP_1,24.19cd/	mucyate-sarva-pApEH-tu-spRzwena-BasmanA-naraH // ŚivS-_1,24.19cd/
   sitenabhasmanākuryāttrisandhyaṃyastripuṇḍrakam // ŚivP_1,24.20ab/	sitena-BasmanA-akuryAt-tri-sanDyaMyaH-tripuNxrakam // ŚivS-_1,24.20ab/
   sarvapāpavinirmuktaḥ śivenasahamodate // ŚivP_1,24.20cd/	sarva-pApa-vinirmuktaH Sivena-sahamodate // Śivj-_1,24.20cd/
   sitenabhasmanā kuryālāṭe tu tripuṇḍrakam // ŚivP_1,24.21ab/	sitena-BasmanA kurya-alAwe tu tripuNxrakam // ŚivS-_1,24.21ab/
   yosāvanādibhūtānhilokānāpto mṛtobhavet // ŚivP_1,24.21cd/	yosA=-ana-Adi-BUtAn-hilokAn-AptaH mRtaH-Bavet // Śivj-_1,24.21cd/
   akṛtvā bhasmanāsnānaṃ na japedvaiṣaḍakṣaram // ŚivP_1,24.22ab/	akRtvA BasmanA-snAnam na japet-vEzaz-akzaram // ŚivS-_1,24.22ab/
   tripuṃḍraṃ ca racitvā tu vidhinābhasmanājapet // ŚivP_1,24.22cd/	tripuMxram ca racitvA tu viDinA-aBasmanA-japet // Śivj-_1,24.22cd/
   adayo vādhamo vāpi sarvapāpānvitopi vā // ŚivP_1,24.23ab/	adayaH vA-aDamaH vA-api sarva-pApa-anvitopi vA // ŚivS-_1,24.23ab/
   uṣaḥpāpānvito vāpimūrkho vā patitopi vā // ŚivP_1,24.23cd/	uzaH-pApa-anvitaH vApi-mUrKaH vA patitopi vA // ŚivS-_1,24.23cd/
   yasmindeśevasennityaṃbhūtiśāsanasaṃyutaḥ // ŚivP_1,24.24ab/	yasmin-deSevaset-niti-aMBUti-SAsana-saMyutaH // ŚivS-_1,24.24ab/
   sarvatīrthaiścakratubhiḥsāṃnidhyaṃkriyatesadā // ŚivP_1,24.24cd/	sarva-tIrTEH-cakratuBiH-sAMniDyaMkriyatesadAH // ŚivS-_1,24.24cd/
   tripuṃḍrasahito jīvaḥ pūjyaḥ sarvaiḥ surāsuraiḥ // ŚivP_1,24.25ab/	tripuMxra-sahitaH jIvaH pUjyaH sarvEH sura-asurEH // ŚivS-_1,24.25ab/
   pāpānvitopi śuddhātmā kiṃ punaḥ śraddhayā yutaḥ // ŚivP_1,24.25cd/	pApa-anvitopi SudDa-AtmA kim punar SradDayA yutaH // ŚivS-_1,24.25cd/
   yasmindeśe śivajñānī bhūtiśāsanasaṃyutaḥ // ŚivP_1,24.26ab/	yasmin-deSe Siva-jQAnI BUti-SAsana-saMyutaH // ŚivS-_1,24.26ab/
   gato yadṛcchayādyāpi tasmistīrthāḥ samāgatāḥ // ŚivP_1,24.26cd/	gataH yadRcCayA-adya-api tasmiH-tIrTAH samAgatAH // ŚivS-_1,24.26cd/
   bahunātrakimuktenadhāryaṃbhasmasadā budhaiḥ // ŚivP_1,24.27ab/	bahu-nAtra-kim-uktena-DArI-aMBasma-sadA buDEH // ŚivS-_1,24.27ab/
   liṃgārcanaṃsadākāryaṃjapyomaṃtraḥṣaḍakṣaraḥ // ŚivP_1,24.27cd/	liMga-arcanaMsadA-kArI-aMjapyaH-maMtraH-zaz-akzaraH // Śivj-_1,24.27cd/
   brahmaṇāviṣṇunāvāpi rudreṇamunibhiḥ suraiḥ // ŚivP_1,24.28ab/	brahmaNA-vizNunAvApi rudreNa-muniBiH surEH // ŚivS-_1,24.28ab/
   bhasmadhāraṇamāhātmyaṃnaśakyaṃparibhāṣitum // ŚivP_1,24.28cd/	Basma-DAraNa-mAhAtmyaMna-SakI-aMpariBAzitum // ŚivS-_1,24.28cd/
   iti varṇāśramācāroluptavarṇakriyopi ca // ŚivP_1,24.29ab/	iti varNa-ASrama-AcAra-ulupta-varNa-kriyA-upi ca // ŚivS-_1,24.29ab/
   pāpātsakṛttripuṃḍrasyadhāraṇātsopimucyate // ŚivP_1,24.29cd/	pApAt-sakRt-tri-puMxrasya-DAraNAt-sopim-ucyate // ŚivS-_1,24.29cd/
   yebhasmadhāriṇaṃtyaktvākarmakurvaṃtimānavāḥ // ŚivP_1,24.30ab/	yeBasma-DAriNaMtyaktvA-akarma-kurvaMti-mAnavAH // ŚivS-_1,24.30ab/
   teṣāṃ nāstivinirmokṣaḥ saṃsārājjanmakoṭibhiḥ // ŚivP_1,24.30cd/	tezAm nAsti-vinirmokzaH saMsArAt-janma-kowiBiH // ŚivS-_1,24.30cd/
   te nādhītaṃguroḥsarvaṃtenasarvamanuṣṭhitam // ŚivP_1,24.31ab/	te na-aDItaMguroH-sarvaMtena-sarvam-anuzWitam // ŚivS-_1,24.31ab/
   yenavipreṇaśirasitripuṃḍraṃbhasmanākṛtam // ŚivP_1,24.31cd/	yena-vipreNa-Sirasi-tri-puMxraMBasmanAkRtam // Śivj-_1,24.31cd/
   ye bhasmadhāriṇaṃ dṛṣṭvānarāḥ kurvaṃtitāḍanam // ŚivP_1,24.32ab/	ye Basma-DAriNam dRzwvA-narAH kurvaMti-tAxanam // ŚivS-_1,24.32ab/
   teṣāṃcaṃḍālatojanmabrahmannūhyaṃvipaścitā // ŚivP_1,24.32cd/	tezAMcaMxAlatojanma-brahman=-Uhi-aMvipaScitAH // ŚivS-_1,24.32cd/
   mānastokenamaṃtreṇamaṃtritaṃbhasmadhārayet // ŚivP_1,24.33ab/	mAna-stokenamaMtreNa-m-aMtritaMBasma-DArayet // ŚivS-_1,24.33ab/
   brāhmaṇaḥkṣatriyaścaiva prokteṣvaṃgeṣubhaktimān // ŚivP_1,24.33cd/	brAhmaNaH-kzatriyaH-ca-eva proktezu-aMga-izu-BaktimAn // ŚivS-_1,24.33cd/
   vaiśyastriyaṃbakenaivaśūdraḥpañcākṣareṇatu // ŚivP_1,24.34ab/	vESyaH-triyaMbakena-eva-SUdraH-paQcAkzareNa-tu // ŚivS-_1,24.34ab/
   anyeṣāṃ vidhavāstrīṇāṃ vidhiḥ proktaścaśūdravat // ŚivP_1,24.34cd/	anyezAm viDavA-strINAm viDiH proktaH-ca-SUdra-vat // Śivj-_1,24.34cd/
   pañcabrahmādimanubhirgṛhasthasyavidhīyate // ŚivP_1,24.35ab/	paQca-brahma-Adi-manuBiH-gRhasTasya-viDIyate // ŚivS-_1,24.35ab/
   triyaṃbakenamanunāvidhirvaibrahmacāriṇaḥ // ŚivP_1,24.35cd/	triyaMbakena-manunA-viDiH-vEbrahmacAriNaH // ŚivS-_1,24.35cd/
   aghoreṇāthamanunāvipinasthavidhiḥsmṛtaḥ // ŚivP_1,24.36ab/	aGoreNa-aTa-m-anunA-vipina-sTa-viDiH-smRtaH // ŚivS-_1,24.36ab/
   yatistupraṇavenaiva tripuṃḍrādīnikārayet // ŚivP_1,24.36cd/	yatiH-tu-praNavena-eva tripuMxrAdInikArayet // Śivj-_1,24.36cd/
   ativarṇāśramīnityaṃśivohaṃbhāvanātparāt // ŚivP_1,24.37ab/	ativarNa-ASramI-niti-aMSi-vohaMBAvanAt-parAt // ŚivS-_1,24.37ab/
   śivayogī ca niyatamīśānenāpi dhārayet // ŚivP_1,24.37cd/	Siva-yogI ca niyatam-ISAnena-api DArayet // Śivj-_1,24.37cd/
   na tyājyaṃ sarvavarṇaiśca bhasmadhāraṇamuttamam // ŚivP_1,24.38ab/	na tyAjyam sarva-varNEH-ca Basma-DAraNam-uttamam // ŚivS-_1,24.38ab/
   anyairapi yathājīvaissadeti śivaśāsanam // ŚivP_1,24.38cd/	anyEH-api yaTA-jIvEH-sadA-iti Siva-SAsanam // Śivj-_1,24.38cd/
   bhasmasnānenayāvaṃtaḥ kaṇāḥ svāṅgepratiṣṭhitāḥ // ŚivP_1,24.39ab/	Basma-snAnena-yAvaMtaH kaNAH sva-aFgepratizWitAH // ŚivS-_1,24.39ab/
   tāvaṃti śivaliṃgāni tanaudhattehidhārakaḥ // ŚivP_1,24.39cd/	tAvaMti Siva-liMgAni tanODattehi-DArakaH // Śivj-_1,24.39cd/
   brāhmaṇāḥ kṣatriyāvaiśyāḥ śūdrāścāpi ca saṃkarāḥ // ŚivP_1,24.40ab/	brAhmaNAH kzatriyA-vESyAH SUdrAH-ca-api ca saMkarAH // ŚivS-_1,24.40ab/
   striyothavidhavābālāḥ prāptāḥ pākhaṃḍikāstathā // ŚivP_1,24.40cd/	stri-yoTa-viDa-vA-bAlAH prAptAH pAKaMxikAH-taTA // ŚivS-_1,24.40cd/
   brahmacārīgṛhīvanyaḥsaṃnyāsīvāvratītathā // ŚivP_1,24.41ab/	brahmacArI-gRhI-van-yaH-saMnyAsI-ivAvratItaTA // ŚivS-_1,24.41ab/
   nāryobhasmatripuṃḍrāṃkāmuktā evanasaṃśayaḥ // ŚivP_1,24.41cd/	nAryaH-Basma-tripuMxra-aMka-amuktAH evana-saMSayaH // Śivj-_1,24.41cd/
   jñānadhṛjñānatovāpivahnidāhasamoyathā // ŚivP_1,24.42ab/	jQAna-DRjQAna-tova-api-vahni-dAha-samoyaTAH // ŚivS-_1,24.42ab/
   jñānājñānadhṛtaṃbhasmapāvayetsakalaṃnaram // ŚivP_1,24.42cd/	jQAna-ajQAna-DRtaMBasma-pAvayet-sa-kalaMnaram // ŚivS-_1,24.42cd/
   nāśnīyājjalamannamalpamapivā bhasmākṣadhṛtyāvinā	na-aSnIyAt-jalam-annam-alpam-apivA Basma-akza-DRtyAvinA
   bhuktvāvāthagṛhīvanīpatiyatirvarṇītathāsaṃkaraḥ // ŚivP_1,24.43ab/	BuktvA-avATa-gRhIvanIpatiyatiH-varNI-taTA-saMkaraH // ŚivS-_1,24.43ab/
   enobhuṅnarakaṃprayātisatadāgāyatrijāpenatadvarṇānāṃ tu yatestu	enaH-Buj-nara-kaMprayAti-sa-tad-AgAya-trijApena-tad-varNAnAm tu yateH-tu
   mukhyapraṇavājapena muktaṃbhavet // ŚivP_1,24.43cd/	muKya-praNava-ajapena muktaMBavet // Śivj-_1,24.43cd/
   tripuṃḍraṃ ye viniṃdaṃti nindantiśivamevate // ŚivP_1,24.44ab/	tripuMxram ye viniMdaMti nindanti-Sivam-evate // ŚivS-_1,24.44ab/
   dhārayaṃticayebhaktyā dhārayanti tamevate // ŚivP_1,24.44cd/	DArayaMti-cayeBaktyAH DArayanti tam-evate // Śivj-_1,24.44cd/
   dhigbhasmarahitaṃ bhālaṃdhiggrāmamaśivālayam // ŚivP_1,24.45ab/	Dik-Basma-rahitam BAlaMDi-ggrAmam-aSiva-Alayam // ŚivS-_1,24.45ab/
   dhiganīśārcanaṃ janmadhigvidyāmaśivāśrayām // ŚivP_1,24.45cd/	Dik-anISa-arcanam janma-Dik-vidyAm-aSiva-ASrayAm // ŚivS-_1,24.45cd/
   yeniṃdaṃtimaheśvaraṃtrijagatāmādhārabhūtaṃharaṃ ye	yeniMdaMti-maheSvaraMtri-jagatAm-ADAra-BUtaMharam ye
   nindaṃtitripuṃḍradhāraṇakaraṃ doṣastu taddarśane // ŚivP_1,24.46ab/	nindaMti-tri-puMxra-DAraNa-karam dozaH-tu tad-darSane // ŚivS-_1,24.46ab/
   tevaisaṃkarasūkarāsurakharaśvakroṣṭukīṭopamājātā eva	teva-EsaMkara-sUkara-asura-Kara-Sva-krozwu-kIwa-upama-ajAtAH eva
   bhavaṃtipāpaparamāstenārakāḥ kevalam // ŚivP_1,24.46cd/	BavaMti-pApa-paramAH-tena-ArakAH kevalam // Śivj-_1,24.46cd/
   tedṛṣṭvā śaśibhāskarauniśi	tedRzwvA SaSi-BAskarOniSi
   dinesvapnepinokevalaṃpaśyaṃtuśrutirudrasūktajapatomucyetatenādṛtāḥ //	dinesvapnepinokA-ivalaMpaSyaMtu-Sruti-rudra-sUkta-japa-tomucyetatena-AdRtAH //
   ŚivP_1,24.47ab/	ŚivS-_1,24.47ab/
   satsaṃbhāṣaṇatobhaveddhinarakaṃnistāravānāsthitaṃyebhasmādividhāraṇaṃhipuruṣaṃniṃdaṃtimaṃdāhite	sat-saMBAzaNa-toBa-vet-DinarakaMnistAra-vAn-AsTitaMyeBasma-Adi-viDAraNaMhi-puruzaMniMdaMti-maMdAhite
   // ŚivP_1,24.47cd/	// ŚivS-_1,24.47cd/
   natāṃtrikastvadhikṛtonordhvapuṃḍradharomune // ŚivP_1,24.48ab/	natAMtrikaH-tu-aDikRta-Una-UrDva-puMxH-aDaraH-mune // ŚivS-_1,24.48ab/
   saṃtaptacakracihnotraśivayajñebahiṣkṛtaḥ // ŚivP_1,24.48cd/	saMtapta-cakra-cihna-utra-Siva-yajQeba-hizkRtaH // Śivj-_1,24.48cd/
   tatraitebahavolokābṛhajjābālacoditāḥ // ŚivP_1,24.49ab/	tatra-eteba-havolokA-bRhajjA-bAla-coditAH // ŚivS-_1,24.49ab/
   tevicāryāḥprayatnenatatobhasmaratobhavet // ŚivP_1,24.49cd/	tevicAryAH-prayatnena-tatoBasma-rataH-Bavet // ŚivS-_1,24.49cd/
   yaccaṃdanaiścaṃdanakepimiśraṃdhāryaṃhibhasmaivatripuṃḍrabhasmanā //	yat-caMdanEH-caMdana-kepi-mi-SraMDArI-aMhi-Basma-eva-tri-puMxra-BasmanA //
   ŚivP_1,24.50ab/	ŚivS-_1,24.50ab/
   vibhūtibhāloparikiṃcanāpidhāryaṃsadānoyadisaṃtibuddhayaḥ //	viBUti-BAla-upari-kiMcana-apiDAri-aMsa-dAnoya-di-saMtibudDayaH //
   ŚivP_1,24.50cd/	Śivj-_1,24.50cd/
   strībhistripuṇḍramalakāvadhi dhāraṇīyaṃ bhasmadvijādibhiratho	strIBiH-tripuNxram-alaka-avaDi DAraNIyam Basma-dvija-AdiBiH-aTo
   vidhavābhirevam // ŚivP_1,24.51ab/	viDavABiH-evam // ŚivS-_1,24.51ab/
   tadvatsadāśramavatāṃ viśadāvibhūtirdhāryāpavargaphaladāsakalāghahantrī //	tadvat-sat-ASramavatAm viSada-aviBUtiH-DAryA-apavarga-Pala-dAsa-kalAGa-hantrI //
   ŚivP_1,24.51cd/	Śivj-_1,24.51cd/
   tripuṇḍraṃkuruteyastu bhasmanā vidhipūrvakam // ŚivP_1,24.52ab/	tripuNxraMkuruteyaH-tu BasmanA viDi-pUrvakam // ŚivS-_1,24.52ab/
   mahāpātakasaṃghātairmucyate copapātakaiḥ // ŚivP_1,24.52cd/	mahApAtaka-saMGAtEH-mucyate ca-upapAtakEH // Śivj-_1,24.52cd/
   brahmacārīgṛhasthovāvānaprasthothavāyatiḥ // ŚivP_1,24.53ab/	brahmacArI-gRhasTaH-vAvAna-prasToTavAyatiH // ŚivS-_1,24.53ab/
   brahmakṣattrāścaviṭśūdrāstathānye patitādhamāḥ // ŚivP_1,24.53cd/	brahma-kzattrAH-ca-viS-SUdrAH-taTA-anye patita-aDamAH // Śivj-_1,24.53cd/
   uddhūlanaṃtripuṃḍraṃ ca dhṛtvāśuddhābhavaṃtica // ŚivP_1,24.54ab/	udDUla-naMtri-puMxram ca DRtvA-aSudDa-aBavaMti-ca // ŚivS-_1,24.54ab/
   bhasmanovidhinā samyakpāparāśiṃvihāya ca // ŚivP_1,24.54cd/	BasmanaH-viDinA samyak-pApa-rASiMvihAya ca // Śivj-_1,24.54cd/
   bhasmadhārī viśeṣeṇa strīgohatyādipātakaiḥ // ŚivP_1,24.55ab/	Basma-DArI viSezeNa strI-gohati-Adi-pAtakEH // ŚivS-_1,24.55ab/
   vīrahatyāśvahatyābhyāṃ mucyatenātra saṃśayaḥ // ŚivP_1,24.55cd/	vIra-hatyA-aSva-hatyAByAm mucyatena-atra saMSayaH // Śivj-_1,24.55cd/
   paradravyāpaharaṇaṃ paradārābhimarśanam // ŚivP_1,24.56ab/	para-dravya-apaharaNam para-dAra-aBimarSanam // ŚivS-_1,24.56ab/
   paranindā parakṣetraharaṇaṃ parapīḍanam // ŚivP_1,24.56cd/	para-nindA para-kzetra-haraNam para-pIxanam // ŚivS-_1,24.56cd/
   sasyārāmādiharaṇaṃ gṛhadāhādikarma ca // ŚivP_1,24.57ab/	sasya-ArAma-Adi-haraNam gRha-dAha-Adi-karma ca // ŚivS-_1,24.57ab/
   gohiraṇyamahiṣyāditilakambalavāsasām // ŚivP_1,24.57cd/	go-hiraNya-mahizI-Adi-tila-kambala-vAsasAm // Śivj-_1,24.57cd/
   annadhānyajalādīnāṃ nīcebhyaścaparigrahaḥ // ŚivP_1,24.58ab/	anna-DAnya-jala-AdInAm nIceByaH-ca-parigrahaH // ŚivS-_1,24.58ab/
   daśaveśyāmataṃgīṣu vṛṣalīṣu naṭīṣu ca // ŚivP_1,24.58cd/	daSa-veSyAm-ataMgIzu vRzalIzu nawIzu ca // Śivj-_1,24.58cd/
   rajasvalāsu kanyāsu vidhavāsu ca maithunam // ŚivP_1,24.59ab/	rajasvalAsu kanyAsu viDavAsu ca mETunam // ŚivS-_1,24.59ab/
   māṃsacarmarasādīnāṃ lavaṇasya ca vikrayaḥ // ŚivP_1,24.59cd/	mAMsa-carma-rasa-AdInAm lavaNasya ca vikrayaH // Śivj-_1,24.59cd/
   paiśunyaṃ kūṭavādaśca sākṣimithyābhilāṣiṇām // ŚivP_1,24.60ab/	pESunyam kUwavAdaH-ca sAkzi-miTyA-aBilAziNAm // ŚivS-_1,24.60ab/
   evamādīnyasaṃkhyāni pāpāni vidhāni ca // ŚivP_1,24.60cd/	evamAdIni-asaMKyAni pApAni viDAni ca // Śivj-_1,24.60cd/
   sadya eva vinaśyaṃti tripuṃḍrasya ca dhāraṇāt // ŚivP_1,24.60ef/	sadyas eva vinaSyaMti tripuMxrasya ca DAraNAt // ŚivS-_1,24.60ef/
   śivadravyāpaharaṇaṃśivaniṃdācakutracit // ŚivP_1,24.61ab/	Siva-dravya-apaharaNaMSiva-niMdAca-kutracid // ŚivS-_1,24.61ab/
   niṃdācaśivabhaktānāṃprāyaścittairnaśuddhyati // ŚivP_1,24.61cd/	niMdAca-Siva-BaktAnAMprAyaScittEH-naSudDi-ati // Śivj-_1,24.61cd/
   rudrākṣaṃ yasya gātreṣu lalāṭe tu tripaṃḍrakam // ŚivP_1,24.62ab/	rudrAkzam yasya gAtrezu lalAwe tu tri-paMxrakam // ŚivS-_1,24.62ab/
   sacāṃḍālopisaṃpūjyassarvavarṇottamottamaḥ // ŚivP_1,24.62cd/	sa-cAMxAla-upi-saMpUjya-ssarva-varNa-uttama-uttamaH // Śivj-_1,24.62cd/
   yānitīrthānilokesmingaṃgādyāssaritaścayoḥ // ŚivP_1,24.63ab/	yAni-tIrTa-anilokesmin-gaMgA-Adi-AssaritaH-cayoH // ŚivS-_1,24.63ab/
   snātobhavatisarvatralalāṭeyastripuṃḍrakam // ŚivP_1,24.63cd/	snAta-uBavati-sarvatra-lalAweyaH-tripuMxrakam // ŚivS-_1,24.63cd/
   saptakoṭi mahāmaṃtrāḥ pañcākṣarapurassarāḥ // ŚivP_1,24.64ab/	sapta-kowi mahA-maMtrAH paQcAkzara-purassarAH // ŚivS-_1,24.64ab/
   tathānye koṭiśo maṃtrāḥ śaivakaivalyahetavaḥ // ŚivP_1,24.64cd/	taTA-anye kowiSas maMtrAH SEva-kEvalya-hetavaH // ŚivS-_1,24.64cd/
   anye maṃtrāśca devānāṃ sarvasaukhyakarāmune // ŚivP_1,24.65ab/	anye maMtrAH-ca devAnAm sarva-sOKya-kara-amune // ŚivS-_1,24.65ab/
   te sarve tasya vaśyāḥ syuryo bibharti tripuṃḍrakam // ŚivP_1,24.65cd/	te sarve tasya vaSyAH syuH-yaH biBarti tripuMxrakam // ŚivS-_1,24.65cd/
   sahasraṃ pūrvajātānāṃ sahasraṃ janayiṣyatām // ŚivP_1,24.66ab/	sahasram pUrva-jAtAnAm sahasram janayizyatAm // ŚivS-_1,24.66ab/
   svavaṃśajānāṃ jñātīnāmuddharedyastripuṇḍrakṛt // ŚivP_1,24.66cd/	sva-vaMSa-jAnAm jQAtInAm-udDaret-yaH-tripuNxra-kRt // Śivj-_1,24.66cd/
   iha bhuktvākhilānbhogāndīrghāyurvyādhivarjitaḥ // ŚivP_1,24.67ab/	iha BuktvA-aKilAn-BogAn-dIrGa-AyuH-vyADi-varjitaH // ŚivS-_1,24.67ab/
   jīvitāṃte ca maraṇaṃ sukhenaiva prapadyate // ŚivP_1,24.67cd/	jIvita-aMte ca maraNam suKena-eva prapadyate // ŚivS-_1,24.67cd/
   aṣṭaiśvaryaguṇopetaṃprāpyadivyavapuḥ śivam // ŚivP_1,24.68ab/	azwa-ESvarya-guNa-upetaMprApya-divya-vapuH Sivam // ŚivS-_1,24.68ab/
   divyaṃvimānamāruhyadivyatridaśasevitam // ŚivP_1,24.68cd/	divyaMvimAnam-Aruhya-divya-tridaSa-sevitam // Śivj-_1,24.68cd/
   vidyādharāṇāṃsarveṣāṃgaṃdharvāṇāṃmahaujasām // ŚivP_1,24.69ab/	vidyADarANAMsarvezAMgaMDarvANAMmahA-ojasAm // ŚivS-_1,24.69ab/
   iṃdrādilokapālānāṃlokeṣucayathākramam // ŚivP_1,24.69cd/	iMdra-Adi-lokapAlAnAMloka-izu-cayaTAkramam // ŚivS-_1,24.69cd/
   bhuktvā bhogānsuvipulānprajeśānāṃ padeṣu ca // ŚivP_1,24.70ab/	BuktvA BogAn-su-vipulAn-prajA-ISAnAm padezu ca // ŚivS-_1,24.70ab/
   brahmaṇaḥ padamāsādyatatrakanyāśataṃlamet // ŚivP_1,24.70cd/	brahmaNaH padam-AsAdya-tatra-kanyA-SataMlamet // Śivj-_1,24.70cd/
   tatra brahmāyuṣomānaṃbhuktvābhogānanekaśaḥ // ŚivP_1,24.71ab/	tatra brahma-AyuzaH-mAn-aMBuktvA-BogAn-anekaSas // ŚivS-_1,24.71ab/
   viṣṇorlokelabhedbhogaṃyāvadbrahmaśatātyayaḥ // ŚivP_1,24.71cd/	vizNoH-lokela-Bet-BogaMyAvat-brahma-Sata-atyayaH // Śivj-_1,24.71cd/
   śivalokaṃ tataḥ prāpya labdhveṣṭaṃ kāmamakṣayam // ŚivP_1,24.72ab/	Siva-lokam tatas prApya labDvA-izwam kAmam-akzayam // ŚivS-_1,24.72ab/
   śivasāyujyamāpnotisaṃśayonātrajāyate // ŚivP_1,24.72cd/	Siva-sAyujyam-Apnoti-saMSayaH-nAtra-jAyate // ŚivS-_1,24.72cd/
   sarvopaniṣadāṃsāraṃsamālokyamuhurmuhuḥ // ŚivP_1,24.73ab/	sarva-upanizadAMsa-AraMsam-Alokya-muhur-muhur // ŚivS-_1,24.73ab/
   idameva hi nirṇītaṃ paraṃ śreyastripuṃḍrakam // ŚivP_1,24.73cd/	idam-eva hi nirNItam param SreyaH-tripuMxrakam // ŚivS-_1,24.73cd/
   vibhūtiṃniṃdateyovaibrāhmaṇaḥ sonyajātakaḥ // ŚivP_1,24.74ab/	viBUtiMniMdateyaH-vEbrAhmaNaH sonya-jAtakaH // ŚivS-_1,24.74ab/
   yāticanarakeghoreyāvadbrahmā caturmukhaḥ // ŚivP_1,24.74cd/	yA-ati-canarakeGoreyAvat-brahmA caturmuKaH // Śivj-_1,24.74cd/
   śrāddheyajñejapehomevaiśvadevesurārcane // ŚivP_1,24.75ab/	SrAdDeya-jQejapa-ihomA-iva-ESvadevesura-arcane // ŚivS-_1,24.75ab/
   dhṛtatripuṃḍraḥpūtātmāmṛtyuṃjayatimānavaḥ // ŚivP_1,24.75cd/	DRta-tripuMxraH-pUta-Atma-amRtyuMjayati-mAnavaH // ŚivS-_1,24.75cd/
   jalasnānaṃ malatyāgebhasmasnānaṃsadāśuci // ŚivP_1,24.76ab/	jala-snAnam mala-tyAgeBasmasnAnaMsada-aSuci // ŚivS-_1,24.76ab/
   maṃtrasnānaṃharetpāpaṃjñānasnāneparaṃpadam // ŚivP_1,24.76cd/	maMtrasnAnaMharet-pApaMjQAna-snAneparaMpadam // Śivj-_1,24.76cd/
   sarvatīrtheṣuyatpuṇyaṃsarvatīrtheṣuyatphalam // ŚivP_1,24.77ab/	sarva-tIrTezuyat-puNyaMsarva-tIrTezuyat-Palam // ŚivS-_1,24.77ab/
   tatphalaṃsamavāpnotibhasmasnānakaronaraḥ // ŚivP_1,24.77cd/	tad-PalaMsam-avApnoti-Basma-snAna-karonaraH // ŚivS-_1,24.77cd/
   bhasmasnānaṃ paraṃ tīrthaṃgaṃgāsnānaṃdinedine // ŚivP_1,24.78ab/	Basma-snAnam param tIrTaMgaMgAsnA-naMdinedine // ŚivS-_1,24.78ab/
   bhasmarūpīśivaḥsākṣādbhasma trailokyapāvanam // ŚivP_1,24.78cd/	Basma-rUpI-SivaH-sAkzAt-Basma trElokya-pAvanam // Śivj-_1,24.78cd/
   natadūnaṃnataddhyānaṃnataddānaṃjaponasaḥ // ŚivP_1,24.79ab/	nata-dUnaMna-tat-DyAnaMna-taddAnaMjaponasaH // ŚivS-_1,24.79ab/
   tripuṃḍreṇavināyena vipreṇa yadanuṣṭhitam // ŚivP_1,24.79cd/	tripuMxreNa-vinAyena vipreNa yat-anuzWitam // Śivj-_1,24.79cd/
   vānaprasthasyakanyānāṃdīkṣāhīnanṛṇāṃ tathā // ŚivP_1,24.80ab/	vAnaprasTasya-kanyAnAMdIkzA-hIna-nRNAm taTA // ŚivS-_1,24.80ab/
   madhyāhnātprāgjalairyuktaṃparatojalavarjitam // ŚivP_1,24.80cd/	maDyAhnAt-prAc-jalEH-yuktaMparatojala-varjitam // Śivj-_1,24.80cd/
   evaṃ tripuṃḍraṃ yaḥ kuryānnityaṃniyatamānasaḥ // ŚivP_1,24.81ab/	evam tripuMxram yaH kuryAt-nityaMniyata-mAnasaH // ŚivS-_1,24.81ab/
   śivabhaktaḥ savijñeyo bhuktimuktiṃ ca viṃdati // ŚivP_1,24.81cd/	Siva-BaktaH sa-vijQeyaH Bukti-muktim ca viMdati // Śivj-_1,24.81cd/
   yasyāṃgenaivarudrākṣa ekopibahupuṇyadaḥ // ŚivP_1,24.82ab/	yasya-aMgena-eva-rudrAkzaH eka-upibahu-puNya-daH // ŚivS-_1,24.82ab/
   tasyajanmanirarthaṃsyāttripuṃḍrarahito yadi // ŚivP_1,24.82cd/	tasya-janma-nirarTaMsyAt-tri-puMxra-rahitaH yadi // Śivj-_1,24.82cd/
   evaṃtripuṃḍramāhātmyaṃsamāsātkathitaṃmayā // ŚivP_1,24.83ab/	evaMtri-puMxra-mAhAtmi-aMsa-mAsAt-kaTitaMmayA // ŚivS-_1,24.83ab/
   rahasyaṃsarvajaṃtūnāṃ gopanīyamidaṃ tvayā // ŚivP_1,24.83cd/	rahasi-aMsarva-jaMtUnAm gopanIyam-idam tvayA // Śivj-_1,24.83cd/
   tisrorekhābhavaṃtyevasthāneṣumunipuṃgavāḥ // ŚivP_1,24.84ab/	tisraH-reKA-BavaMti-eva-sTAna-izu-muni-puMgavAH // ŚivS-_1,24.84ab/
   lalāṭādiṣusarveṣuyathokteṣubudhairmune // ŚivP_1,24.84cd/	lalAwa-At-izu-sarva-izu-yaTA-ukta-izu-buDEH-mune // ŚivS-_1,24.84cd/
