   (Vajraṭ_95)	(Vajraj-_95)
   yadi na te sattvāḥ syustadā kathaṃ bhagavatā 'bhaviṣyantyanāgate 'dhvani	yadi na te sattvAH syuH-tadA kaTam BagavatA aBavizyanti-anAgate aDvani
   śīlavanto guṇavantaśca te'; ityādyuktamityevaṃ parivitarkaṃ vicāryaṃ	SIlavantaH guNavantaH-ca te-a; ityAdi-uktam-iti-evam parivitarkam vicAryam
   tatkasya hetoḥ? ityapṛcchat | asattvāste bhāṣitāḥ iti paramārthato 'sattvā	tat-kasya hetoH? iti-apRcCat | asattvAH-te BAzitAH iti paramArTataH asattvA
   eva, saṃvṛtisatskandhasadbhāvamāśritya bhāṣitāste | saṃvṛtau sattvāt	eva, saMvRti-sat-skanDa-sadBAvam-ASritya BAzitAH-te | saMvRtO sattvAt-
   tenocyante sattvā iti | anyathā saṃvṛtāvapyasattve na (te) bhāṣitāḥ	tena-ucyante sattvAH iti | anyaTA saMvRtO=-api-asattve na (te) BAzitAH
   syurityanena cittapragraho darśitaḥ | sarveṇa tāvadanena gāmbhīryamuktam |	syuH-iti-anena citta-pragrahaH darSitaH | sarveNa tAvat-anena gAmBIryam-uktam |
   sarvasattvebhyo bhagavatāpratihatasmṛtyupasthānadeśanāt tāvadaudāryaṃ	sarva-sattveByaH BagavatA-apratihata-smRti-upasTAna-deSanAt tAvat-OdAryam
   nirdiṣṭam |	nirdizwam |
   2. abhisambodhiḥ	2. aBisamboDiH
   yadi na syād bhagavataḥ kācidapi dharmadeśanā, tadā na syāt (saḥ)	yadi na syAt BagavataH kAcid-api Darma-deSanA, tadA na syAt (saH)
   samyaksambuddho 'pi tatastathāgatābhisambodhisiddhaye vyarthaḥ syād	samyaksambudDaH api tatas-taTAgata-aBisamboDi-sidDaye vyarTaH syAt-
   bodhisattvānāṃ yatnaḥ | yato 'bhisambuddhadharmā iṣyante, ato deśanāpi	boDisattvAnAm yatnaH | yatas aBisambudDa-DarmAH izyante, atas deSanA-api
   bhavatīti manvānebhyaḥ (Vajraṭ_202) tebhyo 'bhisambodhim adhikṛtya tatkiṃ	Bavati-iti manvAneByaH (Vajraj-_202) teByaH aBisamboDim aDikRtya tat-kim
   manyase subhūte ityādyāha | āryasubhūtiḥ pūrvābhiprāyaṃ gṛhītvā nāsti saḥ	manyase suBUte iti-Adi-Aha | Arya-suBUtiH pUrva-aBiprAyam gRhItvA na-asti saH
   ityudatarat | tadevaṃ manyate- paramārthābhiprāyeṇa bhagavatā dharmadeśanā	iti-udatarat | tat-evam manyate parama-arTa-aBiprAyeNa BagavatA Darma-deSanA
   pratiṣiddheti | yathā paramārthataḥ kasyāścidapi dharmadeśanāyā abhāvaḥ	pratizidDA-iti | yaTA paramArTataH kasyAScid-api Darma-deSanAyAH aBAvaH
   (tathā) abhisambuddhasyāpyabhāvaḥ, etat pūrvaṃ nirdiṣṭam |	(taTA) aBisambudDasya-api-aBAvaH, etat pUrvam nirdizwam |
   saṃvṛtitaḥ bhagavato dharmadeśanā, sambodhiḥ, taddhetupratipattiścāpi	saMvRtitaH BagavataH Darma-deSanA, samboDiH, tad-hetu-pratipattiH-ca-api
   vidyanta eva, tasmād	vidyante eva, tasmAt-
   bodhisattvenānuttarasamyaksambodhestathyasaṃvṛtisvabhāvāyāḥ sādhanārthaṃ	boDisattvena-anuttara-samyaksamboDeH-taTya-saMvRti-svaBAvAyAH sADana-arTam
   yatnaḥ karaṇīyaḥ | anena bodhisattvena kathaṃ sthātavyamiti darśitam |	yatnaH karaNIyaH | anena boDisattvena kaTam sTAtavyam-iti darSitam |
   pūrvamavavādaparyeṣaṇakāle bodhisattvānā 'abhisambodhi paramārthaḥ'; iti	pUrvam-avavAda-paryezaNa-kAle boDisattvAnAH aaBisamboDi paramArTaH-a; iti
   yo vikalpaḥ, sa apanoditaḥ, idānīṃ buddhabhūmiparyeṣaṇakāle pareṣāṃ	yaH vikalpaH, sa apanoditaH, idAnIm budDa-BUmi-paryezaNa-kAle parezAm
   tādṛgvikalpanirākaraṇānna bhavati punaruktidoṣaḥ |	tAdRS-vikalpa-nirAkaraNAt-na Bavati punarukti-dozaH |
   bhagavatā anuttarā samyaksambodhistathyasaṃvṛtau vyavasthāpitā, sā	BagavatA anuttarA samyaksamboDiH-taTya-saMvRtO vyavasTApitA, sA
   kīdṛśīti atra aṇurapi ityādyāha | yatra jñānaṃ pracarati (tatra) bhagavatā	kIdRSI-iti atra aNuH-api iti-Adi-Aha | yatra jQAnam pracarati (tatra) BagavatA
   grāhyasvarūpasya svalakṣaṇasya sūkṣmo 'pi dharmasvabhāvo nopalabdhaḥ, sa	grAhya-svarUpasya sva-lakzaNasya sUkzmaH api Darma-svaBAvaH na-upalabDaH, sa
   tāvat samastadharmanairātmyāvabodhasvarūpā anuttarā sampaksambodhiḥ |	tAvat samasta-Darma-nErAtmya-avaboDa-svarUpA anuttarA sampaksamboDiH |
   tairthika-śaikṣāśaikṣajñānācchreṣṭhatvena 'anuttarā | sarvabhāvānāṃ	tErTika--SEkzA-SEkza-jQAnAt-SrezWa-tvena aanuttarA | sarva-BAvAnAm
   tathatāyā yathāvadadhigamasvabhāvatvena ucyate samyaksambodhirityarthaḥ |	taTatAyAH yaTAvat-aDigama-svaBAva-tvena ucyate samyaksamboDiH-iti-arTaH |
   tatra sarvadharmāṇāmanupalabdhiheto "na" ityuktam | yato hyasattvaṃ tato	tatra sarva-DarmANAm-anupalabDi-hetaH "na" iti-uktam | yatas hi-asattvam tatas-
   'nupalambhaḥ | vidyamānatve nānupalabdhiḥ, satsu sarvadharmeṣu	anupalamBaH | vidyamAna-tve na-anupalabDiH, satsu sarva-Darmezu
   tathāgatasya ālambanajñānasyaiva jñāpakatvāt | anena	taTAgatasya Alambana-jQAnasya-eva jQApaka-tvAt | anena
   dharmanairātmyāvabodhasvabhāvo nirdiṣṭaḥ |	Darma-nErAtmya-avaboDa-svaBAvaH nirdizwaH |
   (Vajraṭ_203)	(Vajraj-_203)
   sāmprataṃ pudgalanairātmyāvabodhasvabhāvaṃ pratipādayituṃ api tu khalu	sAmpratam pudgala-nErAtmya-avaboDa-svaBAvam pratipAdayitum api tu Kalu
   punaḥ sūbhūte ityādyāha | samāḥ sa dharmaḥ iti tadavabodhiteṣu	punar sUBUte iti-Adi-Aha | samAH sa DarmaH iti tad-avaboDitezu
   sarvadharmeṣu pudgalanairātmyasāmyāt | na tatra kiñcidviṣamam iti sarvatra	sarva-Darmezu pudgala-nErAtmya-sAmyAt | na tatra kiQcid-vizamam iti sarvatra
   tadaviparyayāt, ātmagrāhahetorbhāvābhiniveśasya prahīṇatvāt | bhagavatā	tad-aviparyayAt, Atma-grAha-hetoH-BAva-aBiniveSasya prahINa-tvAt | BagavatA
   tāvadātmagrāhaḥ savāsanaḥ prahīṇaḥ | tena saiva	tAvat-Atma-grAhaH sa-vAsanaH prahINaH | tena sA-eva
   pudgalanairātmyajñānasvabhāvā sambodhiḥ, anuttarā	pudgala-nErAtmya-jQAna-svaBAvA samboDiH, anuttarA
   samyaksambodhirityucyate, nānyā | kena rūpeṇa samaḥ sa dharma ityatra	samyaksamboDiH-iti-ucyate, na-anyA | kena rUpeNa samaH sa DarmaH iti-atra
   niḥsattvatvena ityādyāha | anena sarveṇa kathaṃ yogasamāpattyā	niHsattva-tvena iti-Adi-Aha | anena sarveNa kaTam yoga-samApattyA
   pratipattavyamiti tannirdiṣṭam | sā kathamabhisambuddhyata ityāha	pratipattavyam-iti tat-nirdizwam | sA kaTam-aBisambudDi-ate iti-Aha
   kuśalairdharmaiḥ iti | sā puṇyajñānasambhārātmakaiḥ	kuSalEH-DarmEH iti | sA puNya-jQAna-samBAra-AtmakEH
   kuśalairdharmairabhisambuddhyata ityarthaḥ |	kuSalEH-DarmEH-aBisambudDi-ate iti-arTaH |
   yadyasattvād aṇurapi dharmo nopalabhyeta, kathaṃ nāma bhaveyuḥ kuśalā	yadi-asattvAt aNuH-api DarmaH na-upalaByeta, kaTam nAma BaveyuH kuSalA
   dharmāḥ? yatastairabhisambuddhyate 'taḥ kuśalā dharmāḥ ityādyāha |	DarmAH? yatas-tEH-aBisambudDyate atas kuSalAH DarmAH ityAdi-Aha |
   paramārthāstu ardhamā eva | saṃvṛtau sattvāt kuśalā dharmāḥ ityuktam |	parama-arTAH-tu arDamAH eva | saMvRtO sattvAt kuSalAH DarmAH iti-uktam |
   tasmāt kuśalerdharmairabhisambudhyata ityatra nāsti doṣaḥ | anena	tasmAt kuSaleH-DarmEH-aBisambuDyate iti-atra na-asti dozaH | anena
   adhyāropāpavādāntagrāhavikṣepanirākaraṇena cittapragraho nirdiṣṭaḥ | etaiḥ	aDyAra-upa-apavAda-anta-grAha-vikzepa-nirAkaraNena citta-pragrahaH nirdizwaH | etEH
   sarvaḥ sthānaiḥ gāmbhīryamapi sandarśitam |	sarvaH sTAnEH gAmBIryam-api sandarSitam |
   aśeṣapudgaladharmanairātmyāvabodharūpasya samyaksambodhisvabhāvasya	aSeza-pudgala-Darma-nErAtmya-avaboDa-rUpasya samyaksamboDi-svaBAvasya
   paridīpanena audāryamapi darśitam |	paridIpanena OdAryam-api darSitam |
   3. mahādharmārthaprajñaptiḥ	3. mahA-Darma-arTa-prajQaptiH
   bhagavataḥ sā samyaksambodhiḥ kathaṃ veditvayā? iti vicāryamāṇe	BagavataH sA samyaksamboDiH kaTam vedi-tvayA? iti vicAryamANe
   mahārthadharmatayā prajñāpitatvena tatsattāṃ darśayituṃ yaśca khalu punaḥ	mahA-arTa-Darma-tayA prajQApita-tvena tad-sattAm darSayitum yaH-ca Kalu punar-
   subhūte (Vajraṭ_204) ityādyāha | sumeravaḥ parvatarājānaḥ ityupalakṣaṇam |	suBUte (Vajraj-_204) iti-Adi-Aha | sumeravaH parvata-rAjAnaH iti-upalakzaNam |
   anantalokadhātūn ratnaiḥ paripūrya dānena yat puṇyaṃ tadapi upamāṃ naiva	ananta-loka-DAtUn ratnEH paripUrya dAnena yat puNyam tat-api upamAm na-eva
   kṣamate | itaḥ prajñāpāramitāyāḥ ityupalakṣaṇamātraparidīpanena sakalo	kzamate | itas prajQApAramitAyAH iti-upalakzaNa-mAtra-paridIpanena sakalaH-
   mahāyānadharmaḥ parilakṣito bhavati | yāvad iti vacanena sahasratamī kalā-	mahAyAna-DarmaH parilakzitaH Bavati | yAvat iti vacanena sahasratamI kalA-
   'śatasahasratamī kalā .......... upamā-aupamyamityetāni'; saṃgṛhyante |	aSata-sahasratamI kalA .......... upamA--Opamyam-iti-etAni-a; saMgRhyante |
   evaṃ mahārthadharmaprajñapanena hetunā bhagavataścittasampadaḥ	evam mahA-arTa-Darma-prajQapanena hetunA BagavataH-citta-sampadaH
   samyaksaṃbodheḥ ānuttaryamavagamyate, tathāvidhasamyaksaṃbodhim antarā	samyaksaMboDeH Anuttaryam-avagamyate, taTAviDa-samyaksaMboDim antarA
   tathāvidhadharmadeśanāyā aśakyatvāt |	taTAviDa-Darma-deSanAyAH aSakya-tvAt |
   tasmādetādṛkcittasampatsampādane chanda-praṇidhānābhyāṃ sthātavyam |	tasmAt-etAdRS-citta-sampad-sampAdane Canda--praNiDAnAByAm sTAtavyam |
   sakalenānena kathaṃ sthātavyaṃ bodhisattveneti nirdiśyate,	sakalena-anena kaTam sTAtavyam boDisattvena-iti nirdiSyate,
   anenaivaudāryamapyabhihitam | sā ca sambodhiḥ tathyasaṃvṛtisvabhāvā	anena-eva-OdAryam-api-aBihitam | sA ca samboDiH taTya-saMvRti-svaBAvA
   draṣṭavyā, na tu paramārthataḥ, prāgevoktatvāt, sākṣādanuktamapi	drazwavyA, na tu paramArTataH, prAk-eva-ukta-tvAt, sAkzAt-anuktam-api
   sāmarthyataḥ yogasamāpattiḥ, cittapragrahaḥ gāmbhīryaṃ ca nirdiṣṭam |	sAmarTyataH yoga-samApattiH, citta-pragrahaH gAmBIryam ca nirdizwam |
   4. mahāvavādārthaprajñapti :	4. mahAvavAda-arTa-prajQapti :
   bhagavato lokottarajñānāvasthāyāṃ sattvasaṃjñā sarvathā na pravartate,	BagavataH loka-uttara-jQAna-avasTAyAm sattva-saMjQA sarvaTA na pravartate,
   atyantasamāhitatvāt, ado nāścaryam | sattvebhyo vimuktayupadeśakāle	atyanta-samAhita-tva-at, adaH na-AScaryam | sattveByaH vimuktayupadeSa-kAle
   'samāhitāvasthāyāṃ viśuddhalaukikajñānāvasthāyāmapi sattvādisaṃjñā na	asamAhita-avasTAyAm viSudDa-lOkika-jQAna-avasTAyAm-api sattva-Adi-saMjQA na
   pravartata iti tannirdiśya avavādamahārthatvena prajñaptihetunā bhagavato	pravartate iti tat-nirdiSya avavAda-mahArTa-tvena prajQapti-hetunA BagavataH-
   'nuttaracittasampadaṃ (Vajraṭ_205) pratipatsyamānāṃ darśayituṃ	anuttara-citta-sampadam (Vajraj-_205) pratipatsyamAnAm darSayitum
   mahārthāvavādamadhikṛtya tatkiṃ manyase subhūte ityādyāha |	mahA-arTO=-avAdam-aDikRtya tat-kim manyase suBUte iti-Adi-Aha |
   praśnasyottaramapratīkṣamāṇaḥ sapadi svataḥ na khalu punaḥ subhūte, evaṃ	praSnasya-uttaram-apratIkzamANaH sapadi svatas na Kalu punar suBUte, evam
   draṣṭavyam ityādyāha | tasmād bhagavataścittasampadastādṛśe	drazwavyam iti-Adi-Aha | tasmAt BagavataH-citta-sampadaH-tAdRSe
   mahārthāvavādahetau bodhisattvena chandapraṇidhānābhyāṃ sthātavyamiti	mahA-arTO=-avAda-hetO boDisattvena Canda-praNiDAnAByAm sTAtavyam-iti
   nirdiṣṭam |	nirdizwam |
   kiṃ sattvānāṃ sattve 'pi saṃkleśahetubhūtatayā tathā nābhipreyate	kim sattvAnAm sattve api saMkleSa-hetu-BUta-tayA taTA na-aBipreyate
   tathāgatena? āhosvit sattvābhāvāditi cintayatāmāśayaṃ vijñāya tatkasya	taTAgatena? Ahosvit sattva-aBAvAt-iti cintayatAm-ASayam vijQAya tat-kasya
   hetoḥ? iti papraccha | skandhātmakasya pudgalātmakasya ca kasyacit	hetoH? iti papracCa | skanDa-Atmakasya pudgala-Atmakasya ca kasyacid-
   sattvasya paramārthato 'bhāvād evaṃ nopalabhyata iti darśayitumāha- nāstiṃ	sattvasya paramArTataH aBAvAt evam na-upalaByate iti darSayitum-Aha na-astim
   kaścit sattvo yastathāgatena parimocittaḥ iti | anena bodhisattvaiḥ	kaScid sattvaH yaH-taTAgatena parimocittaH iti | anena boDisattvEH
   kathamatra yogasamāpattyā pratipattavyamiti tannirdiṣṭam |	kaTam-atra yoga-samApattyA pratipattavyam-iti tat-nirdizwam |
   abhāvaḥ kathaṃ jñātavya ityatra yadi punaḥ subhūte ityādyāha |	aBAvaH kaTam jQAtavyaH iti-atra yadi punar suBUte iti-Adi-Aha |
   ayamatrābhiprāyaḥ yathājñeyaṃ tathāgatasya jñānaṃ pravartate, anyathā	ayam-atra-aBiprAyaH yaTA-AjQeyam taTAgatasya jQAnam pravartate, anyaTA
   aprahīṇāvaraṇatvena kathaṃ syāt tathāgatatvam | tasmād yadi sattvaḥ syāt	aprahINa-AvaraNa-tvena kaTam syAt taTAgata-tvam | tasmAt yadi sattvaH syAt-
   tadā sandṛśyeta sa tathāgatena, ātmanaḥ pratyakṣopalabdhatayā	tadA sandRSyeta sa taTAgatena, AtmanaH pratyakza-upalabDa-tayA
   viciakitsābhāvāt | sa eva tāvattasya pragāḍhaḥ ātmagrāhaḥ syāt | tataśca	viciakitsA-BAvAt | saH eva tAvat-tasya pragAXaH Atma-grAhaH syAt | tatas-ca
   ātmagrāhahetutaḥ samutpannaṃ nikhilakleśajālabandhanamapyatidṛḍhaṃ syāt	Atma-grAha-hetutaH samutpannam niKila-kleSa-jAla-banDanam-api-atidRXam syAt-
   tadā rāgādyatipragāḍhabaddhasya āvaraṇāprahāṇena bhagavataḥ	tadA rAga-Adi-ati-pragAXa-badDasya AvaraNa-aprahANena BagavataH
   tathāgatapadaprāptirna syāt | bhagavatā ca tatpadaṃ prāptam, ataḥ	taTAgata-pada-prAptiH-na syAt | BagavatA ca tat-padam prAptam, atas-
   prahīṇasakalāvaraṇaḥ saḥ | prahīṇāvaraṇayā aśeṣa ātmagrāhaśikharī	prahINa-sakala-AvaraNaH saH | prahINa-AvaraNayA aSezaH Atma-grAha-SiKarI
   viśīryate, tasmāt sattvābhāvo na jñāyate |	viSIryate, tasmAt sattva-aBAvaH na jQAyate |
   ātmanyasati kimātmadṛṣṭilakṣaṇa ātmagrāho na bhavati? kimarthaṃ bhagavatā	Atmani-asati kimAtma-dRzwi-lakzaNaH Atma-grAhaH na Bavati? kim-arTam BagavatA
   ātmādisaṃjñā nocyate? ityatra ātmagrāha iti subhūte ityādyāha | yadi	Atma-Adi-saMjQA na-ucyate? iti-atra Atma-grAhaH iti suBUte iti-Adi-Aha | yadi
   (bhagavatā) ātmādivastuna eva grahaṇaṃ syāttadā prahīṇāvaraṇasya tasya	(BagavatA) Atma-Adi-vastunaH eva grahaNam syAt-tadA prahINa-AvaraNasya tasya
   bhagavata (Vajraṭ_206) ātmagrāhaḥ samudbhavet, kasyāpyātmagrāhasyābhāvāt	BagavataH (Vajraj-_206) Atma-grAhaH samudBavet, kasya-api-Atma-grAhasya-aBAvAt-
   agrāha eṣa tathāgatena bhāṣitaḥ |	agrAhaH eza taTAgatena BAzitaH |
   atha kīdṛśa ātmagrāha iti? sa ca ityādyāha | śravaṇādivirahād	aTa kIdRSaH Atma-grAhaH iti? sa ca iti-Adi-Aha | SravaNa-Adi-virahAt-
   heyopādeyayoranabhijñatvād bālāḥ, prekṣāvattvaviyogād āaryebhyaḥ	heya-upAdeyayoH-anaBijQa-tvAt bAlAH, prekzAvat-tva-viyogAt AaryeByaH
   pṛthaktvācca pṛthagjanāḥ | pṛthagjanā api kecit sacchāstraṃ śrutvā	pRTaktvAt-ca pRTagjanAH | pRTagjanAH api kecid sat-SAstram SrutvA
   yoniśomanaskārasthitāḥ dharmanairātmyādhimuktāḥ satyamabhiniviśante,	yoni-Soma-naskAra-sTitAH Darma-nErAtmya-aDimuktAH satyam-aBiniviSante,
   tadanātmagrāhavyavacchedato bālā ityāha | bālamātrakathanāt	tad-anAtma-grAha-vyavacCedataH bAlAH iti-Aha | bAla-mAtra-kaTanAt-
   skandhādyabhijñā api tādṛśāḥ pṛthagjanā anupajātāryamārgatayā bālā eva |	skanDa-Adi-aBijQAH api tAdRSAH pRTagjanAH anupajAta-Arya-mArga-tayA bAlAH eva |
   bālānāṃ vaiśiṣṭayamabhidhātuṃ vyāvṛtte 'pyātmagrāhe bālatvena	bAlAnAm vESizwayam-aBiDAtum vyAvRtte api-Atma-grAhe bAla-tvena
   teṣvātmagrāha ityavabhāsate, tasmāttadāśayavaśād ātmagrāha ityevaṃ	tezu-Atma-grAhaH iti-avaBAsate, tasmAt-tad-ASaya-vaSAt Atma-grAhaH iti-evam
   nirdiṣṭam |	nirdizwam |
   na tanmātreṇa satyam, atiprasaṅgāt | anātmaśabdaprayogeṇāpi kathaṃ	na tanmAtreNa satyam, atiprasaFgAt | anAtma-Sabda-prayogeNa-api kaTam
   nātmādīnāṃ satyagrahaṇam, yadyātmā na syāttadā ke tāvat pṛthagjanā	na-Atma-AdInAm satya-grahaNam, yadi-AtmA na syAt-tadA ke tAvat pRTagjanA
   abhidhīyeran? iti vicintya bālapṛthagjanāḥ ityādyuktam | paramārthatastu	aBiDIyeran? iti vicintya bAla-pRTagjanAH ityAdi-uktam | paramArTataH-tu
   ajanā eva, saṃvṛtimāśrityoktatvānna doṣaḥ | ebhiḥ	ajanAH eva, saMvRtim-ASritya-ukta-tvAt-na dozaH | eBiH
   sarvairadhyāropāpavādāntanirākaraṇena cittapragṛhīttatvaṃ darśitam | anena	sarvEH-aDyAra-upa-apavAda-anta-nirAkaraNena citta-pragRhIt-ta-tvam darSitam | anena
   sarveṇa tāvat sākṣād gāmbhīryaṃ proktam | aśeṣasattvadhātubhyo	sarveNa tAvat sAkzAt gAmBIryam proktam | aSeza-sattva-DAtuByaH-
   mahārthāvavadaprajñapterhetutvadarśanena cittasampada ādauryamapi	mahArTa-a=-avada-prajQapteH-hetu-tva-darSanena citta-sampadaH AdOryam-api
   nirdiṣṭam |	nirdizwam |
   5. dharmakāyaparigrahaṇam :	5. Darma-kAya-parigrahaNam :
   yadi bālapṛthagjanāḥ na syuḥ, kathaṃ tathāgatasya	yadi bAla-pRTagjanAH na syuH, kaTam taTAgatasya
   lakṣaṇānuvyañjanairalaṅkṛtāḥ kāyasampadaḥ sambhaveyuḥ? pṛthagjanāḥ	lakzaNa-anuvyaQjanEH-alaFkRtAH kAya-sampadaH samBaveyuH? pRTagjanAH
   svakaruṇāmūlakabodhicittamutpādya pāramitāsu prayatante (tataśca)	sva-karuNA-mUlaka-boDi-cittam-utpAdya pAramitAsu prayatante (tatas-ca)
   lakṣaṇādibhīralaṅkṛtāstathāgatakāyasampattivanto bhavanti, tadabhāve	lakzaNa-Adi-BIH-alaFkRtAH-taTAgata-kAya-sampattivantaH Bavanti, tad-aBAve
   mūlabhāvāt kathaṃ bhaveyuḥ tādṛyastathāgatakāyasampada iti? ye pāriṣadyāḥ	mUla-BAvAt kaTam BaveyuH tAdRyaH-taTAgata-kAya-sampadaH iti? ye pArizadyAH
   (Vajraṭ_207) kṛtānalpavikalpāḥ rūpādiṣu bhāvābhiniveśenaivaṃ cintayanti,	(Vajraj-_207) kRta-analpa-vikalpAH rUpa-Adizu BAva-aBiniveSena-evam cintayanti,
   tebhyo dharmakāyaparigrahamadhikṛtya tatkiṃ manyase subhūte ityādyāha |	teByaH Darma-kAya-parigraham-aDikRtya tat-kim manyase suBUte iti-Adi-Aha |
   pūrvaṃ dharmakāyatayā na vyavasthāpitam, idānīṃ dharmakāyaṃ	pUrvam Darma-kAya-tayA na vyavasTApitam, idAnIm Darma-kAyam
   vyavasthāpayitumuktatvānna punaruktidoṣaḥ |	vyavasTApayitumukta-tvAt-na punarukti-dozaH |
   lakṣaṇasampadā tāvat paramārthavicāraṇāyāmavayavinaḥ paramāṇusaṃghātasya	lakzaNa-sampadA tAvat parama-arTa-vicAraNAyAm-avayavinaH paramANu-saMGAtasya
   vā svabhāvenānupapattiṃ viditvā pūrvakamevābhiprāyaṃ gṛhṇan subhūtirāha no	vA svaBAvena-anupapattim viditvA pUrvakam-eva-aBiprAyam gRhNan suBUtiH-Aha no
   hīdam | evameva upapattyantaraṃ bhagavatā sacet punaḥ subhūte ityādinoktam	hi-idam | evam-eva upapatti-antaram BagavatA saced punar suBUte ityAdinA-uktam
   yadi tathāgato lakṣaṇasampanmātreṇa prabhāvitaḥ syāt tadā vakṣyamāṇahetunā	yadi taTAgataH lakzaNa-sampad-mAtreNa praBAvitaH syAt tadA vakzyamANa-hetunA
   tulyatvād rājāpi cakravartī kathaṃ na bhavet tathāgataḥ? nanu	tulya-tvAt rAjA-api cakravartI kaTam na Bavet taTAgataH? nanu
   sthānasthottaptapūrṇatvena viśiṣṭā bhagavato lakṣaṇasampad, na tu	sTAna-sTa-uttapta-pUrNa-tvena viSizwAH BagavataH lakzaNa-sampad, na tu
   cakravartinaḥ, tataḥ sa nocyate tathāgata ityapi na yujyate,	cakravartinaH, tatas sa na-ucyate taTAgataH iti-api na yujyate,
   sthānasthādiviśeṣasyāpi jaḍasvabhāvatve nāsti kaścid viśeṣaḥ | tena yadi	sTAna-sTa-Adi-viSezasya-api jaxa-svaBAva-tve na-asti kaScid viSezaH | tena yadi
   tathāgato jaḍasvabhāvairlakṣaṇādidharmaiḥ prabhāvito 'bhaviṣyat tadā	taTAgataH jaxa-svaBAvEH-lakzaNa-Adi-DarmEH praBAvitaH aBavizyat tadA
   cakravartī api tathāgato 'bhaviṣyat iti cet? na, tasmāttathāgastāvad	cakravartI api taTAgataH aBavizyat iti cet? na, tasmAt-taTAgaH-tAvat-
   aśeṣavastusvabhāvasya yathāvadadhigamamātreṇa prabhāvita ityabhiprāyaḥ |	aSeza-vastu-svaBAvasya yaTAvat-aDigama-mAtreNa praBAvitaH iti-aBiprAyaH |
   anena tathāvidhaṃ jñānahetukaṃ tathāgatakāyaṃ prati bodhisattvena	anena taTAviDam jQAna-hetukam taTAgata-kAyam prati boDisattvena
   chandapraṇidhānābhyāṃ sthātavyamiti nirdiṣṭam |	Canda-praNiDAnAByAm sTAtavyam-iti nirdizwam |
   adhunā paramārthatastattathāgatajñāne 'pi nābhiniveṣṭavyamiti darśayituṃ	aDunA paramArTataH-tat-taTAgata-jQAne api na-aBinivezwavyam-iti darSayitum
   dharmakāyo (Vajraṭ_208) vyavasthāpyate | bodhisattvena kathaṃ	Darma-kAyaH (Vajraj-_208) vyavasTApyate | boDisattvena kaTam
   yogasamāpattyā pratipattavyamiti dvābhyāṃ gāthābhyāṃ pradarśyate |	yoga-samApattyA pratipattavyam-iti dvAByAm gATAByAm pradarSyate |
   tatra pūrvagāthayā kathaṃ tathāgato na draṣṭavyaḥ, kaiśca na dṛśyata	tatra pUrva-gATayA kaTam taTAgataH na drazwavyaH, kEH-ca na dRSyata
   etannirdiṣṭam | kathaṃ na draṣṭavya iti cet? darśanādivyavahāraprajñaptyā	etat-nirdizwam | kaTam na drazwavyaH iti cet? darSana-Adi-vyavahAra-prajQaptyA
   | ke na paśyantīti cet? mithyāprahāṇaprasṛtāḥ | rūpeṇa cādrākṣuḥ ityanena	| ke na paSyanti-iti cet? miTyA-prahANa-prasRtAH | rUpeNa ca-adrAkzuH iti-anena
   rūpe 'bhiniviṣṭāḥ pudgalāḥ pāramārthikalakṣaṇādibhiralaṅkṛtaṃ dharmarūpaṃ	rUpe aBinivizwAH pudgalAH pAramArTika-lakzaNa-AdiBiH-alaFkRtam Darma-rUpam
   pudgalarūpaṃ ca paśyantīti vyavahāraprajñaptirnidiṣṭā | ghoṣeṇa cānvayuḥ	pudgala-rUpam ca paSyanti-iti vyavahAra-prajQaptiH-nidizwA | GozeNa ca-anvayuH
   iti māṃ śabdena evameva sa tathāgata iti jñātavanta ityarthaḥ | anena	iti mAm Sabdena evam-eva sa taTAgataH iti jQAtavantaH iti-arTaH | anena
   śravaṇavyavahāraprajñāptirnidiṣṭā | upalakṣaṇamātramimau vyavahārau | tena	SravaNa-vyavahAra-prajQA-AptiH-nidizwA | upalakzaNa-mAtram-imO vyavahArO | tena
   viśeṣabhedo vijñānaṃ cāpi saṃgṛhītam |	viSeza-BedaH vijQAnam ca-api saMgRhItam |
   mithyāprahāṇaprasṛtāste janāḥ tāvad vitathāmārgasthitatvānna māṃ samyag	miTyA-prahANa-prasRtAH-te janAH tAvat vitaTA-mArga-sTita-tvAt-na mAm samyak-
