   śrīrāmajayam	SrI-rAma-jayam
   tanādi sūtre kṛñgrahaṇasya bhāṣye pratyākhyānācca/ cakṣiṅo	tana-Adi sUtre kRQgrahaNasya BAzye pratyAKyAnAt-ca/ cakziFo
   ṅakārasyānteditvābhāvasampādanena cāritārthyācca//	FakArasya-anteditva-aBAva-sampAdanena cAritArTyAt-ca//
   evameva --	evam-eva --
   ātideśikamanityam // Paribh_98 //	AtideSikam-anityam // PariB_98 //
   sarvavidhibhyo lopavidhiriḍvidhiśca balavān // Paribh_99 //	sarva-viDiByaH lopa-viDiH-ixviDiH-ca balavAn // PariB_99 //
   ityādi bhāṣyānuktaṃ bodhyam/ 'svāyamabhuvam' ityādi loke 'sādhveva,	ityAdi BAzya-anuktam boDyam/ asvAyam-aBuvam-a ityAdi loke asADu-eva,
   ityanyatra vistaraḥ//	iti-anyatra vistaraH//
   yadapi -- nanu hanterayaṅlukyāśīrliṅi vadhādeśo na syāt, ata āha --	yat-api - nanu hanteH-ayaFlukya-ASIrliFi vaDa-AdeSaH na syAt, atas Aha --
   prakṛtigrahaṇe yaṅlugantasyāpi grahaṇam // Paribh_100 //	prakRti-grahaNe yaFlugantasya-api grahaNam // PariB_100 //
   ṣāṣṭadvitvasya dviḥprayogasiddhāntena prayogadvayarūpe samudāye	zA-azwa-dvi-tvasya dvis-prayoga-sidDAntena prayoga-dvaya-rUpe samudAye
   prakṛtirūpatvabodhanenedaṃ nyāyasiddham/	prakRti-rUpa-tva-boDanena-idam nyAya-sidDam/
   ata eva juhudhītyadau dvitve kṛte dhitvasiddhiriti/ tadapi na, bhāṣye	atas eva juhuDi-iti-adO dvi-tve kRte Ditva-sidDiH-iti/ tat-api na, BAzye
   'darśanāt/ kiñca tena siddhantena pratyekaṃ dvayostatvabodhane 'pi	adarSana-at/ kiQca tena sidDantena pratyekam dvayoH-tatva-boDane api
   samudāyasya tatvabodhane mānābhāvaḥ/	samudAyasya tatu-aboDane mAna-aBAvaH/
   ata eva"dayaderdigi"iti sūtre 'steḥ paratvād dvitve kṛte	atas eva"daya-deH-digi"iti sUtre asteH paratvAt dvi-tve kRte
   parasyāsterbhūbhāve pūrvasya śravaṇaṃ prāpnotītyāśaṅkya	parasya-asteH-BU-BAve pUrvasya SravaNam prApnoti-iti-ASaFkya
   viṣayasapmyāśrayaṇena parihṛtaṃ bhāṣye/	vizaya-sapmya-ASrayaNena parihRtam BAzye/
   anyathā tvaduktarītyā 'ekājdvirvacana' nyāyena samudāyasyaivādeśāpattau	anyaTA tvad-ukta-rItyA aekAt-dviH-vacana-a nyAyena samudAyasya-eva-AdeSa-ApattO
   tadasaṅgatiḥ spaṣṭaiva/	tat-asaFgatiH spazwA-eva/
   tasmāduttarakhaṇḍamādāyaiva yathāyogaṃ tattatkāryapravṛttirbodhyā/	tasmAt-uttara-KaNxam-AdAya-eva yaTAyogam tad-tad-kArya-pravRttiH-boDyA/
   "bhūsuvoḥ"ityasya tadantāṅgasyetyarthāt prāptasya guṇaniṣedhasya	"BUsuvoH-"iti-asya tad-anta-aFgasya-iti-arTAt prAptasya guNa-nizeDasya
   bobhūtviti niyama iti na tadvirodhaḥ/ tasmāddhanteryaṅluki 'vadhyāt'	boBUtu-iti niyamaH iti na tad-viroDaH/ tasmAt-hanteH-yaFluki avaDyAt-a
   ityādi mādhavādyudāhṛtaṃ cintyamevetyanyatra vistaraḥ//	ityAdi mADava-Adi-udAhRtam cintyam-eva-iti-anyatra vistaraH//
   yadapi nanu"vṛddhiryasyācāmādiḥ"ityatrekparibhāṣopasthitau	yat-api nanu"vRdDiH-yasya-AcAma-AdiH"iti-atrek-pari-BAzA-upasTitO
   śālīyādyasiddhiḥ, ata āha --	SAlIya-Adya-sidDiH, atas Aha --
   vidhau paribhāṣopatiṣṭate nānuvāde // Paribh_101 //	viDO pariBAzA-upatizwate na-anuvAde // PariB_101 //
   anūdyamāna viśeṣaṇeṣu tanniyāmikā paribhāṣā nopatiṣṭata ati tadarthaḥ/	anUdyamAna viSezaNezu tad-niyAmikA pariBAzA na-upatizwate ati tad-arTaH/
   vidhyaṅgabhūtānāṃ paribhāṣāṇāṃ vidheyenāsiddhatayā sambandhāsambhave 'pi	viDi-aFga-BUtAnAm pariBAzANAm viDeyena-asidDa-tayA sambanDa-asamBave api
   tadviśeṣeṇavyavasthāpakatvena	tad-viSezeNa-vyavasTApaka-tvena
   caritārthānāṃ tadviśeṣeṇavyavasthāpakatve mānābhāva iti tarkamūleyam/	caritArTAnAm tad-viSezeNa-vyavasTApaka-tve mAna-aBAvaH iti tarka-mUlA-iyam/
   kiñca"udīcāmātaḥ sthāne"iti sūtre sthāne grahaṇamasyā liṅgam/	kiQca"udIcAmAtar sTAne"iti sUtre sTAne grahaNam-asyAH liFgam/
   anyathā"ṣaṣṭī sthāne"	anyaTA"zazwI sTAne"
   iti paribhāṣayaiva tallābhe tadvaiyarthyaṃ spaṣṭameveti, tat,	iti pariBAzaya-eva tad-lABe tad-vEyarTyam spazwam-eva-iti, tat,
   na;"udāttasvaritayoryaṇaḥ"ityādau"ṣyaṅaḥ samprasāraṇam"iti	na;"udAtta-svaritayoryaNaH"iti-AdO"zyaFaH samprasAraNam-"iti
   sūtrabhāṣyoktarītyā"allopo 'naḥ"ityādau caitasyā vyabhicaritatvāt,	sUtra-BAzya-uktarIti-A"allopaH anaH"iti-AdO ca-etasyAH vyaBicarita-tva-at,
   bhāṣyānuktatvācca/ sthāna sambandho na	BAzya-anukta-tvAt-ca/ sTAna sambanDaH na
   paribhāṣālabhya ityarthasya"ṣaṣṭī sthāne"iti sūtre bhāṣye spaṣṭamuktatvena	pariBAzA-AlaByaH iti-arTasya"zazwI sTAne"iti sUtre BAzye spazwa-mukta-tvena
   tvaduktajñapakāvambhavācca/ tatra sthānegrahaṇaṃ tu spaṣṭārthameva/	tvad-ukta-jQapakO=-amBa-vAc-ca/ tatra sTAnegrahaNam tu spazwa-arTam-eva/
   kiñca"vidhauparibhāṣā"iti	kiQca"viDOpariBAzA"-iti
   pravādaḥ"ikoguṇavṛddhī""acaśca"ityanayorvidhīyata ityadhyāhāramūlakaḥ,	pravAdaH-"ikaH-guNa-vRdDI"-"acaH-ca"iti-anayoH-viDIyate iti-aDyAhAra-mUlakaH,
   anyatra tu nāsyā phalamityanyatra vistaraḥ//	anyatra tu na-asyAH Palam-iti-anyatra vistaraH//
   nanu 'namaskaroti devān' 'namasyati devān' ityādau"namaḥ svasti"it	nanu anamaskaroti devAna anamasyati devAn-a iti-AdO"namaH svasti"it
   caturthī durvārā, ityata āha --	caturTI durvArA, iti-atas Aha --
   upapadavibhakteḥ kārakavibhaktirbalīyasī // Paribh_102 //	upapada-viBakteH kAraka-viBaktiH-balIyasI // PariB_102 //
   kārakavibhaktitvañca kriyājanakārthakavibhaktitvam/ tacca prathamāyā	kAraka-viBakti-tvaQca kriyA-janaka-arTaka-viBakti-tvam/ tat-ca praTamAyAH-
   apyastīti sāpi kārakavibhaktiriti"sahayukte"ityādisūtreṣu bhāṣye	api-asti-iti sA-api kAraka-viBaktiH-iti"saha-yukte"iti-Adi-sUtrezu BAzye
   dhvanitam/	Dvanitam/
   iyaṃ ca vācanikyeva/ ata eva"yasyaca bhāvena"iti	iyam ca vAcaniki-eva/ atas eva"-yasya-ca BAvena"iti
   saptamyapekṣayādhikaraṇasaptamyā balavatvamanena nyāyena,"tatra ca	saptamI-apekzayA-aDikaraNa-saptamyAH balava-tvam-anena nyAyena,"tatra ca
   dīyate"iti sūtre bhāṣye dhvanitam, kaiyaṭena ca spaṣṭamuktam/ etena	dIyate"iti sUtre BAzye Dvanitam, kEyawena ca spazwam-uktam/ etena
   'kriyānvayitvaṃ kārakatvam' ityapāstam, "yasyaca bhāvena"iti saptamyā api	akriyA-anvayi-tvam kAraka-tvam-a iti-apAstam, "yasya-ca BAvena"iti saptamyAH api
   kriyānvayitvāt/	kriyA-anvayitvAt/
   ye tu pradhānībhūtakriyāsambandhanimittakāryatvena kārakavibhaktīnāṃ	ye tu praDAnIBUta-kriyA-sambanDa-nimitta-kArya-tvena kAraka-viBaktInAm
   balavatvaṃ vadanti; teṣāmubhayorapi kriyāsambandhanimittakatvena	balava-tvam vadanti; tezAm-uBayoH-api kriyA-sambanDa-nimittaka-tvena
   tadasaṅgatiḥ spaṣṭaiva/"namo variva"itisūtre 'namasyati devān' ityādau	tat-asaFgatiH spazwA-eva/"namaH vari-va"iti-sUtre anamasyati devAn-a iti-AdO
   caturthī vāraṇāya bhāṣye upanyāsasyāsaṅgateśca//	caturTI vAraNAya BAzye upanyAsasya-asaFgateH-ca//
   etena 'kriyākārakasambandhontaraṅgaḥ' iti tannimittā vibhaktirantaraṅgā,	etena akriyA-kAraka-sambanDa-untaraFgaHa iti tad-nimittA viBaktiH-antaraFgA,
   upapadārthena tu yatkiñcit ktiyākārakamūlakaḥ sambandha iti tannimittā	upapadArTena tu yat-kiQcit ktiyAkAraka-mUlakaH sambanDaH iti tad-nimittA
   vibhaktirbahiraṅgetyapāstam, 'namasyati' ityatra namaḥ padārthe 'pi	viBaktiH-bahiraFga-iti-apAstam, anamasyati-a iti-atra namaH padArTe api
   kriyākārakābhāve naivānvayāt/ atra ca namaḥ padārthasyāpi kriyātvaṃ	kriyA-kAraka-aBAve na-eva-anvayAt/ atra ca namaH padArTasya-api kriyA-tvam
   muṇḍayatau muṇḍasyeva/	muNxayatO muNxasya-iva/
   "sahayukte"ityādau ca pradhāne prathamā sādhanārthamiyaṃ bhāṣya	"saha-yukte"-iti-AdO ca praDAne praTamA sADana-arTam-iyam BAzya
   upanyastetyanyatra vistaraḥ//	upanyasta-iti-anyatra vistaraH//
   nanu 'adamuyaṅ' ityādau pūrvasyāpi muktvāpattiḥ, ata āha --	nanu aadam-uyaF-a ityAdO pUrvasya-api muktvA-ApattiH, atas Aha --
   anantyavikāro 'ntyasadeśasya // Paribh_103 //	anantya-vikAraH antya-sa-deSasya // PariB_103 //
   anantyasadeśānanyasadeśayorekaprayoge yugapatprāptavantyasadeśasyaveti	anantya-sadeSa-ananyasa-deSayoH-eka-prayoge yugapad-prAptavanti-asadeSasyavA-iti
   tadarthaḥ/ anyathā dhātvādernatvasatve'netā' 'sotā' ityādāveva syātām, na	tad-arTaH/ anyaTA DAtu-AdeH-na-tu-asatve-anetA-a asotAa iti-AdO=-eva syAtAm, na
   tu 'namati' 'siñcati' ityādau/	tu anam-ati-a asiQcati-a iti-AdO/
   antyavikāra iti ca liṅgam/	antya-vikAraH iti ca liFgam/
   antyena samāno deśo yasya so 'ntyasadeśaḥ/ tatvaṃ	antyena samAnaH deSaH yasya saH antyasa-deSaH/ tatvam
   cāntyavarṇatadvarṇayoritarāvyavadhānena bodhyam/	ca-antya-varNa-tad-varNayoH-ita-rAvi-avaDAnena boDyam/
   ata eva vidhdha ityādyartham"na samprasāraṇe"iti caritārtham/	atas eva viDDaH iti-Adi-arTa-m"na samprasAraNe"-iti caritArTam/
   "allopo 'naḥ"ityādeḥ 'anastakṣṇā'ityādāvādakārādāvapravṛttirapyasyāḥ	"at-lopaH anaH"iti-AdeH aanaH-takzNA-aitya-AdAvAdakArAH-dO=-apravRttiH-api-asyAH
   phalam, yajādi svādiparānnantāṅgasyākārasya lopa ityarthasyaivāṅgāṃśe	Palam, yaja-Adi svAdi-parAn-nanta-aFgasya-AkArasya lopaH iti-arTasya-eva-aFga-aMSe
   pratyayasyottthitākāṅkṣatayaucityādaṅgāvayava yajādisvādiparasyān	pratyayasya-uttTita-AkAFkzatayA-OcityAt-aFga-avayava yaja-Adi-svAdi-parasyAn
   ityādikrameṇānekatrānekakliṣṭakalpanāpekṣayāsyā ucitatvāt/	ityAdi-krameNa-Anekatra-aneka-klizwa-kalpanA-apekzayA-asyAH ucita-tva-at/
   na caiṣā"ṣyaṅaḥ samprasāraṇam"iti sūtre bhāṣye pratyākhyāteti	na ca-ezA-a"zyaFaH samprasAraNam-"iti sUtre BAzye pratyAKyAtA-iti
   bhramitavyam, vārtikoktaphalānāmanekakliṣṭakalpanābhiranyathāsiddhiṃ	Bramitavyam, vArtikA-ukta-PalAnAm-aneka-klizwa-kalpa-nABiH-anyaTA-sidDim
   pradarśyāpi yānyetasyāḥ paribhāṣāyāḥ prayojanāni, tadarthameṣā kartavyā	pradarSya-api yAni-etasyAH pariBAzAyAH prayojanAni, tad-arTam-ezA kartavyA
   pratividheyaṃ doṣeṣu, pratividhānaṃ codattanirdeśāt siddhamityupasaṃhārāt/	prativiDeyam doza-izu, prativiDAnam ca-udatta-nirdeSAt sidDam-iti-upasaMhArAt/
   'mimārjiṣati' ityarthaṃ caiṣā/ tatra vṛddheḥ pūrvamantaraṅgatvāt dvitve	ami-mArjizati-a iti-arTam ca-ezA/ tatra vRdDeH pUrvam-antaraFga-tvAt dvi-tve
   paratvādabhyāsakārye tato 'bhyāsekārasya vṛddhivāraṇāyāvaśyakī/ na ca	para-tvAt-aByAsa-kArye tatas aByAsekArasya vRdDi-vAraNAya-AvaSyakI/ na ca
   vṛddhau punarabhyāsahrasvatvena	vRdDO punar-aByAsa-hrasva-tvena
   siddhiḥ, 'lakṣye lakṣaṇasya' iti nyāyena punarapravṛtteḥ/	sidDiH, alakzye lakzaNasya-a iti nyAyena punar-apravRtteH/
   yattu"na samprasāraṇe"iti sūtre bhāṣye 'naitasyāḥ paribhāṣāyāḥ	yat-tu"na samprasAraNe"-iti sUtre BAzye anEtasyAH pariBAzAyAH
   prayojanāni' ityuktam/ tasyāyamarthaḥ --	prayojanAni-a iti-uktam/ tasya-ayam-arTaH --
   etatsūtre prayojanānyetasyāḥ paribhāṣāyā na bhavanti,	etat-sUtre prayojanAni-etasyAH pariBAzAyAH na Bavanti,
   vyadhādāvanatyasamānādeśayaṇo 'bhāvāditi/ 'naitāni	vyaDAdO=-anati-asamAna-AdeSayaNaH aBAvAt-iti/ anEtAni
   etasyāḥ prayojanāni' iti pāṭho 'pi kvacid dṛśyate/	etasyAH prayojanAni-a iti pAWaH api kvacid dRSyate/
   vācanikyevaiṣā/ spaṣṭā ca"ṣyaṅaḥ"iti sūtre"adaso 'seḥ"iti sūtre ca	vAcanikI-eva-ezA/ spazwA ca"zyaFaH"-iti sUtre"adasaH aseH"iti sUtre ca
   'kecidantyasadeśasya' ityanena bhāṣya ityanyatra vistaraḥ//	akecid-antya-sa-deSasya-a iti-anena BAzya iti-anyatra vistaraH//
   nanu"avyaktānukaraṇasyātaḥ"iti pararūpam, 'paṭat' iti 'paṭiti'	nanu"avyakta-anukaraNasya-atas-"iti para-rUpam, apawat-a iti apawiti-a
   ityadau"alontyasya"	iti-adO"ala-untyasya"
   ityantyasya prāpnotītyata āha --	iti-antyasya prApnoti-iti-atas Aha --
   nānarthake 'lo 'ntyavidhiranabhyāsavikāre // Paribh_104 //	na-anarTake alaH antya-viDiH-anaByAsa-vikAre // PariB_104 //
   anabhyāsetyukte 'vibharti' ityādau"bhṛñāmit"ityādyantyasyaiva/ abhyāso	anaByAsA-iti-ukte aviBarti-a iti-AdO"-BRQa-amit"iti-Adi-anti-asya-eva/ aByAsaH-
   'narthakaḥ, arthavṛtyabhāvāt, kintūttarakhaṇḍa evārthavānityanyatra	anarTakaH, arTa-vRtya-BAvAt, kintu-uttara-KaNxaH eva-arTavAn-iti-anyatra
   nirūpitam/	nirUpitam/
   eṣā"alontyāt"sūtre bhāṣye spaṣṭā/ phalānāmanyathāsiddhikaraṇepratyākhyātā	ezA-a"alontyAt"sUtre BAzye spazwA/ PalAnAm-anyaTA-sidDi-karaNepratyAKyAtA
   ceti tata evāvadhāryatām//	ca-iti tatas eva-avaDArya-tAm//
   nanu 'brāhmaṇavatsā ca brāhnaṇīvatsaśca' ityādau"pumān	nanu abrAhmaNa-vatsA ca brAhnaNI-vatsaH-ca-a iti-AdO"-pumAn
   striyā"ityekaśeṣāpattiḥ, strītvapuṃstvātiriktakṛtaviśeṣābhāvāt, ata āha --	striyA"-iti-eka-Seza-ApattiH, strI-tva-puMstva-atirikta-kRta-viSeza-aBAva-at, atas Aha --
   pradhānāpradhānayoḥ pradhāne kāryasampratyayaḥ // Paribh_105 //	praDAna-apraDAnayoH praDAne kArya-sampratyayaH // PariB_105 //
   tena pradhānastrītvapuṃstvātiriktāpradhānastrītvapuṃstvakṛtaviśeṣasyāpi	tena praDAna-strI-tva-puMstva-atiriktA-praDAna-strI-tva-puMstva-kRta-viSezasya-api
   satvena na doṣaḥ/ spaṣṭā ceyam"napuṃsakamanapuṃsakena"ityanayorbhāṣye/	satvena na dozaH/ spazwA ca-iyam"napuMsaka-manapuMsakena"iti-anayoH-BAzye/
   "antaraṅgopajīvyādapi pradhānaṃ prabalam' iti"hetumati ca"ityatra	"antaraFga-upajIvyAt-api praDAnam prabalam-a iti"hetumati ca"iti-atra
   bhāṣyakaiyaṭayoḥ//	BAzya-kEyawayoH//
   nanu svasrāditvaprayukto mātṛ śabdasya ṅībniṣedhaḥ	nanu svasra-Adi-tva-prayuktaH mAtR Sabdasya FIbnizeDaH
   paricchettṛvācakamātṛśabde 'pi syāt,	paricCettR-vAcaka-mAtR-Sabde api syAt-,
   ata āha --	atas Aha --
   avayavaprasiddheḥ samudāyaprasiddhirbalīyasī // Paribh_106 //	avayava-prasidDeH samudAya-prasidDiH-balIyasI // PariB_106 //
   tena śuddha rūḍhasya jananīvācakasyaiva grahaṇam, na paricchattṛvācakasya/	tena SudDa rUXasya jananI-vAcakasya-eva grahaNam, na paricCattR-vAcakasya/
   'yogajabodhe tadanāliṅgitaśuddharūḍhajopasthitiḥ pratibandhikā' iti	ayoga-ja-boDe tad-anAliFgita-SudDa-rUXa-ja-upasTitiH pratibanDikA-a iti
   vyutpattireva tadbījam/ rathakārādhikaraṇanyāyasiddho 'yamarthaḥ/	vyutpattiH-eva tat-bIjam/ raTakAra-aDikaraNa-nyAya-sidDaH ayam-arTaH/
   kaścittu"dīdhīvevīṭām"ityatrānayā paribhāṣayā dīdhīvevīṅoreva grahaṇam, na	kaScid-tu"dIDI-vevIwAm-"iti-atra-anayA pariBAzayA dIDI-vevIFoH-eva grahaNam, na
   dīṅdhīṅveñ	dIFDIFveQ
   vīnāmiti, tat, na; tathā sati 'dīvedhīvīṭām' ityeva vadediteyanye//	vInAm-iti, tat, na; taTA sati adIveDI-vIwAma iti-eva vadet-iteyanye//
   nanu vātāyanārthe gavākṣe 'vaṅo vaikalpikatvāt 'gokṣaḥ' ityādyapi syāt,	nanu vAtAyana-arTe gavAkze avaFaH vEkalpika-tvAt agokzaH-a ityAdi-api syAt-,
   ata āha --	atas Aha --
   vyavasthitavibhāṣayāpi kāryāṇi kriyante // Paribh_107 //	vyavasTita-viBAzaya-api kAryANi kriyante // PariB_107 //
   lakṣyānusārād vyavasthā bodhyā/"śācchoḥ"iti sūtre"laṭaḥ śatṛ"ityādi	lakzya-anusArAt vyavasTA boDyA/"SAt-SoH"iti sUtre"-lawaH SatR"ityAdi
   sūtreṣu ca bhāṣye spaṣṭā//	sUtrezu ca BAzye spazwA//
   vidhiniyamasambhave vidhireva jyāyān // Paribh_108 //	viDi-niyama-samBave viDiH-eva jyAyAn // PariB_108 //
   niyame hyaśrutāyā anyanivṛtteḥ sāmarthyāt parikalpanamuktānuvādadoṣaśceti	niyame hi-aSru-tAyAH anya-nivRtteH sAmarTyAt parikalpana-muktA-anuvAda-dozaH-ca-iti
   lāghavād vidhireveti bodhyam/"yasya halaḥ"ityatra"ijādeḥ sanumaḥ"ityādau	lAGavAt viDiH-eva-iti boDyam-/"yasya halaH"iti-atra-"ija-AdeH sanumaH"iti-AdO
   ca bhāṣye spaṣṭeyam//	ca BAzye spazwA-iyam//
   nanu"āśaṃsāyāṃ bhūtavacca"ityanena luṅa iva laṅliṭorapyatideśaḥ syāt, ata	nanu"ASaMsAyAm BUta-vat-ca"iti-anena luFaH iva laFliwoH-api-ati-deSaH syAt, ata
   āha --	Aha --
   sāmānyātideśe viśeṣānatideśaḥ // Paribh_109 //	sAmAnya-atideSe viSezAn-atideSaH // PariB_109 //
   sāmānyopasthitikāle niyamena viśeṣopasthāpakasāmagryabhāvo 'syā bījam/	sAmAnya-upasTiti-kAle niyamena viSeza-upasTApaka-sAmagrya-BAvaH asyAH bIjam/
   tenānadyatanabhūtarūpe viśeṣe vihitayostayornātideśaḥ/ iyamanityā,"na	tena-Anadyatana-BUta-rUpe viSeze vihitayoH-tayoH-na-ati-deSaH/ iyam-anityA,"na
   lyapi"iti liṅgāt/ tena sthānivatsūtreṇa viśeṣātideśo 'pi/ spaṣṭaṃ	lI-api"iti liFgAt/ tena sTAni-vat-sUtreNa viSeza-atideSaH api/ spazwam
   caitatsarvaṃ"sthānivat"sūtre bhāṣye//	ca-etat-sarvan"sTAnivat"-sUtre BAzye//
   nanu"titsvaritam"iti svaritatvam 'cikīrṣati' ityādau syāt, ata āha --	nanu"titsvaritam-"iti svarita-tvam acikIrzati-a ityAdO syAt, atas Aha --
   pratyayāpratyayayoḥ pratyayasya grahaṇam // Paribh_110 //	pratyaya-apratyayayoH pratyayasya grahaNam // PariB_110 //
   iyaṃ ca"aṅgasya"iti sūtr bhāṣye paṭhitā/ varṇagrahaṇe ca na pravartata iti	iyam ca-"aFgasya"iti sUtH BAzye paWitA/ varNa-grahaNe ca na pravartate iti
   tatraiva	tatra-eva
   kaiyaṭe spaṣṭam/ ata eva"sanāṃśabhikṣa uḥ""vale"ityatra sanvalayoḥ	kEyawe spazwam/ atas eva"sana-aMSa-BikzaH uH""vale"iti-atra sanvalayoH
   pratyayayorgrahaṇam/	pratyayayoH-grahaNam/
   pare tu"titsvaritam"iti sūtra eṣā paribhāṣā lakṣyasaṃskārāya bhāṣye kvāpi	pare tu"titsvaritam-"iti sUtre ezA pariBAzA lakzya-saMskArAya BAzye kvApi
   nāśriteti kaiyaṭenoktam/"aṅgasya"iti sūtre tatpratyākhyānāyaiṣā bhāṣya	na-ASritA-iti kEyawena-uktam-/"aFgasya"iti sUtre tad-pratyAKyAnAya-ezA BAzya
   ekadeśinoktā/ ata eva"titi pratyayagrahaṇaṃ	eka-deSinA-uktA/ atas eva"titi pratyaya-grahaNam
   kartavyam"iti vārtikakṛtoktam uktasūtrayorvyākhyānāt pratyayoreva	kartavyam-"iti vArtika-kRta-uktam ukta-sUtrayoH-vyAKyAnAt pratyayoH-eva
   grahaṇamityāhuḥ//	grahaNam-iti-AhuH//
   nanu"viparābhyāṃ jeḥ"ityātmanepadaṃ 'parāsenā jayati' ityarthake	nanu"-viparAByAm jeH"iti-Atma-nepadam aparAsenA jayati-a iti-arTake
   'parājayati senā' ityatra	aparAjayati senA-a iti-atra
   prapnotītyata āha --	prapnoti-iti-atas Aha --
   sahacaritāsahacaritayoḥ sahacaritasyaiva grahaṇam // Paribh_111 //	sahacarita-asahacaritayoH sahacaritasya-eva grahaNam // PariB_111 //
   tena viśabdasāhacaryādupasargasyaiva parāśabdasya grahaṇamiti tatraiva	tena viSabda-sAhacaryAt-upasargasya-eva parA-Sabdasya grahaNam-iti tatra-eva
   bhāṣye spaṣṭam/ sahacaraṇaṃ sadṛśayoreveti sahacaritaśabdena	BAzye spazwam/ sahacaraNam sadRSayoH-eva-iti sahacarita-Sabdena
   sādṛśyavānucyate/ 'rāmalakṣmaṇau' ityādāvapi sādṛśyameva niyāmakam/	sAdRSyavAn-ucyate/ arAma-lakzmaNO-a iti-AdO=-api sAdRSyam-eva niyAmakam/
   sadṛśayoreva sahavivakṣā, tayoreva sahaprayoga ityutsargācca/ dhvanitaṃ	sadRSayoH-eva saha-vivakzA, tayoH-eva saha-prayogaH iti-utsargAt-ca/ Dvanitam
   cedam"karmapravacanīyayukterdvitīyā"iti sūtre bhāṣye/	ca-idam-"karma-pravacanIya-yukteH-dvitIyA"-iti sUtre BAzye/
   tatra hi"pañcamyapāṅparibhiḥ"iti sūtreṇa lakṣaṇādidyotakapariyoge	tatra hi"paQcamI-apAFpariBiH"iti sUtreNa lakzaNa-Adi-dyotaka-pariyoge
   pañcamīmāśaṅkya 'yadyapyayaṃ parirdṛṣṭāpacāro varjane cāvarjane ca, ayaṃ	paQcamIm-ASaFkya ayadi-api-ayam parirdRzwa-apacAraH varjane ca-Avarjane ca, ayam
   khalvapaśabdo 'dṛṣṭāpacāro varjanārtha eva karmapravacanīyaḥ, tasya ko	Kalu-apa-SabdaH adRzwa-apacAraH varjana-arTaH eva karma-pravacanIyaH, tasya kaH-
   'nyaḥ sahāyo bhavitumarhatyanyo varjanārthāt, yathāsya goḥ sahāyenārtha	anyaH sahAyaH Bavitum-arhati-anyaH varjana-arTa-at, yaTA-asya goH sahAyena-arTa-
   iti gaurevānīyate, nāśvaḥ, na gardabhaḥ' ityuktam/ tena hi sadṛśānāmeva	iti gOH-eva-AnIyate, na-aSvaH, na gardaBaH-a iti-uktam/ tena hi sadRSAnAm-eva
   prayoge sahāyabhāvo bādhitaḥ/	prayoge sahAya-BAvaH bADitaH/
   "dvistriścatuḥ"iti sūtre sāhacaryeṇaiva kṛtvor'thasya grahaṇe siddhe	"dvis-tris-catuH"iti sUtre sAhacaryeNa-eva kRtvor-aTasya grahaNe sidDe
   kṛtvorthagrahaṇādeṣānityā/ tena"dīdhīvevīṭām"ityatra dhātusāhacarye	kRtvA-UrTa-grahaNA-deza-anityA/ tena"dIDI-vevIwAm-"iti-atra DAtu-sAhacarye
   'pyāgamasyeṭo grahaṇamityanyatra vistaraḥ//	api-Agamasya-iwaH grahaNam-iti-anyatra vistaraH//
   nanu"asthi"ityanaṅ 'priyasakthanā brāhmaṇena' ityatra na syāt, aṅgasya	nanu"asTi-"iti-anaF apriya-sakTanA brAhmaNena-a iti-atra na syAt, aFgasya
   napuṃsakatvābhāvāt, ata āha --	napuMsaka-tva-aBAvAt, atas Aha --
   śrutānumitayoḥ śrutasambandho balavān // Paribh_112 //	Sruta-anumitayoH Sruta-sambanDaH balavAn // PariB_112 //
   śrutenaiva sambandhaḥ, nānumitena prakaraṇādiprāptenetyarthaḥ/	Srutena-eva sambanDaH, na-anumitena prakaraNa-Adi-prAptena-iti-arTaH/
   prakaraṇāditaḥ śruterbalavatvāditi bhāvaḥ/	prakaraNa-Aditas SruteH-balava-tvAt-iti BAvaH/
   evaṃ ca tatra liṅgamasthyādīnāmeva viśeṣaṇam, nāṅgasya śiśīlugnumvidhiṣu	evam ca tatra liFgam-asTi-AdInAm-eva viSezaNam, na-aFgasya SiSIlu-gnumviDizu
   tu gṛhyamāṇasyābhāvāt prakaraṇaprāptaṅgasyaiva viśeṣaṇam/	tu gRhyamANasya-aBAvAt prakaraNa-prAptaFgasya-eva viSezaNam/
   ata eva"vā napuṃsakasya"iti sūtre"vā śau"iti na kṛtam/ tatra	atas eva"vA napuMsakasya"iti sUtre"vA SO"iti na kRtam/ tatra
   napuṃsakagrahaṇaṃ hi gṛhyamāṇasya śatrantasyaiva napuṃsakatve yathā syāt,	napuMsaka-grahaNam hi gRhyamANasya Satrantasya-eva napuMsaka-tve yaTA syAt-,
   'bahavo dadato yeṣu tāni kulāni bahudadati' ityatra mā bhūt; 'bahūni	abahavaH dadataH yezu tAni kulAni bahudadati-a iti-atra mA BUt; abahUni
   dadanti yeṣu te bahudadantaḥ' ityatra yathā syādityevamartham/ spaṣṭaṃ	dadanti yezu te bahu-dadantaH-a iti-atra yaTA syAt-iti-evam-arTam/ spazwam
   cedam"svamornapuṃsakāt"ityatra bhāṣye/	ca-idam-"su-a-moH-na-puMsakAt"iti-atra BAzye/
   kecittu"aco rahābhyaṃ dve"ityatra śrutena rephasya nimittatvena	kecid-tu"acaH raha-aByam dve"iti-atra Srutena rePasya nimitta-tvena
