   // nyāyavārttikatātparyapariśuddhiḥ //	// nyAyavArttika tAtparya pariSudDiH //
   seyamāstāṃ tāvat //	sA iyam AstAm tAvat //
   nanu tathāpi naiyāyikānāṃ mate śabdāśrayā evānunāsikatvādayo dharmā, na ca	nanu taTA api nEyAyikAnAm mate Sabda ASrayAH eva anunAsika tva AdayaH DarmA, na ca
   pakṣeṇaitra vyabhicāraḥ /	pakzeNa etra vyaBicAraH /
   na, avarṇātmakenāpi taddharmaśālinānaikāntikatopapatteḥ /	na, avarNa Atmakena api tad Darma SAlinAnEkAntika ta upapatteH /
   tasyāpi pakṣatvamiti cet   na, taddarśane 'naikāntiko 'yamiti	tasya api pakzatvam iti cet   na, tad darSane anEkAntikaH ayam iti
   virodhamukhenāpyudbhāvanāt, vastutaḥ śabdadharmatve ca	viroDa muKena api udBA= anAt, vastutas Sabda Darma tve ca
   kālātyayāpadeśadoṣāt /	kAla atyaya apadeSa dozAt /
   aprayojakāśca rūpādayo nityāścakṣurādyekaikendriyagrāhyatvāt	aprayojakAH ca rUpa AdayaH nityAH cakzuH Adi ekEka indriya grAhya tvAt
   rūpatvādivadityanena samānayogapekṣamatvāditi //	rUpa tva Adi vat iti anena samAna yoga pekzamatvAt iti //
   vipratipatterityādi /	vipratipatteH ityAdi /
   asya ca lakṣībhūtasya saṃśayasya parasparaviraharūpavidhiniṣedhaprādhānyāt	asya ca lakzIBUtasya saMSayasya paraspara viraha rUpa viDi nizeDa prADAnyAt 
   astyātmā nāstyātmetyudāharaṇaṃ tu bhāṣyakṛtaiva darśitaṃ sphuṭamiti na	asti AtmA na asti AtmA iti udAharaNam tu BAzya kRtA eva darSitam sPuwam iti na
   prapañcitaṃ vārtikaṭīkākārābhyām /	prapaQcitam vArti kawIka AkArAByAm /
   udāharaṇamātraṃ caitat /	udAharaNa mAtram ca etat /
   na nvidameva ādaraṇīyam /	na nu idam eva AdaraNIyam /
   ātmano 'nupalabdhacaratve smṛtyanārūḍhasya saṃśayānāspadatvāt /	AtmanaH anupalabDa cara tve smRti anArUXasya saMSayAn Aspada tvAt /
   upalabdhacaratve vā sarvathāpahnavāyogāt /	upalabDa cara tve vA sarvaTA apahnavA yogAt /
   etacca tṛtīye prapañcanīyamitīhopekṣitam, śabdo nitya ityeke /	etat ca tRtIye prapaQcanIyam iti iha upekzitam, SabdaH nityaH iti eke /
   netyapare ityādi tūdāhāraṇīyam //	na iti apare ityAdi tu udAhAraNIyam //
   kāraṇabhedeneti /	kAraNa Bedena iti /
   lakṣaṇabhedarūpeṇa trividham, vidhipradhānaṃ niṣedhapradhānaṃ	lakzaNa Beda rUpeNa triviDam, viDi praDAnam nizeDa praDAnam
   niṣedhavidhipradhānamiti /	nizeDa viDi praDAnam iti /
   na cānabhyāsadaśāpanna iti /	na ca anaByAsa daSa ApannaH iti /
   anabhyāsadaśāpannopalabdhau hi pramāṇottarabhāvāniścaye	anaByAsa daSa Apanna upalabDO hi pramANa uttara BAva aniScaye
   buddhitvasāmānyopalabdheḥ satyatvāsatyatvasaṃdeha iti yadyabhimatam,	budDi tva sAmAnya upalabDeH satya tva asatya tva saMdehaH iti yadi aBimatam,
   prathamapadenaiva gatametat /	praTama padena eva gatam etat /
   tatastaddvāraker'the saṃdeha iha vivakṣita iti yadi, so 'pi svarūpato	tatas tad dvAraker aTe saMdehaH iha vivakzitaH iti yadi, saH api svarUpataH 
   deśakālataḥ prakārato vati? ādyastāvadvirodhādevāsaṃgataḥ /	deSa kAlataH prakArataH vati? AdyaH tAvat viroDAt eva asaMgataH /
   na hīdamidaṃ na veti saṃbhavati /	na hi idam idam na vA iti saMBavati /
   nidrādyupaplavābhāvaniścayena tadekakāraṇakoṭivyudāsāt dvitīyo 'pi	nidrA Adi upaplava aBAva niScayena tad eka kAraNa kowi vyudAsAt dvitIyaH api
   nirastaḥ /	nirastaH /
   upaplavasaṃdehe tvādhyātmika eva saṃśayaḥ /	upaplava saMdehe tu ADyAtmikaH eva saMSayaH /
   tṛtīye tvāha   na nāgo vā nago veti /	tRtIye tu Aha   na nAgaH vA nagaH vA iti /
   evamayogyeti /	evam ayogyA iti /
   etāvāṃstu viśeṣo yat sthāṇurvā puruṣo vetyatropalabdhyanupalabdhī	etAvAn= tu viSezaH yat sTANuH vA puruzaH veti atra upalabDi anupalabDI
   anutpādādevāvyavasthite /	anutpAdAt eva avyavasTite /
   prakṛte tūdāharaṇe jātameva jalajñānamaprāmāṇyaśaṅkayā na vyavasthitamiti	prakRte tu udAharaNe jAtam eva jala jQAnam aprAmANya SaFkayA na vyavasTitam iti
   evamayogyeti /	evam ayogyA iti /
   yadi viśeṣasmṛtisahitāyā ayogyānupalabdheḥ dharmiṇamanantarbhāvya saṃśayaḥ	yadi viSeza smRti sahitAyAH ayogya anupalabDeH DarmiNam anantarBAvya saMSayaH
   syāt sa tāvannātyantānupalabdhakoṭyullekhī, tatra smṛterabhāvāt /	syAt sa tAvat na atyanta anupalabDa kowi ulleKI, tatra smRteH aBAvAt /
   nāpyupalabdhakoṭyullekhī /	na api upalabDa kowi ulleKI /
   na hi bhavati paramāṇurasti naveti astyeva yataḥ /	na hi Bavati paramANuH asti nava iti asti eva yatas /
   iheti cet? tarhi deśakālādiviśeṣaṃ dharmiṇamupādāyopapadyate /	iha iti cet? tarhi deSa kAla Adi viSezam DarmiNam upAdAya upapadyate /
   tathā ca sa upalabdhaḥ sannanvayato vyatirekato vipratipattito vā viśeṣau	taTA ca saH upalabDaH san= anvayataH vyatirekataH vipratipattitaH vA viSezO
   smārayet, na svarūpata iti pūrvānupraveśa ityarthaḥ //	smArayet, na svarUpataH iti pUrva anupraveSaH iti arTaH //
   tadidamuktam   na saṃśayo vinā samānadharmādidarśanamiti /	tat idam uktam    na saMSayaH vinA samAna Darma Adi darSanam iti /
   sāmagrībhedena bhede traividhyaṃ viṣayakṛtamiti /	sAmagrI Bedena Bede trEviDyam vizaya kRtam iti /
   api	api
   tvanekavidhaḥ, pratyekaṃ kāraṇānāṃ viṣayavyavasthāṃ	tu anekaviDaH, pratyekam kAraNAnAm vizaya vyavasTAm
   pratyahetutvādityarthaḥ //23 //	pratyahetu tvAt iti arTaH //23 //
   // pariśuddhiḥ //	// pariSudDiH //
   pūrvāṅgatvāviśeṣe 'pi saṃśaye sati prayojanānusaṃdhānāt tataḥ	pUrva aFga tva aviSeze api saMSaye sati prayojana anusaMDAnAt tatas 
   prayojanasyāpakarṣa ityuktamṛ /	prayojanasya apakarzaH iti uktamR /
   prayojanamanusaṃvāya	prayojanam anusaMvAya
   ca tatsādhanībhūtanyāyamanusandhitsato dṛṣṭāntānusaraṇamiti	ca tad sADanIBUta nyAyam anusanDitsataH dRzwAnta anusaraNam iti
   dṛṣṭāntādasyotkarṣa uddeśe /	dRzwAnta At asya utkarzaH uddeSe /
   saiva saṃgatirihāpīti āha   uddeśeti //	sA eva saMgatiH iha api iti Aha   uddeSa iti //
   arthaśabdasya lakṣaṇe 'kiñcitkaratvādādhikyaṃ	arTa Sabdasya lakzaNe akiQcitkara tvAt ADikyam
   manvānastātparyamāha   atreti /	manvAnaH tAtparyam Aha   atra iti /
   arthapadaṃ bhāṣyakāreṇa anūdyāpi na vivṛtamityata āha   sasādhanāviti /	arTa padam BAzya kAreNa anUdyA api na vivRtam iti atas Aha    sa sADanO= iti /
   nanvevaṃ satyuttarabhāṣyavirodhaḥ, tadāptihānopāyamanutiṣṭhatītyatra	nanu evam sati uttara BAzya viroDaH, tad Apti hAna upAyam anutizWati iti atra
   tacchabdenārthasya parāmarśāt /	tad Sabdena arTasya parAmarSAt /
   sukhaduḥkhāptihānopāyamiti ca prakṛtasaṃgaterityata āha   na ceti /	suKa duHKa Apti hAna upAyam iti ca prakRta saMgateH iti atas Aha   na ca iti /
   atra ca ṭīkāyāṃ yadyapi tathāpīti tadacatuṣṭayamadhyāharanti /	atra ca wIkAyAm yadi api taTA api iti tat acatuzwayam aDyAharanti /
   lokyata ityādi /	lokyate ityAdi /
   tathā ca prāmāṇikatvādeva prayojanaṃ na vaktavyamiti vākyārthaḥ /	taTA ca prAmANika tvAt eva prayojanam na vaktavyam iti vAkya arTaH /
   nanvevaṃ sati pramāṇamapi na vyutpādyam /	nanu evam sati pramANam api na vyutpAdyam /
   tacca tvayā vyutpāditamityata āha   na ca pramāṇamīdṛśamiti /	tat ca tvayA vyutpAditam iti atas Aha   na ca pramANam IdRSam iti /
   yathā ceti /	yaTA ca iti /
   tathā ca pramāṇopapannaṃ na vācyamiti vadataḥ svacaritāvirodha ityarthaḥ	taTA ca pramANa upapannam na vAcyam iti vadataH sva carita aviroDaH iti arTaH
   kathamasaya prayuktau sādhanatvaṃ sato 'sato vā? asato 'pi svajñānadvārā	kaTam asaya prayuktO sADana tvam sataH asataH vA? asataH api sva jQAna dvArA
   vyāpārāntareṇa vā? kva ca prayojayati, svātmanyeva vā svasādhane vā?	vyApAra antareNa vA? kva ca prayojayati, sva Atmani eva vA sva sADane vA?
   kathaṃ ca vyāpakaṃ svarūpeṇa, karmavidyādvārā veti parīkṣāsādhyamityarthaḥ	kaTam ca vyApakam sva rUpeNa, karma vidyAdvArA vA iti parIkzA asADyam iti arTaH
   na brūmaḥ prayojanaṃ nyāyasya aṅgamupakārakam, kiṃ tu prayojanavān	na brUmaH prayojanam nyAyasya aFgam upakArakam, kim tu prayojanavAn
   nyāyastadgatācintāṅgīkarotīti /	nyAyaH tad gata acintA aFgIkaroti iti /
   yāvad vākyaṃ na samāpyate tāvadeva /	yAvat vAkyam na samApyate tAvat eva /
   nanu cintāpi nāṅgam /	nanu cintA api na aFgam /
   na hi nyāyānnirṇayaścānirṇayaśca /	na hi nyAyAt nirNayaH ca anirNayaH ca /
   na ca nirṇayādanyat prayojanaṃ nyāyasya /	na ca nirNayAt anyat prayojanam nyAyasya /
   tasmāt kimanena cintiteneti śaṅkāmapanetumāha   mukhyamityādi /	tasmAt kim anena cintitena iti SaFkAm apanetum Aha   muKyam ityAdi /
   gauṇaṃ prayojanaṃ mukhyasyaiva prayojanasya kṛte upādīyate /	gONam prayojanam muKyasya eva prayojanasya kRte upAdIyate /
   mukhyamapi yadyanyopakārārthamupādīyeta,	muKyam api yadi anya upakAra arTam upAdIyeta,
   mukhyatāmeva jahyāt /	muKya tAm eva jahyAt /
   etadeva hi mukhyasya mukhyatvam, yadananyārthatayā puruṣāpekṣitatvam /	etat eva hi muKyasya muKya tvam, yat ananyA arTa tayA puruza apekzita tvam /
   na ca nirṇaya evamityarthaḥ /	na ca nirNayaH evam iti arTaH /
   vākyaśeṣamāha   prayojanavāṃstviti /	vAkya Sezam Aha    prayojanavAn= tu iti /
   mukhyaprayojanavāneva nyāyo gauṇaprayojananirṇayakāraṇatayopādeyo yataḥ,	muKya prayojanavAn eva nyAyaH gONa prayojana nirNaya kAraNa tayA upAdeyaH yatas ,
   atastadgatāṃ mukhyaprayojanagatāṃ cintāmabhisandhānamaṅgīkaroti aṅgatayā	atas tad gatAm muKya prayojana gatAm cintAm aBisanDAnam aFgIkaroti aFgatayA
   apekṣate /	apekzate /
   etaduktaṃ bhavati, yadyapi na prayojanaṃ nyāyasyāṅgaṃ sādhyatvāt, tathāpi	etat uktam Bavati, yadi api na prayojanam nyAyasya aFgam sADya tva at, taTA api
   tadabhisandhānamaṅgam tadantareṇa nyāyasyāpravṛtteḥ /	tad aBisanDAnam aFgam tad antareNa nyAyasya apravRtteH /
   niṣphalasyāpi ca svayaṃ phalavanyāyapravartakatayā tatsannidheḥ /	nizPalasya api ca svayam PalavanyAya pravartaka tayA tad sanniDeH /
   yathā svargasya yāgānaṅgasyāpi abhisandhānaṃ svayamaphalamapi	yaTA svargasya yAgAn aFgasya api aBisanDAnam svayam aPalam api
   yāgapravṛttiṃ prati kāraṇatayā saṃnidhīyamānamaṅgamiti /	yAga pravRttim prati kAraNa tayA saMniDIyamAnam aFgam iti /
   etadevopasaṃhāravyājenāha   tasmāditi /	etat eva upasaMhAra vyAjena aha   tasmAt iti /
   anye tu, kiṃ tu mukhyamityavacchidya vyācakṣate, pradhānamuddeśyamiti	anye tu, kim tu muKyam iti avacCidya vyAcakzate, praDAnam uddeSyam iti
   yāvaditi /	yAvat iti /
   tadāpyevamevottaratra neyamiti /	tadA api evam eva uttaratra na iyam iti /
   akṣarārthastu vārttikasya ya khalu niṣprayojanā cintā	akzara arTaH tu vArttikasya yaH Kalu nizprayojanA cintA
   prayojanābhisandhānaśūnyaḥ saṃśayo nāsau nyāyasya pravartaka iti	prayojana aBisanDAna SUnyaH saMSayaH na asO nyAyasya pravartakaH iti
   sphuṭatvānnoktaḥ //14 //	sPuwa tvAt na uktaH //14 //
   laukikaparīkṣakāṇāṃ yasminnarthe buddhisābhyaṃ sa dṛṣṭāntaḥ //15 //	lOkika parIkzakANAm yasmin= arTe budDi sAByam sa dRzwAntaH //15 //
   // pariśuddhiḥ //	// pariSudDiH //
   saṃśaye prayojane ca sati kva punaretat sādhyasambaddhaṃ	saMSaye prayojane ca sati kva punar etat sADya sambadDam
   sādhanamupalabheya, yadupādāyaitatsādhayeyamiti jijñāsākramānurodhena	sADanam upalaBeya, yat upAdAya etat sADayeyam iti jijQAsA krama anuroDena
   prayojanānantaraṃ dṛṣṭāntasyoddeśaḥ /	prayojana anantaram dRzwAntasya uddeSaH /
   saiva cātrāpi saṃgatirityāha   krameti //	sA eva ca atra api saMgatiH iti Aha   krama iti //
   na ca sāmānyalakṣaṇamantareṇa viśeṣalakṣaṇāvatāra iti tatsūcakaṃ sūtraṃ	na ca sAmAnya lakzaNam antareNa viSeza lakzaNa avatAraH iti tat sUcakam sUtram
   tathaiva vyācaṣṭe   sādhyasādharmyāditi /	taTA eva vyAcazwe   sADya sADarmyAt iti /
   atrānvayavyatirekavati prakāradvaye 'pi	atra anvaya vyatirekavati prakAra dvaye api
   sādhyasādhanayoravinābhāvasiddhireva phalaṃ pratīyate /	sADya sADanayoH avinA aBAva sidDiH eva Palam pratIyate /
   tathā cāvinābhāvaviṣayatayā aryyate yaḥ, sor'tho dṛṣṭānta iti	taTA ca avinA aBAva vizaya tayA aryyate yaH, sor aTo dRzwAntaH iti
   sāmānyalakṣaṇalābhaḥ /	sAmAnya lakzaNa lABaH /
   viśeṣe tu ṭīkā sphuṭaiva /	viSeze tu wIkA sPuwA eva /
   nanvevaṃrūpor'tha iti kuta etadityata āha   udāharaṇeti /	nanu evaMrUpor aTa iti kutas etat iti atas Aha   udAharaNa iti /
   kṣīranīravadavivecitāni sāṃvyavahārikāṇi pramāṇāni nisargaḥ /	kzIra nIra vat avivecitAni sAMvyavahArikANi pramANAni nisargaH /
   tadbhāvo naisargikaḥ /	tad BAvaH nEsargikaH /
   khalitailavad vivecitāni durnirūpārthagocarāṇi pramāṇāni vinayaḥ /	Kali tEla vat vivecitAni durnirUpa arTa gocarANi pramANAni vinayaH /
   sa eva vainayikaḥ /	saH eva vEnayikaH /
   tamāha   śāstreti /	tam Aha   SAstra iti /
   sārūpyavyutpattyartha iti vārttike	sArUpya vyutpatti arTaH iti vArttike
   sārūpyagrahaṇamavinābhāvamātropalakṣaṇaparamityabhisaṃdhāyāha   dṛṣṭāntasya	sArUpya grahaNam avinA BAva mAtra upalakzaNa param iti aBisaMDAya aha   dRzwAntasya
   prayojanamāheti /	prayojanam Aha iti /
   na khalviti /	na Kalu iti /
   api tu vastusthita eva jñāpyata iti śeṣaḥ /	api tu vastu sTitaH eva jQApyate iti SezaH /
   tadetacchalena sāmānyalakṣaṇamāviṣkṛtam //25 //	tat etat Calena sAmAnya lakzaNam AvizkRtam //25 //
   // iti nyāyapūrvāṅgalakṣaṇaprakaraṇam //	// iti nyAya pUrva aFga lakzaNa prakaraNam //
   // nyāyāśrayasiddhāntalakṣaṇaprakaraṇam //	// nyAya ASraya sidDAnta lakzaNa prakaraNam //
   // pariśuddhiḥ //	// pariSudDiH //
   evaṃ nyāyapūrvāṅgaprakaraṇaṃ samarthya parikalitasāmarthyaṃ sādhanaṃ	evam nyAya pUrva aFga prakaraNam samarTya parikalita sAmarTyam sADanam
   yatropaneyaṃ sa siddhāntāparanāmā nyāyasyāśrayo 'vasaraprāptatvāducyata	yatra upaneyam sa sidDAnta apara nAmA nyAyasya ASrayaH avasara prApta tvAt ucyata
   iti /	iti /
   atha siddhānta iti bhāṣyaṃ sphuṭārtham /	aTa sidDAnte iti BAzyam sPuwa arTam /
   sūtramapaṭhitvā vyākhyānaṃ tu kuta ityata āha   atreti /	sUtram apaWitvA vyAKyAnam tu kutas iti atas Aha   atra iti /
   bhāṣyakārasya rītiriyam, svapratibhayā svatantrasūtravivaraṇaṃ bhāṣyamiti	BAzya kArasya rItiH iyam, sva pratiBayA svatantra sUtra vivaraNam BAzyam iti
   lakṣaṇāditi bhāvaḥ /	lakzaNAt iti BAvaH /
   saṃsthitiritthambhāvavyavastheti bhāṣyaṃ dṛṣṭvā idamiti sāmānyābhyupagame	saMsTitiH itTam BAva vyavasTA iti BAzyam dRzwvA idam iti sAmAnya aByupagame
   siddhāntabhramaḥ syāt, ato vyācaṣṭe, bhāṣye ceti //	sidDAnta BramaH syAt, atas vyAcazwe, BAzye ca iti //
   arthābhyupagamo 'bhyupagato vārthaḥ siddhāntaḥ, viśeṣaṇaviśeṣyabhāvaṃ	arTa aByupagamaH aByupagataH vA arTaH sidDAntaH, viSezaNa viSezya BAvam
   prati kāmacārāditi ca prathama sūtra evoktam, ato na granthacatuṣṭayasyāpi	prati kAma cArAt iti ca praTama sUtre eva uktam, atas na granTa catuzwayasya api
   mitho virodhaḥ //26 //	miTas viroDaH //26 //
   // pariśuddhiḥ //	// pariSudDiH //
   nanu yadi tantraṃ pramāṇamabhimatam, kathaṃ vyatirekamāha   yo 'tho na	nanu yadi tantram pramANam aBimatam, kaTam vyatirekam Aha   yaH aTo na
   śāstrita ityata āha   aśāstrito 'prāmāṇika iti /	SAstritaH iti atas Aha   aSAstritaH aprAmANikaH iti /
   nanvevaṃ bauddhasiddhāntā na siddhāntāḥ syuraprāmāṇikatvāt, tathā ya	nanu evam bOdDa sidDAntAH na sidDAntAH syuH aprAmANika tvAt, taTA ya
   vyatikrame 'pi teṣāṃ nāpasiddhānto bhavedityata āha  ābhimānikaṃ ceti /	vyatikrame api tezAm na apasidDAntaH Bavet iti atas Aha  a aBimAnikam ca iti /
   etaccāgrato vārttikakāra eva tatpratyayādabhyupagama iti vadan	etat ca agratas vArttikakAraH eva tad pratyayAt aByupagamaH iti vadan
   sphuṭīkariṣyatīti //27 //	sPuwIkarizyati iti //27 //
   // pariśuddhiḥ //	// pariSudDiH //
   nanu sadṛśatantrāsiddho 'ṣyarthaḥ kvacidabhyupagamyamānaḥ siddhānto yathā	nanu sadRSa tantra asidDaH azi arTaH kvacid aByupagamyamAnaH sidDAntaH yaTA
   prābhākare niyogo vākyārthaḥ, nyāye upamānaṃ pramāṇamityata	prABAkare niyogaH vAkya arTaH, nyAye upamAnam pramANam iti ata
   āha   samānaśabda ekaparyāyaḥ /	Aha    samAna SabdaH eka paryAyaH /
   yathā taruvṛkṣaśabdau samānārthāviti /	yaTA taru vRkza SabdO samAna arTO= iti /
   tathāpyanekasambandhāpekṣayā ekamapi	taTA api aneka sambanDa apekzayA ekam api
   samānaśabdavācyaṃ bhavatītyata āha   naiyāyikānāṃ hīti /	samAna Sabda vAcyam Bavati iti atas Aha    nEyAyikAnAm hi iti /
   vyatirekapradhānaṃ	vyatireka praDAnam
   caitat /	ca etat /
   ekatra kutracit siddho na sarvatrasiddha ityarthaḥ /	ekatra kutracid sidDaH na sarvatrasidDaH iti arTaH /
   etāvatyeva lakṣaṇe siddhe paratantrāsiddhapadamimarthaṃ sphuṭayitum /	etAvatI eva lakzaNe sidDe paratantra asidDa padamimarTam sPuwayitum /
   anyathā sarvatantrasiddho 'pi samānatantrasiddha eveti bhramaḥ syāditi	anyaTA sarva tantra sidDaH api samAna tantra sidDaH eva iti BramaH syAt iti
   yatsiddhāvanyaprakaraṇasiddhiḥ so 'dhikaraṇasiddhāntaḥ //30 //	yat sidDO= anya prakaraNa sidDiH saH aDikaraNa sidDAntaH //30 //
   // pariśuddhiḥ //	// pariSudDiH //
   evaṃ vācanikasiddhāntadvayaṃ lakṣayitvā	evam vAcanika sidDAnta dvayam lakzayitvA
   talliṅgatvādabhiprāyasyābhiprāyikasiddhāntadvayopakrame	tad liFga tvAt aBiprAyasya aBiprAyika sidDAnta dvaya upakrame
   nyāyapradhānatvādasya śāstrasya nyāyānuṣaḍgiṇaṃ	nyAya praDAna tvAt asya SAstrasya nyAya anuzaxgiNam
   tāvadāha   yatsiddhāvityādi sūtram //30 //	tAvat Aha   yat sidDO= ityAdi sUtram //30 //
   etacca bhūṣaṇaprabhṛtayo dvidhā vyācakṣate /	etat ca BUzaNa praBRtayaH dviDA vyAcakzate /
   yasyārthasya sarvajñatvāderviśeṣasya siddhau kṣityādeḥ sakartṛkatvasya	yasya arTasya sarvajQa tva AdeH viSezasya sidDO kziti AdeH sa kartRkatvasya
   pratikriyamāṇasya siddhiḥ sa sarvajñatvādirviśeṣo 'dhikaraṇasiddhāntaḥ /	pratikriyamANasya sidDiH sa sarvajQa tva AdiH viSezaH aDikaraNa sidDAntaH /
   atha vā yasya sakartṛkatvādeḥ siddhāvantarbhūtā anye 'bhiprāyaprakāntāḥ	aTa vA yasya sa kartRka tva AdeH sidDO= antarBUtAH anye aBiprAya prakAntAH
   sarvajñatvādayo 'pi viśeṣāḥ sidhyanti so 'dhikaraṇasiddhānta iti /	sarvajQa tva AdayaH api viSezAH siDyanti saH aDikaraNa sidDAntaH iti /
   tadatra pakṣadvaye 'pi phalato na kaścid viśeṣa iti manvānaḥ śliṣṭaṃ	tat atra pakza dvaye api PalataH na kaScid viSezaH iti manvAnaH Slizwam
   bhāṣyaṃ vyācaṣṭe, sādhyasya vā hetārveti /	BAzyam vyAcazwe, sADyasya vA hetAH vA iti /
   prathamapakṣe sādhyaviśeṣasya hetuviśeṣasya vetyarthaḥ /	praTama pakze sADya viSezasya hetu viSezasya vA iti arTaH /
   dvitīye tu sugamam /	dvitIye tu sugamam /
   yatsiddhāvityatra nimittaviṣayabhāvapratibhāsanād vyākhyātṛvipratipatteśca	yat sidDO= iti atra nimitta vizaya BAva pratiBAsanAt vyAKyAtR vipratipatteH ca
   saptamyarthe sandehaḥ, tamapākaroti   viṣayasaptamīti /	saptamI arTe sandehaH, tam apAkaroti   vizaya saptamI iti /
   upapattimāha   dvayoriti /	upapattim Aha    dvayoH iti /
   idānīmekaṃ vyākhyānamupādāya sphuṭabhāṣyānusāreṇa tāvadāha   teneti /	idAnIm ekam vyAKyAnam upAdAya sPuwa BAzya anusAreNa tAvat Aha    tena iti /
   nanu ca pakṣo vā heturvā kaṇṭhata eva niyatatantrābhyupagamāt	nanu ca pakzaH vA hetuH vA kaNWate eva niyata tantra aByupagamAt
   pratitantrasiddhāntānna bhidyata ityata āha   anena rūpeṇeti /	prati tantra sidDAntAn na Bidyate iti atas Aha   anena rUpeNa iti /
   yadyapi svarūpato 'sya vācanika evābhyupagamaḥ, tathāpyanene	yadi api svarUpataH asya vAcanikaH eva aByupagamaH, taTA api anene
   rūpeṇabhiprāyika evetyatastato bhidyata ityarthaḥ /	rUpeNa BiprAyikaH eva iti atas tatas Bidyate iti arTaH /
   udāharati   pakṣastāvaditi /	udAharati   pakzaH tAvat iti /
   nanu pratītameva kartṛmattvaṃ kṣityāderaparyavasyat	nanu pratItam eva kartRmat tvam kziti AdeH aparyavasyat
   sarvajñatvādiviśeṣamākṣipati /	sarvajQa tva Adi viSezam Akzipati /
   tato na vyākhyātaviṣayasaptamyudāhaṇamidamityata āha   atreti /	tatas na vyAKyAta vizaya saptamI udAhaNam idam iti atas Aha   atra iti /
   nanvetadantarbhāvamantareṇa kimupalabdhimatpūrvakatvameva pratyetuṃ na	nanu etat antarBAvam antareNa kim upalabDimat pUrvaka tvam eva pratyetum na
