   Pañcaviṃśatisāhasrikā Prajñāpāramitā	PaQcaviMSati sAhasrikA PrajQApAramitA
   yadi cāyuṣman subhūte rūpam apy anutpādo yāvad buddhadharmā apy anutpādaḥ,	yadi ca Ayuzman suBUte rUpam api anutpAdaH yAvat budDa DarmAH api anutpAdaH,
   nanv āyuṣman subhūte prāptaiva śrāvakeṇa śrāvakabodhiḥ	nanu Ayuzman suBUte prAptA eva SrAvakeNa SrAvaka boDiH
   pratyekabuddhayānikena pratyekabuddhabodhiḥ, bodhisattvena prāptaiva	pratyekabudDa yAnikena pratyekabudDa boDiH, boDisattvena prAptA eva
   sarvākārajñatā bhavati, pañcānāñ ca gatīnāṃ bhedo na bhaviṣyati, prāptaiva	sarva AkAra jQa tA Bavati, paQcAnAn ca gatInAm BedaH na Bavizyati, prAptA eva
   bhavati bodhisattvena mahāsattvena pañcavidhā bodhiḥ.	Bavati boDisattvena mahAsattvena paQcaviDA boDiH.
   yadi cāyuṣman subhūte sarvadharmā anutpādaḥ, kim arthaṃ srotaāpannena	yadi ca Ayuzman suBUte sarva DarmAH anutpAdaH, kim arTam srotaApannena
   trayāṇāṃ saṃyojanānāṃ prahāṇāya mārgo bhāvayitavyaḥ, sakṛdāgāminā	trayANAm saMyojanAnAm prahANAya mArgaH BAvayitavyaH, sakRdAgAminA
   rāgadoṣamohānāṃ tanutāyai mārgo bhāvayitavyaḥ, anāgāminā pañcānām	rAga doza mohAnAm tanu tAyE mArgaH BAvayitavyaH, anAgAminA paQcAnAm
   avarabhāgīyānāṃ saṃyojanānāṃ prahāṇāya mārgo bhāvayitavyaḥ, arhatā	avaraBAgIyAnAm saMyojanAnAm prahANAya mArgaH BAvayitavyaH, arhatA
   pañcordhvabhāgīyānāṃ saṃyojanānāṃ prahāṇāya mārgo bhāvayitavyaḥ,	paQca UrDva BAgIyAnAm saMyojanAnAm prahANAya mArgaH BAvayitavyaH,
   pratyekabuddhayānikaiḥ pratyekabodhiprāptaye mārgo bhāvayitavyaḥ, kiṃ	pratyekabudDa yAnikEH pratyeka boDi prAptaye mArgaH BAvayitavyaH, kim
   kāraṇaṃ bodhisattvo duṣkaracārikāṃ carati, yāni tāni sattvānāṃ kṛtaśo	kAraNam boDisattvaH duzkara cArikAm carati, yAni tAni sattvAnAm kRtaSo
   duḥkhāni pratyanubhavati, kiṃ kāraṇaṃ tathāgatenārhatā	duHKAni pratyanuBavati, kim kAraNam taTAgatena arhatA
   samyaksaṃbuddhenānuttarā samyaksaṃbodhir abhisaṃbuddhā, (PvsP1 2: 164) kiṃ	samyaksaMbudDena anuttarA samyaksaMboDiH aBisaMbudDA, (Pu sP1 2: 164) kim
   kāraṇaṃ tathāgatenārhatā samyaksaṃbuddhena dharmacakraṃ pravartitam?	kAraNam taTAgatena arhatA samyaksaMbudDena Darma cakram pravartitam?
   subhūtir āha: nāham āyuṣman śāriputra anutpannasya dharmasya prāptim	suBUtiH Aha: na aham Ayuzman SAriputra anutpannasya Darmasya prAptim
   icchāmi nāpy abhisamayaṃ,	icCAmi na api aBisamayaM,
   nāham anutpādasya srotaāpannam icchāmi na srotaāpattiphalaṃ na	na aham anutpAdasya srotaApannam icCAmi na srotaApatti Palam na
   sakṛdāgāminaṃ na sakṛdāgāmiphalaṃ, nānāgāminaṃ nānāgāmiphalaṃ, nārhattvaṃ	sakRdAgAminam na sakRdAgAmi Palan, nAnA gAminam nAnA gAmi PalaM, na arhat tvam
   nārhattvaphalaṃ, nānutpādasya pratyekāṃ bodhim icchāmi na	na arhat tva Palan, na anutpAdasya pratyekAm boDim icCAmi na
   pratyekabuddhatvaṃ,	pratyekabudDa tvaM,
   nāham āyuṣman śāriputrecchāmi bodhisattvaṃ duṣkaracārikāṃ carantaṃ nāpi	na aham Ayuzman SAriputra icCAmi boDisattvam duzkara cArikAm carantam na api
   bodhisattvo duṣkarasaṃjñayā carati. tat kasya hetoḥ? na hi śakya āyuṣman	boDisattvaH duzkara saMjQayA carati. tat kasya hetoH? na hi SakyaH Ayuzman
   śāriputra duṣkarasaṃjñāyāṃ sthitvā aprameyāṇām asaṃkhyeyānām aparimāṇānāṃ	SAriputra duzkara saMjQAyAm sTitvA aprameyANAm asaMKyeyAnAm aparimANAnAm
   sattvānām arthaṃ kartum.	sattvAnAm arTam kartum.
   api tu khalu punar āyuṣman śāriputra mātṛsaṃjñāṃ sarvasattveṣu janayitvā	api tu Kalu punar Ayuzman SAriputra mAtR saMjQAm sarva sattvezu janayitvA
   pitṛsaṃjñāṃ bhrātṛsaṃjñāṃ putrasaṃjñām ātmasaṃjñāṃ janayitvā śakyo	pitR saMjQAm BrAtR saMjQAm putra saMjQAm Atma saMjQAm janayitvA SakyaH 
   'prameyāṇābm asaṃkhyeyānām aparimāṇānāṃ sattvānām arthaṃ kartum.	aprameyANa abm asaMKyeyAnAm aparimANAnAm sattvAnAm arTam kartum.
   api tu khalu punar āyuṣman śāriputra bodhisattvena mahāsattvena evaṃcittam	api tu Kalu punar Ayuzman SAriputra boDisattvena mahAsattvena evaMcittam
   utpādayitavyaṃ, yathā ātmā ātmeti cocyate atyantatayā anutpanna ātmā, evaṃ	utpAdayitavyan, yaTA AtmA AtmA iti ca ucyate atyanta tayA anutpannaH AtmA, evam
   sarveṣv adhyātmikabāhyeṣu dharmeṣu saṃjñotpādayitavyā, saced evaṃsaṃjñām	sarvezu aDyAtmika bAhyezu Darmezu saMjQA utpAdayitavyA, saced evaMsaMjQAm
   utpādayiṣyati na duṣkarasaṃjñāṃ bhaviṣyati. tat kasya hetoḥ? tathā hi te	utpAdayizyati na duzkara saMjQAm Bavizyati. tat kasya hetoH? taTA hi te
   bodhisattvāḥ sarveṇa sarvaṃ sarvathā sarvaṃ kañcid dharmaṃ notpādayante	boDisattvAH sarveNa sarvam sarvaTA sarvam kaQcid Darmam na utpAdayante
   nopalabhante.	na upalaBante.
   nāham āyuṣman śāriputrānutpāde tathagatam icchāmi, nāpy anuttarāṃ	na aham Ayuzman SAriputra anutpAde taTagatam icCAmi, na api anuttarAm
   samyaksaṃbodhiṃ, nāpi dharmacakrapravartanaṃ, nāpīcchāmy anutpannena	samyaksaMboDin, na api Darma cakra pravartanaM, na api icCAmi anutpannena
   dharmeṇānutpannāṃ prāptiṃ prāpyamāṇām.	DarmeNa anutpannAm prAptim prApyamANAm.
   śāriputra āha: kiṃ punar āyuṣman subhūte anutpannena dharmeṇa utpannā	SAriputraH Aha: kim punar Ayuzman suBUte anutpannena DarmeNa utpannA
   prāptiḥ prāpyate, atha utpannena dharmeṇa anutpannā prāptiḥ prāpyate?	prAptiH prApyate, aTa utpannena DarmeNa anutpannA prAptiH prApyate?
   subhūtir āha: nāham āyuṣman śāriputra utpannena dharmeṇa anutpannāṃ	suBUtiH Aha: na aham Ayuzman SAriputraH utpannena DarmeNa anutpannAm
   prāptiṃ prāpyamāṇām icchāmi, nāpy anutpanne notpannāṃ prāptiṃ prāpyamāṇām.	prAptim prApyamANAm icCAmi, na api anutpanne na utpannAm prAptim prApyamANAm.
   śāriputra āha: kiṃ punar āyuṣman subhūte anutpannena dharmeṇa prāptim	SAriputraH Aha: kim punar Ayuzman suBUte anutpannena DarmeNa prAptim
   icchasi, atha votpannena dharmeṇa prāptim icchasi?	icCasi, aTa vA utpannena DarmeNa prAptim icCasi?
   (PvsP1 2: 165)	(Pu sP1 2: 165)
   subhūtir āha: nāham āyuṣman śāriputra anutpannena dharmeṇa prāptim	suBUtiH Aha: na aham Ayuzman SAriputra anutpannena DarmeNa prAptim
   icchāmi, nāpy utpannena dharmeṇa prāptim icchāmi.	icCAmi, na api utpannena DarmeNa prAptim icCAmi.
   śāriputra āha: kiṃ punar āyuṣman subhūte nāsti prāptir nāsty abhisamayaḥ?	SAriputraH Aha: kim punar Ayuzman suBUte na asti prAptiH na asti aBisamayaH?
   subhūtir āha: asty āyuṣman śāriputra prāptir asty abhisamayo na punar	suBUtiH Aha: asti Ayuzman SAriputra prAptiH asti aBisamayaH na punar 
   dvayam, api tu khalu punar āyuṣman śāriputra lokavyavahāreṇa prāptiś	dvayam, api tu Kalu punar Ayuzman SAriputra loka vyavahAreNa prAptiH 
   cābhisamayaś ca prajñapyate lokavyavahāreṇa srotaāpanno vā sakṛdāgāmī vā	ca aBisamayaH ca prajQapyate loka vyavahAreNa srotaApannaH vA sakRdAgAmI vA
   anāgāmī vā arhan vā pratyekabuddho vā bodhisattvo vā buddho vā prajñapyate	anAgAmI vE arhan vA pratyekabudDaH vA boDisattvaH vA budDaH vA prajQapyate
   na punaḥ paramārthena prāptir nābhisamayo na srotaāpanno na sakṛdāgāmī	na punar parama arTena prAptiH nABi samayaH na srotaApannaH na sakRdAgAmI
   nānāgāmī nārhan na pratyekabuddho na bodhisattvo na buddhaḥ.	nAnA gAmI na arhan na pratyekabudDaH na boDisattvaH na budDaH.
   śāriputra āha: anutpanno dharma ity āyuṣman subhūte pratibhāti	SAriputraH Aha: anutpannaH DarmaH iti Ayuzman suBUte pratiBAti
   mantrayitum.	mantrayitum.
   subhūtir āha: anutpanno dharmo 'nutpanno dharma ity āyuṣman śāriputra yad	suBUtiH Aha: anutpannaH DarmaH anutpannaH DarmaH iti Ayuzman SAriputra yat 
   vadasi pratibhāti mantrayitum iti, anutpādo 'pi ye āyuṣman śāriputra	vadasi pratiBAti mantrayitum iti, anutpAdaH api ye Ayuzman SAriputra
   pratibhāti mantrayitum. tat kasya hetoḥ? tathā hy āyuṣman śāriputra yaś	pratiBAti mantrayitum. tat kasya hetoH? taTA hi Ayuzman SAriputra yaH 
   cānutpanno dharmo yac ca pratibhānaṃ ye ca mantrā yā cānutpattiḥ sarva ete	ca anutpannaH DarmaH yat ca pratiBAnam ye ca mantrA yA ca anutpattiH sarve ete
   dharmā na saṃyuktā na visaṃyuktā arūpiṇo 'nidarśanā apratighā ekalakṣaṇā	DarmAH na saMyuktA na visaMyuktAH arUpiNaH anidarSanA apratiGA eka lakzaNA
   yad utālakṣaṇāḥ.	yat uta alakzaNAH.
   śāriputra āha: anutpādo 'py āyuṣman subhūte mantraḥ, anutpādaḥ pratibhānam	SAriputraH Aha: anutpAdaH api Ayuzman suBUte mantraH, anutpAdaH pratiBAnam
   anutpādo dharmas te 'pi dharmā anutpannā yān ārabhya pratibhāti	anutpAdaH DarmaH te api DarmAH anutpannAH yAn AraBya pratiBAti
   mantrayitum.	mantrayitum.
   subhūtir āha: evam etad āyuṣman śāriputra anutpādo mantraḥ, anutpādaḥ	suBUtiH Aha: evam etat Ayuzman SAriputra anutpAdaH mantraH, anutpAdaH
   pratibhānam anutpādo dharmas te 'pi dharmā anutpannā, yān ārabhya	pratiBAnam anutpAdaH DarmaH te api DarmAH anutpannA, yAn AraBya
   pratibhāti mantrayitum. tat kasya hetoḥ? tathā hy āyuṣman śāriputra rūpam	pratiBAti mantrayitum. tat kasya hetoH? taTA hi Ayuzman SAriputra rUpam
   anutpādaḥ, evaṃ vedanā saṃjñā saṃskārā vijñānam anutpādaḥ, evaṃ	anutpAdaH, evam vedanA saMjQA saMskArAH vijQAnam anutpAdaH, evam
   vyastasamastāḥ skandhadhātava āyatanāni pratītyasamutpādaḥ pāramitāḥ	vyasta samastAH skanDa DAtavaH AyatanAni pratItyasamutpAdaH pAramitAH
   saptatriṃśad bodhipakṣā dharmāḥ sarvaśūnyatā	saptatriMSat boDi pakzAH DarmAH sarva SUnyatA
   apramāṇadhyānārūpyasamāpattayaḥ, abhijñāsamādhayo dhāraṇīmukhānibalāni	apramANa DyAna ArUpya samApattayaH, aBijQA samADayaH DAraNI muKAnibalAni
   vaiśāradyāni pratisaṃvido 'ṣṭādaśāveṇikā buddhadharmā anutpādaḥ,	vESAradyAni pratisaMvidaH azwAdaSa AveNikAH budDa DarmAH anutpAdaH,
   srotaāpannaḥ sakṛdāgāmī anāgāmī arhan pratyekabuddho bodhisattvaḥ	srotaApannaH sakRdAgAmI anAgAmI arhan pratyekabudDaH boDisattvaH
   sarvajñaḥ sarvākārajñaḥ sarvākārajñatāpy anutpādaḥ.	sarvajQaH sarva AkAra jQaH sarva AkAra jQa tA api anutpAdaH.
   śāriputra āha: evam etad āyuṣman subhūte anutpādo mantraḥ, (PvsP1 2: 166)	SAriputraH Aha: evam etat Ayuzman suBUte anutpAdaH mantraH, (PvsP1 2: 166)
   anutpādaḥ pratibhānam anutpādo dharmas te 'pi dharmā anutpannā yān ārabhya	anutpAdaH pratiBAnam anutpAdaH DarmaH te api DarmAH anutpannAH yAn AraBya
   pratibhāti mantrayituṃ, yāvat	pratiBAti mantrayituM, yAvat 
   skandhadhātvāyatanapratītyasamutpadapāramitābodhipakṣā dharmāḥ	skanDa DAtu Ayatana pratItyasamutpada pAramitA boDi pakzAH DarmAH
   sarvaśūnyatā sarvadhāraṇīmukhāni sarvasamādhayo balavaiśāradyapratisaṃvida	sarva SUnyatA sarva DAraNI muKAni sarva samADayaH bala vESAradya pratisaMvida
   āveṇikabuddhadharmāḥ peyālaṃ, yāvat sarvākārajñatāpy anutpādāḥ.	AveNika budDa DarmAH peyA alan, yAvat sarva AkAra jQa tA api anutpAdAH.
   śāriputra āha: kiṃ punar āyuṣman subhūte yathaiva lokavyavahāreṇa prāptiś	SAriputraH Aha: kim punar Ayuzman suBUte yaTA eva loka vyavahAreNa prAptiH 
   cābhisamayaś ca, evaṃ pañcāṇāṃ gatīnāṃ saṃbhedo bhavati lokavyavahāreṇa	ca aBisamayaH ca, evam paQcANAm gatInAm saMBedaH Bavati loka vyavahAreNa
   paramārthato na bhavati.	paramArTataH na Bavati.
   subhūtir āha: evam etad āyuṣman śāriputraivam etat, yathaiva	suBUtiH Aha: evam etat Ayuzman SAriputra evam etat, yaTA eva
   lokavyavahāreṇa prāptiś cābhisamayaś ca tathaiva lokavyavahāreṇa pañcāṇāṃ	loka vyavahAreNa prAptiH ca aBisamayaH ca taTA eva loka vyavahAreNa paQcANAm
   gatīnāṃ saṃbhedo bhavati nātra khalu punaḥ paramārthena. tat kasya hetoḥ?	gatInAm saMBedaH Bavati na atra Kalu punar parama arTena. tat kasya hetoH?
   tathā hy āyuṣman śāriputra paramārthe na karma na vipāko notpādo na	taTA hi Ayuzman SAriputra parama arTe na karma na vipAkaH na utpAdaH na
   nirodho na saṃkleśo na vyavadānam.	niroDaH na saMkleSaH na vyavadAnam.
   śāriputra āha: kiṃ punar āyuṣman subhūte 'nutpanno dharma utpadyate utāho	SAriputraH Aha: kim punar Ayuzman suBUte anutpannaH DarmaH utpadyate uta aho
   utpanno dharma utpadyate.	utpannaH DarmaH utpadyate.
   subhūtir āha: nāham āyuṣman śāriputra utpannasya dharmasya utpādam icchāmi	suBUtiH Aha: na aham Ayuzman SAriputraH utpannasya Darmasya utpAdam icCAmi
   nāpy anutpannasya dharmasya utpādam icchāmi.	na api anutpannasya Darmasya utpAdam icCAmi.
   śāriputra āha: katamasyāyuṣman subhūte anutpannasya dharmasyotpādaṃ	SAriputraH Aha: katamasya Ayuzman suBUte anutpannasya Darmasya utpAdam
   necchasi?	na icCasi?
   subhūtir āha: rūpasyāham āyuṣman śāriputra anutpannasya dharmasya	suBUtiH Aha: rUpasya aham Ayuzman SAriputra anutpannasya Darmasya
   svabhāvaśūnyasyotpādaṃ necchāmi, vedanāyāḥ saṃjñāyāḥ saṃskārāṇāṃ	svaBAva SUnyasya utpAdam na icCAmi, vedanAyAH saMjQAyAH saMskArANAm
   vijñānasyāham āyuṣman śāriputra anutpannasya dharmasya	vijQAnasya aham Ayuzman SAriputra anutpannasya Darmasya
   svabhāvaśūnyasyotpādaṃ necchāmi, evaṃ vyastasamastānāṃ	svaBAva SUnyasya utpAdam na icCAmi, evam vyasta samastAnAm
   skandhadhātvāyatanānāṃ pratītyasamutpādasya pāramitānāṃ bodhipakṣāṇāṃ	skanDa DAtu AyatanAnAm pratItyasamutpAdasya pAramitAnAm boDi pakzANAm
   dharmāṇām apramāṇadhyānārūpyasamāpattīnām abhijñānāṃ sarvaśūnyatānāṃ	DarmANAm apramANa DyAna ArUpya samApattInAm aBijQAnAm sarva SUnyatAnAm
   sarvasamādhīnāṃ dhāraṇīmukhānāṃ balānāṃ vaiśāradyānāṃ pratisaṃvidām	sarva sama aDInAm DAraNI muKAnAm balAnAm vESAradyAnAm pratisaMvidAm
   aṣṭādaśānām āveṇikānāṃ buddhadharmāṇāṃ bodher apy aham āyuṣman śāriputra	azwAdaSAnAm AveNikAnAm budDa DarmANAm boDeH api aham Ayuzman SAriputra
   anutpāpannāyāḥ svabhāvaśūnyāyā utpādaṃ necchāmi.	anutpApannAyAH svaBAva SUnyAyAH utpAdam na icCAmi.
   śāriputra āha: kiṃ punar āyuṣman subhūte utpāda utpadyate athānutpāda	SAriputraH Aha: kim punar Ayuzman suBUte utpAdaH utpadyate aTa anutpAda
   utpadyate?	utpadyate?
   subhūtir āha: na hy āyuṣman śāriputra utpāda utpadyate nāpy anutpāda	suBUtiH Aha: na hi Ayuzman SAriputraH utpAdaH utpadyate na api anutpAda
   utpadyate. tat kasya hetoḥ? tathā hy āyuṣman śāriputra yaś cotpādo yaś	utpadyate. tat kasya hetoH? taTA hi Ayuzman SAriputra yaH ca utpAdaH yaH 
   (PvsP1 2: 167) cānutpādo dvāv apy etau dharmau na saṃyuktau na visaṃyuktau	(Pu sP1 2: 167) ca anutpAdaH dvO api etO DarmO na saMyuktO na visaMyuktO
   arūpiṇau anidarśanau apratighau ekalakṣaṇau yad utālakṣaṇau.	arUpiNO anidarSanO apratiGO eka lakzaNO yat uta alakzaNO.
   anenāyuṣman śāriputra paryāyeṇa notpāda utpadyate nāpy anutpāda utpadyate.	anena Ayuzman SAriputra paryAyeNa na utpAdaH utpadyate na api anutpAdaH utpadyate.
   anenāyuṣman śāriputra paryāyeṇa anutpādo mantro 'nutpādaḥ pratibhānam,	anena Ayuzman SAriputra paryAyeNa anutpAdaH mantraH anutpAdaH pratiBAnam ,
   anutpādo dharmas te 'pi dharmā anutpannā yān ārabhya pratibhāti	anutpAdaH DarmaH te api DarmAH anutpannAH yAn AraBya pratiBAti
   mantrayitum.	mantrayitum.
   śāriputra āha: dharmakathikānām āyuṣmān subhūtir agratāyāṃ sthāpayitavyaḥ.	SAriputraH Aha: Darma kaTikAnAm AyuzmAn suBUtiH agra tAyAm sTApayitavyaH.
   tat kasya hetoḥ? tathā hi āyuṣmān subhūtir yad yad eva paripraśnīkriyate	tat kasya hetoH? taTA hi AyuzmAn suBUtiH yat yat eva paripraSnIkriyate
   tatas tata eva niḥsarati.	tatas tatas eva niHsarati.
   subhūtir āha: dharmataiṣā āyuṣman śāriputra tathāgataśrāvakāṇām	suBUtiH Aha: DarmatA ezA Ayuzman SAriputra taTAgata SrAvakANAm
   aniśritasarvadharmāṇāṃ te yato yata eva paripṛcchyante tatas tata eva	aniSrita sarva DarmANAm te yatas yatas eva paripRcCyante tatas tatas eva
   niḥsaranti. tat kasya hetoḥ? yathāpi nāmāniśritatvāt sarvadharmāṇām.	niHsaranti. tat kasya hetoH? yaTA api nAma aniSrita tvAt sarva DarmANAm .
   śāriputra āha: katham āyuṣman subhūte aniśritāḥ sarvadharmāḥ?	SAriputraH Aha: kaTam Ayuzman suBUte aniSritAH sarva DarmAH?
   subhūtir āha: rūpam āyuṣman śāriputra prakṛtiśūnyaṃ taṃ nādhyātmaniśritaṃ	suBUtiH Aha: rUpam Ayuzman SAriputra prakRti SUnyam tam na aDyAtma niSritam
   na bahirdhāniśritaṃ nobhayam antareṇopalabhyate, vedanā saṃjñā saṃskārā,	na bahirDAni Sritam na uBayam antareNa upalaByate, vedanA saMjQA saMskArA,
   vijñānam āyuṣman śāriputra prakṛtiśūnyaṃ taṃ nādhyātmaniśritaṃ na	vijQAnam Ayuzman SAriputra prakRti SUnyam tam na aDyAtma niSritam na
   bahirdhāniśritaṃ nobhayam antareṇopalabhyate.	bahirDAni Sritam na uBayam antareNa upalaByate.
   cakṣur āyuṣman śāriputra prakṛtiśūnyaṃ taṃ nādhyātmaniśritaṃ na	cakzuH Ayuzman SAriputra prakRti SUnyam tam na aDyAtma niSritam na
   bahirdhāniśritaṃ nobhayam antareṇopalabhyate, evaṃ śrotraṃ ghrāṇaṃ jihvā	bahirDAni Sritam na uBayam antareNa upalaByate, evam Srotram GrANam jihvA
   kāyo mana āyuṣman śāriputra prakṛtiśūnyaṃ taṃ nādhyātmaniśritaṃ na	kAyaH manaH Ayuzman SAriputra prakRti SUnyam tam na aDyAtma niSritam na
   bahirdhāniśritaṃ nobhayam antareṇopalabhyate.	bahirDAni Sritam na uBayam antareNa upalaByate.
   dānapāramitāpi āyuṣman śāriputra prakṛtiśūnyā sā nādhyātmaṃ na bahirdhā	dAna pAramitA api Ayuzman SAriputra prakRti SUnyA sA na aDyAtmam na bahirDA
   nobhayam antareṇopalabhyate, evaṃ śīlapāramitā kṣāntipāramitā	na uBayam antareNa upalaByate, evam SIla pAramitA kzAnti pAramitA
   vīryapāramitā dhyānapāramitā prajñāpāramitāpy āyuṣman śāriputra	vIrya pAramitA DyAna pAramitA prajQApAramitA api Ayuzman SAriputra
   prakṛtiśūnyā sā nādhyātmaṃ na bahirdhā nobhayam antareṇopalabhyate.	prakRti SUnyA sA na aDyAtmam na bahirDA na uBayam antareNa upalaByate.
   adhyātmaśūnyatā prakṛtiśūnyā sā nādhyātmaṃ na bahirdhā nobhayam	aDyAtma SUnyatA prakRti SUnyA sA na aDyAtmam na bahirDA na uBayam
   antareṇopalabhyate, evaṃ bahirdhāśūnyatā adhyātmabahirdhāśūnyatā yāvad	antareNa upalaByate, evam bahirDA SUnyatA aDyAtma bahirDA SUnyatA yAvat 
   abhāvasvabhāvaśūnyatā prakṛtiśūnyā sā nādhyātmaṃ na bahirdhā nobhayam	aBAva svaBAva SUnyatA prakRti SUnyA sA na aDyAtmam na bahirDA na uBayam
   antareṇopalabhyate.	antareNa upalaByate.
   smṛtyupasthānāni prakṛtiśūnyāni tāni nādhyātmaṃ na bahirdhā nobhayam	smRti upasTAnAni prakRti SUnyAni tAni na aDyAtmam na bahirDA na uBayam
   antareṇopalabhyate, evaṃ samyakprahāṇāni ṛddhipādā indriyāṇi (PvsP1 2:	antareNa upalaByate, evam samyak prahANAni RdDipAdAH indriyANi (PvsP1 2:
   168) balāni bodhyaṅgāni āryāṣṭāṅgo mārgaḥ prakṛtiśūnyaḥ sa nādhyātmaṃ na	168) balAni boDi aFgAni Arya azwa aFgaH mArgaH prakRti SUnyaH sa na aDyAtmam na
   bahirdhā nobhayam antareṇopalabhyate.	bahirDA na uBayam antareNa upalaByate.
   evam	evam
   apramāṇadhyānārūpyasamāpattyabhijñāsamādhidhāraṇīmukhabalavaiśāradyapratisaṃvido	apramANa DyAna ArUpya samApatti aBijQA samADi DAraNI muKa bala vESAradya pratisaMvidaH 
   'ṣṭādaśāveṇikā buddhadharmāḥ prakṛtiśūnyās te nādhyātmaṃ na bahirdhā	azwAdaSa AveNikAH budDa DarmAH prakRti SUnyAH te na aDyAtmam na bahirDA
   nobhayam antareṇopalabhyate.	na uBayam antareNa upalaByate.
   anenāyuṣman śāriputra paryāyeṇa sarvadharmā aniśritāḥ, prakṛtiśūnyatām	anena Ayuzman SAriputra paryAyeNa sarva DarmAH aniSritAH, prakRti SUnyatAm
   upādāya. evaṃ hi āyuṣman śāriputra bodhisattvena mahāsattvena ṣaṭsu	upAdAya. evam hi Ayuzman SAriputra boDisattvena mahAsattvena zawsu
   pāramitāsu caratā rūpaṃ pariśodhayitavyaṃ, vedanā saṃjñā saṃskārā vijñānaṃ	pAramitAsu caratA rUpam pariSoDayitavyan, vedanA saMjQA saMskArAH vijQAnam
   pariśodhayitavyam, evaṃ vyastasamastāḥ skandhā dhātavaḥ, āyatanāni	pariSoDayitavyam, evam vyasta samastAH skanDAH DAtavaH, AyatanAni
   pratītyasamutpādaḥ sarvapāramitāḥ sarvaśūnyatāḥ sarvasamādhayaḥ	pratItyasamutpAdaH sarva pAramitAH sarva SUnyatAH sarva samADayaH
   sarvadhāraṇīmukhāni saptatriṃśad bodhipakṣyā dharmāḥ,	sarva DAraNI muKAni saptatriMSat boDi pakzyAH DarmAH,
   apramāṇadhyānārūpyasamāpattayo 'bhijñādaśabalāni catvāri vaiśāradyāni	apramANa DyAna ArUpya samApattayaH aBijQA daSa balAni catvAri vESAradyAni
