   dvitīya uddyotaḥ	dvitIyaH uddyotaH
   sasandehotprekṣāsaṅkaretyarthaḥ /	sa sandeha utprekzA saFkara iti arTaH /
   nākṣepa ityatra hetumāha   yo ya ityādi /	nAkzepaH iti atra hetum Aha   yaH yaH ityAdi /
   vāsudeva iva asamprāptalakṣmīko yo yo janaḥ, sa sa māṃ mathnīyāt /	vAsudevaH iva asamprApta lakzmIkaH yaH yaH janaH, sa sa mAm maTnIyAt /
   nirvyājavijigoṣākrānto yo yaḥ, sa sa mayi setuṃ	nirvyAja vijigoza AkrAntaH yaH yaH, sa sa mayi setum
   badhnīyādityādisaṃśayasambhavādityarthaḥ /	baDnIyAt ityAdi saMSaya samBavAt iti arTaH /
   svoktyā vyaṅgyāviṣkaraṇamāśaṅkya pariharati   ta cetyādi /	sva uktyA vyaFgya AvizkaraNam ASaFkya pariharati   ta ca ityAdi /
   ayamartha iti /	ayam arTaH iti /
   rājño vāsudevatvamityarthaḥ /	rAjQaH vAsudeva tvam iti arTaH /
   itīti hetau /	iti iti hetO /
   ayaṃ rūpakadhvanireveti siddhamityanvayaḥ /	ayam rUpaka DvaniH eva iti sidDam iti anvayaH /
   atra hetumāha   śabdeti /	atra hetum Aha    Sabda iti /
   śabdavyāpāraḥ abhidhā /	Sabda vyApAraH aBiDA /
   kvacit granthe prāptaśrīrityasyānantaraṃ yathā vā 'jyotsnāpūre'tyādi pāṭho	kvacid granTe prApta SrIH iti asya anantaram yaTA vA ajyotsnA pUre atyAdi pAWaH 
   dṛśyate, sa locanam yathā ca     jyotsnāpūraprasaradhavale saikate	dRSyate, sa locanam yaTA ca    jyotsnA pUra prasara Davale sEkate
   'sminsarayvā vādadyūtaṃ suciramabhavatsiddhayūnoḥ kayościt /	asmin sarayvA vAda dyUtam su ciram aBavat sidDa yUnoH kayoH cit /
   eko 'vādītprathamanihataṃ keśinaṃ kaṃsamanyo matvā tattavaṃ kathaya	ekaH avAdIt praTama nihatam keSinam kaMsam anyaH matvA tat tavam kaTaya
   bhavatā ko hatastatra pūrvam //	BavatA kaH hataH tatra pUrvam //
   iti kecidudāharaṇamatra paṭhanti, tadasat ; bhavatetyanena śabdabalenātra,	iti kecid udAharaNam atra paWanti, tat asat ; BavatA iti anena Sabda balena atra,
   tvaṃ vāsudeva ityarthasya sphuṭīkṛtatvāt /	tvam vAsudevaH iti arTasya sPuwIkRta tvAt /
   lāvaṇyaṃ saṃsthānamugdhimā, kāntiḥ prabhā tābhyāṃ paripūritāni	lAvaNyam saMsTAna mugDimA, kAntiH praBA tAByAm paripUritAni
   saṃvibhaktani hṛdyāni sampāditāni diṅmukhāni yena /	saMviBaktani hRdyAni sampAditAni diFmuKAni yena /
   adhunā kopakāluṣyādanantaraṃ prasādaunmukhyena /	aDunA kopa kAluzyAt anantaram prasAda OnmuKyena /
   smereriṣadvihasanaśīle taralāyate prasādāndolanavikāsasundare akṣiṇī	smereH izat vihasana SIle taralAyate prasAda Andolana vikAsa sundare akziNI
   yasyāstasyā āmantraṇam /	yasyAH tasyAH AmantraNam /
   atha cādhunā na eti, vṛtte tu kṣaṇāntare kṣobhamagamat /	aTa ca aDunA na eti, vRtte tu kzaNa antare kzoBam agamat /
   kopakaṣāyapāṭalaṃ smeraṃ ca tava mukhaṃ	kopa kazAya pAwalam smeram ca tava muKam
   sandhyāruṇapūrṇaśaśadharamaṇḍalameveti bhāvyaṃ kṣobheṇa calacittatayā	sanDyA aruNa pUrNa SaSa Dara maNxalam eva iti BAvyam kzoBeNa cala citta tayA
   sahṛdayasya /	sahRdayasya /
   na caiti tatsuvyaktamanvarthatāyaṃ jalarāśirjaḍyasañjayaḥ /	na ca eti tad su vyaktam anvarTa tA ayam jala rASiH jaxya saQjayaH /
   jalādayaḥ śabdā bhāvārthapradhānā bālapriyā tvapapāṭha	jala AdayaH SabdAH BAva arTa praDAnA bAlapriyA tu apapAWa
   ityāha   yathocetyādi /	iti Aha   yaToca ityAdi /
   tadasadityatra hetumāha   bhavatetyādi /	tat asat iti atra hetum Aha    BavatA ityAdi /
   sphuṭīkṛtatvāditi /	sPuwIkRta tvAt iti /
   bhavacchabdārthasya varṇyasya rājño hananakartṛtvoktyā tasya vāsudevābhedo	Bavat Sabda arTasya varNyasya rAjQaH hanana kartR tva uktyA tasya vAsudeva aBedaH 
   yataḥ sphujīkṛtastasmādityarthaḥ /	yatas sPujIkRtaH tasmAt iti arTaH /
   tathācātra vyaṅgyaṃ guṇībhūtamiti bhāvaḥ /	taTA ca atra vyaFgyam guNIBUtam iti BAvaH /
   paunaruktyaparihārāya lāvaṇyapadenātra vivakṣitamarthaṃ	pOnarukti aparihArAya lAvaNya padena atra vivakzitam arTam
   vyācaṣṭe   saṃsthāneti /	vyAcazwe    saMsTAnA iti /
   ākṛtisaundaryamityarthaḥ /	AkRti sOndaryam iti arTaH /
   'saṃvibhaktānī'tyasyaiva vivaraṇaṃ hṛdyānītyādi /	asaMviBaktAnI atyasya eva vivaraNam hRdyAni ityAdi /
   diṅmukhānīti /	diFmuKAni iti /
   diśāmārambhadeśā ityarthaḥ /	diSAm AramBa deSAH iti arTaH /
   yeṣu mukhasya svadṛṣṭidvārā sambandhastāni diṅmukhānīti bhāvaḥ /	yezu muKasya sva dRzwi dvArA sambanDaH tAni diFmuKAni iti BAvaH /
   'adhune'tyasya 'smere' ityanena sambandha iti vyācaṣṭe   kopetyādi /	aaDune atyasya asmere a iti anena sambanDaH iti vyAcazwe   ka upa itya Adi /
   prasādeti /	prasAda iti /
   prasādena yāvāndolanavikāsau tābhyāṃ sundare ityarthaḥ /	prasAdena yAvAn dolana vikAsO tAByAm sundare iti arTaH /
   vyaṅgyānugaṇamarthāntaraṃ cāha   atha cetyādi /	vyaFgya anugaNam arTa antaram ca Aha   aTa ca ityAdi /
   adhunetyasya na eti ityanenāpi sambandha iti bhāvaḥ /	aDunA iti asya naH eti iti anena api sambanDaH iti BAvaH /
   adhunā naitītyanena gamyamarthāntaraṃ darśayati   vṛtte tvityādi /	aDunA na eti iti anena gamyam arTa antaram darSayati    vRtte tu ityAdi /
   vṛtte gate /	vRtte gate /
   kṣaṇāntare kṣaṇaviśeṣe, candrodayakāle iti yāvat /	kzaNa antare kzaNa viSeze, candra udaya kAle iti yAvat /
   kṣobhamagamaditi /	kzoBam agamat iti /
   payodhiriti śeṣaḥ /	payoDiH iti SezaH /
   payodheḥ kṣobho dṛṣṭa iti bhāvaḥ /	payoDeH kzoBaH dRzwaH iti BAvaH /
   rūpakadhvaniṃ darśayati   kopetyādi /	rUpaka Dvanim darSayati   kopa ityAdi /
   itīti hetau /	iti iti hetO /
   tathāvidhasya mukhasya tathāvidhacandramaṇjalābhinnatvādityarthaḥ /	taTAviDasya muKasya taTAviDa candra maNjala aBinna tvAt iti arTaH /
   taddarśanāditi yāvat /	tad darSanAt iti yAvat /
   bhāvyamityādi /	BAvyam ityAdi /
   sahṛdayasya madanavikāratmakacittacāñcalyarūpeṇa kṣobheṇa bhāvyamityarthaḥ	sahRdayasya madana vikAra tmaka citta cAQcalya rUpeNa kzoBeNa BAvyam iti arTaH
   payodhestu salilollāsalakṣaṇaḥ kṣobhaḥ /	payoDeH tu salila ullAsa lakzaNaH kzoBaH /
   dvayoḥ kṣobhayoratrābhedādhyavasāyaḥ /	dvayoH kzoBayoH atra aBeda aDyavasAyaH /
   kṣobhapadasya cittacāñcalyamātrārthakatve tu mukhasya saundaryātiśaya eva	kzoBa padasya citta cAQcalya mAtra arTaka tve tu muKasya sOndarya atiSayaH eva
   dhvanenna candrābhedaḥ /	Dvanet na candrABedaH /
   ataścandrodayakāryabhūtasalilollāsarūpakṣobhārthakatvamapi vivakṣitam /	atas candra udaya kArya BUta salila ullAsa rUpa kzoBa arTaka tvam api vivakzitam /
   na caitīti /	na ca eti iti /
   payodhiḥ kṣobhamiti śeṣaḥ /	payoDiH kzoBam iti SezaH /
   taditi /	tat iti /
   kṣobhaprāptyabhāvādityarthaḥ /	kzoBa prApti aBAvAt iti arTaH /
   jāḍyasañcaya locanam ityuktaṃ prāk /	jAxya saQcaya locanam iti uktam prAk /
   atra ca kṣobho madanavikārātmā sahṛdayasya tvanmukhāvalokanena	atra ca kzoBaH madana vikAra AtmA sahRdayasya tvad muKa avalokanena
   bhavatītīyatyabhidhāyā viśrāntatayā rūpakaṃ dhvanyamānameva /	Bavati itIyati aBiDAyAH viSrAnta tayA rUpakam DvanyamAnam eva /
   vācyālaṅkāraścātra śleṣaḥ, sa ca na vyañjakaḥ /	vAcya alaFkAraH ca atra SlezaH, sa ca na vyaQjakaH /
   anuraṇanarūpaṃ yadrūpakamarthaśaktivyaṅgyaṃ tadāśrayeṇeha kāvyasya	anuraNana rUpam yat rUpakam arTa Sakti vyaFgyam tat ASrayeNa iha kAvyasya
   cārutvaṃ vyavatiṣṭhate /	cAru tvam vyavatizWate /
   tatastenaiva vyapadeśa iti sambandhaḥ /	tatas tena eva vyapadeSaH iti sambanDaH /
   tulyojanatvādupamādhvanyudāharaṇayorlakṣaṇaṃ svakaṇṭhena na yojitam /	tulyojana tvAt upamADvani udAharaNayoH lakzaNam sva kaNWena na yojitam /
   vīrāṇāṃ ramate ghusṛṇāruṇe na tathā priyāstanotsaṅge /	vIrANAm ramate GusRNa aruNe na taTA priyA stana utsaFge /
   dṛṣṭī ripugajakumbhatthale yathā bahalasindūre //	dRzwiH ripu gaja kumBa tTale yaTA bahala sindUre //
   prasādhitapriyatamāśvāsanaparatayā	prasADita priyatamASvAsana para tayA
   samanantarībhūtayuddhatvaritamanaskatayā ca dolāyamānadṛṣṭitve 'pi yuddhe	samanantarI BUta yudDa tvarita manaskatayA ca dolAyamAna dRzwi tve api yudDe
   tvarātiśaya iti vyatireko vācyālaṅkāraḥ /	tvarA atiSayaH iti vyatirekaH vAcya alaFkAraH /
   tatra tu yeyaṃ dhvanyamānopamā priyākucakuṅmalābhyāṃ	tatra tu yA iyam DvanyamAna upamA priyA kuca kuFmalAByAm
   sakalajanatrāsakareṣvapi śātraveṣu mardanodyateṣu rājakumbhasthaleṣu	sakala jana trAsa karezu api SAtravezu mardana udyatezu rAja kumBa sTalezu
   bālapriyā iti /	bAla priyAH iti /
   āśrayāśrayiṇorabhedādhyavasāyenoktiḥ /	ASraya ASrayiNa uH aBeda aDyavasAyena uktiH /
   manye ityanenāsya sambandhaḥ /	manye iti anena asya sambanDaH /
   niścinomiti tadarthaḥ. /	niScinom iti tad arTaH. /
   tathāvidhe mukhe prakāśamāne kṣobhaprāptyabhāvāt, janairucyamānaṃ	taTAviDe muKe prakASamAne kzoBa prApti aBAvAt, janEH ucyamAnam
   mahajjāḍyaṃ payodherniścinomityarthaḥ /	mahat jAxyam payoDeH niScinom iti arTaH /
   atrāpi jāḍyapadārthasyānābhijñatvasya jalasya caikyādhyavasāyo bodhyaḥ /	atra api jAxya padArTasya ana aBijQa tvasya jalasya ca Ekya aDyavasAyaH boDyaH /
   bhāvārthapradhānā iti /	BAva arTa praDAnAH iti /
   prādhānyena jāḍyādyarthavācakā ityarthaḥ /	prADAnyena jAxya Adi arTa vAcakAH iti arTaH /
   vyaṅgyasyoktasya vācyasiddhyaṅgatvaṃ nirākurvan dhvaniṃ	vyaFgyasya uktasya vAcya sidDi aFga tvam nirAkurvan Dvanim
   vyavasthāpayati  atra cetyādi /	vyavasTApayati   atra ca ityAdi /
   tvanmukhāvalokaneneti /	tvad muKa avalokanena iti /
   saptamyantatayāpi pāṭhaḥ /	saptamI anta tayA api pAWaH /
   iyatīti /	iyati iti /
   tathāvidhakṣobhaprāptyabhāvāt payonidhirjaḍarāśiriti niścinomi	taTAviDa kzoBa prApti aBAvAt payoniDiH jaxa rASiH iti niScinomi
   ityetāvatyarthe ityarthaḥ /	iti etO= atI arTe iti arTaH /
   rūpakamiti /	rUpakam iti /
   nāyikāmukhe pūrṇacandrābheda ityarthaḥ /	nAyikA muKe pUrNa candra aBedaH iti arTaH /
   śleṣa iti /	SlezaH iti /
   jaḍaśabdagataśleṣa ityarthaḥ /	jaxa Sabda gata SlezaH iti arTaH /
   na vyañjaka iti tasyoktarūpakadhvanāvanupayogāditi bhāvaḥ /	na vyaQjakaH iti tasya ukta rUpaka DvanO= anupayogAt iti BAvaH /
   anuraṇanarūparupaketyādi vyācaṣṭe  anuraṇanarūpaṃ yadrūpakamityādi /	anuraNana rUparupaka ityAdi vyAcazwe  anuraNana rUpam yat rUpakam ityAdi /
   nanu vṛttau vīrāṇāmityudāharaṇayorupamādhvaniḥ svaśabdena kutato na yojita	nanu vRttO vIrANAm iti udAharaNayoH upamA DvaniH sva Sabdena kutatas na yojita
   ityata āha  tulyetyādi /	iti atas Aha   tulya ityAdi /
   svakaeṭhana svavacanena /	sva kaeWana sva vacanena /
   vīrāṇāmiti /	vIrANAm iti /
   virāṇāṃ dṛṣṭiryathā bahalasindūre ripugajakumbhasthale ramate, tathā	virANAm dRzwiH yaTA bahala sindUre ripu gaja kumBa sTale ramate, taTA
   ghusṛṇāruṇe priyāstanotsaṅge na samate ityanvayaḥ /	GusRNa aruNe priyA stana utsaFge na samate iti anvayaH /
   ghusṛṇaṃ kuṅkumam /	GusRNam kuFkumam /
   vivṛṇoti   prasādhitetyādi /	vivRNoti    prasADita ityAdi /
   prasādhitā alaṅkṛtā /	prasADitAH alaFkRtAH /
   samāśvāsanaṃ sambhogenānandanam /	samASvAsanam samBogena Anandanam /
   samanantarībhūteti /	samanantarIBUta iti /
   pratyāsannetyarthaḥ /	pratyAsannA iti arTaH /
   ḍolāyamānā cañcalā /	xolAyamAnA caQcalAH /
   iti vyatireko vācyālaṅkāra iti /	iti vyatirekaH vAcya alaFkAraH iti /
   vīrāṇāṃ dṛṣṭeḥ priyātanotsaṅgaramaṇāpekṣayā ripugajakumbhasthalaramaṇe	vIrANAm dRzweH priyAtana utsaFga ramaNa apekzayA ripu gaja kumBa sTala ramaNe
   'tiśayasya pratipādanāt sambhogatvarāpekṣayā yuddhe tvarātiśayo gamyata	atiSayasya pratipAdanAt samBoga tvara apekzayA yudDe tvarA atiSayaH gamyata
   iti tasya vācyāyamānatvāt vācyalaṅkāratā /	iti tasya vAcyAyamAna tvAt vAci alaFkAra tA /
   yadvā   iti vyatireka ityasya ityarthavyañjako vyatireka ityarthaḥ /	yat vA    iti vyatirekaH iti asya iti arTa vyaQjakaH vyatirekaH iti arTaH /
   sa ca pūrvoktaḥ /	sa ca pUrva uktaH /
   atropamādhvaniṃ vivṛṇoti   tatra tvityādi /	atra upamA Dvanim vivRNoti   tatra tu ityAdi /
   tatra tadvacane /	tatra tad vacane /
   yeyamityādi    gajakumbhasthaleṣu ityasya upametyanena sambandhaḥ /	yA iyam ityAdi     gaja kumBa sTalezu iti asya upamA iti anena sambanDaH /
   gajakumbhasthalānuyogikā priyākucakuṅmalapratiyogikā dhvanyamānā	gaja kumBa sTalA anuyogikA priyA kuca kuFmala pratiyogikAH DvanyamAnA
   yeyamupametyarthaḥ /	yA iyam upamA iti arTaH /
   asyāḥ prādhānyaṃ vivṛṇoti   sakaletyādi /	asyAH prADAnyam vivRNoti   sakala ityAdi /
   etāni kumbhasthalaviśeṣaṇāni vastusthitikathanaparāṇi /	etAni kumBasTala viSezaNAni vastu sTiti kaTana parANi /
   yathā vā mamaiva viṣamabāṇalīlāyāmasuraparākramaṇe kāmadevasya   	yaTA vA mama eva vizama bANa lIlAyAm asura parAkramaNe kAmadevasya   
   taṃ tāṇa sirisahoararaaṇāharaṇammi hiaamekkarasam /	tam tANa siri sahoa ra raaNa AharaNammi hiaam ekka rasam /
   bimbāhare piāṇaṃ ṇivesiaṃ kusumabāṇena //	bimba ahare piANam Nivesiam kusuma bANena //
   (tatteṣāṃ śrīsahodararatnāharaṇe hṛdayamekarasam /	(tat tezAm SrI sahodara ratna AharaNe hRdayam eka rasam /
   bimbādhare priyāṇāṃ niveśitaṃ kusumabāṇena //	bimba aDare priyANAm niveSitam kusuma bANena //
   iti chāyā ) ākṣepadhvaniryathā     sa vaktumakhilān śakto hayagrīvāśritān	iti CAyA ) Akzepa DvaniH yaTA    sa vaktum aKilAn SaktaH hayagrIvA ASritAn
   guṇān /	guNAn /
   yo 'mbukumbhaiḥ paricchedaṃ jñātuṃ śakto mahodadheḥ //	yaH ambu kumBEH paricCedam jQAtum SaktaH mahodaDeH //
   locanam tadvaśena ratimādadānānāmiva bahumāna iti saiva	locanam tad vaSena ratim AdadAnAnAm iva bahu mAnaH iti sA eva
   vīratātiśayacamatkāraṃ vidhatta ityupamāyāḥ prādhānyam /	vIra tA atiSaya camatkAram viDatte iti upamAyAH prADAnyam /
   asuraparākramaṇa iti /	asura parAkramaNaH iti /
   trailokyavijayo hi tatrāsya varṇyate /	trElokya vijayaH hi tatra asya varNyate /
   teṣāmasurāṇāṃ pātālavāsināṃ yaiḥ punaḥ punarindrapurāvamardanādi kiṃ kiṃ	tezAm asurANAm pAtAla vAsinAm yEH punar punar indra pura avamardana Adi kim kim
   na kṛtaṃ taddhṛdayamiti yattebhyastebhyo 'tiduṣkarebhyo	na kRtam tat hRdayam iti yat teByaH teByaH ati duzkareByaH 
   'pyakampanīyavyavasāyaṃ tacca /	api akampanIya vyavasAyam tat ca /
   śrīsahodarāṇāmata evānirvācyotkarṣāṇāmityarthaḥ /	SrI sahodarANAm atas eva anirvAcya utkarzANAm iti arTaH /
   teṣāṃ ratnānāmā samantāddharaṇe ekarasaṃ tatparaṃ yaddhṛdayaṃ	tezAm ratnAnAmA samantAt haraNe ekarasam tat param yat hRdayam
   tatkusumabāṇena sukumārataropakaraṇasambhāreṇa priyāṇāṃ bimbādhare	tad kusuma bANena sukumAratara upakaraNa samBAreNa priyANAm bimba aDare
   niveśitam tadavalokanaparicumbanadarśanamātrakṛtakṛtyatābhimānayogi	niveSitam tad avalokana paricumbana darSana mAtra kRta kRtyatA aBimAna yogi
   tenakāmadevena kṛtam /	tena kAmadevena kRtam /
   teṣāṃ hṛdayaṃ yadatyantaṃ vijigīṣājvalanajājvalyamānamabhūditi yāvat /	tezAm hRdayam yat atyantam vijigIzA jvalana jA jvalyamAnam aBUt iti yAvat /
   atrātiśayoktirvācyālaṅkāraḥ /	atra atiSaya uktiH vAcya alaFkAraH /
   bālapriyā śātraveṣu śatrubhūteṣu, śatrumasambandhiṣu vā /	bAla priyA SAtravezu Satru BUtezu, Satrum asambanDizu vA /
   apiśabdo ratibahumānotpattau virodhaṃ dyotayati /	api SabdaH rati bahu mAna utpattO viroDam dyotayati /
   gajakumbhasthaleṣvityasya ratimityanena bahumāna ityanena ca sambandhaḥ /	gaja kumBa sTalezu iti asya ratim iti anena bahu mAnaH iti anena ca sambanDaH /
   tadvaśena upamāvaśena /	tad vaSena upamA vaSena /
   ratiṃ prītim /	ratim prItim /
   ādadānāṃ bibhratām /	AdadAnAm biBratAm /
   iveti pratītau /	iva iti pratItO /
   bahumāna iti /	bahu mAnaH iti /
   priyākucakuṅmalasādṛśyena gajakumbhasthaleṣu prītiṃ bibhratāṃ vīrāṇāṃ teṣu	priyA kuca kuFmala sAdRSyena gaja kumBa sTalezu prItim biBratAm vIrANAm tezu
   bahumatirivetyarthaḥ /	bahu matiH iva iti arTaH /
   ratimādadānāmanuraktānamivetyartha iti vā /	ratim AdadAnAm anuraktAnam iva iti arTaH iti vA /
   itīti hetau /	iti iti hetO /
   saiva iktopamaiva /	sA eva iktopamA eva /
   vīrateti /	vIra tA iti /
   pratīyamāno yo bhaṭānāṃ vīryātiśayastasya yaścamatkāraḥ camatkārakāritvaṃ	pratIyamAnaH yaH BawAnAm vIrya atiSayaH tasya yaH camatkAraH camatkAra kAri tvam
   tamityarthaḥ /	tam iti arTaH /
   vidhatte sampādayati /	viDatte sampAdayati /
   itīti hetau /	iti iti hetO /
   vīrarasopaskārakatvenetyarthaḥ /	vIra rasa upaskAraka tvena iti arTaH /
   tatrāsyeti /	tatra asya iti /
   viṣamabāṇalīlāyāṃ kāmasyetyarthaḥ /	vizama bANa lIlAyAm kAmasya iti arTaH /
   'teṣā' mityasyaiva vivaraṇam   yairityādi /	atezAa miti asya eva vivaraNam    yEH ityAdi /
   tadityasya vyākhāyānaṃ yattebhya ityādi /	tat iti asya vyAKAyAnam yat teByaH ityAdi /
   akampanīyeti /	akampanIyA iti /
   acālanīyetyarthaḥ /	acAlanIyA iti arTaH /
   gamyarthakathanam   anirvācyetyādi /	gami arTa kaTa nam   a nirvAcya ityAdi /
   sukumāretyādi ca /	sukumAra ityAdi ca /
   'bimbādhare niveśitam' ityasya bhāvārthamāha   tadityādi /	abimba aDare niveSitam a iti asya BAva arTam Aha   tat ityAdi /
   teṣāṃ hṛdayaṃ yadityādinā pūrvārdhabhāvārthakathanaṃ taditi śeṣaḥ /	tezAm hRdayam yat ityAdinA pUrva arDa BAva arTa kaTanam tat iti SezaH /
   tattena kāmadevena	tat tena kAmadevena
   tadavalokanaparicumbanadarśanamānakṛtakṛtyatābhimānayogi kṛtamiti	tad avalokana paricumbana darSana mAna kRta kRtyatA aBimAna yogi kRtam iti
   sambandhaḥ /	sambanDaH /
   atrātiśayoktiriti /	atra atiSaya uktiH iti /
   atrātiśayoktyā	atra atiSaya uktyA
   hayagrīvaguṇānāmavarṇanīyatāpratipādanarūpasyāsādhāraṇatadviśeṣaprakāśanaparasyākṣepasya	hayagrIva guNAnAmavarNa nIya tA pratipAdana rUpasya asADAraNa tad viSeza prakASana parasya Akzepasya
   prakāśanam /	prakASanam /
   arthāntaranyāsadhvaniḥ śabdaśaktimūlānuraṇanarūpavyaṅgyo	arTa antara nyAsa DvaniH Sabda Sakti mUla anuraNana rUpa vyaFgyaH 
   'rthaktimūlānuraṇanarūpavyaṅgyaśca sambhavati /	arTakti mUla anuraNana rUpa vyaFgyaH ca samBavati /
   tatrādyasyodāharaṇam   	tatra Adyasya udAharaNam   
   devvāettammi phale kiṃ kīrai ettiaṃ puṇā bhaṇimo /	devvAettammi Pale kim kIrEH ettiam puNA BaNimaH /
   kaṅkillapallavāḥ pallavāṇaṃ aṇṇāṇa ṇa saricchā //	kaFkilla pallavAH pallavANam aNNANa Na saricCA //
   locanam pratīyamānā copamā /	locanam pratIyamAnA ca upamA /
   sakalaratnasāratulyo bimbādhara iti hi teṣāṃ bahumāno vāstava eva /	sakala ratna sAra tulyaH bimba aDaraH iti hi tezAm bahu mAnaH vAstavaH eva /
   ata eva na rūpakadhvaniḥ /	atas eva na rUpaka DvaniH /
   rūpakasyāropyamāṇatvenāvāstavatvāt /	rUpakasya AropyamANa tvena AvAstava tvAt /
   teṣāmasurāṇāṃ vastuvṛttyaiva sādṛśyaṃ sphurati /	tezAm asurANAm vastu vRttyA eva sAdRSyam sPurati /
   tadeva ca sādṛśyaṃ camatkārahetuḥ prādhānyena /	tat eva ca sAdRSyam camatkAra hetuH prADAnyena /
   atiśayoktyeti /	atiSaya uktyA iti /
   vācyālaṅkārarūpayetyarthaḥ /	vAcya alaFkAra rUpayA iti arTaH /
   avarṇanīyatāpratipādanamevākṣepasya rūpamiṣṭapratiṣedhātmakatvāt /	avarNa nIya tA pratipAdanam eva Akzepasya rUpam izwa pratizeDa Atmaka tvAt /
   tasya prādhānyaṃ viśeṣaṇadvāreṇāha   asādhāraṇeti /	tasya prADAnyam viSezaNa dvAreNa aha   asADAraNA iti /
   sambhavatītyanena prasaṅgācchabdaśaktimūlasyātra vicāra iti darśayati /	samBavati iti anena prasaFgAt Sabda Sakti mUlasya atra vicAraH iti darSayati /
   bālapriyā nimittato vaco yattu lokātikrāntagocaram /	bAla priyA nimittataH vacaH yat tu loka atikrAnta gocaram /
   bhede 'nanyatvamanyatra nānātvaṃ yatra badhyate //	Bede ananya tvam anyatra nAnAtvam yatra baDyate //
   tathā sambhāvyamānārthanibandhe 'tiśayoktigīḥ /	taTA samBAvyamAna arTa nibanDe atiSaya ukti gIH /
   ityādinā tallakṣaṇamuktamudbhaṭādibhiḥ /	ityAdinA tad lakzaNamuktam udBawa AdiBiH /
   ratnāharaṇe ekarasaṃ yaddhṛdayaṃ tadbimbadhare niveśitamiti vastuto	ratna AharaNe ekarasam yat hRdayam tat bimba Dare niveSitam iti vastu tas 
   bhinnayorantaḥkaraṇavṛttiviśeṣātmakayoḥ hṛdayayoraikyamatra	BinnayoH antaHkaraNa vRtti viSeza AtmakayoH hRdayayoH Ekyam atra
   pratipāditamiti bhede abhedarūpātiśayoktirityarthaḥ /	pratipAditam iti Bede aBeda rUpa atiSayoktiH iti arTaH /
   niveśanāsambandhe 'pi tatsambandhakathanāt sambandhātiśayoktirvā /	niveSanA sambanDe api tad sambanDa kaTanAt sambanDa atiSaya uktiH vA /
   pratīyamāneti /	pratIyamAnA iti /
   dhvanyamānetyarthaḥ /	DvanyamAnA iti arTaH /
   uktaṃ vivṛṇoti   sakaletyādi /	uktam vivRNoti   sakala ityAdi /
