   (KpSū 1)	(KpSU 1)
   satpuruṣa prathamacittotpādena mahākaruṇāvyāhāreṇa daśasu dikṣu	sat puruza praTama citta utpAdena mahA karuNA vyAhAreNa daSasu dikzu
   buddhakṣetraparamāṇurajaḥsamā lokadhātavaḥ śabdenāpūritāḥ,	budDa kzetra paramANu rajaH samAH lokaDAtavaH Sabdena ApUritAH,
   mahākaruṇāśabdaśca pratilabdhastena tvaṃ satpuruṣa sādhu bhūyaḥ,	mahA karuNA SabdaH ca pratilabDaH tena tvam sat puruza sADu BUyas ,
   paścimakānāṃ mahākaruṇāmahāyānasaṃprasthitānāṃ bodhisattvānāṃ	paScimakAnAm mahA karuNA mahAyAna saMprasTitAnAm boDisattvAnAm
   mahāsattvānāṃ mahākaruṇāvyāhāreṇa praṇidhānanetrīdhvajāmucchrepayasi; tena	mahAsattvAnAm mahA karuNa avyAhAreNa praNiDAna netrI DvajAm ucSrepayasi; tena
   tvaṃ satpuruṣa sādhu bhūyastvaṃ satpuruṣa	tvam sat puruza sADu BUyas tvam sat puruza
   buddhakṣetraparamāṇurajaḥsamānāgatā	budDa kzetra paramANu rajaH samAna AgatA
   asaṃkhyeyakalpabuddhakṣetraparamāṇurajaḥsamā daśadiśa lokadhātavo	asaMKyeya kalpa budDa kzetra paramANu rajaH samAH daSa diSa lokaDAtavaH 
   yaśaḥkīrtiśabdenāpūritāstena tvaṃ satpuruṣa	yaSaH kIrti Sabdena ApUritAH tena tvam sat puruza
   bahvasaṃkhyeyasattvakoṭīnayutaśatasahasrā anuttarāyāṃ samyaksaṃbodhau	bahu asaMKyeya sattva kowIn ayuta Sata sahasrAH anuttarAyAm samyaksaMboDO
   samādāpitā niveśitāḥ pratiṣṭhāpitā, bhagavataḥ sakāśamupanītā,	samAdApitAH niveSitAH pratizWApitA, BagavataH sakASam upanItA,
   avaivartikāśca sthāpitā anuttarāyāṃ samyaksaṃbodhau / kaiścittatraiva	avEvartikAH ca sTApitAH anuttarAyAm samyaksaMboDO / kEScid tatra eva
   bhagavataḥ sakāśe praṇidhānena buddhakṣetraguṇavyūhāḥ parigṛhītā vaineyāḥ	BagavataH sakASe praNiDAnena budDa kzetra guNa vyUhAH parigRhItAH vEneyAH
   sattvāḥ svakaruṇāraśmibhirācchāditā; (KpSū 299) ye tvayānuttarāyāṃ	sattvAH sva karuNA raSmiBiH AcCAditA; (KpSU 299) ye tvayA anuttarAyAm
   samyaksaṃbodhau samādāpitā na ca vyākaraṇapratilabdhaṃ, te 'pi	samyaksaMboDO samAdApitA na ca vyAkaraNa pratilabDaM, te api
   paścādvyākaraṇaṃ pratilapsyante, sarve te	paScAt vyAkaraNam pratilapsyante, sarve te
   paścādyāvadbuddhakṣetraparamāṇurajaḥsamairasaṃkhyeyaiḥ kalpairdaśasu dikṣu	paScAt yAvat budDa kzetra paramANu rajaH samEH asaMKyeyEH kalpEH daSasu dikzu
   buddhakṣetraparamāṇurajaḥsameṣvanyeṣu lokadhātuṣu buddhatvaṃ prāpya	budDa kzetra paramANu rajaH samezu anyezu lokaDAtuzu budDa tvam prApya
   dhārmikaṃ dharmacakraṃ pravartayitvā tvāmevārabhya varṇaṃ bhāṣiṣyanti /	DArmikam Darma cakram pravartayitvA tvAm eva AraBya varNam BAzizyanti /
   etena tṛtīyena kāraṇena tvaṃ satpuruṣa sādhu" /	etena tRtIyena kAraNena tvam sat puruza sADu" /
   tena khalu punaḥ samayena bahubodhisattvakoṭya evamūcur["]vayamapi	tena Kalu punar samayena bahu boDisattva kowyaH evam UcuH ["]vayam api
   bhadanta bhagavaṃstatra saṃtīraṇe buddhakṣetre gacchema, tasya	Badanta Bagavan= tatra saMtIraNe budDa kzetre gacCema, tasya
   ratnagarbhasya tathāgatasyārhataḥ samyaksaṃbuddhasya darśanāya vandanāya	ratna garBasya taTAgatasya arhataH samyaksaMbudDasya darSanAya vandanAya
   paryupāsanāya, taṃ ca satpuruṣaṃ darśanāya vandanāya paryupāsanāya, yasya	paryupAsana aya, tam ca sat puruzam darSanAya vandanAya paryupAsana aya, yasya
   tathāgatena tribhiraṅgaiḥ sādhukāro 'nupreṣita, ime ca candrarocavimalāḥ	taTAgatena triBiH aFgEH sADu kAraH anuprezita, ime ca candra roca vimalAH
   puṣpāḥ preṣitāḥ" / sa ca kulaputra	puzpAH prezitAH" / sa ca kula putra
   prasphulitakusumavairocanastathāgatastānāha   "gacchata yūyaṃ kulaputrā	prasPulita kusuma vErocanaH taTAgataH tAn Aha  "gacCata yUyam kula putrA
   yasyaitarhi kālaṃ manyadhve / tatra yūyaṃ kulaputrā ratnagarbhasya	yasya etarhi kAlam manyaDve / tatra yUyam kula putrAH ratna garBasya
   tathāgatasya sakāśāt samavadhānamukhanirdeśacaryāvaiśāradyaṃ	taTAgatasya sakASAt samavaDAna muKa nirdeSa caryA vESAradyam
   dharmaparyāyaṃ (KpSū 300) śroṣyatha" /	Darma paryAyam (KpSU 300) SrozyaTa" /
   atha khalu kulaputra tau dvau bodhisattvau svaviṣayasaṃkopitaviṣayaśca	aTa Kalu kula putra tO dvO boDisattvO sva vizaya saMkopita vizayaH ca
   dhāraṇīsaṃpraharṣaṇavikopitaśca tasya prasphulitakusumavairocanasya	DAraNI saMpraharzaNa vikopitaH ca tasya prasPulita kusuma vErocanasya
   tathāgatasya sakāśāccandrarocavimalāṃ puṣpāṃ gṛhītvā	taTAgatasya sakASAt candra roca vimalAm puzpAm gRhItvA
   bahubodhisattvakoṭībhiḥ sārdhaṃ saṃkusumitādbuddhakṣetrāt prasthāpitā iha	bahu boDisattva kowIBiH sArDam saMkusumitAt budDa kzetrAt prasTApitAH iha
   buddhakṣetra ekakṣaṇena saṃprāptā jambūvanodyāne tasthuryena ca	budDa kzetre eka kzaNena saMprAptAH jambU vana udyAne tasTuH yena ca
   ratnagarbhastathāgatastenopasaṃkrāntaḥ / tena khalu punaḥsamayena	ratnagarBaH taTAgataH tena upasaMkrAntaH / tena Kalu punar samayena
   sarvāvantaṃ saṃtīraṇaṃ buddhakṣetraṃ evaṃrūpaṃ paripūrṇaṃ	sarvAvantam saMtIraNam budDa kzetram evaMrUpam paripUrNam
   mahāyānikairbodhisattvaiḥ pratyekabuddhayānikaiḥ śrāvakayānikaiḥ	mahAyAnikEH boDisattvEH pratyekabudDa yAnikEH SrAvaka yAnikEH
   kulaputrairdevairyāvan mahoragaistadyathāpi nāma ikṣuvanaṃ vā naḍavanaṃ vā	kula putrEH devEH yAvat mahA uragEH tat yaTA api nAma ikzu vanam vA naxa vanam vA
   tilavanaṃ vā śālivanaṃ vā saṃpannaṃ sphuṭaṃ bhavet / evameva tasmin samaye	tila vanam vA SAli vanam vA saMpannam sPuwam Bavet / evam eva tasmin samaye
   saṃtīraṇaṃ buddhakṣetraṃ paripūrṇaṃ sphuṭaṃ mahāyānikaiḥ kulaputrairyāvan	saMtIraNam budDa kzetram paripUrNam sPuwam mahAyAnikEH kula putrEH yAvan
   mahoragaiste ca bodhisattvā ratnagarbhasya tathāgatasya pādau śirasā	mahA uragEH te ca boDisattvAH ratnagarBasya taTAgatasya pAdO SirasA
   vanditvā vividhasamādhānabalena bodhisattvavikurvaṇena pūjāṃ kṛtvā	vanditvA viviDa samADAna balena boDisattva vikurvaNena pUjAm kRtvA
   ratnagarbhasya tathāgatasya purataḥ brāhmaṇaṃ dṛṣṭvā sarvāvatyaśca tāḥ	ratna garBasya taTAgatasya puratas brAhmaNam dRzwvA sarvAvatyaH ca tAH
   parṣāḥ prāñjalibhūtāḥ sthitvā varṇaṃ bhāṣamāṇāḥ / teṣāṃ	parzAH prAQjali BUtAH sTitvA varNam BAzamANAH / tezAm
   bodhisattvānāmetadabhavat   (KpSū 301) "ayaṃ mahākāruṇiko bodhisattvo	boDisattvAnAm etat aBavat  (KpSU 301) "ayam mahA kAruNikaH boDisattvaH 
   mahāsattvo yasya prasphulitakusumavairocanena tathāgatena ime	mahAsattvaH yasya prasPulita kusuma vErocanena taTAgatena ime
   candrarocavimalāḥ puṣpā visarjitās[" / ]te ca bodhisattvā bhagavataḥ	candra roca vimalAH puzpAH visarjita as[" / ]te ca boDisattvAH BagavataH
   sakāśāt parāvṛtya tasya brāhmaṇasya te candrarocavimalāḥ puṣpā	sakASAt parAvRtya tasya brAhmaNasya te candra roca vimalAH puzpA
   upanāmayitvāhuḥ / "ime te satpuruṣa prasphulitakusumavairocanena	upanAmayitvA AhuH / "ime te sat puruza prasPulita kusuma vErocanena
   tathāgatena candrarocavimalāḥ puṣpāḥ preṣitāḥ, sādhukāraśca te	taTAgatena candra roca vimalAH puzpAH prezitAH, sADu kAraH ca te
   satpuruṣānupradattaḥ" / yāvatpūrvoktaṃ tribhiraṅgaiḥ sādhukāraṃ	sat puruza anupradattaH" / yAvat pUrva uktam triBiH aFgEH sADu kAram
   niveditamiti / yāni ca tāni puṣpāṇi śūnyeṣu buddhakṣetreṣu pravarṣitāni,	niveditam iti / yAni ca tAni puzpANi SUnyezu budDa kzetrezu pravarzitAni,
   vividhaśca kuśalaśabdaistāvadbuddhakṣetrāṇyāpūritāni; tadyathā	viviDaH ca kuSala SabdEH tAvat budDa kzetrANi ApUritAni; tat yaTA
   buddhaśabdena dharmaśabdena saṅghaśabdenāvabhāsaśabdena pāramitāśabdena	budDa Sabdena Darma Sabdena saFGa Sabdena avaBAsa Sabdena pAramitA Sabdena
   balaśabdena vaiśāradyaśabdena	bala Sabdena vESAradya Sabdena
   abhijñāśabdenānabhisaṃskāraśabdenānutpādaśabdenānirodhaśabdena	aBijQA Sabdena anaBisaMskAra Sabdena anutpAda Sabdena aniroDa Sabdena
   śāntaśabdenopaśāntaśabdena praśāntaśabdena mahāmaitrīśabdena	SAnta Sabdena upaSAnta Sabdena praSAnta Sabdena mahA mEtrI Sabdena
   mahākaruṇāśabdena / yaddaśasu diśāsu teṣu śūnyeṣu buddhakṣetreṣu	mahA karuNA Sabdena / yat daSasu diSAsu tezu SUnyezu budDa kzetrezu
   tenāvabhāsenāvabhāsitāstatra (KpSū 302) ye kecit sattvā manuṣyā	tena avaBAsena avaBAsitAH tatra (KpSU 302) ye kecid sattvAH manuzyA
   vāmanuṣyāste sarve ye kecit sattvā yamasadṛśāḥ kecidudakasadṛśāḥ	vAmanuzyAH te sarve ye kecid sattvAH yama sadRSAH kecid udaka sadRSAH
   kecicchikharasadṛśāḥ kecidbrahmasadṛśāḥ kecicchakrasadṛśāḥ kecit	kecid SiKara sadRSAH kecid brahma sadRSAH kecid Sakra sadRSAH kecid 
   puṣpasadṛśāḥ kecidgaruḍasadṛśāḥ kecit siṃhasadṛśāḥ kecit sūryasadṛśāḥ	puzpa sadRSAH kecid garuxa sadRSAH kecid siMha sadRSAH kecid sUrya sadRSAH
   keciccandrasadṛśāḥ kecit tārakasadṛśāḥ kecidgṛdhrasadṛśāḥ śṛgālakāyāḥ	kecid candra sadRSAH kecid tAraka sadRSAH kecid gRDra sadRSAH SRgAla kAyAH
   saṃdṛśyante; yathārūpeṇa kuśalapakṣamanaskāreṇa te sattvāḥ sanniṣaṇṇā	saMdRSyante; yaTArUpeNa kuSala pakza manaskAreNa te sattvAH sannizaNNA
   dharmaśravaṇāya, tathārūpeṇa kāyena saṃdṛśyante / tathārūpāśca kulaputra	Darma SravaNAya, taTArUpeNa kAyena saMdRSyante / taTArUpAH ca kula putra
   tatra sattvāḥ svakaṃ kāyaṃ paśyanti; tathārūpāśca te sattvā ratnagarbhasya	tatra sattvAH svakam kAyam paSyanti; taTArUpAH ca te sattvAH ratna garBasya
   tathāgatasya kāyaṃ samanupaśyanti / sa ca kulaputra samudrareṇurbrāhmaṇo	taTAgatasya kAyam samanupaSyanti / sa ca kula putra samudra reNuH brAhmaNaH 
   'grapurohito ratnagarbhaṃ tathāgataṃ purataḥ sahasrapatre	agra purohitaH ratna garBam taTAgatam puratas sahasra patre
   saptaratnamayapadmakeśare niṣaṇṇaṃ samanupaśyati / sarve cātra kulaputra	sapta ratna maya padma keSare nizaNNam samanupaSyati / sarve ca atra kula putra
   sattvā niṣaṇṇā vā sthitvā vā kṣitau vā ambare vā ekaikaḥ sattvo	sattvAH nizaNNAH vA sTitvA vA kzitO vE ambare vE ekEkaH sattvaH 
   ratnagarbhaṃ tathāgatamevaṃ paśyanti; "agrato ratnagarbhastathāgato	ratna garBam taTAgatam evam paSyanti; "agratas ratnagarBaH taTAgataH 
   niṣaṇṇo 'haṃ" sarvacetasā samanvāharanti, "māmekamārabhya dharmaṃ	nizaNNaH ahaM" sarva cetasA samanvAharanti, "mAm ekam AraBya Darmam
   deśayati" /	deSayati" /
   (KpSū 303)	(KpSU 303)
   sa ca kulaputra ratnagarbhastathāgato 'rhan samyaksaṃbuddhaḥ	sa ca kula putra ratnagarBaH taTAgataH arhan samyaksaMbudDaH
   samudrareṇorbrāhmaṇasya sādhukāramanupradattaḥ / "sādhu sādhu mahākāruṇika	samudra reNoH brAhmaNasya sADu kAram anupradattaH / "sADu sADu mahA kAruNika
   mahābrāhmaṇa, gaṇanātikrāntānāṃ sattvānāṃ tvaṃ asi kāruṇikahitakaraḥ	mahA brAhmaNa, gaNanA atikrAntAnAm sattvAnAm tvam asi kAruNika hita karaH
   prabhāsakaro loke saṃdṛśyase / tadyathāpi nāma brāhmaṇa saṃpannaṃ	praBAsa karaH loke saMdRSyase / tat yaTA api nAma brAhmaNa saMpannam
   puṣpakṣetraṃ nānāvarṇaṃ nānāgandhaṃ nānāsparśaṃ nānāpatraṃ nānādaṇḍaṃ	puzpa kzetram nAnA varNam nAnA ganDam nAnA sparSam nAnA patram nAnA daNxam
   nānāmūlaṃ nānābhaiṣajyopakaraṇasthānaṃ / kecidatra puṣpā yojanaśataṃ	nAnA mUlam nAnA BEzajya upakaraNa sTAnam / kecid atra puzpAH yojana Satam
   pramāṇena varṇena gandhena tapanti virocanti, keciddviyojanaśataṃ	pramANena varNena ganDena tapanti virocanti, kecid dvi yojana Satam
   kecittriyojanaśataṃ, peyālaṃ, kecidatra puṣpā yāvat sarvacāturdvīpikāṃ	kecid tri yojana SataM, peyA alaM, kecid atra puzpAH yAvat sarva cAtur dvIpikAm
   lokadhātuṃ varṇena gandhena tapanti virocanti / ye ca tatra	lokaDAtum varNena ganDena tapanti virocanti / ye ca tatra
   sattvāścakṣurhīnāste puṣpagandhaṃ ghrātvā cakṣuṃsi pratilabhante, badhirāḥ	sattvAH cakzuH hInAH te puzpa ganDam GrAtvA cakzuMsi pratilaBante, baDirAH
   śrotrāṇi pratilabhante, yāvat sarvāṅgavihīnāḥ sarvāṅgāni pratilabhante /	SrotrANi pratilaBante, yAvat sarva aFga vihInAH sarva aFgAni pratilaBante /
   ye ca tatra sattvāścaturuttararogaśatopadrutāste taṃ gandhaṃ ghrātvā	ye ca tatra sattvAH catur uttara roga Sata upadrutAH te tam ganDam GrAtvA
   sarvarogebhyaḥ parimucyeyuḥ / ye ca tatra sattvā mattonmattaparamattāḥ	sarva rogeByaH parimucyeyuH / ye ca tatra sattvAH matta unmatta para mattAH
   suptacittā vikṣiptacittāḥ smṛtipraṇaṣṭāsteṣāṃ puṣpāṇāṃ gandhamāghrātvā	supta cittAH vikzipta cittAH smRti praNazwAH tezAm puzpANAm ganDam AGrAtvA
   (KpSū 304) sarve smṛtiṃ pratilabheyuḥ / evaṃ ca tatra madhye puṣpakṣetre	(KpSU 304) sarve smRtim pratilaBeyuH / evam ca tatra maDye puzpa kzetre
   puṇḍarīkamutpannaṃ, dṛḍhasāraṃ vajramayaṃ vaidūryadaṇḍaṃ śatakomalaṃ	puNxarIkam utpannan, dRXa sAram vajra mayam vEdUrya daNxam Sata komalam
   kanakapatramaśmagarbhakiṃśukaṃ lohitamuktikeśaraṃ,	kanaka patram aSmagarBa kiMSukam lohita mukti keSaraM,
   caturaśītiryojanasahasrāṇyuccatvena yojanaśatasahasraṃ vistāreṇa / tacca	caturaSItiH yojana sahasrANi ucca tvena yojana Sata sahasram vistAreNa / tat ca
   puṇḍarīkaṃ daśasu dikṣu buddhakṣetraparamāṇurajaḥsamāllokadhātuṃ varṇena	puNxarIkam daSasu dikzu budDa kzetra paramANu rajaH samAt lokaDAtum varNena
   gandhena sphuritvā virocate / ye ca brāhmaṇa teṣu daśasu dikṣu	ganDena sPuritvA virocate / ye ca brAhmaNa tezu daSasu dikzu
   buddhakṣetraparamāṇurajaḥsameṣu lokadhātuṣu sattvā dhātuviruddhāḥ kāyā	budDa kzetra paramANu rajaH samezu lokaDAtuzu sattvAH DAtu virudDAH kAyA
   vyādhyupahatā aṅgavihīnā vā mattapramattonmattāḥ suptasmṛtipraṇaṣṭā	vyADi upahatAH aFga vihInAH vA matta pramatta unmattAH supta smRti praNazwA
   vikṣiptacittāsteṣāṃ sattvānāṃ tasya puṇḍarīkasyāvabhāsaṃ dṛṣṭvā gandhaṃ	vikzipta cittAH tezAm sattvAnAm tasya puNxarIkasya avaBAsam dRzwvA ganDam
   ghrātvā sarvavyādhayaḥ praśamaṃ gaccheyuḥ smṛtiṃ ca pratilabheyuḥ / ye ca	GrAtvA sarva vyADayaH praSamam gacCeyuH smRtim ca pratilaBeyuH / ye ca
   tatra buddhakṣetreṣu sattvā mṛtā acirakālagatā avikṣiptaśarīrāsteṣāṃ	tatra budDa kzetrezu sattvAH mRtAH acira kAla gatAH avikzipta SarIrAH tezAm
   kuṇapebhyaḥ tasya puṇḍarīkasya raśmayo nipatitvā gandhena vā spṛṣṭvā	kuNapeByaH tasya puNxarIkasya raSmayaH nipatitvA ganDena vA spRzwvA
   punaste kuṇapā jīvitendriyaṃ pratilabheyuḥ,	punar te kuNapAH jIvita indriyam pratilaBeyuH,
   punaścottiṣṭheyurmitrasālohitāṃśca dṛṣṭvā te sarve udyānaṃ praviśya	punar ca uttizWeyuH mitra sAlohitAn= ca dRzwvA te sarve udyAnam praviSya
   pañcabhiḥ kāmaguṇaiḥ samarpitāḥ samaṅgībhūtā vihareyusye ca	paQcaBiH kAma guNEH samarpitAH samaFgIBUtAH vihareyusye ca
   punastataścyaveyusteṣu dve brahmavihāra upapadyeyuḥ, ye ca tatra	punar tatas cyaveyuH tezu dve brahma vihAraH upapadyeyuH, ye ca tatra
   cirasthāyino bhaveyuraparīttāyuṣkā, na ca tatra cyūtvā anyatropapadyeyuḥ /	cira sTAyinaH BaveyuH aparItta AyuzkA, na ca tatra cyUtvA anyatra upapadyeyuH /
   (KpSū 305) yathā brāhmaṇāstaṃ puṣpakṣetramevamayaṃ mahāyānasannipāto	(KpSU 305) yaTA brAhmaNAH tam puzpa kzetram evam ayam mahAyAna sannipAtaH 
   draṣṭavyaḥ / yathā sūryodgamanakāle pratyupasthite te puṣpā visaritā	drazwavyaH / yaTA sUrya udgamana kAle pratyupasTite te puzpA visaritA
   prasphulitā bhavanti tapanti virocanti kecidyojanaśatamuccatvena kecid	prasPulitAH Bavanti tapanti virocanti kecid yojana Satam ucca tvena kecid 
   yāvad yojanasahasramuccatvena, bahunāṃ sattvānāṃ vividharogāḥ praśamanti,	yAvat yojana sahasram ucca tvena, bahunAm sattvAnAm viviDa rogAH praSamanti,
   evameva satpuruṣāḥ tathāgato buddhasūryo loka udapādi / yathā te puṣpāḥ	evam eva sat puruzAH taTAgataH budDa sUryaH loke udapAdi / yaTA te puzpAH
   sūryoditasya asya raśmibhirvikasitā bhāsanti tapanti virocanti,	sUrya uditasya asya raSmiBiH vikasitAH BAsanti tapanti virocanti,
   vividharogopahatānāṃ sattvānāṃ rogopaśamo bhavati / evamevāhaṃ satpuruṣa	viviDa roga upahatAnAm sattvAnAm roga upaSamaH Bavati / evam eva aham sat puruza
   loka utpannaḥ sattvāṃ kāruṇyaraśmibhiḥ chādayitvā vikasitvā bhūyaḥ	loke utpannaH sattvAm kAruNya raSmiBiH CAdayitvA vikasitvA BUyas 
   sattvāṃstriṣu puṇyakriyāvastuṣu niyojayāmi, tvayāpyaprameyāsaṃkhyeyāḥ	sattvAn= trizu puNya kriyA vastuzu niyojayAmi, tvayA api aprameya asaMKyeyAH
   sattvā anuttarāyāṃ samyaksaṃbodhau samādāpitā niveṣitāḥ pratiṣṭhāpitā mama	sattvAH anuttarAyAm samyaksaMboDO samAdApitAH nivezitAH pratizWApitA mama
   ca sakāśamupanītāstaiśca sattvairmama sakāśe svakasvakāni praṇidhānāni	ca sakASam upanItAH tEH ca sattvEH mama sakASe sva ka svakAni praNiDAnAni
   kṛtāni buddhakṣetrāṇi ca parigṛhītāni, kecit pariśuddhā buddhakṣetrāḥ	kRtAni budDa kzetrANi ca parigRhIta ani, kecid pariSudDAH budDa kzetrAH
   parigṛhītāḥ kecidapariśuddhāḥ, tathā caivaṃ mayā vyākṛtāḥ / yaiḥ	parigRhItAH kecid apariSudDAH, taTA ca evam mayA vyAkRtAH / yEH
   satpuruṣairmama sakāśāt pariśuddhā buddhakṣetrāḥ parigṛhītāstaiḥ	sat puruzEH mama sakASAt pariSudDAH budDa kzetrAH parigRhItAH tEH
   śuddhāśayāḥ suvineyā avaruptakuśalamūlā vaineyāḥ sattvāḥ parigṛhītā, (KpSū	SudDa ASayAH su vineyAH avarupta kuSala mUlAH vEneyAH sattvAH parigRhItA, (KpSU
   306) na te bodhisattvā mahāsattvā ucyante, na ca teṣāṃ mahāpuruṣakāryaṃ,	306) na te boDisattvAH mahAsattvAH ucyante, na ca tezAm mahApuruza kAryaM,
   na ca teṣāṃ mahākaruṇācittacaitasikeṣu pravartate, na ca te bodhisattvāḥ	na ca tezAm mahA karuNA citta cEtasikezu pravartate, na ca te boDisattvAH
   sarvasattvānāṃ karuṇārthāyānuttarāṃ samyaksaṃbodhiṃ paryeṣante / ye 'pi te	sarva sattvAnAm karuNA arTAya anuttarAm samyaksaMboDim paryezante / ye api te
   pariśuddhaṃ buddhakṣetraṃ parigṛhṇanti, utsṛṣṭakṛpāste bodhisattvā; ye	pariSudDam budDa kzetram parigRhNanti, utsRzwa kRpAH te boDisattvA; ye
   śrāvakapratyekabuddhayānikaiḥ parivarjitaṃ buddhakṣetramākāṅkṣanti, na ca	SrAvaka pratyekabudDa yAnikEH parivarjitam budDa kzetram AkAFkzanti, na ca
   te bodhisattvāḥ kuśalajñānāśayabhūtā / yeṣāmevaṃ praṇidhānaṃ kṛtaṃ yathā	te boDisattvAH kuSala jQAna ASaya BUtAH / yezAm evam praNiDAnam kRtam yaTA
   vayaṃ śrāvakapratyekabuddhavarjitā	vayam SrAvaka pratyekabudDa varjitA
   akuśalamūlasamavadhānagatairmātṛgrāmairvivarjite	akuSala mUla samavaDAna gatEH mAtR grAmEH vivarjite
   narakatiryagyoniyamalokavivarjite buddhakṣetre 'nuttarāṃ	naraka tiryagyoni yama loka vivarjite budDa kzetre anuttarAm
   samyaksaṃbodhimabhisaṃbudhyeyurmahāyānasaṃprasthitānāṃ bodhisattvānāṃ	samyaksaMboDim aBisaMbuDyeyuH mahAyAna saMprasTitAnAm boDisattvAnAm
   śrāvakapratyekabuddhaparivarjitāṃ śuddhāṃ mahāyānakathāṃ dharmaṃ	SrAvaka pratyekabudDa parivarjitAm SudDAm mahAyAna kaTAm Darmam
   deśayeyaṃ, bodhiprāptaścāhaṃ dīrghāyuṣko bhaveyaṃ cirasthāyī, bahūni	deSayeyan, boDi prAptaH ca aham dIrGa AyuzkaH Baveyam cira sTAyI, bahUni
   kalpāni śūddhāśayānāṃ suvinītānāṃ kuśalamūlasamavadhānagatānāṃ dharmaṃ	kalpAni SUdDa ASayAnAm su vinItAnAm kuSala mUla samavaDAna gatAnAm Darmam
   deśayeyaṃ / tena te bodhisattvā na kuśalajñānāśayasaṃbhūtā, na mahāsattvā	deSayeyam / tena te boDisattvAH na kuSala jQAna ASaya saMBUtA, na mahAsattvA
   ityucyate /	iti ucyate /
   (KpSū 307)	(KpSU 307)
   sa ca kulaputra ratnagarbhastathāgato bāhuṃ prasārayitvā	sa ca kula putra ratnagarBaH taTAgataH bAhum prasArayitvA
   pañcabhiraṅgulībhirnānāvarṇā anekavarṇā anekaśatasahasravarṇā raśmayaḥ	paQcaBiH aFgulIBiH nAnA varNAH aneka varNAH aneka Sata sahasra varNAH raSmayaH
   prāmuñcan, te gatvā raśmayo 'prameyāsaṃkhyeyā purimāyāṃ diśīto	prAmuQcan, te gatvA raSmayaH aprameya asaMKyeyA purimAyAm diSItaH 
   buddhakṣetrān avabhāsayitvā, tatrāṅguṣṭhā nāma lokadhātuḥ, tatrāṅguṣṭhāyāṃ	budDa kzetrAn avaBAsayitvA, tatra aFguzWAH nAma lokaDAtuH, tatra aFguzWAyAm
   lokadhātau daśavarṣāyuṣkā manuṣyā durvarṇā drohoḍimakā	lokaDAtO daSa varza AyuzkA manuzyAH durvarNA drohoximakA
   akuśalamūlasamavadhānagatā aṅguṣṭhamātramuccatvena / tatra jyotīraso nāma	akuSala mUla samavaDAna gatAH aFguzWa mAtram ucca tvena / tatra jyotIrasaH nAma
