   śrīgaṇeśāya namaḥ	SrI gaNeSAya namaH
   niṣādavaṃśakartāsau babhūvānantavikramaḥ /	nizAda vaMSa kartA asO baBUva ananta vikramaH /
   dhīvarānasṛjaccāpi venakalmaṣasaṃbhavān // BndP_1,36.144 //	DIvarAn asRjat ca api vena kalmaza saMBavAn // Bndu _1,36.144 //
   ye cānye vindhyanilayāstaṃburāstuburāḥ khaśāḥ /	ye ca anye vinDya nilaya astaMburAH tuburAH KaSAH /
   adharmarucayaścāpi viddhi tānvenakalmaṣān // BndP_1,36.145 //	aDarma rucayaH ca api vidDi tAn vena kalmazAn // Bndu _1,36.145 //
   punarmaharṣayastasya pāṇiṃ venasya dakṣiṇam /	punar mahA RzayaH tasya pANim venasya dakziNam /
   araṇīmiva saṃrabdhā mamanthurjātamanyavaḥ // BndP_1,36.146 //	araNIm iva saMrabDAH mamanTuH jAta manyavaH // Bndu _1,36.146 //
   pṛthustasmātsamutpannaḥ karājjalajasannibhāt /	pRTuH tasmAt samutpannaH karAt jalaja sanniBAt /
   pṛthoḥ karatalādvāpi yasmājjātaḥ pṛṣustataḥ // BndP_1,36.147 //	pRToH kara talAt vA api yasmAt jAtaH pRzuH tatas // Bndu _1,36.147 //
   dīpyamānaśca vapuṣā sākṣādagniriva jvalan /	dIpyamAnaH ca vapuzA sAkzAt agniH iva jvalan /
   ādyamājagavaṃ nāma dhanurgṛhya mahāravam // BndP_1,36.148 //	Adyam Ajagavam nAma DanuH gRhya mahA ravam // Bndu _1,36.148 //
   śārāṃśca bibhradrakṣārtha kavacaṃ ca mahāprabham /	SArAn= ca biBrat rakzA arTa kavacam ca mahA praBam /
   tasmiñjā te 'tha bhūtāni saṃprahṛṣṭāni sarvaśaḥ // BndP_1,36.149 //	tasmin jA te aTa BUtAni saMprahRzwAni sarvaSas // Bndu _1,36.149 //
   samāpeturmahārājaṃ venaśca tridivaṃ gataḥ /	samApetuH mahA rAjam venaH ca tridivam gataH /
   samutpannena rājarṣiḥ satputreṇa mahātmanā // BndP_1,36.150 //	samutpannena rAjarziH sat putreNa mahAtmanA // Bndu _1,36.150 //
   trātaḥ sa puruṣavyāghraḥ punnāmno narakāttadā /	trAtaH sa puruza vyAGraH punnAmnaH narakAt tadA /
   taṃ nadyaśca samudrāśca ratnānyādāya sarvaśaḥ // BndP_1,36.151 //	tam nadyaH ca samudrAH ca ratnAni AdAya sarvaSas // Bndu _1,36.151 //
   abhiṣekāya toyaṃ ca sarva evopata sthire /	aBizekAya toyam ca sarve eva upata sTire /
   pitāmahaśca bhagavānaṅgirobhiḥ sahāmaraiḥ // BndP_1,36.152 //	pitAmahaH ca BagavAn aFgiroBiH saha amarEH // Bndu _1,36.152 //
   sthāvarāṇi ca bhūtāni jaṅgamāni ca sarvaśaḥ /	sTAvarANi ca BUtAni jaFgamAni ca sarvaSas /
   samāgamya tadā vainyamabhya ṣiñcannarādhipam // BndP_1,36.153 //	samAgamya tadA vEnyam aByaH ziQcat narADipam // Bndu _1,36.153 //
   mahatā rājarājena prajāpālaṃ mahādyutim /	mahatA rAja rAjena prajApAlam mahA dyutim /
   so 'bhiṣikto mahārājo devairaṅgirasaḥ sutaiḥ // BndP_1,36.154 //	saH aBiziktaH mahA rAjaH devEH aFgirasaH sutEH // Bndu _1,36.154 //
   ādi rājo mahābhāgaḥ pṛthurvainyaḥ pratāpavān /	Adi rAjaH mahABAgaH pRTuH vEnyaH pratApavAn /
   pitrāparañjitāstasya prajāstenānurañjitāḥ // BndP_1,36.155 //	pitrA aparaQjitAH tasya prajAH tena anuraQjitAH // Bndu _1,36.155 //
   tato rājeti nāmāsya hyanurāgādajāyata /	tatas rAjA iti nAma asya hi anurAgAt ajAyata /
   āpastastaṃbhire tasya samudramabhiyāsyataḥ // BndP_1,36.156 //	Apasta staMBire tasya samudram aBiyAsyataH // Bndu _1,36.156 //
   parvatāścāvadīryanta dhvajabhaṅgaśca nābhavat /	parvatAH ca avadIryanta Dvaja BaFgaH ca na aBavat /
   akṛṣṭapacyā pṛthivī siddhyantyannāni cintayā // BndP_1,36.157 //	akRzwa pacyA pRTivI sidDi anti annAni cintayA // Bndu _1,36.157 //
   sarvakāmadughā gāvaḥ pṛṭake puṭake madhu /	sarva kAmaduGAH gAvaH pRwake puwake maDu /
   etasminneva kāle tu yajatastasya vai makhe // BndP_1,36.158 //	etasmin= eva kAle tu yajataH tasya vE maKe // Bndu _1,36.158 //
   some sute samu tpannaḥ sūtaḥ sautye tadāhani /	some sute samu tpannaH sUtaH sOtye tadA ahani /
   tasminnevaṃ samutpanne punarjajñe 'tha māgadhaḥ // BndP_1,36.159 //	tasmin= evam samutpanne punar jajQe aTa mAgaDaH // Bndu _1,36.159 //
   sāmageṣu ca gāyatsu śubhāṇḍe vaiśvadevike /	sAmagezu ca gAyatsu SuBa aNxe vESvadevike /
   samāgate samutpannastasmānmāgadha ucyate // BndP_1,36.160 //	samAgate samutpannaH tasmAt mAgaDaH ucyate // Bndu _1,36.160 //
   aindreṇa haviṣā cāpi haviḥ pṛktaṃ bṛhaspateḥ /	EndreNa havizA ca api haviH pRktam bRhaspateH /
   juhāvendrāya daivena tataḥ sūto vyajāyata // BndP_1,36.161 //	juhAva indrAya dEvena tatas sUtaH vyajAyata // Bndu _1,36.161 //
   pramādastatra saṃjajña prāyaścittaṃ ca karmasu /	pramAdaH tatra saMjajQa prAyaScittam ca karmasu /
   śiṣyahavyena yatpṛktamabhibhūtaṃ gurorhaviḥ // BndP_1,36.162 //	Sizya havyena yat pRktam aBiBUtam guroH haviH // Bndu _1,36.162 //
   adharottaracāreṇa jajñe tadvarṇavaikṛtam /	aDara uttara cAreNa jajQe tad varNa vEkRtam /
   yacca kṣatrātsamabhavadbrāhmaṇyāṃ hīnayonitaḥ // BndP_1,36.163 //	yat ca kzatrAt samaBavat brAhmaNyAm hIna yonitaH // Bndu _1,36.163 //
   sūtaḥ pūrveṇa sādharmyāttulyadharmaḥ prakīrttitaḥ /	sUtaH pUrveNa sADarmyAt tulya DarmaH prakIrttitaH /
   madhyamo hyeṣa sūtasya dharmaḥ kṣetropajīvanam // BndP_1,36.164 //	maDyamaH hi eza sUtasya DarmaH kzetra upajIvanam // Bndu _1,36.164 //
   rathanāgāśvacaritaṃ jaghanyaṃ ca cikitsitam /	raTa nAga aSva caritam jaGanyam ca cikitsitam /
   pṛthustavārthaṃ tau tatra samāhūtau maharṣibhiḥ // BndP_1,36.165 //	pRTuH tava arTam tO tatra samAhUtO mahA RziBiH // Bndu _1,36.165 //
   tāvūcurmunayaḥ sarve stūyatāmeṣa pārthivaḥ /	tO= UcuH munayaH sarve stUyatAm eza pArTivaH /
   karmaitadanurūpaṃ ca pātraṃ cāyaṃ narādhipaḥ // BndP_1,36.166 //	karma etat anurUpam ca pAtram ca ayam narADipaH // Bndu _1,36.166 //
   tāvūcatustataḥ sarvāṃstānṛṣīnsūtamāgadhau /	tO= UcatuH tatas sarvAn= tAn RzIn sUta mAgaDO /
   āvāṃ devānṛṣīṃścaiva prīṇayāvaḥ svakarmataḥ // BndP_1,36.167 //	AvAm devAn RzIn= ca eva prINayAvaH sva karmataH // Bndu _1,36.167 //
   na cāsya vidvo vai karma na tathā lakṣaṇaṃ yaśaḥ /	na ca asya vidvaH vE karma na taTA lakzaNam yaSaH /
   stotraṃ yenāsya kuryāva procustejasvino dvijāḥ // BndP_1,36.168 //	stotram yena asya kuryAva procuH tejasvinaH dvijAH // Bndu _1,36.168 //
   eṣa karmarato nityaṃ satyavāksaṃyatendriyaḥ /	eza karma rataH nityam satya vAc saMyata indriyaH /
   jñānaśīlo vadānyaśca saṃgrāmeṣvaparajitaḥ // BndP_1,36.169 //	jQAna SIlaH vadAnyaH ca saMgrAmezu aparajitaH // Bndu _1,36.169 //
   ṛṣibhistau niyuktau tu bhaviṣyaiḥ stūyatāmiti /	RziBiH tO niyuktO tu BavizyEH stUyatAm iti /
   yāni karmāṇi kṛtavān pṛthuḥ paścānmahābalaḥ // BndP_1,36.170 //	yAni karmANi kRtavAn pRTuH paScAt mahA balaH // Bndu _1,36.170 //
   tāni gītanibaddhāni hyastutāṃ sūtamāgadhau /	tAni gIta nibadDAni hi astu tAm sUta mAgaDO /
   tatastavānte suprītaḥ pṛthuḥ prādātprajeśvaraḥ // BndP_1,36.171 //	tatas tava ante su prItaH pRTuH prAdAt prajA ISvaraH // Bndu _1,36.171 //
   anūpadeśaṃ sūtāya magadhaṃ māgadhāya ca /	anUpa deSam sUtAya magaDam mAgaDAya ca /
   tadādi pṛthivīpālāḥ stūyante sūtamāgadhaiḥ // BndP_1,36.172 //	tad Adi pRTivIpAlAH stUyante sUta mAgaDEH // Bndu _1,36.172 //
   āśīrvādaiḥ prabodhyante sūtamāgadhabandibhiḥ /	ASIrvAdEH praboDyante sUta mAgaDa bandiBiH /
   taṃ dṛṣṭvā paramaprītāḥ prajā ūcurmaharṣayaḥ // BndP_1,36.173 //	tam dRzwvA parama prItAH prajAH UcuH mahA RzayaH // Bndu _1,36.173 //
   eṣa vṛttiprado vainyo bhaviṣyati narādhipaḥ /	eza vRtti pradaH vEnyaH Bavizyati narADipaH /
   tato vainyaṃ mahābhāgaṃ prajāḥ samabhidudruvuḥ // BndP_1,36.174 //	tatas vEnyam mahABAgam prajAH samaBidudruvuH // Bndu _1,36.174 //
   tvaṃ no vṛttiṃ vidhatsveti mahārṣivaca nāttadā /	tvam naH vRttim viDatsva iti mahA rzi vaca nAttadA /
   so 'bhidrutaḥ prajābhistu prajāhitacikīrṣayā // BndP_1,36.175 //	saH aBidrutaH prajABiH tu prajA hita cikIrzayA // Bndu _1,36.175 //
   dhanurgṛhītvā bāṇāṃśca vasudhāmādravadbalī /	DanuH gRhItvA bANAn= ca vasuDAmAdravat balI /
   tato vainyabhayatrastā gaurbhūtvā prādravanmahī // BndP_1,36.176 //	tatas vEnya Baya trastA gOH BUtvA prAdravat mahI // Bndu _1,36.176 //
   tāṃ pṛthurdhanurādāya dravantīmanvadhāvata /	tAm pRTuH DanuH AdAya dravantIm anvaDAvata /
   sā lokānbrahmalokādīngatvā vainyabhayāttadā // BndP_1,36.177 //	sA lokAn brahma loka AdIn gatvA vEnya BayAt tadA // Bndu _1,36.177 //
   saṃdadarśāgrato vainyaṃ kārmukodyatapāṇikam /	saMda darSa agratas vEnyam kArmuka udyata pANikam /
   jvaladbhirniśitairbāṇairdīptatejasamacyutam // BndP_1,36.178 //	jvaladBiH niSitEH bANEH dIpta tejasam acyutam // Bndu _1,36.178 //
   mahāyogaṃ mahātmānaṃ durddharṣamamarairapi /	mahA yogam mahAtmAnam durdDarzam amarEH api /
   alabantī tu sā trāṇaṃ vainyamevānvapadyata // BndP_1,36.179 //	alabantI tu sA trANam vEnyam eva anvapadyate // Bndu _1,36.179 //
   kṛtāñjalipuṭā devī pūjyā lokaistribhiḥ sādā /	kRta aQjali puwA devI pUjyAH lokEH triBiH sAdA /
   uvāca vainaṃ nādharmaḥ strīvadhe paripaśyati // BndP_1,36.180 //	uvAca vA enam na aDarmaH strI vaDe paripaSyati // Bndu _1,36.180 //
   kathaṃ dhārayitā cāsi prajā yā varddhitā mayā /	kaTam DArayitA ca asi prajAH yA vardDitAH mayA /
   mayi lokāḥ sthitā rājanmayedaṃ dhāryate jagat // BndP_1,36.181 //	mayi lokAH sTitA rAjan mayA idam DAryate jagat // Bndu _1,36.181 //
   matkṛte na vinaśyeyuḥ prajāḥ pārthiva varddhitāḥ /	mad kRte na vinaSyeyuH prajAH pArTiva vardDitAH /
   sa māṃ narhasi vai hantuṃ śreyastvaṃ ca cikīrṣasi // BndP_1,36.182 //	sa mAm narhasi vE hantum SreyaH tvam ca cikIrzasi // Bndu _1,36.182 //
   prajānāṃ pṛthivīpāla śṛṇu cedaṃ vaco mama /	prajAnAm pRTivIpAla SRNu ca idam vacaH mama /
   upāyataḥ samārabdhā sarve siddhyantyupakramāḥ // BndP_1,36.183 //	upAyataH samArabDA sarve sidDi anti upakramAH // Bndu _1,36.183 //
   hatvāpi māṃ na śaktastvaṃ prajānāṃ pālane nṛpa /	hatvA api mAm na SaktaH tvam prajAnAm pAlane nRpa /
   antarbhūtā bhaviṣyāmi jahi kopaṃ mahādyute // BndP_1,36.184 //	antarBUtA BavizyAmi jahi kopam mahA dyute // Bndu _1,36.184 //
   avadhyaśca striyaḥ prāhustiryagyonigateṣvapi /	avaDyaH ca striyaH prAhuH tiryagyoni gatezu api /
   sattvaṣu pṛthivīpāla dhama na tyaktumarhasi // BndP_1,36.185 //	sattvazu pRTivIpAla Dama na tyaktum arhasi // Bndu _1,36.185 //
   evaṃ bahuvidhaṃ vākyaṃ śrutvā tasyā mahāmanāḥ /	evam bahuviDam vAkyam SrutvA tasyAH mahAmanAH /
   krodhaṃ nigṛhya dharmātmā vasudhāmidamabravīt // BndP_1,36.186 //	kroDam nigRhya Darma AtmA vasuDAm idam abravIt // Bndu _1,36.186 //
   ekasyārthāya yo hanyādātmano vā parasya ca /	ekasya arTAya yaH hanyAt AtmanaH vA parasya ca /
   ekaṃ prāṇī bahūnvāpi karma tasyāsti pātakam // BndP_1,36.187 //	ekam prANI bahUn vA api karma tasya asti pAtakam // Bndu _1,36.187 //
   yasmiṃstu nihate bhadre jīvante bahavaḥ sukham /	yasmin= tu nihate Badre jIvante bahavaH suKam /
   tasminhate nāsti śubhe pātakaṃ copapātakam // BndP_1,36.188 //	tasmin hate na asti SuBe pAtakam ca upapAtakam // Bndu _1,36.188 //
   so 'haṃ prajānimittaṃ tvāṃ haniṣyāmi vasundhare /	saH aham prajA nimittam tvAm hanizyAmi vasunDare /
   yadi me vacanaṃ nādya kariṣyasi jagaddhitam // BndP_1,36.189 //	yadi me vacanam na adya karizyasi jagat hitam // Bndu _1,36.189 //
   tvāṃ nihatyāśu bāṇena macchāsanaparāṅmukhīm /	tvAm nihatya ASu bANena mad SAsana parAFmuKIm /
   ātmānaṃ prathayitveha prajā dhārayitā svayam // BndP_1,36.190 //	AtmAnam praTayitvA iha prajAH DArayitA svayam // Bndu _1,36.190 //
   sā tvaṃ vacanamāsthāya mama dharmabhṛtāṃ vare /	sA tvam vacanam AsTAya mama Darma BRtAm vare /
   saṃjīvaya prajā nityaṃ śaktā hyasi na saṃśayaḥ // BndP_1,36.191 //	saMjIvaya prajAH nityam SaktA hi asi na saMSayaH // Bndu _1,36.191 //
   duhitṛtvaṃ ca me gaccha caivametamahaṃ śaram /	duhitR tvam ca me gacCa ca evam etam aham Saram /
   niyaccheyaṃ tvadvadhārthamudyantaṃ ghoradarśanam // BndP_1,36.192 //	niyacCeyam tvad vaDa arTam udyantam Gora darSanam // Bndu _1,36.192 //
   pratyuvāca tato vainyamevamuktā satī mahī /	pratyuvAca tatas vEnyam evam uktA satI mahI /
   sarvametadahaṃ rājanvidhāsyāmi na saṃśayaḥ // BndP_1,36.193 //	sarvam etat aham rAjan viDAsyAmi na saMSayaH // Bndu _1,36.193 //
   vatsaṃ tu mama taṃ paśya kṣareyaṃ yena vatsalā /	vatsam tu mama tam paSya kzareyam yena vatsalA /
   samāṃ ca kuru sarvatra māṃ tvaṃ dharmmabhṛtāṃ vara /	samAm ca kuru sarvatra mAm tvam Darmma BRtAm varaH /
   yathā vispandamānaṃ me kṣīraṃ sarvatra bhāvayet // BndP_1,36.194 //	yaTA vispandamAnam me kzIram sarvatra BAvayet // Bndu _1,36.194 //
   sūta uvāca	sUtaH uvAca
   tata utsārayāmāsa śilājālani sarvaśaḥ /	tatas utsArayAmAsa SilA jAlani sarvaSas /
   dhanuṣkoṭyā tathā vainyastena śailā vivarddhitāḥ // BndP_1,36.195 //	DanuzkowyA taTA vEnyaH tena SElAH vivardDitAH // Bndu _1,36.195 //
   manvantareṣvatīteṣu viṣamāsīdvasundharā /	manvantarezu atItezu vizama AsIt vasunDarA /
   svabhāvenā bhavattasyāḥ samāni viṣamāṇi ca // BndP_1,36.196 //	svaBAvenA Bavat tasyAH samAni vizamANi ca // Bndu _1,36.196 //
   na hi pūrvanisarge vai viṣame pṛthivītale /	na hi pUrva nisarge vE vizame pRTivI tale /
   pravibhāgaḥ purāṇāṃ vā grāmāṇāṃ vāpi vidyate // BndP_1,36.197 //	praviBAgaH purANAm vA grAmANAm vA api vidyate // Bndu _1,36.197 //
   na sasyāni na gorakṣaṃ na kṛṣirna vaṇikpathaḥ /	na sasyAni na gorakzam na kRziH na vaNikpaTaH /
   cākṣuṣasyāntare pūrvamāsīdetatpurā kila // BndP_1,36.198 //	cAkzuzasya antare pUrvam AsIt etat purA kila // Bndu _1,36.198 //
   vaivasvateṃ'tare tasminsarva syaitasya saṃbhavaḥ /	vEvasvateM atare tasmin sarve syA etasya saMBavaH /
   samatvaṃ yatra yatrāsīdbhūmeḥ kasmiṃścideva hi // BndP_1,36.199 //	sama tvam yatra yatra AsIt BUmeH kasmiMScid eva hi // Bndu _1,36.199 //
   tatra tatra prajāstā vai nivasaṃti ca sarvaśaḥ /	tatra tatra prajAH tAH vE nivasaMti ca sarvaSas /
   āhāraḥ phala mūle tu prajānāmabhavatkila // BndP_1,36.200 //	AhAraH Pala mUle tu prajAnAm aBavat kila // Bndu _1,36.200 //
   kṛcchreṇaiva tadā tāsāmityevamanuśuśruma /	kRcCreNa eva tadA tAsAm iti evam anuSuSruma /
   vainyātprabhṛti loke 'sminsarvasyaitasya saṃbhavaḥ // BndP_1,36.201 //	vEnyAt praBRti loke asmin sarvasya etasya saMBavaH // Bndu _1,36.201 //
   sa kalpayitvā vatsaṃ tu cākṣuṣaṃ manumīśvaraḥ /	sa kalpayitvA vatsam tu cAkzuzam manum ISvaraH /
   pṛthurdudoha sasyāni sve tale pṛthivīṃ tataḥ // BndP_1,36.202 //	pRTuH dudoha sasyAni sve tale pRTivIm tatas // Bndu _1,36.202 //
   tenānnena tatastā vai varttayanti śubhāḥ prajāḥ /	tena annena tatas tAH vE varttayanti SuBAH prajAH /
   ṛṣibhiḥ śrūyate cāpi punardugdhā vasuṃdharā // BndP_1,36.203 //	RziBiH SrUyate ca api punar dugDA vasuMDarAH // Bndu _1,36.203 //
   vatsaḥ somastvabhūtteṣāṃ dogdhā cāpi bṛhaspatiḥ /	vatsaH somaH tu aBUt tezAm dogDA ca api bRhaspatiH /
   chandāsipātramāsīttu gāyatryādīni sarvaśaḥ // BndP_1,36.204 //	Canda asi pAtram AsIt tu gAyatrI AdIni sarvaSas // Bndu _1,36.204 //
   kṣīramāsīttadā teṣāṃ tapo brahma ca śāśvatam /	kzIram AsIt tadA tezAm tapaH brahma ca SASvatam /
   punastato devagaṇaiḥ purandarapurogamaiḥ // BndP_1,36.205 //	punar tatas deva gaNEH purandara purogamEH // Bndu _1,36.205 //
   sauvarṇaṃ pātramādāya dugdhā saṃśrūyate mahī /	sOvarNam pAtram AdAya dugDA saMSrUyate mahI /
   vatsastu maghavānāsīddogdhā ca savitā vibhuḥ // BndP_1,36.206 //	vatsaH tu maGavA an AsIt dogDA ca savitA viBuH // Bndu _1,36.206 //
   kṣīramūrjaṃ ca madhu ca varttante tena devatāḥ /	kzIram Urjam ca maDu ca varttante tena devatAH /
   pitṛbhiḥ śrūyate cāpi punardugdhā vasundharā // BndP_1,36.207 //	pitRBiH SrUyate ca api punar dugDA vasunDarAH // Bndu _1,36.207 //
   rājataṃ pātramādāya svadhāmāśu vitṛptaye /	rAjatam pAtram AdAya svaDAm a ASu vitRptaye /
   vaivasvato yamastvāsītteṣāṃ vatsaḥ pratāpavān // BndP_1,36.208 //	vEvasvataH yamaH tu AsIt tezAm vatsaH pratApavAn // Bndu _1,36.208 //
   antakaścābhavaddogdhā pitṝṇāṃ balavānprabhuḥ /	antakaH ca aBavat dogDA pitLNAm balavAn praBuH /
   asuraiḥ śrūyate cāpi punardugdhā vasundharā // BndP_1,36.209 //	asurEH SrUyate ca api punar dugDA vasunDarAH // Bndu _1,36.209 //
   āyasaṃ pātramādāya kila māyaśca sarvaśaḥ /	Ayasam pAtram AdAya kila mAyaH ca sarvaSas /
   virocanastu prāhrādirvatsasteṣāṃ mahāyaśāḥ // BndP_1,36.210 //	virocanaH tu prAhrAdiH vatsaH tezAm mahA yaSAH // Bndu _1,36.210 //
   tratvigdvimūrddhā daityānāṃ dogdhābhūdditinandanaḥ /	tratvij dvimUrdDA dEtyAnAm dogDA aBUt diti nandanaH /
   pāyasā te ca māyābhiḥ sarve māyāvino 'surāḥ // BndP_1,36.211 //	pAyasA te ca mAyABiH sarve mAyAvinaH asurAH // Bndu _1,36.211 //
   varttayanti mahāvīryāstadeṣāṃ paramaṃ balam /	varttayanti mahA vIryAH tat ezAm paramam balam /
   nāgaistu śrūyate dugdhā vatsaṃ kṛtvā tu takṣakam // BndP_1,36.212 //	nAgEH tu SrUyate dugDA vatsam kRtvA tu takzakam // Bndu _1,36.212 //
   alāba5pātramādāya viṣaṃ kṣīraṃ tadā mahī /	alAba5 pAtram AdAya vizam kzIram tadA mahI /
   teṣāṃ vai vāsukirdegdhā kādraveyaḥ pratāpavān // BndP_1,36.213 //	tezAm vE vAsukiH degDA kAdraveyaH pratApavAn // Bndu _1,36.213 //
   nāgānāṃ vai dvijaśreṣṭha sarpāṇāṃ caiva sarvaśaḥ /	nAgAnAm vE dvijaSrezWa sarpANAm ca eva sarvaSas /
   tenaiva varttayantyugrā mahākāyā viṣolbaṇāḥ // BndP_1,36.214 //	tena eva varttayanti ugrAH mahA kAyAH viza ulbaNAH // Bndu _1,36.214 //
   tadāhārāstadācārāsta dvīryāstadupāśrayāḥ /	tad AhArAH tat AcArAH te dvIryAH tad upASrayAH /
   āmapātre punardugdhā tvantardhānapriyaṃ mahī // BndP_1,36.215 //	Ama pAtre punar dugDA tu antarDAna priyam mahI // Bndu _1,36.215 //
   vatsaṃ vaiśravaṇaṃ kṛtvā yakṣaiḥ puṇyajanaistathā /	vatsam vESravaNam kRtvA yakzEH puNya janEH taTA /
   dogdhā rajatanābhastu pitā maṇidharasya yaḥ // BndP_1,36.216 //	dogDA rajata nABaH tu pitA maNiDarasya yaH // Bndu _1,36.216 //
   yajñātmajo mahātejā vaśī ca sumahāyaśāḥ /	yajQa AtmajaH mahA tejAH vaSI ca su mahA yaSAH /
   tena te varttayantīti paramarthatayā ca ha // BndP_1,36.217 //	tena te varttayanti iti param arTa tayA ca ha // Bndu _1,36.217 //
   rākṣasaiśca piśācaiśca punardugdhā vasundharā /	rAkzasEH ca piSAcEH ca punar dugDA vasunDarA /
   brahmā brāhyāstu vai dogadhā teṣāmāsītkuberakaḥ // BndP_1,36.218 //	brahmA brAhyAH tu vE dogaDA tezAm AsIt kuberakaH // Bndu _1,36.218 //
   vatsaḥ sumālī balavānkṣīraṃ rudhirameva ca /	vatsaH sumAlI balavAn kzIram ruDiram eva ca /
   kapālapātre nirdugdhā hyantarddhanaṃ ca rākṣasaiḥ // BndP_1,36.219 //	kapAla pAtre nirdugDA hi antardDanam ca rAkzasEH // Bndu _1,36.219 //
   tena kṣīreṇa rakṣāṃsi varttayantīha sarvaśaḥ /	tena kzIreNa rakzAMsi varttayanti iha sarvaSas /
   padmapātre punardugdhā gandharvaiścāpsa rogaṇaiḥ // BndP_1,36.220 //	padma pAtre punar dugDA ganDarvEH ca apsa rogaNEH // Bndu _1,36.220 //
   vatsaṃ citrarathaṃ kṛtvā śucīngandhāmahī tadā /	vatsam citraraTam kRtvA SucIn ganDAmahI tadA /
   teṣāṃ vasurucistvāsīddogdhā putro muneḥ śubhaḥ // BndP_1,36.221 //	tezAm vasuruciH tu AsIt dogDA putraH muneH SuBaH // Bndu _1,36.221 //
   gandharvarājo 'tibalo mahātmā sūryasannibhaḥ /	ganDarva rAjaH atibalaH mahAtmA sUrya sanniBaH /
   śailaiśca śrūyate dugdhā punardevī vasundharā // BndP_1,36.222 //	SElEH ca SrUyate dugDA punar devI vasunDarAH // Bndu _1,36.222 //
   tadauṣadhīrmūrtimatī ratnāni vividhāni ca /	tad A ozaDIH mUrtimatI ratnAni viviDAni ca /
   vatsastu himavānāsīddogdhā merurmahāgiriḥ // BndP_1,36.223 //	vatsaH tu himavAn AsIt dogDA meruH mahA giriH // Bndu _1,36.223 //
   pātraṃ tu śailamevāsīttena śailāḥ pratiṣṭhitāḥ /	pAtram tu SElam eva AsIt tena SElAH pratizWitAH /
   śrūyate vṛkṣavīrudbhiḥ punardugdhā vasundharā // BndP_1,36.224 //	SrUyate vRkza vIrudBiH punar dugDA vasunDarAH // Bndu _1,36.224 //
   pālāśaṃ pātramādāya chinnadagdhaprarohaṇam /	pAlASam pAtram AdAya Cinna dagDa prarohaNam /
   kāmadhuk puṣpitaḥ śālaḥ plakṣo vatso yaśasvinām // BndP_1,36.225 //	kAmaDuk puzpitaH SAlaH plakzaH vatsaH yaSasvinAm // Bndu _1,36.225 //
   sarvakāmadughā dogdhrī pṛthivī bhūtabhāvinī /	sarva kAmaduGA dogDrI pRTivI BUta BAvinI /
   saiva dhātrī vidhātrī ca dhāraṇī ca vasundharā // BndP_1,36.226 //	sA eva DAtrI viDAtrI ca DAraNI ca vasunDarAH // Bndu _1,36.226 //
   dugdhā hitārthaṃ lokānāṃ pṛthuneti hi naḥ śrutam /	dugDA hita arTam lokAnAm pRTunA iti hi naH Srutam /
   carācarasya lokasya pratiṣṭhā yonireva ca // BndP_1,36.227 //	carAcarasya lokasya pratizWA yoniH eva ca // Bndu _1,36.227 //
   iti śrībrahmāṇḍe mahāpurāṇe vāyuprokte pūrvabhāge dvitīye 'nuṣaṅga pāde	iti SrI brahmANxe mahApurANe vAyu prokte pUrva BAge dvitIye anuzaFga pAde
   śeṣamanvantarāśyānaṃ pṛthivīdohanaṃ ca nāma ṣaṭtriṃśattamo 'dhyāyaḥ	Seza manvantara aSyAnam pRTivI dohanam ca nAma zawtriMSattamaH aDyAyaH
   sūta uvāca	sUtaH uvAca
   āsīdiha samudrāntā vasudheti yathā śrutam /	AsIt iha samudrAntA vasuDA iti yaTA Srutam /
   vasu dhatte yatastasmādvasudhā seti gīyate // BndP_1,37.1 //	vasu Datte yatas tasmAt vasuDA sA iti gIyate // Bndu _1,37.1 //
   madhukaiṭabhayoḥ pūrvaṃ medasā saṃpariplutā /	maDu kEwaBayoH pUrvam medasA saMpariplutAH /
