   prathamaṃ kośasthānam	praTamam koSa sTAnam
   skndhasamudāyastṛṣṇopādānaḥ saṃsaratītyucyate /	sknDa samudAyaH tRzNA upAdAnaH saMsarati iti ucyate /
   yadi skandhāmātramidaṃ kasmādāha bhagavān "grahameva sa tena kālena tena	yadi skanDA mAtram idam kasmAt Aha BagavAn "graham eva sa tena kAlena tena
   samayena sunetro nāma śāstā 'bhūvami"ti /	samayena sunetraH nAma SAstA aBUvam i"ti /
   kasmānna vaktavyaṃ syāt /	kasmAt na vaktavyam syAt /
   anyatvāt skandhānām /	anya tvAt skanDAnAm /
   atha kiṃ pudgalaḥ /	aTa kim pudgalaH /
   sa evāsau /	saH eva asO /
   śāśvato hi syāt /	SASvataH hi syAt /
   tasmādahameva sa ityekasaṃtānatāṃ darśayati /	tasmAt aham eva saH iti eka saMtAna tAm darSayati /
   yathā sa evāgnirdahannāgata iti /	yaTA saH eva agniH dahan= AgataH iti /
   yadi cātmā bhavettthāgatā eva suvyaktaṃ paśyeyuḥ /	yadi ca AtmA Bavet tTAgatAH eva su vyaktam paSyeyuH /
   paśyatāṃ cātmagrāho dṛḍhataraḥ syādātmasnehaśca /	paSyatAm ca Atma grAhaH dRXataraH syAt Atma snehaH ca /
   "ātmani ca satyātmīyaṃ bhavatī"ti sūtre vacanādātmagrāho 'pyeṣāṃ	"a Atmani ca satya AtmIyam BavatI"ti sUtre vacanAt Atma grAhaH api ezAm
   skandheṣvadhikaṃ pravarteta /	skanDezu aDikam pravarteta /
   saiṣā syātsatkāyadṛṣṭi /	sA ezA syAt satkAya dRzwi /
   ātmīyadṛṣṭau ca satyāmātmīyasnehaḥ /	AtmIya dRzwO ca satyAm AtmIya snehaH /
   evameṣāṃ dṛḍhatarātmātmīyasnehaparisāditavandhanānāṃ mokṣo dūratarībhavet	evam ezAm dRXatara AtmA AtmIya sneha parisAdita vanDanAnAm mokzaH dUratarIBavet 
   atha mataṃ naivātmani pravartate sneha iti /	aTa matam na eva Atmani pravartate snehaH iti /
   tat ka idānīmeṣa yogo yadanātmanyātmadhimokṣāt sneha utpadyate ātmanyeva	tat kaH idAnIm eza yogaH yat anAtmani Atma Di mokzAt snehaH utpadyate Atmani eva
   tu notpadyate /	tu na utpadyate /
   tasmāt dṛṣṭacyarvudametasmin śāsane utpannaṃ ya eṣa ekeṣāṃ pudgalagrāha	tasmAt dRzwa cyarvudam etasmin SAsane utpannam yaH ezaH ekezAm pudgala grAha
   ekeṣāṃ sarvanāstitāgrāhaḥ /	ekezAm sarvanAstitA grAhaH /
   ye 'pi ca dravyāntaramevātmānaṃ manyante tīrthakārāstepāmeva	ye api ca dravya antaram eva AtmAnam manyante tIrTakArAH tepAm eva
   mokṣābhāvadoṣo niṣkampaḥ /	mokza aBAva dozaH nizkampaH /
   yadi tarhi sarvathāpi nāstyātmā kathaṃ kṣaṇikeṣu citteṣu	yadi tarhi sarvaTA api na asti AtmA kaTam kzaNikezu cittezu
   cirānubhūtasyārthasya smaraṇaṃ bhavati pratyabhijñānaṃ vā /	cira anuBUtasya arTasya smaraNam Bavati pratyaBijQAnam vA /
   smṛtiviṣayasaṃjñānvayāccittaviśeṣāt /	smRti vizaya saMjQA anvayAt citta viSezAt /
   kīdṛśāccittaviśeṣāt yato 'nantaraṃ smṛtirbhavati /	kIdRSAt citta viSezAt yatas anantaram smRtiH Bavati /
   tadābhogasadṛśasamvandhisaṃjñādimato 'nupahata	tad ABoga sadRSa samvanDi saMjQA AdimataH anupahata
   prabhāvādāśrayaviśeṣaśokavyākṣepādibhiḥ /	praBAvAt ASraya viSeza Soka vyAkzepa AdiBiH /
   tādṛśo 'pi hyatadanvayaścittaviśeṣo na samarthaḥ tāṃ smṛtiṃ bhavayituṃ	tAdRSaH api hi atad anvayaH citta viSezaH na samarTaH tAm smRtim Bavayitum
   tadanvayo 'pi cānyādṛśo na samarthastāṃ smṛtiṃ bhavayitum /	tad anvayaH api ca anyAdRSaH na samarTaH tAm smRtim Bavayitum /
   labhayathā tu samartha ityevaṃ smṛtirbhavatyanyasyāṃ sāmarthyādarśanāt /	laBa yaTA tu samarTaH iti evam smRtiH Bavati anyasyAm sAmarTya adarSanAt /
   kathamidānīmanyena cetasā dṛṣṭamanyatsmarati /	kaTam idAnIm anyena cetasA dRzwam anyat smarati /
   evaṃ hi devadattacetasā dṛṣṭaṃ yajñadattacetaḥ smaret /	evam hi devadatta cetasA dRzwam yajQadatta cetaH smaret /
   nāsambandhāt /	na asambanDAt /
   na hi tayoḥ saṃbandho 'sti akārya kāraṇabhāvādyathaikasaṃtānikayoḥ /	na hi tayoH saMbanDaH asti akArya kAraNa BAvAt yaTA eka saMtAnikayoH /
   na ca brūmo 'nyena cetasā dṛṣṭamanyatsmaratīti /	na ca brUmaH anyena cetasA dRzwam anyatsmarati iti /
   api tu darśanacittātsmṛticittamanyadutpadyate /	api tu darSana cittAt smRti cittam anyat utpadyate /
   saṃtatipariṇatyā yathoktamiti ka evaṃ sati doṣaḥ /	saMtati pariNatyA yaToktam iti kaH evam sati dozaH /
   smaraṇādeva ca pratyabhijñānaṃ bhavati /	smaraNAt eva ca pratyaBijQAnam Bavati /
   asatyātmanika eṣa smarati /	asatya AtmanikaH eza smarati /
   smaratīti ko 'rthaḥ /	smarati iti kaH arTaH /
   smṛtyā viṣayaṃ gṛhlāti /	smRtyA vizayam gRhlAti /
   kiṃ tadgrahaṇamanyatsmaraṇāt /	kim tad grahaNam anyat smaraNAt /
   smṛtiṃ tarhi kaḥ karoti /	smRtim tarhi kaH karoti /
   uktaḥ sa yastāṃ karoti smṛtihetucittaviśeṣaḥ /	uktaH sa yaH tAm karoti smRti hetu citta viSezaH /
   yattarhi caitraḥ smaratītyucyate /	yat tarhi cEtraH smarati iti ucyate /
   tato caitrākhyātsaṃtānāttāṃ bhavantīṃ dṛṣṭvocyate caitraḥ smaratīti /	tatas cEtra AKyAt saMtAnAt tAm BavantIm dRzwvA ucyate cEtraH smarati iti /
   asatyātmani kasyevaṃ smṛtiḥ /	asati a Atmani kasi a ivam smRtiH /
   kiṃarthaiṣā ṣaṣṭhī /	kiMarTA ezA zazWI /
   svāmyarthā /	svAmi arTAH /
   yathā kasya kaḥ svāmī /	yaTA kasya kaH svAmI /
   yathā goścaitraḥ /	yaTA goH cEtraH /
   kathamasau tasyāḥ svāmī /	kaTam asO tasyAH svAmI /
   tadādhīno hi tasyā vāhadohādiṣu viniyogaḥ /	tadA aDInaH hi tasyAH vAha doha Adizu viniyogaH /
   kva ca punaḥ smṛtirviniyoktavyā va evaṃ tasyāḥ svāmī mṛgyate /	kva ca punar smRtiH viniyoktavyA vaH evam tasyAH svAmI mRgyate /
   smartavye 'rthe /	smartavye arTe /
   kimartha viniyoktavyā /	kimarTa viniyoktavyA /
   smaraṇārtham /	smaraNa arTam /
   aho sūktāni sukhaidhitānām /	aho sUktAni suKa eDitAnAm /
   saiva hi nāma tadarthaṃ viniyoktavyeti /	sA eva hi nAma tad arTam viniyoktavyA iti /
   kathaṃ ca viniyoktavyā /	kaTam ca viniyoktavyA /
   utpādanata ahosvitsaṃpreṣaṇataḥ /	utpAdanata ahosvit saMprezaNataH /
   smṛtigatyayogādutpādanataḥ /	smRti gati ayogAt utpAdanataH /
   hetureva tarhi svāmī prāpnoti phalameva ca svam /	hetuH eva tarhi svAmI prApnoti Palam eva ca svam /
   yasmāddhetorādhipatyaṃ phale phalena ca tadvān heturiti /	yasmAt hetoH ADipatyam Pale Palena ca tadvAn hetuH iti /
   yo hyeva hetuḥ smṛtestasyaivāsau /	yaH hi eva hetuH smRteH tasya eva asO /
   yaścāpi sa caitrābhidhānaḥ saṃskārasamūhasaṃtāna ekato gṛhītvā	yaH ca api sa cEtra aBiDAnaH saMskAra samUha saMtAne ekatas gRhItvA
   gavākhyasvāmītyucyate sa cāpi tasya deśāntaravikārotpattau kāraṇabhāvaṃ	gavA AKya svAmI iti ucyate sa ca api tasya deSa antara vikAra utpattO kAraNa BAvam
   cetasi kṛtvā na tu khalu kaścidekaścaitro nāmāsti na cāpi gauḥ /	cetasi kRtvA na tu Kalu kaScid ekaH cEtraH nAma asti na ca api gOH /
   tasmāttatrāpi na hetubhāvaṃ vyatītyāsti svāmihbāvaḥ /	tasmAt tatra api na hetu BAvam vyatItya asti svAmihbAvaH /
   evaṃ ko vijānāti kasya vijñānamityevamādiṣu vaktavyam /	evam kaH vijAnAti kasya vijQAnam iti evamAdizu vaktavyam /
   tasya heturindriyārthamanaskārā yathāyogamityeṣa viśeṣaḥ /	tasya hetuH indriya arTa m anaskArAH yaTAyogam iti eza viSezaH /
   yo 'pyāha bhāvasya bhavitrapekṣatvāt sarvo hi bhāvo bhavitāramapekṣate /	yaH api Aha BAvasya Bavitrapekza tvAt sarvaH hi BAvaH BavitAram apekzate /
   yathā devadatto gacchatītyatra gatirbhāvo gantāraṃ devadattamapekṣate /	yaTA devadattaH gacCati iti atra gatiH BAvaH gantAram devadattam apekzate /
   tathā vijñānaṃ bhāvaḥ /	taTA vijQAnam BAvaH /
   tasmādyo vijānāti tena bhavitavyamiti /	tasmAt yaH vijAnAti tena Bavitavyam iti /
   sa vaktavyaḥ /	sa vaktavyaH /
   ko 'yaṃ devadatta iti /	kaH ayam devadattaH iti /
   yadyātmā sa eva sādhyaḥ /	yadi AtmA saH eva sADyaH /
   atha vyavahārapuruṣaḥ /	aTa vyavahAra puruzaH /
   so 'pi na kaścidekaḥ saṃskārā hi ta evaṃnāmānaḥ /	saH api na kaScid ekaH saMskArAH hi te evaMnAmAnaH /
   tatra yathā devadatto gacchati yathā vijānāti /	tatra yaTA devadattaH gacCati yaTA vijAnAti /
   kathaṃ ca devadatto gacchati /	kaTam ca devadattaH gacCati /
   kṣaṇikā hisaṃskārā abhinnasaṃtānā devadatta iti	kzaNikA hi saMskArAH aBinna saMtAnA devadattaH iti
   bālairekasattvapiṇḍagraheṇādhimuktāḥ svasya saṃtānasya deśāntare kāraṇaṃ	bAlEH eka sattva piNxa graheNa aDimuktAH svasya saMtAnasya deSa antare kAraNam
   bhavanta ucyante gacchati devadatta iti /	BavantaH ucyante gacCati devadattaH iti /
   sā ca deśāntaropattirgatirita /	sA ca deSa antara upattiH gatiH ita /
   jvālāśabdasaṃtānayorgacchatigamanābhidhānavat /	jvAlA Sabda saMtAnayoH gacCati gamana aBiDAna vat /
   ta eva ca punarvijñānasya kāraṇaṃ bhavanta ucyante jānāti devadatta iti /	te eva ca punar vijQAnasya kAraNam BavantaH ucyante jAnAti devadattaH iti /
   āryairapi teṣāṃ saṃjñayā tathocyante vyavahārārtham /	AryEH api tezAm saMjQayA taTA ucyante vyavahAra arTam /
   yattarhi "vijñānaṃ vijānātī"ti sūtra uktaṃ kiṃ tatra vijñānaṃ karoti /	yat tarhi "vijQAnam vijAnAtI"ti sUtre uktam kim tatra vijQAnam karoti /
   na kiñcitkaroti /	na kiQcid karoti /
   yathā tu kāryaṃ kāraṇamanuvidhīyata ityucyate /	yaTA tu kAryam kAraNam anuviDIyate iti ucyate /
   sādṛśyenātmalābhādakurvadapi kiñcit /	sAdRSyena Atma lABAt akurvat api kiQcid /
   evaṃ vijñānamapi vijānātītyucyate /	evam vijQAnam api vijAnAti iti ucyate /
   sādṛśyenātmalābhādakurvadapi kiñcit /	sAdRSyena Atma lABAt akurvat api kiQcid /
   kiṃ punarasya sādṛśyam /	kim punar asya sAdRSyam /
   tadākāratā /	tad AkAra tA /
   ata eva tadindriyādapyutpannaṃ viṣayaṃ vijānātītyucyate nendriyam /	atas eva tad indriyAt api utpannam vizayam vijAnAti iti ucyate na indriyam /
   athavā tathā 'trāpi vijñānasaṃtānasya vijñāne kāraṇabhāvādvijñānaṃ	aTavA taTA atra api vijQAna saMtAnasya vijQAne kAraNa BAvAt vijQAnam
   vijānātīti vacanānnirdoṣaṃ kāraṇe dartṛśabdanirdeśāt /	vijAnAti iti vacanAt nirdozam kAraNe dartR Sabda nirdeSAt /
   ghaṇṭā rautīti yadvat /	GaNwA rOti iti yadvat /
   api khalu yathā pradīpo gacchati tathā vijñānaṃ vijānātīti /	api Kalu yaTA pradIpaH gacCati taTA vijQAnam vijAnAti iti /
   kathaṃ ca pradīpo gacchati /	kaTam ca pradIpaH gacCati /
   pradīpa ityarciṣāṃ saṃtāna upacaryate /	pradIpaH iti arcizAm saMtAne upacaryate /
   sa deśāntareṣūtpadyamānastaṃ deśaṃ gacchatītyucyate /	sa deSa antarezu utpadyamAnaH tam deSam gacCati iti ucyate /
   evaṃ vijñānamapi cittānāṃ saṃtāna upacaryate /	evam vijQAnam api cittAnAm saMtAne upacaryate /
   tadviṣayāntareṣūtpadyamānaṃ taṃ viṣayaṃ vijānātītyucyate /	tad vizaya antarezu utpadyamAnam tam vizayam vijAnAti iti ucyate /
   yathā cābhijāyate tiṣṭhati rūpamityatra bhaviturbhāvādanarthantaratvamevaṃ	yaTA ca aBijAyate tizWati rUpam iti atra BavituH BAvAt anarTantara tvam evam
   vijñānasyāpi syāt /	vijQAnasya api syAt /
   yadi vijñānādvijñānamutpadyate nātmānaḥ kasmānna nityaṃ tādṛśamevotpadyate	yadi vijQAnAt vijQAnam utpadyate na AtmAnaH kasmAt na nityam tAdRSam eva utpadyate
   na ca kramaniyamenāṅkurakāṇḍapatradivat /	na ca krama niyamena aFkura kANxa patra divat /
   sthityanyathātvasya saṃskṛtlakṣaṇatvāt /	sTiti anyaTAtvasya saMskRt lakzaNa tvAt /
   eṣa hi saṃskṛtasya svabhāvo yadavaśyaṃ prabandhasyānyathātvaṃ bhavati /	eza hi saMskRtasya svaBAvaH yat avaSyam prabanDasya anyaTAtvam Bavati /
   anyathā hi nikāmadhyānasamāhitānāṃ sadṛśakāyacittotpattau	anyaTA hi nikAma DyAna samAhitAnAm sadRSa kAya citta utpattO
   prathamakṣaṇaniṃrviśeṣatvāt paścādapi na syāt svayaṃ vyutthānam /	praTama kzaNa niMrviSeza tvAt paScAt api na syAt svayam vyutTAnam /
   kramo 'pi hi cittānāṃ niyata eva /	kramaH api hi cittAnAm niyataH eva /
   yato nūtpattavyaṃ tata eva tasyotpādāt /	yatas nu utpattavyam tatas eva tasya utpAdAt /
   tulyākāramapi hi kiñcidutpādane samarthaṃ bhavati /	tulya AkAram api hi kiQcid utpAdane samarTam Bavati /
   gotraviśeṣāt /	gotra viSezAt /
   yadyathā strīcittānantaraṃ yadi tatkāyavidūṣaṇācittamutpannaṃ bhavati	yat yaTA strI citta anantaram yadi tad kAya vidUzaNa acittam utpannam Bavati
   tatpatiputrādicittaṃ vā punaśca paścātsaṃtatipariṇatyā strīcittamutpadyate	tad pati putra Adi cittam vA punar ca paScAt saMtati pariNatyA strI cittam utpadyate
   tat samartha bhavati tatkāyavidūṣaṇācittotpādane	tat samarTa Bavati tad kAya vidUzaNa acitta utpAdane
   tatpatiputrādicittotpādane vā /	tad pati putra Adi citta utpAdane vA /
   tadgotratvāt /	tad gotra tvAt /
   anyathā na samartham /	anyaTA na samarTam /
   atha punaḥ paryāyeṇa strīcittādvahuvidhaṃ cittamutpannaṃ vahutara	aTa punar paryAyeNa strI cittAt vahuviDam cittam utpannam vahutara
   māsannataraṃ vā tadevotpadyate /	mAsannataram vA tat eva utpadyate /
   tadbhāvanāyā valīyastvāt /	tad BAvanAyAH valIyaH tvAt /
   anyatra tatkālikātkāyabāhyapratyayaviśeṣāt /	anyatra tad kAlikAt kAya bAhya pratyaya viSezAt /
   saiva balīyasī bhāvanā kasmānnityaṃ na phalati /	sA eva balIyasI BAvanA kasmAt nityam na Palati /
   sthityanyathātvasya saṃskṛtalakṣaṇatvāt tasya	sTiti anyaTAtvasya saMskRta lakzaNa tvAt tasya
   cānyathātvasyānyabhāvanāphalotpattāvānuguṇyāt /	ca anyaTAtvasya anya BAvanA Pala utpattO= AnuguNyAt /
   etaddhi sarvacittaprakāreṣu diṅmātram /	etat hi sarva citta prakArezu diS mAtram /
   nirantarakāraṇajñāne tu buddhānāṃ prabhutvam //	nirantara kAraNa jQAne tu budDAnAm praBu tvam //
   evaṃ hyāhuḥ /	evam hi AhuH /
        sarvākārakāraṇamekasya mayūracandrakasyāpi /	sarva AkAra kAraNam ekasya mayUra candrakasya api /
        nāsarvajñairjñeyaṃ sarvajñabalaṃ hi tajjñānami"ti //	na asarva jQEH jQeyam sarvajQa balam hi tat jQAnam i"ti //
   prāgevārupiṇāṃ cittabhedānām /	prAk eva arupiNAm citta BedAnAm /
   ya eva tvayamekīyastīrthika ātmaprabhavāṃ cittotpattiṃ manyate tasyaivedaṃ	yaH eva tu ayam ekIyaH tIrTikaH Atma praBavAm citta utpattim manyate tasya eva idam
   sphuṭaṃ codyamāpadyate kasmānna nityaṃ tādṛśamevotpadyate na ca	sPuwam codyam Apadyate kasmAt na nityam tAdRSam eva utpadyate na ca
   kramaniyamenāṅkurakāṇḍapatrādivaditi /	krama niyamena aFkura kANxa patra Adi vat iti /
   manaḥsaṃyogaviśeṣāpekṣatvāditi cet /	manaH saMyoga viSeza apekza tvAt iti ced /
   na /	na /
   anyasaṃyogāsiddheḥ /	anya saMyoga asidDeH /
   saṃyoginostu paricchinnatvādaprāptipūrvikā prāptiḥ samyoga iti	saMyoginoH tu paricCinna tvAt aprApti pUrvikA prAptiH samyogaH iti
   lakṣaṇavyākhyānāccātmānaḥ paricchedaprasaṅgaḥ /	lakzaNa vyAKyAnAt ca AtmAnaH paricCeda prasaFgaH /
   tato manaḥsamcārādātmanaḥ saṃcāraprasaṅgo virāgasya vā /	tatas manaH samcArAt AtmanaH saMcAra prasaFgaH virAgasya vA /
   pradeśasaṃyoga iti cet /	pradeSa saMyogaH iti ced /
   na /	na /
   tasyaiva tatpradeśatvāyogāt /	tasya eva tad pradeSa tva ayogAt /
   astu vā saṃyogastathāpi nityamaviśiṣṭe manasi kathaṃ saṃyogaviśeṣaḥ /	astu vA saMyogaH taTA api nityam aviSizwe manasi kaTam saMyoga viSezaH /
   buddhiviśeṣāpekṣa iti cet /	budDi viSeza apekzaH iti ced /
   sa eva paricodyate kathaṃ buddhiviśeṣa iti /	saH eva paricodyate kaTam budDi viSezaH iti /
   saṃskāraviśeṣāpekṣādātmamanaḥ saṃyogāditi cet /	saMskAra viSeza apekzAt Atma manaH saMyogAt iti ced /
   cittādevāstu saṃskāraviśeṣāpekṣatvāt /	cittAt eva astu saMskAra viSeza apekza tvAt /
   nahi kiñcidātmanaḥ upalabhyate sāmarthmauṣadha kāryasiddhāviva	nahi kiQcid AtmanaH upalaByate sAmarTmA OzaDa kArya sidDO= iva
   kuhakavaidyaphuḥsvāhānām /	kuhaka vEdya PuH svAhAnAm /
   satyātmani tayoḥ saṃyoga iti cet /	satya Atmani tayoH saMyogaH iti ced /
   vāṅmātram /	vAc mAtram /
   āśrayaḥ sa iti cet /	ASrayaH saH iti ced /
   yathā kaḥ kasyāśrayaḥ /	yaTA kaH kasya ASrayaH /
   na hi te citravadarādivadādhārye nāpi sa kuḍacyakuṇḍādivadādhāro yuktaḥ /	na hi te citravadara Adi vat ADArye na api sa kuxacya kuNxa Adi vat ADAraH yuktaH /
   pratighātiyutadoṣāt naiva sa evamāśrayaḥ /	pratiGAti yuta dozAt na eva saH evam ASrayaH /
   kathaṃ tarhi /	kaTam tarhi /
   yathā gandhādīnāṃ pṛthivīti cet /	yaTA ganDa AdInAm pRTivI iti ced /
   atiparitoṣitāḥ smaḥ /	ati paritozitAH smaH /
   idameva hi naḥ pratyāyakaṃ nāstyātmeti /	idam eva hi naH pratyAyakam na asti AtmA iti /
   yathā na gandhādibhyo 'nyā pṛthivīti /	yaTA na ganDa AdiByaH anyA pRTivI iti /
   ko hi sa gandhādibhyo 'nyāṃ pṛthivīṃ nirdhārayati /	kaH hi sa ganDa AdiByaH anyAm pRTivIm nirDArayati /
   vyapadeśastu pṛthivyā gandhādaya iti viśeṣaṇārtham /	vyapadeSaH tu pRTivyAH ganDa AdayaH iti viSezaNa arTam /
   te hyeva tadākhyā gandhādayo yathā pratīyerannānya iti /	te hi eva tad AKyAH ganDa AdayaH yaTA pratIyeranna anyaH iti /
   kāṣṭhapratimāyāṃ śarīravyapadeśavat /	kAzWa pratimAyAm SarIra vyapadeSa vat /
   satyapi ca saṃskāraviśeṣāpekṣatve kasmānna yugapatsarvajñānotpattiḥ /	sati api ca saMskAra viSeza apekza tve kasmAt na yugapad sarva jQAna utpattiH /
   yo hi baliṣṭhastenānyeṣāṃ prativandhaḥ /	yaH hi balizWaH tena anyezAm prativanDaH /
   sa eva valiṣṭhaḥ kasmānnityaṃ na phalati /	saH eva valizWaH kasmAt nityam na Palati /
   yo 'sya nyāyaḥ so 'stu bhāvanāyāḥ /	yaH asya nyAyaH saH astu BAvanAyAH /
   ātmā tu nirarthakaḥ kalpyate /	AtmA tu nirarTakaH kalpyate /
   avaśyamātmābhyupagantavyaḥ /	avaSyam Atma aByupagantavyaH /
   smṛtyādīnāṃ guṇapadārthatvāt tasya cārthādavaśyaṃ dravyāśritatvāt teṣāṃ	smRti AdInAm guNa padArTa tvAt tasya ca arTAt avaSyam dravya ASrita tvAt tezAm
   cānyāśrayāyogāditi cet /	ca anya ASraya ayogAt iti ced /
   na /	na /
   na hyeṣāṃ guṇapadārthatvaṃ siddham /	na hi ezAm guNa padArTa tvam sidDam /
   sarvameva no vidyamānaṃ dravya /	sarvam eva naH vidyamAnam dravyaH /
   "ṣaṭ dravyāṇi śrāmaṇyaphalānī"ti vacanāt /	"zaw dravyANi SrAmaNya PalAni i"ti vacanAt /
   nāpyeṣāṃ dravyāśritatvaṃ siddham /	na api ezAm dravya ASrita tvam sidDam /
   parīkṣito hyāśrayārthaḥ /	parIkzitaH hi ASraya arTaH /
   tasmādyatkiñcideva tat /	tasmAt yat kiQcid eva tat /
   ātmanyasati kimarthaḥ karmārambhaḥ /	Atmani asati kimarTaH karma AramBaH /
   ahaṃ sukhī syāmahaṃ duḥkhī na syāmityevamarthaḥ /	aham suKI syAm aham duHKI na syAm iti evam arTaH /
   ko 'sāvahaṃ nāma yadviṣayio 'yamahaṅkāraḥ /	kaH asO= aham nAma yat vizayiaH ayam ahaFkAraH /
   skandhaviṣayaḥ /	skanDa vizayaH /
   kathaṃ jñāyate /	kaTam jQAyate /
   teṣu snehāt /	tezu snehAt /
   gaurādibuddhibhiḥ sāmānādhikaraṇyāttu /	gOra Adi budDiBiH sAmAnADikaraNyAt tu /
   gauro 'hamahaṃ śyāmaḥ sthūlo 'hamahaṃ kṛśaḥ jīrṇo 'hamahaṃ yuveti	gOraH aham aham SyAmaH sTUlaH aham aham kRSaH jIrNaH aham aham yuvA iti
   gaurādibuddhibhiḥ sāmānādhikaraṇo 'yamahaṅkāro dṛśyate /	gOra Adi budDiBiH sAmAna aDikaraNaH ayam ahaFkAraH dRSyate /
   na cātmana ete prakārā dṛśyante /	na ca AtmanaH ete prakArAH dRSyante /
   tasmādapi skandheṣvayamiti gamyate /	tasmAt api skanDezu ayam iti gamyate /
   ātmana upakārake 'pi śarīra ātmopacāro yathā ya evāyaṃ sa evāhaṃ sa evāyaṃ	AtmanaH upakArake api SarIraH Atma upacAraH yaTA yaH eva ayam saH eva aham saH eva ayam
   me bṛtya iti bhavatyupakārake 'pi ātmopacāro natvahaṅkāraḥ /	me bRtyaH iti Bavati upakArake api Atma upacAraH na tu ahaFkAraH /
   sati śarīrālambanatve paraśarīrālamvano 'pi kasmānna bhavati /	sati SarIra Alambana tve para SarIra AlamvanaH api kasmAt na Bavati /
   asaṃvandhāt /	asaMvanDAt /
   yenaiva hi sahāsya saṃvandhaḥ kāyena cittena vā yatraivāyamahaṅkāra	yena eva hi saha asya saMvanDaH kAyena cittena vA yatra eva ayam ahaFkAra
   utpadyate nānvatra /	utpadyate na anvatra /
   anādau saṃsārra evamabhyāsāt /	anAdO saMsArraH evam aByAsAt /
   kaśca saṃbandhaḥ /	kaH ca saMbanDaH /
   kāryakāraṇabhāvaḥ /	kArya kAraNa BAvaH /
   yadyātmā nāsti kasyāyamahaṅkāraḥ /	yadi AtmA na asti kasya ayam ahaFkAraH /
   idaṃ punastadeāyātaṃ "kimarthaiṣā ṣaṣṭhīti /	idam punar tadA IAyAtam "kimarTA ezA zazWI iti /
   yāvadya evāsya hetustasyaivāyami"ti /	yAvat yaH eva asya hetuH tasya eva ayam i"ti /
   kaścānyo hetuḥ /	kaH ca anyaH hetuH /
   pūrvāhaṅkāraparibhāvitaṃ svasaṃtativiṣayaṃ sāvadyaṃ cittam /	pUrva ahaFkAra pariBAvitam sva saMtati vizayam sAvadyam cittam /
   asatyātmani ka eṣa sukhito duḥkhito vā /	asati a Atmani kaH eza suKitaH duHKitaH vA /
   yasminnāśraye sukhamutpannaṃ duḥkhaṃ vā /	yasmin= ASraye suKam utpannam duHKam vA /
   yathā puṣpito vṛkṣaḥ phalitaṃ vanamiti /	yaTA puzpitaH vRkzaH Palitam vanam iti /
