   Sātvatatantra, prathamaḥ paṭalaḥ	SAtvata-tantra, praTamaH pawalaH
   api pravṛttī rāgiṇāṃ nivṛttis tu garīyasī // SatvT_8.11	api pravRttiH rAgiNAm nivRttiH tu garIyasI // SatvT_8.11
   kṛtvānyadevatāpūjāṃ paśuṃ hitvā narādhamāḥ /	kRtvA-anya-devatA-pUjAm paSum hitvA nara-aDamAH /
   yadi te svargatiṃ yānti narakaṃ yānti ke tadā // SatvT_8.12	yadi te svargatim yAnti narakam yAnti ke tadA // SatvT_8.12
   sa māṃ punar bhakṣayitā yasya māṃsam adāmy aham /	sa mAm punar BakzayitA yasya mAMsam adAmi aham /
   iti māṃsaniruktaṃ vai varṇayanti manīṣiṇaḥ // SatvT_8.13	iti mAMsa-niruktam vE varNayanti manIziNaH // SatvT_8.13
   viṣṇubhaktiṃ samāśritya paśughātaṃ samācaran /	vizNu-Baktim samASritya paSu-GAtam samAcaran /
   kṛtvānyadevatāpūjāṃ bhraṣṭo bhavati niścitam // SatvT_8.14	kRtvA-anya-devatA-pUjAm BrazwaH Bavati niScitam // SatvT_8.14
   mānuṣyaṃ prāpya ye jīvā na bhajanti hareḥ padam /	mAnuzyam prApya ye jIvAH na Bajanti hareH padam /
   te śocyā sthāvarādīnām apy ekaśaraṇā yadi // SatvT_8.15	te SocyA sTAvara-AdInAm api eka-SaraNAH yadi // SatvT_8.15
   ahaṃ brahmā surendrāś ca ye bhajāmo divāniśam /	aham brahmA sura-indrAH ca ye BajAmaH divAniSam /
   tato 'dhiko 'sti ko devaḥ śrīkṛṣṇāt puruṣottamāt // SatvT_8.16	tatas aDikaH asti kaH devaH SrI-kRzNAt puruzottamAt // SatvT_8.16
   yatprasādaṃ pratīkṣante sarve lokāḥ sapālakāḥ /	yad-prasAdam pratIkzante sarve lokAH sa-pAlakAH /
   sāpi lakṣmīr yac caraṇaṃ sevate tadanādṛtā // SatvT_8.17	sA-api lakzmIH yat caraNam sevate tad-anAdRtAH // SatvT_8.17
   tato 'dhiko 'sti ko devo lakṣmīkāntāj janārdanāt /	tatas aDikaH asti kaH devaH lakzmIkAntAt janArdanAt /
   yan nāmni ke na saṃyānti puruṣāḥ paramaṃ padam // SatvT_8.18	yat nAmni ke na saMyAnti puruzAH paramam padam // SatvT_8.18
   dharmārthakāmamokṣāṇāṃ mūlaṃ yac caraṇārcanam /	Darma-arTa-kAma-mokzANAm mUlam yat caraNa-arcanam /
   tato 'dhiko 'sti ko devaḥ kṛpāsindhor mahātmanaḥ // SatvT_8.19	tatas aDikaH asti kaH devaH kRpA-sinDoH mahAtmanaH // SatvT_8.19
   bhajanasyālpamātreṇa bahu manyeta yaḥ sadā /	Bajanasya-alpa-mAtreNa bahu manyeta yaH sadA /
   tato 'dhiko 'sti ko devaḥ sukhārādhyāj jagadguroḥ // SatvT_8.20	tatas aDikaH asti kaH devaH suKa-ArADyAt jagadguroH // SatvT_8.20
   yena kenāpi bhāvena yo 'pi ko 'pi bhajan janaḥ /	yena kena-api BAvena yaH api kaH api Bajan janaH /
   labhate 'bhīpsitāṃ siddhiṃ mokṣaṃ cāpy akutobhayam // SatvT_8.21	laBate aBIpsitAm sidDim mokzam ca-api akutoBayam // SatvT_8.21
   tato 'dhiko 'sti ko devaḥ devakīdevinandanāt /	tatas aDikaH asti kaH devaH devakI-devinandanAt /
   yo jaganmuktaye kīrtim avatīrya tatāna ha // SatvT_8.22	yaH jagat-muktaye kIrtim avatIrya tatAna ha // SatvT_8.22
   ato 'nyadevatāpūjāṃ tyaktvā balividhānataḥ /	atas anya-devatA-pUjAm tyaktvA bali-viDAnataH /
   sadguror upadeśena bhajet kṛṣṇapadadvayam // SatvT_8.23	sat-guroH upadeSena Bajet kRzNa-pada-dvayam // SatvT_8.23
   śṛṇuyāt pratyahaṃ viṣṇor yaśaḥ paramamaṅgalam /	SRNuyAt pratyaham vizNoH yaSaH parama-maFgalam /
   uccārayen mukhenaiva nāma cittena saṃsmaret // SatvT_8.24	uccArayet muKena-eva nAma cittena saMsmaret // SatvT_8.24
   prītiṃ kuryād vaiṣṇaveṣu abhakteṣu vivarjayet /	prItim kuryAt vEzNavezu aBaktezu vivarjayet /
   daivopalabdhaṃ bhuñjāno nātiyatnaṃ caret sukhe // SatvT_8.25	dEva-upalabDam BuQjAnaH na-atiyatnam caret suKe // SatvT_8.25
   gṛheṣv atithivat tiṣṭhed yady etān naiva bādhate /	gRhezu atiTi-vat tizWet yadi etAn na-eva bADate /
   eṣāṃ bādhe pṛthak tiṣṭhed vaiṣṇaveṣu ca saṅgavān // SatvT_8.26	ezAm bADe pRTak tizWet vEzNavezu ca saFgavAn // SatvT_8.26
   brahmacārī gṛhī vāpi vānaprastho yatiś ca vā /	brahmacArI gRhI vA-api vAnaprasTaH yatiH ca vA /
   vinā vaiṣṇavasaṅgena naiva siddhiṃ labhej janaḥ // SatvT_8.27	vinA vEzNava-saFgena na-eva sidDim laBet janaH // SatvT_8.27
   bhaktasaṅgaṃ vinā bhaktir naiva jāyeta kasyacit /	Bakta-saFgam vinA BaktiH na-eva jAyeta kasyacid /
   bhaktiṃ vinā na vairāgyaṃ na jñānaṃ mokṣam aśnute // SatvT_8.28	Baktim vinA na vErAgyam na jQAnam mokzam aSnute // SatvT_8.28
   ata āśramaliṅgāṃś ca hitvā bhakteḥ samaṃ vaset /	atas ASrama-liFgAn ca hitvA BakteH samam vaset /
   yatsaṅgāc chrutikīrtibhyāṃ harau bhaktiḥ prajāyate // SatvT_8.29	yad-saFgAt Sruti-kIrtiByAm harO BaktiH prajAyate // SatvT_8.29
   viṣṇubhaktaprasaṅgasya nimeṣeṇāpi nārada /	vizNu-Bakta-prasaFgasya nimezeNa-api nArada /
   svargāpavargau na sāmyaṃ kim utānyasukhādibhiḥ // SatvT_8.30	svarga-apavargO na sAmyam kim uta-anya-suKa-AdiBiH // SatvT_8.30
   ato yatnena puruṣaḥ kuryāt saṅgaṃ harer janaiḥ /	atas yatnena puruzaH kuryAt saFgam hareH janEH /
   tiryañco 'pi yato muktiṃ labhante kimu mānuṣāḥ // SatvT_8.31	tiryaQcaH api yatas muktim laBante kimu mAnuzAH // SatvT_8.31
   tatsaṅgenaiva puruṣo viṣṇuṃ prāpnoti niścitam /	tad-saFgena-eva puruzaH vizNum prApnoti niScitam /
   vinā vairāgyajñānābhyāṃ yato viṣṇus tadantike // SatvT_8.32	vinA vErAgya-jQAnAByAm yatas vizNuH tad-antike // SatvT_8.32
   yeṣāṃ saṅgāddhareḥ saṅgaṃ sakṛd ākarṇya mānavaḥ /	yezAm saFgAt-hareH saFgam sakRt AkarNya mAnavaH /
   parityaktuṃ na śaknoti yadi bhadrasarid bhavet // SatvT_8.33	parityaktum na Saknoti yadi Badrasarit Bavet // SatvT_8.33
   arasajño 'pi tatsaṅgaṃ yadi yāti kathaṃcana /	arasa-jQaH api tad-saFgam yadi yAti kaTaMcana /
   bhūtvā rasajño 'pi mahān karmabandhād vimucyate // SatvT_8.34	BUtvA rasajQaH api mahAn karma-banDAt vimucyate // SatvT_8.34
   tatas taddharmanirato bhagavaty amalātmani /	tatas tad-Darma-nirataH Bagavati amala-Atmani /
   prāpnoti paramāṃ bhaktiṃ sarvakāmapradāyinīm // SatvT_8.35	prApnoti paramAm Baktim sarva-kAma-pradAyinIm // SatvT_8.35
   bhaktiṃ viditvā puruṣo muktiṃ necchati kaścana /	Baktim viditvA puruzaH muktim na-icCati kaScana /
   sālokyādipadaṃ cāpi kimu cānyasukhaṃ dvija // SatvT_8.36	sAlokya-Adi-padam ca-api kimu ca-anya-suKam dvija // SatvT_8.36
   phalaṃ vinā viṣṇubhaktā muktiṃ yānti dvijottama /	Palam vinA vizNu-BaktAH muktim yAnti dvijottamaH /
   tata eva vidur nānya ānandamayam uttamam // SatvT_8.37	tatas eva viduH na-anyaH Ananda-mayam uttamam // SatvT_8.37
   yato harir likhitavat hṛdaye vartate sadā /	yatas hariH liKita-vat hRdaye vartate sadA /
   teṣāṃ premalatābaddhaḥ paramānandavigrahaḥ // SatvT_8.38	tezAm prema-latA-badDaH parama-Ananda-vigrahaH // SatvT_8.38
   Sātvatatantra, navamaḥ paṭalaḥ	SAtvata-tantra, navamaH pawalaH
   śrīnārada uvāca /	SrI-nAradaH uvAca /
   iyān guṇo 'sti deveśa bhagavatpādasevane /	iyAn guNaH asti deveSa Bagavat-pAda-sevane /
   kuto bhajanti manujo anyadevaṃ kim icchayā // SatvT_9.1	kutas Bajanti manujaH anya-devam kim icCayA // SatvT_9.1
   śrīśiva uvāca /	SrI-SivaH uvAca /
   yadādisatye viprendra narā viṣṇuparāyaṇāḥ /	yat-Adi-satye vipra-indra narAH vizNu-parAyaNAH /
   na yajanti vinā viṣṇum anyadevaṃ kathaṃcana // SatvT_9.2	na yajanti vinA vizNum anya-devam kaTaMcana // SatvT_9.2
   tadātmapūjāprāptyarthaṃ sarvadevamayaṃ ca vai /	tad-Atma-pUjA-prApti-arTam sarva-deva-mayam ca vE /
   pūjayāmo hṛṣīkeśaṃ kāyavāṅmanasā dvija // SatvT_9.3	pUjayAmaH hRzIkeSam kAya-vAc-manasA dvija // SatvT_9.3
   tadā tuṣṭo vibhuḥ prāha devadevo rameśvaraḥ /	tadA tuzwaH viBuH prAha devadevaH rameSvaraH /
   avatīrya yajiṣyāmi yuṣmāṃl lokāṃś ca yājayan // SatvT_9.4	avatIrya yajizyAmi yuzmAn lokAn ca yAjayan // SatvT_9.4
   tataḥ sarve janā yuṣmān yajiṣyanti samāhitāḥ /	tatas sarve janAH yuzmAn yajizyanti samAhitAH /
   anena pūjā yuṣmākaṃ bhaviṣyati sukhāvahā // SatvT_9.5	anena pUjA yuzmAkam Bavizyati suKa-AvahAH // SatvT_9.5
   ahaṃ coktaḥ pṛthak tena śrīnivāsena brāhmaṇa /	aham ca-uktaH pRTak tena SrI-nivAsena brAhmaNa /
   kalpitair āgamair nityaṃ māṃ gopāya maheśvara // SatvT_9.6	kalpitEH AgamEH nityam mAm gopAya maheSvaraH // SatvT_9.6
   madavajñāpāpaharaṃ nāmnāṃ sahasram uttamam /	mad-avajQA-pApa-haram nAmnAm sahasram uttamam /
   paṭhiṣyasi sadā bhadraṃ prārthitena mayā punaḥ // SatvT_9.7	paWizyasi sadA Badram prArTitena mayA punar // SatvT_9.7
   tato me hy āgamaiḥ kṛṣṇam ācchādya na tu devatāḥ /	tatas me hi AgamEH kRzNam AcCAdya na tu devatAH /
   yantrair mantraiś ca tantraiś ca darśitāḥ phaladā dvija // SatvT_9.8	yantrEH mantrEH ca tantrEH ca darSitAH Pala-dAH dvija // SatvT_9.8
   tair āgamair mandadhiyā hitvā kṛṣṇaṃ jagadgurum /	tEH AgamEH manda-DiyA hitvA kRzNam jagadgurum /
   bhajanti devatā anyā balidānena nityaśaḥ // SatvT_9.9	Bajanti devatAH anyAH bali-dAnena nityaSas // SatvT_9.9
   nānā devān samārādhya nānākāmasukhecchayā /	nAnA devAn samArADya nAnA-kAma-suKa-icCayA /
   bhogāvasāne te yānti narakaṃ svatamomayam // SatvT_9.10	Boga-avasAne te yAnti narakam sva-tamaH-mayam // SatvT_9.10
   dṛṣṭvā tathāvidhāṃ lokān pāpāśaṅkitamānasaḥ /	dRzwvA taTAviDAm lokAn pApa-ASaFkita-mAnasaH /
   gato 'haṃ vāsudevasya caraṇe śaraṇaṃ dvija // SatvT_9.11	gataH aham vAsudevasya caraNe SaraNam dvija // SatvT_9.11
   stutiṃ ca cakre praṇataḥ praśrayānatakaṃdharaḥ /	stutim ca cakre praNataH praSraya-Anata-kaMDaraH /
   samāhitamanā vipra prāñjaliḥ puruṣottamam // SatvT_9.12	samAhita-manAH vipra prAQjaliH puruzottamam // SatvT_9.12
   oṃ namo 'stu kṛṣṇāya vikuṇṭhavedhase tvatpādalīlāśrayajīvabandhave /	om namaH astu kRzNAya vikuNWa-veDase tvad-pAda-lIlA-ASraya-jIva-banDave /
   sadāptakāmāya mahārthahetave vijñānavidyānidhaye svayambhuve // SatvT_9.13	sat-Apta-kAmAya mahA-arTa-hetave vijQAna-vidyA-niDaye svayamBuve // SatvT_9.13
   eko 'si sṛṣṭeḥ purato laye tathā yugādikāle ca vidāṃ samakṣataḥ /	ekaH asi sRzweH puratas laye taTA yuga-Adi-kAle ca vidAm samakzataH /
   anyatra nānātanubhir virājate tasmā anantācaritāya te namaḥ // SatvT_9.14	anyatra nAnA-tanuBiH virAjate tasmE ananta-AcaritAya te namaH // SatvT_9.14
   pradhānakālāśayakarmasākṣiṇe tatsaṃgrahāpāravihārakāriṇe /	praDAna-kAla-ASaya-karma-sAkziNe tad-saMgraha-apAra-vihAra-kAriNe /
   kṛṣṇāya nānātanum īyuṣe same kṛtānurāgāya namo namas te // SatvT_9.15	kRzNAya nAnA-tanum Iyuze same kRta-anurAgAya namaH namaH te // SatvT_9.15
   śṛṇvanti gāyanti gṛṇanti ye yaśo jagatpavitraṃ jagadīśitus tava /	SRNvanti gAyanti gRNanti ye yaSaH jagat-pavitram jagadISituH tava /
   te 'nyaṃ na paśyanti sukhāya hy ātmano vinā bhavatpādaniṣevaṇād bahiḥ //	te anyam na paSyanti suKAya hi AtmanaH vinA Bavat-pAda-nizevaNAt bahis //
   SatvT_9.16	SatvT_9.16
   niṣkiṃcanā ye tava pādasaṃśrayāḥ puṣṇanti te tat sukham ātmasambhavam /	nizkiMcanAH ye tava pAda-saMSrayAH puzNanti te tat suKam Atma-samBavam /
   jānanti tattvena vidus tataḥ parāḥ kāmaiḥ samākṛṣṭadhiyo vicakṣaṇāḥ //	jAnanti tattvena viduH tatas parAH kAmEH samAkRzwa-DiyaH vicakzaNAH //
   SatvT_9.17	SatvT_9.17
   ahaṃ tu sākṣāt tava pādapaṅkajaṃ nityaṃ bhajāno 'pi pṛthaṅmatir vibho /	aham tu sAkzAt tava pAda-paFkajam nityam BajAnaH api pRTak-matiH viBo /
   purātmamānaṃ pracikīrṣur ātmanaḥ sakāśato 'py adya malaṃ nikṛntayan //	purA-Atma-mAnam pracikIrzuH AtmanaH sakASataH api adya malam nikRntayan //
   SatvT_9.18	SatvT_9.18
   athāpi te deva padāmbujadvayaṃ nikāmalābhāya sadāstu me hareḥ /	aTa-api te deva pada-ambuja-dvayam nikAma-lABAya sadA-astu me hareH /
   yac cintanāt sarvamano'nukūlāt siddhir bhavaty eva kimu prakīrtanāt //	yat cintanAt sarva-manaH-anukUlAt sidDiH Bavati eva kimu prakIrtanAt //
   SatvT_9.19	SatvT_9.19
   iti me saṃstutiṃ jñātvā bhagavān praṇatārtihā /	iti me saMstutim jQAtvA BagavAn praNata-Arti-hA /
   mamākṣigocaraṃ rūpam akarot sa dayāparaḥ // SatvT_9.20	mama-akzi-gocaram rUpam akarot sa dayA-paraH // SatvT_9.20
   sāndrānandamahendranīlamaṇivad dehodgataprollasatsvarṇair mauliṣu	sAndra-Ananda-mahA-indranIla-maNi-vat deha-udgata-prollasat-svarNEH mOlizu
   hārakuṇḍalayugaiḥ keyūrakāñcyaṅgadaiḥ /	hAra-kuNxala-yugEH keyUra-kAQcI-aFgadEH /
   mañjīrair vilasatpiśaṅgavalayaṃ lakṣmyāṅkitaṃ śāśvatam sarveśaṃ	maQjIrEH vilasat-piSaFga-valayam lakzmyA-aFkitam SASvatam sarva-ISam
   karuṇākaraṃ suravarair bhaktaiḥ samāsevitam // SatvT_9.21	karuNA-karam sura-varEH BaktEH samAsevitam // SatvT_9.21
   dṛṣṭvā tatpadapaṅkajaṃ hṛdi dadhe govindadāmodaraśrīkṛṣṇeti mukhair vadan	dRzwvA tad-pada-paFkajam hRdi daDe govinda-dAmodara-SrI-kRzNA-iti muKEH vadan
   trijagato bhartur mudāhaṃ tadā /	trijagataH BartuH mudA-aham tadA /
   netrair nirjharavāripūram iva me gātre ca harṣas tato vāṇyāṃ gadgadatāṃ	netrEH nirJara-vAri-pUram iva me gAtre ca harzaH tatas vANyAm gadgadatAm
   vilokya bhagavān mām āha bhaktapriyaḥ // SatvT_9.22	vilokya BagavAn mAm Aha Bakta-priyaH // SatvT_9.22
   jñatāṃ me suravarya vāñchitatarāṃ madbhaktasaṅgāvaliṃ tat te 'haṃ	jQa-tAm me sura-varya vAQCitatarAm mad-Bakta-saFga-Avalim tat te aham
   pravadāmi te karuṇayā bhaktāya sākaṃ varaiḥ /	pravadAmi te karuNayA BaktAya sAkam varEH /
   mallīlāṃ gadato bhaviṣyati bhavatsarve janā vaiṣṇavāḥ /	mad-lIlAm gadataH Bavizyati Bavat-sarve janAH vEzNavAH /
   bhāryā cāpi tayānukūlasukhadā bhaktāgraṇīr me bhavān // SatvT_9.23	BAryA ca-api tayA-anukUla-suKa-dA Bakta-agraNIH me BavAn // SatvT_9.23
   etāvad uktvā bhagavān gato lokam alaukikam /	etAvat uktvA BagavAn gataH lokam alOkikam /
   ahaṃ ca tān varāṃl labdhvā kṛtārtho 'smi dvijarṣabha // SatvT_9.24	aham ca tAn varAn labDvA kRtArTaH asmi dvijarzaBaH // SatvT_9.24
   atas tad dinam ārabhya pārvatī bhuvaneśvarī /	atas tat dinam AraBya pArvatI BuvaneSvarI /
   matsaṅgād vaiṣṇavī bhūtvā mām āpṛcchat sureśvarī // SatvT_9.25	mad-saFgAt vEzNavI BUtvA mAm ApRcCat sureSvarI // SatvT_9.25
   bhavān mahābhāgavataḥ kumārādyā maheśvarāḥ /	BavAn mahA-BAgavataH kumAra-AdyAH maheSvarAH /
   kuberādyā devatāś ca nandīśādyāś ca me gaṇāḥ // SatvT_9.26	kubera-AdyAH devatAH ca nandISa-AdyAH ca me gaNAH // SatvT_9.26
   pṛthak pṛthag apṛcchan mā kṛṣṇapādāmbujāśrayāḥ /	pRTak pRTak apRcCat mA kRzNa-pAda-ambuja-ASrayAH /
   kathāḥ paramakalyāṇīḥ sarvalokaikapāvanīḥ // SatvT_9.27	kaTAH parama-kalyANIH sarva-loka-eka-pAvanIH // SatvT_9.27
   atha māṃ pṛcchatī vākyaṃ madvākyaṃ ca dvijottama /	aTa mAm pRcCatI vAkyam mad-vAkyam ca dvijottamaH /
   saṃlikhaty apramatto 'sau gaṇeśo matsuto 'ntike // SatvT_9.28	saMliKati apramattaH asO gaNeSaH mad-sutaH antike // SatvT_9.28
   mama teṣāṃ ca saṃvādaṃ kalā lokamanoharāḥ /	mama tezAm ca saMvAdam kalAH loka-manoharAH /
   abhavaṃs tatra śāstrāṇi sarvalokahitāni vai // SatvT_9.29	aBavan tatra SAstrANi sarva-loka-hitAni vE // SatvT_9.29
   tāni tantrāṇi śrotāraḥ samānīya mahītale /	tAni tantrANi SrotAraH samAnIya mahI-tale /
   sthāne sthāne muniśreṣṭha kathayiṣyanti bhūriśaḥ // SatvT_9.30	sTAne sTAne muni-SrezWa kaTayizyanti BUriSas // SatvT_9.30
   tvam apy enaṃ sātvatākhyaṃ tantraṃ bhagavataḥ priyam /	tvam api enam sAtvata-AKyam tantram BagavataH priyam /
   naimiṣe śaunakādīnāṃ samakṣaṃ kathayiṣyasi // SatvT_9.31	nEmize SOnaka-AdInAm samakzam kaTayizyasi // SatvT_9.31
   śrīnārada uvāca /	SrI-nAradaH uvAca /
   śrutaṃ bhagavato vaktrāt tantraṃ sātvatam uttamam /	Srutam BagavataH vaktrAt tantram sAtvatam uttamam /
   tasmin hiṃsāniṣedhaṃ ca śrutvā me saṃśayo 'bhavat // SatvT_9.32	tasmin hiMsA-nizeDam ca SrutvA me saMSayaH aBavat // SatvT_9.32
   vedena vihitā hiṃsā paśūnāṃ yajñakarmaṇi /	vedena vihitA hiMsA paSUnAm yajQa-karmaNi /
   yajñe vadho 'vadhaś caiva vedavidbhir nirūpitaḥ // SatvT_9.33	yajQe vaDaH avaDaH ca-eva veda-vidBiH nirUpitaH // SatvT_9.33
   tanniṣedhe kathaṃ śrautaṃ smārtaṃ karma maheśvara /	tad-nizeDe kaTam SrOtam smArtam karma maheSvaraH /
   varteta sarvalokasya ihāmutraphalapradam // SatvT_9.34	varteta sarva-lokasya iha-amutra-Pala-pradam // SatvT_9.34
   śrīśiva uvāca /	SrI-SivaH uvAca /
   pravṛttaṃ ca nivṛttaṃ ca dvividhaṃ karma varṇitam /	pravRttam ca nivRttam ca dviviDam karma varNitam /
   śrutyā smṛtyā ca viprendra kāmyaṃ kāmijanāya vai // SatvT_9.35	SrutyA smRtyA ca vipra-indra kAmyam kAmi-janAya vE // SatvT_9.35
   pravṛttam avirodhena kurvan svar yāti mānavaḥ /	pravRttam aviroDena kurvan svar yAti mAnavaH /
   puṇyāvaśeṣe bhūpṛṣṭhe karmasaṃjñiṣu jāyate // SatvT_9.36	puNya-avaSeze BU-pRzWe karma-saMjQizu jAyate // SatvT_9.36
   nivṛttam ācaran yogī bhogecchātyaktamānasaḥ /	nivRttam Acaran yogI Boga-icCA-tyakta-mAnasaH /
   prayāti paramāṃ siddhiṃ yato nāvartate gataḥ // SatvT_9.37	prayAti paramAm sidDim yatas na-Avartate gataH // SatvT_9.37
   ataḥ pravṛttiniṣṭhasya nānākāmānurāgiṇaḥ /	atas pravRtti-nizWasya nAnA-kAma-anurAgiNaH /
   ṣaḍvidhair niyamair viprābhyanujñaiva pradarśitā // SatvT_9.38	zaxviDEH niyamEH vipra-aByanujQA-eva pradarSitAH // SatvT_9.38
   vidhir naivāsti hiṃsāyām abhyanujñā yataḥ kṛtā /	viDiH na-eva-asti hiMsAyAm aByanujQA yatas kRtA /
   ato nivṛttihiṃsāyāṃ yajñe 'pi kathitā budhaiḥ // SatvT_9.39	atas nivRtti-hiMsAyAm yajQe api kaTitAH buDEH // SatvT_9.39
   ahiṃsā paramo dharmaḥ sarvavarṇāśramāditaḥ /	ahiMsA paramaH DarmaH sarva-varNa-ASrama-AditaH /
   sa ca ācārato nṇām abhīṣṭaphalado bhavet // SatvT_9.40	sa ca AcArataH nNAm aBIzwa-Pala-daH Bavet // SatvT_9.40
   viśeṣato viṣṇubhaktā hiṃsākarma tyajanti hi /	viSezataH vizNu-BaktAH hiMsA-karma tyajanti hi /
   ahiṃsayā hi bhūtānāṃ bhagavān āśu tuṣyati // SatvT_9.41	ahiMsayA hi BUtAnAm BagavAn ASu tuzyati // SatvT_9.41
   ataḥ sarveṣu bhūteṣu bhagavān akhileśvaraḥ /	atas sarvezu BUtezu BagavAn aKila-ISvaraH /
   praviṣṭa īyate nānārūpaiḥ sthāvarajaṅgamaiḥ // SatvT_9.42	pravizwaH Iyate nAnA-rUpEH sTAvara-jaFgamEH // SatvT_9.42
   mayāpi hy āgame hiṃsā vihitā yā vidhānataḥ /	mayA-api hi Agame hiMsA vihitA yA viDAnataH /
   sāpi kāmukalokānāṃ kāmitāphalasiddhaye /	sA-api kAmuka-lokAnAm kAmitA-Pala-sidDaye /
   viṣṇubhaktā na vāñchanti matto 'pi kiyad eva hi /	vizNu-BaktAH na vAQCanti mattaH api kiyat eva hi /
   atas teṣāṃ vidhāne 'pi hiṃsā nindyā prakīrtitā // SatvT_9.43	atas tezAm viDAne api hiMsA nindyA prakIrtitAH // SatvT_9.43
   atas tvaṃ kāmyakarmāṇi parityajya viśeṣataḥ /	atas tvam kAmya-karmANi parityajya viSezataH /
   śrūyāḥ kṛṣṇakathāḥ puṇyāḥ sarvalokeṣṭasiddhidāḥ // SatvT_9.44	SrUyAH kRzNa-kaTAH puNyAH sarva-loka-izwa-sidDi-dAH // SatvT_9.44
   pravṛttaśāstraṃ śṛṇuyād yac chrutvā tatparo bhavet /	pravRtta-SAstram SRNuyAt yat SrutvA tad-paraH Bavet /
   nivṛtte 'pi harer bhaktiyutaṃ mukhyaṃ prakīrtitam // SatvT_9.45	nivRtte api hareH Bakti-yutam muKyam prakIrtitam // SatvT_9.45
   viśeṣataḥ kṛṣṇalīlākathā lokasumaṅgalāḥ /	viSezataH kRzNa-lIlA-kaTAH loka-su-maFgalAH /
   kīrtayasva dvijaśreṣṭha śrūyāś caiva nirantaram // SatvT_9.46	kIrtayasva dvijaSrezWa SrUyAH ca-eva nirantaram // SatvT_9.46
   hitvānyadevaśaraṇaṃ bhajanaṃ ca viśeṣataḥ /	hitvA-anya-deva-SaraNam Bajanam ca viSezataH /
   ye bhajanti hareḥ pādaṃ kṛṣṇaikaśaraṇaṃ narāḥ // SatvT_9.47	ye Bajanti hareH pAdam kRzNa-eka-SaraNam narAH // SatvT_9.47
   ihāmutra te nityaṃ kṛtārthā bhagavatpriyāḥ /	iha-amutra te nityam kRtArTAH Bagavat-priyAH /
   paramānandasaṃdohaṃ prāpnuvanti nirantaram // SatvT_9.48	parama-Ananda-saMdoham prApnuvanti nirantaram // SatvT_9.48
   ye tu naivaṃvido 'śāntā mūḍhāḥ paṇḍitamāninaḥ /	ye tu na-evaMvidaH aSAntAH mUXAH paNxita-mAninaH /
   yajanty avirataṃ devān paśūn hatvā sukhecchayā // SatvT_9.49	yajanti aviratam devAn paSUn hatvA suKa-icCayA // SatvT_9.49
   kāmabhogāvasāne taṃ te cchetsyanti viniścitam /	kAma-Boga-avasAne tam te cCetsyanti viniScitam /
   ity etat kathitaṃ vipra tantraṃ sātvatam uttamam // SatvT_9.50	iti etat kaTitam vipra tantram sAtvatam uttamam // SatvT_9.50
   viṣṇubhaktajanājīvyaṃ sarvasiddhipradāyakam /	vizNu-Bakta-jana-AjIvyam sarva-sidDi-pradAyakam /
   śravaṇāt kīrtanād asya kṛṣṇe bhaktir hi jāyate // SatvT_9.51	SravaNAt kIrtanAt asya kRzNe BaktiH hi jAyate // SatvT_9.51
   bhaktiṃ labdhavataḥ sādho kim anyad avaśiṣyate /	Baktim labDavataH sADo kim anyat avaSizyate /
   yato bhagavatā proktaṃ tasya bhaktivivardhanam // SatvT_9.52	yatas BagavatA proktam tasya Bakti-vivarDanam // SatvT_9.52
   tantre 'smin kathitaṃ vipra viśvasambhavam uttamam /	tantre asmin kaTitam vipra viSva-samBavam uttamam /
   avatārāś ca śrīviṣṇoḥ sampūrṇāṃśakalā bhidā // SatvT_9.53	avatArAH ca SrI-vizNoH sampUrNa-aMSa-kalA BidA // SatvT_9.53
   bhaktibhedāś ca bhedānāṃ lakṣaṇaṃ ca pṛthagvidham /	Bakti-BedAH ca BedAnAm lakzaNam ca pRTagviDam /
   yugānurūpaṃ śrīviṣṇoḥ sevayā mokṣasādhanam // SatvT_9.54	yuga-anurUpam SrI-vizNoH sevayA mokza-sADanam // SatvT_9.54
   viṣṇor nāmasahasraṃ ca nāmamāhātmyam uttamam /	vizNoH nAma-sahasram ca nAma-mAhAtmyam uttamam /
   viṣṇor nāmnā vaiṣṇavānām aparādhasya ca niṣkṛtiḥ // SatvT_9.55	vizNoH nAmnA vEzNavAnAm aparADasya ca nizkRtiH // SatvT_9.55
   sarvasārarahasyaṃ ca tantrotpatteś ca kāraṇam /	sarva-sAra-rahasyam ca tantra-utpatteH ca kAraNam /
   hiṃsāvidhiniṣedhaṃ ca tava praśnānusārataḥ // SatvT_9.56	hiMsA-viDi-nizeDam ca tava praSna-anusArataH // SatvT_9.56
   yan nāmaikaṃ karṇamūlaṃ praviṣṭaṃ vācānviṣṭaṃ cetanāsu smṛtaṃ vā /	yat nAma-ekam karNa-mUlam pravizwam vAcA-anvizwam cetanAsu smRtam vA /
