   1st kāṇḍa	1st kANxa
   stryarthas tasyecchayā yogaḥ prakṛtyā pratyayena vā // BVaky_3,14.169 //	strI arTaH tasya icCayA yogaH prakRtyA pratyayena vA // BVakI _3,14.169 //
   strīśabdo guṇaśabdatvāt tulyadharmā sitādibhiḥ /	strI SabdaH guNa Sabda tvAt tulya DarmA sita AdiBiH /
   guṇamātre prayujyeta saṃstyānavati vāśraye // BVaky_3,14.170 //	guNa mAtre prayujyeta saMstyAnavati vA ASraye // BVakI _3,14.170 //
   stryarthaḥ saṃstyānavad dravyaṃ prakṛtyarthaś ca yady asau /	strI arTaH saMstyAna vat dravyam prakRti arTaH ca yadi asO /
   dravyopalakṣaṇārthatvaṃ saṃstyānasya tathā sati // BVaky_3,14.171 //	dravya upalakzaNa arTa tvam saMstyAnasya taTA sati // BVakI _3,14.171 //
   saṃstyānena kva cid dravyaṃ dṛṣṭaṃ yady upalakṣitam /	saMstyAnena kva cit dravyam dRzwam yadi upalakzitam /
   anaṅgīkṛtasaṃstyānāt tadvṛtteḥ pratyayo bhavet // BVaky_3,14.172 //	anaFgIkRta saMstyAnAt tad vRtteH pratyayaH Bavet // BVakI _3,14.172 //
   bhūtādayaḥ ṣaḍākhyāś ca saṃstyānenopalakṣite /	BUta AdayaH zaxAKyAH ca saMstyAnena upalakzite /
   brāhmaṇyādau yadā vṛttās tebhyaḥ syuḥ pratyayās tadā // BVaky_3,14.173 //	brAhmaNI AdO yadA vRttAH teByaH syuH pratyayAH tadA // BVakI _3,14.173 //
   tadvanto hi pradhānatvāt pratyayāṇām prayojakāḥ /	tadvantaH hi praDAna tvAt pratyayANAm prayojakAH /
   sāmānādhikaraiṇye 'pi tasmāṭ ṭābādisaṃbhavaḥ // BVaky_3,14.174 //	sAmAna aDikarENye api tasmAt wAba Adi saMBavaH // BVakI _3,14.174 //
   guṇamātrābhidhāyitvaṃ strīśabde varṇyate yadā /	guNa mAtra aBiDAyi tvam strI Sabde varNyate yadA /
   prakṛtyarthaś ca saṃstyānaṃ svārthikāḥ pratyayās tadā // BVaky_3,14.175 //	prakRti arTaH ca saMstyAnam svArTikAH pratyayAH tadA // BVakI _3,14.175 //
   saṃstyāne kevale vṛttiḥ prakṛtīnām na vidyate /	saMstyAne kevale vRttiH prakRtInAm na vidyate /
   tadāviṣṭe tato dravye gṛhyante samavasthitāḥ // BVaky_3,14.176 //	tad Avizwe tatas dravye gRhyante samavasTitAH // BVakI _3,14.176 //
   upakāri ca saṃstyānaṃ yeṣu śabdeṣv apekṣitam /	upakAri ca saMstyAnam yezu Sabdezu apekzitam /
   tebhyaṣ ṭābādayas tac ca bhūtādiṣv avivakṣitam // BVaky_3,14.177 //	teByaH wAba AdayaH tat ca BUtAdizu avivakzitam // BVakI _3,14.177 //
   saṃstyānaṃ pratyayasyārthaḥ śuddham āśrīyate yadā /	saMstyAnam pratyayasya arTaH SudDam ASrIyate yadA /
   tadā dvivacanāneka  pratyayatvaṃ na sidhyati // BVaky_3,14.178 //	tadA dvivacanAneka pratyaya tvam na siDyati // BVakI _3,14.178 //
   jātiś cet strītvam evāsau bhedo 'nyatrāvivakṣitaḥ /	jAtiH ced strI tvam eva asO BedaH anyatra avivakzitaH /
   yasmād bhinnair api dravyais tad ekaṃ sad viśiṣyate // BVaky_3,14.179 //	yasmAt BinnEH api dravyEH tat ekam sat viSizyate // BVakI _3,14.179 //
   mātrāṇām hi tirobhāve parimāṇam na vidyate /	mAtrANAm hi tiroBAve parimANam na vidyate /
   kumārya iti tena syāt kumāryāṃ bhedasaṃbhavāt // BVaky_3,14.180 //	kumAryaH iti tena syAt kumAryAm Beda saMBavAt // BVakI _3,14.180 //
   jātisaṃkhyāsamāhārair yathaiva sahacāriṇi /	jAti saMKyA samAhArEH yaTA eva sahacAriNi /
   dravye kriyāḥ pravartanta ekātmatve vyapekṣite // BVaky_3,14.181 //	dravye kriyAH pravartante eka Atma tve vyapekzite // BVakI _3,14.181 //
   mūrtibhyo mūrtidharmāṇām tathābhedasya darśanāt /	mUrtiByaH mUrti DarmANAm taTA aBedasya darSanAt /
   sāmānādhikaraṇyaṃ ca kriyāyogaś ca kalpate // BVaky_3,14.182 //	sAmAnADikaraNyam ca kriyAyogaH ca kalpate // BVakI _3,14.182 //
   sāmānādhikaraṇye tu matublopād apekṣite /	sAmAnADikaraNye tu matublopAt apekzite /
   luk taddhitalukīti syāl luk tatrāpy upalakṣaṇam // BVaky_3,14.183 //	luc tadhitalukI iti syAt luc tatra api upalakzaNam // BVakI _3,14.183 //
   kesāṃ cit tyaktabhedeṣu dravyeṣv eva vidhīyate /	kesAm cit tyakta Bedezu dravyezu eva viDIyate /
   saṃstyānavatsu ṭābādir abhedena samanvayāt // BVaky_3,14.184 //	saMstyAnavatsu wAbAdiH aBedena samanvayAt // BVakI _3,14.184 //
   sāmānyabhūto dravyātmā paricchinnaparigrahaḥ /	sAmAnya BUtaH dravya AtmA paricCinna parigrahaH /
   kriyābhir yujyate bhedair bhāgaśaś cāvatiṣṭhate // BVaky_3,14.185 //	kriyABiH yujyate BedEH BAgaSas ca avatizWate // BVakI _3,14.185 //
   śuklādiṣv āśrayadravyaṃ prādhānyenābhidhīyate /	Sukla Adizu ASraya dravyam prADAnyena aBiDIyate /
   strītvaṃ tu pratyayārthatvād abhidhāviṣayo yataḥ // BVaky_3,14.186 //	strI tvam tu pratyaya arTa tvAt aBiDA vizayaH yatas // BVakI _3,14.186 //
   so 'yam ity abhisaṃbandhād āśrayaṃ pratipadyate /	saH ayam iti aBisaMbanDAt ASrayam pratipadyate /
   strītvaṃ svabhāvasiddho vā guṇabhāvaviparyayaḥ // BVaky_3,14.187 //	strI tvam svaBAva sidDaH vA guNa BAva viparyayaH // BVakI _3,14.187 //
   sākāṅkṣatvād guṇatvena sāmānyaṃ vopadiśyate /	sa AkAFkza tvAt guNa tvena sAmAnyam vA upadiSyate /
   vyaktīnām ātmadharmo 'sāv ekaprakhyānibandhanaḥ // BVaky_3,14.188 //	vyaktInAm Atma DarmaH asO eka praKyA nibanDanaH // BVakI _3,14.188 //
   evambhūtā ca sāvasthā bhāgabhedaparigrahe /	evamBUtA ca sA avasTA BAga Beda parigrahe /
   kṛte buddhyaiva bhedānām āśrayatve ca kalpite // BVaky_3,14.189 //	kRte budDyA eva BedAnAm ASraya tve ca kalpite // BVakI _3,14.189 //
   niskṛṣṭeṣv api bhedeṣu vyaktirūpāśraye tataḥ /	niskRzwezu api Bedezu vyakti rUpa ASraye tatas /
   liṅgapratyavamarśena liṅgasaṃkhye prapadyate // BVaky_3,14.190 //	liFga pratyavamarSena liFga saMKye prapadyate // BVakI _3,14.190 //
   antarena caśabdasya prayogaṃ dvandvabhāvinām /	antarena caSabdasya prayogam dvandva BAvinAm /
   aviśiṣṭārthavṛttitvaṃ rūpābhedāt pratīyate // BVaky_3,14.191 //	aviSizwa arTa vRtti tvam rUpa aBedAt pratIyate // BVakI _3,14.191 //
   vikalpavati vā vṛttir nivartye 'tha samuccite /	vikalpavati vA vRttiH nivartye aTa samuccite /
   teṣām ajñātaśaktīnāṃ dyotakena niyamyate // BVaky_3,14.192 //	tezAm ajQAta SaktInAm dyotakena niyamyate // BVakI _3,14.192 //
   vṛttau viśiṣṭarūpatvāc caśabdo vinivartate /	vRttO viSizwa rUpa tvAt caSabdaH vinivartate /
   arthabhede 'pi sārūpyāt tac cārthenāpadiśyate // BVaky_3,14.193 //	arTa Bede api sArUpyAt tat ca arTena apadiSyate // BVakI _3,14.193 //
   casya cāsattvabhūto 'rthaḥ sa evāśriyate yadi /	casya ca asattva BUtaH arTaH saH eva ASriyate yadi /
   taddharmatvaṃ tato dvandve cādiṣv arthakṛtaṃ hi tat // BVaky_3,14.194 //	tad Darma tvam tatas dvandve ca Adizu arTa kRtam hi tat // BVakI _3,14.194 //
   cārthaḥ śabde kva cid bhedāt kathaṃ cit samavasthitaḥ /	ca arTaH Sabde kva cit BedAt kaTam cit samavasTitaH /
   dyotakāś cādayas tasya vaktā dvandvas tu tadvatām // BVaky_3,14.195 //	dyotakAH ca AdayaH tasya vaktA dvandvaH tu tadvatAm // BVakI _3,14.195 //
   vikalpādyabhidheyasya cārthasyānyapadārthatā /	vikalpa Adi aBiDeyasya ca arTasya anya padArTa tA /
   dyotakatvān na kalpeta tasmāt sad upalakṣyate // BVaky_3,14.196 //	dyotaka tvAt na kalpeta tasmAt sat upalakzyate // BVakI _3,14.196 //
   tatra svābhāvikaṃ liṅgaṃ śabdadharme vyapekṣite /	tatra svABAvikam liFgam Sabda Darme vyapekzite /
   śabdaḥ kaś cit tam evārthaṃ kathaṃ cit pratipadyate // BVaky_3,14.197 //	SabdaH kaH cit tam eva arTam kaTam cit pratipadyate // BVakI _3,14.197 //
   śabdād arthāḥ pratāyante sa bhedānāṃ vidhāyakaḥ /	SabdAt arTAH pratAyante sa BedAnAm viDAyakaH /
   anumānaṃ vivakṣāyāḥ śabdād anyan na vidyate // BVaky_3,14.198 //	anumAnam vivakzAyAH SabdAt anyat na vidyate // BVakI _3,14.198 //
   samuccitaḥ syād dvandvārtho guṇabhūtasamuccayaḥ /	samuccitaH syAt dvandva arTaH guNa BUta samuccayaH /
   samuccayo vāpi bhaved guṇabhūtasamuccitaḥ // BVaky_3,14.199 //	samuccayaH vA api Bavet guNa BUta samuccitaH // BVakI _3,14.199 //
   samuccitasya prādhānye liṅgasaṃkhye svabhāvataḥ /	samuccitasya prADAnye liFga saMKye svaBAvataH /
   samuccayasya prādhānye śāstraṃ syāt pratipādakam // BVaky_3,14.200 //	samuccayasya prADAnye SAstram syAt pratipAdakam // BVakI _3,14.200 //
   samuccayavato 'rthasya prādhānye 'py apare viduḥ /	samuccayavataH arTasya prADAnye api apare viduH /
   nimittānuvidhāyitvād asiddhim liṅgasaṃkhyayoḥ // BVaky_3,14.201 //	nimitta anuviDAyi tvAt asidDim liFga saMKyayoH // BVakI _3,14.201 //
   samuccayo nimittaṃ cet syān nimittānuvartanam /	samuccayaH nimittam ced syAt nimitta anuvartanam /
   anvayavyatirekābhyāṃ cārtho dvandvanibandhanaḥ // BVaky_3,14.202 //	anvaya vyatirekAByAm ca arTaH dvandva nibanDanaH // BVakI _3,14.202 //
   samuccitanimittatve cārthasyāpagame 'pi vā /	samuccita nimitta tve ca arTasya apagame api vA /
   svabhāvasiddhe dvandvasya liṅgasaṃkhye vyavasthite // BVaky_3,14.203 //	svaBAva sidDe dvandvasya liFga saMKye vyavasTite // BVakI _3,14.203 //
   padāntarasthasyārthasya dyotakatvān na yujyate /	pada antara sTasya arTasya dyotaka tvAt na yujyate /
   nipāto liṅgasaṃkhyābhyāṃ dvandvas tv arthasya vācakaḥ // BVaky_3,14.204 //	nipAtaH liFga saMKyAByAm dvandvaH tu arTasya vAcakaH // BVakI _3,14.204 //
   nimittānuvidhāne ca dravyadharmānapekṣaṇāt /	nimitta anuviDAne ca dravya Darma anapekzaNAt /
   guṇapradhānabhāvena kriyāyogo na kalpate // BVaky_3,14.205 //	guNa praDAna BAvena kriyA yogaH na kalpate // BVakI _3,14.205 //
   yasya nāsti kriyāyogaḥ svatantro 'sau na vidyate /	yasya na asti kriyA yogaH svatantraH asO na vidyate /
   artho dvandvasya tatra syād upādānam anarthakam // BVaky_3,14.206 //	arTaH dvandvasya tatra syAt upAdAnam anarTakam // BVakI _3,14.206 //
   samuccayavato 'rthasya vācako nānuvartate /	samuccayavataH arTasya vAcakaH na anuvartate /
   nimittam api cāsyārthaḥ svadharmair yujyate tataḥ // BVaky_3,14.207 //	nimittam api ca asya arTaH svaDarmEH yujyate tatas // BVakI _3,14.207 //
   bāhyo nāsty āśrayo dvandve viśeṣau tatra hi śrutau /	bAhyaH na asti ASrayaH dvandve viSezO tatra hi SrutO /
   samuccayas tadādhāras taddharmair vyapadiśyate // BVaky_3,14.208 //	samuccayaH tad ADAraH tad DarmEH vyapadiSyate // BVakI _3,14.208 //
   yo vāvayavabhedābhyāṃ bhedavadbhyām ivānvitaḥ /	yaH vA avayava BedAByAm BedavadByAm iva anvitaH /
   ekaḥ samūho dharmān sa bhāgayoḥ pratipadyate // BVaky_3,14.209 //	ekaH samUhaH DarmAn sa BAgayoH pratipadyate // BVakI _3,14.209 //
   ekaś ca dvyātmako 'rtho 'sau bhedābhedasamanvitaḥ /	ekaH ca dvi AtmakaH arTaH asO Beda aBeda samanvitaH /
   yau bhedāv āśritas tatsthe liṅgasaṃkhye prapadyate // BVaky_3,14.210 //	yO BedO ASritaH tad sTe liFga saMKye prapadyate // BVakI _3,14.210 //
   yathā svaśabdābhihite caitrārthe na prayujyate /	yaTA sva Sabda aBihite cEtra arTe na prayujyate /
   caitraśabdo bahuvrihāv aprayogas tathā bhavet // BVaky_3,14.211 //	cEtra SabdaH bahuvrihO aprayogaH taTA Bavet // BVakI _3,14.211 //
   yathā gaur iti śuklāder abhidhānaṃ na vidyate /	yaTA gOH iti Sukla AdeH aBiDAnam na vidyate /
   evaṃ yasyābhisaṃbandho gobhis tāvat pratīyate // BVaky_3,14.212 //	evam yasya aBisaMbanDaH goBiH tAvat pratIyate // BVakI _3,14.212 //
   saṃbandhī niyato rūḍhaś citrāṇāṃ na ca vidyate /	saMbanDI niyataH rUXaH citrANAm na ca vidyate /
   gavāṃ yathā vajrapāṇis tryakṣe vā 'pi vyavasthitaḥ // BVaky_3,14.213 //	gavAm yaTA vajrapANiH tryakze vA api vyavasTitaH // BVakI _3,14.213 //
   śabdāntaratvād vākyeṣu viśeṣā yady api śrutāḥ /	Sabda antara tvAt vAkyezu viSezAH yadi api SrutAH /
   vṛttiśabdo 'nya evāyaṃ sāmānyasyābhidhāyakaḥ // BVaky_3,14.214 //	vRtti SabdaH anyaH eva ayam sAmAnyasya aBiDAyakaH // BVakI _3,14.214 //
   agor acitragoś caiva rūpabhedān nivartakaḥ /	agoH acitragoH ca eva rUpa BedAt nivartakaH /
   na citragur viśeṣāṇāṃ rūpābhedāt tu vācakaḥ // BVaky_3,14.215 //	na citraguH viSezANAm rUpa aBedAt tu vAcakaH // BVakI _3,14.215 //
   yathā citragur ity etat prayukte na prayujyate /	yaTA citraguH iti etat prayukte na prayujyate /
   evaṃ yadi syāt sāmānyaṃ tasya na syāt pratiśrutiḥ // BVaky_3,14.216 //	evam yadi syAt sAmAnyam tasya na syAt pratiSrutiH // BVakI _3,14.216 //
   sarvādayo viśeṣās tu pradeśānāṃ nivartakāḥ /	sarva AdayaH viSezAH tu pradeSAnAm nivartakAH /
   yathā pradeśāḥ sāmānya  pradeśāntarabādhakāḥ // BVaky_3,14.217 //	yaTA pradeSAH sAmAnya pradeSa antara bADakAH // BVakI _3,14.217 //
   vibhaktyarthābhidhānād vā ṣaṣṭhī nānuprayujyate /	viBakti arTa aBiDAnAt vA zazWI na anuprayujyate /
   dravyasyānabhidhānāt tu tacchabdo 'nuprayujyate // BVaky_3,14.218 //	dravyasya anaBiDAnAt tu tad SabdaH anuprayujyate // BVakI _3,14.218 //
   sāmānādhikaraṇyaṃ cen matublopāt prakalpate /	sAmAnADikaraNyam ced matublopAt prakalpate /
   matupo 'pi tadarthatvād anavasthā prasajyate // BVaky_3,14.219 //	matupaH api tad arTa tvAt anavasTA prasajyate // BVakI _3,14.219 //
   saṃbandhasya ca saṃbandī saṃbandho 'nyaḥ prasajyate /	saMbanDasya ca saMbandI saMbanDaH anyaH prasajyate /
   vibhaktyarthapradhāne ca kriyāyogo na kalpate // BVaky_3,14.220 //	viBakti arTa praDAne ca kriyA yogaH na kalpate // BVakI _3,14.220 //
   vibhaktyarthapradhānatvāt tatas tatreti na kriyā /	viBakti arTa praDAna tvAt tatas tatra iti na kriyA /
   dṛśyādiḥ karmakartrādi  nimittatvāya kalpate // BVaky_3,14.221 //	dRSya AdiH karma kartR Adi nimitta tvAya kalpate // BVakI _3,14.221 //
   antarbhavec ca saṃbandhaḥ prādhānyābhihitaḥ katham /	antar Bavet ca saMbanDaH prADAnya aBihitaH kaTam /
   sa prātipadikārthaś ca tathābhūtaḥ kathaṃ bhatvet // BVaky_3,14.222 //	sa prAtipadikA arTaH ca taTABUtaH kaTam Ba tvet // BVakI _3,14.222 //
   asaṃbhavāt tu saṃbandhe saṃbandhasahacāriṇi /	asaMBavAt tu saMbanDe saMbanDa sahacAriNi /
   jātisaṃkhyāsamāhāra  kāryāṇām iva saṃbhavaḥ // BVaky_3,14.223 //	jAti saMKyA samAhAra kAryANAm iva saMBavaH // BVakI _3,14.223 //
   so 'yam ity abhisaṃbandhād viśiṣṭāśrayavācinām /	saH ayam iti aBisaMbanDAt viSizwa ASraya vAcinAm /
   śuklādival liṅgasaṃkhye śāstrārambhād bhaviṣyataḥ // BVaky_3,14.224 //	Sukla Adi vat liFga saMKye SAstra AramBAt BavizyataH // BVakI _3,14.224 //
   bhedena tu vivakṣāyāṃ sāmānye vā vivakṣite /	Bedena tu vivakzAyAm sAmAnye vA vivakzite /
   saliṅgasya sasaṃkhyasya padārthasyāgatir bhavet // BVaky_3,14.225 //	sa liFgasya sa saMKyasya padArTasya AgatiH Bavet // BVakI _3,14.225 //
   sādhutvaṃ na vibhaktyartha  mātre vṛttasya dṛśyate /	sADu tvam na viBakti arTa mAtre vRttasya dRSyate /
   kṛtsnārthavṛtteḥ sādhutvam ity arthagrahaṇaṃ kṛtam // BVaky_3,14.226 //	kRtsnA arTa vRtteH sADu tvam iti arTa grahaNam kRtam // BVakI _3,14.226 //
   so 'yam ity abhisaṃbandhād dravyavṛttir ayaṃ yadā /	saH ayam iti aBisaMbanDAt dravya vRttiH ayam yadA /
   saliṅgasya sasaṃkhyasya tadā sādhutvam ucyate // BVaky_3,14.227 //	sa liFgasya sa saMKyasya tadA sADu tvam ucyate // BVakI _3,14.227 //
   antarbhūtavibhaktyarthe ṣaṣṭhī na śrūyate yathā /	antarBUta viBakti arTe zazWI na SrUyate yaTA /
   tathāśrutiḥ prasajyeta liṅgasaṃkhyābhidhāyinām // BVaky_3,14.228 //	taTA aSrutiH prasajyeta liFga saMKyA aBiDAyinAm // BVakI _3,14.228 //
   sādharmyam avyayena syād bahuvrīhes tathā sati /	sADarmyam avyayena syAt bahu vrIheH taTA sati /
   liṅgasaṃkhyānimittasya saṃskārasyāpavartanāt // BVaky_3,14.229 //	liFga saMKyA nimittasya saMskArasya apavartanAt // BVakI _3,14.229 //
   prayuktena ca saṃbandhāc caitrādiśravanaṃ bhavet /	prayuktena ca saMbanDAt cEtra Adi Sravanam Bavet /
   vinā vibhaktyā saṃbandho vibhaktyā vidyate vinā // BVaky_3,14.230 //	vinA viBaktyA saMbanDaH viBaktyA vidyate vinA // BVakI _3,14.230 //
   abhidhāne 'pi saṃkhyāyāḥ saṃkhyātvaṃ na nivartate /	aBiDAne api saMKyAyAH saMKyA tvam na nivartate /
   ṣaṣṭhyarthasyābhidhāne tu syāt prātipadikārthatā // BVaky_3,14.231 //	zazWI arTasya aBiDAne tu syAt prAtipadikA arTa tA // BVakI _3,14.231 //
   anuprayogasiddhyarthaṃ na vibhaktyarthakalpanā /	anuprayoga sidDi arTam na viBakti arTa kalpanA /
   vastvantaram upakṣiptam iti ke cit pracakṣate // BVaky_3,14.232 //	vastu antaram upakziptam iti ke cit pracakzate // BVakI _3,14.232 //
   saṃbandibhir viśiṣṭānām saṃbandhānāṃ nimittatā /	saMbandiBiH viSizwAnAm saMbanDAnAm nimitta tA /
   saṃbandhair vā viśiṣṭānāṃ tadvatāṃ syān nimittatā // BVaky_3,14.233 //	saMbanDEH vA viSizwAnAm tadvatAm syAt nimitta tA // BVakI _3,14.233 //
   ke cit saṃyogino daṇḍād viṣāṇāt samavāyinaḥ /	ke cit saMyoginaH daNxAt vizANAt samavAyinaH /
   tadvati pratyayān āhur bahuvrīhiṃ tathaiva ca // BVaky_3,14.234 //	tadvati pratyayAn AhuH bahuvrIhim taTA eva ca // BVakI _3,14.234 //
   bhinnaṃ saṃbandhibhedena saṃbandham apare viduḥ /	Binnam saMbanDi Bedena saMbanDam apare viduH /
   nimittaṃ sa vibhaktyarthaḥ samāsenābhidhīyate // BVaky_3,14.235 //	nimittam sa viBakti arTaH samAsena aBiDIyate // BVakI _3,14.235 //
   pradhānam anyārthatayā bhinnaṃ svair upasarjanaiḥ /	praDAnam anya arTa tayA Binnam svEH upasarjanEH /
   nimittam abbidheyaṃ vā sarvapaścād apekṣyate // BVaky_3,14.236 //	nimittam abbiDA iyam vA sarva paScAt apekzyate // BVakI _3,14.236 //
   svāmini vyatirekaś ca vākye yady api dṛśyate /	svAmini vyatirekaH ca vAkye yadi api dRSyate /
   prādhānya eva tasyeṣṭo bahuvrīhir vivakṣite // BVaky_3,14.237 //	prADAnyaH eva tasya izwaH bahuvrIhiH vivakzite // BVakI _3,14.237 //
   gavāṃ viśeṣaṇatvena yadā tadvān pravartate /	gavAm viSezaNa tvena yadA tadvAn pravartate /
   asyaitā iti tatrārthe bahuvrīhir na vidyate // BVaky_3,14.238 //	asya etAH iti tatra arTe bahuvrIhiH na vidyate // BVakI _3,14.238 //
   yadā pratyavamarśas tu tāsāṃ svāmī gavām iti /	yadA pratyavamarSaH tu tAsAm svAmI gavAm iti /
   gobhis tadābhisaṃbandho nimittatvāya kalpate // BVaky_3,14.239 //	goBiH tadA aBisaMbanDaH nimitta tvAya kalpate // BVakI _3,14.239 //
   apekṣamānaḥ saṃbandhaṃ rūḍhitvasya nivṛttaye /	apekzamAnaH saMbanDam rUXi tvasya nivRttaye /
   nimittānuvidhāyitvāt taddharmārthaḥ prasajyate // BVaky_3,14.240 //	nimitta anuviDAyi tvAt tad Darma arTaH prasajyate // BVakI _3,14.240 //
   nānā citrā iti yathā nimittam anurudhyate /	nAnA citrAH iti yaTA nimittam anuruDyate /
   nānābhūte 'pi vṛttaḥ san bahuvrīhis tathā bhavet // BVaky_3,14.241 //	nAnA BUte api vRttaH san bahuvrIhiH taTA Bavet // BVakI _3,14.241 //
   saṃbandhini nimitte tu dravyadharmo na hīyate /	saMbanDini nimitte tu dravya DarmaH na hIyate /
   liṅgābhāvo hi liṅgasya virodhitvena vartate // BVaky_3,14.242 //	liFga aBAvaH hi liFgasya viroDi tvena vartate // BVakI _3,14.242 //
   saṃkhvāvāṃl liṅgavāmś cārtho 'bhinnadharmā, nimittataḥ /	saMKvAvAn liFgavAmH ca arTaH aBinna DarmA, nimittataH /
   āsanna eva dravyatvāt taddharmair na virudhyate // BVaky_3,14.243 //	AsannaH eva dravya tvAt tad DarmEH na viruDyate // BVakI _3,14.243 //
   vibhaktyarthena cāviṣṭaṃ śuddhaṃ ceti dvidhā sthitam /	viBakti arTena ca Avizwam SudDam ca iti dviDA sTitam /
   dravyaṃ śuddhasya yo dharmaḥ sa na syād anyadharmaṇaḥ // BVaky_3,14.244 //	dravyam SudDasya yaH DarmaH sa na syAt anya DarmaNaH // BVakI _3,14.244 //
   dravyamātrasya nirdeśe bhedo 'yam avivakṣitaḥ /	dravya mAtrasya nirdeSe BedaH ayam avivakzitaH /
   granthe pūrvatra bhedas tu dvitīye 'nupradarśitaḥ // BVaky_3,14.245 //	granTe pUrvatra BedaH tu dvitIye anupradarSitaH // BVakI _3,14.245 //
   dravyasya grahaṇaṃ cātra liṅgasaṃkhyāviśeṣaṇam /	dravyasya grahaNam ca atra liFga saMKyA viSezaNam /
   dravyāśritatvaṃ hi tayos tato 'nyasya na sidhyataḥ // BVaky_3,14.246 //	dravya ASrita tvam hi tayoH tatas anyasya na siDyataH // BVakI _3,14.246 //
   saṃbandhibhinnasaṃbandha  parichinne pravartate /	saMbanDi Binna saMbanDa pariCinne pravartate /
   samāso dravyasāmānye viśiṣṭārthānupātini // BVaky_3,14.247 //	samAsaH dravya sAmAnye viSizwa arTa anupAtini // BVakI _3,14.247 //
   dravyadharmānatikrānto bhedadharmeṣv avasthitaḥ /	dravya DarmAn atikrAntaH Beda Darmezu avasTitaH /
   bhaviṣyadāśrayāpekṣe liṅgasaṃkhye prapadyate // BVaky_3,14.248 //	Bavizyat ASraya apekze liFga saMKye prapadyate // BVakI _3,14.248 //
   śāstrapravṛttibhede 'pi laukiko 'rtho na bhidyate /	SAstra pravRtti Bede api lOkikaH arTaH na Bidyate /
   nañsamase yatas tatra trayaḥ pakṣā vicāritāḥ // BVaky_3,14.249 //	naQsamase yatas tatra trayaH pakzAH vicAritAH // BVakI _3,14.249 //
   śabdāntare 'pi caikatvam āśrityaivaṃ vicāraṇā /	Sabda antare api ca eka tvam ASritya evam vicAraNA /
   abrahmaṇādiṣu nañaḥ prayogo na hi vidyate // BVaky_3,14.250 //	abrahmaNA Adizu naQaH prayogaH na hi vidyate // BVakI _3,14.250 //
   prāk samāsāt padārthānāṃ nivṛttir dyotyate nañā /	prAk samAsAt padArTAnAm nivRttiH dyotyate naQA /
   svabhāvato nivṛttānāṃ rūpābhedād alakṣitā // BVaky_3,14.251 //	svaBAvataH nivRttAnAm rUpa aBedAt alakzitAH // BVakI _3,14.251 //
