   Ḍhuṇḍhukanātha: Rasendracintāmaṇi	ḌhuNXuka-nATa: RasendracintAmaNi
   āmavātaṃ sarvarūpaṃ jihvāstambhaṃ galagraham // RCint_8.211 //	AmavAtam sarva-rUpam jihvA-stamBam galagraham // RCint-_8.211 //
   udaraṃ karṇanāsākṣimukhavaijātyameva ca /	udaram karNa-nAsA-akzi-muKa-vEjAtyam-eva ca /
   sarvaśūlaṃ śiraḥśūlaṃ strīṇāṃ gadaniṣūdanam // RCint_8.212 //	sarva-SUlam SiraH-SUlam strINAm gada-nizUdanam // RCint-_8.212 //
   vaṭikāṃ prātarekaikāṃ khādennityaṃ yathābalam /	vawikAm prAtar-ekEkAm KAdet-nityam yaTAbalam /
   anupānamidaṃ proktaṃ māṃsaṃ piṣṭaṃ payo dadhi // RCint_8.213 //	anupAnam-idam proktam mAMsam pizwam payaH daDi // RCint-_8.213 //
   vāritakrasurāsīdhusevanāt kāmarūpadhṛk /	vAri-takra-surA-sIDu-sevanAt kAmarUpaDRk /
   vṛddho'pi taruṇaspardhī na ca śukrasya saṃkṣayaḥ // RCint_8.214 //	vRdDaH-api taruNa-sparDI na ca Sukrasya saMkzayaH // RCint-_8.214 //
   na ca liṅgasya śaithilyaṃ na keśā yānti pakvatām /	na ca liFgasya SETilyam na keSAH yAnti pakva-tAm /
   nityaṃ śatastriyo gacchenmattavāraṇavikramaḥ // RCint_8.215 //	nityam Sata-striyaH gacCet-matta-vAraNa-vikramaH // RCint-_8.215 //
   dvilakṣayojanī dṛṣṭirjāyate pauṣṭikaḥ paraḥ /	dvi-lakza-yojanI dRzwiH-jAyate pOzwikaH paraH /
   proktaḥ prayogarājo'yaṃ nāradena mahātmanā // RCint_8.216 //	proktaH prayoga-rAjaH-ayam nAradena mahAtmanA // RCint-_8.216 //
   raso lakṣmīvilāsastu vāsudevo jagadgurau /	rasaH lakzmIvilAsaH-tu vAsudevaH jagadgurO /
   abhyāsādyasya bhagavān lakṣanārīṣu vallabhaḥ // RCint_8.217 //	aByAsAt-yasya BagavAn lakza-nArIzu vallaBaH // RCint-_8.217 //
   <śilājatu:: origin>	<SilAjatu:: origin>
   hemādyāḥ sūryasaṃtaptāḥ sravanti giridhātavaḥ /	hema-AdyAH sUrya-saMtaptAH sravanti giri-DAtavaH /
   jatvābhaṃ mṛdumṛtsnācchaṃ yanmalaṃ tacchilājatu // RCint_8.218 //	jatu-ABam mRdu-mRtsnA-acCam yat-malam tat-SilAjatu // RCint-_8.218 //
   <śilājatu:: medic. properties>	<SilAjatu:: medic. properties>
   anamlaṃ cākaṣāyaṃ ca kaṭupāki śilājatu /	anamlam ca-akazAyam ca kawu-pAki SilAjatu /
   nātyuṣṇaśītaṃ dhātubhyaś caturbhyastasya sambhavaḥ /	na-ati-uzNa-SItam DAtuByaH caturByaH-tasya samBavaH /
   hemno'tha rajatāttāmrādvarātkṛṣṇāyasādapi // RCint_8.219 //	hemnaH-aTa rajatAt-tAmrAt-varAt-kRzNAyasAt-api // RCint-_8.219 //
   <śilājatu:: from gold:: medic./phys. properties>	<SilAjatu:: from gold:: medic./Pys. properties>
   madhuraśca satiktaśca japāpuṣpanibhaśca yaḥ /	maDuraH-ca sa-tiktaH-ca japA-puzpa-niBaH-ca yaH /
   kaṭurvipāke śītaśca sa suvarṇasya nisravaḥ // RCint_8.220 //	kawuH-vipAke SItaH-ca sa suvarNasya nisravaH // RCint-_8.220 //
   <śilājatu:: from silver:: medic./phys. properties>	<SilAjatu:: from silver:: medic./Pys. properties>
   rūpyasya kaṭukaḥ śvetaḥ śītaḥ svādurvipacyate /	rUpyasya kawukaH SvetaH SItaH svAduH-vipacyate /
   <śilājatu:: from copper:: medic./phys. properties>	<SilAjatu:: from ca-upper:: medic./Pys. properties>
   tāmrasya barhikaṇṭhābhas tiktoṣṇaḥ pacyate kaṭuḥ // RCint_8.221 //	tAmrasya barhi-kaNWa-ABaH tikta-uzNaH pacyate kawuH // RCint-_8.221 //
   <śilājatu:: from iron:: medic./phys. properties>	<SilAjatu:: from iron:: medic./Pys. properties>
   yastu guggulukābhāsastiktako lavaṇānvitaḥ /	yaH-tu guggulukA-ABAsaH-tiktakaH lavaNa-anvitaH /
   kaṭurvipāke śītaśca sarvaśreṣṭhaḥ sa cāyasaḥ // RCint_8.222 //	kawuH-vipAke SItaH-ca sarva-SrezWaH sa ca-AyasaH // RCint-_8.222 //
   gomūtragandhayaḥ sarve sarvakarmasu yaugikāḥ /	go-mUtra-ganDayaH sarve sarva-karmasu yOgikAH /
   rasāyanaprayogeṣu paścimastu viśiṣyate // RCint_8.223 //	rasAyana-prayogezu paScimaH-tu viSizyate // RCint-_8.223 //
   yathākramaṃ vātapitte śleṣmapitte kaphe triṣu /	yaTAkramam vAta-pitte Slezma-pitte kaPe trizu /
   viśeṣeṇa praśasyante malā hemādidhātujāḥ // RCint_8.224 //	viSezeNa praSasyante malAH hema-Adi-DAtu-jAH // RCint-_8.224 //
   <śilājatu:: parīkṣā>	<SilAjatu:: parIkzA>
   lauhakiṭṭāyate vahnau vidhūmaṃ dahyate'mbhasi /	lOha-kiwwa-Ayate vahnO viDUmam dahyate-amBasi /
   tṛṇātyagre kṛtaṃ śreṣṭhamadho galati tantuvat // RCint_8.225 //	tRNa-ati-agre kRtam SrezWam-aDas galati tantu-vat // RCint-_8.225 //
   <śilājatu:: śodhana>	<SilAjatu:: SoDana>
   malinaṃ yadbhavet tacca kṣālayetkevalāmbhasā /	malinam yat-Bavet tat-ca kzAlayet-kevala-amBasA /
   lauhapātreṣu vidhinā ūrdhvībhūtaṃ ca saṃharet // RCint_8.226 //	lOha-pAtrezu viDinA UrDvIBUtam ca saMharet // RCint-_8.226 //
   vātapittakaphaghnaistu niryūhais tat subhāvitam /	vAta-pitta-kaPa-GnEH-tu niryUhEH tat su-BAvitam /
   vīryotkarṣaṃ paraṃ yāti sarvair ekaikaśo'pi vā // RCint_8.227 //	vIrya-utkarzam param yAti sarvEH ekEkaSas-api vA // RCint-_8.227 //
   prakṣipyoddhṛtamāvānaṃ punastatprakṣipedrase /	prakzipya-udDRtam-AvAnam punar-tad-prakzipet-rase /
   koṣṇe saptāhametena vidhinā tasya bhāvanāṃ // RCint_8.228 //	kozNe sapta-aham-etena viDinA tasya BAvanAm // RCint-_8.228 //
   <śilājatu:: soaking>	<SilAjatu:: soaking>
   tulyaṃ girijena jale caturguṇe bhāvanauṣadhaṃ kvāthyam /	tulyam girijena jale caturguNe BAvanA-OzaDam kvATyam /
   tataḥ kvāthe ca pādāṃśe pūtoṣṇe prakṣipedgirijam /	tatas kvATe ca pAda-aMSe pUta-uzNe prakzipet-girijam /
   tat samarasatāṃ yātaṃ saṃśuṣkaṃ prakṣipedrase bhūyaḥ // RCint_8.229 //	tat samarasa-tAm yAtam saMSuzkam prakzipet-rase BUyas // RCint-_8.229 //
   <śilājatu:: medic. properties>	<SilAjatu:: medic. properties>
   pūrvoktena vidhānena lauhaiścūrṇīkṛtaiḥ saha /	pUrva-uktena viDAnena lOhEH-cUrNIkRtEH saha /
   tatpītaṃ payasā dadyād dīrghamāyuḥ sukhānvitam // RCint_8.230 //	tat-pItam payasA dadyAt dIrGam-AyuH suKa-anvitam // RCint-_8.230 //
   jarāvyādhipraśamanaṃ dehadārḍhyakaraṃ param /	jarA-vyADi-praSamanam deha-dArXya-karam param /
   medhāsmṛtikaraṃ dhanyaṃ kṣīrāśī tatprayojayet // RCint_8.231 //	meDA-smRti-karam Danyam kzIra-ASI tat-prayojayet // RCint-_8.231 //
   prayogaḥ saptasaptāhāstrayaścaikaśca saptakaḥ /	prayogaH sapta-saptAhAH-trayaH-ca-ekaH-ca saptakaH /
   nirdiṣṭas trividhas tasya paro madhyo'varastathā // RCint_8.232 //	nirdizwaH triviDaH tasya paraH maDyaH-avaraH-taTA // RCint-_8.232 //
   <śilājatu:: measure for medic. use>	<SilAjatu:: measure foH medic. use>
   mātrā palaṃ tvarddhapalaṃ syātkarṣaṃ tu kanīyasī // RCint_8.233 //	mAtrA palam tu-ardDa-palam syAt-karzam tu kanIyasI // RCint-_8.233 //
   <śilājatu:: regulations/diet>	<SilAjatu:: regulatiA-uns/diA-it>
   śilājatuprayogeṣu vidāhīni gurūṇi ca /	SilAjatu-prayogezu vidAhIni gurUNi ca /
   varjayet sarvakālaṃ ca kulatthān parivarjayet // RCint_8.234 //	varjayet sarvakAlam ca kulatTAn parivarjayet // RCint-_8.234 //
   payāṃsi śuktāni rasāḥ sayūṣās toyaṃ samūtraṃ vividhāḥ kaṣāyāḥ /	payAMsi SuktAni rasAH sa-yUzAH toyam sa-mUtram viviDAH kazAyAH /
   āloḍanārthaṃ girijasya śastāste te prayojyāḥ prasamīkṣya kāryam //	Aloxana-arTam girijasya SastAH-te te prayojyAH prasamIkzya kAryam //
   RCint_8.235 //	RCint-_8.235 //
   <kāmeśvaramodaka>	<kAmeSvaramodaka>
   samyaṅmāritamabhrakaṃ kaṭuphalaṃ kuṣṭhāśvagandhāmṛtā methī mocaraso	samyak-mAritam-aBrakam kawuPalam kuzWa-aSvaganDA-amRtA meTI moca-rasaH-
   vidārimuśalī gokṣūrakaṃ cekṣuram /	vidAri-muSalI gokzUrakam ca-ikzuram /
   rambhākandaśatāvarī hyajamodā māṣāstilā dhānyakaṃ yaṣṭī nāgabalā balā	ramBA-kanda-SatAvarI hi-ajamodA mAzAH-tilA DAnyakam yazwI nAgabalA balA
   madhurikā jātīphalaṃ saindhavam // RCint_8.236 //	maDurikA jAtIPalam sEnDavam // RCint-_8.236 //
   bhārṅgīkarkaṭaśṛṅgikā trikaṭukaṃ jīradvayaṃ citrakaṃ cāturjātapunarnave	BArFgIkarkawaSRFgikA trikawukam jIra-dvayam citrakam cAturjAta-punarnave
   gajakaṇā drākṣā śaṭhī vāsakam /	gajakaNA drAkzA SaWI vAsakam /
   śālmalyaṅghriphalatrikaṃ kapibhavaṃ bījaṃ samaṃ cūrṇayet cūrṇāṃśā vijayā	SAlmalI-aFGri-Palatrikam kapi-Bavam bIjam samam cUrNayet cUrNa-aMSA vijayA
   sitā dviguṇitā madhvājyamiśraṃ tu tat // RCint_8.237 //	sitA dvi-guNitAH maDu-Ajya-miSram tu tat // RCint-_8.237 //
   karṣārddhā guḍikātha karṣamathavā sevyā satāṃ sarvadā peyā	karza-ardDA guxikA-aTa karzam-aTavA sevyA satAm sarvadA peyA
   kṣīrasitānuvīryakaraṇe stambhe'pyayaṃ kāminām /	kzIra-sitA-anu-vIrya-karaNe stamBe-api-ayam kAminAm /
   vāmāvaśyakaraḥ sukhātisukhadaḥ prauḍhāṅganādrāvakaḥ kṣīṇe puṣṭikaraḥ	vAmA-vaSya-karaH suKa-ati-suKa-daH prOXa-aFganA-drAvakaH kzINe puzwi-karaH
   kṣayakṣayakaro nānāmayadhvaṃsakaḥ // RCint_8.238 //	kzaya-kzaya-karaH nAnA-Amaya-DvaMsakaH // RCint-_8.238 //
   kāsaśvāsamahātisāraśamano mandāgnisandīpanaḥ	kAsa-SvAsa-mahA-atisAra-SamanaH manda-agni-sandIpanaH
   durnāmagrahaṇīpramehanivahaśleṣmāsrapittapraṇut /	durnAma-grahaNI-prameha-nivaha-Slezma-asrapitta-praNud /
   nityānandakaro viśeṣakavitāvācāṃ vilāsodbhavaṃ dhatte sarvaguṇaṃ	nitya-Ananda-karaH viSeza-kavitA-vAcAm vilAsa-udBavam Datte sarva-guNam
   mahāsthiravayo dhyānāvadhāne 'pyalam // RCint_8.239 //	mahA-sTira-vayaH DyAna-avaDAne api-alam // RCint-_8.239 //
   abhyāsena nihanti mṛtyupalitaṃ kāmeśvaro vatsarāt sarveṣāṃ hitakāriṇā	aByAsena nihanti mRtyu-palitam kAmeSvaraH vatsarAt sarvezAm hita-kAriNA
   nigaditaḥ śrīnityanāthena saḥ /	nigaditaH SrI-nityanATena saH /
   vṛddhānām api kāmavardhanakaraḥ prauḍhāṅganāsaṅgame siddho'yaṃ mama	vRdDAnAm api kAma-varDana-karaH prOXa-aFganA-saFgame sidDaH-ayam mama
   dṛṣṭipratyayakaro bhūpaiḥ sadā sevyatām // RCint_8.240 //	dRzwi-pratyaya-karaH BUpEH sadA sevyatAm // RCint-_8.240 //
   <cūrṇaratna>	<cUrNa-ratna>
   vṛṣyagaṇacūrṇatulyaṃ tat puṭapakvaṃ ghanaṃ sitā dviguṇam /	vRzya-gaNa-cUrNa-tulyam tat puwa-pakvam Ganam sitA dviguNam /
   vṛṣyātparamativṛṣyaṃ rasāyanaṃ cūrṇaratnamidam // RCint_8.241 //	vRzyAt-param-ati-vRzyam rasAyanam cUrNa-ratnam-idam // RCint-_8.241 //
   <śṛṅgārābhrarasaḥ>	<SRFgAra-aBra-rasaH>
   śuddhaṃ kṛṣṇābhracūrṇaṃ dvipalaparimitaṃ śāṇamānaṃ yadanyat /	SudDam kRzNa-aBra-cUrNam dvi-pala-parimitam SANa-mAnam yat-anyat /
   karpūraṃ jātikoṣaṃ sajalamibhakaṇā tejapatraṃ lavaṅgam // RCint_8.242 //	karpUram jAti-kozam sa-jalam-iBakaNA teja-patram lavaFgam // RCint-_8.242 //
   māṃsī tālīśacoce gajakusumagadaṃ dhātakī ceti tulyaṃ /	mAMsI tAlISa-coce gaja-kusuma-gadam DAtakI ca-iti tulyam /
   pathyā dhātrī vibhītaṃ trikaṭuratha pṛthak tvarddhaśāṇaṃ dviśāṇam //	paTyA DAtrI viBItam trikawuH-aTa pRTak tu-ardDa-SANam dvi-SANam //
   RCint_8.243 //	RCint-_8.243 //
   elājātīphalākhyaṃ kṣititalavidhinā śuddhagandhāśmakolaṃ kolārddhaṃ	elAjAtIPala-AKyam kziti-tala-viDinA SudDa-ganDASmakolam kola-ardDam
   pāradasya pratipadavihitaṃ piṣṭamekatra miśram /	pAradasya pratipada-vihitam pizwam-ekatra miSram /
   pānīyenaiva kāryāḥ pariṇatacaṇakasvinnatulyāśca vaṭyaḥ prātaḥ khādyāś	pAnIyena-eva kAryAH pariNata-caNaka-svinna-tulyAH-ca vawyaH prAtar KAdya-AS
   catasras tadanu ca hi kiyacchṛṅgaveraṃ saparṇam // RCint_8.244 //	catasraH tadanu ca hi kiyat-SRFgaveram saparNam // RCint-_8.244 //
   pānīyaṃ pītamante dhruvamapaharati kṣiprametān vikārān koṣṭhe	pAnIyam pItam-ante Druvam-apaharati kzipram-etAn vikArAn kozWe
   duṣṭāgnijātān jvaramudararujo rājayakṣmaṃ kṣayaṃ ca /	duzwa-agni-jAtAn jvaram-udara-rujaH rAjayakzmam kzayam ca /
   kāsaṃ śvāsaṃ saśothaṃ nayanaparibhavaṃ mehamedovikārān chardiṃ	kAsam SvAsam sa-SoTam nayana-pariBavam meha-medaH-vikArAn Cardim
   śūlāmlapittaṃ tṛṣamapi mahatīṃ gulmajālaṃ viśālam // RCint_8.245 //	SUla-amlapittam tRzam-api mahatIm gulma-jAlam viSAlam // RCint-_8.245 //
   pāṇḍutvaṃ raktapittaṃ garalabhavagadān pīnasaṃ plīharogaṃ hanyād	pANxu-tvam raktapittam garala-Bava-gadAn pInasam plIha-rogam hanyAt-
   āmānilotthān kaphapavanakṛtān pittarogānaśeṣān /	Ama-anila-utTAn kaPa-pavana-kRtAn pitta-rogAn-aSezAn /
   balyo vṛṣyaśca yogastaruṇatarakaraḥ sarvaroge praśastaḥ pathyaṃ māṃsaiśca	balyaH vRzyaH-ca yogaH-taruNatara-karaH sarva-roge praSastaH paTyam mAMsEH-ca
   yūṣair ghṛtaparilulitair gavyadugdhaiśca bhūyaḥ // RCint_8.246 //	yUzEH GRta-parilulitEH gavya-dugDEH-ca BUyas // RCint-_8.246 //
   bhojyaṃ yojyaṃ yatheṣṭaṃ lalitalalanayā dīyamānaṃ mudā yacchṛṅgārābhreṇa	Bojyam yojyam yaTezwam lalita-lalanayA dIyamAnam mudA yat-SRFgAra-aBreNa
   kāmī yuvatijanaśatāṃ bhogayogādatuṣṭaḥ /	kAmI yuvati-jana-SatAm Boga-yogAt-atuzwaH /
   varjyaṃ śākāmlamādau dinakatipayacit svecchayā bhojyamanyad dīrghāyuḥ	varjyam SAka-amlam-AdO dina-kati-paya-cit sva-icCayA Bojyam-anyat dIrGa-AyuH
   kāmamūrtir gatavalipalito mānavo'sya prasādāt // RCint_8.247 //	kAma-mUrtiH gata-vali-palitaH mAnavaH-asya prasAdAt // RCint-_8.247 //
   <jayāvaṭī>	<jaya-avawI>
   viṣaṃ trikaṭukaṃ mustaṃ haridrā nimbapatrakam /	vizam trikawukam mustam haridrA nimba-patrakam /
   viḍaṅgamaṣṭamaṃ cūrṇaṃ chāgamūtraiḥ samaṃ samam /	vixaFgam-azwamam cUrNam CAga-mUtrEH samam samam /
   caṇakābhā vaṭī kāryā syājjayā yogavāhikā // RCint_8.248 //	caNaka-ABA vawI kAryA syAt-jayA yogavAhikAH // RCint-_8.248 //
   <trinetrarasaḥ>	<tri-netra-rasaH>
   ādau gandhahataṃ śulvaṃ paścāttulyāhipāradam /	AdO ganDa-hatam Sulvam paScAt-tulya-ahi-pAradam /
   trinetro haviṣā piṣṭaḥ śītavīryo'rddhagandhakaḥ // RCint_8.249 //	trinetraH havizA pizwaH SIta-vIryaH-ardDa-ganDakaH // RCint-_8.249 //
   uṣṇaścettulyagandhena kuryāt saṃmardya parpaṭīm /	uzNaH-ced-tulya-ganDena kuryAt saMmardya parpawIm /
   dehasiddhikaro hyeṣa sarvaroganikṛntanaḥ // RCint_8.250 //	deha-sidDi-karaH hi-eza sarva-roga-nikRntanaH // RCint-_8.250 //
   <siddhayogeśvararasaḥ>	<sidDa-yoga-ISvara-rasaH>
   śuddhaṃ sūtaṃ dvidhā gandhaṃ khalve ghṛṣṭvā tu kajjalīm /	SudDam sUtam dviDA ganDam Kalve GRzwvA tu kajjalIm /
   tayoḥ samaṃ kāntalauhamabhāve tasya tīkṣṇakam // RCint_8.251 //	tayoH samam kAnta-lOham-aBAve tasya tIkzNakam // RCint-_8.251 //
   melitaṃ devadeveśi marditaṃ kanyakādravaiḥ /	melitam devadeveSi marditam kanyakA-dravEH /
   yāmadvayaṃ tataḥ paścāttadgolaṃ tāmrasampuṭe // RCint_8.252 //	yAma-dvayam tatas paScAt-tad-golam tAmra-sampuwe // RCint-_8.252 //
   ācchādyairaṇḍapatraistu dhānyarāśau nidhāpayet /	AcCAdya-eraNxa-patrEH-tu DAnya-rASO niDApayet /
   tridinānte samuddhṛtya piṣṭaṃ vāritaraṃ bhavet // RCint_8.253 //	tri-dina-ante samudDRtya pizwam vAritaram Bavet // RCint-_8.253 //
   kumārī bhṛṅgakoraṇṭau kākamācī punarnavā /	kumArI BRFga-koraNwO kAkamAcI punarnavA /
   nīlī muṇḍī ca nirguṇḍī sahadevī śatāvarī // RCint_8.254 //	nIlI muNxI ca nirguNxI sahadevI SatAvarI // RCint-_8.254 //
   amlaparṇī gokṣurakaḥ kacchūmūlaṃ vaṭāṅkurāḥ /	amlaparNI gokzurakaH kacCU-mUlam vawa-aFkurAH /
   eteṣāṃ bhāvayeddrāvaiḥ saptavārān pṛthak pṛthak // RCint_8.255 //	etezAm BAvayet-drAvEH sapta-vArAn pRTak pRTak // RCint-_8.255 //
   tryūṣaṇatriphalāsomarājīnāṃ ca kaṣāyakaiḥ /	tryUzaNa-triPalA-somarAjInAm ca kazAyakEH /
   śuṣke'smiṃstolitaṃ cūrṇaṃ samamekādaśābhidham // RCint_8.256 //	Suzke-asmin=-tolitam cUrNam samam-ekAdaSa-aBiDam // RCint-_8.256 //
   varāvyoṣāgniviśvailā jātīphalalavaṅgakam /	varA-vyoza-agni-viSva-elA jAtIPala-lavaFgakam /
   saṃyojya madhunāloḍya vimardyedaṃ bhajetsadā // RCint_8.257 //	saMyojya maDunA-Aloxya vimardya-idam Bajet-sadA // RCint-_8.257 //
   rātrau pibed gavāṃ kṣīraṃ kṛṣṇānāṃ ca viśeṣataḥ /	rAtrO pibet gavAm kzIram kRzNAnAm ca viSezataH /
   saṃvatsarājjarāmṛtyurogajālaṃ nivārayet // RCint_8.258 //	saMvatsarAt-jarA-mRtyu-roga-jAlam nivArayet // RCint-_8.258 //
   vīryavṛddhikaraṃ śreṣṭhaṃ rāmāśatasukhapradam /	vIrya-vRdDi-karam SrezWam rAmA-Sata-suKa-pradam /
   tāvanna cyavate vīryaṃ yāvadamlaṃ na sevate // RCint_8.259 //	tAvat-na cyavate vIryam yAvat-amlam na sevate // RCint-_8.259 //
   dīpanaṃ kāntidaṃ puṣṭituṣṭikṛtsevināṃ sadā /	dIpanam kAnti-dam puzwi-tuzwi-kRt-sevinAm sadA /
   suguptaḥ kathitaḥ sūtaḥ siddhayogeśvarābhidhaḥ // RCint_8.260 //	su-guptaH kaTitaH sUtaH sidDa-yoga-ISvara-aBiDaH // RCint-_8.260 //
   <palitaghnacūrṇam>	<palita-Gna-cUrNam>
   triphalā lohajaṃ cūrṇaṃ raktacitrakajā jaṭā /	triPalA loha-jam cUrNam raktacitraka-jA jawA /
   cyutakṣudrāmrakaṃ bījaṃ pālāśaṃ kṣudradugdhikā // RCint_8.261 //	cyuta-kzudra-Amrakam bIjam pAlASam kzudra-dugDikAH // RCint-_8.261 //
   etadaṣṭakamādāya pṛthak pañcapalonmitam /	etat-azwakam-AdAya pRTak paQca-pala-unmitam /
   miśrayitvā palāśasya sarvāṅgarasabhāvitam // RCint_8.262 //	miSrayitvA palASasya sarva-aFga-rasa-BAvitam // RCint-_8.262 //
   mahākālajabījānāṃ bhāgatrayamathāharet /	mahAkAla-ja-bIjAnAm BAga-trayam-aTa-Aharet /
   bhāgaṃ kṛṣṇatilasyaikaṃ miśrayitvā nipīḍayet // RCint_8.263 //	BAgam kRzNa-tilasya-ekam miSrayitvA nipIxayet // RCint-_8.263 //
   tena tailena taccūrṇaṃ piṇḍīkāryaṃ vimardanāt /	tena tElena tat-cUrNam piNxIkAryam vimardanAt /
   snigdhe bhāṇḍe tadādhāya śarāveṇa nirodhayet // RCint_8.264 //	snigDe BANxe tad-ADAya SarAveNa niroDayet // RCint-_8.264 //
   liptvā tadāśu dhānye ca palalaughe nidhāpayet /	liptvA tad-A-ASu DAnye ca palala-oGe niDApayet /
   māsamātrātsamāhṛtya pūjayitvā śivaṃ śivam // RCint_8.265 //	mAsa-mAtrAt-samAhRtya pUjayitvA Sivam Sivam // RCint-_8.265 //
   tolaikaṃ bhakṣayetprātastolaikaṃ bhojanopari /	tola-ekam Bakzayet-prAtar-tola-ekam Bojana-upari /
   evaṃ māsatrayābhyāsātpalitaṃ hantyasaṃśayam /	evam mAsa-traya-aByAsAt-palitam hanti-asaMSayam /
   varṣaikena jarāṃ hatvā mṛtyuṃ jayati mānavaḥ // RCint_8.266 //	varza-ekena jarAm hatvA mRtyum jayati mAnavaH // RCint-_8.266 //
   <kāminīmadanidhūnanarasaḥ>	<kAminI-mada-niDUnana-rasaH>
   kajjalīkṛtasugandhakaśambhos tulyabhāgakanakasya bījam /	kajjalIkRta-suganDaka-SamBoH tulya-BAga-kanakasya bIjam /
   mardayetkanakatailayutaṃ syāt kāminīmadavidhūnana eṣaḥ // RCint_8.267 //	mardayet-kanaka-tEla-yutam syAt kAminI-mada-viDUnanaH ezaH // RCint-_8.267 //
   asya vallayugalaṃ sasitaṃ cet sevitaṃ harati mehagaṇaugham /	asya valla-yugalam sa-sitam ced sevitam harati meha-gaNa-oGam /
   vīryadārḍhyakaraṇaṃ kamanīyaṃ drāvaṇaṃ nidhuvane vanitānām // RCint_8.268	vIrya-dArXya-karaNam kamanIyam drAvaNam niDuvane vanitAnAm // RCint-_8.268
   <caturmukharasaḥ>	<caturmuKa-rasaH>
   rasagandhakalauhābhraṃ samaṃ sūtāṅghri hema ca /	rasa-ganDaka-lOha-aBram samam sUta-aFGri hema ca /
   sarvaṃ khalvatale kṣiptvā kanyāsvarasamarditam // RCint_8.269 //	sarvam Kalva-tale kziptvA kanyA-svarasa-marditam // RCint-_8.269 //
   triphalātulasībrāhmīrasaiścānu vimardayet /	triPalA-tulasI-brAhmI-rasEH-ca-anu vimardayet /
   eraṇḍapatrairāveṣṭya dhānyarāśau dinatrayam // RCint_8.270 //	eraNxa-patrEH-Avezwya DAnya-rASO dina-trayam // RCint-_8.270 //
   saṃsthāpya ca taduddhṛtya triphalāmadhusaṃyutam /	saMsTApya ca tat-udDRtya triPalA-maDu-saMyutam /
   etadrasāyanavaraṃ sarvarogeṣu yojayet // RCint_8.271 //	etat-rasAyana-varam sarva-rogezu yojayet // RCint-_8.271 //
   tadyathāgnibalaṃ khādedvalīpalitanāśanam /	tat-yaTA-agni-balam KAdet-valI-palita-nASanam /
   pauṣṭikaṃ balyamāyuṣyaṃ putraprasavakārakam // RCint_8.272 //	pOzwikam balyam-Ayuzyam putra-prasava-kArakam // RCint-_8.272 //
   kṣayamekādaśavidhaṃ kāsaṃ pañcavidhaṃ tathā /	kzayam-ekAdaSaviDam kAsam paQcaviDam taTA /
   kuṣṭhamaṣṭādaśavidhaṃ pāṇḍurogān pramehakān // RCint_8.273 //	kuzWam-azwAdaSaviDam pANxu-rogAn pramehakAn // RCint-_8.273 //
   śūlaṃ śvāsaṃ ca hikkāṃ ca mandāgniṃ cāmlapittakam /	SUlam SvAsam ca hikkAm ca manda-agnim ca-amlapittakam /
   vraṇān sarvānāmavātaṃ visarpaṃ vidradhiṃ tathā // RCint_8.274 //	vraNAn sarvAnAm-avAtam visarpam vidraDim taTA // RCint-_8.274 //
   apasmāraṃ mahonmādaṃ sarvārśāṃsi tvagāmayān /	apasmAram mahA-unmAdam sarva-arSAMsi tvac-AmayAn /
   krameṇa śīlitaṃ hanti vṛkṣamindrāśaniryathā /	krameNa SIlitam hanti vRkzam-indra-aSaniH-yaTA /
   caturmukhena devena kṛṣṇātreyāya sūcitam // RCint_8.275 //	caturmuKena devena kRzNAtreyAya sUcitam // RCint-_8.275 //
   <gandhalauha>	<ganDa-lOha>
   gandhaṃ lauhaṃ bhasma madhvājyayuktaṃ sevyaṃ varṣaṃ vāriṇā traiphalena /	ganDam lOham Basma maDu-Ajya-yuktam sevyam varzam vAriNA trEPalena /
   śukle keśe kālimā divyadṛṣṭiḥ puṣṭivīryaṃ jāyate dīrghamāyuḥ //	Sukle keSe kAlimA divya-dRzwiH puzwi-vIryam jAyate dIrGam-AyuH //
   RCint_8.276 //	RCint-_8.276 //
   <siddhalakṣmīśvararasaḥ>	<sidDa-lakzmISvara-rasaH>
   aṣṭāṃśahemni haraje śikhimūṣikāyāṃ saṃjārya ṣaḍguṇabaliṃ kramaśo 'dhikaṃ	azwa-aMSa-hemni hara-je SiKimUzikAyAm saMjArya zaxguNa-balim kramaSas aDikam
   ca /	ca /
   ūrdhvaṃ payo'gnim adhare vinidhāya dhīrāḥ siddhīḥ samagramatulāḥ svakare	UrDvam payaH-agnim aDare viniDAya DIrAH sidDIH samagram-atulAH sva-kare
   kurudhvam // RCint_8.277 //	kuruDvam // RCint-_8.277 //
   <vahnisiddharasaḥ>	<vahni-sidDa-rasaH>
   lauhaṃ gandhaṃ ṭaṅkaṇaṃ bhrāmayitvā sārdhas tasmin sūtako'nyaśca gandhaḥ /	lOham ganDam waFkaNam BrAmayitvA sArDaH tasmin sUtakaH-anyaH-ca ganDaH /
   kanyāmbhobhir marditaḥ kācakūpyāṃ kṣipto vahṇau siddhaye vahṇisiddhaḥ //	kanyA-amBoBiH marditaH kAca-kUpyAm kziptaH vahNO sidDaye vahNi-sidDaH //
