   atha trayoviṃśaṃ pūraṇam	aTa trayoviMSam pUraNam
   udbhāvitam | na kevalaṃ pratijñā mātraṃ tatra pratīti pātrīkṛtam, kintu	udBAvitam | na kevalam pratijQA  mAtram tatra pratIti  pAtrIkRtam, kintu
   tad āgatir apy adhigatīkṛtam |	tad  AgatiH api aDigatIkRtam |
   [197] tathā hi prathame dvārakā prajā vacane yarhy ambujākṣāpasasāra bho	[197] taTA hi praTame dvArakA  prajA  vacane I arhi ambuja akza apasasAra Bo
   bhavān kurūn madhūn vātha suhṛd didṛkṣayā [BhP 1.11.9] iti pratyakṣaṃ	BavAn kurUn maDUn vA aTa suhRd  didRkzayA [Bhu 1.11.9] iti pratyakzam
   lakṣyate | na ca tat tu kālāntara gatam | kurukṣetra yātrāyāṃ hi sphuṭam	lakzyate | na ca tat tu kAla antara  gatam | kurukzetra yAtrAyAm hi sPuwam
   asya vacanaṃ tasya tat kālatām eva racayati | tathā hi 	asya vacanam tasya tat kAlatAm eva racayati | taTA hi 
   api smaratha naḥ sakhyaḥ svānām artha cikīrṣayā |	api smaraTa naH saKyaH svAnAm arTa  cikIrzayA |
   gatāṃś cirāyitāñ chatru pakṣa kṣapaṇa cetasaḥ ||[BhP 10.82.41] iti |	gatAn cirAyitAn Catru  pakza  kzapaNa  cetasaH ||[Bhj 10.82.41] iti |
   [198] vidūrathāntaśatruvadham evāvavadhim atra karoti nānyad iti | tad	[198] vidUraTa anta Satru vaDam eva avavaDim atra karoti na anyat iti | tat 
   evaṃ sthite tad anantaraṃ ca labdhāntaratayā tenānena teṣāṃ	evam sTite tad  anantaram ca labDa antara tayA tena anena tezAm
   prakṛti jāgocara prakṛti svapadāvirbhāvanaṃ ca tatra pādma evodbhāvaitam |	prakRti jA gocara  prakRti sva pada AvirBAvanam ca tatra pAdmaH eva udBAva etam |
   tad api brahma hrada majjana tad unmajjanād anantaraṃ tad darśitavata	tat api brahma hrada  majjana tad unmajjanAt anantaram tat  darSitavata
   etasya caitadīyānāṃ cābhiprāyeṇa śrīmad bhāgavatenābhipretam | api naḥ	etasya ca etadIyAnAm ca aBiprAyeNa SrImat  BAgavatena aBipretam | api naH
   svagatiṃ sūkṣmām [BhP 10.28.12] iti, na veda svāṃ gatiṃ bhraman [BhP	sva gatim sUkzmAm [Bhu 10.28.12] iti, na veda svAm gatim Braman [BhP
   10.28.14] iti, gopānāṃ svaṃ lokaṃ [BhP 10.28.15] iti, kṛṣṇaṃ ca tatra	10.28.14] iti, gopAnAm svam lokam [Bhj 10.28.15] iti, kRzNam ca tatra
   chandobhiḥ stūyamānam [BhP 10.28.18] ity anena | ataeva skānde 	CandoBiH stUyamAnam [Bhu 10.28.18] iti anena | ataeva skAnde 
   vatsair vatsatarībhiś ca sarāmo bālakair vṛtaḥ |	vatsEH vatsatarIBiH ca sarAmaH bAlakEH vRtaH |
   vṛndāvanāntaragataḥ sadā krīḍati mādhavaḥ ||	vRndAvana antara gataH sadA krIxati mADavaH ||
   sadā sthiti prayogaś cātra vaikuṇṭha nāthasya dhruva gajendrādy artham	sadA sTiti prayogaH ca atra vEkuNWa nATasya Druva  gaja indra Adi  arTam
   anyatra gamanena vaikuṇṭha iva śrī vrajendra nandanasya mathurādi gamanena	anyatra gamanena vEkuNWaH iva SrI  vraja indra nandanasya maTurA Adi  gamanena
   sadā vṛndāvana ramaṇam api na bādhyate |	sadA vRndAvana  ramaNam api na bADyate |
   [199] atredaṃ vicārayāmaḥ 	[199] atra idam vicArayAmaH 
   jananī veśa sambandhābhāsāt pūtanikāpi sā |	jananI  veSa  sambanDa ABAsAt pUtanikA api sA |
   janaī gatim avrājīd iti kaimutya yogataḥ ||JGc_1,33.87||upakṛṣṇaṃ	janaI  gatim avrAjIt iti kEmutya  yogataH ||JGc_1,33.87||upakRzNam
   kṛṣṇa ghoṣaḥ sugo gopaṃ tad āpsyati |	kRzNa GozaH su go gopam tat Apsyati |
   atiduḥkhaṃ duṣpratīpaṃ tad golokaṃ sa śarma ca ||JGc_1,33.88||	ati duHKam duzpratIpam tat golokam sa Sarma ca ||JGc_1,33.88||
   kiṃ ca 	kim ca 
   sāṅgaṃ yāvad vaibhavaṃ ca vrajaḥ kṛṣṇaṃ vrajiṣyati |	sAFgam yAvat vEBavam ca vrajaH kRzNam vrajizyati |
   sa kṛṣṇam anukṛṣṇaṃ yo dhāsyate ca sa rāmakam	sa kRzNam anukRzNam yaH DAsyate ca sa rAmakam
   ||JGc_1,33.89||sadvādaśa skandham evaṃ śrī bhāgavatam īkṣate |	||JGc_1,33.89||sa dvAdaSa  skanDam evam SrI  BAgavatam Ikzate |
   yathā śakti budho' nyasya śakti prati na vidyate ||JGc_1,33.90||	yaTA Sakti buDaH a nyasya Sakti prati na vidyate ||JGc_1,33.90||
   [200] tad evaṃ vimṛṣya tu śrī devarṣiḥ spaṣṭam ācaṣṭa  [201] yadā tvaṃ	[200] tat evam vimRzya tu SrI  devaRziH spazwam Acazwa [201] yadA tvam
   rājasūyataḥ sukhaṃ sambhūya svālaya calanārambhaṃ sambhāvayiṣyasi, tadā	rAjasUyataH suKam samBUya svAlaya  calana AramBam samBAvayizyasi, tadA
   vakrabhāva cakrataḥ śakram api jigīṣur dantavakras tvāṃ kevalaṃ	vakra BAva  cakrataH Sakram api jigIzuH dantavakraH tvAm kevalam
   sarva caṅkramaṇa cakravalaṃ vitarkayan balena balena ca vinābhūtena tvayā	sarva  caFkramaNa cakravalam vitarkayan balena balena ca vinABUtena tvayA
   kevalena gadāyuddham adhvany anivicchan madhupurīm āgantum urīkariṣyati |	kevalena gadA yudDam aDvani anivicCat maDupurIm Agantum urIkarizyati |
   tām āgatya ca gatyantaraṃ cintayan man mukhatas tava	tAm Agatya ca gati antaram cintayan man muKataH tava
   dvārakā saṃmukha prasthānaṃ śālva saṃsthāpanaṃ cāsthāya sadyas tvāṃ praty	dvArakA  saMmuKa prasTAnam SAlva  saMsTApanam ca AsTAya sadyas tvAm praty
   eva duḥsthātmatayā prasthāsyate |	eva duHsTa Atma tayA prasTAsyate |
   [202] tadaiva ca mano juti vibhūti mayena mayā kathanayā	[202] tadA eva ca mano juti  viBUti  mayena mayA kaTanayA
   nija vraja gamanāya tad evāspadam āspadaṃ kurval labdha manorathas	nija vraja  gamanAya tat eva Aspadam Aspadam kurval  labDa  manoraTa s
   tādṛśa divya rathaś ca tvaṃ tat kṣaṇam eva mathurā pura dvāri	tAdRSa  divya raTaH ca tvam tat  kzaNam eva maTurA  pura dvAri
   prāpta gati prathas taṃ gadāvantaṃ niṣkrāmantaṃ drakṣyasi, srakṣyasi ca	prApta  gati praTaH tam gadAvantam nizkrAmantam drakzyasi, srakzyasi ca
   tvāṃ prati krāmantaṃ taṃ prati gadāṃ srakṣyante ca, pratyastrāṇīva	tvAm prati krAmantam tam prati gadAm srakzyante ca, pratyastrANi iva
   tvad ābhimukhyena karūṣa mukhyena tena caidyenaiva sātma jyotiṣkā niṣkāsya	tvad  ABimuKyena karUza  muKyena tena cEdyena eva sa Atma jyotizkAH nizkAsya
   prāṇāḥ |	prANAH |
   [203] tatra ca ślokaḥ khalv ayam 	[203] tatra ca SlokaH Kalu ayam 
   bhīmasyāhaṃ tulya saṃvid gadāyā	BImasya aham tulya  saMvid  gadAyAH 
   dvandvāghāte mādhavaṃ māgadhābham |	dvandva AGAte mADavam mAgaDa ABam |
   jitvā rājyaṃ māthuraṃ sādhayiṣyāmy	jitvA rAjyam mATuram sADayizyAmi 
   evaṃ naṅkṣaty eṣa ko dantavakraḥ ||JGc_1,33.91||	evam naFkzati eza kaH dantavakraH ||JGc_1,33.91||
   tataś ca 	tatas ca 
   dantavakra citā vahni prāye krodhe tava svayam |	danta vakra   citA  vahni prAye kroDe tava svayam |
   vidūrathaś ca bhavitā dūrataḥ krūra kīṭavat ||JGc_1,33.92||[204] tad evaṃ	vidUraTaH ca BavitA dUratas krUra kIwa vat ||Ju c_1,33.92||[204] tat evam
   dantavakraṃ vidūratham api vidūratas tadā gadā cakra ghātaṃ ghātayitvā	dantavakram vidUraTam api vidUrataH tadA gadA  cakra GAtam GAtayitvA
   sva vacana satyaṅkāraḥ svajana hṛd rujām agadaṅkāraḥ svīya mukhānām	sva  vacana  sati aFkAraH sva jana  hRd rujAm agadaFkAraH svIya  muKAnAm
   astuṅkāraḥ śrīmad vraja virājamāna rāja kumāraḥ svaka vraja kulam eva	astuFkAraH SrImat  vraja  virAjamAna  rAja kumAraH sva ka vraja  kulam eva
   bhavān mathurā bhavān anuyokṣyate | tat tu sarvaṃ pragāḍha bhāvam	BavAn maTurA  BavAn anuyokzyate | tat tu sarvam pragAXa  BAvam
   avagāḍhaṃ kurukṣetrād āgater arvāg bhavad āgamana maryādābhyantarīṇa kālaṃ	avagAXam kurukzetrAt AgateH arvAk   Bavat  Aga mana  maryAdA aByantarINa  kAlam
   kālam iva cālayituṃ punar api sudināyamānatāṃ pratipālayituṃ samprati	kAlam iva cAlayitum punar api su dinAyamAna tAm pratipAlayitum samprati
   yamunā pārīṇaṃ jātam ity avakalayyānukāmīnena nija divya vimānena	yamunA  pArINam jAtam iti avakalayya anukAmInena nija  divya  vimAnena
   samuttīrya diviṣadbhiḥ kusumair avakīryamāṇaḥ sahasā tad vāsaṃ cāsat tu	samuttIrya divizadBiH kusumEH avakIryamANaH sahasA tad  vAsam ca asat tu
   mud yokṣyate |	mud yokzyate |
   [205] uttīrṇe ca tvayi sarvataḥ kīrṇena ninitāśeṣeṇa	[205] uttIrNe ca tvayi sarvatas kIrNena ninitASezeNa
   ratha ghargharita viśeṣeṇa tvad āgamanam eva manvānās	raTa  GarGarita  viSezeNa tvad  Agamanam eva manvAnAH 
   tvat parimala valanena tu niścinvānāḥ sarva vidhā eva tvad ekādhvānataḥ	tvat  parimala  valanena tu niScinvAnAH sarva viDAH eva tvad  eka aDvAnataH
   pradhāvanam eva tanvānāḥ śrīman nandādy abhidhānāḥ sannidhānaṃ vināpi	praDAvanam eva tanvAnAH SrIman nanda Adi  a BiDAnAH sanniDAnam vinA api
   śikhaṇḍi maṇḍalavad amī mārtaṇḍa maṇḍala stha megha khaṇḍam iva	SiKaNxi  maNxala vat amI mArtaNxa  maNxala  sTa  meGa  KaNxam iva
   divya rathārūḍhaṃ tvām agūḍhaṃ niśāmya	divya raTa ArUXam tvAm agUXam niSAmya
   samya gūḍha pramada bahala kolāhalaṃ kalayiṣyanti |	samya  gUXa  pramada  bahala  kolAhalam kalayizyanti |
   [206] kalayantaś ca	[206] kalayantaH ca
   stambha sveda romodbheda svara bheda rodana vibheda pralaya mayatayā	stamBa  sveda roma udBeda  svara  Beda  rodana  viBeda  pralaya  maya tayA
   spandanam apy avindamānāḥ syandanād dūratas tad avasthā eva sthāsyanti |	spandanam api avindamAnAH syandanAt dUratas tad  avasTAH eva sTAsyanti |
   [207] tvaṃ punaḥ sahasā rathād avatīrya teṣāṃ pathā yathā vīryaṃ dhāvan	[207] tvam punar sahasA raTAt avatIrya tezAm paTA yaTA vIryam DAvan
   sakala gīrvāṇa vikīryamāṇa kusumādi vāditrādi kṛtamānaḥ sarvathāpy	sakala  gIrvANa  vikIryamANa  kusuma Adi  vAditra Adi kRta mAnaH sarvaTA api 
   asambhāvita samānaḥ param āsaktyā sarvān api tān anarvācīna śaktyā ca	asamBOvita  samAnaH param AsaktyA sarvAn api tAn anarvAcIna  SaktyA ca
   pṛthak pṛthag eva ca yugapad eva ca saṅgacchan samāliṅgaṃs tat tad	pRTak pRTak eva ca yugapad eva ca saFgacCan samAliFgan tat tat 
   aṅga saṅgataṃ svāṅgam apii na tato bhinnam aṅgīkariṣyasi |	aFga  saFgatam sva aFgam apii na tatas Binnam aFgIkarizyasi |
   [208] te ca tathā śokāpanudaṃ datta mudaṃ tvāṃ labhamānāḥ sarve janyavas	[208] te ca taTA Soka apanudam datta mudam tvAm laBamAnAH sarve janya vas
   tvad ananyaṃ manyā bhaviṣyati | [209] tathā ca gāsyate 	tvad  ananyaM m anyA Bavizyati | [209] taTA ca gAsyate 
   yadā yātaḥ kṛṣṇaḥ punar api yadūnāṃ nagaratas	yadA yAtaH kRzNaH punar api yadUnAm nagaratas
   tadā gopāḥ so' pi prati nijam adhur moda nivaham |	tadA gopAH saH a pi prati nijam aDuH moda  nivaham |
   vyatiśliṣṭā yarhi pratijanam idaṃ nājani manāg	vyatiSlizwAH yarhi pratijanam idam na ajani manAg
   ayaṃ kṛṣṇaḥ kṛṣṇaḥ kim aham iti tarhi sphuṭataram ||JGc_1,33.93||	ayam kRzNaH kRzNaH kim aham iti tarhi sPuwataram ||JGc_1,33.93||
   yataḥ 	yatas  
   yadvat kalyantimānāṃ sukṛta virahiṇāṃ satya dharmāvatāraḥ	yadvat kalyantimAnAm su kRta virahiNAm satya  Darma avatAraH
   pṛthvī sthānāṃ mahāvagraha hata vapuṣāṃ varṣukābda pracāraḥ |	pRTvI  sTAnAm mahA avagraha hata  vapuzAm varzuka abda  pracAraH |
   ākūpāra hradānāṃ muni hṛta payasāṃ navya gaṅgā prasāras	AkUpAra hradAnAm muni  hRta  payasAm navya gaFgA  prasAra H 
   tadvad goṣṭha sthitānāṃ tava viraha rujāṃ hanta te saṅga sāraḥ	tadvat gozWa  sTitAnAm tava viraha rujAm hanta te saFga sAraH
   ||JGc_1,33.94||	||JGc_1,33.94||
   [210] atha cirāya pratimāvat labdha tvat pariṣvaktiṣu vraja jana vyaktiṣu	[210] aTa cirAya pratimAvat labDa tvat  parizvaktizu vraja  jana  vyaktizu
   pūrvam avyaktībhāvam āpannā madhumaṅgala pūrṇābhyarṇā paurṇamāsī sa vṛndā	pUrvam avyaktIBAvam ApannA maDu maFgala  pUrNa aByarNA pOrNamAsI sa vRndA
   vṛndā ca samam apracchannatāṃ gacchantī tu sukha saṃmūrcchanān mūrcchām	vRndA ca samam apracCanna tAm gacCantI tu suKa  saMmUrcCanAt mUrcCAm
   iva gatābhyas tābhyaḥ sābhyasūyam iva kramād bahir vṛttiṃ yacchantī	iva gatAByaH tAByaH sa aByasUyam iva kramAt bahis vRttim yacCantI
   tad vanikāyāṃ tan nikāyam upaveśayiṣyati |	tad  vanikAyAm tan nikAyam upaveSayizyati |
   [211] tathā ca kathayiṣyanti 	[211] taTA ca kaTayizyanti 
   kṛṣṇaṃ madhya gataṃ vidhāya pitarau tad bhrātaraḥ strī gaṇās	kRzNam maDya  gatam viDAya pitarO tad  BrAtaraH strI  gaNAH 
   tan mitrāṇi kuṭumba saṃvalanayā cānye cirāt prāptitaḥ |	tan mitrANi kuwumba  saMvalanayA ca anye cirAt prAptitaH |
   muñcantaḥ sphuṭam aśru tasya sukhadaṃ cārūpa cāraṃ ciraṃ	muQcantaH sPuwam aSru tasya suKa dam ca arUpa cAram ciram
   vismṛtya sthagita kriyāḥ samabhavan mūkāś ca vaisvaryataḥ ||JGc_1,33.95||	vismRtya sTagita  kriyAH samaBavat mUkAH ca vEsvaryataH ||JGc_1,33.95||
   [212] tvaṃ tu tatra strī kumāraṃ putra pautraṃ kubja vāmanaṃ dāsī dāsam	[212] tvam tu tatra strI kumAram putra  pOtram kubja vAmanam dAsI dAsam
   api sarvaṃ yathāyathaṃ toṣayiṣyasi | [213] dārukas tu dāruvad eva	api sarvam yaTAyaTam tozayizyasi | [213] dArukaH tu dAru vat eva
   dūrasthitas tat prema vaśyatayā kautukam iva drakṣyati |	dUra sTitaH tat  prema  vaSya tayA kOtukam iva drakzyati |
   [214] tataś ca tatrāsīnā paurṇamāsī kupitevālapiṣyati ahaha kim idam	[214] tatas ca tatra AsInA pOrNamAsI kupitA iva alapizyati ahaha kim idam
   avidanta iva kurvantaḥ stha ? pathi pariśrāntam imaṃ katham iva na	avidantaH iva kurvantaH sTa ? paTi pariSrAntam imam kaTam iva na
   viśrāntaṃ kurutha |	viSrAntam kuruTaH |
   [215] tad evaṃ jāta camatkārābhyāṃ tat pariśrama kātarābhyāṃ	[215] tat evam jAta  camatkArAByAm tat  pariSrama  kAtarAByAm
   mātgara pitarābhyām ubhayataḥ	mAtgara  pitarAByAm uBayatas 
   sva sva bhajanākṛtāliṅganamaya praṇaya ceṣṭitaḥ sarvair eva ca parito	sva  sva BajanA kRta AliFganamaya  praNaya  cezwitaH sarvEH eva ca paritas 
   veṣṭitaḥ sva goṣṭha prakoṣṭha madhyaga śakaṭa ghaṭā ghaṭita vāṭam	vezwitaH sva gozWa  prakozWa  maDya ga Sa kawa  GawA  Gawita  vAwam
   avāpsyasi |	avApsyasi |
   [216] tataś ca te sarve bhavat paricaryā maya parisaryākṛtaḥ sambharamam	[216] tatas ca te sarve Bavat  paricaryA maya  parisaryA kRtaH samBaramam
   evācariṣyanti, na tu kārya kramam | tathā hi 	eva Acarizyanti, na tu kArya kramam | taTA hi 
   ||JGc_1,33.96|| MISSING!	||JGc_1,33.96|| MIH SING!
   yarhy āgantāsy aghahara cirād dvārakātas tadā te	yarhi AgantAsi aGa hara cirAt dvArakAtaH tadA te
   sarve' py ete vraja jani janā śreṣṭha madhyastha nighnāḥ |	sarve a pi ete vraja  ja ni janA SrezWa  maDya sTa  niGnAH |
   dhāvanto' pi pratidiśam aho tat tad ekaika kāryaṃ	DAvantaH a pi pratidiSam aho tat  tad  eka eka kAryam
   kurvanto' pi sthagita kṛtitām eva yāsyanti hanta ||JGc_1,33.97||	kurvantaH a pi sTagita kRti tAm eva yAsyanti hanta ||JGc_1,33.97||
   yadyapi gopāḥ samyak paricarituṃ tvāṃ na tarhi śakṣyanti |	yadi api gopAH samyak paricaritum tvAm na tarhi Sakzyanti |
   tad api na tat pramadāmṛta bhogās tvāmī sadaiva pokṣyanti ||JGc_1,33.98||	tat api na tat  pramada amRta  BogAH tvA amI sadA eva pokzyanti ||JGc_1,33.98||
   [217] tad ārabhya ca 	[217] tat AraBya ca 
   kiṃ bhoktavyaṃ kvāsitavyaṃ svapanīyaṃ kva vāmunā |	kim Boktavyam kva asitavyam svapanIyam kva vA amunA |
   iti mātrādi dhī yātrā nātrāyāsyati tṛptatām ||98||	iti mAtrA Adi  DI yAtrA na atra AyAsyati tRpta tAm ||98||
   sakhāyante sukhādhīnā vismariṣyanti sarvakam |	saKAyante suKa aDInAH vismarizyanti sarvakam |
   smariṣyanti tu tāṃ tvat kāṃ punaḥ saṃśleṣa navyatām ||JGc_1,33.99||dāsāś	smarizyanti tu tAm tu at kAm punar saMSleza navyatAm ||JGc_1,33.99||da AsAH 
   ca tava dāśārha punar āśāṃ sva mūrtiṣu |	ca tava dASArha punar ASAm sva  mUrtizu |
   dhāsyanti sevā sudhayā vidhāsyanti yad āplavam ||JGc_1,33.100||gāvaḥ	DAsyanti sevA  suDayA viDAsyanti yat Aplavam ||Ju c_1,33.100||gAvaH
   prāgvad bhavat sphūrti prabhāva sthita tad daśāḥ |	prAgvat Bavat  sPUrti  praBAva  sTita  tad  daSAH |
   tadvad eva sadaivāmūr dhāsyanti pramadaṃ tvayi ||JGc_1,33.101||śiśavaḥ	tadvat eva sadA eva amUH DAsyanti pramadam tvayi ||JGc_1,33.101||SiSavaH
   paśavaś caiva vayāṃsi ca payāṃsi ca |	paSavaH ca eva vayAMsi ca payAMsi ca |
   ye' nye hṛdyā janā hṛdyās tava teṣāṃ tu kā kathā ||JGc_1,33.102||	ye a nye hRdyAH janAH hRdyAH tava tezAm tu kA kaTAH ||JGc_1,33.102||
   [218] kūrmasyeva smaraṇānubhāvena tava tena tvadīyāḥ pūrvavad eva hi te	[218] kUrmasya iva smaraNa anuBAvena tava tena tvadIyAH pUrvavat eva hi te
   sthātāraḥ | tathaiva vrajād baladevaḥ kuśasthalīm āsādya tvayi	sTAtAraH | taTA eva vrajAt baladevaH kuSasTalIm AsAdya tvayi
   nivedayiṣyati | yathā śrī hari vaṃśe 	nivedayizyati | yaTA SrI  hari vaMSe 
   tathaivādhvaga veśena sopaśliṣṭe janārdanam |	taTA eva aDvaga veSena sa upaSlizwe janArdanam |
   pratyagra vana mālena vakṣasābhivirājatā ||	pratyagra  vana  mAlena vakzasA aBivirAjatA ||
   upaviṣṭaṃ tadā rāmaṃ papraccha kuśalaṃ vraje |	upavizwam tadA rAmam papracCa kuSalam vraje |
   bāndhaveṣu ca sarveṣu goṣu caiva janārdanaḥ ||	bAnDavezu ca sarvezu gozu ca eva janArdanaH ||
   pratyuvāca tadā rāmo bhrātaraṃ sādhu bhāṣitam |	pratyuvAca tadA rAmaH BrAtaram sADu  BAzitam |
   sarveṣāṃ kuśalaṃ kṛṣṇa yeṣāṃ kuśalam icchasi ||[HV 83.53,55 6] iti |	sarvezAm kuSalam kRzNa yezAm kuSalam icCasi ||[HV 83.53,55 6] iti |
   [219] tad evaṃ sthite' pi tadā tava sadā vrajāvasthiti pratītis tu teṣāṃ	[219] tat evam sTite a pi tadA tava sadA vraja avasTiti pratItiH tu tezAm
   nātijaniṣyate | syandanaṃ tad atra tad avastham eva sthāpitam astīty	na atijanizyate | syandanam tat atra tat  avasTam eva sTApitam asti iti 
   anāsthā bhāvanayā |	anAsTA BAvanayA |
   [220] kiṃ ca, tava savayasaḥ pravayasaḥ pratīdaṃ pratīpam āvedayiṣyanti |	[220] kim ca, tava sa vayasaH pravayasaH pratIdam pratIpam Avedayizyanti |
   priya vayasyasya nātiasaumanasyaṃ manasy abhyasyate | yato	priya vayasyasya na atiasOmanasyam manasi aByasyate | yatas 
   janitānurāga janatāsu tāsu prāg iva nānurāgaṃ jāgaram āgamayati | tāś ca	janita anurAga  jana tAsu tAsu prAk iva na anurAgam jAgaram Agamayati | tAH ca
   tathā dṛṣṭvā lagita duḥkha sthagitatayā śuṣkā iva tiṣṭhanti |	taTA dRzwvA lagi ta  duHKa  sTagita tayA SuzkAH iva tizWanti |
   [221] tad etad ākarṇayantaḥ prāpta kadanāntaratayā vivarṇavadanānte	[221] tat etat AkarNayantaH prApta kadanA antara tayA vivarNa vadana ante
   tvan mātara pitarādayaḥ kātaratām avāpsyanti |	tvan mAtara  pitara AdayaH kAtara tAm avApsyanti |
   [222] tvaṃ tu jantu mātra citta jñas tad vijñāya svayam eva tān	[222] tvam tu jantu  mAtra  citta jQaH tat vijQAya svayam eva tAn
   vijñāpayiṣyasi kathaṃ bhavanto nādyāpy ānandād udbhavanto dṛśyante | [223]	vijQApayizyasi  kaTam BavantaH na adya api AnandAt udBavantaH dRSyante | [223]
   sarve tu sagadgadaṃ gadiṣyanti asmākam ānanda kāraṇaṃ	sarve tu sa gadgadam gadizyanti  asmAkam Ananda  kAraNam
   tvad avadhāraṇa padavīṃ vindata eva |	tvad  avaDAraNa  padavIm vindate eva |
   [224] atha tvaṃ vakṣyasi bāḍhaṃ kintu yena bhavadbhiḥ sandihyate, so' yaṃ	[224] aTa tvam vakzyasi  bAXam kintu yena BavadBiH sandihyate, saH a yam
   śatāṅgaḥ sāṅga bhavat kārya saṅgamanāya saṅge rakṣitatayā lakṣyate | yathā	SatAFgaH sa aFga Bavat  kArya  saFgamanAya saFge rakzita tayA lakzyate | yaTA
   vānyathā jñāpayatha, tathā prathayiṣyāmi | etad eva prāg eva niveditaṃ	vA anyaTA jQApayaTa, taTA praTayizyAmi | etat eva prAk eva niveditam
   mayā 	mayA 
   yāta yūyaṃ vrajaṃ tāta vayaṃ ca sneha duḥkhitān |	yAta yUyam vrajam tAta vayam ca sneha  duHKitAn |
   jñātīn vo draṣṭum eṣyāmo vidhāya suhṛdāṃ sukham ||[BhP 10.45.23] iti |	jQAtIn vaH drazwum ezyAmaH viDAya suhRdAm suKam ||[Bhj 10.45.23] iti |
   [225] jñātīn iti yuṣman madhyata evāsau vāsaḥ sambhaviṣyati, draṣṭum iti	[225] jQAtIn iti yuzman maDyatas eva asO vAsaH samBavizyati, drazwum iti
   tatra ca yuṣmad darśanam evāsmākaṃ puruṣārtha ity arthaḥ | yad vā draṣṭum	tatra ca yuzmad  darSanam eva asmAkam puruza arTaH iti arTaH | yat vA drazwum
   iti darśana viṣayī bhavitum ity arthaḥ | athāpi bhūman mahimā guṇasya te	iti darSana  vizayI  Bavitum iti arTaH | aTa api BUmat mahimA guNasya te
   viboddhum arhaty amalāntarātmabhiḥ [BhP 10.14.6] ity atra	vibodDum arhati amala antarAtmaBiH [Bhj 10.14.6] iti atra
   bodha viṣayī bhavitum itivad etad uddhavena ca bhavatsu samudbuddhaṃ	boDa  vizayI  Bavitum iti vat etat udDavena ca Bavatsu samudbudDam
   cakre 	cakre 
   āgamiṣyaty adīrgheṇa kālena vrajam acyutaḥ |	Agamizyati adIrGeNa kAlena vrajam acyutaH |
