   REFERENCE SYSTEM:	RA eFA eRENCE SYSTEM:
   vyaktaye vaktrapekṣā, svārthe tu pratyāyayitavye na vaktāramapekṣante,	vyaktaye vaktrapekzA, sva arTe tu pratyAyayitavye na vaktAram apekzante,
   apauruṣeyatvāt /	apOruzeya tvAt /
   śabdārthasambandhanityatvācca /	Sabda arTa sambanDa nitya tvAt ca /
   pauruṣeyaṃ pramāṇāntarapramitagocaramāptavacanamapi vaktu'	pOruzeyam pramANa antara pramita gocaram Apta vacanam api vaktu a
   pramāṇamapekṣate /	pramANam apekzate /
   yathoktam, 'āptoktiṣu narāpekṣe'ti ||1||	yaTA uktam, aApta uktizu nara apekze ati ||1||
   prayogāntaramāha     tatkṛta ityevāntena /	prayoga antaram Aha    tad kRtaH iti eva antena /
   vaidikavākyakṛta' pratyaya' samyagiti sādhyam, nityavākyodbhavatvāt, yathā	vEdika vAkya kRta a pratyaya a samyak iti sADyam, nitya vAkya udBava tva at, yaTA
   tadvākyasvarūpaviṣayā buddhi' /	tad vAkya svarUpa vizayAH budDi a /
   sāpi hi vākyādudbhavati, nirviṣayabudhyanutpatte' /	sA api hi vAkyAt udBavati, nirvizaya buDya nutpatte a /
   vedavākyanityatā ca vedādhikaraṇe sthāpayiṣyata iti /	veda vAkya nitya tA ca veda aDikaraNe sTApayizyate iti /
   atraiva sādhye pūrvoktā'    'nānyatvāt' iti bhāṣyavyākhyānāvasara uktā'   	atra eva sADye pUrva uktA a   anAnya tvAt a iti BAzya vyAKyAna avasaraH uktA a   
   doṣavarjitai' kāraṇai' janyamānatvāt, anāptāpraṇītoktijanyatvāt,	doza varjitE a kAraNE a janyamAna tva at, anApta apraNIta ukti janya tvAt,
   deśādibhede 'pi deśādibhede 'pi bādhavarjanāt iti hetavo darśayitavyā	deSa Adi Bede api deSa Adi Bede api bADa varjanAt iti hetavaH darSayitavyA
   ityāha    atreti ||2||	iti Aha   atra iti ||2||
   atra bhāṣyam    'syādetat, naiva śabdasyārthena sambandha', kuto 'sya	atra BAzyam   asyAt etat, na eva Sabdasya arTena sambanDa a, kutas asya
   pauruṣeyatā apauruṣetā vā'iti /	pOruzeya tA apOruzetAH vA aiti /
   tasyābhiprāyamāha    nityānityabravīdantena /	tasya aBiprAyam Aha   nityAn iti abravIt antena /
   asyārtha'    śabdārthasambandhānāṃ nityatvamāśrityānapekṣatvāditi	asya arTa a   Sabda arTa sambanDAnAm nitya tvam ASritya anapekza tvAt iti
   sūtrakāreṇa yo hetu' svata' prāmāṇyasidhyarthamukta', tena	sUtrakAreNa yaH hetu a svata a prAmANya siDi arTam ukta a, tena
   codanānāmaprāmāṇye nirākṛte 'dhunā sambandhodbhavatvābhāvena paro	codanAnAm aprAmANye nirAkRte aDunA sambanDa udBava tva aBAvena paraH 
   bauddhādirmithyātvamuktavān /	bOdDAdiH miTyAtvam uktavAn /
   evaṃ ca tadā vārtikakāreṇa vṛttikāramatenātraiva svata' prāmāṇyaṃ	evam ca tadA vArtikakAreNa vRtti kAra matena atra eva svata a prAmANyam
   vyutpādyamiti darśitam /	vyutpAdyam iti darSitam /
   tathā ca 'sūtrakāreṇa cocyata' iti punaruktiparihāre parata'	taTA ca asUtra kAreNa ca ucyata a iti punarukti parihAre parata a
   paprāmāṇyoktairevākṣepahetubhi' pūrvapakṣo 'bhihita' /	paprAmANya uktEH eva Akzepa hetuBia pUrva pakzaH aBihita a /
   ihāpi ca bhāṣyakāreṇa 'brūta' ityucyate    avabodhayati budhyamānasya	iha api ca BAzya kAreNa abrUta a iti ucyate   avaboDayati buDyamAnasya
   nimittaṃ bhavati, ityādi codanāsūtroktameva svata' prāmāṇyakāraṇamuktamiti	nimittam Bavati, ityAdi codanA sUtra uktam eva svata a prAmANya kAraNam uktam iti
   mithyātvasya nirāsārthaṃ tatparairneṣyate dvayam /	miTyAtvasya nirAsa arTam tad parEH nezyate dvayam /
   naiva vāstyatra sambandha' kṛtako veti vakṣyate ||5||	na eva vA asti atra sambanDa a kRtakaH vA iti vakzyate ||5||
   asambhavena śeṣāṇāṃ saṃśleṣa' pariśipyate /	asamBavena SezANAm saMSleza a pariSipyate /
   tasminneva ca sambandhe pratītirlaulikī dhruvam ||6||	tasmin= eva ca sambanDe pratItiH lOlikI Druvam ||6||
   etadeva vivṛṇoti     sambandha iti vakṣyate 'ntena /	etat eva vivRNoti    sambanDaH iti vakzyate antena /
   codanāmithyārthanirāsārthaṃ hi sambamandhasadbhāvo nityatā ca heturukta' /	codanA miTyA arTa nirAsa arTam hi sambam anDa sadBAvaH nitya tA ca hetuH ukta a /
   tacca dvayamapi parairneṣyate /	tat ca dvayam api parEH nezyate /
   tatra sambandhābhāvastāvadanenaiva bhāṣyeṇokta' /	tatra sambanDa aBAvaH tAvat anena eva BAzyeNa ukta a /
   kṛtakatvaṃ tu 'yadi prathamamaśruto na pratyāyayati, kṛtakastarhi'	kRtaka tvam tu ayadi praTamam aSrutaH na pratyAyayati, kRtakaH tarhi a
   ityanena vakṣyate /	iti anena vakzyate /
   tadatra sambandhābhāvenānapekṣatvāditi hetorasiddhiruktā /	tat atra sambanDa aBAvena anapekza tvAt iti hetoH asidDiH uktAH /
   na cāsati sambandhe	na ca asati sambanDe
   paroktārthapratītirutpadyata iti darśitam /	para ukta arTa pratItiH utpadyate iti darSitam /
   pratibandhabale hyarthāntaradarśino 'pyarthāntare jñānamutpadyate /	pratibanDa bale hi arTa antara darSinaH api arTa antare jQAnam utpadyate /
   anādṛtapratibandhastu yatkiñcid vidvān sa sarvaṃ jānīyādityatiprasajyata	anAdRta pratibanDaH tu yat kiQcid vidvAn sa sarvam jAnIyAt iti atiprasajyata
   iti ||4,5||	iti ||4,5||
   atra bhāṣyakāreṇa kāryakāraṇabhāvādaya' sambandhā' śabdasyānupapannā	atra BAzya kAreNa kArya kAraNa BAva Adaya a sambanDAa Sabdasya anupapannA
   ityuktvā saṃśleṣasambandhabhāva eva darśita', tadetadvārtikakāro	iti uktvA saMSleza sambanDa BAvaH eva darSita a, tat etat vArtikakAraH 
   darśayati    asambhaveneti /	darSayati   asamBavena iti /
   nimittanaimittikāśrayāśrayibhāvādaya' sambandhā'	nimitta nEmittika ASraya ASrayi BAva Adaya a sambanDA a
   śabdārthayoratyantāsambhāv itā eva, kāryakāraṇabhāvastu	Sabda arTayoH atyantA samBO itA eva, kArya kAraNa BAvaH tu
   boddhagandhivaiyākaraṇairabhyupagata eva /	bodDa ganDi vEyAkaraNEH aByupagataH eva /
   te 'pyāhu'    	te api Ahu a    
   'arthā' śabdāśca dṛśyante pratyakṣā yadyapi sphuṭam /	aarTA a SabdAH ca dRSyante pratyakzA yadi api sPuwam /
   abhidhānābhidheyau tu jñānākārau tathāpi na''||	aBiDAna aBiDeyO tu jQAna AkArO taTA api na aa||
   iti /	iti /
   evaṃ hi manyante    na tāvad varṇā' śabda', pratyekamavacākatvāt /	evam hi manyante   na tAvat varNA a Sabda a, pratyekam avacAka tvAt /
   ayugapadvartināṃ cāvayavisamudāyāsarambhānupapatte' /	ayugapad vartinAm ca avayavi samudAyAsa ramBAn upapatte a /
   ata eva gośabdatvādijātyasambhavāt bhūtādiviśeṣāṇāṃ ca	atas eva go Sabda tva Adi jAtya samBavAt BUta Adi viSezANAm ca
   pratiprayogamanyatvenāvācakatvād varṇabuddhismṛtisaṃskārāṇāṃ cākṣaravat	pratiprayogam anya tvena avAcaka tvAt varNa budDi smRti saMskArANAm ca akzara vat 
   pratyākhyānāt pūrvavarṇajanitasaṃskārasahitāntyavarṇasyāpi	pratyAKyAnAt pUrva varNa janita saMskAra sahita antya varNasya api
   varṇatvenāpūrvavarṇavadavācakatvāt	varNa tvena apUrva varNa vat avAcaka tvAt 
   pūrvapūrvanikhilavarṇapadopasahārakrameṇa caramasya kasyacit sphoṭātmano	pUrva pUrva niKila varNa pada upasahAra krameNa caramasya kasyacid sPowa AtmanaH 
   'navagrahād yugapadavasthitānekavarṇākārajñānātmaiva śabda' /	anavagrahAt yugapad ava sTita aneka varNa AkAra jQAna AtmA eva Sabda a /
   artho 'pi	arTaH api
   jātivyaktyavayavāvayaviguṇaguṇivyatirekāvyatirekādivikalpadūrīkṛtani	jAti vyakti avayava avayavi guNa guNi vyatireka avyatireka Adi vikalpa dUrIkRtani
   rūpaṇo na bāhya' sambhavatīti	rUpaNaH na bAhya a samBavati iti
   jñānātmakaśabdavedanānantarotpadyamānabāhyajātyādinirbhāsparatyayamātrātmaiva	jQAna Atmaka Sabda vedanA anantara utpadyamAna bAhya jAti Adi nirBAsparatyaya mAtra AtmA eva
   tanniṣedhamata' prāha na śabdor'thena saṅgata' /	tat nizeDa m ata a prAha na Sabdor aTena saFgata a /
   taddeśānantarādṛṣṭervindhyo himavatā yathā ||7||	tad deSa anantara adRzweH vinDyaH himavatA yaTA ||7||
   evamartho dvayaṃ vāpi sādhanīyamasaṅgatam /	evam arTaH dvayam vA api sADanIyam asaFgatam /
   kṣuretyādi ca siddhyarthaṃ hetoruktamathāpara' ||8||	kzura ityAdi ca sidDi arTam hetoH uktam aTa apara a ||8||
   śaktirūpaṃ gṛhītvāha saṃśleṣo yadi vāryate /	Sakti rUpam gRhItvA Aha saMSlezaH yadi vAryate /
   samba(ndhā?ndha') siddhasādhyatvamatha sambandhamātrakam ||9||	samba(nDa a?nDa a) sidDa sADya tvam aTa sambanDa mAtrakam ||9||
   sa cāyamevambhūtor'tha' śabdena janyata eveti kāryakāraṇabhāvameva	sa ca ayam evamBUtor aTa a Sabdena janyataH eva iti kArya kAraNa BAvam eva
   śabdārthayo' sambandhamātiṣṭhante /	Sabda arTayaH a sambanDam AtizWante /
   taccedamatidūramapabhraṣṭam, evaṃ ca	tat ca idam ati dUram apaBrazwam, evam ca
   satyaviditasvarūpaśaktīnāmapyarthasaṃvidupajāyeta /	satya vidita svarUpa SaktInAm api arTa saMvid upajAyeta /
   dṛṣṭā hi khalu mṛtsalilapracchannā api vrīhayo 'ṅkurādikāryamārabhamāṇā	dRzwA hi Kalu mRd salila pracCannAH api vrIhayaH aFkura Adi kAryam AraBamANA
   aviditasvarūpaśaktayo 'pīti sūktam    asambhavena śeṣāṇāmiti /	avidita svarUpa SaktayaH api iti sUktam   asamBavena SezANAm iti /
   kathaṃ tu saṃśleṣa' pariśiṣyata iti, pratīterabhyupagamācca /	kaTam tu saMSleza a pariSizyate iti, pratIteH aByupagamAt ca /
   gaurayamiti hi sāmānādhikaraṇyena śabdopaśliṣṭamarthamavayanto laukikā	gOH ayam iti hi sAmAnADikaraNyena Sabda upaSlizwam arTam avayantaH lOkikA
   dṛśyante /	dRSyante /
   abhyupagataśca kaiścicchabdārthayo' saṃśleṣa eva sambandha' /	aByupagataH ca kEScid Sabda arTayaH a saMSlezaH eva sambanDa a /
   prapañcitaścāsāvadhyāsavāda iti /	prapaQcitaH ca asO= aDyAsa vAdaH iti /
   laukikāśca prāyeṇa saṃśleṣameva saṃbandhaṃ manyante iti sa eva sambandha'	lOkikAH ca prAyeNa saMSlezam eva saMbanDam manyante iti saH eva sambanDa a
   prasakko nirākārya ityāha    tasminniti prāhāyena bhavati sa taddeśa eva	prasakkaH nirAkArya iti Aha   tasmin= iti prAhAyena Bavati sa tad deSaH eva
   dṛśyate rañjuriva ghaṭe, tadanantaradeśe vā pradeśinīvamadhyamāyā' /	dRSyate raQjuH iva Gawe, tad anantara deSe vA pradeSinIva maDyamAyA a /
   naca ca śabdārthayoranyataradeśe vānyataro dṛśyate /	na ca ca Sabda arTayoH anyatara deSe vA anyataraH dRSyate /
   atohimavadvindhyayoriva nānayo' sambandha iti ||6,7||	atohimavat vinDyayoH iva na anayaH a sambanDaH iti ||6,7||
   artho vā pakṣīkārya ityāha   evamiti /	arTaH vA pakzIkAryaH iti Aha   evam iti /
   dvayaṃ vā parasparamasambaddhamitaretaradeśe tadanantaradeśe vādṛṣṭe'	dvayam vA parasparam asambadDam itaretara deSe tad anantara deSe vA adRzwe a
   sādhyamityāha    dvayamiti /	sADyam iti Aha   dvayam iti /
   atra bhāṣyakāreṇa 'syāccedarthena sambandha' kṣuramodakaśabdoccāraṇe	atra BAzya kAreNa asyAt ced arTena sambanDa a kzurama udaka Sabda uccAraNe
   mukhyasya pāṭanapūraṇe syātām', ityuktam /	muKyasya pAwana pUraNe syAtAm a, iti uktam /
   tasyābhiprāyamāha    kṣuretyuktamantena /	tasya aBiprAyam Aha   kzura iti uktam antena /
   asyārtha'    atra bhāṣyakāreṇa śabdārthayo' sambnadhasiddhyarthaṃ	asya arTa a   atra BAzya kAreNa Sabda arTayaH a sambnaDa sidDi arTam
   taddeśānantarādṛṣṭeriti heturantarṇīta', taṃ ca gaurayamiti	tad deSa anantara adRzweH iti hetuH antarNIta a, tam ca gOH ayam iti
   sāmānādhikaraṇyapratītibhramād yo nāmāsiddhaṃ manyate, sa evaṃ	sAmAnADikaraNya pratIti BramAt yaH nAma asidDam manyate, saH evam
   pratībodhyate    yadi śabdārthayorupaśleṣa	pratIboDyate   yadi Sabda arTayoH upaSleza
   pitāputrādisambandhairanaikānta' prasajyate /	pitAputra Adi sambanDEH anEkAnta a prasajyate /
   ekabhūmyādisambandhād dṛṣṭānte sādhyahīnatā ||10||	eka BUmi Adi sambanDAt dRzwAnte sADya hIna tA ||10||
   vācyavācakasambandhaniṣedhe lokabādhanam /	vAcya vAcaka sambanDa nizeDe loka bADanam /
   virodhaśca svavākyena na hi sambandhavarjitai' ||11||	viroDaH ca sva vAkyena na hi sambanDa varjitE a ||11||
   lakṣaṇa' sambandho bhavet, artho 'pi śabdadeśa eva syāt, mukhaṃ ca tasya	lakzaNa a sambanDaH Bavet, arTaH api Sabda deSaH eva syAt, muKam ca tasya
   deśa iti kṣuramodakaśabdoccāraṇe mukhasya pāṭanapūraṇe syātām, na ca te	deSaH iti kzurama udaka Sabda uccAraNe muKasya pAwana pUraNe syAtAm, na ca te
   sta'ṣa tasmānmodakādyarthakriyānupalambhācchabdadeśe	sta aza tasmAt modaka Adi arTa kriyA anupalamBAt Sabda deSe
   taddeśānantarādṛṣṭeriti siddho hetu' /	tad deSa anantara adRzweH iti sidDaH hetu a /
   sāmānādhikaraṇyabuddhistu śabdārthayornāstyeva /	sAmAnADikaraNya budDiH tu Sabda arTayoH na asti eva /
   na hi nīlimnevānuraktamutpalaṃ śabdānuraktamarthamupalabhāmahe /	na hi nIlimnA iva anuraktam utpalam Sabda anuraktam arTam upalaBAmahe /
   gādisāsnādimadrūpā hi tayorbuddharudeti /	gAdi sAsnA Adimat rUpA hi tayoH budDarudA iti /
   atra siddhāntabhāṣyaṃ 'yo 'tra vyapadeśya' sambandha' tadeta(tamekaṃ)nna	atra sidDAnta BAzyam ayaH atra vyapadeSya a sambanDa a tat eta(tam ekaM)t na
   vyapadiśati bhavān' ityādi /	vyapadiSati BavAn a ityAdi /
   tasyābhiprāyamāha    atheti hīnatāntena /	tasya aBiprAyam Aha   aTa iti hIna tA antena /
   atrāyamabhiprāya'     pratyāyyapratyāyakaśaktirūpo hi na' śabdārthayo'	atra ayam aBiprAya a    pratyAyya pratyAyaka Sakti rUpaH hi na a Sabda arTayaH a
   sambandho 'bhipreta', tad yadi	sambanDaH aBipreta a, tat yadi
   saṃśleṣalakṣaṇasambandhābhāva' sādhyate, tadā siddhasādhyatādoṣa' /	saMSleza lakzaNa sambanDa aBAva a sADyate, tadA sidDa sADya tA doza a /
   sambandhābhāvamātre tu yaunādisambandhairanaikāntikatvam /	sambanDa aBAva mAtre tu yOna Adi sambanDEH anEkAntika tvam /
   himavadvindhyorapi caikabhūmyādisambandhāt sādhyahīno dṛṣṭānta iti	himavat vinDyoH api ca eka BUmi Adi sambanDAt sADya hInaH dRzwAntaH iti
   yadi tu vācyavācakasambandhamevābhipretya na śabdār'thena saṅgata iti	yadi tu vAcya vAcaka sambanDam eva aBipretya na SabdAr aTena saFgataH iti
   sādhyate tato laukikavirodha ityāha   vācyeti /	sADyate tatas lOkika viroDaH iti Aha   vAcyA iti /
   dūṣaṇāntaramāha    virodha iti /	dUzaNa antaram Aha   viroDaH iti /
   atra kāraṇamāha    na hīti parāntena /	atra kAraNam Aha   na hi iti parAntena /
   ayamabhiprāya'    caturvidho hi puruṣa', pratipanno 'pratipanna' sandigdho	ayam aBiprAya a   caturviDaH hi puruza a, pratipannaH apratipanna a sandigDaH 
   viparyastaśceti /	viparyastaH ca iti /
   tatra pratipanna' pratipādayitā, itare sāpekṣā' pratipādyā',	tatra pratipanna a pratipAdayitA, itare sa apekzA a pratipAdyA a,
   tatpratipādanārthā ca pratijñā, tadya eva teṣāmanyatama' para'	tad pratipAdana arTA ca pratijQA, tat yaH eva tezAm anyatama a para a
   pratipādayitumabhipreto bhavati sa eva vācyavācakasambandhavarjitai'	pratipAdayitum aBipretaH Bavati saH eva vAcya vAcaka sambanDa varjitE a
   pratijñārthagaucarai' padai' pratipādayitumaśakya', ata' pratijñāṃ	pratijQA arTa gOcarE a padE a pratipAdayitum aSakya a, ata a pratijQAm
   prayuñjānairāśrita' śabādarthayorvācyavācakalakṣaṇasambandha iti	prayuQjAnEH ASrita a SabAdarTayoH vAcya vAcaka lakzaNa sambanDaH iti
   tanninirākaraṇe svavāgvirodha iti /	tad ninirAkaraNe sva vAc viroDaH iti /
   sa cāyamabhidhayā svavāgvirodha' /	sa ca ayam aBiDayA svavAc viroDaH a /
   pañcadhā hi tadvirodha' /	paQcaDA hi tad viroDaH a /
   uccāraṇābhidhādharmadharmyubhayoktibhiriti ||11 1/2||	uccAraNa aBiDA Darma DarmI uBaya uktiBiH iti ||11 1/2||
   pratijñārthaṃ padai' śakya' pratipādayituṃ para' /	pratijQA arTam padE a Sakya a pratipAdayitum para a /
   abhidhānakriyāyāṃ hi karmatvaṃ vācyasaṃśritam ||12||	aBiDAna kriyAyAm hi karma tvam vAcya saMSritam ||12||
   śabdānāṃ karaṇatvaṃ vā kartṛtvaṃ vā nirūpita' /	SabdAnAm karaNa tvam vA kartR tvam vA nirUpita a /
   pratipattāvupādānāt sāhitye ca vivakṣite ||13||	pratipattO= upAdAnAt sAhitye ca vivakzite ||13||
   vācyavācakasambandhasvarūpamidānīmabhidyotayati   abhidhāneti /	vAcya vAcaka sambanDa svarUpam idAnIm aBidyotayati    aBiDAna iti /
   asyārtha'    ekasyāmabhidhānakriyāyāṃ śabda' karaṇaṃ kartā vā, vivakṣāta'	asya arTa a   ekasyAm aBiDAna kriyAyAm Sabda a karaNam kartA vA, vivakzAta a
   kārakapravṛtte' /	kAraka pravRtte a /
   arthastu karmaiva /	arTaH tu karma eva /
   ato(yad?a) nayo' karmakaraṇatvaṃ (karma) kartṛtvaṃ vā /	ato(yat ?a) nayaH a karma karaNa tvam (karma) kartR tvam vA /
   nirūpita'    sambandha iti vakṣyamāṇena sambandha iti /	nirUpita a   sambanDaH iti vakzyamANena sambanDaH iti /
   yadvā    ekasyāṃ gavādyarthapratipattau sādhyamānāyāmekena	yat vA   ekasyAm gavA Adi arTa pratipattO sADyamAnAyAm ekena
   vaktropādīyamānāvaruṇaikahānīvadvivakṣitasāhityau śabdārtho yanniyamyete	vaktra upAdIyamAnA = aruNa eka hAnIva t vivakzita sAhityO Sabda arTaH yat niyamyete
   so 'nayo' sambandha ityāha    pratipattāviti /	saH anayaH a sambanDaH iti Aha   pratipattO= iti /
   upādānādityupādīyamānatayā viśeṣaṇavivakṣāṃ darśayati /	upAdAnAt iti upAdIyamAna tayA viSezaNa vivakzAm darSayati /
   upādeyasya hi viśeṣaṇaṃ vivakṣitaṃ bhavati śorivaikatvaṃ    paśunā	upAdeyasya hi viSezaNam vivakzitam Bavati SorivA eka tvaM   paSunA
   yajeteti /	yajeta iti /
   uddeśyaviśeṣaṇaṃ tvavivakṣitaṃ bhavati, yathā grahaviśeṣaṇamekatvam,	uddeSya viSezaNam tu avivakzitam Bavati, yaTA graha viSezaNam eka tvam,
   uddeśyā hi grahā', teṣu saṃmārjanavidhānāt /	uddeSyAH hi grahA a, tezu saMmArjana viDAnAt /
   iha cārthapratipattāvekasyāmupādeyau śabdārthau, paśuriva yoge /	iha ca arTa pratipattO= ekasyAm upAdeyO Sabda arTO, paSuH iva yoge /
   ato vivakṣitatamanayo' sāhityaṃ	atas vivakzitatamanayaH a sAhityam
   viśeṣaṇamityaruṇaikahāyanyorivānayorniyama' sambandha iti /	viSezaNam iti aruNa eka hAyanyoH iva anayoH niyama a sambanDaH iti /
   (natve?nve)vamaruṇaikahāyanyo' śrūyamāṇayo' sāhityavivakṣā yuktā /	(natu e?n ve)vam aruNa eka hAyanyaH a SrUyamANayaH a sAhitya vivakzA yuktAH /
   samudāye hi tatra vākyaṃ samāpyate /	samudAye hi tatra vAkyam samApyate /
   (śabdārthau tu) naiva pratītikriyā(yāṃ viśeṣa)ṇatayāśrutau, kathamanayo'	(Sabda arTO tu) na eva pratIti kriyA(yAm viSeza)Na taya aSrutO, kaTam anayaH a
   sāhityavivakṣā /	sAhitya vivakzA /
   na śrūyamāṇatā viśeṣaṇavivakṣāhetu' /	na SrUyamANa tA viSezaNa vivakzA hetu a /
   api tu arthasaṃvyavahāro 'pi hi /	api tu arTa saMvyavahAraH api hi /
   pākādau yadaudanādisthālyādi...(kriyā) vyavahāradarśanāt	pAka AdO yadA odana Adi sTAlya Adi ...(kriyA) vyavahAra darSanAt 
   anabhihitamapyarthaṃ jānāti tadā sthālyādīnāṃ vivakṣitaṃ sāhityaṃ manyate,	anaBihitam api arTam jAnAti tadA sTAlI AdInAm vivakzitam sAhityam manyate,
   katathā manvāna' svayamapi paktukāmastatsarvamāharati /	ka taTA manvAna a svayam api paktu kAmaH tat sarvam Aharati /
   evamihāpi bāla' prayojyavṛddhasya viviṣṭārthavyavahāradarśanena tadviṣayāṃ	evam iha api bAla a prayojya vRdDasya vivizwa arTa vyavahAra darSanena tad vizayAm
   buddhimanumāya śabdānantarabhāvitayā śabdakāraṇatāṃ tādavavadhārayati /	budDim anumAya Sabda anantara BAvitayA Sabda kAraNa tAm tAdavavaDArayati /
   vaktuścāsyāṃ prayojyavṛddhapratipattau darśanapārārthyāt	vaktuH ca asyAm prayojya vRdDa pratipattO darSana pArArTyAt 
   pradhānabhūtāyā(mupā)dīyamānayo' śabdārtayo' sāhityaṃ vivakṣitamiti /	praDAna BUtAyA(m upA)dIyam AnayaH a Sabda ArtayaH a sAhityam vivakzitam iti /
   evaṃ ca viditvā svayamapi parārthaprayoge sahitau śabdārthau	evam ca viditvA svayam api para arTa prayoge sahitO Sabda arTO
   hṛdayamāveśitāvupādāya śabdaṃ coccārya parapratipattiṃ bhāvayatīti sūktaṃ	hRdayam AveSitO= upAdAya Sabdam ca uccArya para pratipattim BAvayati iti sUktam
   sāhityavivakṣā varṇasāhityavivakṣāvaditi ||12 13 1/2||	sAhitya vivakzA varNa sAhitya vivakzA vat iti ||12 13 1/2||
   niyamyete tadekasyāṃ sambandha' sor'thaśabdayo' /	niyamyete tat ekasyAm sambanDa a sor aTa SabdayaH a /
   tatra yadyapyasambandha' kārakāṇāṃ parasparam ||14||	tatra yadi api asambanDa a kArakANAm parasparam ||14||
   tathāpi yatkriyā tasyāmupakāryopakāritā /	taTA api yat kriyA tasyAm upakArya upakAritA /
   tatkriyāsaṅgate' paścāt sambandha' kīrtyate tayo' ||15||	tad kriyA saFgate a paScAt sambanDa a kIrtyate tayas a ||15||
   nanvevaṃ vadatā śabdārthayo' kriyāsambandha eva darśita', na parasparam,	nanu evam vadatA Sabda arTayaH a kriyA sambanDaH eva darSita a, na parasparam,
