   Revākhaṇḍa of the Vāyupurāṇa	RevAKaNxaH of Te VAyupurANa
   tasmāt sarvaprayatnena pūjanīyo maheśvaraḥ // RKV_158.13 //	tasmAt sarva prayatnena pUjanIyaH maheSvaraH // RKV_158.13 //
   brahmacaryasthito nityaṃ yastu pūjayate śivam /	brahmacarya sTitaH nityam yaH tu pUjayate Sivam /
   iha jīvansa deveśo mṛto gacched anāmayam // RKV_158.14 //	iha jIvan sa deveSaH mRtaH gacCet anAmayam // RKV_158.14 //
   śive tu pūjite pārtha yatphalaṃ prāpyate budhaiḥ /	Sive tu pUjite pArTa yat Palam prApyate buDEH /
   yogīndre caiva tatpārtha pūjite labhate phalam // RKV_158.15 //	yogi indre ca eva tat pArTa pUjite laBate Palam // RKV_158.15 //
   te dhanyāste mahātmānas teṣāṃ janma sujīvitam /	te DanyAH te mahAtmAnaH tezAm janma su jIvitam /
   yeṣāṃ gṛheṣu bhuñjanti śivabhaktiratā narāḥ // RKV_158.16 //	yezAm gRhezu BuQjanti Siva Bakti ratAH narAH // RKV_158.16 //
   saṃnirudhyendriyagrāmaṃ yatrayatra vasenmuniḥ /	saMniruDya indriya grAmam yatra yatra vaset muniH /
   tatra tatra kurukṣetraṃ naimiṣaṃ puṣkarāṇi ca // RKV_158.17 //	tatra tatra kurukzetram nEmizam puzkarANi ca // RKV_158.17 //
   yatphalaṃ vedaviduṣi bhojite śatasaṃkhyayā /	yat Palam veda viduzi Bojite Sata saMKyayA /
   tatphalaṃ jāyate pārtha hyekena śivayoginā // RKV_158.18 //	tad Palam jAyate pArTa hi ekena Siva yoginA // RKV_158.18 //
   yatra bhuñjati bhasmāṅgī mūrkho vā yadi paṇḍitaḥ /	yatra BuQjati Basma aFgI mUrKaH vA yadi paNxitaH /
   tatra bhuñjati deveśaḥ sapatnīko vṛṣadhvajaḥ // RKV_158.19 //	tatra BuQjati deveSaH sa patnIkaH vRzaDvajaH // RKV_158.19 //
   viprāṇāṃ vedaviduṣāṃ koṭiṃ saṃbhojya yatphalam /	viprANAm veda viduzAm kowim saMBojya yat Palam /
   bhikṣāmātrapradānena tatphalaṃ śivayoginām // RKV_158.20 //	BikzA mAtra pradAnena tad Palam Siva yoginAm // RKV_158.20 //
   saṅgameśvaramāsādya prāṇatyāgaṃ karoti yaḥ /	saFgameSvaram AsAdya prANatyAgam karoti yaH /
   na tasya punarāvṛttiḥ śivalokāt kadācana // RKV_158.21 //	na tasya punarAvRttiH Siva lokAt kadAcana // RKV_158.21 //
   || iti śrīskānde mahāpurāṇa ekāśītisāhasryāṃ saṃhitāyāṃ pañcama	|| iti SrI skAnde mahApurANe ekASIti sAhasryAm saMhitAyAm paQcama
   āvantyakhaṇḍe revākhaṇḍe saṅgameśvaratīrthamāhātmyavarṇanaṃ	Avantya KaNxe revAKaNxe saFgameSvaratIrTamAhAtmya varNanam
   nāmāṣṭapañcāśadadhikaśatatamo 'dhyāyaḥ ||	nAma azwapaQcASat aDika SatatamaH aDyAyaH ||
   RKV adhyāya 159	RKV aDyAya 159
   śrīmārkaṇḍeya uvāca:	SrI mArkaNxeyaH uvAca:
   tato gacchenmahārāja tīrthaṃ paramapāvanam /	tatas gacCet mahA rAja tIrTam parama pAvanam /
   narmadāyāṃ suduṣprāpaṃ siddhaṃ hyanarakeśvaram // RKV_159.1 //	narmadAyAm su duzprApam sidDam hi anarakeSvaram // RKV_159.1 //
   tasmiṃstīrthe naraḥ snātvā pāpakarmāpi bhārata /	tasmin= tIrTe naraH snAtvA pApa karmA api BArata /
   na paśyati mahāghoraṃ narakadvārasaṃjñikam // RKV_159.2 //	na paSyati mahA Goram naraka dvAra saMjQikam // RKV_159.2 //
   yudhiṣṭhira uvāca:	yuDizWiraH uvAca:
   śubhāśubhaphalaistāta bhuktabhogā narāstviha /	SuBa aSuBa PalEH tAta Bukta BogAH narAH tu iha /
   jāyante lakṣaṇairyaistu tāni me vada sattama // RKV_159.3 //	jAyante lakzaNEH yEH tu tAni me vada sattamaH // RKV_159.3 //
   yathā nirgacchate jīvastyaktvā dehaṃ na paśyati /	yaTA nirgacCate jIvaH tyaktvA deham na paSyati /
   tathā gacchanpunardehaṃ pañcabhūtasamanvitaḥ // RKV_159.4 //	taTA gacCan punar deham paQcaBUta samanvitaH // RKV_159.4 //
   tvagasthimāṃsamedo'sṛkkeśasnāyuśataiḥ saha /	tvac asTi mAMsa medaH asRk keSa snAyu SatEH saha /
   viṇmūtraretaḥsaṅghāte kā saṃjñā jāyate nṛṇām // RKV_159.5 //	viz mUtra retaH saFGAte kA saMjQA jAyate nRNAm // RKV_159.5 //
   evamuktaḥ sa mārkaṇḍaḥ kathayāmāsa yogavit /	evam uktaH sa mArkaNxaH kaTayAmAsa yoga vid /
   dhyātvā sanātanaṃ sarvaṃ devadevaṃ maheśvaram // RKV_159.6 //	DyAtvA sanAtanam sarvam devadevam maheSvaram // RKV_159.6 //
   mārkaṇḍeya uvāca:	mArkaNxeyaH uvAca:
   śṛṇu pārtha mahāpraśnaṃ kathayāmi yathāśrutam /	SRNu pArTa mahA praSnam kaTayAmi yaTASrutam /
   sakāśādbrahmaṇaḥ pūrvamṛṣidevasamāgame // RKV_159.7 //	sakASAt brahmaNaH pUrvam Rzi deva samAgame // RKV_159.7 //
   gururātmavatāṃ śāstā rājā śāstā durātmanām /	guruH AtmavatAm SAstA rAjA SAstA durAtmanAm /
   iha pracchannapāpānāṃ śāstā vaivasvato yamaḥ // RKV_159.8 //	iha pracCanna pApAnAm SAstA vEvasvataH yamaH // RKV_159.8 //
   acīrṇaprāyaścittānāṃ yamaloke hyanekadhā /	acIrNa prAyaScittAnAm yama loke hi anekaDA /
   yātanābhirviyuktānāmanekāṃ jīvasantatim // RKV_159.9 //	yAtanABiH viyuktAnAm anekAm jIva santatim // RKV_159.9 //
   gatvā manuṣyabhāve tu pāpacihnā bhavanti te /	gatvA manuzya BAve tu pApa cihnAH Bavanti te /
   tatte 'haṃ sampravakṣyāmi śṛṇuṣvaikamanā nṛpa // RKV_159.10 //	tat te aham sampravakzyAmi SRNuzva ekamanAH nRpa // RKV_159.10 //
   sahitvā yātanāṃ sarvāṃ gatvā vaivasvatakṣayam /	sahitvA yAtanAm sarvAm gatvA vEvasvata kzayam /
   vistīrṇayātanā ye tu lokamāyānti cihnitāḥ // RKV_159.11 //	vistIrNa yAtanAH ye tu lokam AyAnti cihnitAH // RKV_159.11 //
   gadgado 'nṛtavādī syānmūkaścaiva gavānṛte /	gadgadaH anRta vAdI syAt mUkaH ca eva gavAnRte /
   brahmahā jāyate kuṣṭhī śyāvadantastu madyapaḥ // RKV_159.12 //	brahma hA jAyate kuzWI SyAva dantaH tu madyapaH // RKV_159.12 //
   kunakhī svarṇaharaṇād duḥścarmā gurutalpagaḥ /	kunaKI svarNa haraNAt duHScarmA guru talpa gaH /
   saṃyogī hīnayoniḥ syād daridro 'dattadānataḥ // RKV_159.13 //	saMyogI hIna yoniH syAt daridraH adatta dAnataH // RKV_159.13 //
   grāmaśūkaratāṃ yāti hyayājyayājako nṛpa /	grAma SUkara tAm yAti hi ayAjya yAjakaH nRpa /
   kharo vai bahuyājī syācchvānimantritabhojanāt // RKV_159.14 //	KaraH vE bahu yAjI syAt SvAni mantrita BojanAt // RKV_159.14 //
   aparīkṣitabhojī syādvānaro vijane vane /	aparIkzita BojI syAt vAnaraH vijane vane /
   vitarjako 'tha mārjāraḥ khadyotaḥ kakṣadāhataḥ // RKV_159.15 //	vitarjakaH aTa mArjAraH KadyotaH kakza dAhataH // RKV_159.15 //
   avidyāṃ yaḥ prayaccheta balīvardo bhaveddhi saḥ /	avidyAm yaH prayacCeta balIvardaH Bavet hi saH /
   annaṃ paryuṣitaṃ vipre dadānaḥ klībatāṃ vrajet // RKV_159.16 //	annam paryuzitam vipre dadAnaH klIba tAm vrajet // RKV_159.16 //
   mātsaryādatha jātyandho janmāndhaḥ pustakaṃ haran /	mAtsaryAt aTa jAti anDaH janma anDaH pustakam haran /
   phalānyāharato 'patyaṃ mriyate nātra saṃśayaḥ // RKV_159.17 //	PalAni AharataH apatyam mriyate na atra saMSayaH // RKV_159.17 //
   mṛto vānaratāṃ yāti tanmukto 'tha galāḍavān /	mRtaH vAnara tAm yAti tad muktaH aTa galAxavAn /
   adattvā bhakṣayaṃstāni hyanapatyo bhavennaraḥ // RKV_159.18 //	adattvA Bakzayan= tAni hi anapatyaH Bavet naraH // RKV_159.18 //
   haranvastraṃ bhavedgodhā garadaḥ pavanāśanaḥ /	haran vastram Bavet goDA garadaH pavanASanaH /
   pravrājī gamanād rājan bhaven marupiśācakaḥ // RKV_159.19 //	pravrAjI gamanAt rAjan Bavet maru piSAcakaH // RKV_159.19 //
   vātako jalahartā ca dhānyahartā ca mūṣakaḥ /	vAtakaH jala hartA ca DAnya hartA ca mUzakaH /
   aprāptayauvanāṃ gacchan bhavet sarpa iti śrutiḥ // RKV_159.20 //	aprApta yOvanAm gacCan Bavet sarpaH iti SrutiH // RKV_159.20 //
   gurudārābhilāṣī ca kṛkalāso bhavecciram /	guru dAra aBilAzI ca kRkalAsaH Bavet ciram /
   jalaprasravaṇaṃ yastu bhindyānmatsyo bhavennaraḥ // RKV_159.21 //	jala prasravaNam yaH tu BindyAt matsyaH Bavet naraH // RKV_159.21 //
   avikreyān vikrayan vai vikaṭākṣo bhavennaraḥ /	avikreyAn vikrayan vE vikawa akzaH Bavet naraH /
   ayonigo vṛko hi syād ulūkaḥ krayavañcanāt // RKV_159.22 //	ayaH nigaH vRkaH hi syAt ulUkaH kraya vaQcanAt // RKV_159.22 //
   mṛtasyaikādaśāhe tu bhuñjānaḥ śvopajāyate /	mRtasya ekAdaSa ahe tu BuQjAnaH SvA upajAyate /
   pratiśrutya dvijāyārtham adadan madhuko bhavet // RKV_159.23 //	pratiSrutya dvijAya arTam adadan maDukaH Bavet // RKV_159.23 //
   rājñīgamādbhavedduṣṭataskaro viḍvarāhakaḥ /	rAjQI gamAt Bavet duzwa taskaraH vixvarAhakaH /
   parivādī dvijātīnāṃ labhate kācchapīṃ tanum // RKV_159.24 //	parivAdI dvijAtInAm laBate kAcCapIm tanum // RKV_159.24 //
   vrajeddevalako rājanyoniṃ cāṇḍālasaṃjñitām /	vrajet devalakaH rAjan yonim cANxAla saMjQitAm /
   durbhagaḥ phalavikretā vṛściko vṛṣalīpatiḥ // RKV_159.25 //	durBagaH Pala vikretA vRScikaH vRzalI patiH // RKV_159.25 //
   mārjāro 'gniṃ padā spṛṣṭvā rogavānparamāṃsabhuk /	mArjAraH agnim padA spRzwvA rogavAn para mAMsa Buj /
   sodaryāgamanātṣaṇḍho durgandhaśca sugandhahṛt // RKV_159.26 //	sodarya AgamanAt zaNXaH durganDaH ca suganDa hRt // RKV_159.26 //
   grāmabhaṭṭo divākīrtir daivajño gardabho bhavet /	grAma BawwaH divAkIrtiH dEvajQaH gardaBaH Bavet /
   kupaṇḍitaḥ syānmārjāro bhaṣaṇo vyāsa eva ca // RKV_159.27 //	kupaNxitaH syAt mArjAraH BazaNaH vyAsaH eva ca // RKV_159.27 //
   sa eva dṛśyate rājanprakāśāt paramarmaṇām /	saH eva dRSyate rAjan prakASAt para marmaNAm /
   yadvā tadvāpi pārakyaṃ svalpaṃ vā yadi vā bahu // RKV_159.28 //	yat vA tat vA api pArakyam su alpam vA yadi vA bahu // RKV_159.28 //
   kṛtvā vai yonimāpnoti tairaścīṃ nātra saṃśayaḥ /	kRtvA vE yonim Apnoti tEraScIm na atra saMSayaH /
   evamādīni cānyāni cihnāni nṛpasattama // RKV_159.29 //	evamAdIni ca anyAni cihnAni nRpa sattamaH // RKV_159.29 //
   svakarmavihitānyeva dṛśyante yaistu mānavāḥ /	sva karma vihitAni eva dRSyante yEH tu mAnavAH /
   tato janma tato mṛtyuḥ sarvajantuṣu bhārata // RKV_159.30 //	tatas janma tatas mRtyuH sarva jantuzu BArata // RKV_159.30 //
   jāyate nātra sandehaḥ samībhūte śubhāśubhe /	jAyate na atra sandehaH samIBUte SuBa aSuBe /
   strīpuṃsoḥ samprayogeṇa viṣuddhe śukraśoṇite // RKV_159.31 //	strI puMsoH samprayogeNa vizudDe Sukra SoNite // RKV_159.31 //
   pañcabhūtasamopetaḥ saṣaṣṭhaḥ parameśvaraḥ /	paQcaBUta samopetaH sa zazWaH parameSvaraH /
   indriyāṇi manaḥ prāṇā jñānamāyuḥ sukhaṃ dhṛtiḥ // RKV_159.32 //	indriyANi manaH prANAH jQAnam AyuH suKam DRtiH // RKV_159.32 //
   dhāraṇaṃ preraṇaṃ duḥkhamicchāhaṅkāra eva ca /	DAraNam preraNam duHKam icCA ahaFkAraH eva ca /
   prayatna ākṛtirvarṇaḥ svaradveṣau bhavābhavau // RKV_159.33 //	prayatnaH AkRtiH varNaH svara dvezO Bava aBavO // RKV_159.33 //
   tasyedamātmanaḥ sarvamanāderādimicchataḥ /	tasya idam AtmanaH sarvam anAdeH Adim icCataH /
   prathame māsi sa kledabhūto dhātuvimūrchitaḥ // RKV_159.34 //	praTame mAsi sa kleda BUtaH DAtu vimUrCitaH // RKV_159.34 //
   māsyarbudaṃ dvitīye tu tṛtīye cendriyairyutaḥ /	mAsi arbudam dvitIye tu tRtIye ca indriyEH yutaH /
   ākāśāllāghavaṃ saukṣmyaṃ śabdaṃ śrotrabalādikam /	AkASAt lAGavam sOkzmyam Sabdam Srotra bala Adikam /
   vāyostu sparśanaṃ ceṣṭāṃ dahanaṃ raukṣyameva ca // RKV_159.35 //	vAyoH tu sparSanam cezwAm dahanam rOkzyam eva ca // RKV_159.35 //
   pittāttu darśanaṃ paktimauṣṇyaṃ rūpaṃ prakāśanam /	pittAt tu darSanam paktim OzNyam rUpam prakASanam /
   salilādrasanāṃ śaityaṃ snehaṃ kledaṃ samārdavam // RKV_159.36 //	salilAt rasanAm SEtyam sneham kledam sa mArdavam // RKV_159.36 //
   bhūmergandhaṃ tathā ghrāṇaṃ gauravaṃ mūrtimeva ca /	BUmeH ganDam taTA GrANam gOravam mUrtim eva ca /
   ātmā gṛhṇātyajaḥ pūrvaṃ tṛtīye spandate ca saḥ // RKV_159.37 //	AtmA gRhNAti ajaH pUrvam tRtIye spandate ca saH // RKV_159.37 //
   daurhṛdasyāpradānena garbho doṣamavāpnuyāt /	dOrhRdasya apradAnena garBaH dozam avApnuyAt /
   vairūpyaṃ maraṇaṃ vāpi tasmātkāryaṃ priyaṃ striyāḥ // RKV_159.38 //	vErUpyam maraNam vA api tasmAt kAryam priyam striyAH // RKV_159.38 //
   sthairyaṃ caturthe tvaṅgānāṃ pañcame śoṇitodbhavaḥ /	sTEryam caturTe tu aFgAnAm paQcame SoNita udBavaH /
   ṣaṣṭhe balaṃ ca varṇaśca nakharomṇāṃ ca sambhavaḥ // RKV_159.39 //	zazWe balam ca varNaH ca naKa romNAm ca samBavaH // RKV_159.39 //
   manasā cetanāyukto nakharomaśatāvṛtaḥ /	manasA cetanA yuktaH naKa roma Sata AvRtaH /
   saptame cāṣṭame caiva tvacāvān smṛtivān api // RKV_159.40 //	saptame ca azwame ca eva tvacAvAn smRtivAn api // RKV_159.40 //
   punargarbhaṃ punar dhātrīm enastasya pradhāvati /	punar garBam punar DAtrIm enaH tasya praDAvati /
   aṣṭame māsyato garbho jātaḥ prāṇairviyujyate // RKV_159.41 //	azwame mAsi atas garBaH jAtaH prANEH viyujyate // RKV_159.41 //
   navame daśame vāpi prabalaiḥ sūtimārutaiḥ /	navame daSame vA api prabalEH sUtimArutEH /
   nirgacchate bāṇa iva yantracchidreṇa sajvaraḥ // RKV_159.42 //	nirgacCate bANaH iva yantra= CidreNa sa jvaraH // RKV_159.42 //
   śarīrāvayavairyukto hyaṅgapratyaṅgasaṃyutaḥ /	SarIra avayavEH yuktaH hi aFga pratyaFga saMyutaH /
   aṣṭottaraṃ marmaśataṃ tatrāsthā tu śatatrayam // RKV_159.43 //	azwa uttaram marma Satam tatra AsTA tu Sata trayam // RKV_159.43 //
   sapta śiraḥkapālāni vihitāni svayambhuvā /	sapta SiraH kapAlAni vihitAni svayamBuvA /
   tisraḥ koṭyo 'rdhakoṭī ca romṇāmaṅgeṣu bhārata // RKV_159.44 //	tisraH kowyaH arDa kowI ca romNAm aFgezu BArata // RKV_159.44 //
   dvāsaptatisahasrāṇi hṛdayād abhinisṛtāḥ /	dvAsaptati sahasrANi hRdayAt aBinisRtAH /
   hitānāma hi tā nāḍyas tāsāṃ madhye śaśiprabhā // RKV_159.45 //	hitAnAma hi tAH nAxyaH tAsAm maDye SaSi praBA // RKV_159.45 //
   evaṃ pravartate cakraṃ bhūtagrāme caturvidhe /	evam pravartate cakram BUta grAme caturviDe /
   utpattiśca vināśaśca bhavataḥ sarvadehinām // RKV_159.46 //	utpattiH ca vinASaH ca BavataH sarva dehinAm // RKV_159.46 //
   gatirūrdhvā ca dharmeṇa hyadharmeṇa tvadhogatiḥ /	gatiH UrDvA ca DarmeNa hi aDarmeNa tu aDogatiH /
   jāyate sarvavarṇānāṃ svadharmacalanān nṛpa // RKV_159.47 //	jAyate sarva varNAnAm svaDarma calanAt nRpa // RKV_159.47 //
   devatve mānavatve ca dānabhogādikāḥ kriyāḥ /	deva tve mAnava tve ca dAna Boga AdikAH kriyAH /
   dṛśyante yā mahārāja tatsarvaṃ karmajaṃ phalam // RKV_159.48 //	dRSyante yA mahA rAja tat sarvam karma jam Palam // RKV_159.48 //
   svakarma vihite ghore kāmaksodhārjite śubhe /	sva karma vihite Gore kAmak soDa arjite SuBe /
   nimajjennarake ghore yasyottāro na vidyate // RKV_159.49 //	nimajjet narake Gore yasya uttAraH na vidyate // RKV_159.49 //
   uttāraṇāya jantūnāṃ narmadātaṭasaṃsthitam /	uttAraNAya jantUnAm narmadA tawa saMsTitam /
   evametanmahātīrthaṃ narakeśvaramuttamam // RKV_159.50 //	evam etat mahA tIrTam narakeSvaram uttamam // RKV_159.50 //
   narakāpahaṃ mahāpuṇyaṃ mahāpātakanāśanam /	naraka apaham mahA puNyam mahApAtaka nASanam /
   tattīrthaṃ sarvatīrthānāmuttamaṃ bhuvi durlabham // RKV_159.51 //	tat tIrTam sarva tIrTAnAm uttamam Buvi durlaBam // RKV_159.51 //
   tatra tīrthe tu yaḥ snātvā pūjayeta maheśvaram /	tatra tIrTe tu yaH snAtvA pUjayeta maheSvaram /
   mahāpātakayukto 'pi narakaṃ naiva paśyati // RKV_159.52 //	mahApAtaka yuktaH api narakam na eva paSyati // RKV_159.52 //
   tatra tīrthe tu yo dadyād dhenuṃ vaitaraṇīṃ śubhām /	tatra tIrTe tu yaH dadyAt Denum vEtaraNIm SuBAm /
   sa mucyate sukhenaiva vaitaraṇyāṃ na saṃśayaḥ // RKV_159.53 //	sa mucyate suKena eva vEtaraNyAm na saMSayaH // RKV_159.53 //
   yudhiṣṭhira uvāca:	yuDizWiraH uvAca:
   yamadvāre mahāghore yā sā vaitaraṇī nadī /	yama dvAre mahA Gore yA sA vEtaraNI nadI /
   kiṃrūpā kiṃpramāṇā sā kathaṃ sā vahati dvija // RKV_159.54 //	kiMrUpA kiMpramANA sA kaTam sA vahati dvijaH // RKV_159.54 //
   kathaṃ tasyāḥ pramucyante keṣāṃ vāsastu saṃtatam /	kaTam tasyAH pramucyante kezAm vAsaH tu saMtatam /
   keṣāṃ tu sānukūlā sā hyetadvistarato vada // RKV_159.55 //	kezAm tu sa anukUlA sA hi etat vistarataH vada // RKV_159.55 //
   śrīmārkaṇḍeya uvāca:	SrI mArkaNxeyaH uvAca:
   dharmaputra mahābāho śṛṇu sarvaṃ mayoditam /	Darmaputra mahA bAho SRNu sarvam mayA uditam /
   yā sā vaitaraṇī nāma yamadvāre mahāsarit // RKV_159.56 //	yA sA vEtaraNI nAma yama dvAre mahA sarit // RKV_159.56 //
   agādhā pārarahitā dṛṣṭamātrā bhayāvahā /	agADA pArarahitA dRzwa mAtrA Baya AvahA /
   pūyaśoṇitatoyā sā māṃsakardamanirmitā // RKV_159.57 //	pUya SoNita toyA sA mAMsa kardama nirmitAH // RKV_159.57 //
   tattoyaṃ bhramate tūrṇaṃ tāpīmadhye ghṛtaṃ yathā /	tat toyam Bramate tUrNam tApI maDye GRtam yaTA /
   kṛmibhiḥ saṅkulaṃ pūyaṃ vajratuṇḍairayomukhaiḥ // RKV_159.58 //	kRmiBiH saFkulam pUyam vajratuNxEH ayaH muKEH // RKV_159.58 //
   śiśumāraiśca makarair vajrakartarisaṃyutaiḥ /	SiSumArEH ca makarEH vajra kartari saMyutEH /
   anyaiśca jalajīvaiḥ sā suhiṃsrairmarmabhedibhiḥ // RKV_159.59 //	anyEH ca jala jIvEH sA su hiMsrEH marma BediBiH // RKV_159.59 //
   tapanti dvādaśādityāḥ pralayānta ivolbaṇāḥ /	tapanti dvAdaSa AdityAH pralaya antaH iva ulbaNAH /
   patanti tatra vai martyāḥ krandanto bhṛśadāruṇam // RKV_159.60 //	patanti tatra vE martyAH krandantaH BRSa dAruNam // RKV_159.60 //
   hā bhrātaḥ putra hā mātaḥ pralapanti muhurmuhuḥ /	hA BrAtar putra hA mAtar pralapanti muhur muhur /
   asipattravane ghore patantaṃ yo 'bhirakṣati // RKV_159.61 //	asipattravane Gore patantam yaH aBirakzati // RKV_159.61 //
   prataranti nimajjanti glāniṃ gacchanti jantavaḥ /	prataranti nimajjanti glAnim gacCanti jantavaH /
   caturvidhaiḥ prāṇigaṇairdraṣṭavyā sā mahānadī // RKV_159.62 //	caturviDEH prANi gaNEH drazwavyA sA mahA nadI // RKV_159.62 //
   taranti tasyāṃ saddānairanyathā tu patanti te /	taranti tasyAm sat dAnEH anyaTA tu patanti te /
   mātaraṃ ye na manyante hyācāryaṃ gurumeva ca // RKV_159.63 //	mAtaram ye na manyante hi AcAryam gurum eva ca // RKV_159.63 //
   avajānanti mūḍhā ye teṣāṃ vāsastu saṃtatam /	avajAnanti mUXAH ye tezAm vAsaH tu saMtatam /
   pativratāṃ sādhuśīlāmūḍhāṃ dharmeṣu niścalām // RKV_159.64 //	pativratAm sADu SIlAmUXAm Darmezu niScalAm // RKV_159.64 //
   parityajanti ye pāpāḥ saṃtataṃ tu vasanti te /	parityajanti ye pApAH saMtatam tu vasanti te /
   viśvāsapratipannānāṃ svāmimitratapasvinām // RKV_159.65 //	viSvAsa pratipannAnAm svAmi mitra tapasvinAm // RKV_159.65 //
   strībālavṛddhadīnānāṃ chidram anveṣayanti ye /	strI bAla vRdDa dInAnAm Cidram anvezayanti ye /
   pacyante tatra madhye vai krandamānāḥ supāpinaḥ // RKV_159.66 //	pacyante tatra maDye vE krandamAnAH su pApinaH // RKV_159.66 //
   śrāntaṃ bubhukṣitaṃ vipraṃ yo vighnayati durmatiḥ /	SrAntam buBukzitam vipram yaH viGnayati durmatiH /
   kṛmibhir bhakṣyate tatra yāvatkalpaśatatrayam // RKV_159.67 //	kRmiBiH Bakzyate tatra yAvat kalpa Sata trayam // RKV_159.67 //
   brāhmaṇāya pratiśrutya yo dānaṃ na prayacchati /	brAhmaNAya pratiSrutya yaH dAnam na prayacCati /
   āhūya nāsti yo brūte tasya vāsastu saṃtatam // RKV_159.68 //	AhUya na asti yaH brUte tasya vAsaH tu saMtatam // RKV_159.68 //
   agnido garadaścaiva rājagāmī ca paiśunī /	agnidaH garadaH ca eva rAja gAmI ca pESunI /
   kathābhaṅgakaraścaiva kūṭasākṣī ca madyapaḥ // RKV_159.69 //	kaTA BaFga karaH ca eva kUwa sAkzI ca madyapaH // RKV_159.69 //
   vajravidhvaṃsakaścaiva svayaṃdattāpahārakaḥ /	vajra viDvaMsakaH ca eva svayaMdatta apahArakaH /
   sukṣetrasetubhedī ca paradārapradharṣakaḥ // RKV_159.70 //	su kzetra setu BedI ca para dAra praDarzakaH // RKV_159.70 //
   brāhmaṇo rasavikretā vṛṣalīpatireva ca /	brAhmaNaH rasa vikretA vRzalI patiH eva ca /
   gokulasya tṛṣārtasya pālībhedaṃ karoti yaḥ // RKV_159.71 //	go kulasya tRzA Artasya pAlI Bedam karoti yaH // RKV_159.71 //
   kanyābhidūṣakaścaiva dānaṃ dattvā tu tāpakaḥ /	kanyA aBidUzakaH ca eva dAnam dattvA tu tApakaH /
   śūdrastu kapilāpānī brāhmaṇo māṃsabhojanī // RKV_159.72 //	SUdraH tu kapilApAnI brAhmaNaH mAMsa BojanI // RKV_159.72 //
   ete vasanti satataṃ mā vicāraṃ kṛthā nṛpa /	ete vasanti satatam mA vicAram kRTAH nRpa /
   sānukūlā bhavedyena tac chṛṇuṣva narādhipa // RKV_159.73 //	sa anukUlA Bavet yena tat SRNuzva narADipa // RKV_159.73 //
   ayane viṣuve caiva vyatīpāte dinakṣaye /	ayane vizuve ca eva vyatIpAte dinakzaye /
   anyeṣu puṇyakāleṣu dīyate dānamuttamam // RKV_159.74 //	anyezu puNya kAlezu dIyate dAnam uttamam // RKV_159.74 //
   kṛṣṇāṃ vā pāṭalāṃ vāpi kuryādvaitaraṇīṃ śubhām /	kRzNAm vA pAwalAm vA api kuryAt vEtaraNIm SuBAm /
   svarṇaśṛṅgīṃ rūpyakhurāṃ kāṃsyapātrasya dohinīm // RKV_159.75 //	svarNa SRFgIm rUpya KurAm kAMsya pAtrasya dohinIm // RKV_159.75 //
   kṛṣṇavastrayugācchannāṃ saptadhānyasamanvitām /	kRzNa vastra yuga AcCannAm sapta DAnya samanvitAm /
   kuryātsadroṇaśikhara āsīnāṃ tāmrabhājane // RKV_159.76 //	kuryAt sa droNa SiKaraH AsInAm tAmra BAjane // RKV_159.76 //
