   1. (avidyāpratyayāḥ saṃskārāḥ)	1. (avidyA-pratyayAH saMskArAH)
   DhskM 21r13. -mi dhvajāhṛtā yathā tāvad rājā ajitaṃ jayaṃ jitam adhyāvasan	Dhskm 21r13. -mi Dvaja-AhRtAH yaTA tAvat rAjA ajitam jayam jitam aDyAvasan
   yathā gṛhītikām utsṛjati / tatra puruṣo rājñaḥ śirodhvajaṃ kṛtvā striyaṃ	yaTA gRhItikAm utsRjati / tatra puruzaH rAjQaH SiraH-Dvajam kRtvA striyam
   kumārikāṃ vāharati iyaṃ me bhāryā bhaviṣyati prajāpatī sa tasya bhāryā ///	kumArikAm vA-Aharati iyam me BAryA Bavizyati prajApatI sa tasya BAryA ///
   DhskM 21v1. cchandavāsinī katamā yā strī svayā śraddhayā svena premṇā	Dhskm 21v1. cCandavAsinI katamA yA strI svayA SradDayA svena premNA
   svena prasādena puruṣam upasaṃkramyaivam āha / āryaputro me svāmī bhavaty	svena prasAdena puruzam upasaMkramya-evam Aha / Arya-putraH me svAmI Bavati-
   aham āryaputrasya bhāryā bhaviṣyāmi / prajāpatī iyam ucyate cchandavāsinī	aham Arya-putrasya BAryA BavizyAmi / prajApatI iyam ucyate cCandavAsinI
   / paṭavāsinī ///	/ pawa-vAsinI ///
   DhskM 21v2. -pasaṃkramyaivam āha āryaputro me bhaktācchādanam	Dhskm 21v2. -pasaMkramya-evam Aha Arya-putraH me Bakta-AcCAdanam
   anuprayacchatv ahaṃ āryaputrasya bhāryā bhaviṣyāmi prajāpatī iyam ucyate	anuprayacCatu aham Aryaputrasya BAryA BavizyAmi prajApatI iyam ucyate
   paṭavāsinī / samajīvikā katamā / yā strī puruṣam upasaṃkramyaivam āha ///	pawavAsinI / sama-jIvikA katamA / yA strI puruzam upasaMkramya-evam Aha ///
   DhskM 21v3. dhanaṃ tad ekadhye sannicayaṃ gacchatu ye cāsmākaṃ krīḍatāṃ	Dhskm 21v3. Danam tat ekaDye sannicayam gacCatu ye ca-asmAkam krIxatAm
   ramatāṃ paricārayatāṃ putrā bhaviṣyanti pautrā vā te 'smākaṃ mṛtānāṃ	ramatAm paricArayatAm putrAH Bavizyanti pOtrAH vA te asmAkam mRtAnAm
   kālagatānāṃ śrāddham anupradāsyanti sā tasya bhāryā bhavati prajāpatī ///	kAlagatAnAm SrAdDam anupradAsyanti sA tasya BAryA Bavati prajApatI ///
   DhskM 21v4. .. .. .ikī // mātṛrakṣiteti yasyā striyāḥ kumārikāyā vā pitā	Dhskm 21v4. .. .. .ikI // mAtR-rakzitA-iti yasyAH striyAH kumArikAyAH vA pitA
   svāmī vā unmatto bhavati kṣiptacittaḥ pararāṣṭraṃ paraviṣayaṃ vā niṣpalāno	svAmI vE unmattaH Bavati kzipta-cittaH para-rAzwram para-vizayam vA nizpalAnaH-
   bhavati sā mātur antike prativasati sa mātṛ ///	Bavati sA mAtuH antike prativasati sa mAtR ///
   DhskM 21v5. gopitā sugopitā mātrapare apratisaṃviditaṃ kāmeṣu cāritram	Dhskm 21v5. gopitA su-gopitA mAtra-pare apratisaMviditam kAmezu cAritram
   āpatsyanta iti iyam ucyate mātṛrakṣitā / yathā mātṛrakṣitā evaṃ	Apatsyante iti iyam ucyate mAtR-rakzitA / yaTA mAtR-rakzitA evam
   pitṛrakṣitā // bhrātṛrakṣitā katamā / yasya striyāḥ ///	pitR-rakzitA // BrAtR-rakzitA katamA / yasya striyAH ///
   DhskM 21v6. mātāpitarau svāmī vā mṛto bhavati kālagataḥ unmatto vā bhavati	Dhskm 21v6. mAtA-pitarO svAmI vA mRtaH Bavati kAlagataH unmattaH vA Bavati
   kṣiptacittaḥ pararāṣṭraṃ paraviṣayaṃ niṣpalāno bhavati sā bhrātur antike	kzipta-cittaH para-rAzwram para-vizayam nizpalAnaH Bavati sA BrAtuH antike
   prativasati sā bhrātrā rakṣitā ///	prativasati sA BrAtrA rakzitA ///
   DhskM 21v7. sugopitā mātrapare apratisaṃviditaṃ kāmeṣu cāritram āpatsyanta	Dhskm 21v7. su-gopitA mAtra-pare apratisaMviditam kAmezu cAritram Apatsyanta
   iti iyam ucyate bhrātṛrakṣitā / yathā bhrātṛrakṣitā evaṃ bhaginīrakṣitā //	iti iyam ucyate BrAtR-rakzitA / yaTA BrAtR-rakzitAH evam BaginI-rakzitAH //
   śvaśrūrakṣitā katamā + + ///	SvaSrU-rakzitA katamA + + ///
   DhskM 21v8. p.ā mātāpitarau svāmī vā mṛto bhavati kālagata unmatto vā	Dhskm 21v8. p.A mAtA-pitarO svAmI vA mRtaH Bavati kAlagataH unmattaH vA
   bhavati kṣiptacittaḥ pararāṣṭraṃ paraviṣayaṃ vā niṣpalāno bhavati sā	Bavati kzipta-cittaH para-rAzwram para-vizayam vA nizpalAnaH Bavati sA
   śvaśrvā antike prativasati vasava- ///	SvaSrvAH antike prativasati vasava ///
   DhskM 21v9. trasya sā śvaśrvā rakṣitā bhavati surakṣitā gopitā sugopitā	Dhskm 21v9. trasya sA SvaSrvA rakzitA Bavati su-rakzitA gopitA su-gopitA
   mātrapare apratisaṃviditaṃ kāmeṣu cāritram āpatsyanta iti iyam ucyate	mAtra-pare apratisaMviditam kAmezu cAritram Apatsyante iti iyam ucyate
   śvaśrūrakṣitā // yathā śvaśrūrakṣitā ///	SvaSrU-rakzitAH // yaTA SvaSrU-rakzitAH ///
   DhskM 21v10. jñātirakṣitā katamā / jñātaya ucyante yāvad ā saptamaṃ	Dhskm 21v10. jQAti-rakzitA katamA / jQAtayaH ucyante yAvat A saptamam
   mātāmahaṃ pitāmahaṃ yugam upādāya yasyā striyaḥ kumārikāyā vā pūrvavat* //	mAtAmaham pitAmaham yugam upAdAya yasyAH striyaH kumArikAyAH vA pUrvavat* //
   jātirakṣitā katamā / jātaya ucyante ///	jAti-rakzitA katamAH / jAtayaH ucyante ///
   DhskM 22r1. vaiśyāḥ śūdrāḥ yasyā striyāḥ kumārikāyā vā pūrvavat* //	Dhskm 22r1. vESyAH SUdrAH yasyAH striyAH kumArikAyAH vA pUrvavat* //
   gotrarakṣitā katamā / gotrā ucyante kautsā vātsāś śāṇḍilyā bhāradvājā	gotra-rakzitA katamAH / gotrAH ucyante kOtsAH vAtsAH SANxilyA BAradvAjA
   upapaṃcakāḥ yasyā striyāḥ kumārikāyā vā mātā ///	upapaMcakAH yasyAH striyAH kumArikAyAH vA mAtA ///
   DhskM 22r2. kālagataḥ unmattaḥ kṣiptacittaḥ vedanābhitunno vā pararāṣṭraṃ	Dhskm 22r2. kAlagataH unmattaH kzipta-cittaH vedanA-aBitunnaH vA para-rAzwram
   paraviṣayaṃ vā niṣpalāno bhavati sā gotrāṇām antike prativasati gotrai	para-vizayam vA nizpalAnaH Bavati sA gotrANAm antike prativasati gotrE
   rakṣitā bhavati surakṣitā gopitā ///	rakzitA Bavati su-rakzitAH gopitA ///
   DhskM 22r3. apratisaṃviditaṃ kāmeṣu cāritram āpatsyanta iti iyam ucyate	Dhskm 22r3. apratisaMviditam kAmezu cAritram Apatsyante iti iyam ucyate
   gotrarakṣitā // sadaṇḍā iti yā sā bhavati gūḍhikā na evaṃ yathā veśī nāpy	gotra-rakzitAH // sa-daNxAH iti yA sA Bavati gUXikA na evam yaTA veSI na-api-
   evaṃ yathā kulastrī saced enaṃ rājā jānīyāt tāṃ + ///	evam yaTA kula-strI saced enam rAjA jAnIyAt tAm + ///
   DhskM 22r4. -dhnīyād vā pravāsayed vā hiraṇyadaṇḍaṃ vānupradāpayed iyaṃ	Dhskm 22r4. -DnIyAt vA pravAsayet vA hiraNya-daNxam vA-anupradApayet iyam
   ucyate sadaṇḍāḥ / sāvaraṇā iti yathā tāvad āryeṇa vā āryaputreṇa vā āvṛtā	ucyate sa-daNxAH / sa-AvaraNAH iti yaTA tAvat AryeNa vA Arya-putreNa vA AvRtA
   bhavaty api khalu yā etāḥ pa + + ///	Bavati api Kalu yAH etAH paH + + ///
   DhskM 22r5. -varaṇāḥ sadaṇḍāvaraṇāḥ kiṃ kāraṇam atonidānaṃ hi puruṣo	Dhskm 22r5. -varaNAH sa-daNxa-AvaraNAH kim kAraNam atonidAnam hi puruzaH-
   'dhigacchati vadhaṃ vā bandhanaṃ vā jyāniṃ vā grahaṇaṃ vā // antato	aDigacCati vaDam vA banDanam vA jyAnim vA grahaNam vA // antatas-
   mālāguṇaparikṣiptā apīti yathā tāva- ///	mAlAguNa-parikziptA api-iti yaTA tAva ///
   DhskM 22r6. kaṇṭheguṇena vā candanacūrṇena vā vilepanapuṭena vā	Dhskm 22r6. kaNWeguNena vA candana-cUrNena vA vilepana-puwena vA
   anyatamānyatamena vā kenacit pratigṛhītā bhavati iyam ucyate	anyatama-anyatamena vA kenacid pratigRhItA Bavati iyam ucyate
   mālāguṇaparikṣiptā // api khalu sarv. + ///	mAlAguNa-parikziptAH // api Kalu sarv. + ///
   DhskM 22r7. -riṇī bhikṣuṇikā carikā parivrājikā vratapadadharmajīvinī	Dhskm 22r7. -riNI BikzuNikA carikA parivrAjikA vrata-pada-Darma-jIvinI
   yathā tāvat puruṣaḥ svāṃ prajāpatīm anujānīte gaccha bhadre cara	yaTA tAvat puruzaH svAm prajApatIm anujAnIte gacCa Badre cara
   brahmacaraṃs (sic) tasyā tena vratasamādā .. ///	brahmacaran (sic) tasyAH tena vrata-samAdAH .. ///
   DhskM 22r8. -ya saṃsparśaṃ samāpadyate dvayadvayasamāpattiṃ vāpadyate	Dhskm 22r8. -ya saMsparSam samApadyate dvaya-dvaya-samApattim vA-Apadyate
   kāmamithyācārāṃ svaṃ vā punar pāram anaṅge vijñapayann āpadyate	kAma-miTyA-AcArAm svam vA punar pAram anaFge vijQapayan Apadyate
   kāmamithyācāraṃ / asmāt kāmamithyācārā ///	kAma-miTyA-AcAram / asmAt kAma-miTyA-AcArAH ///
   DhskM 22r9. bhavaty uparato virataḥ saṃvṛtaḥ tatra yā akriyā akaraṇam	Dhskm 22r9. Bavati uparataH virataH saMvRtaH tatra yAH akriyAH akaraNam
   anācāro 'nadhyāpattir anadhyāpadanaṃ velā setur vairamaṇī sthitir	anAcAraH anaDyApattiH anaDyApadanam velA setuH vEramaNI sTitiH-
   anatikramo 'vyatikramaṇatā tad ya ///	anatikramaH avyatikramaNa-tA tat yaH ///
   DhskM 22r10. -mithyācārād vairamaṇiḥ śikṣāpadam iti // ṛ // yāvajjīvaṃ	Dhskm 22r10. -miTyA-AcArAt vEramaNiH SikzA-padam iti // R // yAvat-jIvam
   mṛṣāvādād vairamaṇir upāsakasya śikṣāpadam iti mṛṣāvādaḥ katamaḥ evaṃ hy	mRzAvAdAt vEra-maNiH upAsakasya SikzA-padam iti mRzAvAdaH katamaH evam hi-
   uktaṃ bhagavatā ///	uktam BagavatA ///
   DhskM 22v1. sa sabhāgato vā parṣanmadhyagato vā rājakulamadhyagato vā	Dhskm 22v1. sa saBA-gataH vA parzad-maDya-gataH vA rAja-kula-maDya-gataH vA
   yuktakulamadhyagato vā jñātikulamadhyagato vā sākṣīpṛṣṭaḥ san haṃ bhoḥ	yukta-kula-maDya-gataH vA jQAti-kula-maDya-gataH vA sAkzI-pRzwaH san ham BoH
   puruṣa yaj jānīṣe tad vada yan na jānīṣe tan mā vocaḥ ///	puruza yat jAnIze tat vada yat na jAnIze tat mA vocaH ///
   DhskM 22v2. tan mā vocaḥ so 'jānaka eva saṃjānāmīty āha / apaśyaka eva	Dhskm 22v2. tat mA vocaH saH ajAnakaH eva saMjAnAmi-iti Aha / apaSyakaH eva
   saṃpaśyāmīty āha / jānann ena san na jānāmīty āha paśyann eva san* na	saMpaSyAmi-iti Aha / jAnan ena san na jAnAmi-iti Aha paSyan eva san* na
   paśyāmīty āha ity ātmaheto paraheto āmiṣakiṃcitka ///	paSyAmi-iti Aha iti Atma-heto para-hetaH Amiza-kiMcid-kaH ///
   DhskM 22v3. mṛṣāvādād aprativirato bhavatīty asmān mṛṣāvādād anārato	Dhskm 22v3. mRzAvAdAt aprativirataH Bavati-iti asmAt mRzAvAdAt anArato
   bhavaty anuparataḥ avirato 'prativirataḥ tatrasthas tena samanvāgataḥ	Bavati anuparataH avirataH aprativirataH tatrasTaH tena samanvAgataH
   tenāha mṛṣāvādī khalu bhavatīti / sabhāgato veti ///	tena-Aha mRzAvAdI Kalu Bavati-iti / saBA-gataH vA-iti ///
   DhskM 22v4. -bhā rāṣṭrasabhā ca / tatrāsau gataś ca bhavati samāgataś ca /	Dhskm 22v4. -BA rAzwra-saBA ca / tatra-asO gataH ca Bavati samAgataH ca /
   samavahitaḥ saṃmukhībhūtaḥ tenāha sabhāgata iti // parṣadgato veti	samavahitaH saMmuKIBUtaH tena-Aha saBA-gataH iti // parzad-gataH vA-iti
   catasraḥ parṣadaḥ tadyathā kṣatriyaparṣad brāhmaṇa ///	catasraH parzadaH tat-yaTA kzatriya-parzat brAhmaNa ///
   DhskM 22v5. -rṣat tatrāsau gataś ca bhavati samāgataś ca samavahitaḥ	Dhskm 22v5. -rzat tatra-asO gataH ca Bavati samAgataH ca samavahitaH
   saṃmukhībhūtaḥ tenāha parṣadgata iti // rājakulamadhyagato veti āha	saMmuKIBUtaH tena-Aha parzad-gataH iti // rAja-kula-maDya-gataH vA-iti Aha
   rājāmātyapariṣat sanniṣaṇṇā bhavati ///	rAjA-amAtya-parizad sannizaNNA Bavati ///
   DhskM 22v6. -ti samāgataś ca samavahitaḥ saṃmukhībhūtaḥ tenāha	Dhskm 22v6. -ti samAgataH ca samavahitaH saMmuKIBUtaH tena-Aha
   rājakulamadhyagata iti // yuktakulamadhyagato veti yuktaparṣat sanniṣaṇṇā	rAja-kula-maDya-gataH iti // yukta-kula-maDya-gataH vA-iti yukta-parzad sannizaNNA
   bhavati sannipatitā tatrāsau ///	Bavati sannipatitA tatra-asO ///
   DhskM 22v7. -hitaḥ saṃmukhībhūtaḥ tenāha yuktakulamadhyagata iti //	Dhskm 22v7. -hitaH saMmuKIBUtaH tena-Aha yukta-kula-maDya-gataH iti //
   jñātikulamadhyagato veti āha jñātayaḥ sanniṣaṇṇā bhavanti sannipatitā	jQAti-kula-maDya-gataH vA-iti Aha jQAtayaH sannizaNNAH Bavanti sannipatitA
   tatrāsau gataś ca bhavati ///	tatra-asO gataH ca Bavati ///
   DhskM 22v8. saṃmukhībhūtaḥ tenāha jñātikulamadhyagata iti // sākṣīpṛṣṭaḥ	Dhskm 22v8. saMmuKIBUtaH tena-Aha jQAti-kula-maDya-gataH iti // sAkzI-pRzwaH
   sann iti sākṣī adhīṣṭaḥ sann āsādito vā nipātitaḥ / haṃ bho puruṣa iti	san iti sAkzI aDIzwaH san AsAditaH vA nipAtitaH / ham Bo puruzaH iti
   upaihi upagaccha yatne .. ///	upEhi upagacCa yatne .. ///
   DhskM 22v9. -ya prajñapaya prasthāpaya prakāśaya yatne na dṛṣṭaṃ na śrutaṃ	Dhskm 22v9. -ya prajQapaya prasTApaya prakASaya yatne na dRzwam na Srutam
   na mataṃ na vijñātaṃ taṃ mā vakṣva mā deśaya mā prajñapaya mā prasthāpaya	na matam na vijQAtam tam mA vakzva mA deSaya mA prajQapaya mA prasTApaya
   mā prakāśaya / so 'jānann eva saṃjā + ///	mA prakASaya / saH ajAnan eva saMjA + ///
   DhskM 22v10. -mīty āha / śrotravijñānānubhūtaṃ śrotravijñānaprativijñaptaṃ	Dhskm 22v10. -mi-iti Aha / Srotra-vijQAna-anuBUtam Srotra-vijQAna-prativijQaptam
   sa vinidhāya saṃjñāṃ vinidhāya kṣāntiṃ ruciṃ matiṃ prekṣāṃ dṛṣṭiṃ na me	sa viniDAya saMjQAm viniDAya kzAntim rucim matim prekzAm dRzwim na me
   śrutam ity āha / evam ajānann eva sañjānāmīty āha ///	Srutam iti Aha / evam ajAnan eva saQjAnAmi-iti Aha ///
   18. (maitrī cetaḥsamadhiḥ)	18. (mEtrI ca-itaH-samaDiH)
   (DhskD 26r1) + + + + + + payikaṃ pratirūpaṃ pradakṣiṇam ni + + + ṃga	(DhskD 26r1) + + + + + + payikam pratirUpam pradakziNam ni + + + Mga
   saṃbhāraṃ / etac cittam eṣā tāvan maitrī cetaḥsamādhir iti vaktavyā /	saMBAram / etat cittam ezA tAvat mEtrI ca-itaH-samADiH iti vaktavyA /
   tathā samāpannasya yac cittaṃ manovijñānam idam ucyate maitrīsahagatam	taTA samApannasya yat cittam manaH-vijQAnam idam ucyate mEtrI-sahagatam
   cittaṃ / yā cetanā saṃcetanā (DhskD 26r2) abhisaṃcetanā cetitaṃ	cittam / yA cetanA saMcetanA (DhskD 26r2) aBisaMcetanA cetitam
   cetanāgataṃ cittābhisaṃskārā manaskarma idam ucyate maitrīsahabhuvaṃ karma	cetanA-gatam citta-aBisaMskArAH manaskarma idam ucyate mEtrI-sahaBuvam karma
   / yaś cetaso 'dhimokṣo 'dhimuktir adhimucyanatāyam ucyate maitrīsahabhuvo	/ yaH cetasaH aDimokzaH aDimuktiH aDimucyanatA-ayam ucyate mEtrI-sahaBuvaH-
   'dhimokṣaḥ / yad api tathā samāpannasya (DhskD 26r3) vedanā vā saṃjñā vā	aDimokzaH / yat api taTA samApannasya (DhskD 26r3) vedanA vA saMjQA vA
   cchando vā sneho vā manasikāro vā smṛtir vā samādhir vā prajñā vā itīme	cCandaH vA snehaH vA manasikAraH vA smRtiH vA samADiH vA prajQA vA iti-ime
   'pi dharmā maitrīsahabhuvaḥ / tat sarva ime dharmā maitrī cetaḥsamādhir	api DarmAH mEtrI-sahaBuvaH / tat sarve ime DarmA mEtrI ca-itaH-samADiH-
   iti vaktavyāḥ /	iti vaktavyAH /
   maitrī khalu bhavec cetaḥsamādhir dvividhaḥ (DhskD 26r4) parīttaś	mEtrI Kalu Bavet ca-itaH-samADiH dviviDaH (DhskD 26r4) parIttaH-
   cāpramāṇaś ca /	ca-apramANaH ca /
   kataraḥ prayogaḥ parīttasya maitrasya cetaḥsamādheḥ / kathaṃ prayuktaś ca	kataraH prayogaH parIttasya mEtrasya ca-itaH-samADeH / kaTam prayuktaH ca
   punaḥ parīttaṃ maitraṃ cetaḥsamādhiṃ saṃāpadyate / āha /	punar parIttam mEtram ca-itaH-samADim saMApadyate / Aha /
   yathā khalv ihaikatyasya ye satvā bhavantīṣṭāḥ kāntā + + + + manaāpās	yaTA Kalu iha-ekatyasya ye satvAH Bavanti-izwAH kAntA + + + + manaA-apAs
   (DhskD 26r5) tadyathā mātā vā pitā vā bhrātā vā bhaginī vā anyatamānyatamo	(DhskD 26r5) tat-yaTA mAtA vA pitA vA BrAtA vA BaginI vA anyatama-anyatamaH-
   vā mitrajñātisālohito vā / ebhiḥ parīttaiḥ satvaiḥ parīttaṃ	vA mitra-jQAti-sa-AlohitaH vA / eBiH parIttEH satvEH parIttam
   maitrīsahabhuvaṃ cittam āsthāpayaty upasthāpayati damayati (DhskD 26r6)	mEtrI-sahaBuvam cittam AsTApayati upasTApayati damayati (DhskD 26r6)
   śamayatu vyupaśamayati ekotīkurute samādadhāti / tasyaibhiḥ parīttaiḥ	Samayatu vyupaSamayati ekotIkurute samAdaDAti / tasya-eBiH parIttEH
   satvaiḥ parīttaṃ maitrīsahabhuvaṃ cittaṃ āsthāpayataḥ saṃsthāpayata	satvEH parIttam mEtrI-sahaBuvam cittam AsTApayataH saMsTApayata
   upasthāpayato damayataḥ śamayato vyupaśamayataḥ (DhskD 26r7) ekotīkurvataḥ	upasTApayataH damayataH SamayataH vyupaSamayataH (DhskD 26r7) ekotIkurvataH
   samādadhataḥ tac cittaṃ vikṣipyati visarati vidhāvati naikotībhavati na	samAdaDataH tat cittam vikzipyati visarati viDAvati na-ekotIBavati na
   ekāgrā smṛtiḥ saṃtiṣṭhate / parīttaṃ sukhitā bata satvā iti yad asya tac	ekAgrA smRtiH saMtizWate / parIttam suKitAH bata satvAH iti yat asya tat-
   cittaṃ vikṣipyati visarati vidhāvati (DhskD 26r8) na ekotībhavati na	cittam vikzipyati visarati viDAvati (DhskD 26r8) na ekotIBavati na
   ekāgrā smṛtiḥ saṃtiṣṭhate / parīttaṃ sukhitā bata satvā iti na ekāgratā	ekAgrA smRtiH saMtizWate / parIttam suKitAH bata satvAH iti naH ekAgra-tA
   parīttaṃ maitraṃ cetaḥsamādhiḥ samāpanna / iti vaktavyaṃ /	parIttam mEtram ca-itaH-samADiH samApannaH / iti vaktavyam /
   sa tac cittaṃ vikṣipyantaṃ visarantaṃ vidhāvantaṃ tasminn evopasaṃharati	sa tat cittam vikzipyantam visarantam viDAvantam tasmin eva-upasaMharati
   (DhskD 26r9) / tad eva nimittaṃ manasikurute / parīttaṃ sukhitā bata satvā	(DhskD 26r9) / tat eva nimittam manasikurute / parIttam suKitA bata satvA
   iti evaṃ manasikurvato yad vīryaṃ yo vyāyāmo niṣkramaḥ parākramaḥ sthāma	iti evam manasikurvataH yat vIryam yaH vyAyAmaH nizkramaH parAkramaH sTAma
   āraṃbha utsāha utsūdhir apratiśrabdhi + + + + + + + + + (DhskD 26r10) tad	AraMBaH utsAhaH utsUDiH apratiSrabDi + + + + + + + + + (DhskD 26r10) tat-
   yaḥ ayaṃ prayogaḥ parīttasya maitrasya cetaḥsamādheḥ evaṃ prayuktaś ca	yaH ayam prayogaH parIttasya mEtrasya ca-itaH-samADeH evam prayuktaH ca
   punaḥ parīttaṃ maitraṃ cetaḥsamādhiṃ samāpadyate /	punar parIttam mEtram ca-itaH-samADim samApadyate /
   sa tam utpannaṃ mārgam āsevayati bhāvayati bahulīkurute tasya imaṃ mārgam	sa tam utpannam mArgam Asevayati BAvayati bahulIkurute tasya imam mArgam
   (DhskD 26v1) āsevayato bhāvayato bahulīkurvataḥ tac cittam āsthihati	(DhskD 26v1) AsevayataH BAvayataH bahulIkurvataH tat cittam AsTihati
   saṃsthihati upasthihati ekotībhavati samāvarte / yataś ca tac cittaṃ	saMsTihati upasTihati ekotIBavati samAvarte / yatas ca tat cittam
   sthitaṃ ca bhavati saṃsthitaṃ copasthitam cādvayaṃ cāparihīṇaṃ ca parīttaṃ	sTitam ca Bavati saMsTitam ca-upasTitam ca-advayam ca-aparihINam ca parIttam
   sukhitā bata satvā iti (DhskD 26v2) etāvat parīttaṃ maitraṃ cetaḥsamādhiṃ	suKitAH bata satvAH iti (DhskD 26v2) etAvat parIttam mEtram cetaH-samADim
   samāpanna / iti vaktavyaṃ / tathā samāpannasya yac cittaṃ manovijñānam	samApan-naH / iti vaktavyam / taTA samApannasya yat cittam manaH-vijQAnam
   idam ucyate parīttaṃ maitrīsahabhuvaṃ / citte yā cetanā vistareṇa yāvad /	idam ucyate parIttam mEtrI-sahaBuvam / citte yA cetanA vistareNa yAvat /
   ime 'pi dharmā parīttamaitrīsahabhuvaḥ (DhskD 26v3) te sarva ime dharmāḥ	ime api DarmAH parItta-mEtrI-saha-BuvaH (DhskD 26v3) te sarve ime DarmAH
   parīttaṃ maitraṃ cetaḥsamādhir iti vaktavyāḥ /	parIttam mEtram ca-itaH-samADiH iti vaktavyAH /
   kataraḥ prayogo 'pramāṇasya maitrasya cetaḥsamādheḥ / kathaṃ prayuktaś ca	kataraH prayogaH apramANasya mEtrasya ca-itaH-samADeH / kaTam prayuktaH ca
   punar apramāṇaṃ maitraṃ cetaḥsamādhiṃ samāpadyate / yad evābhyaste parītte	punar apramANam mEtram ca-itaH-samADim samApadyate / yat eva-aByaste parItte
   (DhskD 26v4) maitre cetaḥsamādhau taṃ cittaṃ damayitvā kārayitvāsvedayitvā	(DhskD 26v4) mEtre cetaH-samADO tam cittam damayitvA kArayitvA-svedayitvA
   parisvedayitvā ṛjukṛtvā mṛdu karmaṇīyaṃ ārjjavam āśravaṃ vidheyaṃ /	parisvedayitvA Rju-kRtvA mRdu karmaNIyam Arjjavam ASravam viDeyam /
   tataḥ paścād apramāṇaṃ sukhitā bata satvā iti śanaiḥ spharati pūrvāṃ	tatas paScAt apramANam suKitAH bata satvAH iti SanEs sParati pUrvAm
   dakṣiṇāṃ (DhskD 26v5) paścimām uttarāṃ diśaṃ tasyāpramāṇaṃ sukhitā bata	dakziNAm (DhskD 26v5) paScimAm uttarAm diSam tasya-apramANam suKitAH bata
   satvā / iti spharataḥ pūrvāṃ diśaṃ dakṣiṇāṃ paścimām uttarāṃ diśaṃ tac	satvAH / iti sParataH pUrvAm diSam dakziNAm paScimAm uttarAm diSam tat-
   cittaṃ vikṣipyati visarati vidhāvati na ekotībhhavati na ekāgrā (DhskD	cittam vikzipyati visarati viDAvati naH ekotIBhavati naH ekAgrA (DhskD
   26v6) smṛtiḥ saṃtiṣṭhate / apramāṇaṃ sukhitā bata satvā iti yato 'sya tac	26v6) smRtiH saMtizWate / apramANam suKitAH bata satvAH iti yatas asya tat-
   cittaṃ vikṣipyati vistareṇa yāvat* / tāvatāpramāṇaṃ maitrī cetaḥsamādhiḥ	cittam vikzipyati vistareNa yAvat* / tAvatA-pramANam mEtrI ca-itaH-samADiH
   samāpanna iti vaktavyaṃ / sa tac cittaṃ vikṣipyantaṃ (DhskD 26v7)	samApannaH iti vaktavyam / sa tat cittam vikzipyantam (DhskD 26v7)
   visarantaṃ vidhāvantaṃ tasminn evopasaṃharati / tad eva manasikurute /	visarantam viDAvantam tasmin eva-upasaMharati / tat eva manasikurute /
