   atha prathamo 'dhyāyaḥ	aTa praTamaH aDyAyaH
   jāṃbūnadaṃ śātakuṃbhaṃ hāṭakaṃ vaiṇavaṃ tathā // BhS_35.354 //	jAMbUnadam SAtakuMBam hAwakam vENavam taTA // BhH _35.354 //
   śruṅgī ca śuktijaṃ caiva jātarūpamataḥ param /	SruFgI ca Sukti jam ca eva jAtarUpam atas param /
   rasaviddhaṃ tathā proktamākarodgatamityapi // BhS_35.355 //	rasa vidDam taTA proktam Akarot gatam iti api // BhH _35.355 //
   proktaṃ bahuvidhaṃ hema pūrvātpūrvātparaṃ param /	proktam bahuviDam hema pUrvAt pUrvAt param param /
   pratyuptāni viśeṣeṇa ratnairnāvāvidhairhareḥ // BhS_35.356 //	pratyuptAni viSezeNa ratnEH na AvAviDEH hareH // BhH _35.356 //
   bhūṣaṇānyarpayedbhaktyā mitrāṇyasya navagrahāḥ /	BUzaNAni arpayet BaktyA mitrANi asya nava grahAH /
   rājaśriyaṃ ca bhuktvā nte viṣṇulokaṃ sa gacchati // BhS_35.357 //	rAja Sriyam ca BuktvA nte vizNu lokam sa gacCati // BhH _35.357 //
   upavītaṃ tu yo dadyātsauvarṇaistantubhiḥ kṛtām /	upavItam tu yaH dadyAt sOvarNEH tantuBiH kRtAm /
   dvijottamassyādvijñānī brahmalokamavāpnuyāt // BhS_35.358 //	dvijottama ssyAt vijQAnI brahma lokam avApnuyAt // BhH _35.358 //
   sālagrāmaiśca bahubhirnirmitāṃ mālikāṃ tu yaḥ /	sAlagrAmEH ca bahuBiH nirmitAm mAlikAm tu yaH /
   arpayeddevadevasya sa viṣṇoryāti sannidhim // BhS_35.359 //	arpayet devadevasya sa vizNoH yAti sanniDim // BhH _35.359 //
   lakṣmīḥ priyatamā viṣṇossā hi nityānapāyinī /	lakzmIH priyatamA vizNoH sA hi nitya anapAyinI /
   svasaṃkālpānuviddhā ca śaktissarvātmikā parā // BhS_35.360 //	sva saMkAlpa anuvidDA ca Saktissarva AtmikA parAH // BhH _35.360 //
   prakṛtermūlabhūtā ca svāminī jagatāṃ satām /	prakRteH mUla BUtA ca svAminI jagatAm satAm /
   lakṣmīpratikṛtiṃ kṛtvā maṇimuktādibhirmunā // BhS_35.361 //	lakzmI pratikRtim kRtvA maNi muktA AdiBiH munA // BhH _35.361 //
   ābadhya mālikāyāṃ yo deveśāya samarpayet /	AbaDya mAlikAyAm yaH deveSAya samarpayet /
   tasya prasannau jāyete daṃpatī jagataḥ patī // BhS_35.362 //	tasya prasannO jAyete daMpatI jagataH patI // BhH _35.362 //
   mātrāṃ ca devadesya datvā haste viśeṣataḥ /	mAtrAm ca devadesya datvA haste viSezataH /
   sarvān kāmānavāpnoti carāṃśastarpito hareḥ // BhS_35.363 //	sarvAn kAmAn avApnoti cara aMSaH tarpitaH hareH // BhH _35.363 //
   madhuparkaṃ harerdadyādbhaktyā prītikaraṃ hareḥ /	maDuparkam hareH dadyAt BaktyA prIti karam hareH /
   virajāṃ' barasaṃvītaśśaśāṅkadhavalo mudā // BhS_35.364 //	virajAM a bara saMvItaH SaSAFka DavalaH mudA // BhH _35.364 //
   candralokādhipo bhūtvā yāyādviṣṇupadaṃ mahat /	candra loka aDipaH BUtvA yAyAt vizNu padam mahat /
   havirni vedya devasya pratiṣṭhāphalamaśnute // BhS_35.365 //	haviH ni vedya devasya pratizWA Palam aSnute // BhH _35.365 //
   prabhūtaṃ vinivedyaiva jīrṇoddhāraphalaṃ tathā /	praBUtam vinivedya eva jIrNa udDAra Palam taTA /
   pāyasaṃ vinidedyaiva harerbhaktyā viśeṣataḥ // BhS_35.366 //	pAyasam vinidedya eva hareH BaktyA viSezataH // BhH _35.366 //
   payohradaiśca pitarastṛptimāyānti tasyatu /	payaH hradEH ca pitaraH tRptim AyAnti tasyatu /
   kṛsaraṃ vinivedyaiva devasya mudito naraḥ // BhS_35.367 //	kRsaram vinivedya eva devasya muditaH naraH // BhH _35.367 //
   akṣayaṃ pratipadyeta svagṛhe 'nnaṃ ciraṃ ciram /	akzayam pratipadyeta sva gRhe annam ciram ciram /
   gaulyaṃ nivedya devasya prāpnoti guḍaparvatān // BhS_35.368 //	gOlyam nivedya devasya prApnoti guxa parvatAn // BhH _35.368 //
   mudgānnasya pradānena mudgarāśiṃ samāpnuyāt /	mudga annasya pradAnena mudga rASim samApnuyAt /
   yavodanasya donena nīrogo bhavati dhruvam // BhS_35.369 //	yavodanasya donena nIrogaH Bavati Druvam // BhH _35.369 //
   śuddhānnasya pradānena triśuddhā bhavati prajā /	SudDa annasya pradAnena tri SudDA Bavati prajAH /
   apūpādipradānena manasvī jāyate naraḥ // BhS_35.370 //	apUpa Adi pradAnena manasvI jAyate naraH // BhH _35.370 //
   upadaṃśādidānena nopadaṃśo bhaviṣyati? /	upadaMSa Adi dAnena na upadaMSaH Bavizyati? /
   sugandhi svādu śuddhaṃ ca pānīyaṃ yo harerdadet // BhS_35.371 //	suganDi svAdu SudDam ca pAnIyam yaH hareH dadet // BhH _35.371 //
   havirdānaphalasyārdhaṃ phalaṃ samyak samaśnute /	haviH dAna Palasya arDam Palam samyak samaSnute /
   kadalyā nārikelasya cūtasya panasasya ca // BhS_35.372 //	kadalyA nArikelasya cUtasya panasasya ca // BhH _35.372 //
   phalāni ca nupakvāni bhaktyā śuddhāni yo dadet /	PalAni ca nupakvAni BaktyA SudDAni yaH dadet /
   havirdānāccaturbhāgaṃ phalaṃ so 'pi samāpnuyāt // BhS_35.373 //	haviH dAnAt catur BAgam Palam saH api samApnuyAt // BhH _35.373 //
   karpūrailālavaṅgaiśca tathā jātīphalādibhiḥ /	karpUra elA lavaFgEH ca taTA jAtIPala AdiBiH /
   mātuluṅgaphalaiśśuddhaissupakvaiśca yutaṃ tathā // BhS_35.374 //	mAtuluFga PalEH SudDEH su pakvEH ca yutam taTA // BhH _35.374 //
   tāṃbūlaṃ kramukairyuktaṃ mukhavāsaṃ ca yo dadet /	tAMbUlam kramukEH yuktam muKa vAsam ca yaH dadet /
   sarvaiśvaryamavāpnoti viṣṇulokaṃ ca gacchati // BhS_35.375 //	sarva ESvaryam avApnoti vizNu lokam ca gacCati // BhH _35.375 //
   vidhinā balimārādhya kārayedyaḥ pradakṣiṇam /	viDinA balim ArADya kArayet yaH pradakziNam /
   balaṃ balavatāṃ labdhvā viṣṇulokaṃ sa gacchati // BhS_35.376 //	balam balavatAm labDvA vizNu lokam sa gacCati // BhH _35.376 //
   baliṃ seveta yo bhaktyā so 'pi yajñaphalaṃ labhet /	balim seveta yaH BaktyA saH api yajQa Palam laBet /
   devasya maṇḍapaṃ kuryādgandhapuṣpaiḥ prapāntuvā // BhS_35.377 //	devasya maNxapam kuryAt ganDa puzpEH prapAntuvA // BhH _35.377 //
   sarvaiśvaryamavāpyaiva nityapuṣpaphalaṃ vrajet /	sarva ESvaryam avApya eva nitya puzpa Palam vrajet /
   viṣṇoḥ kathāstu saṃkīrtyastotraiḥ stutvā ca vaiṣṇavaiḥ // BhS_35.378 //	vizNoH kaTAH tu saMkIrti astotrEH stutvA ca vEzNavEH // BhH _35.378 //
   śrutvābhaktyā hariṃ dhyāyan viṣṇuloke mahīyate /	SrutvA aBaktyA harim DyAyan vizNu loke mahIyate /
   saumyān puṇyānimān viṣṇoścaturo 'pyarcanāvidhīn // BhS_35.379 //	sOmyAn puNyAn imAn vizNoH caturaH api arcanA viDIn // BhH _35.379 //
   śrāvayedyo budho bhaktyā tathā yaśśruṇuyādapi /	SrAvayet yaH buDaH BaktyA taTA yaH SruNuyAt api /
   sarvapāpavinirmuktā vaiṣṇavaṃ padamāpnuyuḥ // BhS_35.380 //	sarva pApa vinirmuktAH vEzNavam padam ApnuyuH // BhH _35.380 //
   athotsavādikaraṇe phalaṃ vakṣye madhudviṣaḥ /	aTa utsava Adi karaNe Palam vakzye maDudvizaH /
   sakāmānāṃ phalaṃ kāmyamakāmānāṃ paraṃ padam // BhS_35.381 //	sa kAmAnAm Palam kAmyam akAmAnAm param padam // BhH _35.381 //
   utsavaṃ tu pravakṣyanti devadevārcanāṃ surāḥ /	utsavam tu pravakzyanti deva deva arcanAm surAH /
   utsāha utsavaḥ prokto manuṣyāṇāṃ viśeṣetaḥ // BhS_35.382 //	utsAhaH utsavaH proktaH manuzyANAm viSeza itas // BhH _35.382 //
   udityutkṛṣṭaśabdo 'yaṃ savo yajña udāhṛtaḥ /	uditi utkRzwa SabdaH ayam savaH yajQaH udAhRtaH /
   tasmāduttamayajñatvādutsavaḥ paribhāṣyate // BhS_35.383 //	tasmAt uttama yajQa tvAt utsavaH pariBAzyate // BhH _35.383 //
   vājimedhāstayāgānāṃ tasmāddevotsavo varaḥ /	vAjimeDAH tayAgAnAm tasmAt deva utsavaH varaH /
   utsavaṃ devadevasya yaḥ kuryātsvakulaṃ svakam // BhS_35.384 //	utsavam devadevasya yaH kuryAt sva kulam svakam // BhH _35.384 //
   uttārayan svayaṃ viṣṇossa yāti paramaṃ padam /	uttArayan svayam vizNoH sa yAti paramam padam /
   savāduttāraṇaṃ yasmādutsavaḥ parikīrtyate // BhS_35.385 //	sa vAduttAraNam yasmAt utsavaH parikIrtyate // BhH _35.385 //
   sa yajño vo narān yuṣmānuttārayati niścayam /	sa yajQaH vaH narAn yuzmAn uttArayati niScayam /
   iti vedā vadantīti sa utsava udīrya te // BhS_35.386 //	iti vedAH vadanti iti saH utsave udIrya te // BhH _35.386 //
   vājīmedhasahasreṇa yajato yatphalaṃ bhavet /	vAjImeDa sahasreNa yajataH yat Palam Bavet /
   yaścotsavena yajate tayostulyaṃ phalaṃ nmṛtam // BhS_35.387 //	yaH ca utsavena yajate tayoH tulyam Palam nmRtam // BhH _35.387 //
   yāgānāmapi sarveṣāṃ phalamutsavakarmaṇā /	yAgAnAm api sarvezAm Palam utsava karmaNA /
   devasyāśnuvate sarvaṃ ye yajante saṃśayaḥ // BhS_35.388 //	devasya aSnuvate sarvam ye yajante saMSayaH // BhH _35.388 //
   savānutkramate yasmāttasmādutsava uchyate /	savAn utkramate yasmAt tasmAt utsavaH uCyate /
   upakurvanti ye martyā devasyotsavakarmaṇi // BhS_35.389 //	upakurvanti ye martyAH devasya utsava karmaNi // BhH _35.389 //
   karmāṇā manasā vācā te 'pi yānti phalaṃ bahu /	karmANA manasA vAcA te api yAnti Palam bahu /
   grāme vā ragare va'pi pattane vā mahotsavaḥ // BhS_35.390 //	grAme vA ragare va api pattane vA mahA utsavaH // BhH _35.390 //
   yatra pravartate viṣṇossaṃpadassanti tatra vai /	yatra pravartate vizNossaMpadassanti tatra vE /
   yatra deśe janapade rāṣṭre vā pyutsavo hareḥ // BhS_35.391 //	yatra deSe janapade rAzwre vA pyutsavaH hareH // BhH _35.391 //
   nāpamṛtyubhayaṃ tatra naināvagrahasaṃbhavaḥ /	na apamRtyu Bayam tatra na ena avagraha saMBavaH /
   naiva corādyupahatirna tāpatrayasaṃgatiḥ // BhS_35.392 //	na eva cora Adi upahatiH na tApa traya saMgatiH // BhH _35.392 //
   dharmaścatuṣpādvarteta kalau tatrādimo yugaḥ /	DarmaH catuzpAd varteta kalO tatra AdimaH yugaH /
   dhārmikaśca bhavedrājā prajā dharmaparāyaṇāḥ // BhS_35.393 //	DArmikaH ca Bavet rAjA prajAH Darma parAyaNAH // BhH _35.393 //
   bhavanti sukhinassarve sarvaduḥkhavivarjitāḥ /	Bavanti suKina ssarve sarva duHKa vivarjitAH /
   mahotsave vartamāne yadarthibhyaḥ pradīyate // BhS_35.394 //	mahA utsave vartamAne yad arTiByaH pradIyate // BhH _35.394 //
   pānīyamannaṃ vastraṃ vā tatsahasraguṇaṃ bhavet /	pAnIyam annam vastram vA tad sahasraguNam Bavet /
   puṣpamulaphalairijyā devasyābharaṇādikaiḥ // BhS_35.395 //	puzpa mula PalEH ijyAH devasya ABaraNa AdikEH // BhH _35.395 //
   kriyamāṇā yathāśakti nityānantyāya kalpate /	kriyamANAH yaTASakti nitya AnantyAya kalpate /
   sevante tatra ye devamaharniśamatandritāḥ // BhS_35.396 //	sevante tatra ye devam aharniSama tandritAH // BhH _35.396 //
   teṣāṃ puṇyaphalaṃ vaktuṃ nālaṃ devāssahāsurāḥ /	tezAm puNya Palam vaktum na alam devAssaha asurAH /
   ālepanaṃ mārjanaṃ ca rajaḥ praśamanaṃ tathā // BhS_35.397 //	Alepanam mArjanam ca rajaH praSamanam taTA // BhH _35.397 //
   vāribhīrdīpikāropaṃ kṣvelanāsphoṭanādikam /	vAriBIH dIpikA Aropam kzvelanA sPowana Adikam /
   kurvantiye brāhmalokaṃ prayāntyamaradurlabham // BhS_35.398 //	kurvantiye brAhma lokam prayAnti amara durlaBam // BhH _35.398 //
   yānaṃ vahanti ye viprāste yānti brahmaṇaḥ padam /	yAnam vahanti ye viprAH te yAnti brahmaNaH padam /
   rathaṃ vahanti ye cāśvāste 'pi yāntisurālayam // BhS_35.399 //	raTam vahanti ye ca aSvAH te api yAnti sura Alayam // BhH _35.399 //
   chatrādidhāriṇaścāpi modante divi mānavāḥ /	Catra Adi DAriNaH ca api modante divi mAnavAH /
   ācāryāścārcakāścaiva tathaiva paricārakāḥ // BhS_35.400 //	AcAryAH ca arcakAH ca eva taTA eva paricArakAH // BhH _35.400 //
   utsave 'dhikṛtā viṣṇoḥ prāpnuvanti yathepsitam /	utsave aDikRtAH vizNoH prApnuvanti yaTA Ipsitam /
   ṛco yajūṃṣi sāmāni ye tatrādhīyate janāḥ // BhS_35.401 //	RcaH yajUMzi sAmAni ye tatra ADIyate janAH // BhH _35.401 //
   te pare vyomni devasya pārśve vartanti nisspṛhāḥ /	te pare vyomni devasya pArSve vartanti nisspRhAH /
   sarvaśāntikaraṃ sarvaduḥkhotsādanamuttamam // BhS_35.402 //	sarva SAnti karam sarva duHKa utsAdanam uttamam // BhH _35.402 //
   rājño rāṣṭrasya sukhadamāyurārogya vardhanam /	rAjQaH rAzwrasya suKa dam AyuH Arogya varDanam /
   prajānāṃ vāsudevasya kalyāṇārādhanaṃ mahat // BhS_35.403 //	prajAnAm vAsudevasya kalyANa ArADanam mahat // BhH _35.403 //
   imaṃ devādayassarve viṣṇorutsavamuttamam /	imam deva Adayassarve vizNoH utsavam uttamam /
   kṛtvā śāśvatikaṃ sthānaṃ prāpnuvantyatidurlabham // BhS_35.404 //	kRtvA SASvatikam sTAnam prApnuvanti ati durlaBam // BhH _35.404 //
   atha vakṣye viśeṣeṇa mahāsnapanajaṃ phalam /	aTa vakzye viSezeNa mahA snapana jam Palam /
   yena dravyeṇa deveśaṃ snāpayedyastubhaktitaḥ // BhS_35.405 //	yena dravyeNa deveSam snApayet yastu BaktitaH // BhH _35.405 //
   taddravyaṃ varthate tasya naśyaṃ tyevāśubhāni tu /	tat dravyam varTate tasya naSyam ti eva aSuBAni tu /
   rājño rāṣṭrasya taddravyaṃ samṛddhyaiva bhaviṣyati // BhS_35.406 //	rAjQaH rAzwrasya tat dravyam samRdDyA eva Bavizyati // BhH _35.406 //
   aśubhāni vinaśyanti śūbhāni prabhavanti ca /	aSuBAni vinaSyanti SUBAni praBavanti ca /
   nirmāti yaḥprapāṃ viṣṇordevasya nnapanāya vai // BhS_35.407 //	nirmAti yaH prapAm vizNoH devasya nnapanAya vE // BhH _35.407 //
   tasya nirmīyate gehassvarge svarganivāsibhiḥ /	tasya nirmIyate geha ssvarge svarga nivAsiBiH /
   mṛdbhissaṃsnāpanādbhūmissarvasasyānvitā bhavet // BhS_35.408 //	mRdBissaMsnApanAt BUmiH sarva sasya anvitA Bavet // BhH _35.408 //
   nagaiḥ pradakṣiṇādeva gotrasya sthitirāpyate /	nagEH pradakziNAt eva gotrasya sTitiH Apyate /
   dhānyaissaṃsnāpanādviṣṇordhānyānāṃ vṛddhirāpyate // BhS_35.409 //	DAnyEH saMsnApanAt vizNoH DAnyAnAm vRdDiH Apyate // BhH _35.409 //
   aṅkurairarcanādviṣṇoḥ prajāvṛddhirbhaviṣyati /	aFkurEH arcanAt vizNoH prajA vRdDiH Bavizyati /
   maṅgalaiḥ pūjanātsarvamaṅgalāni bhavanti vai // BhS_35.410 //	maFgalEH pUjanAt sarva maFgalAni Bavanti vE // BhH _35.410 //
   snāpanātpañcabhirgavyaiḥ pāpaṃ saśyati sarvadhā /	snApanAt paQcaBiH gavyEH pApam saSyati sarvaDA /
   ghṛtena snāpanādbhuyātsāmādhyayanajaṃ phalam // BhS_35.411 //	GRtena snApanAt BuyAt sAma aDyayana jam Palam // BhH _35.411 //
   kṣīreṇa snāpayedviṣṇuṃ gāśca kṣīravatīriyāt /	kzIreNa snApayet vizNum gAH ca kzIravatIH iyAt /
   madhunā snāpayedviṣṇuṃ madhusyandi bhavedvacaḥ // BhS_35.412 //	maDunA snApayet vizNum maDusyandi Bavet vacaH // BhH _35.412 //
   dadhnā saṃsnāpayeddevamacchaṃ tasya bhavedyaśaḥ /	daDnA saMsnApayet devam acCam tasya Bavet yaSaH /
   gandhodasnāpanādviṣṇossarvasaṃpadvṛtobhavet // BhS_35.413 //	ganDa uda snApanAt vizNossarva saMpad vRta uBavet // BhH _35.413 //
   snāpayedakṣatodaistu prajā tasyākṣatā bhavet /	snApayet akza todEH tu prajA tasya akzatA Bavet /
   phalodakasnāpanena śubhānīyātphalāni tu // BhS_35.414 //	Pala udaka snApanena SuBAnIyAt PalAni tu // BhH _35.414 //
   snāpanāttu kuśodena brahmavarcasamāpnuyāt /	snApanAt tu kuSodena brahmavarcasam ApnuyAt /
   ratnodakasnāpanena maṇiratnādi vardhayet // BhS_35.415 //	ratna udaka snApanena maNi ratna Adi varDayet // BhH _35.415 //
   japyodakasya snānena sarvajāpaphalaṃ labhet /	japya udakasya snAnena sarva jApa Palam laBet /
   bhavantyoṣadhayassarvāssarvauṣadhyudakāplavāt // BhS_35.416 //	Bavanti ozaDayas sarvAH sarva ozaDi udaka AplavAt // BhH _35.416 //
   puṇyapuṣpārcanenaiva puṇyavān jāyate naraḥ /	puNya puzpa arcanena eva puNyavAn jAyate naraH /
   cūrṇaiśśrīveṣṭakādīnīmarpaṇādvṛddhirāyuṣaḥ // BhS_35.417 //	cUrNEH SrIvezwaka AdInIm arpaNAt vRdDiH AyuzaH // BhH _35.417 //
   udvartanātkaṣāyeṇa cūrṇenāvāpyate ruciḥ /	udvartanAt kazAyeNa cUrNena avApyate ruciH /
   tīrthodasnāpanenaiva tīrthayātrāphalaṃ bhavet // BhS_35.418 //	tIrTa uda snApanena eva tIrTa yAtrA Palam Bavet // BhH _35.418 //
   vanauṣadhībhissaṃsparśādbhavennityamarogatā /	vana ozaDI BissaMsparSAt Bavet nityam arogatA /
   hāridracūrṇasnānena prīto bhavati cācyutaḥ // BhS_35.419 //	hAridra cUrNa snAnena prItaH Bavati ca acyutaH // BhH _35.419 //
   mārjanātsarvagandhaiśca śrīrbhavatyacalā calā /	mArjanAt sarva ganDEH ca SrIH Bavati acalA calAH /
   mārjanānmūlagandhaiśca kulamedheta nityaśaḥ // BhS_35.420 //	mArjanAt mUla ganDEH ca kulameDeta nityaSas // BhH _35.420 //
   dhātubhiścāpyalaṅkārāddhātuvṛddhirbhaviṣyati /	DAtuBiH ca api alaFkArAt DAtu vRdDiH Bavizyati /
   anyairanuktairvā yastudravyaiḥ snāpanakarmaṇi // BhS_35.421 //	anyEH anuktEH vA yaH tu dravyEH snApana karmaNi // BhH _35.421 //
   upatiṣṭhejjagadyoniṃ phalaṃ prāpnoti vistṛtam /	upatizWet jagadyonim Palam prApnoti vistRtam /
   yastu kuryājjaladroṇīṃ snānapīṭhaṃ ca śārṅgiṇaḥ // BhS_35.422 //	yaH tu kuryAt jala droNIm snAna pIWam ca SArFgiNaH // BhH _35.422 //
   sa sarvaiḥ pūjyayānantu pīṭhe cātyunna te vaset /	sa sarvEH pUjyayAnantu pIWe ca ati unna te vaset /
   evaṃ yassnapanaṃ viṣṇoḥ kārayecchaktito naraḥ // BhS_35.423 //	evam yassnapanam vizNoH kArayet Saktitas naraH // BhH _35.423 //
   yathoktānīha labdhvaivaphalāni suciraṃ bhuvi /	yaTA uktAni iha labDvA eva PalAni su ciram Buvi /
   ante vimāsamāruhya haimaṃ devaiḥ parīvṛtaḥ // BhS_35.424 //	ante vimAsam Aruhya hEmam devEH parIvRtaH // BhH _35.424 //
   kinnarairapsarobhiśca nṛttairgeyaiśca tarpitaḥ /	kinnarEH apsaroBiH ca nRttEH geyEH ca tarpitaH /
   yakṣairvṛto 'tha gandharvaistsūyāmāno mudānvitaḥ // BhS_35.425 //	yakzEH vRtaH aTa ganDarvEH t sUyAmAnaH mudA anvitaH // BhH _35.425 //
   sarvalokātparaṃ puṇyaṃ vaikuṇṭhaṃ lokamāpnuyāt /	sarva lokAt param puNyam vEkuNWam lokam ApnuyAt /
   devadevasya viṣṇostu snapanaṃ bhaktimāṃstu yaḥ // BhS_35.426 //	devadevasya vizNoH tu snapanam BaktimAn= tu yaH // BhH _35.426 //
   seveta so 'pi pāpmabhyo mucyate nātra saṃśayaḥ /	seveta saH api pApmaByaH mucyate na atra saMSayaH /
   snāpanāntetu deveśasyotsavaṃ yaśca kārayet // BhS_35.427 //	snApana an tetu deveSasya utsavam yaH ca kArayet // BhH _35.427 //
   prajāvṛddhiṃ śriyaṃ sphārāṃ samāpnoti viśeṣataḥ /	prajA vRdDim Sriyam sPArAm samApnoti viSezataH /
   utsavaṃ sevateyastu so 'pi yajñaphalaṃ labhet // BhS_35.428 //	utsavam sevateyaH tu saH api yajQa Palam laBet // BhH _35.428 //
   viṣṇupañcadine yastu deveśaṃ snāpayetprabhum /	vizNu paQca dine yaH tu deveSam snApayet praBum /
   tasya syānmahatī saṃpatpaśuputrādi sammitā // BhS_35.429 //	tasya syAt mahatI saMpad paSu putra Adi sammitAH // BhH _35.429 //
   grahaṇe viṣuve tadvatsaṃkramādiṣu caivahi /	grahaNe vizuve tadvat saMkrama Adizu ca eva hi /
   anyeṣvapi ca puṇyeṣu kāryeṣu jagataḥ prabhum // BhS_35.430 //	anyezu api ca puNyezu kAryezu jagataH praBum // BhH _35.430 //
   snāpayedyaśca seveta phalamāpnoti so 'pi saḥ /	snApayet yaH ca seveta Palam Apnoti saH api saH /
   yaḥ kuryādvaiṣṇavaṃ dhāma bhaktiśraddhāsamanvitaḥ // BhS_35.431 //	yaH kuryAt vEzNavam DAma Bakti SradDA samanvitaH // BhH _35.431 //
   khaṇḍite sphaṭite dhāmni dūṣite ca sūdhādibhiḥ /	KaNxite sPawite DAmni dUzite ca sUDa AdiBiH /
   samādadhyātpunardhāma sa lokaṃ yāti vaiṣṇavaṃ // BhS_35.432 //	samAdaDyAt punar DAma sa lokam yAti vEzNavam // BhH _35.432 //
   corairapahṛte biṃbeyaḥ kuryātpratimāṃ punaḥ /	corEH apahRte biMbeyaH kuryAt pratimAm punar /
   sthāpayedbhakti yuktaśca sa yāti paramāṃ gatim // BhS_35.433 //	sTApayet Bakti yuktaH ca sa yAti paramAm gatim // BhH _35.433 //
   pramādātpatite biṃbe sphuṭate dūṣite 'tha vā /	pramAdAt patite biMbe sPuwate dUzite aTa vA /
   yaḥ sandhāya punaḥ kuryātpritiṣṭhāṃ pūrvavanmudā // BhS_35.434 //	yaH sanDAya punar kuryAt pritizWAm pUrvavat mudA // BhH _35.434 //
   tasya taṣyati deveśo varamiṣṭaṃ pradāsyati /	tasya tazyati deveSaH varam izwam pradAsyati /
   śīrṇe jīrṇe tathā bhinne bhūṣaṇādau viśeṣataḥ // BhS_35.435 //	SIrNe jIrNe taTA Binne BUzaNa AdO viSezataH // BhH _35.435 //
   navīkṛtyār'payedyastu tasya pāpaṃ praṇaśyati /	navIkRtyAr apayet yaH tu tasya pApam praNaSyati /
   yānāni rathaṅgādīnyālokya śithilāni vai // BhS_35.436 //	yAnAni raTaFga AdIni Alokya SiTilAni vE // BhH _35.436 //
   samīkṛtya tu yodadyāttāni bhaktyā harennaraḥ /	samIkRtya tu yodat yAt tAni BaktyA haret naraH /
   tasya kāyakṛtaṃ pāpaṃ tatkṣaṇādeva naśyati // BhS_35.437 //	tasya kAya kRtam pApam tad kzaNAt eva naSyati // BhH _35.437 //
   yastu vīkṣya harerarcāṃ patamānāmanādarāt /	yaH tu vIkzya hareH arcAm patamAnAm anAdarAt /
   nardhayeddhanadānena tasya lokā madhudviṣaḥ // BhS_35.438 //	narDayet Dana dAnena tasya lokAH maDudvizaH // BhH _35.438 //
   sīdatāṃ vṛttihīnānāṃ devasyāghre padārthinām /	sIdatAm vRtti hInAnAm devasya aGre padArTinAm /
   yo dadyāducitāṃ vṛttiṃ sa yamaṃ nopasarpati // BhS_35.439 //	yaH dadyAt ucitAm vRttim sa yamam na upasarpati // BhH _35.439 //
   yastu devotsavādīni kārayedbhaktisaṃyutaḥ /	yaH tu deva utsava AdIni kArayet Bakti saMyutaH /
   luptaprāyāṇi tasyā ''pi bhavetphalamana ntakam // BhS_35.440 //	lupta prAyANi tasyAH aapi Bavet Pala manaH ntakam // BhH _35.440 //
   yaḥ kuryāddevatāgāre luptakāryāṇi sattamaḥ /	yaH kuryAt devatA AgAre lupta kAryANi sattamaH /
   na tasya kṛtakṛtyatvādamātyā yamakiṅkarāḥ // BhS_35.441 //	na tasya kRtakRtya tvAt amAtyAH yama kiFkarAH // BhH _35.441 //
