   kūrmapurāṇam 1	kUrmapurANam 1
   śālmaleśaṃ vapuṣmantaṃ narendramabhiṣiktavān // KūrmP_1,38.11 //	SAlmala ISam vapuzmantam narendram aBiziktavAn // KUrmP_1,38.11 //
   jyotiṣmantaṃ kuśadvīpe rājānaṃ kṛtavān prabhuḥ /	jyotizmantam kuSadvIpe rAjAnam kRtavAn praBuH /
   dyutimantaṃ ca rājānaṃ krauñcadvīpe samādiśat // KūrmP_1,38.12 //	dyutimantam ca rAjAnam krOQcadvIpe samAdiSat // KUrmP_1,38.12 //
   śākadvīpeśvaraṃ cāpi havyaṃ cakre priyavrataḥ /	SAkadvIpa ISvaram ca api havyam cakre priyavrataH /
   puṣkarādhipatiṃ cakre savanaṃ ca prajāpatiḥ // KūrmP_1,38.13 //	puzkara aDipatim cakre savanam ca prajApatiH // KUrmP_1,38.13 //
   puṣkare savanasyāpi mahāvītaḥ suto 'bhavat /	puzkare savanasya api mahAvItaH sutaH aBavat /
   dhātikiścaiva dvāvetau putrau putravatāṃ varau // KūrmP_1,38.14 //	DAtikiH ca eva dvO= etO putrO putravatAm varO // KUrmP_1,38.14 //
   mahāvītaṃ smṛtaṃ varṣaṃ tasya nāmnā mahātmanaḥ /	mahAvItam smRtam varzam tasya nAmnA mahAtmanaH /
   nāmnā tu dhātakeścāpi dhātakīkhaṇḍamucyate // KūrmP_1,38.15 //	nAmnA tu DAtakeH ca api DAtakIKaNxam ucyate // KUrmP_1,38.15 //
   śākadvīpeśvarasyātha havyasyāpyabhavan sutāḥ /	SAkadvIpa ISvarasya aTa havyasya api aBavan sutAH /
   jaladaśca kumāraśca sukumāro maṇīcakaḥ /	jaladaH ca kumAraH ca sukumAraH maNIcakaH /
   kusumottaro 'tha modākiḥ saptamaḥ syānmahādrumaḥ // KūrmP_1,38.16 //	kusumottaraH aTa modAkiH saptamaH syAt mahA drumaH // KUrmP_1,38.16 //
   jaladaṃ jaladasyātha varṣaṃ prathamamucyate /	jaladam jaladasya aTa varzam praTamam ucyate /
   kumārasya tu kaumāraṃ tṛtīyaṃ sukumārakam // KūrmP_1,38.17 //	kumArasya tu kOmAram tRtIyam sukumArakam // KUrmP_1,38.17 //
   maṇīcakaṃ caturthaṃ tu pañcamaṃ kusumottaram /	maNIcakam caturTam tu paQcamam kusuma uttaram /
   modākaṃ ṣaṣṭhamityuktaṃ saptamaṃ tu mahādrumam // KūrmP_1,38.18 //	modAkam zazWam iti uktam saptamam tu mahA drumam // KUrmP_1,38.18 //
   krauñcadvīpeśvarasyāpi sutā dyutimato 'bhavan /	krOQca dvIpa ISvarasya api sutAH dyutimataH aBavan /
   kuśalaḥ prathamasteṣāṃ dvitīyastu manoharaḥ // KūrmP_1,38.19 //	kuSalaH praTamaH tezAm dvitIyaH tu manoharaH // KUrmP_1,38.19 //
   uṣṇastṛtīyaḥ saṃproktaścaturthaḥ pravaraḥ smṛtaḥ /	uzNaH tRtIyaH saMproktaH caturTaH pravaraH smRtaH /
   andhakāro muniścaiva dundubhiścaiva saptamaḥ /	anDakAraH muniH ca eva dunduBiH ca eva saptamaH /
   teṣāṃ svanāmabhirdeśāḥ krauñcadvīpāśrayāḥ śubhāḥ // KūrmP_1,38.20 //	tezAm sva nAmaBiH deSAH krOQca dvIpa ASrayAH SuBAH // KUrmP_1,38.20 //
   jyotiṣmataḥ kuśadvīpe saptaivāsan mahaujasaḥ /	jyotizmataH kuSadvIpe saptA eva Asat mahA ojasaH /
   udbhedo veṇumāṃścaivāśvaratho lambano dhṛtiḥ /	udBedaH veNumAn= ca eva aSvaraTaH lambanaH DRtiH /
   ṣaṣṭhaḥ prabhākāraścāpi saptamaḥ kapilaḥ smṛtaḥ // KūrmP_1,38.21 //	zazWaH praBA AkAraH ca api saptamaH kapilaH smRtaH // KUrmP_1,38.21 //
   svanāmacihnitān yatra tathā varṣāṇi suvratāḥ /	sva nAma cihnitAn yatra taTA varzANi suvratAH /
   jñeyāni sapta tānyeṣu dvīpeṣvevaṃ na yo mataḥ // KūrmP_1,38.22 //	jQeyAni sapta tAni ezu dvIpezu evam na yaH mataH // KUrmP_1,38.22 //
   śālmaladvīpanāthasya sutāścāsan vapuṣmataḥ /	SAlmala dvIpa nATasya sutAH ca Asan vapuzmataH /
   śvetaśca haritaścaiva jīmūto rohitastathā /	SvetaH ca haritaH ca eva jImUtaH rohitaH taTA /
   vaidyutau mānasaścaiva saptamaḥ suprabho mataḥ // KūrmP_1,38.23 //	vEdyutO mAnasaH ca eva saptamaH supraBaH mataH // KUrmP_1,38.23 //
   plakṣadvīpeśvarasyāpi sapta medhātitheḥ sutāḥ /	plakzadvIpa ISvarasya api sapta meDAtiTeH sutAH /
   jyeṣṭhaḥ śāntabhayasteṣāṃ śiśiraśca sukhodayaḥ /	jyezWaH SAnta BayaH tezAm SiSiraH ca suKa udayaH /
   ānandaśca śivaścaiva kṣemakaśca dhruvastathā // KūrmP_1,38.24 //	AnandaH ca SivaH ca eva kzemakaH ca DruvaH taTA // KUrmP_1,38.24 //
   plakṣadvīpādiṣu jñeyaḥ śākadvīpāntikeṣu vai /	plakzadvIpa Adizu jQeyaH SAkadvIpa antikezu vE /
   varṇāśramavibhāgena svadharmo muktaye dvijāḥ // KūrmP_1,38.25 //	varNa ASrama viBAgena svaDarmaH muktaye dvijAH // KUrmP_1,38.25 //
   jambudvīpeśvarasyāpi putrāstvāsan mahābalāḥ /	jambudvIpa ISvarasya api putrAH tu Asan mahA balAH /
   agnīdhrasya dvijaśreṣṭhāstannāmāni nibodhata // KūrmP_1,38.26 //	agnIDrasya dvijaSrezWAH tad nAmAni niboData // KUrmP_1,38.26 //
   nābhiḥ kiṃpuruṣaścaiva tathā haririlāvṛtaḥ /	nABiH kiMpuruzaH ca eva taTA hariH ilAvRtaH /
   ramyo hiraṇvāṃśca kururbhadrāśvaḥ ketumāhalakaḥ // KūrmP_1,38.27 //	ramyaH hiraNvAn= ca kuruH BadrASvaH ketumAhalakaH // KUrmP_1,38.27 //
   jambudvīpeśvaro rājā sa cāgnīdhro mahāmatiḥ /	jambudvIpa ISvaraH rAjA sa ca agnIDraH mahAmatiH /
   vibhajya navadhā tebhyo yathānyāyaṃ dadau punaḥ // KūrmP_1,38.28 //	viBajya navaDA teByaH yaTAnyAyam dadO punar // KUrmP_1,38.28 //
   nābhestu dakṣiṇaṃ varṣaṃ himāhvaṃ pradadau punaḥ /	nABeH tu dakziNam varzam himAhvam pradadO punar /
   hemakūṭaṃ tato varṣaṃ dadau kiṃpuruṣāya tu // KūrmP_1,38.29 //	hemakUwam tatas varzam dadO kiMpuruzAya tu // KUrmP_1,38.29 //
   tṛtīyaṃ naiṣadhaṃ varṣaṃ haraye dattavān pitā /	tRtIyam nEzaDam varzam haraye dattavAn pitA /
   ilāvṛtāya pradadau merumadhyamilāvṛtam // KūrmP_1,38.30 //	ilAvRtAya pradadO meru maDyam ilAvRtam // KUrmP_1,38.30 //
   nīlācalāśritaṃ varṣaṃ ramyāya pradadau pitā /	nIla acala ASritam varzam ramyAya pradadO pitA /
   śvetaṃ yaduttaraṃ varṣaṃ pitrā dattaṃ hiraṇvate // KūrmP_1,38.31 //	Svetam yat uttaram varzam pitrA dattam hiraNvate // KUrmP_1,38.31 //
   yaduttaraṃ śṛṅgavato varṣaṃ tat kuruve dadau /	yat uttaram SRFgavataH varzam tat kuruve dadO /
   meroḥ pūrveṇa yad varṣaṃ bhadrāśvāya nyavedayat /	meroH pUrveNa yat varzam BadrASvAya nyavedayat /
   gandhamādanavarṣaṃ tu ketumālāya dattavān // KūrmP_1,38.32 //	ganDamAdana varzam tu ketumAlAya dattavAn // KUrmP_1,38.32 //
   varṣeṣveteṣu tān putrānabhiṣicya narādhipaḥ /	varzezu etezu tAn putrAn aBizicya narADipaH /
   saṃsārakaṣṭatāṃ jñātvā tapastepe vanaṃ gataḥ // KūrmP_1,38.33 //	saMsAra kazwatAm jQAtvA tapaH tepe vanam gataH // KUrmP_1,38.33 //
   himāhvayaṃ tu yasyaitannābherāsīnmahātmanaḥ /	himAhvayam tu yasya etat nABeH AsIt mahAtmanaH /
   tasyarṣabho 'bhavat putro marudevyāṃ mahādyutiḥ // KūrmP_1,38.34 //	tasya RzaBaH aBavat putraH marudevyAm mahA dyutiH // KUrmP_1,38.34 //
   ṛṣabhād bharato jajñe vīraḥ putraśatāgrajaḥ /	RzaBAt BarataH jajQe vIraH putra Sata agrajaH /
   so 'bhiṣicyarṣabhaḥ putraṃ bharataṃ pṛthivīpatiḥ /	saH aBizicya RzaBaH putram Baratam pRTivIpatiH /
   vānaprasthāśramaṃ gatvā tapastepe yathāvidhi // KūrmP_1,38.35 //	vAnaprasTa ASramam gatvA tapaH tepe yaTAviDi // KUrmP_1,38.35 //
   tapasā karṣito 'tyarthaṃ kṛśo dhamanisaṃtataḥ /	tapasA karzitaH atyarTam kRSaH DamanisaMtataH /
   jñānayogarato bhūtvā mahāpāśupato 'bhavat // KūrmP_1,38.36 //	jQAna yoga rataH BUtvA mahA pASupataH aBavat // KUrmP_1,38.36 //
   sumatirbharatasyābhūt putraḥ paramadhārmikaḥ /	sumatiH Baratasya aBUt putraH parama DArmikaH /
   sumatestaijasastasmādindridyumno vyajāyata // KūrmP_1,38.37 //	sumateH tEjasaH tasmAt indridyumnaH vyajAyata // KUrmP_1,38.37 //
   parameṣṭhī sutastasmāt pratīhārastadanvayaḥ /	paramezWI sutaH tasmAt pratIhAraH tad anvayaH /
   pratiharteti vikhyāta utpannastasya cātmajaḥ // KūrmP_1,38.38 //	pratihartA iti viKyAtaH utpannaH tasya ca AtmajaH // KUrmP_1,38.38 //
   bhavastasmādathodgīthaḥ prastāvastatsuto 'bhavat /	BavaH tasmAt aTa udgITaH prastAvaH tad sutaH aBavat /
   pṛthustatastato rakto raktasyāpi gayaḥ sutaḥ // KūrmP_1,38.39 //	pRTuH tatas tatas raktaH raktasya api gayaH sutaH // KUrmP_1,38.39 //
   naro gayasya tanayastasya putro virāḍabhūt /	naraH gayasya tanayaH tasya putraH virAxaBUt /
   tasya putro mahāvīryo dhīmāṃstasmādajāyata // KūrmP_1,38.40 //	tasya putraH mahA vIryaH DImAn= tasmAt ajAyate // KUrmP_1,38.40 //
   mahānto 'pi tataścābhūd bhauvanastatsuto 'bhavat /	mahAntaH api tatas ca aBUt BOvanaH tad sutaH aBavat /
   tvaṣṭā tvaṣṭuśca virajo rajastasyāpyabhūt sutaḥ // KūrmP_1,38.41 //	tvazwA tvazwuH ca virajaH rajaH tasya api aBUt sutaH // KUrmP_1,38.41 //
   śatajid rajasastasya jajñe putraśataṃ dvijāḥ /	Satajit rajasaH tasya jajQe putra Satam dvijAH /
   teṣāṃ pradhāno balavān viśvajyotiriti smṛtaḥ // KūrmP_1,38.42 //	tezAm praDAnaH balavAn viSvajyotiH iti smRtaH // KUrmP_1,38.42 //
   ārādhya devaṃ brahmāṇaṃ kṣemakaṃ nāma pārthivam /	ArADya devam brahmANam kzemakam nAma pArTivam /
   asūta putraṃ dharmajñaṃ mahābāhumarindamam // KūrmP_1,38.43 //	asUta putram Darma jQam mahA bAhum arindamam // KUrmP_1,38.43 //
   ete purastād rājāno mahāsattvā mahaujasaḥ /	ete purastAt rAjAnaH mahAsattvAH mahA ojasaH /
   eṣāṃ vaṃśaprasūtaiśca bhukteyaṃ pṛthivī purā // KūrmP_1,38.44 //	ezAm vaMSa prasUtEH ca BuktA iyam pRTivI purA // KUrmP_1,38.44 //
   iti śrīkūrmapurāṇe ṣaṭsāhastryāṃ saṃhitāyāṃ pūrvavibhāge aṣṭātriṃśo	iti SrI kUrmapurANe zawsAhastryAm saMhitAyAm pUrva viBAge azwAtriMSaH 
   'dhyāyaḥ	aDyAyaH
   sūta uvāca	sUtaH uvAca
   ataḥ paraṃ pravakṣyāmi saṃkṣepeṇa dvijottamāḥ /	atas param pravakzyAmi saMkzepeNa dvijottamAH /
   trailokyasyāsya mānaṃ vo na śakyaṃ vistareṇa tu // KūrmP_1,39.1 //	trElokyasya asya mAnam vaH na Sakyam vistareNa tu // KUrmP_1,39.1 //
   bhūrloko 'tha bhuvarlokaḥ svarloko 'tha mahastataḥ /	BUrlokaH aTa BuvarlokaH svarlokaH aTa mahaH tatas /
   janastapaśca satyaṃ ca lokāstvaṇḍodbhavā matāḥ // KūrmP_1,39.2 //	janaH tapaH ca satyam ca lokAH tu aNxa udBavAH matAH // KUrmP_1,39.2 //
   sūryācandramasoryāvat kiraṇairavabhāsate /	sUryAcandramasoH yAvat kiraNEH avaBAsate /
   tāvad bhūrloka ākhyātaḥ purāṇe dvijapuṅgavāḥ // KūrmP_1,39.3 //	tAvat BUrlokaH AKyAtaH purANe dvija puFgavAH // KUrmP_1,39.3 //
   yāvatpramāṇo bhūrloko vistarāt parimaṇḍalāt /	yAvat pramANaH BUrlokaH vistarAt parimaNxalAt /
   bhuvarloko 'pi tāvānsyānmaṇḍalād bhāskarasya tu // KūrmP_1,39.4 //	BuvarlokaH api tAvAn syAt maNxalAt BAskarasya tu // KUrmP_1,39.4 //
   ūrdhvaṃyanmaṇḍalād vyomadhruvoyāvadvyavasthitaḥ /	UrDvaMyat maNxalAt vyomaDruvaH yAvat vyavasTitaH /
   svarlokaḥ sa samākhyātastatra vāyostu nemayaḥ // KūrmP_1,39.5 //	svarlokaH sa samAKyAtaH tatra vAyoH tu nemayaH // KUrmP_1,39.5 //
   āvahaḥ pravahaścaiva tathaivānuvahaḥ paraḥ /	AvahaH pravahaH ca eva taTA eva anuvahaH paraH /
   saṃvaho vivahaścātha tadūrdhvaṃ syāt parāvahaḥ // KūrmP_1,39.6 //	saMvahaH vivahaH ca aTa tad UrDvam syAt parAvahaH // KUrmP_1,39.6 //
   tathā parivahaścordhvaṃ vāyorvai sapta nemayaḥ /	taTA parivahaH ca UrDvam vAyoH vE sapta nemayaH /
   bhūmeryojanalakṣe tu bhānorvai maṇḍalaṃ sthitam // KūrmP_1,39.7 //	BUmeH yojana lakze tu BAnoH vE maNxalam sTitam // KUrmP_1,39.7 //
   lakṣe divākarasyāpi maṇḍalaṃ śaśinaḥ smṛtam /	lakze divAkarasya api maNxalam SaSinaH smRtam /
   nakṣatramaṇḍalaṃ kṛtsnaṃ tallakṣeṇa prakāśate // KūrmP_1,39.8 //	nakzatra maNxalam kRtsnam tad lakzeNa prakASate // KUrmP_1,39.8 //
   dvelakṣe hyuttare viprā budho nakṣatramaṇḍalāt /	dvelakze hi uttare viprAH buDaH nakzatra maNxalAt /
   tāvatpramāṇabhāge tu budhasyāpyuśanāḥ sthitaḥ // KūrmP_1,39.9 //	tAvat pramANa BAge tu buDasya api uSanAH sTitaH // KUrmP_1,39.9 //
   aṅgārako 'pi śukrasya tatpramāṇo vyavasthitaḥ /	aFgArakaH api Sukrasya tad pramANaH vyavasTitaH /
   lakṣadvayena bhaumasya sthito devapurohitaḥ // KūrmP_1,39.10 //	lakza dvayena BOmasya sTitaH deva purohitaH // KUrmP_1,39.10 //
   saurirdvilakṣeṇa guror grahāṇāmatha maṇḍalam /	sOriH dvi lakzeNa guroH grahANAm aTa maNxalam /
   saptarṣimaṇḍalaṃ tasmāllakṣamātre prikāśate // KūrmP_1,39.11 //	saptarzi maNxalam tasmAt lakza mAtre prikA Sate // KUrmP_1,39.11 //
   ṛṣīṇāṃ maṇḍalādūrdhvaṃ lakṣamātre sthito dhruvaḥ /	RzINAm maNxalAt UrDvam lakza mAtre sTitaH DruvaH /
   meḍhībhūtaḥ samastasya jyotiścakrasya vai dhruvaḥ /	meXI BUtaH samastasya jyotiScakrasya vE DruvaH /
   tatra dharmaḥ sa bhagavān viṣṇurnārāyaṇaḥ sthitaḥ // KūrmP_1,39.12 //	tatra DarmaH sa BagavAn vizNuH nArAyaNaH sTitaH // KUrmP_1,39.12 //
   navayojanasāhastro viṣkambhaḥ savituḥ smṛtaḥ /	nava yojana sAhastraH vizkamBaH savituH smRtaH /
   triguṇastasya vistāro maṇḍalasya pramāṇataḥ // KūrmP_1,39.13 //	triguNaH tasya vistAraH maNxalasya pramANataH // KUrmP_1,39.13 //
   dviguṇastasya vistārād vistāraḥ śaśinaḥ smṛtaḥ /	dviguNaH tasya vistArAt vistAraH SaSinaH smRtaH /
   tulyastayostu svarbhānurbhūtvādhastāt prasarpati // KūrmP_1,39.14 //	tulyaH tayoH tu svarBAnuH BUtvA aDastAt prasarpati // KUrmP_1,39.14 //
   addhṛtya pṛthivīcchāyāṃ nirmito maṇḍalākṛtiḥ /	adDRtya pRTivI icCAyAm nirmitaH maNxala AkRtiH /
   svarbhānostu vṛhat sthānaṃ tṛtīyaṃ yat tamomayam // KūrmP_1,39.15 //	svarBAnoH tu vRhat sTAnam tRtIyam yat tamaH mayam // KUrmP_1,39.15 //
   candrasya ṣoḍaśo bhāgo bhārgavasya vidhīyate /	candrasya zoxaSaH BAgaH BArgavasya viDIyate /
   bhārgavāt pādahīnastu vijñeyo vai bṛhaspatiḥ // KūrmP_1,39.16 //	BArgavAt pAda hInaH tu vijQeyaH vE bRhaspatiH // KUrmP_1,39.16 //
   bṛhaspateḥ pādahīnau vakrasaurāvubhau smṛtau /	bRhaspateH pAda hInO vakra sOrO= uBO smRtO /
   vistārānmaṇḍalāccaiva pādahīnastayorbudhaḥ // KūrmP_1,39.17 //	vistArAt maNxalAt ca eva pAda hInaH tayoH buDaH // KUrmP_1,39.17 //
   tārānakṣatrarūpāṇi vapuṣmantīha yāni vai /	tArA nakzatra rUpANi vapuzmanti iha yAni vE /
   budhena tāni tulyāni vistārānmaṇḍalāt tathā // KūrmP_1,39.18 //	buDena tAni tulyAni vistArAt maNxalAt taTA // KUrmP_1,39.18 //
   tārānakṣatrarūpāṇi hīnāni tu parasparāt /	tArA nakzatra rUpANi hInAni tu parasparAt /
   śatāni pañca catvāri trīṇi dve caiva yojane // KūrmP_1,39.19 //	SatAni paQca catvAri trINi dve ca eva yojane // KUrmP_1,39.19 //
   sarvāvaranikṛṣṭāni tārakāmaṇḍalāni tu /	sarva avara nikRzwAni tArakA maNxalAni tu /
   yojanānyardhamātrāṇi tebhyo hrasvaṃ na vidyate // KūrmP_1,39.20 //	yojanAni arDa mAtrANi teByaH hrasvam na vidyate // KUrmP_1,39.20 //
   upariṣṭāt trayasteṣāṃ grahā ye dūrasarpiṇaḥ /	uparizwAt trayaH tezAm grahAH ye dUra sarpiNaH /
   sauro 'ṅgirāśca vakraśca jñeyā mandavicāriṇaḥ // KūrmP_1,39.21 //	sOraH aFgirAH ca vakraH ca jQeyAH manda vicAriNaH // KUrmP_1,39.21 //
   tebhyo 'dhastācca catvāraḥ punaranye mahāgrahāḥ /	teByaH aDastAt ca catvAraH punar anye mahA grahAH /
   sūryaḥ saumo budhaścaiva bhārgavaścaiva śīghragāḥ // KūrmP_1,39.22 //	sUryaH sOmaH buDaH ca eva BArgavaH ca eva SIGra gAH // KUrmP_1,39.22 //
   dakṣiṇāyanamārgastho yadā carati raśmimān /	dakziNAyana mArga sTaH yadA carati raSmimAn /
   tadā sarvagrahāṇāṃ sa sūryo 'dhastāt prasarpati // KūrmP_1,39.23 //	tadA sarva grahANAm sa sUryaH aDastAt prasarpati // KUrmP_1,39.23 //
   vistīrṇaṃ maṇḍalaṃ kṛtvā tasyordhvaṃ carate śaśī /	vistIrNam maNxalam kRtvA tasya UrDvam carate SaSI /
   nakṣatramaṇḍalaṃ kṛtsnaṃ somādūrdhvaṃ prasarpati // KūrmP_1,39.24 //	nakzatra maNxalam kRtsnam somAt UrDvam prasarpati // KUrmP_1,39.24 //
   nakṣatrebhyo budhaścordhvaṃ budhādūrdhvaṃ tu bhārgavaḥ /	nakzatreByaH buDaH ca UrDvam buDAt UrDvam tu BArgavaH /
   vakrastu bhārgavādūrdhvaṃ vakrādūrdhvaṃ bṛhaspatiḥ // KūrmP_1,39.25 //	vakraH tu BArgavAt UrDvam vakrAt UrDvam bRhaspatiH // KUrmP_1,39.25 //
   tasmācchanaiścaro 'puyūrdhvaṃ tasmāt saptarṣimaṇḍalam /	tasmAt SanEScaraH apuyUrDvam tasmAt saptarzi maNxalam /
   ṛṣīṇāṃ caiva saptānāndhru vaścordhvaṃ vyavasthitaḥ // KūrmP_1,39.26 //	RzINAm ca eva saptAnAn Dru vaH ca UrDvam vyavasTitaH // KUrmP_1,39.26 //
   yojanānāṃ sahastrāṇi bhāskarasya ratho nava /	yojanAnAm sa hastrANi BAskarasya raTaH nava /
   īṣādaṇḍastathaiva syād dviguṇo dvijasattamāḥ // KūrmP_1,39.27 //	IzA daNxaH taTA eva syAt dviguNaH dvijasattamAH // KUrmP_1,39.27 //
   sārdhakoṭistathā sapta niyutānyadhikāni tu /	sArDa kowiH taTA sapta niyutAni aDikAni tu /
   yojanānāṃ tu tasyākṣastatra cakraṃ pratiṣṭhitam // KūrmP_1,39.28 //	yojanAnAm tu tasya akzaH tatra cakram pratizWitam // KUrmP_1,39.28 //
   trinābhimati pañcāre ṣaṣṇeminyakṣayātmake /	tri nABimati paQca are zazNemini akzaya Atmake /
   saṃvatsarameya kṛtsnaṃ kālacakraṃ pratiṣṭhitam // KūrmP_1,39.29 //	saMvatsarameya kRtsnam kAlacakram pratizWitam // KUrmP_1,39.29 //
   catkāriṃśat sahastrāṇi dvitīyo 'kṣo vivasvataḥ /	catkAriMSat sa hastrANi dvitIyaH akzaH vivasvataH /
   pañcānyāni tu sārdhāni syandanasya dvijottamāḥ // KūrmP_1,39.30 //	paQca anyAni tu sArDAni syandanasya dvijottamAH // KUrmP_1,39.30 //
   akṣapramāṇamubhayoḥ pramāṇaṃ tadyugārdhayoḥ /	akza pramANam uBayoH pramANam tad yuga arDayoH /
   hrasvo 'kṣastadyugārdhena dhruvādhāre rathasya tu // KūrmP_1,39.31 //	hrasvaH akzaH tad yuga arDena Druva ADAre raTasya tu // KUrmP_1,39.31 //
   dvitīye 'kṣe tu taccakraṃ saṃsthitaṃ mānasācale /	dvitIye akze tu tat cakram saMsTitam mAnasa acale /
   hayāśca sapta chandāṃsi tannāmāni nibodhata // KūrmP_1,39.32 //	hayAH ca sapta CandAMsi tad nAmAni niboData // KUrmP_1,39.32 //
   gāyatrī ca bṛhatyuṣṇik jagatī paṅktireva ca /	gAyatrI ca bRhatI uzNih jagatI paFktiH eva ca /
   anaṣṭup triṣṭubityuktāśchandāṃsi harayo hareḥ // KūrmP_1,39.33 //	anazwuB trizwuB iti uktAH CandAMsi harayaH hareH // KUrmP_1,39.33 //
   mānasopari māhendrī prācyāṃ diśi mahāpurī /	mAnasa upari mAhendrI prAcyAm diSi mahA purI /
   dakṣiṇe na yamasyātha varuṇasya tu paścime // KūrmP_1,39.34 //	dakziNe na yamasya aTa varuNasya tu paScime // KUrmP_1,39.34 //
   uttareṇa tu somasya tannāmāni nibodhata /	uttareNa tu somasya tad nAmAni niboData /
   amarāvatī saṃyamanī sukhā caiva vibhā kramāt // KūrmP_1,39.35 //	amarAvatI saMyamanI suKA ca eva viBA kramAt // KUrmP_1,39.35 //
   kāṣṭhāṃ gato dakṣiṇataḥ kṣipteṣuriva sarpati /	kAzWAm gataH dakziNatas kzipta izuH iva sarpati /
   jyotiṣāṃ cakramādāya devadevaḥ prajāpatiḥ // KūrmP_1,39.36 //	jyotizAm cakram AdAya devadevaH prajApatiH // KUrmP_1,39.36 //
   divasasya ravirmadhye sarvakālaṃ vyavasthitaḥ /	divasasya raviH maDye sarvakAlam vyavasTitaH /
   saptadvīpeṣu viprendrā niśāmadhyasya saṃmukham // KūrmP_1,39.37 //	sapta dvIpezu vipra indrAH niSA maDyasya saMmuKam // KUrmP_1,39.37 //
   udayāstamane caiva sarvakālaṃ tu saṃmukhe /	udaya astamane ca eva sarvakAlam tu saMmuKe /
   aśeṣāsu diśāsveva tathaiva vidiśāsu ca // KūrmP_1,39.38 //	aSezAsu diSAsu eva taTA eva vidiSAsu ca // KUrmP_1,39.38 //
   kulālacakraparyanto bhramanneṣa yatheśvaraḥ /	kulAla cakra paryantaH Braman= eza yaTA ISvaraH /
   karotyahastathā rātriṃ vimuñcan medinīṃ dvijāḥ // KūrmP_1,39.39 //	karoti ahar taTA rAtrim vimuQcan medinIm dvijAH // KUrmP_1,39.39 //
   divākarakarairetat pūritaṃ bhuvanatrayam /	divAkara karEH etat pUritam Buvanatrayam /
   trailokyaṃ kathitaṃ sadbhirlokānāṃ munipuṅgavāḥ // KūrmP_1,39.40 //	trElokyam kaTitam sadBiH lokAnAm muni puFgavAH // KUrmP_1,39.40 //
   ādityamūlamakhilaṃ trilokaṃ nātra saṃśayaḥ /	Aditya mUlam aKilam trilokam na atra saMSayaH /
   bhavatyasmāt jagat kṛtsnaṃ sadevāsuramānuṣam // KūrmP_1,39.41 //	Bavati asmAt jagat kRtsnam sa deva asura mAnuzam // KUrmP_1,39.41 //
   rudrendropendracandrāṇāṃ viprendrāṇāṃ divaukasām /	rudra indra upendra candrANAm vipra indrANAm divOkasAm /
   dyutirdyutimatāṃ kṛtsnaṃ yattejaḥ sārvalaukikam // KūrmP_1,39.42 //	dyutiH dyutimatAm kRtsnam yat tejaH sArvalOkikam // KUrmP_1,39.42 //
   sarvātmā sarvalokeśo mahādevaḥ prajāpatiḥ /	sarva AtmA sarva loka ISaH mahAdevaH prajApatiH /
   sūrya eva trilokasya mūlaṃ paramadaivatam // KūrmP_1,39.43 //	sUryaH eva trilokasya mUlam parama dEvatam // KUrmP_1,39.43 //
   dvādaśānye tathādityā devāste ye 'dhikāriṇaḥ /	dvAdaSa anye taTA AdityAH devAH te ye aDikAriNaH /
   nirvahanti padaṃ tasya tadaṃśā viṣṇumūrtayaḥ // KūrmP_1,39.44 //	nirvahanti padam tasya tad aMSAH vizNu mUrtayaH // KUrmP_1,39.44 //
   sarve namasyanti sahastrabhānuṃ	sarve namasyanti saha straBAnum
   gandharvadevoragakinvannarādyāḥ /	ganDarva deva uraga kinvat nara AdyAH /
   yajanti yajñairvividhairdvijendrā 	yajanti yajQEH viviDEH dvija indrA 
   śchandomayaṃ brahmamayaṃ purāṇam // KūrmP_1,39.45 //	SCandaH mayam brahma mayam purANam // KUrmP_1,39.45 //
   iti śrīkūrmapurāṇe ṣaṭsāhastryāṃ saṃhitāryā pūrvavibhāge ekonacatvāriṃśo	iti SrI kUrmapurANe zawsAhastryAm saMhitA AryA pUrva viBAge ekonacatvAriMSaH 
   'dhyāyaḥ	aDyAyaH
   sūta uvāca	sUtaH uvAca
   sa ratho 'dhiṣṭhito devairādityairvasubhistathā /	sa raTaH aDizWitaH devEH AdityEH vasuBiH taTA /
   gandharvairapsarobhiśca grāmaṇīsarparākṣasaiḥ // KūrmP_1,40.1 //	ganDarvEH apsaroBiH ca grAmaNI sarpa rAkzasEH // KUrmP_1,40.1 //
   dhātār'yamātha mitraśca varuṇaḥ śakra eva ca /	DAtAr ayama aTa mitraH ca varuNaH SakraH eva ca /
   vivasvānatha pūṣā ca parjanyaścāṃśureva ca // KūrmP_1,40.2 //	vivasvAn aTa pUzA ca parjanyaH ca aMSuH eva ca // KUrmP_1,40.2 //
