   Kāśyapaparivarta Sūtra	KASyapa-parivarta SUtra
   dāntāśāntājāneyakuśalaśilpasuniṣṭhitā / atyantākopyadharma	dAnta-aSAnta-ajAneya-kuSala-Silpa-su-nizWitA / atyanta-akopya-Darma
   mahākaruṇāsaṅgṛhī........................	mahA-karuNA-saFgRhI........................
   catuḥsaṅgrahavastuśūraturagavāhinī pratyarthikaprajñājñānasupratirakṣitā /	catur-saFgraha-vastu-SUra-turaga-vAhinI pratyarTika-prajQA-jQAna-su-pratirakzitAH /
   upāyakauśalyasukṛtavic.................... catubrahmavihārasuśodhitāṃ /	upAya-kOSalya-su-kRta-vic.................... catu-brahma-vihAra-su-SoDitAm /
   KP.154 catusmṛtyupasthānasucintitakāyopanītā / samyakprahāṇaprasaṭhāri	KP.154 catu-smRti-upasTAna-su-cintita-kAya-upanItA / samyak-prahANa-prasaWAri
   ................ dajavajavitā / indriyasunirīkṣitadānavakravigata	................ dajava-ja-vitA / indriya-su-nirIkzita-dAna-vakra-vigata
   balavegasamudgatā antareṇa śithilabodhyaṅgavibodha.....................	bala-vega-samudgatAH antareNa SiTila-boDi-aFga-viboDa-.....................
   ariśatrumārapathajahanī mānokramavāhinī / kutirthyatīrthajahanī /	ari-Satru-mAra-paTa-jahanI mAna-ukrama-vAhinI / kutirTya-tIrTa-jahanI /
   śamathaniddhyaptinirdiṣṭā vipaśyanāpra ................ gā /	SamaTa-nidDi-apti-nirdizwAH vipaSyana-apra ................ gAH /
   ubhayorantayorasaktavāhinī / hetudharmayuktā	uBayoH-antayoH-asakta-vAhinI / hetu-Darma-yuktA
   vipulvistīrṇākṣayaprahāṇābandhā vighuṣṭaśabdā daśa................... kṣu	vipulvistIrNa-akzaya-prahANa-AbanDAH viGuzwa-SabdAH daSa................... kzu
   śabdam ādāyatyāgacchatāgacchatābhiruta mahādharmanāvaṃ nirvāṇapuragāminī /	Sabdam AdAya-ti-AgacCata-AgacCatABiH-uta mahA-Darma-nAvam nirvANa-pura-gAminI /
   kṣemamārgagāminī / mahā.................. matīra satkāyadṛṣṭiṃ jahanīṃ /	kzema-mArga-gAminI / mahA.................. matIra sat-kAya-dRzwim jahanIm /
   parimatīragāminī laghusarvadṛṣṭigatavigatāṃ /	parima-tIra-gAminI laGu-sarva-dRzwi-gata-vigatAm /
   KP.155 īdṛśi kulaputra dharma............................ bodhisattvena	KP.155 IdRSi kula-putra Darma............................ boDisattvena
   samudānayitavyaḥ aparimāṇakalpakoṭīnayutaśatasahasraparikhinnamānasena /	samudAnayitavyaH aparimANa-kalpa-kowIn-ayuta-Sata-sahasra-pariKinna-mAnasena /
   ......................... rvasattvānāmarthāya anayā saddharmanāvā	......................... rva-sattvAnAm-arTAya anayA sadDarmanAvA
   sarvasattvā tārayitavyāḥ caturbhiroghe uhyamānāḥ īdṛ.....................	sarva-sattvAH tArayitavyAH caturBiH-oGe uhyamAnAH IdR.....................
   nāvā kulaputra bodhisattvena samudānayitavyāḥ tatra samantālokaḥ katāmā	nAvA kula-putra boDisattvena samudAnayitavyAH tatra samantAlokaH katAmA
   bodhisattvasya kṣiprābhijñatā / yaduta akṛ................... maḥ prayogaḥ	boDisattvasya kzipra-aBijQa-tA / yat-uta akR................... maH prayogaH
   sarvasattveṣu / tīvracchandikatā ācayaśuddhyā / utaptavīryatā	sarva-sattvezu / tIvra=-Candika-tA Acaya-SudDyA / utapta-vIrya-tA
   sarvakuśalamūlasamudānaya.................. ye kuśalacchandikatā	sarva-kuSala-mUla-samudAnaya.................. ye kuSala=-Candika-tA
   yoniśamanasikāreṇa śrutatṛptatā / prajñāparipūryaiḥ nirmānatā	yoni-Samana-sikAreNa Sruta-tRpta-tA / prajQA-paripUryEH nirmAna-tA
   prajñopa........ ya / pravrajyānimnatāi / sarvaguṇaparipūryai araṇyavāsaḥ	prajQA-upa........ yaH / pravrajyA-nimnatAi / sarva-guNa-paripUryE araNya-vAsaH
   kāyacittavivekatayā /	kAya-citta-viveka-tayA /
   KP.156 asaṃsargo durja........................... navivarjanatayā /	KP.156 asaMsargaH durja........................... navi-varjana-tayA /
   dharmārthikatā paramārthārthapratisaraṇatayā / jñānārtho	Darma-arTika-tA parama-arTa-arTa-pratisaraNa-tayA / jQAna-arTaH-
   tyantakopanārthatayā / dharmā..................... nārthatayā / satyārtho	tyanta-kopana-arTa-tayA / DarmA..................... na-arTa-tayA / satya-arTaH-
   avisaṃvādanārthatayā / śunyatārtho samyakprayogārthatayā / vivekārtho	avisaMvAdana-arTa-tayA / Sunyata-arTaH samyak-prayoga-arTa-tayA / viveka-arTaH-
   atyantopa.................. rthatāyeti // iyamucyate samantāloka	atyanta-upa.................. rTatAya-iti // iyam-ucyate samantAloke-
   bodhisattvasya mahāsattvasya kṣiprābhijñatā //	boDisattvasya mahAsattvasya kzipra-aBijQa-tA //
   KP.157 atha khalvāyuṣmān mahākāśyapo bhagavantametadavocat - āścāryaṃ	KP.157 aTa Kalu-AyuzmAn mahAkASyapaH Bagavantam-etat-avocat  AScAryam
   bhagavan !	Bagavan !
   aścāryaṃ sugataḥ yāvacceyaṃ mahāratnakūṭo sūtrāntarā	aSca-Aryam sugataH yAvat-ca-iyam mahA-ratna-kUwaH sUtra-antarA
   ......................... upakārībhūto mahāyānasamprasthitānāṃ	......................... upakArIBUtaH mahAyAna-samprasTitAnAm
   kulaputrāṇāṃ ca kuladuhitṛṇāṃ ca / kiyadbhagavan sa	kula-putrANAm ca kula-duhitRNAm ca / kiyat-Bagavan sa
   kulaputro....................... kuladuhitā vā puṇyaṃ prasavati / ya ito	kula-putraH-....................... kula-duhitA vA puNyam prasavati / yaH itas-
   ratnakūṭaṃ sūtrāntarājñādekagāthām apyupadiśet	ratnakUwam sUtrAnta-rAjQAt-eka-gATAm api-upadiSet
   KP.158 evamukte bhagavān āyuṣmantaṃ mahākāśyapam etadavocat - yo hi	KP.158 evam-ukte BagavAn Ayuzmantam mahAkASyapam etat-avocat  yaH hi
   kāśyapa kulaputro vā kuladuhitā vā gaṅgānadīvālukasameṣu	kASyapa kula-putraH vA kula-duhitA vA gaFgA-nadI-vAluka-samezu
   lokadhā.................... paramāṇuñjāsi bindeya bhitvā tāttakā caiva	lokaDA.................... paramANuQjA-asi bindeya BitvA tAttakA ca-eva
   vārāvāpeya / tāttakā caiva taṃ sarvalokadhātavaḥ sa......................	vAra-AvApeya / tAttakA ca-eva tam sarva-loka-DAtavaH sa......................
   paripūrṇaṃ kṛtvā tathāgatebhyo 'rhadbhyaḥ samayaksambuddhebhyo dānaṃ	paripUrNam kRtvA taTAgateByaH arhadByaH samaya-ksambudDeByaH dAnam
   dadyāt / gaṅgānadīvālukasamānāṃ ca buddhā................... bhagavantānām	dadyAt / gaFgA-nadI-vAluka-samAnAm ca budDA................... BagavantAnAm
   ekekasya ca tathāgatasya gaṅgānadīvālukāsamān vihārān karāpayet /	ekekasya ca taTAgatasya gaFgA-nadI-vAlukA-samAn vihArAn karApayet /
   KP.159 gaṅgānadīvā..................... mānāṃ ca buddhānāṃ bhagavatām	KP.159 gaFgA-nadIvA.-.................... mAnAm ca budDAnAm BagavatAm
   ekekaṃ ca tathāgatasyāprameyaśrāvakasaṅghaṃ gaṅgānadīvālukāsamān kalpāṃ	ekekam ca taTAgatasya-aprameya-SrAvaka-saFGam gaFgA-nadI-vAlukA-samAn kalpAm
   ............... sukhopadhānaiḥ paricaret / teṣām ca buddhānāṃ bhagavataṃ	............... suKa-upaDAnEH paricaret / tezAm ca budDAnAm Bagavatam
   yāvajjīvamanāpena kāyakarmeṇa vākkarmeṇa m.................. rmeṇa	yAvat-jIvam-anApena kAya-karmeNa vAkkarmeNa m.................. rmeNa
   upasthānaparicaryāya tāttakā caiva gaṅgānadīvālukāsamāṃ lokadhātavaḥ	upasTAna-paricaryAya tAttakA ca-eva gaFgA-nadI-vAlukA-samAm lokaDAtavaH
   paramāṇurajāṃsi .................. ttakābhidya bhitvā vā tāttakā caiva	paramANu-H-ajAMsi .................. ttaka-aBidya BitvA vA tAttakA ca-eva
   vārāpeya / tān sarvaṃ lokadhātuḥ saptaratnaparipūrṇaṃ	vArApeya / tAn sarvam lokaDAtuH sapta-ratna-paripUrNam
   kṛtvā..................... naṃ dadyādbuddhānāṃ bhagavatāṃ yāvajjīvaṃ ca	kRtvA-a..................... nam dadyAt-budDAnAm BagavatAm yAvajjIvam ca
   manapena kāya karmaṇā vākkarmaṇā manaskarmaṇā upa ....................	manapena kAya karmaNA vAkkarmaNA manaskarmaNA upa ....................
   pāricaryāya tāttakā caiva gaṅgānadīvālukāsamān api tāttakā caiva buddhānāṃ	pAricaryAya tAttakA ca-eva gaFgA-nadI-vAlukA-samAn api tAttakA ca-eva budDAnAm
   bhagavataṃ satkuryād.................. n mānayet pūjayet teṣāṃ ca	Bagavatam satkuryAt-.................. n mAnayet pUjayet tezAm ca
   parinirvṛtānāṃ saptaratnamayā stupā kārāpayet / yaśca kulaputro vā	parinirvRtAnAm sapta-ratna-mayA stupA kArApayet / yaH-ca kula-putraH vA
   kula.................... tā vā ito mahāratnakūṭāt sūtrāntarājñā	kula.................... tAH vE itas mahA-ratna-kUwAt sUtrAnta-rAjQA
   sarvabuddhabhāṣitādekāmapi gāthā udgṛhṇeya dhāra................... asya	sarva-budDa-BAzitAt-ekAm-api gATAH udgRhNeya DAra................... asya
   puṇyaskandhasya sa pūrvakapuṇyaskandhaḥ śatimāmapi / kalānopaiti /	puNya-skanDasya sa pUrvaka-puNya-skanDaH SatimAm-api / kalAna-upEti /
   sahasrimāmapi / ko........................ tasahasrimāmapi / saṅkhyāmapi /	sahasrimAm-api / ko........................ tasahasrimAm-api / saFKyAm-api /
   kalāmapi / gaṇanāmapi / upamāpi / upaniṣāmapi / nakṣa....................	kalAm-api / gaNanAm-api / upamA-api / upanizAm-api / nakza....................
   yośca śruṇeya śrutvā ca na parikṣipeya / ayaṃ tato bahutaraḥ	yoH-ca SruNeya SrutvA ca na parikzipeya / ayam tatas bahutaraH
   puṇyaskandhaprasuto bhavet / yaśca mātṛ .........................śṛṇuyād	puNya-skanDa-prasutaH Bavet / yaH-ca mAtR .........................-SRNuyAt-
   vā likhāpayed vā paryāpnuyād vā tasya na jātu vinipāto bhaviṣyati / sa eva	vA liKApayet vA paryApnuyAt vA tasya na jAtu vinipAtaH Bavizyati / saH eva
   tasya paśe ...................... vo bhaviṣyati /	tasya paSe ...................... vaH Bavizyati /
   KP.160 yatra ca pṛthivīpradeśo ayaṃ ratnakūṭo dharmaparyāyo bhāṣyate vā	KP.160 yatra ca pRTivI-pradeSaH ayam ratnakUwaH Darma-paryAyaH BAzyate vA
   deśyate vā likhyate vā.......................... vā pustagataṃ vā tiṣṭhet	deSyate vA liKyate vA.-......................... vA pusta-gatam vA tizWet-
   sa pṛthivīpradeśe caityabhūto sadevakasya lokasya yasya ca	sa pRTivI-pradeSe cEtya-BUtaH sa-devakasya lokasya yasya ca
   dharmabhāṇakasyānt......................... d imaṃ dharmaparyāyaṃ śriṇuyād	Darma-BANakasya-ant......................... d imam Darma-paryAyam SriNuyAt-
   vā udgṛhṇīyād vā likhed vā paryāpnuyād vā / tasya	vA udgRhNIyAt vA liKet vA paryApnuyAt vA / tasya
   dharmabhāṇakasyāntike................... vaṃrūpā gauravām utpādayitavyaḥ	Darma-BANakasya-antike................... vaMrUpAH gOravAm utpAdayitavyaH
   tadyathāpi nāma kāśyapa tathāgatasya /	tat-yaTA-api nAma kASyapa taTAgatasya /
   y..................................................ṇakaṃ satkariṣyati	y..................................................Nakam satkarizyati
   gurukariṣyati mānayiṣyati / pūj...................... ṇakāle cāsya	gurukarizyati mAnayizyati / pUj...................... Na-kAle ca-asya
   tathāgatadarśānaṃ bhaviṣyati /	taTAgata-darSAnam Bavizyati /
   KP.161 tathāgatadarśanena ca daśa ca kāyakarmapāriśuddhi	KP.161 taTAgata-darSanena ca daSa ca kAya-karma-pAriSudDi
   pratilap.......................... katame daśa /	pratilap.......................... katame daSa /
   yaduta...................vedanāyā aparyādattacitta kālaṃ kariṣyati /	yat-uta...................-vedanAyAH aparyAdatta-citta kAlam karizyati /
   cakṣuvibhramaścāsya na bhaviṣyati............... stavikṣepaṃ ca kariṣyati	cakzu-viBramaH-ca-asya na Bavizyati............... stavikzepam ca karizyati
   3 na pādavikṣepaṃ ca kariṣyati / 4 noccāraṃ kariṣyati / 5 na prasrāvaṃ	3 na pAda-vikzepam ca karizyati / 4 na-uccAram karizyati / 5 na prasrAvam
   kariṣyati / 6 na............................................. ātsvedaṃ	karizyati / 6 na............................................. Atsvedam
   prayariṣyati / 7 na muṣṭiṃ kariṣyati / 8 na cākāśaṃ parāmṛśati / 9 yathā	prayarizyati / 7 na muzwim karizyati / 8 na ca-AkASam parAmRSati / 9 yaTA
   niṣaṇ .................	nizaz .................
   KP.162	KP.162
   KP.163	KP.163
   KP.164	KP.164
   KP.165	KP.165
   KP.166	KP.166
