   śrī bhakti sandarbhaḥ	SrI  Bakti sandarBaH
   garbhāruṇekṣaṇam [BhP 7.28.13] ity ādi śrī kapila devopadeśataḥ sva 	garBa aruNa IkzaNam [Bhj 7.28.13] iti Adi  SrI  kapila  deva upadeSataH sva  
   saundaryādi sphūrti lakṣaṇaṃ svasmin kṛtaṃ tvadīyopakāraṃ yo vetti sa ko	sOndarya Adi  sPUrti  lakzaNam svasmin kRtam tvadIya upakAram yaH vetti sa ko
   nu	nu
   visṛjet tac cāpi citta baḍiśaṃ śanakair viyuṅkte [BhP 7.28.34] iti tad 	visRjet tat ca api citta baxiSam SanakEs viyuFkte [Bhj 7.28.34] iti tat  
   upadiṣī̀oādhikāri viśeṣavat parityajyate ? na ko'pīty arthaḥ | tasmād yas	upadizÌoADikAri  viSeza vat parityajyate ? na kaH api iti arTaH | tasmAt yaH 
   tyajati sa kṛtaghna eveti bhāvaḥ | kathambhūtaṃ tvām ? svarūpata	tyajati sa kRtaGnaH eva iti BAvaH | kaTamBUtam tvAm ? svarUpata
   evākhilānām ātmanā dayitaṃ prāṇa koṭi preṣṭham īśvaraṃ cety ādi | tathā	eva aKilAnAm AtmanA dayitam prANa  kowi  prezWam ISvaram ca iti Adi | taTA
   nu vitarke, tvad vyatiriktaṃ kim api devatāntaraṃ dharma jñānādi sādhanaṃ	nu vitarke, tvad  vyatiriktam kim api devatA antaram Darma jQAna Adi sADanam
   bhūtyai aiśvaryāya saṃsārasya vismṛtaye mokṣāya vā ko bhajeta | na ko'pīty	BUtyE ESvaryAya saMsArasya vismRtaye mokzAya vA kaH Bajeta | na kaH api iti 
   arthaḥ | asmākaṃ tu tat tat phalam api tva bhakter evāntarbhūtam ity āha	arTaH | asmAkam tu tat tat Palam api tva BakteH eva antarBUtam iti Aha
   kiṃ	kim
   ceti | vāśabdena tatrāpy anādaraḥ sūcitaḥ | tad uktaṃ yat karmabhir yat	ca iti | vA Sabdena tatra api anAdaraH sUcitaH | tat uktam yat karmaBiH yat 
   tapasā	tapasA
   [BhP 11.20.32] ity ādi |	[Bhj 11.20.32] iti Adi |
   naivopayanty apacitiṃ kavayas taveśa	na eva upayanti apacitim kavayaH tava ISa
   brahmāyuṣāpi kṛtam ṛddha mudaḥ smarantaḥ |	brahma AyuzA api kRtam RdDa mudaH smarantaH |
   yo'ntar bahis tanu bhṛtām aśubhaṃ vidhunvann	yaH antar bahis tanu BRtAm aSuBam viDunvat = 
   ācārya caittya vapuṣā sva gatiṃ vyanakti || [BhP 11.29.6]	AcArya  cEttya  vapuzA sva  gatim vyanakti || [Bhj 11.29.6]
   he īśa ! kavayaḥ sarvajñāḥ brahma tulyāyuṣo'pi tat kāla paryantaṃ	he ISa ! kavayaH sarvajQAH brahma  tulya AyuzaH api tat kAla  paryantam
   bhajanto'pīty arthaḥ | tava kṛtam upakāram ṛddha muda upacita tvad bhakti 	BajantaH api iti arTaH | tava kRtam upakAram RdDa mudaH upacita tvad  Bakti 
   paramānandāḥ santaḥ smaranto'pacitiṃ pratyupakāram ānṛṇyam iti yāvat |	parama AnandAH santaH smarantaH apacitim pratyupakAram AnRNyam iti yAvat |
   tāṃ na upayanti paśyanti | tasmān na visṛjed ity uktam | kṛtam āha   yo	tAm naH upayanti paSyanti | tasmAt na visRjet iti uktam | kRtam Aha  yaH 
   bhavān tanu bhṛtāṃ tvat kṛpā bhājanatvena keṣāṃcit sakala tanu dhāriṇāṃ	BavAn tanu BRtAm tu at kRpA  BAjana tvena kezAMcid sakala  tanu  DAriNAm
   bahir ācārya vapuṣā guru rūpeṇa, antaś caittya vapuṣā citta sphurita 	bahis AcArya  vapuzA guru  rUpeNa, antar cEttya vapuzA citta  sPurita 
   dhyeyākāreṇāśubhaṃ tvad bhakti pratiyogi sarvaṃ vidhunvan sva gatiṃ	Dyeya AkAreNa aSuBam tvad  Bakti pratiyogi sarvam viDunvan sva  gatim
   svānubhavaṃ vyanakti iti |	sva anuBavam vyanakti iti |
   || 11.29 || śrīmad uddhavaḥ || 326 329 ||	|| 11.29 || SrImat  udDavaH || 326 329 ||
   tathaiva sva bhakter atiśayitvaṃ śrī bhagavān api tad anantaram uvāca |	taTA eva sva BakteH atiSayi tvam SrI  BagavAn api tad  anantaram uvAca |
   tatra	tatra
   ca tādṛśān prati śuddhāṃ sva bhaktiṃ hanta te kathayiṣyāmi [BhP 11.29.8]	ca tAdRSAn prati SudDAm sva Baktim hanta te kaTayizyAmi [Bhu 11.29.8]
   ity	iti 
   ādi caturbhir uktvāpy etādṛśān prati ca karuṇayā sva bhajana 	Adi caturBiH uktvA api etAdRSAn prati ca karuNayA sva Bajana 
   pravartanārtham anyad vicāritavān caturbhiḥ | yataḥ prāyaśo lokāḥ	pravartana arTam anyat  vicAritavAn caturBiH | yatas prAyaSas lokAH
   spardhādi parāḥ kathañcid antarmukhatve'pi sarvāntaryāmi rūpa tvad 	sparDA Adi  parAH kaTaQcid antarmuKa tve api sarva antaryAmi   rUpa tvad 
   bhajana mātra jñānina ity ālocya kṛpayā teṣāṃ spardhādīn jhaṭiti	Bajana  mAtra  jQAninaH iti Alocya kRpayA tezAm sparDA AdIn Jawiti
   dūrīkartuṃ svasminn evāntar mukhī kartuṃ ca viṣṭabhyāham idaṃ kṛtsnam	dUrIkartum svasmin eva antar muKI  kartum ca vizwaBya aham idam kRtsnam
   ekāṃśena sthito jagat [Gītā 10.42] ity	eka aMSena sTitaH jagat [GItAH 10.42] iti 
   ādy ukta tad antaryāmi rūpa svāṃśasya	Adi  ukta  tad  antaryAmi   rUpa sva aMSasya
   bhajana sthāne sva bhajanam upadiṣṭavān | yathā   	Bajana sTAne sva Bajanam upadizwavAn | yaTA   
   mām eva sarva bhūteṣu bahir antar apāvṛtam |	mAm eva sarva BUtezu bahis antar apAvRtam |
   īkṣetātmani cātmānaṃ yathā kham amalāśayaḥ || [BhP 11.29.12]	Ikzeta Atmani ca AtmAnam yaTA Kam amala ASayaH || [Bhj 11.29.12]
   ṭīkā ca   antaraṅgāṃ bhaktim āha mām iti tribhiḥ | sarva bhūteṣv ātmani	wIkA ca  antaraFgAm Baktim Aha mAm iti triBiH | sarva BUtezu Atmani
   cātmānam īśvara sthitaṃ mām eva īkṣeta ity eṣā | (page 176)	ca AtmAnam ISvara  sTitam mAm eva Ikzeta iti ezA | (page 176)
   kathambhūtam īśvaram ? bahir antaḥ pūrṇam ity arthaḥ | tat kutaḥ ?	kaTamBUtam ISvaram ? bahis antar pUrNam iti arTaH | tat kutas ?
   apāvṛtam anāvaraṇam | tad api kutaḥ ? yathā kham anaṅgatvād vibhutvāc	apAvRtam anAvaraNam | tat api kutas ? yaTA Kam anaFga tvAt viBu tvAt 
   cety arthaḥ | atra mām eveti śrī kṛṣṇa rūpam evekṣata, na tu	ca iti arTaH | atra mAm eva iti SrI kRzNa   rUpam eva Ikzata, na tu
   kevalāntaryāmi rūpam ity abhiprāyeṇaivāntaraṅgāṃ bhaktim āheti	kevala antaryAmi  rUpam iti aBiprAyeNa eva antaraFgAm Baktim Aha iti
   vyākhyātam |	vyAKyAtam |
   tataś ca  	tatas ca  
   iti sarvāṇi bhūtāni mad bhāvena mahā dyute |	iti sarvANi BUtAni mad  BAvena mahA dyute |
   sabhājayan manyamāno jñānaṃ kevalam āśritaḥ ||	saBAjayan manyamAnaH jQAnam kevalam ASritaH ||
   brāhmaṇe pukkase stene brahmaṇye'rke sphuliṅgake |	brAhmaNe pukkase stene brahmaNye arke sPuliFgake |
   akrūre krūrake caiva sama dṛk paṇḍito mataḥ || [BhP 11.29.13 14]	akrUre krUrake ca eva sama dRS paNxitaH mataH || [Bhj 11.29.13 14]
   kevalaṃ jñānam antaryāmi dṛṣṭim āśrito'pīti pūrvokta prakāreṇa sarvāṇi	kevalam jQAnam antaryAmi dRzwim ASritaH api iti pUrva ukta  prakAreNa sarvANi
   bhūtāni mad bhāvena teṣu mama śrī kṛṣṇa rūpasya yo bhāvo'stitvaṃ tad 	BUtAni mad  BAvena tezu mama SrI kRzNa   rUpasya yaH BAvaH astitvam tat  
   viśiṣṭatayā manyamānaḥ sabhājayan paṇḍito mataḥ | mad dṛṣṭyā	viSizwa tayA manyamAnaH saBAjayan paNxitaH mataH | mad  dRzwyA
   brāhmaṇādiṣu sama dṛk samaṃ mām eva paśyatīti |	brAhmaNa Adizu sama dRS samam mAm eva paSyati iti |
   tataś ca nareṣv abhīkṣṇam [BhP 11.29.15] ity ādinā tādṛśa svopāsanā 	tatas ca narezu aBIkzNam [Bhj 11.29.15] iti AdinA tAdRSa  sva upAsanA 
   viśeṣasya jhaṭiti spardhādi ksaya lakṣaṇaṃ phalam uktvā visṛjya [BhP	viSezasya Jawiti sparDA Adi  ksaya  lakzaNam Palam uktvA visRjya [BhP
   11.29.16] ityādinā tathā dṛṣṭa sādhanaṃ sarva namaskāram upadiśya yāvat	11.29.16] ityAdinA taTA a dRzwa  sADanam sarva namaskAram upadiSya yAvat 
   [BhP 11.29.17] ity ādinā tādṛśopāsanāyā avadhiṃ ca sarvatra svataḥ sva 	[Bhj 11.29.17] iti AdinA tAdRSa upAsanAyAH avaDim ca sarvatra svatas sva  
   sphūrtim uktvā sarvaṃ [BhP 11.29.18] ity ādinā   	sPUrtim uktvA sarvam [Bhj 11.29.18] iti AdinA   
   navyavad dhṛdaye yaj jño brahmaitad brahma vādibhiḥ |	navya vat DRdaye yat jQaH brahma etat brahma  vAdiBiH |
   na muhyanti na śocanti na hṛṣyanti yato gatāḥ || [BhP 4.30.20]	na muhyanti na Socanti na hRzyanti yatas gatAH || [Bhj 4.30.20]
   iti pracetasaḥ prati śrī bhagavad vākye taṭ ṭīkāyāṃ ca tasya bhagavataḥ	iti pracetasaH prati SrI  Bagavat  vAkye taw wIkAyAm ca tasya BagavataH
   pratipada navya sphūrtir eva brahmetīti yad uktaṃ tad eva tat phalam ity	pratipada navya   sPUrtiH eva brahma iti iti yat uktam tat eva tat Palam iti 
   uktvā, yad vā katham anyāvatārasya brahmatā bhavatīti gopāla tāpanī 	uktvA, yat vA kaTam anya avatArasya brahma tA Bavati iti gopAla tApanI 
   prasiddha brahmety abhidhāna narākṛti para brahma rūpa sphūrtis tat 	prasidDa  brahma iti  aBiDAna   nara AkRti para brahma rUpa  sPUrtiH tat 
   phalam ity uktvā tenaiva tādṛśopāsanāṃ sarvordhvam api praśaṃsati  	Palam iti uktvA tena eva tAdRSa upAsanAm sarva UrDvam api praSaMsati  
   ayaṃ hi sarva kalpānāṃ sadhrīcīno mato mama |	ayam hi sarva kalpAnAm saDrIcInaH mataH mama |
   mad bhāvaḥ sarva bhūteṣu mano vāk kāya vṛttibhiḥ || [BhP 11.29.19]	mad BAvaH sarva BUtezu mano vAk kAya  vRttiBiH || [Bhj 11.29.19]
   sarva kalpānāṃ sarvopāyānāṃ sadhrīcīnaḥ samīcīnaḥ | mad bhāvo mama	sarva  kalpAnAm sarva upAyAnAm saDrIcInaH samIcInaH | mad BAvaH mama
   śrī kṛṣṇa rūpasya bhāvanā |	SrI kRzNa   rUpasya BAvanA |
   etac ca śrī kṛṣṇa bhajanasyāntaryāmi bhajanād apy ādhikyaṃ śrī 	etat ca SrI  kRzNa  Bajanasya antaryAmi  BajanAt api ADikyam SrI 
   gītopasaṃhārānusāreṇaivoktam   	gIta upasaMhAra anusAreNa eva uktam   
   īśvaraḥ sarva bhūtānāṃ hṛddeśe'rjuna tiṣṭhati |	ISvaraH sarva BUtAnAm hRd deSe arjuna tizWati |
   bhrāmayan sarvabhūtāni yantrārūḍhāni māyayā ||	BrAmayan sarva BUtAni yantra ArUXAni mAyayA ||
   tam eva śaraṇaṃ gaccha sarvabhāvena bhārata |	tam eva SaraNam gacCa sarva BAvena BArata |
   tatprasādāt parāṃ śāntiṃ sthānaṃ prāpsyasi śāśvatam ||	tad prasAdAt parAm SAntim sTAnam prApsyasi SASvatam ||
   iti te jñānam ākhyātaṃ guhyād guhyataraṃ mayā |	iti te jQAnam AKyAtam guhyAt guhyataram mayA |
   vimṛśyaitad aśeṣeṇa yathecchasi tathā kuru ||	vimRSya etat aSezeNa yaTA icCasi taTA kuru ||
   page 177)	page 177)
   sarva guhyatamaṃ bhūyaḥ śṛṇu me paramaṃ vacaḥ |	sarva guhyatamam BUyas SRNu me paramam vacaH |
   iṣṭo'si me dṛḍham iti tato vakṣyāmi te hitam ||	izwaH asi me dRXam iti tatas vakzyAmi te hitam ||
   man manā bhava mad bhakto mad yājī māṃ namaskuru |	man manAH Bava mad BaktaH mad yAjI mAm namaskuru |
   mām evaiṣyasi satyaṃ te pratijāne priyo'si me ||	mAm eva ezyasi satyam te pratijAne priyaH asi me ||
   sarva dharmān parityajya mām ekaṃ śaraṇaṃ vraja |	sarva  DarmAn parityajya mAm ekam SaraNam vraja |
   ahaṃ tvā sarva pāpebhyo mokṣayiṣyāmi mā śucaḥ || [Gītā 18.61 66] iti |	aham tvA sarva pApeByaH mokzayizyAmi mA SucaH || [GItA 18.61 66] iti |
   atra ca guhyaṃ pūrvādhyāyoktaṃ jñānam | guyataram antaryāmi jñānam |	atra ca guhyam pUrva aDyAya uktam jQAnam | guyataram antaryAmi  jQAnam |
   sarva guhyatamaṃ tan manastvādi lakṣaṇaṃ tad eka śaraṇatva lakṣaṇaṃ ca	sarva guhyatamam tan manaH tu Adi   lakzaNam tad  eka SaraNa tva  lakzaNam ca
   tad upāsanam iti samānam | evaṃ śrī gītāsv eva navamādhyāye'pi   	tad  upAsanam iti samAnam | evam SrI  gItAsu eva navama aDyAye api   
   idaṃ tu te guhyatamaṃ pravakṣyāmy anasūyave |	idam tu te guhyatamam pravakzyAmi anasUyave |
   jñānaṃ vijñāna sahitaṃ yaj jñātvā mokṣyase'śubhāt || [Gītā 9.1]	jQAnam vijQAna  sahitam yat jQAtvA mokzyase aSuBAt || [GItAH 9.1]
   rāja vidyā rāja guhyam [Gītā 9.2] ity ādinā vakṣyamānārthaṃ praśasya śrī 	rAja vidyA rAja  guhyam [GItA 9.2] iti AdinA vakzyamAna arTam praSasya SrI 
   kṛṣṇa rūpa sva bhajana śraddhā hīnān nindaṃs tac chraddhāvataḥ	kRzNa   rUpa  sva Bajana  SradDA  hInAn nindan tac SradDAvatas 
   praśastavān svayam eva | yathā  	praSastavAn svayam eva | yaTA  
   avajānanti māṃ mūḍhā mānuṣīṃ tanum āśritam |	avajAnanti mAm mUXAH mAnuzIm tanum ASritam |
   paraṃ bhāvam ajānanto mama bhūta maheśvaram ||	param BAvam ajAnantaH mama BUta  maheSvaram ||
   moghāśā mogha karmāṇo mogha jñānā vicetasaḥ |	moGa ASAH moGa karmANaH moGa jQAnAH vicetasaH |
   rākṣasīm āsurīṃ caiva prakṛtiṃ mohinīṃ śritāḥ ||	rAkzasIm AsurIm ca eva prakRtim mohinIm SritAH ||
   mahātmānas tu māṃ pārtha daivīṃ prakṛtim āśritāḥ |	mahAtmAnaH tu mAm pArTa dEvIm prakRtim ASritAH |
   bhajanty ananya manaso jñātvā bhūtādim avyayam || [Gītā 9.11 13] iti |	Bajanti ananya manasaH jQAtvA BUtAdim avyayam || [GItAH 9.11 13] iti |
   mām eva anādareṇa mānuṣīṃ tanum āśritaṃ jānantīty arthaḥ | tasmāt	mAm eva anAdareNa mAnuzIm tanum ASritam jAnanti iti arTaH | tasmAt 
   sarvāntaryāmi bhajanād apy uttamatvena tad anantaraṃ ca sarva guhyatamam	sarva antaryAmi  BajanAt api uttama tvena tad  anantaram ca sarva  guhyatamam
   ity atra sarva grahaṇāt sarvata uttamatvena śrī kṛṣṇa bhajane siddhe tad 	iti atra sarva  grahaNAt sarvatas uttama tvena SrI  kRzNa  Bajane sidDe tat  
   avatārāntara bhajanāt sutarām evottamatā sidhyati | atha tām eva	avatAra antara  BajanAt sutarAm eva uttamatA siDyati | aTa tAm eva
   kaimutyenāpy āha   	kEm utyena api Aha   
   yo yo mayi pare dharmaḥ kalpyate niṣphalāya cet |	yaH yaH mayi pare DarmaH kalpyate nizPalAya ced |
   tad āyāso nirarthaḥ syād bhayāder iva sattama || [BhP 11.29.21]	tad  a AyAsaH nirarTaH syAt Baya AdeH iva sattamaH || [Bhj 11.29.21]
   mayi mad arpitatvena kṛto yo you dharmo veda vihitaḥ sa sa yadi niṣphalāya	mayi mad  arpita tvena kRtaH yaH you DarmaH veda  vihitaH sa sa yadi nizPalAya
   phalābhāvāya kalpyate phala kāmanayā nārpyata ity arthaḥ | tadā tatra	Pala aBAvAya kalpyate Pala kAmanayA na arpyate iti arTaH | tadA tatra
   tatrāyāsaḥ śrāntir anirarthaḥ syād vyartho na bhavati | niṣphalāyeti	tatra AyAsaH SrAntiH anirarTaH syAt vyarTaH na Bavati | nizPalAya iti
   viśeṣaṇaṃ	viSezaNam
   phala bhogādi rūpa tad bhakty antarāyābhāvenānirarthatātiśaya tātparyam |	Pala  Boga Adi  rUpa tad Bakti  antarAya aBAvena anirarTatA atiSaya  tAtparyam |
   tatrānirarthatve kaimutyena śrī kṛṣṇa lakṣaṇasya svasyāsādhāraṇa 	tatra anirarTa tve kEmutyena SrI kRzNa  lakzaNasya svasya asADAraNa 
   bhajanīyatā vyañjako dṛṣṭānto bhayāder iveti | yathā kaṃsādau mat 	BajanIyatA  vyaQjakaH dRzwAntaH Baya AdeH iva iti | yaTA kaMsa AdO mat 
   sambandha mātreṇa bhayāder apy āyāso nirartho na bhavati mokṣa 	sambanDa  mAtreNa Baya AdeH api AyAsaH nirarTaH na Bavati mokza 
   sampādakatvād ity arthaḥ |	sampAdaka tvAt iti arTaH |
   atha śrīmad uddhavavat śrī kṛṣṇaikānugatānāṃ sādhanatve sādhyatve ca	aTa SrImat  udDava vat SrI kRzNA eka anugatAnAm sADana tve sADya tve ca
   svayaṃ śrī kṛṣṇa rūpa eva paramopādeya ity āha    (page 178)	svayam SrI  kRzNa  rUpaH eva parama upAdeyaH iti Aha   (page 178)
   jñāne karmaṇi yoge ca vārtāyāṃ daṇḍa dhāraṇe	jQAne karmaNi yoge ca vArtAyAm daNxa  DAraNe
   yāvān artho nṛṇāṃ tāta tāvāṃs te'haṃ catur vidhaḥ || [BhP 11.29.33]	yAvAn arTaH nRNAm tAta tAvAn te aham catur viDaH || [Bhj 11.29.33]
   jñānādau yāvān dharmādi lakṣaṇaś caturvidho'rthas tāvān sarvo'py aham	jQAna AdO yAvAn Darma Adi  lakzaNaH caturviDaH arTaH tAvAn sarvaH api aham
   eva | tatra jñāne mokṣaḥ | karmaṇi dharmaḥ kāmaś ca | yoge nānā vidha 	eva | tatra jQAne mokzaH | karmaNi DarmaH kAmaH ca | yoge nAnA a viDa 
   siddhi lakṣaṇo laukiko vārtāyāṃ daṇḍa dhāraṇe ca nānā vidha laukikaś	sidDi  lakzaNaH lOkikaH vArtAyAm daNxa  DAraNe ca nAnA a viDa lOkikaS
   cārtha iti caturvidhatvaṃ jñeyam |	ca arTaH iti caturviDa tvam jQeyam |
   || 11.29 || śrī bhagavān || 330 334 ||	|| 11.29 || SrI  BagavAn || 330 334 ||
   punar evam eva śrīmad uddhavo'pi prārthitavān  	punar evam eva SrImat  udDavaH api prArTitavAn  
   namo'stu te mahā yogin prapannam anuśādhi mām	namaH astu te mahA yogin prapannam anuSADi mAm
   yathā tvac caraṇāmbhoje ratiḥ syād anapāyinī || [BhP 11.29.40]	yaTA tvac caraNa amBoje ratiH syAt anapAyinI || [Bhj 11.29.40]
   ṭīkā ca   evaṃ yadyapi tvayā bahu kṛtaṃ tathāpy etāvat prārthaya ity āha	wIkA ca  evam yadi api tvayA bahu kRtam taTA api etAvat prArTayaH iti Aha
   namo'stv iti | anuśādhi anuśikṣaya | anuśāsanīyatvam evāha yatheti |	namaH astu iti | anuSADi anuSikzaya | anuSAsanIya tvam eva Aha yaTA iti |
   muktāv	muktOv
   apy anapāyinī ity eṣā |	api anapAyinI iti ezA |
   || 11.29 || śrīmān uddhavaḥ || 335 ||	|| 11.29 || SrImAn udDavaH || 335 ||
   ataevānyatrāy abhiprāyāya  	ataeva anyatrAy aBiprAyAya  
   yathā tvām aravindākṣa yādṛśaṃ vā yad ātmakam |	yaTA tvAm aravinda akza yAdRSam vA yat  Atmakam |
   dhyāyen mumukṣur etan me dhyānaṃ tvaṃ vaktum arhasi || [BhP 11.14.31]	DyAyet mumukzuH etat me DyAnam tvam vaktum arhasi || [Bhj 11.14.31]
   ṭīkā ca   mumukṣus tvāṃ yathā dhyāyet tan me vakutm arhasi jijñāsoḥ	wIkA ca  mumukzuH tvAm yaTA DyAyet tat me vakutm arhasi jijQAsoH
   kathanāya me | punar etat tvad dāsyam eva puruṣārthaḥ | na tu dhyānena	kaTanAya me | punar etat tvad  da Asyam eva puruza arTaH | na tu DyAnena
   kṛtyam astīti | tad uktam tvayopabhukta srag gandha [BhP 11.6.31] ity ādi	kRtyam asti iti | tat uktam tvayA upaBukta  sraj  ganDaH [Bhj 11.6.31] iti  Adi
   ity	iti 
   eṣā |	ezA |
   || 11.14 || śrīmān uddhavaḥ || 336 ||	|| 11.14 || SrImAn udDavaH || 336 ||
   tasya sarvāvatārāvatāriṣv aprakaṭitaṃ parama śubha svabhāvatvaṃ ca	tasya sarva avatAra avatArizu aprakawitam parama  SuBa  svaBAva tvam ca
   smṛtvāha   	smRtvA Aha   
   aho bakī yaṃ stana kāla kūṭaṃ	aho bakI yam stana  kAla  kUwam
   jighāṃsayāpāyayad apy asādhvī |	jiGAMsayA apAyayat api asADvI |
   lebhe gatiṃ dhātry ucitāṃ tato'nyaṃ	leBe gatim DAtrI  ucitAm tatas anyam
   kaṃ vā dayāluṃ śaraṇaṃ vrajema || [BhP 3.2.23]	kam vA dayAlum SaraNam vrajema || [Bhj 3.2.23]
   dhātryā yā ucitā gatis tām eva ||	DAtryAH yA ucitA gatiH tAm eva ||
   || 3.2 || sa eva || 337 ||	|| 3.2 || saH eva || 337 ||
   atha gokule'pi śrīmad vraja vadhū sahita rāsādi līlātmakasya parama 	aTa gokule api SrImat  vraja  vaDU  sahita rAsa Adi  lIlA Atmakasya parama 
   vaiśiṣṭyam āha  	vESizwyam Aha  
   vikrīḍitaṃ vraja vadhūbhir idaṃ ca viṣṇoḥ	vikrIxitam vraja vaDUBiH idam ca vizNoH
   śraddhānvito yaḥ śṛṇuyād atha varṇayed vā |	SradDA anvitaH yaH SRNuyAt aTa varNayet vA |
   bhaktiṃ parāṃ bhagavati parilabhya kāmaṃ	Baktim parAm Bagavati parilaBya kAmam
   hṛd rogam āśv apahinoty acireṇa dhīraḥ || [BhP 10.33.39]	hRd  rogam ASu apahinoti acireNa DIraH || [Bhj 10.33.39]
   ca kārād anyac ca | atheti vātha | śṛṇuyād vā varṇayed vā | upalakṣaṇaṃ	ca kArAt anyat ca | aTa iti vA aTa | SRNuyAt vA varNayet vA | upalakzaNam
   caitad dhyānādeḥ | parāṃ yataḥ parā nānyā kutracid vidyate tādṛśīm | hṛd 	ca etat DyAna AdeH | parAm yatas parA na anyA kutracid vidyate tAdRSIm | hRd 
   rogaṃ kāmādikam api śīghram eva tyajati | atra sāmānyato'pi paramatva 	rogam kAma Adikam api SIGram eva tyajati | atra sAmAnyatas api parama tva 
   siddhes tatrāpi parama śreṣṭha śrī rādhā saṃvalita līlā maya tad bhajanaṃ	sidDeH tatra api parama  SrezWa  SrI  rADA  saMvalita  lIlA maya  tad Bajanam
   tu paramatamam eveti svataḥ sidhyati | kintu rahasya līlā tu pauruṣa 	tu paramatamam eva iti svatas siDyati | kintu rahasya  lIlA tu pOruza 
   vikāravad indriyaiḥ pitṛ putra dāsa bhāvaiś ca nopāsyā (page 179) svīya 	vikAra vat indriyEH pitR putra dA sa BAvEH ca na upAsyAH (page 179) svIya 
   bhāva virodhāt | rahasyatvaṃ ca tasyāḥ kvacid alpāṃśena kvacit tu	BAva  viroDAt | rahasya tvam ca tasyAH kvacid alpa aMSena kvacid tu
   sarvāṃśeneti jñeyam |	sarva aMSena iti jQeyam |
   || 10.33 || śrī śukaḥ || 338 ||	|| 10.33 || SrI  SukaH || 338 ||
   tatra te bhakti mārgāḥ darśitāḥ | atra ca śrī guroḥ śrī bhagavato vā	tatra te Bakti  mArgAH darSitAH | atra ca SrI  guroH SrI  BagavataH vA
   prasāda 	prasAda 
   labdhaṃ sādhana sādhya gataṃ svīya sarvasva bhūtaṃ yat kim api rahasyaṃ	labDam sADana  sADya  gatam svIya  sarva sva  BUtam yat kim api rahasyam
   tat	tat 
   tu na kasmaicit prakāśanīyam | yathāha  	tu na kasmEcid prakASanIyam | yaTA Aha  
   naitat parasmā ākhyeyaṃ pṛṣṭayāpi kathañcana |	na etat parasmE AKyeyam pRzwayA api kaTaQcana |
   sarvaṃ sampadyate devi deva guhyaṃ susaṃvṛtam || [BhP 8.17.20]	sarvam sampadyate devi deva guhyam su saMvRtam || [Bhj 8.17.20]
   sampadyate phaladaṃ bhavati |	sampadyate Pala dam Bavati |
   || 8.17 || śrī viṣṇur aditim || 339 ||	|| 8.17 || SrI  vizNuH aditim || 339 ||
