   namo buddhāya	namaH budDAya
   ghanajaghanajaradbhūribhūrjāṃśukāni /	Gana jaGana jarat BUri BUrja aMSukAni /
   vindhyaskandheṣu dhātudravaracitakucaprāntapatrāṅkurāṇi krīḍanti	vinDya skanDezu DAtu drava racita kuca prAnta patra aFkurANi krIxanti
   kroḍalagnaiḥ kapiśiśubhir aviśrāntam antaḥpurāṇi // VidSrk_41.25 *(1405)	kroxa lagnEH kapi SiSuBiH aviSrAntam antaHpurANi // Vit Srj _41.25 *(1405)
   tvannāsīravisārivāraṇabharabhraśyanmahīyantraṇād	tvad na asIra visAri vAraNa Bara BraSyat mahIyantraNAt 
   antaḥkhinnabhujaṅgabhogavigalallālābhir āsīn nadī /	antar Kinna BujaFga Boga vigalallAlABiH AsIt nadI /
   kiṃ cāsyāṃ jalakelilālasavalannāgāṅganānāṃ phaṇa  śreṇībhir maṇikeśarābhir	kim ca asyAm jala keli lAlasa valat nAga aFganAnAm PaNa SreNIBiH maNikeSarABiH 
   abhavat sambhūtir ambhoruhām // VidSrk_41.26 *(1406) //	aBavat samBUtiH amBoruhAm // Vit Srj _41.26 *(1406) //
   gaṅgādharasya	gaFgADarasya
   saṃgrāmāṅgaṇasaṃgatena bhavatā cāpe samāropite devākarṇaya yena yena	saMgrAma aFgaNa saMgatena BavatA cApe samAropite deva AkarNaya yena yena
   mahasā yad yat samāsāditam /	mahasA yat yat samAsAditam /
   kodaṇḍena śarāḥ śaraī ripuśiras tenāpi bhūmaṇḍalaṃ tena tvaṃ bhavatā ca	kodaNxena SarAH SaraI ripu SiraH tena api BU maNxalam tena tvam BavatA ca
   kīrtir anaghā kīrtyā ca lokatrayam // VidSrk_41.27 *(1407) //.	kIrtiH anaGA kIrtyA ca lokatrayam // Vit Srj _41.27 *(1407) //.
   saṃgrāmāṅgaṇasya	saMgrAma aFgaNasya
   śarair vyarthaṃ nātha tribhuvanajayārambhacaturais tava jyānirghoṣaṃ	SarEH vyarTam nATa triBuvana jaya AramBa caturEH tava jyA nirGozam
   nṛpatir iha ko nāma sahate /	nRpatiH iha kaH nAma sahate /
   yam uccair ākarṇya tridaśapatir apy āhavabhiyā hriyā pārśvaṃ paśyan	yam uccEs AkarNya tridaSa patiH api Ahava BiyA hriyA pArSvam paSyan
   nibhṛtanibhṛtaṃ muñcati dhanuḥ // VidSrk_41.28 *(1408) //.	niBRta niBRtam muQcati DanuH // Vit Srj _41.28 *(1408) //.
   nāhillasya	na ahillasya
   ṛkṣasya kroḍasaṃdhiprahitamukhatayā maṇḍalībhūtamūrter ārāt suptasya vīra	Rkzasya kroxa saMDi prahita muKa tayA maNxalIBUta mUrteH ArAt suptasya vIra
   tvadarivarapuradvāri nīhārakāle /	tvad ari vara pura dvAri nIhAra kAle /
   prātar nidrāvinodakramajanitamukhonmīlitaṃ cakṣur ekaṃ vyādhāḥ	prAtar nidrAvinoda krama janita muKa unmIlitam cakzuH ekam vyADAH
   pālālabhasmasthitadahanakaṇākāram ālokayanti // VidSrk_41.29 *(1409) //.	pAlAla Basma sTita dahana kaNA AkAram Alokayanti // Vit Srj _41.29 *(1409) //.
   te kaupīnadhanās ta eva hi paraṃ dhātrīphalaṃ bhuñjate teṣāṃ dvāri nadanti	te kOpIna DanAH te eva hi param DAtrI Palam BuQjate tezAm dvAri nadanti
   vājinivahās tair eva labdhā kṣitiḥ /	vAji nivahAH tEH eva labDA kzitiH /
   tair etat samalaṃkṛtaṃ nijakulaṃ kiṃ vā bahu brūmahe ye dṛṣṭāḥ	tEH etat samalaMkRtam nija kulam kim vA bahu brUmahe ye dRzwAH
   parameśvareṇa bhavatā ruṣṭena tuṣṭena vā // VidSrk_41.30 *(1410) //.	parameSvareNa BavatA ruzwena tuzwena vA // Vit Srj _41.30 *(1410) //.
   jayādityasya	jaya Adityasya
   dattendrābhayavibhramādbhutabhujāsambhāragambhīrayā tvadvṛttyā	datta indra aBaya viBrama adButa BujA samBAra gamBIrayA tvad vRttyA
   śithilīkṛtas tribhuvanatrāṇāya nārāyaṇaḥ /	SiTilIkRtaH triBuvana trANAya nArAyaNaH /
   antastoṣatuṣārasaurabhamayaśvāsānilāpūraṇa  prāṇottuṅgabhujaṅgatalpam	antar toza tuzAra sOraBa maya SvAsa anila ApUraNa prANa uttuFga BujaFga talpam
   adhunā bhadreṇa nidrāyate // VidSrk_41.31 *(1411) //	aDunA BadreNa nidrAyate // Vit Srj _41.31 *(1411) //
   vatse mādhavi tāta campaka śiśo mākanda kaunti priye hā mātar madayanti hā	vatse mADavi tAta campaka SiSaH mAkanda kOnti priye hA mAtar madayanti hA
   kurabaka bhrātaḥ svasar mālati /	kurabaka BrAtar svasar mAlati /
   ity evaṃ ripumandireṣu bhavataḥ śṛṇvanti naktaṃcarā	iti evam ripu mandirezu BavataH SRNvanti naktaMcarA
   golāṅgūlavimardasambhramavaśād udyānadevīgiraḥ // VidSrk_41.32 *(1412) //.	golAFgUla vimarda samBrama vaSAt udyAna devI giraH // Vit Srj _41.32 *(1412) //.
   śubhāṅgasya	SuBa aFgasya
   vajrin vajram idaṃ jahīhi bhagavan īśa triśūlena kiṃ viṣṇo tvaṃ ca vimuñca	vajrin vajram idam jahIhi Bagavan ISa triSUlena kim vizNo tvam ca vimuQca
   cakram amarāḥ sarve tyajantv āyudham /	cakram amarAH sarve tyajantu AyuDam /
   adyāyaṃ paracakrabhūmanṛpater voḍhuṃ trilokīdhuraṃ	adya ayam para cakra BUma nRpateH voXum trilokI Duram
   prauḍhārātighaṭāvighaṭṭanapaṭur dordaṇḍa evodyataḥ // VidSrk_41.33 *(1413)	prOXa arAti GawA viGawwana pawuH dos daNxaH eva udyataH // Vit Srj _41.33 *(1413)
   bāṇās te paracakravikramakalāvailakṣyadikṣāguror vīkṣante	bANAH te para cakra vikrama kalA vElakzya dikzA guroH vIkzante
   mihirāṃśumāṃsalarucaḥ kṣiptāḥ pratidveṣiṇaḥ /	mihirAMSu mAMsala rucaH kziptAH pratidveziNaH /
   hastāhallitahāravallitaralā yuddhāṅgaṇālokana 	hastA hallita hAra vallita ralAH yudDa aFgaNa Alokana 
   krīḍāloladigaṅganāsamudayonmuktāḥ kaṭākṣā iva // VidSrk_41.34 *(1414) //	krIxA lola diS aFganA samudaya unmuktAH kawAkzAH iva // Vit Srj _41.34 *(1414) //
   mañjuśrīmitrasya	maQjuSrI mitrasya
   mandodvṛntaiḥ śirobhir maṇibharagurubhiḥ prauḍharomāñcadaṇḍa 	manda udvRntEH SiroBiH maNi Bara guruBiH prOXa romAQca daNxa 
   sphāyannirmokasaṃdhiprasaradavigalatsaṃmadasvedapūrāḥ /	sPAyat nirmoka saMDi prasarat avigalat saMmada sveda pUrAH /
   jihvāyugmābhipūrṇānandaviṣamasamudgīrṇavarṇābhirāmaṃ velāśailāṅkabhājo	jihvA yugma aBipUrNa Ananda vizama samudgIrNa varNa aBirAmam velA SEla aFka BAjaH 
   bhujagayuvatayas tvadguṇān udgṛṇanti // VidSrk_41.35 *(1415) //.	Bujaga yuvatayaH tvad guNAn udgRNanti // Vit Srj _41.35 *(1415) //.
   murāreḥ	murAreH
   jīyāsuḥ kalikālakarṇakajagaddāridryadārūdara 	jIyAsuH kali kAla karNaka jagat dAridrya dAru udara 
   vyāghūrṇadghuṇacūrṇalaṅgimajuṣas tvatpādayoḥ pāṃsavaḥ /	vyAGUrNat GuNa cUrNa laFgimajuzaH tvad pAdayoH pAMsavaH /
   lakṣmīsadmasarojareṇusuhṛdaḥ sevāvanamrībhavad 	lakzmI sadma saroja reNu suhRdaH sevA avanamrIBavat  
   bhūmīpālakirīṭaratnakiraṇajyotsnānadīvālikāḥ // VidSrk_41.36 *(1416) //	BUmIpAla kirIwa ratna kiraNa jyotsnA nadI vAlikAH // Vit Srj _41.36 *(1416) //
   vallaṇasya	vallaNasya
   pṛthur asi guṇaiḥ kīrtyā rāmo nalo bharato bhavān mahati samare śatrughnas	pRTuH asi guNEH kIrtyA rAmaH nalaH BarataH BavAn mahati samare SatruGna s
   tvaṃ sadaiva yudhiṣṭhiraḥ /	tvam sadA eva yuDizWiraH /
   iti sucaritair bibhrad rūpaṃ ciraṃtanabhūbhujāṃ katham asi na māṃdhātā	iti su caritEH biBrat rUpam ciraMtana BUBujAm kaTam asi na mA aMDAtA
   deva trilokavijayy api // VidSrk_41.37 *(1417) //.	deva triloka vijayI api // Vit Srj _41.37 *(1417) //.
   prabhur asi vayaṃ mālākāravratavyavasāyino vacanakusumaṃ tenāsmābhis	praBuH asi vayam mAlAkAra vrata vyavasAyinaH vacana kusumam tena asmABis
   tavādaraḍhaukitam /	tava Adara XOkitam /
   yadi tad aguṇaṃ kaṇṭhe mā dhās tathorasi mā kṛthā navam iti kiyat karṇe	yadi tat aguNam kaNWe mA DAH taTA urasi mA kRTAH navam iti kiyat karNe
   dhehi kṣaṇaṃ phalatu śramaḥ // VidSrk_41.38 *(1418) //.	Dehi kzaNam Palatu SramaH // Vit Srj _41.38 *(1418) //.
   bhayam ekam anekebhyaḥ śatrubhyo yugapat sadā /	Bayam ekam anekeByaH SatruByaH yugapad sadA /
   dadāti tac ca tenāsti rājaṃś citram idaṃ mahat // VidSrk_41.39 *(1419) //	dadAti tat ca tena asti rAjan citram idam mahat // Vit Srj _41.39 *(1419) //
   sarvadā sarvado 'sīti mithyā saṃstūyase budhaiḥ /	sarvadA sarva daH asi iti miTyA saMstUyase buDEH /
   nārayo lebhire pṛṣṭhaṃ na vakṣaḥ parayoṣitaḥ // VidSrk_41.40 *(1420) //	na arayaH leBire pRzWam na vakzaH para yozitaH // Vit Srj _41.40 *(1420) //
   apūrveyaṃ dhanurvidyā bhavatā śikṣitā kutaḥ /	apUrvA iyam DanuH vidyA BavatA SikzitA kutas /
   mārgaṇaughaḥ samāyāti guṇo yāti digantaram // VidSrk_41.41 *(1421) //	mArgaNa oGaH samAyAti guNaH yAti digantaram // Vit Srj _41.41 *(1421) //
   sālakānanayoge 'pi sālakānanavarjitā /	sAla kAnana yoge api sAla kAnana varjitAH /
   hārāvaruddhakaṇṭhāpi vihārārivadhūs tava // VidSrk_41.42 *(1422) //	hAra avarudDa kaNWA api vihAra ari vaDUH tava // Vit Srj _41.42 *(1422) //
   amī vīryamitrasya	amI vIrya mitrasya
   karṣadbhiḥ sicayāñcalān atirasāt kurvadbhir āliṅganam / gṛhṇānaiḥ kacam	karzadBiH sicaya aQcalAn ati rasAt kurvadBiH AliFganam / gRhNAnEH kacam
   ālikhadbhir adharaṃ vidrāvayadbhiḥ kucau /	AliKadBiH aDaram vidrAvayadBiH kucO /
   pratyakṣe 'pi kaliṅgamaṇḍalapater antaḥpurāṇām aho dhik kaṣṭaṃ viṭapair	pratyakze api kaliFga maNxala pateH antaHpurANAm aho Dik kazwam viwapEH 
   viṭair iva vane kiṃ nāma nāceṣṭitam // VidSrk_41.43 *(1423) //.	viwEH iva vane kim nAma na acezwitam // Vit Srj _41.43 *(1423) //.
   vasukalpasya	vasu kalpasya
   gambhīranīrasarasīr api paṅkaśeṣāḥ kurvanti ye dinakarasya karās ta eva /	gamBIra nIrasa rasIH api paFka SezAH kurvanti ye dinakarasya karAH te eva /
   stvadvīravairivanitānayanāmbuleśa  śoṣe kathaṃ pratihatā iti me vitarkaḥ	stvad vIra vEri vanitA nayana ambuleSa Soze kaTam pratihatAH iti me vitarkaH
   // VidSrk_41.44 *(1424) //	// Vit Srj _41.44 *(1424) //
   tvatsainyaglapitasya pannagapater acchinnadhārākramaṃ visphārāyataśālini	tvad sEnya glapitasya pannaga pateH acCinna DArA kramam visPAra Ayata SAlini
   pratiphaṇaṃ phelāmbhasi bhraśyati /	pratiPaNam Pela amBasi BraSyati /
   deva kṣmāvalayaprabho phaṇikulaiḥ pravyaktam ekottara 	deva kzmA valaya praBo PaNi kulEH pravyaktam eka uttara 
   sthūlastambhasahasradhāritam iva kṣmācakram ālokyate // VidSrk_41.45	sTUla stamBa sahasra DAritam iva kzmA cakram Alokyate // Vit Srj _41.45
   śeṣaṃ kleśayituṃ diśaḥ sthagayituṃ peṣṭuṃ dharitrībhṛtaḥ sindhūn	Sezam kleSayitum diSaH sTagayitum pezwum DaritrIBRtaH sinDUn
   dhūlibhareṇa kardamayituṃ tair eva roddhuṃ nabhaḥ /	DUli BareNa kardamayitum tEH eva rodDum naBaH /
   nāsīre ca muhur muhuś cala calety ālāpakolāhalān kartuṃ nātha varūthinīyam	na AsIre ca muhur muhur cala cala iti AlApa kolAhalAn kartum nATa varUTinIyam
   avanīṃ jetuṃ punas tvadbhujau // VidSrk_41.46 *(1426) //.	avanIm jetum punar tvad BujO // Vit Srj _41.46 *(1426) //.
   vasukalpasya	vasu kalpasya
   deva tvatsainyabhārād avanim avanatāṃ dhartum uttabdhadehaḥ	deva tvad sEnya BArAt avanim avanatAm Dartum uttabDa dehaH
   sphūtkārakṣveḍamīlatphaṇaśatanipatatpīnalālāpravāhaḥ /	sPUtkAra kzvexa mIlat PaNa Satanipatat pI nalAlA pravAhaH /
   dṛṣṭaḥ prārohaśālī vaṭa iva phalito raktamūrdhanyaratnaḥ kūrmeṇoddhṛtya	dRzwaH prAroha SAlI vawaH iva PalitaH rakta mUrDanyaratnaH kUrmeNa udDRtya
   kaṇṭhaṃ nijavipulavapuś catvare sarparājaḥ // VidSrk_41.47 *(1427) //.	kaNWam nija vipula vapuH catvare sarpa rAjaH // Vit Srj _41.47 *(1427) //.
   ambhaḥ kardamatām upaiti sahasā paṅkadravaḥ pāṃśutāṃ pāṃśur	amBaH kardama tAm upEti sahasA paFka dravaH pAMSu tAm pAMSuH 
   vāraṇakarṇatālapavanair dikprāntanīhāratām /	vAraNa karNa tAla pavanEH diS prAnta nIhAra tAm /
   nimnatvaṃ girayaḥ samaṃ viṣamatāṃ śūnyaṃ janasthānakaṃ niryāte tvayi	nimna tvam girayaH samam vizama tAm SUnyam janasTAnakam niryAte tvayi
   rājyapāla bhavati tyaktasvabhāvaṃ jagat // VidSrk_41.48 *(1428) //.	rAjya pAla Bavati tyakta svaBAvam jagat // Vit Srj _41.48 *(1428) //.
   mahodadheḥ	mahodaDeH
   asindūreṇa sīmanto mā bhūn no yoṣitām iti /	asindUreNa sImantaH mA BUt naH yozitAm iti /
   ataḥ pariharanty ājā  vasiṃ dūreṇa te 'rayaḥ // VidSrk_41.49 *(1429) //	atas pariharanti AjA vasim dUreNa te arayaH // Vit Srj _41.49 *(1429) //
   deva tvaṃ kila kuntalagraharuciḥ kāñcīm apāsārayan kṣipraṃ kṣiprakaras	deva tvam kila kuntala graha ruciH kAQcIm apAsArayan kzipram kzipra karas
   tataḥ prahaṇanaṃ prārabdham aṅgeṣv api /	tatas prahaNanam prArabDam aFgezu api /
   ity ākūtajuṣas tava stavakṛtā vaitālikenodite lajjante pramadāḥ parasparam	iti AkUta juzaH tava stava kRtAH vEtAlikena udite lajjante pramadAH parasparam
   abhiprekṣyārayo bibhyati // VidSrk_41.50 *(1430) //.	aBiprekzya arayaH biByati // Vit Srj _41.50 *(1430) //.
   bhīme prasthānabhāji sphuradasijaladāpahnutadveṣivahnau gṛhṇītāhnāya sarve	BIme prasTAna BAji sPurat asi jalada apahnuta dvezi vahnO gRhNIta AhnAya sarve
   bhuvi bhuvanabhujaś cāmaraṃ vā diśo vā /	Buvi Buvana BujaH cAmaram vA diSaH vA /
   naivaṃ ced vas tadānīṃ pradhanadhṛtadhanur muktarāvarṇaviddhaṃ gṛdhrā	na evam ced vaH tadAnIm praDana DRta DanuH muktarAvarNa vidDam gRDrA
   mūrdhānam ūrdhvaṃ nabhasi rabhasino lāghavenoddharanti // VidSrk_41.51	mUrDAnam UrDvam naBasi raBasinaH lAGavena udDaranti // Vit Srj _41.51
   vasukalpasya	vasu kalpasya
   bhavān īhitakṛn nityaṃ tvaṃ himānīgiristhitaḥ /*	BavAn Ihita kRt nityam tvam himAnI giri sTitaH /*
   ataḥ śaṃkara evāsi sadā skandaḥ paraṃ na te // VidSrk_41.52 *(1432) //*	atas SaMkaraH eva asi sadA skandaH param na te // Vit Srj _41.52 *(1432) //*
   ābālyādhigamān mayaiva gamitaḥ koṭiṃ parām unnater asmatsaṃkathayaiva	AbAlya aDigamAt mayA eva gamitaH kowim parAm unnateH asmad saMkaTayA eva
   pārthivasutaḥ sampraty ayaṃ lajjate /	pArTiva sutaH samprati ayam lajjate /
   itthaṃ khinna ivātmajena yaśasā dattāvalambo 'mbudheḥ prāptas	itTam KinnaH iva Atmajena yaSasA datta avalambaH ambuDeH prApta s
   tīratapovanāni bhavato vṛddho guṇānāṃ gaṇaḥ // VidSrk_41.53 *(1433) //.	tIra tapaH vanAni BavataH vRdDaH guNAnAm gaNaH // Vit Srj _41.53 *(1433) //.
   stanayugam aśrusnātaṃ samīpataravartihṛdayaśokāgneḥ /*	stana yugam aSru snAtam samIpatara varti hRdaya Soka agneH /*
   carati vimuktāhāraṃ vratam iva bhavato ripustrīṇām // VidSrk_41.54 *(1434)	carati vimukta AhAram vratam iva BavataH ripu strINAm // Vit Srj _41.54 *(1434)
   saṃkalpe 'ṅkuritaṃ dvipatritam atha prasthānavelāgame mārge pallavitaṃ	saMkalpe aFkuritam dvi patritam aTa prasTAna velA game mArge pallavitam
   puraṃ praviśataḥ śākhāśatair udgatam /	puram praviSataH SAKA SatEH udgatam /
   prātarbhāvini darśane mukulitaṃ dṛṣṭe tu deva tvayi protphullaṃ phalitaṃ	prAtar BAvini darSane mukulitam dRzwe tu deva tvayi protPullam Palitam
   ca samprati manorājyadrumeṇādya me // VidSrk_41.55 *(1435) //.	ca samprati manorAjya drumeNa adya me // Vit Srj _41.55 *(1435) //.
   bhūtivibhūṣitadehāḥ kāntārāgeṇa labdhamahimānaḥ /*	BUti viBUzita dehAH kAntA rAgeNa labDa mahimAnaH /*
   trikaliṅganyastakarā bhavadarayas tvatsamā jātāḥ // VidSrk_41.56 *(1436)	tri kaliFga nyasta karAH Bavat arayaH tvad samAH jAtAH // Vit Srj _41.56 *(1436)
   jāne vikramavardhana tvayi dhanaṃ viśrāṇayaty arthināṃ bhāvī śoṇa	jAne vikrama varDana tvayi Danam viSrANayati arTinAm BAvI SoNa
   ivopalair upacito ratnair agādho 'mbudhiḥ /	iva upalEH upacitaH ratnEH agADaH ambuDiH /
   tat paśyāmi ca rohaṇo maṇibharair ādhmāyamānodaraḥ	tat paSyAmi ca rohaNaH maNi BarEH ADmAyamAna udaraH
   pākotpīḍitadāḍimīphaladaśāṃ kaiścid dinair yāsyati // VidSrk_41.57 *(1437)	pAka utpIxita dAximI Pala daSAm kEScid dinEH yAsyati // Vit Srj _41.57 *(1437)
   ekas tridhā hṛdi sadā vasasi sma citraṃ yo vidviṣāṃ ca viduṣāṃ ca	ekaH triDA hRdi sadA vasasi sma citram yaH vidvizAm ca viduzAm ca
   mṛgīdṛśāṃ ca /	mRgI dRSAm ca /
   tāpaṃ ca saṃmadarasaṃ ca ratiṃ ca tanvañ śauryoṣmaṇā ca vinayena ca līlayā	tApam ca saMmada rasam ca ratim ca tanvan SOrya UzmaNA ca vinayena ca lIlayA
   ca // VidSrk_41.58 *(1438) //	ca // Vit Srj _41.58 *(1438) //
   deva tvām aham arthaye ciram asau varṣāgamo nirgatas tīrthaṃ tīrtham itas	deva tvAm aham arTaye ciram asO varza AgamaH nirgataH tIrTam tIrTam itas
   tato vicarituṃ ceto 'dhunā dhāvati /	tatas vicaritum cetaH aDunA DAvati /
   tad viśrāmaya vīra vīryanibiḍajyābandhanāt kārmukaṃ mā bhūd	tat viSrAmaya vIra vIrya nibixa jyA banDanAt kArmukam mA BUt 
   vairivadhūvilocanajalair mārgakramo durgamaḥ // VidSrk_41.59 *(1439) //.	vEri vaDU vilocana jalEH mArga kramaH durgamaH // Vit Srj _41.59 *(1439) //.
   dvirūpā samare rājann ekaivāsilatāvadhūḥ /	dvi rUpA samare rAjan ekEva asi latA vaDUH /
   dārikārikarīndrāṇāṃ subhaṭānāṃ ca kuṭṭanī // VidSrk_41.60 *(1440) //	dArikAri karIndrANAm su BawAnAm ca kuwwanI // Vit Srj _41.60 *(1440) //
   āmṛśya stanamaṇḍalaṃ pratimuhuḥ saṃcumbya gaṇḍasthalīṃ grīvāṃ	AmRSya stana maNxalam pratimuhur saMcumbya gaNxa sTalIm grIvAm
   pratyavalambya sambhramabalair āhanyamānaḥ karaiḥ /	pratyavalambya samBrama balEH AhanyamAnaH karEH /
   suptasyādrinadinikuñjagahane mattaḥ payodānilaiḥ karṇānte maśakaḥ kim apy	suptasya adri nadi nikuQja gahane mattaH payoda anilEH karNa ante maSakaH kim api 
   arivadhūsārthasya te jalpati // VidSrk_41.61 *(1441) //.	ari vaDU sArTasya te jalpati // Vit Srj _41.61 *(1441) //.
   lambamānanayanāmbubindavaḥ kandarāsu gahanāsu bhūbhṛtām /*	lambamAna nayana ambu bindavaH kandarAsu gahanAsu BUBRtAm /*
   ākapolatalalolakuntalāḥ saṃcaranti tava vairiyoṣitaḥ // VidSrk_41.62	Akapola tala lola kuntalAH saMcaranti tava vEri yozitaH // Vit Srj _41.62
   mā te bhavatu śatrūṇāṃ yā śrutiḥ śrūyate kvipaḥ /	mA te Bavatu SatrUNAm yA SrutiH SrUyate kvipaH /
   sārdhaṃ bandhubhir aṅgasya yā parasmaipade sici // VidSrk_41.63 *(1443) //	sArDam banDuBiH aFgasya yA parasma epade sici // Vit Srj _41.63 *(1443) //
   tat kalpadrumapuṣpasaṃstarirajas tat kāmadhenoḥ payas taṃ ca	tat kalpadruma puzpa saMstari rajaH tat kAmaDenoH payaH tam ca
   tryambakanetradagdhavapuṣaḥ puṣpāyudhasyānalam /	tryambaka netra dagDa vapuzaH puzpa AyuDasya analam /
   padmāyāḥ śvasitānilāni ca śaratkālasya tac ca sphuṭaṃ vyomādāya vinirmito	padmAyAH Svasita anilAni ca Sarad kAlasya tat ca sPuwam vyoma AdAya vinirmitaH 
   'si vidhinā kāmboja tubhyaṃ namaḥ // VidSrk_41.64 *(1444) //.	asi viDinA kAmboja tuByam namaH // Vit Srj _41.64 *(1444) //.
   vasukalpasya	vasu kalpasya
   dviṣo bhavanti vīrendra mukhe na tava saṃmukhāḥ /	dvizaH Bavanti vIra indra muKe na tava saMmuKAH /
   bhavadbhujabalaprauḍhi  parityājitahetayaḥ // VidSrk_41.65 *(1445) //	Bavat Buja bala prOXi parityAjita hetayaH // Vit Srj _41.65 *(1445) //
   kṣiptaḥ kṣīragṛhe na dugdhajaladhiḥ koṣe na hemācalo dikpālā api	kziptaH kzIragRhe na dugDa jalaDiH koze na hemAcalaH dikpAlAH api
   pālipālanavidhav ānīya nāropitāḥ /	pAli pAlana viDau AnIya na AropitAH /
   no vā dikkarinaḥ kvaṇanmadhulihaḥ paryāyaparyāṇana  krīḍāyāṃ viniyojitā	naH vA dikkarinaH kvaNat maDu lihaH paryAya paryANana krIxAyAm viniyojitA
   vada kṛtaṃ kiṃ kiṃ tvayā digjaye // VidSrk_41.66 *(1446) //	vada kRtam kim kim tvayA diS jaye // Vit Srj _41.66 *(1446) //
   dakṣasya	dakzasya
   vāhavyūhakhurāgraṭaṅkavihatikṣuṇṇakṣamājanmabhir dhūlībhiḥ pihite vihāyasi	vAha vyUha Kura agra waFka vihati kzuNNa kzamA janmaBiH DUlIBiH pihite vihAyasi
   bhavatprasthānakālotsave /	Bavat prasTAna kAla utsave /
   diṅmohākulasūrasūtavipathabhrāmyatturaṅgāvalī dīrghāyuḥkṛtavāsaraḥ	diS moha Akula sUra sUta vipaTa BrAmyat turaFga AvalI dIrGa AyuH kRta vAsaraH
   pratidiśaṃ vyasto ravis tāmyati // VidSrk_41.67 *(1447) //.	pratidiSam vyastaH raviH tAmyati // Vit Srj _41.67 *(1447) //.
   dātaiṣa viśvaviditaḥ kim ayaṃ dadāti sarvāhitāni jagate nanu vārtam etat /	dAtA eza viSva viditaH kim ayam dadAti sarva ahitAni jagate nanu vArtam etat /
   asyodayāt prabhṛti vāñchati dānapātraṃ cintāmaṇir yadi dadāti dadātu tāvat	asya udayAt praBRti vAQCati dAna pAtram cintAmaNiH yadi dadAti dadAtu tAvat 
   // VidSrk_41.68 *(1448) //	// Vit Srj _41.68 *(1448) //
   aṅkokasya	aFkokasya
   pūrṇe 'gre kalaśo vilāsavanitāḥ smerānanāḥ kanyakā	pUrNe agre kalaSaH vilAsa vanitAH smera AnanAH kanyakA
   dānaklinnakapolapaddhatir ibho gauradyutir govṛṣaḥ /	dAna klinna kapola padDatiH iBaH gOra dyutiH go vRzaH /
   kṣīrakṣmāruhi vāyaso madhuravāg vāmā śiveti dhruvaṃ tvāṃ praty uccalatāṃ	kzIrakzmAruhi vAyasaH maDura vAc vAmA SivA iti Druvam tvAm prati uccalatAm
   narendratilaka prādurbhavanty arthinām // VidSrk_41.69 *(1449) //.	narendra tilaka prAdurBavanti arTinAm // Vit Srj _41.69 *(1449) //.
   yato yato nṛpa nakhapṛṣṭhapāṭalaṃ vilocanaṃ calati tava prasīdataḥ /	yatas yatas nRpa naKa pRzWa pAwalam vilocanam calati tava prasIdataH /
   tatas tato nalinavanādhivāsinī tadīpsayā kila kamalānudhāvati //	tatas tatas nalina vanA aDivAsinI tad IpsayA kila kamala anuDAvati //
   VidSrk_41.70 *(1450) //	Vit Srj _41.70 *(1450) //
