   Aśokāvadānaṃ	ASoka-avadAnam
   gītaṃ kunālena mayi prasaktaṃ vīṇāsvaraścaiva śrutaścireṇa /	gItam kunAlena mayi prasaktam vINAsvaraH-ca-eva SrutaH-cireNa /
   abhyāgato 'pīha gṛhaṃ nu kañcin na cecchati draṣṭumayaṃ kumāraḥ //	aByAgataH api-iha gRham nu kaQcid na ca-icCati drazwu-mayam kumAraH //
   atha rājāśoko 'nyatamapuruṣamāhūyovāca / puruṣa lakṣyate /	aTa rAja-aSokaH anyatama-puruzam-AhUya-uvAca / puruza lakzyate /
   na khalveṣa kiṃ gītasya kunālasadṛśo dhvaniḥ /	na Kalu-eza kim gItasya kunAla-sadRSaH DvaniH /
   karmaṇyadhairyatāṃ caiva sūcayanniva lakṣyate //	karmaNi-aDEryatAm ca-eva sUcayan=-iva lakzyate //
   tadanenāsmi śabdena dhairyādākampito bhṛśaṃ /	tad-anena-asmi Sabdena DEryAt-AkampitaH BRSam /
   kalabhasyeva naṣṭasya pranaṣṭakalabhaḥ karī //	kalaBasya-iva nazwasya pranazwa-kalaBaH karI //
   gaccha kunālamānayasveti / yāvat puruṣo yānaśālāṃ gataḥ / paśyati kunālam	gacCa kunAlam-Anayasva-iti / yAvat puruzaH yAna-SAlAm gataH / paSyati kunAlam
   uddhṛtanayanaṃ vātātapaparidagdhagātramapratyabhijñāya ca rājānamaśokam	udDRta-nayanam vAta-Atapa-paridagDa-gAtram-apratyaBijQAya ca rAjAnam-aSokam
   abhigamyovāca / deva na hyeṣa kunālaḥ / andhaka eṣa vanīpakaḥ patnyā saha	aBigamya-uvAca / deva na hi-eza kunAlaH / anDakaH eza vanIpakaH patnyA saha
   devasya yānaśālāyām avasthitaḥ / śrutvā ca rājā saṃvignaścintayāmāsa /	devasya yAna-SAlAyAm avasTitaH / SrutvA ca rAjA saMvignaH-cintayAmAsa /
   yathā mayā svapnānyaśobhanāni dṛṣṭāni niyataṃ kunālasya nayanāni vinaṣṭāni	yaTA mayA svapna-ani-a-SoBanAni dRzwAni niyatam kunAlasya nayanAni vinazwAni
   bhaviṣyanti / āha ca /	Bavizyanti / Aha ca /
   svapnāntare nimittāni yathā dṛṣṭāni me purā /	svapna-antare nimittAni yaTA dRzwAni me purA /
   niḥsaṃśayaṃ kunālasya netre vai nidhanaṃ gate //	niHsaMSayam kunAlasya netre vE niDanam gate //
   tato rājā prarudannuvāca /	tatas rAjA prarudan=-uvAca /
   śīghramānīyatāmeṣa matsamīpaṃ vanīpakaḥ /	SIGram-AnIyatAm-eza mad-samIpam vanIpakaH /
   na hi me śāmyate cetaḥ sutavyasanacintayā //	na hi me SAmyate cetaH suta-vyasana-cintayA //
   yāvat puruṣo yānaśālāṃ gatvā kunālamuvāca / kasya tvaṃ putraḥ / kiṃ ca	yAvat puruzaH yAna-SAlAm gatvA kunAlam-uvAca / kasya tvam putraH / kim ca
   nāma / kunālaḥ prāha /	nAma / kunAlaH prAha /
   (A-av 119)	(a-a-au 119)
   aśoko nāma rājāsau mauryāṇāṃ kulavardhanaḥ /	aSokaH nAma rAjA-asO mOryANAm kula-varDanaH /
   kṛtsneyaṃ pṛthivī yasya vaśe vartati kiṃkara //	kRtsnA-iyam pRTivI yasya vaSe vartati kiMkara //
   tasya rājñastvahaṃ putraḥ kunāla iti viśrutaḥ /	tasya rAjQaH-tu-aham putraH kunAlaH iti viSrutaH /
   dhārmikasya tu putro 'haṃ buddhasya ādityabāndhavaḥ //	DArmikasya tu putraH aham budDasya Aditya-bAnDavaH //
   tataḥ kunāla patnyā saha rājño 'śokasya samīpamānītaḥ / atha rājāśokaḥ	tatas kunAla patnyA saha rAjQaH aSokasya samIpam-AnItaH / aTa rAja-aSokaH
   [paśyati] kunālamuddhṛtanayanaṃ vātātapaparidagdhagātraṃ	[paSyati] kunAlam-udDRta-nayanam vAta-Atapa-paridagDa-gAtram
   rathyācoḍakasaṃghātapratyavareṇa vāsasā lakṣyālakṣyapracchāditakaupīnaṃ /	raTyA-coxaka-saMGAta-pratyavareNa vAsasA lakzya-alakzya-pracCAdita-kOpInam /
   sa tamapratyabhijñāya ākṛtimātrakaṃ dṛṣṭvā kathayati / tvaṃ kunāla iti /	sa tam-apratyaBijQAya AkRti-mAtrakam dRzwvA kaTayati / tvam kunAlaH iti /
   kunālaḥ prāha / evaṃ deva kunālo 'smīti / śrutvā mūrcchito bhūmau patitaḥ	kunAlaH prAha / evam deva kunAlaH asmi-iti / SrutvA mUrcCitaH BUmO patitaH
   / vakṣyati hi /	/ vakzyati hi /
   tataḥ kunālasya mukhaṃ nirīkṣya netroddhṛtaṃ śokaparītacetāḥ /	tatas kunAlasya muKam nirIkzya netra-udDRtam Soka-parIta-cetAH /
   rājā hyaśokaḥ patito dharaṇyāṃ hā putra śokena hi dahyamānaḥ //	rAjA hi-aSokaH patitaH DaraNyAm hA putra Sokena hi dahyamAnaH //
   yāvaj jalapariṣekaṃ kṛtvā rājānamutthāpayitvāsane niṣāditaḥ / atha rājā	yAvat jala-parizekam kRtvA rAjAnam-utTApayitvA-Asane nizAditaH / aTa rAjA
   kathañcit saṃjñāmupalabhya kunālamutsaṅge sthāpayāmāsa / vakṣyati hi /	kaTaQcid saMjQAm-upalaBya kunAlam-utsaFge sTApayAmAsa / vakzyati hi /
   tato muhūrtaṃ nṛpa āśvasitvā kaṇṭhe pariṣvajya rasāśrukaṇṭhaḥ /	tatas muhUrtam nRpaH ASvasitvA kaNWe parizvajya rasa-aSru-kaNWaH /
   muhuḥ kunālasya mukhaṃ pramṛjya bahūni rājā vilalāpa tatra //	muhur kunAlasya muKam pramRjya bahUni rAjA vilalApa tatra //
   netre kunālapratime vilokya sutaṃ kunāleti purā babhāse /	netre kunAla-pratime vilokya sutam kunAla-iti purA baBAse /
   tadasya netre nidhanaṃ gate te putraṃ kunāleti kathaṃ ca vakṣye //	tat-asya netre niDanam gate te putram kunAla-iti kaTam ca vakzye //
   āha ca /	Aha ca /
   kathaya kathaya sādhuputra tāvad vadanamidaṃ tava kena cārunetraṃ /	kaTaya kaTaya sADu-putra tAvat vadanam-idam tava kena cAru-netram /
   (A-av 120)	(a-a-au 120)
   gaganamiva vipannacandratāraṃ vyapagataśobham anīkṣakaṃ kṛtaṃ te //	gaganam-iva vipanna-candra-tAram vyapagata-SoBam anIkzakam kRtam te //
   akaruṇahṛdayena tena tāta munisadṛśasya na sādhu sādhubuddheḥ /	akaruNa-hRdayena tena tAta muni-sadRSasya na sADu sADu-budDeH /
   naravaranayaneṣvavairavairaṃ prakṛtamidaṃ mama bhūriśokamūlaṃ //	nara-vara-nayanezu-avEra-vEram prakRtam-idam mama BUri-Soka-mUlam //
   vada suvadana kṣiprametadarthaṃ vrajati śarīramidaṃ purā vināśaṃ /	vada su-vadana kzipram-etad-arTam vrajati SarIram-idam purA vinASam /
   tava nayanavināśaśokadagdhaṃ vanamiva nāgavimuktavajradagdhaṃ //	tava nayana-vinASa-Soka-dagDam vanam-iva nAga-vimukta-vajra-dagDam //
   tataḥ kunālaḥ pitaraṃ praṇipatya uvāca /	tatas kunAlaH pitaram praNipatya uvAca /
   rājannatītaṃ khalu naiva śocyaṃ kiṃ na śrutaṃ te munivākyam etat /	rAjan=-atItam Kalu na-eva Socyam kim na Srutam te muni-vAkyam etat /
   yatkarmabhiste 'pi jinā na muktāḥ pratyekabuddhāḥ sudṛḍhaistathaiva //	yat-karmaBiH-te api jinAH na muktAH pratyekabudDAH su-dRXEH-taTA-eva //
   labdhāphalasthāśca pṛthagjanāśca ye kṛtāni karmāṇyamṛtāni dehināṃ /	labDa-aPala-sTAH-ca pRTagjanAH-ca ye kRtAni karmANi-amRtAni dehinAm /
   svayaṃ kṛtānāmiha karmaṇāṃ phalaṃ kathaṃ tu vakṣyāmi parairidaṃ kṛtaṃ //	svayam kRtAnAm-iha karmaNAm Palam kaTam tu vakzyAmi parEH-idam kRtam //
   (A-av 121)	(a-a-au 121)
   ahameva mahārāja kṛtāparādhaśca sāparādhaśca / vinivartayāmi yo 'haṃ	aham-eva mahA-rAja kRta-aparADaH-ca sa-aparADaH-ca / vinivartayAmi yaH aham
   vinayāmi vipattijananāni /	vinayAmi vipatti-jananAni /
   na śastravajrāgniviṣāṇi pannagāḥ kurvanti pīḍāṃ rabhasāpakāriṇaḥ /	na Sastra-vajra-agni-vizANi pannagAH kurvanti pIxAm raBasa-apakAriNaH /
   śarīralakṣye hi dhṛte hi pārthiva patanti duḥkhānyaśivāni dehināṃ //	SarIra-lakzye hi DRte hi pArTiva patanti duHKAni-aSivAni dehinAm //
   atha rājā śokāgninā saṃtāpitahṛdaya uvāca /	aTa rAjA Soka-agninA saMtApita-hRdayaH uvAca /
   kenoddhṛtāni nayanāni sutasya mahyaṃ ko jīvitaṃ sumadhuraṃ tyajituṃ	kena-udDRtAni nayanAni sutasya mahyam kaH jIvitam su-maDuram tyajitum
   vyavastaḥ /	vyavastaH /
   śokānalo nipatito hṛdaye pracaṇḍaḥ ācakṣva putra laghu kasya harāmi daṇḍaṃ	Soka-analaH nipatitaH hRdaye pracaNxaH Acakzva putra laGu kasya harAmi daNxam
   yāvad rājñāśokena śrutaṃ tiṣyarakṣitāyā ayaṃ prayoga iti / śrutvā rājā	yAvat rAjQA-aSokena Srutam tizya-rakzitAyAH ayam prayogaH iti / SrutvA rAjA
   tiṣyarakṣitāmāhūyovāca /	tizya-rakzitAm-AhUya-uvAca /
   (A-av 122)	(a-a-au 122)
   kathaṃ hyadhanye na nimajjase kṣitau chettāsmi śīrṣaṃ paraśuprahāritaṃ /	kaTam hi-aDanye na nimajjase kzitO CettAsmi SIrzam paraSu-prahAritam /
   tyajāmyahaṃ tvāmatipāpakāriṇīm adharmayuktāṃ śriyamātmavāniva //	tyajAmi-aham tvAm-ati-pApa-kAriNIm aDarma-yuktAm Sriyam-AtmavAn-iva //
   tato rājā krodhāgninā prajvalitastiṣyarakṣitāṃ nirīkṣyovāca /	tatas rAjA kroDa-agninA prajvalitaH-tizya-rakzitAm nirIkzya-uvAca /
   utpāṭya netre paripāṭayāmi gātraṃ kimasyā nakharaiḥ sutīkṣṇaiḥ /	utpAwya netre paripAwayAmi gAtram kim-asyAH naKarEH su-tIkzNEH /
   jīvantiśūlāmatha kārayāmi chettāsmi nāsāṃ krakacena vāsyāḥ //	jIvanti-SUlAm-aTa kArayAmi CettAsmi na-AsAm krakacena vA-asyAH //
   kṣūreṇa jivhāmatha kartayāmi viṣeṇa pūrṇāmatha ghāṭayiṣye /	kzUreNa jivhAm-aTa kartayAmi vizeNa pUrNAm-aTa GAwayizye /
   sa evamityādivaghaprayogaṃ bahuprakāraṃ hyavadannarendraḥ //	saH evam-iti-Adi-vaGa-prayogam bahu-prakAram hi-avadat-narendraH //
   śrutvā kunālaḥ karuṇātmakastu vijñāpayāmāsa guruṃ mahātmā /	SrutvA kunAlaH karuNA-AtmakaH-tu vijQApayAmAsa gurum mahAtmA /
   anāryakarmā yadi tiṣyarakṣitā tvamāryakarmā bhava mā vadhī striyaṃ //	anArya-karmA yadi tizya-rakzitA tvam-Arya-karmA Bava mA vaDI striyam //
   phalaṃ hi maitryā sadṛśaṃ na vidyate prabho titikṣā sugatena varṇitā /	Palam hi mEtryA sadRSam na vidyate praBo titikzA sugatena varNitA /
   (A-av 123)	(a-a-au 123)
   punaḥ praṇamya pitaraṃ kumāraḥ kṛtāñjaliḥ sūnṛtavāg jagāda //	punar praNamya pitaram kumAraH kRtAQjaliH sUnRta-vAc jagAda //
   rājanna me duḥkhalavo 'sti kaścit tīvrāpakāre 'pi na manyutāpaḥ /	rAjan-na me duHKa-lavaH asti kaScid tIvra-apakAre api na manyu-tApaH /
   manaḥ prasannaṃ yadi me jananyāṃ yayoddhṛte me nayane svayaṃ hi /	manaH prasannam yadi me jananyAm yayA-udDRte me nayane svayam hi /
   tattena satyena mamāstu tāvan netradvayaṃ prāktanameva sadyaḥ //	tat-tena satyena mama-astu tAvat netra-dvayam prAktanam-eva sadyas //
   ityuktamātre pūrvādhikapraśobhite netrayugme prādurbabhūvatuḥ / yāvad	iti-ukta-mAtre pUrva-aDika-praSoBite netra-yugme prAdurbaBUvatuH / yAvat-
   rājñāśokena tiṣyarakṣitāmarṣitena jatugṛhaṃ praveśayitvā dagdhā /	rAjQA-aSokena tizya-rakzita-amarzitena jatu-gRham praveSayitvA dagDAH /
   takṣaśilāśca paurāḥ praghātitāḥ /	takzaSilAH-ca pOrAH praGAtitAH /
   bhikṣavaḥ saṃśayajātāḥ sarvasaṃśayachettāramāyuṣmantaṃ sthaviropaguptaṃ	BikzavaH saMSaya-jAtAH sarva-saMSaya-CettAram-Ayuzmantam sTavira-upaguptam
   pṛcchati / kiṃ kunālena karma kṛtaṃ yasya karmaṇo vipākena	pRcCati / kim kunAlena karma kRtam yasya karmaNaH vipAkena
   nayanānyutpāṭitāni /	nayanAni-utpAwitAni /
   sthavira uvāca / tena hyāyuṣmantaḥ śrūyatāṃ /	sTaviraH uvAca / tena hi-AyuzmantaH SrUyatAm /
   bhūtapūrvamatīte 'dhvani vārāṇasyāmanyatamo lubdhakaḥ / sa himavantaṃ	BUta-pUrvam-atIte aDvani vArANasyAm-anyatamaH lubDakaH / sa himavantam
   gatvā mṛgān praghātayati / so 'pareṇa samayena himavantaṃ gataḥ / tatra	gatvA mRgAn praGAtayati / saH apareNa samayena himavantam gataH / tatra
   cāśanipatitāni pañcamṛgaśatani ekasyā guhāyāṃ praviṣṭānyāsāditāni / tena	ca-aSani-patitAni paQcamRga-Satani ekasyAH guhAyAm pravizwAni-AsAditAni / tena
   vāgurayā sarve gṛhītāḥ / tasya buddhirutpannā / yadi (A-av 124)	vAgurayA sarve gRhItAH / tasya budDiH-utpannA / yadi (A-au 124)
   praghātayiṣyāmi māṃsaḥ kledamupayāsyati / tena pañcānāṃ	praGAtayizyAmi mAMsaH kledam-upayAsyati / tena paQcAnAm
   mṛgaśatānāmakṣīṇyutpāṭitāni / te uddhṛtanayanā na kvacit palāyanti / evaṃ	mRga-SatAnAm-akzINi-utpAwitAni / te udDRta-nayanAH na kvacid palAyanti / evam
   bahūnāṃ mṛgaśatānāṃ nayanānyutpāṭitāni /	bahUnAm mRga-SatAnAm nayanAni-utpAwitAni /
   kiṃ manyadhvamāyuṣmantaḥ / yo 'sau lubdhakaḥ sa eṣa kunālaḥ / yattatrānena	kim manyaDvam-AyuzmantaH / yaH asO lubDakaH saH eza kunAlaH / yat-tatra-anena
   bahūnāṃ mṛgaśatānāṃ nayanānyutpāṭitāni tasya karmaṇo vipākena bahūni	bahUnAm mRga-SatAnAm nayanAni-utpAwitAni tasya karmaNaH vipAkena bahUni
   varṣaśatasahasrāṇi narakeṣu duḥkhamanubhūya tataḥ karmaviśeṣeṇa	varza-Sata-sahasrANi narakezu duHKam-anuBUya tatas karma-viSezeNa
   pañcajanmaśatāni tasya nayanānyutpāṭitāni /	paQcajanma-SatAni tasya nayanAni-utpAwitAni /
   kiṃ karma kṛtaṃ yasya karmaṇo vipākenocce kūle upapannaḥ / prāsādikaśca	kim karma kRtam yasya karmaNaH vipAkena-ucce kUle upapannaH / prAsAdikaH-ca
   saṃvṛttaḥ / satyadarśanaṃ ca kṛtaṃ /	saMvRttaH / satya-darSanam ca kRtam /
   tena hyāyuṣmantaḥ śrūyatāṃ /	tena hi-AyuzmantaH SrUyatAm /
   bhūtapūrvamatīte 'dhvani catvāriṃśadvarṣasahasrāyuṣi prajāyāṃ krakucchando	BUta-pUrvam-atIte aDvani catvAriMSat-varza-sahasra-Ayuzi prajAyAm krakucCandaH-
   nāma samyaksambuddho loka udapādi /	nAma samyaksambudDaH loke udapAdi /
   yadā krakucchandaḥ samyaksambuddhaḥ sakalaṃ buddhakāryaṃ kṛtvā	yadA krakucCandaH samyaksambudDaH sakalam budDa-kAryam kRtvA
   nirupadhiśeṣe nirvāṇadhātau parinirvṛtaḥ, tasyāśokena rājñā catūratnamayaḥ	nirupaDi-Seze nirvANa-DAtO parinirvRtaH, tasya-aSokena rAjQA catU-ratna-mayaH
   stūpaḥ kāritaḥ / yadā rājāśokaḥ kālagato 'śrāddho rājā rājye pratiṣṭhitaḥ	stUpaH kAritaH / yadA rAja-aSokaH kAlagataH aSrAdDaH rAjA rAjye pratizWitaH
   / tāni ratnānyadattādāyikairhṛtāni / pāṃśukāṣṭhaṃ cāvaśiṣṭaṃ / tatra	/ tAni ratnAni-adatta-AdAyikEH-hRtAni / pAMSukAzWam ca-avaSizwam / tatra
   janakāyo gatvā viśīrṇaṃ dṛṣṭvā śocitumārabdhaḥ /	jana-kAyaH gatvA viSIrNam dRzwvA Socitum-ArabDaH /
   (A-av 125)	(a-a-au 125)
   tasmiṃśca samayenyatamaśca śreṣṭhiputraḥ / tenoktaḥ / kimarthaṃ rudyata	tasmin=-ca samayenyatamaH-ca SrezWi-putraH / tena-uktaH / kim-arTam rudyata
   iti / tairabhihitaṃ krakucchandasya samyaksambuddhasya stūpaścatūratnamaya	iti / tEH-aBihitam krakucCandasya samyaksambudDasya stUpaH-catU-ratna-maya
   āsīt / sa idānīṃ viśīrṇaṃ iti /	AsIt / saH idAnIm viSIrNam iti /
   tatastena yā tatra krakucchandasya samyaksambuddhasya kāyapramāṇikā	tatas-tena yA tatra krakucCandasya samyaksambudDasya kAya-pramANikA
   pratimā babhūva viśīrṇā sābhisaṃskṛtā / samyakpraṇidhānaṃ ca kṛtaṃ /	pratimA baBUva viSIrNA sa-aBisaMskRtA / samyak-praNiDAnam ca kRtam /
   yādṛśaḥ krakucchandaḥ śāstedṛśameva śāstāramārāgayeyaṃ / mā virāgayeyamiti	yAdRSaH krakucCandaH SAsta-IdRSam-eva SAstAram-ArAgayeyam / mA virAgayeyam-iti
   kiṃ manyadhvamāyuṣmantaḥ / yo 'sau śreṣṭhiputraḥ sa eṣa kunālaḥ /	kim manyaDvam-AyuzmantaH / yaH asO SrezWi-putraH saH eza kunAlaH /
   yatrānena krakucchandasya stūpo 'bhisaṃskṛtastasya karmaṇo vipākenoccakule	yatra-anena krakucCandasya stUpaH aBisaMskRtaH-tasya karmaNaH vipAkena-ucca-kule
   upapannaḥ / yat pratimābhisaṃskṛtā tasya karmaṇo vipākena kunālaḥ	upapannaH / yat pratimA-aBisaMskRtA tasya karmaNaH vipAkena kunAlaH
   prāsādikaḥ saṃvṛttaḥ / yat praṇidhānaṃ kṛtaṃ tasya karmaṇo vipākena	prAsAdikaH saMvRttaH / yat praNiDAnam kRtam tasya karmaNaH vipAkena
   kunālena [yādṛśaḥ] śākyamuniḥ samyaksambuddhastādṛśa eva śāstā samārāgito	kunAlena [yAdRSaH] SAkya-muniH samyaksambudDaH-tAdRSaH eva SAstA samArAgitaH-
   na virāgitaḥ / satyadarśanaṃ ca kṛtaṃ /	na virAgitaH / satya-darSanam ca kRtam /
   iti śrīdivyāvadāne kunālāvadanaṃ saptaviṃśatimaṃ samāptaṃ //	iti SrI-divya-avadAne kunAla-Avadanam saptaviMSatimam samAptam //
   (A-av 126)	(a-a-au 126)
   Aśokāvadānaṃ	ASoka-avadAnam
   yadā rājñāśokena bhagavacchāsane śraddhā pratilabdhā sa bhikṣūn uvāca /	yadA rAjQA-aSokena Bagavat-SAsane SradDA pratilabDA sa BikzUn uvAca /
   kena bhagavacchāsane prabhūtaṃ dānaṃ dattaṃ / bhikṣava ūcuḥ /	kena Bagavat-SAsane praBUtam dAnam dattam / BikzavaH UcuH /
   anāthapiṇḍadena gṛhapatinā / rājāha / kiyattena bhagavacchāsane dānaṃ	anATapiNxadena gRhapatinA / rAjA-Aha / kiyat-tena Bagavat-SAsane dAnam
   dattaṃ / bhikṣava ūcuḥ / koṭiśataṃ tena bhagavacchāsane dānaṃ dattaṃ /	dattam / BikzavaH UcuH / kowi-Satam tena Bagavat-SAsane dAnam dattam /
   śrutvā ca rājāśokaścintayati / tena gṛhapatinā bhūtvā koṭiśataṃ	SrutvA ca rAja-aSokaH-cintayati / tena gRhapatinA BUtvA kowi-Satam
   bhagavacchāsane dānaṃ dattaṃ / tenābhihitaṃ / ahamapi koṭīśataṃ	Bagavat-SAsane dAnam dattam / tena-aBihitam / aham-api kowI-Satam
   bhagacchāsane dānaṃ dāsyāmi /	Baga=-SAsane dAnam dAsyAmi /
   tena yāvac caturaśītidharmarājikāsahasraṃ pratiṣṭhāpitaṃ / sarvatra ca	tena yAvat caturaSIti-DarmarAjikA-sahasram pratizWApitam / sarvatra ca
   śatasahasrāṇi dattāni / jātau bodhau dharmacakre parinirvāṇe ca sarvatra	Sata-sahasrANi dattAni / jAtO boDO Darma-cakre parinirvANe ca sarvatra
   śatasahasraṃ dattaṃ / pañcavārṣikaṃ kṛtaṃ / tatra ca catvāri śatasahasrāṇi	Sata-sahasram dattam / paQca-vArzikam kRtam / tatra ca catvAri Sata-sahasrANi
   dattāni / trīṇi śatasahasrāṇi bhikṣūṇāṃ bhojitāni / yatraikamarhatāṃ dve	dattAni / trINi Sata-sahasrANi BikzUNAm BojitAni / yatra-ekam-arha-tAm dve
   śaikṣāṇāṃ pṛthagjanakalyāṇakānāṃ ca / koṣaṃ sthāpayitvā	SEkzANAm pRTagjana-kalyANakAnAm ca / kozam sTApayitvA
   mahāpṛthivīmantaḥpurāmātyagaṇamātmānaṃ kunālaṃ cāryasaṅghe niryātayitvā	mahA-pRTivIm-antaHpura-amAtya-gaNam-AtmAnam kunAlam ca-Arya-saFGe niryAtayitvA
   catvāri śatasahasrāṇi dattvā niṣkrītavān / ṣaṇṇavatikoṭyo bhagavacchāsane	catvAri Sata-sahasrANi dattvA nizkrItavAn / zaNNavati-kowyaH Bagavat-SAsane
   dānaṃ dattaṃ / sa yāvad glānībhūtaḥ / atha rājā idānīṃ na bhaviṣyāmīti	dAnam dattam / sa yAvat glAnIBUtaH / aTa rAjA idAnIm na BavizyAmi-iti
   viklavībhūtaḥ /	viklavIBUtaH /
   tasya rādhagupto nāmāmātyo yena saha pāṃśudānaṃ dattaṃ / tadā sa	tasya rADaguptaH nAma-amAtyaH yena saha pAMSu-dAnam dattam / tadA sa
   rājānamaśokaṃ viklavībhūtamavekṣya pādayornipatya kṛtāñjaliruvāca /	rAjAnam-aSokam viklavIBUtam-avekzya pAdayoH-nipatya kRtAQjaliH-uvAca /
   (A-av 127)	(a-a-au 127)
   yacchatrusaṅghaiḥ prabalaiḥ sametya nodvīkṣitaṃ caṇḍadivākarābhaṃ /	yat-Satru-saFGEH prabalEH sametya na-udvIkzitam caNxa-divAkara-ABam /
   padmānanaśrīśatasaṃprapītaṃ kasmāt savāṣpaṃ tava deva vaktraṃ //	padma-Anana-SrI-Sata-saMprapItam kasmAt sa-vAzpam tava deva vaktram //
   rājāha / rādhagupta, nāhaṃ dravyavināśaṃ na rājyanāśanaṃ na cāśrayaviyogaṃ	rAjA-Aha / rADagupta, na-aham dravya-vinASam na rAjya-nASanam na ca-ASraya-viyogam
   śocāmi / kintu śocāmi, āryairyad, viprayokṣyāmi /	SocAmi / kintu SocAmi, AryEH-yad, viprayokzyAmi /
   nāhaṃ punaḥ sarvaguṇopapannaṃ saṅghaṃ samakṣaṃ naradevapūjitaṃ /	na-aham punar sarva-guNa-upapannam saFGam samakzam naradeva-pUjitam /
   saṃpūjayiṣyāmi varānnapānair etad vicintyāśruvimokṣaṇaṃ me //	saMpUjayizyAmi vara-anna-pAnEH etat vicintya-aSru-vimokzaNam me //
   api ca rādhagupta, ayaṃ me manoratho babhūva, koṭīśataṃ bhagavacchāsane	api ca rADagupta, ayam me manoraTaH baBUva, kowI-Satam Bagavat-SAsane
   dānaṃ dāsyāmīti / sa ca me 'bhiprāyo na paripūrṇaḥ /	dAnam dAsyAmi-iti / sa ca me aBiprAyaH na paripUrNaH /
   tato rājñāśokena catasraḥ koṭīḥ paripurayiṣyāmīti hiraṇyasuvarṇaṃ	tatas rAjQA-aSokena catasraH kowIH paripurayizyAmi-iti hiraNya-suvarNam
   kukkuṭārāmaṃ preṣayitumārabdhaḥ /	kukkuwa-ArAmam prezayitum-ArabDaH /
   tasmiṃśca samaye kunālasya saṃpadī nāma putro yuvarājye pravartate /	tasmin=-ca samaye kunAlasya saMpadI nAma putraH yuvarAjye pravartate /
   tasyāmātyair abhihitaṃ / kumāra aśoko rājā svalpakālavasthāyī / (A-av 128)	tasya-amAtyEH aBihitam / kumAra aSokaH rAjA su-alpa-kAlavasTAyI / (a-a-au 128)
   idaṃ ca dravyaṃ kukkuṭārāmaṃ preṣyate / kośabalinaśca rājānaḥ /	idam ca dravyam kukkuwa-ArAmam prezyate / koSabalinaH-ca rAjAnaH /
   nivārayitavyaḥ /	nivArayitavyaH /
   yāvatkumāreṇa bhāṇḍāgārikaḥ pratiṣiddhaḥ / yadā rājño 'śokasyāpratiṣiddhā	yAvat-kumAreNa BANxAgArikaH pratizidDaH / yadA rAjQaH aSokasya-apratizidDA
   [sampat] tasya suvarṇabhājane āhāramupanāmyate / bhuktvā tāni	[sampat] tasya suvarNa-BAjane AhAram-upanAmyate / BuktvA tAni
   suvarṇabhājanāni kukkuṭārāmaṃ preṣayati /	suvarNa-BAjanAni kukkuwa-ArAmam prezayati /
   tasya suvarṇabhājanaṃ pratiṣiddhaṃ / rūpyabhājane āhāramupanāmyate /	tasya suvarNa-BAjanam pratizidDam / rUpya-BAjane AhAram-upanAmyate /
   tānyapi kukkuṭārāmaṃ preṣayati / tato rūpyabhājanamapi pratiṣiddhaṃ /	tAni-api kukkuwa-ArAmam prezayati / tatas rUpya-BAjanam-api pratizidDam /
   tasya yāvan mṛbhdājana āhāramupanāmyate /	tasya yAvat mRBdA-janaH AhAram-upanAmyate /
   tasmiṃśca samaye rājño 'śokasyārdhāmalakaṃ karāntaragataṃ / atha rājāśokaḥ	tasmin=-ca samaye rAjQaH aSokasya-arDa-Amalakam kara-antara-gatam / aTa rAja-aSokaH
   saṃvignaḥ amātyān paurāṃśca saṃnipātya kathayati / kaḥ sāmprataṃ	saMvignaH amAtyAn pOrAn=-ca saMnipAtya kaTayati / kaH sAmpratam
   pṛthivyāmīśvaraḥ /	pRTivyAm-ISvaraH /
   tato 'mātyā utthāyāsanād yena rājāśokastenāñjaliṃ praṇamya ūcuḥ / deva	tatas amAtyAH utTAya-AsanAt yena rAja-aSokaH-tena-aQjalim praNamya UcuH / deva
