   uttarabhāgaḥ	uttara BAgaH
   bhṛtyā vetanabhoktāro jāyante bhūtale hayāḥ // NarP_2,35.49 //	BRtyAH vetana BoktAraH jAyante BU tale hayAH // NA rP_2,35.49 //
   asādhinīyaṃ kāryasya bhartṛputravināśinī /	asADinIyam kAryasya BartR putra vinASinI /
   kathaṃ varaṃ tu gṛhṇāmi bhavatāṃ nākavāsinām // NarP_2,35.50 //	kaTam varam tu gRhNAmi BavatAm nAka vAsinAm // NA rP_2,35.50 //
   devā ūcuḥ	devAH UcuH
   brūhi mohini dāsyāmi yatte hṛdi samīhitam /	brUhi mohini dAsyAmi yat te hRdi samIhitam /
   anṛṇāstu bhaviṣyāmaḥ kṛtvā copakṛtiṃ tava // NarP_2,35.51 //	anRNAH tu BavizyAmaH kRtvA ca upakRtim tava // NA rP_2,35.51 //
   pariśramaḥ kṛto devi tvayā rājaprayojane /	pariSramaH kRtaH devi tvayA rAja prayojane /
   tasya tvaṃ phalabhāgdevi tādṛśārthe kṛtasya tu // NarP_2,35.52 //	tasya tvam Pala BAj t evi tAdRSa arTe kRtasya tu // NA rP_2,35.52 //
   evamuccaramāṇānāṃ devatānāṃ mahīpate /	evam uccaramANAnAm devatAnAm mahIpate /
   nṛpaterājagāmātha purodhāḥ pāvakaprabhaḥ // NarP_2,35.53 //	nRpateH AjagAma aTa puroDAH pAvaka praBaH // NA rP_2,35.53 //
   uṣito jalamadhye tu prāṇāyāmarato muniḥ /	uzitaH jala maDye tu prANAyAma rataH muniH /
   dvādaśābde tataḥ pūrṇe nirgato jalamadhyataḥ // NarP_2,35.54 //	dvAdaSa abde tatas pUrNe nirgataH jala maDyataH // NA rP_2,35.54 //
   nirgatena śrutaṃ tena mohinīceṣṭitaṃ nṛpa /	nirgatena Srutam tena mohinI cezwitam nRpa /
   sakrodho muniśārdūlo devavṛndamupāgataḥ // NarP_2,35.55 //	sa kroDaH muni SArdUlaH deva vRndam upAgataH // NA rP_2,35.55 //
   uvāca vibudhānsarvānmohinīvaradāyinaḥ /	uvAca vibuDAn sarvAn mohi nIvara dAyinaH /
   dhigimāṃ dhigdevasaṃghaṃ karma dhikpāpasaṃjñitam // NarP_2,35.56 //	Dik imAm Dik deva saMGam karma DikpApa saMjQitam // NA rP_2,35.56 //
   bhavatāṃ bhāvanāśāya puruṣārthe prarohakam /	BavatAm BAva nASAya puruza arTe prarohakam /
   bhavanto yacca dātāro mohinyā vāñchitaṃ varam // NarP_2,35.57 //	BavantaH yat ca dAtAraH mohinyAH vAQCitam varam // NA rP_2,35.57 //
   hatyāyutā bhartṛsutopaghātinī vihinavṛttiśca marāśirūpā /	hatyA ayutA BartR suta upaGAtinI vihina vRttiH ca marASi rUpAH /
   nāsmā hi loke bhavatīha śuddhiḥ samiddhavahnau patane 'pi devāḥ //	na asmE hi loke Bavati iha SudDiH samidDa vahnO patane api devAH //
   NarP_2,35.58 //	NA rP_2,35.58 //
   "hatyāyutaṃ bhartṛvadho nirarthakametatsamaṃ vipravaraiḥ purākṛtam /	"hatya ayutam BartR vaDaH nirarTakam etat samam vipra varEH purAkRtam /
   na cāpi cāsyā bhavatīha śuddhiḥ samidbhavahnau patane 'pi devāḥ" //	na ca api ca asyAH Bavati iha SudDiH samiD Ba vahnO patane api devAH" //
   NarP_2,35.59 //	NA rP_2,35.59 //
   vimoyitvā vacanaiḥ sudhāmayairukmāṅgadaṃ dharmaṃvibhūṣaṇaṃ ca /	vimoyitvA vacanEH suDA mayEH ukma aFgadam DarmaMviBUzaNam ca /
   priyāyutaṃ mokṣapadaṃ nihatya cakāra bhūmiṃ nṛpavarjitāṃ ca //	priya ayutam mokza padam nihatya cakAra BUmim nRpa varjitAm ca //
   NarP_2,35.59 //	NA rP_2,35.59 //
   na cāpi vāso narakeṣu devā asyāḥ sthitiḥ kka tridive 'lpabuddheḥ /	na ca api vAsaH narakezu devAH asyAH sTitiH kkaH tridive alpabudDeH /
   na cāpi rājño nikaṭe ca devā nāpyetu viṣṇoḥ padamavyayaṃ yat //	na ca api rAjQaH nikawe ca devAH na api etu vizNoH padam avyayam yat //
   NarP_2,35.60 //	NA rP_2,35.60 //
   na lokavādena vidūṣitāyā lokeṣu kutrāpi bhavecca vāsaḥ /	na loka vAdena vidUzitAyAH lokezu kutra api Bavet ca vAsaH /
   dhirajīvanaṃ kargmavigarhitāyā devāḥ sadā pāpasamāratāyāḥ // NarP_2,35.61	DirajIvanam kargma vigarhitAyAH devAH sadA pApa samAratAyAH // NA rP_2,35.61
   patiṃ hatvā sutaṃ hatvā sapatnīṃ jananīsamām /	patim hatvA sutam hatvA sapatnIm jananI samAm /
   hatvā dharāṃ samastāṃ vā kāṃ gatiṃ yāsyate surāḥ // NarP_2,35.62 //	hatvA DarAm samastAm vA kAm gatim yAsyate surAH // NA rP_2,35.62 //
   iyaṃ pāpatarā devā dharmavidhvaṃsinī hareḥ /	iyam pApatarA devAH Darma viDvaMsinI hareH /
   sarvadāpyanayā proktaṃ bhujyatāṃ harivāsare // NarP_2,35.63 //	sarvadA api anayA proktam BujyatAm hari vAsare // NA rP_2,35.63 //
   prāṇasaṃvarddhanārthāya teṣāmevāpyadhogatiḥ /	prANa saMvardDana arTAya tezAm eva api aDogatiH /
   bhujyatāṃ vāsare viṣṇorhanyatāṃ gaurdvijānvitā // NarP_2,35.64 //	BujyatAm vAsare vizNoH hanyatAm gOH dvija anvitA // NA rP_2,35.64 //
   apeyaṃ pīyatā muktvā kathaṃ vāsaṃ labheddivi /	apeyam pIyatA muktvA kaTam vAsam laBet divi /
   etadajñānināṃ proktaṃ jñānanāṃ tu na nirṇayaḥ // NarP_2,35.65 //	etat ajQAninAm proktam jQAnanAm tu na nirNayaH // NA rP_2,35.65 //
   ajñānāvdyāhṛte vākye bhujyatāṃ harivāsare /	ajQAna avdyAhRte vAkye BujyatAm hari vAsare /
   tasyāpi śuddhirgaditā prāṇāyāmaśatena hi // NarP_2,35.66 //	tasya api SudDiH gaditA prANAyAma Satena hi // NA rP_2,35.66 //
   athavāpyupavāsena ekādaśyā divaukasaḥ /	aTavA api upavAsena ekAdaSyAH divOkasaH /
   ṛkṣeṇa saṃyutāyāstu jyeṣṭhakuṇḍāplavena vā // NarP_2,35.67 //	RkzeNa saMyutAyAH tu jyezWa kuNxa Aplavena vA // NA rP_2,35.67 //
   śaukarasparśanā dvāpi naro devārcanena vā /	SOkara sparSanAH dvApi naraH deva arcanena vA /
   vyāhṛte kathitaṃ vipraiḥ seyamadya suniṣṭhurā // NarP_2,35.68 //	vyAhRte kaTitam viprEH sA iyam adya su nizWurAH // NA rP_2,35.68 //
   bhojane pāpaniratā dine viṣṇordurāsade /	Bojane pApa niratAH dine vizNoH durAsade /
   bharturvākyaṃ vyapohyaiva ghātayitvā sutaṃ priyam // NarP_2,35.69 //	BartuH vAkyam vyapohya eva GAtayitvA sutam priyam // NA rP_2,35.69 //
   vākyajñaṃ vākyanirataṃ mātṝṇāṃ tu hite ratam /	vAkya jQam vAkya niratam mAtLNAm tu hite ratam /
   viṣṇudharmapraloptrīyaṃ bahupāpasamanvitā // NarP_2,35.70 //	vizNuDarma praloptrIyam bahu pApa samanvitA // NA rP_2,35.70 //
   naiṣā spṛśyāsti deveśāḥ kathamasyā varapradāḥ /	na ezA spRSya asti deveSAH kaTam asyAH vara pradAH /
   bhavanto nyāyayukteṣu dharmayukteṣu tatparāḥ // NarP_2,35.71 //	BavantaH nyAya yuktezu Darma yuktezu tad parAH // NA rP_2,35.71 //
   pālanaṃ pāpayuktasya na kurvanti divaukasaḥ /	pAlanam pApa yuktasya na kurvanti divOkasaH /
   dharmādhārāḥ smṛtā devā dharmo vedesamāsthitaḥ // NarP_2,35.72 //	Darma ADArAH smRtAH devAH DarmaH vedesamAsTitaH // NA rP_2,35.72 //
   vedaiḥ śuśrūṣaṇaṃ bhartuḥ strīṇāṃ dharmaḥ prakīrtitaḥ /	vedEH SuSrUzaNam BartuH strINAm DarmaH prakIrtitaH /
   yadbravīti patiḥ kiñcittatkāryamāviśaṅkayā // NarP_2,35.73 //	yat bravIti patiH kiQcid tad kAryam AviSaFkayA // NA rP_2,35.73 //
   śuklaṃ śuklamiti brūyātkṛṣṇaṃ kṛṣṇeti cāmarāḥ /	Suklam Suklam iti brUyAt kRzNam kRzNa iti ca amarAH /
   śuśrūṣā sā hi vijñeyā na śuśrūṣā hi sevanam // NarP_2,35.74 //	SuSrUzA sA hi vijQeyAH na SuSrUzA hi sevanam // NA rP_2,35.74 //
   bharturājñā hatā devā ātmājñāsthāpanecchayā /	BartuH AjQA hatAH devAH Atma AjQA sTApana icCayA /
   tasmātpāpā na saṃdeho mohinī sarvayoṣitām /	tasmAt pApAH na saMdehaH mohinI sarva yozitAm /
   satyasya sādhanārthāya śapathairyantrito nṛpaḥ // NarP_2,35.75 //	satyasya sADana arTAya SapaTEH yantritaH nRpaH // NA rP_2,35.75 //
   uvāca vividhaṃ vākyaṃ sā naicchatputraghātinī /	uvAca viviDam vAkyam sA na EcCat putra GAtinI /
   tena mokṣaṃ gato rājā pāpamasyāṃ visṛjya ca // NarP_2,35.76 //	tena mokzam gataH rAjA pApam asyAm visRjya ca // NA rP_2,35.76 //
   seyaṃ pāpaśarīrā hi hatyāyutasamanvitā // NarP_2,35.77 //	sA iyam pApa SarIrAH hi hatyA ayuta samanvitAH // NA rP_2,35.77 //
   dātāraṃ sarvadānānāṃ brahmaṇyaṃ haridaivatam /	dAtAram sarva dAnAnAm brahmaNyam hari dEvatam /
   prajārañjanaśīlaṃ ca harivāsarasevinam // NarP_2,35.78 //	prajA raQjana SIlam ca hari vAsara sevinam // NA rP_2,35.78 //
   paradāreṣu niḥsnehaṃ viṣaye vigataspṛham /	para dArezu niHsneham vizaye vigata spRham /
   parārthatyaktakāmaṃ ca sadā makhaniṣeviṇam // NarP_2,35.79 //	para arTa tyakta kAmam ca sadA maKa nizeviNam // NA rP_2,35.79 //
   sadaiva duṣṭadamane vartamānaṃ dharātale /	sadA eva duzwa damane vartamAnam DarA tale /
   vyasanaiḥ saptabhirghorairanākrāntaṃ mahīpatim // NarP_2,35.80 //	vyasanEH saptaBiH GorEH anAkrAntam mahIpatim // NA rP_2,35.80 //
   saṃnirasya durācārā varayogyā kathaṃ bhavet /	saMnirasya durAcArA vara yogyA kaTam Bavet /
   yo 'syāḥ pakṣetu varteta devo vā dānavo 'pi vā // NarP_2,35.81 //	yaH asyAH pakzetu varteta devaH vA dAnavaH api vA // NA rP_2,35.81 //
   taṃ cāpi bhasmasātkuryāṃ kṣaṇena surasattamāḥ /	tam ca api BasmasAtkuryAm kzaNena sura sattamAH /
   mohinyā rakṣaṇe yastu prayatnaṃ kurute surāḥ // NarP_2,35.82 //	mohinyAH rakzaNe yaH tu prayatnam kurute surAH // NA rP_2,35.82 //
   tasya tajjāyate pāpaṃ yanmohinyāṃ vyavasthitam // NarP_2,35.83 //	tasya tat jAyate pApam yat mohinyAm vyavasTitam // NA rP_2,35.83 //
   sa evamuktvā nṛpate dvijendraḥ saṃgṛhya pāṇau salilaṃ ca tīvram /	saH evam uktvA nRpate dvijendraH saMgRhya pANO salilam ca tIvram /
   krodhena saṃvīkṣya vidhiprasūtāṃ cikṣepa tanmūrghnyanalaprakāśam //	kroDena saMvIkzya viDi prasUtAm cikzepa tad mUrGni anala prakASam //
   NarP_2,35.84 //	NA rP_2,35.84 //
   nikṣiptamātre salile mahīpa sadyaḥ prajajvāla ca taccharīram /	nikzipta mAtre salile mahIpa sadyas prajajvAla ca tat SarIram /
   saṃpaśyatāṃ nākanivāsināṃ tu tṛṇyā yathā vahniśikhāvalīḍhā // NarP_2,35.85	saMpaSyatAm nAka nivAsinAm tu tRNyAH yaTA vahni SiKA avalIXAH // NA rP_2,35.85
   kopaṃ vibho saṃhara saṃhareti yāvadgiraḥ khe marutāṃ babhūvuḥ /	kopam viBo saMhara saMhara iti yAvat giraH Ke marutAm baBUvuH /
   tāvatsa vahnirdvijavākyamṛṣṭo bhasmāvaśeṣāṃ pramadāṃ cakāra //	tAvat sa vahniH dvija vAkya mRzwaH Basma avaSezAm pramadAm cakAra //
   NarP_2,35.86 //	NA rP_2,35.86 //
   iti śrībṛhannāradīyapurāṇottarabhāge mohinī carite śāpaprāptirnāma	iti SrI bRhat nAradIyapurANa uttara BAge mohinI carite SApa prAptiH nAma
   pañcatriṃśo 'dhyāyaḥ	paQcatriMSaH aDyAyaH
   vasiṣṭha uvāca	vasizWaH uvAca
   mohinī mohamutsṛjya gatā vibudhamandiram /	mohinI moham utsRjya gatAH vibuDa mandiram /
   bhartsitā devadūtena sthitiste 'tra na pāpinī // NarP_2,36.1 //	BartsitA deva dUtena sTitiH te atra na pApinI // NA rP_2,36.1 //
   pāpaśīle sudurmedhe bhartṛnindāparāyaṇe /	pApa SIle su durmeDe BartR nindA parAyaNe /
   harivāsaralopinyāṃ vāsaste na triviṣṭape // NarP_2,36.2 //	hari vAsara lopinyAm vAsaH te na trivizwape // NA rP_2,36.2 //
   dharmato vimukhānāṃ ca narake vāsa iṣyate /	DarmataH vimuKAnAm ca narake vAsaH izyate /
   evamuktvā tu tāṃ vāyuḥ krūraṃ vacanapadbhutam // NarP_2,36.3 //	evam uktvA tu tAm vAyuH krUram vacana padButam // NA rP_2,36.3 //
   tāḍayitvā ca daṇḍena prerayāmāsa yātanām /	tAxayitvA ca daNxena prerayAmAsa yAtanAm /
   evaṃ saṃtāḍitā rājan devadūtena mohinī // NarP_2,36.4 //	evam saMtAxitA rAjan deva dUtena mohinI // NA rP_2,36.4 //
   brahmadaṇḍaparābhūtā saṃprāptā narakaṃ nṛpa /	brahma daNxa parABUtA saMprAptA narakam nRpa /
   tatra dharmājñayā sā tu dūtaiḥ saṃtāḍitā ciram // NarP_2,36.5 //	tatra Darma AjQayA sA tu dUtEH saMtAxitA ciram // NA rP_2,36.5 //
   sarveṣu kramaśo gatvā narakeṣu nipātitā /	sarvezu kramaSas gatvA narakezu nipAtitAH /
   pāpe dharmāṅgadaḥ putro ghātitaḥ patipāṇinā // NarP_2,36.6 //	pApe Darma aFgadaH putraH GAtitaH pati pANinA // NA rP_2,36.6 //
   tvayā yatastato bhuṅkṣva kṛtakarmaphalaṃ tviha /	tvayA yatas tatas BuFkzva kRta karma Palam tu iha /
   prajāhitaṃ sthiraprajñaṃ mahendravaruṇopamam // NarP_2,36.7 //	prajA hitam sTira prajQam mahA indra varuNa upamam // NA rP_2,36.7 //
   saptadvīpādhipaṃ putraṃ hatvedṛkphalabhoginī /	sapta dvIpA aDipam putram hatvA IdRS Pala BoginI /
   prākṛtasyāpi putrasya hiṃsāyāṃ brahmahā bhavet // NarP_2,36.8 //	prAkRtasya api putrasya hiMsAyAm brahma hA Bavet // NA rP_2,36.8 //
   kiṃ punarddharmayuktasya pāpe dharmāṅgadasya ca /	kim punar dDarma yuktasya pApe Darma aFgadasya ca /
   evaṃ nirbhatsitā dūtairyamasya nṛpasattama // NarP_2,36.9 //	evam nirBatsitAH dUtEH yamasya nRpa sattamaH // NA rP_2,36.9 //
   bubhuje yātanāḥ sarvāḥ kramaśaḥ śamanoditāḥ /	buBuje yAtanAH sarvAH kramaSas Samana uditAH /
   brahmadaṇḍahatāyāstu dehasparśena yātanāḥ // NarP_2,36.10 //	brahmadaNxa hatAyAH tu deha sparSena yAtanAH // NA rP_2,36.10 //
   jvalitāṅgā babhūvustā dhāraṇāya na tu kṣamāḥ /	jvalita aFgAH baBUvuH tAH DAraNAya na tu kzamAH /
   tataste narakā rājan dharmarājamupāgatāḥ // NarP_2,36.11 //	tatas te narakAH rAjan DarmarAjam upAgatAH // NA rP_2,36.11 //
   procuḥ prāñjalayo bhītāstadaṅgasparśapīḍitāḥ /	procuH prAQjalayaH BItAH tad aFga sparSa pIxitAH /
   devadeva jagannātha dharmarāja dayāṃ kuru // NarP_2,36.12 //	devadeva jagannATa DarmarAja dayAm kuru // NA rP_2,36.12 //
   imāṃ niḥsārayāśu tvaṃ yātanābhyaḥ sukhāya naḥ /	imAm niHsAraya ASu tvam yAtanAByaH suKAya naH /
   yasyāḥ sparśanato nātha bhasmabhūtāḥ kṣaṇādaho // NarP_2,36.13 //	yasyAH sparSanataH nATa Basma BUtAH kzaNAt aho // NA rP_2,36.13 //
   bhaviṣyāmastatastvenāṃ narakebhyo vivāsaya /	BavizyAmaH tatas tu enAm narakeByaH vivAsaya /
   tacchrutvā vacanaṃ teṣāṃ dharmarājo 'tivismitaḥ // NarP_2,36.14 //	tat SrutvA vacanam tezAm DarmarAjaH ati vismitaH // NA rP_2,36.14 //
   dūtānsvānpratyuvāceyaṃ niḥsāryā mama mandirāt /	dUtAn svAn pratyuvAca iyam niHsAryAH mama mandirAt /
   yo brahmadaṇḍanirdagdhaḥ pumān strī vā ca taskaraḥ // NarP_2,36.15 //	yaH brahmadaNxa nirdagDaH pumAn strI vA ca taskaraH // NA rP_2,36.15 //
   tasya pāpasya saṃsparśaṃ necchati yātanā mama /	tasya pApasya saMsparSam na icCati yAtanA mama /
   tasmādimāṃ mahāpāpāṃ bharturvacanalopinīm // NarP_2,36.16 //	tasmAt imAm mahA pApAm BartuH vacana lopinIm // NA rP_2,36.16 //
   putraghnīṃ dharmahantrīṃ ca brahmadaṇḍahatāmapi /	putra GnIm Darma hantrIm ca brahmadaNxa hatAm api /
   niḥsārayata me bāpi deho jvalati darśaṃnāt // NarP_2,36.17 //	niHsArayata me bApi dehaH jvalati darSaMnAt // NA rP_2,36.17 //
   ityuktāste tadā dūtā dharmarājena bhūpate /	iti uktAH te tadA dUtAH DarmarAjena BUpate /
   praharanto 'straśastraiśca bahiścakruryamakṣayāt // NarP_2,36.18 //	praharantaH astra SastrEH ca bahis cakruH yama kzayAt // NA rP_2,36.18 //
   tataḥ sā duḥkhitā rājan mohinī mohasaṃyutā /	tatas sA duHKitA rAjan mohinI moha saMyutAH /
   pātālaṃ prayayau tatra pātālasthairnivāritā // NarP_2,36.19 //	pAtAlam prayayO tatra pAtAla sTEH nivAritA // NA rP_2,36.19 //
   tatastu vrīḍitātyarthaḥ mohinī brahmaṇaḥ sutā /	tatas tu vrIxita atyarTaH mohinI brahmaNaH sutA /
   janakasyāntikaṃ gatvā duḥkhaṃ svaṃ saṃnyavedayat // NarP_2,36.20 //	janakasya antikam gatvA duHKam svam saMnyavedayat // NA rP_2,36.20 //
   tāta tannāsti me sthānaṃ trailokye sacarā care /	tAta tat na asti me sTAnam trElokye sa carA care /
   yatra yatra tu gacchāmi tatra tatra kṣipanti mām // NarP_2,36.21 //	yatra yatra tu gacCAmi tatra tatra kzipanti mAm // NA rP_2,36.21 //
   ahaṃ nirvāsitā lokairghātayitvāyudhairdṛḍham /	aham nirvAsitAH lokEH GAtayitvA AyuDEH dRXam /
   bhavadājñāṃ samādāya gatā rukmavibhūṣaṇam // NarP_2,36.22 //	Bavat AjQAm samAdAya gatAH rukma viBUzaNam // NA rP_2,36.22 //
   mayā vyavasitaṃ cedaṃ sarvalokavigarhitam /	mayA vyavasitam ca idam sarva loka vigarhitam /
   kleśayitvā tu bhartāraṃ putraṃ hatvā varāsinā // NarP_2,36.23 //	kleSayitvA tu BartAram putram hatvA vara asinA // NA rP_2,36.23 //
   saṃdhyāvalīṃ kṣobhayitvā pitaḥ prāptā daśā mimām /	saMDyA AvalIm kzoBayitvA pitar prAptAH daSA mimAm /
   na gatirvidyate deva pāpāyā mama sāṃpratam // NarP_2,36.24 //	na gatiH vidyate deva pApAyAH mama sAMpratam // NA rP_2,36.24 //
   viśeṣāddvijaśāpena jātāhaṃ duḥkhabhāginī /	viSezAt dvija SApena jAtA aham duHKa BAginI /
   vipravākyahatānā ca dagdhānāṃ citrabhānunā // NarP_2,36.25 //	vipra vAkya hatAnA ca dagDAnAm citraBAnunA // NA rP_2,36.25 //
   divākīrtihatānāṃ ca bhakṣitānāṃ mṛgādibhiḥ /	divAkIrti hatAnAm ca BakzitAnAm mRga AdiBiH /
   śatahradāvipannānāṃ muktidā svarṇadī pitaḥ // NarP_2,36.26 //	SatahradA vipannAnAm mukti dA svarNadI pitar // NA rP_2,36.26 //
   yadi tvaṃ tridaśaiḥ sārddhaṃ vipraṃ taṃ śāpadāyinam /	yadi tvam tridaSEH sArdDam vipram tam SApa dAyinam /
   prasādayasi matprītyā tarhi me vihitā gatiḥ // NarP_2,36.27 //	prasAdayasi mad prItyA tarhi me vihitA gatiH // NA rP_2,36.27 //
   tāṃ tathāvādinīṃ rājan brahmā lokapitāmahaḥ /	tAm taTA avAdinIm rAjan brahmA lokapitAmahaH /
   śivendradharmasūryāgnideveśairmunibhiryutaḥ // NarP_2,36.28 //	Siva indra Darma sUrya agni deveSEH muniBiH yutaH // NA rP_2,36.28 //
   mohinīmagrataḥ kṛtvā jagāma dvijasannidhau /	mohinIm agratas kRtvA jagAma dvija sanniDO /
   tatra gatvā mahīpāla brahmā devādibhirvṛtaḥ // NarP_2,36.29 //	tatra gatvA mahIpAla brahmA deva AdiBiH vRtaH // NA rP_2,36.29 //
   mahatā gauraveṇāpi namaścakre svayaṃ vidhiḥ /	mahatA gOraveNa api namaH cakre svayam viDiH /
   bhūpa rudrādidevaistu pūjyo mānyaḥ pitāmahaḥ // NarP_2,36.30 //	BUpa rudra Adi devEH tu pUjyaH mAnyaH pitAmahaH // NA rP_2,36.30 //
   mohinīprītaye mugdhaḥ svayaṃ cakre namaskriyām /	mohinI prItaye mugDaH svayam cakre namaskriyAm /
   kārye mahati saṃprāpte hyasādhye bhuvanatraye // NarP_2,36.31 //	kArye mahati saMprApte hi asADye Buvanatraye // NA rP_2,36.31 //
   na dūṣitaṃ bhavedbhūpa yaviṣṭhasyābhivādanam /	na dUzitam Bavet BUpa yavizWasya aBivAdanam /
   sa dvijo vedavedāṅgaparagastapasi sthitaḥ // NarP_2,36.32 //	sa dvijaH veda vedAFga paragaH tapasi sTitaH // NA rP_2,36.32 //
   saṃprekṣya lokakartāraṃ devaiḥ saha samāgatam /	saMprekzya loka kartAram devEH saha samAgatam /
   samutthāya namaścakre brahmāṇaṃ tānmunīnsurān // NarP_2,36.33 //	samutTAya namaH cakre brahmANam tAn munIn surAn // NA rP_2,36.33 //
   vāsayāmāsa bhaktyā ca stutiṃ cakre 'bjajanmanaḥ /	vAsayAmAsa BaktyA ca stutim cakre abjajanmanaH /
   tataḥ prasanno bhagavān lokakarttā jagadguruḥ // NarP_2,36.34 //	tatas prasannaH BagavAn loka karttA jagadguruH // NA rP_2,36.34 //
   te dvijaṃ prārthayāmāsurmohinyarthe nṛpārcitam /	te dvijam prArTayAmAsuH mohinI arTe nRpa arcitam /
   tāta vipra sadācāra paralokopakāraka // NarP_2,36.35 //	tAta vipra sat AcAra para loka upakAraka // NA rP_2,36.35 //
   kṛpāṃ kuru kṛpāsiṃdho mohinīgatido bhava /	kRpAm kuru kRpA siMDaH mohinI gati daH Bava /
   mayā saṃpreṣitā brahman rukmāṅgadavimohane // NarP_2,36.36 //	mayA saMprezitAH brahman rukma aFgada vimohane // NA rP_2,36.36 //
   sutā me yamalokaṃ tu śūnyaṃ dṛṣṭvā ca mānada /	sutA me yama lokam tu SUnyam dRzwvA ca mAnada /
   vaikuṇṭhaṃ saṃkulaṃ prekṣya lokaiḥ sarvairni rākulaiḥ // NarP_2,36.37 //	vEkuNWam saMkulam prekzya lokEH sarvEH ni rAkulEH // NA rP_2,36.37 //
   manasotpāditā devī devānāṃ hitakāriṇī /	manasA utpAditA devI devAnAm hita kAriNI /
   niśāmaya dharādeva yadbravīmi tavāgrataḥ // NarP_2,36.38 //	niSAmaya DarAt eva yat bravImi tava agratas // NA rP_2,36.38 //
   gatiṃ dharmasyātisūkṣmāṃ lokakalyāṇakāriṇīm /	gatim Darmasya ati sUkzmAm loka kalyANa kAriNIm /
   anayā nikaṣāśyāṅgyā parīkṣya svarṇabhūṣaṇaḥ // NarP_2,36.39 //	anayA nikaza aSya aFgyA parIkzya svarNaBUzaNaH // NA rP_2,36.39 //
   sadāraḥ sasuto brahmanprāpito harimandiram /	sa dAraH sa sutaH brahman prApitaH hari mandiram /
   rājñāprahatayā bhaktyā harivāsarapālanāt // NarP_2,36.40 //	rAjQA prahatayA BaktyA hari vAsara pAlanAt // NA rP_2,36.40 //
   kṛtaṃ śūnyaṃ yamasthānaṃ lipimārjanakarmaṇā /	kRtam SUnyam yama sTAnam lipi mArjana karmaNA /
   devāpakāro viprarṣe na kṣamo bāhujanmanā // NarP_2,36.41 //	deva apakAraH vipra Rze na kzamaH bAhu janmanA // NA rP_2,36.41 //
   bhūsurāṇāṃ viśeṣeṇaṃ yātāste tatsahāyakāḥ // NarP_2,36.42 //	BUsurANAm viSezeNam yAtAH te tad sahAyakAH // NA rP_2,36.42 //
   na prāpyate sāṅghyavidā tu yacca nāṣṭāṅgayogena tu bhaktigamyam /	na prApyate sa aFGya vidA tu yat ca na azwa aFga yogena tu Bakti gamyam /
   tatprāpitaṃ bhūsura bhūpabharturnijasya putrasya tathā sapatnyāḥ //	tad prApitam BUsura BUpa BartuH nijasya putrasya taTA sapatnyAH //
   NarP_2,36.43 //	NA rP_2,36.43 //
   yatpuṇyaśīlasya nṛpasya bhūpaśiromaṇerācaritaṃ pratīpam /	yat puNya SIlasya nRpasya BUpaSi romaNeH Acaritam pratIpam /
   tatpāpavegena babhūva vidrutā bhasmāvaśeṣā tava śāpadagdhā // NarP_2,36.44	tad pApa vegena baBUva vidrutA Basma avaSezA tava SApa dagDAH // NA rP_2,36.44
   devārthameṣā bhavavarddhanārthaṃ nṛpopakārāya ca saṃpravṛttā /	deva arTam ezA Bava vardDana arTam nRpa upakArAya ca saMpravRttAH /
   na svārthakāmā labhate 'vamānaṃ kathaṃ dvijāto 'pakṛtiṃ kṣamasva //	na sva arTa kAmA laBate avamAnam kaTam dvijAtaH apakRtim kzamasva //
