   mālinīvijayottaratantram	mAlinIvijaya-uttaratantram
   21.10ab: nivātastho jitaprāṇo jitāsanavidhikramaḥ	21.10ab: nivAta-sTaH jita-prANaH jita-Asana-viDi-kramaH
   21.10cd: kurvīta vāyunāveśam arkatūle śanaiḥ śanaiḥ	21.10cd: kurvIta vAyunA-AveSam arka-tUle SanEs SanEs-
   21.11ab: svādākṛṣṭividhiṃ yāvad guḍe nimbe ca kārayet	21.11ab: svAda-AkRzwi-viDim yAvat guxe nimbe ca kArayet-
   21.11cd: śrīkhaṇḍaguḍakarpūrais tataḥ kṛtvākṛtim śubhām	21.11cd: SrIKaNxa-guxa-karpUrEH tatas kRtvA-AkRtim SuBAm
   21.12ab: praguṇām aguṇa[lacuna]nyaṅgeṣu saṃdadhat	21.12ab: praguNAm aguNa-[lacuna]-nyaFgezu saMdaDat-
   21.12cd: nyāsaṃ kṛtvāpi tatrāpi vedhaṃ kuryāc chanaiḥ śanaiḥ	21.12cd: nyAsam kRtvA-api tatra-api veDam kuryAt SanEs SanEs-
   21.13ab: nirodhaṃ tatra kurvīta ghaṭṭanaṃ tadanantaram	21.13ab: niroDam tatra kurvIta Gawwanam tad-anantaram
   21.13cd: ghaṭṭanaṃ nāma vijñeyam aṅgapratyaṅgacālanam	21.13cd: Gawwanam nAma vijQeyam aFga-pratyaFga-cAlanam
   21.14ab: evam abhyasatas tasya yogayuktasya yoginaḥ	21.14ab: evam aByasataH tasya yoga-yuktasya yoginaH
   21.14cd: calate pratimā sā tu dhāvate cāpi saṃmukhī	21.14cd: calate pratimA sA tu DAvate ca-api saMmuKI
   21.15ab: punas tāṃ prerayet tāvad yāvat svasthānam āgatam	21.15ab: punar tAm prerayet tAvat yAvat sva-sTAnam Agatam
   21.15cd: patitāṃ cālayed bhūya uttānāṃ pārśvataḥ sthitaḥ	21.15cd: patitAm cAlayet BUyas uttAnAm pArSvatas sTitaH
   21.16ab: evaṃ sarvātmanas tāvad yāvat svavaśatāṃ gatām	21.16ab: evam sarva-AtmanaH tAvat yAvat svavaSa-tAm gatAm
   21.16cd: tataḥ prabhṛty asau yogī praviśed yatra rocate	21.16cd: tatas praBRti asO yogI praviSet yatra rocate
   21.17ab: mṛte jīvaccharīre vā saṃkrāntyākrāntibhedataḥ	21.17ab: mRte jIvat-SarIre vA saMkrAnti-AkrAnti-BedataH
   21.17cd: prakṣipya jalavac chaktijālam sarvāṅgasaṃdhiṣu	21.17cd: prakzipya jala-vat Sakti-jAlam sarva-aFga-saMDizu
   21.18ab: pratyaṅgam aṅgatas tasya śaktiṃ tenākramed budhaḥ	21.18ab: pratyaFgam aFgataH tasya Saktim tena-Akramet buDaH
   21.18cd: svakīyaṃ rakṣayed deham ākrāntāv anyathā tyajet	21.18cd: svakIyam rakzayet deham AkrAntO anyaTA tyajet-
   21.19ab: bahūny api śarīrāṇi dṛḍhalakṣyo yadāḷbhavet	21.19ab: bahUni api SarIrANi dRXa-lakzyaH yadA-a?Bavet
   21.19cd: tadāḷgṛhṇāty asaṃdehaṃ yugapat saṃtyajann api	21.19cd: tadA?gRhNAti asaMdeham yugapad saMtyajan api
   21.20ab: athāparaṃ pravakṣyāmi sadyaḥpratyayakārakam	21.20ab: aTa-aparam pravakzyAmi sadyas-pratyaya-kArakam
   21.20cd: samādhānāmṛtaṃ divyaṃ yogināṃ mṛtyunāśanam	21.20cd: samADAna-amRtam divyam yoginAm mRtyu-nASanam
   21.21ab: candrākṛṣṭikaraṃ nāma māsād vāḷyogabhogadam	21.21ab: candrAkRzwi-karam nAma mAsAt vA?yoga-Boga-dam
   21.21cd: śuklapakṣe dvitīyāyāṃ meṣasthe tigmarociṣi	21.21cd: Sukla-pakze dvitIyAyAm meza-sTe tigmarocizi
   21.22ab: snātaḥ śucir nirāhāraḥ kṛtapūjāvidhir budhaḥ	21.22ab: snAtaH SuciH nirAhAraH kRta-pUjA-viDiH buDaH
   21.22cd: nyasec candre kalājālaṃ parayā samadhiṣṭhitam	21.22cd: nyaset candre kalA-jAlam parayA samaDizWitam
   21.23ab: sarvabādhāparityakte pradeśe saṃsthito budhaḥ	21.23ab: sarva-bADA-parityakte pradeSe saMsTitaH buDaH
   21.23cd: ekacittaḥ praśāntātmā śivasadbhāvabhāvitaḥ	21.23cd: ekacittaH praSAnta-AtmA Siva-sadBAva-BAvitaH
   21.24ab: tāvad ālokayec candraṃ yāvad astam upāgatam	21.24ab: tAvat Alokayet candram yAvat astam upAgatam
   21.24cd: tato bhuñjīta dugdhena candradhyānasamanvitaḥ	21.24cd: tatas BuQjIta dugDena candra-DyAna-samanvitaH
   21.25ab: evaṃ dine dine kuryād yāvat pañcadaśī bhavet	21.25ab: evam dine dine kuryAt yAvat paQcadaSI Bavet-
   21.25cd: śeṣāṃ rātriṃ svaped dhyāyaṃśḷcandrabimbagatāṃ parām	21.25cd: SezAm rAtrim svapet DyAyaMS?-candra-bimba-gatAm parAm
   21.26ab: paurṇamāsīṃ tathā yogī ardharātra upasthitaḥ	21.26ab: pOrNamAsIm taTA yogI arDarAtre upasTitaH
   21.26cd: jane niḥśabdatāṃ yāte prasupte sarvajantubhiḥ	21.26cd: jane niHSabda-tAm yAte prasupte sarva-jantuBiH
   21.27ab: candrakoṭikaraprakhyāṃ tārahāravibhūṣaṇām	21.27ab: candra-kowi-kara-praKyAm tAra-hAra-viBUzaNAm
   21.27cd: sitāmbaraparīdhānāṃ sitacandanacarcitām	21.27cd: sita-ambara-parIDAnAm sita-candana-carcitAm
   21.28ab: mauktikābharaṇopetaṃ surūpāṃ navayauvanām	21.28ab: mOktika-ABaraNa-upetam surUpAm nava-yOvanAm
   21.28cd: āpyāyanakarīṃ devīṃ samantād amṛtasravām	21.28cd: ApyAyana-karIm devIm samantAt amRta-sravAm
   21.29ab: rājīvāsanasaṃsthāṃ ca yoganidrām avasthitām	21.29ab: rAjIva-Asana-saMsTAm ca yoganidrAm avasTitAm
   21.29cd: candrabimbe parāṃ devīṃ īkṣate nātra saṃśayaḥ	21.29cd: candra-bimbe parAm devIm Ikzate na-atra saMSayaH
   21.30ab: tatas tāṃ cetasā vyāpya tāvad ākarṣayet sudhīḥ	21.30ab: tatas tAm cetasA vyApya tAvat Akarzayet suDIH
   21.30cd: yāvan mukhāgram āyātā tatra kuryāt sthiraṃ manaḥ	21.30cd: yAvat muKa-agram AyAtA tatra kuryAt sTiram manaH
   21.31ab: tataḥ prasārya vadanaṃ dhyānāsaktena cetasā	21.31ab: tatas prasArya vadanam DyAna-Asaktena cetasA
   21.31cd: nigiret tāṃ samākṛṣya bhūyo hṛdi vicintayet	21.31cd: nigiret tAm samAkRzya BUyas hRdi vicintayet-
   21.32ab: tayā praviṣṭayā dehaṃ yogī duḥkhavivarjitaḥ	21.32ab: tayA pravizwayA deham yogI duHKa-vivarjitaH
   21.32cd: śaktitulyabalo bhūtvā jīved ācandratārakam	21.32cd: Sakti-tulya-balaH BUtvA jIvet AcandratArakam
   21.33ab: eko 'py anekadhātmānaṃ saṃvibhajya nijecchayā	21.33ab: ekaH api anekaDA-AtmAnam saMviBajya nija-icCayA
   21.33cd: trailokyaṃ yaugapadyena bhunakti vaśatāṃ gatam	21.33cd: trElokyam yOgapadyena Bunakti vaSa-tAm gatam
   21.34ab: āsādya vipulān bhogān pralaye samupasthite	21.34ab: AsAdya vipulAn BogAn pralaye samupasTite
   21.34cd: param abhyeti nirvāṇaṃ duṣprāpam akṛtātmanām	21.34cd: param aByeti nirvANam duzprApam akRtAtmanAm
   21.35ab: athavā tan na śaknoti gagane paricintitum	21.35ab: aTavA tat na Saknoti gagane paricintitum
   21.35cd: pratibimbe tathā dhyāyed udakādiṣu pūrvavat	21.35cd: pratibimbe taTA DyAyet udaka-Adizu pUrvavat-
   21.36ab: tat pītvāḷmanasā śeṣāṃ svaped rātrim anusmaran	21.36ab: tat pItvA-a?manasA SezAm svapet rAtrim anusmaran
   21.36cd: pūrvoktaṃ samavāpnoti ṣaḍbhir māsair akhaṇḍitam	21.36cd: pUrva-uktam samavApnoti zaxBiH mAsEH aKaNxitam
   iti śrīmālinīvijayottare tantre candrākṛṣṭyadhikāra ekaviṃśatitamaḥ	iti SrI-mAlinI-vijaya-uttare tantre candra-AkRzwi-aDikAraH ekaviMSatitamaH
   samāptaḥ	samAptaH
   sūryākṛṣṭyadhikāro dvāviṃśatitamaḥ	sUrya-AkRzwi-aDikAraH dvAviMSatitamaH
   22.1ab: athānyaṃ paramaṃ guhyaṃ kathayāmi tava priye	22.1ab: aTa-anyam paramam guhyam kaTayAmi tava priye
   22.1cd: yan na kasya cid ākhyātaṃ yogāmṛtam anuttamam	22.1cd: yat na kasya cit AKyAtam yoga-amRtam anuttamam
   22.2ab: sūryākṛṣṭikaraṃ nāma yogināṃ yogasiddhidam	22.2ab: sUryAkRzwi-karam nAma yoginAm yoga-sidDi-dam
   22.2cd: samyaṅ māsacatuṣkeṇa dināṣṭābhyadhikena tu	22.2cd: samyak mAsa-catuzkeNa dina-azwa-aByaDikena tu
   22.3ab: praharsyāṣṭamo bhāgo nāḍikety abhidhīyate	22.3ab: praharsya-azwamaH BAgaH nAxikA-iti aBiDIyate
   22.3cd: tatpādakramavṛddhyā tu prativāsaram abhyaset	22.3cd: tad-pAda-krama-vRdDyA tu prativAsaram aByaset-
   22.4ab: udayāstamayaṃ yāvad yatra sūryaḥ pradṛśyate	22.4ab: udaya-astamayam yAvat yatra sUryaH pradRSyate
   22.4cd: pradeśe tatra vijane sarvabādhāvivarjite	22.4cd: pradeSe tatra vijane sarva-bADA-vivarjite
   22.5ab: ahorātroṣito yogī makarasthe divākare	22.5ab: ahorAtra-uzitaH yogI makara-sTe divAkare
   22.5cd: śucir bhūtvā kṛtanyāsaḥ kṛtaśītapratikriyaḥ	22.5cd: SuciH BUtvA kRta-nyAsaH kRta-SIta-pratikriyaH
   22.6ab: bhānubimbe nyasec cakram aṣṭaṣaḍdvādaśārakam	22.6ab: BAnu-bimbe nyaset cakram azwa-zaz-dvAdaSArakam
   22.6cd: śivaśaktighanopetaṃ bhairavāṣṭakasaṃyutam	22.6cd: Siva-Sakti-Gana-upetam BErava-azwaka-saMyutam
   22.7ab: varṣādiṛtusaṃyuktaṃ māsairṛkṣādibhir yutam	22.7ab: varza-Adi-Rtu-saMyuktam mAsEH-Rkza-AdiBiH yutam
   22.7cd: aṣṭāraṃ cintayed bimbe śeṣaṃ raśmiṣu cintayet	22.7cd: azwAram cintayet bimbe Sezam raSmizu cintayet-
   22.8ab: tatra cittaṃ samādhāya proktakālaṃ vicakṣaṇaḥ	22.8ab: tatra cittam samADAya prokta-kAlam vicakzaNaH
   22.8cd: animīlitanetras tu bhānubimbaṃ nirīkṣayet	22.8cd: animIlita-netraH tu BAnu-bimbam nirIkzayet-
   22.9ab: tataḥ kāle vyatikrānte sunimīlitalocanaḥ	22.9ab: tatas kAle vyatikrAnte su-nimIlita-locanaH
   22.9cd: praviśed andhakārāntarbhuvanaṃ nirupadravam	22.9cd: praviSet anDakAra-antar-Buvanam nirupadravam
   22.10ab: tatronmīlitanetras tu bimbākāraṃ prapaśyati	22.10ab: tatra-unmIlita-netraH tu bimba-AkAram prapaSyati
   22.10cd: saṃdhāya tatra caitanyaṃ tiṣṭhed yāvan na paśyati	22.10cd: saMDAya tatra cEtanyam tizWet yAvat na paSyati
   22.11ab: naṣṭe 'pi cetasā śeṣaṃ tiṣṭhet kālam anusmaran	22.11ab: nazwe api cetasA Sezam tizWet kAlam anusmaran
   22.11cd: evaṃ māsena deveśi sthiraṃ tad upajāyate	22.11cd: evam mAsena deveSi sTiram tat upajAyate
   22.12ab: māsadvayena sarvatra prekṣate nātra saṃśayaḥ	22.12ab: mAsa-dvayena sarvatra prekzate na-atra saMSayaH
   22.12cd: tribhiḥ samīkṣate sarvaṃ ravibimbasamākulam	22.12cd: triBiH samIkzate sarvam ravi-bimba-samAkulam
   22.13ab: proktakālāvasānena vṛṣasthe tigmarociṣi	22.13ab: prokta-kAla-avasAnena vRza-sTe tigmarocizi
   22.13cd: prekṣate sūryabimbāntaḥ sacakraṃ parameśvaram	22.13cd: prekzate sUrya-bimba-antar sa-cakram parameSvaram
   22.14ab: upalabdhaṃ samākṛṣya mukhāgre sthiratāṃ nayet	22.14ab: upalabDam samAkRzya muKa-agre sTira-tAm nayet-
   22.14cd: āpīya pūrvavat paścād vṛttiṃ niścalatāṃ nayet	22.14cd: ApIya pUrvavat paScAt vRttim niScala-tAm nayet-
   22.15ab: tatra tena sahātmānam ekīkṛtya muhūrtakam	22.15ab: tatra tena saha-AtmAnam ekIkRtya muhUrtakam
   22.15cd: yāvat tiṣṭhati deveśi tāvat saṃtyajati kṣitim	22.15cd: yAvat tizWati deveSi tAvat saMtyajati kzitim
   22.16ab: paśyato janavṛndasya yāti sūryena caikataḥ	22.16ab: paSyataH janavRndasya yAti sUryena ca-ekatas-
   22.16cd: anena vidhinā devi siddhayogīśvareśvaraḥ	22.16cd: anena viDinA devi sidDayogi-ISvara-ISvaraH
   22.17ab: śivādyavaniparyantaṃ na kva cit pratihanyate	22.17ab: Siva-Adi-avani-paryantam na kva cit pratihanyate
   22.17cd: bhuktvā tu vipulān bhogān niṣkale līyate pare	22.17cd: BuktvA tu vipulAn BogAn nizkale lIyate pare
   22.18ab: tad etat khecarīcakraṃ yatra khecaratāṃ vrajet	22.18ab: tat etat KecarI-cakram yatra Kecara-tAm vrajet-
   22.18cd: siddhayogeśvarītantre sarahasyam udāhṛtam	22.18cd: sidDa-yoga-ISvarI-tantre sa-rahasyam udAhRtam
   22.19ab: athavā cakrarūpeṇa sabāhyābhyantaraṃ svakam	22.19ab: aTavA cakra-rUpeNa sa-bAhya-aByantaram svakam
   22.19cd: dehaṃ cintayataḥ pūrvaṃ phalaṃ syān niścitātmanaḥ	22.19cd: deham cintayataH pUrvam Palam syAt niScita-AtmanaH
   22.20ab: uccaran phādināntāṃ vā dhvanijyotirmaruddyutām	22.20ab: uccaran PAdina-antAm vA Dvani-jyotiH-marut-dyutAm
   22.20cd: viśrāmya mastake cittaṃ kṣaṇam ekaṃ vicakṣaṇaḥ	22.20cd: viSrAmya mastake cittam kzaNam ekam vicakzaNaH
   22.21ab: triśūlena prayogena sadyas tyajati medinīm	22.21ab: triSUlena prayogena sadyas tyajati medinIm
   22.21cd: evaṃ samabhyasan māsāc cakravad bhramati kṣitau	22.21cd: evam samaByasan mAsAt cakra-vat Bramati kzitO
   22.22ab: muhūrtaṃ spṛśate bhūmiṃ muhūrtāc ca nabhastalam	22.22ab: muhUrtam spRSate BUmim muhUrtAt ca naBastalam
   22.22cd: śivārāvādi kurute valanāsphoṭanāni ca	22.22cd: Siva-ArAva-Adi kurute valana-AsPowanAni ca
   22.23ab: mudrābandhādikaṃ vātha bhāṣā vāḷvakty anekadhā	22.23ab: mudrA-banDa-Adikam vA-aTa BAzA vA?vakti anekaDA
   22.23cd: ṣaṇmāsān medinīṃ tyaktvā samādhistho dṛḍhendriyaḥ	22.23cd: zaz-mAsAt medinIm tyaktvA samADi-sTaH dRXa-indriyaH
   22.24ab: tiṣṭhate hastamātreṇa gagane yogacintakaḥ	22.24ab: tizWate hasta-mAtreNa gagane yoga-cintakaH
   22.24cd: paśyate yoginīvṛndam anekākāralakṣaṇam	22.24cd: paSyate yoginI-vRndam aneka-AkAra-lakzaNam
   22.25ab: saṃvatsareṇa yuktātmā tatsamānaḥ prajāyate	22.25ab: saMvatsareNa yukta-AtmA tad-samAnaH prajAyate
   22.25cd: paśyatām eva lokānāṃ tejobhir bhāsayan diśaḥ	22.25cd: paSyatAm eva lokAnAm tejoBiH BAsayan diSaH
   22.26ab: yāty utkṛṣya mahīpṛṣṭhāt khecarīṇāṃ patir bhavet	22.26ab: yAti utkRzya mahI-pRzWAt KecarINAm patiH Bavet-
   22.26cd: mudrā khageśvarī nāma kathitā yoginīmate	22.26cd: mudrA KageSvarI nAma kaTitAH yoginImate
   22.27ab: jāgaritvātha vā yogī tryahorātram atandritaḥ	22.27ab: jAgaritvA-aTa vA yogI tri-ahorAtram atandritaH
   22.27cd: caturthe 'hni niśārambhe pūjayitvā maheśvaram	22.27cd: caturTe ahni niSA-AramBe pUjayitvA maheSvaram
   22.28ab: tato 'ndhakāre bahule kṛtarakṣāvidhir budhaḥ	22.28ab: tatas anDakAre bahule kRta-rakzA-viDiH buDaH
   22.28cd: bhruvor madhye samādhāya kṣaṇaṃ cetaḥ prapaśyati	22.28cd: BruvoH maDye samADAya kzaNam cetaH prapaSyati
   22.29ab: tejo rūpapratīkāśaṃ paryaṅkāsanam āsthitaḥ	22.29ab: tejaH rUpa-pratIkASam paryaFka-Asanam AsTitaH
   22.29cd: prayogaṃ tv eva satataṃ yogayuktaḥ samabhyaset	22.29cd: prayogam tu eva satatam yoga-yuktaH samaByaset-
   22.30ab: paśyate māsamatreṇa gṛhāntarvastu yat sthitam	22.30ab: paSyate mAsa-matreNa gRha-antar-vastu yat sTitam
   22.30cd: dvābhyāṃ bahiḥ sthitaṃ sarvaṃ tribhiḥ pattanasaṃsthitam	22.30cd: dvAByAm bahis sTitam sarvam triBiH pattana-saMsTitam
   22.31ab: caturbhir viṣayāntaḥsthaṃ pañcabhir maṇḍalāvadhi	22.31ab: caturBiH vizaya-antaHsTam paQcaBiH maNxala-avaDi
   22.31cd: ṣaḍbhir māsair mahāyogī cchidraṃ paśyati medinīm	22.31cd: zaxBiH mAsEH mahA-yogI cCidram paSyati medinIm
   22.32ab: sarvajñatvam avāpnoti vatsarān nātra saṃśayaḥ	22.32ab: sarvajQa-tvam avApnoti vatsarAt na-atra saMSayaH
   22.32cd: yoginīsiddhasaṅghasya sadbhāvavyāptisaṃsthitam	22.32cd: yoginI-sidDa-saFGasya sadBAva-vyApti-saMsTitam
   22.33ab: paśyate yogayuktātmā tatsamānaś ca jāyate	22.33ab: paSyate yoga-yukta-AtmA tad-samAnaH ca jAyate
   22.33cd: anenaiva vidhānena svastikāsanasaṃsthitaḥ	22.33cd: anena-eva viDAnena svastika-Asana-saMsTitaH
   22.34ab: binduṃ nānāvidhaṃ tyaktvā śuddharūpam anusmaret	22.34ab: bindum nAnAviDam tyaktvA SudDa-rUpam anusmaret-
   22.34cd: tenāpi sarvaṃ purvoktaṃ vyāpnoti phalam uttamam	22.34cd: tena-api sarvam purva-uktam vyApnoti Palam uttamam
   iti śrīmālinīvijayottare tantre sūryākṛṣṭyadhikāra dvāviṃśatitamaḥ	iti SrI-mAlinI-vijaya-uttare tantre sUrya-AkRzwi-aDikAra dvAviMSatitamaH
   samāptaḥ	samAptaH
   trayoviṃśatitamo 'dhikāraḥ	trayoviMSatitamaH aDikAraH
   23.1ab: athātaḥ paramaṃ guhyaṃ kathayāmi tavādhunā	23.1ab: aTa-atas paramam guhyam kaTayAmi tava-aDunA
   23.1cd: sadyopalabdhijanakaṃ yogināṃ yogasiddhaye	23.1cd: sadyA-upalabDi-janakam yoginAm yoga-sidDaye
   23.2ab: pūrvanyāsena saṃnaddhaś cittaṃ śrotre niveśayet	23.2ab: pUrva-nyAsena saMnadDaH cittam Srotre niveSayet-
   23.2cd: nivāte svalpavāte vā bāhyaśabdavivarjite	23.2cd: nivAte svalpa-vAte vA bAhya-Sabda-vivarjite
   23.3ab: tatas tatra śṛṇoty eṣa yogī dhvanim anāvṛtam	23.3ab: tatas tatra SRNoti eza yogI Dvanim anAvRtam
   23.3cd: suviśuddhasya kāṃsyasya hatasyeha muhur muhuḥ	23.3cd: su-viSudDasya kAMsyasya hatasya-iha muhur muhur-
   23.4ab: yam ākrṇya mahādevi puṇyapāpaiḥ pramucyate	23.4ab: yam AkrNya mahAdevi puNya-pApEH pramucyate
   23.4cd: tatra saṃdhāya caitanyaṃ ṣaṇmāsād yogavittamaḥ	23.4cd: tatra saMDAya cEtanyam zaz-mAsAt yoga-vittamaH
   23.5ab: rutaṃ pakṣigaṇasyāpi prasphuṭaṃ vetty ayatnataḥ	23.5ab: rutam pakzi-gaNasya-api prasPuwam vetti ayatnatas-
   23.5cd: dūrāc chravaṇavijñānaṃ vatsareṇāsya jāyate	23.5cd: dUrAt SravaNa-vijQAnam vatsareNa-asya jAyate
   23.6ab: sarvakāmaphalāvāptir vatsaratritayena ca	23.6ab: sarva-kAma-Pala-avAptiH vatsara-tritayena ca
   23.6cd: siddhyatīti kim āścāryam anāyāsena siddhyati	23.6cd: sidDyati-iti kim AScAryam anAyAsena sidDyati
   23.7ab: athavā grahaṇe māsi kṛtvā sūryaṃ tu pṛṣṭhataḥ	23.7ab: aTavA grahaNe mAsi kRtvA sUryam tu pRzWatas-
   23.7cd: pūrvanyāsena saṃnaddhaḥ kiṃ cid bhittimadāśritaḥ	23.7cd: pUrva-nyAsena saMnadDaH kim cit Bittimat-a-ASritaH
   23.8ab: lakṣayed ātmanaś chāyāṃ mastakordhvam anāhatam	23.8ab: lakzayet AtmanaH CAyAm mastaka-UrDvam anAhatam
   23.8cd: dhūmavartiviniṣkrāntāṃ tadgatenāntarātmanā	23.8cd: DUma-varti-vinizkrAntAm tad-gatena-antarAtmanA
   23.9ab: yāti tanmayatāṃ tatra yogayukto yathā yathā	23.9ab: yAti tad-maya-tAm tatra yoga-yuktaH yaTA yaTA
   23.9cd: tathā tathāsya mahatī sāḷvittir upajāyate	23.9cd: taTA taTA-asya mahatI sA?vittiH upajAyate
   23.10ab: tatas tatra mahātejah sphuratkiraṇasaṃnibham	23.10ab: tatas tatra mahA-tejah sPurat-kiraNa-saMniBam
   23.10cd: paśyate yatra dṛṣṭe 'pi sarvapāpakṣayo bhavet	23.10cd: paSyate yatra dRzwe api sarva-pApa-kzayaH Bavet-
   23.11ab: tad asyābhyāsato māsāt sarvatra pravisarpati	23.11ab: tat asya-aByAsataH mAsAt sarvatra pravisarpati
   23.11cd: jvālāmālākulākārā diśaḥ sarvāḥ prapaśyati	23.11cd: jvAlA-mAlA-Akula-AkArAH diSaH sarvAH prapaSyati
   23.12ab: ṣaṇmāsam abhyasan yogī sarvajñatvam avāpnuyāt	23.12ab: zaz-mAsam aByasan yogI sarvajQa-tvam avApnuyAt-
   23.12cd: abdaṃ divyatanur bhūtvā śivavan modate ciram	23.12cd: abdam divya-tanuH BUtvA Siva-vat modate ciram
   23.13ab: atha jātyaḥ pravakṣyante sapūrvāsanaśāśvatāḥ	23.13ab: aTa jAtyaH pravakzyante sa-pUrva-Asana-SASvatAH
   23.13cd: hrīṃ kṣlāṃ kṣvīṃ vaṃ tathāḷkṣaṃ ca pañcakasya yathākramam	23.13cd: hrIm kzlAm kzvIm vam taTA-a?kzam ca paQcakasya yaTAkramam
   23.14ab: haṃ yaṃ raṃ laṃ tathā vaṃ ca pañcakasyāparasya ca	23.14ab: ham yam ram lam taTA vam ca paQcakasya-aparasya ca
   23.14cd: ṛṃ .Rṃ ḷṃ .Lṃ tathā oṃ auṃ haḥ aṃ ākarṇikāvadhau	23.14cd: Rm .Rm ?m .Lm taTA om Om haH am AkarNikA-vaDO
   23.15ab: kesareṣu bhakārāntā haṃ hāṃ hiṃ hīṃ ca huṃ tathā	23.15ab: kesarezu BakAra-antAH ham hAm him hIm ca hum taTA
   23.15cd: hūṃ heṃ haiṃ ca daleṣv evaṃ svasaṃjñābhiś ca śaktayaḥ	23.15cd: hUm hem hEm ca dalezu evam sva-saMjQABiH ca SaktayaH
   23.16ab: maṇḍalatritaye śeṣaṃ sūkṣmaṃ pretasya kalpayet	23.16ab: maNxala-tritaye Sezam sUkzmam pretasya kalpayet-
   23.16cd: jrakāraṃ śūlaśṛṅgāṇām ity etat parikīrtitam	23.16cd: jrakAram SUla-SRFgANAm iti etat parikIrtitam
   23.17ab: anuktāsanayogeṣu sarvatraiva prakalpayet	23.17ab: anukta-Asana-yogezu sarvatra-eva prakalpayet-
   23.17cd: namaḥ svāhā tathā vauṣaṭ huṃ vaṣaṭ phaṭ ca	23.17cd: namaH svAhA taTA vOzaw hum vazaw Paw ca
   jātayaḥ\testim{\svacchandatantra 1.72}	jAtayaH\teH-tim{\-svacCanda-tantraH 1.72}
   23.18ab: prāyaścitteṣu sarveṣu japen mālām akhaṇḍitām	23.18ab: prAyaScittezu sarvezu japet mAlAm aKaNxitAm
   23.18cd: bhinnāṃ vāpy athavābhinnām atikramabalābalam	23.18cd: BinnAm vA-api aTavA-aBinnAm atikrama-bala-abalam
   23.19ab: sakṛjjapāt samārabhya yāval lakṣatrayaṃ priye	23.19ab: sakRt-japAt samAraBya yAvat lakza-trayam priye
   23.19cd: prāṇavṛttinirodhena tataḥ parataraṃ kva cit	23.19cd: prANa-vRtti-niroDena tatas parataram kva cit-
   23.20ab: sadā bhramaṇaśīlānāṃ pīṭhakṣetrādikaṃ bahiḥ	23.20ab: sadA BramaNa-SIlAnAm pIWa-kzetra-Adikam bahis-
   23.20cd: prayogaṃ saṃpravakṣyāmi sukhasiddhiphalapradam	23.20cd: prayogam saMpravakzyAmi suKa-sidDi-Pala-pradam
   23.21ab: nāsākrāntaṃ mahāprāṇaṃ daṇḍarūpaṃ sabindukam	23.21ab: nAsA-AkrAntam mahA-prANam daNxa-rUpam sa-bindukam
   23.21cd: tadvad guhyaṃ ca kurvīta vidyeyaṃ dvyakṣarā matā	23.21cd: tadvat guhyam ca kurvIta vidyA-iyam dvi-akzarA matA
   23.22ab: asyāḥ pūrvoktavidhinā kṛtasevaḥ prasannadhīḥ	23.22ab: asyAH pUrva-ukta-viDinA kRta-sevaH prasanna-DIH
   23.22cd: pīṭhādikaṃ bhramet siddhyai nānyathā vīravandite	23.22cd: pIWa-Adikam Bramet sidDyE na-anyaTA vIra-vandite
   23.23ab: tat pradeśaṃ samāsādya mantrair ātmānam ādarāt	23.23ab: tat pradeSam samAsAdya mantrEH AtmAnam AdarAt-
   23.23cd: vidyayā veṣtayet sthānaṃ raktasūtrasamānayā	23.23cd: vidyayA veztayet sTAnam rakta-sUtra-samAnayA
   23.24ab: bahudhānanyacittas tu sabāhyābhyantaraṃ budhaḥ	23.24ab: bahuDA-ananya-cittaH tu sa-bAhya-aByantaram buDaH
   23.24cd: tatas tatra kva cit kṣetre yoginyo bhīmavikramāḥ	23.24cd: tatas tatra kva cit kzetre yoginyaH BIma-vikramAH
   23.25ab: samāgatya prayacchanti saṃpradāyaṃ svakaṃ svakam	23.25ab: samAgatya prayacCanti saMpradAyam svakam svakam
   23.25cd: yenāsau labdhamātreṇa saṃpradāyena suvrate	23.25cd: yena-asO labDa-mAtreNa saMpradAyena suvrate
   23.26ab: tatsamānabalo bhūtvā bhuṅkte bhogān yathepsitān	23.26ab: tad-samAna-balaH BUtvA BuFkte BogAn yaTA-IpsitAn
   23.26cd: athavā kṛtasevas tu lakṣam ekaṃ japet sudhīḥ	23.26cd: aTavA kRta-sevaH tu lakzam ekam japet suDIH
   23.27ab: tarpayitvā daśāṃśena kṣudrakarmasu yojayet	23.27ab: tarpayitvA daSa-aMSena kzudra-karmasu yojayet-
   23.27cd: tatroccāritamātreyaṃ viṣakṣayakarī bhavet	23.27cd: tatra-uccArita-mAtrA-iyam viza-kzaya-karI Bavet-
   23.28ab: cakravabhramamāṇaiṣā yonau raktāṃ vicintayet	23.28ab: cakravaBramamANA-ezA yonO raktAm vicintayet-
   23.28cd: gamāgamakramād vāpi vinda[lacuna]vāritā	23.28cd: gama-Agama-kramAt vA-api vinda[lacuna-]vAritA
   23.29ab: tatrasthaś cāśu saṃghātavighātākuñcanena tu	23.29ab: tatrasTaH ca-ASu saMGAta-viGAta-AkuQcanena tu
