   || śrīḥ ||	|| SrIH ||
   māṃ mohayati, tasmān na mamānayā kāryam itivat | tasyāṃ ca nivṛttāyāṃ	mAm mohayati, tasmAt na mama-anayA kAryam iti-vat | tasyAm ca nivRttAyAm
   mokṣaṃ gacchati | evam īśvarādīni akāraṇāni | sukumārataram ity etad	mokzam gacCati | evam ISvara-AdIni akAraNAni | sukumArataram iti etat-
   vākyaśeṣaḥ kṛtaḥ | yasmāt sukumārataraṃ pradhānaṃ tasmād ucyate ---	vAkya-SezaH kRtaH | yasmAt sukumArataram praDAnam tasmAt ucyate ---
   prakṛteḥ sukumārataraṃ na kiñcid astīti me matir bhavati | iti me	prakRteH sukumArataram na kiQcid asti-iti me matiH Bavati | iti me
   puruṣasya | atrāha --- sā dṛṣṭā puruṣeṇa kathaṃ nivartate prakṛtiḥ |	puruzasya | atra-Aha -- sA dRzwA puruzeNa kaTam nivartate prakRtiH |
   atrocyate --- yā dṛṣṭāsmīti punar na darśanam upaiti puruṣasya | yathā	atra-ucyate -- yA dRzwA-asmi-iti punar na darSanam upEti puruzasya | yaTA
   kācit kulastrī sādhvī svagṛhadvāri sthitā puruṣeṇa sahasaivāgatena dṛṣṭā	kAcid kula-strI sADvI sva-gRha-dvAri sTitA puruzeNa sahasA-eva-Agatena dRzwA
   sahasaivaṃ vrīḍamānā tvaritaṃ gṛhaṃ praviṣṭā sā evaṃ matvā dṛṣṭāham	sahasA-evam vrIxamAnA tvaritam gRham pravizwA sA evam matvA dRzwA-aham
   aneneti na punar darśanam upaiti puruṣasya | evaṃ prakṛtiḥ paramātmanā	anena-iti na punar darSanam upEti puruzasya | evam prakRtiH paramAtmanA
   puruṣeṇa jñānacakṣuṣā dṛṣṭā savrīḍā kulastrīvan na punar darśanam upaiti	puruzeNa jQAna-cakzuzA dRzwA sa-vrIxA kula-strI-vat na punar darSanam upEti
   puruṣasya | tasyāṃ ca nivṛttāyāṃ puruṣo mokṣaṃ gacchati // SkMv_61 //	puruzasya | tasyAm ca nivRttAyAm puruzaH mokzam gacCati // SkMu-_61 //
   (p.56)	(p.56)
   atrāha --- loke śiṣṭā vadanti puruṣo baddhaḥ, puruṣo muktaḥ, puruṣaḥ	atra-Aha -- loke SizwAH vadanti puruzaH badDaH, puruzaH muktaH, puruzaH
   saṃsarati | atrocyate ---	saMsarati | atra-ucyate ---
   tasmān na badhyate nāpi mucyate nāpi saṃsarati kaścit /	tasmAt na baDyate na-api mucyate na-api saMsarati kaScid /
   saṃsarati badhyate mucyate ca nānāśrayā prakṛtiḥ // ISk_62 //	saMsarati baDyate mucyate ca nAnA-ASrayA prakRtiH // ISc-_62 //
   puruṣo na badhyate sarvagatatvāt, avikāratvāt, niṣkriyatvāt, akartṛtvāt |	puruzaH na baDyate sarva-gata-tvAt, avikAra-tvAt, nizkriya-tvAt, akartR-tvAt |
   yasmān na badhyate tasmān na mucyate | mukta eva saḥ | abaddhaḥ kuto	yasmAt na baDyate tasmAt na mucyate | muktaH eva saH | abadDaH kuto
   mucyate | kasyābhuktena visūcī bhavati | na saṃsarati sarvagatatvāt |	mucyate | kasya-aBuktena visUcI Bavati | na saMsarati sarva-gata-tvAt |
   sarvagatasya bandhamokṣau kutaḥ | anadhigataprāpaṇārthaṃ saṃsaraṇam ity	sarva-gatasya banDa-mokzO kutas | anaDigata-prApaNa-arTam saMsaraNam iti-
   upadiśyate | tena ca sunipuṇaṃ sarvaṃ prāptam | puruṣaṃ na vidanti ye ta	upadiSyate | tena ca su-nipuNam sarvam prAptam | puruzam na vidanti ye ta
   evaṃ vadanti | puruṣo baddhaḥ, puruṣo muktaḥ, puruṣaḥ saṃsarati | atrāha	evam vadanti | puruzaH badDaH, puruzaH muktaH, puruzaH saMsarati | atra-Aha
   --- yadi puṃso bandhamokṣasaṃsaraṇāni na syuḥ tarhi kasya bhavanti | tad	-- yadi puMsaH banDa-mokza-saMsaraNAni na syuH tarhi kasya Bavanti | tat-
   ucyate --- saṃsarati badhyate mucyate ca nānāśrayā prakṛtiḥ | prakṛtir	ucyate -- saMsarati baDyate mucyate ca nAnA-ASrayA prakRtiH | prakRtiH-
   ātmānaṃ badhnāti, mocayati, saṃsarati ca | yat tat sargādau sūkṣmaṃ	AtmAnam baDnAti, mocayati, saMsarati ca | yat tat sarga-AdO sUkzmam
   śarīraṃ tānmātrikaṃ prāg uktaṃ trayodaśavidhena karaṇena saṃyuktaṃ	SarIram tAn-mAtrikam prAk uktam trayodaSaviDena karaNena saMyuktam
   trividhena bandhena baddhaṃ saṃsarati | sa ca bandhas trividhaḥ pūrvam	triviDena banDena badDam saMsarati | sa ca banDaH triviDaH pUrvam
   ākhyātaḥ | tad eva sūkṣmaśarīram utpanne jñāne tridhā bandhān mucyate |	AKyAtaH | tat eva sUkzmaSarIram utpanne jQAne triDA banDAt mucyate |
   tasmān mucyate badhyate saṃsarati nānāśrayā prakṛtiḥ | nānāśrayā	tasmAt mucyate baDyate saMsarati nAnA-ASrayA prakRtiH | nAnA-ASrayA
   devamanuṣyatiryakśarīrabhūtety arthaḥ | evaṃ yat pradhānaṃ tat sūkṣmaṃ	deva-manuzya-tiryak-SarIra-BUtA-iti arTaH | evam yat praDAnam tat sUkzmam
   śarīraṃ tat pradhānaṃ prakṛtir ity anarthāntaram | tatra yaḥ puṃso	SarIram tat praDAnam prakRtiH iti anarTa-antaram | tatra yaH puMsaH-
   bandhamokṣasaṃsaraṇāni brūte sa mūḍhaḥ // SkMv_62 //	banDa-mokza-saMsaraNAni brUte sa mUXaH // SkMu-_62 //
   atrāha --- sā prakṛtiḥ kair guṇair ātmānaṃ bandhayati, kair vā mocayatīti?	atra-Aha -- sA prakRtiH kEH guNEH AtmAnam banDayati, kEH vA mocayati-iti?
   atrocyate ---	atra-ucyate ---
   rūpaiḥ saptabhir evaṃ badhnāty ātmānam ātmanā prakṛtiḥ /	rUpEH saptaBiH evam baDnAti AtmAnam AtmanA prakRtiH /
   saiva ca puruṣasyārthaṃ prati vimocayaty ekarūpeṇa // ISk_63 //	sA-eva ca puruzasya-arTam prati vimocayati eka-rUpeNa // ISc-_63 //
   saptabhī rūpair iyam evaṃ prakṛtir dharmādibhir vinā jñānam ātmanātmānaṃ	saptaBiH rUpEH iyam evam prakRtiH Darma-AdiBiH vinA jQAnam AtmanA-AtmAnam
   badhnāti | saiva ca prakṛtiḥ guṇapuruṣāntaropalabdhirūpaṃ prati, ekarūpeṇa	baDnAti | sA-eva ca prakRtiH guNa-puruza-antara-upalabDi-rUpam prati, eka-rUpeNa
   jñānenātmānaṃ vimocayati // SkMv_63 //	jQAnena-AtmAnam vimocayati // SkMu-_63 //
   (p.57)	(p.57)
   katham taj jñānam utpadyate ---	kaTam tat jQAnam utpadyate ---
   evaṃ tattvābhyāsān nāsmi na me nāham ity apariśeṣam /	evam tattva-aByAsAt na-asmi na me na-aham iti apariSezam /
   aviparyayād viśuddhaṃ kevalam utpadyate jñānam // ISk_64 //	aviparyayAt viSudDam kevalam utpadyate jQAnam // ISc-_64 //
   evam iti | yathā, etāni pañcaviṃśatitattvāni puruṣādyāni bhūtaparyantāni	evam iti | yaTA, etAni paQcaviMSati-tattvAni puruza-AdyAni BUta-paryantAni
   teṣām abhyāsas tattvābhyāsaḥ | abhyāsenaiva tattvadarśanam | tasmād	tezAm aByAsaH tattva-aByAsaH | aByAsena-eva tattva-darSanam | tasmAt-
   abhyāsāt puruṣasya buddhir utpadyate | nāsmi tattvāni, na me tattvāni,	aByAsAt puruzasya budDiH utpadyate | na-asmi tattva-ani, na me tattva-ani,
   nāhaṃ tattvānām, kiṃ tu prādhānikāny etāni | tasmāj jñānam utpadyata	na-aham tattvAnAm, kim tu prADAnikAni etAni | tasmAt jQAnam utpadyata
   evamādi | apariśeṣaṃ niravaśeṣam ity arthaḥ | kiṃ cānyat (jñānaṃ yasmād	evamAdi | apariSezam niravaSezam iti arTaH | kim ca-anyat (jQAnam yasmAt-
   āha) --- aviparyayāt | viparyayaḥ saṃśayas tadviparīto 'viparyayas tasmād	Aha) -- aviparyayAt | viparyayaH saMSayaH tad-viparItaH aviparyayaH tasmAt-
   aviparyayād asaṃśayād yathābhūtārthadarśanād viśuddham niravadyam	aviparyayAt asaMSayAt yaTABUta-arTa-darSanAt viSudDam niravadyam
   avyāmiśraṃ kevalaṃ jñānam utpadyate prādurbhavati | kiṃ jñānam?	avyAmiSram kevalam jQAnam utpadyate prAdurBavati | kim jQAnam?
   guṇapuruṣāntaropalabdhirūpam ity arthaḥ // SkMv_64 //	guNa-puruza-antara-upalabDi-rUpam iti arTaH // SkMu-_64 //
   atrāha --- tena jñānena puruṣaḥ kiṃ karoti | atrocyate ---	atra-Aha -- tena jQAnena puruzaH kim karoti | atra-ucyate ---
   tena nivṛttaprasavām arthavaśāt saptarūpavinivṛttām /	tena nivRtta-prasavAm arTa-vaSAt sapta-rUpa-vinivRttAm /
   prakṛtiṃ paśyati puruṣaḥ prekṣakavad avasthitaḥ svasthaḥ // ISk_65 //	prakRtim paSyati puruzaH prekzaka-vat avasTitaH svasTaH // ISc-_65 //
   yathā kaścit prekṣako raṅgasthito gītavāditranṛtyādibhir vartamānāṃ	yaTA kaScid prekzakaH raFga-sTitaH gIta-vAditra-nRtya-AdiBiH vartamAnAm
   nartakīṃ svastho nirvikalpaḥ paśyati | evaṃ puruṣa ātmakṛtena jñānena tāsu	nartakIm svasTaH nirvikalpaH paSyati | evam puruzaH Atma-kRtena jQAnena tAsu
   tāsv avasthāsu vartamānāṃ prakṛtiṃ paśyati --- iyaṃ sā prakṛtir yā	tAsu avasTAsu vartamAnAm prakRtim paSyati -- iyam sA prakRtiH yA
   sarvapurāṇam ātmānaṃ badhnāti | prekṣakavat prekṣakeṇa tulyaḥ svasthaḥ	sarva-purANam AtmAnam baDnAti | prekzaka-vat prekzakeNa tulyaH svasTaH
   svasmin bhāve sthitaḥ | kiṃbhūtāṃ prakṛtim? nivṛttaprasavām |	svasmin BAve sTitaH | kiMBUtAm prakRtim? nivRtta-prasavAm |
   nivṛttabuddhyahaṅkārakāryām | arthavaśāt saptarūpavinivṛttām |	nivRtta-budDi-ahaFkAra-kAryAm | arTa-vaSAt sapta-rUpa-vinivRttAm |
   nirvarttitobhayapuruṣaprayojanavaśād yaiḥ saptabhī rūpair dharmādibhir	nirvarttita-uBaya-puruza-prayojana-vaSAt yEH saptaBiH rUpEH Darma-AdiBiH-
   ātmānaṃ badhnāti tebhyo rūpebhyo vinivṛttām | yāvaj jñānacakṣuṣā dṛṣṭā	AtmAnam baDnAti teByaH rUpeByaH vinivRttAm | yAvat jQAnacakzuzA dRzwA
   prakṛtiḥ puruṣeṇa tathā ca pumān dṛṣṭaḥ // SkMv_65 //	prakRtiH puruzeNa taTA ca pumAn dRzwaH // SkMu-_65 //
   atrāha --- jñānacakṣuṣā dṛṣṭvā prakṛtiṃ puruṣaḥ kiṃ karoti? atrocyate ---	atra-Aha -- jQAna-cakzuzA dRzwvA prakRtim puruzaH kim karoti? atra-ucyate ---
   dṛṣṭā mayety upekṣaka eko dṛṣṭāham ity uparatānyā /	dRzwA mayA-iti upekzakaH ekaH dRzwA-aham iti uparatA-anyA /
   (p.58)	(p.58)
   sati saṃyoge 'pi tayoḥ prayojanaṃ nāsti sargasya // ISk_66 //	sati saMyoge api tayoH prayojanam na-asti sargasya // ISc-_66 //
   yathemāṃ raṅgagatāṃ nartakīṃ sarvāsv avasthāsu vartamānāṃ dṛṣṭvā viramati	yaTA-imAm raFga-gatAm nartakIm sarvAsu avasTAsu vartamAnAm dRzwvA viramati
   raṅgāt prekṣakaḥ dṛṣṭā mayety upekṣaka ekaḥ kevalaḥ śuddhaḥ puruṣaḥ |	raFgAt prekzakaH dRzwA mayA-iti upekzakaH ekaH kevalaH SudDaH puruzaH |
   tathā prakṛtir api --- "anenāhaṃ dṛṣṭā" iti nivṛttā | ekā trailokyasyāpi	taTA prakRtiH api -- "anena-aham dRzwA" iti nivRttA | ekA trElokyasya-api
   pradhānakāraṇabhūtā na dvitīyā prakṛtir asti | nartaky api --- "aham anena	praDAna-kAraNa-BUtA na dvitIyA prakRtiH asti | nartakI api -- "aham anena
   dṛṣṭā" ity uparamate nṛtyāt, evaṃ puruṣo 'pi "dṛṣṭā mayeyaṃ jñānacakṣuṣā	dRzwA" iti uparamate nRtya-at, evam puruzaH api "dRzwA mayA-iyam jQAnacakzuzA
   prakṛtiḥ" iti prekṣakavad uparamate mokṣaṃ gacchatīty arthaḥ | tathā	prakRtiH" iti prekzaka-vat uparamate mokzam gacCati-iti arTaH | taTA
   prakṛtir api dṛṣṭāham aneneti svavyāpārād uparamaty eva | atrāha ---	prakRtiH api dRzwA-aham anena-iti sva-vyApArAt uparamati eva | atra-Aha ---
   puṃprakṛtyoḥ sarvagatatvāt sarvaniṣedho na śakyate vaktum | tad asya	puMprakRtyoH sarva-gata-tvAt sarva-nizeDaH na Sakyate vaktum | tat asya
   saṃsārasargasya vinivṛttir eva | tat katham idaṃ sādhanaṃ samīcīnam iti |	saMsAra-sargasya vinivRttiH eva | tat kaTam idam sADanam samIcInam iti |
   atrocyate --- sati saṃyoge 'pi tayoḥ prayojanaṃ nāsti sargasyeti | yady	atra-ucyate -- sati saMyoge api tayoH prayojanam na-asti sargasya-iti | yadi-
   api pradhānapuruṣayoḥ sarvagatayoḥ saṃyogo bhavaty eva | tasmiṃś ca sati	api praDAna-puruzayoH sarva-gatayoH saMyogaH Bavati eva | tasmin ca sati
   sargasambhavas tathāpi nāsau sargaḥ syāt prayojanābhāvāt | yasmāt	sarga-samBavaH taTA-api na-asO sargaH syAt prayojana-aBAvAt | yasmAt-
   pradhānasya puruṣārthā pravṛttiḥ | sa ca puruṣārtho dvividhaḥ |	praDAnasya puruza-arTA pravRttiH | sa ca puruza-arTaH dviviDaH |
   śabdādyupalabdhir ādir guṇapuruṣāntaropalabdhir antaś ca |	Sabda-Adi-upalabDiH AdiH guNa-puruza-antara-upalabDiH antar ca |
   brahmādisthāvarānteṣu puruṣaḥ śabdādibhir viṣayair yojayitavyaḥ | ante ca	brahma-Adi-sTAvara-antezu puruzaH Sabda-AdiBiH vizayEH yojayitavyaH | ante ca
   guṇapuruṣāntaropalabdhyā mokṣayitavyaḥ | evaṃ puruṣadarśanārthaṃ	guNa-puruza-antara-upalabDyA mokzayitavyaH | evam puruza-darSana-arTam
   samprayogaḥ kṛtaḥ | evaṃ prakṛtipuruṣayos tayoḥ śarīrotpattir nāsti punaḥ	samprayogaH kRtaH | evam prakRti-puruzayoH tayoH SarIra-utpattiH na-asti punar-
   ṛṇikadhāriṇakavad yatheha loke ṛṇikadhāriṇakau uttamādhamarṇau	RNika-DAriNaka-vat yaTA-iha loke RNika-DAriNakO uttama-aDamarNO
   devadattayajñadattau yo 'smin ṛṇaṃ dhārayati sa uttamarṇas	devadatta-yajQadattO yaH asmin RNam DArayati saH uttamarNas
   tenādhamarṇāktaḥ --- "ṛṇaṃ me dehī" iti | tatas tena taddattam | tatas tau	tena-aDamarNa-aktaH -- "RNam me dehI" iti | tatas tena tat-dattam | tatas tO
   kṛtaprayojanau parasparam arthena santyaktāv atha tayor bhūyaḥ saṃyogo	kRta-prayojanO parasparam arTena santyaktO aTa tayoH BUyas saMyogaH-
   bhavati | tathāpi nārthakṛtyaṃ prayojanābhāvāt | yathā vā vṛddhasaṃyogād	Bavati | taTA-api na-arTa-kRtyam prayojana-aBAvAt | yaTA vA vRdDa-saMyogAt-
   apatyaṃ na bhavati, prayojanābhāvāt | tathā pradhānapuruṣayoḥ	apatyam na Bavati, prayojana-aBAvAt | taTA praDAna-puruzayoH
   kṛtaprayojanayoḥ prayojanaṃ nāstīti siddham // SkMv_66 //	kRta-prayojanayoH prayojanam na-asti-iti sidDam // SkMu-_66 //
   kiñ cānyat, yadi puruṣasyotpanne jñāne mokṣas tarhi mama kasmān na bhavati	kiQ ca-anyat, yadi puruzasya-utpanne jQAne mokzaH tarhi mama kasmAt na Bavati
   | ata ucyate ---	| atas ucyate ---
   samyagjñānādhigamād dharmādīnām akāraṇaprāptau /	samyak-jQAna-aDigamAt Darma-AdInAm akAraNa-prAptO /
   tiṣṭhati saṃskāravaśāc cakrabhramavad dhṛtaśarīraḥ // ISk_67 //	tizWati saMskAra-vaSAt cakra-Brama-vat DRta-SarIraH // ISc-_67 //
   yadā puruṣeṇa pañcaviṃśatitattvajñānam adhigataṃ bhavati tadā dharmādīny	yadA puruzeNa paQcaviMSati-tattva-jQAnam aDigatam Bavati tadA Darma-AdIn-i-
   akāraṇāni prāptāni punarjanmasamarthāni na bhavanti | ko dṛṣṭāntaḥ ---	akAraNAni prAptAni punar-janma-samarTAni na Bavanti | kaH dRzwAntaH ---
   yatheha (p.89) loke bījāny agnidagdhāni na prarohasamarthāni bhavanti |	yaTA-iha (p.89) loke bIjAni agni-dagDAni na praroha-samarTAni Bavanti |
   dharmo yeṣām ādis tāni dharmādīni teṣām akāraṇānāṃ prāptir akāraṇaprāptiḥ	DarmaH yezAm AdiH tAni Darma-AdIni tezAm akAraNAnAm prAptiH akAraNa-prAptiH
   | tathā satyāṃ punarjanma na bhavati | atrāha --- yadi samyagjñānān mokṣo	| taTA satyAm punarjanma na Bavati | atra-Aha -- yadi samyak-jQAnAt mokzaH-
   bhavati tatrācāryasyopadeṣṭuḥ samyagjñānam utpannaṃ kimarthaṃ mokṣaṃ na	Bavati tatra-AcAryasya-upadezwuH samyak-jQAnam utpannam kim-arTam mokzam na
   gato 'sti, atha vā tvatprasādāt tajjñānaṃ mamāpi sañjātaṃ kim ahaṃ mokṣaṃ	gataH asti, aTa vA tvad-prasAdAt tat-jQAnam mama-api san-jAtam kim aham mokzam
   na gacchāmi | atrocyate --- tiṣṭhati saṃskāravaśāt | saṃskāro nāma	na gacCAmi | atra-ucyate -- tizWati saMskAra-vaSAt | saMskAraH nAma
   dharmādharmau nimittaṃ kṛtvā śarīrotpattir bhavati tiryaṅmanuṣyadevādiṣu |	Darma-aDarmO nimittam kRtvA SarIra-utpattiH Bavati tiryak-manuzya-deva-Adizu |
   tasya saṃskāreṇa grahaṇam | sa ca saṃskāraḥ phalam adattvā kṣayaṃ na	tasya saMskAreNa grahaNam | sa ca saMskAraH Palam adattvA kzayam na
   gacchati, utpannajñānasyāpi tasmād idaṃ śarīraṃ vināśaṃ yāsyati |	gacCati, utpanna-jQAnasya-api tasmAt idam SarIram vinASam yAsyati |
   tannimittābhāvād idaṃ śarīraṃ patiṣyati | yathā ca vidvān mokṣaṃ yāsyati |	tad-nimitta-aBAvAt idam SarIram patizyati | yaTA ca vidvAn mokzam yAsyati |
   tasmāt hetor utpannajñānasyāpi dharmādharmavaśāt tiṣṭhati śarīram | ko	tasmAt hetoH utpanna-jQAnasya-api Darma-aDarma-vaSAt tizWati SarIram | kaH-
   dṛṣṭāntaḥ? atrocyate --- cakrabhramavad dhṛtaśarīraḥ | yathā kulālaś	dRzwAntaH? atra-ucyate -- cakra-Brama-vat DRta-SarIraH | yaTA kulAlaS
   cakraṃ bhramayati ghaṭaṃ kariṣyāmīti | sa kulālo ghaṭaṃ kṛtvā yathā	cakram Bramayati Gawam karizyAmi-iti | sa kulAlaH Gawam kRtvA yaTA
   svastho bhavati, avatiṣṭhate | yasmiṃś cāvatiṣṭhamāne cakraṃ bhramaty eva	svasTaH Bavati, avatizWate | yasmin ca-avatizWamAne cakram Bramati eva
   | saṃskāravaśāt --- karmavaśād ity arthaḥ | evam eva pūrvakṛtayor	| saMskAra-vaSAt -- karma-vaSAt iti arTaH | evam eva pUrva-kRtayoH-
   dharmādharmayor balavattvād durbalatvāj jñānasya, utpanne 'pi jñāne	Darma-aDarmayoH balavat-tvAt durbala-tvAt jQAnasya, utpanne api jQAne
   vidvāṃs tiṣṭhati saṃskāravaśāc cakrabhramavad dhṛtaśarīraḥ // SkMv_67 //	vidvAn tizWati saMskAra-vaSAt cakra-Brama-vat DRta-SarIraH // SkMu-_67 //
   atrāha --- utpannajñānaḥ phalanirapekṣaṃ karma nirbījaṃ kurvan na deham	atra-Aha -- utpanna-jQAnaH Pala-nirapekzam karma nirbIjam kurvan na deham
   ārabhate, ārabdhaphalaṃ yāvat janmadāyi "nābhuktaṃ kṣīyate karma" "avaśyam	AraBate, ArabDa-Palam yAvat janma-dAyi "nABuktam kzIyate karma" "avaSyam
   eva bhoktavyaṃ kṛtam" iti kṣapayan, anārabdhaphaleṣu "yathaidhāṃsi	eva Boktavyam kRtam" iti kzapayan, anArabDa-Palezu "yaTA-eDAMsi
   samiddho 'gniḥ(bhagavadgītā 4 |37)" iti parihāreṇa bhasmīkaraṇam | evaṃ	samidDaH agniH(Bagavat-gItAH 4 |37)" iti parihAreNa BasmIkaraNam | evam
   karmaṇāṃ dhvaṃse, utpanne jñāne 'pi kadā vidvān mokṣaṃ gacchatīti?	karmaNAm DvaMse, utpanne jQAne api kadA vidvAn mokzam gacCati-iti?
   atrocyate ---	atra-ucyate ---
   prāpte śarīrabhede caritārthatvāt pradhānavinivṛttau /	prApte SarIra-Bede caritArTa-tvAt praDAna-vinivRttO /
   aikāntikam ātyantikam ubhayaṃ kaivalyam āpnoti // ISk_68 //	EkAntikam Atyantikam uBayam kEvalyam Apnoti // ISc-_68 //
   tad evaṃ sati śarīrabhede dehanāśe prāpta āyāta ity arthaḥ |	tat evam sati SarIra-Bede deha-nASe prAptaH AyAtaH iti arTaH |
   caritārthatvāt | sa cārtho dvividhaḥ (śābdātmikaḥ) pūrvam uktaḥ |	caritArTa-tvAt | sa ca-arTaH dviviDaH (SAbda-AtmikaH) pUrvam uktaH |
   tasyārthasya caritārthatvāt kṛtvety arthaḥ | pradhānavinivṛttau | yadā	tasya-arTasya caritArTa-tvAt kRtvA-iti arTaH | praDAna-vinivRttO | yadA
   pūrvakṛtayor dharmādharmayoḥ kṣayo bhavati tadā śarīraṃ bhidyate | tasmiṃś	pUrva-kRtayoH Darma-aDarmayoH kzayaH Bavati tadA SarIram Bidyate | tasmin=-
   ca śarīre bhinne pūrvoktena jñānena śarīraṃ pradhānākhyaṃ kāraṇam	ca SarIre Binne pUrva-uktena jQAnena SarIram praDAna-AKyam kAraNam
   aviśeṣamayaṃ tānmātrikaṃ sargādāv utpannaṃ tan nivartate | iha śarīre yat	aviSeza-mayam tAn-mAtrikam sarga-AdO utpannam tat nivartate | iha SarIre yat-
   pārthivaṃ tat prthivīṃ praviśati | evam anyad anyeṣu praviśati | evaṃ	pArTivam tat prTivIm praviSati | evam anyat anyezu praviSati | evam
   sthūlaṃ śarīraṃ pañcadhā bhidyate | pradhānaṃ ca kṛtaprayojanaṃ bhūyo	sTUlam SarIram paQcaDA Bidyate | praDAnam ca kRta-prayojanam BUyo
   'nyat(p.60) śarīraṃ dvitīyaṃ nārabhate viduṣaḥ | evam ayaṃ vidvān tasmin	anyat(p.60) SarIram dvitIyam na-AraBate viduzaH | evam ayam vidvAn tasmin
   śarīre bhinne --- aikāntikam ātyantikam ubhayaṃ kaivalyam āpnoti |	SarIre Binne -- EkAntikam Atyantikam uBayam kEvalyam Apnoti |
   aikāntikam avaśyambhāvitvād ātyantikam apunarāvṛttitvāt sarvathety arthaḥ	EkAntikam avaSyamBAvi-tvAt Atyantikam apunarAvRtti-tvAt sarvaTA-iti arTaH
   | na tv auṣadhādivat kādācitkaroganivṛttivat | na ca nivṛtte roge punaḥ	| na tu OzaDa-Adi-vat kAdAcid-ka-roga-nivRtti-vat | na ca nivRtte roge punar-
   sambhaved ity ubhayodāharaṇam aikāntikātyantikayoḥ | ittham ekāntātyantas	samBavet iti uBaya-udAharaNam EkAntika-AtyantikayoH | itTam ekAnta-atyanta-s
   tāpatrayasyābhāvād uparamād anutpatteḥ kaivalyaṃ mokṣa ity arthaḥ | tam	tApa-trayasya-aBAvAt uparamAt anutpatteH kEvalyam mokzaH iti arTaH | tam
   āpnoti // SkMv_68 //	Apnoti // SkMu-_68 //
   atrāha --- kiṃprayojanam idaṃ jñānam ucyate | atrocyate ---	atra-Aha -- kiMprayojanam idam jQAnam ucyate | atra-ucyate ---
   puruṣārthajñānam idaṃ guhyaṃ paramarṣiṇā samākhyātam /	puruza-arTa-jQAnam idam guhyam parama-RziNA samAKyAtam /
   sthityutpattipralayāś cintyante yatra bhūtānām // ISk_69 //	sTiti-utpatti-pralayAH cintyante yatra BUtAnAm // ISc-_69 //
   yaś cāsau puruṣārtho mokṣas tadarthaṃ puruṣavimokṣārthaṃ jñānam idam iti |	yaH ca-asO puruza-arTaH mokzaH tad-arTam puruza-vimokza-arTam jQAnam idam iti |
   yad etat pūrvavarṇitaṃ jñānaṃ etad guhyaṃ durvijñeyam ity arthaḥ |	yat etat pUrva-varNitam jQAnam etat guhyam durvijQeyam iti arTaH |
   paramarṣiṇā kapilena samākhyātaṃ kathitam ity arthaḥ | atrāha --- asmin	parama-RziNA kapilena samAKyAtam kaTitam iti arTaH | atra-Aha -- asmin
   jñāne ke 'rthāś cintyante | atrocyate --- sthityutpattipralayāḥ tatra	jQAne ke arTAH cintyante | atra-ucyate -- sTiti-utpatti-pralayAH tatra
   devādīnām aṣṭau sthānāni bhavanti | mānuṣyaṃ caikavidham, bhūloke	deva-AdInAm azwO sTAnAni Bavanti | mAnuzyam ca-eka-viDam, BU-loke
   pañcavidhaṃ tairyagyonam | eṣu sthāneṣu brahmādīni tiryagyoniparyantāni	paQcaviDam tEryagyonam | ezu sTAnezu brahma-AdIni tiryagyoni-paryantAni
   tiṣṭhanti | eṣā sthitiḥ | utpattiṃ prādurbhāvaṃ pradhānān	tizWanti | ezA sTitiH | utpattim prAdurBAvam praDAnAn
   mahadahaṅkāratanmātrendriyamahābhūtānīty utpattiḥ | evaṃ bhūtotpattir	mahat-ahaFkAra-tanmAtra-indriya-mahABUtAni-iti utpattiH | evam BUta-utpattiH-
