   daśamaḥ paricchedaḥ	daSamaH paricCedaH
        (vi, ta) kkadvayābhāve 'pyāha   vipuleneti /	(vi, ta) kka dvaya aBAve api Aha    vipulena iti /
        sāgaraśayasya viṣṇorvipulena kukṣiṇā udareṇa yugakṣayakāle bhuvanāni	sAgara Sayasya vizNoH vipulena kukziNA udareNa yuga kzaya kAle BuvanAni
   papire /	papire /
        sa punarviṣṇuḥ śrīkṛṣṇaḥ ekatamayā purastriyā kartryā	sa punar vizNuH SrI kRzNaH ekatamayA pura striyA kartryA
   madavibhrameṇāsakalayā ekadeśarūpayā ekayā dṛśā pape ityarthaḥ /	mada viBrameNa asakalayA eka deSa rUpayA ekayA dRSA pape iti arTaH /
        atra bhuvanapānasamarthakukṣimata ekastrīkaṭākṣeṇa peyatvayogo	atra Buvana pAna samarTa kukzimataH eka strI kawAkzeNa peyatu a yogaH 
   viruddha ityarthaḥ /	virudDaH iti arTaH /
        kāvyaprakāśakṛnmate tukkadvayena vinaivātra viruddhatayāpratīteḥ	kAvya prakASa kRt mate tukka dvayena vinA eva atra virudDa tayA pratIteH
   kenāpyanuktatayā nedaṃ caturthaviṣamālaṅkārodāharaṇam /	kena api anukta tayA na idam caturTa vizama alaFkAra udAharaNam /
        ataḥ kāraṇakāryayoḥ kriyāvirodharūpadvitīyaviṣamodāharaṇatayaivāyaṃ	atas kAraNa kAryayoH kriyA viroDa rUpa dvitIya vizama udAharaNa tayA eva ayam
   ślokastena darśitaḥ /	SlokaH tena darSitaH /
        kukṣistu avayavaḥ kāraṇam /	kukziH tu avayavaH kAraNam /
        kukṣimānavayavī śrīkṛṣṇastu kāryam /	kukzimAn avayavI SrI kRzNaH tu kAryam /
        tayorbhuvanapānastrīkaṭākṣapeyatvakriye viruddhe //	tayoH Buvana pAna strI kawAkza peya tva kriye virudDe //
        Locanā:	LocanA:
        (lo, ī) taditi /	(lo, I) tat iti /
        viṣamālaṅkāraṇāmeṣāṃ sūtroktaprakāraṇāmupalakṣaṇatayā	vizama alaFkAraNAm ezAm sUtra ukta prakAraNAm upalakzaNa tayA
   sambandhinorananurūpatayā takṣyānusāreṇānye 'pi prakārā udāhartavyā	sambanDinoH ananurUpa tayA takzya anusAreNa anye api prakArAH udAhartavyA
   ityarthaḥ /	iti arTaH /
        tatra diḍyātramudāhṛtya darśayati vipuleneti /	tatra diz yAtram udAhRtya darSayati  vipulena iti /
        asakalayā asamagrapātinyā /	asakalayA asamagra pAtinyA /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   samaṃ syādānurūpyeṇa ślāghā yogyasya vastunaḥ /	samam syAt AnurUpyeNa SlAGA yogyasya vastunaH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, tha) samasaṃjñakamalaṅkāramāha   samamiti /	(vi, Ta) sama saMjQakam alaFkAram Aha    samam iti /
        yogyayoḥ parasparocitayoḥ vastunorānurūpyeṇaucityena yā ślāghā sā	yogyayoH paraspara ucitayoH vastunoH AnurUpyeNa Ocityena yA SlAGA sA
   samanāmālaṅkāra ityarthaḥ /	sama nAma alaFkAraH iti arTaH /
        Locanā:	LocanA:
        (lo, u) atrāvayavāvayavinorvaiṣamyam /	(lo, u) atra avayava avayavinoH vEzamyam /
        kvacit sajātīyayoḥ   	kvacid sajAtIyayoH   
        "asitamekasurāśitamapyabhū  nna punareṣa punarviṣadaṃ viṣam /	"asitam eka surASitam api aBU nna punar eza punar vizadam vizam /
        api nipīya surairjanitakṣayaṃ svayamudeti punarnavamārṇavam" //	api nipIya surEH janita kzayam svayam udeti punarnavam ArNavam" //
        atra vyatirekayoge 'pi dvayoḥ saṅkaro, natu viṣamālaṅkārābhāvaḥ /	atra vyatireka yoge api dvayoH saFkaro, na tu vizama alaFkAra aBAvaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yathā  	yaTA  
   śaśinamupagateyaṃ kaumudī meghamuktaṃ jalanidhimanurūpaṃ jahnukanyāvatīrṇā	SaSinam upagatA iyam kOmudI meGam uktam jalaniDim anurUpam jahnu kanyA avatIrNA
   iti samaguṇayogaprītayastatra paurāḥ śravaṇakaṭu nṛpāṇāmekavākyaṃ	iti sama guNa yoga prItayaH tatra pOrAH SravaNa kawu nRpANAm eka vAkyam
   vibavruḥ" //	vibavruH" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, da) śaśinamityādi /	(vi, da) SaSinam ityAdi /
        aje indumatyā svayaṃvṛte paurāṇāṃ śloghoktiriyam /	aje indumatyA svayaMvRte pOrANAm SloGa uktiH iyam /
        rasaguṇayoryogena prītiryeṣāṃ tādṛśāḥ paurā ityekavākyamekasya	rasa guNayoH yogena prItiH yezAm tAdRSAH pOrAH iti eka vAkyam ekasya
   janasya prāthamikaṃ vākyaṃ vivavruḥ /	janasya prATamikam vAkyam vivavruH /
        tadarthakaśabdāntarairvivṛtavanta ityarthaḥ /	tad arTaka Sabda antarEH vivRtavantaH iti arTaH /
        śaśinamityādyekasya vākyam /	SaSinam ityAdi ekasya vAkyam /
        śaśijalanidhitvena ajaḥ /	SaSi jala niDi tvena ajaH /
        kaumudījahnukanyātvenendumatī /	kOmudI jahnu kanyA tvena indumatI /
        pṛthaksiddhasyaiva prāptiḥ /	pRTak sidDasya eva prAptiH /
        kaumudī tu śaśino na pṛthak siddhā, ataḥ pṛthaksiddhasampādanāy	kOmudI tu SaSinaH na pRTak sidDA, atas pRTak sidDa sampAdanAy
   meghamuktatvaviśeṣaṇam /	meGa mukta tva viSezaNam /
        meghena pṛthakkṛtāyāstadapagame prāptirityarthaḥ /	meGena pRTakkRtAyAH tad apagame prAptiH iti arTaH /
        Locanā:	LocanA:
        (lo, ū) viṣamād vaiparītyena samasya lakṣaṇam /	(lo, U) vizamAt vEparItyena samasya lakzaNam /
        vastunordarśanīyayoḥ /	vastunoH darSanIyayoH /
        jahnukanyā gaṅgā /	jahnukanyA gaFgA /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   vicitraṃ tadviruddhasya kṛtiriṣṭaphalāya cet // VisSd_10.71 //	vicitram tat virudDasya kRtirizwa PalAya ced // VisSd _10.71 //
   yathā  	yaTA  
   "praṇamatyunnatihetorjovitahetorvimuñcati prāṇān /	"praNamati unnati hetoH jaH vita hetoH vimuQcati prANAn /
   duḥ khīyati sukhahetoḥ ko mūḍhaḥ sevakādanyaḥ" //	duH KIyati suKa hetoH kaH mUXaH sevakAt anyaH" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, dha) praṇamatīti /	(vi, Da) praNamati iti /
        praṇāmo hi namrībhāvaḥ sa unnativiparītaḥ /	praNAmaH hi namrIBAvaH saH unnati viparItaH /
        prāṇāna vimuñcati, yuddhe iti śeṣaḥ /	prANAna vimuQcati, yudDe iti SezaH /
        yadyapi prāṇavimoko na jīvitasya hetustathāpi	yadi api prANa vimokaH na jIvitasya hetuH taTA api
   prāṇavimokakriyāparamatra vimuñcatipadam /	prANa vimoka kriyA param atra vimuQcati padam /
        duḥ khīyati duḥ khamiccati, duḥ khajanakakriyāpravṛttatvāt /	duH KIyati duH Kam iccati, duH Ka janaka kriyA pravRtta tvAt /
        Locanā:	LocanA:
        (lo, ṛ) iṣṭaphalasya prakṛtodāharaṇādau unnatyādeḥ prāptyarthaṃ	(lo, R) izwa Palasya prakRta udAharaNa AdO unnatya AdeH prApti arTam
   tadviruddhasya praṇāmādeḥ karaṇaṃ vicitrālaṅkārabījaphalam /	tad virudDasya praNAma AdeH karaNam vicitra alaFkAra bIja Palam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   āśrayāśrayiṇorekasyādhikye 'dhikamucyate /	ASraya ASrayiNoH ekasya ADikye aDikam ucyate /
   Locanā:	LocanA:
   (lo, ṝ) ādhikyaṃ kvacidāśrayāśrayiṇormahattvamiti dvividho	(lo, L) ADikyam kvacid ASraya ASrayiNoH mahat tvam iti dviviDaH 
   'dhikākhyālaṅkāraḥ ityarthaḥ /	aDika AKyA alaFkAraH iti arTaH /
   yat punaḥ kaiściduktaṃ vastutaḥ tanutve 'pi yadekasyādhikyaṃ	yat punar kEScid uktam vastutas tanu tve api yat ekasya ADikyam
   tadadhikamucyate iti tanna /	tat aDikam ucyate iti tat na /
   "dyauratra kvacidāśritā pravitataṃ pātālamatra kvacit kvāpyatraiva	"dyOH atra kvacid ASritA pravitatam pAtAlam atra kvacid kvApi atra eva
   dharādharādharajalā dhārāvalirvarttate /	DarADarADara jalA DArOvaliH varttate /
   sphītasphītamaho nabhaḥ kiyadidaṃ yasyetthamevaṃvidhair  dūre pūraṇamastu	sPIta sPItam aho naBaH kiyat idam yasya itTam evaMviDEH  dUre pUraNam astu
   śūnyamiti yannāmāpi nāstaṃ gatam" //	SUnyam iti yat nAma api na astam gatam" //
   ityādāvavyāpteḥ /	iti AdO= avyApteH /
   atra hi nabhaso na tanutvam /	atra hi naBasaH na tanu tvam /
   asya cālaṅkārasyāśrayāśrayirūpavilakṣaṇāśrayatayāpavādatvena	asya ca alaFkArasya ASraya ASrayi rUpa vilakzaNa ASraya tayA apavAda tvena
   viṣamālaṅkārabādhakatā /	vizama alaFkAra bADaka tA /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   āśrayādhikye yathā  	ASraya ADikye yaTA  
   "kimadhikamasya brūmo mahimānaṃ vārigherhariryatra /	"kim aDikam asya brUmaH mahimAnam vA ariGeH hariH yatra /
   ajñāta eva śete kukṣau nikṣipya bhuvanāni" //	ajQAtaH eva Sete kukzO nikzipya BuvanAni" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, na) adhikasaṃjñakamalaṅkāramāha  āśrayeti /	(vi, na) aDika saMjQakam alaFkAram Aha   ASraya iti /
        ādhikyam adhikatayā varṇanamityarthaḥ /	ADikyam aDika tayA varNanam iti arTaH /
        kimadhikamiti /	kim aDikam iti /
        bhuvanāni kukṣau nikṣipya hariryatrājñāta eva śete /	BuvanAni kukzO nikzipya hariH yatra ajQAtaH eva Sete /
        jalanidheḥ kiñcidavacchedenaiva śayanājjalanidhidraṣṭṛbhirajñāta eva	jalaniDeH kiQcid avacCedena eva SayanAt jalaniDi drazwRBiH ajQAtaH eva
   śeta ityarthaḥ /	SetaH iti arTaH /
        asya jalanidhermahimānaṃ kimādhikaṃ vadāma ityarthaḥ /	asya jalaniDeH mahimAnam kimADikam vadAmaH iti arTaH /
        atra kukṣinikṣiptabhuvanasyāpi harestu kiñcidavacchedenaiva	atra kukzi nikzipta Buvanasya api hareH tu kiQcid avacCedena eva
   śayanādāśrayasya jalanidherādhikyaṃ varṇitam /	SayanAt ASrayasya jalaniDeH ADikyam varNitam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   āśritādhikye yathā  	ASrita ADikye yaTA  
   "yugāntakālapratisaṃhṛtātmano jaganti yasyāṃ savikāsamāsata /	"yuga anta kAla pratisaMhRta AtmanaH jaganti yasyAm savikAsam Asata /
   tanau mamustatra na kaiṭabhadviṣastapodhanābhyāgamasambhavā mudaḥ" //	tanO mamuH tatra na kEwaBadvizaH tapoDana aByAgama samBavAH mudaH" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, pa) āśritādhikyavarṇanamāha   yugānteti /	(vi, pa) ASrita ADikya varNanamAha    yuga anta iti /
        nāradāgamane śrīkṛṣṇasya harṣādhikyavarṇanamidam /	nArada Agamane SrI kRzNasya harza ADikya varNanam idam /
        yugāntakāle pratisaṃhṛtāḥ svakukṣau praveśitā ātmānaḥ prāṇino yena	yuga anta kAle pratisaMhRtAH sva kukzO praveSitAH AtmAnaH prANinaH yena
   tādṛśasya kaiṭabhadviṣo viṣṇoryasyāṃ tanau jaganti	tAdRSasya kEwaBadvizaH vizNoH yasyAm tanO jaganti
   savikāśamayantraṇamāsata tatra tasyāṃ tanau tapodhanasya	savikASam ayantraNam Asata tatra tasyAm tanO tapoDanasya
   nāradasyābhyāgamasambhavā bhudo na mamuḥ na sthātumavakāśaṃ lebhire	nAradasya aByAgama samBavAH BudaH na mamuH na sTAtum avakASam leBire
   ityarthaḥ /	iti arTaH /
        tanubhede 'pi viṣṇutanutvenaikatvādhyāsādekatvaṃ bodhyam /	tanu Bede api vizNu tanu tvena ekatva aDyAsAt eka tvam boDyam /
        atrāśritānāṃ mudāmadhikatvam /	atra ASritAnAm mudAm aDika tvam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   anyonyamubhayorekakriyāyāḥ kāraṇaṃ mithaḥ // VisSd_10.72 //	anyonyam uBayoH eka kriyAyAH kAraNam miTas // VisSd _10.72 //
   "tvayā sā śobhate tanvī tayā tvamapi śobhase /	"tvayA sA SoBate tanvI tayA tvam api SoBase /
   rajanyā śobhate candraścandreṇāpi niśīthinī" //	rajanyA SoBate candraH candreNa api niSITinI" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, pha) anyonyasaṃjñakamalaṅkāramāha  anyonyamiti /	(vi, Pa) anyonya saMjQakam alaFkAram Aha  anyonyam iti /
        ekā kriyā ekajātīyā kriyā /	ekA kriyA eka jAtIyA kriyA /
        ubhayormithaḥ karaṇamityarthaḥ /	uBayoH miTas karaNam iti arTaH /
        tvayā seti /	tvayA sA iti /
        parārddhaṃ dṛṣṭāntālaṅkāre 'pi /	parArdDam dRzwAnta alaFkAre api /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yadādheyamanādhāramekaṃ cānekagocaram /	yat ADeyam anADAram ekam ca aneka gocaram /
   kiñcitprakurvataḥ kāryamaśakyasyetarasya vā // VisSd_10.73 //	kiQcid prakurvataH kAryam aSakyasya itarasya vA // VisSd _10.73 //
   kāryasya karaṇaṃ daivādviśeṣastrividhastataḥ /	kAryasya karaNam dEvAt viSezaH triviDaH tatas /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ba) trividhaṃ viśeṣālaṅkāramāha   yadādheyamiti /	(vi, ba) triviDam viSeza alaFkAram Aha   yat ADeyam iti /
        yāditi triṣvanvitam /	yAt iti trizu anvitam /
        anādhāramādhāraṃ vinā sthitaṃ varṇitamityarthaḥ /	anADAram ADAram vinA sTitam varNitam iti arTaH /
        anekagocaramityatra ekadeti śeṣaḥ, kramikasthitau tu	aneka gocaram iti atra ekadA iti SezaH, kramika sTitO tu
   paryāyālaṅkārasya vakṣyamāṇatvāt /	paryAya alaFkArasya vakzyamANa tvAt /
        kiñcitprakurvataḥ kartturdaivāditarasyāśakyasya kāryasya karaṇaṃ vā	kiQcid prakurvataH karttuH dEvAditarasya aSakyasya kAryasya karaNam vA
   yadityarthaḥ /	yat iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   krameṇa yathā  	krameNa yaTA  
   "divamapyupayātānāmākalpamanalpaguṇagaṇā yeṣām /	"divam api upayAtAnAm Akalpam analpa guNa gaNAH yezAm /
   ramayanti jaganti giraḥ kathamiva kavayo na te vandyāḥ" //	ramayanti jaganti giraH kaTam iva kavayaH na te vandyAH" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, bha) divamiti /	(vi, Ba) divam iti /
        divamupayātānāmapi yeṣāṃ kavīnāmanalpaguṇagaṇā giraḥ jaganti	divam upayAtAnAm api yezAm kavInAm analpa guNa gaNAH giraH jaganti
   ramayanti te kavayaḥ kathamiha na vandyā ityarthaḥ /	ramayanti te kavayaH kaTam iha na vandyAH iti arTaH /
        atra karttṛtāsambandhenādhāraṇāṃ kavīnāmasattve 'pi tadādheyānāṃ	atra karttR tA sambanDena ADAraNAm kavInAm asattve api tad ADeyAnAm
   girāṃ sthitiḥ /	girAm sTitiH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   "kānane sariduddeśe girīṇāmapi kandare /	"kAnane sarit uddeSe girINAm api kandare /
   paśyantyantakasaṅkāśaṃ tvāmekaṃ ripavaḥ puraḥ" //	paSyanti antaka saFkASam tvAm ekam ripavaH puraH" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ma) kānana iti /	(vi, ma) kAnanaH iti /
        kānanādau palāyitā ripavastvāmekaṃ tatratatraivāntakasaṃkāśaṃ	kAnana AdO palAyitA ripavaH tvAm ekam tatra tatra eva antaka saMkASam
   paśyantītyarthaḥ /	paSyanti iti arTaH /
        atra darśanasya na kramavivakṣā /	atra darSanasya na krama vivakzAH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   "gṛhiṇī sacivaḥ sakhī mithaḥ priyaśiṣyā lalite kalāvidhau /	"gRhiNI sacivaH saKI miTas priya SizyAH lalite kalA viDO /
   karuṇāvimukhena mṛtyunā haratā tvāṃ vada kiṃ na me hṛtam" //	karuNA vimuKena mRtyunA haratA tvAm vada kim na me hRtam" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ya) gṛhiṇīti /	(vi, ya) gRhiNI iti /
        mṛtāmindumatīṃ śocato 'jasyoktiriyam /	mRtAm indumatIm SocataH ajasya uktiH iyam /
        tvāṃ haratā karuṇāvimukhena mṛtyunā mama kiṃ na hṛtaṃ vada /	tvAm haratA karuNA vimuKena mRtyunA mama kim na hRtam vada /
        kiṃ kiṃ hṛtamityatrāha  gṛhiṇītyādi /	kim kim hRtam iti atra aha  gRhiNI ityAdi /
        lalite kāmakalāvidhau mitho rahasi priyaśiṣyetyanvayaḥ /	lalite kAma kalA viDO miTas rahasi priya Sizya iti anvayaH /
        atrendumatīhartturmṛtyorgṛhiṇyādiharaṇarūpasya kāryasya daivātkaraṇaṃ	atra indu matI harttuH mRtyoH gRhiNi Adi haraNa rUpasya kAryasya dEvAt karaNam
   varṇitam /	varNitam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   vyāghātaḥ sa tu kenāpi vastu yena yathākṛtam // VisSd_10.74 //	vyAGAtaH sa tu kena api vastu yena yaTAkRtam // VisSd _10.74 //
   tenaiva cedupāyena kurute 'nyastadanyathā /	tena eva ced upAyena kurute anyaH tat anyaTA /
   yathā  "dṛśā dagdhaṃ manasijam " ityādi /	yaTA  "dRSAH dagDam manasijam  " ityAdi /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ra) vyāghātālaṅkāramāha   vyāghāta iti /	(vi, ra) vyAGAta alaFkAram Aha    vyAGAtaH iti /
        kenāpi kartrā yad vastu yenopāyena yathākṛtaṃ	kena api kartrA yat vastu yena upAyena yaTAkRtam
   tenaivopāyenānyaścettadanyathā kurute tadā tadanyathākaraṇaṃ sa vyāghāta	tena eva upAyena anyaH ced tat anyaTA kurute tadA tad anyaTAkaraNam sa vyAGAta
   ityarthaḥ /	iti arTaH /
        "dṛśā dagdhaṃ manasijaṃ jīvayanti dṛśaiva yāḥ /	"dRSAH dagDam manasijam jIvayanti dRSA eva yAH /
        virupākṣasya jayinīstāḥ stuno vāmalocanāḥ" //	virupAkzasya jayinIH tAH stunaH vAma locanAH" //
        ityudāharaṇam /	iti udAharaNam /
        dṛśā harasyā yāḥ kaṭākṣarūpayā dṛśā jīvayantītyarthaḥ /	dRSAH harasyAH yAH kawAkza rUpayA dRSAH jIvayanti iti arTaH /
        nārīkaṭākṣeṇa kāmoddīpanāt /	nArI kawAkzeNa kAma uddIpanAt /
        na kevalaṃ kriyayā jayaḥ, kintu rūpeṇapītyāha   virūpākṣasyeti /	na kevalam kriyayA jayaH, kintu rUpeNa pi iti A aha   virUpAkzasya iti /
        jetavyasyākṣivairūpyam /	jetavyasya akzi vErUpyam /
        jetrīṇāmakṣiṣu manojñatvarūpaṃ vāmatvamityeva tatrāpi jaya iti bhāvaḥ	jetrINAm akzizu manojQa tva rUpam vAma tvam iti eva tatra api jayaH iti BAvaH
        atra yena dṛgupāyena dāhastenaiva dṛgupāyena jīvanarūpaṃ	atra yena dRS upAyena dAhaH tena eva dRS upAyena jIvana rUpam
   dāhānyathākaraṇaṃ strībhiḥ /	dAhAnyaTa akaraNam strIBiH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   saukaryeṇa ca kāryasya viruddhaṃ kriyate yadi // VisSd_10.75 //	sOkaryeNa ca kAryasya virudDam kriyate yadi // VisSd _10.75 //
   vyāghāta ityeva /	vyAGAtaH iti eva /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, la) anyavidhaṃ vyāghātalaṅkāramāha   saukaryeṇa ceti /	(vi, la) anyaviDam vyAGAta laFkAram Aha    sOkaryeNa ca iti /
