   śrīHarṣadeva-viracitā |	SrIHarza-deva--viracitAH |
   Priyadarśanāyāḥ | (Vāsavadattāṃ nirdiśya) rāja-putri kuta iyaṃ kanyakā |	Priya-darSanAyAH | (VAsavadattAm nirdiSya) rAja--putri kutas iyam kanyakA |
   Vāsavadattā - ajja Vinjhakeuṇo duhidā | taṃ vāvādia Vijayaseṇeṇa āṇīdā |	VAsavadattA  ajja VinJa-keuNaH duhidA | tam vAvAdia VijayaseNeNa ANi-idAH |
   [ārya Vindhyaketor duhitā | taṃ vyāpādya Vijayasenenānītā |]	[Arya VinDyaketoH duhitA | tam vyApAdya Vijayasenena-AnItAH |]
   kañcukī - kutas tasya duhitā | saiveyaṃ mama rāja-putrī | hā hato 'smi	kaQcukI  kutas tasya duhitA | sA-eva-iyam mama rAja--putrI | hA hataH asmi
   manda-bhāgyaḥ | (iti nipatya bhūmāv utthāya |) rāja-putri iyaṃ sā	manda--BAgyaH | (iti nipatya BUmO utTAya |) rAja--putri iyam sA
   Priyadarśikā bhaginī te |	Priya-darSikA BaginI te |
   Vāsavadattā - ajja-utta parittāehi parittāehi | mama bhaiṇī vivajjai |	VAsavadattA  ajja-utta parittAehi parittAehi | mama BENI vivajjE |
   [ārya-putra paritrāyasva paritrāyasva | mama bhaginī vipadyate |]	[Arya-putra paritrAyasva paritrAyasva | mama BaginI vipadyate |]
   rājā - samāśvasihi samāśvasihi | paśyāmas tāvat | kaṣṭaṃ bhoḥ kaṣṭam |	rAjA  samASvasihi samASvasihi | paSyAmaH tAvat | kazwam BoH kazwam |
   saṃjāta-sāndra-makaranda-rasāṃ krameṇa	saMjAta--sAndra--maka-randa--rasAm krameNa
   pātuṃ gataś ca kalikāṃ kamalasya bhṛṅgaḥ /	pAtum gataH ca kalikAm kamalasya BRFgaH /
   dagdhā nipatya sahasaiva himena cāsau	dagDAH nipatya sahasA-eva himena ca-asO
   vāme vidhau na hi phalanty abhivāñchitāni // HPri_4.8 //	vAme viDO na hi Palanti aBivAQCitAni // HPri_4.8 //
   Manorame pṛcchyatāṃ tāvat kiṃ te bodha iti |	Manorame pRcCya-tAm tAvat kim te boDaH iti |
   Manoramā - sahi kiṃ de bodho | (sāsraṃ punaś cālayantī ) sahi ṇaṃ bhaṇāmi	ManoramAH  sahi kim de boDaH | (sA-asram punar cAlayantI ) sahi Nam BaNAmi
   kiṃ de bodho tti | [sakhi kiṃ te bodhaḥ | (sāsraṃ punaś cālayantī) sakhi	kim de boDaH tti | [saKi kim te boDaH | (sA-asram punar cAlayantI) saKi
   nanu bhaṇāmi kiṃ te bodha iti |]	nanu BaNAmi kim te boDaH iti |]
   Priyadarśikā - (a-vispaṣṭam |) jaṃ edaṃ avasthānaṃ (sic) gadāe vi mae ṇa	Priya-darSikA  (a-vispazwam |) jam edam avasTAnam (sic) gadAe vi mae Na
   mahā-rāo diṭṭho | [yad etad avasthāyāpi mayā na mahā-rājo dṛṣṭaḥ |]	mahA-rAaH diwWaH | [yat etat avasTAya-api mayA na mahA--rAjaH dRzwaH |]
   (ity ardhokte bhūmau patati |)	(iti arDa-ukte BUmO patati |)
   [p. 56]	[p. 56]
   rājā - (sāsram|)	rAjA  (sA-asram|)
   eṣā mīlayatīdam īkṣaṇa-yugaṃ jātā mamāndhā diśaḥ	ezA mIlayati-idam IkzaNa--yugam jAtAH mama-anDAH diSaH
   kaṇṭho 'syāḥ pratirudhyate mama giro niryānti kṛcchrād imāḥ /	kaNWaH asyAH pratiruDyate mama giraH niryAnti kRcCrAt imAH /
   etasyāḥ śvasitaṃ hṛtaṃ mama tanur niśceṣṭatām āgatā	etasyAH Svasitam hRtam mama tanuH niScezwa-tAm AgatA
   manye 'syā viṣa-vega eva hi paraṃ sarve tu duḥkhaṃ mama // HPri_4.9 //	manye asyAH viza-vegaH eva hi param sarve tu duHKam mama // HPri_4.9 //
   Vāsavadattā - (sāsram) Piadaṃsaṇe uṭṭhehi uṭṭhehi | pekkha eso mahā-rāo	VAsavadattA  (sA-asram) Pia-daMsaNe uwWehi uwWehi | pekKe esaH mahA-rAaH-
   ciṭṭhai | kahaṃ veaṇā vi se ṇaṭṭhā | kiṃ dāṇiṃ mae avarajjhaṃ aāṇantīe	ciwWE | kaham veaNA vi se NawWA | kim dANim mae avarajJam aANantIe
   jeṇa kuvidā ṇālavasi | tā pasīda pasīda | uṭṭhehi uṭṭhehi | ṇa hu puṇo	jeNa kuvidA NAlavasi | tA pasIda pasIda | uwWehi uwWehi | Na hu puNo
   avarajjhissaṃ | (ūrdhvam avalokya) hā devva hadaa kiṃ dāṇiṃ mae avakidaṃ	avarat-Jissam | (u-UrDvam avalokya) hA devva hadaa kim dANim mae avakidam
   jeṇa edāvatthaṃ gadā me bhaiṇī ādaṃsidā | [Priyadarśane uttiṣṭhottiṣṭha |	jeNaH edAvatTam gadA me BENI AdaMsidAH | [Priya-darSane uttizWa-uttizWa |
   paśyaiṣa mahā-rājas tiṣṭhati | kathaṃ vedanāpy asyā naṣṭā | kim idānīṃ	paSya-eza mahA-rAjaH tizWati | kaTam vedanA-api asyAH nazwA | kim idAnIm
   mayāparāddhaṃ ajānatyā yena kupitā nālapasi | tat prasīda prasīda |	mayA-aparAdDam ajAnatyA yena kupitA na-alapasi | tat prasIda prasIda |
   uttiṣṭhottiṣṭha | na khalu punar aparātsyāmi | (ūrdhvam avalokya) hā daiva	uttizWa-uttizWa | na Kalu punar aparAtsyAmi | (u-UrDvam avalokya) hA dEva
   hataka | kim idānīṃ mayāpakṛtaṃ yenaitad avasthāṃ gatā me bhaginyādarśitā	hatakaH | kim idAnIm mayA-apakRtam yena-etat avasTAm gatA me BaginI-AdarSitA
   (Priyadarśikāyā upari patati |)	(Priya-darSikAyAH upari patati |)
   vidūṣakaḥ - bho vaassa kahaṃ tumaṃ mūḍho via ciṭṭhasi | ṇa eso visādassa	vidUzakaH  Bo vaassa kaham tumam mUXaH via ciwWasi | NaH esaH visAdassa
   kālo | visamā kkhu gaī visassa | tā daṃsehi appaṇo vijjā-pahāvaṃ | [bho	kAlaH | visamA kKu gaI visassa | tAH daMsehi appaNaH vijjA-pahAvam | [Bo
   vayasya kathaṃ tvaṃ mūḍha iva tiṣṭhasi | naiṣa viṣādasya kālaḥ | viṣamā	vayasya kaTam tvam mUXaH iva tizWasi | na-eza vizAdasya kAlaH | vizamA
   khalu gatir viṣasya | tad darśaya ātmano vidyā-prabhāvam |]	Kalu gatiH vizasya | tat darSaya AtmanaH vidyA--praBAvam |]
   rājā - satyam evaitat | (Priyadarśikām ālokya) mūḍha evāham etāvatīṃ velām	rAjA  satyam eva-etat | (Priya-darSikAm Alokya) mUXaH eva-aham etAvatIm velAm
   | tad aham enāṃ jīvayāmi | salilaṃ salilam |	| tat aham enAm jIvayAmi | salilam salilam |
   vidūṣakaḥ - (niṣkramya punaḥ praviśya) bho | edaṃ salilaṃ | [bhoḥ etat	vidUzakaH  (nizkramya punar praviSya) Bo | edam salilam | [BoH etat-
   salilam |]	salilam |]
   (rājopasṛtya Priyadarśanāyā upari hastaṃ nidhāya mantra-smaraṇaṃ nāṭayati	(rAja-upasRtya Priya-darSanAyAH upari hastam niDAya mantra-smaraNam nAwayati
   | Priyadarśikā śanair uttiṣṭhati |)	| Priya-darSikA SanEs uttizWati |)
   Vāsavadattā - ajja-utta diṭṭhiā paccujjīvidā me bhaiṇī | [ārya-putra	VAsavadattA  ajja-utta diwWiA paccujjIvi-dA me BENI | [Arya-putra
   diṣṭyā pratyujjīvitā me bhaginī |]	dizwyA pratyujjIvitA me BaginI |]
   [p. 57]	[p. 57]
   Vijayasenaḥ - aho devasya vidyā-prabhāvaḥ |	VijayasenaH  aho devasya vidyA--praBAvaH |
   kañcukī - aho sarvatrāpratihatā narendratā devasya |	kaQcukI  aho sarvatra-apratihatAH narendra-tA devasya |
   Priyadarśikā - (śanair utthāyopaviśya ca jṛmbhikāṃ nāṭayantī sa-viṣādam	Priya-darSikA  (SanEH utTAya-upaviSya ca jRmBikAm nAwayantI sa-vizAdam
   a-vispaṣṭam |) Maṇorame ciraṃ khu sutta mhi | [Manorame ciraṃ khalu	a-vispazwam |) MaNa-urame ciram Ku sutta mhi | [Manorame ciram Kalu
   suptāsmi |]	suptA-asmi |]
   vidūṣakaḥ - bho vaassa ṇivvūḍhaṃ de vedittaṇaṃ | [bho vayasya nirvyūḍhaṃ	vidUzakaH  Bo vaassaH NivvUXam de vedittaNam | [BaH vayasya nirvyUXam
   te vaidyatvam |]	te vEdya-tvam |]
   (Priyadarśikā sābhilāṣaṃ rājānaṃ nirūpya sa-lajjaṃ kiṃcid adho-mukhī	(Priya-darSikA sa-aBilAzam rAjAnam nirUpya sa-lajjam kiMcid aDo-muKI
   tiṣṭhati |)	tizWati |)
   Vāsavadattā - (sa-harṣam |) ajja-utta | kiṃ dāṇiṃ vi esā aṇṇah'; evva	VAsavadattA  (sa-harzam |) ajja-uttaH | kim dANim vi esA aNNah-a; evva
   karedi | [ārya-putra kim idānīm apy eṣānyathaiva karoti |]	karedi | [Arya-putra kim idAnIm api ezAnyaTA-eva karoti |]
   rājā - (sa-smitam |)	rAjA  (sa--smitam |)
   svabhāva-sthā dṛṣṭir na bhavati giro nāti viśadās	svaBAva--sTA dRzwiH na Bavati giraH na-ati viSada-aH-
   tanuḥ sīdaty eṣā prakaṭa-pulaka-sveda-kaṇikā /	tanuH sIdati ezA prakawa--pulaka-sveda--kaNikA /
   yathā cāyaṃ kampaḥ stana-bhara-parikleśa-jananas	yaTA ca-ayam kampaH stana--Bara--parikleSa--janana-s
   tathā nādyāpy asyā niyatam akhilaṃ śāmyati viṣam // HPri_4.10 //	taTA na-adya-api asyAH niyatam aKilam SAmyati vizam // HPri_4.10 //
   kañcukī - (Priyadarśikāṃ nirdiśya |) rāja-putri eṣa te pitur ājñā-karaḥ |	kaQcukI  (Priya-darSikAm nirdiSya |) rAja--putri eza te pituH AjQA-karaH |
   (iti pādayoḥ patati |)	(iti pAdayoH patati |)
   Priyadarśikā - (vilokya |) kahaṃ kañcuī ajja-Viṇaavasū | (sāsram |) hā	Priya-darSikA  (vilokya |) kaham kaQcuI ajja-ViNaavasU | (sA-asram |) hA
   tāda | hā ajjūe | [kathaṃ kañcukyārya Vinayavasuḥ | (sāsram |) hā tāta |	tAda | hA ajjUe | [kaTam kaQcukyArya Vinaya-vasuH | (sA-asram |) hA tAta |
   hā mātaḥ |]	hA mAtar |]
   kañcukī - rāja-putri alaṃ ruditena | kuśalinau te pitarau |	kaQcukI  rAja--putri alam ruditena | kuSalinO te pitarO |
   Vatsa-rāja-prabhāvāt punas tad avastham eva rājyam |	Vatsa-rAja--praBAvAt punar tat avasTam eva rAjyam |
   Vāsavadattā - (sāsram |) ehi alia-sīle | dāṇiṃ vi dāva bhaiṇiā siṇehaṃ	VAsavadattA  (sA-asram |) ehi alia-sIle | dANim vi dAva BENiA siNA-iham
   daṃsehi | (kaṇṭhe gṛhītvā |) dāṇiṃ samassattha mhi | [ehy alīka-śīle |	daMsehi | (kaNWe gRhItvA |) dANim samassatTa mhi | [ehi alIka--SIle |
   idānīm api tāvad bhaginī snehaṃ darśaya | (kaṇṭhe gṛhītvā |) idānīṃ	idAnIm api tAvat BaginI sneham darSaya | (kaNWe gRhItvA |) idAnIm
   samāśvasitāsmi |]	samASvasitA-asmi |]
   [p. 58]	[p. 58]
   vidūṣakaḥ - hodi tumaṃ bhaiṇiṃ geṇhia kaṇṭhe evvaṃ parituṭṭhā si |	vidUzakaH  hodi tumam BENim geNhia kaNWe evvam parituwWA si |
   vodiassa pāridosiaṃ visumaridaṃ | [bhavati tvaṃ bhaginīṃ gṛhītvā kaṇṭha	vodiassa pAridosiam visumaridam | [Bavati tvam BaginIm gRhItvA kaNWa
   evaṃ parituṣṭāsi | vaidyasya pāritoṣikaṃ vismṛtam |]	evam parituzwA-asi | vEdyasya pAritozikam vismRtam |]
   Vāsavadattā - Vasantaa ṇa visumaridaṃ | [Vasantaka na vismṛtam |]	Va-AsavadattAH  Vasantaa Na visumaridam | [Vasantaka na vismRtam |]
   vidūṣakaḥ - (rājānaṃ nirdiśya sa-smitam |) vodia pasārehi hatthaṃ |	vidUzakaH  (rAjAnam nirdiSya sa--smitam |) vA-udia pasArehi hatTam |
   bhaiṇīe agga-hatthaṃ de pāridosiaṃ dāvissaṃ | [vaidya prasāraya hastam |	BENIe agga-hatTam de pAridosiam dAvissam | [vEdya prasAraya hastam |
   bhaginyā agra-hastaṃ te pāritoṣikaṃ dāpayiṣyāmi |]	BaginyAH agra-hastam te pAritozikam dApayizyAmi |]
   (rājā hastaṃ prasārayati |)	(rAjA hastam prasArayati |)
   (Vāsavadattā Priyadarśikā-hastam arpayati |)	(VAsavadattA Priya-darSikA--hastam arpayati |)
   rājā - (hastam upasaṃhṛtya |) kim anayā | sampraty eva katham api	rAjA  (hastam upasaMhRtya |) kim anayA | samprati eva kaTam api
   prasāditāsi |	prasAditA-asi |
   Vāsavadattā - ko tumaṃ a-gaṇhiduṃ | puḍhamaṃ evva tādeṇa iaṃ diṇṇā | [kas	VAsavadattA  kaH tumam a-gaNhi-dum | puXamam evva tAdeNa iam diNNA | [kas
   tvam a-grahītum | prathamam eva tāteneyaṃ dattā |]	tvam a-grahItum | praTamam eva tAtena-iyam dattA |]
   vidūṣakaḥ - bho māṇaṇīā kkhu devī | mā se paḍiūlaṃ karehi | [bho mānanīyā	vidUzakaH  Bo mANaNIA kKu devI | mA se paxiUlam karehi | [BaH mAnanIyA
   khalu devī | māsyāḥ pratikūlaṃ kuru |]	Kalu devI | mAsyAH pratikUlam kuru |]
   (Vāsavadattā rājño hastaṃ balād ākṛṣya Priyadarśikām arpayati |)	(VAsavadattAH rAjQaH hastam balAt AkRzya Priya-darSikAm arpayati |)
   rājā - (sa-smitam |) devī prabhavati | kuto 'smākam anyathā kartuṃ	rAjA  (sa--smitam |) devI praBavati | kutas asmAkam anyaTA kartum
   vibhavaḥ |	viBavaH |
   Vāsavadattā - ajja-utta ado vi paraṃ kiṃ de piaṃ karīadu | [ārya-putra ato	VAsavadattA  ajja-uttaH adaH vi param kim de piam karIadu | [Arya-putra atas-
   'pi paraṃ kiṃ te priyaṃ kriyatām |]	api param kim te priyam kriyatAm |]
   rājā - kim ataḥ paraṃ priyam | paśya |	rAjA  kim atas param priyam | paSya |
   niḥśeṣaṃ Dṛḍhavarmaṇā punar api svaṃ rājyam adhyāsitaṃ	niHSezam DRXavarmaNA punar api svam rAjyam aDyAsitam
   tvaṃ kopena su-dūram apy apahṛtā sadyaḥ prasannā mama /	tvam kopena su-dUram api apahRtA sadyas prasannAH mama /
   jīvantī Priyadarśanā ca bhaginī bhūyas tvayā saṅgatā	jIvantI Priya-darSanA ca BaginI BUyas tvayA saFga-tA
   kiṃ tat syād aparaṃ priyaṃ priyatame yat sāmprataṃ prārthyate // HPri_4.11	kim tat syAt aparam priyam priyatame yat sAmpratam prArTyate // HPri_4.11
   [p. 59]	[p. 59]
   tathāpīdam astu |	taTA-api-idam astu |
   (bharata-vākyam |)	(Barata--vAkyam |)
   urvīm uddāma-sasyāṃ janayatu visṛjan Vāsavo vṛṣṭim iṣṭām	urvIm uddAma--sasyAm janayatu visRjan VAsavaH vRzwim izwAm
   iṣṭais traiviṣṭapānām vidadhatu vidhivat prīṇanaṃ vipra-mukhyāḥ /	izwEH trEvizwapAnAm vidaDatu viDivat prINanam vipra-muKyAH /
   ākalpāntaṃ ca bhūyāt sthira-samupacitā saṃgatiḥ saj-janānāṃ	Akalpa-antam ca BUyAt sTira--samupacitA saMgatiH saj--janAnAm
   niḥśeṣaṃ yāntu śāntiṃ piśuna-jana-giro duḥsahā vajra-lepāḥ // HPri_4.12 //	niHSezam yAntu SAntim piSuna-jana-giraH duHsahAH vajra--lepAH // HPri_4.12 //
   (iti niṣkrāntāḥ sarve |)	(iti nizkrAntAH sarve |)
   iti caturtho 'ṅkaḥ	iti caturTaH aFkaH
   samāpteyaṃ Priyadarśikā nāma nāṭikā |	samAptA-iyam PriyadarSikA nAma nAwikA |
