   Govind Kaul: Pradeśasaṃgraha	Govind KOl: PradeSa-saMgraha
   kiṃ tv atra vitastiparimitau pañcaviṃśativarṣavayasaḥ puṃsa ete dvādaśa	kim tu atra vitasti-parimitO paQcaviMSati-varza-vayasaH puMsaH ete dvAdaSa
   aṅgulāgrāsyā iti bodhyam |	aFgula-agrAsyAH iti boDyam |
   enām eva varṇitāṃ vitastāṃ ya ākaratayādhiṣvānatayā ca trāyate |	enAm eva varNitAm vitastAm yaH AkaratayA-aDizvAnatayA ca trAyate |
   srotorūpeṇa jalapūraṇenāpy āyayati so vitastātraḥ |	srotaH-rUpeNa jala-pUraNena-api Ayayati saH vitasta-atraH |
   atrāpi pūrvat traiṅ eva dhātuḥ |	atra-api pUrvat trEF eva DAtuH |
   asmin vitastātrākhye pradeśe nadyām nākarībhūte yadyapy alpasaṃkhyākaiḥ	asmin vitasta-atra-AKye pradeSe nadyAm na-AkarIBUte yadi-api alpa-saMKyAkEH
   kiyadbhir eva varṣair atīte kāle vitastiparimitam eva gartaṃ dṛṣṭacaram	kiyadBiH eva varzEH atIte kAle vitasti-parimitam eva gartam dRzwa-caram
   abhūt tathāpy etarhi	aBUt taTA-api etarhi
   nākasthaśrīraṇavīrasiṃhābhidhakaśmīradeśādhipasampādito mahāñ jalāśayo	nAkasTa-SrIraNa-vIra-siMha-aBiDaka-SmIra-deSa-aDipa-sampAditaH mahAn jalASayaH-
   dṛśyate |	dRSyate |
   paraṃ tu asya rājño navīnanirmāṇajīrṇoddhārādikālāt pūrvaṃ	param tu asya rAjQaH navIna-nirmANa-jIrNa-udDAra-Adi-kAlAt pUrvam
   dvādaśāṅgulamitam eva gartaṃ babhūva |	dvAdaSa-aFgula-mitam eva gartam baBUva |
   ato nīlamatapurāṇavitastāmāhātmyādivacanāni yāni nadīparimāṇavācakāni tāni	atas nIla-mata-purANa-vitasta-amAhAtmya-Adi-vacanAni yAni nadI-parimANa-vAcakAni tAni
   saṃgatāni samīcīnāni ca bhānti |	saMgatAni samIcInAni ca BAnti |
   asya vitastātrākhyasya pradeśasyādhunike kāle vithavatur iti nāma nāgarīkā	asya vitastA-atra-AKyasya pradeSasya-aDunike kAle viTavatuH iti nAma nAgarIkA
   grāmīṇāś ca kathayanti |	grAmINAH ca kaTayanti |
   tatra vith vitastāyāḥ vatur ākaraḥ iti kaśmīrabhāṣayāpy arthasaṃgatiḥ |	tatra viT vitastAyAH vatuH AkaraH iti kaSmIra-BAzayA-api arTa-saMgatiH |
   ayaṃ vithavaturākhyo grāmaḥ śāhūbād iti devasarasa iti cākhyayo	ayam viTavatuH-AKyaH grAmaH SAhUbAt iti deva-sarasaH iti ca-AKyayo
   puragaṇayoḥ sandhyau vartate |	pura-gaNayoH sanDyO vartate |
   tatrāsya śāhūbādpuragaṇasya śrīraṇavīrasiṃghapur iti asyāpi	tatra-asya SAhUbAt-pura-gaNasya SrIraNa-vIra-siMGapuH iti asya-api
   devasarasapuragaṇasya divasarpargaṇa iti nāmadvayaṃ prakhyātam anayor	deva-sarasa-pura-gaNasya divasarpargaNaH iti nAma-dvayam praKyAtam anayoH-
   ādhunike kāle sarve vadanti |	ADunike kAle sarve vadanti |
   kecana pārisekānuvādakartāro 'sya vitastātrākhyasya pradeśasya vatarahel	kecana pAriseka-anuvAda-kartAraH asya vitastA-atra-AKyasya pradeSasya vatara-hel
   iti nāma svapustakeṣu likhanti |	iti nAma sva-pustakezu liKanti |
   so vatarahel iti grāmaḥ daiñcho ityākhye puragaṇe vartate |	saH vata-rahet iti grAmaH dEQCaH iti-AKye pura-gaNe vartate |
   ato yo 'yaṃ śuṣkaletra |	atas yaH ayam Suzka-letra |
   atha vā hukhalitarākhyo grāmaḥ pūrvaṃ varṇitas tenāsya vitastātra |	aTa vA huKalitarAKyaH grAmaH pUrvam varNitaH tena-asya vitastA-atra |
   atha vā vithavaturgrāmasya sahoktatvāt athobhayor eva pradeśayor	aTa vA viTavatuH-grAmasya saha-ukta-tvAt aTa-uBayoH eva pradeSayoH-
   ekasyaivāśokābhidhasya rājño nirmāṇakartṛkatvāc cāmuṃ vitastātram api	ekasya-eva-aSoka-aBiDasya rAjQaH nirmANa-kartRka-tvAt ca-amum vitasta-atram api
   pradeśaṃ śuṣkaletravaddaiñchopuragaṇe sthitam uktabhrameṇa manyamānā	pradeSam Suzka-letra-vat-dEQCopura-gaNe sTitam ukta-BrameNa manyamAnA
   vitastātraṃ vatarahel ity eva svamate sthāpayanti |	vitastAtram vata-rahet iti eva sva-mate sTApayanti |
   tatra daiñchopuragaṇe sarvasmin vitastāyā nāmno 'py asattvena katham iva	tatra dEQCopura-gaNe sarvasmin vitastAyAH nAmnaH api asattvena kaTam iva
   vitastātrasya vatarahel iti nāma kathayituṃ śaknumaḥ |	vitastAtrasya vata-rahet iti nAma kaTayitum SaknumaH |
   atas teṣāṃ tal likhanaṃ svakapolakalpitam eva bhātīty āstām |	atas tezAm tat liKanam sva-kapola-kalpitam eva BAti-iti AstAm |
   anye kecana tanmatānuyāyino 'muṃ vitastātrākhyaṃ pradeśaṃ vithanār iti	anye kecana tad-mata-anuyAyinaH amum vitastAtra-AKyam pradeSam viTanAH iti
   bhrameṇa manyamānā vatarahelpradeśād vibhinnaṃ vithanār ity eva	BrameNa manyamAnAH vata-rahet-pradeSAt viBinnam viTanAH iti eva
   vitastātrasyāsya nāma kathayanto darīdṛśyante |	vitasta-atrasya-asya nAma kaTayantaH darIdRSyante |
   tatra vith vitastāyā nār praṇālīty arthaḥ |	tatra viT vitastAyAH nAr praNAli-iti arTaH |
   asti cāyaṃ vithanārākhyaḥ pradeśaḥ kaśmīranagarād ekakrośadūravartī	asti ca-ayam viTanAra-AKyaH pradeSaH kaSmIra-nagarAt eka-kroSa-dUra-vartI
   vitastānadītīrasthaḥ |	vitastA-nadI-tIra-sTaH |
   atra vṛddhāḥ kathayantīti pūrvasmin kāle yadā prativarṣaṃ jalasamūhair	atra vRdDAH kaTayanti-iti pUrvasmin kAle yadA prativarzam jala-samUhEH-
   udīpajanmabhir eṣā vitastā nadī pūryamāṇā satī sarvam evāmuṃ maṇḍalaṃ	udIpa-janmaBiH ezA vitastA nadI pUryamANA satI sarvam eva-amum maNxalam
   bruḍanonmukhaṃ sampādayanty āsīt tadā tatkālīnaiḥ kaśmīrāt pālayadbhir	bruxana-unmuKam sampAdayantI AsIt tadA tad-kAlInEH kaSmIrAt pAlayadBiH-
   bhūpair ekāṃ kulyātulyāṃ praṇālīṃ sampādayituṃ kārava |	BUpEH ekAm kulyA-tulyAm praNAlIm sampAdayitum kArava |
   ādiṣṭāḥ tair eva kārubhir yā praṇālīkulyārūpodīpotthajalāplāvanabhayaṃ	AdizwAH tEH eva kAruBiH yA praNAlI-kulyA-rUpa-udIpa-utTa-jala-AplAvana-Bayam
   nivārayantī sampāditā |	nivArayantI sampAditA |
   tasyā eva kulyāyā vithanār iti varṇitarītyā nāma saṃlagnam |	tasyAH eva kulyAyAH viTanAH iti varNita-rItyA nAma saMlagnam |
   atra kaveḥ kalhaṇasya śuṣkaletra-vitastātrai tastāra stūpamaṇḍalair ityādi	atra kaveH kalhaNasya Suzka-letra-vitasta-atrE tastAra stu-upa-maNxalEH ityAdi
   kathanena yo 'yaṃ vatarahel-ākhyaḥ pradeśo yaś cāyaṃ vithanārabhidhaḥ	kaTanena yaH ayam vatara-hel-a-AKyaH pradeSaH yaH ca-ayam viTanAH-aBiDaH
   pradeśaś cāsti |	pradeSaH ca-asti |
   tāv ubhāv eva stūpapadavācyabauddhāyatanāc chādanānarhau bhātaḥ |	tO uBO eva stu-upapada-vAcya-bOdDa-AyatanAt CAdana-an-arhO BAtaH |
   ekasya vatarahel ity asya vitastānadyā anāśrayatvena vitastātra iti nāma	ekasya vata-rahet iti asya vitastA-nadyAH anASraya-tvena vitasta-atra iti nAma
   karmaṇo 'tyanaucityāt |	karmaNaH ati-anOcityAt |
   dvitīyasya vithanār ity asya kulyārūpapraṇālīmayatvena	dvitIyasya viTanAH iti asya kulyA-rUpa-praNAlI-maya-tvena
   stūpādhiṣṭhānarhatvāc ca |	stUpADizWA-narha-tvAt ca |
   ato 'yaṃ vithavaturgrāma eva vitastātra-śabdābhidheya iti siddham |	atas ayam viTavatuH-grAmaH eva vitasta-atra--Sabda-aBiDeyaH iti sidDam |
   yatas tasyaiva stūpādhiṣṭhānasambhavatvam asti na tv anyasyeti śam ||	yatas tasya-eva stUpADizWAna-samBava-tvam asti na tu anyasya-iti Sam ||
   31. Dharmāraṇyaṃ Vihāraḥ	31. DharmAraNyam VihAraH
   śloka 103 namba 31 pūrvavarṇitasyāsyāśokasya rājye dharmāraṇyavihārāntaḥ	SlokaH 103 nambaH 31 pUrva-varNitasya-asya-aSokasya rAjye Darma-araNya-vihAra-antaH
   vitastātrapure yatkṛtaṃ caityaṃ |	vitastAtrapure yat-kRtam cEtyam |
   tatra pūrvam asya dharmāraṇyavihāraśabdasya niruktiḥ |	tatra pUrvam asya DarmAraNya-vihAra-Sabdasya niruktiH |
   rāgadveṣarahitais sadvidvadbhir [...] dayenānumataḥ	rAga-dveza-rahitEH sat-vidvadBiH [...] dayena-anumataH
   svargāpavargādisādhakaḥ kriyākalāpodharmaḥ |	svarga-apavarga-Adi-sADakaH kriyA-kalA-apoDarmaH |
   dharmasya araṇyaṃ dharmāraṇyam |	Darmasya araNyam DarmAraNyam |
   aṭavy-araṇyaṃ vipinaṃ gahanaṃ kānanaṃ vanam ity amarokte |	awavI--araNyam vipinam gahanam kAnanam vanam iti amara-ukte |
   yathā vane sarveṣāṃ vanyānāṃ paśupakṣitarugulmaśaṣyādīnāṃ sambhavaḥ |	yaTA vane sarvezAm vanyAnAm paSu-pakzi-taru-gulma-Sazya-AdInAm samBavaH |
   tathaiva yatra sarveṣāṃ dharmasyāṅgabhūtānāṃ śaucasnānādīnāṃ sadbhāvaḥ ato	taTA-eva yatra sarvezAm Darmasya-aFga-BUtAnAm SOca-snAna-AdInAm sadBAvaH atas-
   dharmāraṇyaṃ dharmavanam iti yāvat |	DarmAraNyam Darma-vanam iti yAvat |
   bauddhopayogigṛhaṃ bauddhānāṃ tu vihāro strīty amaraḥ |	bOdDa-upayogi-gRham bOdDAnAm tu vihAraH strI-iti amaraH |
   etādṛśasya dharmāraṇyavihārasya antar madhya ity arthaḥ |	etAdRSasya DarmAraNya-vihArasya antar maDye iti arTaH |
   tathā ca vitastātrapure iti pūrvaṃ varṇito yo 'yaṃ vitastātrākhyaḥ	taTA ca vitastAtrapure iti pUrvam varNitaH yaH ayam vitastA-atra-AKyaH
   pradeśaḥ asminn eva vitastātrapure tena aśokena rājñā dharmāraṇyākhyo	pradeSaH asmin eva vitastAtrapure tena aSokena rAjQA DarmAraNya-AKyaH-
   vihāraḥ sampādita iti dharmāraṇyavihārasya tathā tadāśrayībhūtasya	vihAraH sampAditaH iti DarmAraNya-vihArasya taTA tad-ASrayIBUtasya
   vitastātrapurasya ca siddhau saṃjātāyāṃ yatkṛtaṃ caityam iti yenāśokenaiva	vitastAtrapurasya ca sidDO saMjAtAyAm yat-kRtam cEtyam iti yena-aSokena-eva
   rājñā nirmitaṃ caityaṃ devatāyatanam iti yāvat |	rAjQA nirmitam cEtyam devatAyatanam iti yAvat |
   caityam āyatanaṃ tulye vājiśālā tu mandurety amaraḥ |īdṛśam eva caityaṃ	cEtyam Ayatanam tulye vAji-SAlA tu mandura-iti amaraH |IdRSam eva cEtyam
   yasya caityasyautratyāvadhiṃ paśyatāṃ lokānām īkṣaṇāni nissāmarthyāni	yasya cEtya-sya-Otratya-avaDim paSyatAm lokAnAm IkzaNAni nissAmarTyAni
   santi |	santi |
   yatnenāpi na prāyuḥ tathātra paṇḍitakalhaṇasyāpi vṛttam	yatnena-api na prAyuH taTA-atra paNxita-kalhaNasya-api vRttam
   dharmāraṇyavihārāntar vitastātrapure 'bhavat |	DarmAraNya-vihAra-antar vitastAtrapure aBavat |
   yatkṛtaṃ caityam utsedhāvadhiprāptyakṣamekṣaṇam iti kathanena |	yat-kRtam cEtyam utseDa-avaDi-prApti-akzama-IkzaNam iti kaTanena |
   vitastātrapure dharmāraṇyavihārābhidhaṃ bauddhopayogigṛhaṃ tad	vitastAtrapure DarmAraNya-vihAra-aBiDam bOdDa-upayogi-gRham tat-
   anusampādayitvā tatraiva vihāre tādṛśam ekaṃ caityam atyunnataṃ sa rājā	anusampAdayitvA tatra-eva vihAre tAdRSam ekam cEtyam ati-unnatam sa rAjA
   nirmitavān |	nirmitavAn |
   yasya caityasyoccais tv adarśanābhilāṣiṇāṃ janānāṃ netrāṇi tadonnatyaṃ	yasya cEtyasya-uccEs tu adarSana-aBilAziNAm janAnAm netrANi tadA-unnatyam
   draṣṭuṃ paryāptāni na babhūvuḥ |	drazwum paryAptAni na baBUvuH |
   atyunnatatayā netramārgadūravarti tac caityam abhūd ity arthaḥ |	ati-unnata-tayA netra-mArga-dUra-varti tat cEtyam aBUt iti arTaH |
   paraṃ tv ādhunike kāle 'sya nirmāṇasyāticirakālīnasya nāmāpi kvāpi na	param tu ADunike kAle asya nirmANasya-ati-cira-kAlInasya nAma-api kvApi na
   labhyate |	laByate |
   yato 'tra vitastātrapure darśadarśam api pūrva-nimāṇasya cihnādikam api	yatas atra vitastAtrapure darSa-darSam api pUrva--nimANasya cihna-Adikam api
   kiṃcit nāsti |	kiMcid na-asti |
   yaiḥ kaiś cana bhrameṇāsya vitastātra-pradeśasya vatarahel iti yaiś cāsya	yEH kEH cana BrameNa-asya vitasta-atra--pradeSasya vata-rahet iti yEH ca-asya
   pradeśasya vithanār iti ca svapustakeṣu nāma likhitam |	pradeSasya viTanAH iti ca sva-pustakezu nAma liKitam |
   tayor ubhayoḥ pradeśayoḥ sūkṣmekṣikayāpi vihāracaityādi-nāmāpi naiva	tayoH uBayoH pradeSayoH sUkzma-IkzikayA-api vihAra-cEtya-Adi-nAma-api na-eva
   dṛśyate naiva śrūyate ca |	dRSyate na-eva SrUyate ca |
   ato vitastātrapradeśasya vithavatur-nāma dānam asaṃgataṃ nāsti |	atas vitasta-atra-pradeSasya viTavatur-nAma dAnam asaMgatam na-asti |
   pratyutānvarthatathā samīcīnam eva	pratyuta-anvarTa-taTA samIcInam eva
   yaddharmāraṇyavihārākhyavihāratatsthacaityādicihnābhāvo 'trāsti tadgatasya	yat-DarmAraNya-vihAra-AKya-vihAra-tad-sTa-cEtya-Adi-cihna-aBAvaH atra-asti tad-gatasya
   bahutithasya kālasya balavattayeti bodhyam ||	bahutiTasya kAlasya balavat-tayA-iti boDyam ||
   32. Śrīnagarī	32. ŚrInagarI
   ślokasaṃ 104 namba 32 asyaivāśokasya rājye śrīnagarīm |	Slokasam 104 namba 32 asya-eva-aSokasya rAjye SrI-nagarIm |
   tatrādau śrīnagarīśabdaniruktiḥ |	tatra-AdO SrI-nagarI-Sabda-niruktiH |
   na gacchanti kvāpi ye te nagāḥ parvatāḥ nagaiḥ parvatair ātiśobhāṃ dadāti	na gacCanti kvApi ye te nagAH parvatAH nagEH parvatEH AtiSoBAm dadAti
   yat tat nagaraṃ alpaṃ nagaraṃ nagarī yathālpo ghaṭaḥ ghaṭīti |	yat tat nagaram alpam nagaram nagarI yaTA-alpaH GawaH GawI-iti |
   pūḥ strī purīnagaryau vā pattanaṃ puṭabhedanam ity amarokter |	pUH strI purI-nagaryO vA pattanam puwaBedanam iti amara-ukteH |
   nagarīśabdo 'pi nagaravācakaḥ śrīmatī cāsau nagarī śrīnagarī |	nagarI-SabdaH api nagara-vAcakaH SrImatI ca-asO nagarI SrI-nagarI |
   etādṛśīṃ śrīnagaryabhidhāṃ nagarīṃ so 'śoko rājā nirmitavān ity arthaḥ |	etAdRSIm SrI-nagarI-aBiDAm nagarIm saH aSokaH rAjA nirmitavAn iti arTaH |
   tathā lakṣmyā śobhayā sāmagryādisampattyā ca sampakvenodgatadīptimanti	taTA lakzmyA SoBayA sAmagrya-Adi-sampattyA ca sampakvena-udgata-dIptimanti
   tathānipuṇakārukṛtakāryāni puṇyagarīyastvaśālīni yāni	taTA-nipuNa-kAru-kRta-kAryAni puNya-garIyaH-tu-aSAlIni yAni
   ṣaḍadhikanavatilakṣyasaṃkhyākāni gehāni tair eva gehaiḥ pūrṇā samujjvalā	zaz-aDikanavati-lakzya-saMKyAkAni gehAni tEH eva gehEH pUrNA samujjvalA
   ca nagarī tannirmitā babhūvety arthaḥ |	ca nagarI tad-nirmitA baBUva-iti arTaH |
   tathā cātra paṇḍitakalhaṇo likhitaḥ	taTA ca-atra paNxita-kalhaNaH liKitaH
        sa ṣaṇnavatyā gehānāṃ lakṣyair lakṣmīsamujjvalaiḥ |	sa zaNnavatyA gehAnAm lakzyEH lakzmI-samujjvalEH |
        garīyasīṃ purī śrīmāṃś cakre śrīnagarīṃ tṛpa ||	garIyasIm purI SrImAn cakre SrI-nagarIm tRpaH ||
   ityādi |	ityAdi |
   ata evāsya rājño 'tisaṃkhyāyutanagaranirmāṇakartṛtvaṃ kavyuktyājñāyate |	atas eva-asya rAjQaH ati-saMKyA-ayuta-nagara-nirmANa-kartR-tvam kavi-uktyAjQAyate |
   asya śrīnagarīti khyātanagarasyādhunike kāle grāmīṇair nāgarikaiś ca	asya SrInagarI-iti KyAta-nagarasya-aDunike kAle grAmINEH nAgarikEH ca
   khyāpitaṃ |	KyApitam |
   tathā sarvānyadeśaviditaṃ śrīnagar iti prasiddhataraṃ nāma sarvathā	taTA sarva-anya-deSa-viditam SrI-nagar iti prasidDataram nAma sarvaTA
   vartate |	vartate |
   asya śrīnagar iti nagarasya niyamitaḥ ko 'pi pradeśo na labhyate |	asya SrI-nagar iti nagarasya niyamitaH kaH api pradeSaH na laByate |
   ato jñāyate asmāt kaśmīrākhyamaṇḍalād vibhinnaṃ tat kim api nagaraṃ nāsti	atas jQAyate asmAt kaSmIra-AKya-maNxalAt viBinnam tat kim api nagaram na-asti
   asyaivāśokanirmitasya nagarasya nāmnaiva sarvam apīdaṃ maṇḍalaṃ prakhyātaṃ	asya-eva-aSoka-nirmitasya nagarasya nAmnA-eva sarvam api-idam maNxalam praKyAtam
   sampannam |	sampannam |
   ata evāsya kaśmīradeśasya sarvāsu dikṣu prathitatām āptaṃ	atas eva-asya kaSmIra-deSasya sarvAsu dikzu praTita-tAm Aptam
   sarvādigdeśanivāsijanaiḥ kathyamānaṃ śrīnagar iti nāma sphuṭatayā vartate	sarva-AdiS-deSa-nivAsi-janEH kaTyamAnam SrI-nagar iti nAma sPuwa-tayA vartate
   kāśmīrakair vinā sarve 'muṃ maṇḍalam anenaiva śrīnagar nāmnākārayanti ca	kASmIrakEH vinA sarve amum maNxalam anena-eva SrI-nagar nAmnA-AkArayanti ca
   ye kecana pārisekānuvādakartāras tanmatānu-yāyinaś ca te svapustakeṣu |	ye kecana pAriseka-anuvAda-kartAraH tad-mata-anu-yAyinaH ca te sva-pustakezu |
   asya śrīnagaryākhyasya deśasyāśrayībhūtau dakṣiṇapārśvavāmapārśvau yāv	asya SrI-nagarya-AKyasya deSasya-ASrayIBUtO dakziNa-pArSva-vAma-pArSvO yOv
   ādhunike kāle dacchunporpargaṇa tathā khourporpargaṇa ityākhyau puragaṇau	ADunike kAle dacCunporpargaNa taTA KouH-porpargaNaH iti-AKyO pura-gaNO
   vartate tāv evāśrayībhūtau bhavata ityādi likhanti arthāt |	vartate tO eva-ASrayIBUtO BavataH ityAdi liKanti arTAt |
   yāv etau dvau puragaṇau stas tayor eva śrīnagarīti nāmāsti |	yO etO dvO pura-gaNO staH tayoH eva SrInagarI-iti nAma-asti |
   atha vāgatasyātikālasya balavatayā tasya śrīnagaryākhyadeśasya cihnabhūtāv	aTa vA-Agatasya-ati-kAlasya balavatayA tasya SrI-nagarya-AKya-deSasya cihna-BUtO=-
   iva puragaṇau bhavata iti teṣām abhiprāyaḥ |	iva pura-gaNO BavataH iti tezAm aBiprAyaH |
   paraṃ tu kalhaṇa-paṇḍitaḥ svapustake dakṣiṇapārśvavāmapārśvāv eva	param tu kalhaNa--paNxitaH sva-pustake dakziNa-pArSva-vAma-pArSvO eva
   śrīnagarīty ākhyāv ityādi kiṃcid api na likhati |	SrI-nagarI-iti AKyO ityAdi kiMcid api na liKati |
   atas tat pārisekānuvādināṃ svakapolakalpanaiveti bhadram ||	atas tat pAriseka-anuvAdinAm sva-kapola-kalpanA-eva-iti Badram ||
   33. Aśmamayaḥ Prākāraḥ	33. ASma-mayaH Pra-AkAraH
   ślokasaṃ 105 namba 33 asyāśokasya rājye aśmamayaḥ prākāraḥ |	Slokasam 105 namba 33 asya-aSokasya rAjye aSma-mayaH prAkAraH |
   asya niruktiḥ |	asya niruktiH |
   aśmānaḥ prācuryeṇāsmin atha vā aśmānaḥ prakṛtir vāsyety aśmamayaḥ |	aSmAnaH prAcuryeNa-asmin aTa vE aSmAnaH prakRtiH vA-asya-iti aSma-mayaH |
   tad atra pracuraṃ sāsya prakṛtir vety arthe mayaṭ pratyayo 'tra |	tat atra pracuram sA-asya prakRtiH vA-iti arTe mayaw pratyayaH atra |
   aśmamayaḥ yaḥ prākāraḥ sāla ity arthaḥ |	aSma-mayaH yaH prAkAraH sAlaH iti arTaH |
   prākāro varaṇaḥ sāla ity amaraḥ |	prAkAraH varaNaH sAlaH iti amaraH |
   etādṛśaḥ prākāras tena rājñāśokena sampāditaḥ |	etAdRSaH prAkAraH tena rAjQA-aSokena sampAditaH |
   atra pūrvaṃ nambarapadābhidheyo dvādaśasaṃkhyāko vijayeśvarābhidho yo 'yaṃ	atra pUrvam nambara-pada-aBiDeyaH dvAdaSa-saMKyAkaH vijayeSvara-aBiDaH yaH ayam
   pradeśo varṇito 'sti tasminn eva vijayeśvare pūrvakālīnai rājabhiḥ	pradeSaH varNitaH asti tasmin eva vijayeSvare pUrva-kAlInEH rAjaBiH
   sudhamayaḥ prākāro nirmita āsīt |	suDa-mayaH prAkAraH nirmitaH AsIt |
   taṃ sudhāmayaṃ prākāraṃ nivārya sa rājā navīnam aśmamayaṃ prākāraṃ kārayām	tam suDA-mayam prAkAram nivArya sa rAjA navInam aSma-mayam prAkAram kArayAm
   āsa |	Asa |
   tathā ca paṇḍitakalhaṇaḥ	taTA ca paNxita-kalhaNaH
        jīrṇaṃ śrīvijayeśasya vinivārya sudhāmayam |	jIrNam SrI-vijayeSasya vinivArya suDA-mayam |
        niṣkalmaṣeṇāśmamayaḥ prākāro yena kārita ||	nizkalmazeNa-aSma-mayaH prAkAraH yena kArita ||
   iti |	iti |
   asya prākārasyādhunike kāle vinaṣṭatayā nāmāpi na labhyate |	asya prAkArasya-aDunike kAle vinazwa-tayA nAma-api na laByate |
   cihnādivārttā dūrata evāstām |	cihna-Adi-va-ArttA dUratas eva-AstAm |
   ato 'sya kathyamāṇaṃ janair etatkālīnaṃ nāmādikaṃ na likhitam astīti	atas asya kaTyamANam janEH etat-kAlInam nAma-Adikam na liKitam asti-iti
   jñeyam |	jQeyam |
   kiṃ tv atra kasmiṃścit purātane kāle 'trāśmamayaḥ prākāro 'py āsīd ity ata	kim tu atra kasmiMScid purAtane kAle atra-aSma-mayaH prAkAraH api AsIt iti ata
   evāsmin pradeśasaṃgrahe 'sya parigaṇanaṃ kṛtam |	eva-asmin pradeSa-saMgrahe asya parigaNanam kRtam |
   yathādhunike kāle śrīraṇavīrasiṃhabhūpanirmitaṃ śivasya caityam ādainābhūd	yaTA-aDunike kAle SrIraNa-vIra-siMha-BUpa-nirmitam Sivasya cEtyam Ada-ena-aBUt-
   iti ||	iti ||
   34. Aśokaḥ Īśvaraś ca Prāsādaḥ	34. ASokaH ĪSvaraH ca PrAsAdaH
   ślokasaṃ 106 namba 34 aśokasya rājye aśokaḥ īśvarasaṃjñakaś ca prāsādaḥ |	Slokasam 106 namba 34 aSokasya rAjye aSokaH ISvara-saMjQakaH ca prAsAdaH |
   anayor niruktiḥ |	anayoH niruktiH |
   avidyamānaḥ śoko manyur yasya so 'śokaḥ |	avidyamAnaH SokaH manyuH yasya saH aSokaH |
   manyuśokau tu śuk striyām ity amaraḥ |	manyu-SokO tu Suc striyAm iti amaraH |
   īśanaśīlaḥ īśanadharmā īśanaṃ sādhu karoti yaḥ sa īśvaraḥ |	ISana-SIlaH ISana-DarmAH ISanam sADu karoti yaH saH ISvaraH |
   etādṛśāv aśokeśvarasaṃjñakau yau prāsādau devatāyatane iti yāvat |	etAdRSO aSoka-ISvara-saMjQakO yO prAsAdO devatAyatane iti yAvat |
   harmyādi dhanināṃ vāsaḥ prāsādo devabhūbhujām ity amaraḥ |	harmya-Adi DaninAm vAsaH prAsAdaH deva-BUBujAm iti amaraH |
   anenaiva pūrvaṃ varṇitena rājñāśokenaitanmaṇḍalaprakhyāte	anena-eva pUrvam varNitena rAjQA-aSokena-etat-maNxala-praKyAte
   vijayeśvarākhyapradeśo 'śmamayaṃ prākāraṃ sampādayitvā tasyaiva	vijayeSvara-AKya-pradeSaH aSma-mayam prAkAram sampAdayitvA tasya-eva
   sabhāsthāne varṇitanāma dvayayutaṃ prāsādadvayaṃ nirmitaṃ |	saBA-sTAne varNita-nAma dvaya-yutam prAsAda-dvayam nirmitam |
   yatas tasmin kāle ye kecana tam īśvarābhidhaṃ prāsādaṃ paśyanti sma te	yatas tasmin kAle ye kecana tam ISvara-aBiDam prAsAdam paSyanti sma te
   tatkṣaṇād eva tasya manohāritvaguṇasampadāṃ camatkāreṇa śokarahitā	tad-kzaNAt eva tasya manohAri-tva-guNa-sampadAm camatkAreNa Soka-rahitA
   babhūvur |	baBUvuH |
   atas tasyāśoketi nāmānvarthatayā pratīyamānaṃ bhāti |	atas tasya-aSokA-iti nAma-anvarTa-tayA pratIyamAnam BAti |
   tathā ca kartum akartum anyathā-kartuṃ sāmarthyaśālina īśvarasyaiva	taTA ca kartum akartum anyaTA-a-kartum sAmarTya-SAlinaH ISvarasya-eva
   nāmnāpy ayaṃ dvitīyaḥ prāsādaḥ prakhyātiṃ yataḥ prāptavān ato 'yam api	nAmnA-api ayam dvitIyaH prAsAdaH praKyAtim yatas prAptavAn atas ayam api
   sārthakatām eva prāpto bhāti |	sArTaka-tAm eva prAptaH BAti |
   etayor ubhayoḥ prāsādayor aticirantanakālikatayā nirmāṇasya cihnādikam api	etayoH uBayoH prAsAdayoH ati-cirantana-kAlika-tayA nirmANasya cihna-Adikam api
