   Rāṣṭrapālaparipṛcchā	RAzwrapAla-paripRcCA
   śirasābhivanditvā ekānte 'tiṣṭhat / ekāntasthitaśca rājā arciṣmān	SirasA-aBivanditvA ekAnte atizWat / ekAnta-sTitaH-ca rAjA arcizmAn
   bhagavantamābhirgāthābhirabhyaṣṭāvīt -	BagavantamABiH-gATABiH-aByazwAvIt -
   vandāmi guṇajñānasāgaraṃ naravīraṃ yasya nāsti samaḥ kuto 'dhikastribhave	vandAmi guNa-jQAna-sAgaram nara-vIram yasya na-asti samaH kutas aDikaH-tri-Bave
   'smin /	asmin /
   devendrāsurarājasatkṛtaṃ varasattvaṃ tṛptiṃ naiti jano nirīkṣatastava	deva-indra-asura-rAja-satkRtam vara-sattvam tRptim na-eti janaH nirIkzataH-tava
   rūpam // 329 //	rUpam // 329 //
   dvātriṃśattava kāyalakṣaṇā suviśuddhā merurvā vararatnacitritaḥ	dvAtriMSat-tava kAya-lakzaNA su-viSudDAH meruH-vA vara-ratna-citritaH
   pariśuddhaḥ /	pariSudDaH /
   ślakṣṇaṃ kāñcanavarṇasaṃnibhaṃ jinakāntaṃ vandāmi priyarūpadarśanaṃ	SlakzNam kAQcana-varNa-saMniBam jina-kAntam vandAmi priya-rUpa-darSanam
   munikāyam // 330 //	muni-kAyam // 330 //
   (Vaidya, RP 156)	(VEdya, RS 156)
   kalpānacintya śatāśca koṭiyo vrata cīrṇā buddhakoṭiśatāśca satkṛtā	kalpAn-acintya SatAH-ca kowiyaH vrata cIrNAH budDa-kowi-SatAH-ca satkRtA
   bahukalpān /	bahu-kalpAn /
   yaṣṭā yajñaśatā acintiyāparimāṇā kāyastena tavābhirājate abhirūpaḥ // 331	yazwA yajQa-SatA acintiyA-parimANA kAyaH-tena tava-aBirAjate aBirUpaH // 331
   dānaśīlasamādhiprajñayāpi ca kṣāntyā vīryadhyānamupāyaśodhitaṃ tava rūpam	dAna-SIla-samADi-prajQayA-api ca kzAntyA vIrya-DyAnam-upAya-SoDitam tava rUpam
   candrārkamaṇidyutiprabhā na virāji śakrabramhaprabhā na bhāsate purataste	candra-arka-maNi-dyuti-praBA na virAji Sakra-bramha-praBA na BAsate puratas-te
   rūpaṃ darśayate manoramaṃ jagadarthe pratibhāsodakacandrasaṃnibhaṃ yatha	rUpam darSayate manoramam jagat-arTe pratiBAsa-udaka-candra-saMniBam yaTa
   māyā /	mAyA /
   sarvāsveva ca dikṣu dṛśyate jinakāyo no cā rūpapramāṇu dṛśyate sugatānām	sarvAsu-eva ca dikzu dRSyate jina-kAyaH no cA rUpa-pramANu dRSyate sugatAnAm
   tuṣiteṣu kvacideva dṛśyase nivasaṃstvaṃ vyūḍhamānaśca punaḥ	tuzitezu kvacid-eva dRSyase nivasan=-tvam vyUXa-mAnaH-ca punar-
   supāṇḍaragajabhūtaḥ /	su-pANxara-gaja-BUtaH /
   mātu kukṣigataśca dṛśyase 'pi ca vīraḥ sarvatrānugato mahāmune nabhatulyaḥ	mAtu kukzi-gataH-ca dRSyase api ca vIraH sarvatra-anugataH mahA-mune naBa-tulyaH
   jātiṃ saṃdarśayase kvacidbhavān diśatāsu gacchan sapta padāni dṛśyase	jAtim saMdarSayase kvacid-BavAn diSatAsu gacCan sapta padAni dRSyase
   kvacidurvyām /	kvacid-urvyAm /
   hyeṣṭho 'haṃ sanarāmare jage atidevo mociṣye jaga duḥkhasāgarādgira muñcan	hi-ezWaH aham sa-nara-amare jage atidevaH mocizye jaga duHKa-sAgarAt-gira muQcan
   dharmasaṃśayu nāsti te mune kvacideva śikṣāṃ cāpi ca loka dṛśyate	Darma-saMSayu na-asti te mune kvacid-eva SikzAm ca-api ca loka dRSyate
   lipijñāne śāntaṃ dhyānasamādhigocaramanuprāptaṃ strīṇāṃ madhyagataśca	lipi-jQAne SAntam DyAna-samADi-gocaram-anuprAptam strINAm maDya-gataH-ca
   dṛśyate kvacideva // 336 //	dRSyate kvacid-eva // 336 //
   tyaktvā mātāpitā mahītale pramadāśca jñātīn śokahatān vimūrcchitān	tyaktvA mAtA-pitAH mahI-tale pramadAH-ca jQAtIn Soka-hatAn vimUrcCitAn
   viruvantaḥ /	viruvantaH /
   niṣkrānto vanavāsamīkṣyase padamekaṃ devākoṭiśataiḥ parivṛto varasattvaḥ	nizkrAntaH vana-vAsam-Ikzyase padam-ekam devAkowi-SatEH parivRtaH vara-sattvaH
   mārāste caturo 'pi nirjitāścirakālaṃ mārān dharṣayamāṇa dṛśyate 'pi ca	mArAH-te caturaH api nirjitAH-cira-kAlam mArAn DarzayamANa dRSyate api ca
   kṣetre /	kzetre /
   cakraṃ vartayase 'pyacintiyaṃ purimeṇa cakraṃ vartayamāna dṛśyase kṛpayā	cakram vartayase api-acintiyam purimeNa cakram vartayamAna dRSyase kRpayA
   tvam // 338 //	tvam // 338 //
   (Vaidya, RP 157)	(VEdya, RS 157)
   nityaṃ śāśvatadṛṣṭisaṃjñitaṃ jagadīkṣya nirvāsya iti vāca bhāṣase	nityam SASvata-dRzwi-saMjQitam jagat-Ikzya nirvAsyaH iti vAca BAzase
   pariṣatsu /	parizatsu /
   saṃsārābhirataṃ jagatsatatamīkṣya śāntāṃ śītagatiṃ ca nirvṛtiṃ vadasi tvam	saMsAra-aBiratam jagat-satatam-Ikzya SAntAm SIta-gatim ca nirvRtim vadasi tvam
   puṇyajñānamupāyaprajñato na samaste sphurase kāyaprabhāya tvaṃ mune	puNya-jQAnam-upAya-prajQataH na samaste sPurase kAya-praBAya tvam mune
   bahukṣetrān /	bahu-kzetrAn /
   bhāṣante tava varṇa nāyakā diśatāsu vande tvāmasamantagocaraṃ munirājam //	BAzante tava varNa nAyakAH diSatAsu vande tu-Am-asamanta-gocaram muni-rAjam //
   vandāmo 'pi ca dharmatāmakhilaprāptaṃ sarvasattvakriyāsu dṛśyase yatha	vandAmaH api ca Darma-tAm-aKila-prAptam sarva-sattva-kriyAsu dRSyase yaTa
   māyā /	mAyA /
   na ca te 'styāgamanaṃ kvacidgamanaṃ vā māyādharma sati	na ca te asti-Agamanam kvacid-gamanam vA mAyA-Darma sati
   pratiṣṭhitamabhivande // 341 //	pratizWitam-aBivande // 341 //
   sādhu tvaṃ naravīra bhāṣase varamārgaṃ bodhiryena varā hyavāpyate	sADu tvam nara-vIra BAzase vara-mArgam boDiH-yena varA hi-avApyate
   jagadarthe /	jagat-arTe /
   etāmapyahamāśu dharmatāmanubuddhā deśeyaṃ naravīraṃ dhamatāṃ jagadarthe //	etAm-api-aham-ASu Darma-tAm-anubudDAH deSeyam nara-vIram DamatAm jagat-arTe //
   sarvajñaṃ vigatajvaraṃ naravīraṃ yasya nāsti samaḥ kuto 'dhikastribhave	sarvajQam vigata-jvaram nara-vIram yasya na-asti samaH kutas aDikaH-tri-Bave
   'smin /	asmin /
   stutvā puṇyamupārjitaṃ mayā yadiha tena śāntāṃ bodhivarāmanuttarāṃ spṛśatu	stutvA puNyam-upArjitam mayA yat-iha tena SAntAm boDi-varAm-anuttarAm spRSatu
   lokaḥ // 343 //	lokaH // 343 //
   atha khalu rāṣṭrapāla sa tathāgataḥ siddhārthabuddhiḥ rājño 'rciṣmato	aTa Kalu rAzwrapAla sa taTAgataH sidDArTa-budDiH rAjQaH arcizmataH-
   'dhyāśayaṃ viditvā tathā dharmaṃ deśayāmāsa yathā sarve avaivartikā	aDyASayam viditvA taTA Darmam deSayAmAsa yaTA sarve avEvartikA
   abhūvannanuttarāyāṃ samyaksaṃbodhau //	aBUvan=-anuttarAyAm samyaksaMboDO //
   atha khalu rāṣṭrapāla puṇyaraśmī rājakumārastaṃ bhagavantaṃ	aTa Kalu rAzwrapAla puNya-raSmI rAja-kumAraH-tam Bagavantam
   siddhārthabuddhiṃ tathāgatametadavocat - adhivāsayatu bhagavānasmākāṃ	sidDArTa-budDim taTAgatam-etat-avocat  aDivAsayatu BagavAn-asmAkAm
   nagare śvobhaktena / adhivāsayati ca bhagavān puṇyaraśme rājakumārasya	nagare Svas-Baktena / aDivAsayati ca BagavAn puNya-raSme rAja-kumArasya
   tūṣṇībhāvenānukampāmupādāya //	tUzNIBAvena-anukampAm-upAdAya //
   atha khalu puṇyaraśmī rājakumārastau mātāpitarau tāśva pramadā āmantrayati	aTa Kalu puNya-raSmI rAja-kumAraH-tO mAtA-pitarO tASva pramadA Amantrayati
   sma - anumodayantu bhavantaḥ sarve sahitāḥ sarve samagrāḥ / yathālaṃkṛtaṃ	sma  anumodayantu BavantaH sarve sahitAH sarve samagrAH / yaTA-alaMkRtam
   ratipradhānaṃ nagaraṃ tathāgatasya niryātayāmuanapekṣaḥ /	rati-praDAnam nagaram taTAgatasya niryAtayAm-uanapekzaH /
   tairekasvareṇānumoditam //	tEH-eka-svareNa-anumoditam //
   atha khalu rāṣṭrapāla puṇyaraśmī rājakumāro yathālaṃkṛtaṃ ratipradhānaṃ	aTa Kalu rAzwrapAla puNya-raSmI rAja-kumAraH yaTA-alaMkRtam rati-praDAnam
   nagaraṃ tathāgatāya niryātayati sma anapekṣaḥ / pañcarasaśatavyūhena ca	nagaram taTAgatAya niryAtayati sma anapekzaH / paQca-rasa-Sata-vyUhena ca
   bhojanena taṃ tathāgataṃ pratipādayati sma sārdhaṃ bhikṣusaṃghena /	Bojanena tam taTAgatam pratipAdayati sma sArDam Bikzu-saMGena /
   sarveṣāṃ teṣāṃ bhikṣūṇāṃ saptaratnacitān vihārān kārayāmāsa maṇicaṃkramān	sarvezAm tezAm BikzUNAm sapta-ratna-citAn vihArAn kArayAmAsa maNi-caMkramAn
   prajñaptānupari ca ratnajālavitānavitatān vāmadakṣiṇena	prajQapta-an-upari ca ratna-jAla-vitAna-vitatAn vAma-dakziNena
   puṣpavṛkṣasupariniṣṭhitān / puṇḍarīkapuṣkariṇyupaśibhitānyubhayato	puzpa-vRkza-su-parinizWitAn / puNxarIka-puzkariNI-upaSiBitAni-uBayatas-
   mukhanirmaladūṣyaśatasahasraprajñaptāni (Vaidya, RP 158) śayyāsanāni /	muKa-nirmala-dUzya-Sata-sahasra-prajQaptAni (VEdya, Rc 158) SayyA-AsanAni /
   ekaikasya ca bhikṣorabhivandya cīvaro dīyate sma ekaikaḥ / anyonyāni	ekEkasya ca BikzoH-aBivandya cIvaraH dIyate smaH ekEkaH / anyonyAni
   cīvarāṇyanipradīyante divase divase / sa tribhirvarṣakoṭibhiḥ	cIvarANi-anipradIyante divase divase / sa triBiH-varza-kowiBiH
   styānamiddhaṃ nāvakrāmitavān, nātmaprema kṛtavān, buddhapūjāṃ prati	styAnam-idDam na-avakrAmitavAn, na-Atma-prema kRtavAn, budDa-pUjAm prati
   nānyamanasikāraḥ / etasminnantare na kāmavitarkaṃ vitarkitavān, na	na-anya-manasikAraH / etasmin=-antare na kAma-vitarkam vitarkitavAn, na
   vyāpādavitarkaṃ na vihiṃsāvitarkaṃ na rājyatṛṣṇām / sarvathānapekṣo	vyApAda-vitarkam na vihiMsA-vitarkam na rAjya-tRzNAm / sarvaTA-anapekzaH-
   'bhūtkāye jīvite ca, prāgevānyatarasmin bāhyavastuni / etasminnantare	aBUt-kAye jIvite ca, prAk-eva-anyatarasmin bAhya-vastuni / etasmin=-antare
   yadbhagavatā bhāṣitaṃ tatsarvamavadhāritam, na ca dvirapi sa tathāgataḥ	yat-BagavatA BAzitam tat-sarvam-avaDAritam, na ca dvis-api sa taTAgataH
   pṛṣṭaḥ / etasminnantare na snāto na sarpitailena vā gātraṃ mrakṣitam, na	pRzwaH / etasmin=-antare na snAtaH na sarpitElena vA gAtram mrakzitam, na
   pādadhāvanaṃ kṛtam, na klāntasaṃjñotpāditā, na jātu niṣaṇṇo 'nyatra	pAda-DAvanam kRtam, na klAnta-saMjQA-utpAditA, na jAtu nizaNNaH anyatra
   bhaktaparibhogārthamuccāraprasrāvaṇārthaṃ ca / yasmiṃśca samaye sa	Bakta-pariBoga-arTam-uccAra-prasrAvaNa-arTam ca / yasmin=-ca samaye sa
   tathāgataḥ parinirvṛtastasmin samaye lohitacandranasya citā kāritā / yatra	taTAgataH parinirvRtaH-tasmin samaye lohita-candranasya citA kAritA / yatra
   sa tathāgato dhmāpitastasminneva ca pṛthivipradeśe varṣaśatasahasraṃ	sa taTAgataH DmApitaH-tasmin=-eva ca pRTivi-pradeSe varza-Sata-sahasram
   dhātūnāṃ pūjāṃ kṛtavān / sarvaṃ jambūdvīpaṃ sarvapuṣpaiḥ sarvamālyaiḥ	DAtUnAm pUjAm kRtavAn / sarvam jambUdvIpam sarva-puzpEH sarva-mAlyEH
   sarvagandhaiḥ sarvavādyairyāvat sarvapūjāsatkārān kṛtvā pañcāccaturnavatiḥ	sarva-ganDEH sarva-vAdyEH-yAvat sarva-pUjA-satkArAn kRtvA paQcAt-caturnavatiH
   stūpakoṭyaḥ pratiṣṭhāpitavān / te ca stūpāḥ saptaratnamayā	stu-upa-kowyaH pratizWApitavAn / te ca stUpAH sapta-ratna-mayA
   ratnajālasaṃchannā muktājālavitānavitatāḥ / saptānāṃ ratnānāṃ pañca pañca	ratna-jAla-saMCannAH muktA-jAla-vitAna-vitatAH / saptAnAm ratnAnAm paQca paQca
   chatraśatānyekaikasmin stūpe āropitavān / sarvatra ca stūpe	Catra-SatAni-ekEkasmin stUpe AropitavAn / sarvatra ca stUpe
   tūryaśatasahasrāṇi niścāritavān / samantataśca jambūdvīpe puṣpavṛkṣān	tUrya-Sata-sahasrANi niScAritavAn / samantataH-ca jambUdvIpe puzpa-vRkzAn
   ropitavān / ekaikatra dīpyate sarvagandhatailasya /	ropitavAn / eka-ekatra dIpyate sarva-ganDa-tElasya /
   sarvagandhamālyavilepanaiśca pūjāmakarot / anenopāyena varṣakoṭiṃ pūjāṃ	sarva-ganDa-mAlya-vilepanEH-ca pUjAm-akarot / anena-upAyena varza-kowim pUjAm
   kṝtvāḥ tataḥ pravrajitaḥ / sa pravrajitā traicīvariko 'bhavat / nityaṃ	kLtvAH tatas pravrajitaH / sa pravrajitA trEcIvarikaH aBavat / nityam
   piṇḍapātacāriko 'naiṣadyikaḥ / na jātu pārśvaṃ dattavān, na	piNxapAta-cArikaH anEzadyikaH / na jAtu pArSvam dattavAn, na
   styānamiddhamavakrāmitavān / tena nirāmiṣacittena catako varṣakoṭyo	styAnam-idDam-avakrAmitavAn / tena nirAmiza-cittena catakaH varza-kowyaH-
   dharmadānaṃ dattam / na cānenāntaśaḥ / sādhukāro 'pi	Darma-dAnam dattam / na ca-anena-antaSas / sADu-kAraH api
   parasyāntikātpratikāṅkṣitaḥ, kutaḥ punarlābhasatkāraḥ / nāpi klānto	parasya-antikAt-pratikAFkzitaH, kutas punar-lABa-satkAraH / na-api klAntaH-
   'bhūddharmaśravaṇena dharmadeśanayā ca / tasya devatāḥ paricaryāṃ kurvanti	aBUt-Darma-SravaNena Darma-deSanayA ca / tasya devatAH paricaryAm kurvanti
   sma / tasya cānuśikṣitvā sarvajanapado 'ntaḥpuraṃ sarvapādamūlaṃ	sma / tasya ca-anuSikzitvA sarva-janapadaH antaHpuram sarva-pAda-mUlam
   sarvasahāyāśca pravrajitāḥ //	sarva-sahAyAH-ca pravrajitAH //
   atha khalu rāṣṭrapāla śūddhāvāsakāyikānāṃ devaputrāṇāmetadabhavat -	aTa Kalu rAzwrapAla SUdDa-AvAsa-kAyikAnAm deva-putrANAm-etat-aBavat -
   puṇyaraśmeranuśikṣamāṇaḥ sarvarājyajanakadaḥ pravrajitaḥ /	puNya-raSmeH-anuSikzamANaH sarva-rAjya-janaka-daH pravrajitaH /
   asmābhistasyopasthānaparicaryā kartavyā / trayāṇāṃ ratnānāmupasthāna kṛtaṃ	asmABiH-tasya-upasTAna-paricaryA kartavyA / trayANAm ratnAnAm-upasTAna kRtam
   bhaviṣyati / tasya punastathāgatasya parinirvṛtasya catuḥṣaṣṭivarṣakoṭyaḥ	Bavizyati / tasya punar-taTAgatasya parinirvRtasya catuHzazwi-varza-kowyaH
   saddharmastasthau / sarvasya puṇyaraśminā bhikṣuṇā buddhasahasrasya	sadDarmaH-tasTO / sarvasya puNya-raSminA BikzuNA budDa-sahasrasya
   caivaṃrūpā pūjā kṛtābhūt //	ca-evaMrUpA pUjA kRtA-aBUt //
   syātkhalu punaste rāṣṭrapāla etarhi kāṅkṣā vā vimatirvā vicikitsā vā -	syAt-Kalu punar-te rAzwrapAle etarhi kAFkzA vA vimatiH-vA vicikitsA vA -
   anyaḥ sa tena kālena tena samayenārciṣmān nāma rājābhūt / na khalu	anyaH sa tena kAlena tena samayena-arcizmAn nAma rAjA-aBUt / na Kalu
   punastvayaivaṃ draṣṭavyam / tatkasya hetoḥ ? amitāyuḥ sa tathāgatastena	punar-tvayA-evam drazwavyam / tat-kasya hetoH ? amita-AyuH sa taTAgataH-tena
   kālena tena samayenārciṣmānnāma rājābhūt / syātkhalu punaste rāṣṭrapāla -	kAlena tena samayena-arcizmAn-nAma rAjA-aBUt / syAt-Kalu punar-te rAzwrapAla -
   anyaḥ sa tena kālena tena samayena puṇyaraśmirnāma rājakumāro 'bhūt / na	anyaH sa tena kAlena tena samayena puNyaraSmiH-nAma rAja-kumAraH aBUt / na
   khalu punastvayaivaṃ draṣṭavyam / tatkasya hetoḥ ? ahaṃ sa tena kālena	Kalu punar-tvayA-evam drazwavyam / tat-kasya hetoH ? aham sa tena kAlena
   tena samayena puṇyaraśmirnāma rājakumāro 'bhūt / yāpi sā nagaradevatā,	tena samayena puNyaraSmiH-nAma rAja-kumAraH aBUt / yA-api sA nagara-devatA,
   akṣobhyastathāgato 'bhūt /	akzoByaH-taTAgataH aBUt /
   (Vaidya, RP 159) tasmāttarhi rāṣṭrapāla bodhisattvena mahāsattvenānuttarāṃ	(VEdya, RS 159) tasmAt-tarhi rAzwrapAla boDisattvena mahAsattvena-anuttarAm
   samyaksaṃbodhimabhisaṃboddhukāmena tasya	samyaksaMboDim-aBisaMbodDu-kAmena tasya
   puṇyaraśmirājakumārasyāniśikṣitavyamadhyāśayapratipattyā	puNya-raSmi-rAja-kumArasya-aniSikzitavyam-aDya-ASaya-pratipattyA
   priyāpriyaparityāgitayā apramādacaryayā - evaṃ	priya-apriya-parityAgitayA apramAda-caryayA  evam
   duḥkhābhisaṃskārapratilabdhā me 'nuttarā samyaksaṃbodhiriti / tatte	duHKa-aBisaMskAra-pratilabDA me anuttarA samyaksaMboDiH-iti / tat-te
   'nabhiyuktā lābhasatkāraślokagurukā jñātyadhyavasitā mānahatā	anaBiyuktA lABa-satkAra-Sloka-gurukA jQAti-aDyavasitA mAna-hatA
   lābhahatāstapasvino vihanyante, lābhahetoḥ śāsanāddūrībhavanti,	lABa-hatAH-tapasvinaH vihanyante, lABa-hetoH SAsanAt-dUrIBavanti,
   nirarthakaṃ pravrajitāḥ śramaṇadūṣakā bodhisattvakhaṭukāḥ	nirarTakam pravrajitAH SramaNa-dUzakAH boDisattva-KawukAH
   kāyavākcittavaṅkāḥ naimittikāḥ vitathapratijñāḥ svapratijñātaścyutāḥ	kAya-vAc-citta-vaFkAH nEmittikAH vitaTa-pratijQAH sva-pratijQAtaH-cyutAH
   cīvarapiṇḍapātaśayyāsanaglānapratyayabhaiṣajyapariṣkāranimittamadhyavasitāḥ	cIvara-piNxapAta-SayyA-Asana-glAna-pratyaya-BEzajya-parizkAra-nimitta-maDya-vasitAH
   / ahrīkā anapatrapā acāritrā asaddharmaprasṛtā gocaravirahitā	/ ahrIkA anapatrapAH acAritrA asat-Darma-prasRtA gocara-virahitA
   buddhagocarāddūrībhūtā buddhajñānavirahitāḥ mokṣacittavirahitāḥ	budDa-gocarAt-dUrIBUtAH budDa-jQAna-virahitAH mokza-citta-virahitAH
   bodhicittavirahitāḥ / tasmāttarhi rāṣṭrapāla imamevaṃrūpaṃ dharmaṃ śrutvā	boDi-citta-virahitAH / tasmAt-tarhi rAzwrapAlaH imam-evaMrUpam Darmam SrutvA
   boddhavyam - pāpamitrānyudyuktāni na sevitavyāni lābhārthikānām //	bodDavyam  pApa-mitrAni-udyuktAni na sevitavyAni lABa-arTikAnAm //
   atha khalu bhagavāṃstasyāṃ velāyāmimā gāthā abhāṣata -	aTa Kalu BagavAn=-tasyAm velAyAm-imAH gATAH aBAzata -
   aprameye daśabalacalite lābhe jñātau parigatahṛdayā /	aprameye daSa-bala-calite lABe jQAtO parigata-hRdayA /
   hitvā bodhiṃ guṇaśatanicitāṃ lābhārthaṃ te parakulanicatāḥ // 344 //	hitvA boDim guNa-Sata-nicitAm lABa-arTam te para-kula-nicatAH // 344 //
   dhvāṅkṣā duṣṭā hrīdhṛtirahitā kṣetrārthaṃ te namucivaśagatāḥ /	DvAFkzAH duzwAH hrI-DRti-rahitA kzetra-arTam te namuci-vaSa-gatAH /
   kleśādhīnā bhavagatipraṇatā bhāṣantyevaṃ vayamapi guṇinaḥ // 345 //	kleSa-aDInAH Bava-gati-praNatAH BAzanti-evam vayam-api guNinaH // 345 //
   kāyo 'raṇye smṛtirapi nagare lābhārthaṃ te caritavikalpe /	kAyaH araNye smRtiH-api nagare lABa-arTam te carita-vikalpe /
   dūre mokṣo nabha iva dharaṇi dūre jāhu bhujagavadetān // 346 //	dUre mokzaH naBaH iva DaraNi dUre jAhu Bujaga-vat-etAn // 346 //
   buddho dharmo na ca priyavadatāṃ tadvatsaṃgho guṇaśatabharitaḥ /	budDaH DarmaH na ca priya-vadatAm tadvat-saMGaH guNa-Sata-BaritaH /
   hitvā svargaṃ kupathaprayātā aṣṭavighātairbhavaśatavihatāḥ // 347 //	hitvA svargam kupaTa-prayAtAH azwa-viGAtEH-Bava-Sata-vihatAH // 347 //
   śrutvaināṃ mama cārikāṃ samupadiṣṭāṃ bhūtādhyāśayato 'tra yujyathā	SrutvA-enAm mama cArikAm samupadizwAm BUta-aDyASayataH atra yujyaTA
   pratipattyā /	pratipattyA /
   duṣprāpyaṃ bahukalpakoṭibhiḥ kṣaṇaprāptā tasmādatra	duzprApyam bahu-kalpa-kowiBiH kzaNa-prAptA tasmAt-atra
   yathoktadharmatāmabhiyujyet // 348 //	yaTA-ukta-Darma-tAm-aBiyujyet // 348 //
   yo hīcchedvarabodhi budhyituṃ varayāne smāryāstena mahīpate guṇāstasya /	yaH hi-icCet-vara-boDi buDyitum vara-yAne smAryAH-tena mahIpate guNAH-tasya /
   saṃcintya yathābhūta yoniśaḥ sthātavyamevaṃ bodhi asaṅga ridhyate	saMcintya yaTABUta yoniSas sTAtavyam-evam boDi asaFga riDyate
   sugatānām // 349 //	sugatAnAm // 349 //
   āryaṃ vaṃśaṃ niṣevate guṇaprekṣī jñānaṃ tatra utpādayecchu ivātra /	Aryam vaMSam nizevate guNa-prekzI jQAnam tatra utpAdayet-Su iva-atra /
   mā evaṃ pravijahya śāsanaṃ guṇamaṇḍaṃ sarvāsvetagatīṣu pañcasū yatha bālāḥ	mA evam pravijahya SAsanam guNa-maNxam sarvAsu-eta-gatIzu paQcasU yaTa bAlAH
   (Vaidya, RP 160)	(VEdya, RS 160)
   śailāraṇyaguhānijāsino bhavateha tatrasthāśca ma ātma manyathā paṭapaṃsī /	SEla-araNya-guhA-ni-jAsinaH BavatA-iha tatrasTAH-ca me Atma manyaTA pawapaMsI /
   ātmānaṃ paribhāṣathā satatanitya - manusmaranto buddhakoṭi virāgitā purimā	AtmAnam pariBAzaTA satata-nitya  manusmarantaH budDakowi virAgi-tA purimA
   ye // 351 //	ye // 351 //
   kāye jīvita tṛṣṇa utsṛha anapekṣā dharme yujyata tīvra gauravaṃ janayitvā	kAye jIvita tRzNaH utsRha anapekzA Darme yujyata tIvra gOravam janayitvA
   pratipattiśca mayāpi bhāṣitā iha sūtre paścā bodhi na teṣu durlabhā iha	pratipattiH-ca mayA-api BAzitAH iha sUtre paScA boDi na tezu durlaBAH iha
   sthitvā // 352 //	sTitvA // 352 //
   ye yuktāśca ihāpi harṣitā jinayāne śrutvā yukta sudurmanā bhavitāraḥ /	ye yuktAH-ca iha-api harzitAH jinayAne SrutvA yukta su-durmanAH BavitAraH /
   tasmādvai janayeta śāsane adhimuktiṃ mā paścādanutāpa bheṣyathā	tasmAt-vE janayeta SAsane aDimuktim mA paScAt-anutApa BezyaTA
   vicaramāṇāḥ // 353 //	vicaramANAH // 353 //
   yaśca punā rāṣṭrapāla bodhisattvaḥ pañcapāramitāsu caret, yaśceha	yaH-ca punA rAzwrapAla boDisattvaH paQca-pAramitAsu caret, yaH-ca-iha
   dharmaparyāyapratipatyā saṃpādayet - ahamatra śikṣiṣye 'hamatra saṃvare	Darma-paryAya-pratipatyA saMpAdayet  aham-atra Sikzizye aham-atra saMvare
   sthāsyāmi / eṣa puṇyaskandho 'sya puṇyaskandhasya purataḥ śatatamāmapi	sTAsyAmi / eza puNya-skanDaH asya puNya-skanDasya puratas SatatamAm-api
   kalāṃ nopaiti sahasratamāmapi śatasahasratamāmapi koṭiśatasahasratamāmapi,	kalAm na-upEti sahasratamAm-api Sata-sahasratamAm-api kowi-Sata-sahasratamAm-api,
   saṃkhyāmapi kalāmapi gaṇanāmapi upamāmapi upanisāmapi dhṛtipadamapi	saMKyAm-api kalAm-api gaNanAm-api upamAm-api upanisAm-api DRti-padam-api
   nopaiti / asmin khalu punardharmaparyāye bhāsyamāṇe triṃśatāṃ niyutānāṃ	na-upEti / asmin Kalu punar-Darma-paryAye BAsyamANe triMSatAm niyutAnAm
   sadevamānuṣāsurāyāśca prajāyā anutpadantapūrvāṇyanuttarasyāṃ	sa-deva-mAnuza-AsurAyAH-ca prajAyAH anutpadanta-pUrvANi-anuttarasyAm
   samyaksaṃbodhau cittānyutpannāni / avaivartyāścābhūvannanuttarasyāḥ	samyaksaMboDO cittAni-utpannAni / avEvartyAH-ca-aBUvan=-a-nuttarasyAH
   samyaksambodheḥ / saptānāṃ ca bhikṣusahasrāṇāmanupādāyāsravebhyaścittāni	samyaksamboDeH / saptAnAm ca Bikzu-sahasrANAm-anupAdAya-AsraveByaH-cittAni
   vimuktāni //	vimuktAni //
   atha khalu āyuṣmān rāṣṭrapālo bhagavantametadavocat - kiṃnāmāyaṃ bhagavan	aTa Kalu AyuzmAn rAzwrapAlaH Bagavantam-etat-avocat  kiMnAma-ayam Bagavan
