   sphuṭārthā	sPuwa arTA
   pa daṅ gzugs med pa na spyod pa rnams spaṅs pa kun tu sbyor ba thams cad	pa daF gzugH met pa na spya ud pa rnams spaFs pa kun tu sbyoH ba TamH cad
   yoṅs su gtugs paḥi [Tib. 166b] yoṅs su śes pa ṣes bya ba lṅa ste. bsam	yoFs su gtugH paHi [Ti b. 166b] yoFH su SeH paH zeH bya ba lFa ste. bsam
   gtan gyi dṅos gṣi la brten nas gzugs daṅ gzugs med pa na spyod paḥi ñon	gtan gyi dFoH gzi la brtet naH gzugH daF gzugH met pa na spya ut paHi Qon
   moṅs pa spoṅ ba srid paḥi phyir ro. ḥdod pa na spyod paḥi ñon moṅs pa	mA uFs paH spoS ba srit paHi PyiH ro. Hdod pa na spya ut paHi Qon moFs pa
   spaṅs pa ni bsam gtan gi dṅos gṣiḥi ḥbras bu ma yin te. bsam gtan gyi dṅos	spaFs pa ni bsam gtan gi dFoH gziHi HbraH bu me yin te. bsam gtan gyi dFoH 
   gṣi rnams ni ḥdod paḥi (Abhidh k vy 506) khams kyi gñen po ma yin paḥi	gzi rnams ni Hdot paHi (a aBiD k vi 506) Kams kyi gQet paH me yin paHi
   phyir ro. de lta bas na ḥdod chags daṅ bral ba rnams la bral baḥi thob pa	PyiH ro. de lta bas na Hdod CagH daF brat ba rnams la brat baHi Tob pa
   zag pa med pa yod du zin kyaṅ tha maḥi cha daṅ mthun pa spaṅs paḥi yoṅs su	zaj pa met pa yot du zin kyaF Ta maHi Ca daF mTun pa spaFs paHi yoFH su
   śes pa bṣin du ḥdod pa na spyod pa mthoṅ bas spaṅ bar bya ba spaṅs pa ni	SeH pa bzin du Hdot pa na spya ud paH mToF bas spaj bar byaH ba spaFs pa ni
   bsam gtan gyi dṅos gṣiḥi ḥbras bu ma yin no ṣes zer ro. btsun pa dbyaṅs	bsam gtan gyi dFoH gziHi HbraH bu me yit naH zeH zeH ro. btsun paH dbyak s
   sgrogs kyi lugs kyis ni brgyad de. ṣes bya ba ni btsun pa dbyaṅs sgrogs de	sgrogH kyi lugH kyiH ni brgyat de. zeH bya ba ni btsun paH dbyaF sgrogH de
   ni ḥdod paḥi ḥdod chags daṅ bral baḥi gaṅ zag gi yaṅ ḥdod pa na spyod pa	ni Hdot paHi Hdot CagH daF brat baHi gaF zaj gi yak Hdod pa na spya ut pa
   mthoṅ bas spaṅ bar bya ba rnams spaṅ spa yoṅs su śes pa gsum gyi ṅo bo ñid	mToF bas spaj bar byaH ba rnams spaj spa yoFH su SeH paH gsum gyi FaH baH Qid
   ḥphag paḥi lam gyi ḥbras bu yin par ḥdod do. ciḥi phyir ṣe na. bral baḥi	HPak paHi lam gyi HbraH bu yin par Hdot do. ciHi PyiH ze na. brat baHi
   thob pa zag pa med pa rñed paḥi phyir te. bsam gtan gyi dṅos gṣi la rten	Tob paH zaj pa met pa rQet paHi PyiH te. bsam gtan gyi dFoH gzi la rten
   nas ṅes pa ḥjug pa na yaṅ ma thoṅ bas spaṅ bas spaṅ bar bya baḥi zag pa	naH FeH paH Hjuk pa na yak me ToF bas spaj bas spaj bar bya baHi zaj pa
   sṅon ḥjig rten paḥi lam gyis spaṅs pa rnams kyis bral baḥi thob pa zag pa	sFon Hjik rtet paHi lam gyiH spaFs pa rnams kyiH brat baHi Tob paH zaj pa
   med pa yaṅ ḥthob la de la na mthoṅ baḥi lam gyis nus pa yod pas gzugs daṅ	met paH yak HTob la de la na mToF baHi lam gyiH nuH paH yot paH gzugH daF
   gzugs med pa ba spyod paḥi mthoṅ bas spaṅ bar bya ba spaṅs pa bṣin du.	gzugH met pa ba spya ut paHi mToF bas spaj bar byaH ba spaFs paH bzin du.
   ḥdod pa na spyod paḥi mthoṅ bas spaṅ bar bya ba sṅon spaṅs paḥi yoṅs su	Hdod pa na spya ud paHi mToF bas spaj bar byaH ba sFon spaFs paHi yoFH su
   śes pa yaṅ dṅos gṣi bsam gtan gyi ḥbras buḥo ṣes bya bar rnam pa bṣag go.	SeH paH yaF dFoH gzi bsam gtan gyi HbraH buHaH zeH bya bar rnam pa bzaj go.
   de lta ba sna ḥdod pa na spyod paḥi mthoṅ bas spaṅ bar bya ba spaṅs paḥi	de lta ba snaH Hdod pa na spya ud paHi mToF bas spaj bar byaH ba spaFs paHi
   yoṅs su śes pa gsum po ḥdi dga daṅ sṅar bśad pa gzugs daṅ gzugs med paḥi	yoFs su SeH paH gsum paH Hdi dga daF sFar bSat paH gzugH daF gzugH met paHi
   yoṅs su śes pa daṅ bcas pa yoṅs su śes pa brgyad bsam gtan gyi ḥbras bu	yoFH su SeH pa daF bcaH paH yoFH su SeH pa brgyat bsam gtan gyi HbraH bu
   yin [Tib. 167a] no. śes bya ba ni btsun pa dbyaṅs sgrogs kyi gṣuṅ lugs yin	yin [Tib. 167a] no. SeH bya ba ni btsun paH dbyaF sgrogH kyi gzuj lugH yin
   no. tha maḥi cha daṅ mthun pa spaṅs paḥi yoṅs su śes pa ni mi lcogs pa med	no. Ta maHi Ca daF mTun pa spaFs paHi yoFH su SeH pa ni mi lcogH pa med
   paḥi ḥbras bu kho na yin no. ṣes bya ba ni ḥdod pa las ḥdod chags ma bral	paHi HbraH bu KaH na yit no. zeH bya ba ni Hdod paH laH Hdot CagH ma bral
   ba ni mi lcogs pa med pa kho nas tha maḥi cha daṅ mthun pa spoṅ bar byed	ba ni mi lcogH pa met paH KaH naH Ta maHi Ca daF mTun pa spoF bar byet 
   kyi dṅos gṣis ni ma yin te. de na ma thob paḥi phyir ro. ḥdod chags daṅ	kyi dFoH gziH ni me yin te. de na me ToB paHi PyiH ro. Hdot CagH daF
   bral ba ston du ḥgro ba yaṅ gaṅ gi tshe bsam gtan la brten nas ñes pa la	brat ba ston du HgraH ba yaF gaF gi tshe bsam gtan la brtet naH QeH pa la
   des kyaṅ so soḥi skye boḥi snas skabs na ḥjig rten paḥi lam gyis ḥdod pa	deH kyaF saH soHi skye boHi snaH skabs naH Hjik rtet paHi lam gyiH Hdot pa
   na spyad paḥi ñon moṅs pa thams cad spaṅs pas de bsam gtan gyi dṅos gṣiḥi	na spyat paHi Qon mA uFs paH TamH cat spaFs paH de bsam gtan gyi dFoH gziHi
   ḥbras bu ma yin no. sems kyi skad cig ma bcu drug la deḥi tha maḥi cha daṅ	HbraH bu me yit no. sems kyi skat cij me bcu druj la deHi Ta maHi Ca daF
   mthun pa spaṅs pa yoṅs su śes pa bsam gtan gyi dṅos gṣi la brten par yaṅ	mTun pa spaFs paH yoFH su SeH pa bsam gtan gyi dFoH gzi la brtet par yaF
   rnam par bṣag mod kyi deḥi ḥbras bu ṣes bya bar rnam par bṣag pa ni ma yin	rnam par bzaj moD kyi deHi HbraH bu zeH bya bar rnam par bzaj pa ni ma yin
   no. ḥo na ci ṣe na. gnas skabs de na tha maḥi cha daṅ mthun pa spaṅs pa	no. HaH na ci ze na. gnaH skabH de na Ta maHi Ca daF mTun pa spaFs pa
   ḥjig rten paḥi lam gyis thob paḥi bral baḥi thob pa zag pa med pa yaṅ	Hjik rtet paHi lam gyiH ToB paHi brat baHi Tob paH zaj pa met paH yaF
   ḥthob pas de spaṅ spaḥi yoṅs su śes par rnam par bṣag ste. deḥi tshe ni	HTob paH de spaj spaHi yoFH su SeH par rnam par bzaj ste. deHi tshe ni
   mthoṅ bas spaṅ bar bya ba sṅa ma spaṅs pas sṅar mthoṅ baḥi lam gyis spaṅ	mToF bas spaj bar byaH ba sFa me spaFs paH sFar mToF baHi lam gyiH spaF
   bar bya ba spaṅs pa gaṅ yin pa daṅ. sṅar spaṅs pa tha maḥi cha daṅ mthun	bar byaH ba spaFs paH gaF yin pa daF. sFar spaFs paH Ta maHi Ca dak mTun
   pa spaṅs pa bsdoms nas tha maḥi cha daṅ mthun pa spaṅs paḥi yoṅs su śes pa	pa spaFs paH bsdomH naH Ta maHi Ca daF mTun pa spaFs paHi yoFH su SeH pa
   gcig tu rnam par bṣag ste.	gcik tu rnam par bzaj ste.
   (Abhidh k vy 507)	(a aBiD k vi 507)
   khams las ḥdod chags bral ba daṅ ḥbras bu thob phyir de dag bsdoms ṣes	Kams laH Hdot CagH brat ba daF HbraH bu ToB PyiH de dak bsdomH zeH 
   thams cad bsdoms paḥi gtan tshigs yod paḥi phyir ro. de lta bas na tha	TamH cat bsdomH paHi gtan tshigH yot paHi PyiH ro. de lta bas na Ta
   maḥi cha daṅ mthun pa spaṅs paḥi yoṅs su śes pa de ni mi lcogs pa med paḥi	maHi Ca daF mTun pa spaFs paHi yoFH su SeH paH de ni mi lcogH pa met paHi
   ḥbras bu kho nar rnam pa bṣag gi. dṅos gṣiḥi ḥbras bu ni ma [Tib. 167b]	HbraH bu KaH nar rnam pa bzaj gi. dFoH gziHi HbraH bu ni me [Ti b. 167b]
   yin te. ḥdi la ni bye brag tu smra ba daṅ. btsun pa dbyaṅs sgrogs kyi gṣuṅ	yin te. Hdi la ni bye braj tu smra ba daF. btsun paH dbyaF sgrogH kyi gzuF
   lugs mthun no.	lugH mTut no.
   bsam gtan khyad par can yaṅ bsams bṣin du blta bar byaḥo ṣes bya ba ni	bsam gtan Kyat par can yak bsamH bzin du blta bar byaHaH zeH bya ba ni
   bsam gtan khyad par can gyi zag pa med pas kyaṅ ñon moṅs pa spoṅ bar ḥgyur	bsam gtan Kyat par can gyi zaj pa met paH kyaF Qon mA uFs paH spoF bar HgyuH 
   te. de lta bas na mi lcogs pa med pa daṅ. dṅos gṣiḥi bsam gtan rnams kho	te. de lta bas na mi lcogH pa met pa daF. dFoH gziHi bsam gtan rnamH Ko
   naḥi ḥbras bu kho na bśad kyi. bsam gtan khyad par can gyi ni ma yin no.	naHi HbraH bu KaH na bSat kyi. bsam gtan Kyat par can gyi ni me yit no.
   deḥi phyir bsam gtan khyad par can yaṅ bsam gtan bṣin du blta bar byaḥo	deHi PyiH bsam gtan Kyat par can yak bsam gtan bzin du blta bar byaHaH 
   ṣes bya ba smos te. bsam gtan khyad par can ni bsam gtan daṅ po kho na	zeH bya ba smoH te. bsam gtan Kyat par can ni bsam gtan daF paH KaH na
   rtog pa daṅ bral bas khyad par du ḥphags paḥi phyir ro. [nam mkhaḥ mthaḥ	rtok paH daF brat baH Kyat par du HPagH paHi PyiH ro. [nam mKaH mTaH
   yas skye mched kyi ñer bsdogs kyi ṣes ba ba ni.] dhyānāṃtaraṃ bhavatīti.	yaH skye mCed kyi QeH bsda ugH kyi zeH ba ba ni.] DyAna aMtaram Bavati iti.
   ākāśānaṃtyāyatanasāmaṃtakasyeti. laukikasyāpi tasya parijñā phalaṃ	AkASAnaMtyAyatana sAmaMtakasya iti. lOkikasya api tasya parijQA Palam
   vyavasthāpyate. āryasyaivānāsravavisaṃyogaprāptisaṃbhavāt.	vyavasTApyate. Aryasya eva anAsrava visaMyoga prApti saMBavAt.
   maulārūpyatrayasya cety	mOlA rUpya trayasya ca iti 
   anāsravasya.	anAsravasya.
   laukikasya mārgasya dve	lOkikasya mArgasya dve
   iti. āryasya laukikena mārgeṇa kāmarūpadhātuvairāgye.	iti. Aryasya lOkikena mArgeNa kAmarUpa DAtu vErAgye.
   anvayajñānasyāpi dve	anvaya jQAnasya api dve
   iti. bhāvanāmārgasaṃgṛhītasya. paścime	iti. BAvanA mArga saMgRhItasya. paScime
   rūparāgakṣayasarvasaṃyojanaparyādānaaparijñe.	rUpa rAga kzaya sarva saMyojana paryAdAnaa parijQe.
   dharmajñānasya tisra	Darma jQAnasya tisra
   iti. bhāvanāmārgasaṃgṛhītasya.	iti. BAvanA mArga saMgRhItasya.
   dharmajñānaṃ nirodhe yan mārge vā bhāvanāpathe	Darma jQAnam niroDe yat mArge vA BAvanA paTe
   tridhātupratipakṣas tad	tri DAtu pratipakzaH tat 
   iti. tasya paścimās tisraḥ phalam	iti. tasya paScimAH tisraH Palam
   avarabhāgīyaprahāṇarūparāgakṣayasarvasaṃyojanaparyādānaparijñāḥ. kasmād	avara BAgIya prahANa rUpa rAga kzaya sarva saMyojana paryAdAna parijQAH. kasmAt 
   ity āha. [Tib. 168a] traidhātukabhāvanāheyapratipakṣatvād iti.	iti Aha. [Ti b. 168a] trEDAtuka BAvanA heya pratipakza tvAt iti.
   ṣaṭ tatpakṣasya paṃca veti.	zaw tad pakzasya paMca vA iti.
   tayor dharmajñānānvayajñānayoḥ pakṣasya. ṣaṭ paṃca ca yathāyogaṃ	tayoH Darma jQAna anvaya jQAnayoH pakzasya. zaw paMca ca yaTAyogam
   pakṣagrahaṇena kṣāṃtijñānayor grahaṇaṃ. yā eva dharmajñānakṣāṃtijñānānām	pakza grahaNena kzAMti jQAnayoH grahaNaM. yAH eva Darma jQAna kzAMti jQAnAnAm
   (Abhidh k vy 508) iti. dharmajñānakṣāṃtīnāṃ dharmajñānānāṃ ceti samāsaḥ.	(a aBiD k vi 508) iti. Darma jQAnakzAMtInAm Darma jQAnAnAm ca iti samAsaH.
   dharmajñānakṣāṃtīnāṃ kāmāvacaradarśanaheyaprahāṇasvabhāvā yathoktas tisraḥ	Darma jQAnakzAMtInAm kAma avacara darSana heya prahANa svaBAvAH yaTA uktaH tisraH
   parijñāḥ phalaṃ. dharmajñānānām iti bhāvanāmārge.	parijQAH PalaM. Darma jQAnAnAm iti BAvanA mArge.
   duḥkhasamudayajñānasaṃgṛhītānām ekāvarabhāgīyaprahāṇaparijñā.	duHKa samudaya jQAna saMgRhItAnAm ekAvara BAgIya prahANa parijQA.
   nirodhamārgasaṃgṛhītānāṃ tu tisro 'py	niroDa mArga saMgRhItAnAm tu tisraH api 
   avarabhāgīyaprahāṇarūparāgakṣayasarvasaṃyojanaparyādānaparijñāḥ. yā	avara BAgIya prahANa rUpa rAga kzaya sarva saMyojana paryAdAna parijQAH. yA
   evānvayakṣāṃtijñānānām iti. anvayajñānakṣāṃtīnāṃ anvayajñānānāṃ ca. tāś ca	eva anvayakzAMti jQAnAnAm iti. anvayajQAnakzAMtInAm anvaya jQAnAnAm ca. tAH ca
   rūpārūpyāvacaradarśanaheyaprahāṇasvabhāvā yathoktās tisraḥ parijñāḥ dve ca	rUpa ArUpya avacara darSana heya prahANa svaBAvAH yaTA uktAH tisraH parijQAH dve ca
   paścime iti.	paScime iti.
   (V.67) kasmān naikaikaṃ prahāṇam iti.	(V.67) kasmAt na ekEkam prahANam iti.
   duḥkhadarśanaheyaprahāṇasamudayadarśanaheyaprahāṇaṃ vistareṇa yāvad	duHKa darSana heya prahANa samudaya darSana heya prahANam vistareNa yAvat 
   bhāvāgrikasya mṛdumṛdoḥ prakārasya prahāṇam iti kasmān na gṛhyate.	BAva Agrikasya mRdu mRdoH prakArasya prahANam iti kasmAt na gRhyate.
   anāsravaviyogāpter [Tib. 168b]	anAsrava viyoga ApteH [Ti b. 168b]
   iti. anāsravavisaṃyogaprāpter ity arthaḥ.	iti. anAsrava visaMyoga prApteH iti arTaH.
   bhavāgravikalīkṛter	Bava agra vikalIkRteH 
   iti. bhavāgrapradeśaprahāṇād ity arthaḥ.	iti. Bava agra pradeSa prahANAt iti arTaH.
   hetudvayasamudghātād	hetu dvaya samudGAtAt 
   iti. duḥkhasamudayadarśanaheyasarvatragahetudvayaprahāṇād ity arthaḥ.	iti. duHKa samudaya darSana heya sarvatraga hetu dvaya prahANAt iti arTaH.
   tatprahāṇaṃ	tad prahANam
   parijñeti.	parijQA iti.
   ebhiḥ kāraṇaiḥ prakṛṣṭaṃ tatprahāṇam ity atra parijñeti vyavasthāpyata ity	eBiH kAraNEH prakRzwam tad prahANam iti atra parijQA iti vyavasTApyate iti 
   abhiprāyaḥ. anyeṣu dharmānvayajñāneṣv iti. samudayadharmajñānam ārabhya	aBiprAyaH. anyezu Darma anvaya jQAnezu iti. samudaya Darma jQAnam AraBya
   yāvat kṣayajñānam ity eteṣu dharmajñānānvayajñāneṣu. jñānaphalaṃ tu	yAvat kzaya jQAnam iti etezu Darma jQAna anvaya jQAna izu. jQAna Palam tu
   prahāṇam iti. bhāvanāmārge. tad dhi na kṣāṃtiphalam iti.	prahANam iti. BAvanA mArge. tat Di na kzAMti Palam iti.
   dhātvatikramād	DAtu atikramAt 
   iti. caśabdo luptanirdiṣṭaḥ. dhātvatikramāc ceti. ata eva vivriyate	iti. caSabdaH lupta nirdizwaH. DAtu atikramAt ca iti. atas eva vivriyate
   caturthāc ceti. yadā dhātuṃ samatikrāmatīti. kāmadhātuṃ rūpadhātum	caturTAt ceti. yadA DAtum samatikrAma ti iti. kAmaDAtum rUpa DAtum
   ārūpyadhātuṃ vā samatikrāmati. tadā parijñākhyāṃ labhata iti vākyaśeṣaḥ.	ArUpya DAtum vA samatikrAmati. tadA parijQA AKyAm laBate iti vAkya SezaH.
   kasmāt. kṛtsnadhātuvairāgyāt. kṛtsnasya dhātor vairāgyāt. na	kasmAt. kRtsna DAtu vErAgyAt. kRtsnasya DAtoH vErAgyAt. na
   vikalīkaraṇamātratvāt. tadā hi suṣṭhu prahāṇam ity abhiprāyaḥ.	vikalIkaraNa mAtra tvAt. tadA hi suzWu prahANam iti aBiprAyaH.
   ubhayasaṃyogavisaṃyogam iti. ālaṃbyālaṃbakakleśalakṣaṇaḥ saṃyoga	uBaya saMyoga visaMyogam iti. AlaMbya alaMbaka kleSa lakzaNaH saMyoga
   ubhayasaṃyogaḥ. tasmād visaṃyoga ubhayasaṃyogavisaṃyogaḥ. tat paṃcamaṃ	uBaya saMyogaH. tasmAt visaMyogaH uBaya saMyoga visaMyogaH. tat paMcamam
   kāraṇam āhur ābhidhārmikāḥ. [Tib. 169a] anena ca kāraṇena prahāṇaṃ	kAraNam AhuH ABiDArmikAH. [Ti b. 169a] anena ca kAraNena prahANam
   parijñety ucyata iti. yaḥ prakāraḥ prahīṇa iti duḥkhadarśanaprahātavyo	parijQA iti ucyate iti. yaH prakAraH prahINaH iti duHKa darSana prahAtavyaH 
   yāvaṃ mārgadarśanaprahātavyo bhāvanāprahātavyaś ca. yadi tatra prahīṇe	yAvam mArga darSana prahAtavyaH BAvanA prahAtavyaH ca. yadi tatra prahINe
   (Abhidh k vy 509) prakāre anyena tadālaṃbanena kleśena darśanaprahātavyena	(a aBiD k vi 509) prakAre anyena tad A AlaMbanena kleSena darSana prahAtavyena
   bhāvanāprahātavyena visaṃyukto bhavati. evam idam api paṃcamaṃ kāraṇaṃ	BAvanA prahAtavyena visaMyuktaH Bavati. evam idam api paMcamam kAraNam
   prahāṇasya parijñāvidhāne āhur apare. sa tu nānyad iti vistaraḥ. sa	prahANasya parijQA viDAne AhuH apare. sa tu na anyat iti vistaraH. sa
   tūbhayasaṃyoga ubhayahetusamudghātāt duḥkhadarśanaprahātavyasya	tu uBaya saMyogaH uBaya hetu samudGAtAt duHKa darSana prahAtavyasya
   samudayadarśanaprahātavyasya ca sarvatragahetoḥ samudghātād	samudaya darSana prahAtavyasya ca sarvatraga hetoH samudGAtAt 
   dhātusamatikramāc ca nānyaḥ. tathā hi duḥkhadarśanaprahātavyeṣu prahīṇeṣv	DAtu samatikramAt ca na anyaH. taTA hi duHKa darSana prahAtavyezu prahINezu 
   api na tāvad asti hetudvayasamudghāto yāvat tadālaṃbanaḥ	api na tAvat asti hetu dvaya samudGAtaH yAvat tadA alaMbanaH
   samudayadarśanaprahātavyaḥ sarvatragahetur aprahīṇo bhavati.	samudaya darSana prahAtavyaH sarvatraga hetuH aprahINaH Bavati.
   bhāvanāprahātavyeṣu ca prahīṇeṣv api yāvad aṣṭāsu prakāreṣu na tāvad	BAvanA prahAtavyezu ca prahINezu api yAvat azwAsu prakArezu na tAvat 
   dhātvatikramo 'sti yāvan na navamasyāpi prakārasya prahāṇam ity ato na	DAtu atikramaH asti yAvat na navamasya api prakArasya prahANam iti atas na
   punar brūmaḥ.	punar brUmaH.
   (V.68) naikayeti	(V.68) na ekayA iti
   vistaraḥ. pṛthagjanas tāvan naiva samanvāgataḥ.	vistaraH. pRTagjanaH tAvat na eva samanvAgataH.
   anāsravavisaṃyogaprāptyabhāvāt. āryo 'pi darśanamārgastho yāvat	anAsrava visaMyoga prApti aBAvAt. AryaH api darSana mArga sTaH yAvat 
   samudayadharmajñānakṣāṃtau. yāvacchabdena	samudaya Darma jQAna kzAMtO. yAvat Sabdena
   duḥkhadharmānvayajñānakṣāṃtijñāneṣu samudayadharmajñānakṣāṃtau ca naiva	duHKa Darma anvaya jQAnakzAMti jQAnezu samudaya Darma jQAna kzAMtO ca na eva
   samanvāgataḥ. hetudvayasyāprahīṇatvāt. samudayadharmajñāna ekayā	samanvAgataH. hetu dvayasya aprahINa tva at. samudaya Darma jQAne ekayA
   samanvāgataḥ samudayānvayajñānakṣāṃtāv apy ekayaiva samanvāgata ity	samanvAgataH samudaya anvaya jQAna kzAMtO api ekayA eva samanvAgataH iti 
   avagaṃtavyaṃ. samudayānvayajñāne dvābhāṃ pūrvoktayā ekayā	avagaMtavyan. samudaya anvaya jQAne dvABAm pUrva uktayA ekayA
   kāmāvacaraduḥkhasamudayadarśanaheyaprahāṇaparijñayā	kAma avacara duHKa samudaya darSana heya prahANa parijQayA
   rūpārūpyāvacaraduḥkhasamudayadarśanaprahāṇaparijñayā ca.	rUpa ArUpya avacara duHKa samudaya darSana prahANa parijQayA ca.
   nirodhadharmajñānakṣāṃtāv api dvābhyām eva. nirodhadharmajñāne tisṛbhir	niroDa Darma jQAna kzAMtO api dvAByAm eva. niroDa Darma jQAne tisRBiH 
   iti neyaṃ. yāvat paṃcabhir darśanāsthaḥ samanvāgato na ṣaḍbhiḥ ṣoḍaśasya	iti na iyan. yAvat paMcaBiH darSana AsTaH samanvAgataH na zaxBiH zoxaSasya
   kṣaṇasya bhāvanāmārgasaṃgṛhītatvāt. mārgānvayajñāne ṣaḍbhir iti.	kzaNasya BAvanA mArga saMgRhIta tvAt. mArga anvaya jQAne zaxBiH iti.
   pūrvoktābhiś ca rūpārūpyāvacaramārgadarśanaprahāṇaparijñayā ca. nanu ca	pUrva uktABiH ca rUpa ArUpya avacara mArga darSana prahANa parijQayA ca. nanu ca
   paścād vakṣyati.	paScAt vakzyati.
   catuḥphalavyavasthā tu paṃca kāraṇasaṃbhavāt	catur Pala vyavasTA tu paMca kAraNa saMBavAt 
   pūrvatyāgo 'nyamārgāptiḥ kṣayasaṃkalaṇaṃ phale	pUrva tyAgaH anya mArga AptiH kzaya saMkalaNam Pale
   jñānāṣṭakasya lābho 'tha ṣoḍaśākārabhāvaneti.	jQAna azwakasya lABaH aTa zoxaSa AkAra BAvanA iti.
   bhavati prahāṇasaṃkalanaṃ. na tu parijñāsaṃkalanam ity avirodhaḥ. yāvat	Bavati prahANa saMkalanan. na tu parijQA saMkalanam iti aviroDaH. yAvat 
   kāmavairāgyaṃ na prāpta iti. yāvacchabdena	kAma vErAgyam na prAptaH iti. yAvat Sabdena
   bhāvanāheyakleśaprathamaprakāraprahāṇe [Tib. 170a] yāvad	BAvanA heya kleSa praTama prakAra prahANe [Tib. 170a] yAvat 
   aṣṭamaprakāraprahāṇe 'pi ṣaḍbhir eva samanvāgataḥ. parihīṇo 'pi tata iti.	azwama prakAra prahANe api zaxBiH eva samanvAgataH. parihINaH api tatas iti.
   kāmavairāgyaparihāṇyā hi tatsaṃkalanavigataḥ. kāmavairāgyaṃ prāptaḥ pūrvaṃ	kAma vErAgya parihANyAH hi tad saMkalana vigataH. kAma vErAgyam prAptaH pUrvam
   paścād veti. abhisamayāt pūrvaṃ paścād vā. kathaṃ. laukikena mārgeṇa	paScAt veti. aBisamayAt pUrvam paScAt vA. kaTaM. lOkikena mArgeNa
   kāmavītarāgo bhūtvā niyāmam avakrāṃto mārge 'nvayajñāne	kAma vIta rAgaH BUtvA niyAmam avakrAMtaH mArge anvaya jQAne
   ekayāvarabhāgīyaprahāṇaparijñayā samanvāgataḥ. yasmād asāv āryaḥ	eka yAvara BAgIya prahANa parijQayA samanvAgataH. yasmAt asO AryaH
   ṣoḍaśakṣaṇaṃ prāpto 'nāgāmy eva bhavati. na srotaāpannaḥ. sakṛdāgāmī	zoxa SakzaNam prAptaH anAgAmi eva Bavati. na srotaApannaH. sakRdAgAmI
   (Abhidh k vy 510) vā. paṃcāvarabhāgīyaprahāṇāc cānāgāmī iti paṭhyate.	(a aBiD k vI 510) vA. paMcAvara BAgIya prahANAt ca anAgAmI iti paWyate.
   tasmād darśanaheyaprahāṇānāṃ paṃcāvarabhāgīyaprahāṇasya ca saṃkalanād	tasmAt darSana heya prahANAnAm paMcAvara BAgIya prahANasya ca saMkalanAt 
   ekayaivāvarabhagīyaprahāṇaparijñayā samanvāgataḥ. paścād vābhisamayād	ekayA eva avara BagIya prahANa parijQayA samanvAgataH. paScAt vA aBisamayAt 
   ānupūrvikaḥ kāmavairāgyaprāpta ekayaivāvarabhāgīyaprahāṇaparijñayā	AnupUrvikaH kAma vErAgya prAptaH ekayA eva avara BAgIya prahANa parijQayA
   samanvāgataḥ. arhattvaprāpta ekayaiveti. tadā parijñāsaṃkalanāt. parihīṇo	samanvAgataH. arhat tva prAptaH ekayA eva iti. tadA parijQA saMkalanAt. parihINaH 
   'pi rūpāvacareṇeti. viśeṣaṇaṃ kāmāvacareṇa parihāṇau	api rUpAvacareNa iti. viSezaNam kAma avacareNa parihANO
   ṣaṭparijñāsamanvāgamaparihārārtham ārūpyāvacareṇa ca parihāṇau	zaz parijQA samanvAgama parihAra arTam ArUpya avacareNa ca parihANO
   dviparijñāsamanvāgamaparihārārtham iti. rūpavairāgyaṃ [Tib. 170b] prāpto	dvi parijQAsam anvAgama parihAra arTam iti. rUpa vErAgyam [Ti b. 170b] prAptaH 
   dvābhyām iti. anāgāmī rūpavītarāga ity arthaḥ. dhātuvairāgyeṇa kasmān na	dvAByAm iti. anAgAmI rUpa vIta rAgaH iti arTaH. DAtu vErAgyeNa kasmAt na
