   Pāṇḍulohitakavastu	PANxu-lohitakavaH-tu
   Pāṇḍ-v 7.5.9 śṛṇotu bhadantāḥ saṃghaḥ / ayam udāyī bhikṣuḥ saṃghāvaśeṣām	PANx-u 7.5.9 SRNotu BadantAH saMGaH / ayam udAyI BikzuH saMGa-avaSezAm
   āpattim āpannaḥ saṃcintyaśukravisṛṣṭisamutthitām ardhamāsapraticchannāṃ /	Apattim ApannaH saMcintya-Sukra-visRzwi-samutTitAm arDa-mAsa-praticCannAm /
   tenānena udāyinā bhikṣuṇā asyāḥ saṃghāvaśeṣāyā āpatteḥ	tena-anena udAyinA BikzuNA asyAH saMGa-avaSezAyAH ApatteH
   saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyāḥ saṃghād	saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH saMGAd
   ardhamāsaṃ parivāso yācitaḥ / datto 'sya saṃghena udāyino bhikṣor asyāḥ	arDa-mAsam parivAsaH yAcitaH / dattaH asya saMGena udAyinaH BikzoH asyAH
   saṃghāvaśeṣāyā āpatteḥ saṃcintyaśukravisṛṣṭisamutthitāyā	saMGa-avaSezAyAH ApatteH saMcintya-Sukra-visRzwi-samutTitAyAH-
   ardhamāsapraticchannāyā ardhamāsaṃ parivāsaḥ / so 'yaṃ pārivāsika eva san*	arDa-mAsa-praticCannAyAH arDa-mAsam parivAsaH / saH ayam pArivAsikaH eva san*
   saṃghāvaśeṣām āpattim āpanno 'ntarāpattiṃ pūrvāpattipratirūpāṃ	saMGO=-aSezAm Apattim ApannaH antarApattim pUrva-Apatti-pratirUpAm
   praticchannāṃ / tenānena udāyinā bhikṣuṇā asyāḥ saṃghāvaśeṣāyā āpatteḥ	praticCannAm / tena-anena udAyinA BikzuNA asyAH saMGa-avaSezAyAH ApatteH
   antarāpatteḥ (302r1 = GBM 916) pūrvāpattipratirūpāyāḥ praticchannāyāḥ	antarApatteH (302r1  GBm 916) pUrva-Apatti-pratirUpAyAH praticCannAyAH
   saṃghān mūlaparivāso yācitaḥ / datto 'sya saṃghena udāyino bhikṣor asyāḥ	saMGAn mUla-parivAsaH yAcitaH / dattaH asya saMGena udAyinaH BikzoH asyAH
   saṃghāvaśeṣāyā āpatteḥ antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyā	saMGa-avaSezAyAH ApatteH antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyA
   mūlaparivāsaḥ / so 'yaṃ mūlapārivāsika eva san* saṃghāvaśeṣām āpattim	mUla-parivAsaH / saH ayam mUla-pArivAsikaH eva san* saMGa-a=-aSezAm Apattim
   āpannaḥ pratyantarāpattim antarāpattipratirūpāṃ praticchannāṃ / tenānena	ApannaH pratyantara-Apattim antarApatti-pratirUpAm praticCannAm / tena-anena
   udāyinā bhikṣuṇā asyāḥ saṃghāvaśeṣāyā āpatteḥ pratyantarāpatter	udAyinA BikzuNA asyAH saMGa-avaSezAyAH ApatteH pratyantara-ApatteH-
   antarāpattipratirūpāyāḥ praticchannāyāḥ saṃghān mūlāpakarṣo yācitaḥ /	antarApatti-pratirUpAyAH praticCannAyAH saMGAn mUla-apakarzaH yAcitaH /
   datto 'sya saṃghena udāyino bhikṣor asyāḥ saṃghāvaśeṣāyāḥ	dattaH asya saMGena udAyinaH BikzoH asyAH saMGa-avaSezAyAH
   pratyantarāpatter antarāpattipratirūpāyāḥ praticchannāyā mūlāpakarṣaḥ /	pratyantara-ApatteH antarApatti-pratirUpAyAH praticCannAyAH mUla-apakarzaH /
   tenānena udāyinā bhikṣuṇā asyāḥ saṃghāvaśeṣāyā āpatteḥ	tena-anena udAyinA BikzuNA asyAH saMGa-avaSezAyAH ApatteH
   saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyāḥ	saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH
   paryuṣitaparivāsenāntarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyā	paryuzita-parivAsena-antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyA
   mūlaparivāsaparyuṣitena pratyantarāpatteḥ antarāpattipratirūpāyāḥ	mUla-parivAsa-paryuzitena pratyantara-ApatteH antarApatti-pratirUpAyAH
   praticchannāyā mūlāpakarṣaparyuṣitena saṃghāt ṣaḍrātraṃ mānāpyaṃ yācitaṃ /	praticCannAyAH mUla-apakarza-paryuzitena saMGAt zaz-rAtram mAnApyam yAcitam /
   dattam asya saṃghena udāyino bhikṣor asyāḥ saṃghāvaśeṣāyā āpatteḥ	dattam asya saMGena udAyinaH BikzoH asyAH saMGa-avaSezAyAH ApatteH
   saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyāḥ	saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH
   paryuṣitaparivāsasyāntarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyā	paryuzita-parivAsasya-antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyA
   mūlaparivāsaparyuṣitasya pratyantarāpatter antarāpattipratirūpāyāḥ	mUla-parivAsa-paryuzitasya pratyantara-ApatteH antarApatti-pratirUpAyAH
   praticchannāyā mūlāpakarṣaparyuṣitasya ṣaḍrātraṃ mānāpyaṃ / so 'yam udāyī	praticCannAyAH mUla-apakarza-paryuzitasya zaz-rAtram mAnApyam / saH ayam udAyI
   bhikṣur asyāḥ saṃghāvaśeṣāyā āpatteḥ saṃcintyaśukravisṛṣṭisamutthitāyā	BikzuH asyAH saMGa-avaSezAyAH ApatteH saMcintya-Sukra-visRzwi-samutTitAyAH-
   ardhamāsapraticchannāyāḥ paryuṣitaparivāsaḥ antarāpatteḥ	arDa-mAsa-praticCannAyAH paryuzita-parivAsaH antarApatteH
   pūrvāpattipratirūpāyāḥ praticchannāyā mūlaparivāsaparyuṣitaḥ	pUrva-Apatti-pratirUpAyAH praticCannAyAH mUla-parivAsa-paryuzitaH
   pratyantarāpatter antarāpattipratirūpāyāḥ praticchannāyā	pratyantara-ApatteH antarApatti-pratirUpAyAH praticCannAyA
   mūlāpakarṣaparyuṣitaḥ ṣaḍrātraṃ caritamānāpyaṃ saṃghād āvarhaṇaṃ yācate /	mUla-apakarza-paryuzitaH zaz-rAtram caritam-AnApyam saMGAt AvarhaNam yAcate /
   tat saṃgha udāyinaṃ bhikṣum asyāḥ saṃghāvaśeṣāyā āpatteḥ	tat saMGaH udAyinam Bikzum asyAH saMGa-avaSezAyAH ApatteH
   saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyāḥ	saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH
   paryuṣitaparivāsam antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyā	paryuzita-parivAsam antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyA
   mūlaparivāsaparyuṣitaṃ pratyantarāpatter antarāpattipratirūpāyāḥ	mUla-parivAsa-paryuzitam pratyantara-ApatteH antarApatti-pratirUpAyAH
   praticchannāyā mūlāpakarṣaparyuṣitaṃ ṣaḍrātraṃ caritamānāpyam āvarhati /	praticCannAyAH mUla-apakarza-paryuzitam zaz-rAtram caritam-AnApyam Avarhati /
   yeṣām āyuṣmatāṃ kṣamate udāyinaṃ bhikṣum asyāḥ saṃghāvaśeṣāyā āpatteḥ	yezAm AyuzmatAm kzamate udAyinam Bikzum asyAH saMGa-avaSezAyAH ApatteH
   saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyāḥ	saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH
   paryuṣitaparivāsam antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyā	paryuzita-parivAsam antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyA
   mūlaparivāsaparyuṣitaṃ pratyantarāpatter antarāpattipratirūpāyāḥ	mUla-parivAsa-paryuzitam pratyantara-ApatteH antarApatti-pratirUpAyAH
   praticchannāyā mūlāpakarṣaparyuṣitaṃ ṣaḍrātraṃ caritamānāpyam āvarhituṃ te	praticCannAyAH mUla-apakarza-paryuzitam zaz-rAtram caritam-AnApyam Avarhitum te
   tūṣṇīṃ na kṣamate bhāṣantāṃ / iyaṃ prathamā karmavācanā / evaṃ dvitīyā	tUzNIm na kzamate BAzantAm / iyam praTamA karma-vAcanA / evam dvitIyA
   tṛtīyā karmavācanā kartavyā Ś āvarhitaḥ saṃghena udāyī bhikṣur asyāḥ	tRtIyA karma-vAcanA kartavyA Ś AvarhitaH saMGena udAyI BikzuH asyAH
   saṃghāvaśeṣāyā āpatteḥ saṃcintyaśukravisṛṣṭisamutthitāyā (302v1 = GBM 917)	saMGa-avaSezAyAH ApatteH saMcintya-Sukra-visRzwi-samutTitAyAH (302v1  GBm 917)
   ardhamāsapraticchannāyāḥ paryuṣitaparivāsaḥ antarāpatteḥ	arDa-mAsa-praticCannAyAH paryuzita-parivAsaH antarApatteH
   pūrvāpattipratirūpāyāḥ praticchannāyā mūlaparivāsaparyuṣitaḥ	pUrva-Apatti-pratirUpAyAH praticCannAyAH mUla-parivAsa-paryuzitaH
   pratyantarāpatter antarāpattipratirūpāyāḥ praticchannāyā	pratyantara-ApatteH antarApatti-pratirUpAyAH praticCannAyA
   mūlāpakarṣaparyuṣitaḥ ṣaḍrātraṃ caritamānāpyaṃ / kṣāntam anujñātaṃ	mUla-apakarza-paryuzitaH zaz-rAtram caritam-AnApyam / kzAntam anujQAtam
   saṃghena yasmāt tūṣṇīm evam etad dhārayāmi //	saMGena yasmAt tUzNIm evam etat DArayAmi //
   Pāṇḍ-v 7.5.10 tataḥ paścād utsāhayitavyaḥ / sādhu udāyin kṛtaṃ suṣṭhu	PANx-u 7.5.10 tatas paScAt utsAhayitavyaH / sADu udAyin kRtam suzWu
   kṛtaṃ / dvau paṇḍitau dvau vyaktau dvau satpuruṣau / yaś cāpattiṃ	kRtam / dvO paNxitO dvO vyaktO dvO sat-puruzO / yaH ca-Apattim
   nāpadyate yaś cāpattim āpanno yathādharmaṃ pratikaroti / dvau dharmolkāṃ	na-Apadyate yaH ca-Apattim ApannaH yaTADarmam pratikaroti / dvO Darma-ulkAm
   prajvālayato dharmālokaṃ dharmābhāṃ dharmaprabhāṃ dharmāvabhāsaṃ	prajvAlayataH Darma-Alokam Darma-ABAm Darma-praBAm Darma-avaBAsam
   dharmapradīpaṃ dharmapradyotaṃ / katamau dvau / yaś cāpattiṃ nāpadyate yaś	Darma-pradIpam Darma-pradyotam / katamO dvO / yaH ca-Apattim na-Apadyate yaH-
   cāpattim āpanno yathādharmaṃ pratikaroti // dvāv aghamūlaṃ khanataḥ	ca-Apattim ApannaH yaTADarmam pratikaroti // dvO aGa-mUlam KanataH
   pratisroto vyāyacchataḥ saritāṃ latāṃ śoṣayato māraṃ yodhayato māradhvajaṃ	pratisrotas vyAyacCataH saritAm latAm SozayataH mAram yoDayataH mAraDvajam
   pātayato dharmadhvajam ucchrāpayataḥ pāpīyasaḥ srotaḥ chedayatas	pAtayataH Darma-Dvajam ucCrApayataH pApIyasaH srotaH Cedayatas
   tathāgatasya dharmyaṃ dharmacakraṃ pravartitam anupravartayataḥ / katamau	taTAgatasya Darmyam Darma-cakram pravartitam anupravartayataH / katamO
   dvau / yaś cāpattiṃ nāpadyate yaś cāpattim āpanno yathādharmaṃ pratikaroti	dvO / yaH ca-Apattim na-Apadyate yaH ca-Apattim ApannaH yaTADarmam pratikaroti
   Pāṇḍ-v 7.5.11 anayā tvam udayinn āpattyā deśitayā pratideśatayā bhavyo	PANx-u 7.5.11 anayA tvam udayin ApattyA deSitayA pratideSa-tayA BavyaH-
   'nityasaṃjñāyā anitye duḥkhasaṃjñāyā duḥkhe anātmasaṃjñāyā āhāre	anitya-saMjQAyAH anitye duHKa-saMjQAyAH duHKe anAtma-saMjQAyAH AhAre
   pratikūlasaṃjñāyāḥ sarvaloke anabhiratisaṃjñāyā ādīnavasaṃjñāyāḥ	pratikUla-saMjQAyAH sarva-loke anaBirati-saMjQAyAH AdInava-saMjQAyAH
   prahāṇasaṃjñāyā virāgasaṃjñāyā nirodhasaṃjñāyā maraṇasaṃjñāyā	prahANa-saMjQAyAH virAga-saMjQAyAH niroDa-saMjQAyAH maraNa-saMjQAyAH-
   aśubhasaṃjñāyā vinīlakasaṃjñāyā vipūyakasaṃjñāyā vipaḍumakasaṃjñāyā	aSuBa-saMjQAyAH vinIlaka-saMjQAyAH vipUyaka-saMjQAyAH vipaxumaka-saMjQAyA
   vyādhmātakasaṃjñāyā vikhāditakasaṃjñāyā vilohitakasaṃjñāyā	vyADmAtaka-saMjQAyAH viKAditaka-saMjQAyAH vilohitaka-saMjQAyAH-
   vikṣiptakasaṃjñāyā asthisaṃjñāyāḥ śūnyatāpratyavekṣaṇasaṃjñāyāḥ Ś bhavyaḥ	vikziptaka-saMjQAyAH asTi-saMjQAyAH SUnyatA-pratyavekzaNa-saMjQAyAH Ś BavyaH
   prathamasya dhyānasya dvitīyasya tṛtīyasya dhyānasya caturthasya maitryāḥ	praTamasya DyAnasya dvitIyasya tRtIyasya DyAnasya caturTasya mEtryAH
   karuṇāyā muditāyā upekṣāyā ākāśānantyāyatanasya vijñānānantyāyatanasya	karuNAyAH muditAyAH upekzAyAH AkASAnantya-Ayatanasya vijQAnAnanti-Ayatanasya
   ākiñcanyāyatanasya naivasaṃjñānāsaṃjñāyatanasya srotaāpattiphalasya	AkiQcani-Ayatanasya na-eva-saMjQAna-asaMjQA-Ayatanasya srotaApatti-Palasya
   sakṛdāgāmiphalasya anāgāmiphalasya riddhiviṣayasya divyasya śrotrasya	sakRdAgAmi-Palasya anAgAmi-Palasya ridDi-vizayasya divyasya Srotrasya
   cetaḥparyāyasya pūrvanivāsasya cyutyupapādasyāsravakṣayasya /	cetaH-paryAyasya pUrva-nivAsasya cyuti-upapAdasya-Asrava-kzayasya /
   Pāṇḍ-v 7.5.12 anayā te udāyinn āpattyā deśitayā pratideśitayā dvayor	PANx-u 7.5.12 anayA te udAyin ApattyA deSitayA pratideSitayA dvayoH-
   gatyor anyatarānyatarā gatiḥ pratikāṃkṣitavyā devā vā mauṣyā vā // uktaṃ	gatyoH anyatara-anyatarA gatiH pratikAMkzitavyAH devAH vA mOzyAH vA // uktam
   bhagavatā dve apraticchannakarmāntasya gatī devā vā manuṣyā vā / ye me	BagavatA dve apraticCanna-karmAntasya gatI devAH vA manuzyAH vA / ye me
   bhāṣitaṃ abhiśraddhāsyanti na te praticchādayitavyaṃ manyanta iti / punaś	BAzitam aBiSradDAsyanti na te praticCAdayitavyam manyante iti / punar-
   coktaṃ /	ca-uktam /
   channam evābhivarṣati vivṛtaṃ nābhivarṣati Ś	Cannam eva-aBivarzati vivRtam na-aBivarzati Ś
   tasmāc channaṃ vivṛṇuyād evaṃ taṃ nābhivarṣati //	tasmAt Cannam vivRNuyAt evam tam na-aBivarzati //
   āvarhitas tvam udāyi saṃghena / apramādena saṃpādaya //	AvarhitaH tvam udAyi saMGena / apramAdena saMpAdaya //
   // pāṇḍulohitakavastu samāptaḥ //	// pANxu-lohita-kavaH-tu samAptaH //
