   Kātyāyanasmṛtisāroddhāraḥ	KAtyAyana-smRti-sAra-udDAraH
   etat sarvaṃ vibhāge tu vibhājyaṃ naiva rikthibhiḥ // K_877 //	etat sarvam viBAge tu viBAjyam na-eva rikTiBiH // K_877 //
   dhvajāhṛtaṃ bhaved yat tu vibhājyaṃ naiva tat smṛtam /	Dvaja-AhRtam Bavet yat tu viBAjyam na-eva tat smRtam /
   saṃgrāmād āhṛtaṃ yat tu vidrāvya dviṣatāṃ valam /	saMgrAmAt AhRtam yat tu vidrAvya dvizatAm valam /
   svāmyarthe jīvitaṃ tyaktvā tad dhvajāhṛtam ucyate // K_878 //	svAmi-arTe jIvitam tyaktvA tat Dvaja-AhRtam ucyate // K_878 //
   yal labdhaṃ dānakāle tu svajātyā kanyayā saha /	yat labDam dAna-kAle tu sva-jAtyA kanyayA saha /
   kanyāgataṃ tu tad vittaṃ śuddhaṃ vṛddhikaraṃ smṛtam // K_879 //	kanyA-gatam tu tat vittam SudDam vRdDi-karam smRtam // K_879 //
   vaivāhikaṃ tu tad vidyād bhāryayā yat sahāgatam /	vEvAhikam tu tat vidyAt BAryayA yat saha-Agatam /
   dhanam evaṃvidhaṃ sarvaṃ vijñeyaṃ dharmasādhakam // K_880 //	Danam evaMviDam sarvam vijQeyam Darma-sADakam // K_880 //
   vivāhakāle yat kiṃcid varāyoddiśya dīyate /	vivAha-kAle yat kiMcid varAya-uddiSya dIyate /
   kanyāyās tad dhanaṃ sarvam avibhājyaṃ ca bandhubhiḥ // K_881 //	kanyAyAH tat Danam sarvam aviBAjyam ca banDuBiH // K_881 //
   dhanaṃ patraniviṣṭaṃ tu dharmārthaṃ ca nirūpitam /	Danam patra-nivizwam tu Darma-arTam ca nirUpitam /
   udakaṃ caiva dāsaś ca nibandho yaḥ kramāgataḥ // K_882 //	udakam ca-eva dAsaH ca nibanDaH yaH krama-AgataH // K_882 //
   dhṛtaṃ vastram alaṃkāro nānurūpaṃ tu yad bhavet /	DRtam vastram alaMkAraH na-anurUpam tu yat Bavet /
   yathā kālopayogyāni tathā yojyāni bandhubhiḥ // K_883 //	yaTA kAla-upayogyAni taTA yojyAni banDuBiH // K_883 //
   gopracāraś ca rakṣā ca vastraṃ yac cāṅgayojitam /	go-pracAraH ca rakzA ca vastram yat ca-aFga-yojitam /
   prayojyaṃ na vibhajyeta dharmārthaṃ ca bṛhaspatiḥ // K_884:1 //	prayojyam na viBajyeta Darma-arTam ca bRhaspatiH // K_884:1 //
   deśasya jāteḥ saṅghasya dharmo grāmasya yo bhṛguḥ /	deSasya jAteH saFGasya DarmaH grAmasya yaH BRguH /
   uditaḥ syāt sa tenaiva dāyabhāgaṃ prakalpayet // K_884:2 //	uditaH syAt sa tena-eva dAya-BAgam prakalpayet // K_884:2 //
   [pracchāditarikthasya punarvibhāgaḥ]	[pracCAdita-rikTasya punar-viBAgaH]
   pracchāditaṃ yadi dhanaṃ punar āsādya tat samam /	pracCAditam yadi Danam punar AsAdya tat samam /
   bhajeran bhrātṛbhiḥ sārdham abhāve hi pituḥ sutāḥ // K_885 //	Bajeran BrAtRBiH sArDam aBAve hi pituH sutAH // K_885 //
   anyonyāpahṛtaṃ dravyaṃ durvibhaktaṃ ca yad bhavet /	anyonya-apahRtam dravyam durviBaktam ca yat Bavet /
   paścāt prāptaṃ vibhajyeta samabhāgena tad bhṛguḥ // K_886 //	paScAt prAptam viBajyeta sama-BAgena tat BRguH // K_886 //
   vibhaktenaiva yat prāptaṃ dhanaṃ tasyaiva tad bhavet /	viBaktena-eva yat prAptam Danam tasya-eva tat Bavet /
   hṛtaṃ naṣṭaṃ ca yal labdhaṃ prāg uktaṃ ca punar bhajet // K_887 //	hRtam nazwam ca yat labDam prAk uktam ca punar Bajet // K_887 //
   bandhunāpahṛtaṃ dravyaṃ balān naiva pradāpayet /	banDunA-apahRtam dravyam balAt na-eva pradApayet /
   bandhūnām avibhaktānāṃ bhogaṃ naiva pradāpayet // K_888 //	banDUnAm aviBaktAnAm Bogam na-eva pradApayet // K_888 //
   kṣetraṃ sādhāraṇaṃ tyaktvā yo 'nyadeśaṃ samāśritaḥ /	kzetram sADAraNam tyaktvA yaH anya-deSam samASritaH /
   tad vaṃśyasyāgatasyāṃśaḥ pradātavyo na saṃśayaḥ // K_889 //	tat vaMSyasya-Agatasya-aMSaH pradAtavyaH na saMSayaH // K_889 //
   tṛtīyaḥ pañcamo vāpi saptamaś cāpi yo bhavet /	tRtIyaH paQcamaH vA-api saptamaH ca-api yaH Bavet /
   janmanām aparijñāne labhetāṃśaṃ kramāgatam // K_890 //	janmanAm aparijQAne laBeta-aMSam krama-Agatam // K_890 //
   yaṃ paraṃparayā maulāḥ sāmantāḥ svāminaṃ viduḥ /	yam paraMparayA mOlAH sAmantAH svAminam viduH /
   tad anvayasyāgatasya dātavyā gotajair mahī // K_891 //	tat anvayasya-Agatasya dAtavyA gota-jEH mahI // K_891 //
   vibhaktāḥ pitṛvittāc ced akatra prativāsinaḥ (?) /	viBaktAH pitR-vittAt ced akatra prativAsinaH (?) /
   vibhajeyuḥ punar dvyaṃśaṃ sa labhetodayo yataḥ // K_892 //	viBajeyuH punar dvi-aMSam sa laBeta-udayaH yatas // K_892 //
   [vibhaktacihnādi]	[viBakta-cihna-Adi]
   vaseyur daśa varṣāṇi pṛthagdharmāḥ pṛthakkriyāḥ /	vaseyuH daSa varzANi pRTak-DarmAH pRTakkriyAH /
   bhrātaras te 'pi vijñeyā vibhaktāḥ paitṛkād dhanāt // K_893 //	BrAtaraH te api vijQeyAH viBaktAH pEtRkAt DanAt // K_893 //
   [strīdhanalakṣaṇaṃ strīdhanaprakārāś ca]	[strIDana-lakzaNam strIDana-prakArAH ca]
   adhyagnyadhyāvāhanikaṃ dattaṃ ca prītitaḥ striyaiḥ /	aDyagni-aDyAvAhanikam dattam ca prItitaH striyEH /
   bhrātṛmātṛpitṛprāptaṃ ṣaḍvidhaṃ strīdhanaṃ smṛtam // K_894 //	BrAtR-mAtR-pitR-prAptam zaxviDam strIDanam smRtam // K_894 //
   vivāhakāle yat strībhyo dīyate hy agnisaṃnidhau /	vivAha-kAle yat strIByaH dIyate hi agni-saMniDO /
   tad adhyagnikṛtaṃ sadbhiḥ strīdhanaṃ parikīrtitam // K_895 //	tat aDyagni-kRtam sadBiH strIDanam parikIrtitam // K_895 //
   yat punar labhate nārī nīyamānā pitur gṛhāt /	yat punar laBate nArI nIyamAnA pituH gRhAt /
   adhyāvahanikaṃ caiva strīdhanaṃ tad udāhṛtam // K_896 //	aDyAvahanikam ca-eva strIDanam tat udAhRtam // K_896 //
   prītyā dattaṃ tu yat kiṃcit śvaśrvā vā śvaśureṇa vā /	prItyA dattam tu yat kiMcid SvaSrvA vA SvaSureNa vA /
   pādavandanikaṃ caiva prītidattaṃ tad ucyate // K_897 //	pAdavandanikam ca-eva prIti-dattam tat ucyate // K_897 //
   gṛhopaskaravāhyānāṃ dohyābharaṇakarmiṇām /	gRha-upaskara-vAhyAnAm dohya-ABaraNa-karmiNAm /
   mūlyaṃ labdhaṃ tu yat kiṃcic śulkaṃ tat parikīrtitam // K_898 //	mUlyam labDam tu yat kiMcid Sulkam tat parikIrtitam // K_898 //
   vivāhāt parato yat tu labdhaṃ bhartṛkulāt striyā /	vivAhAt paratas yat tu labDam BartR-kulAt striyAH /
   anvādheyaṃ tad uktaṃ tu labhdaṃ bandhukulāt tathā // K_899 //	anvADeyam tat uktam tu laBdam banDu-kulAt taTA // K_899 //
   ūrdhvaṃ labdhaṃ tu yat kiṃcit saṃskārāt prītitaḥ striyā /	UrDvam labDam tu yat kiMcid saMskArAt prItitaH striyAH /
   bhartuḥ pitroḥ sakāśād vā anvādheyaṃ tu tad bhṛguḥ // K_900 //	BartuH pitroH sakASAt vA anvADeyam tu tat BRguH // K_900 //
   ūḍhayā kanyayā vāpi bhartuḥ pitṛgṛhe 'pi vā /	UXayA kanyayA vA-api BartuH pitR-gRhe api vA /
   bhrātuḥ sakāśāt pitror vā labdhaṃ saudāyikaṃ smṛtam // K_901 //	BrAtuH sakASAt pitroH vA labDam sOdAyikam smRtam // K_901 //
   [strīdhane svāmyādivicāraḥ]	[strIDane svAmi-Adi-vicAraH]
   pitṛmātṛpatibhrātṛ- jñātibhiḥ strīdhanaṃ striyai /	pitR-mAtR-pati-BrAtR jQAtiBiH strIDanam striyE /
   yathāśaktyā dvisāhasrād dātavyaṃ sthāvarād ṛte // K_902 //	yaTASaktyA dvi-sAhasrAt dAtavyam sTAvarAt Rte // K_902 //
   yat tu sopādhikaṃ dattaṃ yac ca yogavaśena vā /	yat tu sa-upADikam dattam yat ca yoga-vaSena vA /
   pitrā bhrātrātha vā patyā na tat strīdhanam iṣyate // K_903 //	pitrA BrAtrA-aTa vA patyA na tat strIDanam izyate // K_903 //
   prāptaṃ śilpais tu yad vittaṃ prītyā caiva yad anyataḥ /	prAptam SilpEH tu yat vittam prItyA ca-eva yat anyatas /
   bhartuḥ svāmyaṃ tadā tatra śeṣaṃ tu strīdhanaṃ smṛtam // K_904 //	BartuH svAmyam tadA tatra Sezam tu strIDanam smRtam // K_904 //
   saudāyikaṃ dhanaṃ prāpya strīṇāṃ svātantryam iṣyate /	sOdAyikam Danam prApya strINAm svAtantryam izyate /
   yasmāt tadānṛśasyārthaṃ tair dattam upajīvanam // K_905 //	yasmAt tadA-anRSasya-arTam tEH dattam upajIvanam // K_905 //
   saudāyike sadā strīṇāṃ svātantryaṃ parikīrtitam /	sOdAyike sadA strINAm svAtantryam parikIrtitam /
   vikraye caiva dāne ca yatheṣṭaṃ sthāvareṣv api // K_906 //	vikraye ca-eva dAne ca yaTezwam sTAvarezu api // K_906 //
   bhartṛdāyaṃ mṛte patyau vinyaset strī yatheṣṭataḥ /	BartR-dAyam mRte patyO vinyaset strI yaTezwataH /
   vidyamāne tu saṃrakṣet kṣapayet tat kule 'nyathā // K_907 //	vidyamAne tu saMrakzet kzapayet tat kule anyaTA // K_907 //
   atha cet sa dvibhāryaḥ syān na ca tāṃ bhajate punaḥ /	aTa ced sa dvi-BAryaH syAt na ca tAm Bajate punar /
   prītyā nisṛṣṭam api cet pratidāpyaḥ sa tadbalāt // K_908 //	prItyA nisRzwam api ced pratidApyaH sa tad-balAt // K_908 //
   grāsācchādanavāsānām ācchedo yatra yoṣitaḥ /	grAsa-AcCAdana-vAsAnAm AcCedaH yatra yozitaH /
   tatra svam ādadīta strī vibhāgaṃ rikthināṃ tathā // K_909 //	tatra svam AdadIta strI viBAgam rikTinAm taTA // K_909 //
   likhitasyeti dharmo 'yaṃ prāpte bhartṛkule vaset /	liKitasya-iti DarmaH ayam prApte BartR-kule vaset /
   vyādhitā pretakāle tu gacched bandhujanaṃ tataḥ // K_910 //	vyADitA pretakAle tu gacCet banDu-janam tatas // K_910 //
   na bhartā naiva ca suto na pitā bhrātaro na ca /	na BartA na-eva ca sutaH na pitA BrAtaraH na ca /
   ādāne vā visarge vā strīdhane prabhaviṣṇavaḥ // K_911 //	AdAne vA visarge vA strIDane praBavizNavaH // K_911 //
   yadi hy ekataro 'py eṣāṃ strīdhanaṃ bhakṣayed balāt /	yadi hi ekataraH api ezAm strIDanam Bakzayet balAt /
   savṛddhikaṃ pradāpyaḥ syād daṇḍaṃ caiva samāpnuyāt // K_912 //	sa-vRdDikam pradApyaH syAt daNxam ca-eva samApnuyAt // K_912 //
   tad eva yady anujñāpya bhakṣayet prītipūrvakam /	tat eva yadi anujQApya Bakzayet prIti-pUrvakam /
   mūlyam eva pradāpyaḥ syād yady asau dhanavān bhavet // K_913 //	mUlyam eva pradApyaH syAt yadi asO DanavAn Bavet // K_913 //
   vyādhitaṃ vyasanasthaṃ ca dhanikair vopapīḍitam /	vyADitam vyasana-sTam ca DanikEH vA-upapIxitam /
   jñātvā nisṛṣṭaṃ yat prītyā dadyād ātmecchayā tu saḥ // K_914 //	jQAtvA nisRzwam yat prItyA dadyAt Atma-icCayA tu saH // K_914 //
   jīvantyāḥ patiputrās tu devarāḥ pitṛbāndhavāḥ /	jIvantyAH pati-putrAH tu devarAH pitR-bAnDavAH /
   anīśāḥ strīdhanasyoktā daṇḍyās tv apaharanti ye // K_915 //	anISAH strIDanasya-uktAH daNxyAH tu apaharanti ye // K_915 //
   bhartrā pratiśrutaṃ deyam ṛṇavat strīdhanaṃ sutaiḥ /	BartrA pratiSrutam deyam RNa-vat strIDanam sutEH /
   tiṣṭhed bhartṛkule yā tu na sā pitṛkule vaset // K_916 //	tizWet BartR-kule yA tu na sA pitR-kule vaset // K_916 //
   [mṛtāyāḥ striyā dhanādhikāriṇaḥ]	[mRtAyAH striyAH Dana-aDikAriNaH]
   bhaginyo bāndhavaiḥ sārdhaṃ vibhajeran sabhartṛkāḥ /	BaginyaH bAnDavEH sArDam viBajeran sa-BartRkAH /
   strīdhanasyeti dharmo 'yaṃ vibhāgas tu prakalpitaḥ // K_917 //	strIDanasya-iti DarmaH ayam viBAgaH tu prakalpitaH // K_917 //
   duhitṝṇām abhāve tu rikthaṃ putreṣu tad bhavet /	duhitLNAm aBAve tu rikTam putrezu tat Bavet /
   bandhudattaṃ tu bandhūnām abhāve bhrtṛgāmi tat // K_918 //	banDu-dattam tu banDUnAm aBAve BrtR-gAmi tat // K_918 //
   pitṛbhyāṃ caiva yad dattaṃ duhituḥ sthāvaraṃ dhanam /	pitRByAm ca-eva yat dattam duhituH sTAvaram Danam /
   aprajāyām atātāyāṃ bhrātṛgāmi tu sarvadā // K_919 //	aprajAyAm atAtAyAm BrAtR-gAmi tu sarvadA // K_919 //
   āsurādiṣu yal labdhaṃ strīdhanaṃ paitṛkaṃ striyā /	Asura-Adizu yat labDam strIDanam pEtRkam striyAH /
   abhāve tad apatyānāṃ mātāpitros tad iṣyate // K_920 //	aBAve tat apatyAnAm mAtA-pitroH tat izyate // K_920 //
   [aputradhane patnyādayo dhanādhikāriṇaḥ]	[a-putra-Dane patnI-AdayaH Dana-aDikAriNaH]
   aputrā śayanaṃ bhartuḥ pālayantī gurau sthitā /	aputrA Sayanam BartuH pAlayantI gurO sTitA /
   bhuñjītāmaraṇāt kṣāntā dāyādā ūrdhvam āpnuyuḥ // K_921 //	BuQjIta-amaraNAt kzAntAH dAyAdAH UrDvam ApnuyuH // K_921 //
   svaryāte svāmini strī tu grāsācchādanabhāginī /	svaryAte svAmini strI tu grAsa-AcCAdana-BAginI /
   avibhakte dhanāṃśe tu prāpnoty āmaraṇāntikam // K_922 //	aviBakte Dana-aMSe tu prApnoti AmaraNa-antikam // K_922 //
   bhoktum arhati klṛptāṃśaṃ guruśuśrūṣaṇe ratā /	Boktum arhati klRpta-aMSam guru-SuSrUzaNe ratAH /
   na kuryād yadi śuśrūṣāṃ cailapiṇḍe niyojyet // K_923 //	na kuryAt yadi SuSrUzAm cEla-piNxe niyojyet // K_923 //
   mṛte bhartari bhartṛaṃśaṃ labheta kulapālikā /	mRte Bartari BartR-aMSam laBeta kulapAlikA /
   yāvaj jīvaṃ na hi svāmyaṃ dānādhamanavikraye // K_924 //	yAvat jIvam na hi svAmyam dAna-ADamana-vikraye // K_924 //
   vratopavāsaniratā brahmacarye vyavasthitā /	vrata-upavAsa-niratAH brahmacarye vyavasTitAH /
   damadānaratā nityam aputrāpi divaṃ vrajet // K_925 //	dama-dAna-ratA nityam aputrA-api divam vrajet // K_925 //
   patnī bhartur dhanaharī yā syād avyabhicāriṇī /	patnI BartuH DanaharI yA syAt avyaBicAriNI /
   tadabhāve tu duhitā yady anūḍhā bhavet tadā // K_926 //	tad-aBAve tu duhitA yadi anUXA Bavet tadA // K_926 //
   aputrasyātha kulajā patnī duhitaro 'pi vā /	aputrasya-aTa kula-jA patnI duhitaraH api vA /
   tadabhāve pitā mātā bhrātā putrāś ca kīrtitāḥ // K_927 //	tad-aBAve pitA mAtA BrAtA putrAH ca kIrtitAH // K_927 //
   vibhakte saṃsthite dravyaṃ putrābhāve pitā haret /	viBakte saMsTite dravyam putra-aBAve pitA haret /
   bhrātā vā jananī vātha mātā vā tat pituḥ kramāt /	BrAtA vA jananI vA-aTa mAtA vA tat pituH kramAt /
   apacārakriyyayuktā nirlajjā vārthanāśikā // K_928 //	apacAra-kriyya-yuktA nirlajjA vA-arTa-nASikAH // K_928 //
   vyabhicāraratā yā ca strī dhanaṃ sā na cārhati // K_929 //	vyaBicAra-ratA yA ca strI Danam sA na ca-arhati // K_929 //
   nārī khalv ananujñātā pitrā bhartrā sutena vā /	nArI Kalu ananujQAtA pitrA BartrA sutena vA /
   viphalaṃ tad bhavet tasyā yat karoty aurdhvadehikam // K_930 //	viPalam tat Bavet tasyAH yat karoti OrDvadehikam // K_930 //
   adāyikaṃ rājagāmi yoṣidbhṛtyordhvadehikam /	adAyikam rAja-gAmi yozit-BRtya-UrDvadehikam /
   apāsya śrotriyadravyaṃ śrotriyebhyas tad arpayet // K_931 //	apAsya Srotriya-dravyam SrotriyeByaH tat arpayet // K_931 //
   saṃsṛṣṭānāṃ tu saṃsṛṣṭāḥ pṛthaksthānāṃ pṛthaksthitāḥ /	saMsRzwAnAm tu saMsRzwAH pRTak-sTAnAm pRTak-sTitAH /
   abhāve 'rthaharā jñeyā nirbījānyonyabhāginaḥ // K_932 //	aBAve arTa-harA jQeyAH nirbIja-anyonya-BAginaH // K_932 //
   [dyūtasamāhvayau]	[dyUta-samAhvayO]
   dyūtaṃ naiva tu seveta krodhalobhavivardhakam /	dyUtam na-eva tu seveta kroDa-loBa-vivarDakam /
   asādhujananaṃ krūraṃ narāṇāṃ dravyanāśanam // K_933 //	asADu-jananam krUram narANAm dravya-nASanam // K_933 //
   dhruvaṃ dyūtāt kalir yasmād viṣaṃ sarpamukhād iva /	Druvam dyUtAt kaliH yasmAt vizam sarpa-muKAt iva /
   tasmād rājā nivarteta viṣaye vyasanaṃ hi tat // K_934 //	tasmAt rAjA nivarteta vizaye vyasanam hi tat // K_934 //
   varteta cet prakāśaṃ tu dvārāvasthitatoraṇam /	varteta ced prakASam tu dvAra-avasTita-toraNam /
   asaṃmohārtham āryāṇāṃ kārayet tat karapadam // K_935 //	asaMmoha-arTam AryANAm kArayet tat kara-padam // K_935 //
   sabhikaḥ kārayed dyūtaṃ deyaṃ dadyāt svayaṃ nṛpe /	saBikaH kArayet dyUtam deyam dadyAt svayam nRpe /
   daśakaṃ tu śate vṛddhiṃ gṛhṇīyāc ca parājayāt // K_936 //	daSakam tu Sate vRdDim gRhNIyAt ca parAjayAt // K_936 //
   jetur dadyāt svakaṃ dravyaṃ jitād grāhyaṃ tripakṣakam /	jetuH dadyAt svakam dravyam jitAt grAhyam tri-pakzakam /
   sadyo vā sabhikenaiva kitāvāt tu na saṃśayaḥ // K_937 //	sadyas vA saBikena-eva kitAvAt tu na saMSayaH // K_937 //
   ekarūpā dvirūpā vā dyūte yasyākṣadevinaḥ /	eka-rUpAH dvi-rUpAH vA dyUte yasya-akza-devinaH /
   dṛśyate ca jayas tasya yasmin rakṣā vyavasthitā // K_938 //	dRSyate ca jayaH tasya yasmin rakzA vyavasTitAH // K_938 //
   atha vā kitavo rājñe dattvā bhāgaṃ yathoditam /	aTa vA kitavaH rAjQe dattvA BAgam yaTA-uditam /
   prakāśaṃ devanaṃ kuryād evaṃ doṣo na vidyate // K_939 //	prakASam devanam kuryAt evam dozaH na vidyate // K_939 //
   prasahya dāpayed deyaṃ tasmin sthāne na cānyathā /	prasahya dApayet deyam tasmin sTAne na ca-anyaTA /
   jitaṃ vai sabhikas tatra sabhikapratyayā kriyā // K_940 //	jitam vE saBikaH tatra saBika-pratyayA kriyA // K_940 //
   anabhijño jito mocyo 'mocyo 'bhijño jito rahaḥ /	anaBijQaH jitaH mocyaH amocyaH aBijQaH jitaH rahaH /
   sarvasve vijite 'bhijñe na sarvasvaṃ pradāpayet // K_941 //	sarva-sve vijite aBijQe na sarva-svam pradApayet // K_941 //
   vigrahe 'tha jaye lābhe karaṇe kūṭadevinām /	vigrahe aTa jaye lABe karaNe kUwa-devinAm /
   pramāṇaṃ sabhikas tatra śuciś ca sabhiko yadi // K_942 //	pramANam saBikaH tatra SuciH ca saBikaH yadi // K_942 //
   mlecchaśvapākadhūrtānāṃ kitavānāṃ tapasminām /	mlecCa-Sva-pAka-DUrtAnAm kitavAnAm tapasminAm /
   tatkṛtācāram etṝṇāṃ niścayo na tu rājani // K_943 //	tad-kRta-AcAram etLNAm niScayaH na tu rAjani // K_943 //
   [prakīrṇakam]	[prakIrNakam]
   pūrvoktād uktaśeṣaṃ syād adhikāracyutaṃ ca yat /	pUrva-uktAt ukta-Sezam syAt aDikAra-cyutam ca yat /
   āhṛtya paratantrārhta- nibaddham asamañjasam // K_944 //	AhRtya paratantra-arhta nibadDam asamaQjasam // K_944 //
   dṛṣṭāntatvena śāstrānte punar uktakriyāsthitam /	dRzwAnta-tvena SAstra-ante punar ukta-kriyA-sTitam /
   anena vidhinā yac ca vākyaṃ tat syāt prakīrṇakam // K_945 //	anena viDinA yat ca vAkyam tat syAt prakIrNakam // K_945 //
   rājadharmān svadharmāṃś ca saṃdigdhānāṃ ca bhāṣaṇam /	rAja-DarmAn svaDarmAn ca saMdigDAnAm ca BAzaNam /
   pūrvoktād uktaśeṣaṃ ca sarvaṃ tat syāt prakīrṇakam // K_946 //	pUrva-uktAt ukta-Sezam ca sarvam tat syAt prakIrNakam // K_946 //
   sadbhāgakaraśulkaṃ ca garte deyaṃ tathaiva ca /	sat-BAga-kara-Sulkam ca garte deyam taTA-eva ca /
   saṃgrāmacaurabhedī ca paradārābhimardanam // K_947 //	saMgrAma-cOra-BedI ca para-dAra-aBimardanam // K_947 //
   gobrāhmaṇajighāṃsā ca śasyavyāghātakṛt tathā /	go-brAhmaNa-jiGAMsA ca Sasya-vyAGAta-kRt taTA /
   etān daśāparādhāṃs tu nṛpatiḥ svayam anviṣet // K_948 //	etAn daSa-aparADAn tu nRpatiH svayam anvizet // K_948 //
   niṣkṛtīnām akaraṇam ājñāsedhavyatikramaḥ /	nizkRtInAm akaraNam AjQA-seDa-vyatikramaH /
   varṇāśramavilopaś ca prarṇasaṅkaralopanam // K_949 //	varNa-ASrama-vilopaH ca prarNa-saFkara-lopanam // K_949 //
   nidhir niṣphalavittaṃ ca daridrasya dhanāgamaḥ /	niDiH nizPala-vittam ca daridrasya Dana-AgamaH /
   etāṃś cāraiḥ suviditān svayaṃ rājā nivārayet // K_950 //	etAn cArEH su-viditAn svayam rAjA nivArayet // K_950 //
   anāmnā tāni kāryāṇi kriyāvādāṃś ca vādinām /	anAmnA tAni kAryANi kriyA-vAdAn ca vAdinAm /
   prakṛtīnāṃ prakopaś ca saṅketaś ca parasparam // K_951 //	prakRtInAm prakopaH ca saFketaH ca parasparam // K_951 //
   aśāstravihitaṃ yac ca prajāyāṃ saṃpravartate /	aSAstra-vihitam yat ca prajAyAm saMpravartate /
   upāyaiḥ sāmabhedād yair etāni śamaye nṛpaḥ // K_952 //	upAyEH sAma-BedAt yEH etAni Samaye nRpaH // K_952 //
   mitrādiṣu prayuñjīta vāgdaṇḍaṃ dhik tapasvini /	mitra-Adizu prayuQjIta vAgdaNxam Dik tapasvini /
   yathoktaṃ tasya tat kuryād anuktaṃ sādhu kalpitam // K_953 //	yaTA-uktam tasya tat kuryAt anuktam sADu kalpitam // K_953 //
   pramāṇena tu kūṭena mudrayā vāpi kūṭayā /	pramANena tu kUwena mudrayA vA-api kUwayA /
   kāryaṃ tu sādhayed yo vai sa dāpyo damam uttamam // K_954 //	kAryam tu sADayet yaH vE sa dApyaH damam uttamam // K_954 //
   rājakrīḍāsu ye saktā rājavṛttyupajīvinaḥ /	rAja-krIxAsu ye saktAH rAja-vRtti-upajIvinaH /
   apriyasya ca yo vaktā vadhaṃ teṣāṃ pravartayet // K_955 //	apriyasya ca yaH vaktA vaDam tezAm pravartayet // K_955 //
   pratirūpasya kartāraḥ prekṣakāḥ prakarāś ca ye /	pratirUpasya kartAraH prekzakAH prakarAH ca ye /
   rājārthamoṣakāś caiva prāpnuyur vividhaṃ vadham // K_956 //	rAja-arTa-mozakAH ca-eva prApnuyuH viviDam vaDam // K_956 //
   pravrajyāvasitaṃ śūdraṃ japahomaparaṃ tathā /	pravrajyA-vasitam SUdram japa-homa-param taTA /
   vadhena śāsayet pāpaṃ daṇḍyo vā dviguṇaṃ damam // K_957 //	vaDena SAsayet pApam daNxyaH vA dviguNam damam // K_957 //
   sacihnam api pāpaṃ tu pṛcchet pāpasya kāraṇam /	sa-cihnam api pApam tu pRcCet pApasya kAraNam /
   tadā daṇḍaṃ prakalpeta doṣam āropya yatnataḥ // K_958 //	tadA daNxam prakalpeta dozam Aropya yatnatas // K_958 //
   sadvṛttānām tu sarveṣām aparādho yadā bhavet /	sat-vRttAnAm tu sarvezAm aparADaH yadA Bavet /
   avaśenaiva daivāt tu tatra daṇḍaṃ na kalpayet // K_959 //	avaSena-eva dEvAt tu tatra daNxam na kalpayet // K_959 //
   samyagdaṇḍapraṇetāro nṛpāḥ pūjyāḥ surair api /	samyak-daNxa-praNetAraH nRpAH pUjyAH surEH api /
   ārambhe pradhamaṃ dadyāt pravṛttau madhyamaḥ smṛtaḥ /	AramBe praDamam dadyAt pravRttO maDyamaH smRtaH /
   yasya yo vihito daṇḍaḥ paryāptasya sa vai bhavet // K_960 //	yasya yaH vihitaH daNxaH paryAptasya sa vE Bavet // K_960 //
   rājāno mantriṇaś caiva viśeṣād evam āpnuyuḥ /	rAjAnaH mantriNaH ca-eva viSezAt evam ApnuyuH /
   aśāsanāt tu pāpānāṃ natānāṃ daṇḍadhāraṇāt // K_961 //	aSAsanAt tu pApAnAm natAnAm daNxa-DAraNAt // K_961 //
   paratantrāś ca ye kecid dāsatvaṃ ye ca saṃsthitāḥ /	paratantrAH ca ye kecid dAsa-tvam ye ca saMsTitAH /
   anāthās te tu nirdiṣṭās teṣāṃ daṇḍas tu tāḍanam // K_962 //	anATAH te tu nirdizwAH tezAm daNxaH tu tAxanam // K_962 //
