   akārayat kārayitavyadakṣā Ks_7.27c	akArayat kArayitavya-dakzA KH-_7.27c
   śmaśānaśūlasya na yūpasatkriyā Ks_5.73d	SmaSAna-SUlasya na yUpa-satkriyA KH-_5.73d
   śrīlakṣaṇotsargavinītaveṣāḥ Ks_7.45b	SrI-lakzaNa-utsarga-vinIta-vezAH KH-_7.45b
   śrīvatsalakṣmā puruṣaś ca sākṣāt Ks_7.43b	SrIvatsa-lakzmA puruzaH ca sAkzAt KH-_7.43b
   śrutaṃ mayā matpraṇidhiḥ sa vargaḥ Ks_3.17d	Srutam mayA mad-praNiDiH sa vargaH KH-_3.17d
   śrutāpsarogītir api kṣaṇe 'smin Ks_3.40a	Sruta-apsaraH-gItiH api kzaNe asmin KH-_3.40a
   śreyasām upadeśāt tu Ks_6.74c	SreyasAm upadeSAt tu Ks_6.74c
   śrotur vitantrīr iva tāḍyamānā Ks_1.45d	SrotuH vitantrIH iva tAxyamAnA KH-_1.45d
   śroṣyateva vacanāni pṛṣṭhataḥ Ks_8.59d	SrozyatA-iva vacanAni pRzWatas KH-_8.59d
   śvāsasādhāraṇānilaiḥ Ks_2.42b	SvAsa-sADAraNa-anilEH KH-_2.42b
   ṣaṭpadāya vasatiṃ grahīṣyate Ks_8.39c	zawpadAya vasatim grahIzyate Ks_8.39c
   sa kṛttivāsās tapase yatātmā Ks_1.54a	sa kRttivAsAH tapase yata-AtmA KH-_1.54a
   sakhī tadīyā tam uvāca varṇinaṃ Ks_5.52a	saKI tadIyA tam uvAca varNinam KH-_5.52a
   sakhībhir asrottaram īkṣitām imām Ks_5.61b	saKIBiH asra-uttaram IkzitAm imAm KH-_5.61b
   sakhyoḥ samakṣam iti cādhikajātalajjā Ks_3.75c	saKyoH samakzam iti ca-aDika-jAta-lajjA KH-_3.75c
   sa gopatiṃ nandibhujāvalambī Ks_7.37a	sa gopatim nandi-Buja-avalambI KH-_7.37a
   sa ca tvadekeṣunipātasādhyo Ks_3.15c	sa ca tvad-eka-izu-nipAta-sADyaH KH-_3.15c
   sa ca svābhāvikas tava Ks_6.71d	sa ca svABAvikaH tava KH-_6.71d
   sacāmare devam aseviṣātām Ks_7.42b	sa-cAmare devam asevizAtAm KH-_7.42b
   sacetasaḥ kasya mano na dūyate Ks_5.48d	sacetasaH kasya manaH na dUyate KH-_5.48d
   sa tatheti pratijñāya Ks_6.3a	sa taTA-iti pratijQAya KH-_6.3a
   sa taddukūlād avidūramaulir Ks_7.41c	sa tad-dukUlAt avidUra-mOliH KH-_7.41c
   satām ārādhanaṃ vapuḥ Ks_6.73d	satAm ArADanam vapuH KH-_6.73d
   sa tāvat kṛtināṃ varaḥ Ks_6.18b	sa tAvat kRtinAm varaH KH-_6.18b
   satī satī yogavisṛṣṭadehā Ks_1.21c	satI satI yoga-visRzwa-dehA KH-_1.21c
   satūryam enāṃ snapayāṃ babhūvuḥ Ks_7.10d	sa-tUryam enAm snapayAm baBUvuH KH-_7.10d
   sa te duhitaraṃ sākṣāt Ks_6.78a	sa te duhitaram sAkzAt KH-_6.78a
   sa tair ākramayām āsa Ks_6.52c	sa tEH AkramayAm Asa KH-_6.52c
   satpatnyo mūlasādhanam Ks_6.13d	sat-patnyaH mUla-sADanam KH-_6.13d
   satyam arkāc ca somāc ca Ks_6.19a	satyam arkAt ca somAt ca KH-_6.19a
   sa dakṣiṇāpāṅganiviṣṭamuṣṭiṃ Ks_3.70a	sa dakziNa-apAFga-nivizwa-muzwim KH-_3.70a
   sadayālūnapallavāḥ Ks_2.41b	sa-dayA-lUna-pallavAH KH-_2.41b
   sadṛśī te samunnatiḥ Ks_6.66d	sadRSI te samunnatiH KH-_6.66d
   sa devadārudrumavedikāyāṃ Ks_3.44a	sa devadAru-druma-vedikAyAm KH-_3.44a
   sadbhartre pratipāditā Ks_6.79d	sat-Bartre pratipAditA KH-_6.79d
   sadyaḥ pravālodgamacārupatre Ks_3.27a	sadyas pravAla-udgama-cAru-patre KH-_3.27a
   sadyo vasantena samāgatānāṃ Ks_3.29c	sadyas vasantena samAgatAnAm KH-_3.29c
   sa dvinetro hareś cakṣuḥ Ks_2.30a	sa dvi-netraH hareH cakzuH KH-_2.30a
   sannahastam adayopagūhane Ks_8.8b	sanna-hastam adaya-upagUhane KH-_8.8b
   sannigṛhya timiraṃ marīcibhiḥ Ks_8.63b	sat-nigRhya timiram marIciBiH KH-_8.63b
   sapadi mukulitākṣīṃ rudrasaṃrambhabhītyā Ks_3.76a	sapadi mukulita-akzIm rudra-saMramBa-BItyA KH-_3.76a
   saparyayā pratyudiyāya pārvatī Ks_5.31b	sa-paryayA pratyudiyAya pArvatI KH-_5.31b
   saptarṣipūrvāḥ paramarṣayaś ca Ks_7.71b	saptarzi-pUrvAH parama-RzayaH ca KH-_7.71b
   saptarṣibhis tān smitapūrvam āha Ks_7.47b	saptarziBiH tAn smita-pUrvam Aha Ks_7.47b
   saptarṣihastāvacitāvaśeṣāṇy Ks_1.16a	saptarzi-hasta-avacita-avaSezANi KH-_1.16a
   sa prajāgarakaṣāyalocanaṃ Ks_8.88a	sa prajAgara-kazAya-locanam KH-_8.88a
   sapramāṇam udīkṣitāḥ Ks_6.7d	sa-pramANam udIkzitAH KH-_6.7d
   sa prāpad aprāptaparābhiyogaṃ Ks_7.50a	sa prApat aprApta-para-aBiyogam KH-_7.50a
   sa priyāmukharasaṃ divāniśaṃ Ks_8.90a	sa priyA-muKa-rasam divAniSam KH-_8.90a
   sa prītiyogād vikasanmukhaśrīr Ks_7.55a	sa prIti-yogAt vikasat-muKa-SrIH KH-_7.55a
   sabāṣpakaṇṭhaskhalitaiḥ padair iyam Ks_5.56b	sa-bAzpa-kaNWa-sKalitEH padEH iyam KH-_5.56b
   sa bhīmarūpaḥ śiva ity udīryate Ks_5.77c	sa BIma-rUpaH SivaH iti udIryate Ks_5.77c
   sabhyaḥ sabhāyāṃ suhṛdāsthitāyāṃ Ks_7.29c	saByaH saBAyAm suhRd-AsTitAyAm KH-_7.29c
   samadivasaniśīthaṃ saṅginas tatra śambhoḥ Ks_8.91a	sama-divasa-niSITam saFginaH tatra SamBoH KH-_8.91a
   samaduḥkhām iva kurvatī sthalīm Ks_4.4d	sama-duHKAm iva kurvatI sTalIm KH-_4.4d
   samam eva gato 'sy atarkitāṃ Ks_4.22c	samam eva gataH asi atarkitAm Ks_4.22c
   samarpayantī sphaṭikākṣamālikām Ks_5.63b	samarpayantI sPawika-akzamAlikAm KH-_5.63b
   samaṃ vibhakteva manobhavasya Ks_7.77d	samam viBaktA-iva manoBavasya KH-_7.77d
   samāgamaprārthanayā kapālinaḥ Ks_5.71b	samAgama-prArTanayA kapAlinaH KH-_5.71b
   samādideśa prayatāṃ tanūjām Ks_1.58d	samAdideSa prayatAm tanUjAm KH-_1.58d
   samādideśaikavadhūṃ bhavitrīṃ Ks_1.50c	samAdideSa-eka-vaDUm BavitrIm KH-_1.50c
   sa mādhavenābhimatena sakhyā Ks_3.23a	sa mADavena-aBimatena saKyA KH-_3.23a
   samādhibhedaprabhavo bhavanti Ks_3.40d	samADi-Beda-praBavaH Bavanti KH-_3.40d
   samādhimatyām udapādi bhavyā Ks_1.22b	samADimatyAm udapAdi BavyA KH-_1.22b
   samādhim āsthāya tapobhir ātmanaḥ Ks_5.2b	samADim AsTAya tapoBiH AtmanaH KH-_5.2b
   sa mānasīṃ merusakhaḥ pitṝṇāṃ Ks_1.18a	sa mAnasIm meru-saKaH pitLNAm KH-_1.18a
   samālalambe vṛṣarājaketanaḥ Ks_5.84d	samAlalambe vRzarAja-ketanaH KH-_5.84d
   samāvarjitaketunā Ks_6.7b	samAvarjita-ketunA KH-_6.7b
   samāsasāda pratihārabhūmim Ks_3.58b	samAsasAda pratihAra-BUmim KH-_3.58b
   samīyatur dūravisarpighoṣau Ks_7.53c	samIyatuH dUra-visarpi-GozO KH-_7.53c
   samīraṇo nodayitā bhaveti Ks_3.21c	samIraNaH na-udayitA Bava-iti KH-_3.21c
   samudragārūpaviparyaye 'pi Ks_7.42c	samudra-gA-rUpaviparyaye api KH-_7.42c
   samudrormyanivāritāḥ Ks_6.69b	samudra-Urmi-anivAritAH KH-_6.69b
   samullikhan darpakalaḥ kakudmān Ks_1.56b	samulliKan darpa-kalaH kakudmAn KH-_1.56b
   sameghalekhaṃ śaśinaś ca bimbam Ks_7.16b	sa-meGa-leKam SaSinaH ca bimbam KH-_7.16b
   sametabandhur himavān sutāyā Ks_7.1c	sameta-banDuH himavAn sutAyAH KH-_7.1c
   samyakprayogād aparikṣatāyāṃ Ks_1.22c	samyak-prayogAt aparikzatAyAm KH-_1.22c
   saratnam arghyaṃ madhumac ca gavyam Ks_7.72b	sa-ratnam arGyam maDumat ca gavyam KH-_7.72b
   sarasāṃ suptapadmānāṃ Ks_2.2,c	sarasAm supta-padmAnAm KH-_2.2,c
   sarasvatī tan mithunaṃ nunāva Ks_7.90b	sarasvatI tat miTunam nunAva KH-_7.90b
   sarāgam asyā rasanāguṇāspadam Ks_5.10d	sa-rAgam asyAH rasanA-guNa-Aspadam KH-_5.10d
   sarid vihaṅgair iva līyamānair Ks_7.21c	sarit vihaFgEH iva lIyamAnEH KH-_7.21c
   sarojasaṃdhānam ivākarod apām Ks_5.27d	saroja-saMDAnam iva-akarot apAm KH-_5.27d
   sargavyāpāram ātmanā Ks_2.54d	sarga-vyApAram AtmanA KH-_2.54d
   sargaśeṣapraṇayanād Ks_6.9a	sarga-Seza-praNayanAt KH-_6.9a
   sarvam eva tamasā samīkṛtaṃ Ks_8.57c	sarvam eva tamasA samIkRtam Ks_8.57c
   sarvaṃ sakhe tvayy upapannam etad Ks_3.12a	sarvam saKe tvayi upapannam etat KH-_3.12a
   sarvātmanā cakṣur iva praviṣṭā Ks_7.64d	sarva-AtmanA cakzuH iva pravizwA KH-_7.64d
   sarvābhiḥ sarvadā candras Ks_2.34a	sarvABiH sarvadA candraH Ks_2.34a
   sarvopamādravyasamuccayena Ks_1.49a	sarva-upamA-dravya-samuccayena KH-_1.49a
   salilasyāñjalir eka eva nau Ks_4.37b	salilasya-aQjaliH ekaH eva nO KH-_4.37b
   sallakīviṭapabhaṅgavāsitam Ks_8.33b	sallakI-viwapa-BaFga-vAsitam KH-_8.33b
   sa vāsavenāsanasaṃnikṛṣṭam Ks_3.2a	sa vAsavena-Asana-saMnikRzwam KH-_3.2a
   sa vyabudhyata budhastavocitaḥ Ks_8.85a	sa vyabuDyata buDaH-tava-ucitaH KH-_8.85a
   saśabdacāmīkarakiṅkiṇīkaḥ Ks_7.49b	sa-Sabda-cAmIkara-kiFkiNIkaH KH-_7.49b
   saśaivalāsaṅgam api prakāśate Ks_5.9d	sa-SEvala-AsaFgam api prakASate KH-_5.9d
   sa sakhā dīpa ivānilāhataḥ Ks_4.30b	sa saKA dIpaH iva-anila-AhataH KH-_4.30b
   sasarja giram ātmabhūḥ Ks_2.53b	sasarja giram AtmaBUH KH-_2.53b
   saspṛhaṃ suravadhūbhir īkṣitaḥ Ks_8.27d	sa-spRham sura-vaDUBiH IkzitaH KH-_8.27d
   sasmāra smaraśāsanaḥ Ks_6.3d	sasmAra smara-SAsanaH KH-_6.3d
   sasvaje priyam uronipīḍitā Ks_8.14a	sasvaje priyam uraH-nipIxitA KH-_8.14a
   sahacaramadhuhastanyastacūtāṅkurāstraḥ Ks_2.64c	sahacara-maDu-hasta-nyasta-cUta-aFkura-astraH KH-_2.64c
   saha meghena taḍit pralīyate Ks_4.33b	saha meGena taxit pralIyate Ks_4.33b
   sahasyarātrīr udavāsatatparā Ks_5.26b	sahasya-rAtrIH uda-vAsa-tatparA KH-_5.26b
   sahasranayanādhikam Ks_2.30b	sahasranayana-aDikam KH-_2.30b
   sahasrapatrābharaṇā ivāsan Ks_7.62d	sahasra-patra-ABaraNAH iva-Asan KH-_7.62d
   sahasram akṣṇāṃ yugapat papāta Ks_3.1b	sahasram akzNAm yugapad papAta KH-_3.1b
   sahasraraśminā śaśvat Ks_6.7c	sahasraraSminA SaSvat Ks_6.7c
   sahaṃsapāte iva lakṣyamāṇe Ks_7.42d	sa-haMsa-pAte iva lakzyamANe KH-_7.42d
   sahāyam ekaṃ madhum eva labdhvā Ks_3.10b	sahAyam ekam maDum eva labDvA KH-_3.10b
   sahitaḥ pāsyati te sa bāndhavaḥ Ks_4.37d	sahitaH pAsyati te sa bAnDavaH KH-_4.37d
   sa hi devaḥ paraṃ jyotis Ks_2.58a	sa hi devaH param jyotiH KH-_2.58a
   sahiṣyate tatprathamāvalambanam Ks_5.66d	sahizyate tad-praTama-avalambanam KH-_5.66d
   saṃkalpayoner abhimānabhūtam Ks_3.24c	saMkalpayoneH aBimAna-BUtam Ks_3.24c
   saṃkalpithārthe vivṛtātmaśaktim Ks_3.11c	saMkalpiTa-arTe vivRta-Atma-Saktim Ks_3.11c
   saṃkramayya tava netrayor iva Ks_8.30b	saMkramayya tava netrayoH iva KH-_8.30b
   saṃkṣaye jagad iva prajeśvaraḥ Ks_8.30c	saMkzaye jagat iva prajeSvaraH KH-_8.30c
   saṃgamaḥ punar eva naḥ Ks_6.33d	saMgamaH punar eva naH KH-_6.33d
   saṃgīyamānatripurāvadānaḥ Ks_7.48b	saMgIyamAna-tripura-avadAnaH KH-_7.48b
   saṃcāriṇī pallavinī lateva Ks_3.54d	saMcAriNI pallavinI latA-iva KH-_3.54d
   saṃtānakatarucchāyā- Ks_6.46a	saMtAnaka-taru=-CAyA KH-_6.46a
   saṃtānakākīrṇamahāpathaṃ tac Ks_7.3a	saMtAnaka-AkIrNa-mahApaTam tat KH-_7.3a
   saṃdideśa mithaḥ sakhīm Ks_6.1b	saMdideSa miTas saKIm KH-_6.1b
   saṃdhukṣayantīva vapurguṇena Ks_3.52b	saMDukzayantI-iva vapuH-guNena KH-_3.52b
   saṃdhukṣyamāṇeva śaśāṅkalekhā Ks_7.8d	saMDukzyamANA-iva SaSAFka-leKA KH-_7.8d
   saṃdhyayāpy anugataṃ raver vapur Ks_8.44a	saMDyayA-api anugatam raveH vapuH KH-_8.44a
   saṃdhyayā praṇamito 'smi nānyayā Ks_8.51b	saMDyayA praNamitaH asmi na-anyayA KH-_8.51b
   saṃnidhāya divasaṃ mahodadhau Ks_8.42d	saMniDAya divasam mahA-udaDO KH-_8.42d
   saṃnirudhya nayane hṛtāṃśukā Ks_8.7b	saMniruDya nayane hRta-aMSukA KH-_8.7b
   saṃnyastadehaḥ svayam eva kāmaḥ Ks_7.67d	saMnyasta-dehaH svayam eva kAmaH KH-_7.67d
   saṃpatsyate vaḥ kāmo yaṃ Ks_2.54a	saMpatsyate vaH kAmaH yam Ks_2.54a
   saṃparkam āsiñjitanūpureṇa Ks_3.26d	saMparkam AsiQjita-nUpureNa KH-_3.26d
   saṃpādayitrīṃ śikharair bibharti Ks_1.4b	saMpAdayitrIm SiKarEH biBarti KH-_1.4b
   saṃprasīdad iva mānasaṃ saraḥ Ks_8.64d	saMprasIdat iva mAnasam saraH KH-_8.64d
   saṃbandhāḥ sadanuṣṭhitāḥ Ks_6.29d	saMbanDAH sat-anuzWitAH KH-_6.29d
   saṃbandhibhinno 'pi gireḥ kulasya Ks_7.5c	saMbanDi-BinnaH api gireH kulasya Ks_7.5c
   saṃbhāvayām āsa yathāpradhānam Ks_7.46d	saMBAvayAm Asa yaTApraDAnam KH-_7.46d
   saṃbhāvayām āsa rathāṅganāmā Ks_3.37d	saMBAvayAm Asa raTAFga-nAmA KH-_3.37d
   saṃbhāvya tadvañcitavāmanetrā Ks_7.59b	saMBAvya tad-vaQcita-vAma-netrA KH-_7.59b
   saṃmohanaṃ nāma ca puṣpadhanvā Ks_3.66c	saMmohanam nAma ca puzpaDanvA KH-_3.66c
   saṃyamastimitaṃ manaḥ Ks_2.59b	saMyama-stimitam manaH KH-_2.59b
   saṃyuge sāṃyugīnaṃ tam Ks_2.57a	saMyuge sAMyugInam tam KH-_2.57a
   saṃvardhayantyā haviṣeva vahnim Ks_7.43d	saMvarDayantyAH havizA-iva vahnim KH-_7.43d
   saṃvibhaktam iva sāṃdhyam ātapam Ks_8.46d	saMviBaktam iva sAMDyam Atapam KH-_8.46d
   saṃsṛjyamānaḥ śaradeva lokaḥ Ks_7.74d	saMsRjyamAnaH Sarad-A-iva lokaH KH-_7.74d
   saṃskārapūtena varaṃ vareṇyaṃ Ks_7.90c	saMskAra-pUtena varam vareNyam KH-_7.90c
   saṃskāravatyeva girā manīṣī Ks_1.28c	saMskAravatI-eva girA manIzI KH-_1.28c
   saṃstuvanti kiraṇoṣmapāyinaḥ Ks_8.41d	saMstuvanti kiraNa-Uzma-pAyinaH KH-_8.41d
   saṃharaty ahar asāv aharpatiḥ Ks_8.30d	saMharati ahar asO aharpatiH KH-_8.30d
   sā kandukaiḥ kṛtrimaputrakaiś ca Ks_1.29b	sA kandukEH kRtrima-putrakEH ca KH-_1.29b
   sā kim āvedyate tubhyam Ks_6.21c	sA kim Avedyate tuByam Ks_6.21c
   sākṣād iva tapaḥsiddhir Ks_6.11c	sAkzAt iva tapaH-sidDiH KH-_6.11c
   sākṣād dṛṣṭo 'si na punar Ks_6.22a	sAkzAt dRzwaH asi na punar KH-_6.22a
   sākṣī viśvasya karmaṇaḥ Ks_6.78b	sAkzI viSvasya karmaNaH KH-_6.78b
   sāgarād anapagā hi jāhnavī Ks_8.16c	sAgarAt anapagA hi jAhnavI KH-_8.16c
   sā gaurasiddhārthaniveśavadbhir Ks_7.7a	sA gOra-sidDArTa-niveSavadBiH KH-_7.7a
   sā cakravākāṅkitasaikatāyās Ks_7.15c	sA cakravAka-aFkita-sa-ekatAyAH KH-_7.15c
   sācīkṛtā cārutareṇa tasthau Ks_3.68c	sAcIkRtA cArutareNa tasTO Ks_3.68c
   sā tathāpi rataye pinākinaḥ Ks_8.2d	sA taTA-api rataye pinAkinaH KH-_8.2d
   sā tathyam evābhihitā bhavena Ks_3.63b	sA taTyam eva-aBihitA Bavena KH-_3.63b
   sā dakṣaroṣāt sudatī sasarja Ks_1.53b	sA dakza-rozAt sudatI sasarja KH-_1.53b
   sā dṛṣṭa ity ānanam unnamayya Ks_7.85c	sA dRzwaH iti Ananam unnamayya Ks_7.85c
   sādhāraṇo bhūṣaṇabhūṣyabhāvaḥ Ks_1.42d	sADAraNaH BUzaNa-BUzya-BAvaH KH-_1.42d
   sādhvasād upagataprakampayā Ks_8.73c	sADvasAt upagata-prakampayA KH-_8.73c
   sā nirmitā viśvasṛjā prayatnād Ks_1.49c	sA nirmitA viSvasRjA prayatnAt Ks_1.49c
   sānūni gandhaḥ surabhīkaroti Ks_1.9d	sAnUni ganDaH suraBIkaroti KH-_1.9d
   sāndhyam astamitaśeṣam ātapaṃ Ks_8.54a	sAnDyam astamita-Sezam Atapam KH-_8.54a
   sānnidhyapakṣe haritālamayyās Ks_7.33c	sAnniDya-pakze haritAla-mayyAH Ks_7.33c
   sānnidhyayogād anayos tadānīṃ Ks_7.78c	sAnniDya-yogAt anayoH tadAnIm KH-_7.78c
   sā paspṛśe kevalam īśvareṇa Ks_7.31b	sA paspRSe kevalam ISvareNa KH-_7.31b
   sā babhūva vaśavartinī dvayoḥ Ks_8.79c	sA baBUva vaSa-vartinI dvayoH KH-_8.79c
   sā babhau nibhṛtā priye Ks_6.2b	sA baBO niBRtA priye KH-_6.2b
   sā bhūdharāṇām adhipena tasyāṃ Ks_1.22a	sA BUDarANAm aDipena tasyAm KH-_1.22a
   sā maṅgalasnānaviśuddhagātrī Ks_7.11a	sA maFgala-snAna-viSudDa-gAtrI KH-_7.11a
   sā maṇḍanān maṇḍanam anvabhuṅkta Ks_7.5b	sA maNxanAt maNxanam anvaBuFkta KH-_7.5b
   sāmabhiḥ sahacarāḥ sahasraśaḥ Ks_8.41a	sAmaBiH sahacarAH sahasraSas KH-_8.41a
   sāmānyam eṣāṃ prathamāvaratvam Ks_7.44b	sAmAnyam ezAm praTama-avara-tvam KH-_7.44b
   sāmibhinnatimiraṃ nabhastalam Ks_8.64b	sAmi-Binna-timiram naBastalam KH-_8.64b
   sā mumoca ratiduḥkhaśīlatām Ks_8.13d	sA mumoca rati-duHKa-SIla-tAm KH-_8.13d
   sā rañjayitvā caraṇau kṛtāśīr Ks_7.19c	sA raQjayitvA caraNO kRta-ASIH KH-_7.19c
   sāraṃ dharitrīdharaṇakṣamaṃ ca Ks_1.17b	sAram DaritrI-DaraNa-kzamam ca KH-_1.17b
   sā rājahaṃsair iva saṃnatāṅgī Ks_1.34a	sA rAjahaMsEH iva saMnata-aFgI KH-_1.34a
   sārundhatīkāḥ sapadi Ks_6.4c	sArunDatIkAH sapadi Ks_6.4c
   sārdhacandraṃ bibharti yaḥ Ks_6.75d	sa-arDacandram biBarti yaH KH-_6.75d
   sārdham uddhṛtayā bhuvā Ks_6.8b	sArDam udDRtayA BuvA KH-_6.8b
   sā lājadhūmāñjalim iṣṭagandhaṃ Ks_7.81a	sA lAja-DUma-aQjalim izwa-ganDam KH-_7.81a
   sāvaśeṣavivaraṃ kuśeśayam Ks_8.39b	sa-avaSeza-vivaram kuSeSayam KH-_8.39b
   sā vā śaṃbhos tadīyā vā Ks_2.60c	sA vA SaMBoH tadIyA vA KH-_2.60c
   sā vibhātasamaye sakhījanam Ks_8.10b	sA viBAta-samaye saKI-janam KH-_8.10b
   sā sakhībhir upadiṣṭam ākulā Ks_8.5c	sA saKIBiH upadizwam AkulA Ks_8.5c
   sā saṃbhavadbhiḥ kusumair lateva Ks_7.21a	sA saMBavadBiH kusumEH latA-iva KH-_7.21a
   sā syāt kṛtārthā kim utāṅkaśayyām Ks_7.65d	sA syAt kRtArTA kim uta-aFka-SayyAm KH-_7.65d
   sāṃparāyavasudhā saśoṇitaṃ Ks_8.54c	sAMparAya-vasuDA sa-SoNitam Ks_8.54c
   siddhaye himavatpuram Ks_6.33b	sidDaye himavat-puram KH-_6.33b
   siddhaṃ cāsmai nivedyārthaṃ Ks_6.94c	sidDam ca-asmE nivedya-arTam KH-_6.94c
   sindhos taṭāv ogha iva pravṛddhaḥ Ks_3.6d	sinDoH tawO oGaH iva pravRdDaH KH-_3.6d
   siṃhakesarasaṭāsu bhūbhṛtāṃ Ks_8.46a	siMhakesara-sawAsu BUBRtAm KH-_8.46a
   sīkaravyatikaraṃ marīcibhir Ks_8.31a	sIkara-vyatikaram marIciBiH KH-_8.31a
   sukhāya tajjanmadinaṃ babhūva Ks_1.23d	suKAya tad-janma-dinam baBUva KH-_1.23d
   sugandhiniḥśvāsavivṛddhatṛṣṇaṃ Ks_3.56a	suganDi-niHSvAsa-vivRdDa-tRzNam KH-_3.56a
   sugandhir gandhamādanaḥ Ks_6.46d	suganDiH ganDamAdanaH KH-_6.46d
   sutayā yoktum arhasi Ks_6.79b	sutayA yoktum arhasi KH-_6.79b
   sutāsaṃbandhavidhinā Ks_6.83c	sutA-saMbanDa-viDinA KH-_6.83c
   sutāṃ girīśapratisaktamānasām Ks_5.3b	sutAm girISa-pratisakta-mAnasAm KH-_5.3b
   suptavidyādharādhvagam Ks_6.46b	supta-vidyADara-aDva-gam KH-_6.46b
   subhagena priyagātrabhasmanā Ks_4.34b	suBagena priya-gAtra-BasmanA KH-_4.34b
   sumeror vitathīkṛtam Ks_6.72d	sumeroH vitaTIkRtam KH-_6.72d
   suragaja iva bibhrat padminīṃ dantalagnāṃ Ks_3.76c	sura-gajaH iva biBrat padminIm danta-lagnAm KH-_3.76c
   suratāni ca tāni te rahaḥ Ks_4.17c	suratAni ca tAni te rahaH KH-_4.17c
   surāḥ samabhyarthayitāra ete Ks_3.20a	surAH samaByarTayitAraH ete KH-_3.20a
   suvarṇasūtrair iva kṛṣyamāṇaḥ Ks_7.50d	suvarNa-sUtrEH iva kRzyamANaH KH-_7.50d
   suvyakto himavān iti Ks_6.51d	su-vyaktaH himavAn iti KH-_6.51d
   suhṛdaḥ paśya vasanta kiṃ sthitam Ks_4.27b	suhRdaH paSya vasanta kim sTitam KH-_4.27b
   sūryāṃśubhir bhinnam ivāravindam Ks_1.32b	sUrya-aMSuBiH Binnam iva-aravindam KH-_1.32b
   sṛjasy ātmānam ātmanā Ks_2.10b	sRjasi AtmAnam AtmanA KH-_2.10b
   senānyaṃ tasya śāntaye Ks_2.51b	senA-anyam tasya SAntaye KH-_2.51b
   seyam astam udayaṃ ca sevate Ks_8.52c	sA-iyam astam udayam ca sevate Ks_8.52c
   sevate sma śayanaṃ parāṅmukhī Ks_8.2c	sevate sma Sayanam parAFmuKI KH-_8.2c
   sevanād anugṛhītamanmathaḥ Ks_8.20b	sevanAt anugRhIta-manmaTaH KH-_8.20b
   sevyatām idam anaṅgadīpanam Ks_8.77b	sevyatAm idam anaFga-dIpanam KH-_8.77b
   saināpatyam upetya vaḥ Ks_2.61b	sEnApatyam upetya vaH KH-_2.61b
   saiva kṣamety ātmabhuvopadiṣṭam Ks_3.16d	sA-eva kzamA-iti AtmaBuvA-upadizwam KH-_3.16d
   so 'numānya himavantam ātmabhūr Ks_8.21a	saH anumAnya himavantam AtmaBUH KH-_8.21a
   so 'pi tanmukharasaikanirvṛtiḥ Ks_8.16d	saH api tad-muKa-rasa-eka-nirvRtiH KH-_8.16d
   so 'yam ānataśirodharair hayaiḥ Ks_8.42a	saH ayam Anata-SiroDarEH hayEH KH-_8.42a
   so 'haṃ tṛṣṇāturair vṛṣṭiṃ Ks_6.27a	saH aham tRzNA-AturEH vRzwim KH-_6.27a
   saubhāgyena jigāya yā Ks_2.53d	sOBAgyena jigAya yA KH-_2.53d
   skandhāt prabhṛty eva sapallavāni Ks_3.26b	skanDAt praBRti eva sa-pallavAni KH-_3.26b
   stanadvayaṃ pāṇḍu tathā pravṛddham Ks_1.40b	stana-dvayam pANxu taTA pravRdDam KH-_1.40b
   stanadvaye 'smin haricandanāspade Ks_5.69c	stana-dvaye asmin haricandana-Aspade KH-_5.69c
   stanasaṃbādham uro jaghāna ca Ks_4.26b	stana-saMbADam uraH jaGAna ca KH-_4.26b
   stanāṅgarāgāruṇitāc ca kandukāt Ks_5.11b	stana-aFgarAga-aruNitAt ca kandukAt KH-_5.11b
   strīṇāṃ priyālokaphalo hi veṣaḥ Ks_7.22d	strINAm priya-Aloka-PalaH hi vezaH KH-_7.22d
   strī pumān ity anāsthaiṣā Ks_6.12c	strI pumAn iti anAsTA-ezA Ks_6.12c
   strīpuṃsāv ātmabhāgau te Ks_2.7a	strI-puMsO Atma-BAgO te KH-_2.7a
   strībhyo 'pi kopasphuritādharābhyaḥ Ks_3.9d	strIByaH api kopa-sPurita-aDarAByaH KH-_3.9d
   strīsaṃnikarṣaṃ parihartum icchann Ks_3.74c	strI-saMnikarzam parihartum icCan Ks_3.74c
   sthalāravindaśriyam avyavasthām Ks_1.33d	sTala-aravinda-Sriyam avyavasTAm KH-_1.33d
   sthāṇunā ratam akāri cānayā Ks_8.13b	sTANunA ratam akAri ca-anayA KH-_8.13b
   sthāṇuṃ tapasyantam adhityakāyām Ks_3.17b	sTANum tapasyantam aDityakAyAm KH-_3.17b
   sthāṇvāśramaṃ haimavataṃ jagāma Ks_3.23d	sTANu-ASramam hEmavatam jagAma KH-_3.23d
   sthānam āhnikam apāsya dantinaḥ Ks_8.33a	sTAnam Ahnikam apAsya dantinaH KH-_8.33a
   sthānāntarasvarga ivābabhāse Ks_7.3d	sTAna-antara-svargaH iva-AbaBAse KH-_7.3d
   sthānāntare kalpitasanniveśam Ks_7.25b	sTAna-antare kalpita-sanniveSam KH-_7.25b
   sthāne tapo duścaram etadartham Ks_7.65a	sTAne tapaH duScaram etad-arTam Ks_7.65a
   sthāne tvāṃ sthāvarātmānaṃ Ks_6.67a	sTAne tvAm sTAvara-AtmAnam KH-_6.67a
