   atha saptaviṃśo 'dhyāyaḥ	aTa saptaviMSaH aDyAyaH
   te 'nusvārayutāḥ sarve kāryāḥ praṇavamadhyagāḥ /	te anusvAra yutAH sarve kAryAH praNava maDya gAH /
   nyāsātmavān manomūrteḥ sāmānyārādhane param // Paus_38.267 //	nyAsa AtmavAn manaH mUrteH sAmAnya ArADane param // POH _38.267 //
   karmānurūpamante tu namaskārādikaṃ nyaset /	karma anurUpam ante tu namaskAra Adikam nyaset /
   tathā phalābhisandhāne namaskāraḥ prakīrtitaḥ // Paus_38.268 //	taTA Pala aBisanDAne namaskAraH prakIrtitaH // POH _38.268 //
   saṃprāptau tvaṇimādīnāṃ svāhākāram udīrayet /	saMprAptO tu aNima AdInAm svAhAkAram udIrayet /
   āpyāyane tu vai vauṣaṭ sarvatra kamalodbhava // Paus_38.269 //	ApyAyane tu vE vOzaw sarvatra kamalodBavaH // POH _38.269 //
   vaśyārthe cāpi vidveṣe duṣṭoccāṭanakarmaṇi /	vaSya arTe ca api vidveze duzwa uccAwana karmaNi /
   huṃphaṭkāraṃ ca vihitam anyonyaprītaye vaṣaṭ // Paus_38.270 //	huM PawkAram ca vihitam anyonya prItaye vazaw // POH _38.270 //
   tṛptyarthe balidāne ca tejaso hyabhivṛddhaye /	tRpti arTe bali dAne ca tejasaH hi aBivRdDaye /
   ṛte sapraṇavād vipra namaskārapadāt tu vai // Paus_38.271 //	Rte sa praNavAt vipra namaskAra padAt tu vE // POH _38.271 //
   mantrāṇāṃ karmasaṃnyāsakartṝṇāṃ jātayo 'parāḥ /	mantrANAm karma saMnyAsa kartLNAm jAtayaH aparAH /
   niṣiddhāstatphalopetāstathā siddhāntināṃ nṛṇām // Paus_38.272 //	nizidDAH tad Pala upetAH taTA sidDAntinAm nRNAm // POH _38.272 //
   mantrasiddhāntavetṝṇāṃ mantrajñānāṃ viśeṣataḥ /	mantra sidDAnta vetLNAm mantra jQAnAm viSezataH /
   tathā tantrāntarajñānāṃ mantriṇāṃ kamalodbhava // Paus_38.273 //	taTA tantra antara jQAnAm mantriNAm kamalodBavaH // POH _38.273 //
   saha jātigaṇenaiva vidhinā mantrasiddhayaḥ /	saha jAti gaNena eva viDinA mantra sidDayaH /
   phalārthinām anujñātāḥ kāmabhogaratātmanām // Paus_38.274 //	Pala arTinAm anujQAtAH kAma Boga rata AtmanAm // POH _38.274 //
   prakṛtipratyayādhīnā mālāmantrādikāstu ye /	prakRti pratyaya aDInAH mAlAmantra AdikAH tu ye /
   śrutimantraiḥ samopetāstutimantrāśca ye smṛtāḥ // Paus_38.275 //	Sruti mantrEH samopetA stuti mantrAH ca ye smRtAH // POH _38.275 //
   āvarjayanti tajjñānāṃ satataṃ cittam abjaja /	Avarjayanti tad jQAnAm satatam cittam abjaja /
   natinaḥ praṇavādyā ye tyāgapiṇḍaṃ tathābjaja // Paus_38.276 //	natinaH praNava AdyAH ye tyAga piNxam taTA abjaja // POH _38.276 //
   mantrāṇāṃ vividhārthānāṃ teṣāṃ vai pārameśvarī /	mantrANAm viviDa arTAnAm tezAm vE pArameSvarI /
   śaktirnityoditā sūkṣmā sattākhyā jñānalakṣaṇā // Paus_38.277 //	SaktiH nitya uditA sUkzmA sattA AKyA jQAna lakzaNAH // POH _38.277 //
   āviśvasādhanaṃ kāryā teṣām icchā kriyābjaja /	AviSva sADanam kAryA tezAm icCA kriyA abja ja /
   vikāsayati sad vipra pradāne muktaye 'pi ca // Paus_38.278 //	vikAsayati sat vipra pradAne muktaye api ca // POH _38.278 //
   bhaktikriyāparāṇāṃ ca hitārthaṃ nityasevinām /	Bakti kriyA parANAm ca hita arTam nitya sevinAm /
   vidvān yathoktanītyā tu oṣadhyo mūlam ūrdhvagāḥ // Paus_38.279 //	vidvAn yaTA ukta nItyA tu ozaDyaH mUlam UrDva gAH // POH _38.279 //
   dagdhāgnināpi kurvanti samyagjñātakriye bhuvi /	dagDa agninA api kurvanti samyak jQAta kriye Buvi /
   kiṃ punastvāgamajñaistu bhaktyā tu vidhipūrvakam // Paus_38.280 //	kim punar tu Agama jQEH tu BaktyA tu viDi pUrvakam // POH _38.280 //
   upadeṣṭā prabuddhānāṃ kurvanti ca manohitam /	upadezwA prabudDAnAm kurvanti ca manohitam /
   teṣāṃ gantā rahaḥ sarvaṃ baddhādyaṃ śabdaḍambaram // Paus_38.281 //	tezAm gantA rahaH sarvam badDa Adyam Sabda xambaram // POH _38.281 //
   hitaṃ yat padamantrāṇāṃ samāśrityānupūrvakam /	hitam yat pada mantrANAm samASritya anupUrvakam /
   pauṣkara uvāca    	pOzkaraH uvAca    
   jñātum icchāmi bhagavan kālabhedena vai saha /	jQAtum icCAmi Bagavan kAla Bedena vE saha /
   svarūpaṃ mantrasiddhānām āgamānāṃ yathāsthitam // Paus_38.282 //	svarUpam mantra sidDAnAm AgamAnAm yaTAsTitam // POH _38.282 //
   kālabhedaḥ    	kAla BedaH    
   śrībhagavānuvāca    	SrI BagavAn uvAca    
   kālam ekaṃ dvijaśreṣṭha tad vyāpāravaśāt punaḥ /	kAlam ekam dvijaSrezWa tat vyApAra vaSAt punar /
   bhinnamābhāti kartṝṇāṃ bhagavadbhāvināṃ tu vai // Paus_38.283 //	Binnam ABAti kartLNAm Bagavat BAvinAm tu vE // POH _38.283 //
   nāḍikākalitaṃ yad vai ahorātraṃ tu ṣaḍṛtu /	nAxikA kalitam yat vE ahorAtram tu zaz Rtu /
   pañcadhā viṣamāṃśaistad āprabhātād vibhajya ca // Paus_38.284 //	paQcaDA vizama aMSEH tat ApraBAtAt viBajya ca // POH _38.284 //
   brāhmaṃ muhūrtam āsādya mantrajñaḥ prayataḥ śuciḥ /	brAhmam muhUrtam AsAdya mantra jQaH prayataH SuciH /
   śodhayitvā svakaṃ deham āyāmādyair yathoditaiḥ // Paus_38.285 //	SoDayitvA svakam deham AyAma AdyEH yaTA uditEH // POH _38.285 //
   mantravinyastadehotthaṃ kuryān mantrārcanaṃ tataḥ /	mantra vinyasta deha utTam kuryAt mantra arcanam tatas /
   japastotrāvasānaṃ ca yāvad ādityadarśanam // Paus_38.286 //	japa stotra avasAnam ca yAvat Aditya darSanam // POH _38.286 //
   kuryād bhogārcanaṃ paścāt puṣpamūlaphalādikam /	kuryAt Boga arcanam paScAt puzpa mUla Pala Adikam /
   gate dināṣṭame bhāge snānapūrvaṃ samācaret // Paus_38.287 //	gate dina azwame BAge snAna pUrvam samAcaret // POH _38.287 //
   prāgvadārādhanaṃ mantraṃ tṛtīyapraharāvadhi /	prAgvat ArADanam mantram tRtIya prahara avaDi /
   tataścaturthaprahare śāstrādhyayanam ācaret // Paus_38.288 //	tatas caturTa prahare SAstra aDyayanam Acaret // POH _38.288 //
   cintanaṃ śravaṇopetaṃ vyākhyānaṃ svadhiyecchayā /	cintanam SravaNa upetam vyAKyAnam sva DiyA icCayA /
   astaṃgate dinakare āsādyārādhanālayam // Paus_38.289 //	astaMgate dinakare AsAdya ArADana Alayam // POH _38.289 //
   kuryānmantrārcanaṃ samyagjapadhyānasamanvitam /	kuryAt mantra arcanam samyak japa DyAna samanvitam /
   āsādya śayanaṃ paścāt smarenmantreśvaraṃ hṛdi // Paus_38.290 //	AsAdya Sayanam paScAt smaret mantreSvaram hRdi // POH _38.290 //
   kṣapayitvā niśāṃśaṃ tu utthāya śayanāt tataḥ /	kzapayitvA niSA aMSam tu utTAya SayanAt tatas /
   yogaṃ yuñjīta vai māntraṃ prāgvaddhṛtkamalodare // Paus_38.291 //	yogam yuQjIta vE mAntram prAgvat hRt kamala udare // POH _38.291 //
   talpam āsādya vai bhūyaḥ prabuddhaḥ kamalodbhava /	talpam AsAdya vE BUyas prabudDaH kamalodBavaH /
   utthāya śayanaṃ tyaktvā tataḥ pūrvoktam ācaret // Paus_38.292 //	utTAya Sayanam tyaktvA tatas pUrva uktam Acaret // POH _38.292 //
   kālabhedam imaṃ viddhi śāstrabhedam athocyate /	kAla Bedam imam vidDi SAstra Bedam aTa ucyate /
   kartavyatvena vai yatra cāturātmyam upāsyate // Paus_38.293 //	kartavya tvena vE yatra cAturAtmyam upAsyate // POH _38.293 //
   kramāgataiḥ svasaṃjñābhibrāhmaṇair āgamaṃ tu tat /	krama AgatEH sva saMjQA aBibrAhmaNEH Agamam tu tat /
   viddhi siddhāntasaṃjñaṃ ca tatpūrvam atha pauṣkara // Paus_38.294 //	vidDi sidDAnta saMjQam ca tat pUrvam aTa pOzkara // POH _38.294 //
   nānāvyūhasametaṃ ca mūrtidvādaśakaṃ hi yat /	nAnA vyUha sametam ca mUrti dvAdaSakam hi yat /
   tathā mūrtyantarayutaṃ prādurbhāvagaṇaṃ tu vai // Paus_38.295 //	taTA mUrti antara yutam prAdurBAva gaNam tu vE // POH _38.295 //
   prādurbhāvāntarayutaṃ dhṛ (vṛ) taṃ hṛtpadmapūrvakam /	prAdurBAva antara yutam DR (vR) tam hRd padma pUrvakam /
   lakṣmyādiśaṅkhacakrākhyagārutmyasadigīśvaraiḥ // Paus_38.296 //	lakzmI Adi SaFKa cakra AKya gArutmi asa digISvarEH // POH _38.296 //
   sagaṇair astraniṣṭhaistu taṃ viddhi kamalodbhava /	sa gaNEH astra nizWEH tu tam vidDi kamalodBavaH /
   mantrasiddhāntasaṃjñaṃ ca śāstraṃ sarvaphalapradam // Paus_38.297 //	mantra sidDAnta saMjQam ca SAstram sarva Pala pradam // POH _38.297 //
   vinā mūrticatuṣkeṇa yatrānyad upacaryate /	vinA mUrti catuzkeNa yatra anyat upacaryate /
   mantreṇa bhagavad rūpaṃ kevalaṃ yāgasaṃyutam // Paus_38.298 //	mantreNa Bagavat rUpam kevalam yAga saMyutam // POH _38.298 //
   yuktaṃ śriyādikenaiva kāntāvyūhena pauṣkara /	yuktam SriyA Adikena eva kAntA vyUhena pOzkara /
   bhinnair ābharaṇair astrair āvṛtaṃ ca savigrahaiḥ // Paus_38.299 //	BinnEH ABaraNEH astrEH AvRtam ca sa vigrahEH // POH _38.299 //
   tantrasiddhāntasaṃjñaṃ tacchāstraṃ bhogāpavargadam /	tantra sidDAnta saMjQam tat SAstram Boga apavarga dam /
   mukhyānuvṛttibhedena yatra siṃhādayastu vai // Paus_38.300 //	muKya anuvRtti Bedena yatra siMha AdayaH tu vE // POH _38.300 //
   catustridvayādikenaiva yogenābhyarcite tu vai (?na tu) /	catur tri dvaya Adikena eva yogena aByarcite tu vE (?na tu) /
   saṃvṛtāḥ parivāreṇa svena svenānvitāstu vā // Paus_38.301 //	saMvRtAH parivAreNa svena svena anvitAH tu vA // POH _38.301 //
   yacchaktyārādhitaṃ sarvaṃ viddhi tantrāntaraṃ tu tat /	yat Sakti ArADitam sarvam vidDi tantra antaram tu tat /
   evaṃ nānāgamānāṃ ca sāmānyaṃ viddhi sarvadā // Paus_38.302 //	evam na anAgamAnAm ca sAmAnyam vidDi sarvadA // POH _38.302 //
   nāmadvayaṃ ca siddhāntaṃ pañcarātreti pauṣkara /	nAma dvayam ca sidDAntam paQca rAtra iti pOzkara /
   ekaikaṃ bahubhirbhedair āmūlādeva saṃsthitam // Paus_38.303 //	ekEkam bahuBiH BedEH AmUlAt eva saMsTitam // POH _38.303 //
   nānāśayavaśenaiva siddhādyaiḥ prakaṭīkṛtam /	nAnA ASaya vaSena eva sidDa AdyEH prakawIkRtam /
   saṃkṣiptaṃ saprapañcaṃ ca tṛtīyam ubhayātmakam // Paus_38.304 //	saMkziptam sa prapaQcam ca tRtIyam uBaya Atmakam // POH _38.304 //
   setihāsapurāṇaistu vedair vedāntasaṃyutaiḥ /	sa itihAsa purANEH tu vedEH vedAnta saMyutEH /
   ye janmakoṭibhiḥ siddhāsteṣām anto 'tra vai smṛtaḥ // Paus_38.305 //	ye janma kowiBiH sidDAH tezAm antaH atra vE smRtaH // POH _38.305 //
   (ya) tasmāt samyak paraṃ brahma vāsudevākhyam avyayam /	(ya) tasmAt samyak param brahma vAsudeva AKyam avyayam /
   etasmāt prāpyate śāstrād jñānapūrveṇa karmaṇā // Paus_38.306 //	etasmAt prApyate SAstrAt jQAna pUrveNa karmaNA // POH _38.306 //
   siddhāntasaṃjñā viprāsya sārthakā ata eva hi /	sidDAnta saMjQA vipra asya sArTakAH atas eva hi /
   purāṇaṃ vedavedāntaṃ tathānyatsāṅkhyayogajam // Paus_38.307 //	purANam veda vedAntam taTA anyat sAFKya yoga jam // POH _38.307 //
   pañcaprakāraṃ vijñeyaṃ yatra rātryāyate 'bjaja /	paQca prakAram vijQeyam yatra rAtrI Ayate abja ja /
   phalotkarṣavaśenaiva pañcarātramiti smṛtam // Paus_38.308 //	Pala utkarza vaSena eva paQca rAtram iti smRtam // POH _38.308 //
   sadāgamākhyaṃ mūlaṃ tu parabrahmaprakāśakam /	sadAgama AKyam mUlam tu para brahma prakASakam /
   divyasiddhipradaṃ caiva śāntikṛd vighnakarmaṇām // Paus_38.309 //	divya sidDi pradam ca eva SAnti kRt viGna karmaNAm // POH _38.309 //
   iti śrīpāñcarātre mahopaniṣadi pauṣkarasaṃhitāyāṃ adhikāranirūpaṇaṃ nāma	iti SrI pAQcarAtre mahA upanizadi pOzkara saMhitAyAm aDikAranirUpaNam nAma
   aṣṭātriṃśo 'dhyāyaḥ ||	azwAtriMSaH aDyAyaH ||
   (samuditaślokasaṃkhyā 313)	(samudita Sloka saMKyA 313)
   atha ekonacatvāriṃśo 'dhyāyaḥ	aTa ekonacatvAriMSaH aDyAyaH
   pauṣkara uvāca    	pOzkaraH uvAca    
   pramāṇam āgamānāṃ ca sasaṃjñaṃ parameśvara /	pramANam AgamAnAm ca sa saMjQam parameSvara /
   jñātumicchāmyahaṃ śaśvat saṃbandhaṃ vibudhādikam // Paus_39.1 //	jQAtum icCAmi aham SaSvat saMbanDam vibuDa Adikam // POH _39.1 //
   śrībhagavānuvāca    	SrI BagavAn uvAca    
   saṃkṣiptaṃ triprakāraṃ ca kanīyomadhyamottamam /	saMkziptam tri prakAram ca kanIyaH maDyama uttamam /
   anuṣṭup chandobandhena baddhaṃ ślokaśatāt tu yat // Paus_39.2 //	anuzwuB CandobanDena badDam Sloka SatAt tu yat // POH _39.2 //
   pādasaṃjñaṃ hi tacchāstraṃ mūlākhyaṃ dviguṇaṃ ca tat /	pAda saMjQam hi tat SAstram mUla AKyam dviguNam ca tat /
   yat sārdhaṃ śatasaṃkhyaṃ tu taduddhāram iti smṛtam // Paus_39.3 //	yat sArDam Sata saMKyam tu tad udDAram iti smRtam // POH _39.3 //
   nyūnabhedāstrayastvete ūnādhikyena vai saha /	nyUna BedAH trayaH tu ete Una ADikyena vE saha /
   bahudhā cāpi sarveṣāṃ na saṃjñā calate punaḥ // Paus_39.4 //	bahuDA ca api sarvezAm na saMjQA calate punar // POH _39.4 //
   sārdhaṃ śatadvayaṃ yad vai parijñeyaṃ taduttaram /	sArDam Sata dvayam yat vE parijQeyam tad uttaram /
   bṛhaduttarasaṃjñaṃ ca yad etad dviguṇaṃ bhavet // Paus_39.5 //	bRhaduttara saMjQam ca yat etat dviguNam Bavet // POH _39.5 //
   sārdhaṃ sahasrasaṃkhyaṃ tu kalpaṃ tat samudāhṛtam /	sArDam sahasra saMKyam tu kalpam tat samudAhRtam /
   trayasyāsya parijñeyam ūnādhikyaṃ punaḥ śataiḥ // Paus_39.6 //	trayasya asya parijQeyam Una ADikyam punar SatEH // POH _39.6 //
   evaṃ saṃjñāntarāstvanye āgamāḥ santyanekaśaḥ /	evam saMjQA antarAH tu anye AgamAH santi anekaSas /
   kalpaikadeśāste sarve parijñeyāstathābjaja // Paus_39.7 //	kalpa eka deSAH te sarve parijQeyAH taTA abja jaH // POH _39.7 //
   ā sahasratrayāt sārdhāt ṣaṭsahastraṃ hi sottaram /	A sahasra trayAt sArDAt zaz sahastram hi sottaram /
   dviṣaṭsahasraparyantaṃ saṃhitākhyaṃ tadāgamam // Paus_39.8 //	dvizaz sahasra paryantam saMhita AKyam tad Agamam // POH _39.8 //
   ye cānye cāntarālaṃ vai śāstrārthenādhikaiḥ śataiḥ /	ye ca anye ca antarAlam vE SAstra arTena aDikEH SatEH /
   sarveṣāṃ saṃhitāsaṃjñā boddhavyā kamalodbhava // Paus_39.9 //	sarvezAm saMhitA saMjQA bodDavyA kamalodBavaH // POH _39.9 //
   sapādalakṣaparyantā ye ca śāstrāṇyatordhvataḥ /	sa pAda lakza paryantAH ye ca SAstra aNi ata UrDvatas /
   sahasraśatamānena ādhikyena prakāśitāḥ // Paus_39.10 //	sahasra SatamAnena ADikyena prakASitAH // POH _39.10 //
   kalpaskandhāt tu te sarve parijñeyāḥ krameṇa tu /	kalpa skanDAt tu te sarve parijQeyAH krameNa tu /
   lakṣādhikaistu bahubhiḥ sahasraistu śatānvitaiḥ // Paus_39.11 //	lakza aDikEH tu bahuBiH sahasrEH tu Sata anvitEH // POH _39.11 //
   sārdhakoṭitrayāntaṃ ca tacca tantrākhyam āgamam /	sArDa kowi traya antam ca tat ca tantra AKyam Agamam /
   navaprakāramityetad bhedamuktaṃ trayasya ca // Paus_39.12 //	nava prakAram iti etat Bedam uktam trayasya ca // POH _39.12 //
   yatrāntarālasaṃkhyānām asaṃkhyeyaṃ pravartate /	yatra antarAla saMKyAnAm asaMKyeyam pravartate /
   yugānusārabodhena traiguṇyavalitena ca // Paus_39.13 //	yuga anusAra boDena trEguNya valitena ca // POH _39.13 //
   divyādyavāntarāntena saṃbandhena ca bhūriṇā /	divyAt i avAntara antena saMbanDena ca BUriNA /
   aprameyābhidhānaṃ ca ata ūrdhvaṃ samāgamaḥ // Paus_39.14 //	aprameya aBiDAnam ca atas UrDvam samAgamaH // POH _39.14 //
   kālena saha niryāntam asaṃkhyaṃ parameśvarāt /	kAlena saha niryAntam asaMKyam parameSvarAt /
   tad vai viditavedyānāṃ siddhānāṃ saṃsthitaṃ hṛdi // Paus_39.15 //	tat vE vidita vedyAnAm sidDAnAm saMsTitam hRdi // POH _39.15 //
   yaiḥ svabodhapramāṇena koṭisaṃkhyaṃ prakāśitam /	yEH sva boDa pramANena kowi saMKyam prakASitam /
   pādāntā yasya vai bhedāḥ kramaśaḥ samudāhṛtāḥ // Paus_39.16 //	pAda antAH yasya vE BedAH kramaSas samudAhRtAH // POH _39.16 //
   yatra yatrecchayā jātaṃ matabhedena vai saha /	yatra yatra icCayA jAtam mata Bedena vE saha /
   kriyāntarāśca bahavaḥ śuddhā rājasa tāmasāḥ // Paus_39.17 //	kriyA antarAH ca bahavaH SudDAH rAja sa tAmasAH // POH _39.17 //
   ādyaṃ sarvāgamānāṃ ca pārameśvaram āgamam /	Adyam sarva AgamAnAm ca pArameSvaram Agamam /
   pramāṇapariśuddhaṃ ca hitam abjaja sātvatam // Paus_39.18 //	pramANa pariSudDam ca hitam abjaja sAtvatam // POH _39.18 //
   siddhānte bhagavat tattvavedinaḥ paramārthataḥ /	sidDAnte Bagavat tattva vedinaH paramArTataH /
   kramāgataśca taiḥ prāptaṃ muktaye bhavināṃ tu vai // Paus_39.19 //	krama AgataH ca tEH prAptam muktaye BavinAm tu vE // POH _39.19 //
   pauṣkara uvāca    	pOzkaraH uvAca    
   vibhoḥ sarveśvarādyena svīkṛtaṃ pārameśvaram /	viBoH sarva ISvara Adyena svIkRtam pArameSvaram /
   aprameyaṃ mahat śāstram anantaṃ gaganopamam // Paus_39.20 //	aprameyam mahat SAstram anantam gagana upamam // POH _39.20 //
   śrībhagavānuvāca    	SrI BagavAn uvAca    
   sarveśvarasya ca vibhor avyayasyācyutasya ca /	sarva ISvarasya ca viBoH avyayasya acyutasya ca /
   vācyasya vāsudevasya aprameyākhyam āgamam // Paus_39.21 //	vAcyasya vAsudevasya aprameya AKyam Agamam // POH _39.21 //
   apṛthaglakṣaṇaṃ viddhi svasya śabdaṃ yathā dvija /	apRTak lakzaNam vidDi svasya Sabdam yaTA dvija /
   jñānātmasaṃjñam ātmānaṃ nītaṃ vai svecchayā dvija // Paus_39.22 //	jQAna Atma saMjQam AtmAnam nItam vE sva icCayA dvija // POH _39.22 //
   svabhāvamāptakāmasya tasyaitat svavaśasya ca /	svaBAvam Apta kAmasya tasya etat svavaSasya ca /
   jñānāṃśenābhimānākhyaṃ guṇaśaktimayaṃ mahat // Paus_39.23 //	jQAna aMSena aBimAna AKyam guNa Sakti mayam mahat // POH _39.23 //
   gṛhītasvayam ātmānam atīndriyam anaśvaram /	gRhIta svayam AtmAnam atIndriyam anaSvaram /
   śabdamūrtiḥ sa bhagavān svecchayā svayametya ca // Paus_39.24 //	Sabda mUrtiH sa BagavAn sva icCayA svayam etya ca // POH _39.24 //
   viśrāntaṃ jñānamūrtau tu sa ca saṃkarṣaṇo vibhuḥ /	viSrAntam jQAna mUrtO tu sa ca saMkarzaNaH viBuH /
   svayaṃ vīryam anantaṃ ca mūrchitaṃ jñānamūrtinā // Paus_39.25 //	svayam vIryam anantam ca mUrCitam jQAna mUrtinA // POH _39.25 //
   guṇaṃ śaktimayaṃ yasya prakāśākhyaṃ tu vigraham /	guNam Sakti mayam yasya prakASa AKyam tu vigraham /
   ābhimānikam akṣobhyaṃ pradyumnākhyaṃ tu śāśvatam // Paus_39.26 //	ABimAnikam akzoByam pradyumna AKyam tu SASvatam // POH _39.26 //
   mahatā tena bhūtena śāstraṃ vidyutprabhojvalam /	mahatA tena BUtena SAstram vidyut praBojvalam /
   śvasitaṃ vīryamūrtistu praviṣṭaḥ svayameva hi // Paus_39.27 //	Svasitam vIrya mUrtiH tu pravizwaH svayam eva hi // POH _39.27 //
   atha vīryātmanā vipra prasaraṃ taijasaṃ mahat /	aTa vIrya AtmanA vipra prasaram tEjasam mahat /
   janitaṃ cāniruddheti dhatte yo 'naśvaraṃ vapuḥ // Paus_39.28 //	janitam ca anirudDA iti Datte yaH anaSvaram vapuH // POH _39.28 //
   guṇaśaktiguṇopetam aparājitam akṣayam /	guNa Sakti guNa upetam aparAjitam akzayam /
   tyaktam udgāravat śāstraṃ pradyumnena mahātmanā // Paus_39.29 //	tyaktam udgAra vat SAstram pradyumnena mahAtmanA // POH _39.29 //
   ādāya vidhṛtaṃ tad vai aniruddhātmanā hṛdi /	AdAya viDRtam tat vE anirudDa AtmanA hRdi /
   guṇavyaktimayaṃ devaṃ vāgīśam asṛjat prabhuḥ // Paus_39.30 //	guNa vyakti mayam devam vAgISam asRjat praBuH // POH _39.30 //
   aniruddho 'vyayātmā ca arthayugmaṃ tadāgamam /	anirudDaH avyaya AtmA ca arTa yugmam tad Agamam /
   anuddhṛtam asandigdhaṃ gataṃ cāvyayatāṃ tataḥ // Paus_39.31 //	anudDRtam asandigDam gatam ca avyayatAm tatas // POH _39.31 //
   yadaṃśād viditaṃ tad vai jñānamūrte svavigrahe /	yad aMSAt viditam tat vE jQAna mUrte sva vigrahe /
   avyayīkṛtamādye tu svarūpaṃ jñānamūrtinā // Paus_39.32 //	avyayIkRtam Adye tu svarUpam jQAna mUrtinA // POH _39.32 //
   nītaṃ samarasatvaṃ ca pratiśāstre prakāśite /	nItam samara satvam ca pratiSAstre prakASite /
   vāgīśvarācca siddhānāṃ tairuddhṛtya yathoditam // Paus_39.33 //	vAgISvarAt ca sidDAnAm tEH udDRtya yaTA uditam // POH _39.33 //
   samyak samuccayīkṛtya navanītaṃ yatho(?thā)dadheḥ /	samyak samuccayIkRtya navanItam yaTo(?TA) daDeH /
   vibhorvidyādhidevasya brahmaṇo 'sya prakāśitam // Paus_39.34 //	viBoH vidyA aDidevasya brahmaNaH asya prakASitam // POH _39.34 //
   rudrādityendrapūrvāṇāṃ devānāṃ coditairdvija /	rudra Aditya indra pUrvANAm devAnAm coditEH dvija /
   svāṃśotthānāṃ ca rudrādyaiḥ svāṃśotthairarthināmapi // Paus_39.35 //	sva aMSa utTAnAm ca rudra AdyEH sva aMSa utTEH arTinAm api // POH _39.35 //
   brahmaṇā nāradādīnāṃ svasutānāṃ prakāśitam /	brahmaNA nArada AdInAm sva sutAnAm prakASitam /
   tebhyo lokatrayāntasthaṛṣīṇāṃ bhāvitātmanām // Paus_39.36 //	teByaH lokatraya antasTa RzINAm BAvitAtmanAm // POH _39.36 //
   svābhiprāyavaśenaiva nānākālavaśād api /	sva aBiprAya vaSena eva nAnA kAla vaSAt api /
   nānādeśavaśāccaiva nānājātivaśād api // Paus_39.37 //	nAnA deSa vaSAt ca eva nAnA jAti vaSAt api // POH _39.37 //
   ityetat śāstrasaṃbandhaṃ kathitaṃ te yathāsthitam /	iti etat SAstra saMbanDam kaTitam te yaTAsTitam /
