   oṃ namaścidātmaparamārthavapuṣe //	om namaH-cidAtma-parama-arTa-vapuze //
   yādṛk yādṛśaḥ avabhātaḥ upadeśakramānusāreṇa paripūrṇasvātantryalakṣaṇāṃ	yAdRS yAdRSaH avaBAtaH upadeSa-krama-anusAreNa paripUrNa-svAtantrya-lakzaNAm
   mitāṃ vā parāmarśadaśāṃ gataḥ tadṛśa eva sadā asau yenaiva svarūpeṇa	mitAm vA parAmarSa-daSAm gataH tadRSaH eva sadA asO yena-eva svarUpeNa
   jñāninā svātmā sarvakālaṃ parāmṛṣṭaḥ tādrūpyeṇa vāsanāprarohāttasya	jQAninA sva-AtmA sarvakAlam parAmRzwaH tAdrUpyeNa vAsanA-prarohAt-tasya
   prathate na punaḥ dehapāte prakāśito 'pi svātmā jñāninaḥ anyathā	praTate na punar dehapAte prakASitaH api sva-AtmA jQAninaH anyaTA
   samācchāditaḥ bhavati / na hi bhātamabhātaṃ syādaparathā na	samAcCAditaH Bavati / na hi BAtam-aBAtam syAt-aparaTA na
   kaścitkiñcidabhyasediti sarvavyavahāravipralopo bhavet	kaScid-kiQcid-aByaset-iti sarva-vyavahAra-vipralopaH Bavet-
   dharmeṇa gamanamūrdhvaṃ gamanamadhastādbhavatyadharmeṇa /	DarmeNa gamanam-UrDvam gamanam-aDastAt-Bavati-aDarmeNa /
   jñānena cāpavargo viparyayādiṣyate bandhaḥ //	jQAnena ca-apavargaH viparyayAt-izyate banDaH //
   ityādi sarvaṃ ca truṭyettasmānmaraṇakāle śarīraṃ yathāstu tathāstu kevalaṃ	ityAdi sarvam ca truwyet-tasmAt-maraNa-kAle SarIram yaTA-astu taTA-astu kevalam
   vāsanāprarohaḥ svātmagataḥ sarvasya bandhe mokṣe ca heturiti // 93 //	vAsanA-prarohaH sva-Atma-gataH sarvasya banDe mokze ca hetuH-iti // 93 //
   yadi punardhātuvaiṣamyāccharīre maraṇavyathopalabdhiḥ	yadi punar-DAtu-vEzamyAt-SarIre maraNa-vyaTA-upalabDiH
   syānnaitāvatābhyāsaprarohe kācitkṣatirityāveditāmeva sthitimupalabdhuṃ	syAt-na-etAvatA-aByAsa-prarohe kAcid-kzatiH-iti-AveditAm-eva sTitim-upalabDum
   parighaṭayate	pariGawayate
   karaṇagaṇasaṃpramoṣaḥ smṛtināśaḥ śvāsakalilatā cchedaḥ /	karaNa-gaNa-saMpramozaH smRti-nASaH SvAsa-kali-latA cCedaH /
   marmasu rujāviśeṣāḥ śarīrasaṃskārajo bhogaḥ // 94 //	marmasu rujA-viSezAH SarIra-saMskAra-jaH BogaH // 94 //
   sa kathaṃ vigrahayoge sati na bhavettena mohayoge 'pi /	sa kaTam vigraha-yoge sati na Bavet-tena moha-yoge api /
   maraṇāvasare jñānī na cyavate svātmaparamārthāt // 95 //	maraNa-avasare jQAnI na cyavate sva-Atma-parama-arTAt // 95 //
   karaṇagaṇasya bāhyāntargatasya trayodaśātmakasya samyak pramoṣaḥ	karaNa-gaNasya bAhya-antargatasya trayodaSa-Atmakasya samyak pramozaH
   svarūpavipralopo yathā cakṣurādīnīndriyāṇi rūpādiviṣayālocanāyāṃ na	sva-rUpa-vipralopaH yaTA cakzuH-AdIni-indriyANi rUpa-Adi-vizaya-AlocanAyAm na
   pragalbhante vāgādikarmendriyāṇyapyevaṃ vacanādānādau na pravartante nāpi	pragalBante vAc-Adi-karmendriyANi-api-evam vacana-AdAnAdO na pravartante na-api
   buddhiryathārthamarthamadhyavasyati manaso 'navasthitirahaṅkāro 'pi madhye	budDiH-yaTArTam-arTam-aDyavasyati manasaH anavasTitiH-ahaFkAraH api maDye
   madhye saṃskāratayāste / tathā smṛtināśaḥ anubhūtaviṣayasya saṃpramoṣo	maDye saMskAra-tayA-Aste / taTA smRti-nASaH anuBUta-vizayasya saMpramozaH-
   bandhubhirarthyamāno 'pi mumūrṣuḥ puro 'vasthitaṃ vastu śataśo	banDuBiH-arTyamAnaH api mumUrzuH puras avasTitam vastu SataSas-
   'nubhūtamapi na pratyabhijānātyata eva sadā tadbhāvabhāvitatvaṃ vinā	anuBUtam-api na pratyaBijAnAti-atas eva sadA tad-BAva-BAvita-tvam vinA
   brahmavidyādikathanamantakāle dānamanyatkiñcidvā tasyāmavasthāyāṃ	brahma-vidyA-Adi-kaTanam-anta-kAle dAnam-anyat-kiQcid-vA tasyAm-avasTAyAm
   nabhaścitramiva na citte prarohati kintu taditikartavyatāmātraṃ kāryamiti	naBaH-citram-iva na citte prarohati kintu tad-itikartavya-tA-mAtram kAryam-iti
   niyogaḥ / tathā śvāsaḥ kaṇṭhyo vāyustasya kalilatā kaṇṭhadeśe gadgadikā	niyogaH / taTA SvAsaH kaNWyaH vAyuH-tasya kalilatA kaNWa-deSe gadgadikA
   hikkā vā / anyacca marmasu chedaḥ asthisaṃdhiṣu troṭaḥ / tathā rujāviśeṣāḥ	hikkAH vA / anyat-ca marmasu CedaH asTi-saMDizu trowaH / taTA rujA-viSezAH
   jvarātīsāraprabhṛtaya iti / evaṃ yaḥ śarīrasya bhūtakañcukasya	jvara-atIsAra-praBRtayaH iti / evam yaH SarIrasya BUtakaQcukasya
   vātapittaśleṣmadhātuvaiṣamyāt śarīrasaṃskārajo bhogaḥ dehajo	vAta-pitta-Slezma-DAtu-vEzamyAt SarIra-saMskAra-jaH BogaH deha-jaH-
   duḥkhānubhavaḥ sa katham kena prakāreṇa vigrahayoge sati jñānino 'pi na	duHKa-anuBavaH sa kaTam kena prakAreNa vigraha-yoge sati jQAninaH api na
   bhavet syādeva / tena hetunā jñānī sadādhaspadīkṛtadehādyabhimānaḥ	Bavet syAt-eva / tena hetunA jQAnI sadA-aDaspadIkRta-deha-Adi-aBimAnaH
   samāviṣṭasvātmamaheśvarabhāvaśca maraṇakṣaṇajanitaśārīrājñānasaṃbandhe 'pi	samAvizwa-sva-Atma-maheSvara-BAvaH-ca maraNa-kzaNa-janita-SArIra-ajQAna-saMbanDe api
   svātmaparamārthāt prarūḍhacaitanyapratyavamarśasatattvāt na cyavate	sva-Atma-parama-arTAt prarUXa-cEtanya-pratyavamarSa-sa-tattvAt na cyavate
   nānyathābhāvaṃ yāti / yato 'sau jñānī nyakkṛtadehasaṃbandho na tajjena	na-anyaTABAvam yAti / yatas asO jQAnI nyakkRta-deha-saMbanDaH na tad-jena
   bhogena tanmayīkartuṃ pāryate kevalaṃ lokavacceccharīrapātasamanantaraṃ	Bogena tad-mayIkartum pAryate kevalam loka-vat-ced-SarIra-pAta-samanantaram
   kṣaṇaṃ nopalabhata ityetāvatā tasya svasthahṛdayasya	kzaNam na-upalaBate iti-etAvatA tasya svasTa-hRdayasya
   svasaṃkalpitābhiprāyeṇa svasthaceṣṭatayābhyastabhagavadbhakterna	sva-saMkalpita-aBiprAyeNa svasTa-cezwa-tayA-aByasta-Bagavat-BakteH-na
   kiñcidapūrvaṃ samāpatati tasmājjñānī svātmaprathāsamanantarameva mukto na	kiQcid-apUrvam samApatati tasmAt-jQAnI sva-Atma-praTA-samanantaram-eva muktaH na
   śarīrasaṃskāro 'sya bandhadāyīti śataśaḥ prākpratipāditam / yastu sadā	SarIra-saMskAraH asya banDa-dAyi-iti SataSas prAk-pratipAditam / yaH-tu sadA
   dehātmamānī puṇyapāpamayaḥ sa kathaṃ	deha-Atma-mAnI puNya-pApa-mayaH sa kaTam
   dehasaṃskārodbhūtasukhaduḥkhādibhogajanitaṃ tanmayatvaṃ nāyāti / yaduktam	deha-saMskAra-udBUta-suKa-duHKa-Adi-Boga-janitam tad-maya-tvam na-AyAti / yat-uktam
   yadā sattve pravṛddhe tu pralayaṃ yāti dehabhṛt /	yadA sattve pravRdDe tu pralayam yAti dehaBRt /
   tadottamavidāṃ lokānamalānpratipadyate //	tadA-uttama-vidAm lokAn-amalAn-pratipadyate //
   ityādi / sattvādayo guṇāḥ prakṛtidharmāstanmayasyaiva niyantraṇāṃ	ityAdi / sattva-AdayaH guNAH prakRti-DarmAH-tad-mayasya-eva niyantraNAm
   vidadhate yena punastato viviktatayā pariśīlitā na taṃ pratyete kecaneti	vidaDate yena punar-tatas vivikta-tayA pariSIlitAH na tam pratyete kecana-iti
   jñānino 'nya eva panthāḥ / ye punaradṛṣṭagurucaraṇāḥ paśupramātāraste	jQAninaH anyaH eva panTAH / ye punar-adRzwa-guru-caraNAH paSu-pramAtAraH-te
   svagatāndharmānanyatrāpādayanti / yathā yadyayaṃ jñānī syātkimiti	sva-gatAn-DarmAn-anyatra-ApAdayanti / yaTA yadi-ayam jQAnI syAt-kim-iti
   vyādhyādyupahataśarīro bhuṅkte paridadhāti ca yadi vā maraṇasamaye	vyADi-Adi-upahata-SarIraH BuFkte paridaDAti ca yadi vA maraNa-samaye
   jāḍyamāyātaḥ smṛtamanena na kiñcidityevaṃ	jAxyam-AyAtaH smRtam-anena na kiQcid-iti-evam
   bahuprakāramavidyopahatatvādvivadamānāśca kena paryanuyujyantām / yadyayaṃ	bahu-prakAram-avidyA-upahata-tvAt-vivadamAnAH-ca kena paryanuyujyantAm / yadi-ayam
   jñānī syāddehadharmasaṃskārayuktaśca bhavetkimetāvatā ca tasya duṣyet /	jQAnI syAt-deha-Darma-saMskAra-yuktaH-ca Bavet-kim-etAvatA ca tasya duzyet /
   jñāninaḥ svātmaprakāśastattadavasthāvicitro 'pi svātmaprakāśa eva na	jQAninaH sva-Atma-prakASaH-tad-tad-avasTA-vicitraH api sva-Atma-prakASaH eva na
   punastasya svātmānubhavitṛtayā vipralopaḥ syādyena jñānaṃ naśyet /	punar-tasya sva-Atma-anuBavitRtayA vipralopaH syAt-yena jQAnam naSyet /
   pūrṇaṣāḍguṇyamahimāpi bhagavānvāsudevaḥ kṛṣṇāvatāre	pUrNa-zAxguNya-mahimA-api BagavAn-vAsudevaH kRzNa-avatAre
   vyādhaśarāghātajanitavyatho bhūtaśarīraṃ tyaktavānityevaṃ kṛtvā kiṃ tasya	vyADa-Sara-AGAta-janita-vyaTaH BUta-SarIram tyaktavAn-iti-evam kRtvA kim tasya
   jagatprabhoḥ svasvarūpavipralopo 'bhūdityā kīṭātsadāśivāntasyāpi	jagatpraBoH sva-svarUpa-vipralopaH aBUt-ityA kIwAt-sadASiva-antasya-api
   dehasaṃskāra etādṛśa eva kintvekaḥ svātmapratyavamarśamātrasanāthadeho	deha-saMskAraH etAdRSaH eva kintu-ekaH sva-Atma-pratyavamarSa-mAtra-sanATa-dehaH-
   'parastu dehādyātmamānitāsatattva itīyānviśeṣaḥ / tasmāccharīradharmā	aparaH-tu deha-Adi-Atma-mAni-tAsa-tattvaH iti-iyAn-viSezaH / tasmAt-SarIra-DarmA
   jñānyajñāninoḥ sadṛśā eva naitāvatā phalasāmyamityetadeva gītāsūktam	jQAnyajQAninoH sadRSAH eva na-etAvatA Pala-sAmyam-iti-etat-eva gIta-Asu-uktam
   sadṛśaṃ ceṣṭate svasyāḥ prakṛterjñānavānapi /	sadRSam cezwate svasyAH prakRteH-jQAnavAn-api /
   prakṛtiṃ yānti bhūtāni nigrahaḥ kiṃ kariṣyati //	prakRtim yAnti BUtAni nigrahaH kim karizyati //
   iti // 95 //	iti // 95 //
   idānīmakrameṇa krameṇa ca jñānayogapariśīlane vicitraparaśaktipātameva	idAnIm-akrameNa krameNa ca jQAna-yoga-pariSIlane vicitra-para-SaktipAtam-eva
   kāraṇaṃ pratipādayanphalabhedamāha	kAraNam pratipAdayan-Pala-Bedam-Aha
   paramārthamārgamenaṃ jhaṭiti yadā gurumukhātsamabhyeti /	parama-arTa-mArgam-enam Jawiti yadA guru-muKAt-samaByeti /
   atitīvraśaktipātāttadaiva nirvighnameva śivaḥ // 96 //	ati-tIvra-SaktipAtAt-tadA-eva nirviGnam-eva SivaH // 96 //
   yasminneva kāle janaḥ paścimajanmā gurumukhāt pravaradaiśikavaktrāt enam	yasmin=-eva kAle janaH paScima-janmA guru-muKAt pravara-dESika-vaktrAt enam
   śataśaḥ pratipāditam paramārthamārgam pūrṇasvātantryalakṣaṇaṃ	SataSas pratipAditam parama-arTa-mArgam pUrNa-svAtantrya-lakzaNam
   svātmasaṃbodhamukhāmnāyarahasyasaraṇiṃ yaḥ kaścit abhyeti samabhiyāti saḥ	sva-Atma-saMboDa-muKa-AmnAya-rahasya-saraNim yaH kaScid aByeti samaBiyAti saH
   tadaiva tasminnevāvasare gurūpadeśasamanantaramevānantarāyaṃ kṛtvā śiva	tadA-eva tasmin=-eva-avasare guru-upadeSa-samanantaram-eva-anantarAyam kRtvA Siva
   eva syāt / śrīkule yathoktam	eva syAt / SrI-kule yaTA-uktam
   helayā krīḍayā vāpi ādarādvātha tattvavit /	helayA krIxayA vA-api AdarAt-vA-aTa tattva-vid /
   yasya saṃpātayeddṛṣṭiṃ sa muktastatkṣaṇātpriye //	yasya saMpAtayet-dRzwim sa muktaH-tad-kzaNAt-priye //
   iti / nanu kathamevaṃvidhaṃ mukhāmnāyarahasyamevopanayedityāha	iti / nanu kaTam-evaMviDam muKa-AmnAya-rahasyam-eva-upanayet-iti-Aha
   atitīvraśaktipātāt iti / atiśayena tīvraḥ karkaśo yo 'sāvanugrahākhyāyāḥ	ati-tIvra-SaktipAtAt iti / atiSayena tIvraH karkaSaH yaH asO=-anugraha-AKyAyAH
   pārameśvaryāḥ śakteḥ pātaḥ paśuhṛtkamalāvataraṇaṃ yena paśurapi	pArameSvaryAH SakteH pAtaH paSu-hRd-kamala-avataraNam yena paSuH-api
   gurvāmnāyavedanācchivībhavati jīvanneva mukta iti yāvat / yathā	guru-AmnAya-vedanAt-SivIBavati jIvan=-eva muktaH iti yAvat / yaTA
   tāmradravyaṃ siddharasapātātsuvarṇībhavati / ayamarthaḥ	tAmra-dravyam sidDa-rasa-pAtAt-suvarNIBavati / ayam-arTaH
   parameśvarānugrahopāya eva svātmajñānalābha iti nātra niyatiśaktisamutthaṃ	parameSvara-anugraha-upAyaH eva sva-Atma-jQAna-lABaH iti na-atra niyati-Sakti-samutTam
   japadhyānayajñādikamupāyatayā kramate / anugrahaśaktividdhahṛdayasya tu	japa-DyAna-yajQa-Adikam-upAya-tayA kramate / anugraha-Sakti-vidDa-hRdayasya tu
   haṭhādevākramaṃ devatāmukhāmnāyarahasyaṃ hṛdayamāvarjayati yena jhaṭityeva	haWAt-eva-akramam devatA-muKa-AmnAya-rahasyam hRdayam-Avarjayati yena Jawiti-eva
   parameśvarībhāvaṃ yātītyaparyanuyojyo vicitraḥ pārameśvaraḥ śaktipāta iti	parameSvarIBAvam yAti-iti-aparyanuyojyaH vicitraH pArameSvaraH SaktipAtaH iti
   yasya punarmadhyamandamandatarādibhedena pravṛttaḥ śaktipātastasya	yasya punar-maDya-manda-mandatara-Adi-Bedena pravRttaH SaktipAtaH-tasya
   gurūpadeśamāmaraṇakṣaṇaṃ yāvadyogakrameṇa vimṛśataḥ piṇḍapātācchivatvaṃ	guru-upadeSam-AmaraNa-kzaNam yAvat-yoga-krameNa vimRSataH piNxapAtAt-Siva-tvam
   syāditi pratipādayati	syAt-iti pratipAdayati
   sarvottīrṇaṃ rūpaṃ sopānapadakrameṇa saṃśrayataḥ /	sarva-uttIrNam rUpam sopAna-pada-krameNa saMSrayataH /
   paratattvarūḍhilābhe paryante śivamayībhāvaḥ // 97 //	para-tattva-rUXi-lABe paryante Siva-mayIBAvaH // 97 //
   evaṃ kila śaktipātamandatvātpūrṇajñānopadeśānāsādanena sarvottīrṇaṃ rūpam	evam kila SaktipAta-manda-tvAt-pUrNa-jQAna-upadeSAn-AsAdanena sarva-uttIrNam rUpam
   sarvatattvaparyantavartisvabhāvam saṃśrayataḥ sākṣātkurvataḥ kathamityāha	sarva-tattva-paryanta-varti-svaBAvam saMSrayataH sAkzAt-kurvataH kaTam-iti-Aha
   sopānapadakrameṇa iti / kandanābhihṛtkaṇṭhalampikābindunādaśaktirūpāṇi	sopAna-pada-krameNa iti / kandana-aBihRd-kaNWa-lampikA-bindu-nAda-Sakti-rUpANi
   sopānāni ūrdhvamākramaṇāya tīrthānyeva teṣāṃ padam āsādanaṃ tatra	sopAnAni UrDvam-AkramaNAya tIrTAni-eva tezAm padam AsAdanam tatra
   hānādānarūpaḥ kramaḥ śanaiḥśanaiḥ kande tato nābhau tato	hAna-AdAna-rUpaH kramaH SanEs-SanEs kande tatas nABO tatas-
   hṛdītyevamākramaṇaṃ teneti / evaṃ yāvatparamārthaprarohopalabdhau	hRdi-iti-evam-AkramaNam tena-iti / evam yAvat-parama-arTa-praroha-upalabDO
   piṇḍapātāvasare yoginastasya krameṇa śivatāsvabhāvā sthitirbhavatītyeṣā	piNxa-pAta-avasare yoginaH-tasya krameNa Siva-tA-svaBAvA sTitiH-Bavati-iti-ezA
   kramayuktiḥ kathitā // 97 //	krama-yuktiH kaTitAH // 97 //
   evamapi kramayogamabhyasyato yoginaḥ samāśvastasyāpi satastathārūḍhirna	evam-api krama-yogam-aByasyataH yoginaH samASvastasya-api sataH-taTA-ArUXiH-na
   syādabhīṣṭaprāptāvantarāyo jāyate yadi paramanāsāditatattvasya maraṇaṃ	syAt-aBIzwa-prAptO=-antarAyaH jAyate yadi param-anA-AsAdita-tattvasya maraNam
   syāttadā kiṃ bhavedityāśaṅkāṃ pariharati	syAt-tadA kim Bavet-iti-ASaFkAm pariharati
   tasya tu paramārthamayīṃ dhārāmagatasya madhyaviśrānteḥ /	tasya tu parama-arTa-mayIm DArAm-a-gatasya maDya-viSrAnteH /
   tatpadalābhotsukacetaso 'pi maraṇaṃ kadācitsyāt // 98 //	tad-pada-lABa-utsuka-cetasaH api maraNam kadAcid-syAt // 98 //
   yogabhraṣṭaḥ śāstre kathito 'sau citrabhogabhuvanapatiḥ /	yoga-BrazwaH SAstre kaTitaH asO citra-Boga-Buvana-patiH /
   viśrāntisthānavaśādbhūtvā janmāntare śivībhavati // 99 //	viSrAnti-sTAna-vaSAt-BUtvA janma-antare SivIBavati // 99 //
   evamullaṅghanakrameṇa yogamabhyasyataḥ kenāpyantarāyeṇa madhyaviśrānteḥ	evam-ullaFGana-krameNa yogam-aByasyataH kena-api-antarAyeNa maDya-viSrAnteH
   kutraciccakrādhāre 'pyanubhavopalabdhestatraiva paritoṣaṃ gatasyāta eva	kutracid-cakra-ADAre api-anuBava-upalabDeH-tatra-eva paritozam gatasya-atas eva
   paramārthamayīṃ dhārāmagatasya paratattvarūpāṃ pratijñātāṃ daśāṃ	parama-arTa-mayIm DArAm-a-gatasya para-tattva-rUpAm pratijQAtAm daSAm
   sarvādhvottīrṇāmaprāptavato yadi vā tatpadalābhotsukacetaso 'pi	sarva-aDva-uttIrNAm-aprAptavataH yadi vA tad-pada-lABa-utsuka-cetasaH api
   pratijñātaparamārthasattāsādanasābhilāṣasyāpi kadācit madhye vipattiḥ	pratijQAta-parama-arTa-satta-AsAdanasa-aBilAzasya-api kadAcid maDye vipattiH
   saṃbhāvyate tadaitasyālabdhalābhasyāpi piṇḍapātātkā gatirityāha	saMBAvyate tadA-etasya-alabDa-lABasya-api piNxa-pAtAt-kA gatiH-iti-Aha
   yogabhraṣṭaḥ ityādi / saḥ yogāt samādherubhayathā bhraṣṭaḥ calitaḥ śāstre	yoga-BrazwaH ityAdi / saH yogAt samADeH-uBayaTA BrazwaH calitaH SAstre
   āgamagranthe kathitaḥ uktaḥ / kīdṛgbhavedityāha citra ityādi /	Agama-granTe kaTitaH uktaH / kIdRS-Bavet-iti-Aha citraH ityAdi /
   piṇḍapātādeva citrabhogāni	piNxa-pAtAt-eva citra-BogAni
   nānāścaryastryannapānamālyavastrānulepanagītavādyādipradhānāni yāni	nAnA-AScarya-H-tri-anna-pAna-mAlya-vastra-anulepana-gIta-vAdya-Adi-praDAnAni yAni
   bhuvanāni svaviśrāntyanuguṇāni tattveśvarasthānāni teṣu patiḥ īśvaro	BuvanAni sva-viSrAnti-anuguNAni tattva-ISvara-sTAnAni tezu patiH ISvaraH-
   bhavati maraṇasamanantarameva divyairbhogairyujyata iti yāvat /	Bavati maraNa-samanantaram-eva divyEH-BogEH-yujyate iti yAvat /
   tadbhogādhikāraparikṣaye punarapi sa yogabhraṣṭaḥ kathaṃ syādityāha	tad-Boga-aDikAra-parikzaye punar-api sa yoga-BrazwaH kaTam syAt-iti-Aha
   viśrānti ityādi / viśrāntisthānasya kandādeḥ pradeśasya vaśāt	viSrAnti ityAdi / viSrAnti-sTAnasya kanda-AdeH pradeSasya vaSAt-
   tadabhyāsasaṃskāraprabodhasāmarthyātsaḥ janmāntare dvitīye janmani bhūtvā	tad-aByAsa-saMskAra-praboDa-sAmarTyAt-saH janma-antare dvitIye janmani BUtvA
   saṃsāre 'dhikāriśarīraṃ yogābhyāsayogyaṃ prāpya pūrvābhyastaṃ yogaṃ	saMsAre aDikAri-SarIram yoga-aByAsa-yogyam prApya pUrva-aByastam yogam
   prayāsena svīkṛtya helayā paramārthamayīṃ prāgjanmapratijñātāṃ	prayAsena svIkRtya helayA parama-arTa-mayIm prAc-janma-pratijQAtAm
   daśāmadhiruhya piṇḍapātācchiva eva bhavati // 99 //	daSAm-aDiruhya piNxa-pAtAt-SivaH eva Bavati // 99 //
   athābhyasyato 'pi yogaṃ yogino manaścāñcalyādviśrāntimekadeśe 'pi	aTa-aByasyataH api yogam yoginaH manaH-cAQcalyAt-vi-SrAntim-eka-deSe api
   manāgapyalabhamānasya yogaṃ prati śraddhāvataśca piṇḍapātātkā gatiḥ	manAk-api-alaBamAnasya yogam prati SradDAvataH-ca piNxa-pAtAt-kA gatiH
   syādityāha	syAt-iti-Aha
   paramārthamārgamenaṃ hyabhyasyāprāpya yogamapi nāma /	parama-arTa-mArgam-enam hi-aByasya-aprApya yogam-api nAma /
   suralokabhogabhāgī muditamanā modate suciram // 100 //	sura-loka-Boga-BAgI mudita-manAH modate su-ciram // 100 //
   viṣayeṣu sārvabhaumaḥ sarvajanaiḥ pūjyate yathā rājā /	vizayezu sArvaBOmaH sarva-janEH pUjyate yaTA rAjA /
   bhuvaneṣu sarvadaivairyogabhraṣṭastathā pūjyaḥ // 101 //	Buvanezu sarva-dEvEH-yoga-BrazwaH-taTA pUjyaH // 101 //
   enam iti śataśaḥ pratipāditaṃ svātmajñānasatattvaṃ panthānam abhyasya	enam iti SataSas pratipAditam sva-Atma-jQAna-sa-tattvam panTAnam aByasya
   śraddhābhaktibhyāṃ sevitvāpi cittadoṣānavasthānena yathāvadyogalakṣaṇāṃ	SradDA-BaktiByAm sevitvA-api citta-doza-an-avasTAnena yaTAvat-yoga-lakzaNAm
   viśrāntiṃ janmamadhye 'pyanadhigataḥ sanmṛtaścettadā sa yogabhraṣṭo	viSrAntim janma-maDye api-anaDigataH sat-mRtaH-ced-tadA sa yoga-BrazwaH-
   jñānayogaviṣayaprarūḍhaśraddhābhaktiprasādasāmarthyena devalokabhogabhāgī	jQAna-yoga-vizaya-prarUXa-SradDA-Bakti-prasAda-sAmarTyena deva-loka-Boga-BAgI
   sāhlādacittaḥ suciram kālaṃ harṣaṃ prayāti surairapi bhuvaneṣu	sa-AhlAda-cittaH su-ciram kAlam harzam prayAti surEH-api Buvanezu
   nijanijasthāneṣu pūjyo bhavati / ka ivetyāha sārva ityādi / yathā	nija-nija-sTAnezu pUjyaH Bavati / kaH iva-iti-Aha sArvaH ityAdi / yaTA
   sārvabhaumo rājā saptadvīpeśvaro rājā cakravartī viṣayeṣu nānāmaṇḍaleṣu	sArvaBOmaH rAjA sapta-dvIpA-ISvaraH rAjA cakravartI vizayezu nAnA-maNxalezu
   sarvajanaiḥ pūjyate samabhyarcyate tathaiva ayaṃ prakṣīṇapuṇyāpuṇyaviṣayaḥ	sarva-janEH pUjyate samaByarcyate taTA-eva ayam prakzINa-puNya-apuNya-vizayaH
   samutpannavairāgyaḥ paścimajanmā vandyo 'smākaṃ yasya svātmani	samutpanna-vErAgyaH paScima-janmA vandyaH asmAkam yasya sva-Atmani
   jijñāsārthaṃ prāgjanmanyudyamo 'bhūditi surairapi stūyata iti yāvat // 100	jijQAsA-arTam prAc-janmani-udyamaH aBUt-iti surEH-api stUyate iti yAvat // 100
   tasya lokāntarabhogādhikāranivṛtteranantaraṃ kiṃ syādityāha	tasya loka-antara-Boga-aDikAra-nivRtteH-anantaram kim syAt-iti-Aha
   mahatā kālena punarmānuṣyaṃ prāpya yogamabhyasya /	mahatA kAlena punar-mAnuzyam prApya yogam-aByasya /
   prāpnoti divyamamṛtaṃ yasmādāvartate na punaḥ // 102 //	prApnoti divyam-amRtam yasmAt-Avartate na punar // 102 //
   devalokeṣu yathānirdiṣṭeṣu bhogānbhuktvātidīrgheṇa kālena sa yogabhraṣṭaḥ	deva-lokezu yaTA-nirdizwezu BogAn-BuktvA-ati-dIrGeNa kAlena sa yoga-BrazwaH
   saṃsāre 'sminmanuṣyabhāvamāgatya yogābhyāsasādhanayogyaṃ śarīramāsādya	saMsAre asmin-manuzya-BAvam-Agatya yoga-aByAsa-sADana-yogyam SarIram-AsAdya
   prāgjanmani manaścāñcalyādyo yogo duṣprāpo 'bhūttameva yogam	prAc-janmani manaH-cAQcalya-AdyaH yogaH duzprApaH aBUt-tam-eva yogam
   prāgjātabhaktiśraddhāprarūḍhayogavāsanāsaṃskāraprabodhamanāyāsena prāpya	prAc-jAta-Bakti-SradDA-prarUXa-yoga-vAsanA-saMskAra-praboDam-anAyAsena prApya
   samabhyasya ca dehānte divyamamṛtam paratattvasvarūpamupalabhate	samaByasya ca dehAnte divyam-amRtam para-tattva-svarUpam-upalaBate
   parasvarūpatādārḍhyaṃ gacchatīti yāvat / ata eva tasmātpunarāvartanaṃ	para-sva-rUpa-tA-dArXyam gacCati-iti yAvat / atas eva tasmAt-punar-Avartanam
   tasya na syāditi / evaṃ mahati kalyāṇe svātmajñānaviṣaye manāgapi	tasya na syAt-iti / evam mahati kalyANe sva-Atma-jQAna-vizaye manAk-api
   pratyavamarśaḥ saṃsārasaraṇāya na bhavati / yaduktaṃ śrīgītāsu	pratyavamarSaH saMsAra-saraNAya na Bavati / yat-uktam SrIgItAsu
   nehābhikramanāśo 'sti pratyavāyo na vidyate /	na-iha-aBikrama-nASaH asti pratyavAyaH na vidyate /
   svalpamapyasya dharmasya trāyate mahato bhayāt //	su-alpam-api-asya Darmasya trAyate mahataH BayAt //
   iti / tathā	iti / taTA
   ayatiḥ śraddhayopeto yogāccalitamānasaḥ /	ayatiH SradDayA-upetaH yogAt-calita-mAnasaH /
   aprāpya yogasaṃsiddhim ... //	aprApya yoga-saMsidDim ... //
   ityādipraśnādārabhya	ityAdi-praSnAt-AraBya
   anekajanmasaṃsiddhastato yāti parāṃ gatim //	aneka-janma-saMsidDaH-tatas yAti parAm gatim //
   ityuttaraparyanto grantho muninā pratipādito 'pi smartavya iti // 102 //	iti-uttara-paryantaH granTaH muninA pratipAditaH api smartavyaH iti // 102 //
   evamanena jñānayogakrameṇa jantormanāgapi spṛṣṭasya sata	evam-anena jQAna-yoga-krameNa jantoH-manAk-api spRzwasya sata
   iyānvibhūtyatiśayo yaḥ pravaktuṃ na pāryate tasmātsarvātmanā	iyAn-viBUti-atiSayaH yaH pravaktum na pAryate tasmAt-sarva-AtmanA
