   BhP_05.01.001/0 rājovāca	BhP_05.01.001/0 rAjA-uvAca
   BhP_05.25.010/4 ādātuṃ svajana-manāṃsy udāra-vīryaḥ	Bhu-_05.25.010/4 AdAtum sva-jana-manAMsi udAra--vIryaH
   BhP_05.25.011/1 yan-nāma śrutam anukīrtayed akasmād	BhP_05.25.011/1 yan-nAma Srutam anukIrtayet akasmAt-
   BhP_05.25.011/2 ārto vā yadi patitaḥ pralambhanād vā	Bhu-_05.25.011/2 ArtaH vA yadi patitaH pralamBanAt vA
   BhP_05.25.011/3 hanty aṃhaḥ sapadi nṛṇām aśeṣam anyaṃ	Bhu-_05.25.011/3 hanti aMhaH sapadi nRNAm aSezam anyam
   BhP_05.25.011/4 kaṃ śeṣād bhagavata āśrayen mumukṣuḥ	Bhu-_05.25.011/4 kam SezAt BagavataH ASrayet mumukzuH
   BhP_05.25.012/1 mūrdhany arpitam aṇuvat sahasra-mūrdhno	Bhu-_05.25.012/1 mUrDani arpitam aNu-vat sahasra-mUrDno
   BhP_05.25.012/2 bhū-golaṃ sagiri-sarit-samudra-sattvam	Bhu-_05.25.012/2 BU--golam sa-giri--sarit--samudra--sattvam
   BhP_05.25.012/3 ānantyād animita-vikramasya bhūmnaḥ	Bhu-_05.25.012/3 AnantyAt animita-vikramasya BUmnaH
   BhP_05.25.012/4 ko vīryāṇy adhi gaṇayet sahasra-jihvaḥ	BhP_05.25.012/4 kaH vIryANi aDi gaNayet sahasra-jihvaH
   BhP_05.25.013/1 evam-prabhāvo bhagavān ananto	Bhu-_05.25.013/1 evam--praBAvaH BagavAn anantaH-
   BhP_05.25.013/2 duranta-vīryoru-guṇānubhāvaḥ	Bhu-_05.25.013/2 duranta--vIrya-Uru-guNa-anuBAvaH
   BhP_05.25.013/3 mūle rasāyāḥ sthita ātma-tantro	BhP_05.25.013/3 mUle rasAyAH sTitaH Atma-tantraH-
   BhP_05.25.013/4 yo līlayā kṣmāṃ sthitaye bibharti	Bhu-_05.25.013/4 yaH lIlayA kzmAm sTitaye biBarti
   BhP_05.25.014/1 etā hy eveha nṛbhir upagantavyā gatayo	Bhu-_05.25.014/1 etAH hi eva-iha nRBiH upagantavyAH gatayo
   yathā-karma-vinirmitā yathopadeśam anuvarṇitāḥ kāmān kāmayamānaiḥ	yaTA-a-karma--vinirmitAH yaTopadeSam anuvarNitAH kAmAn kAmayamAnEH
   BhP_05.25.015/1 etāvatīr hi rājan puṃsaḥ pravṛtti-lakṣaṇasya dharmasya	Bhu-_05.25.015/1 etAvatIH hi rAjan puMsaH pravRtti-lakzaNasya Darmasya
   vipāka-gataya uccāvacā visadṛśā yathā-praśnaṃ vyācakhye kim anyat	vipAka--gatayaH uccAvacAH visadRSAH yaTA-praSnam vyAcaKye kim anyat-
   kathayāma iti	kaTayAmaH iti
   BhP_05.26.001/0 rājovāca	BhP_05.26.001/0 rAjA-uvAca
   BhP_05.26.001/1 maharṣa etad vaicitryaṃ lokasya katham iti	Bhu-_05.26.001/1 mahA-RzaH etat vEcitryam lokasya kaTam iti
   BhP_05.26.002/0 ṛṣir uvāca	BhP_05.26.002/0 RziH uvAca
   BhP_05.26.002/1 tri-guṇatvāt kartuḥ śraddhayā karma-gatayaḥ pṛthag-vidhāḥ	Bhu-_05.26.002/1 tri-guNa-tvAt kartuH SradDayA karma--gatayaH pRTak--viDAH
   sarvā eva sarvasya tāratamyena bhavanti	sarvAH eva sarvasya tAratamyena Bavanti
   BhP_05.26.002/1 athedānīṃ pratiṣiddha-lakṣaṇasyādharmasya tathaiva kartuḥ	Bhu-_05.26.002/1 aTa-idAnIm pratizidDa--lakzaNasya-aDarmasya taTA-eva kartuH
   śraddhāyā vaisādṛśyāt karma-phalaṃ visadṛśaṃ bhavati yā hy anādy-avidyayā	SradDAyAH vEsAdRSyAt karma-Palam visadRSam Bavati yA hi anAdi--a-vidyayA
   kṛta-kāmānāṃ tat-pariṇāma-lakṣaṇāḥ sṛtayaḥ sahasraśaḥ pravṛttās tāsāṃ	kRta--kAmAnAm tat--pariNAma--lakzaNAH sRtayaH sahasraSas pravRttAH tAsAm
   prācuryeṇānuvarṇayiṣyāmaḥ	prAcuryeNa-anuvarNayizyAmaH
   BhP_05.26.003/0 rājovāca	BhP_05.26.003/0 rAjA-uvAca
   BhP_05.26.003/1 narakā nāma bhagavan kiṃ deśa-viśeṣā athavā bahis	BhP_05.26.003/1 narakAH nAma Bagavan kim deSa--viSezAH aTavA bahis-
   tri-lokyā āhosvid antarāla iti	tri-lokyAH Ahosvit antarAlaH iti
   BhP_05.26.004/0 ṛṣir uvāca	BhP_05.26.004/0 RziH uvAca
   BhP_05.26.004/1 antarāla eva tri-jagatyās tu diśi dakṣiṇasyām adhastād	Bhu-_05.26.004/1 antarAlaH eva tri-jagatyAH tu diSi dakziNasyAm aDastAt-
   bhūmer upariṣṭāc ca jalād yasyām agniṣvāttādayaḥ pitṛ-gaṇā diśi svānāṃ	BUmeH uparizwAt ca jalAt yasyAm agnizvAtta-AdayaH pitR-gaNAH diSi svAnAm
   gotrāṇāṃ parameṇa samādhinā satyā evāśiṣa āśāsānā nivasanti	gotrANAm parameNa samADinA satyAH eva-ASizaH ASAsAnAH nivasanti
   BhP_05.26.005/1 yatra ha vāva bhagavān pitṛ-rājo vaivasvataḥ sva-viṣayaṃ	Bhu-_05.26.005/1 yatra ha vAva BagavAn pitR--rAjaH vEvasvataH sva--vizayam
   prāpiteṣu sva-puruṣair jantuṣu sampareteṣu yathā-karmāvadyaṃ doṣam	prApitezu sva--puruzEH jantuzu samparetezu yaTA-karma-avadyam dozam
   evānullaṅghita-bhagavac-chāsanaḥ sagaṇo damaṃ dhārayati	eva-anullaFGita-Baga-vac--CAsanaH sa-gaNaH damam DArayati
   BhP_05.26.006/1 tatra haike narakān eka-viṃśatiṃ gaṇayanti atha tāṃs te	Bhu-_05.26.006/1 tatra ha-eke narakAn eka-viMSatim gaNayanti aTa tAn te
   rājan nāma-rūpa-lakṣaṇato 'nukramiṣyāmas tāmisro 'ndhatāmisro rauravo	rAjan nAma--rUpa-lakzaNataH anukramizyAmaH tAmisraH anDatAmisraH rOravaH-
   mahārauravaḥ kumbhīpākaḥ kālasūtram asipatravanaṃ sūkaramukham andhakūpaḥ	mahArOravaH kumBIpAkaH kAlasUtram asipatravanam sUkara-muKam anDakUpaH
   kṛmibhojanaḥ sandaṃśas taptasūrmir vajrakaṇṭaka-śālmalī vaitaraṇī pūyodaḥ	kRmi-BojanaH sandaMSaH tapta-sUrmiH vajrakaNwaka-SAlmalI vEtaraNI pUyodaH
   prāṇarodho viśasanaṃ lālābhakṣaḥ sārameyādanam avīcir ayaḥpānam iti kiñca	prANa-roDaH viSasanam lAlA-BakzaH sArameya-adanam avIciH ayaH-pAnam iti kiQca
   kṣārakardamo rakṣogaṇa-bhojanaḥ śūlaproto dandaśūko 'vaṭa-nirodhanaḥ	kzAra-kardamaH rakzaH-gaNa--BojanaH SUla-protaH dandaSUkaH avawa--niroDanaH
   paryāvartanaḥ sūcīmukham ity aṣṭā-viṃśatir narakā vividha-yātanā-bhūmayaḥ	paryAvartanaH sUcImuKam iti azwA-viMSatiH narakAH viviDa--yAtanA--BUmayaH
   BhP_05.26.007/1 tatra yas tu para-vittāpatya-kalatrāṇy apaharati sa hi	Bhu-_05.26.007/1 tatra yaH tu para-vittApatya--kalatrANi apaharati sa hi
   kāla-pāśa-baddho yama-puruṣair ati-bhayānakais tāmisre narake balān	kAla-pASa--badDaH yama-puruzEH ati-BayAnakEH tAmisre narake balAn
   nipātyate anaśanānudapāna-daṇḍa-tāḍana-santarjanādibhir yātanābhir	nipAtyate anaSanAn-uda-pAna--daNxa--tAxana--santarjana-AdiBiH yAtanABiH-
   yātyamāno jantur yatra kaśmalam āsādita ekadaiva mūrcchām upayāti	yAtyamAnaH jantuH yatra kaSmalam AsAditaH ekadA-eva mUrcCAm upayAti
   tāmisra-prāye	tAmisra--prAye
   BhP_05.26.008/1 evam evāndhatāmisre yas tu vañcayitvā puruṣaṃ dārādīn	Bhu-_05.26.008/1 evam eva-anDatAmisre yaH tu vaQcayitvA puruzam dAra-AdIn
   upayuṅkte yatra śarīrī nipātyamāno yātanā-stho vedanayā naṣṭa-matir	upayuFkte yatra SarIrI nipAtyamAnaH yAtanA--sTaH vedanayA nazwa-matiH-
   naṣṭa-dṛṣṭiś ca bhavati yathā vanaspatir vṛścyamāna-mūlas tasmād	nazwa-dRzwiH ca Bavati yaTA vanaspatiH vRScyamAna--mUlaH tasmAt-
   andhatāmisraṃ tam upadiśanti	anDatAmisram tam upadiSanti
   BhP_05.26.009/1 yas tv iha vā etad aham iti mamedam iti bhūta-droheṇa	Bhu-_05.26.009/1 yaH tu iha vE etat aham iti mama-idam iti BUta-droheNa
   kevalaṃ sva-kuṭumbam evānudinaṃ prapuṣṇāti sa tad iha vihāya svayam eva	kevalam sva-kuwumbam eva-anudinam prapuzNAti sa tat iha vihAya svayam eva
   tad-aśubhena raurave nipatati	tad--aSuBena rOrave nipatati
   BhP_05.26.010/1 ye tv iha yathaivāmunā vihiṃsitā jantavaḥ paratra	Bhu-_05.26.010/1 ye tu iha yaTA-eva-amunA vihiMsitAH jantavaH paratra
   yama-yātanām upagataṃ ta eva ruravo bhūtvā tathā tam eva vihiṃsanti tasmād	yama--yAtanAm upagatam te eva ruravaH BUtvA taTA tam eva vihiMsanti tasmAt-
   rauravam ity āhū rurur iti sarpād ati-krūra-sattvasyāpadeśaḥ	rOravam iti AhuH ruruH iti sarpAt ati--krUra--sattvasya-apadeSaH
   BhP_05.26.011/1 evam eva mahārauravo yatra nipatitaṃ puruṣaṃ kravyādā nāma	Bhu-_05.26.011/1 evam eva mahArOravaH yatra nipatitam puruzam kravyAdAH nAma
   ruravas taṃ kravyeṇa ghātayanti yaḥ kevalaṃ dehambharaḥ	ruravaH tam kravyeNa GAtayanti yaH kevalam dehamBaraH
   BhP_05.26.012/1 yas tv iha vā ugraḥ paśūn pakṣiṇo vā prāṇata uparandhayati	Bhu-_05.26.012/1 yaH tu iha vA ugraH paSUn pakziNaH vA prANataH uparanDayati
   tam apakaruṇaṃ puruṣādair api vigarhitam amutra yamānucarāḥ kumbhīpāke	tam apakaruNam puruzAdEH api vigarhitam amutra yama-anucarAH kumBIpAke
   tapta-taile uparandhayanti	tapta--tEle uparanDayanti
   BhP_05.26.013/1 yas tv iha brahma-dhruk sa kālasūtra-saṃjñake narake	Bhu-_05.26.013/1 yaH tu iha brahma-Druj sa kAlasUtra--saMjQake narake
   ayuta-yojana-parimaṇḍale tāmramaye tapta-khale upary-adhastād	ayuta--yojana--parimaNxale tAmra-maye tapta-Kale upari--aDastAt-
   agny-arkābhyām ati-tapyamāne 'bhiniveśitaḥ kṣut-pipāsābhyāṃ ca	agni--arkAByAm ati-tapyamAne aBiniveSitaH kzut--pipAsAByAm ca
   dahyamānāntar-bahiḥ-śarīra āste śete ceṣṭate 'vatiṣṭhati paridhāvati ca	dahyamAna-antar--bahis--SarIraH Aste Sete cezwate avatizWati pariDAvati ca
   yāvanti paśu-romāṇi tāvad varṣa-sahasrāṇi	yAvanti paSu--romANi tAvat varza--sahasrANi
   BhP_05.26.014/1 yas tv iha vai nija-veda-pathād anāpady apagataḥ pākhaṇḍaṃ	Bhu-_05.26.014/1 yaH tu iha vE nija--veda--paTAt anApadi apagataH pAKaNxam
   copagatas tam asi-patravanaṃ praveśya kaśayā praharanti tatra hāsāv itas	ca-upagataH tam asi-patra-vanam praveSya kaSayA praharanti tatra ha-asO itas
   tato dhāvamāna ubhayato dhārais tāla-vanāsi-patraiś chidyamāna-sarvāṅgo hā	tatas DAvamAnaH uBayatas DArEH tAla-vana-asi--patrEH CidyamAna--sarva-aFgaH hA
   hato 'smīti paramayā vedanayā mūrcchitaḥ pade pade nipatati sva-dharmahā	hataH asmi-iti paramayA vedanayA mUrcCitaH pade pade nipatati sva-Darma-hA
   pākhaṇḍānugataṃ phalaṃ bhuṅkte	pAKaNxa-anugatam Palam BuFkte
   BhP_05.26.015/1 yas tv iha vai rājā rāja-puruṣo vā adaṇḍye daṇḍaṃ	Bhu-_05.26.015/1 yaH tu iha vE rAjA rAja--puruzaH vE adaNxye daNxam
   praṇayati brāhmaṇe vā śarīra-daṇḍaṃ sa pāpīyān narake 'mutra sūkaramukhe	praNayati brAhmaNe vA SarIra--daNxam sa pApIyAn narake amutra sUkara-muKe
   nipatati tatrātibalair viniṣpiṣyamāṇāvayavo yathaivehekṣukhaṇḍa	nipatati tatra-ati-balEH vinizpizyamANa-avayavaH yaTA-eva-iha-ikzu-KaNxa
   ārta-svareṇa svanayan kvacin mūrcchitaḥ kaśmalam upagato	Arta-svareNa svanayan kvacid mUrcCitaH kaSmalam upagataH-
   yathaivehā-dṛṣṭa-doṣā uparuddhāḥ	yaTA-eva-IhA-dRzwa--dozAH uparudDAH
   BhP_05.26.016/1 yas tv iha vai bhūtānām īśvaropakalpita-vṛttīnām	Bhu-_05.26.016/1 yaH tu iha vE BUtAnAm ISvara-upakalpita--vRttInAm
   avivikta-para-vyathānāṃ svayaṃ puruṣopakalpita-vṛttir vivikta-para-vyatho	avivikta--para--vyaTAnAm svayam puruza-upakalpita--vRttiH vivikta-para--vyaTo
   vyathām ācarati sa paratrāndhakūpe tad-abhidroheṇa nipatati tatra hāsau	vyaTAm Acarati sa paratra-anDa-kUpe tad--aBidroheNa nipatati tatra ha-asO
   tair jantubhiḥ paśu-mṛga-pakṣi-sarīsṛpair	tEH jantuBiH paSu--mRga--pakzi--sarIsRpEH-
   maśaka-yūkā-matkuṇa-makṣikādibhir ye ke cābhidrugdhās taiḥ sarvato	maSa-ka-yUkA-matkuNa--makzikA-AdiBiH ye ke ca-aBidrugDAH tEH sarvatas-
   'bhidruhyamāṇas tamasi vihata-nidrā-nirvṛtir alabdhāvasthānaḥ parikrāmati	aBidruhyamANaH tamasi vihata--nidrA--nirvRtiH alabDa-avasTAnaH parikrAmati
   yathā kuśarīre jīvaḥ	yaTA kuSarIre jIvaH
   BhP_05.26.017/1 yas tv iha vā asaṃvibhajyāśnāti yat kiñcanopanatam	Bhu-_05.26.017/1 yaH tu iha vA asaMviBajya-aSnAti yat kiQcana-upanatam
   anirmita-pañca-yajño vāyasa-saṃstutaḥ sa paratra kṛmibhojane narakādhame	anirmita--paQca-yajQaH vAyasa--saMstutaH sa paratra kRmi-Bojane naraka-aDame
   nipatati tatra śata-sahasra-yojane kṛmi-kuṇḍe kṛmi-bhūtaḥ svayaṃ kṛmibhir	nipatati tatra Sata--sahasra--yojane kRmi-kuNxe kRmi-BUtaH svayam kRmiBiH-
   eva bhakṣyamāṇaḥ kṛmi-bhojano yāvat tad aprattāprahūtādo 'nirveśam ātmānaṃ	eva BakzyamANaH kRmi-BojanaH yAvat tat aprattA-prahUta-AdaH anirveSam AtmAnam
   yātayate	yAtayate
   BhP_05.26.018/1 yas tv iha vai steyena balād vā hiraṇya-ratnādīni	Bhu-_05.26.018/1 yaH tu iha vE steyena balAt vA hiraNya-ratna-AdIni
   brāhmaṇasya vāpaharaty anyasya vānāpadi puruṣas tam amutra rājan	brAhmaNasya vA-apaharati anyasya vA-anApadi puruzaH tam amutra rAjan
   yama-puruṣā ayasmayair agni-piṇḍaiḥ sandaṃśais tvaci niṣkuṣanti	yama-puruzAH ayasmayEH agni-piNxEH sandaMSEH tvaci nizkuzanti
   BhP_05.26.019/1 yas tv iha vā agamyāṃ striyam agamyaṃ vā puruṣaṃ yoṣid	Bhu-_05.26.019/1 yaH tu iha vA agamyAm striyam agamyam vA puruzam yozit-
   abhigacchati tāv amutra kaśayā tāḍayantas tigmayā sūrmyā lohamayyā puruṣam	aBigacCati tO amutra kaSayA tAxayantaH tigmayA sUrmyA loha-mayyA puruzam
   āliṅgayanti striyaṃ ca puruṣa-rūpayā sūrmyā	AliFgayanti striyam ca puruza-rUpayA sUrmyA
   BhP_05.26.020/1 yas tv iha vai sarvābhigamas tam amutra niraye vartamānaṃ	Bhu-_05.26.020/1 yaH tu iha vE sarva-aBigamaH tam amutra niraye vartamAnam
   vajrakaṇṭaka-śālmalīm āropya niṣkarṣanti	vajrakaNwaka--SAlmalIm Aropya nizkarzanti
   BhP_05.26.021/1 ye tv iha vai rājanyā rāja-puruṣā vā apākhaṇḍā	Bhu-_05.26.021/1 ye tu iha vE rAjanyA rAja--puruzAH vA apAKaNxA
   dharma-setūn bhindanti te samparetya vaitaraṇyāṃ nipatanti bhinna-maryādās	Darma--setUn Bindanti te samparetya vEtaraNyAm nipatanti Binna-maryAdA-aH-
   tasyāṃ niraya-parikhā-bhūtāyāṃ nadyāṃ yādo-gaṇair itas tato bhakṣyamāṇā	tasyAm niraya--pariKA--BUtAyAm nadyAm yAdA-u-gaNEH itas tatas BakzyamANA
   ātmanā na viyujyamānāś cāsubhir uhyamānāḥ svāghena karma-pākam anusmaranto	AtmanA na viyujyamAnAH ca-asuBiH uhyamAnAH svAGena karma-pAkam anusmarantaH-
   viṇ-mūtra-pūya-śoṇita-keśa-nakhāsthi-medo-māṃsa-vasā-vāhinyām upatapyante	viN--mUtra-pUya--SoNita-keSa--naKa-asTi--medaH--mAMsa-vasA--vAhinyAm upatapyante
   BhP_05.26.022/1 ye tv iha vai vṛṣalī-patayo naṣṭa-śaucācāra-niyamās	Bhu-_05.26.022/1 ye tu iha vE vRzalI--patayaH nazwa--SOca-AcAra-niyama-as
   tyakta-lajjāḥ paśu-caryāṃ caranti te cāpi pretya	tyakta--lajjAH paSu-caryAm caranti te ca-api pretya
   pūya-viṇ-mūtra-śleṣma-malā-pūrṇārṇave nipatanti tad evātibībhatsitam	pUya-viN--mUtra--Slezma---malA--pUrNa-arNave nipatanti tat eva-ati-bIBatsitam
   aśnanti	aSnanti
   BhP_05.26.023/1 ye tv iha vai śva-gardabha-patayo brāhmaṇādayo mṛgayā	Bhu-_05.26.023/1 ye tu iha vE Sva-gardaBa-patayaH brAhmaNa-AdayaH mRgayA
   vihārā atīrthe ca mṛgān nighnanti tān api samparetān lakṣya-bhūtān	vihArAH atIrTe ca mRgAn niGnanti tAn api samparetAn lakzya--BUtAn
   yama-puruṣā iṣubhir vidhyanti	yama--puruzAH izuBiH viDyanti
   BhP_05.26.024/1 ye tv iha vai dāmbhikā dambha-yajñeṣu paśūn viśasanti tān	Bhu-_05.26.024/1 ye tu iha vE dAmBikAH damBa-yajQezu paSUn viSasanti tAn
   amuṣmin loke vaiśase narake patitān niraya-patayo yātayitvā viśasanti	amuzmin loke vESase narake patitAn niraya--patayaH yAtayitvA viSasanti
   BhP_05.26.025/1 yas tv iha vai savarṇāṃ bhāryāṃ dvijo retaḥ pāyayati	Bhu-_05.26.025/1 yaH tu iha vE savarNAm BAryAm dvijaH retaH pAyayati
   kāma-mohitas taṃ pāpa-kṛtam amutra retaḥ-kulyāyāṃ pātayitvā retaḥ	kAma-mohitaH tam pApa-kRtam amutra retaH-kulyAyAm pAtayitvA retaH
   sampāyayanti	sampAyayanti
   BhP_05.26.026/1 ye tv iha vai dasyavo 'gnidā garadā grāmān sārthān vā	Bhu-_05.26.026/1 ye tu iha vE dasyavaH agnidAH garadAH grAmAn sArTAn vA
   vilumpanti rājāno rāja-bhaṭā vā tāṃś cāpi hi paretya yamadūtā	vilumpanti rAjAnaH rAja--BawAH vA tAn ca-api hi paretya yama-dUtA
   vajra-daṃṣṭrāḥ śvānaḥ sapta-śatāni viṃśatiś ca sarabhasaṃ khādanti	vajra--daMzwrAH SvAnaH sapta-SatAni viMSatiH ca sa-raBasam KAdanti
   BhP_05.26.027/1 yas tv iha vā anṛtaṃ vadati sākṣye dravya-vinimaye dāne vā	Bhu-_05.26.027/1 yaH tu iha vE anRtam vadati sAkzye dravya--vinimaye dAne vA
   kathañcit sa vai pretya narake 'vīcimaty adhaḥ-śirā niravakāśe	kaTaQcid sa vE pretya narake avIcimatI aDaH--SirAH niravakASe
   yojana-śatocchrāyād giri-mūrdhnaḥ sampātyate yatra jalam iva sthalam	yojana-Sata-ucCrAyAt giri-mUrDnaH sampAtyate yatra jalam iva sTalam
   aśma-pṛṣṭham avabhāsate tad avīcimat tilaśo viśīryamāṇa-śarīro na	aSma--pRzWam avaBAsate tat avIcimat tilaSas viSIryamANa--SarIraH na
   mriyamāṇaḥ punar āropito nipatati	mriyamANaH punar AropitaH nipatati
   BhP_05.26.028/1 yas tv iha vai vipro rājanyo vaiśyo vā soma-pīthas	Bhu-_05.26.028/1 yaH tu iha vE vipraH rAjanyaH vESyaH vA soma-pITas
   tat-kalatraṃ vā surāṃ vrata-stho 'pi vā pibati pramādatas teṣāṃ nirayaṃ	tat-kalatram vA surAm vrata-sTaH api vA pibati pramAdataH tezAm nirayam
   nītānām urasi padākramyāsye vahninā dravamāṇaṃ kārṣṇāyasaṃ niṣiñcanti	nItAnAm urasi padAkramya-Asye vahninA dravamANam kArzNAyasam niziQcanti
   BhP_05.26.029/1 atha ca yas tv iha vā ātma-sambhāvanena svayam adhamo	BhP_05.26.029/1 aTa ca yaH tu iha vA Atma--samBAvanena svayam aDamaH-
   janma-tapo-vidyācāra-varṇāśramavato varīyaso na bahu manyeta sa mṛtaka eva	janma-tapaH--vidyA-cAra--varNa-ASramavataH varIyasaH na bahu manyeta sa mRtakaH eva
   mṛtvā kṣārakardame niraye 'vāk-śirā nipātito durantā yātanā hy aśnute	mRtvA kzAra-kardame niraye avAk--SirAH nipAtitaH durantAH yAtanA hi aSnute
   BhP_05.26.030/1 ye tv iha vai puruṣāḥ puruṣa-medhena yajante yāś ca striyo	Bhu-_05.26.030/1 ye tu iha vE puruzAH puruza-meDena yajante yAH ca striyaH-
   nṛ-paśūn khādanti tāṃś ca te paśava iva nihatā yama-sadane yātayanto	nR--paSUn KAdanti tAn ca te paSavaH iva nihatAH yama--sadane yAtayantaH-
   rakṣo-gaṇāḥ saunikā iva svadhitināvadāyāsṛk pibanti nṛtyanti ca gāyanti ca	rakzo-gaNAH sOnikAH iva svaDitinA-avadAya-asRk pibanti nRtyanti ca gAyanti ca
   hṛṣyamāṇā yatheha puruṣādāḥ	hRzyamANAH yaTA-iha puruzAdAH
   BhP_05.26.031/1 ye tv iha vā anāgaso 'raṇye grāme vā vaiśrambhakair	Bhu-_05.26.031/1 ye tu iha vE anAgasaH araNye grAme vA vESramBakEH-
   upasṛtān upaviśrambhayya jijīviṣūn śūla-sūtrādiṣūpaprotān krīḍanakatayā	upasRtAn upaviSramBayya jijIvizUn SUla-sUtra-Adizu-upaprotAn krIxanaka-tayA
   yātayanti te 'pi ca pretya yama-yātanāsu śūlādiṣu protātmānaḥ	yAtayanti te api ca pretya yama--yAtanAsu SUla-Adizu prota-AtmAnaH
   kṣut-tṛḍbhyāṃ cābhihatāḥ kaṅka-vaṭādibhiś cetas tatas tigma-tuṇḍair	kzut--tRxByAm ca-aBihatAH kaFka--vawa-AdiBiH cetaH tatas tigma-tuNxEH-
   āhanyamānā ātma-śamalaṃ smaranti	AhanyamAnAH Atma--Samalam smaranti
   BhP_05.26.032/1 ye tv iha vai bhūtāny udvejayanti narā ulbaṇa-svabhāvā	Bhu-_05.26.032/1 ye tu iha vE BUtAni udvejayanti narAH ulbaNa--svaBAvA
   yathā dandaśūkās te 'pi pretya narake dandaśūkākhye nipatanti yatra nṛpa	yaTA dandaSUkAH te api pretya narake dandaSUka-AKye nipatanti yatra nRpa
   dandaśūkāḥ pañca-mukhāḥ sapta-mukhā upasṛtya grasanti yathā bileśayān	dandaSUkAH paQca--muKAH sapta--muKAH upasRtya grasanti yaTA bileSayAn
   BhP_05.26.033/1 ye tv iha vā andhāvaṭa-kusūla-guhādiṣu bhūtāni nirundhanti	Bhu-_05.26.033/1 ye tu iha vE anDa-avawa-kusUla--guhA-Adizu BUtAni nirunDanti
   tathāmutra teṣv evopaveśya sagareṇa vahninā dhūmena nirundhanti	taTA-amutra tezu eva-upaveSya sagareNa vahninA DUmena nirunDanti
   BhP_05.26.034/1 yas tv iha vā atithīn abhyāgatān vā gṛha-patir asakṛd	Bhu-_05.26.034/1 yaH tu iha vE atiTIn aByAgatAn vA gRha-patiH asakRt-
   upagata-manyur didhakṣur iva pāpena cakṣuṣā nirīkṣate tasya cāpi niraye	upagata-manyuH diDakzuH iva pApena cakzuzA nirIkzate tasya ca-api niraye
   pāpa-dṛṣṭer akṣiṇī vajra-tuṇḍā gṛdhrāḥ kaṅka-kāka-vaṭādayaḥ	pApa-dRzweH akziNI vajra--tuNxAH gRDrAH kaFka-kA-ka-vawa-AdayaH
   prasahyoru-balād utpāṭayanti	prasahya-Uru--balAt utpAwayanti
   BhP_05.26.035/1 yas tv iha vā āḍhyābhimatir ahaṅkṛtis tiryak-prekṣaṇaḥ	Bhu-_05.26.035/1 yaH tu iha vA AXya-aBimatiH ahaFkRtiH tiryak--prekzaNaH
   sarvato 'bhiviśaṅkī artha-vyaya-nāśa-cintayā pariśuṣyamāṇa-hṛdaya-vadano	sarvatas aBiviSaFkI arTa--vyaya-nASa--cintayA pariSuzyamANa--hRdaya-vadanaH-
   nirvṛtim anavagato graha ivārtham abhirakṣati sa cāpi pretya	nirvRtim anavagataH grahaH iva-arTam aBirakzati sa ca-api pretya
   tad-utpādanotkarṣaṇa-saṃrakṣaṇa-śamala-grahaḥ sūcīmukhe narake nipatati	tad--utpAdana-utkarzaNa--saMrakzaNa--Samala-grahaH sUcI-muKe narake nipatati
   yatra ha vitta-grahaṃ pāpa-puruṣaṃ dharmarāja-puruṣā vāyakā iva sarvato	yatra ha vitta-graham pApa-puruzam DarmarAja--puruzAH vAyakAH iva sarvatas-
   'ṅgeṣu sūtraiḥ parivayanti	aFgezu sUtrEH parivayanti
   BhP_05.26.036/1 evaṃ-vidhā narakā yamālaye santi śataśaḥ sahasraśas teṣu	Bhu-_05.26.036/1 evaM-viDAH narakAH yama-Alaye santi SataSas sahasraSas tezu
   sarveṣu ca sarva evādharma-vartino ye kecid ihoditā anuditāś cāvani-pate	sarvezu ca sarve eva-aDarma--vartinaH ye kecid iha-uditAH anuditAH ca-avani-pate
   paryāyeṇa viśanti tathaiva dharmānuvartina itaratra iha tu punar-bhave ta	paryAyeNa viSanti taTA-eva Darma-anuvartinaH itaratra iha tu punar--Bave ta
   ubhaya-śeṣābhyāṃ niviśanti	uBaya--SezAByAm niviSanti
   BhP_05.26.037/1 nivṛtti-lakṣaṇa-mārga ādāv eva vyākhyātaḥ etāvān	Bhu-_05.26.037/1 nivRtti--lakzaNa--mArgaH AdO eva vyAKyAtaH etAvAn
   evāṇḍa-kośo yaś caturdaśadhā purāṇeṣu vikalpita upagīyate yat tad	eva-aNxa-koSaH yaH caturdaSaDA purANezu vikalpitaH upagIyate yat tat-
   bhagavato nārāyaṇasya sākṣān mahā-puruṣasya sthaviṣṭhaṃ rūpam	BagavataH nArAyaNasya sAkzAt mahA--puruzasya sTavizWam rUpam
   ātmamāyā-guṇamayam anuvarṇitam ādṛtaḥ paṭhati śṛṇoti śrāvayati sa upageyaṃ	Atma-mAyA--guNa-mayam anuvarNitam AdRtaH paWati SRNoti SrAvayati saH upageyam
   bhagavataḥ paramātmano 'grāhyam api śraddhā-bhakti-viśuddha-buddhir veda	BagavataH paramAtmanaH agrAhyam api SradDA-Bakti--viSudDa-budDiH veda
   BhP_05.26.038/1 śrutvā sthūlaṃ tathā sūkṣmaṃ rūpaṃ bhagavato yatiḥ	Bhu-_05.26.038/1 SrutvA sTUlam taTA sUkzmam rUpam BagavataH yatiH
   BhP_05.26.038/2 sthūle nirjitam ātmānaṃ śanaiḥ sūkṣmaṃ dhiyā nayed iti	Bhu-_05.26.038/2 sTUle nirjitam AtmAnam SanEs sUkzmam DiyA nayet iti
