   Bhikṣuṇā avalokitasiṃhena samudbhāvitaḥ	BhikzuNA avalokita siMhena samudBAvitaH
   na vartate sa saṃsāre śukladharmasamāvṛtaḥ // Dhs_30.13 //	na vartate sa saMsAre Sukla Darma samAvRtaH // DhH _30.13 //
   nāvilaṃ kriyate yasya cittaṃ vidyāgnikalpayā /	na Avilam kriyate yasya cittam vidyA agni kalpayA /
   dāruvadviṣayā yasya tasya duḥkhaṃ na vidyate // Dhs_30.14 //	dAru vat vizayA yasya tasya duHKam na vidyate // DhH _30.14 //
   indriyāṇi vaśe yasya cendriyeṣu vaśānugaḥ /	indriyANi vaSe yasya ca indriyezu vaSa anugaH /
   hriyate yaḥ pumarthaino nikaṣastādṛśo muniḥ // Dhs_30.15 //	hriyate yaH pum arTa enaH nikazaH tAdRSaH muniH // DhH _30.15 //
   sādhuvaddhimano yasya kṣamāvān priyadarśanaḥ /	sADu vat himanaH yasya kzamAvAn priya darSanaH /
   prahlādayati cetāṃsi sa nṛṇāṃ śaśivanmuniḥ // Dhs_30.16 //	prahlAdayati cetAMsi sa nRNAm SaSi vat muniH // DhH _30.16 //
   aruṇābhirato yastu harmyāgreṣu na rajyati /	aruNABiratas yaH tu harmya agrezu na rajyati /
   santuṣṭaḥ pāṃśukūlena bhikṣurbhikṣārato bhavet // Dhs_30.17 //	santuzwaH pAMSu kUlena BikzuH BikzA rataH Bavet // DhH _30.17 //
   śānto dāntaḥ sudhīrarthāt tattvavit sukhaduḥkhayoḥ /	SAntaH dAntaH suDIrarTAt tattva vid suKa duHKayoH /
   sa yātyuttamamadhvānaṃ yatra gatvā na śocati // Dhs_30.18 //	sa yAti uttamam aDvAnam yatra gatvA na Socati // DhH _30.18 //
   ṛjumatpātakānyasya nityaṃ dhyānaparāyaṇaḥ /	Rjumad pAtakAni asya nityam DyAna parAyaNaH /
   prākṛtaiśca malai(rhīnaḥ) sa yogī satyavartmani // Dhs_30.19 //	prAkRtEH ca mala e(rhInaH) sa yogI satya vartmani // DhH _30.19 //
   sarvendriyavighātī yaḥ sarvabhūtahite rataḥ /	sarva indriya viGAtI yaH sarva BUta hite rataH /
   śānto dāntendriyaḥ svastho bhikṣurbhavati tādṛśaḥ // Dhs_30.20 //	SAntaH dAnta indriyaH svasTaH BikzuH Bavati tAdRSaH // DhH _30.20 //
   ṣaḍindriyarathārūḍho rāgaśatrunivārakaḥ /	zaz indriya raTa ArUXaH rAga Satru nivArakaH /
   prajñādhīraḥ kriyāvān yaḥ sa śāntipadamaśnute // Dhs_30.21 //	prajQA DIraH kriyAvAn yaH sa SAnti padam aSnute // DhH _30.21 //
   araṇyavāsī santuṣṭo bhūmivāsī samāhitaḥ /	araNya vAsI santuzwaH BUmi vAsI samAhitaH /
   dhunāti pāpako dharmaścāyurmeghānivāmbaraḥ // Dhs_30.22 //	DunAti pApakaH DarmaH ca AyuH meGAn iva ambaraH // DhH _30.22 //
   śubhaṃ vā dehakarmāntaḥ śubhacaryāsu saṃrataḥ /	SuBam vA deha karmAntaH SuBa caryAsu saMrataH /
   tattvadṛṣṭiḥ kriyādakṣo nāśayanmārasādhanam // Dhs_30.23 //	tattva dRzwiH kriyA dakzaH nASayat mAra sADanam // DhH _30.23 //
   dayālurbhikṣurnirvāṇamārge sthito bhavati	dayAluH BikzuH nirvANa mArge sTitaH Bavati
   rāgātyaye na bādheta śubhacittaṃ gatālayam /	rAga atyaye na bADeta SuBa cittam gatAlayam /
   maitryā kāruṇyabahulo bhikṣurnairyyāṇike sthitaḥ // Dhs_30.24 //	mEtryA kAruNya bahulaH BikzuH nEryyANike sTitaH // DhH _30.24 //
   yasya rūpādayo neṣṭā viṣayā bandhahetave /	yasya rUpa AdayaH na izwA vizayAH banDa hetave /
   sa yāti paramāṃ śāntiṃ yatra gatvā na śocyate // Dhs_30.25 //	sa yAti paramAm SAntim yatra gatvA na Socyate // DhH _30.25 //
   hetupratyayatattvajñaḥ sūkṣmārthe kṛtaniścayaḥ /	hetu pratyaya tattva jQaH sUkzma arTe kRta niScayaH /
   mokṣasrotasyabhiratastṛṣṇayā naiva rajyate // Dhs_30.26 //	mokza srotasi aBirataH tRzNayA na eva rajyate // DhH _30.26 //
   yo nādatte 'śubhaṃ karma śubhakarmarataḥ sadā /	yaH na Adatte aSuBam karma SuBa karma rataH sadA /
   candrāṃśunirmalagatiryogī bhavati tādṛśaḥ // Dhs_30.27 //	candra aMSu nirmala gatiH yogI Bavati tAdRSaH // DhH _30.27 //
   pradahan pāpakān dharmān śuṣkendhanamivānalaḥ /	pradahan pApakAn DarmAn Suzka inDanam iva analaH /
   vibhrājate tribhuvane muktapāyo gatavyathaḥ // Dhs_30.28 //	viBrAjate triBuvane mukta pAyaH gata vyaTaH // DhH _30.28 //
   mokṣe 'sti yasya tu mano na saṃsāre kathañcana /	mokze asti yasya tu manaH na saMsAre kaTaQcana /
   nāsau badhnāti saṃsāre muktaḥ pakṣī yathāmbare // Dhs_30.29 //	na asO baDnAti saMsAre muktaH pakzI yaTA ambare // DhH _30.29 //
   vedanodayatattvajño vedanāphalaniścayaḥ /	vedanA udaya tattva jQaH vedanA Pala niScayaH /
   sa mukta iti vijñeyastattvavid ṛtavāṃśca saḥ // Dhs_30.30 //	sa muktaH iti vijQeyaH tattva vid RtavAn= ca saH // DhH _30.30 //
   tathāpyete sukhaduḥkhe mṛṣṭāmṛṣṭairna lipyate /	taTA api ete suKa duHKe mRzwa AmRzwEH na lipyate /
   dīptaṃ paśyati saṃsāraṃ yaḥ sa yogī satāṃ mataḥ // Dhs_30.31 //	dIptam paSyati saMsAram yaH sa yogI satAm mataH // DhH _30.31 //
   bhikṣurbhavati kīdṛśaḥ?	BikzuH Bavati kIdRSaH?
   athāmūḍhamatirnityaṃ nityaṃ dharmaparāyaṇaḥ /	aTa amUXa matiH nityam nityam Darma parAyaNaH /
   bhikṣuvṛttāvabhirato bhikṣurbhavati tādṛśaḥ // Dhs_30.32 //	Bikzu vRttO= aBirataH BikzuH Bavati tAdRSaH // DhH _30.32 //
   na tṛptirdarśanārāmaiḥ sādhūnāṃ darśane ratiḥ /	na tRptiH darSana ArAmEH sADUnAm darSane ratiH /
   niṣkrāntagṛhakalmāṣo bhikṣurbhavati tādṛśaḥ // Dhs_30.33 //	nizkrAnta gRha kalmAzaH BikzuH Bavati tAdRSaH // DhH _30.33 //
   na nṛtyagītasandarśī (satyaṃ) ca punarīkṣate /	na nRtya gIta sandarSI (satyan) ca punar Ikzate /
   saṃrakṣito śmaśāneṣu bhikṣurbhavati tādṛśaḥ // Dhs_30.34 //	saMrakzitaH SmaSAnezu BikzuH Bavati tAdRSaH // DhH _30.34 //
   ekāhaṃ paramaṃ piṇḍamādatte 'nyatra kāṅkṣati /	eka aham paramam piNxam Adatte anyatra kAFkzati /
   tribhāgakukṣisantuṣṭo bhikṣurbhavati tādṛśaḥ // Dhs_30.35 //	tri BAga kukzi santuzwaH BikzuH Bavati tAdRSaH // DhH _30.35 //
   vastrottamavivarjī yaḥ pāṃsukūleṣu rajyate /	vastra uttama vivarjI yaH pAMsu kUlezu rajyate /
   muktāhāravihāro yo bhikṣurbhavati tādṛśaḥ // Dhs_30.36 //	muktA hAra vihAraH yaH BikzuH Bavati tAdRSaH // DhH _30.36 //
   karmāṇyārabhate yo na nirāśaḥ sa ca karmasu /	karmANi AraBate yaH na nirASaH sa ca karmasu /
   niruddhako noparato bhikṣurbhavati tādṛśaḥ // Dhs_30.37 //	nirudDakaH na uparataH BikzuH Bavati tAdRSaH // DhH _30.37 //
   kāyakoṭivinirmukto mohadhvāntavivarjitaḥ /	kAya kowi vinirmuktaH moha DvAnta vivarjitaH /
   aliptaḥ pāpakairdharmaibhikṣurbhavati tādṛśaḥ // Dhs_30.38 //	aliptaH pApakEH Darma eBikzuH Bavati tAdRSaH // DhH _30.38 //
   sarvāśayajanānītaḥ sarvāśayavivarjitaḥ /	sarva ASaya jana AnItaH sarva ASaya vivarjitaH /
   sarvāśayavinirmukto bhikṣurbhavati tādṛśaḥ // Dhs_30.39 //	sarva ASaya vinirmuktaH BikzuH Bavati tAdRSaH // DhH _30.39 //
   āryāṣṭāṅgena mārgeṇa nirvāṇapurataḥ sthitaḥ /	Arya azwa aFgena mArgeNa nirvANa puratas sTitaH /
   sarvārthadharmatā hyeṣā bhikṣurbhavati tādṛśaḥ // Dhs_30.40 //	sarva arTa DarmatA hi ezA BikzuH Bavati tAdRSaH // DhH _30.40 //
   śāntendriyo dṛḍhamatiḥ kāmapākavivarjitaḥ /	SAnta indriyaH dRXa matiH kAmapAka vivarjitaH /
   ekāgrasaṃsthitamanā bhikṣurbhavati tādṛśaḥ // Dhs_30.41 //	ekAgra saMsTita manAH BikzuH Bavati tAdRSaH // DhH _30.41 //
   bhūmisaṅkramaṇajño yo bhūmitattvanidarśakaḥ /	BUmi saFkramaNa jQaH yaH BUmi tattva nidarSakaH /
   bhūmeḥ parāparajño yo bhikṣurbhavati tādṛśaḥ // Dhs_30.42 //	BUmeH para apara jQaH yaH BikzuH Bavati tAdRSaH // DhH _30.42 //
   sambhavāsambhavān dharmān hetupratyayasambhavān /	samBava asamBavAn DarmAn hetu pratyaya samBavAn /
   jānīte vidhivat sarvān bhikṣurbhavati tādṛśaḥ // Dhs_30.43 //	jAnIte viDivat sarvAn BikzuH Bavati tAdRSaH // DhH _30.43 //
   brahmacārī ṛtujñānī styānamiddhavivarjitaḥ /	brahmacArI Rtu jQAnI styAnam idDa vivarjitaH /
   kalpodagro 'vanau dakṣo bhikṣurbhavati tādṛśaḥ // Dhs_30.44 //	kalpa udagraH avanO dakzaH BikzuH Bavati tAdRSaH // DhH _30.44 //
   śamasthovipaśyanāśca caturdhyānarataśca yaḥ /	Sama sTaH vipaSyanAH ca catur DyAna rataH ca yaH /
   ālaye muditārāmo bhikṣurbhavati tādṛśaḥ // Dhs_30.45 //	Alaye mudita ArAmaH BikzuH Bavati tAdRSaH // DhH _30.45 //
   pakṣiṇo gaganasthasya chāyevānugataḥ sadā /	pakziNaH gagana sTasya CAyA iva anugataH sadA /
   saddharmasyānujīvī sa bhikṣurbhavati tādṛśaḥ // Dhs_30.46 //	sadDarmasya anujIvI sa BikzuH Bavati tAdRSaH // DhH _30.46 //
   kleśopakleśabadhakaḥ samadarśī śubhānvitaḥ /	kleSa upakleSa baDakaH sama darSI SuBa anvitaH /
   anāpānavidhijño yo bhikṣurbhavati tādṛśaḥ // Dhs_30.47 //	anApAna viDi jQaH yaH BikzuH Bavati tAdRSaH // DhH _30.47 //
   anukramavidhijño yo yogavit tattvadarśakaḥ /	anukrama viDi jQaH yaH yoga vid tattva darSakaH /
   pārāpāravidhijño yo bhikṣurbhavati tādṛśaḥ // Dhs_30.48 //	pArApAra viDi jQaH yaH BikzuH Bavati tAdRSaH // DhH _30.48 //
   yo na hṛṣyati harṣeṣu bhayeṣu na bibheti ca /	yaH na hRzyati harzezu Bayezu na biBeti ca /
   mukto harṣabhayodvegairbhikṣurbhavati tādṛśaḥ // Dhs_30.49 //	muktaH harza Baya udvegEH BikzuH Bavati tAdRSaH // DhH _30.49 //
   janmamaraṇatattvajñaḥ surāsuranamaskṛtaḥ /	janma maraNa tattva jQaH sura asura namaskRtaH /
   parāvarajñaḥ sattvānāṃ bhikṣurbhavati tādṛśaḥ // Dhs_30.50 //	parAvara jQaH sattvAnAm BikzuH Bavati tAdRSaH // DhH _30.50 //
   saṅghāṭimātrasaṃhṛṣṭaḥ sañcayeṣu na rajyate /	saFGAwi mAtra saMhRzwaH saQcayezu na rajyate /
   alpeccho brahmacārī yo bhikṣurbhavati tādṛśaḥ // Dhs_30.51 //	alpa icCaH brahmacArI yaH BikzuH Bavati tAdRSaH // DhH _30.51 //
   ekāśī vṛkṣamūle yaḥ sadā dhyānaṃ samīhate /	eka ASI vRkza mUle yaH sadA DyAnam samIhate /
   lābhasatkāravirato bhikṣurbhavati tādṛśaḥ // Dhs_30.52 //	lABa satkAra virataH BikzuH Bavati tAdRSaH // DhH _30.52 //
   upekṣākaruṇārāgo mokṣadoṣavivarjitaḥ /	upekzA karuNA rAgaH mokza doza vivarjitaH /
   nirdagdhadoṣasarvasvo bhikṣurbhavati tādṛśaḥ // Dhs_30.53 //	nirdagDa doza sarva svaH BikzuH Bavati tAdRSaH // DhH _30.53 //
   mandavīryakusīdānāṃ bhikṣūṇāṃ darśanāya ca /	manda vIrya kusIdAnAm BikzUNAm darSanAya ca /
   nānyayogābhirakto yo bhikṣurbhavati tādṛśaḥ // Dhs_30.54 //	na anya yoga aBiraktaH yaH BikzuH Bavati tAdRSaH // DhH _30.54 //
   kausīdyābhirato bhikṣuḥ nahi kalyāṇamarhati	kOsIdya aBirataH BikzuH na hi kalyANam arhati
   na śayyāsanasambhogī bhikṣurbuddhena bhāṣitaḥ /	na SayyA Asana samBogI BikzuH budDena BAzitaH /
   kausīdyabhirato yastu nāsau kalyāṇamarhati // Dhs_30.55 //	kOsIdI aBirataH yaH tu na asO kalyANam arhati // DhH _30.55 //
   kleśānāṃ mūlapākaṃ hi kausīdyaṃ yasya vidyate /	kleSAnAm mUla pAkam hi kOsIdyam yasya vidyate /
   tasya duḥkhaṃ mahāghoraṃ saṃsāre sampravartate // Dhs_30.56 //	tasya duHKam mahA Goram saMsAre sampravartate // DhH _30.56 //
   kausīdyameva yasyāsti tasya dharmo na vidyate /	kOsIdyam eva yasya asti tasya DarmaH na vidyate /
   kevalaṃ vastramātreṇa 'bhikṣuḥ' sa iti kathyate // Dhs_30.57 //	kevalam vastra mAtreNa aBikzuHa saH iti kaTyate // DhH _30.57 //
   bhikṣurbhavati na tādṛśaḥ	BikzuH Bavati na tAdRSaH
   nādhyāpane ratiryasya na dhyānenāśu rakṣati /	na aDyApane ratiH yasya na DyAnena ASu rakzati /
   kevalaṃ vastumātreṇa bhikṣurbhavati tādṛśaḥ // Dhs_30.58 //	kevalam vastu mAtreNa BikzuH Bavati tAdRSaH // DhH _30.58 //
   vihārābhirato yastu na rato dharmagocare /	vihAra aBirataH yaH tu na rataH Darma gocare /
   strīmadyalolupamatibhikṣurasti na tādṛśaḥ // Dhs_30.59 //	strI madya lolupam ati BikzuH asti na tAdRSaH // DhH _30.59 //
   (bhavenmatiryasya nityaṃ vividhe) pāpakarmaṇi /	(Bavet matiH yasya nityam viviDe) pApa karmaNi /
   sa bhikṣurdeśito buddhaiḥ na bhoktā svakagocare // Dhs_30.60 //	sa BikzuH deSitaH budDEH na BoktA sva ka gocare // DhH _30.60 //
   varamāśīviṣaviṣaṃ kathitaṃ tāmrameva ca /	varam ASIviza vizam kaTitam tAmram eva ca /
   bhuktasyātyantaduḥśīlairadhikaṃ pāpabhojanam // Dhs_30.61 //	Buktasya atyanta duHSIlEH aDikam pApa Bojanam // DhH _30.61 //
   yo hi nārhati piṇḍāya nāsau piṇḍāya kalpate /	yaH hi na arhati piNxAya na asO piNxAya kalpate /
   yasya piṇḍikṛtāḥ kleśāḥ sarpā iva vileśayāḥ // Dhs_30.62 //	yasya piNxi kRtAH kleSAH sarpAH iva vileSayAH // DhH _30.62 //
   sa bhikṣuḥ piṇḍabhojī syānna strīdarśanatatparaḥ /	sa BikzuH piNxa BojI syAt na strI darSana tatparaH /
   bandhakaṃ yadi cātmānaṃ kṛtvā paraśubhakṣatim // Dhs_30.63 //	banDakam yadi ca AtmAnam kRtvA para SuBa kzatim // DhH _30.63 //
   bhikṣurdurguṇānāṃ svarūpam	BikzuH durguNAnAm svarUpam
   kathaṃ sa bhikṣurvijñeyaḥ saṅgharatnapradūṣakaḥ /	kaTam sa BikzuH vijQeyaH saFGa ratna pradUzakaH /
   yasyeṣṭā lābhasatkārā viṣayā yasya sammatāḥ // Dhs_30.64 //	yasya izwAH lABa satkArAH vizayAH yasya sammatAH // DhH _30.64 //
   nāridarśanasākāṅkṣī na bhikṣurna gṛhīva saḥ /	nAri darSana sa AkAFkzI na BikzuH na gRhi iva saH /
   rājaseviṣu sṛṣṭāśo madyapaḥ krodhanastathā // Dhs_30.65 //	rAja sevizu sRzwASaH madyapaH kroDanaH taTA // DhH _30.65 //
   sadā bhikṣurbañcayate dāyakānnanu cetasā /	sadA BikzuH baQcayate dAyakAn nanu cetasA /
   upāyanānyupādāya rājadvārāśritā hi ye /	upAyanAni upAdAya rAja dvAra ASritAH hi ye /
   saṃrabdhā gṛhibhiḥ sārdha yathā nāgā vanāśritāḥ // Dhs_30.66 //	saMrabDAH gRhiBiH sArDa yaTA nAgAH vana ASritAH // DhH _30.66 //
   tasmāt tāneva puṣṇanti vāterṣyāste samāgatāḥ /	tasmAt tAn eva puzNanti vAta IrzyAH te samAgatAH /
   putradārān parityajya ye śāntā ratnamāśritāḥ // Dhs_30.67 //	putra dArAn parityajya ye SAntAH ratnam ASritAH // DhH _30.67 //
   bhikṣorguṇānāṃ māhātmyam	BikzoH guNAnAm mAhAtmyam
   prahāya doṣān yo bhikṣurasti darśanatattvavit /	prahAya dozAn yaH BikzuH asti darSana tattva vid /
   rūpādiskandhatattvajño mokṣāya yatate sadā // Dhs_30.68 //	rUpa Adi skanDa tattva jQaH mokzAya yatate sadA // DhH _30.68 //
   dharmāvabodhābhirato dhyānārāmavihāravān	Darma avaboDa aBirataH DyAna ArAma vihAravAn
   tattvalakṣaṇasambodhāt prāpnuyāt padamavyayam // Dhs_30.69 //	tattva lakzaNa samboDAt prApnuyAt padam avyayam // DhH _30.69 //
   maitryārāmo hi satatamudyukto dharmagocare /	mEtrI ArAmaH hi satatam udyuktaH Darma gocare /
   tattvalakṣaṇatattvajño bhikṣurbhavati tādṛśaḥ // Dhs_30.70 //	tattva lakzaNa tattva jQaH BikzuH Bavati tAdRSaH // DhH _30.70 //
   yoniśastu matiryasya kāmakrodhairna hanyate /	yoniSas tu matiH yasya kAma kroDEH na hanyate /
   sa bhikṣuriti vijñeyo viparītastato 'nyathā // Dhs_30.71 //	sa BikzuH iti vijQeyaH viparItaH tatas anyaTA // DhH _30.71 //
   sarvabhūtadṛḍhaḥ śāntaḥ sarvasaṅgativarjitaḥ /	sarva BUta dRXaH SAntaH sarva saFgati varjitaH /
   sarvabandhananirmukto bhikṣurbhavati tattvavit // Dhs_30.72 //	sarva banDana nirmuktaH BikzuH Bavati tattva vid // DhH _30.72 //
   karmaṇi yasya vijñānaviṣayairyo na hanyate /	karmaNi yasya vijQAna vizayEH yaH na hanyate /
   nirmalaḥ syāt kanakavat santuṣṭo bhikṣurucyate // Dhs_30.73 //	nirmalaH syAt kanaka vat santuzwaH BikzuH ucyate // DhH _30.73 //
   priyāpriye mano yasya na lepamanugacchati /	priya apriye manaH yasya na lepam anugacCati /
   saṅkalpānāṃ vidhijño yaḥ sarvapāpavivarjitaḥ // Dhs_30.74 //	saFkalpAnAm viDi jQaH yaH sarva pApa vivarjitaH // DhH _30.74 //
   anyasaṃduṣṭacarito dharmaśīlo jitendriyaḥ /	anya saMduzwa caritaH Darma SIlaH jita indriyaH /
   ahīnasatvo matimān bhikṣurbhavati tādṛśaḥ // Dhs_30.75 //	ahIna satvaH matimAn BikzuH Bavati tAdRSaH // DhH _30.75 //
   śāstre śāstrārthavijñāne matiryasya sadā ratā /	SAstre SAstra arTa vijQAne matiH yasya sadA ratA /
   na pānabhojanarataḥ sa bhikṣuḥ śāntamānasaḥ // Dhs_30.76 //	na pAna Bojana rataH sa BikzuH SAnta mAnasaH // DhH _30.76 //
   bhikṣoḥ svarūpanirūpaṇam	BikzoH sva rUpa nirUpaNam
   vanāraṇyavihāreṣu śmaśāne tṛṇasaṃstare /	vana araNya vihArezu SmaSAne tRNa saMstare /
   ramate yasya tu mano bhikṣurbhavati tādṛśaḥ // Dhs_30.77 //	ramate yasya tu manaH BikzuH Bavati tAdRSaH // DhH _30.77 //
   doṣāṇāṃ karmatattvajñaḥ phalavit pariśeṣataḥ /	dozANAm karma tattva jQaH Pala vid pariSezataH /
   hetupratyayatattvajño bhikṣuḥ syād vītakalmaṣaḥ // Dhs_30.78 //	hetu pratyaya tattva jQaH BikzuH syAt vIta kalmazaH // DhH _30.78 //
   (hata) kilviṣakāntāro hatadoṣo jitendriyaḥ /	(hata) kilviza kAntAraH hata dozaH jita indriyaH /
   punarbhavavidhijño yo bhikṣuḥ śāntamanāḥ (smṛta) // Dhs_30.79 //	punarBava viDi jQaH yaH BikzuH SAnta manAH (smRta) // DhH _30.79 //
   notkarṣo hṛṣṭahṛdaye nindayā naiva rūṣyati /	na utkarzaH hRzwa hRdaye nindayA na eva rUzyati /
   samudratulyagāmbhīryo yogavān bhikṣurucyate // Dhs_30.80 //	samudra tulya gAmBIryaH yogavAn BikzuH ucyate // DhH _30.80 //
   āveṇiko dṛḍhamatiḥ sūkṣmavādī na lolupaḥ /	AveNikaH dRXa matiH sUkzma vAdI na lolupaH /
   kāmavādī samo dakṣaḥ sa bhikṣuḥ śānta ucyate // Dhs_30.81 //	kAma vAdI samaH dakzaH sa BikzuH SAntaH ucyate // DhH _30.81 //
   kāmadhātūpagān hetūn rūpadhātau tathaiva ca /	kAmaDAtu upagAn hetUn rUpa DAtO taTA eva ca /
   āruṣyeṣu ca tattvajñaḥ śāstrā bhikṣuḥ sa ucyate // Dhs_30.82 //	Aruzyezu ca tattva jQaH SAstrA BikzuH saH ucyate // DhH _30.82 //
   na laukikakathāsaktaḥ śatrudoṣabadhe sadā /	na lOkika kaTA saktaH Satru doza baDe sadA /
   viṣavad yasya viṣayāḥ sa bhikṣurdeśito budhaiḥ // Dhs_30.83 //	viza vat yasya vizayAH sa BikzuH deSitaH buDEH // DhH _30.83 //
   śuddhā yasya (hi)kāmeṣu matirbhavati nityaśaḥ /	SudDA yasya (hi) kAmezu matiH Bavati nityaSas /
   sa nirmuktamatirbhikṣurmuktaḥ saṃsārabandhanāt // Dhs_30.84 //	sa nirmukta matiH BikzuH muktaH saMsAra banDanAt // DhH _30.84 //
   dhyānādhyayanakarmaṇyaḥ kausīdyaṃ yasya dūrataḥ /	DyAna aDyayana karmaNyaH kOsIdyam yasya dUratas /
   hitakārī ca sattvānām āraṇyo bhikṣurucyate // Dhs_30.85 //	hita kArI ca sattvAnAm AraNyaH BikzuH ucyate // DhH _30.85 //
   praśnottaramatiryasya pratibhāvan jitendriyaḥ /	praSna uttara matiH yasya pratiBAvan jita indriyaH /
   sa dharmaḥ kathito jñeyo viparītastṛṇaiḥ samaḥ // Dhs_30.86 //	sa DarmaH kaTitaH jQeyaH viparItaH tRNEH samaH // DhH _30.86 //
   buddhaśāsane kīdṛg bhikṣuḥ śastaḥ?	budDa SAsane kIdRS BikzuH SastaH?
   kāyamānasabhīryasya sarvadā naiva khidyate /	kAya mAna sa BIryasya sarvadA na eva Kidyate /
   sarvakṛtyakaro jñeyo yaḥ saṅghāya ca tatparaḥ // Dhs_30.87 //	sarva kRtya karaH jQeyaH yaH saFGAya ca tad paraH // DhH _30.87 //
   na parārtha na lobhārtha yaśo 'rtha kurute na tu /	na para arTa na loBa arTa yaSaH arTa kurute na tu /
   saṅghakārye matiryasya sa muktaḥ sarvabandhanaiḥ // Dhs_30.88 //	saFGa kArye matiH yasya sa muktaH sarva banDanEH // DhH _30.88 //
   na svargārtha matiryasya lābhārtha yaśase na vā /	na svarga arTa matiH yasya lABa arTa yaSase na vA /
   nirvāṇārtha kriyā sarvā sa bhikṣuḥ srota ucyate // Dhs_30.89 //	nirvANa arTa kriyA sarvA sa BikzuH srotaH ucyate // DhH _30.89 //
   pāpebhyo nityavirataḥ satkṛtyeṣu rataḥ sadā /	pApeByaH nitya virataH satkRtyezu rataH sadA /
   na pāpamitrasaṃsargī bhikṣuḥ syād buddhaśāsane // Dhs_30.90 //	na pApa mitra saMsargI BikzuH syAt budDa SAsane // DhH _30.90 //
   maitryā bhāvitacittasya dakṣasya ṛjucetasaḥ /	mEtryAH BAvita cittasya dakzasya Rju cetasaH /
   śikṣāpadeṣu raktasya nirvāṇaṃ nātidūrataḥ // Dhs_30.91 //	SikzA padezu raktasya nirvANam na ati dUrataH // DhH _30.91 //
   jarāmaraṇaśīlasya saṃsāravimukhasya ca /	jarA maraNa SIlasya saMsAra vimuKasya ca /
   dhyāne 'pi na pramattasya nirvāṇaṃ nātidūrataḥ // Dhs_30.92 //	DyAne api na pramattasya nirvANam na ati dUrataH // DhH _30.92 //
   anityatāvidhijñasya śūnyatāvatkriyāvataḥ /	anitya tA viDi jQasya SUnya tA vat kriyAvataH /
   dhyānotkarṣavidhijñasya nirvāṇaṃ nātidūrataḥ // Dhs_30.93 //	DyAna utkarza viDi jQasya nirvANam na ati dUrataH // DhH _30.93 //
   dhīro 'yamagracoro 'yaṃ yo 'yaṃ bhikṣurasaṃvṛtaḥ /	DIraH ayam agra coraH ayam yaH ayam BikzuH asaMvRtaH /
   antaḥpurīvarasrāvī bahiścīvarasaṃvṛtaḥ // Dhs_30.94 //	antaHpurI vara srAvI bahis cIvara saMvRtaH // DhH _30.94 //
   dharmavinayād rikto bhikṣurduḥkhabhāgī bhavedeva	Darma vinayAt riktaH BikzuH duHKa BAgI Bavet eva
   yathā yatnamayo rāśiḥ sarvo 'sāraśca durbalaḥ /	yaTA yatna mayaH rASiH sarvaH asAraH ca durbalaH /
   evaṃ sañcarati rikto vitatho bhikṣuvādikaḥ // Dhs_30.95 //	evam saQcarati riktaH vitaTaH BikzuvAdikaH // DhH _30.95 //
   sa nārakeyo duḥśīlaḥ saṅgharatnabahiṣkṛtaḥ /	sa nArakeyaH duHSIlaH saFGa ratna bahizkRtaH /
   kāyasya bhedānnarakaṃ nīyate cittavañcitaḥ // Dhs_30.96 //	kAyasya BedAt narakam nIyate citta vaQcitaH // DhH _30.96 //
   vañcito dharmavinayād yāti tat svena karmaṇā /	vaQcitaH Darma vinayAt yAti tat svena karmaNA /
   malinastamasā baddho duḥkhabhāgī bhaviṣyati // Dhs_30.97 //	malinaH tamasA badDaH duHKa BAgI Bavizyati // DhH _30.97 //
   aprāvṛtaḥ śubhadhaman nagnaḥ sādhujugupsitaḥ /	aprAvRtaH SuBa Daman nagnaH sADu jugupsitaH /
   nayate narakaṃ ghoraṃ yathā dharmabahiṣkṛtaḥ // Dhs_30.98 //	nayate narakam Goram yaTA Darma bahizkRtaH // DhH _30.98 //
