   Pramāṇavārtikam	PramANa-vArtikam
   pramāṇānāmabhāve hi śāstravācorayogataḥ // Pramāṇav_4.96 //	pramANAnAm-aBAve hi SAstra-vAcoH-ayogataH // PramANa=-_4.96 //
   svavāgvirodhe vispaṣṭamudāharaṇamāgame /	sva-vAc-viroDe vispazwam-udAharaNam-Agame /
   diṅmātradarśanam tatra pretyadharmo 'sukhapradaḥ // Pramāṇav_4.97 //	diS-mAtra-darSanam tatra pretya-DarmaH asuKa-pradaH // PramANa=-_4.97 //
   śāstriṇo 'pyatadālambe viruddhoktau tu vastuni /	SAstriNaH api-atad-Alambe virudDa-uktO tu vastuni /
   na bādhā pratibandhaḥ syāt tulyakakṣatayā tayoḥ // Pramāṇav_4.98 //	na bADA pratibanDaH syAt tulya-kakzatayA tayoH // PramANa=-_4.98 //
   yathā svavāci taccāsya tadā svavacanātmakam /	yaTA sva-vAci tat-ca-asya tadA sva-vacana-Atmakam /
   tayoḥ pramāṇaṃ yasyāsti tat syādanyasya bādhakam // Pramāṇav_4.99 //	tayoH pramANam yasya-asti tat syAt-anyasya bADakam // PramANa=-_4.99 //
   pratijñāmanumānaṃ vā pratijñāpetayuktikā /	pratijQAm-anumAnam vA pratijQA-apeta-yuktikAH /
   yathārtha vā bādheta kathamanyathā // Pramāṇav_4.100 //	yaTArTa vA bADeta kaTam-anyaTA // PramANa=-_4.100 //
   prāmāṇyamāgamānāṃ ca prāgeva vinivāritam /	prAmANyam-AgamAnAm ca prAk-eva vinivAritam /
   abhyupāyavicāreṣu tasmād doṣo 'yamiṣyate // Pramāṇav_4.101 //	aByupAya-vicArezu tasmAt dozaH ayam-izyate // PramANa=-_4.101 //
   tasmād viṣayabhedasya darśanārtha pṛthak kṛtaḥ /	tasmAt vizaya-Bedasya darSana-arTa pRTak kRtaH /
   anumānābahirbhūto 'pyabhyupāyaḥ prabādhanāt // Pramāṇav_4.102 //	anumAna-abahis-BUtaH api-aByupAyaH prabADanAt // PramANa=-_4.102 //
   anyathātiprasaṅgaḥ syād vyarthatā vā pṛthakkṛteḥ /	anyaTA-atiprasaFgaH syAt vyarTa-tA vA pRTakkRteH /
   bhedo vāṅmātravacane pratibandhaḥ svavācyapi // Pramāṇav_4.103 //	BedaH vAc-mAtra-vacane pratibanDaH sva-vAci-api // PramANav_4.103 //
   tenābhyupagamācchāstra pramāṇaṃ sarvavastuṣu /	tena-aByupagamAt-SAstra pramANam sarva-vastuzu /
   bādhakam yadi necchet sa bādhakaṃ kiṃ punarbhavet // Pramāṇav_4.104 //	bADakam yadi na-icCet sa bADakam kim punar-Bavet // PramANa=-_4.104 //
   svavāgvirodheabhedaḥ syāt svavākśāstravirodhayoḥ /	sva-vAc-viroDea-BedaH syAt sva-vAc-SAstra-viroDayoH /
   puruṣecchākṛtā cāsya paripūrṇā pramāṇatā // Pramāṇav_4.105 //	puruza-icCA-akRtA ca-asya paripUrNA pramANatA // PramANa=-_4.105 //
   tasmāt prasiddheṣvartheṣu śāstratyāge 'pi na kṣatiḥ /	tasmAt prasidDezu-arTezu SAstra-tyAge api na kzatiH /
   paroikṣeṣvāgamāniṣṭo na cintaiva pravarttate // Pramāṇav_4.106 //	paroikzezu-Agama-anizwaH na cintA-eva pravarttate // PramANa=-_4.106 //
   virodhodbhāvanaprāyā parīkṣāpyatra tadyathā /	viroDa-udBAvana-prAyA parIkzA-api-atra tat-yaTA /
   adharmamūlaṃ rāgādi snānaṃ cādharmanāśanām // Pramāṇav_4.107 //	aDarma-mUlam rAga-Adi snAnam ca-aDarma-nASanAm // PramANa=-_4.107 //
   śāstraṃ yatsiddhayā yuktyā svavācā ca na bādhyate /	SAstram yat-sidDayA yuktyA sva-vAcA ca na bADyate /
   dṛṣṭe 'dṛṣṭe 'pi tadgrāhyamiti cintā pravartyate // Pramāṇav_4.108 //	dRzwe adRzwe api tat-grAhyam-iti cintA pravartyate // PramANa=-_4.108 //
   artheṣvapratiṣiddhatvāt puruṣecchānurodhinaḥ /	arTezu-apratizidDa-tvAt puruza-icCA-anuroDinaH /
   iṣṭaśabdābhidheyasyāpto 'trākṣatavāg janaḥ // Pramāṇav_4.109 //	izwa-Sabda-aBiDeyasya-AptaH atra-akzata-vAc janaH // PramANa=-_4.109 //
   uktaḥ prasiddhaśabdena dharmastadvyavahārajaḥ /	uktaH prasidDa-Sabdena DarmaH-tad-vyavahAra-jaH /
   pratyakṣādimitā mānaśrutyāropeṇa sucitāḥ // Pramāṇav_4.110 //	pratyakza-Adi-mitAH mAna-Sruti-AropeNa sucitAH // PramANa=-_4.110 //
   tadāśrayabhuvāmicchānurodhādaniṣedhinām /	tad-ASraya-BuvAm-icCA-anuroDAt-anizeDinAm /
   kṛtānāmakṛtānāṃ ca yogyaṃ viśvaṃ svabhāvataḥ // Pramāṇav_4.111 //	kRtAnAm-akRtAnAm ca yogyam viSvam svaBAvataH // PramANa=-_4.111 //
   arthamātrānurodhinyā bhāvinyā bhūtayāpi vā /	arTa-mAtra-anuroDinyAH BAvinyA BUtayA-api vA /
   bādhyate pratirundhānaḥ śabdayogyatayātayā // Pramāṇav_4.112 //	bADyate pratirunDAnaH Sabda-yogya-tayA-tayA // PramANa=-_4.112 //
   tadyogyatābalādeva vastuto ghaṭito dhvaniḥ /	tad-yogya-tA-balAt-eva vastutas GawitaH DvaniH /
   sarvo 'syāmapratīte 'pi tasmiṃstatsiddhatā tataḥ // Pramāṇav_4.113 //	sarvaH asya-Am-apratIte api tasmin=-tad-sidDa-tA tatas // PramANa=-_4.113 //
   asādharaṇatā na syāt bādhāhetorihānyathā /	asADaraNa-tA na syAt bADA-hetoH-iha-anyaTA /
   tanniṣedho 'numānāt syācchabdārthe 'nakṣavṛttitaḥ // Pramāṇav_4.114 //	tad-nizeDaH anumAnAt syAt-Sabda-arTe anakza-vRttitaH // PramANa=-_4.114 //
   asādhāraṇatā tatra hetūnāṃ yatra nānvayi /	asADAraNa-tA tatra hetUnAm yatra na-anvayi /
   sattvamityapyudāhāro hetorevaṃ kuto mataḥ // Pramāṇav_4.115 //	sattvam-iti-api-udAhAraH hetoH-evam kutas mataH // PramANa=-_4.115 //
   saṃketasaṃśrayāḥ śabdāḥ sa cecchāmātrasaṃśrayaḥ /	saMketa-saMSrayAH SabdAH sa ca-icCA-mAtra-saMSrayaH /
   nāsiddhiḥ śabdasiddhanāmiti śābdaprasiddhivāk // Pramāṇav_4.116 //	na-asidDiH Sabda-sidDanAm-iti SAbda-prasidDi-vAc // PramANa=-_4.116 //
   anumānaprasiddheṣu viruddhāvyabhicāriṇaḥ /	anumAna-prasidDezu virudDa-avyaBicAriNaH /
   abhāvaṃ darśayatyevaṃ pratīreranumātvataḥ // Pramāṇav_4.117 //	aBAvam darSayati-evam pratIreH-anumAtvataH // PramANa=-_4.117 //
   atha vā bru vato lokasyānumābhāva ucyate /	aTa vA bru vataH lokasya-anumABAvaH ucyate /
   kiṃ tena bhinnaviṣayā pratītiranumānataḥ // Pramāṇav_4.118 //	kim tena Binna-vizayA pratItiH-anumAnataH // PramANa=-_4.118 //
   tenānumānād vastūnāṃ sadasatānurodhinaḥ /	tena-anumAnAt vastUnAm sat-asata-anuroDinaH /
   bhinnasyātadvaśā vṛttistadicchājeti sūcitam // Pramāṇav_4.119 //	Binnasya-Atad-vaSA vRttiH-tat-icCA-jA-iti sUcitam // PramANa=-_4.119 //
   candratāṃ śaśino 'nicchan kāṃ pratītiṃ sa vāñchati /	candra-tAm SaSinaH anicCan kAm pratItim sa vAQCati /
   iti taṃ pratyadṛṣṭāntaṃ tadasādhāraṇaṃ matam // Pramāṇav_4.120 //	iti tam pratyadRzwAntam tat-asADAraNam matam // PramANa=-_4.120 //
   nodāharaṇamevekamadhikṛtyedamucyate /	na-udAharaNam-evekam-aDikRtya-idam-ucyate /
   lakṣaṇatvāt tathā vṛkṣo dhātrītyuktau ca bādhanāt // Pramāṇav_4.121 //	lakzaNa-tvAt taTA vRkzaH DAtri-iti-uktO ca bADanAt // PramANa=-_4.121 //
   atrāpi loke dṛṣṭatvāt karpūrarajatādiṣu /	atra-api loke dRzwa-tvAt karpUra-rajata-Adizu /
   samayād vartamānasya kāsādhāraṇatāpi vā // Pramāṇav_4.122 //	samayAt vartamAnasya kAsa-ADAraNa-tA-api vA // PramANa=-_4.122 //
   yadi tasya kvacit sidhyet siddhaṃ vastubalena tat /	yadi tasya kvacid siDyet sidDam vastu-balena tat /
   pratītisiddhopagame 'śaśinyapyanivāraṇam // Pramāṇav_4.123 //	pratIti-sidDa-upagame aSaSini-api-anivAraNam // PramANa=-_4.123 //
   tasya bastuni siddhasya śaśinyapyanivāraṇam /	tasya bastuni sidDasya SaSini-api-anivAraNam /
   tadvastvabhāve śaśini vāraṇe 'pi na duṣyati // Pramāṇav_4.124 //	tad-vastu-aBAve SaSini vAraNe api na duzyati // PramANa=-_4.124 //
   tasmādavastuniyatasaṃketabalabhāvinām /	tasmAt-avastu-niyata-saMketa-bala-BAvinAm /
   yogyāḥ padārthā dharmāṇāmicchāyā aniridhanāt // Pramāṇav_4.125 //	yogyAH padArTAH DarmANAm-icCAyAH aniriDanAt // PramANa=-_4.125 //
   tāṃ yogyatāṃ virundhānaṃ saṃketāpratiṣedhajā /	tAm yogyatAm virunDAnam saMketa-apratizeDa-jAH /
   pratihanti pratītyākhyā yogyatāviṣaye 'numā // Pramāṇav_4.126 //	pratihanti prati-iti-AKyAH yogya-tA-vizaye anumA // PramANa=-_4.126 //
   śabdānāmarthamiyamaḥ saṃketānuvidhāyinām /	SabdAnAm-arTam-iyamaH saMketa-anuviDAyinAm /
   netyanenoktamatraiṣāṃ pratiṣedho virudhyate // Pramāṇav_4.127 //	na-iti-anena-uktam-atra-ezAm pratizeDaH viruDyate // PramANa=-_4.127 //
   naimittikyāḥ śruterarthamartha vā pāramārthikam /	nEmittikyAH SruteH-arTam-arTa vA pAramArTikam /
   śabdānāṃ pratirundhāno 'bādhanārho hi varṇitaḥ // Pramāṇav_4.128 //	SabdAnAm pratirunDAnaH abADana-arhaH hi varNitaH // PramANa=-_4.128 //
   tasmād viṣayabhedasya darśānāya pṛthakkṛtā /	tasmAt vizaya-Bedasya darSAnAya pRTakkRtA /
   anumānābahirbhū tā pratītirapi pūrvavat // Pramāṇav_4.129 //	anumAna-abahis-BU tA pratItiH-api pUrvavat // PramANa=-_4.129 //
   siddhayoḥ pṛthagākhyāne darśayaṃśca prayojanam /	sidDayoH pRTak-AKyAne darSayan=-ca prayojanam /
   ete sahetuke prāha nānumādhyakṣabādhane // Pramāṇav_4.130 //	ete sa-hetuke prAha na-anumA-aDyakza-bADane // PramANa=-_4.130 //
   atrāpyadhyakṣabādhāyāṃ nānārūpatayā dhvanau /	atra-api-aDyakza-bADAyAm nAnA-rUpa-tayA DvanO /
   prasiddhasya śrutau rūpaṃ yadeva pratibhāsate // Pramāṇav_4.131 //	prasidDasya SrutO rUpam yat-eva pratiBAsate // PramANa=-_4.131 //
   advayaṃ śabalābhāsasyādṛṣterbuddhijanmanaḥ /	advayam Sabala-ABAsasya-adRzteH-budDi-janmanaH /
   tadarthārthoktirasyeva kṣepe 'dhyakṣeṇa bādhanam // Pramāṇav_4.132 //	tad-arTa-arTa-uktiH-asya-iva kzepe aDyakzeNa bADanam // PramANa=-_4.132 //
   tadeva rūpaṃ tatrārthaḥ śeṣa vyāvṛttilakṣaṇam /	tat-eva rUpam tatra-arTaH Seza vyAvRtti-lakzaNam /
   avastubhūtaṃ sāmānyamatastannākṣagocaraḥ // Pramāṇav_4.133 //	avastu-BUtam sAmAnyam-atas-tat-na-akza-gocaraH // PramANa=-_4.133 //
   tena sāmānyadharmāṇāmapratyakṣatvasiddhitaḥ /	tena sAmAnya-DarmANAm-apratyakza-tva-sidDitaH /
   pratikṣepe 'pyabādheti śrāvaṇoktyā prakāśitam // Pramāṇav_4.134 //	pratikzepe api-abADA-iti SrAvaNa-uktyA prakASitam // PramANa=-_4.134 //
   sarvathāvācyarūpatvāt siddhyā tasya samāśrayāt /	sarvaTA-avAcya-rUpa-tvAt sidDyA tasya samASrayAt /
   bādhanāt tadbalenoktaḥ śrāvaṇenākṣagocaraḥ // Pramāṇav_4.135 //	bADanAt tad-balena-uktaH SrAvaNena-akza-gocaraH // PramANa=-_4.135 //
   sarvatra vādino dharmo yaḥ svasādhyatayepsitaḥ /	sarvatra vAdinaH DarmaH yaH sva-sADyatayA-IpsitaH /
   taddharmavati bādhā syānnānyadharmeṇa dharmiṇi // Pramāṇav_4.136 //	tat-Darmavati bADA syAt-na-anya-DarmeNa DarmiNi // PramANa=-_4.136 //
   anyathāsyoparodhaḥ ko bādhite 'nyatra dharmiṇi /	anyaTA-asya-uparoDaH kaH bADite anyatra DarmiNi /
   gatārthe lakṣaṇenāsmin svadharmivacanaṃ punaḥ // Pramāṇav_4.137 //	gata-arTe lakzaNena-asmin sva-Darmi-vacanam punar // PramANa=-_4.137 //
   bādhāyāṃ dharmiṇo 'pi syād bādhetyasya prasiddhaye /	bADAyAm DarmiNaH api syAt bADeti-asya prasidDaye /
   āśrayasya virodhana tadāśritāvirodhanāt // Pramāṇav_4.138 //	ASrayasya viroDana tad-ASrita-aviroDanAt // PramANa=-_4.138 //
   anyathaivaṃvidho dharmaḥ sādhya ityabhidhānataḥ /	anyaTA-evaMviDaH DarmaH sADyaH iti-aBiDAnataH /
   tadbādhāmeva manyeta svadharmigrahaṇaṃ tataḥ // Pramāṇav_4.139 //	tad-bADAm-eva manyeta svaDarmi-grahaNam tatas // PramANa=-_4.139 //
   nanvetadapyarthaśiddhaṃ satyaṃ kecittu dharmiṇaḥ /	nanu-etat-api-arTa-SidDam satyam kecid-tu DarmiNaH /
   kevalasyoparodhe 'pi doṣavattamupāgatāḥ // Pramāṇav_4.140 //	kevalasya-uparoDe api dozavattam-upAgatAH // PramANa=-_4.140 //
   yathā parairanutpādyāpūrvarūpaṃ na khādikam /	yaTA parEH-anutpAdya-apUrva-rUpam na KAdikam /
   sakṛcchabdādyahetutvādityukte prāha dūṣakaḥ // Pramāṇav_4.141 //	sakRt-Sabda-Adi-ahetu-tvAt-iti-ukte prAha dUzakaH // PramANa=-_4.141 //
   tadvad vastusvabhāvo 'san dharmī vyomādirityapi /	tadvat vastu-svaBAvaH asan DarmI vyomAdiH-iti-api /
   naivamiṣṭasya sādhyasya bādhā kācana vidyate // Pramāṇav_4.142 //	na-evam-izwasya sADyasya bADA kAcana vidyate // PramANa=-_4.142 //
   dvayasyāpi hi sādhyatve sādhyadharmoparodhi yat /	dvayasya-api hi sADya-tve sADya-Darma-uparoDi yat /
   bādhanaṃ dharmiṇāstatra bādhetyetena varṇitam // Pramāṇav_4.143 //	bADanam DarmiNAH-tatra bADA-iti-etena varNitam // PramANa=-_4.143 //
   tathaiva dharmiṇo 'pyatra sādhyatvāt kevalasya na /	taTA-eva DarmiNaH api-atra sADya-tvAt kevalasya na /
   yadyevamatra bādhā syāt nānyānutpādyaśaktikaḥ // Pramāṇav_4.144 //	yadi-evam-atra bADA syAt na-anya-an-utpAdya-SaktikaH // PramANa=-_4.144 //
   sakṛcchabdādyahetutvāt sukhādiriti pūrvavat /	sakRt-Sabda-Adi-ahetu-tvAt suKa-AdiH-iti pUrvavat /
   virodhitā bhavedatra heturaikāntiko yadi // Pramāṇav_4.145 //	viroDitA Bavet-atra hetuH-EkAntikaH yadi // PramANa=-_4.145 //
   kramakrīyanityatayoravirodhād vipakṣataḥ /	krama-krIya-nityatayoH-aviroDAt vipakzataH /
   vyāvṛtteḥ saṃśayānnāyaṃ śeṣavad bheda iṣyate // Pramāṇav_4.146 //	vyAvRtteH saMSayAn-na-ayam Sezavat BedaH izyate // PramANa=-_4.146 //
   svayamiṣṭo yato dharmaḥ sādhyastasmāt tadāśrayaḥ /	svayam-izwaH yatas DarmaH sADyaH-tasmAt tad-ASrayaH /
   bādhyo na kevalo nānyasaṃśrayo veti sūcitam // Pramāṇav_4.147 //	bADyaH na kevalaH na-anya-saMSrayaH vA-iti sUcitam // PramANa=-_4.147 //
   svayaṃ śrutyānyadharmāṇāṃ bādhā bādheti kathyate /	svayam SrutyA-anya-DarmANAm bADA bADA-iti kaTyate /
   tathā svadharmiṇānyastadharmiṇo 'pīti kathyate // Pramāṇav_4.148 //	taTA svaDarmiNA-anyasta-DarmiNaH api-iti kaTyate // PramANa=-_4.148 //
   sarvasādhanadoṣeṇa pakṣa evoparodhyate /	sarva-sADana-dozeNa pakzaH eva-uparoDyate /
   tathāpi pakṣadoṣatvaṃ pratijñāmātrabhāvinaḥ // Pramāṇav_4.149 //	taTA-api pakza-doza-tvam pratijQA-mAtra-BAvinaH // PramANa=-_4.149 //
   uttarāvayāpekṣo yo doṣaḥ so 'nubadhyate /	uttarAvaya-apekzaH yaH dozaH saH anubaDyate /
   tenetyuktamato pakṣadoṣo 'siddhāśrayādikaḥ // Pramāṇav_4.150 //	tena-iti-uktam-atas pakza-dozaH asidDa-ASraya-AdikaH // PramANa=-_4.150 //
   dharmidharmaviśeṣāṇāṃ svarūpasya ca dharmiṇaḥ /	Darmi-Darma-viSezANAm svarUpasya ca DarmiNaH /
   bādhā sādhyāṅgabhūtānāmanenaivopadarśitā // Pramāṇav_4.151 //	bADA sADya-aFga-BUtAnAm-anena-eva-upadarSitAH // PramANa=-_4.151 //
   tatrodāhṛtidiṅmātramucyate 'rthasya dṛṣṭaye /	tatra-udAhRti-diS-mAtram-ucyate arTasya dRzwaye /
   dravyalakṣaṇayukto 'nyaḥ saṃyoge 'rtho 'sti dṛṣṭibhāk // Pramāṇav_4.152 //	dravya-lakzaNa-yuktaH anyaH saMyoge arTaH asti dRzwi-BAj // PramANa=-_4.152 //
   adṛśyasya viśiṣṭasya pratijñā niṣprayojanā /	adRSyasya viSizwasya pratijQA nizprayojanA /
   iṣṭo hyavayavī kārya dṛṣṭvādṛśyeṣvasambhavi // Pramāṇav_4.153 //	izwaH hi-avayavI kArya dRzwvA-adRSyezu-asamBavi // PramANa=-_4.153 //
   aviśiṣṭasya cānyasya sādhane siddhasādhanam //	aviSizwasya ca-anyasya sADane sidDa-sADanam //
   gurutvādhogatī syātāṃ yadyasya syāt tulānatiḥ // Pramāṇav_4.154 //	guru-tva-aDas-gatI syAtAm yadi-asya syAt tulA-natiH // PramANav_4.154 //
   tannirguṇakriyastasmāt samavāyi na kāraṇam /	tad-nirguNa-kriyaH-tasmAt samavAyi na kAraNam /
   tata eva na dṛśyo 'sāvadṛṣṭeḥ kāryarūpayoḥ // Pramāṇav_4.155 //	tatas eva na dRSyaH asO=-adRzweH kArya-rUpayoH // PramANa=-_4.155 //
   tadbādhānyaviśeṣasya nāntarīyakabhāvinaḥ /	tad-bADAni-aviSezasya na-antarIyaka-BAvinaH /
   āsūkṣmād dravyamālāyāstolyatvādaṃśupātavat // Pramāṇav_4.156 //	AsUkzmAt dravya-mAlAyAH-tolya-tvAt-aMSu-pAta-vat // PramANa=-_4.156 //
   dravyāntaragurutvasya gatirnetyaparo 'bravīt /	dravya-antara-guru-tvasya gatiH-na-iti-aparaH abravIt /
   tasya krameṇaṃ saṃyukte pāṃśurāśau sakṛd yute // Pramāṇav_4.157 //	tasya krameNam saMyukte pAMSu-rASO sakRt yute // PramANa=-_4.157 //
   bhedaḥ syād gaurave tasmāt pṛthak saha ca tolite /	BedaH syAt gOrave tasmAt pRTak saha ca tolite /
   suvarnamāṣakādīnāṃ saṃkhyāsāmyaṃ na yujyate // Pramāṇav_4.158 //	suvarna-mAzaka-AdInAm saMKyA-sAmyam na yujyate // PramANa=-_4.158 //
   sarṣapādā mahārāśeruttarottaravṛddhimat /	sarzapAdA mahA-rASeH-uttara-uttara-vRdDimat /
   gauravaṃ kāryamālāyā yadi naivopalabhyate // Pramāṇav_4.159 //	gOravam kArya-mAlAyAH yadi na-eva-upalaByate // PramANa=-_4.159 //
   ā sarṣapād gauravaṃ tu durlakṣitamanalpakam /	A sarzapAt gOravam tu durlakzitam-analpakam /
   tolyaṃ tatkāraṇaṃ kāryagauravānupalakṣaṇāt // Pramāṇav_4.160 //	tolyam tad-kAraNam kArya-gOrava-anupalakzaNAt // PramANa=-_4.160 //
   nanvadṛṣṭoṃ 'śuvat so 'rtho na ca tatkāryamīkṣyate /	nanu-adRzwom aSu-vat saH arTaH na ca tat-kAryam-Ikzyate /
   gurutvāgativat sarvatadguṇānupalakṣaṇāt // Pramāṇav_4.161 //	gurutva-Agati-vat sarva-tad-guNa-anupalakzaNAt // PramANa=-_4.161 //
   māṣakāderanādhikyam anatiḥ sopalakṣaṇam /	mAzaka-AdeH-anADikyam anatiH sa-upalakzaNam /
   yathāsvamakṣeṇādṛṣṭe rūpādāvadhikādhike // Pramāṇav_4.162 //	yaTAsvamakzeNa-adRzwe rUpa-AdO=-aDika-aDike // PramANa=-_4.162 //
   abhyupāyaḥ svavāgādyabādhāyāḥ sambhavena tu /	aByupAyaH sva-vAc-Adi-a-bADAyAH samBavena tu /
   udāharaṇamapyanyadiśā gamyaṃ yathoktyā // Pramāṇav_4.163 //	udAharaNam-api-anya-diSA gamyam yaTA-uktyA // PramANa=-_4.163 //
   trikālaviṣayatvāt tu kṛtyānāmatathātmakam /	tri-kAla-vizaya-tvAt tu kRtyAnAm-ataTA-Atmakam /
   tathā paraṃ prati nyastaṃ sādhyaṃ neṣṭaṃ tadāpi tat // Pramāṇav_4.164 //	taTA param prati nyastam sADyam na-izwam tadA-api tat // PramANa=-_4.164 //
   pratyayanādhikāre tu sarvāsiddhavarodhinī /	pratyayana-aDikAre tu sarva-asidDa-varoDinI /
   yasmāt sādhyaśrutirneṣṭaṃ viśeṣamavalambate // Pramāṇav_4.165 //	yasmAt sADya-SrutiH-na-izwam viSezam-avalambate // PramANa=-_4.165 //
   tenāprasiddhadṛṣṭāntahetudāharaṇaṃ kṛtam /	tena-aprasidDa-dRzwAnta-hetu-dAharaNam kRtam /
   anyathā śaśaśrṛṅgādau sarvāsiddhe 'pi sādhyatā // Pramāṇav_4.166 //	anyaTA SaSaSrRFga-AdO sarva-asidDe api sADya-tA // PramANa=-_4.166 //
   sarvasya cāprasiddhatvāt kathañcit tena na kṣamāḥ /	sarvasya ca-aprasidDa-tvAt kaTaQcid tena na kzamAH /
   karmādibhedopakṣepaparihāravivecane // Pramāṇav_4.167 //	karma-Adi-Beda-upakzepa-parihAra-vivecane // PramANa=-_4.167 //
   prāgasiddhasvabhāvatvāt sādhyo 'vayava ityasat /	prAc-asidDa-svaBAva-tvAt sADyaH avayavaH iti-asat /
   tulyā siddhāntatā te hi yenopagamalakṣaṇāḥ // Pramāṇav_4.168 //	tulyA sidDAnta-tA te hi yena-upagama-lakzaNAH // PramANa=-_4.168 //
   samudāyasya sādhyatve 'pyanyonyasya viśeṣaṇam /	samudAyasya sADya-tve api-anyonyasya viSezaNam /
   sādhyaṃ dvayaṃ tadāsiddhaṃ hetudṛṣṭāntalakṣaṇam // Pramāṇav_4.169 //	sADyam dvayam tadA-asidDam hetu-dRzwAnta-lakzaNam // PramANa=-_4.169 //
   asambhavāt sādhyaśabdo dharmivṛttiryadīṣyate /	asamBavAt sADya-SabdaH Darmi-vRttiH-yat-i-izyate /
   śāstreṇālaṃ yathāyogaṃ loka eva pravarttatām // Pramāṇav_4.170 //	SAstreNa-alam yaTAyogam lokaH eva pravarttatAm // PramANa=-_4.170 //
   sādhanākhyānasāmarthyāt tadarthe sādhyatā matā /	sADana-AKyAna-sAmarTyAt tad-arTe sADya-tA matA /
   hetvādivacanairvyāpteranāśaṃkyaṃ ca sādhanam // Pramāṇav_4.171 //	hetu-Adi-vacanEH-vyApteH-anASaMkyam ca sADanam // PramANa=-_4.171 //
   pūrvāvadhāraṇe tena pratijñālakṣaṇābhidhā /	pUrva-avaDAraNe tena pratijQA-lakzaNa-aBiDA /
   byarthā vyaptiphalā soktiḥ sāmarthyād gamyate tataḥ // Pramāṇav_4.172 //	byarTA vyaptiPalA soktiH sAmarTyAt gamyate tatas // PramANa=-_4.172 //
   viruddhateṣṭāsambandho 'nupakārasahāsthitī /	virudDa-tezwa-asambanDaH anupakAra-saha-AsTitI /
   evaṃ sarvāṅgadoṣāṇāṃ pratijñādoṣatā bhavet // Pramāṇav_4.173 //	evam sarva-aFga-dozANAm pratijQAdoza-tA Bavet // PramANa=-_4.173 //
   pakṣadoṣaḥ parāpekṣo neti ca pratipāditam /	pakza-dozaH para-apekzaH na-iti ca pratipAditam /
   iṣṭāsambhavyasiddhaśca sa eva syānnirākṛtaḥ // Pramāṇav_4.174 //	izwa-asamBavya-sidDaH-ca saH eva syAt-nirAkRtaH // PramANa=-_4.174 //
   anityatvasahetutve śabda evaṃ prakīrttayet /	anitya-tva-sahetu-tve SabdaH evam prakIrttayet /
   daṣṭāntākhyānato 'nyat kimastyatrārthānudarśanam // Pramāṇav_4.175 //	dazwa-anta-AKyAnataH anyat kim-asti-atra-arTa-anudarSanam // PramANa=-_4.175 //
   viśeṣabhinnāmākhyāya sāmānyasyānuvartane /	viSeza-BinnAm-a-AKyAya sAmAnyasya-anuvartane /
   na tadvyāptiḥ phalaṃ vā kiṃ sāmānyenānuvartane // Pramāṇav_4.176 //	na tad-vyAptiH Palam vA kim sAmAnyena-anuvartane // PramANa=-_4.176 //
   syānnirākaraṇaṃ śabde sthitenaivetyato 'bravīt /	syAt-nirAkaraNam Sabde sTitena-eva-iti-atas abravIt /
   viruddhaviṣaye 'nyasmin vadannāhānyatāṃ śruteḥ // Pramāṇav_4.177 //	virudDa-vizaye anyasmin vadan=-Aha-anyatAm SruteH // PramANa=-_4.177 //
   sa ca bhedāpratikṣepāt sāmānyānāṃ na vidyate /	sa ca Beda-apratikzepAt sAmAnyAnAm na vidyate /
   vṛkṣo na śiṃśapaiveti yathā prakaraṇe kvacit // Pramāṇav_4.178 //	vRkzaH na SiMSapA-eva-iti yaTA prakaraNe kvacid // PramANa=-_4.178 //
   sarvaśruterekavṛttiniṣedhaḥ syānna ceyatā /	sarva-SruteH-eka-vRtti-nizeDaH syAt-na ceyatA /
   so 'savaḥ sarvabhedānāmatattve tadasambhavāt // Pramāṇav_4.179 //	saH asavaH sarva-BedAn-Am-a-tattve tad-asamBavAt // PramANa=-_4.179 //
   jñāpyajñāpakayorbhedāt dharmiṇo hetubhāvinaḥ /	jQApya-jQApakayoH-BedAt DarmiNaH hetu-BAvinaH /
   asiddherjāpakatvasya dharmyasiddhaḥ svasādhane // Pramāṇav_4.180 //	asidDeH-jApaka-tvasya Darmya-sidDaH sva-sADane // PramANa=-_4.180 //
   dharmadharmivivekasya sarvabhāveṣvasiddhitaḥ /	Darma-Darmi-vivekasya sarva-BAvezu-asidDitaH /
   sarvatra doṣastulyaścenna saṃvṛttyā viśeṣataḥ // Pramāṇav_4.181 //	sarvatra dozaH-tulyaH-ced-na saMvRttyA viSezataH // PramANa=-_4.181 //
   paramārthavicāreṣu tathābhūtāprasiddhitaḥ /	parama-arTa-vicArezu taTABUta-aprasidDitaH /
   tattvānyatvaṃ padārtheṣu sāṃvṛteṣu niṣidhyate // Pramāṇav_4.182 //	tattva-anya-tvam padArTezu sAMvRtezu niziDyate // PramANa=-_4.182 //
