   śrī kṛṣṇa sandarbha	SrI kRzNa sandarBa
   mudrā bhañjanaḥ padminīnām itivat ||	mudrA  BaQjanaH padminInAm iti vat ||
   || 10.90 || śrī śukaḥ || 182 ||	|| 10.90 || SrI  SukaH || 182 ||
   atha teṣāṃ tena paramānandena samayānanusandhānam apy uktam vrajati na	aTa tezAm tena parama Anandena samayAnanusanDAnam api uktam vrajati na
   hi yatrāpi samayaḥ [BrahmaS 5.56] iti | atas teṣāṃ śrī kṛṣṇāgamana 	hi yatra api samayaH [BrahmaH 5.56] iti | atas tezAm SrI  kRzNA gamana 
   paramānanda mattānām adyaivāyam āgata itīva sadā hṛdi vartate |	parama Ananda mattAnAm adya eva ayam AgataH iti iva sadA hRdi vartate |
   [Vṛ. adds here:] sa eṣa yadvad aprakaṭa svārasikyāṃ	[VR. addH here:] saH eza yadvat aprakawa  svArasikyAm
   prakaṭa līlā gata bhāva 	prakawa  lIlA gata BAva 
   praveśas tathā tad vaibhava rūpāsu mantropāsanāmayīṣv api sva sva 	praveSaH taTA tat  vEBava  rUpAsu mantra upAsana AmayIzu api sva  sva 
   prāktana tad bhāva praveśo jñeyaḥ | gaṅgāyā bhāvas tadīya hrada śreṇīṣv	prAktana tad  BAva  praveSaH jQeyaH | gaFgAyAH BAvaH tadIya  hrada  SreNIzu 
   eva | ubhayatrāpy asau samāna eva darśitaḥ | pādma pātāla khaṇḍe go gopa 	eva | uBayatra api asO samAnaH eva darSitaH | pAdma pAtAla KaNxe go gopa 
   gopikā saṅge yatra krīḍati kaṃsahā iti govinda gopījana vallabheśa	gopikA  saFge yatra krIxati kaMsa hA iti govinda gopI jana  vallaBa ISa
   kaṃsāsuraghna ity ābhyām | evaṃ yathā svārasikyām iva mantra mayyām api	kaMsa asura GnaH iti AByAm | evam yaTA svArasikyAm iva mantra mayyAm api
   nandanandanatvam anugacched evaṃ śrūyate   sakala loka maṅgalo nanda 	nanda nandana tvam anugacCet evam SrUyate  sakala  loka  maFgalaH nanda 
   gopa tanayo devatā ity atra gautamīya tantre dvitīyādhyāye nandanandana	gopa  tanayaH devatAH iti atra gOtamIya tantre dvitIya aDyAye nanda nandana
   ity uktaḥ ity atra ca | [Vṛ. addition ends.]	iti uktaH iti atra ca | [VR. addition ends.]
   tad evaṃ prakaṭa līlā gata bhāva viśeṣasyāprakaṭa līlāyāṃ praveśād bahir 	tat evam prakawa  lIlA gata BAva  viSezasya aprakawa   lIlAyAm praveSAt bahis  
   antardhāna līlā dvitīyasyaikyaṃ varṇitam | tatra yadyapi pūrva pūrvam api	antarDAna  lIlA  dvitIyasya Ekyam varNitam | tatra yadi api pUrva  pUrvam api
   tādṛśa bhāvas teṣām anādita evānuvartate tathāpi tam eva navanavīkṛtya	tAdRSa  BAvaH tezAm anAditaH eva anuvartate taTA api tam eva navanavIkRtya
   samuddīpayituṃ punaḥ punar avatāra iti jñeyam |	samuddIpayitum punar punar avatAraH iti jQeyam |
   tad evaṃ śrī kṛṣṇasya svayaṃ bhagavattvaṃ darśitam | tatrāpi śrī gokule	tat evam SrI  kRzNasya svayam Bagavat tvam darSitam | tatra api SrI  gokule
   tat 	tat 
   prakāśātiśayo dṛśyate | sa caiśvarya gatas tāvat	prakASa atiSayaH dRSyate | sa ca ESvarya  gataH tAvat 
   satya jñānānantānanda rasa 	satya  jQAna ananta Ananda  rasa 
   mātraika mūrti brahmāṇḍa koṭīśvara darśanādau | kāruṇya gataś ca	mAtrA eka mUrti brahmANxa kowISvara  darSana AdO | kAruNya  gataH ca
   pūtanāyā api sākṣān mātṛ gati dāne | mādhurya gataś ca |	pUtanAyAH api sAkzAt mAtR gati dAne | mADurya  gataH ca |
   vraja striyo yad vāñchanti pulindyas tṛṇa vīrudhaḥ |	vraja  striyaH yat vAQCanti pulindyaH tRNa vIruDaH |
   gāvaś cārayato gopāḥ pāda sparśaṃ (page 108) mahātmanaḥ || [BhP 10.83.43]	gAvaH cArayataH gopAH pAda  sparSam (page 108) mahAtmanaH || [Bhj 10.83.43]
   iti śrī paṭṭa mahiṣī prārthanādau |	iti SrI  pawwa  mahizI  prArTana AdO |
   atra sthite'pi sarvato'pi prema varīyasīnāṃ tāsāṃ	atra sTite api sarvatas api prema  varIyasInAm tAsAm
   tat pāda sparśa saubhāgye	tat pAda  sparSa  sOBAgye
   tan mādhurya prakāśātiśaya vaiśiṣṭyābhiprāyeṇaiva tathoktiḥ saṅgacchate |	tan  mADurya  prakASa atiSaya  vESizwya aBiprAyeNa eva taTA uktiH saFgacCate |
   tathaiva coktaṃ  	taTA eva ca uktam  
   trailokya saubhagam idaṃ ca nirīkṣya rūpaṃ	trElokya  sOBagam idam ca nirIkzya rUpam
   yad go dvija druma mṛgān pulakāny abibhrat || [BhP 10.29.40] ity ādiṣu |	yat go dvija druma  mRgAn pulakAni abiBrat || [Bhj 10.29.40] iti Adizu |
   ato līlā gataś cāsau ślāghyate pitarau nānvavindetāṃ kṛṣṇodārārbhake hitam	atas lIlA  gataH ca asO SlAGyate pitarO na anvavindetAm kRzNa udAra arBake hitam
   [BhP 10.8.47] ity ādiṣu | atas tadīyānām apy utkarṣa uktaḥ vṛndāvanaṃ	[Bhj 10.8.47] iti Adizu | atas tadIyAnAm api utkarzaH uktaH vRndAvanam
   govardhanaṃ yamunā pulināni ca [BhP 10.11.36] vīkṣyāmīty ādau | tataḥ	govarDanam yamunA  pulinAni ca [Bhj 10.11.36] vIkzyAmi iti AdO | tatas 
   parikarāṇāṃ tu aho bhāgyam aho bhāgyam [BhP 10.14.32] ity ādau | itthaṃ	parikarANAm tu aho BAgyam aho BAgyam [Bhu 10.14.32] iti AdO | itTam
   satām [BhP 10.12.11] ity ādau, nandaḥ kim akarot [BhP 10.8.43] ity ādau,	satAm [Bhj 10.12.11] iti AdO, nandaH kim akarot [Bhj 10.8.43] iti AdO,
   etāḥ	etAH
   param [BhP 10.47.51] ity ādau, gopyas tapaḥ kim acaran [BhP 10.44.14] ity	param [Bhj 10.47.51] iti AdO, gopyaH tapaH kim acaran [Bhj 10.44.14] iti 
   ādau | tatrāpi tatrātiśuśubhe tābhiḥ [BhP 10.33.6] ity ādau ca tāsu	AdO | tatra api tatra ati SuSuBe tABiH [Bhu 10.33.6] iti AdO ca tAsu
   prakāśātiśaya sīmā darśitā | tataḥ sarvāsv api tāsu anayārādhito nūnaṃ	prakASa atiSaya sImA darSitAH | tatas sarvAsu api tAsu anayA ArADitaH nUnam
   bhagavān harir īśvaraḥ [BhP 10.30.28] ity ādibhiḥ | prema varīyastvena	BagavAn hariH ISvaraH [Bhj 10.30.28] iti AdiBiH | prema  varIyaH tvena
   prasiddhāyāṃ śrī rādhikāyāṃ tu kim uteti jñeyam | atra cedaṃ tattvam |	prasidDAyAm SrI rADikAyAm tu kim uta iti jQeyam | atra ca idam tattvam |
   dvitīye sandarbhe khalu paramatvena śrī bhagavantaṃ nirūpya tasya śakti 	dvitIye sandarBe Kalu parama tvena SrI  Bagavantam nirUpya tasya Sakti 
   dvayī nirūpitā | tatra prathamā śrī vaiṣṇavānāṃ śrī bhagavad upāsyā	dvayI nirUpitA | tatra praTamA SrI vEzNavAnAm SrI  Bagavat  upAsyA
   tadīya svarūpa bhūtā yan mayy eva khalu tasya sā bhagavattā | dvitīyā	tadIya  svarUpa BUtA yat mayi eva Kalu tasya sA Bagavat tA | dvitIyA
   cātha	ca aTa
   teṣāṃ jagadvad upekṣaṇīyā māyā lakṣaṇā, yan mayy eva khalu tasya	tezAm jagat vat  upekzaNIyA mAyA  lakzaNA, yat mayi eva Kalu tasya
   jagattā | tatra pūrvasyāṃ śaktau śaktimati	jagattA | tatra pUrvasyAm SaktO Saktimati
   bhagavac chabdaval lakṣmī śabdaḥ	Bagavac  Sabda val  lakzmI  SabdaH
   prayujyata ity api dvitīya eva darśitam | tato'smin sandarbhe tu sa ca	prayujyate iti api dvitIyaH eva darSitam | tatas asmin sandarBe tu sa ca
   bhagavān	BagavAn
   śrī kṛṣṇākhya eveti nirdhārite tadīyā svarūpa śaktis tu kim ākhyeti	SrI  kRzNa AKyaH eva iti nirDArite tadIyA svarUpa SaktiH tu kim AKyeti
   nirdhāryam | tatra dvayor api puryoḥ śrī mahisākhyā jñeyā | mathurāyām	nirDAryam | tatra dvayoH api puryoH SrI mahisA AKyA jQeyA | maTurAyAm
   apy aprakaṭa līlāyāṃ śrutau rukmiṇyāḥ prasiddher anyāsām upalakṣaṇāt |	api aprakawa   lIlAyAm SrutO rukmiNyAH prasidDeH anyAsAm upalakzaNAt |
   śrī mahiṣīṇāṃ tadīya svarūpa śaktitvaṃ skānda prabhāsa khaṇḍe śrī śiva 	SrI  mahizINAm tadIya  svarUpa  Sakti tvam skAnda  praBAsa KaNxe SrI  Siva 
   gaurī saṃvāde gopyāditya māhātmye dṛṣṭam  	gOrI  saMvAde gopI a Aditya  mAhAtmye dRzwam  
   purā kṛṣṇo mahātejā yadā prabhāsam āgataḥ |	purA kRzNaH mahA tejAH yadA praBAsam AgataH |
   sahito yādavaiḥ sarvaiḥ ṣaṭ pañcāśat prakoṭibhiḥ ||	sahitaH yAdavEH sarvEH zaw  paQcASat  prakowiBiH ||
   ṣoḍaśaiva sahasrāṇi gopyas tatra samāgatāḥ |	zoxaSa eva sahasrANi gopyaH tatra samAgatAH |
   lakṣam ekaṃ tathā ṣaṣṭhir ete kṛṣṇa sutāḥ priye || ity upakramya,	lakzam ekam taTA zazWiH ete kRzNa  sutAH priye || iti upakramya,
   tato gopyo mahā devi vidyāyāḥ ṣoḍaśa smṛtāḥ |	tatas gopyaH mahA  devi vidyAyAH zoxaSa smRtAH |
   tāsāṃ nāmāni te vakṣye tāni hy ekamanāḥ śṛṇu ||	tAsAm nAmAni te vakzye tAni hi ekamanAH SRNu ||
   lambinī candrikā kāntā krūrā śāntā mahodayā |	lambinI candrikA kAntA krUrA SAntA mahA udayA |
   bhīṣaṇī nandinī śokā supūrva vimalā kṣayā ||	BIzaNI nandinI SokA su pUrva  vimalA kzayAH ||
   śubhadā śobhanā puṇyā haṃsasyaitāḥ kalā kramāt |	SuBa dA SoBanA puNyAH haMsasya etAH kalA kramAt |
   haṃsa eva mataḥ kṛṣṇaḥ paramātmā janārdanaḥ ||	haMsaH eva mataH kRzNaH paramAtmA janArdanaH ||
   tasyaitāḥ śaktayo devi ṣoḍaśaiva prakīrtitāḥ |	tasya etAH SaktayaH devi zoxaSa eva prakIrtitAH |
   candra rūpī mataḥ kṛṣṇaḥ kalā rūpās tu tāḥ smṛtāḥ ||	candra  rUpI mataH kRzNaH kalA  rUpAH tu tAH smRtAH ||
   sampūrṇa maṇḍalā tāsāṃ mālinī ṣoḍaśī kalā |	sampUrNa maNxalA tAsAm mAlinI zoxaSI kalA |
   pratipat tithim ārabhya sañcaraty āsu candramāḥ ||	pratipad  tiTim AraBya saQcarati Asu candramAH ||
   ṣoḍaśaiva kalā yās tu gopī rūpā varāṇane |	zoxaSa eva kalAH yAH tu gopI  rUpAH varANane |
   ekaika śastāḥ sambhinnāḥ sahasreṇa pṛthak pṛthak ||	ekEka SastAH samBinnAH sahasreNa pRTak pRTak ||
   evaṃ te kathitaṃ devi rahasyaṃ jñāna sambhavam |	evam te kaTitam devi rahasyam jQAna samBavam |
   ya evaṃ veda puruṣaḥ sa jñeyo vaiṣṇavo budhaiḥ || [108.5 8, 10 16] iti |	yaH evam veda puruzaH sa jQeyaH vEzNavaH buDEH || [108.5 8, 10 16] iti |
   atra gopyo rājñyaḥ ity arthaḥ | gopo bhūpe'pi iti nāma liṅgānuśāsanāt |	atra gopyaH rAjQyaH iti arTaH | gopaH BUpe api iti nAma liFga anuSAsanAt |
   lambinī avatāra śaktiḥ | supūrva vimalā suvimalā | haṃsaśītety atra	lambinI avatAra  SaktiH | su pUrva vimalA su vimalA | haMsa SIta iti atra
   prāptasya	prAptasya
   haṃsayety asya vācyam āha haṃsa eveti | sa ca candra rūpī candra 	haMsayA iti asya vAcyam Aha haMsaH eva iti | sa ca candra  rUpI candra 
   dṛṣṭāntenoddeśya ity arthaḥ | kalā rūpā iti tāś ca śaktayaś ca	dRzwAntena uddeSyaH iti arTaH | kalA  rUpAH iti tAH ca SaktayaH ca
   candrasyāmṛtety ādi kalā dṛṣṭāntenoddeśyā ity arthaḥ | anuktām antimāṃ	candrasya amRtA iti Adi kalA  dRzwAntena uddeSyAH iti arTaH | anuktAm antimAm
   mahā śaktim āha sampūrṇeti | seyaṃ tu (page 109) kalā samaṣṭi rūpā jñeyā |	mahA  Saktim Aha sampUrNA iti | sA iyam tu (page 109) kalA samazwi  rUpA jQeyA |
   dṛṣṭāntopapādanāya candrasya tādṛśatvam āha pratipad iti | āsu	dRzwAnta upapAdanAya candrasya tAdRSa tvam Aha pratipad iti | Asu
   etat tulyāsu	etat  tulyAsu
   kalāsu | vivakṣitam āha ṣoḍaśaiveti ṣoḍaśānām eva vidyā rūpatvāt | etad 	kalAsu | vivakzitam Aha zoxaSa eva iti zoxaSAnAm eva vidyA  rUpa tvAt | etat  
   upadeśasya jñāna sambhava rahasyatvāt | taj jñānasya vaiṣṇavatānumāpaka 	upadeSasya jQAna  samBava  rahasya tvAt | taj  jQAnasya vEzNava tA anumApaka 
   liṅgatvāc ca |	liFga tvAt ca |
   krūrābhīṣaṇī śokānām api bhagavat svarūpa bhūtānām eva satīnāṃ	krUra aBIzaNI  SokAnAm api Bagavat  svarUpa BUtAnAm eva satInAm
   mallānām aśaniḥ [BhP 10.4717] itivat śrī kṛṣṇasya kaṭhinatva 	mallAnAm aSaniH [Bhj 10.4717] iti vat SrI  kRzNasya kaWina tva 
   pratyāyakatvāt | mṛtyur bhoja pater itivad durjana vitrāsakatvāt, asatāṃ	pratyAyaka tvAt | mRtyuH Boja pateH iti vat durjana vitrAsaka tvAt, asatAm
   śāstā	SAstA
   itivat tadīya śoka hetutvād eva ca tat tan niruktir upapadyate | yathā	iti vat tadIya  Soka  hetu tvAt eva ca tat tan  niruktiH upapadyate | yaTA
   prakāśaika rūpāyā eva sūrya kānter ulūkeṣu tama ādi vyañjakateti | ataś	prakASa eka  rUpAyAH eva sUrya kAnteH ulUkezu tama Adi  vyaQjaka tA iti | atas 
   candra rūpī mataḥ kṛṣṇaḥ kalā rūpās tu tāḥ smṛtāḥ iti sphuṭam eva	candra  rUpI mataH kRzNaH kalA  rUpAH tu tAH smRtAH iti sPuwam eva
   svarūpa bhūtatvaṃ darśitam |	svarUpa BUta tvam darSitam |
   tad evaṃ tāsāṃ svarūpa śakti bhūtatve lakṣmītvaṃ sidhyaty eva | tad evam	tat evam tAsAm svarUpa  Sakti BUta tve lakzmI tvam siDyati eva | tat evam
   abhipretya lakṣmītvam āha   	aBipretya lakzmI tvam Aha   
   gṛheṣu tāsām anapāyy atarka kṛn	gRhezu tAsAm anapAyi atarka kRn
   nirasta sāmyātiśayeṣv avasthitaḥ |	nirasta  sAmya atiSayezu avasTitaH |
   reme ramābhir nija kāma sampluto	reme ramABiH nija  kAma  samplutaH 
   yathetaro gārhaka medhikāṃś caran || [BhP 10.59.34]	yaTA itaraH gArhaka meDikAn caran || [Bhj 10.59.34]
   ṭīkā ca  ramābhir lakṣmyā aṃśa bhūtābhir ity eṣā | svarūpa śaktitvād eva	wIkA ca  ramABiH lakzmyA aMSa  BUtABiH iti ezA | svarUpa  Sakti tvAt eva
   reme ity uktam | ataeva nijaḥ svakīyaḥ paramānanda śakti vṛtti viśeṣodaya 	reme iti uktam | ataeva nijaH svakIyaH parama Ananda  Sakti vRtti viSeza udaya 
   rūpa prema viśeṣa svarūpo yaḥ kāmas tena sampluto vyāpta iti ||	rUpa  prema  viSeza  svarUpaH yaH kAmaH tena samplutaH vyAptaH iti ||
   || 10.49 || śrī śukaḥ || 183 ||	|| 10.49 || SrI  SukaH || 183 ||
   ittham aṣṭānāṃ śrī paṭṭa mahiṣīṇāṃ tu tat svarūpa śaktitvaṃ	itTam azwAnAm SrI   pawwa  mahizINAm tu tat  svarUpa  Sakti tvam
   kaimutyenaiva sidhyati | tatra śrī satyabhāmāyā bhū śakti rūpatvaṃ	kEm utyena eva siDyati | tatra SrI  satyaBAmAyAH BU  Sakti rUpa tvam
   pādmottara khaṇḍādau prasiddham | śrī yamunāyāḥ kṛpā śakti rūpatvaṃ	pAdma uttara   KaNxa AdO prasidDam | SrI yamunAyAH kRpA  Sakti  rUpa tvam
   skānda yamunā māhātmyādāv ity ādy anveṣaṇīyam | kintu śrī 	skAnda yamunA  mAhAtmya AdO iti Adi  anvezaNIyam | kintu SrI 
   harivaṃśādau satyabhāmāyāḥ saubhāgyātiśayasya vikhyātatvāt prema śakti 	hari vaMSa AdO satyaBAmAyAH sOBAgya atiSayasya viKyAta tvAt prema Sakti 
   pracura bhū śaktitvaṃ jñeyam | svayaṃ lakṣmīs tu śrī rukmiṇī   	pracura  BU  Sakti tvam jQeyam | svayam lakzmIH tu SrI  rukmiNI   
   dvārakāyām abhūd rājan mahā modaḥ puraukasām |	dvArakAyAm aBUt rAjan mahA modaH purOkasAm |
   rukmiṇyā ramayopetaṃ dṛṣṭvā kṛṣṇaṃ śriyaḥ patim || [BhP 10.54.6]	rukmiNyAH ramayA upetam dRzwvA kRzNam SriyaH patim || [Bhj 10.54.6]
   ity ādiṣu tasyām eva bhūriśaḥ prasiddheḥ | ataḥ svayaṃ lakṣmītvenaiva	iti Adizu tasyAm eva BUriSas prasidDeH | atas svayam lakzmI tvena eva
   paraspara yogyatām āha  	paraspara  yogya tAm Aha  
   asyaiva bhāryā bhavituṃ rukmiṇy arhati nāparā |	asya eva BAryA Bavitum rukmiNI arhati na aparA |
   asāv apy anavadyātmā bhaiṣmyāḥ samucitaḥ patiḥ || [BhP 10.53.37]	asO api anavadya AtmA BEzmyAH samucitaH patiH || [Bhj 10.53.37]
   spaṣṭam |	spazwam |
   || 10.53 || vidarbha pura vāsinaḥ parasparam || 184 ||	|| 10.53 || vidarBa  pura vAsinaH parasparam || 184 ||
   tathā tāṃ rukmiṇīṃ śriyam ity ādau yā līlayā dhṛta tanor anurūpa rūpā	taTA tAm rukmiNIm Sriyam iti AdO yA lIlayA DRta tanoH anurUpa  rUpA
   [BhP 10.60.9] iti | spaṣṭam |	[Bhj 10.60.9] iti | spazwam |
   ataḥ svayaṃ bhagavato'nurūpatvena svayaṃ lakṣmītvaṃ siddham eva | ataeva	atas svayam BagavataH anurUpa tvena svayam lakzmI tvam sidDam eva | ataeva
   vaidarbhīṃ bhīṣmaka sutāṃ śriyo mātrāṃ svayaṃvare [BhP 10.52.16] ity atra	vEdarBIm BIzmaka sutAm SriyaH mAtrAm svayaMvare [Bhj 10.52.16] iti atra
   māti antarbhavatyasyām iti mātrā padaṃ bāhulyād adhikaraṇa evauṇādikaṃ	mAti antarBavati asyAm iti mAtrA  padam bAhulyAt aDikaraNaH eva oNa Adikam
   jñeyam | kārtsnye avadhāraṇe mātram itivat | tataś ca	jQeyam | kArtsnye avaDAraNe mAtram iti vat | tatas ca
   vaikuṇṭha prasiddhāyā	vEkuNWa  prasidDAyAH 
   lakṣmyā antarbhāvāspadatvād eṣaiva lakṣmīḥ sarvataḥ paripūrṇety arthaḥ |	lakzmyA antarBAva Aspada tvAt ezA eva lakzmIH sarvatas paripUrNA iti arTaH |
   yat tu  	yat tu  
   nanv evam etad aravinda vilocanāha	nanu evam etat aravinda  vilocanA Aha
   yad vai bhavān bhagavato 'sadṛśī vibhūmnaḥ |	yat vE BavAn BagavataH asadRSI viBUmnaH |
   kva sve mahimny abhirato bhagavāṃs try adhīśaḥ	kva sve mahimni aBirataH BagavAn tri  aDISaH
   kvāhaṃ guṇa prakṛtir ajña gṛhīta pādā || [BhP 10.60.34]	kva aham guNa  prakRtiH ajQa gRhIta pAdAH || [Bhj 10.60.34]
   iti tasyā evoktis tatra nijāṃśābhāsam eva dainyena svaṃ matvoktam iti	iti tasyAH eva uktiH tatra nija aMSa ABAsam eva dEnyena svam matvA uktam iti
   mantavyam | yad vā, guṇā gauṇī prakṛtiḥ svabhāvo yasyāḥ sā apakṛṣṭa 	mantavyam | yat vA, guNAH gONI prakRtiH svaBAvaH yasyAH sA apakRzwa 
   rūpety arthaḥ | yathā tatraiva, syān me tavāṅghrir araṇaṃ sṛtibhir	rUpa iti arTaH | yaTA tatra eva, syAt me tava aFGriH araNam sRtiBiH 
   bhramantyāḥ [BhP 10.60.43] iti manuṣyāvatāratābhiniveśāt tasyā eva	BramantyAH [Bhu 10.60.43] iti manuzya avatAratA aBiniveSAt tasyAH eva
   dainyoktiḥ | atra daiva prerito vāstavo'rthas tv evaṃ (page 110)	dEnyoktiH | atra dEva  preritaH vAstavaH arTaH tu evam (page 110)
   he'ravinda 	he aravinda 
   locana bhagavatas tavāsadṛśy aham ity etad | yad bhavān āha nanu niścitaṃ	locana BagavataH tava asadRSi aham iti etat | yat BavAn Aha nanu niScitam
   tat tv evaṃ vakṣyamāṇa prakārakaṃ na tv anya prakārakam | tathaivāha sve	tat tu evam vakzyamANa  prakArakam na tu anya  prakArakam | taTA eva Aha sve
   svarūpa bhūte mahimni aiśvaryādāv abhirato bhagavān kva kutrānyatra,	svarUpa BUte mahimni ESvarya AdO aBirataH BagavAn kva kutra anyatra,
   tathāhaṃ tā te guṇā aiśvaryādaya eva prakṛtiḥ svarūpaṃ yasyās tathābhūtā	taTA aham tA te guNAH ESvarya AdayaH eva prakRtiH svarUpam yasyAH taTABUtA
   kva kutrānyatra, kintu na kutracid anyatreti dvayor ekatra eva svarūpe	kva kutra anyatra, kintu na kutracid anyatra iti dvayoH ekatra eva svarUpe
   sthitir	sTitiH 
   ity arthaḥ | ataevājñair asya śrī viṣṇos tava tattvajñair gṛhītau sevitau	iti arTaH | ataeva ajQEH asya SrI vizNoH tava tattva jQEH gRhItO sevitO
   pādau	pAdO
   yasyās tathābhūtāhaṃ tasmāc chakti śaktimator atyanta bhedābhāvād	yasyAH taTABUta aham tasmAt Sakti SaktimatoH atyanta  Beda aBAvAt 
   evopamānopameyatvābhāvena sādṛśyābhāva iti bhāvaḥ | evaṃ sṛtibhir	eva upamAna upameya tva aBAvena sAdRSya aBAvaH iti BAvaH | evam sRtiBiH 
   bhramantyā ity atrāpi hi tvadīya padavībhir ity eva vāstavo'rthaḥ | tad	BramantyAH iti atra api hi tvadIya  padavIBiH iti eva vAstavaH arTaH | tat 
   uktam	uktam
     devatve deva dehaiyaṃ manuṣyatve ca mānuṣī [ViP 1.9.143] iti |	 deva tve deva deha eyam manuzya tve ca mAnuzI [ViP 1.9.143] iti |
   evam eva  	evam eva  
   astv ambujākṣa mama te caraṇānurāga	astu ambuja akza mama te caraNa anurAga
   ātman ratasya mayi cānatirikta dṛṣṭeḥ |	Atman ratasya mayi ca anatirikta dRzweH |
   yarhy asya vṛddhaya upātta rajo 'ti mātro	yarhi asya vRdDayaH upAtta  rajaH   ati mAtraH 
   mām īkṣase tad u ha naḥ paramānukampā || [BhP 10.60.46]	mAm Ikzase tat u ha naH parama anukampA || [Bhj 10.60.46]
   ity atrāpi tasyāḥ prakṛtitvaṃ dainyajenābhedopacāreṇaiva vyākhyeyam | yad	iti atra api tasyAH prakRti tvam dEnya jena aBeda upacAreNa eva vyAKyeyam | yat 
   vā asya gārhasthasya upāttā aṅgīkṛtā rajo'timātro sarva 	vE asya gArhasTasya upAttAH aFgIkRtA rajaH atimAtraH sarva 
   bhūtānurañjanātiśayo yena saḥ | vāstavārthas tv evaṃ yad uktaṃ   udāsīnā	BUta anuraQjana atiSayaH yena saH | vAstava arTaH tu evam yat uktam  udAsInA
   vayam ity ādi, śrī bhagavatā tatrāha   astv iti | he ambujākṣa ātman	vayam iti Adi, SrI  BagavatA tatra Aha  astu iti | he ambuja akzaH Atman
   ātmani	Atmani
   mayi ca ratasya te caraṇānurāgo mamāstu | mayi ratatvaṃ coktaṃ tathāham	mayi ca ratasya te caraNa anurAgaH mama astu | mayi rata tvam ca uktam taTA aham
   api	api
   tac citto nidrāṃ ca na labhe niśi [BhP 10.53.2] iti svayam eveti bhāvaḥ |	tac cittaH nidrAm ca na laBe niSi [Bhj 10.53.2] iti svayam eva iti BAvaH |
   nanv ātma ratasya mama kathaṃ tvayi ratis tatrāha anatirikta dṛṣṭeḥ |	nanu Atma  ratasya mama kaTam tvayi ratiH tatra Aha anatirikta dRzweH |
   śaktimaty ātmani śaktau ca mayy anatiriktā pṛthag bhāva śūnyā dṛṣṭir	SaktimatI Atmani SaktO ca mayi anatiriktA pRTak  BAva  SUnyA dRzwiH 
   yasya | śakti śaktimator apṛthag vastutvād dvayor api mitho	yasya | Sakti SaktimatoH apRTak  vastu tvAt dvayoH api miTas 
   viśiṣṭatayaivāvagamād vā yujyata eva mayy api ratir iti bhāvaḥ |	viSizwa tayA eva avagamAt vA yujyate eva mayi api ratiH iti BAvaH |
