   namas+buddhāya	namas+budDAya
   nirguṇam+api+anuraktam+prāyas+na samāśritam+jahati santas+ /	nirguNam +api+anuraktam +prAyas+na samASritam +jahati santas+ /
   sahavṛddhikṣayabhājam+vahati śaśāṅkas+kalaṅkam+api // VidSrk_40.25 *(1357)	saha vRdDi kzaya BAjam +vahati SaSAFka s+ kalaFkam +api // Vit Srj _40.25 *(1357)
   avikāriṇam+api sajjanam+aniśam+anāryas+prabādhate+atyartham /	avikAriNam +api sajja nam+aniSam+a nArya s+prabADate+atyarTam /
   kamalinyā kim+apakṛtam+himasya yas+tām+sadā dahati // VidSrk_40.26 *(1358)	kamalinyA kim+apakRtam +himasya yas+tAm+sadA dahati // Vit Srj _40.26 *(1358)
   bhayam+yat+dhanurīśvarasya śiśinā yat+jāmadagnyas+hatas+	Bayam +yat+ DanuH ISvarasya SiSinA yat+jAmadagnyas+hata s+
   tyaktā yena guros+girā vasumatī baddhas+yat+ambhonidhis+ /	tyaktA yena guros+girA vasumatI badDa s+yat+amBoniDi s+ /
   ekaikam+daśakandharakṣayakṛtas+rāmasya kim+varṇyate	ekEkam+daSa kanDara kzaya kRta s+rAmasya kim +varNyate
   daivam+varṇaya yena sas+api sahasā nītas+kathāśeṣatām // VidSrk_40.27	dEvam +varNaya yena sas+api sahasA nIta s+ kaTA aSeza tAm // Vit Srj _40.27
   śaśinam+uditam+lekhāmātram+namanti na ca+itaram+gaganasaritam+dhatte	SaSinam +uditam +leKA mAtram+namanti na ca+itaram+gagana saritam +Datte
   mūrdhnā haras+na nagātmajām /	mUrDnA haras+na naga AtmajAm /
   tribhuvanapatis+lakṣmīm+tyaktvā haris+priyagopikas+paricitaguṇadveṣī	triBuvana pati s+lakzmIm +tyaktvA hari s+priya gopika s+ paricita guNa dvezI
   lokas+navam+navam+icchati // VidSrk_40.28 *(1360) //	loka s+navam+navam +icCati // Vit Srj _40.28 *(1360) //
   upaśamaphalāt+vidyābījāt+phalam+dhanam+icchatām+	upaSama Pala at+vidyA bIjAt+ Palam +Danam +icCatAm+
   bhavati viphalas+prārambhas+yat+tat+atra kim+adbhutam /	Bavati viPala s+prAramBa s+yat+tat+atra kim +adButam /
   niyataviṣayās+sarve bhāvās+na yānti hi vikriyām+	niyata vizayAs+ sarve BAvAs+na yAnti hi vikriyAm+
   janayitum+alam+śāles+bījam+na jātu javāṅkuram // VidSrk_40.29 *(1361) //	janayitum +alam+SAles+bIja m+na jAtu java aFkuram // Vit Srj _40.29 *(1361) //
   tṛṣārtais+śāraṅgais+prati jaladharam+bhūri virutam+	tRzA Arta es+SAraFga es+prati jalaDaram+BUri virutam+
   ghanais+muktās+dhārās+sapadi payasas+tān+prati muhus+ /	GanEs+ muktA s+DArAs+ sapadi payasa s+tAn+prati muhur + /
   khagānām+ke meghās+ke+iva vihagās+vā jalamucām+	KagAnAm+ke meGAs+ke+iva vihagAs+vA jalamucAm+
   ayācyas+na+ārtānām+anupakaraṇīyas+na mahatām // VidSrk_40.30 *(1362) //	ayAcya s+na+ArtAnAm +anupakaraNIyas+na mahatAm // Vit Srj _40.30 *(1362) //
   amarasiṃhasya	amara siMhasya
   payas+tejas+vāyus+gaganam+avanis+viśvam+api vā	payas+ tejas+ vAyu s+gaganam +avani s+viSvam +api vA
   svayam+viṣṇus+tasya tridaśajayinas+kim+na sukaram /	svayam +vizNu s+tasya tridaSa jayina s+kim+na sukaram /
   chalāt+nītas+adhastāt+balis+aṇukarūpeṇa tat+api	CalAt+ nIta s+aDastAt+ bali s+aNuka rUpeNa tat+api
   svabhāvāt+cakrī yas+praguṇam+api cakreṇa sṛjati // VidSrk_40.31 *(1363) //	svaBAvAt+cakrI yas+ praguNam +api cakreNa sRjati // Vit Srj _40.31 *(1363) //
   muṣṭikaraguhasya	muzwi kara guhasya
   kim+na+ujjvalas+kim+u kalās+sakalās+na dhatte datte na	kim +na+ujjvala s+kim+u kalAs+sakalAs+na Datte datte na
   kim+nayanayos+mudam+unmayūkhas+ /	kim +nayana yos+m udam+unmayUKas+ /
   rāhos+tu cakrapatitas+astamitas+ayam+indus+satyam+satām+ahṛdayeṣu	rAhos+tu cakra patita s+a stamita s+ayam +indu s+satyam +satAm+a hRdayezu
   guṇās+tṛṇāni // VidSrk_40.32 *(1364) //	guNAs+tRNAni // Vit Srj _40.32 *(1364) //
   atulasya	atulasya
   lūnās+tilās+tadanu śoṣam+upāgatās+te śoṣāt+hi śuddhim+atha	lUnA s+ti lAs+ tadanu Sozam +upAgata as+te SozAt+hi SudDim +aTa
   tāpam+upetavantas+ /	tApam +upetavantas+ /
   tāpāt+kaṭhoratarayantranipīḍanāni snehas+nimittam+iti duḥkhaparaṃparāyās+	tApAt+ kaWoratara yantra nipIxanAni sneha s+ nimittam +iti duHKa paraMpara AyAs+
   // VidSrk_40.33 *(1365) //	// Vit Srj _40.33 *(1365) //
   dugdha mugdham+asti yas+tvayā dhṛtas+snehas+eṣa vipadekakāraṇam /	dugDa mugDam +asti yas+tvayA DRta s+sneha s+eza vipad eka kAraNam /
   yatkṛte tvam+apavāsitam+punas+chinnam+unmathitam+agnisākṛtam //	yad kRte tvam +apavAsitam+punas+ Cinnam +unmaTitam +agni sAkRtam //
   VidSrk_40.34 *(1366) //	Vit Srj _40.34 *(1366) //
   mūrdhendus+parameśvareṇa vidhṛtas+vakras+jaḍātmā kṣayī	mUrDa indu s+parameSvareNa viDRta s+vakra s+jaxa AtmA kzayI
   karṇānte ca parāpakāracaturas+nyastas+dvijihvādhipas+ /	karNa ante ca para apakAra caturas+nyasta s+t vijihvA aDipas+ /
   nandī dvāri bahiḥkṛtas+guṇanidhis+kaṣṭam+kim+atra+ucyatām+	nandI dvAri bahis kRta s+guNa niDi s+kazwam+ kim +atra +ucya tAm+
   pātrāpātravicāraṇāsu+anipuṇas+prāyas+bhavet+īśvaras+ // VidSrk_40.35	pAtra apAtra vicAraNa asu+a nipuNas+ prAyas+Bava it+I ISvaras+ // Vit Srj _40.35
   kākutsthasya daśānanas+na kṛtavān+dārāpahāram+yadi	kAkutsTasya daSAnana s+na kRtavAn +dAra apahAram +yadi
   kva+ambhodhis+kva ca setubandhaghaṭanā kva+uttīrya laṅkājayas+ /	kva+amBoDi s+kva ca setu banDa GawanA kva+uttIrya laFkA jayas+ /
   pārthasya+api parābhavam+yadi ripus+na+adāt+kva tādṛk+tapas+	pArTasya+api parABavam +yadi ripu s+na +adAt +kva tAdRk+tapas+
   nīyante ripubhis+samunnatipadam+prāyas+param+māninas+ // VidSrk_40.36	nIyante ripuBis+samunnati padam +prAyas+ param +mA ninas+ // Vit Srj _40.36
   śambūkās+kila nirgatās+jalanidhes+tīreṣu dāvāgninā	SambU kAs+kila nirgata as+ jala niDes+ tIrezu dAva agninA
   dahyante maṇayas+vaṇikkaratalais+āyānti rājñām+śiras+ /	dahyante maNayas+ vaNij kara talEs+A AyAnti rAjQA Am+Siras+ /
   sthānapracyutis+alpakasya vipade santas+tu deśāntaram+	sTAna pracyuti s+alpakasya vipade santas+tu deSa antaram+
   yāntas+yānti sadā samarpitaguṇās+ślāghyās+parām+unnatim // VidSrk_40.37	yAntas+yAnti sadA samarpita guNAs+ SlAGyAs+ parAm+unnatim // Vit Srj _40.37
   yas+ekas+lokānām+paramasuhṛt+ānandajanakas+kalāśālī śrīmān+nidhuvanavidhau	yas+eka s+lokAnAm +parama suhRt+A Ananda janaka s+kalA SAlI SrImAn +niDuvana viDO
   maṅgalaghaṭas+ /	maFgala Gawas+ /
   sudhāsūtis+sas+ayam+tripuraharacūḍāmaṇis+aho prayāti+astam+hanta	suDA sUti s+sas+ayam+ tripura hara cUxAmaNi s+aho prayAti+aH tam +hanta
   prakṛtiviṣamās+daivagatayas+ // VidSrk_40.38 *(1370) //	prakRti viza mAs+dEva gatayas+ // Vit Srj _40.38 *(1370) //
   apetās+śatrubhyas+vayam+iti	apetAs+ SatruBya s+vayam+iti
   viṣādas+ayam+aphalas+pratīkāras+tu+eṣām+aniśam+anusaṃdhātum+ucitas+ /	vizAda s+ayam+a Pala s+pratIkAra s+tu+eza Am+a niSam+anusaMDAtum +ucitas+ /
   jarāsaṃdhāt+bhagnas+saha halabhṛtā dānavaripus+jaghāna+enam+paścāt+na	jarAsaMDAt+ Bagna s+ saha halaBRtA dAnava ripu s+jaGAna+ enam +paH cAt+na
   kim+anilasūnus+priyasakhas+ // VidSrk_40.39 *(1371) //	kim +anila sUnu s+priya saKas+ // Vit Srj _40.39 *(1371) //
   candras+kṣayī prakṛtivakratanus+jaḍātmā doṣākāras+sphurati	candra s+kzayI prakRti vakra tanu s+jaxa AtmA doza AkAra s+sPurati
   mitravipattikāle /	mitra vipatti kAle /
   mūrdhnā tathā+api vidhṛtas+parameśvareṇa na+eva+āśriteṣu	mUrDnA taTA a+api viDRta s+parameSvareNa na+eva+ ASritezu
   mahatām+guṇadoṣacintā // VidSrk_40.40 *(1372) //	mahatA am+guNa doza cintA // Vit Srj _40.40 *(1372) //
   śuklīkaroti malināni digantarāṇi candras+na śuklayati	SuklIkaroti malinAni digantarANi candras+na Suklayati
   ca+ātmagatam+kalaṅkam /	ca+a Atma gatam+kalaFkam /
   nityam+yathārthaghaṭanāhitamānasānām+svārthodyamas+bhavati no	nityam +yaTArTa Gawana Ahita mAnasAnAm+svArTa udyamas+Bavati no
   mahatām+kadācit // VidSrk_40.41 *(1373) //	mahatAm +kadAcid // Vit Srj _40.41 *(1373) //
   gṛhṇāti yuktam+itarat+ca jahāti dhīmān+eṣa	gRhNAti yuktam +itarat+ca jahAti DImAn +eza
   svabhāvajanitas+mahatām+vivekas+ /	svaBAva janita s+ mahatAm +vivekas+ /
   anyonyamiśritam+api vyatiricya śuddham+dugdham+pibati+udakam+ujjhati	anyonya miSritam +api vyatiricya SudDam +dugDam +pibati+udakam +ujJati
   rājahaṃsas+ // VidSrk_40.42 *(1374) //	rAjahaMsas+ // Vit Srj _40.42 *(1374) //
   prāyas+bhavati+anucitasthitideśabhājas+śreyas+svajīvaparipālanamātram+eva	prAyas+Bavati+anucita sTiti deSa BAjas+ Sreyas+svajIva paripAlana mAtram +eva
   antaḥprataptamarusaikatadahyamānamūlasya campakataros+ka vikāśacintā //	antar pratapta maru sEkata dahyamAna mUlasya campakata ros+ka vikASa cintA //
   VidSrk_40.43 *(1375) //	Vit Srj _40.43 *(1375) //
   vidyāyās+	vidyAyAs+
   grahaparikavalitatanus+api ravis+iha bodhayati padmaṣaṇḍāni /	graha parikavalita tanus+api ravis+iha boDayati padma zaNxAni /
   bhavati vipadi+api mahatām+aṅgīkṛtavastunirvāhas+ // VidSrk_40.44 *(1376)	Bavati vipadi+api mahatAm +aFgIkRta vastu nirvAhas+ // Vit Srj _40.44 *(1376)
   praṇatyā bahulābhas+api na sukhāya manīṣiṇas+ /	praNatyA bahu lABas+api na suKAya manIziNas+ /
   cātakas+svalpam+api+ambu gṛhṇāti+anantakandharas+ // VidSrk_40.45 *(1377)	cAtaka s+svalpam +api+ambu gRhNAti+ananta kanDaras+ // Vit Srj _40.45 *(1377)
   kasya+upayogamātreṇa dhanena ramate manas+ /	kasya+upayoga mAtreNa Danena ramate manas+ /
   padapramāṇam+ādhāram+ārūḍhas+kas+na kampate // VidSrk_40.46 *(1378) //	pada pramANa m+ADAram+a ArUXa s+kas+na kampate // Vit Srj _40.46 *(1378) //
   upaiti kṣārābdhim+sahati bahuvātavyatikaram+	upEti kzAra abDim +sahati bahu vAta vyatikaram+
   puras+nānābhaṅgān+anubhavati paśya+eṣa jaladas+ /	puras+nAnA BaFgAn +anuBavati paSya+ eza jaladas+ /
   kathaṃcit+labdhāni pravitarati toyāni jagate	kaTaMcit+ labDAni pravitarati toyAni jagate
   guṇam+vā doṣam+vā gaṇayati na dānavyasanitā // VidSrk_40.47 *(1379) //	guNam +vA dozam +vA gaNayati na dAnavya sanitA // Vit Srj _40.47 *(1379) //
   vallaṇasya+ete	vat laNasya+ete
   sudhādhāmnas+kāntim+glapayati vilumpati+uḍugaṇam+	suDA DAmnas+ kAntim +glapayati vilumpa ti+uxu gaNam+
   kirati+uṣṇam+tejas+kumudavanalakṣmīs+śamayati /	kirati +uzNam +tejas+ kumuda vana lakzmI s+Samayati /
   ravis+jānāti+eva pratidivasam+astādripatanam+	ravi s+jAnAti+eva pratidiva sam+asta adri patanam+
   tathā+api pratyagrābhyudayataralas+kim+na kurute // VidSrk_40.48 *(1380)	taTA a+api pratyagra aByudaya tarala s+kim+na kurute // Vit Srj _40.48 *(1380)
   kavirājasya	kavi rAjasya
   \Colo iti+arthāntaranyāsavrajyā|| 40	\ColaH iti+arTa antara nyAsa vrajyA|| 40
   tatas+cāṭuvrajyā|| 41	tatas +cAwu vrajyA|| 41
   deva tvadvijayaprayāṇasamaye kāmbojavāhāvalīviṅkhollekhavisarpiṇi	deva tvad vijaya prayANa samaye kAmboja vAha AvalI viFKa ulleKa visarpiNi
   kṣitirajaḥpūre viyat+cumbati /	kziti rajaH pUre viyat+cumbati /
   bhānos+vājibhis+aṅgarūṣaṇarasāsvādas+samāsāditas+	BAnos+vAji Bi s+aFga rUzaNa rasa AsvAda s+ samAsAditas+
   labdhas+kim+ca nabhastalāmaradhunīpaṅkeruhais+anvayas+ // VidSrk_41.1	labDa s+kim +ca naBastala amaraDunI paFkeru hEs+anvayas+ // Vit Srj _41.1
   tvadyantrāṇām+prayāṇeṣu+anavaratavalatkarṇatālaprakīrṇais+	tvad yantrANAm +prayANa izu+ana vara tavalat karNa tAla prakIrNEH +
   ākīrṇe vyomni sarpasamadagajaghaṭākumbhasindūrapūrais+ /	AkIrNe vyomni sarpa sa mada gaja GawA kumBa sindUra pUrEs+ /
   bibhrāṇās+pāribhadradrumakusumarucas+raśmayas+patyus+ahnām+	biBrANAs+ pAriBadra druma kusuma rucas+ raSmayas+patyu s+ahnAm+
   madhyāhne+api+astasaṃdhyābhramacakitadṛśas+cakrire cakravākān //	maDyAhne+ api +asta saMDyA Brama cakita dRSa s+cakrire cakravAkAn //
   VidSrk_41.2 *(1382) //	Vit Srj _41.2 *(1382) //
   sphītas+dhāmnā samaravijayī śrīkaṭākṣapradīrghas+	sPIta s+DAmnA samara vijayI SrIkawAkza pradIrGa s+
   snigdhaśyāmas+kuvalayarucis+yuddhamalla tvadīyas+ /	snigDa SyAma s+kuvalaya ruci s+yudDa malla tvadIyas+ /
   varṣe+amuṣmin+pratinṛpayaśaḥpūragaure parīkṣākṣīranyastam+tulayati	varze+a muzmin+ pratinRpa yaSaHpUra gOre parIkzA kzIra nyastam +tulayati
   mahānīlaratnam+kṛpāṇas+ // VidSrk_41.3 *(1383) //	mahAnIla ratnam +kRpANas+ // Vit Srj _41.3 *(1383) //
   digdantinas+svakarapuṣkaralekhanībhis+gaṇḍasthalāt+madamasim+muhus+ādadānās+	digdantinas+sva kara puzkara leKanI Bis+gaNxa sTa lAt+madam asi m+muhu s+Ada dAnAs+
   śrīcandradeva tava toyanidhitīratāḍīpatrodareṣu vijayastutim+ālikhanti //	SrI candradeva tava toya niDi tIra tAxI patra udarezu vijaya stutim+AliKanti //
   VidSrk_41.4 *(1384) //	Vit Srj _41.4 *(1384) //
   abhinandasya	aBinandasya
   satsu raktas+dviṣām+kālas+pītas+strīṇām+vilocanais+ /	satsu rakta s+dvizAm+kAlas+pIta s+strINAm +vilocanEs+ /
   śubhrakīrtyā+asi tat+satyam+caturvarṇāśramas+bhavān // VidSrk_41.5 *(1385)	SuBra kIrti A+asi tat+satyam +catur varNa ASrama s+BavAn // Vit Srj _41.5 *(1385)
   acalasya	acalasya
   na janayasi kaṃsaharṣam+vahasi śarīram+yaśodayā juṣṭam /	na janayasi kaMsa harzam +vahasi SarIram +yaSodayA juzwam /
   tyajasi na satyonmukhatām+iti satyam+vāsudevas+asi // VidSrk_41.6 *(1386)	tyajasi na satya unmuKa tAm+iti satyam +vAsudeva s+asi // Vit Srj _41.6 *(1386)
   bhadrasya	Badrasya
   na lopas+varṇānām+na khalu paratas+pratyayavidhis+	na lopa s+varNAnAm+na Kalu paratas+ pratyaya viDi s+
   vikāras+na+asti+eva kvacit+api na bhagnās+prakṛtayas+ /	vikAra s+na+asti+A iva kvacit+ api na BagnAs+ prakRtayas+ /
   guṇas+vā vṛddhis+vā satatam+upakārāya jagatām+	guNa s+vA vRdDi s+vA satatam +upakArAya jagatAm+
   munes+dākṣīputrāt+api tava samarthas+padavidhis+ // VidSrk_41.7 *(1387) //	munes+dAkzI putra at+api tava samarTa s+pada viDi s+ // Vit Srj _41.7 *(1387) //
   pāṇines+	pANines+
   satyam+tvadguṇakīrtanena sukhayati+ākhaṇḍalam+nāradas+	satyam +tvat guNa kIrtanena suKa yati +AKaNxalam+nAradas+
   kim+tu śrotrakaṭu kvaṇanti madhupās+tatpārijātasrajām /	kim +tu Srotra kawu kvaNanti maDupAs+ tad pArijAta srajAm /
   vāryante yadi ca+apsaraḥpariṣadā te cāmarāḍambarais+	vAryante yadi ca+apsaraH parizadA te cAmara AxambarEH +
   udvelladbhujavallikaṅkaṇajhaṇatkāras+tadā duḥsahas+ // VidSrk_41.8 *(1388)	udvellat Buja valli kaFkaNa JaNatkAra s+tadA duHsahas+ // Vit Srj _41.8 *(1388)
   madhukūṭasya	maDukUwasya
   yasya dvīpam+dharitrī sa ca jaladhis+abhūt+yasya gaṇḍūṣatoyam+	yasya dvIpam +DaritrI sa ca jalaDi s+aBUt+yasya gaNxUza toyam+
   tasya+āścaryaikamūrtes+api nabhasi vapus+yatra durlakṣam+āsīt /	tasya+AScarya eka mUrtes+api naBasi vapus+yatra durlakzam+A AsIt /
   tat+pītam+tvadyaśobhis+tribhuvanam+abhajan+tāni viśrāmahetos+	tat +pItam+tu adya SoBi s+triBuvanam +aBaja n+tAni viSrAma hetos+
   tat+ca+antas+kaiṭabhāres+sa ca tava hṛdaye vandanīyas+tvam+ekas+ //	tat+ca+antas+ kEwaBAres+sa ca tava hRdaye vandanIyas+tvam +ekas+ //
   VidSrk_41.9 *(1389) //	Vit Srj _41.9 *(1389) //
   tathāgatadāsasya	taTAgata dAsasya
   karpāsāsthipracayanicitā nirdhanaśrotriyāṇām+	karpAsa asTi pracaya nicitAH nirDana SrotriyANAm +
   yeṣām+vātyāpravitatakuṭīprāṅgaṇāntās+babhūvus+ /	yezAm +vAtya apravitata kuwI prAFgaNa antAs+baBUvus+ /
   tatsaudhānām+parisarabhuvi tvatprasādāt+idānīm+	tad sODAnAm+ parisara Buvi tvad prasAda at+idAnIm+
   krīḍāyuddhacchidurayuvatīhāramuktās+patanti // VidSrk_41.10 *(1390) //	krIxA yudDa= CiduH a yuvatI hAra muktA As+patanti // Vit Srj _41.10 *(1390) //
   śubhāṅgasya	SuBa aFgasya
   lakṣmīvaśīkaraṇacūrṇasahodarāṇi tvatpādapaṅkajarajāṃsi ciram+jayanti /	lakzmI vaSIkaraNa cUrNa sahodarANi tvad pAda paFkaja rajAMsi ciram +jayanti /
   yāni praṇāmamilitāni nṛṇām+lalāṭe lumpanti daivalikhitāni durakṣarāṇi //	yAni praNAma militAni nRNAm +lalAwe lumpanti dEva liKitAni durakzarANi //
   VidSrk_41.11 *(1391) //	Vit Srj _41.11 *(1391) //
   abhinandasya	aBinandasya
   tvam+cet+nātha kalānidhis+śaśadharas+tat+toyanāthās+vayam+	tvam +cet+nATa kalA niDi s+SaSaDara s+tat+ toya nATa as+vayam+
   maryādānidhis+ambhasām+patis+atha tvam+cet+vayam+vāridās+ /	maryAdA niDi s+amBa sAm+pati s+aTa tvam +cet+u ayam+vAri dAs+ /
   sarvāśāparipūrakas+jaladharas+tvam+cet+vayam+bhūruhas+	sarva ASA paripUraka s+jalaDara s+tvam +cet+vayam+BUruhas+
   sanmārgvasthitisundaras+tvam+iha cet+śākhī vayam+ca+adhvagās+ //	sat mArgva sTiti sundara s+tvam +iha cet+SAKI vayam +ca+aDva gAs+ //
   VidSrk_41.12 *(1392) //	Vit Srj _41.12 *(1392) //
   padahīnān+bilavasatīn+bhujagān+iva jātabhogasaṃkocān /	pada hInAn+bila vasatIn +BujagAn +iva jAta Boga saMkocAn /
   vyathayati mantrākṣaram+iva nāma tava+arīn+vanecarais+gītam //	vyaTayati mantra akzaram +iva nAma tava+arIn +vanecarEH +gItam //
   VidSrk_41.13 *(1393) //	Vit Srj _41.13 *(1393) //
   yeṣām+veśmasu kambukarparacalattarkudhvanis+duḥśravas+	yezAm +veSmasu kambu karpara calat tarku Dvani s+duHSravas+
   prāk+āsīt+naranātha samprati punas+teṣām+tava+anugrahāt /	prAk+AsIt+nara nATa samprati punar +teza am+ta va+anugrahAt /
   ṣaḍjādikramaraṅgadaṅgulicalatpāṇiskhalatkaṅkaṇaśreṇīnisvanamāṃsalas+kalagirām+vīṇāravas+śrūyate	zaxja Adi krama raFgat aFguli calat pANi sKalat kaFkaNa SreNI nisvana mAMsa las+kalagirAm+vINA ravas+SrUyate
   // VidSrk_41.14 *(1394) //	// Vit Srj _41.14 *(1394) //
   nātha tvām+anuyāce prasīda vijahīhi saṅgarārambham /	nATa tvAm +anuyAce prasIda vijahIhi saFgara AramBam /
   unnatibhājas+samprati santi vipakṣās+param+girayas+ // VidSrk_41.15	unnati BAjas+ samprati santi vipakzAs+ param+girayas+ // Vit Srj _41.15
   deva svastutis+astu nāma hṛdi nas+sarve vasanti+āgamās+	deva svastutis+aH tu nAma hRdi nas+ sarve vasanti +AgamAs+
   tīrtham+na kvacit+īdṛk+atrabhavatī tvatkhaḍgadhārā yathā /	tIrTam+na kvacit+IdRk+atraBavatI tvad Kaxga DArAH yaTA /
   yām+ekas+svaśarīraśuddhirasikas+mūrdhi pratīcchan+ripus+	yAm +eka s+sva SarIra SudDi rasika s+mUrDi pratIcCan+ripus+
   dvaividhyāt+anu pañcatām+tadanu ca traidaśyam+āpa kṣaṇāt // VidSrk_41.16	dvEviDyAt+anu paQcatAm +tadanu ca trEdaSyam+Apa kzaNAt // Vit Srj _41.16
   rathāṅgasya	raTAFgasya
   matparyantavasuṃdharāvijayine muktādi ratnam+mayā	mad paryantava suMDarA vijayine muktA Adi ratnam +mayA
   sarvam+ḍhaukitam+eva tubhyam+adhunā jātas+asmi niṣkiṃcanas+ /	sarvam+XOkitam+eva tuByam +aDunA jAta s+asmi nizkiMcanas+ /
   iti+ullāsitavīcibāhus+udayanmārtaṇḍabimbacchalāt+	iti +ullAsita vIci bAhu s+udayat mArtaNxa bimba= CalAt+
   prātas+taptakuṭhāram+eṣa vahate deva tvadagre+ambudhis+ // VidSrk_41.17	prAtas+tapta kuWAram +eza vahate deva tvad agre+ambuDi s+ // Vit Srj _41.17
   vasukalpasya	vasu kalpasya
   saṃdiṣṭam+marubhūmibhūruhacayais+bhūpāla bhūyāt+bhavān+	saMdizwa m+maru BUmi BUruha caya es+BUpAla BUyAt+ BavAn+
   nirjetā navakhaṇḍamaṇḍalabhuvas+ye tvatprasādāt+vayam /	nirjetA nava KaNxa maNxala Buvas+ye tvad prasAdAt +vayam /
   pratyāsannavipannavāraḍavadhūnetrapraṇālīgaladbāṣpāmbhaḥplavapaṅkapicchalatalās+śrīmuñja	pratyAsanna vipanna vAraxa vaDU netra praNAlI galat bAzpa amBaH plava paFka picCa la talAs+SrImuQja
   modāmahe // VidSrk_41.18 *(1398) //	modAmahe // Vit Srj _41.18 *(1398) //
   tanvīm+ujjhitabhūṣaṇām+kalagiram+sītkāram+ātanvatīm+	tanvIm+ujJita BUzaNAm+kalagiram +sItkAram+AtanvatIm+
   vepantīm+vraṇitādharām+vivasanām+romodgamam+bibhratīm /	vepanti im+vraNita aDarAm+ vivasanAm +roma udgama m+biBratIm /
   hemante himaśītamārutabhayāt+āśliṣya dorbhyām+tanum+	hemante hima SIta mAruta BayAt+a ASlizya dorByAm +tanum+
   svām+mūrtim+dayitām+iva+atirasikām+tvadvidviṣas+śerate // VidSrk_41.19	svAm+ mUrtim +dayitAm +iva+ati rasikAm+tvat vidvizas+Serate // Vit Srj _41.19
   bhūsamparkarajonipātamalinās+svasmāt+gṛhāt+pracyutās+	BU samparka rajaH nipAta malinAs+sva smAt+ gRhAt+ pracyutAs+
   sāmānyais+api jantubhis+karatalais+niḥśaṅkam+āliṅgitās+ /	sAmAnyEs+api jantuBis+kara tala es+ niHSaFkam +a AliFgitAs+ /
   nirlagnās+kvacit+ekatām+upagatās+baddhās+kvacit+mocitās+	nirlagna as+ kva cit+ eka tAm+upagatA s+ badDa as+ kva cit+mocitAs+
   akṣāṇām+iva śārayas+pratigṛham+bhrāntās+tava+aristriyas+ // VidSrk_41.20	akzANAm +iva SArayas+ pratigRham +BrAnta As+ta va+ari striyas+ // Vit Srj _41.20
   varṣāsambhṛtapītisāram+avaśam+stabdhāṅghrihastadvayam+	varzA samBRta pIti sAram+avaSam+ stabDa aFGri hasta dvayam+
   bhekam+mūrdhni nigṛhya kajjalarajaḥśyāmam+bhujaṅgam+sthitam /	Bekam +mUrDni nigRhya kajjala rajaH SyAmam +BujaFgam +sTitam /
   mugdhā vyādhavadhus+tava+arinagare śūnye cirāt+samprati	mugDAH vyADa vaDu s+tava+ari nagare SUnye cirAt+ samprati
   svaṛnopaskṛtimuṣṭisāyakadhiyā sākūtam+āditsati // VidSrk_41.21 *(1401) //	su aRna upaskRti muzwi sAyaka DiyA sa AkUtam +Aditsati // Vit Srj _41.21 *(1401) //
   paryaṅkas+śithilīkṛtas+na bhavatā siṃhāsanāt+na+utthitam+	paryaFkas+ SiTilIkRta s+na BavatA siMhAsana at+na+utTitam+
   na krodhānaladhūmarājis+iva ca bhrūvallis+ullāsitā /	na kroDa anala DUma rAji s+iva ca BrU valli s+ullAsitA /
   rājñām+tvaccaraṇāravindam+atha ca śrīcandra puṣpanti+amūs+	rAjQAm +tvad caraNa aravindam +aTa ca SrI candra puzpanti+a mUs+
   cañcaccārumarīcisaṃcayamucām+cūḍāmaṇīnām+rucas+ // VidSrk_41.22 *(1402) //	caQcat cAru marIci saMcayamucAm +cUxAmaNInAm +rucas+ // Vit Srj _41.22 *(1402) //
   suvinītasya	su vinItasya
   dvāram+khaḍgibhis+āvṛtam+bahis+api praklinnagaṇḍais+gajais+	dvAra m+KaxgiBi s+a AvRtam+bahis+api praklinna gaNxa es+gajEH +
   antas+kañcukibhis+sphuranmaṇidharais+adhyāsitās+bhūmayas+ /	antas+ kaQcukiBis+ sPurat maNi Dara es+a DyAsita as+BUmayas+ /
   ākrāntam+mahiṣībhis+eva śayanam+tvadvidviṣām+mandire	AkrAntam +mahizIBi s+A iva Sayanam +tvad vidvizAm+mandire
