   akalpabālasthavira- Brh_1,1.148a	akalpa-bAla-sTavira Brh_1,1.148a
   viṇmūtrodakavaprāṃś ca Brh_1,19.50a	viz-mUtra-udaka-vaprAn ca Br=-_1,19.50a
   vitatyeha yaśo rājā Brh_1,9.33c	vitatya-iha yaSaH rAjA Br=-_1,9.33c
   vitatyeha yaśo loke Brh_1,9.32c	vitatya-iha yaSaH loke Br=-_1,9.32c
   vitathasyābhiśaṃsanāt Brh_1,5.33d	vitaTasya-aBiSaMsanAt Br=-_1,5.33d
   vittāpattyor yamasya ca Brh_1,1.6d	vittApattyoH yamasya ca Br=-_1,1.6d
   vidyamāneṣu sākṣiṣu Brh_1,4.12b	vidyamAnezu sAkzizu Br=-_1,4.12b
   vidyayā krayabandhena Brh_1,7.23a	vidyayA kraya-banDena Brh_1,7.23a
   vidyākarmaratas teṣām Brh_1,26.19c	vidyA-karma-rataH tezAm Br=-_1,26.19c
   vidyā trayī samākhyātā Brh_1,15.6a	vidyA trayI samAKyAtAH Brh_1,15.6a
   vidyād uttarasākṣiṇam Brh_1,5.13d	vidyAt uttara-sAkziNam Br=-_1,5.13d
   vidyāvijñānakāmārtha- Brh_1,15.4c	vidyA-vijQAna-kAma-arTa Br=-_1,15.4c
   vidyāvijñānaśauryārthe Brh_1,26.20a	vidyA-vijQAna-SOrya-arTe Brh_1,26.20a
   vidyā śauryādinā dhanam Brh_1,26.112b	vidyA SOrya-AdinA Danam Br=-_1,26.112b
   vidyāśauryādināvāptaṃ Brh_1,26.58c	vidyA-SOrya-AdinA-avAptam Brh_1,26.58c
   vidvadbhir brāhmaṇaiḥ saha Brh_1,27.11d	vidvadBiH brAhmaNEH saha Br=-_1,27.11d
   vidvadbhir bhāgagauravam Brh_1,26.12f	vidvadBiH BAga-gOravam Brh_1,26.12f
   vidveṣiṇo vyasaninaḥ Brh_1,17.8a	vidveziNaH vyasaninaH Brh_1,17.8a
   vidhavā yauvanasthā cen Brh_1,26.100c	viDavA yOvana-sTA ced Br=-_1,26.100c
   vidhānam anupūrvaśaḥ Brh_1,6.1d	viDAnam anupUrvaSas Br=-_1,6.1d
   vidhānam idam ucyate Brh_1,13.26b	viDAnam idam ucyate Br=-_1,13.26b
   vidhānaṃ śrūyatām iti Brh_1,11.1d	viDAnam SrUyatAm iti Br=-_1,11.1d
   vidhānaṃ saṃgrahas tathā Brh_1,25.1b	viDAnam saMgrahaH taTA Brh_1,25.1b
   vidhidattasya divyasya Brh_1,8.14c	viDi-dattasya divyasya Br=-_1,8.14c
   vidhidattaṃ viṣaṃ yena Brh_1,8.64a	viDi-dattam vizam yena Brh_1,8.64a
   vidhir eṣa prakīrtitaḥ Brh_1,19.37b	viDiH eza prakIrtitaH Br=-_1,19.37b
   vidhir eṣa pradarśitaḥ Brh_1,19.1b	viDiH eza pradarSitaH Brh_1,19.1b
   vidhiḥ pratibhuvām ayam Brh_1,10.84d	viDiH pratiBuvAm ayam Br=-_1,10.84d
   vidhiḥ sa parikīrtitaḥ Brh_1,10.45d	viDiH sa parikIrtitaH Br=-_1,10.45d
   vinayaṃ cānurūpataḥ Brh_1,16.11d	vinayam ca-anurUpatas Br=-_1,16.11d
   vinayaṃ caiva rājani Brh_1,16.15d	vinayam ca-eva rAjani Br=-_1,16.15d
   vinayaṃ tāvad eva tu Brh_1,18.5d	vinayam tAvat eva tu Br=-_1,18.5d
   vinayaḥ kalpanīyaḥ syād Brh_1,24.11c	vinayaH kalpanIyaH syAt Br=-_1,24.11c
   vinayo 'naparādhinaḥ Brh_1,20.13b	vinayaH anaparADinaH Br=-_1,20.13b
   vinayo 'bhihitaḥ śāstre Brh_1,20.5c	vinayaH aBihitaH SAstre Br=-_1,20.5c
   vinaśyaty anavekṣayā Brh_1,11.6d	vinaSyati anavekzayA Br=-_1,11.6d
   vināpi śīrṣakaṃ kuryān Brh_1,8.18a	vinA-api SIrzakam kuryAt Br=-_1,8.18a
   vinā lekhyaṃ kathaṃ cana Brh_1,7.29b	vinA leKyam kaTam cana Br=-_1,7.29b
   vināśayan haran daṇḍyaḥ Brh_1,23.5c	vinASayan haran daNxyaH Br=-_1,23.5c
   vināśārthinam āyāntaṃ Brh_1,23.17c	vinASa-arTinam AyAntam Brh_1,23.17c
   viniścite pūrvapakṣe Brh_1,3.2a	viniScite pUrva-pakze Br=-_1,3.2a
   vinihnuto yathābhūtaṃ Brh_1,5.8c	vinihnutaH yaTABUtam Br=-_1,5.8c
   vineyās te prayatnataḥ Brh_1,22.15d	vineyAH te prayatnataH Br=-_1,22.15d
   vineyās te syur anyathā Brh_1,26.15d	vineyAH te syuH anyaTA Br=-_1,26.15d
   vindet pativratā nārī Brh_1,26.95c	vindet pativratA nArI Brh_1,26.95c
   viparītam adharmyaṃ syāt Brh_1,3.24c	viparItam aDarmyam syAt Br=-_1,3.24c
   [viparītaṃ nayantas tu Brh_1,19.36c	[viparItam nayantaH tu Br=-_1,19.36c
   viparīte tu doṣabhāk Brh_1,8.70d	viparIte tu doza-BAj Br=-_1,8.70d
   viparyayād adharmaḥ syān Brh_1,7.13c	viparyayAt aDarmaH syAt Br=-_1,7.13c
   vipram uttamasāhasam Brh_1,20.16d	vipram uttamasAhasam Br=-_1,20.16d
   vipralabdho bhaven nṛpaḥ Brh_1,3.32b	vipralabDaH Bavet nRpaH Brh_1,3.32b
   viprasya sa tṛtīyabhāk Brh_1,26.123b	viprasya sa tRtIya-BAj Br=-_1,26.123b
   vipraṃ prājñaṃ kramāyātam Brh_1,1.71c	vipram prAjQam krama-AyAtam Br=-_1,1.71c
   vipraṃ vyāpadi pīḍitam Brh_1,5.43d	vipram vyApadi pIxitam Br=-_1,5.43d
   viprāñ śūdravad ācaret Brh_1,8.36f	viprAn SUdra-vat Acaret Brh_1,8.36f
   viprāṇām asya kurvataḥ Brh_1,20.11b	viprANAm asya kurvataH Br=-_1,20.11b
   viprād gṛhṇīta viṃśakam Brh_1,13.16d	viprAt gRhNIta viMSakam Br=-_1,13.16d
   viprādhīnau tu tāūbhau Brh_1,1.91b	vipra-aDInO tu tAUBO Br=-_1,1.91b
   vipreṇa kṣatriyājāto Brh_1,26.120a	vipreNa kzatriya-ajAtaH Brh_1,26.120a
   vipre śatārdhaṃ daṇḍas tu Brh_1,20.12a	vipre Sata-arDam daNxaH tu Br=-_1,20.12a
   viprotpannās tv anukramāt Brh_1,26.42b	vipra-utpannAH tu anukramAt Br=-_1,26.42b
   vipro dharmadrumasyādiḥ Brh_1,1.49a	vipraH Darma-drumasya-AdiH Br=-_1,1.49a
   vibrūyur yatra sākṣiṇaḥ Brh_1,5.52b	vibrUyuH yatra sAkziNaH Brh_1,5.52b
   vibhaktajasya tat sarvam Brh_1,26.56c	viBakta-jasya tat sarvam Br=-_1,26.56c
   vibhaktavyaṃ yathāṃśataḥ Brh_1,10.34b	viBaktavyam yaTA-aMSataH Br=-_1,10.34b
   vibhaktavyaṃ yathāṃśataḥ Brh_1,17.23d	viBaktavyam yaTA-aMSataH Br=-_1,17.23d
   vibhaktā avibhaktā vā Brh_1,10.117c	viBaktA aviBaktA vA Br=-_1,10.117c
   vibhaktān avagaccheyur Brh_1,26.144c	viBaktAn avagacCeyuH Brh_1,26.144c
   vibhaktān avagaccheyuḥ Brh_1,26.7c	viBaktAn avagacCeyuH Br=-_1,26.7c
   vibhaktā bhrātaraḥ kuryuḥ Brh_1,26.6c	viBaktA BrAtaraH kuryuH Br=-_1,26.6c
   vibhaktā bhrātaro ye tu Brh_1,26.106c	viBaktA BrAtaraH ye tu Br=-_1,26.106c
   vibhaktā vāvibhaktā vā Brh_1,14.8a	viBaktA vA-aviBaktAH vA Br=-_1,14.8a
   vibhaktās te na saṃśayaḥ Brh_1,26.147d	viBaktAH te na saMSayaH Br=-_1,26.147d
   vibhaktair bhrātṛbhir mithaḥ Brh_1,26.148b	viBaktEH BrAtRBiH miTas Brh_1,26.148b
   vibhakto yaḥ punaḥ pitrā Brh_1,26.113a	viBaktaH yaH punar pitrA Brh_1,26.113a
   vibhajadbhir aninditāḥ Brh_1,26.148d	viBajadBiH aninditAH Br=-_1,26.148d
   vibhajeyur yathāṃśataḥ Brh_1,10.64b	viBajeyuH yaTA-aMSataH Br=-_1,10.64b
   vibhajeran yathāṃśataḥ Brh_1,26.111d	viBajeran yaTA-aMSataH Br=-_1,26.111d
   vibhāgadāne vipaṇe Brh_1,5.10a	viBAga-dAne vipaNe Br=-_1,5.10a
   vibhāgapatram ity etad Brh_1,6.6a	viBAga-patram iti etat Br=-_1,6.6a
   vibhāgapatraṃ kurvanti Brh_1,6.11c	viBAga-patram kurvanti Br=-_1,6.11c
   vibhāgasya pṛthagdhanam Brh_1,26.8d	viBAgasya pRTak-Danam Br=-_1,26.8d
   vibhāgasya pṛthagdhanam Brh_1,26.146d	viBAgasya pRTak-Danam Br=-_1,26.146d
   vibhāgaḥ saṃpradarśitaḥ Brh_1,26.9b	viBAgaH saMpradarSitaH Brh_1,26.9b
   vibhāvakaṃ tatra divyam Brh_1,11.15c	viBAvakam tatra divyam Br=-_1,11.15c
   vibhāvayet pratijñātaṃ Brh_1,4.5c	viBAvayet pratijQAtam Br=-_1,4.5c
   vibhāvya dāpayen nyāsaṃ Brh_1,11.14c	viBAvya dApayet nyAsam Brh_1,11.14c
   vimṛśya kāryaṃ nyāyyaṃ ced Brh_1,1.146c	vimRSya kAryam nyAyyam ced Br=-_1,1.146c
   vimṛśya brāhmaṇaiḥ sārdhaṃ Brh_1,6.35a	vimRSya brAhmaNEH sArDam Brh_1,6.35a
   viyuktānyagṛhe vaset Brh_1,25.9b	viyukta-anyagRhe vaset Brh_1,25.9b
   viruddhaṃ cāviruddhaṃ ca Brh_1,2.45a	virudDam ca-avirudDam ca Br=-_1,2.45a
   viruddhaḥ so 'bhidhīyate Brh_1,2.13d	virudDaH saH aBiDIyate Br=-_1,2.13d
   virodhikāraṇair mukto Brh_1,2.15c	viroDi-kAraNEH muktaH Brh_1,2.15c
   virodhipratiṣedhakaḥ Brh_1,2.15d	viroDi-pratizeDakaH Br=-_1,2.15d
   vivadet tatra yas tasmin Brh_1,1.68c	vivadet tatra yaH tasmin Br=-_1,1.68c
   vivādakāraṇānyasya Brh_1,10.1c	vivAda-kAraNAni-asya Br=-_1,10.1c
   vivādanyāyatattvajñais Brh_1,10.36e	vivAda-nyAya-tattva-jQEH Brh_1,10.36e
   vivādapadam ucyate Brh_1,15.2d	vivAda-padam ucyate Br=-_1,15.2d
   vivādasthānam āgataiḥ Brh_1,8.42d	vivAda-sTAnam AgatEH Br=-_1,8.42d
   vivādaṃ kartum icchate Brh_1,1.140b	vivAdam kartum icCate Br=-_1,1.140b
   vivādaṃ kartum icchatoḥ Brh_1,2.35b	vivAdam kartum icCatoH Br=-_1,2.35b
   vivādaṃ na vicārayet Brh_1,1.125d	vivAdam na vicArayet Br=-_1,1.125d
   vivādaḥ śrūyatām ayam Brh_1,18.1d	vivAdaH SrUyatAm ayam Br=-_1,18.1d
   vivādānāṃ vicāraṇāt Brh_1,1.95d	vivAdAnAm vicAraNAt Br=-_1,1.95d
   vivādino narāṃś cānyān Brh_1,9.17c	vivAdinaH narAn ca-anyAn Brh_1,9.17c
   vivādino narāṃś cāpi Brh_1,9.14c	vivAdinaH narAn ca-api Brh_1,9.14c
   vivāde pṛcchati praśnaṃ Brh_1,1.69a	vivAde pRcCati praSnam Brh_1,1.69a
   vivāde yasya dūṣitāḥ Brh_1,5.29b	vivAde yasya dUzitAH Br=-_1,5.29b
   vivāde vaktum icchataḥ Brh_1,2.39d	vivAde vaktum icCataH Br=-_1,2.39d
   vivāde samupasthite Brh_1,4.18b	vivAde samupasTite Br=-_1,4.18b
   vivāde sīmaniścayaḥ Brh_1,19.10d	vivAde sIma-niScayaH Br=-_1,19.10d
   vivādo 'ṣṭādaśopetaḥ Brh_1,10.56a	vivAdaH azwAdaSa-upetaH Brh_1,10.56a
   vivāse pañcaviṃśatim Brh_1,29.3d	vivAse paQcaviMSatim Br=-_1,29.3d
   vivikte tāḍito yas tu Brh_1,21.16a	vivikte tAxitaH yaH tu Br=-_1,21.16a
   vividhāś ca prayujyante Brh_1,7.6c	viviDAH ca prayujyante Br=-_1,7.6c
   vividhena bhayena ca Brh_1,29.6d	viviDena Bayena ca Br=-_1,29.6d
   viśas tathārdhapañcāśac- Brh_1,20.12c	viSaH taTA-arDa-paQcASac Br=-_1,20.12c
   viśudhyate na saṃśayaḥ Brh_1,6.53d	viSuDyate na saMSayaH Br=-_1,6.53d
   viśeṣa eṣāṃ nirdiṣṭaś Brh_1,1.15c	viSezaH ezAm nirdizwaH Br=-_1,1.15c
   viśeṣalikhitaṃ jyāya Brh_1,10.47c	viSeza-liKitam jyAya Br=-_1,10.47c
   viśeṣo nāsti dharmataḥ Brh_1,26.130b	viSezaH na-asti DarmataH Brh_1,26.130b
   viścitaṃ lokasiddhaṃ ca Brh_1,2.14c	viScitam loka-sidDam ca Br=-_1,2.14c
   viśvastavañcakāś caiva Brh_1,22.14c	viSvasta-vaQcakAH ca-eva Br=-_1,22.14c
   viśvaste vañcakāś caiva Brh_1,1.107c	viSvaste vaQcakAH ca-eva Br=-_1,1.107c
   viśvāsaṃ prathamaṃ kṛtvā Brh_1,17.7c	viSvAsam praTamam kRtvA Br=-_1,17.7c
   viṣamas tu nivartate Brh_1,3.47b	vizamaH tu nivartate Br=-_1,3.47b
   viṣamas tu nivartate Brh_1,10.27f	vizamaH tu nivartate Brh_1,10.27f
   viṣamasthakriyākulān Brh_1,1.148b	vizama-sTa-kriyA-AkulAn Brh_1,1.148b
   viṣamasthāś ca te sarve Brh_1,1.166c	vizama-sTAH ca te sarve Br=-_1,1.166c
   viṣamasthāś ca nāsedhyāḥ Brh_1,1.137c	vizama-sTAH ca na-AseDyAH Br=-_1,1.137c
   viṣamasthāś ca nāsedhyāḥ Brh_1,1.138c	vizama-sTAH ca na-AseDyAH Br=-_1,1.138c
   viṣamāṃ nṛpatiḥ kuryāc Brh_1,19.44c	vizamAm nRpatiH kuryAt Br=-_1,19.44c
   viṣame bhūpradeśe ca Brh_1,8.63a	vizame BU-pradeSe ca Br=-_1,8.63a
   viṣam sahasre 'pahṛte Brh_1,8.29a	vizam sahasre apahRte Br=-_1,8.29a
   viṣaṃ kośaś ca pañcamam Brh_1,8.3b	vizam koSaH ca paQcamam Br=-_1,8.3b
   viṣopadhibalāt kāra- Brh_1,6.30c	viza-upaDi-balAt kAra Br=-_1,6.30c
   visaṃvādaḥ prajāyate Brh_1,11.15b	visaMvAdaH prajAyate Brh_1,11.15b
   visaṃvāde dvayor api Brh_1,5.16d	visaMvAde dvayoH api Br=-_1,5.16d
   visaṃvāde parasparam Brh_1,8.7b	visaMvAde parasparam Br=-_1,8.7b
   visaṃvādo yadā bhavet Brh_1,17.20b	visaMvAdaH yadA Bavet Brh_1,17.20b
   visphoṭo vā na jāyate Brh_1,8.78d	visPowaH vA na jAyate Br=-_1,8.78d
   vihāya karaṇaṃ pūrvaṃ Brh_1,10.58a	vihAya karaNam pUrvam Br=-_1,10.58a
   vihāya caritācāraṃ Brh_1,1.21a	vihAya carita-AcAram Brh_1,1.21a
   vihāyopānaduṣṇīṣaṃ Brh_1,5.42a	vihAya-upAnat-uzNIzam Brh_1,5.42a
   vihitākaraṇān nityaṃ Brh_1,1.131a	vihita-akaraNAt nityam Brh_1,1.131a
   vīrabhadraś ca śambhuś ca Brh_1,8.22e	vIraBadraH ca SamBuH ca Brh_1,8.22e
   vṛkṣasthāṇusamākule Brh_1,8.63b	vRkza-sTANu-samAkule Br=-_1,8.63b
   vṛkṣaṃ parvatam ārūḍhā Brh_1,1.166a	vRkzam parvatam ArUXA Brh_1,1.166a
   vṛkṣaṃ phalaṃ vāpy upabhogayogyam Brh_1,18.18b	vRkzam Palam vA-api upaBoga-yogyam Br=-_1,18.18b
   vṛkṣāropaṇam eva ca Brh_1,19.52b	vRkza-AropaNam eva ca Br=-_1,19.52b
   vṛttasthāpi kṛte 'py aṃśe Brh_1,26.100a	vRtta-sTA-api kRte api aMSe Brh_1,26.100a
   vṛttasvādhyāyavān steyī Brh_1,22.26a	vRtta-svADyAyavAn steyI Brh_1,22.26a
   vṛttasvādhyāyasaṃyutam Brh_1,23.18b	vRtta-svADyAya-saMyutam Brh_1,23.18b
   vṛttānuvādasaṃsiddhaṃ Brh_1,6.29c	vRtta-anuvAda-saMsidDam Br=-_1,6.29c
   vṛtte vāde punar nyāyaḥ Brh_1,2.41c	vRtte vAde punar nyAyaH Br=-_1,2.41c
   vṛddhastrībālarogiṇām Brh_1,1.142b	vRdDa-strI-bAla-rogiNAm Br=-_1,1.142b
   vṛddhān āthātithīn striyaḥ Brh_1,26.98d	vRdDAn ATa-atiTIn striyaH Br=-_1,26.98d
   vṛddhāmātyānujīvibhiḥ Brh_1,1.115b	vRdDa-amAtya-anujIviBiH Brh_1,1.115b
   vṛddhir aṣṭaguṇā proktā Brh_1,10.19c	vRdDiH azwaguNA proktA Br=-_1,10.19c
   vṛddhir aṣṭaguṇā bhavet Brh_1,10.20d	vRdDiH azwaguNA Bavet Br=-_1,10.20d
   vṛddhir aṣṭaguṇā matā Brh_1,10.18d	vRdDiH azwaguNAH matAH Br=-_1,10.18d
   vṛddhir dvitricaturguṇā Brh_1,10.24b	vRdDiH dvi-tri-caturguNAH Br=-_1,10.24b
   vṛddhir naśyate hāpite Brh_1,10.40d	vRdDiH naSyate hApite Br=-_1,10.40d
   vṛddhiś caturvidhā proktā Brh_1,10.8a	vRdDiH caturviDA proktA Br=-_1,10.8a
   vṛddhis tu na nivartate Brh_1,10.23d	vRdDiH tu na nivartate Br=-_1,10.23d
   vṛddhiṃ vārddhuṣike śṛṇu Brh_1,10.28b	vRdDim vArdDuzike SRNu Br=-_1,10.28b
   vṛddher vṛddhiś cakravṛddhiḥ Brh_1,10.10c	vRdDeH vRdDiH cakravRdDiH Br=-_1,10.10c
   vṛṣalaḥ karma na brāhmaṃ Brh_1,7.15c	vRzalaH karma na brAhmam Brh_1,7.15c
   vetanasyānapākarma Brh_1,15.3a	vetanasya-anapAkarma Br=-_1,15.3a
   vetraśaṣpānnavāhanaiḥ Brh_1,1.29b	vetra-Sazpa-anna-vAhanEH Br=-_1,1.29b
   vedavidyāvido viprāñ Brh_1,17.2a	veda-vidyA-vidaH viprAn Brh_1,17.2a
   vedavidyāvido viprān Brh_1,1.30a	veda-vidyA-vidaH viprAn Br=-_1,1.30a
   vedārthopanibaddhatvāt Brh_1,end/a	veda-arTa-upanibadDa-tvAt Br=-_1,end/a
   vedodāharaṇānvitaḥ Brh_1,20.18b	veda-udAharaNa-anvitaH Brh_1,20.18b
   vedhenāpi yadā tv etān Brh_1,29.7a	veDena-api yadA tu etAn Br=-_1,29.7a
   vai kriyā parikīrtitā Brh_1,17.1b	vE kriyA parikIrtitA Brh_1,17.1b
   vaivāhike kramāyāte Brh_1,14.5c	vEvAhike krama-AyAte Br=-_1,14.5c
   vaivāhya śrotriyair bhuktaṃ Brh_1,7.46a	vEvAhya SrotriyEH Buktam Brh_1,7.46a
   vaiśeṣikaṃ dhanaṃ jñeyaṃ Brh_1,7.10a	vESezikam Danam jQeyam Brh_1,7.10a
   vaiśeṣikaṃ dhanaṃ jñeyaṃ Brh_1,7.12a	vESezikam Danam jQeyam Brh_1,7.12a
   vaiśyam ākṣārayañ śūdro Brh_1,20.16a	vESyam AkzArayan SUdraH Brh_1,20.16a
   vaiśyavṛttiś ca tasyoktā Brh_1,7.14c	vESya-vRttiH ca tasya-uktA Br=-_1,7.14c
   vaiśyasya kṣatriyākrośe Brh_1,20.14a	vESyasya kzatriya-AkroSe Brh_1,20.14a
   vaiśyasya salilaṃ deyaṃ Brh_1,8.12c	vESyasya salilam deyam Br=-_1,8.12c
   vaiśyasyāpi trilakṣaṇam Brh_1,7.12b	vESyasya-api tri-lakzaNam Br=-_1,7.12b
   vaiśyaṃ vā dharmaśāstrajñaṃ Brh_1,1.79c	vESyam vA Darma-SAstra-jQam Br=-_1,1.79c
   vaiśyājātas tathaiva ca Brh_1,26.120d	vESya-ajAtaH taTA-eva ca Br=-_1,26.120d
   vaiśye tad dviguṇaṃ smṛtam Brh_1,14.10b	vESye tat dviguNam smRtam Br=-_1,14.10b
   vaiśvadevādikāḥ kriyāḥ Brh_1,26.145b	vESvadeva-AdikAH kriyAH Br=-_1,26.145b
   voḍhum arhati gopas tāṃ Brh_1,16.15c	voXum arhati gopaH tAm Br=-_1,16.15c
   vodotvaitān nyāyarasān Brh_1,1.51a	vA-udotvA-etAn nyAya-rasAn Brh_1,1.51a
   vyapalāpī tu saṃsadi Brh_1,10.95b	vyapalApI tu saMsadi Br=-_1,10.95b
   vyabhicāraratāḥ striyaḥ Brh_1,1.129b	vyaBicAra-ratAH striyaH Br=-_1,1.129b
   vyabhicāraṃ sadārtheṣu Brh_1,8.16c	vyaBicAram sadA-arTezu Br=-_1,8.16c
   vyayaṃ dadyāt karma kuryāl Brh_1,13.5c	vyayam dadyAt karma kuryAt Br=-_1,13.5c
   vyavahāra iti smṛtaḥ Brh_1,1.4d	vyavahAraH iti smRtaH Br=-_1,1.4d
   vyavahāragatiṃ nayet Brh_1,1.111d	vyavahAra-gatim nayet Br=-_1,1.111d
   vyavahārapadaṃ hi tat Brh_1,1.121d	vyavahAra-padam hi tat Br=-_1,1.121d
   vyavahāraś catuṣpadaḥ Brh_1,2.1d	vyavahAraH catuzpadaH Br=-_1,2.1d
   vyavahāraś ca pārthive Brh_1,3.46b	vyavahAraH ca pArTive Br=-_1,3.46b
   vyavahāras tathocyate Brh_1,1.55d	vyavahAraH taTA-ucyate Br=-_1,1.55d
   vyavahāras tu bādhyate Brh_1,1.20d	vyavahAraH tu bADyate Br=-_1,1.20d
   vyavahāraṃ prakīrṇakam Brh_1,29.1d	vyavahAram prakIrNakam Br=-_1,29.1d
   vyavahāraṃ viśodhayet Brh_1,3.31d	vyavahAram viSoDayet Br=-_1,3.31d
   vyavahāraṃ samācaret Brh_1,10.115b	vyavahAram samAcaret Brh_1,10.115b
   vyavahāraḥ prakīrtitaḥ Brh_1,10.1b	vyavahAraH prakIrtitaH Br=-_1,10.1b
   vyavahāraḥ pravartitaḥ Brh_1,1.1d	vyavahAraH pravartitaH Br=-_1,1.1d
   vyavahāraḥ sa ucyate Brh_1,9.5b	vyavahAraH saH ucyate Br=-_1,9.5b
   vyavahāraḥ samāsataḥ Brh_1,29.1b	vyavahAraH samAsatas Br=-_1,29.1b
   vyavahāraḥ samāhṛtaḥ Brh_1,1.120d	vyavahAraH samAhRtaH Br=-_1,1.120d
   vyavahāraḥ sa vijñeyo Brh_1,1.19c	vyavahAraH sa vijQeyaH Br=-_1,1.19c
   vyavahārāntaraṃ na ca Brh_1,5.26d	vyavahAra-antaram na ca Br=-_1,5.26d
   vyavahārān nṛpaḥ paśyet Brh_1,1.22c	vyavahArAn nRpaH paSyet Br=-_1,1.22c
   vyavahārān svayaṃ paśyet Brh_1,1.106a	vyavahArAn svayam paSyet Brh_1,1.106a
   vyavahārāśritaṃ praśnaṃ Brh_1,1.68a	vyavahAra-ASritam praSnam Brh_1,1.68a
   vyavahārāḥ prakīrttitāḥ Brh_1,2.32d	vyavahArAH prakIrttitAH Br=-_1,2.32d
   vyavahāre mahīpatiḥ Brh_1,1.118b	vyavahAre mahIpatiH Br=-_1,1.118b
   vyavahāre yathāsthitiḥ Brh_1,10.60d	vyavahAre yaTAsTitiH Br=-_1,10.60d
   vyavahāreṣu niścitaṃ Brh_1,2.40b	vyavahArezu niScitam Brh_1,2.40b
   vyavahāreṣu vādibhiḥ Brh_1,2.16d	vyavahArezu vAdiBiH Br=-_1,2.16d
   vyavahāreṣu vibruvan Brh_1,1.152d	vyavahArezu vibruvan Br=-_1,1.152d
   vyavahāre sa hīyate Brh_1,3.29d	vyavahAre sa hIyate Br=-_1,3.29d
   vyavahāro na sidhyati Brh_1,1.123d	vyavahAraH na siDyati Br=-_1,1.123d
   vyavahāro na sidhyati Brh_1,1.124d	vyavahAraH na siDyati Br=-_1,1.124d
   vyavahāro nirarthakaḥ Brh_1,2.11b	vyavahAraH nirarTakaH Br=-_1,2.11b
   vyavahāro manīṣibhiḥ Brh_1,1.67b	vyavahAraH manIziBiH Br=-_1,1.67b
   vyasane samupasthite Brh_1,13.13b	vyasane samupasTite Br=-_1,13.13b
   vyastāḥ samastā ekasya Brh_1,9.13c	vyastAH samastAH ekasya Br=-_1,9.13c
   vyākhyātas tv adhunā samyak- Brh_1,10.56c	vyAKyAtaH tu aDunA samyak Brh_1,10.56c
   vyājenopārjitaṃ yac ca Brh_1,7.5c	vyAjena-upArjitam yat ca Br=-_1,7.5c
   vyādhāñ śākunikān gopān Brh_1,19.13a	vyADAn SAkunikAn gopAn Brh_1,19.13a
   vyādhitā saśramā vyagrā Brh_1,16.13a	vyADitA sa-SramAH vyagrAH Brh_1,16.13a
   vyādhitonmattavṛddhānāṃ Brh_1,10.109a	vyADita-unmatta-vRdDAnAm Brh_1,10.109a
   vyāpādane tu tatkārī Brh_1,27.8c	vyApAdane tu tad-kArI Br=-_1,27.8c
   vyālagrāhān uñchavṛttīn Brh_1,19.13c	vyAla-grAhAn uQCa-vRttIn Br=-_1,19.13c
   vyuṣitaṃ chāditaṃ yatra Brh_1,5.18a	vyuzitam CAditam yatra Brh_1,5.18a
   vratopavāsaniratā Brh_1,25.15a	vrata-upavAsa-niratAH Brh_1,25.15a
   śaktibhaktyanurūpaiḥ syād Brh_1,15.11c	Sakti-Bakti-anurUpEH syAt Br=-_1,15.11c
   śaktihānir vinirmitā Brh_1,25.17d	Sakti-hAniH vinirmitAH Br=-_1,25.17d
   śaktihīnaiś cirantanaiḥ Brh_1,26.69d	Sakti-hInEH cirantanEH Br=-_1,26.69d
   śaṅkābhiyogas tathyaṃ ca Brh_1,2.41a	SaFkA-aBiyogaH taTyam ca Br=-_1,2.41a
   śate hṛte 'pahṛte ca Brh_1,8.31a	Sate hRte apahRte ca Br=-_1,8.31a
   śatodyam anurūpataḥ Brh_1,23.5d	Sata-udyam anurUpatas Br=-_1,23.5d
   śadavāhyalaveṣu ca Brh_1,10.17d	Sada-vAhya-lavezu ca Br=-_1,10.17d
   śadaś ca sadamaṃ cīrṇe Brh_1,16.17e	SadaH ca sa-damam cIrNe Brh_1,16.17e
   śanair dāpyo yathodayam Brh_1,10.89b	SanEs dApyaH yaTA-udayam Br=-_1,10.89b
   śanair dāpyo yathodayam Brh_1,10.93d	SanEs dApyaH yaTA-udayam Br=-_1,10.93d
   śapathārthe hiraṇyāgnī Brh_1,1.89c	SapaTa-arTe hiraNya-agnI Br=-_1,1.89c
   śapathena viśoddhavyaḥ Brh_1,23.25c	SapaTena viSodDavyaH Br=-_1,23.25c
   śapathe nāsti pātakḥ Brh_1,8.39d	SapaTe na-asti pAtakH Br=-_1,8.39d
   śapathair vānuyuñjīta Brh_1,7.68c	SapaTEH vA-anuyuQjIta Br=-_1,7.68c
   śapathaiḥ sa viśodhyaḥ syāt Brh_1,13.7c	SapaTEH sa viSoDyaH syAt Br=-_1,13.7c
   śapanīyaṃ pṛthak pṛthak Brh_1,8.38b	SapanIyam pRTak pRTak Br=-_1,8.38b
   śabaḷaṃ samudāhṛtam Brh_1,7.4d	Saba?am samudAhRtam Br=-_1,7.4d
   śabdābhidhānatattvajñau Brh_1,1.81a	Sabda-aBiDAna-tattva-jQO Br=-_1,1.81a
   śamīvallīsthalāni ca Brh_1,19.3b	SamIvallI-sTalAni ca Br=-_1,19.3b
   śaragulmanagādayaḥ Brh_1,19.9b	Sara-gulma-naga-AdayaH Br=-_1,19.9b
