   {MV S_1}	{MV H _1}
   dvādaśāhādikāleṣu pramādādananuṣṭhitam /	dvAdaSa aha Adi kAlezu pramAdAt ananuzWitam /
   sapiṇḍīkaraṇaṃ kuryātkāleṣūttarabhāviṣu //	sapiNxIkaraNam kuryAt kAlezu uttara BAvizu //
   idaṃ ca sāgnikasyaiva /	idam ca sa agnikasya eva /
   tasyaiva dvādaśāhādīnāṃ mukhyatvāt tadagrimāṇāmanukalpatvena vidhānamuktaṃ	tasya eva dvAdaSa aha AdInAm muKya tvAt tad agrimANAm anukalpa tvena viDAnam uktam
   na tu niragnikasya /	na tu niragnikasya /
   tasya varṣāntasyaiva mukhyatvāt, na ca taduttaraṃ vihitaḥ kālo 'stīti /	tasya varza antasya eva muKya tva at, na ca tad uttaram vihitaH kAlaH asti iti /
   bhāviṣyapurāṇe   	BAvizyapurANe   
   dvādaśe 'hani ṣaṣṭhe vā tripakṣe vā trimāsi vā /	dvAdaSe ahani zazWe vA tri pakze vA tri mAsi vA /
   ekādaśe 'pi vā māsi māṅgalyasyāpyupasthitau //	ekAdaSe api vA mAsi mAFgalyasya api upasTitO //
   atra ṣaṣṭhe vetyatra māsīti sambadhyate /	atra zazWe vA iti atra mAsi iti sambaDyate /
   tathā ca  	taTA ca  
   baudhāyanaḥ  atha saṃvatsare pūrṇe sapiṇḍīkaraṇaṃ tripakṣe tṛtīyamāsi	bODAyanaH  aTa saMvatsare pUrNe sapiNxIkaraNam tri pakze tRtIyamAsi
   ṣaṣṭhe vaikādaśe vā dvādaśāhe veti /	zazWe vA ekAdaSe vA dvAdaSa ahe vA iti /
   atrāpi pūrvoktayuttyādhikaraṇatve siddhe yadatīte ṣaṣṭhe māsīti	atra api pUrva ukta yuttyA aDikaraNa tve sidDe yat atIte zazWe mAsi iti
   kasyacidvyākhyānaṃ tatra mūlaṃ mṛgyam /	kasyacid vyAKyAnam tatra mUlam mRgyam /
   kālāntaramāha  	kAla antaram Aha  
   paiṭhīnasiḥ, saṃvatsarānte visarjanaṃ navamamāsyamityeke /	pEWInasiH, saMvatsara ante visarjanam navamamAsyam iti eke /
   viṣṇurapi  	vizNuH api  
   māsikārthavat dvādaśāhaṃ śrāddhaṃ kṛtvā trayodaśe 'hni vā kuryāta /	mAsika arTa vat dvAdaSa aham SrAdDam kRtvA trayodaSe ahni vA kuryAta /
   vyāghraḥ sādhāraṇyenaiva dvādaśāhaprāśastyamāha  	vyAGraH sADAraNyena eva dvAdaSa aha prASastyam Aha  
   ānantyātkuladharmāṇāṃ puṃsāṃ caivāyuṣaḥ kṣayāt /	AnantyAt kula DarmANAm puMsAm ca eva AyuzaH kzayAt /
   asthiteśca śarīrasya dvādaśāhaḥ praśasyate //	asTiteH ca SarIrasya dvAdaSa ahaH praSasyate //
   kuladharmāṇāṃ = kulācārānniyatakālikānāṃ vṛddhiśrāddhavatāṃ	kula DarmANAm  kula AcArAt niyata kAlikAnAm vRdDiSrAdDavatAm
   cūḍādyanuṣṭhānānām /	cUxA Adi anuzWAnAnAm /
   asthitiśca rājopadravādinā deśatyāgasambhāvanārūpā rogādinā	asTitiH ca rAja upadrava AdinA deSa tyAga samBAvanA rUpA roga AdinA
   karmāsāmarthyarūpā vā /	karma asAmarTya rUpA vA /
   prāśastyaṃ ca mukhyakālānuṣṭhiteneva tasmin kāle 'nuṣṭhitenāpyanena	prASastyam ca muKya kAla anuzWitena iva tasmin kAle anuzWitena api anena
   pretatva nivṛttirbhavatīti /	preta tva nivRttiH Bavati iti /
   dvādaśāhaśca dvādaśañca tadahaścetivyutpattyā dvādaśaṃ dinaṃ tacca	dvAdaSa ahaH ca dvAdaSaQca tat ahar ca iti vyutpattyA dvAdaSam dinam tat ca
   mṛtadināvadhikameva /	mRta dinO= aDikam eva /
   dvādaśānāmahnāṃ saṅghāto dvādaśāhaḥ ṣoḍaśaśrāddhāpakarṣakaḥ kālaḥ sa	dvAdaSAnAm ahnAm saFGAtaH dvAdaSa ahaH zoxaSa SrAdDa apakarzakaH kAlaH sa
   cābhyudayarūpa iti śūlapāṇiḥ /	ca aByudaya rUpaH iti SUlapANiH /
   nanu kathamasya praśastatvaṃ sapiṇḍīkaraṇaṃ hi pitṛtvaprāptyarthaṃ na ca	nanu kaTam asya praSasta tvam sapiNxIkaraNam hi pitR tva prApti arTam na ca
   dvādaśāhe kṛtaṃ kevalaṃ tatpitṛtvāpādakaṃ bhavati /	dvAdaSa ahe kRtam kevalam tat pitR tva ApAdakam Bavati /
   yato  	yato  
   viṣṇudharmottare:	vizNuDarmottare:
   kṛte sapiṇḍīkaraṇe naraḥ saṃvatsarātparam /	kRte sapiNxIkaraNe naraH saMvatsarAt param /
   {MV S_225}	{MV H _225}
   pretadehaṃ parityajya bhogadehaṃ prapadyate //	preta deham parityajya Boga deham prapadyate //
   iti /	iti /
   agnipurāṇe 'pi  	agnipurANe api  
   arvāk saṃvatsarādyasya sapiṇḍīkaraṇaṃ bhavet /	arvAk saMvatsarAt yasya sapiNxIkaraNam Bavet /
   pretatvamapi tasyāpi jñeyaṃ saṃvatsaraṃ nṛpa! //	preta tvam api tasya api jQeyam saMvatsaram nRpa! //
   iti /	iti /
   ataḥ pūrvaṃ kṛte 'pi sapiṇḍane vatsarānta eva pretatvanivṛtteḥ kathamasya	atas pUrvam kRte api sapiNxane vatsara ante eva preta tva nivRtteH kaTam asya
   praśastatbamiticet, ṣoḍaśaśrāddhānyakṛtvā kṛte sapiṇḍane na	praSastatbamiti cet, zoxaSa SrAdDAni akRtvA kRte sapiNxane na
   pitṛtvaprāptirityetatparamidaṃ vacanadvayam /	pitR tva prAptiH iti etat param idam vacana dvayam /
   śrāddhāni ṣoḍaśādattvā naiva kuryātsipaṇḍanam /	SrAdDAni zoxaSa adattvA na eva kuryAt sipaNxanam /
   ityanenakavākyatvāt /	iti anenaka vAkya tvAt /
   asmādeva vacanātṣe ḍaśaśrāddhānyapakraṣṭavyānītyapyuktaṃ bhavati /	asmAt eva vacanAtze xaSa SrAdDAnya pakrazwavyAni iti api uktam Bavati /
   kathamanyathā ṣīḍaśaśrāddhānāmapakarṣābhāve	kaTam anyaTA zIxaSa SrAdDAnAm apakarza aBAve
   tatsācyapretatvanivṛtterabhāvena kṛtaṃ	tad sAcya preta tva nivRtteH aBAvena kRtam
   sapiṇḍīkaraṇaśrāddhamapyarthavatsyāt /	sapiNxIkaraNa SrAdDam api arTavat syAt /
   nanu ṣoḍaśaśrāddhānyapakṛṣya kṛte sapiṇḍana	nanu zoxaSa SrAdDAni apakRzya kRte sapiNxana
   pretatvanivṛtterjātatvātpunarmāsikodakumbhaśrāddhaṃ na syāt /	preta tva nivRtteH jAta tvAt punar mAsika uda kumBa SrAdDam na syAt /
   satyam /	satyam /
   yadi  	yadi  
   yasya saṃvatsarādarvāk sapiṇḍīkaraṇaṃ bhavet /	yasya saMvatsarAt arvAk sapiNxIkaraNam Bavet /
   māsikaṃ codakumbhaṃ ca deyaṃ tasyāpi vatsaram //	mAsikam ca udakumBam ca deyam tasya api vatsaram //
   itilaugākṣivacanaṃ na syāt /	iti lOga akzi vacanam na syAt /
   tasmādvacanādeva punarāvṛttiriti /	tasmAt vacanAt eva punarAvRttiH iti /
   kecittu vṛddhinimittaṃ vināpakṛṣṭe sapiṇḍane saṃvatsarānta eva	kecid tu vRdDi nimittam vinA apakRzwe sapiNxane saMvatsara ante eva
   pretatvanivṛttiḥ /	preta tva nivRttiH /
   vṛddhinimittaṃ tvapakarṣaṇe sapiṇḍanottaramevāvyavadhānena	vRdDi nimittam tu apakarzaNe sapiNxana uttaram eva avyavaDAnena
   pretatvanivṛttiḥ /	preta tva nivRttiH /
   ata eva"arvāksaṃvatsarādvṛddhau"ityanena sapiṇḍanāpakarṣamabhidhā yāha  	atas eva"arvAk saMvatsarAt vRdDO" iti anena sapiNxana apakarzam aBiDA yAha  
   śāttātapaḥ:	SAttAtapaH:
   na pṛthakpiṇḍadānaṃ ca tasmādūrdhvaṃ vidhīyate /	na pRTak piNxa dAnam ca tasmAt UrDvam viDIyate /
   pretānāmiha sarveṣāṃ ye mantraiśca niyojitāḥ //	pretAnAm iha sarvezAm ye mantrEH ca niyojitAH //
   pretatvācceha nistīrṇāḥ prāptā pitṛgaṇaṃ tu te //	preta tvAt ca iha nistIrNAH prAptA pitR gaNam tu te //
   iti /	iti /
   yadi vāśavatyā gauṇekāle 'nuṣṭhāna daivāttaduttaraṃ vṛddhyādyāpadyeta tadā	yadi vASavatyA gONekAle anuzWAna dEvAt tad uttaram vRdDi Adi Apadyeta tadA
   vṛddhikālaṃ prāpya pretatvaparihāro bhavati tasya	vRdDi kAlam prApya preta tva parihAraH Bavati tasya
   vatsarāntakālatulyatvāditi vadanti /	vatsara anta kAla tulya tvAt iti vadanti /
   atredaṃ pratibhāti /	atra idam pratiBAti /
   kathamasya vatsarāntakālatulyatvamiti /	kaTam asya vatsara anta kAla tulya tvam iti /
   yadi cāhitāgnerdvādaśāhasyeva mukhyatvena pretatvanivṛttiphalakasya	yadi ca AhitAgneH dvAdaSa ahasya iva muKya tvena preta tva nivRtti Palakasya
   sapiṇḍanasyātra vihitatvāditi, tadā vihitatvaṃ gauṇasyāpyastyeva /	sapiNxanasya atra vihita tvAt iti, tadA vihita tvam gONasya api asti eva /
   mukhyakālaśca na svarūpeṇa prayojakaḥ anyathā vatsarānte sapiṇḍanābhāve	muKya kAlaH ca na sva rUpeNa prayojakaH anyaTA vatsara ante sapiNxana aBAve
   'pi pretatvanivṛttiḥ syādeva tasmānmakhyakāle 'nuṣṭhitameva sapiṇḍanaṃ	api preta tva nivRttiH syAt eva tasmAt maKya kAle anuzWitam eva sapiNxanam
   pretatvanivartakaṃ vācyam /	preta tva nivartakam vAcyam /
   evaṃ sati vihitasyānarthakatvānupapattyā vihitakāle 'nuṣṭhitameva	evam sati vihitasya anarTaka tva anupapattyA vihita kAle anuzWitam eva
   pretatvanivartakamityastu kṛtaṃ mukhyatvenota /	preta tva nivartakam ityaH tu kRtam muKya tvena uta /
   {MV S_226}	{MV H _226}
   tasmātṣoḍaśaśrāddhasahitaṃ sapiṇḍīkaraṇamātraṃ pretatvanivartakaṃ na	tasmAt zoxaSa SrAdDa sahitam sapiNxIkaraNa mAtram preta tva nivartakam na
   mukhyakālasahitamiti /	muKya kAla sahitam iti /
   kecittu sarveṣāmapi kālānāhitāgniṃ prati mukhyatvena dvādaśādikāleṣu kṛtaṃ	kecid tu sarvezAm api kAla anAhitAgnim prati muKya tvena dvAdaSa Adi kAlezu kRtam
   sapiṇḍanaṃ vṛddhipūrvaṃ kṛtamiva pretatvanivartakamiti /	sapiNxanam vRdDi pUrvam kRtam iva preta tva nivartakam iti /
   te ca kālāḥ /	te ca kAlAH /
   tatra tāvat caturviṃśatimate  	tatra tAvat caturviMSatimate  
   sapiṇḍīkaraṇaṃ cābde sampūrṇe 'bhyudaye 'pi vā /	sapiNxIkaraNam ca abde sampUrNe aByudaye api vA /
   dvādaśāhe tu keṣāñcinmataṃ caikādaśe tathā //	dvAdaSa ahe tu kezAQcit matam ca ekAdaSe taTA //
   iti /	iti /
   kecittu idaṃ sakalasādhāraṇamukhyakālasaṅgrāhakaṃ na tu	kecid tu idam sakala sADAraNa muKya kAla saFgrAhakam na tu
   niragnerekādaśāhādipratipādakam /	niragneH ekAdaSa aha Adi pratipAdakam /
   anyathā sāgnerapi saṃvatsarāntakālasādhakaṃ syāt /	anyaTA sa agneH api saMvatsara anta kAla sADakam syAt /
   evaṃ ca"yā tupūrvamamāvāsyā"ityādivākyaistāṃstān prati prāprāneva kālān	evam ca"yA tupUrvam amAvAsyA"ityAdi vAkyEH tAn= tAn prati prAprAn eva kAlAn
   vidadhannāpūrvaśrutimūlamityāhuḥ /	vidaDanna apUrva Sruti mUlam iti AhuH /
   parāśaramādhavīye bhaviṣye:	parASaram ADavIye Bavizye:
   sapiṇḍīkaraṇaṃ kuryādyajamānastvanagnimān /	sapiNxIkaraNam kuryAt yajamAnaH tu anagnimAn /
   anāhitāgneḥ pretasya pūrṇe 'bde bharatarṣabha! //	anAhitAgneH pretasya pUrNe abde Barata RzaBa! //
   dvādaśe 'hani ṣaṣṭhe vā tripakṣe vā trimāsi vā /	dvAdaSe ahani zazWe vA tri pakze vA tri mAsi vA /
   ekādaśe 'pi vā māsi māṅgalyasyāpyupasthitau //	ekAdaSe api vA mAsi mAFgalyasya api upasTitO //
   iti /	iti /
   ete ca sarve mukhyāḥ /	ete ca sarve muKyAH /
   eṣu dvādaśāhaḥ praśastaḥ /	ezu dvAdaSa ahaH praSastaH /
   ānantyādivacanāt /	AnantyAdi vacanAt /
   anyatrecchayā vikalpa iti mādhavaḥ /	anyatra icCayA vikalpaH iti mADavaH /
   anye tu vatsarānto mukhyastatsannihita ekādaśo māso jaghanyaḥ /	anye tu vatsara antaH muKyaH tad sannihitaH ekAdaSaH mAsaH jaGanyaH /
   evamanye viprakṛṣṭā yathāpūrvaṃ jaghanyā iti /	evam anye viprakRzwAH yaTApUrvam jaGanyAH iti /
   yadā ca sapiṇḍīkaraṇārthaṃ ṣoḍaśaśrāddhānyapakṛṣyante tadā	yadA ca sapiNxIkaraNa arTam zoxaSa SrAdDAni apakRzyante tadA
   mṛtatithisajātīyāyāṃ tithau kāryāṇi /	mRta tiTi sajAtIyAyAm tiTO kAryANi /
   ekasyāpi mukhyakālalābhāt /	ekasya api muKya kAla lABAt /
   asambhave tu sapiṇḍanadine eva nimitte sannidhānāt /	asamBave tu sapiNxana dine eva nimitte sanniDAnAt /
   atha vā sati kālavyavadhāne prāgudāhṛtaviṣṇuvākyāt dvādaśasu divaseṣu	aTa vA sati kAla vyavaDAne prAc udAhRta vizNu vAkyAt dvAdaSasu divasezu
   ṣoḍaśaśrāddhāni vidadhyāditi /	zoxaSa SrAdDAni vidaDyAt iti /
   śūdrāṇāṃ tu dvādaśāha eva sapiṇḍanam /	SUdrANAm tu dvAdaSa ahe eva sapiNxanam /
   tathāca  	taTA ca  
   viṣṇuḥ, mantravarjaṃ hi śūdrāṇāṃ dvādaśe 'hnīti /	vizNuH, mantra varjam hi SUdrANAm dvAdaSe ahni iti /
   na ca kātyāyanena  	na ca kAtyAyanena  
   sarveṣāmeva varṇānāṃ sūtakānte sapiṇḍanam /	sarvezAm eva varNAnAm sUtakAnte sapiNxanam /
   iti vidhānānmāsaṃ śūdrasyāśaucasattvādavayavapiṇḍasya daśamasya taṃ prati	iti viDAnAt mAsam SUdrasya ASOca sattvAt avayavapiNxasya daSamasya tam prati
   sūtakānte vihitatvāt kathaṃ dvādaśāhe śūdrasya sapiṇḍanamitivācyam /	sUtakAnte vihita tvAt kaTam dvAdaSa ahe SUdrasya sapiNxanam iti vAcyam /
   sarveṣāmeva varṇānāṃ daśāhaṃ sūtakaṃ bhavet /	sarvezAm eva varNAnAm daSa aham sUtakam Bavet /
   ityetatpakṣamāśritya vā sacchūdrasya darśaśrāddhānurodhena	iti etat pakzam ASritya vA sat SUdrasya darSa SrAdDa anuroDena
   ekādaśāhavidhivadvacanabalātsūtakanivṛttimabhyupetya vā vacanāt	ekAdaSa aha viDi vat vacana balAt sUtaka nivRttim aByupetya vA vacanAt 
   sūtakamadhya eva vā kāryamiti na doṣaḥ /	sUtaka maDye eva vA kAryam iti na dozaH /
   {MV S_227}	{MV H _227}
   vastuto dvādaśāhapadaṃ na maraṇadinādārabhya dvādaśāhaparaṃ kintu	vastutas dvAdaSa aha padam na maraNa dinAt AraBya dvAdaSa aha param kintu
   sūtakāntadivasādūrdhvaṃ dvijātivat dvādaśasu divaseṣu dvādaśa māsikāni	sUtakAnta divasAt UrDvam dvijAti vat dvAdaSasu divasezu dvAdaSa mAsikAni
   kṛtvā dvādaśāha eva sapiṇḍanaṃ kāryaṃ na tu dvijā tivattrayodaśāhe /	kRtvA dvAdaSa ahe eva sapiNxanam kAryam na tu dvijA tivat trayodaSa ahe /
   ata eva tatroktam  yadyadhimāsastadā trayodaśe dina iti /	atas eva tatra uktam   yadi aDimAsaH tadA trayodaSe dinaH iti /
   etena yatkiñcicchrāddhavṛddhirna dinavṛddhiriti tadapi parāstam /	etena yat kiQcid SrAdDa vRdDiH na dina vRdDiH iti tat api parAH tam /
   deśāntarasthite tu putre itiviśeṣaḥ /	deSa antara sTite tu putre iti viSezaH /
   tatra śātātapaḥ  	tatra SAtAtapaH  
   deśāntaragatānāṃ ca putrāṇāṃ ca kathaṃ bhavet /	deSa antara gatAnAm ca putrANAm ca kaTam Bavet /
   śrutvā tu vapanaṃ kāryaṃ daśāhaṃ tu tilodakam //	SrutvA tu vapanam kAryam daSa aham tu tila udakam //
   tataḥ sapiṇḍīkaraṇaṃ kuryādekādaśe 'hani /	tatas sapiNxIkaraNam kuryAt ekAdaSe ahani /
   varṣāntakālātikrame kālāntaramukte mādhavīye  	varza anta kAla atikrame kAla antara mukte mADavIye  
   ṛṣyaśṛṅgaḥ:	RzyaSRFgaH:
   sapiṇḍīkaraṇaṃ śrāddhamuktakāle na cet kṛtam /	sapiNxIkaraNam SrAdDa mukta kAle na ced kRtam /
   raudrahaste ca rohiṇyāṃ maitrabhe vā samācaret //	rOdra haste ca rohiNyAm mEtraBe vA samAcaret //
   etacca nakṣatrādyanusāreṇa vṛdhdyādyupasthitau vihitakālāntarālābhe 'pi	etat ca nakzatra Adi anusAreNa vRDdi Adi upasTitO vihita kAla antara alABe api
   draṣṭavyam /	drazwavyam /
   iti sapiṇḍanakālaḥ /	iti sapiNxana kAlaH /
   atha sāmānyaśrāddhatithinirṇayaḥ /	aTa sAmAnya SrAdDa tiTi nirNayaH /
   śrāddhaṃ ca trividhaṃ pārvaṇamekoddiṣṭaṃ daivikaṃ ca /	SrAdDam ca triviDam pArvaNam ekoddizwam dEvikam ca /
   tatra kaṇvaḥ  	tatra kaNvaH  
   ekamuddiśya yacchrāddhamekoddiṣṭaṃ prakīrttitam /	ekam uddiSya yat SrAdDam ekoddizwam prakIrttitam /
   trīnuddiśya tu yattaddhi pārvaṇaṃ munayo viduḥ //	trIn uddiSya tu yat tat hi pArvaNam munayaH viduH //
   pāraskaraḥ  	pAraskaraH  
   devānuddiśya kriyate yattaddaivikamucyate /	devAn uddiSya kriyate yat tat dEvikam ucyate /
   tannityaśrāddhavatkuryāddvādaśyādiṣu yatnataḥ //	tat nitya SrAdDa vat kuryAt dvAdaSI a Adizu yatnatas //
   tatra yasyāṃ tithau pārvaṇaśrāddhaṃ vihitaṃ sā yadi	tatra yasyAm tiTO pArvaNa SrAdDam vihitam sA yadi
   dinadvayasambandhinībhavettadā yasminpūrvasminparasminvā dine	dina dvaya sambanDinIBavet tadA yasmin pUrvasmin parasmin vA dine
   'parāhṇavyāpinī tasmin dine pārvaṇamanuṣṭheyam /	aparAhNa vyApinI tasmin dine pArvaNam anuzWeyam /
   karmaṇo yasya yaḥ kālastatkālavyāpinī tithiḥ /	karmaNaH yasya yaH kAlaH tad kAla vyApinI tiTiH /
   tayā karmāṇi kurvīta hrāsavṛddhī na kāraṇam //	tayA karmANi kurvIta hrAsa vRdDI na kAraNam //
   iti yājñavalkyavacanāt /	iti yAjQavalkya vacanAt /
   madhyāhnavyāpinī yā syātsaikoddiṣṭe tithir bhavet /	maDyAhna vyApinI yA syAt sa eka uddizwe tiTiH Bavet /
   aparāṅṇavyāpinī yā pārvaṇe sā tithirbhavet //	aparAFNa vyApinI yA pArvaNe sA tiTiH Bavet //
   iti gautamavacanācca /	iti gOtama vacanAt ca /
   yadā pūrvedyuraparāhṇavyāpinī tadā pūrvaiva, grāhyā /	yadA pUrvedyus aparAhNa vyApinI tadA pUrvA eva, grAhyA /
   {MV S_228}	{MV H _228}
   tathācamanuḥ  	taTA camanuH  
   yasyāmastaṃ raviryāti pitarastāmupāsate /	yasyAmastam raviH yAti pitaraH tAm upAsate /
   sā pitṛbhyo yato dattā hyaparāhṇaḥ svayaṃbhuvā //	sA pitRByaH yatas dattA hi aparAhNaH svayaMBuvA //
   yasyāmaparāhṇasambandhinyāṃ ravirastaṃ yāti sā pitṛkārye praśaste tyarthaḥ	yasyAm aparAhNa sambanDinyAm raviH aH tam yAti sA pitR kArye praSaste ti arTaH
   tathā ca hārītaḥ  	taTA ca hArItaH  
   aparāhṇaḥ pitṝṇāṃ tu yāparāhṇānuyāyinī /	aparAhNaH pitLNAm tu yA aparAhNa anuyAyinI /
   sā grāhyā pitṛkārye tu na pūrvāstānuyāyinī //	sA grAhyA pitR kArye tu na pUrva astAnuyAyinI //
   astānuyāyinī = astamātrānuyāyinī /	asta anuyAyinI  asta mAtra anuyAyinI /
   tathā ca yāparāhṇavyāpinyastānuyāyinī sā pitṛkārye grāhyetyarthaḥ /	taTA ca yA aparAhNa vyApi nyasta anuyAyinI sA pitR kArye grAhyA iti arTaH /
   yadā tu dinadvaye 'pi nāparāhṇavyā pinī tadāpi pūrvaiva grāhyā /	yadA tu dina dvaye api na aparAhNavyA pinI tadA api pUrvA eva grAhyA /
   tathāca  	taTA ca  
   bṛddhayājñavalkyaḥ:	bRdDayAjQavalkyaH:
   devakārye tithirjñeyā yasyāmabhyudito raviḥ /	deva kArye tiTiH jQeyA yasyAm aByuditaH raviH /
   pitṛkārye tithirjñeyā yasyāmastamito raviḥ //	pitR kArye tiTiH jQeyA yasyAm astamitaH raviH //
   śivarahasyasaurapurāṇayoḥ  	Siva rahasya sOra purANayoH  
   prāyaḥ prānta upoṣyā hi tithirdaivaphalepsubhiḥ /	prAyas prAntaH upozyAH hi tiTiH dEva Pala IpsuBiH /
   mūlaṃ hi pitṛtṛptyarthaṃ paitraṃ coktaṃ maharṣibhiḥ //	mUlam hi pitR tRpti arTam pEtram ca uktam mahA RziBiH //
   māradoyapurāṇe  	mAra doyapurANe  
   titheḥ prāntaṃ surākhyaṃ hi upoṣyaṃ kavayo viduḥ /	tiTeH prAntam sura AKyam hi upozyam kavayaH viduH /
   pitryaṃ mūlaṃ titheḥ proktaṃ śāstrajñaiḥ kālakovidaiḥ //	pitryam mUlam tiTeH proktam SAstra jQEH kAla kovidEH //
   pitrye 'stamayavelāyāṃ spṛṣṭā pūrṇā nigadyate /	pitrye astamaya velAyAm spRzwA pUrNA nigadyate /
   na tatraudayikī grāhyā daive hyaudayikī tithiḥ //	na tatra OdayikI grAhyA dEve hi OdayikI tiTiH //
   gobhilaḥ  	goBilaH  
   sāyāhnavyāpinī yā tu pārvaṇe sā uhāhṛtā /	sAyAhna vyApinI yA tu pArvaNe sA uha AhRtA /
   sāyāhnavyāpitā ca trimuhūrtānyūnāyā eva bhavati /	sAyAhna vyApitA ca tri muhUrtAnyUnAyAH eva Bavati /
   vaudhāyano 'pi  	vODAyanaH api  
   udite daivataṃ bhānau pitryaṃ cāstamite ravau /	udite dEvatam BAnO pitryam ca astamite ravO /
   dvimuhūrtaṃ trirahnaśca sā tithirhavyakavyayoḥ //	dvi muhUrtam tris ahnaH ca sA tiTiH havya kavyayoH //
   bhānāvudite sati yad dvimuhūrtaṃ muhūrtadvayaṃ taddaivataṃ =	BAnO= udite sati yat dvi muhUrtam muhUrta dvayam tat dEvatam =
   daivakarmayogyam /	dEva karma yogyam /
   astamite astaṃ gantumārabdhe bhānau astamayātpūrvaṃ yat trimuhūrtaṃ	astamite astam gantum ArabDe BAnO astamayAt pUrvam yat tri muhUrtam
   tatpitryaṃ = pitryakarmayogyam /	tat pitryam  pitrya karma yogyam /
   tasmāttadvarttinī ti thirhavyakavyayorgrāhyetyarthaḥ /	tasmAt tad varttinI ti TiH havya kavyayoH grAhya iti arTaH /
   dinadvaye 'pi vaiṣamyeṇāparāhṇaikadeśavyāptau tadādhikyavatī grāhyā	dina dvaye api vEzamyeNa aparAhNa eka deSa vyAptO tad ADikyavatI grAhyA
   "aṇurapi viśeṣo 'dhyavasāyakara'; iti nyāyāt /	"aNuH api viSezaH aDyavasAya kara a; iti nyAyAt /
   {MV S_229}	{MV H _229}
   dinadvaye 'pi sāmyenāparāhṇaikadeśavyāptiśca śrāddhāṅgatithervṛdhdyā	dina dvaye api sAmyena aparAhNa eka deSa vyAptiH ca SrAdDa aFga tiTeH vRDdyA
   kṣayeṇa sāmyena vā bhavati, tatra kasmindine pārvaṇamitisaṃśaye  	kzayeNa sAmyena vA Bavati, tatra kasmin dine pArvaNa mitisaMSaye  
   kharvodarpastathā hiṃsā trividhaṃ tithilakṣaṇam /	Karva udarpaH taTA hiMsA triviDam tiTi lakzaNam /
   sarvadarpau parau pūjyau hiṃsā syātpūrvakālikī //	sarva darpO parO pUjyO hiMsA syAt pUrva kAlikI //
   iti vyāghrapacanānnirṇayaḥ /	iti vyAGrapacanAt nirNayaH /
   kharvaḥ = sāmyavāṃstithiḥ, darpo vṛddhistadvāṃstithiḥ, hiṃsā	KarvaH  sAmyavAn= tiTiH, darpaH vRdDiH tadvAn= tiTiH, hiMsA
   kṣayastadvāniti trividhaṃ tithilakṣaṇaṃ tithisvarūpam /	kzayaH tat vAniti triviDam tiTi lakzaNam tiTi svarUpam /
   atra sarvatvādīnāṃ grāhyatithigatatvaṃ kharvadarpayoḥ parayorhisāyāśca	atra sarva tva AdInAm grAhI atiTi gata tvam Karva darpayoH parayoH hisAyAH ca
   pūrvasyā grāhyatvābhidhānāt /	pUrvasyAH grAhya tva aBiDAnAt /
   sā ca tulyakālaikadeśabyāptirgrāhyatithervṛddhikṣayasāmyairitthaṃbhavati	sA ca tulya kAla eka deSa byAptiH grAhya tiTeH vRdDi kzaya sAmyEH itTaMBavati
   samarātrindivasamaye yadā viṃśatighaṭīparimitā pūrvatithir bhavati	sama rAtrindiva sa maye yadA viMSati GawI parimitA pUrva tiTiH Bavati
   dvāviṃśatighaṭīparimitā cottaratithistadā dinadvaye 'pi sāmyena	dvAviMSati GawI parimitA ca uttaratiTiH tadA dina dvaye api sAmyena
   ghaṭīcatuṣṭayaparimitāparāhṇaikadeśavyāptirbhavati /	GawI catuzwaya parimita aparAhNa eka deSa vyAptiH Bavati /
   grāhyatithiśca ghaṭīdvayena vardhate /	grAhyatiTiH ca GawI dvayena varDate /
   yadā ca dvāviṃśatighaṭīparimitā pūrvatithirviṃśatighaṭīparimitā	yadA ca dvAviMSati GawI parimitA pUrva tiTiH viMSati GawI parimitA
   cottaratithistadāpi	ca uttaratiTiH tadA api
   sāmyena ghaṭīdbayarūpāparāhṇaikadeśavyāptirbhavati tithaiśca ghaṭīdvayena	sAmyena Gawi idbaya rUpa aparAhNa eka deSa vyAptiH Bavati tiTEH ca GawI dvayena
   kṣīyate /	kzIyate /
   yadā ca pūrvottaradinayoḥ pūrvottare tithī ekaviṃśatighaṭīparamite	yadA ca pUrva uttara dinayoH pUrva uttare tiTI ekaviMSati GawI paramite
   stastadāpi sāmyenaiva ghaṭītrayaparimitāparāhṇaikadeśavyāptirbhavati	staH tadA api sAmyena eva GawI traya parimita aparAhNa eka deSa vyAptiH Bavati
   tithiśca sāmyamupaiti /	tiTiH ca sAmyam upEti /
   atra vṛddhisāmyayoḥ parā grāhyā kṣaye pūrveti /	atra vRdDi sAmyayoH parA grAhyA kzaye pUrva iti /
   iti pārvaṇanirṇayaḥ /	iti pArvaNa nirNayaH /
   ekoddiṣṭasya tu kālamāha hārītaḥ  	ekoddizwasya tu kAlam Aha hArItaH  
   āmaśrāddhaṃ tu pūrvāhṇa ekoddiṣṭaṃ tu madhyataḥ /	AmaSrAdDam tu pUrvAhNe ekoddizwam tu maDyatas /
   pārvaṇaṃ cāparāhṇe tu prātarvṛddhinimittakam //	pArvaNam ca aparAhNe tu prAtar vRdDi nimittakam //
   upakramakālamāha vyāsaḥ  	upakrama kAlam Aha vyAsaH  
   kutapaprathame bhāge ekoddiṣṭamupakramet /	kutapa praTame BAge ekoddizwam upakramet /
