   bhikṣuṇī vinaya	BikzuNI  vinaya
   upasthāpayituṃ | na kṣamati ārāmikinī | nā kṣamati ceṭī | na kṣamati	upasTApayitum | na kzamati ArAmikinI | nA kzamati cewI | na kzamati
   kalpiyakārī | sā eṣā bhikṣūṇī yā paudgalikām ārāmikinīm upasthāpayati	kalpiya kArI | sA ezA BikzUNI yA pOdgalikAm ArAmikinIm upasTApayati
   vinayātikramam āsādayati | idam ucyate ārāmikinīpratisaṃyuktam || hrā ||	vinaya atikramam AsAdayati | idam ucyate ArAmikinI pratisaMyuktam || hrA ||
   bhikṣūṇīprakīrṇaka 9	BikzUNI prakIrNaka 9
   saṃkakṣikāpratisaṃyuktaṃ	saMkakzikA pratisaMyuktam
   263. bhagavān śrāvastīyam viharati | aparā dāni bhikṣuṇī prāsādikā	263. BagavAn SrAvastIyam viharati | aparA dAni BikzuNI prAsAdikA
   darśanīyā | tāye dāni pīnehi stanehi gacchantīya cīvaram utkṣipīyati | sā	darSanIyAH | tAye dAni pInehi stanehi gacCantIya cIvaram utkzipIyati | sA
   dāni janena uccagghīyati | etaṃ prakaraṇaṃ bhikṣuṇīhi śrutaṃ | peyālaṃ |	dAni janena uccagGIyati | etam prakaraNam BikzuNIhi Srutam | peyAlam |
   yāvad āma bhagavan | bhagavān āha tena saṃkakṣikā nāma kartavyā |	yAvat Ama Bagavan | BagavAn Aha tena saMkakzikA nAma kartavyA |
   samkakṣikāṃ prāvarantīya tathā prāvaritavyaṃ yathā dāni stanāpīḍitā	samkakzikAm prAvarantIya taTA prAvaritavyam yaTA dAni stana apIxitA
   bhavanti | sā eṣā bhikṣuṇī saṃkakṣikān nopasthāpayati vinayātikramam	Bavanti | sA ezA BikzuNI saMkakzikAn na upasTApayati vinaya atikramam
   āsādayati | santī na prāvarayati vinayātikramaḥ idam ucyate	AsAdayati | santI na prAvarayati vinaya atikramaH idam ucyate
   saṃkakṣikāpratisaṃyuktaṃ || 0 ||	saMkakzikA pratisaMyuktam || 0 ||
   bhikṣuṇīprakīrṇaka 10	BikzuNI prakIrNakaH 10
   dakaśāṭikāpratisaṃyuktaṃ	daka SAwikA pratisaMyuktam
   264. bhagavān vaiśālīyam viharati | bhadrāya dāni kāpileyyā arthotpattiḥ	264. BagavAn vESAlIyam viharati | BadrAya dAni kApileyyA arTa utpattiH
   kartavyā | yāvad bhagavān āha | tena hi na kṣamati nagnikāyā snātuṃ |	kartavyA | yAvat BagavAn Aha | tena hi na kzamati nagnikAyA snAtum |
   dakaśāṭikāya snāpitavyaṃ | dakaśāṭikāpratisaṃyuktaṃ | na kṣamati nadīyam	daka SAwikAya snApitavyam | daka SAwikA pratisaMyuktam | na kzamati nadIyam
   vā oghe vā puṣkiriṇīyam vā taḍāge vā nagnikāya snāpituṃ | dakaśāṭikāya	vA oGe vA puzkiriNIyam vA taxAge vA nagnikAya snApitum | daka SAwikAya
   snāpitavyaṃ | nagnikā snāyati vinayātikramaḥ | atha dāni vihāre gupte	snApitavyam | nagnikA snAyati vinaya atikramaH | aTa dAni vihAre gupte
   pradeśe nagnikā snāyaty anāpattiḥ | idam ucyate dakaśāṭikāpratisaṃyuktaṃ	pradeSe nagnikA snAyati anApattiH | idam ucyate daka SAwikA pratisaMyuktam
   || ḷ ||	|| ? ||
   || prathamo vargaḥ ||	|| praTamaH vargaH ||
   bhikṣuṇīprakīrṇaka 11	BikzuNI prakIrNakaH 11
   talaghātapratisaṃyuktaṃ	tala GAta pratisaMyuktam
   265. bhagavān śrāvastīyaṃ viharati | bhikṣuṇīvihāro ca gṛhikulaṃ ca	265. BagavAn SrAvastIyam viharati | BikzuNI vihAraH ca gRhi kulam ca
   kacchāntaritā | tāyo dāni bhikṣuṇīyo kāmarāgeṇa khajjanti | tāyo dāni	kacCa antaritA | tAyaH dAni BikzuNIyaH kAma rAgeNa Kajjanti | tAyaH dAni
   hastatalenāṅgajātaṃ prasphoṭayanti | so manuṣyo puno puno śabdaṃ śṛṇoti |	hasta talena aFga jAtam prasPowayanti | saH manuzyaH punas puno Sabdam SRNoti |
   so dān āha | kim etan ti | sā dāni strī āha | bhavatu āryaputra aham etaṃ	saH dAn Aha | kim etat ti | sA dAni strI Aha | Bavatu Arya putra aham etam
   jānāmi kin tavānena jñānena | āha | nahi ācikṣāhi | āha | etā	jAnAmi kid tava anena jQAnena | Aha | na hi AcikzAhi | Aha | etA
   āryamiśrikāyo brahmacāriṇīyo kāmarāgena khajjantīyo hastatalena	Arya miSrikAyaH brahmacAriNIyaH kAma rAgena KajjantIyaH hasta talena
   āsphoṭayanti āṅgajātaṃ | tena dāni manuṣyeṇa ojjhāpitaṃ | etaṃ prakaraṇaṃ	AsPowayanti AFga jAtam | tena dAni manuzyeNa ojJApitam | etam prakaraNam
   bhikṣūṇīhi śrutaṃ | yāvad bhagavān aha | tena hi na kṣamati talaghātakaṃ |	BikzUNIhi Srutam | yAvat BagavAn aha | tena hi na kzamati tala GAtakam |
   talaghātapratisaṃyuktaṃ | sā eṣā bhikṣuṇī hastatalenāṅgajātam āsphoṭayati	tala GAta pratisaMyuktam | sA ezA BikzuNI hasta talena aFga jAtam AsPowayati
   pātreṇa vā kupātreṇa vā kaṃsikāya vā viḍallāya vā anyena vā puna kenacit	pAtreNa vA ku pAtreNa vA kaMsikAya vA vixallAya vA anyena vA puna kenacid 
   tena ca kāmarāgaṃ vinodayati vinayātikramam āsādayati | idam ucyate	tena ca kAma rAgam vinodayati vinaya atikramam AsAdayati | idam ucyate
   talaghātakapratisaṃyuktaṃ || [1] ||	tala GAtaka pratisaMyuktam || [1] ||
   bhikṣūṇī prakīrṇaka 12	BikzUNI prakIrNakaH 12
   jatumaṭṭhakapratisaṃyuktaṃ	jatum awWaka pratisaMyuktam
   266. bhagavān śrāvastīyaṃ viharati | aparāya dāni bhikṣuṇīya kāmarāgeṇa	266. BagavAn SrAvastIyam viharati | aparAya dAni BikzuNIya kAma rAgeNa
   khajjantīya jatumaṭṭhakaṃ mañcakaṃ yantritaṃ | atra vipratipadyiṣyan ti |	KajjantIya jatum awWakam maQcakam yantritam | atra vipratipadyizyan ti |
   tad anantaram agnir utthito | tāya dāni saṃbhrāntāya asamanvāharitvā sa	tat anantaram agniH utTitaH | tAya dAni saMBrAntAya asamanvAharitvA sa
   mañcako bahin niṣkāsito | manuṣyo dāni pratyavekṣamāṇā aṇvanti | kahiṃ	maQcakaH bahin nizkAsitaH | manuzyaH dAni pratyavekzamANAH aNvanti | kahim
   agnir utthito kasya gṛhād utthito | tehi dāni so dṛṣṭo | te dāni	agniH utTitaH kasya gRhAt utTitaH | tehi dAni saH dRzwaH | te dAni
   ojjhāyanti | etaṃ prakaraṇaṃ bhikṣuṇīhi śrutaṃ | pe | yāvad bhagavān āha |	ojJAyanti | etam prakaraNam BikzuNIhi Srutam | pe | yAvat BagavAn Aha |
   tena hi na kṣamati jatumaṭṭhakaṃ | jatumaṭṭhakapratisaṃyuktaṃ |	tena hi na kzamati jatum awWakam | jatum awWaka pratisaMyuktam |
   jatumaṭṭhakaṃ nāma jatusya vā lohasya vā trapusya vā nāgrasya vā	jatum awWakam nAma jatusya vA lohasya vA trapusya vA na agrasya vA
   hārakūṭasya vā dantasya vā coḍakasya vā mṛttikāya vā aṅgajātakākāraṃ kṛtvā	hArakUwasya vA dantasya vA coxakasya vA mRttikAya vA aFga jAtaka AkAram kRtvA
   sve aṅgajāte praveśeti tena ca kāma rāgaṃ vinodeti thul' accayam āsādayati	sve aFga jAte praveSa iti tena ca kAma rAgam vinoda iti Tul a accayam AsAdayati
   | idam ucyate jatumaṭṭhakapratisaṃyuktaṃ || 2 ||	| idam ucyate jatum awWaka pratisaMyuktam || 2 ||
   bhikṣuṇīprakīrṇaka 13, 14	BikzuNI prakIrNakaH 13, 14
   dhovanāpratisaṃyuktaṃ	Dovana apratisaMyuktam
   praveśanāpratisaṃyuktaṃ	praveSanA pratisaMyuktam
   267. bhagavān śrāvastīyam viharati | atha khalu mahāprajāpatī gautamī yena	267. BagavAn SrAvastIyam viharati | aTa Kalu mahA prajApatI gOtamI yena
   bhagavāṃs tenopasaṃkramitvā bhagavataḥ pādau śirasā vanditvā ekānte	BagavAn tena upasaMkramitvA BagavataH pAdO SirasA vanditvA ekAnte
   asthāsi | ekāntasthitā mahāprajāpatī gautamī bhagavantaṃ yācati |	asTA asi | ekAnta sTitA mahA prajApatI gOtamI Bagavantam yAcati |
   bhagavantaṃ vanditvā āha | mātṛgrāmasya bhagavan aṅgajātaṃ durgandhaṃ	Bagavantam vanditvA Aha | mAtR grAmasya Bagavan aFga jAtam durganDam
   upavāyati | labhyaṃ | bhagavan dhovituṃ | bhagavān āha | labhyā | tāyo	upavAyati | laByam | Bagavan Dovitum | BagavAn Aha | laByA | tAyo
   dāni bhikṣuṇīyo bāhirabāhireṇa dhovanti tathaiva durgandhaṃ vāyati | etaṃ	dAni BikzuNIyaH bAhira bAhireNa Dovanti taTA eva durganDam vAyati | etam
   prakaraṇaṃ mahāprajāpatī gautamī bhagavantaṃ pṛcchati | labhyā bhagavan	prakaraNam mahA prajApatI gOtamI Bagavantam pRcCati | laByAH Bagavan
   praveśiya dhovituṃ | bhagavān āha | labhyā dhovanāpratisaṃyuktaṃ	praveSiya Dovitum | BagavAn Aha | laByA Dovana apratisaMyuktam
   praveśanāpratisaṃyuktaṃ | bhikṣuṇīya dhovantīya ekam aṅguliveṭhakaṃ	praveSanA pratisaMyuktam | BikzuNIya DovantIyaH ekam aFguli veWakam
   praveśayitvā dhovitavyaṃ | na kṣamati atidūraṃ praveśayituṃ | atidūraṃ	praveSayitvA Dovitavyam | na kzamati ati dUram praveSayitum | ati dUram
   praveśeti tena ca kāmarāgaṃ vinodeti thūl' accayam āsādayati | idam ucyate	praveSa iti tena ca kAma rAgam vinoda iti TUl a accayam AsAdayati | idam ucyate
   dhovanāpratisaṃyuktaṃ praveśanāpratisaṃyuktaṃ || ṇka ||	Dovana apratisaMyuktam praveSanA pratisaMyuktam || NkaH ||
   bhikṣuṇiprakīrṇaka 15, 16, 17	BikzuNi prakIrNakaH 15, 16, 17
   ānicolakapratisaṃyuktaṃ	Anicolaka pratisaMyuktam
   268. bhagavān śrāvastīyam viharati | tāsān dāni bhikṣuṇīnām anumāsaṃ	268. BagavAn SrAvastIyam viharati | tAsAn dAni BikzuNInAm anumAsam
   anumāsaṃ ṛtur āgacchati | lohitaṃ śayyāsanaṃ nāśīyati | etaṃ prakaraṇaṃ	anumAsam RtuH AgacCati | lohitam SayyA Asanam nASIyati | etam prakaraNam
   mahāprajāpatī gautamī bhagavato āroceti | labhyā bhagavan	mahA prajApatI gOtamI BagavataH Aroca iti | laByAH Bagavan
   śayanāsanaguptyarthaṃ ānīcolaṃ dhārayituṃ | bhagavān āha | labhyaṃ	Sayana Asana gupti arTam AnIcolam DArayitum | BagavAn Aha | laByam
   ānīcolakapratisaṃyuktaṃ | yasyā eṣa ṛtur āgacchati śoṇitaṃ sravati tayā	AnIca ulaka pratisaMyuktam | yasyAH ezaH RtuH AgacCati SoNitam sravati tayA
   ānīcolakaṃ dhārayitavyaṃ | leṇṭakakhaṇḍāni | nāpi kṣamati gāḍhaṃ nāpi	AnIca ulakam DArayitavyam | leNwaka KaNxAni | na api kzamati gAXam na api
   kṣamati atidūraṃ praveśayituṃ yathā tenaiva kāmarāgam vinodayet | atha	kzamati ati dUram praveSayitum yaTA tena eva kAma rAgam vinodayet | aTa
   khalu praśithilaṃ vraṇamukhasya praveśayitavyaṃ | sā eṣā bhikṣuṇī atidūram	Kalu praSiTilam vraNa muKasya praveSayitavyam | sA ezA BikzuNI ati dUram
   vā praveśeti gāḍham vā praveśeti yathā tenaiva kāmarāgam vindodeti	vA praveSa iti gAXam vA praveSa iti yaTA tena eva kAma rAgam vindodeti
   sthūl' accayam āsādayati | idam ucyate ānīcolakapratisaṃyuktaṃ || tṛ ||	sTUt a accayam AsAdayati | idam ucyate AnIca ulaka pratisaMyuktam || tR ||
   bhikṣuṇīprakīrṇaka 16	BikzuNI prakIrNakaH 16
   strītīrthapratisaṃyuktaṃ	strI tIrTa pratisaMyuktam
   269. bhagavān śrāvastīyam viharati | tāyo dāni bhikṣuṇīyo strītīrthe	269. BagavAn SrAvastIyam viharati | tAyaH dAni BikzuNIyaH strI tIrTe
   ānīcolaṃ dhovanti | striyo dāni ojjhāyanti | sarvam idam tīrthaṃ rudhireṇa	AnIcolam Dovanti | striyaH dAni ojJAyanti | sarvam idam tIrTam ruDireNa
   viṭṭālitaṃ | etaṃ prakaraṇaṃ | peyālaṃ | yāvad bhagavān āha | tena hi na	viwwAlitam | etam prakaraNam | peyAlam | yAvat BagavAn Aha | tena hi na
   kṣamati stritīrthe ānīcolakaṃ dhovituṃ | strītīrthapratisaṃyuktaṃ | sā eṣā	kzamati stritIrTe AnIca ulakam Dovitum | strI tIrTa pratisaMyuktam | sA ezA
   bhikṣuṇī ānīcolakaṃ strītīrthe dhovati vinayātikramam āsādayati | idam	BikzuNI AnIca ulakam strI tIrTe Dovati vinaya atikramam AsAdayati | idam
   ucyate strītīrthapratisaṃyuktaṃ || phu ||	ucyate strI tIrTa pratisaMyuktam || Pu ||
   bhikṣuṇīprakīrṇaka 17	BikzuNI prakIrNakaH 17
   puruṣatīrthapratisaṃyuktaṃ	puruza tIrTa pratisaMyuktam
   270.bhagavān śrāvastīyam viharati | bhagavatā śikṣāpadaṃ prajñaptaṃ | na	270.BagavAn SrAvastIyam viharati | BagavatA SikzA padam prajQaptam | na
   kṣamati strītīrthe ānīcolakaṃ dhovituṃ | tāyo dāni bhikṣuṇīyo puruṣatīrthe	kzamati strItIrTe AnIca ulakam Dovitum | tAyaH dAni BikzuNIyaH puruza tIrTe
   ānīcolakaṃ dhovanti | peyālaṃ | yāvat sā eṣā bhikṣuṇī ānīcolakaṃ	AnIcolakam Dovanti | peyAlam | yAvat sA ezA BikzuNI AnIca ulakam
   puruṣatīrthe dhovati vinayātikramam āsādayati | idam ucyate	puruza tIrTe Dovati vinaya atikramam AsAdayati | idam ucyate
   puruṣatīrthapratisaṃyuktaṃ || grā ||	puruza tIrTa pratisaMyuktam || grA ||
   bhikṣuṇīprakīrṇaka 18	BikzuNI prakIrNakaH 18
   rajakatīrthapratisaṃyuktaṃ	rajakatIrTa pratisaMyuktam
   271. bhagavān śrāvastīyam viharati | evam eva rajakatīrthe kartavyaṃ |	271. BagavAn SrAvastIyam viharati | evam eva rajakatIrTe kartavyam |
   bhagavān āha | tena hi na kṣamati rajakatīrthe dhovituṃ | atha khu	BagavAn Aha | tena hi na kzamati rajakatIrTe Dovitum | aTa Ku
   kuṇḍālake vā kaṭāhake vā mallake vā dakānake vā udakaṃ gṛhya ekānte	kuNxAlake vA kawAhake vA mallake vA dakAnake vA udakam gRhya ekAnte
   dhovitavyaṃ | yahiṃ paryādānaṃ gaccheya | atha dāni bāhirodakaṃ bhavati	Dovitavyam | yahim paryAdAnam gacCeya | aTa dAni bAhira udakam Bavati
   yahiṃ nirvāho tahin dhovitavyaṃ | tāni leṇṭakāni śoṣayitavyāni yadā puno	yahim nirvAhaH tahin Dovitavyam | tAni leNwakAni SozayitavyAni yadA puno
   ṛtu nāgacchati tadā puno dātavyāni | sā eṣā bhikṣuṇī rajakatīrthe ānīcolaṃ	Rtu na AgacCati tadA punaH dAtavyAni | sA ezA BikzuNI rajakatIrTe AnIca ulam
   dhovati vinayātikramam āsādayati | idam ucyate rajakatīrthapratisaṃyuktaṃ	Dovati vinaya atikramam AsAdayati | idam ucyate rajakatIrTa pratisaMyuktam
   || hrā ||	|| hrA ||
   bhikṣuṇīprakīrṇaka 19	BikzuNI prakIrNakaH 19
   udakadhārāpratisaṃyuktaṃ	udaka DArA pratisaMyuktam
   272. bhagavān śrāvastīyam viharati | aparāya dāni bhikṣuṇīya raktacittāya	272. BagavAn SrAvastIyam viharati | aparAya dAni BikzuNIya rakta cittAya
   aṅgajātaṃ udake dhāritaṃ | tasyāśucir muktaṃ | tāye dāni kaukṛtyaṃ |	aFga jAtam udake DAritam | tasya aSuciH muktam | tAye dAni kOkRtyam |
   kaukṛtyena bhikṣuṇīnām ārocayati | yāvad bhagavān āha | sā eṣā bhikṣuṇī	kOkRtyena BikzuNInAm Arocayati | yAvat BagavAn Aha | sA ezA BikzuNI
   udakadhārāyām vā kuṇḍikadhārāyām vā udakacoḍena vā ālukaveṇṭikāyām vā	udaka DArAyAm vA kuNxika DArAyAm vA udaka coxena vA Aluka veNwikAyAm vA
   praṇālyām vā aṅgajātaṃ dhāreti tena ca kāmarāgaṃ vinodeti thūl' accayam	praNAlyAm vE aFga jAtam DArA iti tena ca kAma rAgam vinoda iti TUl a accayam
   āsādayati | atha dāni snāyati taḍāge vā prasravaṇe vā praṇāliyam vā na	AsAdayati | aTa dAni snAyati taxAge vA prasravaNe vA praNAliyam vA na
   dāni agrato udakadhārāṃ kṛtvā snāyitavyaṃ yathā pṛṣṭhīya vā śīrṣeṇa vā	dAni agratas udaka DArAm kRtvA snAyitavyam yaTA pRzWIya vA SIrzeNa vA
   udakadhārāṃ praticcheya tathā snāyitavyaṃ | sā eṣā bhikṣuṇī agrato mukhāṃ	udaka DArAm praticCeya taTA snAyitavyam | sA ezA BikzuNI agratas muKAm
   udakadhārāṃ kṛtvā snāyati tāya ca kāmarāgaṃ vinodeti thūl' accayam	udaka DArAm kRtvA snAyati tAya ca kAma rAgam vinoda iti TUl a accayam
   āsādayati | idaṃ ucyate udakadhārāpratisaṃyuktaṃ ||0 ||	AsAdayati | idam ucyate udaka DArA pratisaMyuktam ||0 ||
   bhikṣuṇiparikīrṇaka 20	BikzuNi parikIrNakaH 20
   udakasrotapratisaṃyuktaṃ	udaka srota pratisaMyuktam
   273. bhagavān śrāvastīyam viharati | aparāya dāni bhikṣuṇīya raktacittāya	273. BagavAn SrAvastIyam viharati | aparAya dAni BikzuNIya rakta cittAya
   udakasrote aṅgajātaṃ dhāritaṃ | tāye aśucir āgato yathā udakadhārāya yāvat	udaka srote aFga jAtam DAritam | tAye aSuciH AgataH yaTA udaka DArAya yAvat 
   | tena hi na kṣamati udakasrote aṅgajātaṃ dhārayituṃ |	| tena hi na kzamati udaka srote aFga jAtam DArayitum |
   udakasrotapratisaṃyuktaṃ | yā dāni tāyo bhavanti girinadīyo śīghrasrotāyo	udaka srota pratisaMyuktam | yA dAni tAyaH Bavanti giri nadIyaH SIGra srotAya u
   tahiṃ aṅgajātaṃ dhāreti tena ca kāmarāgaṃ vinodeti thūl' accyam āsādayati	tahim aFga jAtam DArA iti tena ca kAma rAgam vinoda iti TUl a accyam AsAdayati
   | atha dāni snāyati na kṣamati agratomukhaṃ srotaṃ kṛtvā snāyituṃ	| aTa dAni snAyati na kzamati agratomuKam srotam kRtvA snAyitum
   pṛṣṭhatomukhaṃ srotaṃ kṛtvā snāyitavyaṃ | sā eṣā bhikṣuṇī agratomukhaṃ	pRzWatomuKam srotam kRtvA snAyitavyam | sA ezA BikzuNI agratas muKam
   srotaṃ kṛtvā snāyati vinayātikramam āsādayati | idam ucyate	srotam kRtvA snAyati vinaya atikramam AsAdayati | idam ucyate
   udakasrotapratisaṃyuktaṃ || ḷ ||	udaka srota pratisaMyuktam || ? ||
   || dvitīyo vargaḥ ||	|| dvitIyaH vargaH ||
   bhikṣuṇīprakīrṇaka 21	BikzuNI prakIrNakaH 21
   vikṛtipratisaṃyuktaṃ	vikRti pratisaMyuktam
   274. bhagavān śrāvastīyam viharati | tāyo dāni bhikṣuṇīyo nānāprakārehi	274. BagavAn SrAvastIyam viharati | tAyaH dAni BikzuNIyaH nAnA prakAra Ihi
   mocayanti mūlakena palāṇḍūkebukāye sobhañjanakena latikāya | etaṃ	mocayanti mUlakena palANxUkebukAye soBaQjanakena latikAya | etam
   prakaraṇaṃ yāvad bhagavan | bhagavān āha | tena hi na kṣamati vikṛtīhi	prakaraNam yAvat Bagavan | BagavAn Aha | tena hi na kzamati vikRtIhi
   mocayituṃ | vikṛtipratisaṃyuktaṃ | sā eṣā bhikṣuṇī mūlakena vā palāṇḍūya	mocayitum | vikRti pratisaMyuktam | sA ezA BikzuNI mUlakena vA palANxUya
   vā kebukāya vā sobhañjanakena vā latikāya vā illādukāya vā trapusena vā	vA kebukAya vA soBaQjanakena vA latikAya vA illAdukAya vA trapusena vA
   allābūya vā kakṣārukena vā anyena vā puna kenacin mocayati tena ca	allAbUya vA kakzA rukena vA anyena vA puna kenacid mocayati tena ca
   kāmarāgaṃ vinodeti thūl' accayam āsādayati | idam ucyate	kAma rAgam vinoda iti TUl a accayam AsAdayati | idam ucyate
   vikṛtipratisaṃyuktaṃ ||	vikRti pratisaMyuktam ||
   bhikṣuṇīprakīrṇaka 22	BikzuNI prakIrNakaH 22
   karmapratisaṃyuktaṃ	karma pratisaMyuktam
   275. bhagavān śrāvastīyam viharati | aparasya dāni bhikṣusya utkṣepanīyaṃ	275. BagavAn SrAvastIyam viharati | aparasya dAni Bikzusya utkzepanIyam
   karma kriyate | tahiṃ nāsti koci parikuśalo karmakārako | bhikṣuṇīya karma	karma kriyate | tahim na asti koci parikuSalaH karma kArakaH | BikzuNIya karma
   kṛtaṃ | tāye dāni kaukṛtyaṃ | kin nu khalu labhyā etaṃ kartuṃ utāho na	kRtam | tAye dAni kOkRtyam | kid nu Kalu laByAH etam kartum uta aho na
   labhyaṃ | kaukṛtyena bhikṣuṇīnām ārocayati | bhikṣuṇīyo mahāprajāpatīye	laByam | kOkRtyena BikzuNInAm Arocayati | BikzuNIyaH mahA prajApatIye
   gautamīye ārocayeṃsuḥ | yāvad bhagavān āha | agrapariṣā eṣā | na kṣamati	gOtamIye ArocayeMsuH | yAvat BagavAn Aha | agra parizAH ezA | na kzamati
   bhikṣuṇīya bhikṣusya karma kartuṃ | karmapratisaṃyuktaṃ na kṣamati	BikzuNIya Bikzusya karma kartum | karma pratisaMyuktam na kzamati
   bhikṣuṇīya bhikṣusya karma kartuṃ (!) | atha dāni na kocit parikuśalo	BikzuNIya Bikzusya karma kartum (!) | aTa dAni na kocid parikuSalaH 
   karmakārako bhavati labhyaṃ bhikṣuṇīye bhikṣusya uddeśituṃ | atha dāni	karma kArakaH Bavati laByam BikzuNIye Bikzusya uddeSitum | aTa dAni
   karmakarentasya vismarati labhyā bhikṣuṇīya anupradātuṃ | sā eṣā bhikṣuṇī	karmakarentasya vismarati laByA BikzuNIya anupradAtum | sA ezA BikzuNI
   bhikṣusya karma karoti vinayātikramaḥ | kiñcāpi bhikṣuḥ bhikṣuṇīye karma	Bikzusya karma karoti vinaya atikramaH | kiQca api BikzuH BikzuNIye karma
   karoti anāpattiḥ | idam ucyate karmapratisaṃyuktaṃ ||	karoti anApattiH | idam ucyate karma pratisaMyuktam ||
   bhikṣuṇīprakīrṇaka 23	BikzuNI prakIrNakaH 23
   kauśeyapratisaṃyuktaṃ	kOSeya pratisaMyuktam
   276. bhagavān śrāvastīyam viharati | bhadrā dāni kāpileyī kauśeyacīvareṇa	276. BagavAn SrAvastIyam viharati | BadrA dAni kApileyI kOSeya cIvareNa
   prāvṛtā jñātikulaṃ gacchati sthūlavṛṣito devo ovṛṣṭo kauśeyacīvaramovṛṣṭaṃ	prAvRtAH jQAti kulam gacCati sTUla vRzitaH devaH ovRzwaH kOSeya cIva ramaH vRzwam
   kāyeśliṣṭaṃ sphaṭikapratyuṣṭo viya kāyodṛśyati jano sannipātito bhadrāye	kAyeSlizwam sPawika pratyuzwaH viya kAya udRSyati janaH sannipAtitaH BadrAye
   aṅgayaṣṭiṃ paśyitukāmo | sā dāni utkuṭukā upaviṣṭā antevāsinīhi parivṛtā |	aFga yazwim paSyitu kAmaH | sA dAni utkuwukAH upavizwAH antevAsinIhi parivRtA |
   etaṃ prakaraṇaṃ | yāvad āma bhagavan | bhagavān āha | tena hi na kṣamati	etam prakaraNam | yAvat Ama Bagavan | BagavAn Aha | tena hi na kzamati
   kauśeyaṃ | kauśeyapratisaṃyuktaṃ | kauśeyan nāma jātimaṃ karttimaṃ ca | sā	kOSeyam | kOSeya pratisaMyuktam | kOSeyan nAma jAtimam karttimam ca | sA
   eṣā bhikṣuṇī jātimaṃ prāvarati | deśanāgāmīvinayātikramaḥ | karttimaṃ	ezA BikzuNI jAtimam prAvarati | deSanA AgAmI vinayA atikramaH | karttimam
   prāvarati samvaragāmīvinayātikramaḥ kiñcāpi bhikṣur ubhayaṃ prāvarati	prAvarati samvara gAmI vinayA atikramaH kiQca api BikzuH uBayam prAvarati
